8/8/8/3q1pk1/P1B2Rp1/6P1/5P1K/8 b - -,d5d6
3r4/4k3/1p1pp1p1/bPr1Pp1p/2P2P1P/3RK1P1/4B3/3R4 b - -,d6d5
1k4r1/pp5p/2n1qp1b/8/4P3/P5P1/1BQ2P1P/1R1R2K1 b - -,g8c8
8/4r1k1/5pp1/R7/4BPP1/pPb1PK2/8/8 w - -,a5a3
r1b1k2r/1pq1bppp/p1nppn2/8/4PPP1/1NNB4/PPP1Q2P/R1B1K2R w KQkq -,c1d2
8/7k/8/1R1B3p/P1P4P/1p4K1/2b1r3/8 b - -,c2d1
r2b1rk1/pq3p1p/3p1Pp1/2p1p1P1/2Pn2QN/PPR5/1B4bP/5RK1 w - -,h4g2
2r2rk1/1pqbbppp/p2ppn2/P7/4P3/2NBB3/1PP2PPP/R2QR1K1 b - -,d7c6
2r3r1/1pBn1k2/4pp2/1p1p1p1p/1P1P3P/P3P1P1/5P2/2RR1K2 b - -,c8a8
8/R5p1/p4pk1/r6P/8/4P3/5PKP/8 b - -,g6h6
r1bqk1nr/1p2ppbp/p2p2p1/n7/4P3/1NN5/PPP1BPPP/R1BQK2R b KQkq -,c8e6
8/2p2R2/3p4/1Bp3k1/P3K1b1/r6p/8/8 w - -,f7g7
r1b1k2r/ppp1b3/1nnq4/2N1pp2/1P4p1/P2N2P1/3PPPB1/R1BQ1RK1 w kq -,c1b2
r1bq1rk1/1pp2pbp/3p1np1/p1nPp3/2P1P1PP/2N2P2/PP2B3/R1BQK1NR w KQ a6,h4h5
6k1/pb2r1pp/1p6/3p3n/1N6/2P3P1/P4P1P/2R2BK1 b - -,h5f6
5rk1/4q3/p5n1/1pQ5/4N1p1/PP3b2/KBP1p3/3rR3 w - -,c5h5
7r/7p/2b5/pp1p4/5k2/4RB1P/P5P1/4K3 w - -,e3e6
r4bk1/1p1q1p1p/1nr1bnp1/pN1p4/P2Pp3/1P2N1PP/1Q2PPB1/1RBR2K1 w - -,g1h2
r1b1kb1r/pp3ppp/4p3/1B1nq3/8/P7/1P3PPP/RNBQ1RK1 b kq -,c8d7
2r2rk1/1p3ppp/4pn2/pq6/3N4/P3P2P/1P3PP1/2R2RK1 w - -,d4b5
r2q1rk1/3bbppp/3p1n2/p3p3/2B1P3/2Q1BP2/PPP3PP/2KR2NR w - -,g1e2
4r1k1/1p3pp1/p1p2np1/4q3/7P/2P2BP1/PP1Q1P2/3R2K1 b - -,e5e6
8/1k2P1K1/1pR5/1P6/8/8/1P6/4r3 w - -,g7f7
8/1k6/4p1p1/bn1pPnPp/p1pP3P/P1P5/1KN2B2/1N6 b - -,b5a7
1rr4k/1pp3pp/pn1b4/N3pp1P/1P4n1/P2PPN2/1B2KPP1/2R4R b - -,h8g8
r1r3k1/4ppbp/q1p2np1/p7/Q2B4/PPN5/2P2PPP/3R1RK1 w - -,d4f6
4k2r/p1p1bp1p/2p5/2NpP1pq/6br/1N3PB1/PPP4P/R2QR2K b k -,g4f3
8/2n5/p2pk3/n7/1p2K1p1/1P6/1BP5/7R w - -,h1h6
3r2k1/4r1b1/p1p1nn1p/2q1BN2/Pp4PP/1P3P2/2P1Q1K1/R4R2 w - -,f5e7
1kr3r1/ppp2p2/4q3/Q2p4/3P4/B1R1PB1p/P3K2p/8 w - -,a3c5
1r1q1rk1/5pB1/p1npb1p1/1pp4p/2P1P1n1/1P2N1P1/P1QN1PBP/1R3RK1 b - -,g4e3
4k3/2b2ppp/8/ppB1p3/2b5/P1PNKPP1/1P5P/8 b - -,e8d7
1q2rr1k/5pp1/p3n3/1p3N2/2p1B2P/2PP4/PP1Q1PP1/3RR1K1 b - -,b8d8
8/p4pkp/r4bp1/8/PPR5/2P2N1P/4KPP1/8 w - -,a4a5
2r2rk1/ppqnbpp1/7p/2pB1b2/P7/1QB1PN1P/1P3PP1/R1R3K1 b - -,d7b6
2br4/p1r3kp/1nP2pp1/R7/5p2/1N4P1/P3P1BP/2R3K1 w - -,g3f4
r4r1k/p2b2b1/2pp2B1/1p1P2q1/2P2P2/8/PPQB2PK/5R2 w - -,f4g5
r1b1k2r/5ppp/1bp1pn2/1p6/8/1N3N2/PPP2PPP/R1BR2K1 w kq -,c1e3
3rk2r/4qppp/p1pp4/2n1p3/2N1P3/Q7/PPP2PPP/3RR1K1 b k -,e8g8
r3r1k1/p1q2ppp/bp1b2n1/3p4/8/2NN1P2/PPQ1BBPP/R4RK1 w - -,h2h3
5r2/4qp1k/pbprnnpp/1p2p3/P3P3/2P3PP/1PB1QP2/R1B1RNK1 w - -,g1h2
8/1p1r3p/4k3/p3p2p/2P1K3/1P5P/P4RP1/8 w - -,f2f8
3r1bk1/pb1q1p1p/1p3Pp1/n3r3/2p1P1PQ/2P1B2P/P3N3/1BR2RK1 w - -,e2g3
r1bqk2r/ppp2ppp/2np1n2/1B6/1b1PP3/5N2/PP3PPP/RNBQK2R w KQkq -,e1f1:c1d2
r1b1k2r/pp1n1ppp/1qpbpn2/3p4/2P5/1P3NP1/PBQPPPBP/RN2K2R w KQkq -,e1g1
2kr1b1r/ppqn1ppp/2pp2b1/4Pp2/2PP2P1/1BN5/PP2Q2P/R1B2RK1 w - -,g4f5
r2q1rk1/p2nbppp/bpp1pn2/3pN3/2PP4/6P1/PPQNPPBP/R1BR2K1 b - -,a8c8
8/4k3/3p1p2/3P4/5PK1/3B4/4r3/8 b - -,e2d2
5r2/6bk/2P3pp/B2Q2P1/8/8/PP2q2P/2R2RK1 b - -,e2e3
8/3r2R1/1P5P/5k2/6n1/7K/6P1/8 b - -,d7d3
8/5pkp/3R4/8/6P1/5PK1/3pr3/8 b - -,f7f6
r7/2k1pp1p/3p2p1/2pP4/PrNbPP2/1P3RKP/3R2P1/8 w - -,h3h4
8/2P5/2k1p3/2p5/2P5/6P1/5PK1/4n3 w - -,g2f1
8/8/N5k1/1pp2p1p/3P3P/5KP1/8/8 b - -,c5d4
r4rk1/pbppq1pp/1p2pn2/3P1p2/2P1nB2/P1Q3PN/1P2PPBP/R2R2K1 w - -,c3e5
r7/5p1k/7b/5p1p/7P/6P1/1B3P2/4R1K1 w - -,e1e7
8/R5k1/7p/5Rp1/2r1p1P1/4P2P/1r3P2/5K2 b - -,g7g8
8/4b1kp/pB6/4p3/2p1Ppp1/P1P4P/1P4P1/6K1 b - -,h7h5
1r3r1k/p1pq2pp/2pb1p2/3n4/3PN3/1P3Q1P/P2B1PP1/2R1R1K1 b - -,f6f5
2r3k1/2q2rpp/1p2p3/pP6/PbP1P3/1N3p1P/2R2QBK/2R5 w - -,h2h1
8/5k2/3R1Pnp/1pr5/1P2K1P1/8/7P/8 b - -,c5c4
8/3n2kp/4b1p1/p2N1p2/3KPPn1/2R3P1/P6P/8 w - -,e4e5
rnbq1rk1/pp2bppp/4pn2/8/2pP4/2NB1N2/PP3PPP/R1BQ1RK1 w - -,d3c4
3r1rk1/1pq2p1p/p1p3p1/2P1b2n/Q3N3/2P3PP/P2B1PK1/1R3R2 w - -,d2h6
5rk1/1pB3pp/p1n2n2/3q4/1P6/P1Q4P/6PK/4R3 b - -,h7h6
r2qr1k1/pbpn1pb1/1p1p1npp/6B1/2PPp3/2N1P2P/PPQNBPP1/3R1RK1 w - -,g5h4
8/2R4K/4r3/1p1pP3/pb1P4/3k4/5PP1/2B5 w - -,f2f4
r4rk1/1p2npbp/p3p1p1/2qpP3/Q5P1/2NB1R2/PP5P/4R1K1 w - -,g1h1
8/2k3p1/4p2p/2P1p3/4B2P/4K1P1/2P5/5b2 b - -,f1c4
3r4/p3qrbk/1pQpn1pp/4pp2/1PPp4/P2P2P1/1B1NPP1P/2R2RK1 w - -,c6g2
rnb1qrk1/p6p/1p1p2p1/1PpP1pNn/2P1pP2/2B3PP/P1Q1P1BK/3R1R2 w - -,h3h4
3rr1k1/2qn1ppp/1pp2n2/p3P3/2P5/1PR2NN1/P1Q2PPP/3R2K1 b - -,d7e5
5r1b/pp1r1p1k/2np1Ppp/3Q4/3pP3/P5B1/1P2qRBP/2R3K1 b - -,e2d3
6k1/5pp1/1b2pn2/7p/3r4/5BBP/1P3PP1/R5K1 w - -,a1a6
2r2rk1/1q1nbppp/pp2pn2/2pb4/P4P2/1P1PNNPP/1BP1Q1B1/R4RK1 b - -,e7d6
1R6/5r1k/3Qpqpp/8/8/4P2P/P5PK/8 w - -,b8e8
8/p7/4pNbP/k7/5P2/4K3/8/8 w - -,h6h7
8/6k1/p2p4/1pp3p1/2P5/1P3B1P/P4bP1/7K w - b6,f3b7
2r5/4ppkp/6p1/p7/1P1P1P2/1R1KPP2/7r/1R6 b - -,a5b4
2r2rk1/pbq2ppp/1ppbpn2/2n1N3/2P1PP2/1P4P1/PBQN2BP/R4RK1 w - -,e5f7
3rr1k1/1p2qp1p/p1n3p1/3n4/4p3/2P3P1/PPBBQP1P/R4RK1 w - -,f1e1
2kr4/1ppnbpp1/3q2p1/p1pPp1P1/P1P1P2r/1P2BB1P/2Q2P2/2KR3R b - -,c8b8
8/2n5/8/2bk4/K7/8/8/8 b - -,d5c4
1r1q1b1k/p4B1p/2n1bP2/1p1pp2Q/3P4/4P3/PP1B1RPP/5RK1 b - -,e6f7
r3rbk1/pbqn1p1p/1pp1p1p1/3pP3/2P1P1Q1/1P1B4/PB1N1PPP/3R1RK1 w - -,f2f4
8/5p2/N1Bp1k1p/1P5P/2P2K2/1r6/8/8 b - -,f6e7
2k5/8/3b2p1/6Nr/Rp3p1P/8/P3KPP1/8 b - -,h5h4
r3r1k1/1bqnbppp/pppp1n2/4p3/P2PP3/1PN2N1P/1BP2PP1/R2QRBK1 w - -,d1d2
3r2kr/ppp1q1p1/3pP2p/5Q2/8/8/PP2BPPP/3R2K1 b - -,d8f8
4k2r/1p2bpp1/p3p2p/7P/6n1/4BN2/PPP2PP1/1K1R4 b k -,g4f6
4r3/8/2N1k3/1R6/4K3/8/8/8 b - -,e6f6
8/4q2p/3pN1pk/2pQb3/4P1n1/6PB/1r5P/4R1K1 b - -,e7f6
r4rk1/1p4p1/1qp1pp1p/p2pP1n1/P2P4/1PPQ1P2/6PP/RN2R1K1 b - -,f6f5
r2r2k1/6pp/2p1pq2/Ppn1R3/4n1Q1/P4B1P/2PB1PP1/4R1K1 w - -,d2f4
8/p1r3pk/5p1p/1r6/8/P3q3/1PP1R1P1/1K2R3 w - -,e2e3
6k1/8/1B5p/1p1rN3/p4KPP/P7/5P2/5b2 w - -,f4e4
r4k2/1p3p1p/3q1p2/p2N4/2PQ4/bP4P1/5P1P/4R1K1 b - c3,a5a4
4k3/8/1p1p4/p1pPbpB1/P5p1/2PP2P1/1P3K2/8 w - -,g5e3
r2qr1k1/pp3ppp/1bn2n2/3p4/6bB/1NP2N2/PP2BPPP/R2Q1RK1 b - -,d8d6
4n3/3b2pp/Pk2p3/2p1Pp2/P1B2P2/2N5/4K1PP/8 w - -,c4b5
5rk1/p3pp2/2np2pp/q1p2P2/2P1P3/2b1B1QP/P3B1P1/2R3K1 b - -,c3d2
r1b2rk1/pp1nbppp/4pn2/q1pp4/2PP1B2/2N1P3/PPQN1PPP/3RKB1R b K -,c5d4
3qr1k1/2b2pp1/1p3r1p/p1p2b2/PnNp1P2/1P1P2PP/1B1QPRB1/5RK1 w - -,e2e4
r1b1r1k1/pp2Bppp/1bp4q/3p4/B3PR2/2PP2K1/PP1NQ1P1/R7 w - -,e4d5
3r1rk1/pbp4p/1p2N1p1/q7/5PP1/2N4P/PPP4K/R2Q1Rb1 w - -,f1g1
1k1r4/1ppnbpp1/3q2p1/p1pPp1P1/P1P1P1Br/1P2B2P/2Q2P2/2KR3R b - -,f7f6
1r3rk1/1p2q1bp/2ppbnp1/4pp2/1PP1P3/3P2P1/2Q1NPBP/1RB2RK1 w - -,b4b5
5qk1/1Q4np/1p1rp3/p1p2pP1/P6P/1BP5/5P2/4R1K1 w - -,h4h5
r1b2q1k/p3bp1p/2n1pn2/1p1p4/2pP1Q2/2N2N2/PPP1B1PP/2KR3R b - -,b5b4
8/6P1/5k1K/8/7P/8/8/6r1 w - -,h4h5
r1b1r1k1/pp2qpp1/2pbpn1p/4N3/2PP1B2/P5P1/1PQ2PBP/R2R2K1 b - -,a7a5
4R3/8/8/2P1n3/2r5/4k3/6K1/8 b - -,c4c5
2r3k1/pp3p2/6p1/3Q3P/1qP2p2/3R4/P4PP1/2K4R b - -,c8c4
2r2rk1/qp1nnppp/p3p3/PP1p4/2P5/1N2Pb1P/1Q2BPP1/2RR2K1 w - -,e2f3
r4rk1/p4p1p/3q2p1/1bpP4/5P2/2Q2N2/PP4PP/R3K2R w KQ -,e1f2
2nr2k1/pp3pp1/2p2np1/4p3/P3P3/1P1rB1NP/4QPP1/R5K1 b - -,b7b6
r2q1rk1/2pn1pbp/p1ppb1p1/8/4P3/1BN1BP2/PPPQ2PP/2KR3R w - -,e3h6
3br1k1/5qn1/p2p4/PnpP3p/2N2P2/5R2/1P1QNBK1/8 b - -,f7g6
2r5/1pq3k1/p2p2p1/P2Pr2p/2p5/1nQ5/1P3NPP/3RR1K1 w - -,e1e5
4rr2/2qn2bk/2pp1pp1/p3pb1p/P1PPPP2/R2Q2PP/1BN3BK/5R2 b - -,f5e6
8/7p/2nkpp2/pp4p1/3P4/6P1/PPK1NP1P/8 w - -,a2a3
rn2k2r/1bqp1ppp/pp2pn2/2b5/2P5/1PNBPN2/PBQ2PPP/R4RK1 b kq -,c5e7
r2qk1nr/1b1nppbp/p2p2p1/1pp5/3PP1P1/P1N1BP2/1PPQN2P/R3KB1R b KQkq g3,a8c8
r6r/ppp1kp2/3p3p/1B1Pb1q1/4nBb1/8/PPP1NQP1/R3K2R b KQ -,e4f2
k1r5/p3R3/Pp6/6N1/3p4/R7/5PPK/2r2b2 w - -,e7d7
3r4/5pkp/Bn2pp2/6P1/pPp4P/2K5/P1P2P2/7R b - -,f6g5
5bk1/5n1p/5pp1/1QP2b2/1P1P1p1P/2q5/3N1PP1/4R1K1 w - -,d2f3
r2q1rk1/pp1n1pp1/2pbpnp1/3p4/3P4/1P2P3/PBPNBPPP/R2Q1RK1 w - -,c2c4
