8/1p4R1/8/p3k2b/P1B1p3/1PP4r/3K4/8 w - -,c4e2
r2qk2r/pp3pp1/4pb1p/3p1b2/2P5/6P1/PP3PBP/R1BQ1RK1 w kq -,c4d5
8/8/PQ2K2p/6pk/8/4P3/1P5q/8 b - -,h2c2
r1b2rk1/p1qn1ppp/1p1bp3/8/3P4/2PB1N1P/P2B1PP1/R2Q1RK1 b - -,c8b7
2r2k2/p1r2pp1/3qp2p/2NnN3/1p1P3P/1P1B2P1/PB3P2/2RR2K1 w - -,d3f1
r7/2r5/8/P1Pkpp2/R7/4K3/2R3P1/8 b - -,c7c5
r2qnrk1/4ppbp/bp4p1/n2p4/3P1B2/4PN2/P2NBPPP/2RQ1RK1 w - -,e2a6
r1b1r1k1/pp4bp/n1p2ppn/4p3/2P1P3/2N1BN1P/PP2BPP1/R2R2K1 b - -,c8e6
r4r2/pp1n1pkp/1qn1p1p1/2pp4/3P1P2/1P3NP1/P1P2PBP/R2Q1RK1 w - -,d4c5
r2qk2r/1b1nbpp1/pp1p4/3Pp2p/5P2/1N2B3/PPPQB1PP/1K1R3R b kq -,d8c7
r2qkb1r/1b1n1ppp/p3p3/1p1pP3/3B1P2/P4N2/1PPQ2PP/R3KB1R b KQkq -,d7c5
8/6k1/1N5R/2p3p1/P4r2/2b2P2/4KP1P/8 w - -,h6c6
r1bq1k1r/pp3pp1/2n1p2p/3pP3/2pP2QP/2PB3R/P1PK1PP1/R5N1 w - -,d3f1:d3e2
8/ppr1rpk1/2p3pp/2P1n3/1P1RPp1P/PBN1nP2/5R2/2K5 w - -,c3e2
8/pp2kpp1/2p1pq1p/2b5/7P/2P3P1/PPB1QPK1/8 w - -,c2e4
6k1/4r2p/2q3p1/pp6/2p3Q1/5RP1/5P1P/6K1 b - -,c4c3
4r3/1p1b1k2/p4p2/3p2p1/P2B2P1/1PP2P2/5K2/R7 w - g6,a1h1
1rbq1rk1/pp2pp1p/3p2pb/8/2PP4/1PN3P1/P4PBP/R2QR1K1 w - -,d1e2
3r3k/p2n1Rp1/1p5p/7q/2Q5/8/P4PPP/4R1K1 w - -,f7d7
1kb5/1p6/1P5R/8/p1n5/8/5KP1/8 w - -,f2e2
2r3k1/1Nr1bp1p/p3p1p1/2p1P3/1pP2PP1/3R4/PP4KP/3R4 w - -,b7d6
r1b2rk1/2p1ppbp/p2q2p1/3N4/1p1PPPP1/4QN2/PP5P/2KR3R w - -,f3e5
5rk1/pp3r2/2p1b2p/4b3/4Pp2/2NR4/PP3PBP/3R2K1 w - -,g2f3
2kr1b1r/1b1n1p2/pqp1p2p/1p1nP1p1/P1pPN3/2N3B1/1P2BPPP/R2Q1RK1 w - -,d1d2
8/4k3/4pp1p/2p2P1P/4B3/1r1PK1B1/8/8 b - -,c5c4
3q4/8/6pk/4Qp2/5Pp1/8/4K3/8 b - -,h6h5
6k1/5p2/7p/n7/4P2B/4KPP1/b7/8 w - -,g3g4
r3k2r/1bq2ppp/p2pp3/2n3P1/1p1NPP2/3B1Q2/PPP4P/1K1R3R b kq -,e8c8
8/7p/P2k1pp1/1K2n3/1P2P3/5B2/3b2PP/8 b - -,d6c7
3rr1k1/ppq2pp1/2p2n1p/4pb2/1bPP4/2N1B1PP/PP2QPB1/2RR2K1 w - -,d4d5
8/4k3/1p1p4/p2Pp1pp/P3P3/n1N3P1/4K3/8 b - -,e7d7
1r5r/p2kppbp/5np1/1q1p4/1p1P1P2/3Q2NP/PPPB1P2/1K1R3R w - -,d3b5
4k2r/5ppp/p3p3/q3P3/P2R1B1P/2p3Q1/2P2PP1/1K6 b k -,a5b6
3r2k1/p2r2b1/1q2nn1p/1p2B1p1/1P6/2P2B2/2QNPP1P/R2R2K1 b - -,f6d5
r2r2k1/1p3pp1/p6p/4P3/1Q3R2/P1P1qbPP/3nN1BK/4R3 b - -,f3e2
r1b1kb1r/ppqn1ppp/2n1p3/3pP3/NPpP1P2/2P1BN2/P3B1PP/R2QK2R b KQkq -,b7b5
8/1Rr1Bpkp/p5p1/4p3/4P2P/PP3P2/2r3P1/6K1 w - -,b7c7
3r3r/pp2kp2/3b1p2/4n2N/4b2P/4B1P1/P3BP2/R2R1K2 b - -,b7b6
rnb1r1k1/p4p2/3pN1pp/2pPq3/4B3/7P/P2B1PP1/R2Q1RK1 b - -,c8e6
3r2k1/pBn2p1p/2P3p1/4p3/1P6/8/3rRKPP/1R6 b - -,d2e2
2rr2k1/1p2qpb1/pQ4p1/4Nb2/P2PnP1p/2P1PB1P/1P4P1/2RR2K1 w - -,b6b3
2rqn1k1/3n1pp1/1pp1p2p/1bPpN3/1P1P4/4P1PP/R1QN1PB1/6K1 b - -,d7e5
2r1k2r/2q1bp2/3p2p1/2PRn3/pp2PBPp/6QP/P1P5/1NK4R w k -,g3e1
4kb2/p4p2/1p6/2p1B1p1/2PP2P1/2PK4/P7/8 b - -,e8d7
6k1/3R3p/1Q3r2/1p1P1p2/p3rP2/PB4P1/7P/5K2 b - -,f6b6
r1b2rk1/ppq2ppp/2p2n2/2b1p3/4P3/3B1NN1/PPP2PPP/R2Q1RK1 w - -,c2c3
1qr1k2r/1b1nbppp/pp1p1n2/4pP2/P3P3/1NN1BB2/1PP3PP/3RQRK1 w k -,b3d2
r2q1rk1/4p1bp/b7/2ppNp2/1p3Bn1/1P1P2QP/PP2N1P1/R4RK1 b - -,g4f6
6k1/1b1r2b1/1B6/P1p2pp1/1p5p/4P1nP/1P1r1PP1/1BRNR1K1 w - -,b1a2
2r3k1/pprnpp1p/2p3p1/3q4/PPR5/3P1NP1/1Q2PPKP/2R5 w - -,c4d4
2r5/r4kbp/3Bp1p1/2Pb1p2/p2P4/R6P/5PP1/3RN1K1 w - -,e1f3
4b3/7p/pr6/3P4/1P1bR3/PB3p1k/7P/7K w - -,e4d4
8/8/Pp6/1P4k1/r5pp/8/8/5RK1 b - -,h4h3
2r2rk1/1p1bnpp1/1q2p2p/p2pP3/3N1P2/1NP1Q1P1/PP4KP/R3R3 b - -,g8h8
rn2k2r/1pqbbppp/p2ppn2/8/3NPP2/2NBB3/PPP3PP/R2Q1RK1 w kq -,g1h1
8/1R1Bp1kp/4Pn2/3p1p2/6p1/1P2PPP1/1r6/4K3 w - -,d7b5
8/4kpb1/1p1p2p1/1PpP1PP1/3pP1B1/3P4/8/r3K2R w - -,g4d1
2r2r1k/1bq2p1p/p2p2pn/nppPp3/4P2b/1PP1N1NP/P1BQ1PP1/R1B1R1K1 w - -,b3b4
2r5/8/5k2/8/1Rp2p2/2P5/PP2KP2/8 w - -,e2f3
8/1p2k3/6r1/1p1p4/P2PpB2/4P2B/7K/8 w - -,a4b5
8/8/8/K1Nq4/1P6/2k5/8/8 b - -,c3c4
8/4k3/1p2p3/pPp3K1/P1B5/8/8/8 b - -,e7f7
1r2r1k1/1p1b1pbp/p4np1/q1P2p2/P1P5/2NQP1P1/4NPBP/R2R2K1 w - -,a1b1
4rr2/3b2k1/p1pp1qn1/1p4pn/3P3p/1B2NP2/PPNQ1RPP/R5K1 b - -,f6f4
1rb4k/6b1/pp1p3p/2pP1B2/P1P5/2N3Kn/1P1B4/5R2 b - -,h3g5
r7/p1n4p/2pNb1k1/2N5/6p1/1P3rP1/PKP1R2P/4R3 b - -,e6g8
8/1p3p1k/pR6/2P5/2r5/5p1P/1P5P/5K2 b - -,c4c5
r4rk1/pp2qpp1/5B1p/4p3/2BbP3/5Q1P/PP3PP1/R4RK1 b - -,e7f6
1r3rk1/pb2q1pp/4pn2/2p2p2/1nPp1P2/Q2N1N2/PP2PPBP/2RR2K1 w - -,d3b4
1q2r1k1/p4p1p/2Q1nbp1/4p3/8/P2PP1PP/1P3P2/2R2RK1 b - -,e8d8
7r/8/8/3N4/k2K4/2R5/8/8 w - -,c3g3
4k3/1p1r2B1/2p4Q/3b4/4p3/PP4RP/1KP2q2/8 w - -,h6h8
r6r/pB3pk1/3p1np1/1P2q3/3N2b1/2QR2P1/P3PP2/2R3K1 b - -,e5h5
8/8/4kpp1/ppr5/4PK1P/PR4P1/8/8 b - -,e6d6
b3r3/p3r3/Pp4k1/1P1pBp1p/2pN1PnR/4PKP1/8/4R3 b - -,g4e5
4r1k1/pp4p1/1b3p1p/3P1q2/1pP1p1b1/P1Q4P/1B3PP1/R3R1K1 w - -,c3g3
r1bqk2r/pp1nnpbp/3pp1p1/2pP4/2P1PP2/2NB4/PP2N1PP/R1BQK2R b KQkq f3,e8g8
1r6/1p1bk1p1/2p2p1p/p1P1pP2/2B1P1PP/1P2K3/P7/3R4 w - -,d1g1
r1b4k/pp4qp/3p4/6n1/4Pb2/5B2/PPN2PK1/R2Q3R w - -,g2f1
2q1r1k1/pb3p1p/1p1b2p1/2n5/4p3/1P2P3/PB3PPP/1QRRN1K1 b - -,c8b8
8/p2k4/6pp/1pK1pp2/P7/6P1/5P1P/3B4 w - -,a4b5
r1b2rk1/p3qpp1/1p1p3p/2nPp3/2P1P2N/P3Q1P1/4BRPP/R5K1 b - -,c8d7
r2q1rk1/1ppbppbp/p2p1np1/n7/2PP4/1PN2NP1/PB2PPBP/R2Q1RK1 w - -,f3d2
1k1q2r1/2nnb1p1/bp1p1p2/p1pPpP2/P1P1P1P1/1PN1BN2/5QB1/2K4R b - -,g8h8
2brr1k1/1p3pbn/1qpp2p1/2n4p/Pp1NPP2/2P3PP/4RBB1/1N1RQ2K w - -,c3b4
8/pR1R1pkp/6p1/5p2/1Pr5/r7/6KP/8 w - -,d7f7
2b2rk1/4ppbp/3pn1p1/2p5/4P3/2PP1NPP/qN1BQPB1/2R3K1 b - -,a2b2
8/1k6/1pp4P/p7/P1KPb3/6B1/8/8 w - -,c4c3
3rr1k1/ppq2pbp/2p1nnp1/4p3/2P1P3/1PN1QNPP/PB3PK1/2R2R2 b - -,e6d4
3r1rk1/pp2q1pp/2p1bB2/2Pp1p2/1P3P2/P3P2P/3QB1P1/1R3RK1 b - -,e7f6
r2qk2r/pb1nbppp/1p2p3/3N4/3P4/3B1N2/PP2QPPP/R1B2RK1 b kq -,b7d5
4r3/p1R2k2/1p1rp1pp/3p4/5PP1/8/PP5P/4R1K1 b - -,e8e7
4rr1k/pb4pp/8/2R5/4pPB1/1P1pP2R/P4KPP/8 b - -,b7c8
rn2k2r/pp2ppbp/1p4p1/1N6/4P3/1P3B2/1P3PPP/R3K2R b KQkq -,b8a6
r2r2k1/1p1b1p1p/p1pbpnp1/Q5RP/2PP2q1/5NN1/PP3PP1/1B1R2K1 b - -,g4f4
2bqrrk1/1p6/p2p4/P1pPn1p1/4RN1p/1R3P1P/1P3BP1/3Q1B1K b - -,f8f4
3r1k1r/5p2/1p4p1/1N2p2n/Pb4p1/3B2B1/2P3P1/R4RK1 w - -,g3f2
8/8/R7/b2k4/1rn2Pp1/p2K2P1/6P1/3R4 w - -,f4f5
4rr1k/1n2N1pp/p7/1p6/1P4n1/4R3/P4P1P/4R1K1 w - -,e7g6
8/5pk1/4p3/R2pPnpp/p7/2N2P2/1r4PP/6K1 b - -,f5h4
r2qr1k1/1p1nppbp/p2p1np1/2pP4/2P1P3/2N4P/PP1BBPP1/R2Q1RK1 b - -,e7e6
2r3k1/5p1p/pp2p1p1/7P/P1prbP2/8/BPPK2P1/R6R w - -,d2e3
2rq1rk1/1b3pbp/p2p1np1/1p2n3/4P3/P1NBB2P/1P1N1PP1/2RQ1RK1 w - -,d3b1
2r2rk1/p2qnppp/1p1pp3/6Q1/3P4/P1P1B3/1P3PPP/3R1RK1 b - -,e7d5
2r5/5kp1/2r1p2p/1p1pp1b1/1B2n3/1P6/P3RPPP/3RN1K1 w - -,f2f3
r3r1k1/p1p3bp/bnppq1p1/4P3/2P1N3/1P3Q2/PB2B1PP/R4RK1 b - -,d6d5
r2r2k1/3b1ppp/pq1pp1n1/8/4P3/1PP3QP/2B2PP1/R1B1R1K1 w - -,c1e3
5rk1/1pp3bp/p1np2p1/8/2P2P2/1P4N1/P2B2PP/4R1K1 w - -,e1e4
r4rk1/1bpq1pp1/p2bp2p/1p1n4/P1pP4/5NP1/1PQBPPBP/R1R3K1 b - -,d7e7
4r2k/p6p/1b3pp1/B2B1b2/1PPp4/6PP/P4P2/3R2K1 w - -,a5b6
rnbqk2r/p1p1bppp/1p3n2/3p2B1/Q2P4/2N1P3/PP3PPP/R3KBNR b KQkq -,c7c6
8/R5p1/4pk1p/2N4b/8/4K1P1/8/5r2 w - -,c5e4
rnbq1rk1/pp3ppp/4pn2/2pP4/1b1P4/2NBP3/PP2NPPP/R1BQK2R b KQ -,c5d4:f6d5
5r1k/pp3pp1/8/3N4/Q2Kp3/3q2pP/PP6/2R5 w - -,d4e5
r1q1kb1r/1b1n2pp/pn1Pp3/1pp4B/7N/2N5/PP4PP/R1BQ1RK1 b kq -,e8d8
2Q5/1p3rkp/6p1/4pp2/R7/2N4P/Pq4PK/R7 b - -,b2a1
r1r5/1b2qpbk/1pn3pp/1N1p4/8/3P1NP1/2Q1PPBP/1RR3K1 w - -,c2d2
rn1q1rk1/pp2ppbp/2p2np1/3p1b2/2PP3N/6P1/PP1NPPBP/R1BQ1RK1 b - -,f5e6
r3rbk1/1bqn1p1p/1pp2np1/4p3/1PP1P3/2N1B1PP/1Q1N1PB1/R2R2K1 b - -,f6h5
2k3Q1/3r3p/1q3pp1/1Pp5/P3P3/8/5PPP/2R3K1 b - -,c8b7
2kr2r1/1pqbbp2/p1n2p1p/2p1P3/8/P1QP1NPP/1PP2BBK/R4R2 b - -,f6e5
4r3/3Qqpk1/1p1p2p1/3P2P1/p5B1/8/PP5P/4nRK1 w - -,d7e7
8/5pkp/1n2pn2/p4p2/PrpP4/2N2P2/BPR4P/2K5 w - -,c2g2
2r1r1k1/1p1n1pbp/p2p1np1/q1pP4/P3PP2/2NBBQ1P/1P4P1/4RRK1 w - -,e1e2
r1r2k2/4bppp/1n1N4/p7/1ppP1BP1/P6P/1P3Pb1/R3RK2 w - -,f1g2
1r1qnr2/1p1b1pbk/3p1npp/p1pPp3/P1P1P3/1PNBN1PP/3BQPK1/5R1R w - -,e2d1
2r1k2r/1q1bbppp/p2p1B2/1p2p3/2P1P3/N2Q4/PP1N1PPP/R4RK1 b k -,g7f6
r3k2r/p1p1ppbp/2p1b1p1/8/8/1PP5/PB2PPPP/R3KB1R w KQkq -,e1c1
2rr4/6R1/p1n1P3/P4p2/1p1pbk2/1N1B4/1PP1K3/R7 b - -,d8g8
2kr3r/p4ppp/2p3b1/2B1p3/2n1BbP1/2N4P/PPK2P2/3R3R w - -,c5a7
r4r2/6kp/3p2p1/pp1Ppb2/PPp2q2/N1P2P2/1K2B3/4RNQ1 w - -,g1g3
8/8/4bpk1/4p2p/4P2P/4BP2/1r1R1K2/8 b - -,b2b1
r2qr1k1/ppp3bp/2npb1p1/5p1n/2P1P3/2N1BP2/PPNQB1PP/3R1RK1 b - -,g8h8
3r2k1/1b5p/p4pp1/1pr5/3pP1Pb/1P1B1RN1/P1P4P/1K1R4 w - -,c2c4
3R1nk1/1p2rp1p/p4pp1/8/5P2/3B2P1/PPPK3P/8 w - -,c2c4
8/5Bkp/1n2P1p1/1p3p2/pP3P2/P1r5/3R3P/7K b - -,g7f6
r1brknR1/1pq2p2/p2p1P2/4p3/7B/5Q2/PPP4P/2KR4 w - -,f3h5
r1q5/pp1bRrk1/7p/2p2ppN/n1P3nN/1Q1P4/PP4BP/5R1K b - -,g7g8
3rr1k1/pp4pp/nqp1pn2/2b5/3NP3/P1N1BP2/1P3QPP/3RK2R w K -,b2b4
3r3r/2k2p2/2bp1p2/4pP1p/pPP1P2P/P4BP1/5K2/R3R3 w - -,e1d1
r1bqk2r/pp1n1pp1/2pb1n1p/3pp3/2PPP1P1/2N2N2/PPQB1P1P/R3KB1R b KQkq -,e5d4
8/1b5k/1p6/pB1pP1Q1/P2q3P/8/1P6/5K2 w - -,h4h5
8/kp4R1/pr6/2p1p3/2PpP3/qr1P2P1/3R3P/3Q2K1 w - -,g1g2
2R2r1k/7p/3pBq2/P2Pp3/8/3bQ1P1/5P2/6K1 b - -,f8c8
2rr2k1/pp1bqppp/2n1pn2/3p4/1P1P4/P1NQPN2/4BPPP/2RR2K1 b - b3,a7a6
r3k2r/1pqn1ppp/2p1p3/p1n1Pb2/P1B1P3/2N5/1P2QPPP/R1BR2K1 b kq -,f5g6
8/1k1p4/p1qPp3/1p2Br1p/2pRQn1P/2P2Pr1/PPP3p1/2K3R1 w - -,e4c6
6R1/8/3p3k/4b1p1/5r2/7K/8/8 b - -,g5g4
1r6/5k1p/1p1p1rp1/p4p2/2PR4/8/PP4PP/3R2K1 w - -,d4d6
3k4/1p3p2/2p3p1/p1n3Pp/P2N2rP/1PP1K2R/8/8 b - -,c5e4
8/p4pbk/1pbNq1pp/4P3/1P3P2/4B1P1/3Q3P/5K2 b - -,e6b3
2R5/5p1k/6p1/7p/3bQ3/1q4P1/5PKP/8 b - -,d4g7
3R4/pp2rpk1/2p3pp/8/2P1P3/5P2/PP6/5K2 w - -,f1f2
2r1r3/1p3qpk/p6p/5p2/1bB1p3/6Q1/P4PPP/2BR1R1K b - -,c8c4
3rr1k1/p4p1p/bp1q2p1/2nB4/P1P4P/3N2P1/Q4P2/2RR2K1 b - -,c5d3
8/8/p7/1p1pp3/3Pk1p1/1P4P1/P3K3/2b1B3 w - -,d4e5
3q1rk1/p4ppp/1r3n2/3pb3/8/1PN1PBPb/PB3P1P/R2QR1K1 b - -,b6d6
r1bqk2r/1ppp1ppp/2n2n2/p1b1p3/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq a6,e1g1
6k1/5ppp/Q1p5/P1P1p3/1P6/6P1/5P1P/3q2K1 w - -,a6f1
2b5/1pn1kp2/p5pp/3p4/1P1N4/3BPP1P/1P4P1/4K3 b - -,e7d6
r1bq1rk1/pp2bppp/2n2n2/1Np5/3p4/3P1NP1/PPP2PBP/R1BQR1K1 b - -,a7a6
5bn1/5rk1/pRp4p/P4r2/2N5/5RP1/4PPB1/6K1 b - -,f5c5
r1q1r1k1/1p3pbp/1np1b1p1/p5B1/1n1PN3/1P3NP1/P4PBP/R1QR2K1 b - -,e6d5
2qr1rk1/1b4bp/pp4p1/3pn3/3Np3/2P3BP/PPBQRPP1/3R2K1 w - -,c2b3
2r5/5pkp/1q4p1/2pQR3/2P2P2/5KP1/7P/8 w - -,e5e7
8/p2qppk1/6pb/2Qp3p/3P3P/4PBP1/PP3K2/8 b - -,e7e6
r2q2k1/pbpn2pp/1p1pp1r1/5p2/1PPPn3/P3PN2/1BQ1BPPP/R4RK1 w - -,g2g3:a1d1
r2qk2r/pp1nbppp/2p1pn2/8/3P4/3B1N2/PPP1QPPP/R1B2RK1 w kq -,f3e5
1rr3k1/2qn1ppp/2pb4/1b2p3/1P2P1B1/2N1B3/2Q2PPP/1RR3K1 w - -,c3b5
8/8/p1k5/P3K1P1/8/8/8/8 b - -,c6b5
5n2/4r3/3Rbk1p/r2Bp1p1/P4p2/2B2PP1/1P5P/6K1 w - -,c3a5
3qr2k/2r3bp/pNp2pp1/2P1p3/3B1P2/P2R2P1/3Q1P1P/4R1K1 b - -,e5d4
6R1/8/pB6/8/PK2p2k/3bPr2/7P/8 w - -,b4c3
8/8/3k1p1p/p1p4p/P1K1PP2/6P1/8/8 w - -,c4b5
2rr2k1/pp2ppbp/5np1/2pp1q2/8/1P1PP1P1/PBPNQPKP/R4R2 b - -,f5e6
r4rk1/1b2qpp1/1pp1p2p/4P1n1/PpQ2B1P/6P1/1P3PB1/R2R2K1 b - h3,g5h7
8/8/3k2N1/3n1pP1/p7/7p/1K6/8 w - -,g6h4
1rbqr1k1/2p2pb1/2np1npp/1p2p3/3PP3/2P2N1P/1PB2PP1/R1BQRNK1 w - -,f1g3
r2q1rk1/pp3ppp/2p5/5b2/3pPQ2/3P4/PPP3PP/R4RK1 w - -,e4f5
2r3k1/p1r2pp1/1ppq3p/4N3/3P4/1P2PQ2/P1R2PPP/3R2K1 b - -,c6c5
1rb1r1k1/p1q2pbp/5np1/1ppP4/2P5/P1N2N2/1PQ1BPPP/R3R1K1 b - -,c8f5
1r3rk1/1pp1nppp/p5q1/3p2P1/3P4/2P2NP1/P1P1QPK1/1R3R2 b - -,e7f5
8/p4pkp/1p6/8/P1rn4/3BK2P/6P1/3R4 b - -,c4a4
R7/3n1p2/4pkp1/p2p3p/P2P1P2/7P/6P1/6K1 b - -,d7b6
1r1q2k1/5p1p/p4Pp1/2p1r3/P2p1B2/3P1PN1/Q6P/3R2K1 b - -,d8f6
5rk1/1p1n4/1r1pq1b1/p3pNP1/P1pPP3/2P2R2/1PB3Q1/1R5K w - -,d4d5
r6k/pp4rq/2n1pQR1/3bP3/1P6/P7/5PPP/2B1R1K1 w - -,g6h6
6kr/1p4r1/3p1q2/p1pPn3/P1PpP1pP/1P2bpP1/R6N/1R1BQ2K b - -,b7b6
8/1p1rk2p/p2N2p1/2p5/2P5/3R4/PPP3PP/6K1 b - -,d7d6
8/4kp1p/4p3/1Bp2p2/P2b4/6P1/2R2PKP/r7 w - -,g2f3
r2qkb1r/pp2pppp/2n2nN1/3p4/3P4/2PB1P2/PP4PP/RNBQK2R b KQkq -,h7g6
8/8/4p3/1p1pP3/pB1P4/P4k2/1PK5/2b5 b - -,c1e3
2kr1b1r/pp2pppp/6b1/n1PN4/2P5/5P2/PP4PP/2R1KBNR w K -,b2b4
1n2rb1r/1kNbpppp/pB1p4/2P5/1p2P3/5P2/PP1R2PP/1K3B1R w - -,c7e8
r4r2/3b2k1/p2p2p1/1p1Pq2p/PPpNPpnP/5B2/3Q1PP1/R3R1K1 w - -,a1a3
r4r2/ppqnppkp/6p1/P1p5/1nNP2b1/1Q2PN2/4BPPP/1R3RK1 b - -,a8b8
8/5p2/4p1k1/5p2/R4PrP/7K/7P/8 b - -,g6h5
8/5n1k/p2p2pP/2pPp1P1/4P3/1P5r/P3KN2/6R1 b - -,h3h5
r3r1k1/6bp/n1q1pnp1/2p1p3/8/2NN2P1/PP3P1P/1RBQR1K1 b - -,e5e4
rn1qkb1r/1b3p1p/pp1ppp2/1N6/2P5/P1N5/1P2PPPP/R2QKB1R w KQkq -,b5d4
4r1k1/p5p1/2b5/1pb1n1BQ/4p1N1/2P2rP1/PP6/2KR4 b - -,e5g4
8/8/p5R1/4kP1P/6r1/8/2K5/8 b - -,g4f4
r4k1r/3qbp1p/2p1pnp1/1P6/pnBPPN2/1Q2BP2/1P3P1P/2R1K1R1 w - -,b5c6
1br1r1k1/pp3ppp/3qnn2/1N1p4/8/1P1QPN2/PB3PPP/2R2RK1 b - -,d6a6
8/8/8/pBk5/P1P5/7r/1K6/8 w - -,b2a2
