8/8/8/8/1pP2kp1/8/8/K7 w - -,a1b2
r1bqk2r/pppn1pbp/3p2p1/4p1Pn/3PP3/2N1BN2/PPP1BP1P/R2QK2R b KQkq -,e8g8
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/P1N5/1PPP1PPP/R1BQKBNR w KQkq -,f1c4
r3r1k1/1pp3p1/1b1p3p/p2P1pqP/3PP1B1/2B3P1/PP2Q3/2R1R1K1 b - -,e8e4
r1b2rk1/3qbppp/p2ppn2/Np6/4PP2/2NP4/PP1BQ1PP/2R2R1K b - -,c8b7
2r3k1/3bp1rp/6pQ/p2P2N1/1pB3n1/1P2qP2/P7/3R1K1R w - -,h6h4
8/1kp5/1p4p1/p2bN3/P7/4B3/1KP2Pr1/R7 b - -,d5e4
rn1qk1nr/1b2ppbp/p5p1/2p1P3/1p2BP2/2N2N2/PPP3PP/R1BQ1RK1 b kq -,b8c6
1r1q1rk1/pbNp1ppp/2nQpn2/1B6/4P3/2N5/PPP2PPP/2KR3R w - -,b5e2
r1bqkb1r/pp1n1pp1/2p1pn1p/3p4/2PP3B/5N2/PPQ1PPPP/RN2KB1R w KQkq -,e2e3
2r5/p5p1/3k1p2/2nB3p/1RP4P/4P1P1/P4P2/5K2 b - -,c5d7
R7/5k1p/3B4/1p3p2/8/5K1P/1r3P2/3n4 w - -,d6c5
1r3qk1/1B5p/pp2p1pn/6N1/8/6PQ/5P1P/3R2K1 b - -,b8b7
8/3b2k1/2n1q3/4p1PQ/4p3/1pB3K1/5P2/8 b - -,c6d4
r1b2rk1/pp1n1ppp/4pn2/q7/2PN4/P1P5/2Q1BPPP/R1B1K2R w KQ -,e1g1
8/p2kpp1p/7r/1pp5/5PP1/6K1/PPP1R2P/8 b - -,h6a6
8/5pk1/p5p1/npNP3p/3r3P/1P5P/P4P2/R4K2 w - -,c5a6
1rr3k1/p1pq2pb/4pp1p/1p5P/1PPPpQ2/P5P1/1B2PP2/2R1K1R1 w - -,g3g4
r1b2rk1/1ppnqpp1/5n1p/p1b1p3/2P5/P1N2NP1/1PQBPPBP/R2R2K1 w - -,c3a4
r2r2k1/5ppp/p7/1p1p2qP/3N2Q1/P6P/1P2BP2/3R2K1 b - -,g5f6
r2qk2r/pbppn1bp/1pn1p1p1/5pB1/2P5/2NP1NP1/PP2PPBP/R2Q1RK1 w kq -,f3h4
k4r2/p5p1/Pp2R2p/1b1p4/7P/R4N2/2r2PP1/6K1 w - -,f3d4
3rr2k/1bR3pp/7b/pq1pPp1N/1p1P4/6Q1/PP3PBP/2R3K1 w - -,h5f6
8/6p1/2p1ppP1/8/1PP2k2/p4b2/5K2/1B6 b - -,f3e4
3r1rk1/pp2pp1p/2p3p1/1q1p4/1PN5/4P1P1/P2Q1PBP/2R3K1 w - -,c4a5
4r1k1/pp3pb1/2r3p1/3Np2p/5N2/1P6/P1PB4/2K4R w - e6,h1e1
r2q1rk1/p2nbppp/bp2p3/2pp4/P1PPn3/NP3NP1/2Q1PPBP/R2RB1K1 b - -,e7f6
r2qkb1r/pppn1ppp/5n2/3p4/6b1/3P1NPP/PP2PPB1/RNBQK2R b KQkq -,g4f3
r7/6p1/3K3p/5p2/5P2/p4kP1/R6P/8 b - -,f3g4
r3kb1r/pp1n2p1/1qp1p1p1/5pP1/2PPp2P/1Q2P3/PP1B1P2/R3KB1R b KQkq -,e6e5
2rr2k1/4b1p1/pqp1p1p1/1p6/6Q1/2N3B1/PP3PPP/2R3K1 b - -,g8f7
2r3k1/p2n1ppp/8/1p1pP3/3P4/P1B2P2/3K2PP/7R b - -,d7b6
r1b1k2r/6p1/pq1B1p2/1pn1p2p/P1p1P3/2Q2P1P/1PP3P1/2KR1B1R w kq -,a4a5
rn1q1rk1/1p2bppp/p1b1pn2/1Bpp4/4PP2/2NP1N2/PPP1Q1PP/R1B2RK1 w - -,b5c6
2rq1rk1/4b1p1/p6p/1p2pPp1/n3p2P/2P2N1Q/PP2B3/1K1R3R b - -,d8c7
r1bq1rk1/ppn1ppbp/3p1npB/2pP4/P1N1P2P/2P2P2/1P1Q2P1/R3KBNR b KQ h3,g7h6
r1b3k1/1pbnqrpp/p3pp2/2p1p3/P1B1P3/1P2N2R/1BPP1PPP/R2Q2K1 b - -,d7f8
rnbq1rk1/pp2ppbp/3p1np1/2p5/3PP3/2PB1P2/PP2N1PP/RNBQK2R w KQ -,c1e3
1q2r3/p5k1/1b2p1p1/1p2p2p/1Pr1P2P/PNPQ2P1/2R3K1/3R4 b - -,e8d8
2rq1rk1/pp3p1p/1np2np1/5p2/Pb1P4/1BN1PP2/1PQ3PP/R1B2R1K b - -,c6c5
r4rk1/4q1bp/p5p1/1pp1np2/2P1p3/1PBbP1PP/PQ3PBN/3RR1K1 w - b6,c4b5
5k2/8/6K1/5PP1/2Bb4/8/8/8 w - -,f5f6
r5k1/p1p1qpb1/1n2r1pp/3pp3/8/1P1P2NP/PBPQRPP1/4R1K1 b - -,a8e8
4n3/r3kppp/1prp4/p3p3/2P1P3/PP2KPP1/3R3P/3R1B2 w - -,a3a4
4k2r/1R3p2/3Bp3/3pP3/3P4/P2b2P1/5P2/6K1 b - -,h8h7
1rb2rk1/6bp/pp1q1p2/2p1pR2/P2pB3/1P1P2P1/2P4P/R1BQ2K1 b - -,c8b7
8/6pp/1pn1kp2/p2b4/B3p2P/P1B1P1K1/1P3PP1/8 w - -,g3f4
rb2k1r1/1pq2p2/pn2bn2/3p2p1/P2Pp1P1/1QN1P3/1P1NBP2/R1B1K2R w Qq -,a4a5
3b4/8/5k2/1P1n1p2/3N1P2/4BK2/8/8 w - -,d4c6
k1r5/pN3R2/6p1/2Pp1p2/3P1n2/2K3n1/P5P1/8 w - -,b7d6
2B5/8/8/1NpPk3/2P2r2/3K4/8/8 b - -,f4f3
6r1/7p/5k2/3Pbp2/2Bpp3/1P4P1/P4PKP/3R4 w - -,f2f4
8/p7/Pk2p3/1pr4p/4PPpP/R1P5/5K2/8 b - -,c5c4
2r5/5kp1/8/4B3/4Kp2/P3pBP1/3r1b1P/7R b - -,e3e2
3rrb2/7k/1p1p1qp1/pPpRp2p/P3P2P/1P4PB/4QP1K/3R4 b - -,f8e7
r3qrk1/pbp1bppp/1p2pn2/8/2PP4/1P1B1N2/P3QPPP/R1BR2K1 b - -,c7c5
2krn3/2q5/p1Qp2p1/P1pB4/8/2P3P1/7P/3R2K1 w - -,d5e6
r4r2/2p2p1k/p2q4/2b1p1Qp/Pp2P1P1/1B4P1/1PP3P1/R3R2K b - -,h5g4
5r1k/7p/5b2/5n1p/2Q2P2/2n3BK/5P2/8 w - -,c4c5:c4d3
5r1k/4n1qp/B3R1b1/4n3/1P6/P1Q2PN1/6PP/7K b - -,e7c6
r1b1k2r/ppq2ppp/1npN4/2p1p1B1/4P2N/3P4/PPP2PPP/R2QK2R b KQkq -,c7d6
r5k1/1pp1b1p1/n2p3p/p2Pp3/2P1N3/PP2BrP1/5P1P/1R3RK1 b - -,a6c5
r4rk1/2qn2pp/1ppbpn2/3p4/3P1P2/4P3/PPQNB2P/R1B2RK1 w - -,d2f3
r7/8/1p4k1/p4n2/1bp1N1P1/8/1B2P1K1/7R w - -,g4f5
rn1q1rk1/pbp2ppp/1p1bpn2/3pN3/3P1B2/4P2P/PPPN1PP1/R2QKB1R w KQ -,f1d3
1R6/6pk/8/1pBr1p1p/1P6/5KPP/3b1P2/8 w - -,b8b7
6k1/3b3p/1p2qPp1/3p1n2/3P1Q1P/P2B1N2/6K1/8 w - -,d3f5
6r1/3q3k/4p1pb/1pB2p1p/4PP2/1P1P3Q/r1n2R1P/5NRK b - -,c2b4
8/4R1pp/4b3/1pk5/3pp3/1P5P/4K1P1/8 b - -,c5d6
6r1/8/1pkp4/4p2p/P1P4P/1P1R1KP1/8/8 b - -,g8f8
4k2r/1p3ppp/p3b3/4p3/qQ1n4/P2BB3/1Pr2PPP/1K1R3R b k -,a4b4
r2q1rk1/pbp2ppp/1pn5/3pP3/3Pn3/1Q1B1NP1/PP1b1P1P/R1BR2K1 w - -,c1d2
8/5kpp/8/p4p1P/5P2/p3r1P1/2P3R1/K7 w - -,a1a2
r1bq2k1/pp1nb1pp/2n1pr2/3p4/3P4/2NB1N2/PP3PPP/R1BQR1K1 b - -,h7h6
2r2rk1/2nn2p1/p1p2pbp/N1Pp4/1P3pP1/2P3BP/4P1B1/R1R3K1 w - -,g3f4
r1bq1r2/4ppbk/2p3pp/1p6/p1nPP2P/2P1B3/P1B1NPP1/R1Q2RK1 w - -,h4h5
r2r2k1/1b1nqppp/p3p3/2b5/Pp2PB2/3B1N2/1PR1QPPP/3R2K1 b - -,e6e5
3r2k1/5p1p/6p1/RpB5/1P1b4/6PP/P4P2/6K1 b - -,d4c5
8/3Q4/8/2k1r3/7K/8/8/1q6 w - -,d7c7
r2r2k1/2q1ppbp/1np3p1/p3P3/1pPPNP2/6P1/PB2Q2P/2RR2K1 w - -,h2h4
8/4k1rp/3p4/4p3/1PP1B2P/4b1P1/7K/5R2 w - -,h2h3
r3k2r/pp3p2/2pq2pp/4bb2/2P2P1P/3pP3/PP3PB1/R1QR2K1 w kq -,f4e5
r2r2k1/p3npbp/2ppb1p1/8/1q2PB2/2N3P1/PPQ2PBP/R2R2K1 w - -,d1d2
6k1/p4p1p/1p4pq/1N1Pn3/1p2P3/8/P3Q1PP/5rK1 w - -,g1f1
r6r/1p1b3p/3k1p2/1P1p2P1/1R3NP1/p1P2P2/P1NK4/8 b - -,f6g5
r4r2/p2pN1kp/1p1Pb3/4P1P1/8/1P1R1p2/P4R1P/2K5 b - -,e6g4
r3qn1r/2pb1pk1/1p1p4/p2Pp1Pp/P1P1P2P/1P3PN1/2Q4K/R3RB2 b - -,f8g6
8/k7/4R3/1p3p2/6p1/p3K3/6PP/8 w - -,e3d3
r1b2rk1/pp3qb1/2nQpn1p/5p2/2P2Pp1/2N3P1/PP2PNBP/R1B2RK1 w - -,d6c5
r3r2k/pp4p1/7p/P2p2b1/1P1Q4/2PR1qBP/5P2/R5K1 b - -,f3h5
r1bqkb1r/1p1p1ppp/p1n1p3/2p5/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq -,d2d4
8/2p1kp2/2Rb4/3p1N2/5PK1/6P1/r7/8 b - -,e7d7
7R/8/4k2p/4p1p1/7r/5PKP/8/8 w - -,h8d8
6k1/6p1/8/1N1RP3/3Prp1n/8/5K2/8 w - -,b5d6
r5k1/3KBRp1/6P1/4p3/5b2/5P2/8/8 w - -,e7d8
6k1/3R1pp1/6r1/1p3r1p/7P/3P1p2/P1P2P1K/1R6 w - -,b1g1
1r2bk2/2p3p1/2np1p1p/5P1n/2P1P3/2BPq3/Q6P/3BN1RK b - -,g7g5
6k1/1p3pp1/5n1p/p1q2P2/P7/3B2QP/2P3P1/7K b - -,c5b4
4k3/p7/1P6/P2B3p/3n1pp1/3P1p2/3K1P1P/8 b - -,a7b6
r4k1r/p4p1p/np2p2p/2ppP3/q2P2Q1/P1P5/2P1NPP1/R3K2R b KQ -,a4c2
7k/R5b1/p1p4p/Pp2n3/8/2P4P/1P4PN/6K1 w - -,a7a6
1r5k/4B2r/b1p1pPQ1/4P3/2pq4/1P1P2N1/8/5RK1 w - -,f1f2
3q1rk1/p3ppb1/3rbnpp/4N3/1B1P3P/3B1Q2/P4PP1/2R1R1K1 b - -,e6d5
2r3k1/5p1p/p2bp1pP/1p6/r2P3Q/P1P2R2/3BKPP1/q7 b - -,d6f8
r2qk1nr/1p3p1p/pNbpn1pb/P1p1p2P/2B1P3/2PQ2N1/1P1P1PP1/R1B1K2R b KQkq -,e6f4
R7/P4p2/5k2/7p/r7/4PK2/5P2/8 w - -,e3e4
6rr/1p1nqk2/p1pp1p2/4pQpN/1P2P1P1/2PPP3/1P3R2/5RK1 b - -,h8h6
r2qkbnr/ppp2ppp/3p4/4n3/8/4Pb2/PPPPB1PP/RNBQ1RK1 w kq -,e2f3
r2qkbnr/pp3ppp/2p1p3/1B1Pn3/4P3/5Q2/PP3PPP/RNB1K2R w KQkq -,f3c3
6k1/5p1p/4p1p1/4P3/1r6/4P2P/1PR3P1/6K1 b - -,b4b5
4r1k1/R4p2/2q3pQ/3p4/p1bb1N2/5BP1/2P3KP/8 w - -,a7a5
r4rk1/4ppbp/nq1p1np1/2pP4/4P3/1PN3P1/P3NPKP/1RBQ3R b - -,a6c7
2kr1r2/p6p/1pnq4/2p1pbp1/2P1Q3/2B1P3/PP2BPPP/R3KRN1 w Q -,e2g4
5rk1/p1qb2pp/2p1p3/2PpP3/Pr1BpPP1/4P2P/5RQ1/R5K1 b - -,d7c8
r1b2rk1/ppq1ppbp/6p1/2nn4/8/4NNP1/PPQ1PPBP/R1B2RK1 b - -,d5b4
3r4/2p2k2/2b5/2p2B2/2P5/1PK5/8/6R1 b - -,d8h8
r3r3/4kp2/p1bp1p1p/2q1pP2/NpP5/3R4/P2Q2PP/1B5K b - -,c6a4
r1bq1rk1/pp3pp1/1b3n1p/3p4/2nN4/1NP1B3/PP2BPPP/R2Q1RK1 w - -,e2c4
8/6k1/5p2/PP1Qpqpp/3r4/6P1/5P1P/4R1K1 w - -,d5c6
6r1/3p3p/p3p1rk/1pb2p2/5P2/2pP1B1q/PP1BQ2P/R4R1K w - -,b2c3
rr1nk3/3RNppp/pb2p3/1pp1PP2/1P2P3/2B3P1/6KP/3R4 b - -,c5b4
5rk1/pr3ppp/2N1p3/P5B1/1P2b3/6P1/2R2K1P/2QR1B1q b - -,h1h2
r2qkb1r/pp2nppb/4p2p/2npP3/3N4/2P2N2/PP2BPPP/R1BQ1RK1 b kq -,e7c6
Q1R5/8/1k5p/8/2K2q2/8/8/8 w - -,c4b3
r1bqnrk1/pp2ppb1/6pp/2pPp3/2P1P2B/2N2P2/PP2B1PP/R2Q1RK1 b - -,c8d7
8/8/2pk4/P1R5/1P6/2P1p3/6r1/4K3 b - -,g2g7
4n3/1p6/p2k1p1p/6p1/3PP3/3K4/P3N1PP/8 b - -,h6h5
5k2/1R2R3/1p6/p1r1p3/P6P/4PPK1/5P2/1r6 w - -,e7f7
4r3/p6p/1pb1kRp1/2pp2B1/4p1NP/PP6/6P1/6K1 b - -,e6d7
r1b2rk1/p2p1pb1/n2Npp2/Q1pP3p/2P1P3/1B3N2/1P3PPP/5K2 b - -,a6b4
6kr/6p1/4p2p/3bP3/2p2P2/8/1PP3RP/2B3K1 b - -,d5g2
8/1R6/6pk/1P2p3/3r1n2/4bPN1/2B5/3K4 w - -,d1e1
r1r3k1/5pp1/pp1Bpn1p/8/2PP4/Pn2P3/1P2BPPP/1N1K3R w - -,d1c2
4r1k1/p4pb1/4q1p1/Pp4B1/2prP3/5Q1P/RP4P1/5RK1 w - -,g5e3
6k1/8/2b3p1/3pQp2/2r5/5PP1/P2KP3/8 w - -,a2a4
8/p5pk/7p/r7/6P1/5K1P/1b3P2/8 w - -,f3g2
8/8/3K1k2/5p2/5PnP/5N2/7P/8 b - -,g4e3
2rr2k1/1bqnbppp/ppnpp3/8/2P1P3/2N1BP2/PPN2QPP/R2R1BK1 w - -,a1c1
rnbqk1nr/ppp1ppbp/6p1/3p4/8/P5P1/1PPPPPBP/RNBQK1NR w KQkq d6,d2d4
5rk1/p4pbp/2qP2p1/1rp1P3/2p1RP2/7P/P1Q2B2/2K1R3 w - -,e4c4
4k2r/1b3p2/p3pb1p/1p1pN1pP/1P1R4/P1r1R3/2P2PP1/1K3B2 w k -,e3c3
r2qk2r/4ppbp/p5p1/N2b3n/Q7/8/PP3PPP/R1B1KB1R b KQkq -,d8d7
4r2k/1ppbB1pp/8/1P2P3/8/4nN2/n3B1PP/2RR2K1 b - -,e3d1
r1bq1rk1/pp3pbp/1np3p1/8/3pN3/3P1NP1/PPQ1PPBP/2R2RK1 b - -,d8e7
1qr2rk1/3nbppp/3np3/N1Pb4/8/1P3NP1/1B2QPBP/R1R3K1 b - -,d7c5
3rn3/1p1r1pk1/p1bp2p1/2q1p2p/PPP1P2P/2NR1PP1/1Q6/3R1B1K b - -,c5b6
5rk1/6r1/p2p1nq1/2pPp2p/2P1P3/P2N2P1/2R1Q1P1/1R5K w - -,e2e1
r2q1rk1/ppp1nppp/2nb4/3p4/3P2b1/2PBBN1P/PP3PP1/RN1Q1RK1 b - -,g4h5
r3k1nr/pp3pbp/2q1p1p1/3pP3/3P2b1/2N2N2/PP3PPP/R1BQ1RK1 w kq -,h2h3
r1bq1rk1/pppp1n1p/6pb/3P1p2/3Q4/2N5/PPP2PPP/1K1R1BNR w - -,g2g3
8/5p2/5k2/3Pp1p1/4P2p/3r1P1P/4RKP1/8 w - -,f2e1
4r1k1/5pp1/p4q2/3Qn2p/1P6/P5PP/B3R1K1/8 b - -,h5h4
brr3k1/q2nppn1/p2p2pp/P7/4PPP1/2NQ3P/2P1N1BK/RR6 b - -,b8b1
3rk2r/1p2pp2/p2p4/2n2N1p/3R1P2/2P3P1/PP4KP/3R4 w - -,d1e1
rnbqk2r/pp6/3pp2p/2p2pp1/1bPP4/2NBPNn1/PPQ2PPP/R3K2R w KQkq -,h2g3
3q1rk1/1b3pbp/3r2p1/4pP2/1pNnP1P1/1P1PB2P/R4QB1/5RK1 b - -,d6c6
r3r1k1/pp3ppn/5n1p/1Pp2R1P/2P1p1P1/P3P3/2Q1BP2/3RKNq1 w - -,e1d2
1rb2rk1/5ppp/p1np4/3Np1q1/4P3/R5P1/1PP2PBP/3QK2R w K -,d1d2
4r3/2p1k3/5p2/pP5Q/8/4q2P/6B1/5R1K w - -,f1d1
3b1k2/5pp1/3n4/rP1p3p/NK1P4/2NR2P1/8/8 w - -,d3e3
5nk1/1q3p1p/p3n1p1/8/1p1PR1P1/4QP1P/PPr1NB2/6K1 w - -,e4e5
6k1/p7/5Qbp/3p2p1/3P4/1N5P/q3rPP1/5RK1 b - -,g6f7
2b4r/3q1pk1/1p4p1/pP1p1n2/P1pP1P2/5BP1/1B1Q1PK1/4r2R w - -,d2e1
r4r1k/6p1/p7/n2Q4/2pP1P1q/P1P3bP/1P4P1/R1BR1BK1 b - -,a5b3
4rrk1/4Qppp/p1q5/1p1bR1N1/5P2/2p3P1/PP5P/2KR4 w - -,e7b4
1r2r1k1/p2bpp1p/3p2p1/2qP4/2pN4/2Q2P2/PPP3PP/2KRR3 w - -,e1e4
8/2k5/3N4/3K4/8/4B3/8/8 b - -,c7b8
1Rr2k1r/p4ppp/2p2q2/3p1P2/3P1Q2/8/P1P3PP/4R1K1 b - -,c8d8
7k/1p4p1/2qp1r1p/1p2pPB1/1Pn1P3/3Q3R/6PP/7K b - -,f6f7
1r6/1Pk5/p3p2p/4p2R/3pB3/2bP2P1/P3PPK1/8 b - -,c3d2
r1bq1rk1/ppp2pbp/5np1/3pP3/3P1P2/6P1/PP4BP/RNBQ1RK1 b - -,f6e4
r1b2rk1/pp1nqp1p/2pb1pp1/8/3P4/3BPN2/PP2QPPP/RN3RK1 w - -,e3e4
r7/p2R1p1p/2r1k1p1/2p1p3/2P5/2b3P1/P3PP1P/2BR2K1 w - -,d1d5
2r2r2/p5pp/1p1nk3/4p3/3pP3/PP1NbN1P/R1P3PK/3R4 b - -,d6e4
3r1nkb/3r1q1p/1p2p1pP/p1p1P1P1/P1P1NP2/1PBp1Q2/3R2K1/3R4 b - -,f7f5
6N1/1R5p/4kp2/4p3/2n3K1/6PP/5r2/8 b - -,c4e3
rnbqkbnr/ppp2p1p/3p2p1/8/2PN4/6P1/PP2PP1P/RNBQKB1R b KQkq -,f8g7
2kr4/7p/P2PR1p1/2Bn4/8/6K1/5P1P/8 w - -,e6e5
1r2n1k1/p4pbp/4p1p1/3p1n2/1P1P4/PN2B1P1/2r1BP1P/2R2K2 w - -,c1c2
r2qk2r/pb1n1ppp/1pp1pn2/3p4/1bPP4/1PN1PN2/P2BBPPP/R2QK2R w KQkq -,e1g1
r3k3/p1pq2rp/Pp2p3/1Q1p1pp1/3P4/2P1P3/1P3PPP/R3K2R w KQq -,b5b4
r2q1rk1/1p3p2/p2pPP1p/7p/P2Q4/7P/1PP3P1/4RRK1 b - -,f7e6
r2q1rk1/1p1bppbp/p1p3p1/2B5/4PP2/2NP4/PPP2QPP/R4RK1 b - -,b7b5
rn3rk1/pbppqppp/1p2p3/8/2PPn3/2B2NP1/PP2PPBP/R2Q1RK1 w - -,d1c2
2r2rk1/p2nppbp/1q3np1/1p1P1bN1/2p1PB2/2N2B1P/1PQ2PP1/R4RK1 b - -,h7h6
2kr3r/3n2bp/p3q1p1/2pN1pP1/2P2P2/P2QB3/2K1B1P1/3R3R w - -,e2f3
8/8/4bp2/pBpk4/5K2/P1P5/8/8 w - -,b5e2
2rq1rk1/3n1pnp/6p1/p1bpP3/Pp1p1P2/1P1Q1N1P/1B2B1P1/2R2R1K b - -,g7f5
1r6/1p3pp1/2p1k2p/p7/P3P3/1PR4P/2P2PP1/6K1 b - -,b8d8
1r2r1k1/5pb1/2p1b2p/1p4p1/P1PpP3/3B2PP/P2N1P1K/3RR3 b - -,b5c4
1r3rk1/p2n1ppp/2pppn2/q7/2PPP2B/3Q4/P3NPPP/R4RK1 w - -,h4g3
8/5p2/8/3pP1k1/p2P2bp/1r6/1P1R2P1/3NK3 w - -,d1f2
5rk1/pp3p1p/6p1/8/3q4/P3R3/1P3PPP/1Q4K1 w - -,e3d3
r2q1rk1/pbpnbppp/1p3n2/3p4/3P1B2/P1NQ1NP1/1P2PPBP/R4RK1 b - -,c7c5
2r2rk1/pppb1ppp/2n5/8/3P4/PN2P3/4BPPP/R1R3K1 b - -,b7b6
rnb1k2r/1pqp1ppp/p3pn2/8/3NP3/2b1BP2/PPPQ2PP/R3KB1R w KQkq -,d2c3
8/5k1p/2p3p1/8/P7/1r6/2R3PK/8 b - -,b3b6
r1bq1rk1/p2nbppp/1p6/1BPpN3/8/4P3/PP3PPP/R1BQ1RK1 w - -,d1d5
q1rr2k1/pb2bpp1/1p2pnp1/2p1N3/2PP4/3BP2P/PB2QPP1/2RR2K1 w - -,f2f3
rn1qk1nr/ppp2pp1/3b4/4pb2/3pP2p/2P2N2/PP1P1PPP/R1BQKB1R w KQkq -,e4f5
r1bqkb1r/pp2pppp/2p5/6B1/2QPP3/2P2N2/P4PPP/R3K2R b KQkq -,c8e6
r1b1k1nr/1pq1bppp/p1npp3/8/2B1PB2/2NQ1N2/PPP2PPP/R3K2R w KQkq -,c4b3
r4r2/p4qk1/1p1p1n2/2pPp1pp/P1P1PpP1/2PQ1P1P/3N2K1/4R2R b - -,h5g4
8/1p6/6pk/2P4p/pP6/P7/3r2PP/5R1K b - -,d2a2
r2qr1k1/1pp2p2/2bpn3/p1n3pp/2P1PB2/2N1R1PP/PPQ2PBK/4R3 w - -,c3d5
8/8/8/5pp1/4k3/7P/5K2/8 w - -,f2e2
8/3p4/1p1k1n2/1p3P1B/2p2K1P/P2r1P2/1P6/6R1 b - -,f6h5
2kr2nr/pp1n2pp/1qp2p2/2b1p1P1/4P3/5N1B/PPPBQP1P/2KR3R w - -,d2c3
3r1rk1/B4pp1/4p1p1/4n3/P3P3/5q1P/1PQ2P2/R5KR b - -,d8d3
3r4/8/3B4/3K4/3R4/4k3/8/8 w - -,d4g4
5rk1/1p1n2pp/p2p4/2pP1p1P/P7/1PNB4/2PK4/4r2R w - -,h1e1
r2q1rk1/1bp3bp/p4pp1/1p1n4/3PN3/5N2/PPQB1PPP/R3R1K1 b - -,d5b6
8/5r1k/3p3P/p2P1p2/1p1r4/1P3KR1/1PP3R1/8 b - -,d4d5
8/4k1pp/4b3/2p1p3/2PpP1P1/1P3B2/3R1K1P/r7 w - -,h2h3
2r2b1k/Q7/2p4r/p3p3/P1B1P1p1/2P2pP1/5P2/R3K2q w - -,c4f1
r2q2k1/pbpn2pp/1p1pp2r/3P1p2/1PP1n3/P3PN2/1BQ1BPPP/R4RK1 w - -,d5e6
r1b1rnk1/1p2qppp/p1p5/3p4/3P2N1/2NBP3/PPQ2PPP/4RRK1 b - -,c8g4
