7k/p1R2pp1/8/3pP3/r6p/5r1K/7N/8 w - -,h2f3
r2r2k1/ppp1bp1p/4q1pB/4P3/2P1Q3/3B4/b4PPP/3RR1K1 b - -,c7c6
rq1r1bk1/1p1n1p2/2p1p1pp/p6n/P2PP3/1Q1N1P2/1P2NBPP/2RR2K1 w - -,g2g4
8/3r2k1/3pQn1p/1p1P2p1/6P1/5P2/4K3/8 b - -,b5b4
6k1/5pp1/8/1N5p/p1P2P1P/6P1/KP6/6r1 b - -,g1g3
r1b1kb1r/1pq2ppp/p1nppn2/8/3NP3/2N1BP2/PPPQ2PP/2KR1B1R b kq -,c6e5:c8d7
4b3/2p2rk1/prP1qn1p/2Rp1ppP/3Pp3/B1N1P3/P1Q2PP1/4K2R w K -,e1g1
3R4/8/3pk3/1Pp1p3/2P3p1/3PK1P1/1r3P2/8 b - -,b2b1
r1b2rk1/pp1n1pb1/1q1p1npp/2pPp3/2P1P3/1PN1BNPP/P4PB1/R2Q1RK1 b - -,f6e8
8/p3kbp1/1ppqpp1p/P4P1P/2Q1P1P1/1B6/KPP5/8 w - -,a5b6
8/5pkp/6p1/1p6/6P1/P3R3/1r3PKP/8 b - -,b5b4
8/3R4/p1n2p1Q/1b2P1p1/5k1P/1P6/2p3P1/4KN2 w - -,h6f6
r3bk2/5pp1/1B2pnn1/r6p/2P1P2P/1P3PN1/P2R2P1/1K1R4 b - -,a5a6
4b3/pp4k1/2n1P3/5Pp1/6P1/1P4K1/P7/6R1 b - -,g7f6
3rr1k1/1b5p/p5p1/1ppqpp2/6P1/P1PPQP2/1P3NP1/3RR1K1 b - -,g8h8
2krr3/pp4p1/q1p1pp1p/3n3P/2nP4/P2N2N1/1PP1QPP1/2KR3R w - -,g3e4
1r3rk1/2q2pp1/4pP1p/3pP2Q/3Nn1P1/Pp6/1P5P/1K1RR3 b - -,f8c8
2q1r1k1/R1pb1pp1/3p1nnp/1p2p3/3PP3/1BP2NN1/1P1Q1PPP/r5K1 w - -,a7a1
r3k2r/1b1n1p1p/6p1/4p1P1/1P1pP1NP/PKn2P2/6B1/2N3R1 b k -,e8e7
r4rk1/pp3pp1/7p/8/2RnN3/8/PP3PPP/R5K1 b - -,f8d8
rn2k2r/p2bbp2/1p2p1p1/3qP2p/4pP2/1NP1Q3/PP2BBPP/R3K2R b KQkq -,e8g8
8/5p2/8/1P4k1/6rp/P1P5/7R/K7 b - -,g4g3
r2q1rk1/pb1n1ppp/1p1ppn2/2p3B1/2PP4/P3P3/1PQ1NPPP/R3KB1R w KQ c6,a1d1
1r3rk1/2qb2bn/1p1n4/2pPp3/2P1Ppp1/R2B1P2/2QNNBP1/1R3K2 w - -,c2b2
8/8/pp6/2nK1pkp/8/5B1P/6P1/8 b - -,c5e4
1r6/2k5/2p1b3/1pb1p1pp/4B3/1P3PP1/NK2P2P/7R b - -,b8a8
r1bq1rk1/p1p1b1pp/8/5p2/2Pp1Bn1/3B2N1/PP3PPP/R2Q1RK1 b - -,g7g6
r2q1rk1/1pp2pb1/3pb1pn/p2Np2p/1nP1P2P/3P2P1/PP2NPB1/1RBQK2R w K -,a2a3
2br1rk1/1p4p1/p3p2p/3pR3/2P5/1P1B4/P2R1PPP/2K5 w - -,c4d5
6k1/pp6/4r3/2P3p1/2N4p/1P1pP1nP/P5P1/4R1K1 w - -,e1d1
r3r1k1/2nbqp1p/3p2p1/p1pPBP2/1pP1P1P1/1P5P/P2Q2B1/3NRRK1 b - -,e7e5
6k1/Q5p1/1p1Np1qp/8/3P4/P3n3/1r4PP/K5R1 w - -,a1b2
8/8/3ppkp1/7p/p2KP3/1b3PP1/8/R7 b - -,d6d5
r6k/8/4R1KP/8/8/8/8/8 w - -,h6h7
r3bn1r/6kp/2p3p1/1p2qp2/p1pR4/P1N1PBP1/1P1Q1PP1/2K4R b - -,f8e6
8/2R5/4pk2/p2r3p/Pp1PK2P/1P4P1/8/8 w - -,c7c5
8/4b3/5rK1/P2k2N1/6RP/8/8/8 w - -,g6g7
r3k2r/pb2ppb1/1p1pn3/6p1/1PP1P2p/P1N1BPqP/3QB1P1/2RR2K1 w kq -,e3f2
r5k1/6p1/6np/p1qp4/R1p2r2/2P2P1P/1P2Q1P1/R4N1K w - -,e2e6
r2qr1k1/pbpn1pb1/1p1p2p1/3Pp2p/2P1P1n1/BPN2N2/P4PPP/1BRQ1RK1 b - -,e8f8
8/5b2/1k6/1P6/PKP3p1/6B1/8/8 w - -,c4c5
r5k1/3nqpb1/6pp/B2Rp3/2NpP2P/3P2P1/5P2/1Q4K1 b - -,a8b8
3r4/5pkp/1ppp1np1/4p3/1r2P3/2NR3P/PPP2PP1/1R4K1 w - -,f2f3
r6r/ppp1kppp/4nn2/1P2p3/P1Pp4/4PP2/3P1P1P/R1B1KB1R b KQ -,f6d7
1rnq2r1/3k1b2/3p4/1p1Pp1bp/1Pp1Pp2/P1N2P2/6R1/1N2BKQR w - -,f1e2
1r3r1k/1R2p3/p2pPbqp/3Q1pp1/1B6/6P1/P3PP1P/2R3K1 b - -,b8b7
5rk1/1p2r2p/3p1q2/pPpPbp2/5B1P/1P1P1QP1/7K/4RR2 b - -,e5f4
8/8/8/k1p5/P7/1K4p1/3b1pB1/8 w - -,g2f1
8/2b5/1p2B1p1/6k1/P1P5/5K1P/8/8 w - -,f3e4
r3r2k/1p3ppp/b1qp4/p2Np3/P3P3/4bPQ1/1PP3PP/3RR2K w - -,d5e3
5rk1/pp2bppp/2n2n2/7q/5Q2/1PN3P1/PB3P1P/R3R1K1 w - -,g1g2
r1bqkb1r/1ppp1ppp/p1n5/8/B2QP3/8/PPP2PPP/RNB1K2R w KQkq -,a4c6
5k1r/pp1q1pp1/4pn1p/2b1QN1P/8/2B5/PPP2PP1/2K4R b - -,c5e7
r1r3k1/5pp1/p3pbp1/1p6/4P3/1QPB2qP/P5P1/1K1RR3 w - -,b3c2
8/8/6p1/2k1p2p/3nP2P/3K4/8/6N1 b - -,c5b4
rnb1k2r/1pq2ppp/p2ppn2/8/2PNP3/2PBB3/P4PPP/R2QK2R w KQkq -,e1g1:g2g4
1k1r3r/1ppqbpp1/p1n1b2p/3pP3/5B2/2P1QN2/PPP1B1PP/1K1R1R2 b - -,d7c8
3q2k1/4bppp/2B1pn2/2p5/2P5/1PB3P1/4QP1P/6K1 b - -,d8b6
3r2k1/p5pp/1p5q/4pp2/1bP5/1P2PP2/P5PP/Q1B2BK1 b - -,h6d6
5k2/p7/1p3p2/5P2/P2r3p/1B6/2P3PK/8 b - -,f8g7
3r1rk1/1p2qbpn/2p2p1p/1Pb1pP2/P3P2P/5QP1/6BK/1RB2RN1 w - -,b5c6
r3k2r/1pp2ppp/pbbpq3/8/PP2P3/2P3PP/3nQPB1/R1B2RK1 w kq -,c1d2
r2qk2r/1p2bppp/p1n1pn2/3p4/3P1Bb1/2N1PN2/PP2BPPP/R2Q1RK1 w kq -,a1c1:f3e5:h2h3
r5k1/pp3p2/3p2p1/1Ppq4/4Q1Pp/P6P/1P1N4/2K2R2 b - -,d5a2
8/6Qp/8/3p4/4b3/1k1r2P1/8/2K5 w - -,g7b7
6R1/8/8/6k1/5pp1/r7/5K1P/8 b - -,g5f5
r5k1/6bp/5pp1/2R2P2/1nQ2B1P/P2P2PK/4q3/5R2 b - -,g8f8
r4rk1/pppnn1p1/2qpb2p/2b2p2/4PP2/2PB2BP/PPQN2PN/1K1R3R w - -,h1e1
rnbqr1k1/pp3ppp/3p1n2/3Pp3/1pP1P3/5N2/PP1NBPPP/2RQ1RK1 b - -,b7b6
6k1/1pp5/p2p4/4nNb1/6n1/2P5/PP2K3/6R1 w - -,f5d4
4rk2/2pbrpb1/p2p1n1p/1P3Pp1/4P1P1/2P1NN1P/1PB1RK2/4R3 b - -,a6b5
2r2r1k/1p3p1p/p2Q1N2/8/4Pn1q/3B3P/PPP3P1/5R1K b - -,f4h3
r2q1rk1/1ppb1pbp/p1np1np1/4p3/8/PP2PNP1/1BPP1PBP/RN1QK2R w KQ -,d2d4
r3r1k1/2p2qp1/2bpn2p/p1p2P2/P1P3P1/1PQ1R2P/3NN2K/4R3 w - -,h2g3
2r3k1/1r2bppp/p1pB4/2PpPp2/1P6/P6P/5PP1/R3R1K1 w - -,f2f4
8/8/6kp/7R/6P1/2r5/5PK1/8 b - -,c3b3
r1b2rk1/pp3q1p/2n2p2/3pp3/5bP1/1NP2N2/PPQ2P1P/1K1R1B1R w - -,f3h4
r2q1rk1/pp2bpp1/2n1bn1p/3p4/Q2N4/2N1B1PP/PP2PPB1/R4RK1 b - -,d8d7
2rn1k2/pb3p2/1p2pB1p/8/6R1/3B3P/PP3PP1/6K1 b - -,b7d5
8/6R1/1kp2p2/2r5/4p3/4P3/4KP2/8 b - -,c5d5
1R6/5kp1/2p5/3b3p/5P1P/bB2B3/5P1K/4r3 b - -,f7e6
rn1qk2r/pbp1npbp/1p1pp1p1/8/3PP3/N1PBB3/PP1Q1PPP/R3K1NR b KQkq -,h7h6
7r/1p4kq/3r1p2/1P2pbp1/3n4/3p1PB1/3Q2P1/R2R1BK1 w - -,a1c1
8/4bppk/r1p4p/3pP3/1r1P4/2R3P1/5P1P/2NR1K2 w - -,c1e2
2r1k2r/1pqbbpp1/p2ppn2/4n3/P3PB1p/1NN2P1P/1PPQB1P1/1K1R3R w k -,f4g5
8/8/7p/7R/3kbp2/8/2R2K2/1r6 b - -,e4c2
3rrbk1/ppp2ppp/2n1b3/3q4/3P4/1P2PPP1/P1N3BP/R1BQ1RK1 b - -,d5b5
2r2rk1/pp2ppbp/2q3p1/2Np3n/3P4/1PNQn1P1/P3PP1P/2R2RK1 w - -,f2e3
5r1r/pk3P2/1pp1P3/3P1q2/4n3/2B5/PP3PQ1/2R2KR1 b - -,f5d5
8/7k/7p/Q7/8/7P/Pq4P1/7K b - -,b2c1
r1b2r2/pp1p1pkp/2n3p1/6B1/1P6/P4B2/2P2PPP/2KR3R b - -,c6e5
3rk2r/1p3ppp/p1b1p3/8/1N1q4/1Q1B4/5PPN/2R1R1K1 b k -,e8g8
8/1p2k2p/4p3/3pPr2/3R1P2/2p3KP/P7/8 w - -,d4d3
r2q1rk1/pp1Nbppb/2p1pn1p/8/2QPP3/2N3P1/PP3PBP/R1B2RK1 b - -,d8d7
r1bqr1k1/1pp2pp1/p1np1n1p/2bNp3/2P5/3P1NP1/PP1BPPBP/2RQ1RK1 w - -,b2b4
4r1k1/p4p1p/2Q3p1/2P5/3R1P2/4qbP1/6KP/4R3 w - -,c6f3
r1bqk1nr/pp3pb1/2n1p1pp/1N1P4/3p3P/5NP1/PP2PPB1/R1BQK2R b KQkq -,d8a5
6k1/2qn1ppp/p2P4/1p3PB1/4r3/PN6/1PPR2PP/5RK1 b - -,c7b6
1r3rk1/p3n1bp/3p2p1/P2P4/qpp1PP2/8/1P1Q2BP/1RN1R2K w - -,d2e3
r4rk1/2qnbppp/b1p2n2/p1Pp4/3Pp3/1RB1P1P1/P1QN1PBP/R3N1K1 b - -,h7h5
r4r1k/1pp3p1/2n3qp/PQB1p3/2B1p3/2PP3b/5PPP/R4RK1 w - -,g2g3
3r1nk1/2pr2q1/2b1p2p/1p2P3/3B1p2/2P5/1PB1Q1PP/R2R2K1 w - -,c2e4
rn1qk2r/1b2ppbp/3p1np1/pB6/Pp1NP3/4BP1P/1PP1N1P1/R2QK2R b KQkq -,b8d7
8/p3Qp1k/3p2p1/2pq4/8/5nP1/PB3P2/5K2 b - -,a7a5
rnbqk1nr/pp3ppp/8/2bp4/8/2P5/PP2QPPP/RNB1KBNR b KQkq -,g8e7
5rk1/5pb1/p2B2Pp/1pqP4/3Rr1P1/P1P5/1K6/3Q3R b - -,c5d6
2q4r/pp1b1k2/4p1p1/3p1pPp/2nP1B1N/P7/1P4PP/3QR1K1 b - -,c4b2
r2q1rk1/pnn2ppp/8/2p1b3/3pP3/5PN1/PPQ1N1PP/R1BR2K1 w - -,f3f4
3Q2nk/pp4qp/3p2P1/2pP4/2P1Bb2/5KP1/P7/8 w - -,g3f4
r4bk1/5p1p/p4Qp1/8/1P4b1/4P1P1/7P/1R4K1 w - -,f6c6
r1bq1rk1/pp1nppbp/2n3p1/2pp4/3P1B2/2P1PN1P/PP1NBPP1/R2QK2R w KQ -,e1g1
r4r2/p4pk1/2p2Rp1/1p2qb1p/N6Q/2B4P/PP4P1/R5K1 b - -,e5e3
1qrrb3/1p2kp1p/p2p2p1/8/2PQ4/2R3PP/P3PPB1/3R2K1 b - -,c8c5
r2qr1k1/pp4bp/2pp2p1/2P1n2n/4Pp2/1bN2P2/PP1QBBPP/R2R2K1 w - -,a2b3
1rbqk2r/2p2pp1/pbnp1n1p/1p2p3/P2PP3/NBP2N1P/1P3PP1/R1BQ1RK1 b k -,c8b7
8/1p6/3B4/1kP5/8/K4N2/7P/3r4 w - -,a3b2
2rqrbk1/pp3p1p/2n2np1/1NPp1b2/8/2N2P2/PP2BBPP/2RQ1R1K w - -,c3a4
8/6pk/4bp2/2R1p1p1/8/7P/2N2PPK/3r4 b - -,d1c1
8/5k2/4pp2/3nb1p1/2B3P1/5P2/3B2K1/8 b - -,e5d4
8/1R6/1b2pk2/7p/1p3n2/1P3P2/3K3P/8 b - -,f4d5
r1bqk2r/ppp3bp/2np1ppn/1B1N4/4PB2/5N2/PP3PPP/R1Q1K2R b KQkq -,g6g5
5rk1/1b2n1b1/2n2pp1/qp6/2p3PQ/2N1BN2/1PP4P/4RR1K b - -,c6e5
r1bqr1k1/ppp2pp1/3p1nnp/4P3/5P2/1NPB2B1/P1P3PP/R2Q1RK1 b - -,d6e5
3r2k1/5p1p/r2p2p1/1NpPn3/P3NK2/1P2P3/6PP/3R4 b - -,g6g5
r5k1/p1pp3p/1pn1prp1/2P4q/3P4/2P2N2/P3QPPP/3RR1K1 w - -,f3e5
3Bb3/7p/4p3/2b1kp2/p3p2P/2N5/3KB3/8 b - -,e8c6
8/1k4rr/5Q2/BpqP3p/6p1/2p3P1/6BP/4R2K b - -,c3c2
8/7p/5kp1/8/1Pp2pP1/2P2PnP/B5K1/8 b - -,g3e2
r1b2R2/5B2/7p/1pp1k3/p7/P5P1/1P3P1K/8 b - -,c8b7
5rk1/1p4p1/1P1Qpp2/2p3qp/2Nn4/3P3P/5PP1/4RK2 w - h6,d6c7
2kr1b1R/5p2/bpn1p3/p7/3p1P2/P1P3R1/2P1NPP1/4K3 w - -,g3g8
r3q1k1/p2b1rnp/1pp1p1p1/2PpP1B1/1P4PP/5P2/P2QK1B1/2R4R b - b3,b6c5
8/8/7p/6p1/4k1P1/PR5P/8/r5K1 w - -,g1f2
4r3/p3r1kp/2Pq1pp1/8/2Q5/6P1/P4PBP/4R1K1 w - -,e1e7
5rk1/R2bq2p/4p1p1/1pQp4/1Pn2P1n/8/4NPB1/5RK1 b - -,e7e8
2r1rbk1/1bq2ppp/pp1pp3/2n4n/2PNP3/P1N2P2/1PQ1BBPP/2RR2K1 b - -,c7b8
r1b1kb1r/p2n1ppp/2p1pn2/q5B1/1p1PN3/3Q1N2/PP2PPPP/R3KB1R w KQkq -,g5d2
rnbqk1nr/pp3pbp/2pp2p1/4p3/2P5/2NP2P1/PP1BPPBP/R2QK1NR b KQkq -,g8f6
r2q1rk1/pb1n1pp1/2p1pb1p/1p6/3PP3/2NQ1N2/PP2BPPP/R2R2K1 b - -,d7b6
r4q1k/ppn4p/3n3b/3p3P/3P1p1p/PPNQ1P1B/R7/2B3K1 w - -,a2g2
r2qkb1r/1p2pppp/p1n2n2/3p4/3P2b1/2N1PN2/PP2BPPP/R1BQ1RK1 b kq -,e7e6
r1bq1rk1/p1n1ppbp/1p3np1/3P4/2BP1N2/2N5/PP3PPP/R1BQR1K1 b - -,c8b7
1r1q1rk1/1ppbppbp/p1np1np1/3P4/2P1P3/2N1BP2/PP1QN1PP/2R1KB1R b K -,c6e5
b6k/6b1/P5B1/2p5/1p5p/4PPr1/1P2R1P1/2RN2K1 b - -,g3g6
3r1rk1/ppq3bp/2n1p1p1/3bNp2/2NPn3/1P4P1/PB2QPBP/2R2RK1 b - -,g7h6
4r3/5pk1/5np1/PR5p/8/2P2P1P/2Q3Pq/5KN1 b - -,h2d6
r1bq1rk1/ppp1bppp/1n1p1n2/8/3NP3/2N5/PPP2PPP/R1BQRBK1 b - -,c7c5:f8e8
8/p2r2kr/bp2qp1p/6p1/P1pPpPP1/2P1P2P/1R3QKB/5R2 w - -,f2g3
1r2r1k1/1pq2ppp/p7/2b1PR2/Pn2p3/4B1Q1/1PP1B1PP/2R3K1 w - -,e3c5
r2q1rk1/1b1nbppp/pp1p1n2/2pP4/P3PB2/2NB1N1P/1P3PP1/R2Q1RK1 b - a3,f8e8
1r4k1/p1p2q1p/2bp2p1/3Nbr2/1PP5/4B2P/P2Q1PP1/2R1R1K1 b - b3,c6d5
6k1/3r1ppp/pBn5/1p6/5P2/2b5/P1P1B1PP/2K4R w - -,e2g4
r7/2q3k1/p3Q1p1/2p1b3/1p6/1P2B3/1PP5/2K2R2 b - -,a8g8
2b5/p1p3rk/1pP2q1p/3PpP2/1P2P3/P3B2Q/4B2P/7K w - -,h3h5
2q1k2r/1p2bp2/p3p3/P2pP1p1/1P1P4/1R2Q1P1/3N1P2/6K1 w k -,b4b5
2b2rk1/p3qpp1/1n5p/1p2P3/2pP2P1/P1P2Q2/1P4B1/R3R1K1 w - -,d4d5
3r4/5pk1/p1R4p/P3P1p1/3r4/5K2/8/3R4 w - -,d1d4
r5k1/2qnppbp/3p2p1/1PpP4/4P3/5N2/2PB1PPP/3Q1RK1 b - -,c5c4
6k1/4B1r1/1p5p/5Q2/7P/1P4P1/P2q1P1K/8 w - -,e7f6
1k4q1/2p2p2/1p2p3/p3Pr2/P4P1p/1P1P1Q2/2P1R1PK/8 w - -,h2h3
6rk/5p2/p2p3p/PppPnP1q/4P3/1P4PP/2B2Q2/6RK w - -,h1g2
r1b2rk1/1q2bppp/pN1pp3/4n3/1p1NPn2/1B2BP1Q/PPP3PP/R2R2K1 w - -,e3f4
rnbqk1nr/ppp1ppb1/6p1/3pP2p/3P1P2/4B3/PPP3PP/RN1QKBNR b KQkq -,g8h6
r1b1kb1r/pp3p1p/2n1p1p1/3p4/1P1P1N2/2PB2P1/1P3PP1/RN2K2R b KQkq -,c6e7
8/p5p1/1b1kp2p/5p2/1p1P1P2/3K2PP/PPB5/8 b - -,b6d8
2r2k2/p4p1p/2p1b1p1/2Pp4/1P6/P2BRP2/6P1/5K2 w - -,f1e2
1r5q/4rpbk/pp1p2p1/3P1b1p/PPP1pPP1/R3B2P/R3BQ2/6K1 b - g3,f5c8
8/p7/2pb1kp1/3n3p/2BP2K1/7P/PP1B4/8 w - h6,g4f3
8/8/2p5/p4pp1/P2Pk1P1/4P1R1/2r5/5K2 b - -,f5f4
3r1rk1/1p4p1/p2P4/5p2/4q2P/P4Q1p/7P/3R1RK1 b - -,e4h4
2rq1rk1/1b1n1ppp/pp1bp3/3p4/3NnP2/1PN1P3/PB1PB1PP/2RQ1RK1 b - -,d8e7
r1b1r1k1/1p2qpbp/p1pp2p1/8/2PNP1n1/P1N3P1/1P1QBPP1/3R1RK1 b - -,g7h6
6k1/pp3p1p/2p3p1/2n5/8/1BPQbP2/PP3BPP/6K1 b - -,e3f2
8/8/k2K4/1r6/PPN5/8/8/8 w - -,a4b5
2r5/p3kppp/1p1pr3/8/1PPK4/P2R2P1/2R2P1P/8 b - -,e7d7
r1b1k2r/p3ppb1/1n1p3p/q1pP2p1/4P3/2P1NNP1/P2Q1PP1/2R1KB1R w Kkq -,f1d3
2r1rnk1/4qppp/p1pb4/1p1np1P1/4Q2P/1P2PN2/PB1PBP2/2R1K1R1 w - -,c1d1
1r3rk1/p4ppp/1qb1p3/4P3/3R1P2/1BN3P1/PPPQ3P/1K6 b - -,f8d8
r1r1q3/p5kp/1p2p1p1/8/2R1P3/1P5P/P3QRP1/6K1 b - -,c8c4
r5k1/2q2pbp/4b1p1/N1B1p2n/1P1pP3/3B2P1/P4P1P/R1Q3K1 b - -,h5f4
2b2rk1/4qr1p/p1pp1bp1/1p2pp2/1P2P3/2BP1P1P/1PP1Q1PN/3R1R1K b - -,f6h4
r7/P4k1p/6pB/1p1R3n/8/1p3P2/1r5P/R6K w - -,d5b5
8/pp2qpk1/5n1p/2pB2p1/6P1/P1Q1P2P/1P3PK1/8 w - -,d5f3
8/1kp2R2/4rp2/pppNb1p1/P3P2p/2PK1P1P/1P4P1/8 b - -,b5b4
2r1rbk1/5p1p/Rp4p1/1Q6/1P1Bp3/1qP3P1/5P1P/3R2K1 w - -,b5a4
rnb2rk1/p3qppp/1p2pn2/2pp4/3P4/2PBPN2/PP1N1PPP/R2QK2R w KQ -,e1g1
6k1/q5p1/4p2p/3n1p2/1pnR4/1N3P2/rPP2QPP/6K1 w - -,d4c4
6R1/2r3k1/1p3rp1/pPbB3p/P1P2p2/6P1/4R1K1/8 b - -,g7h6
8/2n5/p1p1k3/N1P3p1/1P2P1Pp/P2K3P/8/8 b - -,e6d7
3n4/1p1k2pp/1p3p2/4p3/4PP2/6B1/PP2K1PP/8 b - f3,e5f4
2br2k1/r4pp1/1qn2n1p/pp1p4/2pPPB2/P1P2PN1/2B3PP/R1Q2R1K b - -,b5b4
5bk1/3r1p2/6p1/p1pBq3/P7/1P3QPp/5P1P/3R2K1 w - -,d5c4
3r2k1/2q2pp1/1pp1pb1p/2Pr4/1P1P4/4QN2/3R1PPP/3R2K1 w - -,d2d3
2r3k1/p3pp1p/4b1p1/1rPp4/8/1PR1PN2/P4PPP/4K2R w K -,c5c6
3r4/3P1k2/5Rp1/5pKp/p4P2/B6P/6P1/8 b - -,f7g7
7k/Q5b1/4q1pp/1P2p3/P2rP2P/6P1/5RK1/R7 b - -,e6g4
r1q3k1/6pp/3p1r2/3Pp1nQ/PRp1Pp2/2N5/3B1P2/4R1K1 w - -,e1b1
8/6pk/5pb1/1PB4p/8/4R2P/5PPK/5r2 b - -,f1f2
r1b2rk1/1p3qpp/pN1p1p2/P1p1pP2/2PnP3/5N2/1PPQ2PP/R4RK1 b - -,a8b8
1br1r1k1/5pp1/pp4q1/3p3p/1P1BnPb1/PN2PB2/6PP/3QRRK1 w - -,f3g4
r4rk1/1q1npp1p/ppbp1npb/2p5/P1BP1P2/N1P1P2P/1P1NQ1PB/2R2RK1 b - -,c6a4
1n3r1k/4b1pB/4p1qp/1N1p2p1/3P4/4P1P1/5P1P/5RK1 w - -,h7g6
2rq1rk1/p3bppp/2p1p1b1/Pp2P3/1nBP1B1n/1N5P/1P2QPP1/R1R1N1K1 w - b6,a5b6
r1b1kb1r/pp3ppp/1qn1p3/2pp4/3PnB2/1QP1PN2/PP3PPP/RN2KB1R w KQkq d6,b1d2
k5r1/p1q2p2/2b5/1Br1p2p/n1P5/Q3P1B1/5PPP/RR4K1 b - -,c6b5
1r1b2k1/1r1n2pp/n2p1p2/q2PpP2/P1Q1P3/2P4P/R1BB1P1K/R3N3 w - -,c4e2
2r2rk1/1b3qb1/p2p2p1/1p3p1p/3NP1nP/3P2Q1/PP1BN3/R3KR2 w Q -,e4f5
2q3k1/p2rbp2/n1p2p1p/Q1P3p1/3Pr2P/1R2BNP1/P4P2/1R4K1 w - -,g1g2
8/1B5k/8/P3r1p1/8/3KP3/8/8 w - -,a5a6
1brq1rk1/pb3ppp/1p2p1n1/8/P1NBpPP1/1P2P3/2PN3P/R2Q1RK1 w - -,d4b2
