8/8/4R1Pk/8/4p2K/6P1/8/4r3 w - -,h4h3
R4b2/6kp/3pN1p1/1r1Pp3/2n5/2B5/1P3KPP/8 b - -,g7h6
8/8/8/7R/8/p7/k1K5/8 w - -,h5h3
q4rk1/pbr2ppp/1p2p3/2p1N3/P1PPnP1b/3BP3/1B2Q1PP/2R2RK1 b - -,h4f6
r1b1k3/3p2b1/p2Q4/1p6/4P3/2P5/PP4PP/5K2 w - -,d6d5
r2qk2r/p1p2p2/2ppbn2/6pp/1b2PP2/2NB2B1/PPP3PP/R2Q1RK1 b kq f3,h5h4
2b2rk1/pr4bp/3p2p1/2ppp3/6P1/1P1P2N1/P1PB1PP1/1R3RK1 w - -,f2f3
2r3k1/1p3p1p/1qr1pnp1/pN6/P2PQ3/1P5P/2R2PP1/2R3K1 w - -,e4e2
r4rk1/pp2bppp/nqp2nb1/3p4/4P3/2NP1NP1/PPQ2PBP/R1B2RK1 w - -,c1e3
r1b1k2r/ppq1bpp1/2nppn1p/8/2B1P2B/2N2N2/PP2QPPP/R2R2K1 b kq -,c8d7
3q4/5p1k/r2p1Pp1/1b1NnB1p/p1Pp3P/P2P2P1/8/3Q2K1 b - -,h7h8
8/8/8/p4R2/1r2p3/2K1P1k1/8/8 b - -,b4a4:b4b7
r1bqk2r/pp3pbp/2np1np1/2p1p3/4P3/2NPB1P1/PPPQ1PBP/R3K1NR w KQkq -,e3h6
r5k1/4pp1p/1qNp1bp1/2nP4/1pB1P3/2p3P1/2P2P1P/3QR1K1 b - -,b4b3
r1b1k2r/pp2qpp1/2pb3p/8/2P5/2B2n2/PPQ1BPPP/2KR3R w kq -,e2f3
2r3k1/3qn1bp/4p1p1/p1pnP1B1/1rR1Q1PP/3P4/P5B1/3NR2K b - -,c8f8
r2r2k1/pb3p1p/1pn1p1p1/3P3q/2B5/1P3N2/PQ3PPP/3R1RK1 b - -,e6d5
8/5pk1/p5p1/1b1R2P1/2R1PK1P/8/8/8 b - -,b5c4
3r4/pb4pp/2n3k1/4P3/2B5/1P6/1P2KPPP/R6R w - -,f2f4
b2r4/p2r1pk1/2p1p1pp/1pP1P3/1P1PB1PP/3RK3/P7/3R4 b - -,a8b7
8/8/r7/8/2p3R1/1k6/5P2/5K2 b - -,a6e6
r1b1kb1r/1pq2ppp/p1Bpp3/4P3/3P4/1QP2N2/P4PPP/R1B1K2R b KQkq -,c7c6
r1b1k2r/pp1n1ppp/1qnbp3/3p2B1/3pP3/2PB1N2/PP1N1PPP/1R1QK2R w Kkq -,e4d5
2r2rk1/p4ppp/n1nNp3/3pP3/P2P4/5N2/1P3PPP/2RR2K1 b - -,c8c7
6k1/6p1/2R4p/p2p4/2nr1B2/6K1/6P1/8 b - -,a5a4
8/8/2p5/2P1k1pp/P7/1r5P/6P1/2R3K1 b - -,e5d4
r4rk1/ppp1ppB1/1nn1q1p1/7p/7P/2NP1NP1/PP1QPPK1/2R2R2 b - -,g8g7
8/7p/p1R5/5p1k/4N3/2P2K1P/8/3r4 w - -,e4f2
1r1b1rk1/2pbn1pp/p2p1pqn/1pP1p3/1P3P2/PNNPP1P1/1B4BP/2RQR1K1 w - -,c5d6
r2r2k1/1qp1bpp1/p1npbn1p/4p3/PpN1P3/1B1PBN1P/1PP1QPP1/3RR1K1 b - -,f6d7
8/4k3/3R4/1P6/5K2/3Rp1P1/2P4P/4rr2 w - -,f4e5
8/2N5/8/kp6/p2Kn3/P7/1P2B3/8 b - -,e4g3
6k1/1pq2pp1/p3b2p/3R4/2r5/P3PQ1P/1P3PP1/3R2K1 b - -,e6d5
8/5p2/pp5k/2p1P3/4KP2/P3P3/1r5p/7R b - -,h6g6
8/3b2k1/1p6/2p3Pp/P1P1BP1P/1P5K/5b2/8 w - -,f4f5
3r1r1k/1q2bppp/p2pp3/1p2P3/3NbP2/P1P1B1Q1/1P4PP/4RRK1 b - -,b7c7
2b5/2P1kp1p/1r3pp1/8/3N4/3BPP2/r4KPP/2R5 w - -,f2g3
3r1rk1/ppq1ppbp/2n2np1/2p2b2/2P5/P1NPPN2/1BQ1BPPP/R4RK1 w - -,c3d5
rq3rk1/1p1nbppp/2p1p3/5b2/p2P4/2N1P1PP/PP1BQPB1/R2R2K1 b - -,f8e8
6k1/1r3p1p/q1b1pbp1/p1B5/1pPP1P2/2P3P1/1R2Q2P/1R4K1 b - -,g8g7
r1bqkb1r/3n1ppp/p3pn2/1pp5/P2P4/2NBPN2/1PQ2PPP/R1B1K2R b KQkq a3,b5b4
3r2k1/1p2b2p/2b1p1p1/p1P5/1nBnNP2/B1K1N3/PP4PP/7R w - -,e4g5
2k1r3/p7/1p3ppp/nP3b2/1R1p4/P5P1/2P2PP1/2BK1B2 b - -,e8d8
r4rk1/1bqnbppp/ppnpP3/8/P1Q1P3/1NN1BB2/1PP3PP/R4RK1 b - -,d7e5
rn2kb1r/pp2pppp/2p5/2nb4/2pN4/N4PP1/PP1PP1BP/R1B1K2R w KQkq -,e2e4
r3k2r/p4p2/qp2p1pp/3pP3/P2P1Q2/2P5/3K1PPP/RR6 b kq a3,a8c8
4r3/ppn2pk1/2p2np1/3p3p/PP1P3P/2P1NP2/5KP1/R4B2 b - a3,a7a6
2q5/2PR2b1/1pQ1b1kp/5p2/4r3/6P1/2N2P1P/6K1 w - -,d7d8
8/p4p1p/1p2pk2/6R1/1P2P2P/5KP1/3r4/8 b - h3,d2d3
8/1PK5/4k3/7p/2r4P/7R/8/8 w - -,c7b6
rn2k2r/pb1ppp1p/6p1/1B2q3/3Q4/2P1N3/PP3PPP/R3K2R b KQkq -,e5d4
r3k1nr/1pq1ppbp/p1p5/2p1P1p1/6b1/3P1NB1/PPP2PPP/RN1QK2R w KQkq -,b1d2
r2qk1nr/pp1n1ppp/2pbb3/4p3/3PP3/2PB1N2/PP4PP/RNBQ1RK1 b kq -,h7h6
r1bq1rk1/1p2bppp/p1n1p3/3n4/3P4/2N2NB1/PP2BPPP/2RQ1RK1 b - -,e7d6:d5c3
r1bqkbnr/1p1p1ppp/p1n1p3/8/3NP3/1P6/PBP2PPP/RN1QKB1R b KQkq -,d8f6
r1bq1r2/2p1p1bk/p1n2n1p/3p1p1P/1pBP1Np1/4P1B1/PPPQNPP1/2KR3R w - -,c4d3
5rk1/p1pq2bp/6p1/1n1Pp3/R5P1/1P2B3/P5BP/3Q2K1 w - -,d1d2
2rq1rk1/1b2bppp/1pp1pn2/p7/1PP1P3/P1N1Q3/4BPPP/R1B1K2R w KQ a6,a1b1
r1bqkb1r/pp1p1pp1/2n1p3/2p3Pp/3nP3/2NPB3/PPPQ1PBP/R3K1NR b KQkq -,g7g6
8/7p/8/1P6/3B2k1/3K1p2/p6b/8 b - -,g4g3
r2r2k1/3nppbp/1n1p2p1/q1pP4/P3P3/R1N2PP1/1P1NQ1KP/2BR4 w - -,f3f4
1r2nbk1/2qn1pp1/2p1p2p/1rPp4/3P1PP1/2B1P2P/2QN2K1/R4R1N b - -,f8e7
8/8/KP6/P7/8/3k4/8/2r1R3 b - -,c1e1
r2q1rk1/p4ppp/1pn2n2/3p4/2pP2b1/P1P1PN2/2B2PPP/R1B1QRK1 w - -,f3e5
r2q1rk1/1Q2ppbp/n1p3p1/8/p1RPb3/1P3NP1/PB2PPBP/5RK1 b - -,d8d6
8/6p1/3pk2p/1nb5/5NP1/5K2/3B1P2/8 b - -,e6f7
6R1/8/8/2K5/1r6/pk6/8/8 b - -,b4c4
2r3k1/1q3p2/5Qp1/7p/p6P/6P1/5P1K/4R3 w - -,e1e7
r4rk1/pppqnpp1/2npb2p/2b5/4P2B/2PB1N2/PPQN1PPP/1K1R3R w - -,h2h3
r4rk1/pbq1bp1p/1pn5/2p1p1p1/3pP1P1/1PPP2P1/PB1N1PB1/R2Q1RK1 b - -,b7a6
8/1k3pp1/pppr1q1p/Pn3P2/1PR1B3/4P2P/2Q1KP2/8 w - -,c2c1
r5k1/5pb1/1n4p1/1p1P3p/1PpNPRbP/8/r1B1N1P1/1R2K3 w - -,c2d1
2rr2k1/pp1n1pp1/2p1pnp1/q7/PbBP4/4P2P/NPQ2PP1/R1BR2K1 b - -,b4e7
4R3/8/5rp1/3k4/6Pp/8/4P1KP/8 w - -,g2h3
rnb1kb1r/ppp2ppp/5n2/4p3/2B1P3/2N1B3/PPP2PPP/R3K1NR b KQ -,c7c6
2r3k1/3qn1pp/pp3r2/n1Pp1p2/P4P2/B1PP4/6PP/1R1Q1RNK b - -,b6c5
1r3n1k/r4qp1/1pppbp1p/4p3/pPP1P1PP/P2BPPQ1/1B1R4/2R3K1 w - -,f3f4
8/1r1n2p1/2rkp2p/R3p3/R1p1P3/1pP2P2/1P2K1PP/6B1 b - -,d6e7
1n4k1/rq1Nppbp/2rp2p1/p7/4P3/1P2BP2/P1RQB1PP/2R3K1 b - -,b7d7
2b3k1/5pp1/p2pp3/6bp/1n2P3/4BP2/qPP5/2KR1B1R w - -,e3g5
r1bq1rk1/p2nbppp/2n1p3/2ppP3/1p1P4/1BP2N2/PP3PPP/R1BQRNK1 b - -,b4c3
2rr2k1/p4ppb/1p1np2p/2p3P1/n1N1PP2/B1P1RB1P/P1P2R1K/8 w - -,c4d6
r2r2k1/4bppp/1q1np3/1p1bN3/1P6/P1P1B3/2Q2PPP/R3RBK1 b - -,b6b7
2rr2k1/p4p1p/R1p3p1/1nPp4/5B2/8/5PPP/4R1K1 w - -,f4d2
8/3kn3/1b2p1p1/3pPnPp/p1pP3P/P1P2N2/1K3BN1/8 b - -,d7e8
2k1r3/8/5n2/p3r2p/8/1P3b2/PBP4P/2K1R3 w - -,e1e5
1Q2Rb2/6kp/2p2pp1/p1Nq3n/P2P4/2P4P/5PP1/6K1 w - -,e8f8
1qr1r1k1/p4pp1/5n2/P1bpn1p1/1p1N2P1/1P2PP2/R2B2BP/3Q1R1K b - -,e5c6
8/6k1/6p1/R5K1/5PP1/1P6/8/1r6 b - -,b1b3
r7/Pr3kp1/1B4p1/5pK1/R6P/6P1/5P2/8 w - -,b6e3
1rb1kb1r/3n1ppp/1qp2n2/p2pp3/8/P3PN2/RBPPBPPP/1NQ2RK1 b k -,f8d6
1r2bk2/5pp1/p6p/N2n4/1P1p4/4P1P1/5P1P/1R3BK1 w - -,f1a6
8/r5kp/p4pp1/1p1Pp3/4P3/PP3R2/2BK2PP/r2N4 b - -,a1a3
5rk1/1p1q4/3p2pb/Q1pPp3/p3P1p1/PP1P2P1/5PK1/1R6 b - -,d7f7
4R3/8/4p3/3k4/3p4/7r/4K3/8 w - -,e8d8
8/3k4/r6p/1p1BP1p1/1P4P1/3pb1PP/8/1R1K4 b - -,a6a3
3r2k1/p4pp1/1p3b2/2p1q3/3P4/P1P1BQ1P/1P4P1/3R3K b - -,c5d4
8/8/3p4/3P2pp/7k/4bR1P/3r2P1/5K2 w - -,f3e3
5r2/ppp1b1k1/1n2P2p/6p1/3r4/P2B2PP/1PP1RP2/3R2K1 w - -,b2b3
4kb1r/1p1nppp1/p2p4/3N2Bp/2r1P2P/5P2/PPPR2P1/1K5R b k -,e7e6
r4rk1/p3qpp1/2pbb2p/P1B1p3/Qp6/3P2PP/1P2PPB1/R1R1N1K1 b - -,d6c5
r1b1nrk1/pp2qppp/2nbp3/2ppN2Q/3P4/2PBP1B1/PP1N1PPP/R3K2R b KQ -,g7g6
8/5n2/B6p/6p1/6P1/4k1K1/8/8 b - -,f7d6
5rk1/pb3rb1/2nPp3/p1B5/2PP1Ppq/1Q6/1P2NRpP/R5K1 b - -,e6e5
1r2r3/1p3p1k/p3bb1p/2PBp3/1P2P3/2PR4/5PPP/2BR2K1 w - -,f2f4
r2qk2r/ppp2ppp/2nbpn2/3p4/3P1Pb1/1P2PN2/P1P1B1PP/RNBQ1RK1 b kq -,e8g8
r4rk1/ppn1q1bp/2p1bnp1/2P1pp2/1P2P3/2N2NP1/P3QPBP/1RB1R1K1 b - -,f6e4
r1bqk2r/ppp1npbp/2n3p1/3pp3/2P5/3P1NP1/PP1NPPBP/R1BQ1RK1 b kq c3,d5d4
r1b2rk1/p1q2p1p/2pb2p1/3p3Q/1P6/3BB3/P1P2PPP/1R2R1K1 w - -,h5h6
r1b2rk1/pp1n1pp1/3b3p/4P3/8/B3nN2/PPBR2PP/2K4R w - -,a3d6
7r/6p1/1p1kp1B1/p2b4/8/P3KP1P/1P4P1/2R5 w - -,c1c3
2kr3r/ppp1qpp1/2nBpn1p/3p3P/3P4/2NQPN2/PPP2PP1/1K1R3R b - -,e7d6
rnb1k2r/pp1ppp1p/1q5b/2pP1p2/8/4P3/PPP2PPP/RNQ1KBNR w KQkq -,c2c4
3r3k/p1p3bp/5p2/Pp3P1Q/3pP2P/1P1q1N2/8/6RK w - -,h5g4
4r1k1/1p4pp/r1p1qp2/3n4/p1NPp3/P3P2P/1PQ2PP1/2R2RK1 b - -,g8h8
6k1/5pp1/1Rn1p2p/p1r1P3/P5P1/4PN1P/5K2/8 b - -,c6e5
r2q1rk1/1ppb3n/n2p1bp1/p2Ppp1p/1PP1P3/P1N1BP1P/3NB1P1/R2Q1RK1 w - -,c4c5
r4r1k/p1pqnppp/1p1p4/8/2PPPB2/3P1QPP/P4RK1/R7 w - -,a1f1
r3k2r/ppqn1pp1/2pb4/6p1/1B1Pp3/1Q2P2P/PP2BPP1/R4RK1 b kq -,d6b4
1q3rk1/3nbppp/1p2b3/1Q6/5B2/2NP1P2/1PP1N1PP/5RK1 b - -,e7d6
2r1r1k1/2qbppbp/3p1np1/1p1P4/8/P1P2P2/P3RBPP/N2RQB1K b - -,c7c3
r1bqk2r/ppp2pbp/3p4/4n1p1/2P5/2N1P1B1/PP3PPP/R2QKB1R w KQkq -,f1e2:h2h4
r1b1r1k1/pp1nqpbp/2p2np1/3pp3/1PP5/PQ1P1NP1/3NPPBP/1RB1R1K1 b - -,e5e4
r2q1rk1/pb1n1ppp/1p3n2/2pp4/2PP4/P3PN2/1BQ2PPP/R3KB1R w KQ -,d4c5
2r1r1k1/p2N1pp1/2P1p2p/5q1n/1R6/8/PP2QP2/K1R5 w - -,e2e3
r1b1k2r/1pqpbppp/p1n1pn2/8/3NP3/2NBB3/PPP2PPP/R2Q1RK1 w kq -,d1e2:g1h1:f2f4
r1bqkb1r/3p1ppp/p1p1p1n1/2p1P3/4N3/5N2/PPPP1PPP/R1BQ1RK1 b kq -,d8c7
8/8/2p2k2/1rB1R3/2p2P2/2P4b/8/6K1 w - -,g1f2
rn2brk1/p4pbp/6p1/2pP2N1/1pQ5/q3P3/3BB1PP/1R3RK1 w - -,c4c5
q2b1nk1/3P2p1/4p2p/1p6/1P3B2/7P/2Q3P1/3R3K w - -,f4c7
2rr2kb/p4b2/1p1q2p1/3pp3/3B4/1PP3NP/P2Q2P1/4RRK1 w - -,d4f2
rr4k1/1q3pp1/3p1n2/2p1p3/4P2p/P2B3P/1PQR1PP1/3R2K1 w - -,c2c4
1r3rk1/p7/2p2ppb/1p1pp2p/3P1P1P/2N2PPR/PPP5/2K1R3 w - e6,d4e5
3r1rk1/p3b1pp/4b3/4pp2/1pPpP3/1P1N2P1/P1K2PBP/R2R4 b - -,f5e4
8/5N2/p4k2/5r2/2B5/2K5/P7/8 b - -,f6e7
r4k2/pr3pp1/1p2p2p/4n3/3N4/4KPP1/PP2P2P/2RR4 b - -,a7a6
1r1qr1k1/1p1b2bp/p2pn1p1/P2Npp2/1PPnP3/2N1BP2/Q3B1PP/1R1R2K1 b - -,g8h8
3k4/1p1n1p2/2p3p1/p5Pp/P2N1r1P/1PPK4/8/7R b - -,f4g4
br1q1rk1/2bn1ppp/4pn2/1pp5/1PN5/Q2P1NP1/3BPPBP/R4RK1 w - -,c4e3
8/6k1/PR6/1pp5/8/3r2PK/8/8 w - -,b6b5
r3qrk1/bpp3pp/p1nppn2/4p3/PPN1P3/2PP1N2/5PPP/1RBQ1RK1 b - -,b7b5
8/7P/6K1/8/8/1p6/1Pk2R1r/8 b - -,h2f2
5qrk/1p1r2p1/p2p1p1p/2p2P1P/4PQ2/P1PP4/1P3R2/1K4R1 b - -,d7d8
5rk1/p1nQ3p/1b2p1qP/3pP3/3P1P2/4K2B/P7/5R2 b - -,g6h6
r1bq1Bk1/pp1n1p1p/2n1p1p1/3pP3/1b4Q1/2NB1N2/PPP2PPP/R3K2R b KQ -,d8f8
3r1rk1/4ppb1/1p6/p3n2q/PpPpN3/1P1P1NP1/2Q3K1/3RR3 w - -,f3e5
2r2rk1/p3npp1/bp5p/4p3/2PN4/1P6/P3BPPP/R4RK1 w - -,d4c2
r1bqk2r/pppp1ppp/5n2/2b1p3/2BnP3/2NP1N2/PPP2PPP/R1BQK2R b KQkq -,d7d6
3b4/3b4/q1npk1p1/p2p1p2/P2PpP1p/1PQ1P2P/2B2BP1/4KN2 w - -,c2d1
2R3R1/2pr4/5k1p/1p6/8/3r2P1/8/6K1 w - -,c8b8
1rbq1rk1/1pnn1pbp/p1p1p1p1/2PpP3/1P1P4/1QN2N2/PB2BPPP/R4RK1 b - -,f7f6
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2P5/5NP1/PP1PPPBP/RNBQ1RK1 w kq -,d2d4:b1c3:b2b3
1rbqr1k1/1p1n1ppp/pb6/3NPp2/3B4/P4N1P/1P3PP1/2RQ1RK1 w - -,d1d2
2rq3Q/3bb1n1/3B1k2/1p1PN2p/8/2P1N2P/2B2P2/6K1 w - -,h8h6
r2qkb1r/p2n1ppp/2ppp3/2p4b/4P3/2PP1N1P/PP1N1PP1/R1BQ1RK1 w kq -,f1e1
r1b1kb1r/1p2pppp/p1np1n2/q7/2BNP3/2N1B3/PPP2PPP/R2QK2R b KQkq -,f6g4
4r2k/p5r1/7p/1P6/P1ppBq2/6P1/4QPKP/5R2 w - -,f2f3
r1b1rnk1/pp2q3/2pp1p2/7p/1PPPP1p1/P1N1N1Pn/2Q1BPK1/R6R w - -,f2f4
6k1/5p1p/4p3/2R1P1p1/p2nBP2/P7/r4PKP/8 b - -,a2a3
8/p6p/8/2K1k2P/8/P7/8/8 b - -,e5f5
1r4k1/1NR5/p3pp2/1b1P2p1/1P2P1Pp/3K1P2/6P1/8 w - -,d3e3
6k1/1R6/3Bp3/1p1p2K1/3P1P2/4r3/8/8 b - -,e3e4
3r2k1/ppq1ppbp/1nn3p1/4P3/2P1N3/1PBr2P1/PQ3PB1/4RR1K w - -,e4c5
r1bqk2r/pp2ppbp/2np2p1/8/4PPn1/1NN5/PPP3PP/R2QKBBR b KQkq -,e8g8
3r4/1q4nk/p1pr3p/1pR2p2/3P1P1Q/4B2P/PP6/3R2K1 b - -,d8g8
r1bq1rk1/3n1ppp/1pp2n2/p1Pp2P1/3P4/1PN3NP/P2Q1PB1/4RRK1 b - -,f6e8
8/4b1pp/3k4/8/4K3/p5PP/N7/8 w - -,e4d4
6k1/5pp1/6np/R2B4/1p3P2/7P/Pr4PK/8 w - -,h2g3
8/5r2/8/8/7Q/4K3/6k1/8 b - -,f7a7
8/4k1p1/R7/1r6/4KPrp/2B5/8/8 b - -,b5b3
6k1/8/3pr1pp/pp1Pb3/4R3/1P4P1/PB5P/7K b - -,e6e7
3q2k1/1pr2p2/1n2p1p1/pP5p/P2P4/3B1P1P/Q4P2/2R3K1 w - -,c1c7
r1b1qrk1/ppp3bp/6p1/2pPp2n/2P1B1N1/2N3P1/PP2QP2/R3K2R w KQ -,e1c1
r1bq1rk1/1p3pbp/2pp1np1/p1nPp1B1/P1P1P3/2NB1P2/1P1QN1PP/R3K2R w KQ -,d3c2
rnbq1rk1/ppp3bp/3p4/3Pp2n/2P1Ppp1/2NB1P2/PP1Q1BPP/2KR2NR w - -,g1e2
r5k1/1RB2p1p/2p3p1/p7/N1r1P3/P2b2PP/6B1/6K1 w - -,a4b6
2r5/2r1k1pp/5p2/Npp5/P1R1P3/8/2K2PPP/8 w - -,a4b5
1rq2rk1/4b2p/p2pp1p1/2p5/B1P3n1/P2Q4/1P3PPP/R1B1R1K1 w - -,f2f3
2r1r1k1/pp1b1pp1/q1n2b1p/3Q4/3Nn3/P3BNPP/1P2PPB1/2R1R1K1 b - -,c8d8
2b2r2/Rp2q1k1/1Qp3p1/5p1p/7P/4P1P1/5PBK/8 b - -,f8f7
4r1k1/pp3pp1/2p1p2p/2P5/8/1PR3P1/P4PBP/6K1 b - -,e8d8
2k5/p2b4/1p6/4p3/1PPpPp2/1K1Pq3/3Q4/8 w - -,d2c2
6kr/1p1q4/1n1bp1p1/3p1pp1/1p1P2P1/1P2PP1P/P1RB2K1/2Q3N1 b - -,h8h7
r2qk2r/p2p2pp/2p1p3/n4p2/Q2P4/3BPPP1/P4P2/1R2K2R b Kkq -,e8g8
r1b2rk1/pp4pp/2n1pPn1/2qp4/7P/P1PB1N2/2PBQPP1/R4RK1 b - -,f8f6
8/pn2r3/5kp1/2pRp2p/2N2p2/2P2PP1/P3P2P/4K3 w - -,e1f2
7k/3q2pp/8/3b1r2/3Q3P/5pP1/PP3P1K/3R4 w - -,a2a4
6k1/2p1rpp1/p6p/4r3/1P4P1/2P1p2P/4RKP1/3R4 w - -,f2f3
6k1/p2p4/2pr3p/5p1R/2P1q3/1P2PNP1/P4PK1/7R b - -,e4c2
8/8/8/3K4/7p/8/6k1/8 w - -,d5d4
r5k1/4b1pp/ppb1p3/2p1Pp2/2P1PP2/8/PBB2KPP/3R4 b - -,g7g6
2b2r1k/1pp3np/pb3p2/6p1/1PP5/1B3NB1/P4PPP/4RK2 b - -,c7c6
2r2rk1/2p1q1pp/p7/2R1Pp2/P1pP2P1/2Q4P/1P3P2/2R3K1 w - -,c3c4
1r1qr1kb/4pp1p/2Q3pB/1p3b2/1P1P4/1R3pPP/4PPB1/5RK1 w - -,c6f3
3r3k/3r2b1/1p2b1p1/4p2q/1P2Pp1p/5PnP/1NQN1BP1/3RR1K1 w - -,f2b6
r4rk1/q2bbpp1/p1p2n1p/3p4/N4B2/P3P3/1P2BPPP/2RQ1RK1 w - -,f4e5
8/8/r7/4R1P1/6KP/3k4/4p3/8 b - -,a6a5
1n3bk1/r4pp1/P6p/1Bp5/P1Np4/1P5P/5PP1/4R1K1 w - -,c4b6
3R4/1p3r2/p4k2/3pnp1P/P4B2/7n/1P2K3/8 w - -,d8d6
rnb1k2r/pp1ppp1p/6p1/q1P1P3/3Qn3/2P5/P1P2PPP/R1B1KBNR w KQkq -,c1b2
1n2nrk1/1r3ppp/pp1bq3/2pNpN2/2P1P3/3QB1P1/PP3P1P/3RR1K1 b - -,f7f6
r4rk1/1p3ppp/p4nn1/2p1q3/3pPN2/1P1P2PP/P1P2QB1/4RRK1 w - -,f4d5
1b2r1k1/5qp1/p7/1p2n2p/2r1N3/PQ4NP/1P2RPP1/4R1K1 b - -,h5h4
r2r4/1pn1bk2/2qp1p2/p1n1p1p1/2P1P1Pp/1PN1BP1P/P2RBQ1K/3R4 b - -,c7e6
5r1k/1R5p/1P6/8/5NR1/3b1P2/1r4PK/8 b - -,d3f5
rnbqk2r/pp1pbppp/4pn2/2p5/4P3/5NP1/PPPPQP1P/RNB1KB1R w KQkq -,f1g2
2q5/1R2bpk1/p1n1r2p/1p1Qp1p1/4P1P1/P3B3/1P3PP1/5NK1 w - -,d5d7
4r3/ppp2pkp/6p1/5rq1/3Pb3/PP2P3/4QN1P/R3RK2 w - -,e1c1
r1bq1rk1/ppb2ppp/2p1p3/3n4/3PNP2/1B3NP1/PP2QP1P/2R2RK1 b - -,h7h6
2rr1bk1/5p2/1p2p2p/pN1nN3/Pn5P/6B1/1P1RRPPK/8 w - -,d2d4
rnbqkb1r/ppp1pp1p/3p1np1/8/3P4/2P2N2/PP2PPPP/RNBQKB1R w KQkq -,c1f4:h2h3
r1bqkbnr/p4p1p/2pp4/2p1p1p1/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq g6,d2d4
r5k1/pp1r2p1/7p/5p2/2Rn1P2/6NP/PP4P1/R5K1 b - f3,g7g6
2k5/p7/p4R2/6p1/3n4/6P1/b4NP1/2K5 w - -,f6a6
rn3rk1/p3q3/1p2p1pQ/2ppP3/3P2P1/2Pb1P2/P1P5/R3K1NR w KQ -,h6h8
r4k2/pp3pb1/2ppr3/5N2/2PP4/6P1/PP4P1/1K1R3R w - -,h1h7
2kr3r/2pnq1p1/1pn2p2/p1b1P2p/2PpPP1P/PP1B1NPb/3B1R1N/R3Q2K w - -,b3b4
8/p2Q4/6kp/PP2q1p1/5p2/4b2P/6P1/3R3K w - -,d1d6
8/p1p3pk/1b2p1n1/3r3p/P2PbP2/8/1R3BPP/4R2K b - -,b6d4
