8/1pk5/5K2/4P3/8/8/r7/5R2 w - -,e5e6
r3r3/pbp1Pkb1/6Rp/q1p2p1n/2p2P1B/1PP4P/P2Q2P1/4RNK1 w - -,b3b4
8/8/8/5p2/4r2k/7p/R7/7K w - -,h1g1
r2qkb1r/pp1n1pp1/4p1bp/2PpPn2/8/1NPB1N2/PP3PPP/R1BQ1RK1 b kq -,d7c5
2rr2k1/3bqppp/p1n1pn2/1p1p4/1P1P4/P1N1PN2/4BPPP/1QRR2K1 w - b6,f3e5
rnbq1rk1/pp2ppbp/3p1np1/2p5/3PP3/2PB1N2/PP1N1PPP/R1BQ1RK1 b - -,c5d4:b8c6:f6d7:b8d7
5r2/8/2p1p3/2PpP2k/3P2Rp/1PKR2pP/5rP1/8 w - -,d3d1
rn1qnrk1/pbp1bppp/1p2p3/3pP3/8/3P1NP1/PPPN1PBP/R1BQR1K1 b - -,c7c5
r1b1kb1r/pp1n1ppp/1qn1p3/3pP3/3P4/1N3N2/PP2BPPP/R1BQK2R b KQkq -,f7f6
r1bk3r/p3p2P/1qp2b2/3pp2Q/8/2N5/PPP3PP/R3KB1R w KQ -,e1c1
r2q1rk1/3nppbp/b2p1np1/1NpP2B1/PpB5/5N2/1PQ2PPP/R3R1K1 b - -,d7b6
1rb1rnnk/6bp/pq1p1pp1/1p1Pp3/1P2P1PP/P1NBB3/3Q1P2/2R1KNR1 b - -,b6d8
6k1/5p2/6p1/4Q3/7P/6PK/8/3q4 b - -,d1f1
2r1k3/4qp2/p2p3R/1p1Bn3/4PRr1/8/PPPQ4/1K6 w - -,d5f7
r1bq1rk1/ppp2ppp/2n1pn2/3p4/1bPP4/P1NBP3/1P1B1PPP/R2QK1NR b KQ -,b4c3
r6r/1R3ppp/p1kbb3/B2n4/P1BP4/8/5PPP/1R4K1 b - -,h8b8
r2q1rk1/1p4bp/2n2p2/pNp1pb2/P2p1P2/3P4/1PPB2BP/R2Q1RK1 b - -,d8d7
r4rk1/bp1qnbp1/p1Pp3p/4pp2/1PR1P3/P2P2PP/1B1Q1PBN/5RK1 b - -,e7c6
r6k/6rp/1p3p2/p2R1P2/q2PQb2/2P5/1P3B1P/5R1K b - -,a8e8
r1b2rk1/3n1pbp/2p2np1/ppPpp3/N2PP3/P4NPP/1P3P2/R1BQqBK1 w - -,f3e1
8/5p2/8/1kb2p2/1p5P/1P1RPKP1/1r3P2/8 b - -,b2c2
8/5k2/5n2/5K2/3B3P/8/8/8 b - -,f6h5
rq3rk1/1b3ppp/p1p1nn2/1p2bN2/4P3/2N1QB1P/PP3PP1/R1BR2K1 b - -,f8e8
6k1/1n1qbpp1/p1r3p1/Qp1pB3/6P1/P2P3P/1P3PB1/5RK1 w - -,a5d2
4QR2/r5p1/P1p3q1/1rN3k1/8/K7/P7/8 w - -,e8e5
r1b2rk1/pp1nqpbp/2p1n1p1/4p3/2P1P3/1P3NP1/PBQN1PBP/R2R2K1 w - -,d2f1
1q1r2k1/5pp1/pp6/5n2/PP3P2/2R3BP/2Q4K/8 b - -,g7g6
r3nrk1/1bq2ppp/pp2pb2/2n1NP2/3N4/2P5/PPB3PP/R1B1QR1K w - -,c1f4
1r4k1/R5bp/3N1np1/3b4/5p2/2BP4/1P3PPP/5BK1 w - -,d6e4
8/6bp/4pkp1/4p3/8/2RP2P1/1r3P1P/5B1K w - -,h1g1
7R/2pk4/1p6/p2P4/P1Pppr2/8/3K4/8 w - -,h8h7
r4rk1/p1Bn1pp1/1p1pp1bp/8/2PP4/P1N1P3/1P1n1PPP/R3KB1R b KQ -,d2b3
r2qkb1r/pppnpppp/5n2/1B1P4/3P2b1/5P2/PPP3PP/RNBQK1NR b KQkq -,g4f5
2b1r1k1/4r1pp/2p2qn1/2Np1p2/3Pn3/3BPN1P/2Q2PP1/2R1R1K1 w - -,d3f1
r1bqr1k1/1pbn1ppp/p2p1n2/2pP4/P1N5/2N3P1/1P2PPBP/R1BQ1RK1 b - -,a8b8
8/ppk2p1B/2pN4/2P3r1/P7/4P3/3K4/8 w - -,h7f5
8/4kp2/R6K/4Pp1p/6rP/6P1/8/8 w - -,a6f6
1r1b1qrk/2p2p1p/2R2p2/Rp1PpN2/1Q2P3/6P1/5PKP/8 w - -,d5d6
5rk1/p3q1pp/1r2b3/3p1p2/4pP2/2P5/PP1QN1PP/3R1RK1 w - -,e2d4
r3r2k/1qpn2pp/p3np2/P2NpN2/1b2P3/4B2P/2Q2PP1/2R1R1K1 w - -,c1b1
4r1k1/pp3p2/7Q/2p2N2/P2q1b2/5P2/1P5P/5R1K w - -,h6h4
rnb1kbnr/p1pq1ppp/1p2p3/3pP3/3P4/P5N1/1PP2PPP/R1BQKBNR b KQkq -,c8a6
8/5pkp/2p1qnp1/2Pp4/1Q1P4/3B1PP1/5K1P/8 b - -,f6d7
5n1k/1b1q1ppp/pp2nb1B/3p1N1P/P2P2Q1/2rB1PR1/5KP1/7R w - -,f5g7
2r1kbnr/pp1b1ppp/2n1p3/1N1q4/3p4/2P1BN2/PP3PPP/R2QKB1R w KQk -,b5d4
1r2q1k1/3R1pp1/3b3p/3N1Q1P/2P3P1/8/5PK1/8 b - -,b8d8
k1b5/3qp3/pnp2b2/1p1p4/3P1B2/PPQB2P1/2P1N2r/2K2R2 b - -,a8b7
r1bq2k1/pppp1ppp/8/3P1n2/8/5N2/PPP2PPP/R1b1QBK1 w - -,a1c1
r1bqk1nr/1ppnppbp/p2p2p1/8/P2PP3/2N1B2P/1PP2PP1/R2QKBNR b KQkq -,e7e6
8/7R/8/4rpk1/8/6P1/5K1P/8 b - -,e5a5
8/3b4/8/P1k3K1/6p1/7p/4N3/8 w - -,g5f4
5r1k/2p3p1/3p4/2p1bb1q/2P4P/1p3P2/P3QBKP/4R1N1 w - -,a2b3
4r1k1/7p/R5p1/1p3p2/P7/1P2N1P1/2Pn1K1P/8 b - a3,d2e4
1rbq1rk1/p2nppbp/3p1np1/2pP4/2B5/1PN4P/PBQ1NPP1/R4RK1 b - -,d7e5
6k1/1r5p/3B3b/3R4/8/1b5P/3NrPP1/2R3K1 w - -,c1c8
r3r1k1/2pqnpp1/np5p/p7/3PPB2/P4P2/2N3PP/R2Q1RK1 w - -,c2e3
1rbq1rk1/5pbp/3p2p1/1ppNp3/1n6/3PP1P1/P2B1PBP/R2Q1RK1 w - -,d2b4
4r1k1/2p5/p2p2p1/1p1P1p2/3RP1p1/P5P1/1PP4r/1K1R4 w - -,e4f5
r2q1rk1/pp2ppbp/3pbnp1/8/3BP2P/2N2P2/PPPQ2P1/2KR1B1R b - h3,d8a5
3B4/8/p7/1b3kp1/4p2p/1N1nP3/5PP1/4K3 w - -,e1d2
r1bqk2r/1p1n1ppp/p1pbpn2/3p4/2PP4/2NBPN2/PPQ2PPP/R1B1K2R w KQkq -,e1g1
r1b1rbk1/ppqn1p1p/2p1pnp1/3p4/2PP4/PP1BPN2/1BQN1PPP/2R2RK1 b - -,a7a5
1r3b2/1r1q1k2/1nb1p3/pp1pPp1p/2pP1PpP/P1P3P1/1PN1BQ2/R1R1B1K1 w - -,e2d1
2r2rk1/1n2b1pp/pq1p1P2/1p1Pp3/5P1P/1N1B4/PPP1Q3/1K1R3R b - -,f8f6
8/1R6/8/7r/5K2/2k5/1p4P1/8 w - -,g2g4
b1r3k1/q4pp1/2p1pb1p/p6P/Pp1PB3/4P3/1P2QPP1/R2R2K1 w - -,a1c1
1r1r2k1/5p1p/pp2n1p1/2pR4/P1P4q/1P6/4QPPP/2B1R1K1 b - -,h4f6
8/2k5/b7/2p5/2Pp4/rr1P1RB1/6PP/4R1K1 b - -,c7b6
8/1p3rk1/1P2p3/3bK2Q/5P2/8/8/8 w - -,h5g4
4Rb1k/6p1/p6p/1p6/3p2B1/P4N2/6PP/1r5K w - -,f3g1
r4rk1/1p1nqppp/2p1pn2/p2p4/1bPP4/1PNQPN2/P2B1PPP/RR4K1 w - -,d2e1
8/8/8/1b6/3ppk2/1B6/2P2K2/8 b - -,f4e5
4r2k/2R5/p5K1/1p2B1p1/3Pp3/8/PP5P/3q4 b - -,h8g8
2rq1rk1/pb1nppbp/1p1p1np1/2p5/3P1B2/2PBPN1P/PPQN1PP1/2R2RK1 b - -,f8e8
3n4/ppkb4/4pr1r/3p1nN1/1PpP1PB1/P1P3K1/3BR3/4R3 w - -,g4f5
rn1qkb1r/ppp2ppp/4b3/3np3/8/2NP2P1/PP2PPBP/R1BQK1NR b KQkq -,b8c6
2rq1rk1/1p2b1pp/pnn1ppb1/3p4/3P4/PQN1P1B1/1P1NBPPP/2RR2K1 w - -,b3a2
r1q1nrk1/pb1pbppp/1p2p3/n3P3/2PN1B2/1PN3P1/P4PBP/R2QR1K1 b - -,f7f6
2b3k1/3rq1b1/p3npp1/Qp2p2p/4P3/1NP2PPP/Pn2BB2/1N3RK1 b - -,h5h4
r1bqkb1r/pp2pppp/2np1n2/8/2BpP3/2P2N2/PP2QPPP/RNB1K2R b KQkq -,c8g4
5n2/1p3kp1/pNpb1p1p/P3p3/4P3/1P2BP1P/2P2KP1/8 w - -,c2c3
r1bqk2r/pp1n1pp1/3b1n1p/3p2P1/3Pp2P/2N1PN2/PPQ2P2/R1B1KBR1 b Qkq -,h6g5
r1bqn1kr/pp2ppb1/3p2p1/2pP3n/2P1P2P/2N1BP1B/PP1QN3/2KR3R w - -,d1g1
2r2rk1/3qppbp/p3b1p1/1p1pP1N1/1n1P2PP/4BQ2/PPP1B3/1K1R3R b - -,c8c2
r3kb1r/pp3ppp/4pn2/4N3/2N5/2n3B1/P4PPP/R3R1K1 b kq -,f8e7
r1b1qrk1/1pp2ppp/n1np4/2b5/p1P1PPP1/2N1BN1P/PP1Q4/2KR1B1R w - -,f1d3
5nk1/2p2rp1/1r2p2p/3pP2P/2bP1N2/qp1BQ1P1/1R3P2/1R4K1 b - -,a3b4
1rbq1rk1/5pbp/2npp1p1/2p5/4PP2/1p1PB1P1/NP4BP/1Q1NRRK1 b - -,b3a2
r1bR1nk1/1p2q2p/p3pp2/6BQ/Pb6/1N1B4/1P3PPP/R5K1 b - -,e7d8
2r1nrk1/ppqb1ppp/2npp3/P7/2P1PP2/1N2B1P1/2P3BP/R2Q1RK1 b - -,b7b6
r3rk2/pbp2pp1/1p1p1q1p/n4P2/2PP4/2PB4/P1QB2PP/R4R1K b - -,e8e7
2r5/5k2/3R1p2/p5p1/3N2Pn/1P2B2K/Pb3P2/8 w - -,d6c6
2r3k1/pp3pp1/7p/7P/3B2P1/qN1p4/8/1R1B2K1 b - -,b7b6
8/2k3pp/1pP1p3/rP1r1p2/1R3P1P/8/1R3KP1/8 b - -,h7h5
6k1/2p4p/N1b2pp1/5p2/1P3P2/n7/6PP/5RK1 b - -,c6b5
rnbqk2r/pp3ppp/5n2/3p4/1b1p4/6P1/PPPBNPBP/R2QK1NR b KQkq -,d8e7
2n2bk1/1p1b2r1/p2p4/P2Pq2p/1P2PNp1/3B2P1/5B2/3Q1RK1 w - -,d1a1
r1r2qk1/5pp1/np2pn1p/p2pN3/P2P4/2P3N1/1P2QPPP/3RR1K1 w - -,e2b5
3q1k2/pp6/2p1Qpp1/3p3p/3P1P2/2P4P/PP3KP1/8 b - -,d8e7
2r4k/1prn1ppp/p2p1q2/P2Pp1b1/4P3/3BN3/1P1Q1PPP/R4RK1 b - -,d7c5
R7/7p/2r3k1/5pP1/P3pP1P/2p5/4bPK1/8 w - -,a8g8
5k2/1B5p/P5pP/4npP1/1Pr2K2/8/4pR2/8 w - -,f4e5
5rk1/3r3p/1pqpp1p1/p1n1bp2/2P5/BPN1QPP1/P1R1P1KP/3R4 w - -,e3c1
1q3k2/p2nnp2/4p1p1/3pP1Pp/2pP3P/B1P1NQ2/P5PK/8 w - -,a3d6
r1bqr1k1/ppp2ppp/2np1n2/8/2PPp3/2PBP2P/P2N1PP1/R1BQ1RK1 w - -,d3e2
2r4r/1b1nkp2/pp6/3npP1p/P7/2N1K2P/1PPNB3/3R2R1 w - -,c3d5
r1bqk2r/pppp1ppp/2n5/4P3/2P1n3/P4N2/1P1BPPPP/R2QKB1R b KQkq -,e8g8
8/pb3k2/5pp1/nBpPp2p/4P2P/6P1/P2N1P2/5K2 b - -,f6f5
2k4r/7p/3RN1p1/1p6/2b5/8/1bP3PP/1R5K b - -,b2a3
8/8/2r4p/P2k1p1P/RKp5/4P3/5P2/8 w - -,a4a3
r1bqr1k1/ppp1pp1p/5npb/5n2/4P2P/B1NP1NP1/PP1Q1PB1/2R1K2R w K -,f3g5
3rkb1r/pp2p1pp/2p2p2/3q4/3P4/3Q1PB1/1PP3PP/3R1RK1 w k -,c2c4
2R5/1p2k3/nr2p3/p4p1p/P6P/3N2P1/5P2/5K2 b - -,a6b4
r1bq1rk1/p4pb1/1pp1p1p1/7p/3pPP1P/3P1NQ1/PPP3P1/R1B2RK1 w - -,g3h3
5r2/1bq2pkp/1n1p2p1/4p3/1P2Pn2/1B2NN1P/5PP1/1Q2R1K1 w - -,f3d2
5r1k/1p1qnpbp/r2p2p1/2pPp3/1n2P2P/pPNP2P1/P2Q1PB1/R1B2RK1 w - -,d2e2
r3r1k1/1p1q1pb1/p2p1n1p/3Pn3/P1p1P1p1/2N1B1N1/1PQ2PPP/R3R1K1 w - -,a4a5
8/K7/2Q3p1/7p/2k4P/8/8/4q3 b - -,c4b3
1q3rk1/n1p1Rpbp/6p1/2N5/1rpP4/1P3QP1/P2B1PKP/8 w - -,c5a6
2r1r1k1/p3p2p/2p1P1p1/1pBb1pP1/3P2n1/2P5/P2Q2Bq/3RRK2 b - -,d5g2
3Q2k1/ppn4p/2p3q1/4Pr2/3P2P1/7R/1P6/3R2K1 b - -,f5f8
8/Q7/pBqb1pp1/4pk1p/7P/2P3P1/5P1K/8 b - -,c6c8
r2r4/1bq2pk1/1p1pn1p1/4p2p/p1P1P2P/2Q1R1P1/PPN2P2/3R1BK1 w - -,b2b3
r4rk1/1pq1bpp1/1np2n1p/pP2pP2/P7/2N4P/B1P1QPP1/1RB2RK1 b - -,e7b4
3rr1k1/1pq2ppp/2b5/1p6/2p1PP2/P1Q3PP/1P1R2BK/3R4 b - -,f7f6
3qk2r/1p1bbppn/p2pp2p/6P1/2rNPP2/2N1B3/PPPQ3P/3K1RR1 b k -,h6g5
5r2/pp1q2k1/2n1Rb2/r2N1p2/5p2/1Q3N2/PP3PP1/4R1K1 w - -,d5f6
8/3k4/3P3R/3r3p/8/6PK/7P/8 b - -,d5d4
r1bq1rk1/4np1p/1np1p1pP/pp1p4/3PP1P1/5P2/PPPQN3/2KR1BNR w - -,e4e5
r4rk1/1p2b1p1/p3p1q1/3pPp1p/b2P2P1/4QPBP/PP1N1R2/2R3K1 b - -,f5g4
rnbqkb1r/pp2pppp/2pp1n2/8/2PPP3/3B4/PP3PPP/RNBQK1NR b KQkq c3,e7e5
r2r3k/p4pp1/1pn1p3/8/q1N5/8/P3QPPP/1R1R2K1 w - -,c4d6
rn3rk1/p3qpp1/4b2p/2pp4/8/1Q2PN2/PP2BPPP/R4RK1 b - -,b8d7
r2qr1k1/3n1pbp/6p1/pN3n2/P2P1B2/5P2/3QN1PP/R4RK1 b - -,a8c8
3rr1k1/1p1q1ppp/8/N1bp4/P3n3/2PQ1NP1/1P3PP1/R4RK1 w - -,a5b3
1r1r2k1/pR3pp1/P5np/2B5/2p5/6P1/3p1P1P/5RK1 w - -,f1d1
r5k1/p3bpp1/2q1p2p/2p5/1n1r1BP1/2N1PP2/PP2Q1KP/R2R4 b - -,b4d5
rn1qk2r/pb1pbpp1/1p2pn1p/2p5/3P3B/2PBPN2/PP1N1PPP/R2QK2R b KQkq -,c5d4:b8c6:e8g8
4b3/8/p2k2p1/1p5p/1P1KBP2/P5P1/7P/8 b - -,e8f7
r2qk2r/pb2npb1/1pn1p1p1/2p4p/4PP1P/2PP1RP1/P2NN1BK/R1B1Q3 b kq -,d8c7
2r2rn1/1p5k/p5p1/2pNp1Pp/2PnP3/1P4P1/P5B1/3R1RK1 b - -,c8d8
5r1k/p3q1b1/bpn4n/2p1p3/4P3/6PP/PPPR2B1/RN2Q1K1 w - -,b1a3
5rk1/1p3pp1/p3b2p/3N4/8/5B1P/PqP1RPP1/R5K1 w - -,a1e1
r4rk1/1b3ppp/1p2pP2/4P1PP/1p1Bp3/1P6/2P5/2KR1B1R b - -,a8a2
r4rnk/pb1qn1p1/1p2p2p/4Pp2/2PP2P1/P2B4/2QBN2P/R3K2R w KQ -,h1f1
3rrbk1/pbp1qppp/1p6/n2p4/3P3P/1PN1P1P1/P2Q1PB1/2RRN1K1 b - -,g7g6
4rr2/1k1qbp2/2p1p1p1/1p1pP2p/pPnP1P1P/P1P3P1/2R2B2/R2QKB2 b - -,e7d8
8/1Pb4R/2k5/2n5/7P/8/3K1P2/8 w - -,h7f7
6k1/pp4b1/1qR1b1pp/4pp2/4N2P/5P2/PPPQ4/1K1R4 b - -,b6c6
1rbq1rk1/ppn1p1bp/3p2p1/2p2p2/3nPP2/2NPBNPP/PPPQ2B1/4RRK1 w - -,f3h4
r1br2k1/1p3nbp/p2p2p1/q1p2p1n/N1P1PP2/1P2B1PP/P1Q1N1BK/3R1R2 w - -,b3b4
1qr1r1k1/1b2bppp/pp1ppn2/n7/2P1P3/PPN3PP/1B1NQPBK/2RR4 b - -,a5c6
1r2r1k1/p1pq1pbp/bnp3p1/3pP3/2P2P2/1P4P1/PB1NQ1BP/2R1R1K1 b - f3,g7f8
8/5p2/4p1k1/1r2Pbp1/6Np/4R2P/6P1/6K1 b - -,f5g4
rnbk1b1r/pp1p3p/2p2qp1/8/3P4/2P2N2/PP2BPPP/R2QK2R b KQ -,d7d6
8/5k2/7p/1p2BPp1/3K2P1/6P1/8/4b3 w - -,d4c5
1q1r2k1/1b1nbpp1/1p2p2p/pP1n4/P1NP4/3N1P2/1BR1B1PP/1Q4K1 b - -,e7g5
1r1k4/4bp2/3p1P2/3qpP2/p1R1N3/7P/K1Q5/8 b - -,e7f6
r4k2/1b1r1ppp/p3p3/1pR5/1n1N4/4P1P1/PP3PBP/3R2K1 b - -,b7g2
nrbqr1k1/p4pbp/1P1p1np1/2pP4/4P3/2N3PP/1P1N1PB1/R1BQ1RK1 b - -,a7b6
4k3/R4n2/2p1p2r/1pPpP1p1/1P1P2B1/6K1/8/8 b - -,f7d8
r1bqkbnr/1p3ppp/p1npp3/2p5/P3PP2/1PN2N2/2PP2PP/R1BQKB1R b KQkq -,g8f6
6k1/1pr2ppp/p3p3/n1PnP2b/6P1/P3BN1P/4BP2/3R2K1 b - g3,h5g6
8/3R4/8/2r3b1/8/5k2/8/4K3 b - -,f3e3
3rr1k1/1bq1bppp/pp3nn1/2p1p1B1/P1N1P3/2PB1N2/1PQ2PPP/3RR1K1 w - -,c2b3
5k2/2r2b1p/2pQp1pP/p2n1pR1/Pp6/8/1PBq1PP1/4R1K1 b - -,f8e8
8/1k3p1p/1p5P/p1pP1pP1/P1P1rb2/1P2BK2/8/4R3 w - -,e1e2
3R4/6pk/2p3pp/P4Q2/1p2P3/1q4P1/5P2/2r2BK1 w - -,f5f8
1r3n1r/1pp3k1/p2p1p2/2bPp3/5pP1/2P4P/PPBB2K1/4RR2 w - -,d2f4
8/5k2/6p1/7p/2P2B2/1K1R3P/4rPP1/8 b - -,e2f2
rn1qkb1r/pp3pp1/2pp1np1/4p3/2PPP3/2N1B3/PP3PPP/R2QKB1R b KQkq -,f8e7
rnbqk2r/pp3pp1/4pn1p/2pp4/1bPP3B/2N1P3/PP3PPP/R2QKBNR w KQkq d6,g1f3
r2q1rk1/pp1n1ppp/3b1n2/3p4/6b1/2NP1NP1/PP3PBP/R1BQ1RK1 w - -,d3d4
8/8/1p6/1Ppk3P/P2b4/4pp2/N7/4K3 b - -,e3e2
2r1rbk1/1q3pp1/p2p3p/R2Np3/1PP1P3/3Q1P2/6PP/3R2K1 b - -,b7c6
1rb1k2r/3nbp1p/p2ppnp1/P6q/2NNP3/3BB3/1P2QPPP/R4RK1 w k -,e2h5
r1bqkb1r/1ppp1ppp/p1n5/2n1PN2/B7/8/PPP2PPP/RNBQ1RK1 w kq -,d1g4
8/3k2P1/6K1/8/4R3/8/8/6r1 w - -,g6f6
1B1r2k1/1b1q1p2/pR2pnpp/p7/1b1PP1P1/3B1N2/4QP1P/1R4K1 b - -,d8b8
