8/8/4k3/2bp2pp/2p4N/4N2P/4K1P1/8 w - -,h4f3
3qr1k1/p1n2p1p/1r1p2p1/1ppP4/5Pb1/2P3N1/P2QPPBP/3R1RK1 b - -,d8h4
2r3k1/5p1p/r1p1p1p1/p2nP3/8/P4BP1/1P3P1P/2RR2K1 w - -,f3d5
8/1r3k2/1pRP1p2/4p1p1/pN4P1/P3RK1P/1r6/8 b - -,b7d7
r1bqk1nr/pp3ppp/2n5/b2p4/3PpB2/1QN3P1/PP2PPBP/3RK1NR b Kkq -,g8e7
r1bq1rk1/pp1nbpp1/2p1pn1p/6N1/3P4/3B1N2/PPP1QPPP/R1B2RK1 w - -,g5e6
r2qkb1r/pp3ppp/2n1pn2/3p4/3P4/5BP1/PP2PP1P/RNBQ1RK1 w kq -,b1c3
8/4b1p1/2p1p1p1/3pPpP1/3P1P2/1k1KB2P/8/8 b - -,e7a3
rn1q1rk1/pb2bppp/1p2p3/2p5/3PP3/2PB1N2/P3QPPP/R1BR2K1 b - -,c5d4
2r3k1/1p3p2/2p1b1pp/pr2pn2/8/1PRPP1P1/P2N1PBP/R4K2 w - -,d2c4
8/p5p1/4k2p/1pP4P/8/P2K4/8/8 w - -,d3e4
R7/1p3r2/b1P2k1p/p6P/8/K1P2B2/6P1/8 b - -,f6e6
1nb2rk1/q2pb2p/2p1p1p1/rp2P2n/8/P2P2PP/1BP1N3/RN2KBQR b KQ -,c6c5
3r1rk1/ppp2ppp/8/3Pn3/1b2N3/4PP2/PP2B2P/R2R2K1 w - -,a1c1
8/5p2/p1p1k1p1/Npb1P3/P3KP2/8/8/8 w - b6,a5c6
rn1qkb1r/1bpppppp/p4n2/1p4B1/3P4/5N2/PPPNPPPP/R2QKB1R w KQkq -,g5f6
r4rk1/1bqn1pbp/p1n1p1p1/1p1pP3/5B2/N1PBQN2/PP3PPP/2R1R1K1 w - -,a3c2
r2qkbnr/pp1n2pp/4bp2/1Bp1p3/3pP3/2P2NN1/PP1P1PPP/R1BQ1RK1 b kq -,a7a6
1rbq1rk1/4ppb1/1p3np1/2p3Np/PpPp1P2/3P2PP/1P1BP1B1/R3QRK1 b - -,c8f5
4r2k/pP2p1bp/Q2pB1b1/8/2P2q2/2N5/PP3PP1/R4K2 w - -,a6c6
r2qr1k1/ppnnppbp/3p2p1/2pP4/2P1P3/2N1BB1P/PP1Q1PP1/R4RK1 w - -,f3e2
r4r1k/1bp2p2/n7/p3RBpP/1p4P1/8/PPP5/1NKR4 w - -,e5a5
r3nRk1/1p2q1b1/7p/2p1p1pP/2PpP1Q1/pB1P2P1/P2B2K1/R7 b - -,g7f8
rn1qkb1r/1b1p2pp/p3pP2/8/1p1Q2n1/5NP1/PPP1NPBP/R1B1K2R b KQkq -,g4f6
rn1q1rk1/pbppb1p1/1p2pn1p/5p2/2P2P2/1PNPPN2/PB4PP/R2QKB1R w KQ -,f1e2
8/4npk1/3b2pp/3pq3/7P/1B2P1P1/4NP2/3Q2K1 b - -,e5e6
8/p7/1p2k3/2p2p1p/2P1r1p1/1P3KPP/P2R4/8 w - -,h3g4
2kr1b1r/pp4p1/2n1qp1p/2p4P/2N4R/2P1B1P1/PP2QP2/R3K3 b Q -,f8e7
4Q2k/7p/5q2/1p1P4/1P6/6P1/6K1/8 b - -,h8g7
8/6p1/6pk/4KR2/8/8/8/8 b - -,g6f5
6k1/p4pp1/8/8/4qPPp/P1pp3P/5R2/3R2K1 w - -,d1f1
2k5/pp5R/2n5/8/7b/P1P5/1P1KN3/7r w - -,d2d3
1r4k1/2p2pp1/2n1b2p/p1b4n/1p2PP1N/2P2N1P/PP5K/R1B1rB2 w - -,f3e1
r2r2k1/pb2q1pp/5n2/4np2/1bp1pN1P/2N3P1/PPQBPPB1/R4RK1 w - -,a1d1
r1bqr1k1/pp3pp1/2pb1n2/3p3p/1P1Pn3/P2BPNN1/1BQ2PPP/R4RK1 b - -,d8c7
r1bq1rk1/4pp1p/2np2p1/2p5/p1P1P3/1PR2N1P/P2Q1PP1/1B3RK1 w - -,d2h6
8/6k1/6p1/3p4/P2P1R2/1pP1P3/3K1P2/4r3 w - -,d2e1
3r2k1/p2q1pp1/1p2r2p/2p1b3/4B1bP/1PPP2P1/P1R2Q2/4NRK1 b - -,e6f6
r1b2rk1/ppqpbppp/2n5/2ppP3/3P1P2/5N2/PPP1B1PP/R1BQ1R1K b - d3,c5d4
r3k2r/ppp2pp1/2nqpn2/3p1b2/3P3p/2P1PN1P/PP1NBPP1/R2QK2R w KQkq -,e2b5
r1bqkb1r/1pp3pp/pnn5/4pp2/8/PPN1PN2/1BQP1PPP/R3KB1R w KQkq -,f1e2
r1bq1rk1/ppp3pp/2nn1p2/3p2B1/3P4/P1P2N2/2P2PPP/R2QRBK1 w - -,g5f4
r7/1bQ2r2/pp2p1k1/8/1PPpn3/8/P4PPP/R5K1 w - -,c7b6
2R5/p5r1/5n2/2p2k2/2P1p3/1P6/P3KN2/8 b - -,f5e5
5r2/1p1k2p1/3bp2p/4q2P/1P1p2P1/P2B1b1R/2Q5/2B2NK1 w - -,c2a4
r2r2k1/4ppbp/6p1/2p3P1/4P3/1PN1nn2/P3NPKP/3R1R2 w - -,f2e3
2b2r1k/4rppp/2qN4/p3P1R1/4p3/P1P1Q3/6PP/5R1K w - -,g5g7
r2qkb1r/1p1n1ppp/p1p1pnb1/3p4/2PP3N/1QN1P1P1/PP2BP1P/R1B1K2R b KQkq -,b7b5
3r2k1/1p3p2/2p3pp/p3P3/1b3PP1/5Q2/3q2KP/2R1R3 w - -,f3f2
rn1q1rk1/pbp1bppp/1p2pn2/8/4N3/2NP2P1/PPP2PBP/R1BQ1RK1 b - -,f6d5
8/2k5/p3p1p1/1p2p1Pp/1Pp1P2P/1KP1P3/P7/8 w - -,b3b2
r1b2rk1/2q2ppp/p1p5/1p2p1Pn/1b2PP2/2N1B3/PPPQ3P/2KR1B1R w - -,f4f5
1r4q1/5pk1/p2p3R/2pP2P1/2p1P3/5p2/PR2N2Q/2K5 b - -,b8b2
r2r2k1/pb2qppp/1pnppn2/8/1PP1P3/P1B2NP1/4QPBP/R4RK1 b - -,a8c8
3n2k1/pr2pp1p/1p6/2p5/N7/1P2P1P1/P2P3P/R5K1 w - -,g1f2
2r4r/3k1p2/p1p2p1p/Pp3NbP/3PP1P1/3K4/P4R2/1R6 w - -,f2c2
rnbq1rk1/pp2p1bp/2pp2p1/5p2/3Pn3/2P2NP1/PP1NPPBP/R1BQR1K1 w - -,d1b3
rbb2r1k/1p2q1pp/8/3Ppp1Q/1p2P3/1N4P1/PB5P/R4R1K w - -,h2h4
r1bq1rk1/pp1n1ppp/2pbpn2/8/2BPP3/2N2N2/PP3PPP/R1BQ1RK1 b - -,e6e5
r2q1rk1/pp3ppp/2n1pn2/2b2b2/Q1p5/2N2NP1/PP2PPBP/R1B2RK1 w - -,a4c4
r2qr1k1/pp2bppp/3p1n2/4n3/2PN2b1/PPN1B2P/4BPP1/R2Q1RK1 b - -,g4e2
8/5pkp/4pn2/5p2/5P2/1R2PKPP/r3N3/8 w - -,e2c3
2r3k1/5p1p/p5p1/1pq5/5QP1/7P/2P3R1/7K b - -,a6a5
r6k/p5p1/2P2n2/2p3Nq/5p2/1P2BQb1/P3P2r/R1R3K1 w - -,c6c7
2r3k1/p1r4p/3n1b1P/4p1p1/1qbpP3/1N1B2B1/P3QPP1/2R2RK1 w - -,d3c4
8/3n1p2/p2kp3/3p1p1N/1K1P3P/4PPP1/8/8 b - -,d7b6
r1r3k1/p2R1p1p/3p2pQ/1p2q3/2n5/1BP4P/PP3PP1/R5K1 w - -,h6h4
2rrb1k1/1pq2ppp/p1nbpn2/8/2P5/PNN1B2P/1PQ1BPP1/R2R2K1 b - -,c6e7
r1bqr1k1/1p3ppp/n7/p1bn4/8/P1N1PPP1/1P4BP/R1BQ1RK1 w - -,c3d5
3N3k/1p3rpp/2p5/p3bp2/Pn6/3P2P1/1B2PPKP/5R2 b - -,f7d7
2rr2k1/pbn1qpp1/4pn1p/1p6/2pPP3/P3QNN1/1PB2PPP/3RR1K1 w - -,e3f4
8/6pk/8/1Q6/6PP/8/Kpq5/8 w - -,b5h5
r4rk1/pp3p1p/4p1p1/2pq4/3b4/P2P2P1/1P1BPP1P/1R1Q1RK1 w - -,d2c3
6k1/4bpp1/4p3/q3P2p/1p1P4/1P3NP1/7P/3Q1K2 b - -,a5d5
r1bq2k1/1p1n2bp/p2p2p1/2pP1P2/Pn3P2/2N4P/1P4P1/R1BQNBK1 b - -,g6f5
r1bq1rk1/1pp2pp1/2np1n1p/p1bNp3/2P5/P2P1NP1/1P1BPPBP/R2Q1RK1 b - -,f6d5
r2nkb1r/pp2pppp/4b3/8/2B5/5N2/PPP2PPP/R1B1K2R w KQkq -,c4e6:c4b5
r2qr1k1/1pp2pb1/3pbnpp/p2N4/1PP1P3/6PP/P4PB1/1RBQR1K1 w - a6,b4a5
1r3rk1/p2qn1bp/b2pp1p1/2p2p2/Pp1nPP2/3PN1P1/1PP3BP/1RBQR1NK w - -,b2b3
8/8/2p4P/1k4n1/3nP3/p5P1/5K2/2N5 b - -,b5c4
r3qr1k/1b5p/p3p3/1pp1Pp2/2P3pb/3P4/PP1BQ1PP/3R1RNK w - -,d2f4
6k1/5p1p/4q1p1/p1p1p3/P1P2b2/1P6/4Q2P/3R2K1 b - -,e6h3
r5k1/4ppb1/pn1p2p1/1n1P3p/1P3P2/3R3P/Q5PK/1N6 w - h6,b1d2
3r2k1/p4p1p/1b1P1qp1/2p2b2/2B2B2/1PP3Q1/6PP/5RK1 b - -,h7h6
5r1k/1p1r2bp/3p4/6N1/8/pP1KR2P/P5P1/7R b - -,g7h6
r4bk1/5pp1/2p4p/2Pn1q1P/pp1P2P1/8/PP1B4/K2RR3 w - -,g4f5
r3kb1r/p4ppp/2p1pn2/3q4/P2p4/3BPP2/1PQ1KP1P/R1B4R w kq -,d3c4
8/3b4/3k1p1p/4p1p1/2B1PP2/4K1P1/7P/8 w - -,f4g5
r4rk1/pp1npp2/6p1/2pPNq2/7R/1Q2B3/PP2BP2/R3K3 b Q -,d7e5
4q3/pp3p1k/1br1r1p1/8/2P3N1/2QR4/P4PPP/5RK1 b - -,h7g8
r2q1rk1/1bpn1ppp/1p1ppn2/p7/1bPP4/2N2NP1/PPQBPPBP/2R2RK1 b - -,h7h6
2krr3/ppq2ppp/2p5/2Rn3b/3P4/7P/PP1NBPP1/3QR1K1 b - -,h5e2
rn1qr1k1/pp2nbpp/1bp2p2/3p4/4PNP1/1N1P4/PPPBQ1BP/2KR3R b - -,a7a5
6R1/1p6/pB6/5b2/5k2/PK3p2/1P1r4/8 w - -,b6c7
5rk1/p5p1/1b5p/6q1/1r1P1p2/4P1P1/R3BP1P/2RQ2K1 w - -,e2c4
3r1rk1/ppq2pp1/4pn1p/2B5/8/2P2N1P/PPQ2PP1/R3R1K1 b - -,c7c5
r2qrnk1/pb3pp1/1p5p/3pP3/1P3P2/P7/2Q2NPP/RBnR3K w - -,c2c1
2k1r2r/p2q2pp/1p6/3P4/1Qp4P/P1P3P1/2P2BK1/R3n3 w - -,a1e1
r3r1k1/1p2qpp1/2p3bp/2Np4/P7/3P2P1/RQ2PP1P/2R3K1 b - -,a8a7
rn1qr1k1/pp3p1p/2pbb1p1/5p1P/3P4/2PB4/PPQ1NPP1/R1B1K2R w KQ -,c2d2
R3bk2/6p1/3K3p/4Pp1P/5r2/1P1B4/2P5/8 w - -,d3b5
3q1rk1/pbr1pp1p/1p1p2p1/4n3/1PPQP3/P3NP2/4B1PP/R1R3K1 w - -,c4c5
3rr1k1/1p1nqppp/2p2n2/2P1pP2/1p6/P1N3PP/2Q2PB1/3RR1K1 w - -,a3b4
r2qkb1r/pp3ppp/2n1p3/2ppn3/Q2P1Bb1/2PBP3/PP1N1PPP/R3K2R w KQkq -,f4e5
2r3k1/pp4pp/4Nr2/3pn3/1p5P/3P2P1/P4P1K/3R1R2 w - -,e6f4
1r2k3/4P1b1/3P2pp/1PR5/p4pPP/5P2/1p1R2K1/8 w - -,c5c8
2r1kb1r/3nnp2/bq2p1p1/1pppP2p/pP3P2/2P1NNP1/PB1PQ1BP/4RR1K w k -,b2a3
rnbqk2r/pp2npbp/3pp1p1/2pP4/2P1P3/2N2N1P/PP3PP1/R1BQKB1R b KQkq e3,e8g8
r1br2k1/pp3ppp/2pqp3/3n2N1/2BPQ3/8/PPP2PPP/3RR1K1 b - -,d5f6
5rk1/1p3pp1/2N1b3/3R4/2P1P3/2R1P1PP/6BK/r7 b - -,b7c6
8/5p1k/5n2/6Pp/4P3/P4PB1/1P4K1/8 b - -,f6d7
rn1q1rk1/1p1bppbp/p2p1np1/8/3NP3/2N1BPP1/PPP2Q1P/R3KB1R w KQ -,g3g4
1r1q1rk1/3nbppp/p2p1n2/3Pp3/PP6/2B3P1/4NPBP/R2Q1RK1 b - b3,d8b6
r3k2r/2qn1pp1/2pbbn1p/pp1p4/1P1P4/P1PBBN2/2QN1PPP/2K1R2R b kq -,a5b4
2r1q1k1/5pbp/Q7/p5Pp/8/1Pp5/P1R4P/1K3R2 b - -,c8c5
8/3n1k2/3Q2p1/3P3p/7P/5BP1/8/2q3K1 w - -,g1g2
4B1k1/1p2n1p1/4P3/p2pKpP1/P2R4/1P4P1/7r/8 w - -,e5d6
8/4q3/5pk1/3p2p1/p1pB3p/PrPb3P/5PP1/R1Q3K1 b - -,e7e4
2r1r1k1/5ppp/2b1qn2/1p2b3/2p1P3/2N1BPP1/1P2Q2P/1BRR2K1 w - -,b2b3
2b5/r5k1/2p5/p3p1PB/Pp2n3/4R3/1P3PPN/3q2K1 w - -,h5d1
8/8/4k1p1/1N1p4/1P1K1Pb1/8/8/8 w - -,b5c7
4K3/3n3b/3k4/8/8/8/8/8 b - -,h7g6
r1bqr1k1/1p1n1pbn/p2p2pp/3Pp3/1P2P3/2N1B1PP/P2N1P2/2RQRBK1 w - -,d2c4
2kr4/ppqr1p1p/n1p1pb2/5p2/3P4/P1NR1QP1/1PP2P1P/1KNR4 w - -,c1b3
1r1r2k1/4npq1/2p3p1/1p3n1p/pP1PN3/P2R1BP1/3Q1PP1/3R2K1 b - -,f5d6
4r2k/5bp1/p2P1pq1/2P4p/3Q4/8/5PBP/4R2K w - -,e1e8
8/8/2p3p1/2Pp1q1k/4p2p/4Pp2/5P2/5NQK w - -,g1h2
r1b1r1k1/ppqnbppp/3p1n2/2pPp3/1PP1P3/2N2N2/P3BPPP/1RBQ1RK1 w - -,a2a3
7r/pp3k2/2b4p/3pPp2/2pP1N1P/P4P2/1PK5/6R1 b - -,h8g8
5Q2/6P1/4q3/6P1/2r4K/1k6/8/8 w - -,h4h5
r2qk2r/1bp1npb1/pp1p1npp/3P4/P1BB2P1/2N2N2/1PPQ1P2/2KR3R b kq -,d8d7
3r3k/6b1/p6p/1p1Pp3/3r2B1/1P2N3/P4PPP/2R3K1 w - -,c1c6
2R5/1p5p/4k3/4p2p/2P5/1P2K2P/6P1/3r4 w - -,c8c7
3rrnkq/8/p2p4/1bpPp1p1/1p3PP1/1P3B2/P4BQ1/3RR1K1 w - -,f4f5
r2q1rk1/pb3ppp/1p3b2/2npN3/3NnB2/6P1/PP2PPBP/2RQR1K1 w - -,b2b4
r1b2rk1/pp2ppbp/1qn2np1/2pp2B1/3P4/2PBPN2/PP1N1PPP/1R1QK2R w K -,e1g1
r3k2r/1npqbppp/p7/1p1pPb2/3P1P2/8/PPBN2PP/R1BQ1RK1 w kq -,c2f5
8/1p6/2p1b3/p1p1k3/7R/P3NKP1/1PPr4/8 w - -,e3c4
6k1/R4p2/2p2npp/8/8/4P1P1/5PKP/1r3B2 b - -,b1c1
2b5/8/5k1p/p2p1p2/3P1K1P/3B4/P5P1/8 w - -,d3b5
3r1rk1/pb2qp2/2npp2p/2p3p1/2P1P2P/P1N1Qn2/1P2BPP1/3RR1K1 w - -,e2f3
3qr1k1/3b1rp1/2p1p1Np/1pPpb2P/p4PP1/P2RQR2/1P2P1K1/8 w - -,e3e5
r4rk1/p4ppp/8/1b1Qp3/R3P3/P2qB1P1/5PBP/5RK1 b - -,d3d5
r1b1k2r/1pq1bp2/p2ppn1p/8/2n1PpPP/P1N2Q2/1PP1NBB1/2KR3R w kq -,g4g5
r1k4q/P1pr1p2/2p1p1p1/2Q1R2p/1P1P1P2/2P4P/8/R5K1 b - -,d7d6
r2q1rk1/4p1bp/pn1p2pn/2p2p2/2N1P3/R4N2/1PPPQPPP/2B2RK1 w - f6,f3g5
r1bqk2r/1pp2pp1/2nppn1p/p7/2PP4/P1b2N2/1PQBPPPP/R3KB1R w KQkq -,d2c3
2r3k1/p1q3bp/Qp1p2n1/3Pp1p1/1P2Pp1P/3N1P2/P4BP1/5RK1 b - h3,g5h4
8/2kb1ppp/B2p4/3Pp3/1p2P3/1P2KP2/6PP/8 b - -,c7b6
4R1k1/1p1n3p/p2p2r1/2pP3p/P6B/7P/1P4P1/7K b - -,d7f8
1qr2rk1/1b1nbppp/1p1ppn2/p7/P1PNP3/2N1BP2/1P1QB1PP/R2R2K1 w - -,d4b5
3k4/2p5/2P4p/R4p2/8/P3K3/7r/8 b - -,h2c2
2br1rk1/p1q1np2/5p2/3pP3/1pp3pP/4P1Q1/PP2NRB1/R5K1 w - -,f2f6
7R/8/4ppkb/1KP5/8/8/r6B/8 b - -,a2h2
8/8/R3k1p1/1N6/1r5p/5Pn1/6PK/8 b - -,e6f7
rnb2rk1/p1p1q1pp/4pn2/p2p1p2/1bPP4/BP3NP1/2Q1PPBP/RN3RK1 b - -,c8b7
8/p5k1/3qBb2/5Qp1/1P5p/2P5/KP6/8 w - -,e6c4
1r1r2k1/pR3pp1/P5np/2B5/2p5/3p2P1/5P1P/5RK1 b - -,d3d2
2bq2k1/8/3r2p1/3n3p/4P2P/4Q1P1/5RBK/8 w - -,e4d5
rnbq1rk1/1p2bppp/p2ppn2/8/3NP3/1BN1B3/PPP2PPP/R2Q1RK1 b - -,b8d7:b7b5
8/8/8/5Bn1/4p2p/4K1k1/8/8 w - -,f5d7
4rbk1/1pq1rppb/2pp1n1p/p2P4/P1P5/2Q1B1PP/1P1N1PBK/2R1R3 w - -,d2b3
3R4/p7/1p6/6P1/P4r2/4p3/4k2P/6K1 w - -,h2h3
2r2r2/pp2q1kp/1n4p1/4pp2/3n4/2N3PP/PP2PPB1/R1QR1K2 w - f6,c1b1
8/8/1R5K/5P2/7r/5k2/8/8 w - -,h6g7
8/7p/6rP/Pk6/1P5K/8/3B4/8 w - -,h4h5
1rb2rk1/2qp1ppp/p1n1pn2/1p4P1/1b1NP3/2N1BP2/PPPQ3P/1K1R1B1R b - -,f6h5
r4rk1/1bqnppbp/p2p1np1/1p6/P2BP3/2P2P1P/1PBNN1P1/R2Q1RK1 b - -,d7c5
3b4/1p4pp/p1nk1p2/4p3/1P6/2PK2B1/P2N1PPP/8 b - -,f6f5
r2q1rk1/pp2ppbp/2npbnp1/8/4P3/1NN5/PPP1BPPP/R1BQ1R1K w - -,f2f4
r1bq1rk1/1p1n1pbp/p2p1np1/2pP4/P3P3/2N3N1/1P2BPPP/R1BQK2R w KQ -,e1g1
4rrk1/1b4pp/8/1P1P4/6p1/5PqP/1PB2R2/R1BQ3K b - -,g3f2
2rqrk2/3b2b1/p2pnpp1/1ppB3P/3P4/5p2/PPPB1PP1/2KR1Q1R w - -,h5h6
r2qbrk1/1p4bp/2np1np1/pNp2p2/P1PPp3/1P2P3/1B1NBPPP/R2Q1RK1 w - -,d2b1
r2r1k2/pp3pb1/7p/3N2p1/8/P3PnP1/1PB2PK1/3R3R b - -,g5g4
1r4k1/2qnppbp/r1pp2p1/1p6/pPnPP3/P1Q1BBNP/2P2PP1/R4RK1 w - -,f3e2
r1bqr1k1/pp2bppp/2n2n2/3p4/N7/4BNP1/PP2PPBP/R2Q1RK1 w - -,e3d4:a1c1
2q2rk1/pbr1bpp1/1p2p2p/3nN3/2BP4/P1N3P1/1P2QPP1/2RR2K1 b - -,d5c3
8/5pk1/2p3p1/3nPq2/p1n2P1P/P2R1Q2/5P2/5NK1 w - -,f1g3
2r1kb1r/pp3p2/5n1p/4P3/3n3p/2N2P2/PP5P/2KR1B1R w k -,d1d4
3b1rk1/5rpp/p1npb3/2qNpp2/1pP1PP2/1P1Q2P1/P1N3BP/3R1R1K w - -,c2e3
8/p7/p1r1pk2/5p2/R4P2/2P1P1K1/P4P2/8 w - -,c3c4
bn1q1rk1/2p1bppp/3ppn2/1p6/4P3/3P1NP1/1PP2PBP/1NBQR1K1 w - -,b1c3
rnb1kb1r/1pqp1ppp/p3pn2/6B1/3NP3/2NB4/PPP2PPP/R2QK2R b KQkq -,f8e7
2r2n2/pp1br1kp/3p1Np1/4p3/2P1P3/8/PP2B1PN/R4RK1 w - -,f6d7
r1bq1rk1/pp3ppp/2P2n2/8/8/P5P1/1PQBpP1P/3RKB1R w K -,f1e2
8/3nr1pk/2Q1p2p/2Pp4/1P6/3bP1P1/1q3P1P/R4BK1 w - -,f1d3
r1b1k2r/pp2nppp/2n1p3/1B1p1PB1/8/2N3P1/PPP3P1/R4RK1 w kq -,f5f6
r1b1r1k1/1pQ2ppp/p7/3q4/2nN1P2/4P3/PP4PP/2BR1RK1 b - -,c8g4
R7/5p1r/5K2/3p4/4k3/8/8/8 w - -,a8e8
8/1prn2p1/2pk1p1p/8/pP3P2/P1RBP1P1/7P/6K1 w - -,d3c2
r1bqrbk1/pp1n1pp1/2pp1n1p/6B1/3NP3/2N5/PPPQ1PPP/R3RBK1 w - -,g5h4
4n1k1/q4p1p/3r2p1/1pb5/4P2P/5PPB/3RN1K1/3Q4 w - -,d2d6
2r1k2r/3np2p/Qp1p1pp1/2q5/4P3/2P4P/PR1N1PP1/5RK1 w k -,f1c1
3r4/pr2n1k1/3pPp1b/p4Pp1/2P1N3/1P6/1B4R1/3R2K1 b - -,e7g8
rnb1k2r/ppp2ppp/3qpn2/3p4/3P1P2/4P3/PPPN2PP/R2QKBNR b KQkq f3,e8g8
5k2/pp2rpb1/3p1qp1/2n2P1p/P1P5/1P3Q1P/2BB2P1/5R1K b - -,f8g8
rn1qkb1r/pp3ppp/2p1pn2/3p3b/7N/3P2PP/PPP1PPB1/RNB1QRK1 b kq -,f8e7
3q3r/p3b1k1/1np1p1p1/1pp1P2p/2P2BP1/3P1N2/PP2QPK1/7R w - -,g4h5
2kr3r/1n1qbppp/2b1p2n/1p1pP3/2pP1PP1/P4NNP/2PB2B1/1R1Q1RK1 w - -,d2b4
8/1pr3pp/p3kp2/P7/8/P2RKP2/3B2PP/8 w - -,d2b4
2rq1r2/1pp2ppk/p2n3p/2R1N3/3P4/1Q2P3/PP3PPP/2R3K1 w - -,b3c2
r3k2r/1b1nbppp/pp2pn2/8/1PB5/P3PN2/1B1NKPPP/R1R5 b kq -,e8g8
r2qkb1r/pp1n1pp1/2p2np1/3p4/3P4/2N1P1P1/PP3P1P/R1BQKB1R w KQkq -,f1g2
rnbqk2r/pp2ppbp/2pp1np1/8/3P1B2/3BPN2/PPPN1PPP/R2QK2R b KQkq -,b8d7
8/p2r1kb1/2bP2p1/2P3Bp/7P/4R1P1/5P2/R5K1 b - -,g7a1
2n1q1k1/1p3ppp/p1n5/3p2b1/NB6/1P1NPP2/P3QKPP/8 w - -,b4c5
8/p5bk/2R4p/2P5/5K2/5N1P/4B3/1br5 w - -,c6c7
r1b1qrkb/ppp1n2p/3p1n2/3PppBN/2P3P1/2NB1P2/PP1Q3P/R4RK1 b - -,f6h5
2b2rk1/2q1r1p1/2p1p2p/p1N5/1ppP1PP1/2n2Q2/2B4P/4RRK1 b - -,c7d6
5Q2/P3P2k/2b3pp/8/4n1PP/7K/8/3q4 w - -,f8f7
r1b1qrk1/ppp3pp/3pnb2/5p2/2P5/1PB1PNP1/P1Q2PBP/R4RK1 b - -,e8h5
3rr1k1/1bq1bp1p/pp1ppnp1/2n3N1/2P1PP2/1PN5/PB2Q1PP/1B1R1R1K b - -,f6h5
6k1/1r1bb2p/1qp1p3/p2pPp2/B2P2p1/P1QNP1P1/1P3KP1/2R5 w - -,a4c6
r4b1r/pp1q1k1p/n4Q2/3P2B1/8/P1N5/1P3PPP/R4RK1 b - -,f7g8
8/8/3kn3/1p6/2p1Bp2/2P5/1P2KP2/8 w - -,e2f3
2b5/5p2/pPN2kp1/P1np4/8/5KP1/4PP2/8 w - -,f3e3
1k1r4/5pQ1/1bbq4/pp3PPp/4P2P/1P6/1PP1R3/2K1B3 w - -,e1d2
3q4/1p4k1/p2P2p1/P3p1n1/2r5/6P1/3QBRK1/8 b - -,c4d4
2rqrbk1/1b3p1p/p1n1pnp1/2Pp4/8/PPNB1N2/1B3PPP/2RQR1K1 b - -,e6e5
