8/p1R5/5bkp/8/8/P7/r4PP1/5NK1 w - -,c7a7
8/pp6/5Kp1/6P1/1P4kp/8/P7/8 b - -,g4h5
2r4r/pp1bkpp1/2n1p2p/2b5/2B5/2P2NB1/PPP2PPP/1K1RR3 w - -,a2a3
8/p5pp/3k1p2/1B1b4/3K4/1P3P2/P5PP/8 b - -,g7g5
8/3k4/3p4/b1pPpNpp/2P1P3/rp5P/6P1/1RK5 b - -,a5c3
2bq4/4nkp1/pp1r1n1p/3PQ3/P7/2N4P/1P3PP1/3RR1K1 b - -,f7f8
r1bq2kr/ppb2ppp/2nNp3/3pP3/1P3P2/B1P5/3Q2PP/R3KB1R w KQ -,f1d3
r1b2rk1/p1p1n1p1/2qb3p/1p3pNQ/5P2/3B4/PP1B2PP/R3R2K w - b6,a1c1
2rqnrk1/p3b1p1/2np3p/2pNpb2/1P6/4BN1P/P4PP1/R2QRBK1 w - -,b4c5
1n6/1P3p2/8/3k2p1/2R3P1/3p1P2/5K2/8 w - -,c4c8
3r1rk1/1bqnbpp1/pp1ppn1p/8/1PPNPP2/2NB4/P2BQ1PP/4RR1K w - -,a2a3
3qr1k1/1b1n1pp1/pP3b1p/3p4/5B1P/PQ3NP1/1P2PPB1/2R3K1 b - -,e8e2
k3r3/1p3pQ1/p2Pp2p/7q/2P2P2/P2R2P1/1P6/K7 b - f3,h5f5
4rr1k/pppq2p1/2n1b2p/2Pp1p2/1P1P1PPb/1R2BB1P/P3N1QK/5R2 b - -,e6g8
6k1/2p2p2/4n1p1/4q1P1/PN1p4/1PP5/1K1Q4/8 w - -,b4c6
8/4k3/2n1pb2/1p1p2p1/3P2P1/1PBNP3/3K4/8 b - -,e7d6
3q2k1/1p2bpp1/3p2n1/1P1Pp1N1/2Q1P1pP/4B1P1/5P2/6K1 b - -,d8d7
6k1/p2nnp2/4p1p1/2p1P1Np/1qPpBPPP/3P4/P1R1Q2K/1r6 b - -,h5g4
1r3rk1/pp2qpp1/2pbpn1p/8/3P4/1QN1P1P1/PP3PBP/2RR2K1 b - -,h6h5
r4rk1/ppq1ppbp/3p1np1/3P2B1/2B5/2P5/PP3PPP/R2Q1RK1 w - -,c4b3
2rr2k1/5pp1/4p2p/R2nB3/2p5/P6P/1P3PP1/4R1K1 w - -,e1c1
r3kb1r/pp4p1/n1n1N3/1q2Pp2/3p3P/8/PP4B1/R1BQK2R w KQq -,d1b3
1r3k2/2q2Bp1/3p4/3Q3p/4PP2/2b5/4K1P1/2R5 b - -,b8b2
6k1/r2n1ppp/2B1p3/2p5/1pN4P/1n1PP1P1/1P3P2/3R2K1 b - -,d7f6
2k5/1bp2p1p/p3p3/1pn1P1p1/3r4/P3RP2/1PP3PP/2KN1B2 w - -,d1c3
rn3rk1/5ppp/p3p3/1p1bP3/1Pp5/P1BnRN2/5PPP/R2B2K1 w - -,f3d4
r3kb1r/ppp1pppp/2n2n2/3q4/3P4/5B1P/PPP2PP1/RNBQK2R b KQkq -,d5d7
r6r/1p2pp1p/2p1k1p1/p3P3/1P5B/P2bP3/5PPP/R3K2R w KQ -,e1d2
8/8/8/3pNk2/2bP3B/3n1p2/8/6K1 b - -,d3e5
2r1r1k1/5ppp/4b3/pp2P3/3B1P2/1P2P3/4B1PP/2R2K2 w - -,c1a1
2r1r1k1/1p1nbppp/p1p1pn2/8/2PP1B2/1P3BNP/1P3PP1/3RR1K1 w - -,e1e3
1r4k1/pr3pp1/2R1p2p/3n3P/3P4/qPnN1QN1/P2R1PP1/1K6 w - -,c6c3
8/5rp1/3b3p/3kp3/1pR3P1/3K3P/1P1B4/8 w - -,c4c8
4rn2/1p1q1k2/p2Pb2P/5r1n/2P1QP2/2B1PN2/P7/2KR2R1 b - -,e6d5
rn2kb1r/ppq2p1p/2p1pnp1/8/2BP4/1Q2PN2/PP1B1PPP/R3K2R w Kkq -,a1c1
2r1r1k1/1pq2pbp/p2p2p1/3Pn3/2nB2P1/PNP4P/1P3Q1R/1K1R1B2 w - -,f2f4
r3kb1r/1p3pp1/1pn1pn1p/3p1b2/8/P2P1NP1/1P1NPPBP/R1B1K2R w KQkq -,d2b3
8/2kn2p1/2n5/pp2pP1p/8/BP2P1K1/P4PB1/8 w - a6,g3h4
8/8/4k3/5R2/6K1/6P1/8/r7 b - -,a1a8
8/1R3p2/8/3Knkp1/8/8/8/8 w - -,b7b1
r2q1rk1/pp2ppbp/3p1np1/n1pP4/2P3b1/2N3PP/PP1NPPB1/R1BQ1RK1 b - -,g4d7
r2n1rk1/pbp1b2p/1p1ppn2/3P2p1/1PP1p3/P2N2P1/1B1N1PBP/R2R2K1 w - -,d2e4
8/1k6/8/p6R/r5P1/5K2/8/8 b - -,a4a1
3r1rk1/1b2bppp/pq2pn2/2p1N3/Pp3P2/1P1B4/1BPPQ1PP/R4R1K w - -,a1e1
1r6/7p/3k4/6p1/1P1p4/2K4P/R5P1/8 w - -,c3c4
8/1ppbkn2/p2p2pp/2PPp3/1PN1P1P1/P1N3KP/8/8 b - -,e7d8
8/8/1R6/2pr4/6p1/2k1K3/8/8 w - -,e3e2
8/4k1pp/4p2P/1p1pP1P1/p1pP1K2/P1P2B2/1Pb5/8 b - -,g7g6
r1r3k1/ppqbppbp/n2p1np1/3P4/P6N/R1N3P1/1P1BPPBP/1Q3RK1 b - -,a6b4
2r1k2r/p4ppp/6b1/1p6/1b1p2P1/2N4P/PP3PB1/R4RK1 w k -,c3b5
2rr2k1/2b2pp1/4p1n1/p1P1Pb1p/3N4/2Bp3P/PP3PP1/R2BR1K1 b - -,d3d2
2r1r1k1/1bq1bppp/p3p3/1pp5/4PP2/P3BP2/1PPRNQ1P/3R2K1 b - -,e8d8
r1bq1rk1/pp2ppbp/2n2np1/3N4/3NP3/4BP2/PPPQ2PP/R3KB1R b KQ -,f6d5
4r3/8/1kp2pbp/2n1p3/2PnP1P1/2K2PN1/2N1B3/R7 b - -,d4c2
2r2rk1/pppq2pp/2n1bp2/2bnp3/8/P2P1NP1/1P1BPPBP/2RQ1RK1 w - -,c1c5
8/R1b2p2/2k3p1/pr5p/4K3/P4P2/3B2PP/8 w - -,h2h3
8/4kn1p/p1R2bp1/1r3p2/2N5/1P2PP2/4K1PP/4B3 w - -,c4a5
8/R5p1/P4pk1/7p/4p3/r6P/5PK1/8 b - -,e4e3
rn3rk1/5ppp/p1p1p3/3n4/3P4/1p1BP2P/3BKPP1/R6R w - -,h1b1
4r1k1/3p1ppp/2b1nn2/2ppb3/1r6/1PN1PP2/P1B1NBPP/2RR2K1 w - -,c2d3
r4rk1/1bp2pbp/pp1q2p1/3pN3/PP1Pn3/1QN1P3/4BPPP/2RR2K1 w - -,c3e4
r1b2rk1/3nb1pp/1pp1p3/q2p1p2/2PP1B2/4PN1P/P1Q1BPP1/R4RK1 b - -,c8a6
rnb2knQ/pp5N/4p1q1/3pPp2/1b6/1PpB4/P1P2PPP/R1B1K2R b KQ -,f8e7
r3kr2/5p1p/p6Q/2pnP3/2p1q3/1P2P2P/P3K1P1/2R2B1R b q -,f7f6
4r1k1/1p3qp1/7R/2Q2p2/5p2/8/PP6/1K4n1 w - -,c5g1
2b5/6p1/5pk1/7p/1R6/4K1P1/8/8 w - -,b4b8
3R4/1pq3k1/p1p1bpn1/4p2p/2P1P1pP/PP2Q1P1/2B1NP1K/8 b - -,c7d8
r2k2nr/pb1q2pp/2pNpp2/1p6/3P4/B1n1P1Q1/4BPPP/R3K2R w KQ -,d6b7
4r1k1/2qnrp2/ppb2npb/2pNp2p/P1P2P2/2N3PP/1PQ2BB1/3RR1K1 b - -,c6d5
r1b1k1nr/pp1n1ppp/2pbp3/q2p2B1/2PP4/2NBPN2/PP3PPP/R2QK2R b KQkq -,f7f5
4r1k1/pp1q1p1n/3p1rp1/2pP4/2PbNPP1/1P1Q4/P2B2RK/5R2 b - -,g8g7
6rk/ppQ4p/4pp2/8/q2pP3/5PP1/4K2P/2N4R b - -,a4a3
6k1/1p1r1pp1/2p1p2p/8/nPPP4/1q6/1B2RPPP/2Q3K1 w - -,b4b5
1b3r1k/3R2pp/4Q3/4p3/1q3p1P/6P1/5P2/6K1 w - -,e6g4
2k3r1/pp1b1p2/2n1pB2/1q2Pn1P/1R1p4/P1p2N2/2P2PP1/4KB2 w - -,b4b5
r2q1rk1/pp1nppbp/2p3p1/3b4/3P1B2/Q3PN2/PP2BPPP/3RK2R w K -,e1g1
8/6k1/3R4/5P1p/5Kb1/2P1N2r/8/8 b - -,h3f3
r2r2k1/pp2ppb1/n3bnpp/2p1P3/2P2P2/2N1BN1P/PP2B1P1/3R1RK1 b - -,f6e8
2rq1k1r/pp3ppp/2n1pn2/3p4/1b2P3/2NB4/PPPB1PPP/R2QK2R w KQ d6,e4d5
8/pp3k2/4p1rp/3p2p1/r7/P1P1RP1P/1P4P1/3R2K1 b - -,g6g8
rnbqk2r/1p2ppbp/p2p1np1/2pP4/P1P2B2/2N2N2/1P2PPPP/R2QKB1R b KQkq a3,e7e6
r1b5/p3b1kp/1pp1qpp1/2n1p3/2N1P3/1P2Q2P/P3NPP1/2RR2K1 w - -,g1h1
3r4/ppb1r3/2p3k1/6p1/PP1PpP2/2P1R2P/6K1/2NR4 b - -,g5f4
8/1p3k2/7R/r2P2pP/6P1/5K2/P7/8 b - -,a5d5
7b/7P/3k1p2/3n1B2/3PKP2/6N1/8/8 w - -,g3e2
8/2k2p1r/2P2R2/8/8/7p/5K2/8 w - -,f2g1
1rbq1rk1/3n2bp/2np2p1/2p2pP1/1p3P1P/3P1N2/1PP1N1B1/R1BQ1RK1 w - -,h4h5
8/7p/6k1/N7/1p3p2/1P6/1bP1K1PP/8 b - -,b2e5
r1q1k1nr/p1pb1pb1/1p1p2p1/n2Pp2p/2P1P3/2N1BNPP/PP2QPB1/R3K2R w KQkq -,b2b4
8/5k2/5p1p/2R3b1/8/8/6P1/5K2 w - -,f1e2
4k3/pp3p2/2rPp3/3pQp1p/bPn3qP/P7/1BP3P1/1KR4R w - -,e5h8
r2qrbk1/2p2bpp/p4p2/1P2pN2/3BP1PN/1p1P3P/2PQ1PK1/R5R1 b - -,e5d4
6k1/p2q1p2/bpr1nPp1/1N1p2Pp/P1nP1B1P/3B1P2/5Q1K/4R3 w - -,f4g3
2rr2k1/1bq2p1p/p2ppnpb/1p6/n3P3/2PRNPP1/PPN1QBBP/4R1K1 w - -,e1b1
r1b1kbnr/1pq2ppp/p2pp3/8/3NP3/2N5/PPP2PPP/R1BQR1K1 w kq -,c1f4
8/1p4p1/1k4Kp/7P/8/8/6P1/8 w - -,g6g7
2b1q1k1/4r1p1/pn2prPp/2p4R/3pPPQ1/PB6/1PPN4/2K4R w - -,f4f5
8/p1p5/2Pp4/PP1kr2p/1R6/5K2/7P/8 b - -,d5c5
r5k1/1RR2p2/p3b1p1/8/4PPp1/r1b1B2P/P4K2/2N5 w - -,h3g4
rn2k2r/ppb2ppp/2p1pn2/8/2B3Q1/3P2N1/PPP2PPP/R1B2RK1 b kq -,f6g4
4R3/5p1p/1Rn5/2NK4/4pk2/8/1P1q3P/8 w - -,d5c6
1rrq4/3b1pk1/p2p1npp/1p1Pp3/2p1P3/2P1N1PP/PP1Q1P1K/2RB1R2 w - -,d1f3
7r/8/4p3/1RP1K3/5p1P/6P1/1pk2P2/8 w - -,e5f4
5k2/8/1n1Pp2p/1PK4B/8/p7/8/8 w - -,c5b6
5rk1/4Rbbp/p7/5pP1/2N1p2P/1P2B3/r4P2/3R2K1 b - -,a2a1
2b2nk1/2q3bp/4p1p1/2BpP1Q1/1P6/2P2N1R/rr3PPK/2RB4 b - -,h7h6
8/8/8/8/3BKp2/6Pp/6k1/8 b - -,f4g3
2r1r1k1/5pb1/1p2n1pn/pP1pp2p/P6q/1N1PP2P/1B1QNPP1/1RR3K1 w - -,c1c8
2r3k1/prq1bppn/2R1p1p1/4P3/2PP1B2/6P1/Q4PBP/3R2K1 b - -,c7c6
r1b2rk1/pp1nbppp/2p5/4P3/5N2/2B2PP1/PP5P/2R1KB1R w K -,f1c4
8/8/R2k3p/5pp1/P2P3P/4r3/8/6K1 b - -,d6d5
r1bq1rk1/p2nbpp1/1pp1p2p/3pP3/2PP4/5NP1/PPQN1PBP/R4RK1 w - -,c4d5
5k2/5p2/rrpbpnp1/p2q3p/P1RP1P1P/1P3QP1/6K1/2RB2B1 b - -,f8e7
8/1p3q1k/p1p1b1p1/P6p/1PPQ4/2P1K1P1/4B3/8 b - -,e6h3
rn1qk2r/ppp1ppbp/2b2np1/8/2QP1B2/2N2N2/PP2PPPP/R3KB1R b KQkq -,e8g8
r2qr1k1/pp1n1pp1/2p1bb1p/3pNn2/3P1Q2/1B5P/PPPBNPP1/3RR1K1 w - -,c2c3
8/7p/4kPp1/1p4P1/2r1PK2/P7/1rp4R/2R5 b - -,c4c5
r2qk1nr/pp3pbp/2npb1p1/2p1p3/2P5/P1NP1NP1/1P2PPBP/R1BQ1RK1 b kq -,g8e7:h7h6
rnbqk2r/pp4pp/5p2/2bpp3/4n2P/4PN2/PPPN1PP1/R1BQKB1R b KQkq -,e4d2
2rr4/pp2p1kp/4B1p1/2Q5/8/P6P/1P3P2/5K1R b - -,c8c5
rn3rk1/pp2pp1p/6pb/8/2BPq1b1/N4N2/PP3PPP/R2Q1RK1 w - -,f1e1
r5k1/6pp/p1NB4/1p1P2b1/8/2P3P1/PP6/3r1BK1 w - -,c3c4
6k1/p1q2rpp/1p4n1/2pQP3/2P1P3/6P1/PB5P/3R2K1 b - -,g8h8
8/5pk1/4p1p1/pB6/5P2/3KP2P/5P2/2b5 b - -,c1a3
r5k1/pbpP1ppp/1p1b4/q7/2RQ4/1P2P1N1/P4PpP/4R1K1 w - -,e1c1
4r1k1/q5p1/p2Q3p/8/2p5/5KP1/R6P/8 b - -,a7e3
r2qk2r/1p1bppbp/3p4/p3nP2/P7/1NNB4/1PPQ1PPP/2KR3R w kq -,f2f4
8/5kpp/p7/8/1P2K1P1/P3N3/2P5/6r1 w - -,a3a4
rnbqkb1r/pp3ppp/2pp1n2/4p3/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq e6,b1c3
rnb1kb1r/pp2pp2/1q1p1n1p/2p3p1/3P4/2P2PB1/PP1QP1PP/RN2KBNR b KQkq -,f8g7
r1bqk2r/3nppbp/p2p1np1/1p6/4PP2/1NNBB3/PPP3PP/R2QK2R w KQkq b6,e1g1
r1bqr1k1/pp2bppp/2n2n2/1N1p4/3p4/1P3NP1/PB2PPBP/R2Q1RK1 b - -,c8g4
8/8/1p5R/p1p3k1/P2b4/1P3Kp1/8/8 w - -,h6b6
r2r2k1/ppqb1ppp/2n2n2/2pPp3/8/P1P1PN2/5PPP/R1BQRBK1 b - -,d7f5
2r1kb1r/pp1bpppp/3p4/6B1/3RPPn1/2N5/PPP3PP/2K2B1R w k -,g5h4
r2r2k1/pb2bpp1/1pn4p/4p3/8/P1NBP1B1/1P3PPP/3RK2R w K -,d3e4
8/8/4kp2/p2pp2p/P6R/4P3/r4P2/4K3 b - -,e6f7
r2r2k1/pp1qppbp/3p1np1/5b2/2P5/1PN1Q1P1/P2BPPBP/R2R2K1 b - -,f5h3
r1bqkb1r/1p1npp1p/p2p1np1/2p5/4P3/2P2N2/PP1P1PPP/RNBQRBK1 b kq -,f8g7
8/5R2/k7/3K4/8/4B3/1r6/8 b - -,b2b7
rn1q1rk1/1p2ppbp/p1pn2p1/P4b2/Q1pP4/2N2NPP/1P2PPB1/R1BR2K1 b - -,b8d7
8/p4p1k/1p5p/1N2Q3/P4n2/6q1/2KR4/8 b - -,g3g6
rqbr2k1/1p3ppp/p1nppn2/8/PbN1PB2/2N3P1/1PP2PBP/R2Q1RK1 b - -,b8c7
r2q1rk1/pp1n1pbp/2p1pnp1/3p4/2PP4/2NBPQ1P/PP3PP1/R1BR2K1 w - -,c1d2:f3e2:b2b3
8/8/3p2k1/PB1n4/5PP1/1p6/8/2K5 w - -,a5a6
1k4r1/1p6/p2n1p2/P2Ppp2/1P6/4PBPp/2R2K1P/8 w - -,c2c1
r7/1b1p2r1/3P1kp1/p1P2pRp/PpNKpP1P/1P2R3/6P1/8 w - -,e3g3
2n4r/1p2bk2/r1qpbp2/pNn1p1pp/2P1P3/1PN1BP1P/PQBR2P1/3R2K1 w - -,c3d5
r7/8/2p2k2/2p2pP1/PpPb1B1p/3P1K1P/P7/4R3 b - -,f6f7
1r1q1rk1/3b2p1/1p1p1bnp/3P1p2/p1PQ4/2N3B1/PP4PP/2RB1R1K w - -,d4g1
r4rk1/1ppq1pbp/n2p2p1/p2Pp2n/2P1P3/P1N3P1/1PQBNPKP/1R3R2 b - -,f7f5
1k1r2n1/1b1qpp2/p2p2p1/P1PP2B1/2NbPP2/5B2/1P1Q2P1/2R1K3 b - -,d6c5
8/5b2/p1R2p1k/7p/8/5Br1/5PPK/8 b - -,g3g6
2q1rbk1/1n1b1p2/r4n1p/1p2p1p1/2p1P3/N1P1B2P/1PB1QPP1/R3RNK1 w - -,f1g3
r2qnk1r/2nb2b1/pp1pppQR/2pPP1p1/P1P3P1/2N2PN1/1P6/R1B1KB2 w Q -,h6h8
2r5/6k1/2NR3b/1p1Pp2p/p7/P5P1/1PBp3P/6K1 b - -,e5e4
2r2b1r/4k1p1/4pqP1/1B1b4/4p3/P3BnQ1/1PP5/1K1R2R1 w - -,c2c4
8/2p5/1p1p3p/p3k3/P1P2r2/1P4K1/7P/1R6 w - -,b1d1
R5k1/8/5K2/5P2/p3r3/8/8/8 b - -,g8h7
2r5/p2r4/1p6/3Ppk1p/P1Pb4/B2K4/2R2P2/2R5 w - -,c1h1
6k1/p4p2/1b2r1pp/1B1b4/3Q3P/PP1p2P1/3R1P2/5NK1 b - -,b6d4
8/5R2/k1r5/3N2P1/1pr2P2/6K1/8/8 w - -,f7f8
6k1/p1R2p1p/1p2p1p1/8/3r4/1P4P1/Pn3P1P/5BK1 b - -,a7a5
8/8/4k3/4b2p/1p2P1p1/1P4P1/2P1K3/4B3 b - -,e5d6
r2qr1k1/1p1n1p2/2p1bnp1/p2p4/P2P3p/1P1BPP2/2QNN1PP/R3R1K1 w - -,e3e4
1r2r1k1/p2p4/2q3p1/8/P2p4/4PnPp/1P2R2P/R1BQ3K b - -,d4d3
rr4k1/2p1nppp/p4n2/Pb6/1pBP1N2/6N1/1P3PPP/R1R3K1 b - -,c7c6
8/8/8/2N1pk1p/8/5KP1/8/2b5 b - -,c1b2
4r2k/7p/p4q2/1p3pp1/4p3/P1P1Q3/1P1R2KP/8 b - -,f5f4
2r1r1k1/2q3pp/pp3p2/2nRp3/PQ6/5N2/1PP2PPP/3R2K1 b - -,e8d8
1r1q1nk1/1p3ppp/p1n5/3N1B2/8/P6P/1P1Q1PP1/4R1K1 b - -,g8h8
8/p5k1/1p3p2/1P2P3/P2b2P1/1PB4R/6K1/3r4 b - -,f6e5
4n2r/3r4/p2p1pk1/P1pP1N2/1pP1PpPP/1R6/6K1/5R2 w - -,f1f4
2q2rk1/pp3pbp/1npQ2p1/4p2n/4P3/1BN4P/PPPR1PP1/3R2K1 w - -,c3a4
7k/1b1r1pp1/nqp1p2p/8/p6Q/p1B1P1P1/1P3PBP/R5K1 b - -,h8g8
5rk1/4p2p/1q1p1pp1/1rpP2B1/3bP3/1P3P2/P2Q2PP/1RR4K w - -,g5e3
5k2/4p3/3p1p1q/1bpPb3/4P1Q1/1PN3P1/6K1/R7 b - -,e5c3:h6d2
8/R7/5p2/2Nk2r1/3n3p/7P/5PK1/8 w - -,g2f1
2rb2k1/1b1r2pp/p2p1p2/1pqNpP2/4P3/1PNQ4/1PPR2PP/2R4K w - -,b3b4
8/r4p2/2k5/5R2/2KP2P1/8/8/8 b - -,a7a4
3Qn3/8/2p5/4Rkq1/2P4r/P7/1P5P/7K b - -,f5e5
r1bq1rk1/1p2bppp/p1n1p3/2npP3/5B2/P1NB1N2/1PPQ1PPP/R4RK1 b - -,f7f5
8/7R/1pkp4/4p3/1KP1P1rP/8/P7/8 w - -,h4h5
6k1/5pP1/6qB/8/3p4/5QKP/6R1/7r w - -,f3g4
6k1/p3pp1p/4b1p1/8/r7/4B1P1/Pb2PPBP/5RK1 w - -,g2c6
8/8/3r2rp/8/5k2/4R1R1/5PKP/8 b - -,h6h5
5rk1/2p2ppp/p1p5/1pb2P2/2P5/1P1r3q/PBQ2P1N/R3R2K b - -,c5d6
3b4/5pk1/pp1p2p1/P2Pp3/1P2P3/1q4P1/2N1QPK1/8 w - -,a5b6
2r5/bp1k1p1p/p2p4/3R1p2/5P2/2P3PB/PP5P/1K6 b - -,c8e8
2rr2k1/5p1p/p4b2/3P1b2/2N1P3/1B4p1/PP1R3P/4R1K1 b - -,g3h2
r3kb1r/pp5p/2p2p2/q4bp1/P1Q1N3/6P1/1P2PPBP/R4K1R b kq -,e8c8
2r5/2P2p1k/1P4p1/P5q1/1R5p/K1Q5/8/8 w - -,b6b7
r1bqkn1r/pp2bpp1/3p1n2/3Np1Np/2P1P2P/6P1/PP3PB1/R1BQK2R w KQkq -,b2b3
r1br2k1/1p1qppbp/2p2np1/3NP3/2P5/pP2B3/P3BPPP/R2Q1RK1 w - -,e5f6
r4rk1/1p2n1bp/1p1p2p1/3Pp3/4p3/2Nb2P1/PP3PBP/R1B1R1K1 w - -,c1g5
5r2/R7/4p1k1/p3rppp/2R1B3/7P/6P1/7K w - f6,e4c2
r1r4k/4qppp/8/p1npPp2/1p1N1Q2/3P4/PP4PP/1K1RR3 w - -,d4f5
5b1k/5qp1/p1pp3p/1r3n2/5P2/6P1/PB1QRN1P/6K1 w - -,d2c2
r4rk1/1p3ppp/p1n5/4Pp2/2p2P2/2P1B3/PP4PP/R3K2R b KQ f3,a8d8
R7/5pk1/2p3p1/3pP3/6N1/5nP1/1r3P1P/6K1 w - -,g1g2
r5k1/2q2p1p/4b1p1/2B1p3/1PNpPb2/3B4/P4P1P/R2Q2K1 b - -,c7d8
8/7r/1R6/1p1k4/3B4/3K4/8/8 w - -,b6b5
rn1qkb1r/pp3ppp/2p1pn2/3p2B1/3P2b1/2NBP3/PPP1NPPP/R2QK2R b KQkq -,b8d7
r4rk1/1Q3p1p/4b1p1/4N3/8/2p1P2P/q4PP1/2R2RK1 b - -,f8c8
8/1pr1k2p/3b1pp1/p7/2P1P1B1/1P2K1P1/P6P/3R4 b - -,c7c5
8/4kp2/4pn2/2p5/r1Pr4/P2R3R/3N3P/2K5 w - -,c1c2
r1b2rk1/pp2q2p/n2n1pp1/2pPb1N1/4PB2/2N3P1/PP4BP/R2Q1RK1 w - -,f4e5
2br1n1k/2q3p1/1p3p1p/3BpPP1/pP2P2P/P3P1Q1/3R4/2B3K1 w - -,c1b2
r4rk1/4pp1p/1n1p1bp1/p1p3Pq/Pp2PP2/1P1P1N2/2PQ1N1P/R4RK1 w - -,g5f6
5rk1/1p4rp/p3p3/4R1p1/2P3P1/qP3P1P/P2Q2K1/3R4 b - -,a3e7
r1bqk2r/2p1bppp/p2p1n2/8/p2p4/5N2/PPP2PPP/RNBQR1K1 w kq -,f3d4
5rr1/pk3ppq/1pn1p2p/3pPn1P/b1pP1BN1/P1P4B/2PQ1PP1/2R1R1K1 b - -,c6e7
1k1rr3/pppq2pp/2npbp2/8/8/1PP1B2P/P1PQ1PP1/2KR1B1R w - -,f1e2
3r1r2/ppq4k/4n1pb/3pPp1p/3PpP1P/P1N3P1/1P2B2Q/3R1R1K b - -,c7b6
2b2rk1/1p4p1/np2pp1p/3pP3/3N1P2/P7/2P3PP/2K2B1R w - -,f1a6
1n3rk1/2p2ppp/b3pn2/4P2q/3P4/2P2NP1/2QB1PBP/5RK1 b - -,a6f1
8/2k5/2P5/pB3p1p/4pPp1/2K3P1/7P/8 w - -,c3b3
rqbr2k1/pp2bppp/2n1pn2/1N2N3/3P4/3B4/PP2QPPP/R1BR2K1 b - -,c8d7
1nr4Q/1p1q1k2/p5p1/1P1P1p2/6b1/b3B3/P1B3PP/1R1R3K w - -,h8h7
