8/8/2R5/pP3pp1/P4k2/7P/r7/5K2 b - -,a2a4
1rbqr1k1/1p1n1pbp/p2p1np1/P1pP4/8/2N3P1/RP1NPPBP/2BQ1RK1 b - -,b7b5
1n1q1rk1/rbpp1ppp/1p2p3/8/p1PP4/P1P2NP1/2Q1PPBP/R4RK1 w - -,a1b1
6k1/p4pp1/b6p/3P4/2p5/8/r3BPPP/2R2K2 w - -,e2c4
r2q1rk1/pb1nbppp/1p2p3/3p3n/3P1B2/1QN2NP1/PP2PPBP/R1R3K1 w - -,f4d2
rn1q1rk1/2R1p1bp/p7/1p1p1bN1/3Pn3/N3Q1P1/PP2PPBP/2R3K1 w - -,g5e4
r1r3k1/1p3p1p/3pb1p1/qP2b3/3BP3/PpP4P/3NQPP1/R2R2K1 b - -,e5d4
2r1r1k1/p4pp1/1p2p2p/8/3P3B/3nQP2/bP4PP/R4K2 b - -,d3b4
r1bqkb1r/1p1n1ppp/p2p1n2/4p3/P3P3/1NN5/1PP1BPPP/R1BQK2R b KQkq a3,b7b6
8/3k4/R7/1p6/5K2/8/P1r5/8 w - -,f4e4
1rr3k1/p3q2p/6p1/4b2n/3BP3/P5P1/1P1QB2P/R4RK1 b - -,e7d6
q4rk1/4ppbp/1n4p1/r1pP4/2P1PP2/2NQ4/4N1PP/R4RK1 w - -,a1a5
r3k2r/1ppqn1bp/p1np2p1/5p2/2P1PP2/2N1BB2/PP1Q2PP/R4RK1 b kq -,f5e4
r2qr2k/2p1b2p/p1np2pB/1p1Np2n/P3P1Q1/2P4P/1PB2PP1/R3R1K1 b - a3,b5b4
r1bq1rk1/1ppnbpp1/3p1n1p/p3p3/P1BPP3/1PN2N2/2P2PPP/R1BQ1RK1 w - -,c1b2
r1bqr1k1/pppp1ppp/2n5/8/1bPN4/2P1P3/P1Q1BPPP/R1B2RK1 b - -,b4f8
r7/pbkqb1p1/1p1p1r2/3Pp1Np/P1PpB3/3Q3P/5PP1/R4RK1 w - -,a4a5
r2q1rk1/3bppbp/p2p1np1/nppP4/2P5/2N3PP/PPQNPPB1/1RB2RK1 w - b6,b2b3
8/8/5R2/8/4Pk2/1pr4p/7K/8 b - -,f4e4
r5k1/p2nqppp/1rb1pn2/8/R2PP3/1N1Q2P1/3N1PBP/3R2K1 w - -,a4a5
r1b2rk1/1pp1qn2/1p1p4/3Pp1pp/4PpP1/N1P4P/PP1N1P1K/R2Q1R2 b - -,h5g4
r1b1k2r/2q1ppbp/p1pp2p1/3nP3/N7/1P1Q1N2/PBP2PPP/R3K2R w KQkq -,e5d6
6k1/5pPp/p1q1b1p1/2p5/2Pr1P2/1PN1Q1P1/P4K2/4R3 w - -,c3e4
1r3rk1/1bpq1pn1/3p2p1/1p1Pp2p/1P4nP/2N1PNP1/PQ3PB1/1R3RK1 w - -,f1d1
2r2rk1/6pp/Q3p3/4q3/P6P/5B2/5PP1/1R4K1 b - -,c8c2
8/4Pk1p/6p1/8/1NK4B/pr5P/6P1/8 b - -,b3b2
rnbqk2r/pp2ppbp/2p2np1/8/2BP4/4PN2/PP3PPP/RNBQ1RK1 b kq -,e8g8
8/4kb1p/5pp1/1pNp4/1P1R1PP1/2P4P/5K2/r7 w - -,d4d3
r1bq1rk1/1p2ppbp/3p1np1/p5B1/2P1P3/2N5/PP1QBPPP/R4RK1 b - -,a5a4
5r2/5pkp/1p1Nbnp1/2r5/8/P5P1/1P3PBP/2R1RK2 w - -,b2b4
r2r2k1/1b1nbppp/pp6/2pp2N1/3P2n1/BPN1P1P1/P4PBP/2RR2K1 w - -,g5h3
rnbqkbnr/pp2pppp/2p5/4P3/3p4/8/PPPPNPPP/RNBQKB1R w KQkq -,c2c3:b2b4:e2g3
8/6K1/2p3p1/3k4/3R4/8/6P1/8 b - -,d5d4
r2R1r2/p3np1k/1pn3pb/2p1pb2/2P5/P1N2NP1/1P2PPBP/1RQ3K1 b - -,a8d8
r3k2r/1bqn1ppp/p3pn2/2Pp4/QN2P3/2N2P2/PP2BBP1/R3K3 b Qkq -,e8g8
1r2k2r/pp2ppb1/4b2p/6p1/2Pp4/1P3P2/P2K1PPP/3R1B1R b k -,a7a6
r2qk2r/1b2bpp1/p2ppn1p/8/Pp1QP1P1/5BNP/1PP2P2/R1B2RK1 b kq -,a6a5
8/4k3/3p4/2nPp2N/4P1pP/5PK1/8/8 b - -,g4f3
rnb1kb1r/1pq2ppp/p2ppn2/8/P2NP3/2N5/1PP1BPPP/R1BQK2R w KQkq -,e1g1
r1b2nk1/1pp2p1p/5np1/1P6/P2qP3/2N2N2/2Q1BPPP/R5K1 b - -,d4c5
1r2r1k1/3nnpp1/p3p1p1/1P1pP3/2q3P1/2P1QN1P/1P3P1B/R3R1K1 b - -,b8b5
rn1qk1nr/pbpp1pbp/1p2p1p1/8/4P3/3P1NP1/PPP2PBP/RNBQK2R w KQkq -,h2h4
r3k2r/1ppqn1b1/p2p1npp/3Pp3/2P1Pp2/2NN1P2/PP4PP/R1BQ1RK1 b kq -,g6g5
r2r2k1/pp1qbppp/2n2n2/3p4/1P4b1/P1NQPN2/4BPPP/R1BR2K1 b - -,g4f5
r4rk1/pp1q2pp/2n1p1b1/3nPp2/2BP3Q/P4N2/3B1PPP/R2R2K1 w - -,a1c1
r2q1rk1/pp3ppp/3b2b1/8/2QN1PP1/2P1n3/nP1K3P/3R1BNR w - -,d2e3
rn1qkb1r/pp3ppp/4pn2/2pp4/3P2b1/4PN2/PPPNBPPP/R1BQK2R w KQkq c6,h2h3
r2r2k1/1p2bppp/p1b1pn2/8/2PB3q/P1N1Q3/1P3PPP/2RR1BK1 w - -,h2h3
r1b3r1/p4Bpk/Pp1p3b/1Pp1pP1p/6P1/3P3P/2P3K1/R1B2R2 b - -,g8f8
r3k2r/pQ3ppp/2p2q2/8/3N4/2P1P1P1/P4PP1/R3K2R b KQkq -,e8g8
4r3/1p1k3p/1P3p2/2Pp1pp1/3P4/3K1P2/6PP/R7 b - -,f5f4
r3r1k1/8/pqp1N1pp/1pP1Pp1n/5Pb1/8/PPB3QP/2R2R1K b - -,b6a5
1q3r2/6bk/1pRN2np/p1pBPpp1/2P2P2/1P2Q1Pb/P4B2/6K1 w - -,d6b5
r3r1k1/1pn2ppp/3q1n2/bpp1p3/2PpP3/PQ1P1PP1/1B3NNP/R4RK1 w - -,c4b5
r1bq1rk1/ppp1bppp/2n1p3/3n4/3P4/2PB1N2/PP3PPP/RNBQ1RK1 w - -,b1d2
2n1rrn1/3q1p1k/1ppp2pp/p7/P1NPP3/1P3PB1/2Q3PP/2RR3K b - -,e8e7
8/pp3pkp/3bp3/2p3p1/2B1P3/2P2KPP/PP3P2/8 b - -,h7h5
r1bQ1rk1/pp3pb1/2n2npp/2p1p1B1/4P3/2P2N1P/PPB2PP1/RN3RK1 b - -,f8d8
4r1k1/5p2/1pp2bp1/7p/1p1PP3/1P5P/3R1QPK/2r5 b - -,f6g7
rn1qk2r/pp2ppbp/6p1/3pP3/3P2b1/3B1N2/PPP3PP/R1BQK2R w KQkq -,e1g1
r4k1r/p1qnnp2/1P2p1pp/2ppP3/3P3N/B1P5/2P1QPPP/R4RK1 b - -,a7b6
r3kb1r/1bq2ppp/p1p1p3/1p1nP3/5P2/2NBB3/PPP3PP/R2Q1RK1 w kq -,c3d5
8/3k1p2/4bP2/Q2p2P1/4q3/8/3BK3/8 w - -,e2d1
rn1qkb1r/pb3ppp/2p1pn2/1p6/3P4/5NP1/PPQ1PPBP/RNB1K2R b KQkq d3,b8d7
r7/pp2r1kp/3Nbpp1/3pP3/3K1P2/1P4P1/P6P/R3R3 b - -,b7b6
2kr1b1r/pp3ppp/1qp1p3/3n4/3P4/P2QB2P/1PP1BPP1/2KR3R w - -,e2f3
rn2k2r/pp1nbppp/1qp1p3/3P3b/3P2PN/1QN1P2P/PP3P2/R1B1KB1R b KQkq -,c6d5
6k1/1P1R2p1/p2P3r/4p3/1PP1bpp1/6q1/3Q1KP1/2R2B2 w - -,f2e2
3r1rk1/1p3ppp/2n5/p3q3/6bN/P2QP1P1/2R2PBP/5RK1 w - -,d3c4
r2r2k1/pp3bbp/3p2p1/q3p1P1/4PBB1/2N2P2/PPPQ4/R3K2R b KQ -,e5f4
8/5p2/1b1p1kpp/1r1P4/6P1/R7/4K3/3B4 w - -,a3f3
2k2rr1/pp1b4/4p3/P2pP3/2pP1N1p/7P/2P2RP1/R6K w - -,a1f1
r1bqk2r/pp2bppp/2n2n2/2p1p3/2Pp4/P2P1NP1/1PN1PPBP/R1BQ1RK1 b kq -,a7a5
rn2kb1r/pb1p2pp/1p2pn2/4Np1q/2PP4/2N2PP1/PP2B2P/R1BQ1RK1 b kq -,b8c6
r1bq1rk1/4pp1p/n1pp1npb/8/Pp1PP3/3N1P2/1P1Q2PP/R3KBNR w KQ -,d2h6
r1bqkb1r/pp3p2/2n1p1p1/2p1Pn1p/3p1P2/1PPB1N2/P1NP2PP/R1BQ1RK1 b kq -,b7b6
4k3/2r2ppp/4p3/8/1B6/8/R5PK/8 w - -,a2a8
rnbq1r1k/pppp2bp/4pnp1/5p2/2BP1B2/2P1PN2/PP3PPP/RN1Q1RK1 w - -,b1d2
r1br2k1/1pq1bppp/p2ppn2/2n5/4PP2/2NB1N2/PPPBQ1PP/4RR1K b - -,g7g6
8/5p2/6k1/1N4p1/3R4/4KP1r/8/8 b - -,f7f5
2r3k1/1pP2p2/8/1B1b1p2/5Ppp/P7/1b2N1PP/5RK1 w - -,f1d1
2kr3r/1ppbqp1p/p1p3n1/8/2QNPbp1/1NP2P2/PP4PP/R1B1R1K1 w - -,c1f4
r1b2rk1/pp1pn1b1/1NnBp1pp/5p1q/4P3/Q1PB1N2/PP3PPP/R3K2R b KQ -,a7b6
8/7p/7P/1pp1k3/p3p1P1/2P1K2b/1P5N/8 b - -,b5b4
r1b2rk1/ppqnbppp/2pp1n2/4P3/4P3/1BP2N2/PP1N1PPP/R1BQ1RK1 b - -,d6e5
r4rk1/p3bppp/q1b1pn2/1pp5/4nB2/N5P1/PPPNPPBP/R1Q1R1K1 w - -,d2e4
r2q1rk1/pb4pp/4p1n1/1pb2p2/3p1P2/1P1P1N2/P1P1B1PP/R1BQ1R1K b - -,d8d5
1r4k1/4r1p1/b2q1n1p/p2pNpN1/Pn1P4/4R1P1/5PBP/2RQ2K1 w - -,g5f3
r5rk/1p1nQp1p/p1pp4/q2PP2p/8/2NB1P2/PPP2P2/2KR4 b - -,d7e5
rkb4r/ppN4p/6p1/3N1p2/4p3/1P1n4/1P3PPP/3R1K1R b - -,h8d8
8/6k1/6Pp/4ppn1/8/5BP1/5PK1/8 w - -,f3d5
1rbq1rk1/3nbppp/p1pp1n2/1p2p3/P2PP3/2N1BN1P/BPP1QPP1/R4RK1 w - -,a4b5
8/1p2r3/2p5/5R2/3P2pk/P6R/5K2/8 b - -,g4h3
r1bq1rk1/1p3pbp/2np1np1/pNp1p3/2P5/P5P1/1P1PPPBP/R1BQNRK1 w - -,e1c2
3B4/3b1k2/1ppn3p/3P2p1/P1P2p2/1B3K1P/P5P1/8 w - -,d8b6
r3k2r/1bpqb2p/ppp2pp1/2n5/3QP3/1P2NN2/PBP2PPP/R3R1K1 b kq -,d7d4
1r1q2nk/ppp2rp1/3pR2p/7P/2P5/P1Q5/1P3PP1/3BR1K1 w - -,d1c2
6k1/5pb1/2R4p/3r2p1/8/4B1P1/r3PP1P/2R3K1 w - -,c6c8
r2q1r1k/1b2bp2/2p1p3/p3P1p1/Pp1PB3/4PN2/1P4P1/R1Q2RK1 w - -,c1d1
r3r1k1/1b2bppp/pqp2n2/1p2n1B1/4P3/1NN3P1/PPQ2PBP/R2R2K1 w - -,g5e3
8/8/8/p1P5/1P1nk3/P3pp2/8/4NK2 b - -,a5a4
2R3R1/8/1k1P4/7r/2P1p3/8/3r1PK1/8 w - -,g8g6
2r1brk1/4bppp/1q2pn2/1p1p4/3P1B2/nPNBPN1P/1Q3PP1/R1R3K1 b - -,b5b4
3rk2r/1pp2p1p/1nn1b1p1/p1b1P3/2P1BP2/PP2NN2/4K1PP/R1B4R b k -,a5a4
8/4kp2/6p1/p2pP2p/2pP4/2P1K1P1/P4R1P/1r6 w - -,f2c2
2kq2rr/pp1b1pn1/4p2p/3pPn1P/P1pP1BB1/2P3P1/2P1Q1KN/R4R2 w - -,f1g1
7k/pp2r1p1/7p/q4b2/3B4/1BP5/P1P2RPP/5RK1 b - -,f5e6
rnbq1rk1/pp2ppbp/6p1/2p5/3PP3/2P2N2/P4PPP/1RBQKB1R w K c6,f1e2
r1b2rk1/ppq2pbp/2n2np1/2p1p3/2N1P3/2P2NP1/PP3PBP/R1BQR1K1 b - -,f8d8
r2q1rk1/p4pp1/2ppbn1p/1pn1p3/2P1P3/1PQPB1PP/P3NPB1/R4RK1 b - -,b5c4
1r2n1k1/1rqbppbp/p2p2p1/nppP4/2P5/1PB1N1PP/P1QNPPB1/1RR3K1 w - -,c4b5
r5k1/1q4p1/4p2p/5p2/2NPn3/2PQ1R1P/r4PP1/4R1K1 w - f6,c4e5
r1b2rk1/B1n1p2p/p1Pp4/Rp1Pbpp1/1P6/4NBPP/4PP1K/1R6 w - -,a7b6
5k2/R5bp/1p6/nr3p2/8/5N2/P2B1PPP/1K6 w - -,b1c2
6k1/1b1rnp1p/2q1p1p1/2p1P3/2P4P/1PB1Q3/2B2RP1/6K1 w - -,h4h5
8/1r6/8/2n1pk2/6p1/8/6N1/4R1K1 w - -,g2e3
r2qk2r/1p2ppb1/p1npb2p/4n1p1/3NP3/2N2P1P/PPP2BP1/R2QKB1R w KQkq -,d1d2
r5k1/4qpp1/p1rbpn1p/1p1nN3/3P4/3B4/PP1BQPPP/2R3K1 w - -,c1c6
rnbqk2r/pp3ppp/5n2/2p1p3/Q1PP4/2PBP3/P5PP/R1B1K1NR b KQkq -,c8d7
r4r2/p2Bn1k1/1p2Ppp1/4q2p/5R1P/3p1Q2/6P1/5RK1 w - -,f3d3
r3kbnr/1ppb2pp/p1pq1p2/8/3NP3/6B1/PPP2PPP/RN1Q1RK1 b kq -,d6b4
1b1r1rk1/pB5p/5pp1/P1p5/8/2Pb4/1P3P2/R1B1R2K w - -,c1h6
r2q1rk1/p2nppbp/1pbp2p1/8/4PP2/2NB3P/PPP1QBP1/R4RK1 w - -,e2d2
r3r1k1/1b3ppp/1pqp1b2/p1p5/4PP2/1PNQ1N2/1PP3PP/4RR1K w - -,c3d5
r1b2r1k/p3q1bp/1p6/1Np1npp1/Q3p3/2P1P2P/PP2BPPB/3R1RK1 b - -,f5f4
3q1r1k/3nbp2/p1p5/P1Np1bpp/BQ1P4/5PB1/1PP3PP/4R1K1 w - -,a4c6
5rk1/pp3ppp/3q4/5b1R/3b4/2P1pPP1/2n1K1P1/R2Q1B2 b - -,f5g6
r3kb1r/pp1n1ppp/2p1pn2/q2p4/2P3P1/1P2PQ1P/PB1P1P2/RN2KB1R w KQkq -,f3e2
5b2/2Bn4/1pp1kp2/p2p2p1/3P1PPp/2PNK2P/PP6/8 b - f3,f8d6
4r1k1/p1p2pp1/2npq2p/1p1R4/2P1p3/1PP3P1/P3PPBP/2Q3K1 b - -,b5c4
r1bq1rk1/ppp1npbp/6p1/1B1n4/3P4/2N2N1P/PP3PP1/R1BQ1RK1 w - -,f1e1
1qr3k1/p2bppbp/3p1np1/1p5P/2rNP1P1/2N1BP2/PPPQ4/1K1R3R w - b6,h5g6
8/1P2k3/8/4K2R/8/2P3p1/1r5p/8 b - -,b2b7
rnb2rk1/ppqnppbp/6p1/2P5/2B1NP2/1Q2PN2/P2B2PP/1R2K2R b K -,e7e6
2kr3r/p2qppb1/bpnp2p1/2p5/P3PNp1/1PPPB3/3Q1PPP/2RNK2R b K a3,g6g5
8/3r4/2k5/7p/2K2B1P/2P3P1/8/8 w - -,f4e5
1r3rk1/1p1b1ppp/p3p3/3pn2q/PbPNN3/1P2Q1PP/4PPB1/2RR2K1 w - -,g3g4
8/1p6/p2k1bp1/Pr2pp1p/RPP2P2/3K1BP1/7P/8 b - -,e5e4
r3qbk1/2p2p1p/p5p1/1p6/3R4/1PP2Q1P/P4PPK/R1B1r3 w - -,d4d1
r1bqk2r/5ppp/2np3b/p2Np3/1pP1P2P/6PB/PPN2P2/R2QK2R b KQkq -,e8g8
r4rk1/3bqpp1/p1p2n1p/Pp1pN3/1PnP1P2/2NBP2P/2Q3P1/1R2R1K1 w - -,d3c4
4r1k1/3R3p/4p3/6P1/1Pp1P3/P5P1/5P1r/1K1R4 w - -,d7d8
r4qk1/pb1n1p1p/6p1/1p1p4/2pP4/4PQ2/PPB2PPP/R4RK1 w - -,e3e4
1b6/5k2/3n4/3RB3/5Pp1/1N4P1/PP5r/5K2 b - -,d6c4
r2q1rk1/pp4bp/2p1b1p1/4pn1n/2P5/2NPB1P1/PP1QN1BP/4RRK1 w - -,c3e4
8/1k6/6R1/1P2r1p1/1K5p/7P/6P1/8 b - -,e5e2
3r1rk1/5pp1/3b1n2/2p2n1p/2N5/P4PB1/BP3PKP/3R1R2 b - -,d6b8
r1b2rk1/pp1n1pbp/1q4p1/2npP3/8/2N2B2/PP3NPP/R1BQR1K1 w - -,c3d5
r2q1rk1/pb1pbp1p/np3np1/2pP2N1/8/2N3P1/PPQBPPBP/R3K2R w KQ -,a2a3
rn1q1rk1/pbpp2pp/1p2pn2/5p2/1bPP4/2NBPN2/PP3PPP/R1BQ1RK1 w - -,f3e5
8/3R1p2/r3k1p1/8/5PK1/8/8/8 w - -,d7b7
r1b2r1k/pp2qnbp/3p1n2/1N3pp1/3Pp3/Q3P2P/PP1NBPPB/2R2RK1 b - -,f5f4
rn1q1rk1/pb1pbppp/1p2pn2/2p5/P2P4/2P2NP1/1P2PPBP/RNBQ1RK1 w - -,b1d2
4r2k/ppq3p1/3p3p/PP3Q2/5P2/4r1P1/R6P/3R3K b - -,c7c4
5k2/1p3pp1/2p1n3/r6p/p1P2P2/3NK1P1/PP5P/3R4 w - -,e3e4
2br4/1p3pk1/p3p2p/2b5/4n1P1/4NN2/P3K1B1/7R w - -,f3g1
2q2rk1/1p4p1/r2ppb2/pN5p/P2pP1Q1/RP4P1/2P2P1P/3R2K1 w - h6,g4e2
8/1p3p2/5R2/1r4kp/p7/2P2P2/1P3PK1/8 w - -,f6d6
8/p2R1kp1/P6p/2rP4/4p3/7P/5PK1/8 b - -,f7f6
5k2/p1r5/2p3pb/2R1P2p/3PK2P/1B4P1/P7/8 b - -,h6d2
8/4k3/7p/P4pp1/1R3P2/rb3B2/5K1P/8 b - -,a3a2
r2qk2r/pp1n1pp1/2pb1n1p/3p1p2/3P3B/P1NQPN2/1PP2PPP/R3K2R b KQkq -,g7g6
7k/4K3/1pRp3P/p4N2/P1P1n1r1/8/8/8 w - -,f5d6
r2rb2k/ppq2ppn/4p2p/2p1P2P/2P3R1/2BBQ3/PP3PP1/2KR4 w - -,e3g3
r2q1rk1/1p3pbp/p3b1p1/2pn2N1/Pn2PP2/7P/1PP3P1/R1BQRBK1 w - -,g5e6
rnbqk2r/pp4pp/2pbp3/3p1p2/2PPn3/1PNBPN2/P4PPP/R1BQK2R w KQkq -,c1b2
1R6/8/3r2p1/5p1p/5P1P/1pk3P1/4K3/8 w - -,b8c8
8/6p1/p4n1p/5k2/3PbP2/1P2P3/1P3K2/8 b - -,f5g4
6k1/p1p2qp1/2p3r1/1p1bBr2/3P3p/1PP1QP1P/P3R1PK/4R3 w - -,e2f2
3r1r1k/5qp1/p6p/1p2np2/5N1P/P3P2R/1P2QPP1/3RK3 w - -,h3g3
Q1B5/4r1p1/1kpb2K1/1p1p2p1/8/2r5/8/8 w - -,a8a6
5k2/p4r1p/8/8/6Q1/6P1/1P4K1/r7 w - -,g4d4
4rk2/3b1p1p/1r2p1p1/3pP3/p1pP1P2/P7/BP4PP/1R1R3K w - -,d1c1
2rq2k1/1b3pp1/1p1bpn1p/pB1p4/P2P1N2/1P2PNP1/5PKP/2RQ4 w - -,f4d3
3r2k1/r2q2p1/p1Rbpp2/Qp1p2p1/3P4/3NPP1P/PP4P1/2R3K1 b - -,g8f7
4r1k1/5qpp/8/p2p4/P2P1N2/2PQ1bB1/5P1P/R5K1 b - -,f3e4
r1rq2k1/3bbppp/p2p4/3Pp3/nPQ1P3/5N1P/2BB1PP1/1R2R1K1 w - -,c4b3
rn1q1rk1/pbpp1pbp/1p3np1/3P4/2P5/P1N2N2/1P2BPPP/R1BQK2R b KQ -,a7a5
r3k2r/4b1p1/p1ppq3/1p2nR2/3QPB2/1PN5/1PP3P1/R5K1 b kq -,e7f6
3rkb1r/pp3ppp/4b3/q2p4/4B3/2N5/PP3PPP/R2QR1K1 w k -,e4d5
1rr3k1/p1qn1pp1/Rp1p3p/3Pp3/2P1P3/4BP2/3QB1PP/R5K1 b - -,b8b7
1k5r/p7/Q4p2/1P1p1nr1/5P2/4p2q/P5Rp/R6K w - -,f4g5
2rq1rk1/pb1nbppp/1p3n2/2Pp4/8/1PN2NP1/P1Q1PPBP/R1BR2K1 b - -,b6c5
r2qr1k1/2b2ppp/pn2p3/2p5/2N2PQ1/1P2R3/1BPP2PP/5RK1 b - -,g7g6
2r2Rk1/1pq3bp/p2p2p1/3Pn3/P3R3/2P5/1PB1Q1PP/6BK b - -,c8f8
r1bqk2r/ppp2ppp/2n2n2/4N3/1bPp4/3P2P1/P3PPBP/RNBQ1RK1 b kq -,c6e5
1r2r1k1/2q2pbp/p2p2p1/Pp1P4/1Pp1B3/2Nn1QP1/2NB1P2/5RK1 b - -,g7c3
4r1k1/3q1ppp/5n2/pN3P2/Ppp4Q/5R1P/1P4P1/7K b - -,e8e4
4rrk1/p1qn1pp1/1ppbp2p/8/1PBPbP2/2P1BQ2/P5PP/R4RK1 w - -,f3e4
r4rk1/5p1p/4bPpP/pp1p2P1/2pP4/2P5/PP2R1BK/4R3 b - -,a8a6
r2q1rk1/pp2bppp/3p1nN1/n1p1p3/2B1P1P1/3PN2P/PPP2P2/R1BQ1RK1 b - -,h7g6
1r5r/1pk1bBpp/p1ppQ3/q7/4PB2/8/PPP3PP/2KR1R2 b - -,e7g5
rnbqkb1r/ppp2ppp/8/3P4/4nP2/8/PPP3PP/RNBQKBNR w KQkq -,g1f3
2Q5/r5pk/pp3q1N/8/2P5/3r4/PP3PPP/R3R1K1 b - -,d3d8
rn1q1rk1/1p1nppbp/p2p2p1/8/2PQP3/2N2N1P/PP3PP1/R1B2RK1 w - -,d4d2
3q1rk1/pp2ppb1/1n4p1/1Q5p/3pN1bP/3P1NP1/PPr1PPB1/R4RK1 w - -,f1c1
q4rk1/3n2pp/r3p3/p3p3/PpQP4/1N2b3/1PR1N1PP/5R1K w - -,e2g3
r2nkb1r/pb5q/1pp3pp/4Pp2/2Pp1P2/3N1BQ1/PP4PP/R1B2RK1 b kq -,d8e6
8/5k2/1p6/5p1p/4nN1b/B4R2/2r2PK1/8 w - -,f4h3
r4rk1/1p4p1/3p1p2/p1bRn2q/4PB2/1P4Q1/PP4BP/5R1K w - -,g2h3
r1bq1rk1/2bn1ppp/2p1pn2/ppPp4/1P1P4/P1NBPN2/3B1PPP/R2Q1RK1 w - b6,c5b6
3r4/1p3pk1/pq6/4p1p1/4PnBp/2P4P/PPQ2PP1/4R1K1 w - -,g1h2
6k1/1bR2p1p/4p1p1/8/7P/5P2/4r1P1/6K1 w - -,c7b7
r4rk1/p5pp/2pp1p2/q3n3/2PNP1P1/6Q1/P2R3P/2K2R2 b - -,e5c4
6k1/5p2/4p1pp/3n4/Pr2Q3/3B2P1/3R1P1q/5K2 w - -,e4e5
1Q6/p4q1k/2p2rp1/6Rp/2PP4/1P2Bb1P/PK3P2/8 b - -,f7e7
8/p6p/2rn1rk1/4Q1p1/P1B3p1/1P5P/4RPK1/3q4 w - -,h3g4
r4r1k/pp1qbppp/2np1n2/2p5/4P3/1BN1BP2/PPP1QP1P/R4R1K w - -,f1g1
3r4/1n2bk1p/ppb1P3/2p2B2/P1P2P2/1PB5/4NK2/6R1 b - -,f7f8
4k3/5p2/5P2/4p3/pP1p2Pp/P2R3P/1r6/4K3 b - -,e8d7
r1b1kb1r/1p1n1ppp/p1n1p3/2ppP3/Nq1P1P2/4BN2/PPPQ2PP/R3KB1R w KQkq -,d2b4
8/1r3pk1/2r1p1pp/4R3/pP1P2P1/2P1R2P/P3KP2/8 w - -,e5a5
6k1/5pp1/r2R4/P1p4p/1nN5/7P/5PP1/6K1 w - -,d6d8
5r2/1R1b4/1p1k4/p2P3p/P2bP3/1P5p/7K/7B w - -,h2g3
r3nrk1/ppq2ppp/4p3/n1RpP3/8/P1P1B1P1/2P2PBP/3Q1RK1 b - -,c7d8
