8/6p1/4k2p/8/1p2PP2/1r1RK1P1/7P/8 b - -,b3a3
rn1qkbnr/pp4pp/2p1p1b1/3pp3/3P2PP/2N5/PPP1NP2/R1BQKB1R w KQkq -,d4e5
2r2rk1/3nb1pp/2q1pp2/1p1pP3/pPnB1P2/P1P3PB/5Q1P/R1NR2K1 w - -,f2e2
3r1bk1/pppq2r1/7p/1P1b4/PB1PpP2/8/5PBP/1RQ2RK1 w - -,c1e3
1k1q3r/1p6/p2p1n1r/3P1Q2/PP1p1P2/6RP/3B3K/5R2 w - -,f1f3
2rr1nk1/pp1b3p/5bp1/n1P1p1B1/8/1P3N2/P3BPPP/2R1K2R w K -,g5f6
r4rk1/2q1bppp/p1p1b3/2pn4/2N1N3/8/PPP2PPP/R1BQ1RK1 w - -,b2b3
5k1r/1br1bp2/pq4p1/1pN1R2p/1Pp1P3/P3Q1P1/2P3BP/R5K1 b - -,b6d6
1qrb1rk1/1p3ppp/p2p1n2/2BPp3/PPn5/1N3B2/2P1QPPP/R2R2K1 b - -,c4b6
8/2R2pk1/6p1/r7/2N1p2P/6K1/5P2/8 b - -,a5f5
8/3bpk2/p2p2p1/P1pPn3/2P1NKP1/7P/3N4/8 w - -,f4e3
8/8/p3k3/1p4pp/1P1K4/P6P/4R1P1/2r5 b - -,e6d6
3r2k1/R4p1p/6p1/2qp4/2p5/Q5P1/1P2PP1P/6K1 b - -,c5a3
r1q1r1k1/6pp/2p2bn1/2B5/2bNpP2/Pp2Q1PP/1P6/1KNR3R w - -,h1h2
5rk1/1r5p/p3p1n1/2p3B1/3pP3/1P3P1R/P2K2P1/7R b - -,a6a5
2r5/8/k7/pp6/P4PK1/2P1B3/1P4P1/8 b - f3,c8g8
r1bqkb1r/pp1n1ppp/2n1p3/3pP3/3P4/3B4/PP1NNPPP/R1BQK2R b KQkq -,c6b8:f8e7:f8b4:d8b6:f7f6:f7f5:d7b6
8/7p/p4k2/1p2p3/1P2P3/P6P/1b1BK3/8 w - -,e2d3
8/8/4b3/PK2Bp1p/1Pp1kPp1/6P1/7P/8 b - -,e4f3
8/5p2/3p1k1p/1R1P2p1/3r4/1P6/P6K/8 w - -,a2a4
1r3rk1/p4pn1/q2Nb1p1/2PB3p/1P6/P4Q2/5PPP/3RR1K1 b - -,e6g4
1k6/1p6/p1n4n/7P/4B1b1/6N1/1r3KP1/7R w - -,f2e3
8/P7/rk5R/8/8/1K6/8/8 b - -,b6a7
r4rk1/1bqnbppp/p2pp3/2p5/2P1PP2/2N1BB2/PPQ3PP/R3K1R1 b Q -,d7b8
rn2kb1r/1bq2ppp/p2ppn2/1p6/4P3/PNNB4/1PP1QPPP/R1B1K2R w KQkq -,e1g1
8/1p5R/5kb1/p7/P7/1PP1p3/4B3/1K6 w - -,b1c1
8/8/2p5/4p1NP/1kb5/r4RK1/8/8 w - -,f3a3
r1r3k1/5ppp/pnnbp3/1p1p4/3P4/P1P5/1PN1BPPP/2B1RRK1 b - -,g7g6
r4r1k/2qb1Ppp/p2p1b2/1p6/3NP3/1BN2Q2/P1P3PP/3nR2K w - -,c3d5
3r2k1/4qppp/1QR1p3/p2rP3/Pp3P2/1Pn3P1/7P/2R2BK1 b - f3,g7g5
8/1q4kp/2p2b2/2Pp2p1/p2P3P/P5P1/6K1/B3Q3 b - -,b7e7
Q4bk1/3rq3/2pr2p1/p1p1np2/N1P5/1R2P1P1/PP3PB1/2R3K1 w - -,c1f1
8/k1p5/1p3q2/p6p/P3Q3/4KP2/8/8 w - -,f3f4
2n5/2pk4/1p6/p3N3/2PPK3/PP6/8/8 b - -,d7e6
2rr2k1/1ppq2pp/2n1bp2/1Q2p3/4P3/P2P1NP1/5PBP/2RR2K1 b - -,c8b8
r3k2r/1b1qbp2/p1p1p3/1p1BP2p/3PN1pP/1Pp3B1/P1Q2PP1/3R1RK1 b kq -,c6d5
r3r1k1/pp3p1p/1nq3p1/3Nb3/2P2P2/BN4Pn/PP2P1KP/R2Q1R2 b - -,b6c4
6k1/1Q3p2/1p5p/3P2p1/1P4n1/2rN1q2/P2R4/4K3 b - -,g4e3
rn2kb1r/pp2pp2/1np1q2p/4P3/2pP1R2/2N5/PP2B1PP/R1BQ2K1 b kq -,b8d7
r2qkb1r/pp1b1p2/2n2n1p/6p1/7B/2N5/PP1QPPPP/R3KBNR w KQkq g6,h4g3
1r3rk1/5pbp/pqBp1np1/2pp4/PP3P2/2PQB2P/6P1/1R3RK1 w - -,c6d5
2r3k1/5p1p/6p1/3R4/2p5/2B4P/3K1nP1/8 w - -,d2e3
r3r1k1/p2q1pbp/3p1np1/1ppP4/5BP1/PQ3P1P/1P2P1B1/2R1R1K1 w - b6,e2e4
4k2r/5pp1/2b1p3/p1qpP2p/P6P/2PQ4/4BPP1/Rr4K1 w k -,a1b1
r7/6p1/8/p1R2kp1/3p4/3Pb3/8/K7 b - -,f5f4
2rrbk2/1R3ppp/4p3/p3N1b1/3P4/2NRP2P/6P1/6K1 w - -,d4d5
r3k2r/p1pqbp1p/2p3pB/3pP3/6Q1/2P4P/PP3PP1/R3K2R b KQkq -,h8g8
2r2rk1/np1b1pp1/p3pb1p/q1ppN3/3P4/1PP1P1P1/P2Q1PBP/RNR3K1 b - -,f6e5
r4b1r/pp3kp1/2p2np1/q2p2B1/3Q3P/2N5/PP3PP1/1K1R3R b - -,a8e8
8/8/P3k3/1K6/1n6/8/8/8 b - -,b4a6
5r1k/pr3b1p/3p4/P1p2p2/5bq1/2P1B3/3Q1K2/R6R w - -,e3f4
r4rk1/1ppb1pbp/p2p1np1/3P3q/2P5/3B1N1P/PP3PP1/R1BQR1K1 w - -,d3f1
8/Q5k1/4Bnp1/4p2p/4Pq1P/5P2/6K1/8 b - -,g7h6
7R/8/8/5N2/4K3/r5kP/8/8 b - -,g3g2
4r1k1/p4pp1/1p3np1/2p5/P1Q5/B1P4P/4qPP1/3R2K1 w - -,c4e2
1r1q2k1/1p2p2p/3pb1p1/p4r2/P1PB4/1P4PP/3Q1P2/1R3RK1 w - -,d4c3
2r1r1k1/1b1qbp1p/p5p1/7n/2PpN3/3B1P2/P1QB2PP/1R2R1K1 w - -,e1e2
2rq1rk1/1p4pp/4b3/1Q3p2/p2Pp3/PnB1N1P1/5PBP/1R1R2K1 b - -,c8c3
r2qkbr1/pp3p2/1np1p1pp/3nQ2N/3P3P/2PN4/PP3PP1/R1B1K2R w KQq -,h5g3
2rr2k1/pp2ppbp/2p1qnp1/3pB3/2P5/1P1P1NP1/P1Q1PPKP/2RR4 w - -,c2b2
2r5/p3kpp1/4pn1p/1pq4P/5QP1/1PP1N3/1P3P2/2KR4 w - b6,b3b4
8/1p5K/p3r3/3pPp1R/1b1P4/1k6/5PP1/2B5 w - -,h5f5
2rqr1k1/1p3ppp/p2b2n1/8/2pPP1n1/2N5/PPQ1NBPP/3R1R1K w - -,e4e5
r1bq1rk1/pp2n1bp/2np1pp1/2pNp3/4P3/2PPBNP1/PP3PBP/R2QK2R b KQ -,e7d5
6k1/pp3p2/q3p2p/2P1P1p1/4QnP1/PR6/1P3PKP/3rN3 w - -,g2g1
4qrk1/pbr1ppbp/1p4p1/n2nN1N1/3P4/B1P4P/B3QPP1/2R1R1K1 b - -,h7h6
8/5pkp/4p1p1/8/3P1PP1/3R1K1P/1r5r/3R4 w - -,f3g3
r3kb1r/1b2pppp/p2n4/1pp5/5P2/1PN4P/PBPPN1P1/R4RK1 b kq -,e7e6
2Q2R2/kpp1r2p/p1qb4/4p3/3P2B1/2P1P3/PP1nR1PP/6K1 b - -,e5d4
4r1k1/2n4p/p1N3p1/2p3r1/P3R3/2P4P/5PP1/3R2K1 w - -,e4e8
2r1q1k1/3bb1p1/p3pr2/1p1p3p/3P4/2PBRP2/P1QN2PP/5RK1 w - -,f3f4
r3r1k1/ppp2pp1/1b2n2p/3RP3/4N3/2P1BQPq/PP3P1P/4R1K1 b - -,e6f8
r1bq1rk1/1p2ppbp/p1n2np1/2pp4/5P2/1P2PN2/PBPPB1PP/RN2QRK1 w - -,f3e5
r1b1qrk1/2p2pbp/np1p2p1/pN1Pp2n/P3P3/1P1N2P1/2PB1PBP/R2Q1RK1 b - -,f7f5
3r2k1/p3b1pp/1p2q3/2p1Pp2/2Q4P/1PBrP1P1/P1R2PK1/5R2 b - -,g8f7
rnb1kbnr/ppq1pppp/2pp4/8/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq -,f2f4
6k1/2bn1ppp/2p2q2/2np4/2bN1P2/5R2/r3N1PP/B1RQ3K w - -,e2g3
2rbkr2/pR1R1ppp/1p2p3/4n3/3N4/4B3/PPP2PPP/2K5 w - -,d4b5
r2q1rk1/2p1bppp/p4n2/np2p3/4P3/2P1BQ2/PPB2PPP/RN2R1K1 b - -,a5c4
r3rbk1/1pqb1pp1/2pp1n2/p1n4p/2PNPP2/1PN3PP/PB4BK/2RQR3 b - -,g7g6
r1bq1rk1/pppp1ppp/2nb1n2/1B2p3/4P3/2N2N2/PPPP1PPP/R1BQR1K1 b - -,f8e8:a7a6
5r2/p2n3k/1p1qprp1/7p/2QP1R2/6P1/P2B3P/5RK1 b - -,f6f4
3rkb1r/1q2pppp/p4n2/1pn3P1/4bB2/N1P2N1P/PP3PB1/R2Q1RK1 w k -,f4d2
r2r1k2/pb3pp1/1p1qpn1p/2p3N1/3PB2P/2P2P2/PPQ3P1/1K1R3R b - -,f6e4
2kr2r1/1pq4p/p1nbpp2/3p1p2/3PnN2/2P1BN1P/PP3PP1/R1Q1R1K1 b - -,c7g7
2kr3r/pppqbppp/1n1p1n2/6B1/4P3/1BNP1Q1P/PPP3P1/2KR3R b - -,h8f8
6k1/5p1p/Qn2p1p1/8/P7/3B4/5PPP/q5K1 w - -,d3f1
r2q1rk1/p5bp/2p1ppp1/3p4/3P4/2N3QP/PPP2PP1/3RR1K1 b - -,e6e5
3r2k1/1P5p/4q1p1/2p5/5b2/2Q1n2P/6B1/4R1K1 b - -,f4e5
8/1p2kp1p/p5p1/3pP3/PP1N1P2/4K1P1/7P/5b2 b - -,f1h3
r3k2r/4pp2/1qp1b1p1/1p1nP3/p3Q1p1/P6P/BPPB1P2/1K1R1R2 w kq -,h3g4
5k2/pp3p2/5b1p/3Q3P/3P1P1p/3K2q1/PP5N/8 w - -,h2f3
3br1k1/1b3ppp/p2q4/1pPn4/4p3/1P2Q3/P3B1PP/B2R1R1K w - -,e3d4
2r1nrk1/1p1q2bp/3p2P1/p1pPpbP1/2P1N3/P3B3/1P2BPQ1/2KR3R b - -,h7g6
r4rk1/pp3pb1/1qnpb1pp/2p5/2P1PBn1/2N2N2/PP2BPPP/R1Q2RK1 b - -,f8d8
6k1/p5p1/4pb1p/8/2p5/5BP1/1r2rPKP/2R1B3 b - -,e2c2
3n1Q2/p1p4k/1p1p2p1/4p3/2P5/1P2q1P1/P4RbK/8 w - -,h2g2
r1bqk2r/pp1nbppp/2pp1n2/4p3/2BPP3/2N2N2/PPP2PPP/R1BQR1K1 b kq -,e8g8:h7h6
6k1/4Rp1p/6p1/8/8/p5P1/5PKP/q4B2 b - -,a3a2
r4k1r/1B3pp1/p4n2/2q4p/3b1Bb1/5Q2/PP4PP/3RR2K w - -,f3g3
r3r3/p1k2ppp/2p2n2/8/2PB4/3P1PPb/R3P2P/1NR3K1 b - -,a7a5
4r3/5k2/p2b1n2/P1pP1p2/1pP2p1P/1P2pP1P/4R3/1N3KB1 b - -,f6d7
r1b1k2r/ppppnppp/2n2q2/1Bb1p3/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq -,d2d4:b5c6:d2d3
1r6/6k1/4pp2/1qNpQ2n/3P4/1P2PPp1/2K3P1/1R6 w - -,e5e6
rnbqkbnr/ppppp1pp/8/5p2/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq e3,f5e4
6q1/R2Q4/5rk1/1p5p/1Pr1Pp2/6PP/6K1/8 w - -,e4e5
2N1k3/2p4N/1p2p1p1/1Pn5/8/4PB2/5PPP/b5K1 b - -,e8d7
8/2p3p1/3n1p2/3K3N/3P4/5Pk1/8/8 b - -,g3f3
2N5/6pk/1P3pp1/4n3/2Bb4/1P4P1/4KP2/8 w - -,c4b5
8/6k1/1R5p/5P1K/p7/rP5P/8/8 w - -,b3a4
2r5/p4k1p/2p3p1/B1N5/6b1/1P4K1/P3r2P/2R4R b - -,e2a2
r1br2k1/2q1bppp/ppn1pn2/2p5/P1BP4/2N1PN2/1P2QPPP/R2RB1K1 b - -,c5d4
5rk1/2p2pp1/3p2b1/3q2Np/1p1N4/4P2P/1PP4K/3QR3 b - -,d5g5
r2q1rk1/pp1bb1pp/2n1pp2/1B1p4/3P4/2N1PNP1/PP3PP1/2RQ1RK1 b - -,d8a5
r2q3k/1p1r3p/p1n1bp2/P2npN1P/3pB1pR/Q5P1/1P1BPP2/R3K3 b Q -,d5e7
r1b1qrk1/2p5/1p1p1b2/p2Pp3/2P1PpnP/5B2/PP2QB1P/R4RNK b - -,g4h6
8/6k1/1p5p/1Pp1p3/4P1r1/N6b/1N3B1P/7K b - -,g4e4
1r1q1rk1/3nppbp/p2pb1p1/1p3n2/2P2N2/1P2N1P1/PB2PPBP/1R1Q1RK1 w - -,f4e6
3R4/4P3/7k/8/b2P2pp/4K3/5P1r/8 b - -,h2h1
r5k1/1bq4p/p1n1prp1/1PPp2N1/1Pp2P2/2P5/2Q1B1PP/R4RK1 b - -,a6b5
r3k2r/pp2bppp/1qp1bn2/3pp1B1/4P3/1B1P2NP/PPP2PP1/R2Q1RK1 w kq -,f1e1
1r2r1k1/5q2/3bpp2/p1Np1n1p/P2P1Pp1/2PR3P/QP4P1/5RNK w - -,a2b1
5r1k/1p2q3/1b1p3p/pP1p2p1/8/Q3p1P1/2R3BP/2R4K w - -,a3d3
3r1r2/pk4pp/4p3/b1pn4/8/P1NRP1B1/1PK3PP/4R3 w - -,e3e4
3b1rk1/1q3ppp/p1n5/1p2PQP1/2p4P/P1N1B3/1PP5/2KR4 w - -,d1d7
r5k1/1b5p/3Q2p1/1P6/p1P1p3/1n2q2P/R3B1PK/1N6 b - -,b3c1
r3b1k1/p4q2/1pn1p2p/3pP3/2pP1PQP/P1P4K/1RP5/7R b - -,g8h7
r2qr1k1/pppn1pbp/3pb1p1/8/4PB2/2N4P/PPP1BPP1/1R1QR1K1 w - -,c3d5
7r/3b4/3n1pk1/3Pp3/pN2P3/PnqB2N1/5QP1/3R2K1 w - -,d3c2
8/p4pk1/6pp/p1p3Q1/3q4/1P3P1P/6P1/7K w - -,g5c1
7k/3b2p1/3n2qp/pp1PR3/5P1P/4NQP1/r5B1/7K b - -,a5a4
rnbq1rk1/pp4pp/2pbpn2/3p1p2/2PP4/2NBPN2/PP1B1PPP/R2QK2R w KQ -,d1e2
1rb4k/6rp/p2p1b2/B2Pp3/2P1Pp2/R6P/3N2P1/4R1K1 w - -,e1b1
3qkb1r/r3pppp/p1p5/1p1nPP2/8/1Q6/PP2BPPP/R1B1K2R b KQk -,d8c7
4Q3/3K4/5q1p/7k/8/8/8/8 b - -,h5g4
r3r1k1/pppq1ppp/8/n2pP1B1/3P3N/b1PQ4/P4PPP/R3R1K1 w - -,h4f5
2r1kb1r/pp1n1ppp/1q2pn2/3p3b/2Pp1B2/4PN1P/PPQNBPP1/R4RK1 w k -,e3d4
1rbq1rk1/4npbp/2np2p1/1pp1p3/8/P1NP2P1/1PNBPPBP/R2Q1RK1 w - -,b2b4
4b3/4q3/1p1k1p2/3B2p1/1PP4p/2Q4P/5PP1/5K2 w - -,c3a3
5rk1/1N3p1p/p3p3/1pb1P1p1/2p5/P4P2/1PP3PP/3R3K b - -,f8c8
r1b2r2/ppp4p/2p2k2/5n2/2B1RPp1/4P1N1/PPP1K2P/6R1 w - -,e4e5
rn1qkbnr/pb1p1ppp/1p2p3/2p5/2B1P3/5N2/PPPPQPPP/RNB1K2R w KQkq -,e1g1
2rr1bk1/1p3qpb/4pp1p/p2p4/P2PnP2/1PP1N1P1/1B2B2P/2RQ1RK1 b - -,g8h8
2b2r1k/3q1pp1/1pNp3p/3P4/n3PP2/3B2Q1/6PP/5R1K w - -,f4f5
r2r2k1/ppqbbppp/2pp1nn1/P2Pp3/4P3/2N1BN1P/1PPQBPP1/R4RK1 w - -,f1c1
r1b1k2r/1p1pqppp/p1n2n2/4p3/4P3/8/PPP2PPP/RNBQKB1R w KQkq -,b1c3
4r2k/P3q1bp/1ppQ4/4np2/4p3/4P2P/4BP1B/3R2K1 b - -,e7a7
1k1r4/pp1bbBrp/1q1ppp2/5P2/4P3/1PN4Q/1PP3PP/R4R1K b - -,g7f7
r1b1r1k1/pp1nqppp/2p2n2/3p4/3P2P1/2NBPN1P/PPQ2P2/R3K2R b KQ -,d7b6
6k1/p4pp1/1p4p1/2p5/4Pn1P/PP3P2/R4KP1/1r2N3 w - -,b3b4
r2r2k1/1n3pb1/3p2p1/P2P3p/2N2B2/6P1/1PB2P1P/1R4K1 w - -,b2b4
5rk1/1b2q2p/p2pr3/1p2n1p1/P1pQPp2/2B2P2/1P2B1PP/3R1R1K b - -,e6h6
3R4/2r2pkp/3R2pn/8/8/5PP1/6K1/8 w - -,g3g4
8/3K4/k7/8/8/8/1R1N4/3r4 w - -,d7c6
5r2/8/5q1k/1Q1p4/p2N2Pp/P1P1p3/1P4R1/6K1 b - -,f6e5
r3r1k1/pp3pbp/nq4p1/2pP1b2/N1Q1nB2/1P3N2/P3BPPP/3R1RK1 b - -,b6f6
8/1p4k1/p5p1/3p3p/1P3r2/2P4P/1PbN2P1/4KR2 b - -,f4f1
4kb1r/rp1qppp1/p4n1p/3p1b2/3P4/1QN1P3/PP1BBPPP/R3K2R b KQk -,d7d6
r1r3k1/3bbnpp/4pp2/pp1p4/2Q1PP2/PN4B1/NPP3PP/2R2RK1 b - -,d5c4
r3r2k/pp2q1b1/2pp1p1p/6pn/P1BBP3/4QPP1/1PP4P/3R1RK1 w - -,e3b3
rnbq1rk1/1p3pp1/p1p1pb1p/3p4/2PP3P/2N1PN2/PPQ2PP1/2KR1B1R b - h3,g7g6
r2qkb1r/pppn1ppp/4pn2/3p4/6b1/3P1NP1/PPPNPPBP/R1BQ1RK1 b kq -,c7c6:f8c5
r4r1k/2pn2pp/1p1P1p2/8/1p1P4/P4N2/4BPPP/2B1R1K1 b - -,b4a3
2r2r2/1bq2pkp/p3p1p1/Pp1p4/1Q6/2P1P2P/1P2BPP1/3R1RK1 w - -,h3h4
rqb2r2/4bpkp/p1Q3p1/2N1p3/2B5/P3P3/1P4PP/2R2R1K w - -,c5d3
3n4/p4k2/1bp2p1p/1p2p1p1/4P3/2PN1PB1/PP4PP/3K4 b - -,f7e6
5bk1/2q2n1p/pR2Q1b1/P1p1p3/4Pp2/2N2P2/7P/6K1 b - -,c5c4
1r1q1rk1/4ppbp/3pbnp1/3P4/8/NnN1BP2/1P1QB1PP/3R1RK1 w - -,d2e1
r4rk1/2p2ppp/p2b4/1p1p1b2/3P4/1PP3Pq/1P3PQP/RNB1R1K1 b - -,h3g4
r1bqr1k1/1p1n1pbp/p2p1np1/P1pP4/8/2N1N1P1/1P2PPBP/R1BQK2R w KQ -,e3c4
r2qkb1r/pp1b1ppp/2n1p3/3pPn2/3P4/1P3N2/P3BPPP/RNBQ1RK1 b kq -,a8c8
r2r2k1/1p3pp1/2p1p2p/P3P3/1pnP4/6P1/1P3PBP/R2R2K1 w - -,g2f1
3k4/r4pp1/P1pP3p/2P2P1P/1p6/1KbR4/R7/8 b - -,c3e1
r5k1/1pn2pp1/2p4p/4P3/1P1q1P2/7P/3R2PK/2B5 w - -,d2d4
4rr1k/ppp3pp/1bnq4/3p3b/P2P4/2P1BN1P/2Q1BPP1/R3R1K1 b - -,h5g6
6k1/2q2pp1/3Rb3/1pr1p3/4Pb2/1P2NP2/P5QP/5N1K w - -,d6d1
1r6/6kp/4R1p1/4pp2/1pB5/1P5P/2b2PP1/6K1 b - -,e5e4
r2q1rk1/1p1n1ppp/1bp2n2/p3p2b/P3P3/1N3NPP/1PP2PB1/R1B1QRK1 w - a6,c1e3:f3d2
8/p7/1p2k3/2p1p3/P1PbP2p/1P1N1P1P/4K3/8 b - -,e6f6
r1r3k1/5ppp/1nb1pq2/3pN3/3P4/P1N5/5PPP/R2QR1K1 w - -,d1b3
1k1r1b1r/pb1p1pp1/1pn1p3/4P1Pq/Q2P1P1p/2N2B1P/PP2N1K1/R4R2 b - -,h5g6:h5h7
8/7p/3Pk3/4Bp2/2p2PpP/3bK1P1/r7/2R5 w - -,e3d4
8/3P1p2/6k1/2p5/8/1P3Ppp/4n1PQ/5K2 b - -,g3h2
8/8/5Pbp/8/1k4PP/2pp4/8/1NK5 b - h3,h6h5
r1bqkb1r/pppppnpp/5B2/3P4/4p3/2N5/PPP1QPPP/R3KBNR b KQkq -,e7f6
2rq3k/p2r1pb1/1p1P2p1/3R1PPp/P3N3/7Q/7P/4R2K w - -,f5g6
r1r3k1/5ppp/2p1p3/p1np4/2PN4/1P2P2P/P2R1PP1/2R3K1 b - -,c5a6
8/2pk1pp1/2p1b2p/p3P3/PrP5/2KPB3/6PP/R7 b - -,e6f5
3br2k/5r2/5pp1/1R5p/P1P2Q2/1P2PPPq/1B5P/3R2K1 b - -,h8g7
2rq1r2/p5k1/1p1P3p/n2Bpp2/1Q4p1/P2P2P1/1R3P1P/4R1K1 b - -,c8c5
8/5p1k/pp3Qp1/1q5p/1P3P1P/6P1/7K/8 b - -,h7g8
2r3k1/3bp2p/3p4/1p1P1pP1/p4P1P/1Pb1B3/P3B3/3K3R w - -,e2d3
2bq1bk1/2r2ppp/np2p3/1R6/1PPpB3/NQ1P2P1/5P1P/B5K1 b - -,c7a7
r1bq1rk1/4npbp/p5p1/1p2N3/2NnP3/P3B3/1PPQ2PP/R3KB1R b KQ -,d4c2
8/4NR2/5P1k/7p/5P2/8/2p1K1PP/5r2 w - -,f7g7
6r1/1p2k3/3pp2r/1p2n3/4PRp1/2P3P1/1P2B1K1/R7 b - -,g8h8
4r1k1/1p1q1p1p/1pPp1pb1/pN6/2P3P1/P6P/1P1QrPB1/R4RK1 b - -,b7c6
2r3k1/p1b2ppp/1pn3Q1/4p3/8/1N3N2/PPP2PPP/3R2K1 b - -,h7g6
r2rn1k1/1bq3bp/p3p1p1/2p1Np2/N1P1nP2/1B2P3/P3Q1PP/B2R1RK1 b - -,d8d1
8/pk4R1/4r1p1/2ppPpPp/P4P2/2PK4/7P/8 b - -,b7b8
r2qr1k1/2nb1p1p/3b2p1/p1pp4/6n1/P1NBP1N1/1PQB1PPP/3R1RK1 w - -,d3e2
r4r2/p1q1ppkp/3p1np1/2pPn1Q1/1p2P2N/6PP/PPP1RPB1/1R4K1 b - -,e7e6
rn1qkb1r/1b3pp1/p3p3/1pppPn1p/5P2/2NP1NP1/PPPB2BP/R2Q1RK1 b kq -,b8c6
8/p6R/4k3/2b1pp2/P7/3K1P2/8/8 b - -,c5b6
1brqrnk1/1b3ppp/pp2n3/3p1N2/P2P2Q1/2N2P2/1PBB2PP/2R2RK1 b - -,f8g6
r1bq1rk1/pp2n1bp/2np4/2p1pp2/2P2P2/P1NP2P1/1P2N1BP/R1BQ1RK1 b - f3,c8e6
r4rk1/1b2qppp/p2b4/8/2P1p3/1P2N3/4QPPP/R1B2RK1 b - -,e7e5
r1b1nrk1/1p3pbp/p5p1/3pP3/1q6/1P2BN2/1P3PPP/R2QRBK1 w - -,d1d5
6R1/2P5/pk1K4/5b2/8/8/8/8 w - -,c7c8q
r3r1k1/3pqppp/p7/1pbQn3/5B2/2N3P1/PPP2P1P/3R1RK1 w - -,f4e5
4r1kb/2r4p/b2p1ppP/pqnPp3/4P3/1N2BQ2/1pB2PP1/1R2R1K1 w - -,b3c5
r4rk1/1bq1bppp/p2p1n2/np1Pp3/4P3/5N1P/PPBN1PP1/R1BQR1K1 b - -,f8c8:a5c4:b7c8
2R2b2/p4kp1/7p/4n3/2p5/2P3PP/PP2KP2/8 b - -,f8d6
