3Q4/8/6p1/1P2b3/4P1qk/8/5P2/5K2 b - -,g4g5
4r1k1/1p3pp1/p2p1q1p/5B2/2pN1PQN/2P1r3/PP6/5R1K b - -,g7g6
8/1p6/p3kbp1/2B1pp1p/2P4P/1P1K2P1/P4P2/8 b - -,e5e4
r2q1rk1/1pp2pbp/p1npbnp1/8/4P1P1/2N2P2/PPPB1Q1P/2KR1BNR w - -,g1h3
r1bq1rk1/1p3ppp/p1nb1n2/2ppN3/3P1P2/2N1P3/PP2B1PP/R1BQ1RK1 w - -,g1h1
r3r1k1/ppp2p2/8/3PpBq1/8/2N5/PPP1N3/R2Q2K1 w - -,g1h1
3r3k/p1p4p/4Pp1b/Pp3P2/3p2QP/1P2qN2/8/6RK b - -,d4d3
3q2k1/r3rbb1/1np2pp1/ppN5/3P1B2/1P1Q1N2/P4PP1/3RR1K1 w - -,f4d2
4B1k1/8/4NK2/4r3/8/8/8/8 w - -,f6e5
8/r5p1/3p3p/1k3P2/p5PP/R1K5/5P2/8 b - h3,a7e7
r4rk1/pb3pp1/1ppq1n1p/8/2BP1N2/4P3/P1Q2PPP/R4RK1 w - -,f4g6
rnbqkbnr/p2ppp1p/6p1/2p5/4P3/2N5/P1PP1PPP/1RBQKBNR b Kkq -,f8g7
8/2r3p1/1RP4p/p2kp3/P7/6P1/6KP/8 b - -,c7c6
q2r2k1/R5pp/3p2n1/1p1Pp3/4N3/6QP/P4PP1/2R3K1 b - -,a8a7
5r1r/q5k1/p2p2n1/1p1PppB1/4BP2/6P1/PP2Q3/1R2RK2 b - -,f5e4
2r3k1/p5pp/1q2b3/2ppP3/8/3B2P1/PPP2r1P/1KQR3R w - -,d1f1
r1q2rk1/pb2bppp/1p2p3/1B6/1P1Bn3/5N2/P3QPPP/2RR2K1 b - -,c8b8
1rb2k1r/p4p1p/2n1p1pP/q1nNP3/1p3P1Q/5N2/PPP3P1/2KR1B1R b - -,e6d5
2krr3/2pp1pp1/1nb4p/p1p1P3/2P5/1PNB1P2/P1K1R1PP/4R3 b - -,g7g5
r3k2r/pb1pppbp/1p2n1p1/q2N4/2P1P3/1P2B3/P2Q1PPP/2R1KB1R b Kkq -,a5d2
r3nrk1/pb1p2pp/1p2pp2/2p1P3/2qP1P2/P1P1QRP1/3BN2P/R5K1 b - -,b7f3
2r1r3/1bqn1pbk/pp1p3p/3Pn1pN/PPP1N1P1/4R2P/8/B1R1QBK1 b - -,b7d5
rnbq1rk1/p1p1ppbp/1p1p1np1/8/3PP3/2NBBN1P/PPP2PP1/R2QK2R b KQ -,c8b7
r4k2/5ppp/prbp1n2/4p3/2R1P3/1PN3P1/2P2PBP/R5K1 b - -,a6a5
8/5pk1/1r3b2/3R4/8/2p5/P1R3KP/1r1B4 w - -,c2f2
2k3r1/pppb1p2/1n2p1p1/3pP1P1/3P4/qPQ2N1R/P1P2P2/1K1N4 w - -,f3h2
8/2r1r1kp/p3pqp1/1p1n4/5p2/PP1R4/2Q2PPP/4R1K1 w - -,c2d2
r5k1/p2nbpBp/1pP5/8/qnQ1P3/6P1/P3RPKP/2R5 b - -,d7c5
5k2/p4p2/4r1p1/PP2b2p/3p1B2/R5P1/5P1P/5K2 w - -,b5b6
8/6pk/2R2p2/6Pp/1pP1KP1P/1r6/8/8 b - -,f6g5
r3k2r/p2pqp1p/1p3p2/3Qb3/4P3/8/PPP2PPP/2KR1B1R b kq -,e8g8
8/8/P1k5/2b2p2/8/3K1PP1/8/4B3 w - -,d3e2
8/6pk/8/1Q6/7P/2p3P1/KPq5/8 w - -,g3g4
8/r7/P4k2/5p1p/5K2/R7/6PP/8 w - -,h2h4
2b2rk1/p3b1pp/1rn1p3/3pN3/q1pP1P2/1P2B3/P1PQ2PP/KN1R3R b - -,a4b5
2k5/q7/1Q4p1/5p1p/P1P5/3P3P/6P1/1R2r2K w - -,h1h2
8/2Bnk3/1pb5/2p1p1p1/2P3P1/P1K1P3/4B3/8 w - -,e2d3
r3qr1k/1ppb2b1/p1np2pp/4pp1n/4P2B/1BPPNN2/PP3PPP/R2QR1K1 w - f6,e4f5
6r1/3R2rR/5p2/1P1kp3/3p4/P7/6PP/6K1 b - -,g7d7
R7/8/8/4r2P/6P1/5n2/5k1K/8 w - -,h2h3
5rk1/1b1nqpp1/r3pn1p/p1p5/Rb1PPB2/3N1NP1/1PQ2PBP/3R2K1 w - -,d4c5
3q2k1/1b2bppp/1p2pn2/pPp5/4PP2/PP4PP/2Q3B1/4N1BK w - -,a3a4
6k1/5b2/p1R3pp/5p2/5K1P/2N2PP1/Pr6/8 w - -,c6a6
r3k2r/ppnqnpbp/2ppp1p1/8/3PPPP1/P1NBBQ1P/1PP5/R3K2R w KQkq -,f4f5
8/p4p2/1p2k1p1/2bpP2p/3B3P/1P1K2P1/P4P2/8 w - -,f2f3
2rr2k1/p2n1p1p/5b2/4p2Q/PpP1P2P/1P4P1/5P2/5BK1 w - -,f1h3
2r1r3/6k1/p3n2p/Pp1pPpp1/1RpP4/2P1R2P/5PP1/4NK2 w - -,e1c2
r1b1rbk1/p2n1ppp/2pp1q2/2p5/N2PPB2/5N2/PP3PPP/2RQR1K1 w - -,f4g3
r1b1qnkb/1p3r1p/2pB4/2Pp2pN/p2pp1B1/2Q1PPP1/PP5P/R4RK1 w - -,e3d4
r1b2rk1/2q3pp/p1pb4/2p1p3/2Ppn3/1P1P1N1P/PB2QPP1/R4RK1 w - -,d3e4
r1b1k2r/1pp1qppp/p1pb1n2/4p3/2N5/1P2P3/PBPPNPPP/R2QK2R b KQkq -,e8g8
1r1q1r2/p4pkp/3p1p2/1n1N1p2/4P1n1/2pP4/P1P2QB1/R4R1K w - -,f2h4
r6k/1b3rpp/p7/1p4Q1/5n1P/5P2/PP3KP1/2R5 w - -,c1d1
r1n4r/pp1k1p1p/4pn2/1P1p2p1/3P1N2/1PPK1P2/R2N2PP/R7 w - g6,f4e2
r1b2rk1/pp2bppp/4p3/2n1P3/2p2Bn1/P1N2NP1/1P3PBP/3R1RK1 b - -,c5d3
r4rk1/p1pnq1pp/1p1p4/3Ppp2/1PP1b3/P4NP1/1Q2PPBP/2RR2K1 b - -,a7a5
r3r1k1/1p3ppp/2n2n2/b2p4/2pP1Bb1/P4N2/1P1NBPPP/3RR1K1 w - -,f4e3
2r1r1k1/5pp1/2p2b2/5q1p/1PQ5/P3BP1P/5PK1/2RR4 w - h6,c4d3
8/p4p2/6pp/2N1k3/1P4P1/5b1P/r4P2/3R2K1 w - -,d1d3
r1b1kb1r/pp2nppp/1q2p3/n2pP3/2pP4/P1P2NPB/1P1N1P1P/R1BQK2R b KQkq -,c8d7
3r2k1/pQ1p1ppp/1p3q2/4r3/1PP5/4P3/5PPP/1R1R2K1 b - -,a7a5
2bq2k1/r4pb1/p2p1npp/2pP4/1PB3nP/2BQNN2/P4PP1/4R1K1 b - -,c5b4
r4rk1/ppp1bpp1/7p/5P2/3p4/3P2PP/PP3PB1/R3R1K1 b - -,e7f6
2rr3k/pp1bpp1p/2np3b/P2N1P2/7q/1NPB2R1/1P4PP/R2Q2K1 w - -,g3g4
2r3k1/p6p/bn2P1p1/8/4PP2/4B3/Pbp3PP/2R1K2R w K -,e1f2
r2qr1k1/2p3pp/p1pb1pb1/4p3/5n2/2PPBNNP/PP2QPP1/3RR1K1 w - -,e2f1
3r1k2/5p1p/2QP1Np1/4r1P1/7P/1P2B3/2p3K1/8 b - -,e5e3
8/7p/n5p1/PN2kp2/1P5P/2PK4/8/8 b - -,h7h6
8/1R4p1/4pk1p/p5P1/7P/8/5PK1/r7 b - -,h6g5
r2q1rk1/3pb1pp/b3p3/pp1nPp2/3n4/2P3P1/PP2QPBP/RNBR2K1 w - -,d1d4
r1r5/3bqpkp/pppn2p1/3pN3/PP1P4/3BP3/2Q2PPP/1R3RK1 w - -,a4a5
2r2nk1/7p/1p2p1p1/8/1PPqB3/1Q5P/6P1/2R4K w - -,b3d3
7k/2r3bp/p2p4/q2B1p2/3npP2/4N3/6PP/2RQ3K w - -,c1a1
4k3/2R1b3/7p/5Pp1/bp4P1/2pB2PK/P7/8 w - -,h3g2
rnbq1rk1/p3ppbp/1p3np1/3pN3/3P4/2N1P3/PP2BPPP/R1BQ1RK1 b - -,c8b7
1k6/pp3r1p/6p1/2P1p1P1/4B3/8/PP3P2/1KR5 w - -,f2f3
4rqk1/5pp1/p1p1r2p/1pbn4/4b2N/1BP4Q/PP3PPP/2BR1R1K b - -,f8e7
r5k1/pp2rpb1/2p3p1/2n5/2N1P3/2P5/1PB3PP/3RR1K1 b - -,a8e8
8/8/2pB4/1pPb4/p5K1/1kP2P2/6P1/8 w - -,g4f4
r2r2k1/1p3pp1/3pqn1p/p1p2b2/P1P1p3/1PP1BnPP/2N1PPBK/R2RQ3 w - -,e2f3
r3k1nr/p2p1pbp/1q4p1/1pp1p3/Q3P3/2P2N2/PP1P1PPP/R1B1R1K1 w kq -,a4b3
6k1/4p1bp/4r1p1/2B5/P1P5/6P1/2PNK2P/6Qq w - -,e2d1
4Q3/7k/1p1NN2b/3Pp3/1P2Pp2/5n1P/2r5/2B2K2 w - -,e8f7
r1b1k3/1p3p1R/p1n1p3/2b5/3p1P2/2P5/P1P1NPP1/3RK3 w q -,h7h5
1R6/p3kp1p/P7/1P1b4/3b1p2/5P2/6KP/8 w - -,h2h3
1r4k1/5pbp/p2rp1p1/P1p5/1nB5/4P1P1/RP1P1P1P/2B2RK1 w - -,a2a4
8/8/8/2P1K3/5p2/5k2/8/8 b - -,f3e3
8/5pk1/6p1/2R5/2R2P2/K7/1P6/3q4 w - -,b2b4
2n2b1k/pp5p/n1p3p1/8/4rP2/1P3N2/P5PP/3R1RK1 w - -,d1d8
r5k1/1b3r1p/pn2p1pQ/1p2qp2/2p5/P1Np4/1P2BPPP/3R1RK1 w - -,e2d3
3q4/8/4p2p/1p2Pkp1/3P4/QR6/1P1K3P/8 w - -,b3f3
r4rk1/ppb3pp/7q/8/4pP2/1P5P/P3N2K/1RBQ2R1 w - -,d1d5
1rb2rk1/4qppp/pP2p3/3p4/3Q4/1P2P1P1/5PBP/R2R2K1 w - d6,e3e4
5k2/B1p3p1/8/1b6/8/P6P/6P1/6K1 w - -,g1f2
6k1/6pp/5p2/p2n4/1br1N3/5P2/2P1RBPP/6K1 b - -,d5f4
r1bqr1k1/pp1nbppp/2p2p2/8/3P4/5NP1/PPP1QPBP/R1B2RK1 w - -,f1e1
1rbqkb1r/5ppp/p1n1p3/1ppnP3/8/2PP1N2/PB3PPP/RN1QRBK1 w k b6,b1d2
6k1/p5b1/7p/3p4/4b3/1NP3rP/PP2K1P1/R7 b - -,g3g2
r4rk1/p4p1p/2pb4/5B2/2np4/7P/PP3PP1/R1B2RK1 w - -,b2b3
r1bq1rk1/pp2ppbp/2n3p1/2pp4/3Pn3/1PP2NP1/PB1NPPBP/R2Q1RK1 b - -,d8a5
R4r2/4qbk1/3p1pp1/2pP4/2P1PN1P/1PQ5/5R1K/8 b - -,f8a8
5b2/5k1p/2p2pp1/4p3/n1P1P3/1r3PP1/6KP/2RNB3 b - -,h7h5
7r/p7/5n1P/1p1Pp3/5k2/P1PP1B2/P4K2/7R b - -,e5e4
2r2rk1/2qn2pp/p1Np1b2/1p1Pp3/5n2/4BP1B/PPPQ3P/2KR3R w - -,e3f4
5n2/8/8/4NN2/5P2/4P1k1/4K3/2b5 b - -,g3h3
4k2r/1ppb1pp1/r2p1q1p/2nPp3/p1P1Pn2/P1Q1R2P/1PB2PP1/R1B2NK1 w k -,f1g3
8/8/1pk3r1/2b2N2/2P4R/4P1P1/2r4P/5RK1 b - -,c6b7
1r4k1/5p1p/2p3p1/4p3/3pPP2/6PP/1b6/3R1BK1 b - f3,c6c5
r1b1qrnk/2p2pb1/pp2n1pp/P3p3/2B1P3/2P1BNN1/1P3PPP/R1QR2K1 b - -,f7f5
r2q1rk1/1b3pp1/np2p2p/1B1pN3/N2PnB2/bP6/P1Q2PPP/R2R2K1 b - -,a6b4
rn1q1rk1/p2pb1pp/1p2pn2/2pP1p2/2P5/P1NBPP2/1PQ2P1P/R1B1K2R b KQ -,g7g6
2b2b2/1p4kp/2p3p1/4r3/PnP1N3/6PP/6B1/1R1R2K1 w - -,e4d6
2br4/2k2p2/p1P1p3/P1r4n/2P1P2p/1N3P2/4B2P/R5RK b - -,c5c6
8/1pr5/5np1/p1b2kp1/P1PR3P/1P3P2/5P2/4RK2 w - -,d4d8
rnbqkbnr/1p1p1p1p/p3p1p1/2p5/4P3/2N2NP1/PPPP1P1P/R1BQKB1R w KQkq -,f1g2
r4q1r/pp2bNk1/2pnb1Pp/3p1p1Q/3P1P2/P1NBPP2/1P6/2K3RR b - -,d6c4
r2qk2r/pppb1p2/2n5/3pN1pp/1b1Pn3/1QN3B1/PP2PPPP/2R1KB1R b Kkq -,d8e7
5rk1/ppq2pb1/2n3Np/2p5/2Q1p1PP/2P1r1P1/PP1N4/3R1RK1 w - -,d2e4
5k2/1p3pp1/3p3p/1P1Pp3/q7/r4PP1/nQ2B2P/R6K w - -,b5b6
r3r1k1/p4pp1/2p4p/8/1Pb5/8/P4PPP/R1B2RK1 w - -,f1d1
r2qr1k1/pbpn1pp1/1p3n1p/3p4/3P3B/P1QBPP2/1P4PP/R3K1NR w KQ -,g1e2
1r5k/4r2p/p1p2np1/2P5/4pN2/PB5R/1P2KP2/8 b - -,e7b7
8/5k2/1p2R3/p1pP1p1p/2Pr1rpP/1P6/1P2K3/5R2 w - -,f1f4
r1b2rk1/pp1qp1b1/2ppN2p/3P2pB/2P1p3/4P2P/PP3PP1/R2Q1RK1 b - -,c6c5
8/1Pk1P3/3N3r/8/3KP3/8/8/8 b - -,h6d6
6k1/R4pp1/pB5p/4p3/8/1nq3NP/5PPK/8 w - -,g3f5
r4rk1/1q2ppbp/p1b2np1/P2p4/Np1P1B2/1Q1BP2P/1P3PP1/R4RK1 b - -,f6d7
5k2/1p2p2p/p1p1b3/2P1NpB1/1b1PpP2/4P2P/1P2K3/8 b - -,f8e8
r1b1r1k1/4qpb1/p2p1n2/2pPn2p/P5pP/2N1N1P1/3BPPB1/1RQ2RK1 b - -,e7c7
8/5k2/1p2p3/pP1pPp2/P2P1QPq/4P3/6K1/8 b - -,h4h7
8/4kp1p/6p1/8/2Pbp2P/5PP1/4B1K1/8 b - -,e4e3
r1bq1rk1/1p2ppbp/2np1np1/p1p5/2P1P3/P1N3P1/1P1PNPBP/1RBQK2R w K a6,e1g1
r4rk1/p4p1p/1q1P2p1/1NR1bb2/8/6P1/PPP1NQKP/R7 b - -,a8e8
8/5k2/3P4/p7/P4Nbp/4K1N1/8/8 b - -,h4g3
r4rk1/p3qp2/3p2pp/2p1n3/8/1P2P3/P2QBPPP/2RR2K1 b - -,f8d8
5bk1/p1q2pp1/b2p3p/n2Pp3/PPp1P3/4B2P/B2N1PP1/2Q3K1 b - -,c4c3
r4rk1/1p3p2/2pp1np1/p3p2p/1qPPP1bP/6P1/PP1QNPB1/2R2RK1 w - -,e2c3
8/4k3/8/8/5P1K/6Np/7r/8 w - -,g3f5
5rk1/pp1nbppp/5n2/3p4/3P1N2/5PP1/PPr2RBP/R1B3K1 b - -,c2f2
r4rk1/pp1b2pp/8/2nP4/1pBNp3/8/PP4PP/R4RK1 b - -,a8c8
r2q1rk1/1p2nbbp/5np1/1P1p1p2/3PpN2/1QN1P1P1/1B3PBP/1R3RK1 b - -,e7c8
7k/4p2p/3p1p2/q1rPnPp1/P7/2r4P/R1BRQ1P1/7K w - -,e2h5
4r1k1/2pr1ppp/5b2/1p3b2/1qRP4/1P3N1P/1Q1B1PP1/3R2K1 b - -,b4d6
r2q1rk1/1b2bppp/p3pn2/1p1p4/2nP4/1P1BPN2/P1RBQPPP/1N3RK1 b - -,c4d2
8/6B1/8/pp2kpKp/6b1/P5P1/5P2/8 b - -,e5d5
r4rk1/p1q1ppb1/1p3npp/n1p5/4P2P/2P3N1/PP2QPPN/R1B1R1K1 b - -,e7e6
2br1q2/5r1k/4p1Rp/1B1pPp1P/1p1P1K1Q/4P3/P5R1/8 b - -,f8e7
4rrk1/8/p3p2b/1p3p1R/2pP1P2/P1P2K2/1P6/R1B5 b - -,h6g7
5k2/1p1R3P/3K4/2P5/8/3r4/8/8 w - -,d6c7
8/2k5/3p4/p1r1Q3/2P3p1/1P1Kp3/P3B3/5R2 b - -,c5e5
6k1/2p1q1p1/p2p2p1/1p1Pp3/1P2P1Pp/1NP4P/1P2K3/5R2 b - -,e7d7
r1bqkbnr/ppp2p1p/2np2p1/4p3/2P1P3/2N3P1/PP1P1PBP/R1BQK1NR b KQkq e3,f8g7
8/5qRk/5r2/1p1P1b1p/p4Q2/2PBBP1p/P7/7K b - -,h7g7
r1bq1r1k/p3b1pp/2pp1n2/2p1p3/4P3/1QP2N1P/PP3PP1/RNB1R1K1 w - -,b1a3
r2qkbnr/pp3pp1/2pP2np/8/2B3b1/2P2N2/PP3PPP/RNBQ1RK1 b kq -,f8d6
3q2k1/1p3p1b/5n1p/4N1p1/2Pp2P1/Q1bP3P/5PB1/B5K1 b - -,c3a1
r3kb1r/pp1q1pp1/7p/2pp2N1/1n2PB2/5Q2/PPP2PPP/2KR3R w kq -,e4d5
8/8/6pp/2bkpp2/6P1/p2K1P1P/P2N4/8 b - g3,c5d4
6k1/5p2/1n4pp/p1R1p3/Pr6/4P1P1/5PKP/5B2 w - -,c5a5
3r1nk1/1p2qp1p/1np1p1p1/p3P3/2P2Q1P/1P3NP1/P4PB1/4R1K1 w - -,f4h6
8/1N6/p1p1b1k1/2P1p2p/1P1nB1pP/P5P1/1K3P2/8 b - -,e6f5
3r1nk1/1b1P1p1p/1N6/4N3/8/5P2/6PP/5RK1 w - -,f1c1
r3kb1r/1bqp1ppp/p3p2n/4P3/1p2NP2/4BB2/PPP3PP/R2Q1RK1 b kq -,a8c8
8/6k1/6p1/pp1n4/7N/1P5P/3K2P1/8 w - -,h4f3
r3kb1r/ppq1pppp/2n2n2/3p4/3P4/1PPB1Q1P/P4PP1/RNB1K2R b KQkq -,c6d4
6k1/4p2p/b2p2p1/3P4/P2N4/1P6/5nPP/6K1 b - -,f2e4
r1b2rk1/ppp2ppp/1b1p1q2/1B1Pp2Q/8/2PP4/PP3PPP/R1B2R1K w - -,f2f4
4r3/8/8/8/5bk1/8/2R2K2/8 w - -,c2c4
1R3nk1/r1q3b1/4pp1p/3p2pN/1QpP2P1/2P1PNP1/5P2/6K1 b - -,c7e7
1r3k1r/5pp1/1pR1nbp1/1B1p4/3P4/4BP2/PP4PP/1K5R w - -,c6d6
5k2/p7/7p/1p1Nn1p1/2p5/P1P3PP/1P3K2/8 w - -,f2e3
b1r1r2k/p3q2p/1pp1pb1N/6p1/P1PPQP2/5B2/1P3P1P/3RR1K1 w - -,f4g5
rnbq1rk1/4ppbp/ppp2np1/3p4/2PP4/2NBPN2/PPQ2PPP/R1B2RK1 w - -,b2b3
r1bqkb1r/1p1n1p1p/p1n1p1p1/2ppP3/5PQ1/1P3N2/PBPPB1PP/RN2K2R w KQkq -,e1g1
1rbr4/3nk2p/pp3pp1/4p3/1P2PP1N/P3B3/6PP/2RR2K1 w - -,f4e5
