8/4k3/p3p3/8/1K4N1/4P1b1/P7/8 b - -,e7f7
rnbq1rk1/ppp1ppbp/3p1np1/8/3P1B2/4PN1P/PPP1BPP1/RN1QK2R b KQ -,b8c6:c7c5:f6d7:b8d7:b7b6
3R4/6pk/3np2p/1q5P/4n3/6P1/2Q2PK1/8 b - -,b5f5
r3kb1r/pbqN1ppp/1p2pn2/2pp4/Q1P5/2N3P1/PP1PPPBP/R1B2RK1 b kq -,c7d7
2rb1rk1/1bqp1ppp/p1n1p3/1p6/4PP2/2P1B3/PPBN1QPP/R4R1K w - -,e4e5
1R2b3/2r2k2/4p3/1p1pPp2/3K3p/2PB4/6PP/8 w - -,d3b5
r4r2/ppqn1kb1/2p2pp1/2Np1b1p/3P1P1B/1PN4P/1PP2RP1/R2Q3K w - -,d1f3
rn1q1rk1/4bppp/p2pbn2/1p2p3/4P3/1NN2B2/PPPB1PPP/R2QR1K1 b - -,d8c7
r5k1/pp2qr1p/2npbbpB/2p1p3/2P1P3/1P3N1P/P3BPP1/R2Q1RK1 w - -,d1d2
1rb4r/p2n1pk1/2p1p1p1/3pP1Qp/5PPP/1PN1q3/PKP5/3R1B1R b - -,b8b4
2rr2k1/pp2qppp/3b1n2/1N6/2n5/P3PN1P/1P2QPP1/R2RB1K1 b - -,d6b8
4k3/4p2p/4p1p1/p7/3n4/1PbB4/P1N2PPP/5K2 b - -,d4c2
bn3rk1/p3pp1p/3p2p1/8/4n2P/5B2/PP1B1bP1/R2K2NR w - -,d2h6
6k1/4rpb1/1q3np1/pp1p4/3R3P/P1P1NQ2/1P6/1K3R2 w - -,e3c2
r1b1kb1r/pp1n1p2/2p1pqpp/4P3/2pP4/2NB1N2/PP3PPP/R2QK2R b KQkq -,f6e7
7r/3nkpp1/p3p3/2b1P3/5P1p/4NN1P/P4KP1/1rR5 w - -,c1b1
1rq1k1nr/1p1bppbp/2np2p1/p1pN4/P1P1P3/3PBNPP/1P2QPBK/R4R2 b k -,b7b6
2k5/2prn1p1/1p1pqpb1/1R5p/1PP5/2P2P2/1K1Q1BPP/5B2 b - -,g6e8
8/2N1k2p/6p1/p2Pp3/1p2K1P1/1P4bP/P7/8 b - -,e7d7
r2q1r1k/1pp1b1pp/p1n3b1/5p2/2NP2P1/1BP2N1P/PP2Q3/R4RK1 b - -,e7d6
rn1qkb1r/pb1p1ppp/4pn2/2p5/Pp1P4/1P3NP1/2P1PPBP/RNBQK2R w KQkq -,e1g1
r2r2k1/ppqn1ppp/2p1p3/4P3/2Q5/1PB1PP1P/P5P1/R4RK1 b - -,d7e5
1k1r4/1p2NP2/1qb4p/8/p3pPrp/P7/1P1Q2PK/2R5 w - -,c1c6
8/8/pp6/2n5/2PK1p2/5Bk1/P7/8 w - -,f3e2
2R5/8/2Brn2p/1K3pp1/2Pkp3/6P1/P4P1P/8 w - -,a2a4
4k3/1pp2pp1/p1p5/4P1N1/2P2PP1/1P1b3K/Pb1r4/2R3B1 w - -,c1e1
2b5/4k3/4p2p/P5p1/1P6/3B3P/2P3P1/7K b - b3,e7d6
2r2r2/3npk2/R4pp1/p6p/p1bBp2P/4P3/5PP1/R2B2K1 w - -,a6a7
r2r1bk1/2qn1pp1/p2pb2p/2p2N2/P1P1PQ2/1p4NP/1P3PP1/R3RBK1 w - -,g3h5
2rqr1k1/2p2pb1/2bpn1n1/1pPN2p1/pP2P1Pp/4BP1P/P1Q1N1BK/1R1R4 w - -,h2h1
r2r2k1/1b1pqppp/2p2n2/2N1p3/4P3/P6P/1P1QBPP1/2RR2K1 b - -,d7d6
8/p2k4/1b2p3/3p4/3P2rp/3K1p2/P4P2/1R4N1 w - -,g1f3
3r1rk1/ppp1qpp1/2n2np1/8/1bBP2P1/2N1BQ1P/PP3P2/R4RK1 w - -,f1d1
r5k1/p1q1rpb1/Rn1p2pp/Q1p5/8/2P2N2/1P1N1PPP/5RK1 w - -,f1a1
r1b2rk1/5p1p/1p1p1qp1/p1pPb3/P1P1P1P1/1P2Q2P/4NPB1/2RR2K1 b - -,a8a7
5r2/3k4/3b3p/2pQ3P/p4P1q/2P1B3/P5r1/1R1R2K1 w - -,d5g2
r1qn1rk1/p2pbppp/1pb5/2p5/2P1NB2/6P1/PPQRPPBP/3R2K1 w - -,f4d6
2bq1rk1/5p1p/2Pp2p1/pP2p3/3Q4/8/4BPPP/4K2R w K e6,d4a7
3r2k1/1Q2pp2/p2q4/6pP/8/P7/1P1r4/KR5R w - -,h1g1
r1bk1b2/2R1pp2/pp1P2pp/nB2P3/3N4/6B1/P4PPP/6K1 w - -,d4c6
2r2k2/p2R4/1p4p1/4Pp1p/P1p4q/2Nn1P2/6PP/3QR1K1 w - -,g2g3
8/8/1p4k1/4bp1p/4n2P/B4RP1/2r2PK1/2N5 b - -,e5g3
8/pb2kp1p/1p6/4B3/3P4/2P3Rr/P4K1n/3B4 b - -,h3h4
7k/7P/p2pN1p1/2pPp1Q1/2P1P3/q7/8/1r1K2R1 w - -,d1e2
r1bqkb1r/1pp2ppp/p3pn2/8/P1p5/Nn3NP1/1PQPPPBP/R1B2RK1 w kq -,a1b1
6k1/p5pp/4Rp2/8/8/2pr1PP1/P5P1/6K1 w - -,e6c6
r2q1rk1/pp2bppp/2n1bn2/3p4/Q2N4/2N1B1P1/PP2PPBP/R4RK1 b - -,d8d7
2kr4/p1p1b3/4p3/1pPqPppp/1P3n2/3r1PN1/PBQ3PP/3R1RK1 w - -,d1d3
3r2k1/pp4pp/3P1n2/1PB5/P2q4/2P5/5PPP/4R1K1 w - -,c5d4
3rr1k1/1q4bp/n3pnp1/2p5/2N1p3/2N3P1/PP3P1P/1RBQR1K1 w - -,d1e2
2b2r1k/p4r2/3p2p1/1pp1p2p/4Pq2/2PP1NR1/PP3P2/R4QK1 w - -,f3h2
8/2R3pp/1p2pp1b/7k/3P4/1r3KPP/3r1PN1/5R2 w - -,g2e3
r1b2rk1/p1qn1ppp/1p2pn2/6B1/3P4/2PB1N2/P4PPP/2RQR1K1 b - -,c8b7
r4rk1/pq4pp/4pB2/1p2P3/2pP3P/P2bK1R1/1P1Q2P1/2R5 b - -,f8f7
r1bq1rk1/pp2ppbp/2n3p1/3pP3/3PBP2/N1P5/4N1PP/R1BQ1RK1 b - -,d5e4
r3qrk1/3bp2p/n1pp2pb/p4p2/2PB2n1/2N1PNP1/PP1Q1PBP/3R1RK1 w - -,h2h3
r3k2r/1b1nbppp/8/1p1pP3/P1p2B2/5B2/1P1N1PPP/R4RK1 b kq -,g7g5
r1bq1rk1/ppn3bp/3p1np1/2pP1p2/2P2P2/P1NBB2P/1PQ1N1P1/R4RK1 b - -,f8e8
r4r2/1bp1q1kp/pp1b1np1/3p4/3PpP2/1QNBP3/PP4PP/2B1RRK1 w - -,d3e2
8/8/8/p4R2/r3p3/2K1P1k1/8/8 w - -,f5f4
3rr1k1/1b2np1p/p1q1p1p1/6PP/1pBbPP2/1P4N1/2P2B1Q/1R3RK1 b - -,d8d7
2kr3r/pp2bp1p/2n1N1pB/3p4/B7/2P5/P4PPP/R3R1K1 b - -,f7e6
5rk1/3q2pp/1pp5/p1p5/2P5/1PNPPbQ1/P2B2n1/5R1K b - -,g2h4
r1b3k1/p2pb1pp/2p1p3/2Pr4/2BQ1P2/1P6/P2K3P/3R2B1 b - -,d5d4
1k5r/p3b1p1/Ppb5/2p3Pp/2P1N2P/5P2/4B3/3rK2R w K -,e1d1
r1b1k2r/pp2bppp/2nqp3/1Bp5/2P5/1P3N2/P2PQPPP/R1B1K2R w KQkq -,f3e5
rnb1kb1r/p3pp1p/3p1np1/q1pP4/PpP5/6P1/1P1BPPBP/RNQ1K1NR b KQkq -,h7h5
r4rk1/1b3ppp/p3p2b/P1P1P3/RpB1q3/4P3/1P2Q1PP/2B2RK1 b - -,e4e5
8/8/4K3/2k1p2p/2n1p3/7P/2N5/8 w - -,h3h4
3r2k1/5p2/3q2p1/5Q1p/3p3P/3R1P1K/6P1/8 w - -,f5e4
rqb3k1/p1p2pbp/Bn4p1/2Nr4/8/4BP2/PP2QP1P/2R2RK1 b - -,c7c6
4rrk1/1b2Nppp/4p3/p1P5/Pp1P1q2/1P4P1/5PBP/R2R2K1 b - -,e8e7
8/1p4pp/p1b2k2/P2rpp2/2P5/1N3P2/1P4PP/4R1K1 b - -,d5d3
r2qk2r/pppb1ppp/2n1pn2/3p4/QbPP4/4PN2/PP1N1PPP/R1B1KB1R w KQkq -,a4c2
Nn1q1b1r/4kppp/b1Qp4/4pP2/3p4/8/PPP3PP/R1B2RK1 w - -,c1g5
1R6/2r2pk1/2p3p1/r1Pb3p/4N3/5PP1/1P3K1P/4R3 w - -,e4d6
r2q1rk1/2n2pp1/1p1p3p/pNnPpPbQ/2P5/1P5P/1BB2PP1/R3R1K1 w - -,b5c7
rnq1k1nr/ppp1ppbp/3p2p1/8/2PP2b1/5NPP/PP2PPB1/RNBQK2R b KQkq -,g4d7
r3rnk1/1b3p2/1pp3p1/p2pP3/3P1qn1/1P1B1N2/P1Q1NPP1/2R1R1K1 b - -,f4h6
1qrr2k1/1p2bppp/p4nn1/3P4/2P1p3/1P2B2P/PQ2B1PN/2RR2K1 b - -,g6h4
8/6k1/5p1p/3Br3/5RKP/8/8/8 w - -,f4f5
2rq1rk1/5ppp/p3p3/1p2R3/1b1P4/P1nQ1P2/1PB2P1P/2R3K1 b - -,d8h4
2r1kb1r/pp1qpppp/2np1n2/2p5/3PP3/5N2/PPP1QPPP/RNBR2K1 b k d3,c5d4
r4rk1/pbbn1ppp/1p3n2/1P6/1N6/P1N5/1B2BPPP/3RK2R w K -,c3d5
3r3r/1ppkq1b1/pn2pp2/3pP1p1/1n1P4/1PN1BPN1/P1PQ2P1/2KR3R b - -,b4c6
1k4r1/1p3q2/p1pp4/P2Pb3/2B2p2/2P2P2/1PKBR3/5R2 b - -,c6d5
2r4k/4N1pp/4b3/1p2p3/8/BPnp2P1/P2R1PP1/6K1 b - -,c8d8
r1bq1rk1/pp2bppp/2pp1n2/2n5/3NPB2/2N3Q1/PPP1BPPP/R3K2R w KQ -,f4h6
1R2b3/1P2k1pp/8/3Bp3/1r6/7P/6PK/8 b - -,e8d7
rnbqk1nr/5pbp/p1ppp1p1/1p6/3PP3/1BN2Q2/PPP1NPPP/R1B1K2R w KQkq -,h2h4
r6r/2Nkbp1p/p2p2pB/4n3/Pp6/1N6/1Pb3PP/R4RK1 w - -,c7a8
5rk1/4ppbp/3p1np1/1p6/1qbBPP2/2N3P1/P2Q2BP/3R2K1 w - -,e4e5
r2q1rk1/4b1pp/2p1p1n1/p1PpPp1b/1P6/2P2NBP/P2N1PP1/R2Q1RK1 w - -,d1c2
2r5/2q5/4Q3/1kB1P1P1/6p1/8/2P4R/2K5 b - -,c7c5
3q1rk1/1brnbppp/pp2p3/n3N3/2PP1P2/N2Q4/PB2B1PP/2R2RK1 w - -,a3b1
b2rrbk1/7p/6p1/N1p1np2/2P1p2P/4n1P1/1P1NKPB1/1R1R4 w - -,f2e3
3q2rk/p6p/p2p3Q/3Pp3/4r1bN/5pN1/PP3P2/R5K1 w - -,g3e4
rn5r/p2kR2p/1p4p1/6B1/2pP1Q2/2P5/P1P3q1/1R1K4 b - -,d7c6
r4r1k/ppp3b1/6pp/1N2pb2/3qn3/1P1P2P1/PB1Q1R1P/R5K1 w - -,b5d4
2b5/8/p4p2/1p2k3/n1p1P3/P1P1KBP1/1P5p/3N4 b - -,c8g4
r2r2k1/pp1q1pbp/2nppnp1/8/2P1PN2/2N1BP2/PP4PP/R2Q1RK1 b - -,a7a6
7R/8/p7/4p3/8/2k2P2/3p1KPP/r7 w - -,h8c8
2q3k1/1b2r1p1/1Q2np1p/P2p4/2p1n3/4PN1P/2B2PP1/BR4K1 w - -,f3d4
8/1p6/2b3k1/p2pR1p1/3P3p/5K2/PP6/8 w - -,e5e6
r1bq1rk1/pp3pp1/5n1p/8/2pB4/2P5/PP1N1PPP/R2Q1RK1 b - -,c8e6
r1b2rk1/pp1nqppp/2pb4/3np3/2NP4/5NP1/PPQ1PPBP/R1B2RK1 w - -,c4d6
rnbqkb1r/ppp2ppp/3p1n2/3Pp3/4P3/2PB4/PP3PPP/RNBQK1NR w KQkq -,f2f4
r1bqkbnr/ppppp1pp/2n5/5P2/8/5N2/PPPP1PPP/RNBQKB1R b KQkq -,d7d6:d7d5
1r3rk1/p3p1bp/2n1n1p1/2p1Pp2/P1P2P2/1PB2N2/4N1PP/1R1R2K1 b - -,b8b7
r3rnk1/1b2q1bp/1B4p1/PN1p3n/1PpN4/6P1/2Q2PBP/1R1R2K1 w - -,b5c7
r4rk1/1b1nqppp/p2pp3/1pn1P3/8/1BN1BP2/PPP2QPP/R4RK1 w - -,e5d6
rnbqkbnr/ppp2ppp/3Pp3/8/8/8/PPPP1PPP/RNBQKBNR b KQkq -,c7d6:f8d6
r4r1k/ppR4p/2b3p1/5p2/2Q2P2/1B2P3/Pb4PP/6K1 w - -,b3a4
r2q1rk1/pp4p1/5p1p/3pPn2/2pP1P2/P1P2BPb/3N3P/RQ2R1K1 b - -,a8b8
4rr2/1p5k/1p4pp/1Qp1q3/N2p4/PR5P/2P2RPb/2B2K2 w - -,c1d2
2rb4/5pk1/2r3p1/3bp2p/1P5P/2R1B1P1/P2K1P2/2R2B2 w - -,c3c6
r4rk1/p1p2ppp/2p5/3n1bq1/2QP4/2B1pPP1/PP2P1BP/R4RK1 b - -,g5g6
3r2k1/1p4p1/3b1rQ1/5pB1/4b3/P2p3P/1P4P1/R3R2K b - -,f6g6
8/1k6/5p2/2p1p3/4P1K1/1P3PP1/8/8 w - -,g4f5
r2q1rk1/p4p1p/1p1P2p1/nQpPn3/4PB2/P1P3N1/6PP/R4RK1 b - -,d8d6
r1q2rk1/pb1nbppp/1p1p1n2/2pP4/4P3/2N2NP1/PP1B1PBP/R2QR1K1 w - -,d2f4
2r5/1b1p4/p2Pk1p1/1pp1p2p/8/1P2N3/P4PPP/3R1K2 b - -,c8c6
1r5k/8/p5pp/3Pb3/7q/P7/1r4BP/4RQBK b - -,e5g7
4r1k1/1pn1rppp/p1pn2q1/2Np4/PP1P4/2N1PQP1/5PP1/R2R2K1 b - -,h7h6
r5k1/1b4b1/ppN2qp1/2nP1pn1/P1p4p/2N2B1P/1P1Q1BP1/4R1K1 w - -,c6e7
3n1b2/5p2/p1k1p1p1/2p1P3/1pP1KPp1/1P1NB2P/P7/8 w - -,h3g4
1k1r3r/4q3/ppp2pp1/4n2p/B2bPB1P/5P2/PPQ3P1/1K1R3R w - -,a4c6
r1bqk2r/pp2ppbp/2np1np1/2p5/4P3/2P2NP1/PP1P1PBP/RNBQR1K1 b kq -,e8g8
3r2k1/p3q1p1/2rp2np/2n2p2/2P1p2P/B3P1P1/P1QRBP2/3R2K1 b - -,g6e5
r1b1k2r/p1p1q1bp/2p3p1/3pPn2/4N3/2B5/PPP1Q1PP/R3KB1R w KQkq d6,e4f6
4B3/8/3Pk1p1/p3P3/P2n1K1P/2N5/2b5/8 w - -,d6d7
1r1q2k1/6bp/1pQ3p1/p1p1pb2/2N5/P1NP2P1/1P2P2P/5RK1 b - -,d8d4
1rq2rk1/R2bb1p1/3p3p/1p1Ppp2/1P6/3QB3/2PN1PPP/5RK1 w - f6,f2f3
r2qkb1r/1p1b1p2/1nn1p1p1/3pP2p/p2P1P2/P2B1N2/1PQ1N1PP/R1B2R1K b kq -,h8g8
1k5r/1p1r1pp1/p1q1p2p/2bp3P/6P1/3RB3/PPP1QP2/2KR4 w - -,d3c3
8/5pk1/6p1/4Q3/6P1/P4K2/2pq4/8 b - -,g7h7
rnbq1rk1/ppbn2pp/2p5/3pP3/1P3P2/P1N3P1/4N1BP/R1BQ1RK1 b - -,d8e7
r1bq1rk1/ppp3bp/2np3n/4p1p1/2P1P3/2N2NB1/PP2BPPP/R2Q1RK1 w - -,h2h3:c3d5
r3rbk1/pp1n3p/4q1p1/1Bpb1p2/3P1B2/2P4Q/PP2NPP1/R3K2R b KQ -,e8e7
6r1/p5qk/1p1np2p/1Pp2P2/P1PbN3/5P1P/1B2Q1rK/6R1 w - -,g1g2
3q1rk1/r2b1ppp/p1nQpb2/1p6/4P3/1NN5/PPP1BPPP/1K1R3R w - -,d6g3
5b1k/rpr4p/3p2p1/nB2p3/P1N4P/2P2PP1/1R4K1/3R4 w - -,c4d6
8/3r4/pB2kp2/Pp1bp3/1Pp3Pp/4K1nP/1PR5/5B2 w - -,f1e2
8/1pp3pk/2n2p1p/1p6/4R1P1/PP3N1P/1r3P2/6K1 b - -,b2b3
2rqr1k1/1p2bpp1/pn2pn1p/3pN3/3P1B2/2P2Q1P/PP1N1PP1/R3R1K1 w - -,a1c1
r1bqr1k1/pp3pp1/2n1p2p/2bn4/8/2P2NP1/PP2QPBP/RNB2RK1 w - -,f1d1
8/1p4k1/2q3p1/p1p2r2/P4PQ1/1P1pP1Pp/7P/5RK1 w - -,g4h3
1q6/5nkp/3p1pp1/3Pp3/1BQ1P3/7P/5PP1/6K1 w - -,g2g3
2r1r2k/1bqn3p/1n1b1ppN/p2Pp3/1pp1P3/4B1NP/PP1QBPP1/2R2RK1 b - -,e8f8
rn1qk2r/pbp1bppp/1p2p3/3pP3/3P4/P1NB1N2/1PPQ1PPP/R3K2R w KQkq -,c3e2
8/1b4k1/5p2/2B1pBpp/8/5P1P/6P1/5K2 b - -,g7f7
3R3b/p7/np2Nk2/4q2B/2P1b3/7Q/PP5P/6K1 w - -,h3h4
4r1k1/3Q1pp1/7p/p1p1q3/1pP3P1/1P3P2/P5P1/3R2K1 w - -,d7d3
r1bq1rk1/pppnbppp/5n2/3p4/3P1B2/2N1PN2/PP3PPP/R2QKB1R w KQ -,f1d3:f1e2
2kr1b1r/p4ppp/1p2p3/2n1Pb2/5P2/1BN1B2P/PP2K1P1/R6R b - -,f5d3
3rr3/6bk/1p1n2pp/pP1n1p2/P2ppB1P/1q1P2PB/1P2QP1N/1R2R1K1 w - -,f4d6
r1b2rk1/ppqnppbp/3p1np1/2pP2B1/2P1P3/2N2N1P/PP2BPP1/R2QK2R b KQ -,a7a6
8/4kp1p/4p3/N7/Bp4n1/2bK4/7P/8 w - -,a5c6
2rq1rk1/pb2bpp1/1p2pn1p/4N3/1n1P3B/2N5/PP1Q1PPP/R2R1BK1 w - -,a1c1
Q3r1k1/3nbppp/3p4/1p1Pp3/1P2P3/4B2P/3N1PP1/2R3K1 b - -,e8a8
3r1k2/3Pn1p1/p3B2p/1pB2P2/1P4P1/3Q4/P5K1/2q5 w - -,g2h2
2r1k2r/pppn1pp1/4p1q1/6P1/1bBPPn2/2N1N3/PPPQ4/2K2R1R b k -,h8h1
3R4/5p1k/1pB3p1/7p/2P1p3/4q1P1/P4RKP/8 b - -,f7f5
r3nr2/p1ppn1k1/1p2p3/q2P2P1/b1P1B3/2P2P2/P5QP/1RB2RK1 w - -,c1a3
8/5p1k/6p1/1p2p3/4Qn2/2P1R2p/1P3K2/3q4 w - -,e4f3
8/1n2kp1p/6p1/3R4/1p6/1Pb2N2/4KPPP/8 w - -,f3d4
6k1/5rpp/1pN1Q3/p2P1P2/P1P4K/q6P/8/8 b - -,a3c5:h7h6
2r2r2/3q2bk/1p2b1pp/p1pn4/3pN3/PP1P2PP/4QPBK/1RR1B3 b - -,c8a8:c8e8
3r4/1b2p2p/3p1kp1/8/nP6/5P2/P1R3PP/2R3K1 w - -,c2c7
r2q1rk1/pppb1pbp/3p2p1/3Pn3/4PBP1/2N4P/PP2QPB1/2KR3R w - -,f4e3
1r6/kp1b3Q/p3q3/8/2pP4/6P1/P1n2PBP/1R4K1 b - -,c2d4
6k1/2p2pp1/1n3rrp/1p1n4/1P2q3/3QPP2/2RBBP1P/6RK b - -,g6g1
1r6/r1bb4/3p3k/pPpPp2p/2P5/R2B1pP1/3N2K1/1R6 w - -,d2f3
8/8/6k1/1R6/P1N4p/1P3rbP/8/6K1 w - -,a4a5
r5k1/6b1/2p3p1/2B1n2p/8/6P1/PPK1B2P/5R2 w - h6,c5d4
r3kb1r/pp2pp1p/4Bnp1/4N3/3n4/2N5/PPP2PPP/R1B1K2R b KQkq -,d4e6
r2qkb1r/pb1n1ppp/4pn2/2pp4/Pp1P4/2P3P1/1P1NPPBP/RNBQR1K1 b kq -,c5d4
5r1k/6p1/2Rp4/p1b2P1p/2R1p3/6PP/P4P2/6K1 w - h6,g3g4
r4rk1/1ppq2b1/p1np3p/4p1pP/2P1Ppb1/PnBP1N2/1P1N1PP1/R2QK2R w KQ -,d1b3
2R5/2P5/5pp1/2r2k1p/6PP/5P1K/8/8 b - -,h5g4
8/1p3pk1/pq4r1/2p1P1Q1/3nB3/1b4P1/7P/2B2R1K w - -,g5e7
r1bqk1nr/pppp1ppp/2n5/4p3/1bB1P3/5N2/P1PP1PPP/RNBQK2R w KQkq -,c2c3
2r3k1/5pbp/Q3b1p1/2p1n2n/1qp5/4N1P1/1P1N1PBP/2B2RK1 b - -,c8d8
5r1r/2qk4/p1Np2p1/1p1Ppp1n/2n1B3/7Q/PPP2P2/2K3RR b - -,d7c8
r4rk1/2pn3p/4q1pP/1P2p1P1/pQ1pN3/3P4/2P2P2/KR3R2 b - -,f8f5
r1r3k1/3q1pbp/pp2p1p1/3p4/1P1n4/3P1PPB/PB1Q1PKP/2R2R2 w - -,c1c8
3r1k2/pp3pp1/1bn4p/3p4/8/1NP3P1/PP3PKP/3RN3 w - -,e1f3
3q1rk1/r2nbppp/p3p1b1/np1p4/N2P1N2/2QBPPB1/PP4PP/2R2RK1 w - b6,f4g6
4r3/4q2k/pp1r2pP/3Bp1Rb/2P2p1P/1P6/P5QK/4R3 b - -,e7f6
2R2rnk/4p1qp/3pQ1p1/1p1B2P1/5P2/6K1/PP5P/8 b - -,b5b4
r4rk1/2bq2pp/ppb5/n2pPp2/P1pP1P2/2P1BN2/1P2NQ1P/R4RK1 w - -,g1h1
2b1r3/2p1r2p/pp3kp1/3Pn1N1/1P2R1P1/P4P2/B5P1/4R1K1 w - -,g5e6
r1bqk2r/1pp2ppp/3p1n2/p1nPp3/2P1P3/6P1/PP1NNPBP/R2QK2R w KQkq -,e1g1
6k1/p4q2/1p3rp1/7p/3Q4/1P4P1/P4PP1/2R3K1 b - -,f7e6
r2qkb1r/1b3ppp/4pn2/1ppp4/3P4/2P2NP1/1P2PPBP/RN1Q1RK1 w kq -,a1a8
8/R6p/6pk/p1r5/2B5/6P1/6K1/8 w - -,c4e6
8/8/5k2/2R2b2/4rpp1/8/3B1K2/8 w - -,c5b5
2r1r1k1/pp2qppp/8/3pP3/3NbP2/4Q3/PP4PP/R2R2K1 w - -,a2a3
8/8/R4npk/1p6/5r2/P3N1K1/8/8 b - -,h6g5
8/8/8/4kn2/1R6/8/2K5/8 w - -,c2d3
1r1r2k1/2q1bpp1/pn2bn1p/N2pp3/4P3/2N1BB2/1PPQ1PPP/R2R2K1 w - -,e3b6
r2qk2r/p1pp1ppp/bp2pn2/n7/2PPP3/P1PB4/5PPP/R1BQK1NR w KQkq -,c1g5
2rqr1k1/p4p1p/1pn1pbp1/3b4/1P1P2N1/P2Q4/5PPP/BB1RR1K1 b - -,f6g7
8/8/P3R3/5pk1/4p3/r7/4KP2/8 b - -,g5f4
6k1/3b1n2/rp1b2pp/p1pP4/P1P1pB1P/5NP1/5P2/1R3K1R w - -,f3d2
rn1qkbnr/pb1p1ppp/1p2p3/8/3NP3/1P1B4/P1P2PPP/RNBQK2R b KQkq -,f8c5
r1b2rk1/ppqn1ppp/2pbpn2/3pN3/3P1P2/1P1BP3/PBPN2PP/R2QK2R b KQ f3,d6e5
1q6/7Q/p2p1kp1/1ppPp3/4P3/1PP3PP/P7/6K1 w - -,h3h4
r3r1k1/3q2bp/b2p2p1/2pPn2n/4p3/N1N1B1PP/1P3PB1/R2Q1RK1 w - -,c3e4
