8/3R3R/6p1/pp6/2p3kP/1B6/P4PPK/4q3 w - -,b3d1
3r1rk1/pp5n/1b1p1p1p/2pP2pN/4P3/1PP3PP/1P5N/R3R1K1 b - -,c5c4
8/4R3/6p1/5p1k/4p3/6PP/r7/6K1 b - -,h5h6
5rk1/p1b1np1p/R3p1p1/PPq5/4B3/7P/5PP1/2R1Q1K1 b - -,c5b5
8/3B4/8/2b3k1/5pp1/7p/8/2B3K1 w - -,g1h2
r1b2rk1/pp2qppp/1n2p3/3N4/3N4/1B2P3/PP3PPP/2RQ1RK1 b - -,b6d5
rnb2rk1/ppp1p1b1/3pN1pp/1q1P1p2/3P4/6P1/PP2PPBP/R1BQ1RK1 b - -,c8e6
r1b2rk1/pp1nb1pp/2pp2q1/4pp2/1PP3n1/2NPPB2/PB1N1PPP/R2Q1RK1 w - -,h2h3
r3k2r/p1pp2bp/b1p2Pp1/3n2B1/2P5/5N2/PP2BPPP/R3K2R b KQkq -,d5f6
4k3/1b4b1/pn4p1/4p3/3pP3/6rB/P2R4/3K2B1 w - -,d2b2
rnbq1rk1/pp2ppbp/1n4p1/2P5/5B2/2N2N2/PP2PPPP/2RQKB1R b K -,g7c3
2rqkb1r/1p1b1pp1/p2ppn1p/4n3/3NP3/2N1B3/PPPQBPPP/R4R1K w k -,f2f4
6k1/8/p3p1p1/1p1p2P1/8/PPN5/2K1Rr2/8 b - -,f2e2
4r1k1/pp2bppp/1qp5/8/1P2PBn1/P1Nr2P1/2Q2P1P/R1R3K1 w - -,c2e2
r1nr1bk1/2qn1pp1/p2pp2p/2p4P/1P2NQ2/B4NP1/P3PPK1/2RR4 w - -,b4c5
2r1b1k1/1p2qp1p/p1n2Np1/4P3/1P5P/P3QN2/5PP1/3rR1K1 b - -,g8g7
r2q1rk1/p3n1pp/1p1p1p2/2pPn3/2P1P2N/2Q3Pb/PP1B1R1P/R4BK1 b - -,h3d7
8/1p3b2/1np2p2/p1k1pPp1/P3P1Pp/1PK4P/2P1B3/3N4 b - -,b6c8
r3r1k1/pbbq1ppp/2N1p3/1P4P1/P2p3P/1Q1P2P1/4P1K1/R3BR2 w - -,b3c4
r2qk2r/3nbppp/p1b1pn2/2p3N1/NpP2P2/3BB3/PPQ3PP/R4RK1 w kq -,a1d1
r2qr1k1/pp3pp1/2p3Pp/8/3P1QP1/1BPn2N1/PP1K2P1/R6R b - -,d3f4
r1b1k2r/pp2bppp/2p4q/8/2BpN3/3Q4/PPP3PP/R4RK1 w kq -,c4f7
r1bq1rk1/pp4bp/2n2ppn/2pp4/5P2/3P1NP1/PPP3BP/RNBQ1RK1 w - -,c2c3
r2qr1k1/pp1nppbp/2p2np1/3p4/2P3b1/1P1P1NP1/PBQNPPBP/R4RK1 b - -,e7e5
r1b2rk1/1pq1bpp1/p2p1n1p/4p3/4P3/1PN2Q1P/PBP2PP1/R3RBK1 b - -,c8e6
5rk1/1p1qnr2/p2p1n1p/P1pP2p1/2P5/3Q2N1/1P1B2PP/4RRK1 w - -,e1e6
r2q1rk1/pp3p2/2n3pR/3np3/3P2b1/2N2N2/PP2BPP1/R2QK3 w Q e6,f3e5
4nRk1/1p1r3p/p2p2p1/2p1P3/2P5/2NR4/PPP3PP/6K1 b - -,g8f8
r3brk1/2q1bppp/4pn2/pp1NN1B1/3P4/4P3/P1Q2PPP/1RR3K1 b - -,c7d8
6k1/6bp/3n2pB/2R1p3/3pP1N1/1q3PPP/r7/5QK1 b - -,g7h6
2r1n3/p3k3/4p1p1/4P3/Ppp3P1/1n2P3/1PR2P1P/3R2K1 w - -,g1f1
4r1k1/3bn1bp/1q4p1/R2ppp2/1P2P3/3B1N1P/3BQPP1/6K1 w - f6,d3b5
8/8/1kp5/3b1p1R/r6P/4P1P1/1K3P2/8 b - -,a4a2
5qk1/3n2pp/1p6/3Pp3/3n4/2P1QRP1/PP5P/3R2K1 b - -,f8f3
3q1k1r/p3b3/2b1p1pp/3pP3/n1pP1PPn/2P1N1BB/P2Q3N/1R4K1 b - -,d8a5
1rb2rk1/p1q1n1bp/3pp1p1/1pp2p2/4PP2/2PPB1P1/PP2QNBP/R4RK1 w - -,a1d1
6k1/5ppp/3b4/3B1bP1/7P/PN6/1Pn5/K7 w - -,a1a2
4B3/8/8/4k1p1/2b2p1p/7P/5KP1/8 w - -,e8h5
r1b1k2r/1p1nbp2/p2ppp2/7p/1q2PP2/PNN2R2/2PQB1PP/3R2K1 b kq -,b4b6
3r2k1/p4pp1/7p/2rPN3/4P3/q1pQ4/P1R2PPP/3R2K1 b - -,d8d6
rnbq1rk1/1p2ppbp/p1pp1np1/8/P1PPP3/2N1BP2/1P2N1PP/R2QKB1R b KQ a3,b8d7:a6a5
8/8/K7/1Pk3p1/2n5/4P1p1/8/7B b - -,c4b6
3b4/3b1k2/6p1/1p1pB2p/1P3KP1/5N1P/2P5/8 b - -,d8e7
3rkb1r/pp2pp1p/1q3np1/1NpPn3/2P2B2/1P3B1P/P4PP1/R2Q1RK1 b k -,e5f3
r2r2k1/pp1bppbp/qn4p1/3P4/2p1P3/2P1B3/P1B1NPPP/R2RQ1K1 b - -,d7a4
r1b1q1kr/ppp3p1/3b3p/4n3/3pQP2/8/PPP3PP/RNB1R1K1 b - -,c8f5
r4rk1/1q1bppbp/p2p1np1/8/p2BP3/4QP2/NPP1B1PP/R4RK1 w - -,d4c3
r4rk1/ppp3bp/3p1q1n/3Ppb1P/2P3p1/2N3B1/PP2BPP1/R2QK2R b KQ -,a8e8
r5k1/7p/5np1/2BR1p2/p2P4/P7/5P2/6K1 w - -,d5e5
rn1q1rk1/p3bppp/4pn2/2p5/PpNPb3/5NP1/1P2PPBP/R1BQ1RK1 w - c6,d4c5
2r5/p1r2k1p/1P2p3/4bp2/8/3R3P/P1P1KBP1/1R6 b - -,c7c2
5k2/5Bpp/p2N4/n3Pb2/Pq6/7P/3p1PP1/2rQ1RK1 w - -,d1f3
8/5p2/4pk1p/1R6/5PK1/4P2P/r4P2/8 w - -,g4g3
4B3/1n6/3B4/8/1p6/k7/2K5/8 w - -,d6e7
r2r3k/1B2qnbp/p5p1/1p2p3/4N1P1/2P4P/PP3N2/R2Q1RK1 b - -,d8d1
q4r2/rppb2bk/3pn1pp/1P3p2/1NP1p3/1N1P2P1/3QPPBP/R4RK1 w - -,a1a7
5r2/1p3pk1/1P3bp1/2RP1p1p/7P/1QpqP1P1/5P2/1R4K1 b - h3,f5f4
2r2rk1/1q3pbp/2bppnp1/p1p5/2P1PP2/1PN2B1P/P1QN2P1/4RR1K b - -,f8d8
3r1rk1/pp2nppp/1qnNb3/4p3/8/1NP3P1/PP2QPBP/R2R2K1 b - -,e6b3
2r2nk1/1b2r3/p2q2p1/2R1p3/N5R1/1P1BQ2P/P5P1/7K b - -,e5e4
5k1r/q4pp1/p1b2b2/1p3P2/2r2B2/P1P3Q1/1P2RRNP/6K1 b - -,h8h5
8/8/1p4k1/2pP1p1R/2P3pP/1p3r2/1P2K3/8 w - -,h5g5
r2q1rk1/p3bppp/b1p1p1n1/2ppP3/5P2/1PNP1NP1/P1P1Q1KP/R1B2R2 w - -,c3a4
2r1k2r/1p3ppp/p1nqpnb1/3p4/3P4/P1NBPN2/1P3PPP/2RQ1RK1 w k -,d3g6
1rq2rk1/pp1bbppp/2n2n2/2p1p3/2PpP3/1P1P1NPP/PBQ2PBK/R3RN2 b - -,e7d6
n7/3b4/1p1p4/1PpPp3/N1P1P2k/5B2/5K2/8 w - -,a4b2
3r4/1b1rkpp1/2pp4/p5p1/P1B1P1P1/3R3P/1PP2P2/3R2K1 w - -,d3f3
8/1p2bpk1/2p2p1p/p4K1P/P4PP1/2PB4/1P6/8 w - -,f5e4
r1b1r1k1/pp3pbp/2p3p1/3n2q1/3N4/BP2PB2/P2Q1PPP/2RR2K1 b - -,c8g4
r1b2rk1/p1p3pp/2pb4/3pN3/5P2/3P4/PPP1K1PP/R1B4R b - f3,c6c5
1rbq1r2/2p3bk/p5np/5pp1/3p4/2P2PB1/PPBN2PP/1R1Q1RK1 w - -,c3d4
4q2k/Q2n2p1/p1p1r2p/4P3/2pB2R1/5r1P/P5P1/7K w - -,g2f3
2q1r3/4r1kp/2np1pp1/p1p5/2PpPPBP/PP1Q2P1/3N3R/4R1K1 b - -,c8g4
8/5p2/p2rkp2/8/2P1K1P1/R7/P7/8 b - -,d6c6
8/4ppkp/2Bn1bp1/p1QP4/8/6P1/1q3P1P/2R3K1 w - -,c1c2
8/7k/p1rr4/P5QP/8/6pK/6P1/8 b - -,c6c3
8/7r/8/3Bk2p/4PNp1/4K1P1/8/8 b - -,e5f6
6k1/7p/3p1qp1/2pPp3/4P3/1P6/r1P3PP/5RK1 w - -,f1f6
8/8/5b2/4p2p/8/5KPN/7k/8 w - -,h3f2
k1r4r/pp2b3/2b1pq1p/3p2pP/P1nP4/1NPBB1P1/4QP2/R4RK1 w - -,b3d2
8/1n6/p1k5/Pp1pB3/1P4B1/2P5/1KPb4/8 b - -,b7d8
r5k1/pp4b1/5pnp/2B3p1/P7/2P1RP1P/1P3PK1/3rRB2 b - -,d1d2
3qnr2/pp2r1kp/2n1p1p1/3p1PQ1/7N/P2B4/1PP3PP/4RR1K b - -,e6f5
2r2rk1/pp2ppbp/6p1/n1P5/b1pN4/2P3P1/P2RPPBP/1RB3K1 w - -,g2b7
3rr3/1p4kp/1np3p1/p2n1p2/P1P1N3/1R3P1P/1P4P1/4RB1K b - c3,d5b4
1r3rk1/pp1n1pp1/2pbp1p1/Nn2P3/1PRP4/P5P1/1B3PBP/4R1K1 b - -,d6e7
2r3k1/1n3p1p/p2ppBp1/8/Pp2P2P/1P3PQ1/3r2P1/2q3RK b - h3,d2d1
6k1/6pp/2p1R3/1p6/5pPr/8/1PR2PK1/r7 w - -,g2f3
8/6k1/5p2/7p/1P1QK3/6P1/8/5q2 b - -,f1f2
5r1k/Q4R1p/5npq/3p4/8/7P/5PP1/5BK1 b - -,f8f7
8/2k1K2p/p1p5/1p2P3/1P6/P2R3P/2P5/5r2 w - -,e5e6
6k1/7p/1pR3p1/3P1p2/PqP5/3K1P2/6PP/8 b - -,g8f8
8/8/4p3/2k1P2p/2P4P/4Kp2/8/8 b - -,c5c4
r3kb1r/2q2pp1/p3p2p/3pP3/bp1BnPP1/1P2Q3/P1P1N2P/1K1R1B1R b kq -,a8c8
8/1p5p/2p2kp1/2P2p2/PK3P2/1B2PbP1/1r6/4R3 w - -,b4c3
3r4/qQ3pbk/P5b1/7p/8/2P1R2P/5PP1/R5K1 b - -,d8d7
3r4/1p6/1ppk3p/3p1Rp1/1P6/P4P2/6KP/8 b - -,c6c5
r6r/1p2kppp/p2pbn2/8/3RP3/2N5/PPP1B1PP/2KR4 b - -,h8d8
rn3rk1/3ppp1p/b5p1/2pP4/4B3/1q3N2/1B1Q1PPP/R5K1 b - -,d7d6
r3r1k1/1p1n1pbp/2p3p1/p2p4/1q1P4/3BPNP1/PP2RPP1/2RQ2K1 w - a6,a2a3
r1br2k1/5p2/pn1B1n1p/2pP2p1/8/2N2N2/BP3PPP/R4RK1 b - -,d8d6
6k1/2n5/pr1p3p/2pP2p1/2BbP3/RP4P1/6KP/3N4 b - -,g8g7
8/3k1p2/2p2rp1/1p1p3p/rP1P3P/1K2P1P1/R1R2P2/8 b - -,a4a2
2br4/2p3pp/ppkb1p2/2p5/4PN2/P4PB1/1PP3PP/2KR4 b - -,d8e8
8/5k2/1R6/1pr2pK1/5P1P/8/8/8 b - -,f7g7
8/2k5/B1Pp4/1P2n3/2P1Ppp1/8/6K1/8 w - -,g2f2
r1bq1rk1/ppp1pp2/3p2pB/n2P4/1P2N3/5N2/P1P1BPPP/b2Q1RK1 b - -,a1g7
3r4/p3ppk1/4b1p1/1p1qP3/r2p3N/2P2R1P/P2Q1RP1/7K b - -,d5e5
8/1Q6/1K6/3k4/4n3/2r1p3/8/8 b - -,d5d4
3r4/1p2bp1k/p1p2qpn/P1P5/2R4p/4Q2P/2BrN1P1/2R3K1 b - -,f6g5
5q1k/4n3/2p1Q2p/6p1/8/4p1PP/6B1/7K w - -,e6e3
3q1bk1/1p4pp/2p1p3/p1p1P3/P1P3Q1/1P1nRNNP/5PPK/3r4 b - -,d3f2
8/1n6/1P3p2/3kpN1p/1K3P2/6P1/7P/8 b - -,e5f4
r3kb1r/p1pbqppp/2p5/Q5n1/8/3p4/PPP2PPP/RN2R1K1 w kq -,e1e7
8/7p/8/1pbpkp2/p7/2PK3P/P5N1/8 w - -,g2h4
r2q1rk1/pp2bpp1/1n5p/3pPQ2/8/1P2PN2/PB3PPP/2RR2K1 w - -,e3e4
2kr2r1/pp3p1p/3qp3/8/3p1P2/2PB2PQ/PP5P/R4R1K w - -,c3c4
rn3rk1/pb1q1pbp/1p2pnp1/2pp4/2P2P1N/1P1P2P1/PB2P1BP/RN1Q1RK1 w - -,b1a3
r1b2rk1/ppp2ppp/2nq4/4p3/3N4/3P2P1/PPP1QPBP/R1B2RK1 b - -,c6d4
2R5/5k2/3p4/2pP1p2/2Pb4/1P2q2P/6P1/4QK2 b - -,e3g1
r3r1k1/pp1n1pp1/4pb1p/2q1B3/8/2P2N2/PP2QPPP/R3R1K1 w - -,a1d1
3r4/1p2bkp1/pNp5/2P5/1P1nR1B1/6P1/P6P/6K1 b - -,a6a5
3rr1k1/1b1n1pb1/1q1ppnpp/1p6/3NPP2/1P3Q2/PB1N2PP/1B1R1R1K b - -,e6e5
r1b1qr2/2p1np1k/p2p1Q1p/P2P2p1/2P1P3/3N2P1/N5BP/3R2K1 b - -,e7g8
8/7p/4K3/3nNP2/1p1k4/1P5P/8/8 b - -,d5c7
5r1k/rpp1n1p1/p2p1q1p/4p3/4P1P1/1BP2N1P/PP2QPK1/R7 w - -,e2e3
3r4/1pq1r1pk/2pNppbp/1PPn4/3P4/1Q4P1/1R3PBP/4R1K1 w - -,b2e2
2r5/6kp/1R3ppb/2P1p1n1/4P3/1NQ2PP1/6KP/8 w - -,b6b7
r2r2k1/p4ppp/1p2p3/4P1b1/1P1n2Q1/3q1P2/1P3P1P/R3RN1K w - -,g4g5
r4rk1/1bqn1pp1/1p1p1n1p/p1pPpN2/P1N1P3/2P3P1/1P2QP1P/RB3RK1 b - -,b7a6
r2r2k1/pp2bpp1/2p1p2p/q3P2P/8/8/PPP1QPP1/1KBR3R w - -,g2g4
r2qrnk1/pb2bppp/1pp1pn2/3pN3/2PP1P2/1P1BP3/PB1N2PP/2RQ1RK1 b - -,a8c8
8/1Pb5/2k3p1/8/5p1p/5P1K/3N1P1P/8 w - -,h3h4
r3k2r/pp1b1p2/3p4/2pPq1pP/2P5/2PBP1nP/P1QN1KP1/R5R1 b kq -,g5g4
4r3/p1p2pk1/b1pp4/7p/2Pn1PpP/1P1B2P1/P2N4/2K3R1 w - -,g1d1
r3k2r/2p2qn1/pp1b1ppp/3Pp3/2P1Q1P1/5N2/PP3P2/R1B2K1R w kq -,c1h6
r4q2/p2Pr1pk/1p5p/2p5/2P1p3/R3BnP1/PPQ3KP/3R4 w - -,e3f4
r1b1k2r/ppp3pp/2n1pq2/3p4/3P4/2P2N2/PP3PPP/R2QKB1R w KQkq -,f1b5
6k1/R2p3p/1r4p1/2p5/8/8/PP3P1P/6K1 w - -,b2b3
2r1k2r/1b2pp2/p2p1n2/2q3N1/1p2P2p/5P2/PPPQN3/1K1R2R1 w - -,e2f4
r1b2rk1/5ppp/2n1p3/2q5/2N5/P1QB4/1PK3PP/R6R b - -,c6d4
1r2k2r/p3b1pp/4p3/3pP3/n1pP4/Pn2B3/RP1NN1PP/3R2K1 b k -,e8d7
r1r3k1/3q1pp1/2n1b2p/1pRpPp2/1P1P4/8/3QNPPP/2R1N1K1 b - -,c6e7
r2qr1k1/1p2n1b1/p3P1pp/2pp2p1/5B1P/2P2N2/PP2QP2/2KR3R w - -,h4g5
2Qrk2r/b3qp1p/p1p5/4P3/1P1p4/P2P2PP/7K/1NB2R2 w k -,c8c6
r1b1k2r/3p1pp1/p3p3/1pq4p/4PPn1/2NB4/PPP3PP/R2Q1R1K w kq -,d1e2
r1b2rk1/pp2ppbp/2np1np1/7q/4P3/2NBBN1P/PPP1QPP1/R2R2K1 b - -,c8e6
3r1rk1/p1p3pp/b1B1pn2/2b5/2P2p2/1P4P1/PB1N3P/2KR3R w - -,g3f4
2kr1nr1/pp1qb1n1/2p1b3/3pBpp1/N2P4/3B4/PPPQN1PP/1K2RR2 w - -,d2a5
4r1k1/1p1q1pb1/2p3p1/3n3p/P2P3P/BB3QP1/5P2/4R1K1 w - -,e1e8
rn2kb1r/1pq2ppp/p2p1n2/4pP2/2b1P3/1NN1B3/PPP3PP/R2QKB1R w KQkq -,f1c4:g2g4
5k2/1p3p1p/2p3p1/2Prn3/1P6/5P2/2N3PP/3RK3 b - -,e5d3
8/5p2/2N5/2K2k2/1PB2b2/7R/8/2r5 w - -,b4b5
8/8/4b3/4k3/7K/1r6/1p2Q3/8 b - -,e5d6
r1bqk2r/ppp1n1bp/2Np2p1/5p2/2P1P2P/2N1B3/PP3PP1/R2QKB1R b KQkq -,b7c6
r1bqrbk1/pppn1p1p/3pp1p1/7Q/2PP4/P1NBP3/1P3PPP/R1B1K2R w KQ -,h5e2
rnbqkb1r/ppp2p1p/3p1np1/4p3/2PP4/2N2NP1/PP2PP1P/R1BQKB1R b KQkq d3,b8d7
5rk1/p1p5/2ppQ3/1b4p1/3q4/7P/PPP5/7K b - -,f8f7
r3kbnr/pp1n1ppp/4p3/q2pPb2/2pP4/P1N1BN2/1QP1BPPP/R4RK1 w kq -,f3h4
8/1R3p2/3pk1p1/2p5/3nP1p1/4KP1P/8/8 w - -,f3g4
3r4/4k1K1/4P3/p2p4/2pP1N2/RnP5/1P6/8 b - -,d8d6
3rr3/pp2ppkp/2n2np1/3q4/2P2Qb1/BN1B4/P1P2PPP/R3R1K1 b - -,d5h5
r1b1kb1r/ppqp2pp/2n1p3/3nP3/5p2/N1P2NQ1/PP3PPP/R1B1KB1R w KQkq -,c1f4
2rr2k1/1p2npp1/qn2p2p/p2pP3/P4P2/1PPQ1RP1/2NN3P/R6K b - -,a6d3
Q7/8/8/4p1pp/8/4K2k/8/8 w - -,a8h1
8/1pB5/p1n5/P3k1p1/2P1b2p/2P4P/4BK2/8 b - -,e5e6
r1b1k2r/pp3ppp/2pbpn2/q7/3P4/3B1N1P/PPP2PP1/R1BQ1RK1 w kq -,c1g5
r2q1rk1/1pp2ppp/1nn5/p3p1b1/8/1BPP1QNP/PP3PP1/R1B1R1K1 w - a6,a2a3
7r/2p1qpk1/Q2b1n1p/2NPp1p1/4P2n/4BPR1/Pr2BP1P/2R1K3 w - -,c5d3
1r3r1k/2p1bRpp/pnp5/6p1/2P3R1/1P1P2Q1/PB4PP/6K1 b - -,f8f7
1k5r/1b3pp1/pn2p3/1p6/7r/PP1B1P2/2P1NKP1/3R3R w - -,h1h4
8/1R6/1P1Pr1p1/1k3p2/4pK2/8/5PP1/8 w - -,d6d7
8/4k3/1R6/5p2/6p1/1p4P1/5PK1/1r6 w - -,g2h2
8/7p/5p1k/8/p2pPN1P/q7/2RK2P1/8 w - -,f4d5
r1bq1rk1/pp2bppp/3ppn2/4n3/2P1P3/1PN2N1P/P1B2PP1/R1BQ1RK1 b - -,b7b6
r3r1k1/1b1nqpp1/1pp4p/p2p4/1P1P4/P1QBPN2/5PPP/1RR3K1 b - -,a5b4
r1br2k1/pp2q1bp/1n4p1/5p2/1nP1pP2/1PN1B3/P1B1N1PP/2R1QRK1 w - -,e1f2
r1b1qrk1/pp2p1bp/1np1n1p1/8/7Q/2N1BN2/PP2BPPP/R3R1K1 b - -,g7f6
1r1q1rk1/2p2pbp/2n3p1/1N6/1n1P2b1/5N2/1P2BPPP/R1BQ1RK1 w - -,b5c3
2kr3r/pp1bbppp/2n1p3/q2pP3/2pP1P2/2P5/P1PBB1PP/R2QNRK1 w - -,a2a4
1r1r2k1/pb2pp2/q4npb/4N2p/3pP3/1N1P2PP/1R3PB1/1Q1R2K1 b - -,a6d6
5B2/3k4/1p4p1/p2q1r1p/8/P5P1/1P3P2/3Q2K1 w - -,d1a4
3R4/2r1kp1p/4b3/1p1B1p2/2P5/1P1K4/6PP/8 w - -,d8b8
r1bq1r1k/1p1nbpp1/2p4n/4P3/p1Pp4/P2B1N1P/2QN1PP1/R1B1K2R w KQ -,e1g1
7r/1R6/2p5/pb1p4/2kP4/4B3/PK3P2/8 b - -,h8e8
3k4/p5pp/1np1p3/1p2P3/1P2P3/PB3P2/2K3PP/8 w - -,b3e6
rn1qkb1r/ppp2ppp/4pnb1/3p4/3P1B2/3BPN2/PPP2PPP/RN1QK2R w KQkq -,e1g1:f3e5
2q2rk1/p3nppp/1b2p3/3b4/1n3B2/1N1N2P1/PP3PBP/3QR1K1 b - -,d5g2
8/5p1k/p1qp1bpp/3Pp3/1P1pP3/3P4/3BKPPP/8 w - -,d5c6
r4rk1/1bq1bppp/ppn1p3/3n2B1/P2P4/N4N1P/1P2BPP1/R2QR1K1 w - -,g5e7
r1b1k2r/pp2bppp/2p2n2/4p3/2Pq4/2NP2P1/PP3PBP/R1BQ1RK1 w kq -,c1e3
r1n2rk1/1ppqppb1/6pp/p2P4/Pn2P2P/1QN1BN2/1P3PP1/R2R2K1 b - -,b7b6
5rk1/1p2q2p/1Qn1b3/r3pppP/p7/2PB4/P1PN1PP1/1KR4R b - -,a5c5
4Q3/1pp3k1/3p1bp1/p2P1p2/P1P2PpP/qP4P1/2K3B1/3N4 b - -,a3a2
7k/1pp2rRp/p2pN2Q/4pq2/1n5P/8/PPP2P2/3K4 b - -,f5c2
r1bqk2r/pp1nbppp/2pp1n2/4p3/2P1P3/2N2NP1/PP1P1PBP/R1BQ1RK1 b kq e3,c6c5
2r2rk1/4qppp/2b1p3/1pQ1B3/3p2n1/P5P1/1P2PPBP/2RR2K1 b - -,e7c5
rn1qkbnr/pp2pppp/2p5/3p1b2/3P1B2/2P2N2/PP2PPPP/RN1QKB1R b KQkq -,b8d7:e7e6
4k3/4b3/p1n1qpp1/1p2p3/3pP3/PQ1P1PP1/1P1B3K/2N5 b - -,e6b3
8/8/8/6kp/8/1R4KP/r5N1/8 b - -,a2a5
8/p5b1/4k3/1Pp2r1p/3p1P2/P2R2P1/6KP/2R5 w - -,d3d2
2rq2k1/5pb1/pp1p2pp/3Q4/P1n2N2/2P2NP1/1P3PKP/4R3 w - -,e1e2
r1b1k2r/1pp2ppp/p2b3q/3N4/1n2PPn1/1P2P1P1/PBP4P/R2QKB1R w KQkq -,d1e2
r2qr1k1/pp3ppp/2p5/3p1n2/3P4/2P5/PP1N1PPP/R2QR1K1 w - -,e1e8
r1bq1rk1/pp1pppbp/2n2np1/2p5/2P5/2N1P1P1/PP1PNPBP/R1BQK2R w KQ -,e1g1:d2d4
8/5np1/4pp2/2k5/1p3PPP/1P1K1B2/8/8 w - -,g4g5
r7/5p2/3Np1kp/pPp2p2/5P2/4K1R1/P5PP/1b6 b - -,g6f6
2r2bk1/2q2r1p/4p1p1/p2pP3/2nQ1P1P/1pPB1KP1/1P3R2/R3B3 w - -,d3c4
r2q1rk1/pp1n1ppp/2p1pn2/4P3/PbBP2b1/2N2N2/1P2QPPP/R1B2RK1 b - -,f6d5
2r5/5pkp/6p1/2qRp3/4P1P1/N4n2/PP5P/1K1Q4 b - -,c5e3
8/p7/p4k2/2b1pppp/2N1P3/1P3P1P/P5K1/8 b - -,f5e4
r2r2k1/2pb1ppp/2p4q/p2pPP2/P2Q4/2N3R1/6RP/6K1 b - -,g7g6
2bqr1k1/p4p1p/5np1/2pr4/8/1P1B1QNP/P4PP1/3R1RK1 w - -,d3c4
3R4/2n3p1/4Ppk1/7p/7P/8/7K/8 w - -,d8d6
r1bq1rk1/p3ppbp/1pn2np1/2pp4/4P3/P2P1NP1/1PPN1PBP/R1BQR1K1 b - -,c8b7
3k4/6r1/2p2N2/p3pKP1/n6P/8/2P3P1/5R2 b - -,a4c3
r2k3r/pp3ppp/2n1b3/1B6/1b2N3/8/PP3PPP/R1B2RK1 b - -,d8e7
4rbk1/1p1n1pp1/p1qpr2p/2p5/2P1P3/1P4BP/P1Q1RPP1/1N2R1K1 b - -,d7b8
8/5B2/3p1kP1/1p2b3/8/p2K4/6P1/8 b - -,f6f5
2r5/q5bk/p6p/1p1Bpp2/3p4/PN1Q2Pb/1B5P/1R4K1 b - -,a7d7
5N1k/1p2r2n/p4R1Q/3p1q2/2pp2p1/6P1/PPP2PP1/6K1 b - -,f5f6
rq2kb1r/5p2/1n1pp1p1/pPn3Pp/1p2PP1P/1P2B3/P2Q1NB1/R2R2K1 b kq -,f8e7
r4rk1/1pp3bp/p2p2p1/3Ppb2/q1P5/P1N1BPPP/1P2Q3/2KR3R b - -,a4b3
r2q1rk1/4ppbp/3p1np1/1PnP2B1/2p1P3/7P/1PBN1PP1/R2QK2R b KQ -,d8b6
r2n1b1r/2qbkp1p/3p1p2/p2BpP1Q/1p2P3/1N4P1/PPP4P/2KR2NR b - -,a8c8
7k/8/1p6/p1p4B/P1Pr4/8/3p1K2/3N4 b - -,d4c4
rn3rk1/1b1qppbp/p4np1/1p1P4/2p2B2/PBN3N1/1PPQ1PPP/R3R1K1 w - -,b3a2
r1b2rk1/1p2qpbp/2pp2p1/2n4n/p1PNP3/2N1BP2/PP1QB1PP/3RR1K1 w - -,e2f1
6k1/p6p/5npB/2p1N3/2Kp2P1/1r6/8/6R1 b - -,b3h3
2rr2k1/q4pbp/bpn1p1p1/p1p2n2/2P2B2/PQN2NP1/1P2PPBP/1RR3K1 w - -,g3g4
8/1pRr1kp1/2p4p/2n5/p3P1P1/2B2PKP/1P6/8 w - -,c7d7
