8/6k1/4R2p/7P/4P1K1/8/8/5r2 w - -,e6g6
r2q1rk1/1p1bppb1/p2p1np1/7p/3BP2P/2N2P2/PPPQB1P1/1K1R3R b - -,b7b5
4r2r/8/p2pp1kp/1pp1np1R/8/1P1PQpPP/Pq3P2/4RBK1 w - -,h5h4
r1bq1rk1/ppp2ppp/2n2n2/2bpp3/4P3/2PP1N2/PPQ1BPPP/RNB2RK1 b - -,d5d4
r1bqrnk1/1p3pbp/p1pp2p1/P3p2n/1PP1P3/1Q1P1NP1/1B1NBP1P/R3K2R b KQ -,h7h6
2q2rk1/5pp1/1p1Rp2p/p1r1P3/P1P1QP2/1P4PP/7K/3R4 w - -,d1d4
3r4/p4p2/1p2pkp1/7p/2b1BP1P/PNP3P1/1P3K2/4R3 b - -,c4b3
r1b2rk1/pp3pp1/2n1p2p/q7/4N2Q/P3P3/1P1R1PPP/4KB1R w K -,f1e2
5rk1/p5b1/3p2p1/1p1P1r1p/2pn1P2/6P1/PP1N2KP/R2BR3 w - -,a2a4
4rk2/p1n5/bp1p4/2nP2Pp/3BP2P/2N2r2/P1BK4/4R2R b - -,c7b5
8/2r2N2/1p2pR2/p1Pp4/P2P2bk/2K5/8/8 b - -,b6c5
rk1qr3/1p3p1p/p5pN/8/4P3/1Q1P2PP/5PB1/3n2K1 w - -,e4e5
1rn2rk1/1p1qnpp1/3p3p/PPb1p3/2P5/2NQP1P1/5PBP/R1B2RK1 b - -,f7f5
4r3/5qpk/Rp2p2p/2bpP3/3Np3/4P2P/Q4PP1/6K1 w - -,a6a7
8/1p1r2pp/p3kp2/P7/8/PR2KP2/3B2PP/8 w - -,b3d3
r1qr1bk1/p2b1pp1/2p2nnp/3pp3/4P2P/1PNQ1PPB/P1P2B1K/2R2RN1 w - -,d3e2
5b1k/1pr3rp/p2n2Q1/4ppB1/8/2P1N2R/qP4PP/5R1K w - -,g5f6
r2k4/pb3R2/3b2rp/3N3p/PppB4/6P1/1P3P1P/3R2K1 b - -,b7d5
8/1p4bp/8/2P1p1p1/1k2KpP1/5P1P/5B2/8 b - -,b4c4
r2q1rk1/3b1p1p/p2p2pb/1p1P4/2nB4/2PN3P/PP2B1P1/R2Q1RK1 w - -,f1f3
8/3Q3p/6pk/4p3/4Pq2/5P1P/6P1/6K1 b - -,f4e3
3r1rk1/1p2nqpp/pBn1bp2/4p3/Q3N3/2PB4/PP3PPP/R2R2K1 b - -,d8d7
r1bqk1nr/ppp2ppp/2np4/2b5/1PBpP3/2P2N2/P4PPP/RNBQK2R b KQkq b3,c5b6
2r3k1/8/2q1r2p/p5n1/6RP/P7/Q5P1/B4RK1 b - h3,c6c5
8/5R2/p5p1/n4p2/2r2k2/8/3R1K1P/8 w - -,f7f6
6k1/R7/6P1/4K3/p4p1P/8/8/1r6 w - -,e5f6
1r3rk1/p1pqbbpp/2p2p2/3n4/Q7/2P2NB1/PPB1RPPP/R5K1 b - -,g7g6
rn1q1rk1/p3ppbp/2pp1np1/5PB1/1p1PP1b1/2NB1N2/PPPQ2PP/R3K2R w KQ -,c3e2
r1qbr1k1/1p1b1pp1/p1n1pn1p/1PPp4/3P4/P1NB1NB1/5PPP/R2QR1K1 b - -,c6b8
rnbqkb1r/p2p2pp/1p2pn2/2p5/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,a7a6
8/R4p2/4p1pk/8/5rPp/7P/5PK1/8 w - -,a7a6
8/6B1/1p2P3/p7/P1p2P2/3k4/7P/7K b - -,c4c3
2kr2r1/pbp1qp1p/1p1bp3/5p2/3P1N2/3QPP2/PPP1N1PP/1K1R3R b - -,c8b8
1R6/2PK4/5k2/8/7p/8/8/2r5 b - -,f6f5
8/8/1p6/1P2kp1p/p1P2p1P/P4K2/8/8 w - -,f3f2
2r2rk1/1ppRb1pp/4p1q1/p3P3/2P2P2/P7/1P2QBP1/4R1K1 b - -,f8f7
2r3k1/1p4pp/pqrp4/3Rp3/P1P1P3/1P2Q2P/6P1/3R2K1 w - -,e3b6
r4rk1/1b2q1np/pb2pp2/1p1n4/3NN1Q1/P1P3B1/1P4PP/1B1R1R1K w - -,g3d6
r1b2rk1/ppqn1ppp/4p3/8/1PP5/2n1PN2/2Q1BPPP/R1B2RK1 b - -,c3e2
r3k2r/pp2b3/q1n1p1pp/3pPn2/3P1Q2/2B2N2/PP3PP1/RN3RK1 w kq -,g2g4
3r2k1/bp3pp1/p1n1p1p1/8/6P1/P1P1BR1P/1PQ3Bq/5K2 w - -,e3a7
r7/Pk2rp1p/2p2RpP/1p1p4/8/R7/1PPK1PP1/8 b - -,e7c7
1k1r4/pp2ppb1/1q2b2p/N1p5/2P3p1/P1N1P1P1/1PQ1BPP1/5RK1 b - -,b6a5
8/8/b7/8/6kp/3pK3/8/6B1 b - -,h4h3
3rkr2/1p2p2p/2p1R1p1/2q5/Pp1b4/6P1/1P2QPBP/5RK1 b - -,b4b3
3r2k1/pp3pp1/2p1p3/1r2P1QP/3q4/PP6/2P3P1/1K2RR2 b - -,d4d2
r1b1kb1r/pp3ppp/2p1pn2/q2p4/2PP4/2N1PN2/PPQ2PPP/R3KB1R b KQkq -,f8b4
2rRN2k/ppP5/1n2r3/8/7P/4P3/PP3PP1/R5K1 w - -,e8d6
5k2/npr2p1p/p2Np1pn/2P5/PPb2NP1/7P/5P2/R2B2K1 b - -,g6g5
r2r2k1/ppp1qp2/2n2n1p/3P2p1/4p1b1/2N1PNP1/PP2B1PP/2RQ1RK1 w - -,f3d4
2rr1k2/pp2ppbp/2n1b1p1/q2NP3/5P1P/2N3P1/PP1RQ1B1/1K1R4 b - h3,d8d7
rr3bk1/5p1p/3p2p1/P1p5/4P3/2BR1P1P/P5P1/2R4K b - -,a8a6
rn2kb1r/pp3ppp/2p1pn2/q4b2/2BP4/2N2N2/PPPB1PPP/R2QK2R w KQkq -,d1e2:c4b3:e1g1:c3e4:c3d5
8/2Q4p/4k1p1/1P6/8/7P/3q2PK/8 w - -,b5b6
r7/1p1rk3/p1p1n1pp/2R1N3/PP2P1b1/3P2P1/7P/1R3BK1 b - -,e6c5
r3kb1r/pp1npppp/2p2n2/q4b2/2BP4/2N2N2/PPPB1PPP/R2QK2R w KQkq -,c3d5
r1bqkb1r/2p3pp/p1n1p3/P2nPpN1/NpBP4/8/1P3PPP/R1BQ1RK1 b kq -,c6a5
1rb2rk1/p3pp1p/2pp2p1/8/4P1n1/2PB1QB1/qP1K2PP/1R5R w - -,h1c1
r3k2r/pp3p2/2p1pn1p/2n1N1p1/2P3b1/2N3P1/PP2PPBP/R2R2K1 b kq -,c5d7
r5k1/5ppp/4p3/pprbP3/5B2/1PPR4/P4PPP/2R3K1 w - a6,f4e3
2q5/7p/6pk/3PQ3/4P2P/8/5PK1/8 w - -,e5f4
1rb2rk1/2qn1ppp/p3pn2/1pb5/8/4P1P1/PP1N1PBP/RNBQ1RK1 b - -,c8b7
5B2/7p/5p2/3k4/8/P3n1P1/8/7K w - -,h1g1
8/kR6/6R1/2p5/P2b4/K7/8/8 b - -,a7b7
2kr1b1r/pp2pppp/2n3b1/2PN4/1PP5/5P2/P5PP/2R1KBNR w K -,a2a3
3qbk2/p4p1p/4pb2/2P5/5N2/1B2Q2P/P5P1/6K1 w - -,g1h1
4b1k1/pp3Ppp/8/2Q5/8/P7/1q2BPPP/6K1 b - -,g8f7
rnbq1rk1/pp2ppbp/2pp1np1/8/2P5/2NP1NP1/PP1BPPBP/R2QK2R b KQ -,c8g4
8/5pk1/4p1pp/2p3P1/R3P2P/2r2P2/5K2/8 w - -,a4a7
1r1r4/4k3/4pppp/pP1p4/P1pP1PPP/3bR3/5KB1/2R5 w - -,f2e1
rnbq1rk1/1p2bppp/2p4n/4P3/p1Pp4/P2B1N1P/2QN1PP1/R1B1K2R w KQ -,d3h7
r4rk1/p5b1/1p1p2np/2pP1bp1/2P5/1R6/P2NBPPP/2B2RK1 w - -,g2g3
5k2/1p1n1ppp/1p2r3/5b2/1R2p3/2N2PP1/PP2P1BP/6K1 w - -,f3e4
6k1/1p2rpp1/p2b2p1/3p2P1/Qn6/1P2PN2/2qRNPKP/8 b - -,c2c8
rnbq1r2/pp5k/2pp1bpp/4pp2/2PPP3/2N3PN/PP1Q1PBP/R4RK1 w - e6,d4d5
r1b1rnk1/pp3pp1/2p4p/3p1Nq1/3P2n1/2NBP1P1/PPQ2P2/4RR1K w - -,h1g2
1b1rr1k1/1b3ppp/p7/1p2P3/P1N1pq2/1P2R2P/1B2QPP1/3R2K1 w - -,a4b5
7r/1p1bkp2/p1n1p3/3pP3/5KP1/2NB4/PP6/4R3 w - -,c3e2
1rbq1nk1/5pbp/p2p1np1/2p5/2P2P2/2NB1N1P/PP3BP1/1R1Qr1K1 w - -,d1e1
rnbqkbnr/p1pppp1p/1p4p1/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -,f2f4
2rr2k1/pp4pp/4pp2/2np4/P7/1K6/1P1NB1PP/R6R w - -,b3a3
8/4kp2/3p1b1p/3B1Pp1/bpP3P1/5N1P/1P6/2K5 w - -,f3e1
r3r1k1/5pp1/2p2n1p/p2pbb2/8/PqN1PBP1/1P1Q1P1P/R1BR2K1 w - -,d1e1
r2q1rk1/3nbp1p/p1npb1p1/1p6/4PBP1/1N1B1N1P/PPP1Q3/1K1R3R b - -,d8c7
1Q6/4r2p/6pk/p3NP2/P1pP4/2P4q/2B2P2/5K2 w - -,f1g1
2rr4/5kbp/p5p1/1p1pp2P/4nPP1/1NP5/PPn1B2R/1KBR4 b - -,c2a3
r1b1k2r/1p2q1pp/p2p1b2/3Bp3/2NnPp2/2N5/PPP2PPP/R2Q1RK1 w kq -,c3a4
r1bq1rk1/pp3p1p/2nppbp1/8/1P2PP2/2pB2N1/PB1P2PP/R2Q1R1K w - -,b2c3
r5rk/ppp2p1n/3p4/1PPB4/P2PpP1q/BQR4P/3N2p1/6K1 w - -,b3d1
rnbq1k1r/1p1n1pp1/p3p2p/2ppP3/3P1N2/2N3Q1/PPP2PP1/2KR1B1R w - c6,d4c5
4r1k1/pbpr2p1/1p1p1P2/7N/1nP1PP1P/5B1q/PQ6/3RR1K1 w - -,b2g2
5bk1/1p4p1/2pNp2p/p3P3/P1n2P2/1R4PP/7r/R3K3 w - -,a1d1
r7/5nkp/2p1b1p1/2B1pp2/4P3/P1P2PPB/7P/3R2K1 w - -,f3f4
r3kb1r/pp1b1ppp/1q1ppn2/4n3/4P3/1NN1B3/PPP1BPPP/R2QK2R b KQkq -,b6c7
b1r1rqk1/p2n1pbp/1pp1p1p1/8/2PP4/PP3NP1/1BQ2PBP/2R1R1K1 b - -,c6c5
8/8/2k1n1p1/2Pp1p1p/5P2/B2K2P1/7P/8 b - -,h5h4
rnbq1rk1/pp4pp/2pb1n2/3ppp2/4P3/2PP1N2/PPQNBPPP/R1B1K2R w KQ -,e1g1
6k1/5p1p/1K4p1/p7/1Q2p1n1/p7/B4P1P/8 b - -,a5b4
R7/6p1/3P2k1/2P5/8/p2r2P1/6P1/6K1 w - -,c5c6
8/1B4p1/P2k1p1p/r7/1K6/6P1/7P/8 b - -,a5a1
r1bq1rk1/1p4pp/1np2b2/p7/P2Np3/1PP5/1B3PPP/R2QRBK1 b - -,c6c5
3k4/p1r2p2/1p2pbp1/5n1p/2P1BP1P/6PK/P7/2R1B3 b - -,d8c8
2r2rk1/pp3p1p/5P2/3p3q/1b1N4/1Q1B2pb/PP3P1P/R2R2K1 w - -,h2g3
8/6kP/p1p5/1p6/1P1P1pp1/3K4/P5P1/8 w - -,h7h8q
r5k1/pb2rp2/2p3p1/2P4p/PP3q2/2Q1N2P/4K2n/3RR2B b - -,a8e8
8/5k1p/2n1p2r/p1PpP3/P2P1pp1/5rPq/3Q2RP/2B1R1K1 w - -,e1f1
1r3rk1/pBR2ppp/8/8/8/P7/1b3PPP/5RK1 w - -,b7f3
4r3/kq4r1/pb2P1p1/1p1bQ2p/3N1P2/3B4/PPP4R/1K2R3 w - -,f4f5
6k1/pb3pb1/1p5p/8/4P1p1/3N1P2/P2nBBPP/6K1 w - -,d3b4
r2qr1k1/2p1b1p1/p1nppn1p/1p2p3/4P3/P2P1N2/1PP2PPP/R1BQRNK1 w - -,c2c3
r2qkb1r/1p1n3p/p1b1p3/3p1pp1/3P4/3BP1B1/PP2NPPP/R2Q1RK1 w kq g6,g3e5
4rrk1/p4npp/8/2p2P2/2Pp4/1P4qP/PB1NR1b1/3QR1K1 w - -,e2g2
rn1qk2r/pb1pbppp/1p2pn2/8/2PN4/2N3P1/PP2PPBP/R1BQ1RK1 b kq -,b7g2
r3r1k1/1p3p1p/p1q3pP/5bP1/3RpP2/3nQ3/PP1B3K/7R b - -,c6c2
r3rbk1/1pqb1ppp/4p3/p1pnN3/P2p1P2/1QPP2P1/1P1BP1BP/R1R3K1 b - -,f7f6
2rr2k1/1pq2pp1/p3bn1p/2Bp4/4P1P1/2N2B2/PPP2Q1P/1R4RK b - -,c7c5
1r4k1/p4p1p/5np1/8/b1N2P2/Pr4PP/1P1RPKB1/3R4 w - -,d2d8
3rqrk1/pp1b3p/1b2p1p1/4P3/1PB2p2/P6Q/1B3PPP/3R1RK1 b - -,f8f5
8/8/6p1/4ppk1/8/2R2KP1/7r/8 b - -,e5e4
rn2kb1r/pp3ppp/1qp1pn2/3p4/2PP2bN/1QN1P3/PP3PPP/R1B1KB1R b KQkq -,g4h5:b8d7:f8e7
r1b1rbk1/2q2ppp/p2p1n2/npp1p1B1/4P3/2PP1N1P/PPB2PP1/R2QRNK1 b - -,f6d7
2r3k1/4ppbp/5Pp1/q1pP4/p1Q5/4B1P1/P3NPBP/1b4K1 w - -,f6g7
8/8/1q6/5k2/5p2/5P2/4QKP1/8 w - -,f2f1
r4q1k/1ppb1rpp/p2p4/4n1B1/7P/1BP5/P2Q1PP1/R3R1K1 b - -,f7f5
r4rk1/3n1pp1/pppqbb1p/3p4/PP1P4/2N1PN2/3QBPPP/R2R2K1 b - a3,f8c8
8/1B6/4bk1p/p2p1p2/3P3P/P3K1P1/8/8 b - -,f6e7
r5k1/pb1n4/7b/1p1p1B2/2p5/6B1/PP4PP/3R1R1K b - -,d7f8
4r3/pb3kpp/4pp2/1Pp5/2P5/P3R3/1B1r1P1P/R5K1 w - -,b2c3
5rk1/pp4pp/4p3/1bqpP3/8/3Q1P1P/PP4PK/3R1R2 w - -,d3d2
5r1k/pq1nN1bp/1p1p2p1/3P4/4PPp1/4B3/PP1Q2PP/2R3K1 w - -,e7c6
r1bqk2r/pp1nppbp/2p2np1/3p2B1/3P4/2PBPN2/PP3PPP/RN1QK2R w KQkq -,e1g1:d1c2
8/4pk2/r5p1/P2PR1N1/2p4P/5PK1/1r4P1/8 b - -,f7e8
3rk2r/1p2b3/1qb1p3/Rn1pPppp/1PpP4/2P1P3/2BN2PP/RN2Q2K w - -,c2a4
1r3rk1/3nbppp/p1Qq4/3Pp3/1P6/4BN2/P4PPP/R2R2K1 b - -,b8b4
r2q1rk1/ppp1nppp/1b1p1n2/7b/3PP3/3B1N1P/PP1N1PP1/R1BQ1RK1 w - -,d4d5
r6r/1b6/2k1p1Pp/Pp1p4/1Pp4B/4PR2/2BK1P2/b7 w - -,h4g3
r3r1k1/p1p2pp1/2p1bq1p/2b5/1P2Pp2/2P2N1P/P2Q1PP1/R3RNK1 b - b3,e8d8
r2qr3/5pbk/p2p2p1/1pp1p1nN/1P2P3/2PPB3/P3QPPK/R6R b - -,e8h8
3rbk2/1p3p2/4pp2/4N3/p1B5/P1P1qQ2/1P3b1P/1K3R2 w - -,f3f6
r6k/pp2Bq1p/3pb1p1/2p1b3/8/P7/1PP1QPPP/R4RK1 w - -,e7d6
2nN1R2/ppk5/4p1r1/n2pP1N1/2pP3p/P1P5/1P3P1K/8 b - -,c8b6
2r2rk1/pp1b1npp/R1n2p2/4pP2/3pP1P1/1P1PbN1P/4N1B1/3Q1R1K b - -,b7a6
6k1/4ppbp/1q1p2p1/2n5/2PpPP2/3P2PP/1p1B2K1/rR1B1Q2 w - -,d1c2
N4rk1/pp4pp/1p3p1n/4n2P/1P2P3/P5Q1/q1P1B1P1/2KR3R b - -,f8c8
8/5pkp/4p1p1/p1p5/1r2P3/3r1P1P/1n1RNKP1/R7 w - -,d2c2
r3k2r/2qbppb1/p2p3p/1p1Pn2P/3N1B2/8/PPPQ2P1/1K1R1B1R b kq -,e5c4
5nk1/p4Rp1/1pr4p/8/1PP4P/P3r3/1B4P1/5RK1 b - -,f8e6
r1bq1rk1/ppp2pbp/3p2p1/3Pn3/8/2PBBNQ1/PP3PPP/R3R1K1 w - -,d3c2
4r3/8/k7/2PpB1R1/7P/6P1/3r4/6K1 b - h3,d5d4
r4rk1/pp1n1ppp/2pb1n2/5P2/P1B2B2/2qN1Q2/5PPP/R4RK1 b - -,c3c4
3r1k2/5P2/8/6PK/5R2/8/8/8 b - -,d8d1
r2qrnk1/1b3ppp/1pp2n2/p2p4/Nb1P1B2/1Q3NP1/PP2PPBP/2R1R1K1 w - -,f4d2
rnbq1rk1/ppp1b1pp/3p1n2/4pp2/8/1QPP1NP1/PP2PPBP/RNB2RK1 b - -,g8h8
8/1p1k4/3pp2p/1P6/n1r2P2/R3K3/P3N2P/8 w - -,e3f2
3Nqrk1/1b3rpp/pB1p2n1/2pP4/1P6/P4pP1/3QnPBP/R4R1K w - -,g2h3
r2qk2r/pp3ppp/2n1bn2/3p2B1/2pPP3/2b2NP1/PP3PBP/R2Q1RK1 w kq -,b2c3
2r5/1R5p/4k2r/4B3/5P2/P5KP/8/8 b - -,e6f5
5rk1/p4p1p/2p1b1p1/2pp2r1/4P3/1PNP3P/P1P3PK/4RR2 b - -,g8g7
r1b2rk1/1pp2pp1/p1pbq1np/4p3/2N1P3/3PBN2/PPPQ1PPP/R4RK1 w - -,d2c3
8/8/4pkp1/R2b1p1p/1r5P/6K1/3R2P1/8 b - -,f5f4
5r1r/3kbp1p/2n1p3/pp1pP1P1/q1pP2PP/P1P3NK/2PQ4/RRB5 b - -,f8b8
8/5p2/6k1/8/1P4rp/P1P5/3R4/K7 w - -,d2h2
r2qkbnr/1bpnpppp/p2p4/3P4/2B1P3/5N2/PP3PPP/RNBQ1RK1 b kq -,g8f6
2r5/1pk3pp/5p2/n7/5P2/1pP1K1PB/1P5P/2N5 w - -,h3c8
r4rk1/pb1nqpbp/1pp1p1p1/3p4/1PPPn3/NQ3NP1/PB2PPBP/2RR2K1 w - -,f3e1
8/8/5bkP/pp1K4/3P4/2P5/PP6/8 b - -,g6h6
2r2rk1/pbnqp1bp/1pn2pp1/3pP3/3P4/4BNP1/PP3PBP/2RQRNK1 w - -,e5f6
r2q1rk1/1pp1bppp/p1n5/2Bbp3/Q7/3P1NP1/PP2PPBP/2R2RK1 b - -,f8e8
r1bq1rk1/ppp1bppp/1n1p1n2/8/3QP3/1BN2N1P/PPP2PP1/R1B2RK1 b - -,f6d7
8/1Q3pk1/6p1/8/1p4Pp/2q1PK1P/8/8 w - -,b7d5
b2q1r1k/2p1b1pp/5p2/np1np3/4N3/3P1N1P/BPP2PP1/2BQR1K1 b - -,c7c5
r1b1kb1r/2q2pp1/p2ppn2/1p2P3/5P1p/1NN1B2P/PPP3PQ/2KR3R b kq -,b5b4
4q3/6pk/1r5p/1PQ1pp2/8/8/6PP/1R5K b - -,e8e6
r1bq1r2/pp4bk/4pppp/2pnNn2/8/1QPP1NP1/PP1B1PBP/R3R1K1 w - -,e5c4
2n5/pp5p/2pk2b1/4p1p1/1P2Pp2/P1P2P1P/2KNB1P1/8 b - -,c8b6
8/p3P3/2bN2k1/p7/2P3p1/8/1r4pP/4R1K1 w - -,e7e8q
3r4/pk3p1p/4b3/2p3q1/B1p1p3/2Q3P1/PP3P1P/3R2K1 w - -,d1d8
2kr3r/p3qp2/1nn1pN2/1p1pPp2/2pP3N/2P5/PP2QKPP/4RR2 w - -,h4f3
2rq1r2/pp1nbb1k/3ppnpp/5p2/2PP1PP1/1PN4P/P1N1B1R1/R1BQ2K1 w - -,e2d3
q1r1rbk1/1b1n1ppp/p4n2/1p2p3/4P3/1PN3PP/PB2QPB1/2RRN1K1 w - -,e1c2
6k1/7p/p6P/2P1rPp1/1p6/3B2K1/P1P5/8 b - -,g8f7
4r2k/1p4pp/1n1B4/p3N3/P2Pp3/7P/1P3PP1/nB4K1 b - -,g7g6
1r4k1/pr2qpbp/3pp1p1/8/4P3/1P3N2/P3QPPP/1R3RK1 b - -,b7b4
q4rk1/5ppp/4p3/pQPpn2n/1p1B4/1P4P1/P3PPBP/1R4K1 b - -,f8b8
8/8/2p5/2kp4/6Pp/r1PK1R1P/8/8 w - -,g4g5
5k2/5q2/1p3p1p/2rnp3/8/Q5R1/5PP1/3R2K1 b - -,f7e6
5rk1/1pp2rpp/3n4/p2Ppb2/2N5/PP2P1P1/5RBP/2R3K1 b - -,d6c4
1rbq1rk1/p3bppp/2np1n2/1pp1p3/4P3/2PP1N1P/PPBN1PP1/R1BQR1K1 w - b6,d2f1
1r2r1k1/5pbp/pn1p4/q1p2PB1/8/P1NQ4/1PR3PP/5R1K b - -,g7e5
r2q1rk1/pp2bp1p/2n1b1p1/3p2B1/P2P2n1/1PN1P1P1/6BP/RN1Q1RK1 w - -,g5e7
rq4kr/p2b1p2/4pnpp/3p4/1Q6/3BPN2/PP3PPP/2R2RK1 w - -,b4d4
rr4k1/2qbbppp/2nppn2/pp6/1P1PP3/2PB1N2/3N1PPP/R1BQR1K1 w - a6,b4a5
8/1b2r3/p2k1p1p/R2p2P1/PPp2P2/2P2B2/3K2P1/8 b - -,h6g5
4b1k1/2r3p1/1p1qpn1p/pP1p1p2/P2P1N1P/3NPP2/1Q4P1/R5K1 w - -,d3e5
8/r5pk/PqP2p1p/R3p3/Q2pP1PP/5P2/2K5/8 b - -,b6c7
rnbq1rk1/p3bppp/1p3n2/3p4/2B5/2N1BN2/PP3PPP/R2Q1RK1 w - -,c3d5
7k/7p/4BPp1/2b1N3/1p2P2P/4r1P1/3K4/8 b - -,e3e4
r3r1k1/p4pbp/bp1q2p1/2pNp2n/2PnP3/1P2BNPP/P2Q1PB1/3RR1K1 w - -,g3g4
2b1r1k1/r3qpnn/3p2p1/p1pPp3/PpP1Pb2/1P3PN1/R5NP/2BQ1BRK b - -,f4c1
2q3k1/1p4p1/pQp5/P2pBb2/3P3P/5P2/6PK/8 b - -,c8d7
r3kb1r/ppqnpp2/2pp3p/6pn/3PP1b1/2PB1NB1/PP1N1PPP/R2QK2R w KQkq -,d2f1
5Q2/kpp5/p1b5/8/7P/P1Nq4/1KPr4/5R2 w - -,f1c1
1r1rn1k1/1bq2pp1/1p6/pPp1p2p/P1P1P2P/B3QPP1/3R4/3R1BK1 w - -,e3g5
1k2r2r/pp1nbpp1/2p2n2/q2p2Bp/3P1N1P/2NQPP2/PP4P1/1KR4R w - -,e3e4
8/2p1q1kp/7r/2p5/P1Np2P1/P2P1P2/1R1Q2K1/4r3 w - -,d2f2
2rr2k1/8/p2P2p1/2pP1p1p/3b3P/2p2RB1/PnB3P1/4R2K b - -,d8e8
r4n1r/pp2kp2/2pb1pb1/3p3p/3P1N1P/4P1P1/PP2NP2/R3KB1R w KQ -,f1h3
r1bq1r1k/p2n1ppp/2p1p3/2bpP3/8/P1N3Q1/1PP1BPPP/R1B2RK1 w - -,e2d3
4rr1k/1R2Np2/p5p1/1pq4p/6n1/3B2B1/PPP3PP/R6K w - -,b7c7
1rbr3k/ppq3pp/5p2/1RP1p3/P7/6P1/2Q2PBP/1R4K1 b - a3,g7g6
r1b1k2r/pp2ppbp/1qn3p1/2pQN2n/3P1B2/2PBP3/PP1N1PPP/R3K2R b KQkq -,c8e6
8/1p6/pR6/1PP1n3/4k3/r5p1/4B1K1/8 b - -,a6b5
r5k1/pp1qbrpp/2n1b3/4p3/2PpNpP1/1P1P1B1P/P4PK1/R1BQ1R2 b - -,a8f8
3r1b1k/p5Bp/8/1b3Q2/8/4P3/PP3PPP/6K1 b - -,f8g7
8/3P3p/5k2/4r1bK/6B1/2P4P/4N3/8 b - -,g5d2
r2q1r2/3bppk1/5npp/2nP4/pR3B2/2N4P/1Q2BPP1/3R2K1 w - -,b2a3
r5k1/5ppp/p2Rb3/4p3/1rP1P3/1P5P/2B1R1PK/8 w - -,e2e3
1R6/5pkp/2B3p1/2B1b3/6P1/4P2P/n3rP2/6K1 w - -,c5f8
3k4/p7/2P3R1/r5P1/8/2K5/8/8 b - -,d8c7
