8/R7/6pk/6p1/5r2/6K1/8/8 w - -,a7b7
2r4k/1pr1p1bp/pq3np1/n2p1p2/P2P4/1P1QPPP1/1BN3BP/2RR2K1 w - -,c2a1
3br1k1/1p6/2p3p1/4p3/5pP1/3P2nB/1P5R/4R1K1 w - -,h3g2
8/6pp/1p1k4/p2P4/1PBp1KPP/P7/2b5/8 b - -,a5a4
r2nrbk1/1ppq1ppp/8/pP2p1Bn/2Pp4/P2P1NPb/2N1PPBP/1R1Q1RK1 w - -,e2e3
8/2p1q1pk/7p/3Qb3/4N2P/1P4P1/5P2/6K1 w - -,h4h5
2b2rk1/1pp2ppp/r2p1n2/4Q3/1pP5/PP4P1/3RPPBP/RN4K1 b - -,d6e5
r3r1k1/pb1q2pp/np1ppp2/8/3PnN2/P4NP1/1P2PPBP/RQ3RK1 w - -,f1d1
3r4/8/p1b3p1/Pp2p1k1/1P2P1B1/2P1R1K1/8/8 w - -,g4e2
8/8/8/3k3p/1p1P1p1P/1Pb1pK2/1B6/8 w - -,b2c1
6k1/1p6/p5p1/5p2/1PP1r3/4p1P1/1P1nB2P/2R3K1 w - f6,b4b5
3r4/p1b3k1/2p1bp2/N7/3P4/1P3Kp1/P3B1P1/3R4 w - -,e2c4
8/2p1qpk1/1p1p2p1/p2P3p/P1QP3P/1P4P1/5P2/6K1 w - -,c4c2
5rk1/pq2bppp/3p1n2/2r1p3/1p2P3/1B5P/PPP1QPP1/1K1RN2R w - -,e1d3
8/4np1k/4p1p1/4P2p/1pqP3P/6P1/P2Q1BK1/8 w - -,d2b2
r4kr1/4qp2/p1b1p2p/2N5/3Q1P1p/8/PPP3PP/2K2BR1 b - -,a8d8
2b1qrk1/2p3p1/p3P3/1pN2r1p/1P6/2QR1P1P/6P1/R6K w - -,a1e1
1r2b3/R4pk1/1p6/3N2pP/P5P1/1P6/4PK2/8 b - -,e8c6
8/8/4p2p/3kP1pP/1P1p2P1/NKnP4/8/8 w - -,a3c4
8/p3RR1p/8/4k1P1/6P1/7P/1r4r1/5K2 b - -,e5d6
r1b2rk1/3nq1pp/p1n1pp2/1p1pP3/1P3P2/P1NBQN2/2P3PP/R4RK1 b - -,g7g6
r1q1k2r/pp3pp1/2nbpnp1/3p4/3P4/2PBB1P1/PP1N1P1P/R2QK2R b KQkq -,e8g8
r1bqk2r/pppnnpbp/3p2p1/4p3/2PPP2P/2N2N2/PP2BPP1/R1BQK2R b KQkq h3,h7h6
4rQ1k/p5bp/2p3p1/4pn2/P1p1N3/2PPB3/1P4PP/R5K1 b - -,g7f8
3rr1k1/pp1bqpbp/5np1/n3p1B1/2p1P3/N1P2N1P/PPB2PP1/1RQ1R1K1 w - -,b2b4
R4nk1/p2b1pp1/1p1q3p/5r1P/2BN3Q/8/P4PP1/6K1 b - -,f5e5
rn2kbnr/ppp2ppp/4p3/3q1b2/8/5N2/PPPPBPPP/RNBQK2R w KQkq -,e1g1
r1bqk2r/1p1n1ppp/p1pbpn2/3p4/2PP4/2N1PN1P/PPQ2PP1/R1B1KB1R w KQkq -,c4c5
5k2/2p2p2/3p4/2p3P1/p2b1NP1/8/r4P2/5RK1 w - -,g5g6
7r/pppk1pp1/3b1n2/3p2p1/3P4/2P2PP1/PP2NK1P/R1B5 w - -,f2g2
r2q1rk1/p4pp1/1pbb1n1p/3p4/3p1PP1/2NBP2Q/PP5P/R1B2RK1 w - -,e3d4
r3nr2/pp1b2kp/3q1pp1/2pN4/5P2/1PNPP3/P1P1B1PP/Q4RK1 w - -,e2f3
5rk1/4rpp1/p6p/1pbqN3/3pnPQ1/1N4PK/PP2P2P/2R2R2 w - -,e5d3
rnb1k1nr/pp3pp1/2pp1q1p/b3p3/1PB1P3/P1NPBN2/2PQ1PPP/R3K2R b KQkq b3,a5c7
4q2k/6p1/5n2/5B2/2pQP2p/2P4P/6PK/8 b - -,e8h5
1kr1r3/1pp1P1b1/np4p1/3N3p/1P6/P4B2/6PP/4RR1K b - -,c7c6
r1bqk2r/pp2ppbp/2n3p1/2p5/3PP3/2P1BN1P/P4PP1/R2QKB1R b KQkq -,e8g8
6k1/1p3pp1/4pnp1/3p4/1n3PP1/1P2PN1P/r5B1/3R2K1 w - -,d1c1
r2q1rk1/1p2ppbp/p1n2np1/3pNb2/2PP1P2/1P6/PB2B1PP/RN1Q1RK1 w - -,g2g4
1k2r3/pbp1r1b1/1p1pn2p/6p1/2P5/2NB1PP1/PP2R1P1/1K1R1N2 b - -,g7c3
1bB5/8/P3k2p/4P3/4KPP1/8/8/8 b - -,e6e7
2r2rk1/pb3pp1/1n1q3p/2pp4/Q7/P1R1PN2/1P2BPPP/2R3K1 w - -,a4a5
r1bqkb1r/p2n2pp/4pn2/1Ppp4/4P3/2N2N2/PP3PPP/R1BQKB1R b KQkq e3,d5d4
r4rk1/pp4pp/1npqb3/5p2/3p4/P2P1NP1/1PQ1PPBP/2R2RK1 b - -,e6d5
4r1k1/6q1/Q1p4p/2P1p3/5n1P/6P1/1BB2P2/6K1 b - -,e8f8
5r1k/5q1p/pr1p1p2/2nPpP2/p1p5/2P3RP/RPB1QP1K/8 b - -,f7d5
2n1q3/5k1p/1p1p2p1/3P1p2/rR2rP2/7P/1RQ2BPK/8 w - -,b4a4
8/1b3pk1/p1q3p1/1p5p/1P1Q4/1BP3PP/P6K/8 b - -,f7f6
rr4k1/p1qbbppp/2nppn2/1p6/1P1PP3/2PB1N2/3N1PPP/R1BQR1K1 b - -,a7a5
8/8/8/5pk1/R7/2r5/5K2/8 b - -,f5f4
1r3k2/ppR5/3P2pp/5p2/1PP1p3/6P1/P4P1P/5K2 w - -,d6d7
r5k1/1bB3p1/1p4rp/1B2Rn2/pR1pNp2/P7/1P3P1P/5K2 b - -,a8c8
8/R1n3pk/1p1qpr2/2pb3p/7P/4Q1PB/1P2P3/5RK1 b - -,f6g6
8/2k3p1/p1pb4/2B1pq1P/8/2P2B2/4QP2/6K1 w - -,c5d6
3Q1bk1/5pp1/1p6/r6P/3P4/2p2P2/2q1K3/2B1R3 w - -,e2e3
1r1q1rk1/5ppp/2n1p3/8/RpRP4/1P2Q3/3N1PPP/6K1 b - -,c6e7
3r1b1k/R5p1/3p3p/2pPp3/2N1NP2/7r/1PP2P2/4R1K1 b - -,e5f4
8/7k/7p/1P3qp1/4pP2/P5K1/4QP2/8 w - g6,f4g5
r4b2/ppk2b1p/2p2pp1/5P2/3NB1P1/2P4P/PP3K2/R7 b - -,f8c5
r1b2r1k/1p4bp/1Qpp2p1/p2q3n/8/P4NP1/1P1BPPB1/2R1R1K1 w - -,e1d1
1rbq1rk1/1pp1bppp/p1np1n2/4p3/B1P1P3/3P1N1P/PP3PP1/RNBQ1RK1 w - -,b1c3
r1bq1rk1/p2n1ppp/1p2pn2/2pP4/1bB5/2N1PN2/PP2QPPP/R1B2RK1 b - -,b4c3
2r3k1/2q1rp2/1p3p1Q/4p2p/1PP1B3/P5P1/3R3P/6K1 b - -,e7d7
3r2k1/r3bpp1/4p1p1/4P3/ppNP2P1/3R3P/PP6/3R2K1 b - -,a7d7
3r1rk1/pp4p1/1bn1pq1p/3p4/4n3/2PBBN1P/PP3PP1/R2Q1RK1 w - -,e3b6
r1qr2k1/pp2n1b1/2p1P1pp/P1Pnpp2/1P6/1QN2P2/4B1PP/R1BR2K1 w - -,c3d5
rn1r2k1/pb2ppbp/1p4p1/2pq4/3P4/1P2PN2/PB1Q1PPP/3RKB1R w K -,f1e2
8/n5kp/1p1p2p1/p1pP1bP1/P1P2p1P/1P6/3N1PK1/4N3 b - -,a7c8
r3r1k1/5p2/pp1p2p1/2pPPb2/P3NP1p/7P/1P3KP1/3RR3 b - -,f5e4
2rr2k1/1pq1bpp1/p2pbn1p/P1n1p3/4P3/2N1BQ1P/BPPN1PP1/R3R1K1 b - -,c8b8
rr4k1/4q1pb/1bQ1p1Pp/p2p4/8/1P6/PB2PPB1/3R1RK1 b - -,h7g6
r3r1k1/p1pqb1pp/1pp1np2/4p2b/1PN1P3/PNQPBP2/2P3PP/3R1RK1 b - -,a8d8
rnbqk2r/ppppp1bp/5np1/5pB1/3P4/2N1PN2/PPP2PPP/R2QKB1R b KQkq -,d7d6:d7d5
r4rk1/3nppbp/3p1np1/q1pP4/4PP2/2N2NP1/PP2Q1KP/R1B4R b - -,d7b6
r1bq1rk1/ppp2ppp/2n5/2npp3/2B5/P4N1P/1PPP1PP1/R1BQ1RK1 w - -,c4a2
r2qk1nr/p3bpp1/2p5/3pP2p/3p4/5Q1P/PP1N1PP1/R1B2RK1 w kq -,d2b3
r3r3/3k3p/p1p5/2Pp2pn/PP1Ppp2/1NB3P1/3P1P1P/3R2K1 b - -,e4e3
r2q1rk1/1p2b1pp/p1n1b3/2Np1p2/3Pp3/4P1P1/PP1NBPP1/2RQ1RK1 b - -,e7c5
r1bq1rk1/pp2bppp/2n5/2P5/8/2n2N2/PP2BPPP/R1BQ1RK1 w - -,b2c3
1r3rk1/2p2pp1/p4n1p/P2bR3/1pN5/1B4PP/1PP3P1/R5K1 b - -,d5e6
1k1r3r/2p5/1P2pq2/Q1P4p/3P4/P3pP2/1K5P/3R1B2 b - -,c7b6
8/8/6k1/3R4/6P1/1r3PK1/8/8 w - -,g3f4
8/5pkp/3bb1p1/3Np3/1P6/6P1/4BP1P/6K1 w - -,e2c4
r3r1k1/1p1q1p1p/pn1p2p1/3P2B1/2PN4/1P1Q3P/P4PP1/R5K1 w - -,d3d2
8/3r1k1p/2RP4/p5P1/4p1KP/8/8/8 b - -,f7e6
6k1/2R5/3N2pp/1P6/5p2/5KP1/5PnP/1r6 b - -,g2e1
r3r1k1/1p3pbp/1qpp1np1/p1n5/2PNPBb1/2N2B2/PPQ2PPP/3R1RK1 w - -,f3g4
1r2r1k1/4qpb1/1Bpp3p/2n1nRp1/4P3/1PN3PP/P1P1Q1B1/3R2K1 w - -,b6c5
r4r2/pppbp1k1/n2p1q2/3P1p1p/1PPN2nN/2Q1P1P1/P4PB1/1R3RK1 b - -,c7c5
5r1k/3Qp3/p2pPb2/6pq/5p2/2B2P2/P3P2P/2R3K1 b - -,f6c3
1qr1r1k1/pb1n1ppp/1p1b1n2/3pp3/3P4/1P1N2P1/PB1NPPBP/2RQ1RK1 w - -,c1c8
8/6pk/p3q2p/1p1p3P/1P1Q2P1/P3P3/5PK1/8 b - -,e6c6
3r1rk1/5pp1/1bp2n1p/p3p3/P1P1P3/2q2N2/2B1QP2/1R3R1K b - -,f6h5
8/5pk1/4q1p1/1p2p1P1/3pQ3/P7/5N2/5K2 w - -,f2g4
1rbnqrk1/2p3b1/p2p2pP/P2Ppp2/1PP1Pn1P/Q3BPN1/8/3RKBNR b K -,g7h6
