8/3R4/6k1/p1P1p3/4NrPb/7P/PP6/2K5 w - -,e4d6
r3qrk1/p1pnnppp/1pQ1p3/6B1/3PP3/P4P1N/1P4PP/R3KR2 w Q -,c6c7
8/8/3k4/K1R2P2/1P6/8/8/5r2 w - -,a5b6
r4rk1/pp1qppbp/2n3p1/3pP3/3Pn3/1P3N2/PB1N1PPP/R2QR1K1 b - -,e4d2:f7f5
3r4/4knp1/4p1Q1/1p4N1/2n2P2/q7/6BP/6RK b - -,c4d6
r2n2k1/1br4p/pRpb2p1/P2p1p2/3P4/3NPNP1/2R2P1P/5BK1 w - -,f3e5
2r2rk1/5ppp/p1n5/1p1QPp2/6q1/1PP2N2/P5PP/3RR2K b - -,c6e7
r4rk1/1p2npbp/p3b1p1/3p2B1/Pq6/2NB4/1PPQ1PPP/1R3RK1 b - -,e7c6
6qk/4b2p/4p3/pp1pPp2/2pP1B2/P1P1P1QP/1P5K/8 b - -,g8g3
5k2/ppR4p/4p1p1/3pP3/8/P3R2P/1q3PP1/6K1 w - -,e3f3
r7/p5kp/1p2pqp1/2p3Q1/3nRP2/8/PP4PP/5RK1 b - -,a8d8
3r2k1/p3pp1p/1p2b1p1/8/2P5/1P3B1P/P2r1PP1/3RR1K1 b - -,g8g7
5qk1/1Q3pp1/pN2p3/Pp5p/1n1P4/5PP1/1P3PK1/8 w - -,d4d5
2rqnrk1/p4ppp/b3p3/2BpP3/2n5/3Q1NP1/P2N1PBP/R2R2K1 b - -,c8c5
3r2k1/p2r2bp/1p6/1bp2p1p/3q4/PP1P2R1/3R2PP/4Q2K w - -,e1e6
5r2/1p3r1k/p7/5n2/5R2/BP6/P5PK/5R2 b - -,f8h8
2r2rk1/3nb3/p2n4/3P1pp1/4p1P1/B1p4N/P2N3P/3RR1K1 w - -,d2b3
7r/3k1ppp/2R1p3/pB2P3/7b/P3P3/1P5P/3K4 b - -,h8b8
6k1/pp2npp1/4p2p/2rpP3/3B1PP1/PP5P/3R4/6K1 b - -,c5c1
2kr3r/pp3ppp/4p3/1PP5/Pn6/R1b1PN1P/4B1P1/1R4K1 b - -,b4d5
6R1/2p5/1p2P1n1/p5B1/k3K3/8/2P2r2/8 b - -,f2e2
1r1n1rk1/p2qn1bp/1pbpp3/5p2/3P1P2/4NNP1/PP3BBP/2RQR1K1 w - -,f3g5
8/B2k1bnB/3P2p1/pp2P1P1/7P/8/5K2/8 b - h3,b5b4
r4b2/3R4/2p2B2/1p2rpp1/8/Pk4PP/1P3P2/6K1 w - -,f6e5
r1r2qkn/pb3pp1/1p3P1p/3pP3/3p4/P2B2QN/1P4PP/4RRK1 b - -,a7a5
r7/p4ppp/2kp1n2/3p4/R2Pp3/2P1P3/1P1N1PPP/5K2 b - -,c6b5
8/8/8/5Q2/8/5k2/3pq3/6K1 b - -,f3g3
2r1rbk1/1bq2ppp/pp1ppn2/2n5/2PNP3/P1N2PB1/1PQ1B1PP/2RR2K1 b - -,f6h5
8/3k1ppp/rp2p3/1NbnP3/3N4/P4RP1/r4P1P/3R2K1 b - -,f7f6
8/1B6/5pkp/8/8/6PP/7K/8 w - -,h2g2
1rb3n1/1r4kn/p2p3p/2pPpPp1/N1P1P1P1/RP1N1K2/R7/3B4 w - -,a4c5
4r1k1/pp2r2p/2q3p1/3p4/2n4P/2P1PR2/PP2R3/2Q2NK1 w - -,e2f2
1Q6/1b3k1p/p5p1/P1q2p2/8/4K1P1/4N3/8 w - -,e3f4
1k1r3r/ppq2pp1/2p2n1p/4n2N/5N1P/7Q/PPP2PP1/1K1R3R w - -,h5g7
4r3/3q1ppk/p6p/Bp2bnQ1/4R3/1B1P3P/P4P2/4R2K b - -,h6g5
6k1/5p1p/3r2p1/4p3/Pr6/1PRn2P1/5PBP/5RK1 w - e6,f1d1
rnbqk2r/ppp2ppp/4p3/b2pPn2/3P4/P1N2N2/1PPB1PPP/R2QKB1R b KQkq -,b8c6
3rr2k/6b1/2R3pp/3n4/3Pp3/p3B1N1/P2RK1PP/8 b - -,d8b8
r2q1rk1/1pp2pp1/p1n2n1p/2bbp3/8/2PP1N2/PPBN1PPP/R1BQ1RK1 w - -,d1e2
r2rb3/1p2kppp/2nbpn2/p7/8/PP2PN2/1B1NBPPP/2RR2K1 w - -,f3g5
8/p4k1p/2p2bP1/1p1r4/3p4/1P1B2P1/P1P2PK1/4R3 b - -,h7g6
r2q1Bk1/pp2pp1p/2n3p1/5b2/2P5/1P2Pp2/P3QPPP/2R2RK1 w - -,e2f3
r2qkb1r/p4pp1/1pn1p2p/3pP2P/3P4/3PB3/P4PPN/R2Q1RK1 b kq -,d8d7
3r1rk1/3bnpp1/1q3b1p/2pBp3/1pP1P3/4NN2/1P2QPPP/R2R2K1 w - -,a1a2
3R4/2p2rk1/p1p3p1/2p3P1/2P1R2p/P5r1/4K3/8 b - -,g3g2
3r4/p5pp/1k3p1n/2R5/1P1Nb3/2P5/3N1PPP/4K3 b - -,e4d3
r1b1kb1r/1p3p1p/p7/2np1pP1/P2N4/4B2P/1PPN4/R4RK1 w kq -,d4f5
3K4/1R6/8/8/5p2/7k/8/8 b - -,f4f3
rn1qk2r/pp2ppb1/2p3pn/3pPb1p/3P3P/1N4N1/PPP2PP1/R1BQKB1R b KQkq -,e7e6
2r2k2/1pp2pbp/3p2p1/1NnPn3/p1P3Pq/P6P/1P2QP1B/1B2R1K1 w - -,g1g2
2r1r1k1/p2b1qpp/1p2p3/3p1p2/3Pn3/P1PN4/1P3PPP/R2QRBK1 b - -,c8c7
r3r2k/2q3bp/p3b1p1/4np2/P1NRp1n1/B1N1P1P1/5P1P/1R1Q1BK1 w - -,c3d5
1nq2rk1/3r1ppp/1pn5/p1pBpN2/8/6P1/PP1QPP1P/2RR2K1 b - -,c6d4
1rq2r1k/2pbnpb1/p1np2pp/P7/2BNP3/2PQ2B1/5PPP/R3RNK1 b - -,c6d4
rn1q1rk1/4bppp/b3p3/p1p1P3/PpBP4/1N2P3/1PQ1N1PP/R4RK1 b - -,c5d4
3rr1k1/1bq2pp1/p1p4p/1pb1n3/4P3/1PN3PP/P1Q2PB1/R2RB2K b - -,c5a7
rq3rk1/1ppbbp2/n2p3p/2nPp1pP/p1P1P1P1/2N1BP2/PP1QBN2/1R3RK1 w - -,f1c1
3r2k1/2p2ppp/8/1rn5/p2p4/P5P1/1PB1PP1P/2RR2K1 b - -,d8d5
r4rk1/q5p1/p1b1pp1p/2bpP2P/2n3P1/2PB1N2/P3QP1B/4RRK1 b - -,a8e8
8/8/8/6Rp/4p3/6P1/4K1k1/7r w - -,e2e3
1r2r1k1/1p1qbppp/p3pn2/P1Pp4/3P4/2N1BQ2/1P3PPP/R4RK1 w - -,e3f4
Q7/p2q2k1/6p1/2p1ppn1/6P1/1P1rN3/P1R2P2/6K1 w - -,a8g2
r1b1k1nr/ppp3pp/2pb4/4N3/3Pp2q/2P5/PP3PPP/RNBQ1RK1 w kq -,b1d2
r1r1n1kb/1p1b1p1p/1q1p2pP/2nPp1B1/p1N1P3/P1N5/1PQ1BPP1/R4RK1 b - -,b6c7
8/8/7k/8/6KP/5PQ1/8/3q4 w - -,g3f4
r1bqkb1r/5ppp/p1p1pn2/3p4/4P3/2NB1Q2/PPP2PPP/R1B2RK1 b kq -,f8e7
3r2k1/1p2n1bp/4n1p1/1N2p3/4p3/4BN2/PP3PPP/R4K2 w - -,f3g5
6k1/6r1/pq2p3/nppb4/2pbNPQ1/P5Pp/1P5P/1R2RN1K w - -,g4h3
5q1k/7p/p2p4/1p1P3Q/8/P2p3P/1Pr3P1/4R2K w - -,e1e8
5rk1/r3bppp/2q2n2/1QppB3/P7/4P3/3N1PPP/R2R2K1 b - -,c6e6
3Qb3/7p/6pk/2p1Np2/2P2P2/P3P1PK/3R3P/1q4r1 b - -,b1f1
q5k1/p4ppp/1p1rp3/2pnQnB1/6R1/5PP1/PP4KP/R7 b - -,h7h5
rn1qk2r/pbp2ppp/1p2p3/3pP3/1b1PB3/2N2N2/PPP1QPPP/R1B1K2R b KQkq -,d5e4
r4rk1/1p2pp1p/3p2p1/q2P1N2/p1n1P3/6Q1/PP4PP/R4R1K b - -,a5d8
8/8/6k1/r7/p1K3p1/R7/8/8 b - -,g6g5
8/6p1/8/2n1P3/3k1P1p/6P1/2K4P/8 w - -,g3h4
nr6/7R/4k1p1/P7/4N3/5P2/6PP/6K1 b - -,b8c8
6k1/1p1n1p1p/1P1Qb1p1/4Pp2/7P/1q3N2/5PP1/R5K1 w - -,f3d4
7Q/8/8/6K1/4kqp1/8/8/8 w - -,g5g6
8/8/5Q2/p2p1P2/P2k1b2/4nB1K/2r5/8 b - -,d4c5
7k/p2qp2p/1p2b1p1/3pP3/1P6/2Q2PP1/PB5P/6K1 w - -,c3d2
2rq1rk1/p2nnppp/1pp1p3/3p4/3PPN1P/5P2/PPPQb1P1/1K1R1B1R w - -,f1e2
2b2rk1/5n1p/2p3pb/2Q3q1/4Pp2/1PN5/P2rN1B1/3R1RK1 w - -,c5g5
8/8/4k2p/R7/6K1/p2r1B1P/8/8 w - -,h3h4
1q1rb2Q/1p1k1p1p/p2p2p1/2rB4/2P5/4R1PP/P3PP2/3R2K1 w - -,h8f8
r1bq1rk1/4npbp/p2p1np1/1p1Pp3/4P1PP/2N1BPN1/PP1Q4/R3KB1R b KQ h3,c8g4
2k5/R7/8/3r2p1/1b1Npp2/2P4P/4K1P1/8 w - -,c3b4
8/6k1/8/7R/8/5r1p/5P1K/8 b - -,f3f2
r1b2rk1/pp3ppp/2n1pn2/q2p4/2P4Q/P4N2/1P1BPPPP/R3KB1R b KQ -,a5a4
r5k1/1r2ppbp/6p1/2p5/PnN5/R5P1/1P1B1P1P/1R4K1 b - -,b4c2
r1q5/ppn1Rpkp/2p2np1/5b2/5N2/2N3P1/PPPQ1P1P/6KB b - -,c7e6
8/1b3R2/8/2p5/2Pp3P/1r1P4/1k4P1/r2RB1K1 w - -,f7f2
r4rk1/pp1bqpp1/2n1p2p/8/2B1Q3/P1P1PN2/5PPP/R4RK1 w - -,a1b1
5rk1/1p2ppbp/p4np1/8/Pq6/1PN5/1B3PPP/3RQ1K1 w - -,d1b1
r1bqk2r/ppp2ppp/2n5/1BbpP3/3Nn3/8/PPP2PPP/RNBQ1RK1 b kq -,e8g8:c8d7
r1bqnrk1/ppp1n1bp/3p2p1/3PpP2/2P5/2N5/PP2BPPP/R1BQNR1K b - -,e7f5
2b1r1k1/1p6/p2p1qn1/P2P4/1Q3p1p/1R1B1P1P/5BP1/7K w - -,d3g6
8/p6p/6p1/4kp2/P3n3/1P1K1B1P/6P1/8 w - -,b3b4
1q5r/4r3/1p2pkp1/pPPpRp1p/1n1P1P2/1P4PP/4BQK1/2R5 b - -,b8d8
r1bqkn1r/pp2bppp/3p1n2/2pPp3/2P1P3/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,f8g6
B1R5/5bnk/7p/5p2/r2N2pP/8/5PP1/6K1 w - -,d4b5
r3r1k1/1bqn2bp/p2p1pp1/1p1Pp3/P1p1P1P1/2P1B1N1/1PB2PP1/R2QR1K1 w - -,g3f1
5b2/7R/7p/4k1p1/5p2/1P3K1P/8/8 w - -,h7h8
8/p5k1/4p1B1/1P1b2r1/3r4/5pB1/5P1K/R7 w - -,g6e8
rn3rk1/1p2qppp/p2p1nb1/3Pp1B1/4P1P1/5N1P/PP3P2/R2QRBK1 b - -,b8d7
5k2/5pb1/1p5p/2n1pN2/8/4PP1P/P1B2PK1/8 b - -,h6h5
2rqk2r/1pp1b1pp/p3b3/3pPp2/3NnB2/3B4/PPP2PPP/R2Q1RK1 b k -,d8d7
r1r3k1/5pp1/1p2pq2/3p3p/bP4n1/P1P1PN2/5PPP/RQR2BK1 b - -,c8c3
1rb2rk1/1p1nqpb1/p2p1n1p/2pP2p1/P3P3/2NQ1NPP/1P1B1PB1/R4RK1 b - -,b7b5
5rk1/1p4bp/1p2b1p1/1N2p2n/2P1P3/1P3N2/P4PBK/5R2 w - -,f3g5
r2qr1k1/pp3pbp/2b1p1p1/2BN1n2/4P3/6PP/PP3PB1/1R1Q1RK1 b - e3,e6d5
r2qkb1r/pppnpppp/8/3n1bB1/3P4/5P2/PPP1P1PP/R2QKBNR w KQkq -,e2e4
6k1/6pp/pR6/Q2p4/P1rq4/6P1/6PP/5K2 b - -,d4d3
3q2k1/5rpp/2p3n1/p2p1P2/1B1Pp1P1/1B1b3P/PP3Q2/K6R w - -,b4d2
3N1r2/4R3/p3Qpk1/3p2b1/3q3p/8/P5PP/5K2 b - -,d4f4
8/N2bkp1p/1r2pp2/2Nn4/8/8/6PP/3R1BK1 b - -,b6b2
3r2k1/p6p/1q2p1p1/2p5/8/QP3PP1/P1P2r1P/2KR3R b - -,d8d4
6k1/5pp1/3p3p/8/1pQ1P3/1P4P1/3q1PKP/8 w - -,c4c8
r3q1k1/1p1n3p/p1p1p2r/2PpPp2/PP2nPp1/1Q2P3/6PP/R1N1BRK1 w - -,g2g3
rn1qk2r/pp1b1ppp/5n2/2p1p3/2PP4/1QPBP3/P5PP/R1B1K1NR b KQkq -,e8g8
8/5pk1/b3p1p1/1q2P3/6PP/1p2Q3/1P2NK2/8 b - -,b5c4
r2q1rk1/pppnbppp/3pb3/4p3/P1P1P3/1PN3NP/2P2PP1/R1BQ1RK1 b - -,a7a5
5r1k/b1p2rp1/2n1q1pp/p1P1p3/4N3/PQB1PPP1/3P3P/1R3RK1 b - -,e6d7
2k1r3/1ppq3p/5Q2/p7/Pbpr2p1/5RBP/1P3PP1/5RK1 w - -,h3g4
rn1qrbk1/pb3ppp/1pp5/8/3PNN2/3B1Q2/PP1R1PPP/R5K1 b - -,b8d7
rnb2rk1/pp2qpbp/3p1np1/2p3N1/2PPP3/2N2P2/PP4BP/R1BQ1RK1 w - c6,d4d5
4b3/p4kr1/2pp2pR/2p3P1/2PbBP2/1P6/P1KB4/8 w - -,f4f5
2rr2k1/1b2qp2/2p1pbpp/1pP5/p7/P3PN2/1PQ2PPP/1B1R1RK1 w - -,f3d2
1n3k2/6q1/ppp5/4rB1Q/1P1r3P/5RP1/5P2/6K1 b - -,f8e7
8/7p/p1rb1k2/1p6/6PP/3R1K2/P7/8 b - -,f6e6
r2qr1k1/3n1p1p/b3p1p1/b1ppP1N1/5P1P/P5P1/1BQ1P1B1/R4R1K b - h3,d7b6
8/8/6n1/5pk1/7p/5K1P/8/4R3 b - -,g5f6
2r1rbk1/1pqn1ppp/p2pb3/4n3/P2NP3/2N1B1P1/1PPQBR1P/5R1K b - -,d7b6
r1bqr1k1/1ppn1pp1/3p1n1p/p7/2Pb4/P1N3PP/1P2PPB1/R1BQ1RK1 w - -,d1d4
8/5p2/3p1k2/3Pp3/R3P1RK/8/1rr5/8 b - -,c2c3
r4rk1/pp1b2np/2p1p1p1/2PpP3/6Pq/4BP2/PP1QK1BP/R6R b - -,h4e7
r1bqk2r/pp1n1ppp/2pbpn2/3p4/2P5/1PN1P1P1/P2P1PBP/R1BQK1NR w KQkq -,g1e2
r2q1rk1/pb1n1pbp/1pp1pnp1/3p4/PPPP4/1Q2PN2/1B1NBPPP/R3K2R w KQ -,e1g1
5r2/2RR1p2/1p2rk2/p5pp/8/1P2P1PP/P4P2/6K1 b - -,f6g6
r7/pb3k2/1p2r2p/2pP3p/4Pp1B/1P1P1P2/P3K2P/R5R1 b - -,b7d5
q1r1r1k1/3n1ppp/pPb5/3p4/3N4/5PP1/P4Q1P/2RR1BK1 w - -,d4f5
rnr3k1/1q3pp1/p3p2p/2BpNb2/RP1Pn3/4P2P/4BPP1/Q4RK1 b - -,f7f6
1r3rk1/pp3b1p/6p1/2P5/3Pq3/4R3/P5BP/1R5K w - -,g2e4
6r1/3bbkq1/p1p3p1/1p1pPp2/5P2/3BPNQ1/P1PK2R1/8 w - b6,f3g5
2q1r1k1/1p3pbp/5np1/p4b2/2PBn1P1/5B1P/PP2QP2/3RR1K1 w - -,g4f5
1r6/2k3p1/2p1bb2/p3p2p/2P1B1p1/PNK1P3/1P2R1PP/8 b - -,c7b6
r4rk1/pp2qppp/P3p3/2p1Pb2/1bB3n1/1QN1P3/1P3PPP/R1B2RK1 w - -,e3e4
1rb1r1k1/p1q2pp1/2pb1n1B/3p4/8/P1NB1Q1P/1PP2PP1/1R3RK1 b - -,d5d4
5bk1/p1q2ppp/b1pB4/4r1P1/P2N4/1P5P/3Q1PB1/2R3K1 b - -,f8d6
r1b2rk1/p5p1/1pn1pq1p/2np4/5P1P/2N2NPB/PPP1Q3/2KR3R b - -,f6g6
3r2k1/p5pp/5b2/PppQ4/5Bb1/3P1NP1/1P2P2P/R5K1 b - -,d8d5
r5kr/3n1p1b/p1pB3p/2pp1PpN/P6P/1PqPPQ2/2P1K3/2R4R b - -,a8e8
r1b1kbnr/pp2qppp/2pp4/8/4P3/2N2B2/PPP2PPP/R1BQK2R w KQkq -,c1f4
r2qr1k1/p3ppbp/2p3p1/3n4/8/2N1P1P1/PPQ2P1P/1RBR2K1 b - -,d8a5
6k1/p4pp1/2q1r2p/4P3/4b3/P1BR3P/1P1Q2P1/6K1 w - -,d3d6
4r1kb/5p1p/1r1B2p1/p2p4/2bP4/2N4P/P2R2P1/2Q4K w - -,d6c5
r2r3k/pp3Rbp/6p1/3B1p2/8/PQ3P2/1PP1q3/1K1R4 w - -,d1d3
rnbq1rk1/p3b1p1/1p2pn1p/2pp1p2/2PP3B/3BPN2/PP2NPPP/R2Q1RK1 b - c3,b8c6
5r2/8/1p1kp1Bp/p7/P1P3PP/1P2RP2/3r2K1/8 w - -,g2h3:g2g3
r6r/ppp1kpp1/8/2pbPnNp/8/1P5P/PBP2PP1/R3R1K1 w - -,c2c4
6k1/4b3/4p3/p1p1Pp1p/1rNn1Pp1/1P1q2P1/P5KP/3NRQ2 b - -,d3c2
r3r1k1/p1q3p1/2p2b1p/1pP5/5n2/4PNP1/P1Q2PP1/2RR2K1 w - -,g3f4
4k2r/5p2/ppb1pPrp/2q1P1pQ/2PNn1P1/1P2R1B1/7P/3R1K2 w - -,d4e6
2br2k1/5p2/pq1pp1p1/6Pn/4P3/2N2N1P/2PQ3K/1R6 b - -,b6c7
5rk1/8/3R1Bp1/8/1pp3PP/3nK3/1P3P2/8 b - -,f8e8
r4r2/1p2qpk1/p1p1nnp1/3p3p/PP2Pp1P/2PPB1P1/6B1/R3QR1K w - -,g3f4
1k1r3r/pp3ppp/5n2/8/P7/3nN3/1P2BPPP/2R1K2R w K -,e2d3
rq2r1k1/3nppbp/p2p2p1/1p1R4/1P2P3/4BP2/RPP3PP/4QBK1 b - -,d7b6
r2q1rk1/np1nbppp/p2p2b1/P1pPp3/4P1P1/2P2N1P/1P1N1P2/R1BQRBK1 w - -,c3c4
8/5k2/R1p2r1p/1pP2p2/3p4/1P4KP/1P4P1/8 b - -,f6e6
r4rk1/1pQ2ppp/p1b1pq2/8/5P2/2PB4/PPPR2PP/2K4R w - -,h1e1
6q1/1kr1npb1/1p2p1p1/p2pP3/2pP1PPB/PnP1NN2/1P4K1/5Q1R b - -,e7c6
6k1/2b1q1p1/p3p1Qp/2p2p2/P1N1bP2/1PB1P2P/6P1/6K1 w - -,g1h2
rn3rk1/1bpqppbp/p4np1/1p1P4/5B2/1BN3N1/PPPQ1PPP/R3R1K1 b - -,c7c5
8/6K1/4r3/3bk3/8/8/8/R7 b - -,e6e7
r1brq1k1/1pp2p1p/pn2p1pQ/n2P4/4P3/2N2P1N/PP4PP/1K1R1B1R b - -,e8e7
7k/pp2p1b1/2p1q1pp/3r1p2/3P4/1P2P3/PB1RQPPP/6K1 w - -,h2h3
8/3k4/1P4p1/N4b1p/3Kp2P/6P1/8/8 w - -,a5c4
2q1k2r/r2N2p1/p3Pp1p/1p1Nb1nP/P1p1P1Q1/8/1PP3P1/3R1R1K w k -,g4f5
3r4/6k1/1P6/2p1p2p/2P1Ppp1/1r5P/4R1P1/5R1K w - -,e2a2
8/1p3pk1/6p1/1b2p2p/3bP3/1B1N1P2/P2K2PP/8 b - -,f7f5
r1b2rk1/5ppp/1p6/1R6/p4B2/2P5/PP3bPP/N1K4R w - -,a1c2
r2qk2r/p1nn1p1p/1p2p1p1/2ppP1b1/3P1N2/2P1R3/PP1N1PPP/R1BQ2K1 w kq -,e3f3
5rk1/1R1Q1ppp/8/3p4/2qPp3/4P2P/2r2PP1/5RK1 b - -,h7h6
r1b1k2r/pp4b1/2p2np1/3p1p2/3P4/q2BP3/P1PN1P1N/1R1QK2R w Kkq -,d1f3
3r3r/p2n1kb1/1q6/2RP1p1p/P1P1pP2/4Q1PP/4BN2/6RK w - -,e2h5
5k2/7R/5p2/4pPpN/8/5K2/r7/8 w - -,h5f6
8/pr3p2/1rpk2pp/R7/2K5/1R2PP2/P4P1P/8 w - -,f3f4
8/6k1/5np1/8/5P1P/1R2N1K1/r7/8 w - -,f4f5
r1b1kb1r/pppp2pp/2n2q2/1B2p3/8/5N2/PPPP1PPP/R1BQ1RK1 b kq -,f8e7
2rr2k1/1p1n1pbp/p1pBb1p1/8/NPPpP3/3B4/P4PPP/2RR2K1 b - -,g7f8
5qk1/1RR4p/p7/8/3Pp1p1/6P1/P6P/6K1 b - -,a6a5
8/6R1/4pp2/5r2/5P1b/4PK1k/8/8 b - -,f5c5
4r1k1/R5pp/1pr3q1/5R2/8/P4Q2/1P3PPP/1K6 b - -,c6c5
q4rk1/pb2bppp/1p2Pn2/8/1rQB4/5NP1/P4PBP/R2R2K1 w - -,c4e2
Q7/6pk/4p2p/4Pp1q/3p4/R1r3P1/5PK1/8 w - -,a3c3
8/8/8/R4K1p/1r5k/8/8/8 w - -,f5g6
2q2rk1/1p2pp2/p2p2p1/4n2p/b1PBP3/1Nb2P2/P1P1Q1PP/3R1RK1 b - -,c3d4
rnbqkb1r/pp2pp1p/2p3pn/3p4/3PP3/2N4P/PPP2PP1/R1BQKBNR w KQkq -,g1f3
r2q1rk1/p1p1bppp/2pp4/8/2P1n3/1P2P3/PB3PPP/RN1Q1RK1 w - -,b1c3
2r2rk1/1b1qbppp/1p1ppn2/N7/2P1P3/P1N3B1/4BPPP/R2QR1K1 b - -,b6a5
3r1k2/1pr2np1/p2p1p1p/P2P4/1RN1PP2/3KR1PP/2P5/8 w - -,d3d4
r1bqnrk1/pp2p1bp/2p1n1p1/3pp3/P2P2P1/1BN2NBP/1PPQ1P2/R3K2R w KQ -,f3e5
1knr4/1p6/p1b2Npp/2pN1p2/2Pn1P2/6P1/PP5P/2KR3B w - -,d1e1
4r1k1/bpq2pp1/p6p/P2p4/3N4/2P3P1/1P1Q1PbP/R5K1 w - -,g1g2
2krr3/1pp2p2/5bbp/nNq2p2/4p3/P2P2N1/B1P1QPPP/1R2R1K1 w - -,d3d4
6k1/4R2p/4pp2/pp6/8/1PP1K3/P6P/3r4 w - -,e3e2
3r2k1/p4p1p/1p1b1np1/8/1N6/4PBP1/P1R2P1P/6K1 w - -,b4c6
1rb2rk1/1pp1q1pp/p3pn2/8/2pPNR2/6P1/PP1QP1BP/5RK1 b - -,c8d7
6k1/1P1n1pp1/r2bp1p1/BR6/2pPP3/8/4N1PP/7K b - -,g8f8
r2qr1k1/pbp2ppp/1p1p1n2/4n1N1/1PP1p3/P1Q3P1/1B1PPPBP/R3R1K1 w - -,d2d4
r1b2rk1/ppq1bppp/2nppn2/8/3NPP2/2N5/PPP1B1PP/R1BQ1R1K w - -,d4f3:d4b5
1k1r4/p1N1Rp1p/1pr5/1Q6/3p1P2/5qP1/PP5P/6K1 w - -,c7a6
8/8/8/2p2p2/3k4/3Pr3/1r6/n4K2 b - -,d4c3
rn3rk1/pp1bppbp/1q4p1/2p5/3PP3/Q3BN2/PP2BPPP/3R1RK1 b - -,d7g4
r4rk1/pp1nbppp/1qp1pn2/P2p4/6b1/1P1P1NP1/1BPNPPBP/R2Q1RK1 b - -,b6c7
r1bqkbnr/pp1p1ppp/2n1p3/2p5/4P3/P1N2N2/1PPP1PPP/R1BQKB1R b KQkq -,c6d4
6k1/4q2p/2Qp1bp1/2p5/2n1PN2/6PB/1r5P/3R2K1 b - -,c4e5
rnbqk2r/1p2ppbp/p1p2np1/3p4/2PP1B2/2N1PN1P/PP3PP1/R2QKB1R b KQkq -,e8g8
8/1r6/1P6/8/7p/7K/1R4p1/5k2 w - -,b2g2
6k1/p4p2/1b2p2p/p2q2p1/P2P2P1/1PQ2N1P/5P2/6K1 b - -,d5e4:g8g7
4k3/3r2Q1/1p1q3p/7P/8/1PB3P1/P4P1K/8 w - -,g7g8
r1bq1rk1/1p2bppp/p2ppn2/2n5/2BNP3/2N2P2/PPP1Q1PP/R1B2RK1 b - -,d8c7
rrb3k1/4p1bp/3p2p1/1P1Pnp2/2p5/q1N3PP/P1QBPPB1/1R1R2K1 w - -,c2c1
1r3r1k/1bq1bppp/p2ppn2/5P2/4PN2/PN1Q4/2PB2PP/R4R1K w - -,a1e1
r3kr2/pppb3p/4ppp1/n7/3P2N1/6PP/PP2PPB1/2R2RK1 b q -,a5c6
r2nk2r/1p2qp2/p1np1b1p/2p1pPpN/2B1P1Q1/P1PP4/1P4PP/R1B2RK1 b kq -,e8d7
1n1q1rk1/5pbp/3p4/1NpR1p2/8/4P3/rPQ2PPP/4KB1R w K -,b5c3
2rr2k1/p2qbppp/1pn1p3/2p5/2N5/1P1PQ1P1/PB2PP1P/2R2RK1 w - -,c4e5
8/4pp2/5k1p/3B2p1/6P1/1r2P1KP/5P2/8 b - -,b3c3
