8/2R2k2/6p1/6K1/4rP2/8/8/8 b - -,f7f8
8/3B4/6p1/4Bp1p/4b1k1/6P1/2pK4/8 w - -,d7b5
5r1k/p1r1n1pp/P1b2p2/1p1pp3/3P1P2/2P3P1/2PB2BP/RR4K1 b - -,e5e4
8/3B4/5k1p/2p2p2/5P1P/1P3K2/6P1/2b5 b - -,c1d2
1r6/8/pp3P2/8/kP2R1Kp/8/8/8 w - -,g4h4
r2q1rk1/1p1bppbp/p2p1np1/n1pP4/2P5/1PN3P1/PB1NPPBP/R2Q1RK1 b - -,b7b5
r1bqk2r/ppp3bp/2n2p2/1B1pP3/8/5N2/PPP1QPPP/R1B1K2R b KQkq -,e8g8
5n2/2R2pkp/r1pq2p1/Pp6/1P6/2Q3PP/5P2/5BK1 b - -,g7g8
6k1/1N4b1/3q3p/1p3p2/p1n1p3/P1P2bRP/1P3P1K/2Q5 b - -,d6c7
6k1/2Qb2pp/5p2/3p4/q2P1PP1/4P2P/5K2/8 w - -,f4f5
3q1rk1/p4p1p/bpR1p1p1/4b2n/3PB3/4PN2/P4PPP/1Q4K1 w - -,f3e5
2kr3r/pp1q1p2/2npb1pb/2pN3n/3pPP1P/8/PPP1BN2/R1BQK1R1 w Q -,c2c4
2b2rk1/1r1nqnbp/p4pp1/Qp2p3/4P2B/N1P2N2/PP2BPPP/R4RK1 b - -,d7c5
5rk1/p3qpp1/2p1p1p1/1p1rP3/6P1/6Q1/PPP2R1P/5R1K w - -,h2h4
1r2r1k1/R4p2/3P2p1/3Q4/1p2pq2/5B1b/1PP3P1/3R2K1 w - -,d1d4
1rb2rk1/5pbp/p2p1pp1/3P2B1/3p1P2/2N3N1/PP4PP/1R3RK1 w - -,g5h4
8/2b5/6k1/5p2/p5b1/P1P2N1p/1P3K2/5R2 w - -,f1d1
r1b2rk1/ppqn1pp1/4p2p/2bpP3/5B1P/P1NP1N2/1P2QPP1/R3K2R w KQ -,d3d4
2rr2k1/6bp/2q3p1/3n1p2/2p1p2P/p6R/PP1NQPPB/4R1K1 w - -,b2a3
r3k2r/ppp1qppp/2npb3/8/1bP2B2/4PN2/PP2BPPP/R2Q1RK1 w kq -,f3d4
8/3n1k2/1p1q2p1/p1np3p/P2B1N1P/1P3PP1/2Q3K1/8 b - -,d7b8
2r2b2/kp4p1/4ppp1/pqP5/1r1P1BP1/R4Q1P/K4P2/2R5 w - -,f3c3
r1b1r1k1/1pqn1pb1/3p1npp/pPP5/2P4B/2N2N2/P1Q1BPPP/2R1R1K1 b - -,d7c5
rnbqkb1r/pp2pppp/3p1n2/2pP4/4P3/2P2N2/PP3PPP/RNBQKB1R w KQkq -,f1d3
r1bq1rk1/p3bppp/2n1pn2/1pppP3/8/3P1NP1/PPPN1PBP/R1BQR1K1 b - -,f6d7:f6e8
r5k1/p4p1p/5bp1/n2r4/1pN5/4PN2/PP2KPPP/2R4R b - -,a5c4
1k1r2r1/ppR3pp/4Bn2/R5B1/3p4/1P4P1/1P2PP1P/6K1 b - -,b8c7
r1bqk2r/pp3pp1/2nbpn1p/3p4/3P4/1P1B1N2/PBP2PPP/RN1Q1RK1 w kq -,b1d2
8/1p6/p2p4/2bPppkp/P1P5/1P3P2/4N1KP/8 b - -,h5h4
r2qk2r/pb1p1ppp/1pn1pn2/2b5/2P1P3/PNN5/1PQ2PPP/R1B1KB1R w KQkq -,c1f4:c1g5:b3c5:f2f3
6k1/1p3ppp/2pq4/Q4n2/P4P2/2P4P/1P2r1BK/N7 w - -,a5f5
N1b4r/1p3k2/p2pq3/6Pp/P3nP2/4R3/2P4P/R2Q3K w - -,d1d4
r1bqk1nr/1pp1nppp/1b6/pP1P4/P1B5/1QPp1N2/5PPP/RNB1K2R b KQkq -,d8d6
2r1n1k1/2q2pp1/pp1pp2p/2r5/P1P1PQ2/1PNR1PP1/6KP/3R4 w - -,g2h1
nrr3k1/3qppbp/3p1np1/2pP4/P3P3/1PN2N1P/R1QB1PP1/1R4K1 w - -,c3b5
5rk1/p1ppn1pp/1p6/2PP1p2/2P1q3/4PR2/PB2Q2r/4NKR1 b - -,h2e2
8/p4kp1/1p2p2p/3rn3/P4B1P/2P3P1/6K1/1R6 w - -,b1b5
6rr/3Ppk2/3p1p2/5P1p/p1pR2PR/P1P5/1P6/2K5 w - -,d4c4
r2qk2r/pbpnn1b1/1p1pp1pp/5p2/2PPP3/2N1BN1P/PP1QBPP1/R3K2R w KQkq f6,e2d3
8/4k1pp/2b1pp2/1p6/3P4/P3NP2/5KPP/8 w - -,f2e2
1r3rk1/pq2ppbp/6p1/5b2/8/Q2BBP2/PPP3PP/2KR3R w - -,b2b3
8/p5b1/7p/2p2k2/4pr1p/1PN1R3/P3KPP1/8 b - -,g7d4
r1bqkb1r/5p1p/p1p1pPp1/3pP3/P5Q1/2NPB3/1P4PP/R4RK1 w kq -,b2b4
1r3rk1/3bppb1/3p3p/p1pP2p1/1qQ1P3/1B2N1P1/PP3PPK/1RR5 b - -,a5a4
r3k2r/5pp1/2ppbq1p/pp2p3/3PP3/1BQ5/PPP2PPP/R4RK1 b kq -,e6d7
r2qr1k1/p2nbppp/1pR5/8/3PNn2/6P1/PP3PBP/3Q1RK1 w - -,g3f4
r2qrbk1/pp3p1p/2p2np1/3p4/1P1P1P2/3BPR2/P1QB2PP/R5K1 w - -,a1f1
rn3rk1/2q2ppp/pn2p3/1pb1P3/3N1B2/2N2Q2/PPP3PP/R4R1K w - -,d4b3
2n3k1/pp3p1p/2p4r/P5p1/2PP4/2PB2P1/5K1P/R7 w - -,f2g2
8/1p4p1/1K1Pkp2/7p/1P6/5P2/6P1/8 b - -,e6d6
8/4Rpk1/6p1/4P1K1/5PP1/8/8/4r3 b - -,e1e2
r5k1/1b2ppbp/1p4p1/rB3n2/2PP4/N2R1PP1/PB2K2P/R7 w - -,a1d1
r1bq1rk1/ppp1ppbp/2np1np1/6B1/2BP4/2P1PN2/PP1N1PPP/R2QK2R b KQ -,d8e8
4r1k1/1p4p1/3B3p/2P4P/p1NK4/1b3RP1/4r3/8 w - -,c4e5
5b2/5P2/8/2k4p/3p3P/8/3K4/8 b - -,c5d5
rn3rk1/pp2qppp/2p1b3/3n4/8/P1NBP3/1PQ2PPP/R1B1K2R b KQ -,d5c3
6r1/2qpkp2/4p3/2b2p2/1p2QP2/6PP/P1P3BK/3R4 w - -,e4f3
5r2/3qnpkn/ppp1r2N/4P1p1/1P1P2Q1/P5BP/6P1/4RRK1 w - -,h6f5
r1b1kb1r/4pppp/B4n2/3pq3/R7/1Q2P3/1P3PPP/1NB2RK1 b kq -,c8a6
r1b1k2r/pp2ppbp/2n2np1/1B1q4/3p4/2P2N1P/PP3PP1/RNBQ1RK1 w kq -,f3d4
4qr1k/1p1R2p1/p7/2Q2pp1/8/1B2P3/PP3PPP/6K1 b - -,f8f6
5r2/5pkp/pN4p1/8/1pPn3P/PP4P1/5K2/R7 b - -,d4c2
r1b2rk1/2q1bppp/p2p1n2/np1Pp3/4P3/5N1P/PPB2PP1/R1BQRNK1 b - -,c8d7
r1bqk2r/pp1nbp2/2n1p3/2PpP2p/1P1N2p1/2PB4/P2N1PPP/R1BQ1RK1 b kq -,c6e5
5R2/5P2/5kr1/4p2K/7P/8/8/8 b - -,g6g7
8/3R1pk1/8/1r1p1Pb1/3P2N1/4P3/6K1/8 b - -,g7g8
2rq1rk1/1b4pp/pp2pb2/3nNp2/P1BP4/3R4/1P1BQPPP/4R1K1 w - -,d3b3
r1b1kb1r/pp1p1ppp/1qn1p3/2p3Bn/3P4/1QP1PN2/PP3PPP/RN2KB1R b KQkq -,h7h6
r2q1rk1/p4p1p/3pb1pQ/3Rp3/1p2P3/1P3P2/1PP1N1PP/2K4R w - -,d5d3
6k1/5pp1/3Nn2p/4P3/pB2P2P/1b2K1P1/8/8 b - -,e6d8
5rk1/pp3pp1/4pn1p/2q5/2PR4/7P/PPQ3P1/3R3K b - -,f6d5
r1bq1rk1/pp4bp/2pp1n2/2PP1pp1/2n1p3/B1N1P1P1/P3NPBP/1R1Q1RK1 w - -,d1a4
r1b2rk1/5pBp/p1qpn1p1/1pp5/1PP1N3/3P1N2/P2Q1PPP/R4RK1 b - -,g8g7
2r2rk1/pp3pbp/3p2p1/1bpP4/4PB2/5BP1/P6P/1R2R2K b - -,b5d3
8/3n4/8/8/2kbKN2/8/8/8 w - -,f4e6
2r3k1/7p/8/p7/3B4/n3PP2/5P1P/1R5K w - -,b1a1
5rk1/1q3ppp/4p3/1p1nN3/2PP4/rn6/3BQPPP/1R3RK1 b - -,b5c4
2rq1rk1/1p3pp1/p1n2np1/8/3b4/1PN2B1P/PB3PP1/2RQ1RK1 w - -,c3a4
2rqb1k1/RR1r1pp1/2p1p2p/2Q5/3PP2P/5BP1/5PK1/8 b - -,d7d4
r3r3/2Qbkpp1/2p1p1q1/1p6/p2P4/P7/BPP5/1K3R1R b - -,a8c8
8/6k1/1q3p1p/5R2/6Pp/5B2/5PK1/8 w - -,f5h5
r2q1rk1/pb1p1ppp/1p2pn2/2n5/1bP5/2N2NP1/PPQBPPBP/R3K2R w KQ -,e1g1
r1bq1rk1/pp3pb1/2n2npp/4p3/3pP3/P2P1NP1/1P1N1PBP/R1BQR1K1 w - -,b2b4
r1bq1rk1/p2n1ppp/1p3n2/3p4/3P4/1QB2NP1/P3PPBP/R4RK1 w - -,f3e5
2k4r/pppq1p2/3p4/3NpP2/2PnQ2b/1P6/PB1P4/R5qK w - -,h1g1
6k1/pp4b1/n1p3pp/5p2/3N4/BPN1PbP1/P4P1P/6K1 b - -,g7d4
r4rk1/p1pnq1pp/3p1n2/3P1p2/3p4/1Q2PP2/P3B1PP/R1B2RK1 b - -,a8e8
r7/1pkbb3/p7/3p4/1P6/P3Q1Pq/4RP2/2R3K1 b - -,d7c6
r1b1k2r/pp1n1pp1/2p2n1p/4p1P1/2B1P3/2N1bN1P/PPP2P2/2KRR3 w - -,e1e3
r1b2rk1/pp2bppp/2p5/q3P3/4B3/1PP2Q2/PB3PPP/R3K2R b KQ -,a5e5
r1b1kb1r/1p3ppp/p2pp3/6Bn/3RPP2/2N5/PPP3PP/2K2B1R w kq -,f4f5
r2qr1k1/pp1nppbp/n2p2p1/2pP4/4PB2/2N2B1P/PPPQ1PP1/R4RK1 w - -,f1e1
r4rk1/1pq3pp/p1n1p3/P1Np4/3PpP2/2P3P1/1PQ4P/R4RK1 b - -,f8f6
8/2R5/pB4p1/P6p/3nr2P/3k4/2p2K1P/8 b - -,d3d2
8/8/8/2K5/5p2/2R1k3/8/8 b - -,e3e4
5rk1/1p1b1qpp/p7/4B3/2pQ4/P7/1P3PPP/5RK1 w - -,f2f4
r2n1rk1/2p1q1pp/p4p2/1p2p3/1P2P3/2P1QN2/1P3PPP/R2R2K1 b - -,d8e6
3r4/p5k1/1p4pp/1PbPpp2/P7/7P/4BPP1/R5K1 w - -,e2c4
r2q1rk1/1pp1ppbp/2b2np1/8/p2P4/4PNP1/PP1BQPBP/R4RK1 b - -,c6d5
5rk1/5p2/B2Rp2p/3b4/R3p3/2r3P1/p1P3PK/8 w - -,d6d5
r7/4p1k1/1p1p3p/p1r1n1p1/2P5/1P5P/P2RBPP1/3R2K1 w - -,g2g3
5qk1/1p4pp/p1p1rn2/6R1/PP6/2BP1QP1/5P1P/6K1 b - -,f8d6
5rk1/p2nbppp/qp2p3/3pP3/1n1P4/1QN2NB1/PP3PPP/5RK1 b - -,f8c8
1rbq1rk1/2p1ppbp/p1np1np1/1p6/2PPP3/2N2NPP/PP3PB1/R1BQ1RK1 w - b6,d4d5:c4b5:e4e5
8/p3qk1p/7b/3p4/2pP2QP/2P1P3/P7/5N1K b - -,e7a3
2r1r1k1/pb2qpp1/1pp1nb1p/3p4/3P4/1QNNP1P1/PP3PBP/2RR2K1 w - -,b3a4
7r/1ppb1qk1/n2p1np1/1N1P4/N1PBPp2/8/PP2B1QP/7K b - -,f7e7
4kb1r/pp4pp/8/3pN3/2p5/4B1P1/PP2nP1P/5R1K w k -,f1e1
3rk3/1p2qp1Q/pN1pb1r1/4p3/3nP3/1PRB2Pp/P4P2/2R3K1 b - -,e7f6
r2q1rk1/pp1bppbp/1nn3p1/1R6/3P3N/N3P1P1/P2Q1PBP/2B2RK1 w - -,f1d1
r3k2r/1bqnbpp1/p2ppn2/8/NP2PP2/3B1NPp/2PBQ2P/R4R1K b kq -,d6d5
r4rk1/1p3pbp/p2N2p1/8/8/5PP1/PPp3BP/4R2K w - -,e1c1
2r2k2/p4pbp/3pbnp1/1p6/q2BP1PP/P4P2/1PPQB3/2KR3R w - -,g4g5
2b2rk1/1p2q1pp/5n2/2p2p2/1bP1p3/1N1P2P1/1B2PPBP/3Q1RK1 w - c6,b2f6
r1bq1rk1/ppp1npbp/1n4p1/8/3p4/BPN2NP1/P3PPBP/2RQ1RK1 w - -,c3b5
1nkr1b1r/1pp1n1pp/p4pq1/1B6/Q1P5/1N2BP2/PP3P1P/2KR3R b - -,d8d1
5rk1/1R5p/1P6/3N1b2/7R/5P2/1r4PK/8 b - -,f5d3
8/2k1K3/5R1p/6p1/6P1/5P1P/8/3r4 b - -,d1d3
1n1k4/1pr3pp/4p3/3pPp2/1N1P1P2/bPrN4/P2RR1PP/6K1 w - -,d2c2
3r4/2r1k1p1/pp1bp2p/4p3/1P2B2P/P2RP1P1/5PK1/3R4 b - h3,d8d7
r2qk2r/ppp1bppp/2n1bn2/3pp1B1/8/3P1NP1/PPP1PPBP/RN1Q1RK1 w kq -,b1c3
3b4/3r1pk1/1pbB2pp/p1p1P1n1/P1N3P1/2P4P/1P3K2/3R1B2 w - -,d1a1
4R3/p4pkp/5b2/6p1/PBBn4/7P/5PPK/3r4 w - -,c4d5
8/p1b5/6pk/5P1p/1P1p3q/P2Q4/4BK2/8 w - -,f2g2
3kr1r1/p1p1b3/1p3pp1/3Pp2p/2P1P1bP/2PR2P1/P5B1/1KB1R3 w - -,c1e3
8/6k1/p1p1p1b1/PpPpP3/1P1Kp3/6P1/4B3/8 w - -,e2g4
k7/P7/1Bp2Kp1/2P4p/8/3b2PP/8/8 b - -,a8b7
8/6k1/5R2/8/5R2/5P1P/5qPK/8 b - -,f2b2
1r3rk1/2q3pp/1pn1b3/p1p1p3/P1P1Pp1b/2BP3P/3NBPP1/QR1R2K1 b - -,h4f6
r1b1r1k1/ppqn1pp1/2pbp2p/8/2PpPP2/PP4P1/2QBP1BP/R3NRK1 b - f3,e6e5
5r1k/1p2r2p/p2pPp2/2pP1p2/2P2P2/PP4q1/3K1R1R/2Q5 w - -,c1d1
r1bqkbnr/4n1pp/p2p1p2/1p1Np1B1/4P3/N7/PPP2PPP/R2QKB1R w KQkq -,g5e3
3rr1k1/pbq2pb1/1pn4p/2ppP3/6P1/2P1PN1P/PPBN2K1/2RQR3 w - -,d1e2
8/5rp1/3kpn2/1B1p3P/1K1P4/P1P5/6R1/8 w - -,g2f2
r3kb1r/pp4pp/2p1p3/2n1P3/4P3/P3BP2/1P4PP/R3KB1R w KQ -,f1c4
5bk1/pQ5p/3p2p1/1q2n3/7P/2P5/b1RNN1B1/5K2 b - -,b5a5
r1bqk2r/ppp1npbp/2np2p1/4p3/4P3/3P1NP1/PPPN1PBP/R1BQK2R w KQkq -,e1g1
r2q1rk1/pp1n2p1/2pbp2p/3n1p2/3P3P/2P1NQP1/PPB2P2/R1B2RK1 w - f6,e3c4
4r3/p1p3bk/1pP3pp/1P1r1q2/PNQPpp2/R7/5PPP/3R2K1 b - -,d5d6
1r6/6k1/2p2Rp1/3b2P1/p2Pp2P/2R1P3/1P6/1K6 b - -,b8h8
1r3rk1/3bq1bp/p1pp2p1/2p1p1n1/4P3/1PNP2QP/P1PB1RP1/5R1K w - -,d2g5
r2r2k1/2q1bppp/p1n1p3/1p6/2n1NP2/P1N1B3/1PP3PP/1R2QR1K w - -,f4f5
r4bkr/1p2p1p1/8/p2qB2p/1n2RP2/5Q2/PP4PP/R5K1 b - -,b4c6
8/1N2k3/7p/5p2/4P3/2b5/6PP/6K1 b - -,f5e4
r1nq1rk1/1p1b1pp1/pp1p1n1p/4p3/P1B1P2N/1QPPB2P/1P3PP1/R4RK1 b - -,f6e4
r3r1k1/3q2pp/1pp1pp2/pP6/2PP4/B1P1N1P1/5P1P/R4QK1 w - -,a1b1
8/6p1/7k/4K2p/5Pr1/7R/8/8 w - -,e5f5
8/8/4Kpk1/6p1/4P1n1/5RP1/8/8 b - -,g6g7
r2qk2r/pp1b1pb1/3p2pn/2p1p3/4PP2/2PPB1P1/PP2Q1B1/R2N1RK1 w kq -,f4e5
2r2bk1/2q2ppp/pp1ppn2/2r5/P1PN4/1P2P1P1/2R2PBP/1QR3K1 b - -,c7d7
r2r4/ppq3kp/5pp1/2pP4/2P1p1N1/P3PnPP/1B3PKn/R2QRB2 b - -,h2g4
3qr1k1/r3pp1p/1pbp2p1/p1n1b1B1/2P1P3/1PN2P2/P2Q2PP/2RR1BK1 w - -,g1h1
r1b2r1k/pp3ppp/1qnbpn2/3pN3/3P1P2/PP1B4/1BP3PP/RN1Q1R1K w - -,c2c3
8/4Q2q/5pk1/8/1p4P1/8/6K1/8 w - -,e7e4
8/p7/2pk4/5p1p/2Pp1P1P/3P2K1/P7/8 w - -,g3f3
2r2k2/5p2/2rP2p1/4P3/8/5P2/P1n3P1/2RR3K b - -,c2b4
r1b2r1k/ppp1qppp/2n2n2/2b1p3/4P3/1BP4P/PP2QPPN/RNB2RK1 b - -,c8e6
1r2k2r/3b1p2/2pq1npp/4p3/2BpP3/bP3QNP/P1PB1PP1/R3R1K1 w k -,a1d1
8/3R4/8/6P1/k4B2/1np2P2/3p2K1/2r5 w - -,f4d2
r3k2r/pp5p/2p2pn1/3p4/3Pp3/1N4qP/PPP1B1Nb/R2Q1R1K w kq -,e2h5
r1b1kb1r/1pqp1ppp/p1n1pn2/8/2PNP3/2N5/PP2BPPP/R1BQ1RK1 b kq -,f8b4
r1r3k1/5ppp/5b2/pn6/1p1p4/6P1/PP1BPPNP/1R1R2K1 w - -,g2f4
r1b1k1nr/pp2ppbp/1q1p2p1/2pPn3/4P3/2P3P1/PP2NPBP/RNBQK2R w KQkq -,f2f4
2b5/1p2rkpp/p1p5/2Pp3r/R6P/4PP2/PP3KB1/2R5 w - -,a4f4
r1bqk1nr/ppp1npb1/3p2p1/3Pp2p/2P1P2P/2N3N1/PP3PP1/R1BQKB1R b KQkq -,g8f6
2rqr1k1/1b2ppbp/pp2n1p1/3nN3/2BPN2B/8/PP1Q1PPP/2RR2K1 b - -,b6b5
r3r1k1/2pqnppp/p3b3/1p1pP1Q1/8/2P5/PPB2PPP/R1B1R1K1 w - -,c1e3
r2q1r1k/1pp3pp/p1np1b2/P2Bpb2/8/3PBN1P/1PP2PP1/R2QR1K1 w - -,d1d2
2r2rk1/ppq2pp1/5b1p/2pB4/4P1b1/5NP1/PPQ2PP1/2R2RK1 w - -,f3h2
6k1/pp3r1p/2rPR3/3R4/3p2P1/3P4/P4PK1/8 b - -,f7d7
r7/P4k1p/1p4p1/5p2/1P6/6P1/5R1P/7K w - -,f2a2
8/4k3/R3P3/P4r2/8/4K3/8/8 w - -,e3d4
r3rbk1/1ppq1pp1/p4n1p/4pP2/8/1QP1BN1P/PP3PP1/R3R1K1 w - -,f3h4
4rnkr/pp2b1p1/2p1N3/8/3P3P/4R2B/PPP2P2/2K1R3 b - -,e7d6
3r3r/p3kp2/2q1b1p1/3pPp1p/3P1N1P/1Pp3P1/4QPK1/R1R5 w - -,a1a7
6k1/r3n2p/6p1/1p6/8/1P3P2/4N1PP/3R2K1 b - -,a7a2
8/K1k4p/P1b1p3/6p1/3P1p2/1B5P/8/8 w - -,b3e6
