8/R7/p3rkp1/1p6/2r2KPP/8/3p4/3R4 w - -,f4f3
r1bq1rk1/2nnppbp/3p2p1/p1pP1P2/P3P1N1/2N5/1P2B1PP/R1BQ1RK1 b - -,d7e5
r4r1k/pp4b1/2pN2pp/3Bq3/2P3b1/4BnP1/PP3PKP/R1Q2R2 w - -,e3f4
r1br2k1/pp1n1pb1/4pqpp/2P5/2N1N3/4PB2/PP3PPP/R2Q1RK1 b - -,f6e7
2r2rk1/1pq1b1pp/4pn2/p2p4/Pn2P3/2N1B3/1PP1B1PP/2RQ1RK1 w - -,e4d5
6k1/q4b1p/P1p2pp1/1pPnb3/1P4P1/5B1P/Q4P2/3R2K1 w - -,a2a5
2r5/5kp1/8/8/2Pr1p2/P3pBP1/2K2b1P/2B4R w - -,c1b2
r7/5pk1/4p2p/1p4p1/5P2/PP2N1P1/3nP2P/2R3K1 w - -,c1c5
r2q1rk1/pppnppbp/2np2p1/8/3PP3/2N1Bb1P/PPPQBPP1/R4RK1 w - -,e2f3
3q1rk1/5p1p/p1p3pQ/4Rp2/2Pr4/1P4P1/P4P2/4R2K w - -,h1g2
r2q1rk1/pbpn1ppp/1p2pn2/3p4/1bPP4/P1NBPP2/1P2N1PP/R1BQ1RK1 b - -,b4e7
3r1rk1/p1q1bppp/bp2p3/2pnP3/4NP2/1PP2BPP/P4R2/R1B1Q1K1 b - -,d8d7
2kr3r/p1p2pb1/1p2n2p/3qp3/2N3Q1/3P2P1/PPPB1P1R/R3K3 b Q -,h6h5
r1b1k1r1/pp3p2/3pp3/2p4p/2P3pq/2QPPn2/PP1BNPB1/1RR3K1 w q -,g1f1
1nr2rk1/pb1q1ppp/1p1pp3/1B6/P2PP3/2B2PP1/1P1Q3P/2RR2K1 b - -,d7e7
r1bq1rk1/p2nbpp1/1pp1p2p/2Pp4/1P1P1P2/2NB1N2/P1Q2PPP/R4RK1 b - b3,a7a5
8/r4p2/4p3/4P1p1/1R5p/4k1nP/6P1/1R4K1 b - -,g3f5
r2qr1k1/3b1pbp/p1n3p1/1pp1p2n/P3P2P/1BPP1NP1/1B1N1P2/1R1QR1K1 b - -,h7h6
5k2/3R4/8/6K1/5P2/8/3b4/8 b - -,d2c1
r3k1r1/1pqbnp2/p1n1p3/3pP3/5P2/P1NQ2P1/2P4P/R1B1KB1R b KQq -,a8c8
rnb1k2r/ppp1q1pp/3pp3/8/2P5/2R2NP1/PP2PP1P/3QKB1R w Kkq -,f3d4
r3k2r/p1p1npp1/1pnqb3/2p1p2p/2P5/3PBNPP/PP2PPB1/R2QK2R w KQkq -,f3g5
3q1r1k/1rp1b1p1/b6p/p2pP3/Pn1P1n2/1BR1BN1P/5P1N/1R1Q2K1 w - -,e3f4
8/p3bpk1/6p1/q1p1P3/3pR3/1P3P1N/P3QKP1/7r b - -,a5c3
8/p2q1pbk/1p2b1pp/3p4/3P4/5PP1/PP1QNKBP/2r5 w - -,d2c1
r1q2rk1/1ppb2bp/3p1np1/p1nPp3/2P1P3/1PN1B1NP/P1Q2P2/2R1KB1R b K -,b7b6
3r1rk1/pbpnq1b1/1p1pp2p/6p1/1PPPPp2/P2B1NBP/5PP1/2RQR1K1 w - -,g3h2
8/3Bkp2/1p4p1/p1p4p/P1b1P2P/5KP1/1P6/8 w - -,d7c6
6k1/2R5/3p4/3P2R1/2P2p1P/5P2/r1r3PK/8 b - -,g8h8
3r1k2/1p3ppp/1r1Pbn2/p3N3/3R4/1P4PP/P5B1/3R2K1 w - -,e5c4
r1b2r2/4q1pk/p3p3/N4p2/Pp6/1PnQPN2/5PPP/R2R2K1 w - -,d3d6
4rrk1/pp3ppp/2b5/2p5/3qP3/1QNP2P1/PP2PR1P/5RK1 b - -,a7a6
3r2k1/2q2p1p/1pp3p1/p1n1PN2/P1P2P2/6QP/6PK/3R4 w - -,f5d6
8/8/8/5R1p/6p1/1r4P1/4KPk1/8 b - -,b3b2
7k/6p1/p4r2/1p3q1p/1Q6/5pPP/PP3P1K/4R3 w - b6,e1e8
8/4b1k1/4b3/3pPp2/2pP2pp/2P1P1P1/2Q2KB1/q4N2 w - -,g2h1
3rr1k1/pp3pp1/1bp4p/3nPB2/P2P4/2P5/1B2R1PP/3R1K2 w - -,c3c4
5rk1/1p3p2/7p/2PNp3/1R1P2Pb/r6P/5PK1/7R b - -,f8d8
r2q1rk1/1pp2pbp/6p1/p1pPp3/2P1P1n1/2N2N1P/PPQ2PP1/R4RK1 b - -,g4f6
7k/8/5KPP/5B2/8/1b6/8/8 b - -,b3f7
r1bb1rk1/p1q2pp1/1p1p1n1p/3P4/1pPB4/3B1N1P/P4PP1/2RQR1K1 w - -,d3b1
r1bqk1nr/1ppp1ppp/p1n5/2b1p3/2P5/2N1P1P1/PP1P1PBP/R1BQK1NR b KQkq -,g8f6:d7d6
8/qN1K2b1/2R5/1P2p2k/4Pp2/8/8/8 b - -,a7b7
1rq3rk/p1p1R2p/3p1p2/2p5/8/PP4Q1/1P4PP/5RK1 w - -,e7h7
r4rk1/b1pqnpp1/pP1p3p/3Pp3/1P6/BQN1PPP1/3P2KP/R1R5 b - -,a7b6
1B6/p2rkp1p/2B1b3/6p1/P1rb4/7P/3R1PP1/3R2K1 b - -,d4f2
8/2p2p2/4bK2/1k2r1P1/8/8/1p6/5R2 w - -,f6e5
1r3rk1/1pp3bp/p2p1qp1/2nP4/2PpB3/6PP/PP2NP2/1R1Q1RK1 w - -,e4g2
2rq1r1k/6pp/p2p4/1pn1pb2/1NP5/1P4P1/P4PP1/R1BQ1RK1 w - b6,c4b5
rn1qk1nr/ppp1ppbp/3p2p1/8/2PPP1b1/5N2/PP3PPP/RNBQKB1R w KQkq -,f1e2:b1c3
r2q1rk1/pp3pbp/1n2p1p1/1N1p4/3PnBb1/1Q3NP1/PP2PPBP/R1R3K1 w - -,h2h3
3r1rk1/2R1Rp1p/8/1p3p1P/3P4/p3P1P1/5PK1/8 w - -,c7c2
r1bqk2r/ppp2ppp/2np1n2/2b1p3/4P3/2N3P1/PPPPNPBP/R1BQ1RK1 b kq -,c8e6
5r1k/p3Npp1/3p3p/3B3q/2P3nP/3n4/Pr5P/R4RQK w - -,g1g3
2kr1br1/1p3p1p/2n2p2/p1Pppb2/8/1PPNB3/P3BPPP/2KR3R w - -,h1g1
8/7p/6p1/2R1K3/2P3k1/7r/8/8 b - -,g6g5
6k1/5p1p/3p2PP/1p2p3/1Pn1b2P/2P3Q1/4q1BK/6B1 b - -,h7g6
rnb1kb1r/1pqp1ppp/p3pn2/8/3NP3/2NB4/PPP1QPPP/R1B1K2R b KQkq -,d7d6:f8c5
r2k2R1/pp2q3/3p4/1BpPp3/4p3/4Q3/PPP1N2r/2K5 b - -,d8c7
7r/RR6/5pk1/7p/1pr4P/6PK/P7/8 b - -,h8g8
5k2/1p3p1p/3R4/3P2p1/4P1Pb/1P6/2r4P/7K b - -,c2e2
rnb1rnk1/pp3p1p/3pp1p1/q1pP2P1/2P1PB1Q/2P5/P4P2/2KR1BNR w - -,f4d6
8/1R1b2pp/3kp3/1N3p2/1p6/7P/r4PP1/6K1 b - -,d6c6
8/4q1k1/p5p1/1p5p/1PpbB2P/P4QP1/4K3/8 w - -,e2d2
6k1/6pp/8/5R2/8/6P1/r4PKP/8 b - -,g7g6
r1b2rk1/pp3pbp/1q4p1/3Bpn2/P3N3/2P2QP1/1P3P1P/R1BR2K1 w - -,a4a5
1rb2rk1/p3p1b1/3q3p/1BpPp1p1/8/4R1B1/P1PQ1PP1/1R4K1 w - -,b1b3
rn1q1rk1/pbp2ppp/1p2pn2/3p4/1bPP4/2N1PN2/PP1B1PPP/2RQKB1R w K -,d1b3
rnbqk1nr/pp1pppbp/2p3p1/8/3PP3/2P1B3/PP3PPP/RN1QKBNR b KQkq -,d7d6:d7d5
6n1/5pk1/p1prqrp1/1pRp3p/PP1P3P/2R1P1P1/2Q1BPK1/8 b - -,g8h6
8/3n1p2/3N1k2/1ppPp2P/4P3/1P6/2P2K2/8 w - -,f2e3
rn1qk2r/pbp1ppbp/1p3np1/4P3/2QP4/2N2N2/PP3PPP/R1B1KB1R b KQkq -,f6d5
3q1rk1/1Q3pp1/p3p2p/8/3b1B1P/8/PP3PP1/5RK1 w - -,b7a6
r1b1r1k1/pp3pbp/1q1p1np1/2pP4/8/2N3P1/PPQ1PPBP/R1B2RK1 b - -,c8d7
3B2k1/1p3ppp/4p3/5b2/8/1B6/P4PPP/b4K2 w - -,f1e2
r3rn2/5kb1/3p1pp1/3P4/1p1BPP1q/1Pp3N1/2P3R1/4RQK1 w - -,f1d3
5rk1/ppN1q2p/4bn1Q/n1p2p2/2Pp1p2/3B1P2/PKP3PP/4R2R b - -,e7c7
r3q1k1/1p1bb2p/3n2r1/p2Pp1p1/P3P3/1PN1BPP1/3Q4/2R1RBK1 b - -,e8f7
8/2k5/3b1n2/7p/1p6/5BP1/rN2PPK1/1R6 b - -,a2a5
2b1nrk1/R4p1p/3p2p1/2pP2P1/1pP1P3/1P4QP/1q2B1K1/6N1 b - -,b2d2
r3kb1r/4qppp/pp2bn2/1Np1R3/5B2/2QB4/PPP2PPP/R5K1 b kq -,a6b5
r2r3k/p4pp1/4p2p/N3P3/P2p4/2nN4/2bK1PPP/R5R1 b - -,c2a4
r4r2/1p1nkp1p/2bpp1p1/8/2N1P3/1B3P2/PRP3PP/3R2K1 b - -,d6d5
r2q1rk1/p2n2pp/3bp3/3p1p2/QP1P4/4PN2/1B3PPP/2R2RK1 b - -,d7b6
8/4r1kp/1p1p2p1/pPpP4/P3P3/5KP1/7P/4R3 b - -,g7f6
2r2r1k/2q2P1p/1n1p2pP/3np3/1pP1P3/1N2QP2/PK5R/3R4 w - -,e3d3
7Q/8/6p1/K3pq2/6kP/8/8/8 w - -,a5a6
r2q1rk1/ppp1bpp1/2npbn1p/4p3/2B1P3/P1NPBN1P/1PP2PP1/R2Q1RK1 w - -,c4b5
r1b1qrk1/ppn1p1bp/2pp1np1/5p2/2PP4/PP3NP1/1BQNPPBP/R4RK1 b - -,a8b8
r3r1k1/5pp1/p1p2b2/q1B1nP1p/N1PpQ3/1P6/P4PPP/3RRK2 w - h6,c5b6
r5k1/3q1r2/1p2b3/p1p1n1pp/3pPn2/BP1P1P2/P1R3Bp/3QNR1K w - c6,a3c1
r3r1k1/3R2pp/b1p2p2/1p6/2p5/P4PB1/1PP2KPP/5R2 w - -,f1d1
rnbqkbnr/pp3ppp/4p3/8/3N4/2N1B3/PPP2PPP/R2QKB1R b KQkq -,a7a6
6k1/6p1/p3p2p/1pp5/5Q2/6PP/qP3P1K/8 w - -,f4b8
4r1k1/Q1r2pp1/4qn1p/3b1N2/8/6P1/P3PRBP/6K1 w - -,a7c7
Q5k1/5p2/4qPpp/8/2p3P1/4N2P/PP6/6K1 b - -,g8h7
r7/1Q4kp/p2p1rp1/4q3/4P3/3B4/P1P3PP/5R1K b - -,g7h6
r1b1kb1r/ppq2ppp/3p1n2/nP2p3/4P3/2PQ1NP1/P4PBP/RNB2RK1 w kq -,b1d2
r2n1rk1/pp2pbb1/3q2pp/2NpNp2/3P1P2/7P/PP3PP1/2RQRBK1 w - -,d1b3
2r3k1/1p3ppp/pBp1b3/8/8/P4B2/5PPP/1R4K1 w - -,a3a4
rqb2rk1/1p1nppbp/p1np2p1/8/3NPP2/2PB1N2/PP2Q1PP/R1B2RK1 w - -,c1e3
8/8/3k1n2/p2b1r2/5P1R/1P1RK3/P6P/8 b - -,d6c5
r2q1rk1/pp1nbppn/2p3p1/3p4/P2P2P1/3B3P/1PP1NPKB/R2Q1R2 w - -,f2f4
8/8/8/5Pk1/4K3/1P4PP/8/4b3 w - -,g3g4
8/5pkp/3p2p1/p4q2/4pP2/1P1rP2P/P1R2PK1/4Q3 w - -,e1a1
8/1q2r3/8/k3P1p1/p1Q5/6Pp/2P4P/1R4K1 w - -,c4c5
r4rk1/1p1b1pp1/p1np3p/P1pBp1Q1/4P3/2PP3P/1P3PPN/R3R1K1 b - -,h6g5
6k1/8/p7/3BBPn1/P1p3r1/1p1b4/5K2/3R4 b - -,g8f8
r2q2k1/7p/1pp1pr2/3pB1p1/2bPP3/2N3P1/PPQ4P/R5K1 w - -,e5f6
8/2p2r1k/q1Pp1n1p/3P1N2/4Pp2/5R2/2Q3P1/6K1 b - -,a6a1
2r5/1p6/p3pk1p/3b1p2/3Np3/4P1P1/PP1K1P1P/7R b - -,d5a2
3n2k1/p1q4p/2p3p1/5p2/5P2/2N1Q1P1/PPP4P/2K5 w - -,e3e8
r5k1/pp2p2p/1n4p1/2NPb3/7B/3R4/1PP3PP/2K1r3 w - -,h4e1
