4k2K/8/8/5q2/8/8/1Q6/8 b - -,f5h5
r3k2r/pp2qpp1/2n2n1p/3p4/3P4/2N1PRPB/PP1Q3P/R5K1 b kq -,e8g8
2Rr2k1/7p/p4pp1/2pp4/3n1N2/1P6/P4PPP/3R2K1 b - -,d8c8
2r5/5p2/p7/1p1k3p/4RPbP/P1P3P1/1P3K2/8 w - -,e4d4
8/p7/1p2r1p1/2p2k2/2Pp1P2/1P1K3R/P7/8 b - -,f5f4
8/3r1ppp/8/8/1p5P/2k1K1P1/5P2/1R6 w - -,b1c1
r4rk1/1b1nqpbp/ppn3p1/4p3/2N1P3/3BBN2/PP2QPPP/R3R1K1 b - -,b6b5
2k5/8/5R2/2P1Bp2/4bP2/r7/3K4/8 b - -,c8b7
3rr1q1/pbQ3p1/1pk1N1p1/2p3B1/3p2B1/2n5/2P2P2/2KR3R b - -,c6b5
8/6k1/3n1r2/6K1/8/8/8/4R3 w - -,g5g4
r3kb1r/1b1p1ppp/p4n2/3nq3/8/1N1BB3/PPP1QPPP/2KR3R w kq -,e2d2
4rrk1/1q2b1pp/2p1p3/Pn1n4/3BN3/P5P1/1Q3P1P/R2R1BK1 b - -,f8f7
7k/2nB3p/3p3P/p2P2p1/2P2pP1/4r3/P4K2/5R2 b - -,e3c3
r1r1q1k1/1p2ppbp/6p1/1R2P3/P1p3b1/2Bn1NP1/1P2QPBP/3R2K1 b - -,g4d7
8/1R4pp/7k/8/8/5P2/r6P/4K3 w - -,h2h4
8/8/r5pK/1p3p2/2k2P2/8/P2R2PP/8 b - -,c4c3
1rbq1rk1/3n1pbp/1pp1pnp1/p2p4/P1PP4/1QN1PN2/1P1BBPPP/2RR2K1 w - -,e2d3
5k2/5n1p/p3p1p1/1pb1B3/4KPP1/1P4NP/P7/8 w - -,g3e2
2r2k2/pp3pp1/3r4/7p/Pn2P3/1P1p1PPP/3R2K1/3RN3 b - -,c8c3
r1bq1rk1/pp1n1ppp/3p1n2/2pP4/1bP5/2NB4/PP2NPPP/R1BQK2R w KQ -,e1g1
8/pr4pp/3k4/1ppn4/4R3/3P2P1/P4P1P/4R1K1 w - -,e4e6
5rk1/pp2rp1p/2p2np1/4n3/3RP3/P4N1P/BPP3P1/3R3K b - -,g8g7
8/p3qr1k/1p2r1p1/3p3p/8/P1PQ1P1R/6P1/3R2K1 b - -,e6e1
r4rk1/2qnnppp/1p2p3/pP1pP3/P1pP4/2P2N2/3NQPPP/R4RK1 w - a6,f3h4
8/3k2p1/1p2ppnp/p3P3/2P1K1PP/1P3N2/P7/8 b - -,g6e7
8/5qpk/4p3/3nB2P/3P2P1/6K1/4Q3/8 w - -,g3h4
8/2b3k1/2P3p1/1P2pp2/3pB3/7P/5P2/6K1 w - f6,e4d5
4k3/1p1r1pp1/p1pBn2r/P3PR1p/4P2P/3R2P1/1P1K4/8 b - -,d7d8
r5k1/pp3ppp/2p5/6Q1/2PP4/5qP1/PP3P1P/R5K1 b - -,a8e8
8/1pp5/4b2k/p3p3/1P2P2P/P5N1/2PK4/8 b - -,a5b4
rnbqk2r/p3bppp/2p1pN2/8/PpBP4/4PN2/1P3PPP/R1BQK2R b KQkq -,e7f6
3rk3/ppp1qp1p/4npr1/4p3/4P3/N1P3P1/PP3R1P/3R1Q1K w - -,d1d8
r5rk/ppq2p1p/2n1p3/1Q1p1p2/3Pn3/2P1NN1P/PP3PP1/R3RK2 b - -,a7a6
r1bq1rk1/ppn1p1bp/2pp1np1/8/1PP1P3/2N3P1/P3NPBP/1RBQ1RK1 b - -,c8e6
rn1q1rk1/pp2ppbp/2p2np1/3p4/2PP1B2/2NBPQ1P/PP3PP1/R3K2R b KQ -,d8a5
8/5p1k/6p1/3b3p/3Pn3/1p5P/rPqNQ1P1/1R2B1K1 w - -,e2b5
r2q1rk1/pppb1ppp/2n1pn2/3p4/1bPP4/2NBPN2/PP3PPP/R1BQ1RK1 w - -,a2a3
rn6/pn1kp3/1p2p2Q/2pp4/3P4/2P1BP2/PP1N2q1/R3K1N1 w Q c6,g1e2
rnbq1rk1/ppppppbp/5np1/3P4/2P5/5N2/PP2PPPP/RNBQKB1R w KQ -,b1c3
5rk1/pn4p1/rn5q/2pP1p2/2P5/PQ4N1/7P/R3RB1K b - -,b7d6
r1b2rk1/pp1n1pbp/1q1p1np1/3Pp3/4P3/2N2NPP/PP3PB1/R1BQ1RK1 b - -,d7c5
8/8/p4p2/4k1pp/2K1P3/r6P/5RP1/8 b - -,a3a4
3rr1k1/p4pp1/4nn2/1pqp2p1/8/P1N1PPP1/1P3QBP/3RR1K1 w - b6,d1d2
1r2r1k1/1bq2ppp/p4b2/5Q2/4p3/1R4PP/1PP2PB1/3RN1K1 b - -,b7c8
r1bqr1k1/4ppbp/1pp2np1/p2pn3/P2P1B2/2P1P2P/1P1NBPP1/R2Q1RK1 w - -,f4e5
r1bqr1k1/pp3ppp/2n2n2/1Bbp4/8/1N3N2/PPP1QPPP/R1B2RK1 w - -,e2d3
r2qk2r/bpp1nppp/p1n5/4pb2/2P5/BPN1P1P1/P3NPBP/R2QK2R b KQkq -,d8d7
r2q1rk1/1b2bppp/p2p1n2/npp1p3/4P1P1/2PP1N1P/PPB2P2/R1BQKN1R w KQ -,f1g3
1kbr1r2/p1p1bqp1/1p2p2p/1P2Pn2/N1B4n/PR3N2/1B3PPP/4RQK1 w - -,f3h4
r4rk1/pp2qpp1/1nb1pn1p/8/2P5/PN1B1Q2/1P1B1PPP/2R1R1K1 w - -,f3h3
5r2/p3prk1/1p2P1p1/1P1p4/P6p/R4n1P/3R2P1/5K2 w - -,d2d5
4b3/8/4P1k1/5N2/1p5P/1P2K3/8/8 w - -,f5d6
r1n1qrk1/pp1n1pp1/2p1p2p/b2pP3/2PP1N2/PP1Q1N2/5PPP/R1B2RK1 w - -,a1a2
5k2/4rr1p/1p1p1P2/p1p3P1/P1PpP3/1P3K1R/7R/8 w - -,h2e2
r2q1rk1/4bppp/2n1bn2/ppppp1N1/4P3/2PP2NP/PPQ1BPP1/R1B2RK1 b - -,a5a4
r3r1k1/pp1q1ppp/2ppb3/8/1bP5/4P1P1/PBQP1PBP/R4RK1 w - -,b2g7
r2r2k1/pp2ppbp/1n2b1p1/q3P3/3PB3/2N1QN2/PP4PP/1K1R3R w - -,e3e2
3r4/p1q1b1k1/2p1bnpp/1pn1p3/4P3/1PP1NP2/P1QB2PP/R4R1K w - -,a1d1
4rn2/1p3k2/p2P3P/3b1q1n/2P2P2/2B1PN2/P7/2KR2R1 w - -,d1d5
r5r1/p1pk2q1/1p2p2Q/3p1p2/2nP1N1R/P1P5/5PP1/R3K3 b Q -,g7h6
r1bq1rk1/pp1p2pp/2n1p3/2b2p2/2P2P2/P1N1P3/1P3PBP/R1BQK2R b KQ -,c5e7
8/8/p3p3/1p1kP1K1/1P1q4/P4Q2/8/8 b - -,d5e5
r1bqkb1r/1p1n1ppp/p1p1pn2/3p4/2PP4/P1N1PN2/1P3PPP/R1BQKB1R w KQkq -,d1c2:b2b4:c4c5
3r2k1/5pp1/1rp1p2p/p2n4/Pb1P4/1P1R2B1/4NPP1/K6R w - -,h1c1
6k1/p2q1p2/bprnnPp1/1N1pR1Pp/P2P3P/3B1PB1/5Q1K/8 b - -,d6c4
2kr3r/ppp1qppp/1bnpbn2/8/4P3/1NN1B1P1/PPP1QPBP/R3K2R w KQ -,e1c1
r2r2k1/1p3ppp/2p2b2/p4b2/Pn3B2/1B3N1P/2P1RPP1/1R4K1 w - -,g2g4
r2qk2r/pb3ppp/1p2pn2/2b5/2P4Q/5N2/PP1B1PPP/2KR1B1R w kq -,d2h6
4r2k/p4Q1p/2q5/2P1b3/1P6/P4p2/5B1P/6RK b - -,e8d8
r3r1k1/p1qb1pb1/2p3pp/n1N1p3/5n2/BPNB1Q2/P1PP1PPP/R3R1K1 b - -,a8d8
2b1n3/1pk5/p4p2/2PBp1p1/PB4P1/1P2KP2/8/8 w - -,b4a5
4r1rk/pp3p1p/3p1npQ/5N2/4PN2/5q2/PPP5/2K3RR w - -,f5d6
3q1rk1/1b2rppp/p4b2/Ppnp4/1B1Nn3/1P3NPB/4PP1P/1RQR2K1 b - -,e7c7
7k/1p1q2rp/2n1pp2/6pQ/2BP4/4P1PP/6P1/5R1K b - -,d7e7
r2q1rk1/3bbppn/p2p3p/1p1Pp3/1P2P3/P2Q1NN1/1B3PPP/R3R1K1 w - -,h2h3
8/8/5k2/pp4pP/2p1K1P1/P1P2P2/1P5R/r7 b - -,f6g7
8/2p2p2/3p2pp/4k3/1RP4P/2r2PK1/6P1/8 b - -,f7f5
r2q1rk1/5pbp/p2p4/3bp2Q/2P1p3/2P5/P1N2PPP/R4RK1 w - -,c4d5
r2q1rk1/pppb2pp/2n1pb2/3p4/2PP4/1P3NP1/PB2P1BP/R2Q1RK1 w - -,d1d2
8/p4k1p/1p2p3/2bbB1p1/8/P7/1PP1B1PP/7K b - -,f7e7
r5k1/1p1Qqppp/1p6/8/4r3/8/PP3PPP/R4RK1 w - -,d7e7
5b2/5p1k/4pB2/p3P2P/2R5/P7/1PK5/6r1 w - -,c4c7
2k3rr/ppBb1n2/4p3/3p4/1Pp4p/P1P1N3/5PPP/3RR1K1 b - -,c8c7
8/7p/2pk1pp1/8/4PP1P/1P1N4/P1n2K2/8 b - -,c2d4
8/5k2/3R1Pnp/ppr5/1P2K1P1/P7/7P/8 b - -,a5b4
4b3/2R5/5kp1/p6r/1p3K2/3Pp3/PPP1N3/8 w - -,f4e3
2r1k2r/1pq2pp1/3pb2p/p2Pp1b1/P7/2P1B3/1PN1QPPP/3R1RK1 b k -,e6d7
1r4k1/2r2pp1/3Np2p/R7/1np5/6P1/1P2PPKP/2R5 w - -,c1c4
r2r4/pp2npkp/4b1p1/3P4/2q1N3/5B2/PP1Q1PPP/3R1RK1 w - -,b2b3
8/7R/8/8/r7/5K2/6p1/6k1 w - -,f3e2
r1b1k2r/6pp/p1pb1p2/2npq3/1P6/2P1P3/P2N1BPP/R2QKB1R b KQkq b3,c5e4
8/pr3p1p/4pk2/R4p2/pr3P2/5KPP/PP2R3/8 b - -,h7h5
4rr1k/1b2qpp1/p2np2p/1p1pN3/2pPnP1Q/P1P1P2R/1PBN2PP/R5K1 w - -,h4e7
2rq1rk1/pbpnbppp/1p2p3/8/P1PPPB2/3B1N2/2Q2PPP/3R1RK1 b - -,c7c6
3nn3/2p2k2/q1Pp4/3Pp1pp/4Pp2/2B2P1P/4QNP1/5K2 b - -,a6a3
8/8/8/4k1p1/3p4/5bP1/3K4/5B2 w - -,f1a6
4q2k/ppn2r1p/4rp1R/8/4NQ2/1P3PP1/P3PK2/7R w - -,f4f5
1q6/5pk1/b1r5/p5Pp/3RNn1P/8/P2Q4/4R1K1 w - -,e4d6
r4rk1/1ppnqppp/3p1nN1/p2Pp3/2P3P1/PPQ4P/4PPB1/R1B2RK1 b - -,f7g6
8/5k2/4p3/6P1/3N1P1K/8/8/3b4 w - -,h4g3
8/8/8/p7/8/kP5p/3K2bR/3B4 w - -,d2c3
2r1r1k1/p4p2/1p4p1/3p2Pp/3Pp2P/1P2P1K1/P4P2/2RR4 b - -,f7f6
2k4r/Q1pp4/np1b2p1/3P1p2/3P4/P1N1p3/1P3qP1/1K1R4 w - -,a7a6
r1bq1b2/pp3kp1/5np1/3pp3/3n3Q/3B1N2/PP3PPP/R1B1K2R b KQ -,d4f3
r2q1rk1/1pp2ppp/3p1nn1/p2Pp1N1/2P1P3/P1B3Pb/1PQ1BP1P/R3K2R b KQ -,h3g4
rn2r1k1/4bp1p/p2p1npB/q1pP4/bp2P3/1P1B4/P1QN1PPP/R4RK1 w - -,b3a4
r2q1rk1/1bpnppbp/1p1p1np1/p7/P2P4/2P1PN1P/1P2BPPB/RN1Q1RK1 b - -,d8e8
r7/p4kpb/1p3n1p/1Qqp4/P2b1B2/2N5/1P2R1PP/R6K b - -,a8d8
r1bq1rk1/1ppn1pb1/p2p1npp/3Pp3/2P1P3/2N1BN1P/PP3PP1/R2QKB1R w KQ -,g2g4
r2q2k1/pb3p1p/1p2rnpb/3p4/2PPp3/1P2N3/PBR2PPP/1N1QR1K1 w - -,b1c3
4k3/p1p5/5p2/2P2P2/2KR4/8/PP6/4r3 w - -,b2b4
3r4/pp5r/2p1bkp1/8/3bBPP1/5K2/PPR5/R1B5 w - -,g4g5
8/4k3/4P1p1/6K1/6B1/7P/8/5r2 w - -,g5g6
8/8/p1p1p1k1/4P3/4K3/R1P5/2r5/8 b - -,c2e2
R1n2b2/1r3q1k/Q1R5/3PB2p/2p1P1b1/6P1/3P1K1P/8 w - -,c6f6
5bk1/R4p2/p4qp1/3Qp2p/3pP2P/3P2P1/P1r1BP2/5K2 b - -,g8g7
2b5/5kp1/8/8/2pKB2P/1p2P3/6P1/8 b - -,c8e6
1r1q2k1/p4rb1/3p1pn1/2pPpNp1/4P1P1/2N1BP1R/Pn2K2Q/7R w - -,h3h6
r2qk1nr/3bbpp1/p2p3p/1p1Pp3/1P2P3/P1NQ1N2/5PPP/R1B1R1K1 w kq -,c1b2
r2q1rk1/pbn1b1pp/1n1p1p2/1ppP4/4PP1N/1PN3PB/PB5P/R2Q1RK1 b - -,b5b4
8/p2k4/1p1bp1p1/3n1p1p/3P1P2/P2K1BP1/1P1B3P/8 w - -,a3a4
8/8/4pk2/3p4/R4PK1/8/8/5r2 w - -,a4a8
rnbqk2r/ppp1ppbp/5np1/3p4/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq -,e1g1:b2b3:b1d2
r5k1/ppnb2pp/3p1n2/2pP4/2P3P1/2N5/PP1KBN1P/6R1 b - -,a8f8
6k1/p1R3bp/3B2p1/3p1p2/3q4/1Q5P/P4PPK/4r3 b - -,g7e5
3r1r2/1pn1qpk1/p1p1P1p1/7p/PP1B2nP/2P3Q1/6B1/R4R1K b - -,d8d4
8/2p3kp/3p2p1/3P1p2/2PR2Pr/8/P1K5/2NBr3 b - -,g7f6
4r2k/1p4pp/p2ppn2/P1q1n3/1P2P3/3B3P/2P1N1P1/R3Q2K b - b3,c5e3
3R4/4pk1p/r4b2/4p1p1/p1r5/P1B5/1P3PPP/3R1K2 w - -,h2h3
2NR4/1p3pkp/p4bp1/8/3B1Pn1/7P/1P1Q2K1/q7 b - -,g7h6
8/pp3pp1/1k1np1p1/1P6/8/1P1B1PK1/5P1P/8 w - -,g3f4
r2qk2r/1p1nbppp/p1pp2N1/4p3/2PP4/1PB1P2P/P3BPP1/2RQK2R b Kkq -,h7g6
r3kb1r/p2n1pp1/2p1pn1p/8/P1BqP3/1p2NP2/1P1B1P1P/RQ2K2R w KQkq -,d2c3
r1r3k1/3qppbp/p3bnp1/2Pp4/3B4/4PB2/P2N1PPP/2RQ1RK1 w - -,d1c2
8/5npp/pBk1p3/P3Pp2/1b1P1P2/1p3KP1/1P3N1P/8 b - -,c6b5
r1bqkbnr/ppp3pp/2n1p3/3p1p2/3P2P1/2PQ1N2/PP2PP1P/RNB1KB1R b KQkq -,f5g4
8/5kp1/2N2b1p/pKPp3P/8/P4R2/2r3P1/8 w - -,c6a5
1k1r4/1p2bp2/p2pp2B/1q5p/4P3/5P2/PPPQ2P1/1K1R4 w - -,c2c3
r1br2k1/ppq2ppp/2n1pn2/2pp4/2PP4/P1PBPN2/1B2QPPP/R4RK1 b - -,b7b6
3r2k1/b1p2p2/p1b4p/2p5/2N1P1p1/N1P2PP1/PP3KP1/5R2 b - -,d8e8
r1bqkb1r/pp1n1ppp/2p2n2/3P4/2BQ1P2/2N2N2/PPP3PP/R1B1K2R b KQkq -,f8c5
3r1rk1/pq1n1pbp/2n1p1p1/4P3/R4P2/4B1NP/1PB1QP2/3R2K1 b - -,d7b6
r1b2rk1/pp1nbppp/q1p1pn2/3p4/2PP4/2N1P1P1/PP1N1PBP/R1BQ1RK1 w - -,d1b3
8/6k1/8/6pP/6Kb/pB6/8/8 w - -,b3a2
rnbqkb1r/pppppp1p/5Bp1/8/8/1P6/P1PPPPPP/RN1QKBNR b KQkq -,e7f6
r3kb1r/3b1p2/p1q4p/Q2Rp1p1/6P1/4B2P/PPP2P2/2K4R w kq -,h1d1
2r1r3/p4pkp/4p1p1/3p4/p1nP4/1BP5/1P2RPPP/4R1K1 w - -,b3a4
2r1k2r/1p1nqpb1/p2p1npp/P1pPp2P/NPP1P1P1/5PN1/3Q2K1/2BR3R b - -,c5b4
4b2k/p5p1/1pnQNr1p/3p4/3P4/P2Bq1P1/6PK/1R6 w - -,b1f1
r4rk1/1p2ppbp/3p2p1/p1nP4/4PP2/4B1PP/PPR1K1B1/7R b - -,f8b8
3r1k2/p2r1pb1/1p2p2p/1P1p4/1nP1PP2/1P2BK2/4R2P/1B1R4 w - -,e4d5
8/4Rp1k/4b3/8/4PPP1/2p3K1/2rr4/6R1 b - -,d2d3
5rk1/2q2pp1/rp5p/2pQ4/7N/4n1P1/P3PP1P/3R2K1 w - -,f2e3
r2q1rk1/pp2ppbp/2n2np1/2p5/4PPb1/2NB1N2/PPP1Q1PP/R1B2RK1 w - -,c1e3
r1r3k1/1q2ppbp/3p1np1/pp6/2nN4/PN2P1B1/1PP2PPP/1R1Q1RK1 w - -,b3d2
rnbq1rk1/2p2pbp/pp2pnp1/4N3/P2P4/2N5/1PP1BPPP/R1BQR1K1 b - -,c8b7
rnbqkbnr/pp2p1pp/2p2p2/3pP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq -,f1d3
rn1qkb1r/5ppp/p2ppn2/8/Np1NbP2/1B6/PPP3PP/R1BQR1K1 b kq -,d6d5
2r2b2/p2q1k1p/1pn2pp1/3p4/P2P1BP1/1P1Q1B1P/5P2/4R1K1 w - -,g1g2
8/1Q6/5np1/1P6/3PBq1k/6R1/5P1r/5K2 w - -,e4g2
3r4/7k/p4qpp/1pb2p2/3Np3/P1P1P1P1/1P1RQ1KP/8 b - -,h6h5
r2qr1k1/pp3pp1/2pb1nnp/3p4/3P3P/3Q1NP1/PPP1NPK1/R1B1R3 b - -,d8d7
r4bk1/p4p1p/1p2p1p1/4P3/b2P4/2r4P/3Q1PP1/1R2N1K1 b - -,a8c8
4r1k1/p1r1P1bp/2p1R1p1/2Bp4/8/1PP4P/P4PP1/4R1K1 w - -,e6e3
rn1q1rk1/pb3pb1/3p1npp/1ppP4/4PP2/6P1/PP3NBP/RNBQ1RK1 b - -,b8d7
r3r1k1/p4pp1/3b3p/2pP1Q2/2P2qP1/5N2/PP3R1P/R5K1 b - -,e8e4
4n1k1/q3p1bp/3pP1p1/1Pp5/n4P2/2N2N2/1PQ3PP/r1B2RK1 w - -,c3d5
r4rk1/pp2bppp/1qn1p3/1B1p1b2/Q2P1B2/2P4P/PP3PP1/R3RNK1 b - -,a7a6
r4rk1/1bqnbppp/pp1ppn2/8/2PNP3/2N1B1P1/PP3PBP/2RQR1K1 w - -,f2f4:b2b3
r1b2rk1/2q1bpp1/p2ppn1p/1pn3B1/3NPP2/1BN5/PPP1Q1PP/3R1RK1 w - -,g5f6
rn1qkb1r/ppp1pppp/3p1n2/8/3P2b1/4PN2/PPP2PPP/RNBQKB1R w KQkq -,h2h3:c2c4
8/1R6/6pk/7p/1p2r2P/8/5K2/8 w - -,f2g3
3b4/3B4/1p5p/p1p4P/P1K2kP1/8/8/8 w - c6,d7e6
r1bqk1nr/5pbp/p3p1p1/3p4/2P5/N5P1/PP3PBP/R1BQ1RK1 b kq c3,g8e7
8/pp3pk1/2p5/3p2R1/5PP1/2Pr4/PP4K1/8 b - -,g7f6:g7f8
4r1k1/3b1p1p/3q3P/3Pr1p1/4R3/5B2/5PP1/Q2R2K1 b - -,f7f5
1r1q2k1/1b1n1pbp/p5p1/1n2p3/1P1pPP2/6N1/3B1QPP/2RR1BK1 w - -,f4f5
2rq1rk1/1p3pbp/p3pnp1/Pb1nN3/3P2P1/1B3N1P/1P3P2/R1BQR1K1 w - -,c1d2
3r1k2/3P1p2/2PK4/4P3/n4P2/8/1p6/2R5 w - -,c1b1
4n1k1/3n1p1p/5pp1/2p5/4NQPP/1P2N3/2P2PK1/q7 b - -,a1d4
r4rk1/1bqpbppp/ppn1pn2/2p5/P4P2/NP2PNP1/1BPPQ1BP/R4RK1 b - -,d7d5
r5k1/4pp1p/3p2p1/2pP4/2n1P3/PrP3P1/2R2PKP/1NR5 b - -,g8f8
