8/8/3k3p/1R6/3p3P/P4P2/r3PK2/8 b - -,d4d3
rn1qk1nr/1bp1ppbp/pp1p2p1/8/P2PP3/2N2N2/1PP1BPPP/R1BQK2R w KQkq -,e1g1
3r1bn1/Qp3rk1/3pR1pp/8/5B2/6PP/PPq2PB1/3R2K1 w - -,a7d4
8/p4p1p/5k2/2p3p1/2P3P1/P3P2P/2K5/8 w - -,c2b3
r1bqkb1r/pppp1ppp/2n5/4P3/2P2Bn1/8/PP2PPPP/RN1QKBNR w KQkq -,g1f3
4k3/7p/p2p1Q2/P2P4/1bq3p1/8/1B4P1/1K6 w - -,f6h8
rr4k1/5pb1/2p1b1p1/1p1p2qp/p1nPP3/P1B2BN1/1P3PPP/RQ1R2K1 b - -,h5h4
4k3/p6p/p1p2pp1/2P1p3/2bbP3/1N1N1P1P/P1K3P1/8 b - -,d4e3
8/8/5K1p/4P1p1/3n4/1N3k1P/8/8 b - -,d4e2
8/3pkr1p/6p1/3RP3/8/6P1/7P/6K1 w - -,d5d6
r3k3/3b3p/2p1ppp1/1rB5/p1RP4/4KPPP/PPR5/8 w - -,c4c3
8/1p6/p2n3p/4pk2/5pPK/2PN1P1P/PP6/8 b - g3,f4g3
Q1nr4/1pkq4/1p1b1p2/2pP4/3p2p1/R5P1/P4PBr/1R2NK2 w - -,e1d3
1b1rr1k1/p4p1p/6p1/2R5/P2N4/2P3PK/1Pb4P/2B2R2 b - -,c2a4
r1r3k1/1b2ppb1/p6p/1pn3p1/2PPp3/1Q2P1B1/2NqBPPP/R3R1K1 w - -,b3b1
3r1r1k/1b3p1p/4p3/4P3/pPR5/5P2/3qBQP1/3R2K1 b - -,d2g5
r1b1k1nr/1pq2p2/p2Rpp1b/2P4p/4NP2/PN2QB2/6PP/R5K1 b kq -,c8d7
r3r1k1/pp1b1pbp/n5p1/qNpP4/4nBP1/P2B1N1P/2Q2P2/4RRK1 w - -,e1e4
r1bqkb1r/pp3ppp/5n2/3PpP2/1n6/2N3NP/PPP3P1/R1BQKB1R b KQkq -,b4d5
5r1k/pb2p1b1/1pn1P2p/2pB3q/4Q1p1/2P2NN1/PP3PP1/3R2K1 b - -,h5e8
8/1pp5/p3k1p1/P2rn3/1PN2KP1/2P5/4R3/8 b - -,b7b5
r1b1kb1r/1pp2p2/p1np1q1p/1B2p1p1/Q2PP3/2P5/PP2NPPP/RN3RK1 b kq -,c8d7
2r3k1/pp4pp/4b1n1/1P2P2q/1B1pR3/5pP1/P4P1P/2Q2BK1 w - -,c1d1
4k3/8/5K2/3N1P2/5N2/8/8/5r2 b - -,e8f8
8/5p1p/p1k1p3/6p1/2PR2P1/2K5/P3rP1P/8 w - -,d4d2
2r3k1/2rq1pbp/3p2p1/p2Pp3/8/2n1B1PP/P2Q1P1K/2R2RN1 b - -,d7b5
1r3rk1/p4pbp/2qP2p1/2p1P3/2p1RP2/7P/P1Q2B2/2K4R w - -,h1e1
r2qr1k1/1b1n1ppp/p2p1b2/npp5/1P1PP3/P3BN1P/B2N1PP1/R2QR1K1 b - b3,c5d4
2k2r2/1b1n1p2/p5r1/1pppP1B1/3P3P/1P4PB/P6K/R4R2 w - -,g5e7
4b1k1/5rpp/1Np1p3/3p1p2/3P1P2/4P3/PP4PP/3R2K1 b - -,f7a7
2b3r1/8/pRp5/3k4/P4P2/1PB5/3K4/8 w - -,c3e5
8/5p2/8/3kPb1p/p6P/P7/2p2K2/2BrR3 w - -,f2e2
rnbqkb1r/1p2pppp/p2p1n2/2p5/P3P3/2NP1N2/1PP2PPP/R1BQKB1R b KQkq -,b8c6
r4r2/pp4k1/4bqp1/2pp1p1p/7P/2P1P1P1/PPQ1BP2/2K1R2R w - -,c1b1
1k3r2/N3n2p/PP3p2/5p2/1P3P2/8/6PP/3R2K1 w - -,b4b5
2r5/k1P5/P1R5/b6p/5B1P/8/5P2/6K1 b - -,a7a8
2kr3r/pp5p/2p1p3/8/2PPn3/P3R3/1P2N2P/R6K b - -,e4d2
1k1r3r/pp3pp1/3R4/4p3/8/1P3pP1/PB3P1P/5RK1 b - -,d8d6
3r4/p4pk1/5np1/4p2p/1p2P2P/qP2QP2/2r1N1P1/1K1RR3 w - -,b1c2
r2qkbnr/1p1n1ppp/p1p1p3/3pPb2/3P4/2NBBN2/PPP2PPP/R2QK2R b KQkq -,f5g4
2rq1rk1/1b1nppbp/pp1p1np1/8/2P4Q/2N1BNP1/PP2PPBP/2RR2K1 w - -,b2b3
1k6/5p2/1p2p3/6P1/p7/6RP/3rr3/2R3K1 w - -,h3h4
r3kb1r/pp3ppp/2p1pP2/8/4P3/6PP/PqPPQ1BK/R4R2 b kq -,g7f6
6k1/5p2/Rp2rn1p/1P1p1qp1/2pP3n/4PP2/5QPP/B4NK1 w - g6,a1c3
r3rk2/p1p2ppQ/2p1b2p/8/5R2/2qB3P/P1P3P1/4R1K1 w - -,e1e6
8/N1k3pp/2p5/2nP1p2/5p2/P2K4/6PP/8 w - -,d3c4
r4r1k/pp2qp1p/1np2np1/4b3/4P3/4BPN1/PPQ2P1P/1K1R1BR1 b - -,a8d8
r3qrk1/pbp2pb1/1p1p1npp/4p3/2PPP3/2PQB1P1/P2N1PBP/4RRK1 w - -,h2h3
r1bqk2r/ppp1nppp/2nb4/3p4/3P4/2PB4/PP2NPPP/RNBQK2R w KQkq -,b1d2
2r2rk1/pp4pp/8/8/3P3B/R3QN1P/1n3PPK/1q6 b - -,b1f5
5k2/1p3ppp/8/p3q3/2p1B3/2P2R1P/PP3P1P/6K1 w - -,e4b7
5rk1/1p1q1pbp/r1ppbnp1/p1P3B1/N7/P2P2P1/1P1Q1PBP/1R3RK1 b - -,f6d5
r1bqk2r/ppp1p1b1/2np1npp/5p2/2BP1B2/4PN1P/PPP2PP1/RN1Q1RK1 w kq -,b1d2
r4rk1/pbq1bp2/1ppnp1p1/4P1PQ/2PP4/2N2R2/PP5P/R1B3K1 w - -,e5d6
r2q2nk/p3bQ1p/np6/1N3p2/3P1p2/P7/5PPP/1R2R1K1 w - -,f7f5
5b2/2N2k2/1R4pp/2p2p2/4r3/2P4P/1P3P2/5K2 w - -,c7d5
8/2p5/1p2k3/8/1R3P2/P3PK2/8/2r5 w - -,b4e4
r5k1/pp5p/5r2/3p2p1/Bb4b1/2pPP3/PP4PP/R1B1R1K1 w - -,a2a3
r4r2/p1Rnk3/1p1pp2p/3P1pp1/6P1/4PN1P/PP3P2/2R3K1 b - -,f5g4
3n1k2/1p2rpp1/7p/8/Pp1Np3/1P4P1/5P1P/2R3K1 b - -,e4e3
2R5/r3kp1p/4p1p1/1B6/P2b4/5P1P/4K1P1/8 w - -,e2d3
6k1/1q2bp1p/r1p1p1p1/p2r4/P1RPQ3/4B1P1/1P3P1P/2R3K1 b - -,g8g7
r1b2rk1/1pp3n1/n2p1q2/p2Pp3/2P2p2/2N3N1/PP1QBPP1/R3K2R w KQ -,g3h5
r1r2k2/p2qbppp/1pP1pn2/2P2b2/P1BPp3/BN2P3/Q4PPP/1RR3K1 b - -,d7c6
r4rk1/1pq2pbp/2p3p1/p1n1p3/2P1b3/PPQ2N2/1B2BPPP/R2R2K1 b - -,e4f3
r1bq1rk1/1pp1b1pp/p2ppn2/5p2/2PPn3/2N1P3/PP1NBPPP/2RQBRK1 b - -,d8e8
3r2kb/qr5p/2pP1ppP/2p1p3/1nP1P1P1/p1N1Q1N1/P2RKP2/6R1 b - -,b7d7
r2qr1k1/1b1n1pb1/2pp2p1/1p2n1Pp/3NP3/PPN1BP2/3QB2P/R4RK1 w - -,h2h3
2k4r/1p6/pp1p4/3Pp3/4Pn1P/P2P4/1PP4R/R5K1 w - -,g1f2
8/6p1/5kP1/4p3/p1N1P2p/8/1b2K3/8 b - -,a4a3
3r1rk1/4bppp/p1q1pn2/4Q3/PpNB1P2/1P6/2P3PP/R4R1K b - -,d8d5
r5k1/pp5p/n1p1bpp1/8/2P1Pb2/BPNr4/P1R3PP/4NRK1 b - -,f4e3
r2qkb1r/pp3ppp/2n1pn2/3p4/3P4/1QP5/PP2BPPP/RNB2RK1 b kq -,d8d7
5k2/6p1/4P2p/4BP2/n5P1/Pp1K3P/2p5/8 w - -,d3d2
8/6p1/p1p4k/PpP1R3/1Pp1p1rp/4P3/8/3KB2n w - -,e5e6
r4Nk1/1b2qpp1/1p5p/p7/4P3/6P1/PPQ1BPP1/3R2K1 b - -,b7e4
4r1k1/1b1n1p2/pq1p2p1/2pP2Pp/1rBbPP2/2N3BP/1PR3Q1/R6K w - -,b2b3
r4rk1/1p1b1pbp/p2p1np1/3P2B1/Pq2P3/3Q3P/1PB1NPP1/1R3RK1 b - -,d7a4
8/p1k2p2/5pr1/2pP4/2P2R2/P4KP1/8/8 b - -,c7d6
r1bq1rk1/pp2bp1p/2p1nnp1/3p4/3P3B/2NBPN1P/PPQ2PP1/2KR3R b - -,c6c5
3r2k1/bpq2pp1/p2R3p/Pnp1p3/4P3/2P2BPP/1P2QPK1/R3B3 b - -,d8d6
5r2/2qbp1k1/1r1p1pp1/p2B3p/3QP2P/P1P2P2/1P1R2P1/2K4R w - -,h1g1
r1bqk2r/1pp1npb1/3p2p1/p1nPp2p/2P1P2P/P1N1B2N/1P2BPP1/R2QK2R b KQkq -,e8g8
1r1r2k1/5pbp/q2p1np1/1b2n3/1ppBPN2/1P3PP1/P1R2NBP/2QR2K1 b - -,c4c3
3r1rk1/1b3qp1/4p1Rp/p7/2pP4/1pP5/4QPPP/1B2R1K1 w - -,g6e6
4q2k/5r1p/1pr2p2/3Nn3/p1P2Q2/PP1p2R1/6PP/5RK1 w - -,d5b4
5rk1/1p3p1p/pq4p1/3pP1Qb/3P1R1P/3B4/6P1/6K1 b - -,h5d1
r4rk1/pp2bppp/1q2p1bn/3pP3/5NP1/3B4/PPPBQP1P/R4RK1 b - -,a8c8
r2qk2r/pp2ppbp/3p1np1/2p1n3/2P1P3/1PNP1bPP/P3NPB1/R1BQK2R w KQkq -,g2f3
R7/8/8/8/5p2/6k1/5r2/4K3 w - -,a8g8
6k1/1b2ppbp/6p1/1B6/2p1P3/P4P1N/1nK3PP/r1B4R w - -,h3f2
8/2k5/1p4p1/2p2p1p/2P1pP1P/1rK1P1P1/8/8 w - -,c3b3
5rk1/p5p1/1p2p1r1/8/3Kp2p/1P4P1/P1PRRP1P/8 b - -,g6g4
4r1k1/5p2/6p1/2pp4/5q2/4NB1P/Pb1B1K1P/4R1R1 w - -,g1g4
r3k2r/1p2bpp1/p1n1pqp1/2Pp4/1PP2B2/8/P2QBPPP/R4RK1 b kq -,c6d4
r4rk1/pp3p1b/2n4p/q2p1Pp1/2pPP3/6B1/P2NQ1PP/2R2RK1 w - -,g3f2
2bk3r/p1p1n1pp/5p2/1Q6/3p4/1B6/Pq1P1PPP/RN1KR3 b - -,c8d7
8/8/p3kP2/1pK5/7p/8/P6P/8 b - -,e6f6
r1r3k1/3n1ppp/3qpn2/pppp4/3P1P2/P1PQP1P1/1P1N1N1P/R4RK1 b - -,c5c4
8/3n2pk/5p1p/5P2/1P2Q3/2P3R1/P2q1PK1/8 b - -,d7e5
r1bqk2r/pp2bppp/2n1pn2/2pp4/4PP2/3P2P1/PPPN2BP/R1BQK1NR w KQkq -,g1f3
1Q6/1p1r1ppk/2p4p/p3b3/P1q1n3/7P/2P2PP1/1R4K1 w - -,b8e5
5r2/p1pb2k1/1p1p1n1p/3P2p1/2P2R2/3B2N1/PP4PP/2K5 w - -,f4f1
r1b3k1/ppq2pbp/4p1p1/2p1P1N1/P1B2P2/1P2P2P/1B4P1/3R1K1R b - f3,c8d7
2rq1rk1/1b1nppbp/pp1p1np1/2p5/P2P4/NQP1PN1P/1P2BPPB/R4RK1 b - -,d8c7
r1bqk2r/ppppnpp1/2n4p/b7/1PB1P3/P1N2N2/3B1PPP/R2QK2R b KQkq b3,a5b6
rn1qk2r/pp3p1p/4ppb1/2b5/3pP3/3B1N2/PPP1NPPP/R2QK2R b KQkq -,b8c6
6k1/6p1/1B2p1n1/p4p1p/2P5/1PKQ4/P1B3Pq/8 w - h6,d3d8
1r4k1/2r1n3/p3p2p/4P1p1/1PPRNp2/7P/3B1K2/8 w - -,e4d6
5r1r/1p1k2b1/pBn3p1/4PnP1/2P1B2p/7P/PP2N3/1R3RK1 b - -,g7e5
5Bk1/5n2/8/3PpPpp/2P5/8/5P1K/8 w - -,f8e7
8/1p1P1pkp/5bp1/BQn5/8/5BP1/2q3KP/8 w - -,g2f1
1k5r/pp2Qp1p/2pp1n2/6r1/3P2qP/P2B4/1P3B2/2KR3R b - -,g5f5
4b3/8/4k1p1/p1p5/1pn1PK2/1P2NP2/P1P5/8 w - -,e3c4
8/5p1p/r4k2/P4p2/8/5P2/5KP1/R7 b - -,f5f4
b1r3k1/5p1p/p3p1p1/1p1pPnP1/2rB1P2/PNPR4/1KP4P/R7 w - -,b3d2
8/Q1nr1ppk/2q1p2p/2p5/4PP2/3P2P1/5K1P/2R1N3 w - -,a7c5
5b2/rp1r1p1k/6pp/2PBp3/3nP3/4B1PP/1R3P2/1R4K1 b - -,f8c5
8/3k4/2p5/P1Q3p1/1p1Pp2p/q3P2P/5PPK/8 b - -,a3a4
5k1r/p4p2/2q1p1p1/4P1Nn/3R4/3R4/5PKP/8 w - -,f2f3
rn1q1rk1/1p3pbp/p2p1np1/2pP4/P3PB2/2N2B2/1P3PPP/R2Q1RK1 b - -,d8e7:f6e8
4N3/3Bk3/5p1p/p4P1P/Pb4b1/8/5K2/8 w - -,f2g3
3r3k/p3qppp/1n2p3/2pr4/3P2Q1/5N1P/PP3PP1/2RR2K1 w - -,f3e5
r1bqrnk1/ppp1bppp/3p1n2/3P4/3NPB2/2PB4/PP1N2PP/R2Q1RK1 w - -,h2h3
r1bq1rk1/pp2npbp/3p2p1/2p1n3/4p3/1BNP1NQ1/PPP3PP/R1B2RK1 w - -,c3e4
2r2bk1/1p2qr1p/p1n1p1p1/2p5/2Q2PP1/1PP1B2P/P5B1/2R2RK1 w - -,c1c2
r1bqk1nr/ppppbppp/2n5/3Np3/2P5/1Q6/PP1PPPPP/R1B1KBNR w KQkq -,g2g3
4rk2/1RR5/3p2p1/5p2/5Prp/4PK2/8/8 w - -,c7f7
8/8/2pk1p2/p1p4p/1p2PP1P/PbP4B/1P1K4/8 b - -,b3f7
8/1q1r2pk/5p1p/2B1p3/b1p1P3/1pP2P1P/1P3QP1/1B1R2K1 w - -,d1e1
2q1rbk1/3n1pp1/p4n1p/1p3N2/2r2B2/3Q1NP1/P4PKP/2RR4 w - -,f3d4
4kb1r/1p3pp1/p3nP1p/8/2r5/2N2P2/PP3B1P/2KR3R w k -,h1e1
6k1/5p1p/3R2p1/3Np1n1/4P3/6PP/5PK1/r4B2 b - -,g5e4
r2qk2r/pp2bppp/2n1bn2/3pp1B1/8/1NN3P1/PPP1PPBP/R2Q1RK1 b kq -,e5e4:d5d4
3rr1k1/pp3p2/1qp2npb/2nPp2p/7P/1P1P1PP1/PBQNRPB1/2R3K1 b - -,d8d5
4r1k1/2r2pb1/1R4P1/1p1p1N2/1B1PnK2/1P6/6R1/8 b - -,c7d7
6k1/7p/1p1p2p1/3P4/1qP2P2/1P2Q2P/6PK/8 b - -,g8g7
r2q1rk1/pp4bp/n1pPbnp1/4PpB1/8/5NP1/PpQ2PBP/3R1RK1 w - -,f3d4
r3k2r/2q2b2/1ppb2p1/p2p4/3Pp1Bp/PNQ1P2P/1PP1K1P1/R4R2 b kq -,e8g8
8/4r3/R3pk1p/3n2p1/4RpP1/5P1P/5K2/8 w - -,h3h4
8/1p2rn1p/2r2pk1/p3p1p1/4P1P1/P5BP/1PPRK3/3R4 w - -,e2f3
5bk1/2q4p/3p1np1/N3p3/pp2P1P1/1b3PN1/1P5Q/K1B5 w - -,c1g5
r1bqkb1r/pppn1ppp/4pn2/3p2B1/2PP4/4PN2/PP3PPP/RN1QKB1R b KQkq c3,c7c6:f8e7
1r4k1/2q2pbp/b4np1/4p3/1rp1P3/1PQ1B2P/B2N1PP1/3R1RK1 b - -,c7b7
1r1r2k1/p2bbppp/q1p1pn2/3p4/NPP5/P5P1/2QBPPBP/R4RK1 w - -,d2f4
rnbq1rk1/1p1nbppp/8/1BPpP3/1p6/1N2BN2/P4PPP/R2Q1RK1 b - -,b8c6
r2q1rk1/pp3ppp/1np1bN2/3p4/3P1P2/2NB4/PPPQ2PP/R4RK1 b - -,d8f6
r4rk1/pp2qppp/2n2n2/2b1pbB1/8/2NP1NP1/PP2PPBP/R2Q1RK1 b - -,f8d8
5b2/8/7p/1k4p1/p5P1/2K1NP2/P7/8 b - -,b5c5
r2q1rk1/p6p/1p1p2p1/2pP1b2/2P1NP1b/2N1R3/PP4QP/5RK1 w - -,e4g3
r2qnrk1/pb1n2bp/1p2p1p1/3pNp2/2pP1B2/2P1PN1P/PPB2PP1/R2Q1RK1 b - -,d7f6
2r5/5pkp/4p1p1/p2nb3/2P1N3/1P3P1P/1K6/4RB2 w - -,b2a3
r2qk2r/pp1b1pbp/2B2np1/3pN3/3P4/1QN5/PP3PPP/R1B1K2R b KQkq -,d7c6
4R3/4Q1k1/p2p3p/3b1pp1/1P1b4/P5P1/1PqN1P2/KBr5 b - -,g7g6
rn1q1rk1/ppp2pbp/3p2pn/1P1N1b2/2PPN3/4P2P/P1Q2PB1/R1B1K2R w KQ -,c2d2
rnbqkbnr/pp2pppp/8/2pP4/8/5N2/PP1PPPPP/RNBQKB1R b KQkq -,d8d5
1rb2rk1/4ppbp/1q1p1np1/p1p5/3PPP2/2P1N1PP/P2QN1B1/2R2RK1 b - -,c8a6
2br1bk1/1p3qpp/1Q2p3/2PrBp2/3P4/4R1P1/5P1P/R4BK1 w - -,a1a8
8/p2k1p2/4b1p1/1PPp4/3K1P1r/3B1R2/8/8 w - -,d3c2
4r3/pp1r2p1/2k4p/3pP3/P1pb1B1P/1n3PP1/1P4K1/4RB1R b - h3,d7e7
6k1/7p/1PR3p1/5p2/2P2P2/1r1r2PP/4pK2/4R3 w - -,e1e2
8/6qk/1Qp5/P2p4/3P1P2/1P2Pb2/1KP4q/2R5 b - -,h2h3
b2r2k1/p2N4/2p1p3/3p4/5P2/4P1P1/P4K1P/1R6 w - -,d7c5
r1bqrbk1/pp3ppp/2pp1n2/4n3/3NP3/2N1B2P/PPP2PP1/R2QRBK1 w - -,f2f4
r2q1rk1/1bp1n1b1/p2p3p/1n3pp1/Np1PP3/1P1B1NBP/P2Q1PP1/R4RK1 w - f6,a1e1
3r4/1p2k2p/2p1b1p1/1p6/4P3/P1P3P1/7P/2R2BK1 w - -,c3c4
8/5n2/7P/8/2k3N1/8/K7/8 w - -,h6h7
r1bqr1k1/pp3ppp/2n2n2/2pp4/3P4/P1PBP1N1/5PPP/R1BQ1RK1 b - -,c6a5
r7/4q1pk/2pb1n1p/4n3/4P3/2Q3PP/1B2N1BK/5R2 b - -,e7e6
3r4/5pkp/p1pNp1n1/4P3/8/1P2Q3/2P3q1/2K3R1 b - -,g2d5
r2qk2r/3nbppp/p1p1pn2/1p1pN3/2PP2b1/1P1BP3/PBQN1PPP/R3K2R b KQkq -,d7e5
1rbq1rn1/pp4bk/3p2pp/2pP1p2/P3PP2/2NP4/1P4BP/R1BQ1RK1 w - -,d1e1
8/1p4p1/p1n1k1r1/3Rp2p/1P2P2P/P4PK1/1B3P2/8 w - -,g3h2
1r6/8/6kp/3B1pp1/8/2BK2PP/5P2/8 b - -,b8e8
rq1r2k1/ppb1npp1/2p1p1bp/4N3/2PP2P1/4Q1BP/PP2BP2/3R1RK1 b - -,g6h7
5r1k/6pp/1p1q1p2/pPrB1b2/P1P5/R7/3Q1PPP/3R2K1 w - -,a3e3
3r2k1/2q1npb1/1p4pp/8/3pPP2/P2Q1NP1/4N2P/2B3K1 b - -,d8c8
r1bqk2r/pp2bppp/2nppn2/8/2BNP3/8/PPP2PPP/RNBQR1K1 w kq -,b1c3
r2r2k1/1pb2ppp/p2B4/n7/N1P5/8/PP1R1PPP/5RK1 w - -,d6c7
r1bq1rk1/1pp1ppbp/pn4p1/3Pn3/4P3/1QN1B3/PP2BPPP/R3K1NR b KQ -,e5g4
2r2rk1/pq3ppp/1p2pn2/8/8/1P2PN2/P1R1QPPP/3R2K1 w - -,d1c1
4r1k1/pp2qp2/1np3p1/2p2PPp/2P1P3/2N4b/PP2BQ1P/3r2RK w - -,e2d1
r4rk1/pp2ppbp/2np2p1/q7/n1P1PP2/2NBB2P/PP1Q1RP1/2R3K1 w - -,c3a4
4k3/4p3/4p2p/pp5P/5R2/3r1P2/PPK3P1/8 b - -,d3d5
r1b1k2r/1pp1nppp/p1n3q1/3pP3/3P4/4B3/PP1QNPPP/R3KB1R b KQkq -,f7f6
