8/R5k1/8/6r1/4B2p/4KP2/8/8 b - -,g7f6
r1bq1rk1/pp1n1ppp/2n1p3/3pP3/3B1P2/2N3P1/PPPQ3P/R3KB1R b KQ -,d8a5
r5nk/p3Pp1p/2p1r3/5R2/6P1/2P5/PP5P/5R1K w - -,f5f7
r1b2rk1/ppp2p2/1b1p1n2/4q1B1/1PB1P3/1QPP4/P5PP/R3K2R w KQ -,g5f6
r1bq1rk1/pp2bppp/8/2npP3/2pN4/6P1/PP2QPBP/R1B2RK1 w - -,b2b3
8/3Q1p2/3p1k2/p7/P4P2/8/3q1K2/8 w - -,f2f3
r4r2/ppq1n1k1/2np2pp/8/3pPp2/1b3NP1/PP3PBP/R2QR1K1 w - -,d1b3
r2q1rk1/pp2ppbp/2bp1np1/8/1PPBP3/2N2P2/P3B1PP/R2Q1RK1 b - b3,f6h5
r3B1k1/pb1R1p1p/2q1pb2/2p2p2/1P6/8/P1Q2PPP/5RK1 w - -,e8f7
r1bqk2r/ppppbppp/8/4Rn2/8/3B4/PPPP1PPP/RNBQ2K1 b kq -,f5h6
1rb2rk1/2p1qppp/p7/2nBp2Q/Pp2P3/8/1PPN1PPP/R3R1K1 b - -,c5d7
6k1/8/7p/3r1P2/4p3/8/5P2/4R1K1 b - -,d5e5
5k2/r4p1p/r1R5/8/6R1/6KP/6P1/8 w - -,c6c8
r2qk2r/p1pb1ppp/1b6/2ppP3/3N1P2/4B3/PPPQ2PP/R4RK1 w kq -,d4b3:d4f3:d4e2
8/1pk5/p1p1r1n1/3p2Rp/3Pp3/2P1N1PK/PP5P/8 b - -,e6f6
r4rk1/1ppqbpp1/2n1bn1p/p2pp3/P3P3/2PP1N2/1PQ1BPPP/R1B1RNK1 b - -,a8d8
8/P2k4/2b2R2/2B1p3/r6p/4KP2/8/8 b - -,a4a5
1k6/R5pp/1p2bp2/1Bp1p3/4P2P/1P2KPP1/2P5/8 b - -,b8a7
4b1k1/1p3qpp/p2p1b2/3P1N2/2P2P2/8/1P5P/4R1BK w - -,f5d6
r5k1/ppp2pp1/2n1r2p/4pq2/2Q3nP/P1B3P1/P3PPB1/1RR3K1 w - -,g2f3
rnb2rk1/pp2ppbp/5np1/q1Pp4/2P5/2N1PN1P/PP2BPP1/R1BQ1RK1 b - -,d5c4
8/1N2b3/1p6/p7/2P5/kP6/2K5/8 w - -,c2c3
8/8/7k/2r3p1/4R2p/P4P2/6K1/8 w - -,g2h3
8/8/p3qpkp/1p1r4/3B1Q2/P4P1P/1P3KP1/8 b - -,g6f7
r7/1b3nkp/p1pqprp1/3pN3/3P2P1/P2N4/1PR2PP1/2Q1R1K1 w - -,d3c5:g4g5
q1r1rbk1/3n1pp1/p2pbn1p/1p1Np3/1PP1P3/PN1BBQ1P/5PP1/2RR2K1 b - -,b5c4
rn2kbnr/pp2pppp/1qp5/5b2/3P4/2P3N1/PP3PPP/R1BQKBNR b KQkq -,f5g6
8/2n1k1p1/pp2pp1p/4N3/4P3/3K3P/PP3PP1/8 w - -,e5c4
rnb1k2r/pp2ppbp/6p1/2pq2B1/3P3P/2P1PN2/P4PP1/R2QKB1R b KQkq -,b8c6
r1bqr1k1/1pp2ppn/p1np3p/4p3/4P3/1BPP1NNP/PP3PP1/R2QR1K1 b - -,h7g5
4r1k1/5pbp/p2Q1np1/1b1P4/2R1P3/3B3P/Pq3PP1/5RK1 w - -,c4b4
3k3R/2p5/1p6/p2P4/P1Pppr2/8/3K4/8 b - -,d8d7
r2r1nk1/ppq3b1/2p2npp/4p3/2P1P3/2N2RP1/PP2N1KP/3RQ1B1 b - -,f8e6
8/8/5p2/1prp1k2/5p2/PR5P/1K6/8 b - -,d5d4
2rq2k1/1pr3pp/3p4/1P1Pp1P1/pP2Qp1P/4bP2/P3R2K/R4B2 b - -,c7c1
2r2rk1/3n1pp1/3bqn2/P2pp3/6Pp/4P2P/Q1NN1PK1/BRR5 b - -,f6g4
2r5/pp2p1k1/1q1p1rp1/6R1/b3PP2/1BP2Q2/PKP5/6R1 b - -,a4b3
1r4k1/pq2p1b1/5r1p/2p1pPp1/2P3P1/1P1Q2NP/P7/2R2RK1 w - -,g3e4
3r1rk1/ppp3qp/1n3pp1/3n4/3N4/1PN2P2/P5PP/2QR1RK1 w - -,d4e6
r3n1k1/1p1q1p1p/1np3p1/8/p2PN2P/P4N2/1PQ2PP1/4R1K1 b - -,b6d5
8/1R4p1/6k1/1p5p/8/6PK/1r5P/8 w - -,g3g4
r2qk2r/1pp2pbp/3pbnp1/4n3/p1P1P3/1PNB3P/PB1QNPP1/R3K2R w KQkq -,a1d1
r7/8/2k1pb2/2P2p2/1N6/8/P1R1K3/8 b - -,c6b5
r2r2k1/pp3p1p/4p1p1/2q5/P4P2/2P2R1P/1P2Q1P1/5R1K w - -,f3e3
5n2/1P1Pk3/1rB5/2N5/2pK4/2P5/8/8 w - -,d4c4
rnbq1rk1/4bppp/pp1p1n2/4p3/2P1P3/1NN1B3/PP2BPPP/R2Q1RK1 b - -,c8b7
2r2rk1/1p3ppp/p1q1p3/2n5/P1Q5/4PN2/3P1PPP/2R2RK1 b - -,c5a4
r7/2kn2p1/2pb1p2/5BP1/p1R5/P5P1/1BK5/8 w - -,g5f6
rnbqk1nr/1p3pbp/p2p2p1/2pP4/P3P3/5N2/1P3PPP/RNBQKB1R w KQkq -,h2h3
r7/p7/1p1p4/3P1Pkb/2P2p2/P2B1K2/8/4R3 w - -,f3f2
2q1rnk1/QR3pp1/5nbp/4p3/4P1P1/2r1BPN1/6BP/1R4K1 b - -,c8d8
4nk1b/4q3/5p1P/pp6/3P3Q/2P5/PP6/5RK1 w - -,f1e1
3r4/1p3k1p/r1qPpnp1/pN3p2/2PQnP1P/1P2N1P1/P3R2K/3R4 w - -,d4e5
1r6/2q1np1k/R1p3pp/3pp3/1p2P3/1P1PP1N1/2P2QPP/6K1 b - -,h7g7
8/5rk1/1pp1p1np/2p1P1p1/2P3P1/P2R1NK1/1P3P2/8 b - -,f7c7
4r1k1/2pnrp2/pp1q2pp/3Pp3/1PP5/P4N1P/2Q1RPP1/4R1K1 w - -,c2a4
5b1K/5p2/8/8/8/4k3/8/5qr1 b - -,f1h3
r1b2rk1/pp1n1ppp/2pb1q2/3p4/3P4/P1N1PN2/1P2BPPP/R2Q1RK1 w - -,b2b4
6k1/1p2p1r1/p2ppn2/r6p/2N1P2R/2P2P2/1P3KP1/3R4 b - -,a5c5
r1bqkb1r/pp4pp/n1p1p3/3p1p2/2PPnB2/3BPN2/PPQ2PPP/RN2K2R w KQkq -,e1g1
8/p4kp1/2n4p/5P2/1p6/2N2PK1/7P/2B5 w - -,c3a4
4rr1k/1p2Qppp/p1p1b3/Pn6/4PR2/3B4/1PPN2PP/5RK1 b - -,e8e7
3R4/8/6r1/8/8/k7/1p6/3K4 w - -,d8a8
r1b2rk1/4ppbp/pn1p1np1/qPpP4/4P3/2N1BPN1/PP1QB1PP/R3K2R b KQ -,f6d7
8/5k2/4p2p/1p1pPp2/P1bP3P/2P1K3/2B5/8 b - -,b5a4
8/1p3pkp/p3p3/1b1n4/8/P3B3/2P2PPP/2KR4 w - -,d1d4
8/6bk/1p4p1/3Bpp1p/1P2P3/P5P1/6KP/1q3Q2 b - -,b1c2
2b1r3/r5p1/pk1Bp3/np1B2P1/8/2P5/P4P1P/3RR1K1 w - -,d6e5
6k1/4pp2/1r1p2p1/q2P3p/2P1P2P/r5P1/P3RP1K/R1Q5 w - -,e2b2
r1b1k2r/2qnbppp/pp1ppn2/8/2P1PP2/1NNBBQ2/PP4PP/R4RK1 b kq -,c8b7
r1b2rk1/p1p2pp1/1p1p4/3Pq2p/8/1Q3BP1/PP3N1P/4RK1R b - -,e5g5
1r3rn1/p4nkp/3p1pp1/2pPp3/qp2PP1P/3P1RP1/PP3QB1/3N1RK1 w - -,b2b3
1r2nrk1/5pb1/1p1p2p1/2pP1b1p/2P1NP2/6PP/RP1B2BK/4R3 w - -,b2b4
8/4N3/5p2/1k2b1p1/p2pPpP1/3P1P2/KP6/8 w - -,e7d5
r1b1k2r/pp4p1/2p1pq2/3pb2p/2P5/2PQ1P2/P2N2Bp/R1B2R1K w kq -,c1a3
6rk/p7/6p1/4p3/Pp2Pb1P/1P1q4/2rNR1K1/4Q2R w - -,h1h3
1knq2rr/1p1Q1R2/8/3pPNbp/p1pP4/PnP1B3/1P4NP/5RK1 b - -,d8b6
3r2k1/5p1p/4rbp1/p1pp4/8/1PPB4/P1R2PPP/3R1K2 w - -,d3e2
rnbqk2r/pp3pbp/2p2pp1/8/3P1B2/5N1P/PPP2PP1/R2QKB1R b KQkq -,e8g8
rn1q1rk1/pbp2ppp/1p2pn2/3p4/1bPPP3/2NB1N2/PPQ2PPP/R1B1K2R w KQ d6,c4d5
r4rk1/1p1bppbp/p1n3p1/8/3P1B2/1PPB1N2/5PPP/R4RK1 b - -,e7e6
r2q1rk1/pp2ppbp/3p1np1/3P4/3B2P1/5P2/PPPQ3P/R3KB1R b KQ -,d8d7:e7e5:d8c7
r4rk1/pq2bp1p/3p1Pp1/2p1p1P1/2Pnb2N/PPR5/1B4BP/3Q1RK1 b - -,e7d8
5rk1/2N3bp/4q1p1/1b6/1pR3P1/1P4P1/3Q2BK/8 b - -,e6b6
r2q1rk1/3bppb1/p2p2p1/3P4/Pp5Q/1P6/1P2B1PP/R1B2R1K b - -,e7e5
r1rn4/pp1bkppp/4p3/3pP3/nP1P4/PN1B4/2R1NPPP/2R3K1 b - -,c8c2
2rqk2r/1b2bpp1/p3p2p/1p1pn1P1/3NP2P/4BP1B/PPPQ4/1K1R3R b k -,e5c4
4r3/5pk1/q1pb2p1/p2p3p/P2P3P/3NPQP1/5PK1/2R5 w - -,d3c5
2r5/2P4R/8/p2P2k1/P2N4/4KP2/1P6/3r4 b - -,g5g6
3rr1k1/bp1q1p2/p3Bnnp/2p3p1/3pP3/3P1NNP/PP1BQPPK/R3R3 b - -,f7e6
8/1p3pk1/8/r6P/4R2P/1P2PpK1/5P2/8 w - -,g3f3
5k2/3b4/1r3pp1/8/3R3P/5B2/5K2/8 b - -,d7e6
3rr2k/6pp/7q/p1b4N/2P1P1P1/7P/PPQ1R3/5R1K b - -,g7g6
2r1kb1r/1b3p2/p2pp3/4q1P1/1p2P2p/1P5P/PNPQ2B1/1K1R3R w k -,d2d4
6k1/3np2p/q1Np1ppb/2nP4/1RN1P3/2B3PP/r4PK1/1Q6 b - -,g8f7
2r1rk2/1b3qpp/pn3p2/2pp2n1/5N2/1P2PPP1/PBQ3BP/2RR2K1 w - -,h2h4
7k/p3r1qp/1pp3n1/2p1p2r/2N1Rp2/1P1P1P1P/PQP2P1K/4R3 b - -,g6h4
r1b1k2r/1pp1qppp/2np1n2/p2Pp3/2P1P3/5NP1/PP1NQPBP/R3K2R b KQkq -,c6b4
8/1p1bk1pp/p4p2/8/3N1P2/P3K2P/1P4P1/8 b - -,e7d6
r2q1rk1/1n2bppp/pp1pb3/3np3/PP2P3/4BB2/2PN1PPP/R2Q1RK1 w - -,e4d5
r4rk1/1p2bppp/2p1pn2/4Nb2/1P1P1B2/2n1P3/RP1NBPPP/5RK1 w - -,b2c3
2krr3/1ppq1p2/p2p2p1/5b1p/2PQ3P/1P3P2/P1P3P1/1K1R1B1R b - -,c8b8
7R/1p3p2/p1k4p/4pr2/PP1p3P/5N2/4K3/8 b - -,h6h5
8/4k2p/4p1p1/R7/6P1/1P2KP2/P6r/8 b - -,h7h5
8/1B6/1n2pk1p/1P3p2/5p2/4P3/5PKP/8 w - -,e3f4
2b5/3r2qk/1pNbp1pp/5n2/P1PpB3/1P1Q1RPP/4RP2/6K1 w - -,b3b4
r2q1rk1/3nbppp/bp2p3/p7/3PnB2/2N3P1/PP3PBP/R1RQ2K1 w - -,c3e4
8/6k1/5pp1/7p/6bP/4K1P1/6B1/8 w - -,e3f4
3rrn1k/pp2q1pp/1np1bp2/3p4/3P1PP1/2NBPN1P/PPQ5/4RR1K b - -,b6c8
8/pR6/5p2/2Pk4/P1n4P/1K5r/2B5/8 w - -,b3b4
r1bqrn2/pp2b1k1/5np1/3N4/3P3Q/4P3/PPBB3P/R4RK1 w - -,d5e7
6k1/pb3p2/4p1p1/1pr1P3/P4q2/3B4/4Q1P1/4R1K1 w - -,a4b5
rn1q1rk1/1bp2pbp/pp1ppnp1/3P4/P1B1P3/2N1BN1P/1PP2PP1/R2Q1RK1 b - -,e6d5
3r1rk1/1p2bppp/p1n5/3P4/P1p2Bq1/2Nn4/1P2N1BK/R2Q1R2 b - -,g4h4
8/2R2pp1/8/6K1/3kP1PP/1p6/8/5r2 w - -,c7b7
6k1/3r1pb1/q3p2p/p2nP2P/PpNRQp2/1P3N2/5PPK/8 w - -,e4d3
r2q1rk1/1b1nbppp/p2p1n2/1p1Pp3/P1p1P3/2P2N1P/1PBN1PP1/R1BQR1K1 b - -,d7c5
8/7p/pr1k1pp1/2rPpP2/R1P3P1/3K4/2P1R2P/8 w - -,c2c3
r1q2r1k/p1p3b1/1p1pPn1p/1P1Pppp1/P1P5/4BP2/4B1PP/R2QR1K1 b - a3,c8e8
8/4R1pp/3kb3/1p6/3pp3/1P5P/4K1P1/8 w - -,e7g7
rnbqk2r/ppp1bppp/4pn2/3p4/3P1P2/3BP3/PPP3PP/RNBQK1NR w KQkq -,g1f3
r3k2r/ppb2ppp/2p1p3/3n4/3P4/P4N2/1PP2PPP/R1B1R1K1 b kq -,a7a5
b4rk1/5p1p/3Q2p1/1N1n4/7P/5P2/6P1/6K1 b - h3,h7h5
8/6pk/4qp2/8/2pQ2n1/8/3B1PP1/6K1 b - -,h7g6
1q1r2k1/4ppbp/6p1/2p1P3/5P2/1rP3PP/2R1Q1BK/5R2 b - -,e7e6
2b3k1/p5p1/1p2p2p/2p5/2PrN3/2K1RP2/PP4PP/8 b - -,c8a6
8/4b3/4p1k1/3pP3/3P2b1/4B1P1/6K1/5N2 w - -,f1h2
8/7p/1N1k2p1/P7/2K1p3/7P/5bP1/8 w - -,b6d5
6k1/p1pp3p/2Pr2p1/8/8/1P6/P1K1rPPP/R4R2 w - -,c2c3
3r2k1/7p/6p1/5p2/1P1npb1P/2R5/5PP1/4Q2K w - -,e1a1
6Nk/2R2Rp1/6q1/4P3/p2PK3/8/P4QP1/1r6 w - -,e4d5
r2r2k1/ppp2ppp/2n3q1/3p1b2/Qb1P4/2NBP3/PP3PPP/R3NRK1 w - -,a4c2
r4rk1/pq1npp2/1p1p2p1/2p2n2/2P2Pp1/1P1PP2P/PR4N1/3QNRK1 w - -,h3g4
2kr1b1r/1p1b1P2/p7/2qNnp2/3N4/8/PPP1B3/2KRQ1R1 w - -,d4b3
1br2r1k/1p1bqpp1/7p/p2Bp3/1P2P3/P1P5/3NQ1PP/2R2RK1 b - -,d7e6
2r3k1/5ppp/Q1P4q/4p3/4B3/5P2/2P2RPP/3r2K1 w - -,f2f1
8/7p/6p1/2pkppb1/6P1/1PBP1P1P/5K2/8 w - -,f2e2
2rqk2r/5pp1/p1bp4/2p4p/1pPNPPnP/1PbP2Q1/PN2R1B1/2B2R1K b k -,c3d4
q1rb2k1/3n1ppp/b2ppn2/p7/1p1PPP2/4B1N1/PP1N2PP/1B1QR2K b - -,d8b6
r1br1nk1/5pp1/1q5p/p2pP3/2p5/1p3N1P/1P2NbP1/R1QR1B1K b - -,b6e3
q4r2/r4p2/pp2p1k1/5p2/1b1PN2Q/3B1b2/PP3P1P/2R1R1K1 b - -,f8g8
8/2R4p/PnNrkppb/5p2/8/8/1P5P/1K2R3 b - -,e6d5
r2q1rk1/pp1nppbp/2p1b1p1/3P4/3P3N/1P4P1/PB1QPPBP/R4RK1 b - -,c6d5
8/7p/4kp2/1pB3p1/1P3p2/3r1P2/5K2/1N6 w - -,f2e2
8/5Q1k/6pb/1P1P4/4P2p/7P/2p2PP1/1q4NK b - -,h6g7
r1bqkb1r/pppp2pp/2n5/4P1N1/3p2n1/8/PPP2PPP/RNBQK2R w KQ -,d1g4
r3k2r/p1pp1pbp/bnp3p1/4P3/1qP5/1P3N2/P3QPPP/R1BK1B1R w kq -,e2d2
8/6k1/6p1/6P1/3KRP2/r7/8/8 b - -,a3a4
r2q1rk1/pp1nb1p1/3p3p/2pPpb2/2P1n3/2N3P1/PP1BQPBP/4RRK1 w - -,c3e4
8/3rk2p/6p1/P3Pp2/2Rp1P2/5rP1/P1KR3P/8 b - -,d4d3
8/8/r7/5p1p/3B3P/3K1k2/p4P2/6R1 b - -,f5f4
8/3knb2/1p5p/p5p1/3P2P1/P4BK1/1P6/3N4 b - -,e7c6
r1b1kb1r/pp1p1ppp/2n1pn2/4q3/2PN4/2N1B3/PP2BPPP/R2Q1RK1 w kq -,f1e1
r7/5pkp/p5p1/1pR1P3/1P6/P2b3P/3N1PP1/6K1 w - -,d2b3
8/1r3ppp/1nk1p3/8/1P2P3/3N1P2/R2K2PP/8 b - -,f7f6
8/8/5p2/8/1N3p1p/2p2PbP/4K1P1/1k6 b - -,c3c2
r3r1k1/pp1nqpbp/2pp1np1/4p3/2P5/1P1P1NPP/PB2PPB1/2RQ1RK1 w - -,c1c2
r1b1k2r/ppp1q2p/2n1pbp1/3p1p2/3Pn2P/1QPN1NP1/PP2PPB1/R1B1K2R b KQkq -,b7b6
r2qkr2/2n4p/2p3p1/pp1pnb1P/3N4/PBN5/1PPQ1PP1/R3K2R b KQq -,d8f6
r3kb1r/1p1n1ppp/1np5/4p3/p3P2P/P1N2P1R/BPPB2P1/R3K3 b Q -,f8c5
8/6kp/R7/p2KPpn1/8/P5P1/8/5n2 w - -,a6a5
8/3q1k2/7p/2p3pP/4Qp2/P7/1PP5/1K1r1R2 w - -,f1d1
8/p3rpk1/2p1ppnp/1bP4Q/1P3q1P/8/P4PP1/1B1RR1K1 w - -,e1e4
8/8/2n1p2k/pr2P1p1/Rn2B1P1/1P1p1N1P/3K1P2/8 w - -,e4c6
r1bqr1k1/1p3pb1/2p3p1/p6p/Q2p4/P2P2P1/1P1NPPBP/2R1R1K1 w - h6,d2e4
2rr2k1/ppN2ppp/3q4/3P4/5BQ1/8/PP1K2P1/5R2 b - -,d6b4
1k2rb1r/1bq4p/ppn1pPpn/3pN1N1/2pP1P2/2P1P2Q/PPBB4/R3K2R b KQ -,c6e5
6k1/p6r/1p6/1P2P1p1/2Pp1pK1/P2P4/4R3/8 w - -,g4g5
1n1q1rk1/1p2ppbp/2p1b1p1/3p4/1PPP2P1/3BP2P/1B1N1P2/Q3K2R b K -,d5c4
4r1k1/2q2pp1/2N2n1p/pQ1p4/P3r3/1P5P/5PP1/2R2RK1 b - -,e8a8
8/2R1kp2/8/p2p1P2/r7/P3P3/5K2/8 b - -,e7f6
r4k2/8/p4Rp1/P1p2b2/2P5/7P/6P1/4R2K b - -,f8g7
4nrk1/p6p/r2p1pp1/1ppP4/4PP1q/2P1Q1NP/P3RP1K/3R4 b - -,a6a4
8/4r3/P2k4/R7/6p1/3p2P1/5P2/5K2 b - -,d3d2
r2q1rk1/p3n3/1pn2P1b/2ppp3/8/2P3P1/PPN3BP/R2Q1R1K b - -,g8h7
1nq2k2/2b1n3/2p1pp1Q/1pPp4/1N1P1PP1/P7/4BB2/6K1 b - -,f8f7
5r1k/4r2p/5p2/p7/P3P3/1P1B1R2/2P3PP/6K1 b - -,e7e5
8/4Q2p/p4rp1/P3R1k1/1p1P2q1/6Pn/1P3P1P/5K2 b - -,g5h6
8/1p6/1Bn5/1p1k1ppp/3p4/P2P3P/1P2KPP1/8 w - -,b6c7
r1bq1rk1/1pp1npbp/3p2p1/p2Pp2n/2P1P3/P1N2NP1/1P3PBP/R1BQ1RK1 w - -,f3d2
2kr3r/p1p1Q3/4p2p/1p1n4/2pPN3/2P5/P4PPP/3R1RK1 b - -,d5e7
5rk1/2q2pp1/3Np3/1p1pP1p1/1r3P2/3Q2PP/R4BK1/8 w - -,a2a7
8/5P2/2k5/1p6/1b4K1/5RB1/6r1/8 b - -,b4f8
r1b1k1nr/1pq1ppbp/p1np2p1/3N4/P2NP3/8/1PP1BPPP/R1BQ1RK1 b kq -,c7d8
r2q1rk1/1p2bppp/2p1b3/p2n4/P2pN3/1B1P1Q1P/1PPBRPP1/R5K1 b - -,b7b5
