8/1kp5/p5R1/P2P4/1p6/1P4p1/6r1/2K5 b - -,b7c8
r3r1k1/1ppq2p1/p1n1bp1p/4p3/5n1N/2PPN1P1/PPB2P1P/R2QR1K1 b - -,f4h3
8/1p4k1/p2p4/3Pp1p1/5qP1/1PP2Q2/P5K1/8 b - -,g7f6
r1br2k1/1p2pp1p/p1n3p1/2pNb1B1/2P5/7P/PP3PP1/2KR1B1R w - -,d5e7
4rk2/2p5/1p1p2R1/p7/P1P1rP2/5KP1/1PR5/8 b - -,e4e3
r2r2k1/1p1nqpp1/8/p1bP2nR/4p3/PQN1P3/1P1N1P2/R1B2K2 b - -,g7g6
2r2rk1/p4pp1/1p2p2p/2b1n3/N1B2Qn1/1P2P2P/PB3PPq/2RR1K2 b - -,h2f4
2r3k1/3n1pp1/2qr3p/1R6/p2p1P2/P4NP1/4QP1P/1R4K1 w - -,f3e1
8/1r4p1/1P2k3/2p1PpP1/p2pnP2/P7/4K3/1R2B3 w - -,e2d3
r4rk1/pppq1ppp/2np1n2/8/2PNPB2/2PP2Pb/P5BP/R2Q1RK1 b - -,h3g2
k1r5/pprR2p1/4pb2/5p2/2P3P1/4B3/P3BPP1/3R2K1 b - -,f5g4
8/5k2/6R1/2p2p2/p1Pb1P1p/4p2P/P3K1R1/2r5 w - -,e2f3
r3k1r1/1pp2p1p/p1np2n1/8/4P1b1/1BB5/PPPN1PqP/R2QKR2 w Qq -,f2f3
8/1p3ppk/4p3/1P2n1p1/1r1NPn2/8/2B2P2/R4K2 w - -,a1d1
2r2rk1/4bppp/pq2b3/1p2p3/4N3/P1R2P2/1PPQN1PP/2KR4 w - -,d2e3
3qr1k1/pp1b1pp1/3Bp1np/4P2Q/2p3P1/P4N2/1P3P1P/4R1K1 w - -,g4g5
br1r4/2qn1p2/pp1pp1k1/4n1p1/1PP1P3/PN1NQP2/4BKP1/2RR4 b - -,e5d3
r2q1rk1/p4pp1/1p3n1p/3p4/3P4/3B1QP1/PP3PP1/3RR1K1 b - -,d8d6
rn1q1rk1/pb1pbpp1/1p2pn1p/8/3P3B/3B1N2/PPPN1PPP/R2QR1K1 b - -,b8c6:f6h5:d7d6
8/1bp3pp/8/5k2/2NK1P2/P5P1/7P/8 b - -,f5g4
1b4r1/1R5p/4p3/p3P1P1/4kP1P/2P1B3/8/2K5 w - -,e3d2
r2qkbnr/p2npppp/2p1b3/1p6/P1pP4/4PNP1/1P1N1P1P/R1BQKB1R b KQkq -,g8f6
r2q1r1k/2pb3p/1p1p1b2/1NnPp2n/p1P1Ppp1/P1N2P2/1PBR1BPP/4QR1K b - -,g4g3
4n3/pp2rk1p/2p3p1/8/4N3/5P1P/PPP2KP1/3R4 b - -,e8f6
r4rk1/3q2bp/pp2bppB/2p1p3/P2nP3/1P1P2P1/1NPQ1RBP/5RK1 w - -,b2d1
8/pk6/5Rp1/1N5p/2p2P2/2PbK1P1/7r/8 w - h6,e3d4
r2q1rk1/pp2n1bp/3p2p1/3Ppb2/1P2N3/6P1/P4PBP/R1BQ1RK1 w - -,g3g4
r2r2k1/2qnp1bp/2p2pp1/p3P2P/1pPPNP2/6P1/PB2Q3/2RR2K1 w - -,g1g2
r1r3k1/1pqbppbp/p2p2p1/3P4/P2NP3/1P2BP2/3QK1PP/R6R b - -,c7d8
r3r1k1/2nqppb1/p2p2pp/3P4/4P3/1b4B1/P2N1PPP/2RQR1K1 w - -,d2b3
6k1/5p2/6pp/ppr5/P3P3/1K3P2/6PP/3R4 w - -,a4b5
r2q1rk1/pp1n1ppp/2p1pnB1/3p4/1bPP4/2N1PN1P/PP3PP1/R1BQR1K1 b - -,h7g6
5k2/1p3pp1/2p1n3/3r3p/p4P2/2PNK1P1/PP5P/3R4 w - -,c3c4
rn2k2r/ppp2p1p/5pp1/qN3b2/8/bP2PN2/P2P1PPP/2RQKB1R b Kkq -,a3c1
r1bq1rk1/p3bpp1/1pn1pn1p/3P4/3P1B2/2NB1N2/PP3PPP/R2Q1RK1 b - -,e6d5
r2qk2r/2p1npp1/p4n1p/1pb1p3/P2p2bN/1BP3Q1/1P3PPP/RNB2RK1 w kq -,f2f3
r3k2r/1p2bp2/p1b1pn1p/6p1/8/P1NBq1B1/1PP3PP/R2QR2K b kq -,e3b6
6k1/pbqr2pp/5p2/2p1p3/2Pb4/1P6/P2BQPPP/3RN1K1 w - -,d2e3
6k1/1b2b3/p4p1p/1p1nB1p1/1P6/P1N2PQP/2r1N1P1/7K b - -,f6e5
8/1pp2Q1n/p2pB1nk/3P2p1/3P4/6PP/PP2qNK1/8 w - -,e6f5
1r1qrbk1/2p2p2/4b1pp/p2n4/Pn1P4/1B2NN1P/1P1B1PP1/1QR1R1K1 b - -,d5f4
rn1qkb1r/1b3ppp/pp1ppn2/8/3NPP2/3B4/PPP3PP/RNBQ1R1K w kq -,d1e1
6k1/ppb3p1/2p1p1Np/7P/5PP1/2P5/PP6/1K6 w - -,b1c2
8/8/8/5k2/5Pbp/4K3/2p5/5B2 w - -,f1d3
2rq2k1/1p2b1p1/3pbrR1/p3pp1n/Pn2P3/1NN1BP2/1PPQ3P/1K1R1B2 w - -,g6g5
1rr2b2/5Q2/pk1p1P2/2q1p3/Np6/8/PPP3BP/1K1R4 b - -,b6a5
r7/4nkp1/5p1p/1RP1p3/8/P4P2/4K1PP/5N2 w - -,b5b7
2r3k1/2r2pp1/1bbpp2p/pp6/3PPP2/P3N2P/1P1RN1P1/R6K w - -,e4e5
r2q1rk1/1p2bppp/p3pn2/3pn3/3P4/1P3N2/PBP1QPPP/R4RK1 w - -,f3e5
4q1rk/r5bp/8/p2bp3/3p1p1N/1P1P3P/P2QNRPK/6R1 w - -,h4f5
r3k1nr/p1ppq1pp/1pn5/3P1p2/1b2b3/1QN2NP1/PP2PP1P/R1B1KB1R w KQkq -,c1g5
rnb2rk1/pp2ppbp/1q3np1/2p1N3/2P5/2N3P1/PP2PPBP/R1BQ1RK1 b - -,b8d7
1rb1r1k1/ppq1bpp1/4p2p/4Q3/1PP5/P4NP1/5PBP/3R1RK1 b - -,c7e5
8/8/p2rpk1p/Pp4rp/1Pp1B3/2R5/4K1PP/4N3 b - -,g5g4
r2qk2r/pp1bppb1/2np1np1/7p/3NP1P1/2N1BP2/PPPQ3P/R3KB1R w KQkq h6,g4g5
r4rk1/1p3pp1/1n1b3p/1B2p3/4R2B/P7/1P3PPP/2R3K1 b - -,f7f5
r6r/2k1bp2/1pn1p1p1/p1ppP2p/5P2/1PPPBBPP/1PK5/3R3R b - -,a5a4
8/1p6/2p2r2/2P1k2p/PR4p1/6P1/6K1/8 b - -,f6f7
7k/5p2/6pP/1P2r3/Pb6/2pb1P2/R3N2P/3K4 w - -,e2d4
6k1/pp1q2pp/n1p5/4Q3/P6P/1PBn2P1/5PB1/6K1 w - -,e5e3
r3n2r/pp1k1ppp/1b2p3/3pP3/3P4/1P2BPP1/1PR3BP/R5K1 b - -,a8c8
r1q1r1k1/bpp1npp1/p1bp1n1p/3P4/2P2BP1/P1NQ3P/1P2NPB1/R4RK1 b - -,c6d7
2kr4/ppp2p2/2b1p1p1/3nP3/2P1Bq2/5QN1/PP3PP1/2KR4 w - -,f3f4
r1b1kb1r/1pqn1ppp/p2ppn2/8/P2NPP2/2N5/1PP1B1PP/R1BQ1RK1 b kq a3,f8e7
5rk1/p4ppp/1p2pn2/1P1n4/2RP1q2/7P/P1Q2PP1/2R3K1 b - -,g7g5
3r4/pkp1R2p/1pb5/8/5B2/KQP1P2P/P7/2q2rR1 w - -,b3b2
r1bq3r/pp1nbkpp/2p1pn2/8/3P4/3B1N2/PPP2PPP/R1BQK2R w KQ -,f3g5
r3kb1r/pp2pppp/1nnq4/8/2p3b1/2P2N1P/PPBP1PP1/RNBQ1RK1 b kq -,g4h5
r7/8/p3nkp1/1pp1n2p/4P3/5PP1/PPPRB2P/2K4R b - -,e6d4
8/1p3pkp/6p1/p1bQ4/2B5/P6P/1P4PK/2q5 b - -,c1g1
r1bq1rk1/pp2bppp/2p2n2/3n2B1/3P4/1BN3N1/PP3PPP/R2QR1K1 b - -,h7h6
7r/ppr3k1/3p2n1/P1pPpBp1/2P1P3/2P2RP1/5PK1/1R6 w - -,f5e6
2r3k1/1p5p/pB3pp1/P7/2r5/6P1/7P/5R1K b - -,c4c1
rnbq1rk1/pp2ppb1/3p3p/2p4B/3P3p/4PN2/PPP2PPP/RN1QK2R w KQ c6,c2c3
3rk2r/2q1bpp1/p1n1p1p1/1pn1P3/2p1NP2/2P2Q1P/PPB3P1/R1B1R1K1 w k -,e4c5
8/pp3p2/7p/2Pk1P2/3Pb3/1P2K2P/P4P2/8 b - -,e4f5
8/7r/4P3/3P1k2/2K5/7p/8/7R b - -,f5e5
7k/5b2/7P/4p1P1/4B3/2K5/8/8 b - -,f7e8
7r/3r2pp/1p3k2/n4pNP/2pp1P2/P2RP3/1P2KP2/2R5 w - -,d3d4
r1b3k1/pp5p/n3prp1/1Bn2qN1/5P2/4P3/P1Q3PP/3R1RK1 w - -,e3e4
r6k/ppq1rpp1/2pb3p/4N3/2BPbP2/P1Q3P1/1P4P1/4RRK1 b - -,e4h7
r2qkb1r/3b1pp1/p1nppn1p/1p6/2BNP2B/2N5/PPP2PPP/R2Q1RK1 w kq b6,c4b3
8/8/3k2pR/5p2/4p2P/r5P1/P2K1P2/8 b - -,a3a2
4r1k1/p4p1p/1p4p1/2p1q3/2Pp4/1P3Q1P/P4PP1/3R2K1 w - -,a2a3
6k1/1p3p1p/4p1p1/1n2P1b1/p1qp4/P2N1BP1/1P3P1P/3Q2K1 w - -,f3b7
4b1k1/Q2q1pp1/2p1nb1p/1p1p1N1P/3P4/2PB2P1/1P1B1PK1/8 w - -,a7b8
5nk1/pp4pp/3bp1q1/1P1p4/3P4/1Br1N1PP/P3QP1K/3R4 w - -,e3g4
8/p3b3/8/3k4/PP1N1r2/3K2RP/8/8 w - -,d4c2
r3k1r1/pb1pnpqp/1p2p2b/8/3PP1PQ/1N1BP2N/PPP2K1P/R5R1 b q g3,e7g6
r3r1k1/pbqn2p1/1pn4p/2p1p2P/2PpN3/3P2P1/PP1BQPB1/R4RK1 b - -,c6d8
q1b3k1/4bppp/pB2p3/1p1rP3/1P6/P5P1/4QP1P/2RR2K1 b - -,c8b7
b4rk1/2R2ppp/p7/3p1q2/1P1Qn3/P3PP1P/4N1P1/2R3K1 b - -,e4g5
r1br2k1/ppp3bp/n4pp1/8/2P1PP2/2N2N2/PP4PP/R1B2RK1 b - -,c8e6
rn1q1rk1/pb3ppp/1p2pn2/8/1b1P4/2NB1N2/PP3PPP/R1BQR1K1 b - -,b8d7:b8c6
4r1k1/pp4p1/2p5/5R1p/3Pr2P/4P3/PP1K4/7R w - -,h1h3
r5k1/2R2p1p/3p2p1/8/1nB4P/8/5PP1/6K1 w - -,c4f7
2r3k1/1b3ppp/p4n2/1pqp1N2/5P1Q/1PbPPB2/n5PP/B4RK1 w - -,h4g5
3qbrk1/1p2r1p1/2p3Rp/p1PpPp2/1P1NnP2/3BP3/P1Q4P/6RK w - -,g6g7
5k2/5ppp/4p3/b2pP3/2bP2P1/5NKP/N4P2/8 w - -,a2c1
8/7k/p2q1p2/1p2r2p/1P2RQ1P/8/5P1K/8 b - -,e5d5
r1b1rbk1/2p2pp1/p2p1q1p/1p2p3/4P3/1PPPNN2/1P3PPP/R2QR1K1 b - -,c7c6
2krr3/ppp2pp1/2qbb3/3n2p1/2BP2P1/2P2Q1P/PP1NN3/1K1RR3 b - -,c8b8
1k1rr3/p4pp1/1p1n2qp/1P1p4/2nP3P/1NPN4/2Q2PPR/R1K5 w - -,d3e5
r1b2rk1/pp2Bppp/1bp4q/3p4/B3PR2/2PP2K1/PP1NQ1P1/R7 b - -,f8e8
4R3/8/p2P4/3K2k1/2P5/6p1/P4r2/8 b - -,g3g2
rn3rk1/pp3pbp/2p3p1/7n/P1B1PP1q/1N3Q1P/1PP5/R1B1K2R w KQ -,f3f2
rnb1k2r/pp1pppbp/5np1/q1P5/2P5/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,c1d2
8/8/8/5p1p/2kr4/3p1P2/3Q2P1/6K1 w - -,g1f2
8/1r2k1p1/R3B2n/5P2/8/5K2/8/8 b - -,b7b4
3rr1k1/5pp1/4b2p/q3bN2/4P3/3pQB2/5PPP/3RR1K1 b - -,e6f5
r1b2rk1/pp2bppp/2pp1n2/q1n5/3NPP2/1BN5/PPPB2PP/R2Q1R1K b - -,c5b3
8/3bR1bk/n2N2pp/2p5/PnP5/1P1P4/3B2P1/5K2 b - -,d7c6
rn1q1rk1/ppp1bppp/4pn2/3pNb2/5P2/1P2P3/PBPPB1PP/RN1QK2R b KQ -,c7c5
r5k1/p1qb1rpp/2p2n2/3pp3/P1pP4/B1P2P2/2PQB1PP/R4RK1 b - -,h7h6
r1bq1rk1/pp1nbppp/2p1pn2/8/2BP4/2N1PN2/PP1B1PPP/2RQK2R b K -,c6c5
4rrk1/1p1q1pnn/p2p2p1/P1pP4/2N1PPb1/2NB2Pp/1P1Q3P/4RRK1 b - -,h7f6
8/p3k3/br2pp1p/3pP1pB/R1pP1P2/P3K1P1/2P4P/8 w - -,a4a5
5k2/3q1ppQ/2p1pb1p/p1P4P/P4Pn1/1Pp3P1/4R3/1B1rR1K1 b - -,d1e1
r1bq1rk1/pp1nppbp/3p1np1/1Bp5/P3P3/2NP1N2/1PP2PPP/R1BQR1K1 b - -,f6g4
8/2R4p/1p1r2pk/p4p2/3p3P/P5P1/1P2PP2/5K2 w - -,f1e1
r4rk1/1p3pp1/6p1/pBb1q3/Pn1pP2P/1Q3P2/1P1B1K2/2R4R b - -,d4d3
r1brn1k1/4bppp/p1p1p3/q7/1P2NP2/P2BB1Q1/2P3PP/4RRK1 b - b3,a5c7
1r2q1k1/2Qb1pp1/3p2p1/1p1Pr3/1P2P3/7P/PB4PK/1R3R2 b - -,e5e4
r4rk1/1pqnbpp1/3p1n1p/p2Pp3/1Pp1P1b1/P1P2NP1/1B2QPBP/RN3RK1 w - -,h2h3
2rq1rk1/1b1nbp1p/pp1p2p1/4p1Pn/2P1PP1P/2N1B3/PPN1BQ2/2R2RK1 b - -,h5f4
8/5pk1/6p1/2R5/4p1NP/r5K1/5P2/8 w - -,g4e3
6r1/4k2p/pp6/5b2/P4B1K/1P3p2/2PR3P/8 w - -,f4g3
r1bqr1k1/pppn1pp1/3b3p/4p3/3P4/2PBPN2/PBQ2PPP/R4RK1 b - -,d8e7
8/5pk1/7p/4p2Q/8/2q3P1/6PK/q7 w - -,h5g4
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP1QPPP/RNB1K2R b KQkq -,d7d6
4r2k/p1q1pp1p/2p1b1pP/3n4/B6Q/B1P5/PP3PP1/4R1K1 w - -,a4b3
3r1r2/1p4kp/p1p2Rp1/2PbPPP1/5KPP/8/1P6/R7 w - -,h4h5
r1b1k2r/ppppqppp/2n5/4P3/1bP2Bn1/2N2N2/PP2PPPP/2RQKB1R b Kkq -,g4e5
1nr3k1/5p1p/3p2p1/1B1Q1b2/P1P2P2/8/2r2p1P/1R1R2K1 w - -,g1g2
r4rk1/p1p1q2p/3P2p1/1b1Pb3/2B1Pnp1/4B3/PP1Q1P1P/R3K2R b KQ -,c7d6
rn2kb1r/pp1b1p1p/4p3/2PpPn2/8/2N2N2/PPP2BPP/2R1KB1R b Kkq -,f8h6
r4rk1/ppq1ppbp/3p1np1/2p1n3/4P3/1P1P1N2/PBPNQPPP/R4RK1 w - -,f3e5
1B4k1/5p1p/pp2b1p1/8/8/8/Pb3PPP/3B2K1 w - -,d1b3
3r1k2/1b1r1ppQ/p7/1p5R/3pP3/1P1P4/PP4P1/5N1K b - -,g7g6
r4rk1/3qb1pp/8/1N3p2/pPnN4/P2nPpP1/3BQ1KP/3R1R2 w - -,d4f3
r5k1/2B1b1pp/p1b1p3/5p2/4p3/2N5/PPP2PPP/3R2K1 w - -,c7e5
r2rn1k1/1bpnqpbp/1p1p2p1/pN1Pp3/P7/Q1P1PN1P/1P2BPPB/R2R2K1 w - -,a3a2
r2qkb1r/1b3ppp/pn1ppn2/1p6/3NP1PP/2N1BP2/PPPQ4/2KR1B1R b kq h3,f6d7
3r4/1Q3p1k/5qpp/p2n4/8/1P3N2/b4PPP/3R1RK1 b - -,d5b4
8/3r1k2/p1nr2p1/1p2Rp1p/P2p1P1P/3P4/1R1K1B2/8 w - -,e5c5
8/1p2R1pp/5pk1/rp1N4/8/P4RPK/1r5P/8 w - -,d5f4
2kr3r/ppp1nppp/2p1b3/8/4P3/2NBPP2/PPP4P/2KR3R b - -,f7f5
r2nknr1/1bq1bp1p/4pB2/p2pP3/1ppP4/2P1N1PP/PP1QN1B1/R4RK1 b q -,e7f6
8/2r2k1p/2pb1pp1/p7/1PpPN1P1/P6P/5PK1/4R3 b - -,d6e7
2k4r/1p3Np1/2b1n3/p1q1Pp2/1bPp1P2/3P3P/3B2Q1/1R3RK1 w - -,d2b4
r1b2nk1/8/2p2p1q/p1Np4/1p1P1NP1/1P2QP2/1PP5/1K2R3 b - -,a8a7
2kr3r/ppqbppb1/2p2n1p/2Pp2p1/3P4/1NN1P1P1/PPQ1BPP1/1K1R3R b - -,e7e5
4r2k/1p3q1p/2b4r/p1pNP1R1/2P2p2/1P3Q1B/P7/3R1K2 b - -,f7e7
r1b1kb1r/1pq2pp1/p1p1p3/4P2p/5Pn1/2NB4/PPP3PP/R1BQ1R1K b kq -,c8d7
r1bq1rk1/pp3pbp/2p2np1/2p5/4PB2/2NP1N2/PPP3PP/R2Q1RK1 w - -,d1d2
r3kb1r/2qb1ppp/p3pn2/1pp5/2P1P3/3BB3/PP2NPPP/R2Q1RK1 w kq -,d1c2
2kr4/1pp1b1p1/p1b3N1/4q3/2Q4P/2N5/PKP5/5R2 b - -,e5d6
br4k1/2q1bpp1/p2pp2p/2n1n3/2P1PBP1/2N1N2P/P1QR1PB1/6K1 b - -,b8b4
1r2r1k1/ppp1qpbp/3pb1p1/7n/2P1P3/1PN3PP/PBQ2PBK/3R1R2 w - -,f1e1
r1b3k1/3p1rpp/p3p3/5p2/P1PQ4/8/5PPP/B5K1 b - -,a8b8
3b1n1k/2q3p1/p3p2p/2p1P2P/2P2P2/3R1Q1K/r4N2/6B1 b - -,d8e7
r4rk1/1pq2pnp/p2pb1pB/P1p5/3bP3/2N5/1PPQBPPP/R4RK1 w - -,a1a4
r7/1q2ppk1/3p2p1/2pP3p/4P3/rP1Q2PP/PR2RPK1/8 w - -,b2c2
r1q2nk1/2p2rb1/np1p4/3Pp1pp/P3Pp2/1Q1N1P1P/4BBP1/2R2RK1 w - -,a4a5
2r1k3/pp3pB1/4p3/1n1p4/b4PnP/P1pB4/R1P3P1/2K4R b - -,g4f2
3qB1k1/r4pn1/6b1/p1p1b3/2Pp4/PP1P2p1/2N4B/R2Q1RK1 w - -,h2g3
6k1/4p2p/3pp1p1/1p6/3bP3/1P1nBP2/P1r3PP/1RN3K1 w - -,e3d4
5k2/8/8/p5Q1/5K2/1q2PN1p/8/8 w - -,g5a5
r2k4/pp1q1p2/2nP3p/8/2P1Q3/P1P3P1/4PPKP/1R6 w - -,c4c5
2kr1r2/pppq2pp/1n1p1n2/8/P3PN2/1P1PB3/2P3PP/R2Q1RK1 b - a3,c8b8
8/8/3Npp2/2b4p/5k2/5P2/6P1/5K2 w - -,d6e8
3r3r/pk3p2/4p1p1/1p2P3/1P3P2/2R1N2P/P2p1K2/7R b - -,d8d4
4KB2/5P2/6k1/8/3b4/8/8/8 w - -,f8d6
r1bqkbnr/ppp2pp1/2np4/4p2p/4P3/P5P1/1PPP1PBP/RNBQK1NR w KQkq h6,c2c3
6k1/p4p1p/3pn1p1/8/NQ1B4/1P3P1P/P4PK1/2q5 b - -,c1g5
r3r1k1/1bp1qpbp/pp4p1/4n3/P1N1p3/2P1P2P/1PQ1NPP1/R2R1BK1 w - -,e2f4
r1bq1rk1/p2pb1pp/2p1p3/2p1B3/8/1P1P4/P1PN1PPP/R2Q1RK1 b - -,d7d6
r1bq1rk1/ppp1bppp/2np1n2/4p1B1/2B1P2P/2PP1Q2/PP3PP1/RN2K1NR b KQ h3,c8e6
8/8/3k3p/3p2p1/5p2/3K1P1P/1bN3P1/8 w - -,c2b4
r2q1rk1/pbpnb1pp/1p1p1n2/4pp2/2P5/1P1PPN2/PBQNBPPP/R4RK1 w - -,a1c1
r6r/2q1bkp1/p1p1p1p1/PpP2p2/1PnPpP1P/2N3P1/1B2Q3/2KRR3 w - -,c3b1
r2q1rk1/1bp2ppp/p2b4/3pn3/5P2/2PP1N2/PP1B2PP/R2Q1RK1 w - -,f4e5
8/6R1/p4p2/rp4k1/4P3/1K3P2/rB6/1R6 b - -,g5f4
8/5pk1/R3p3/4Pnp1/P6p/7P/1r4PK/4R3 b - -,b2a2
r3r1k1/1b3p1p/6p1/1p6/3R4/7P/6PK/3R1B2 b - -,a8a2
R7/5kpp/2pprn2/1p6/4q3/1Q3NP1/5PKP/8 w - b6,b3e6
rn1qk2r/1pp1bp2/1n2p1p1/p2pP1Np/P2P1P2/2P5/1P2N1PP/R1BQ1RK1 b kq -,b8a6
7r/2k2p2/1pp2P2/2B5/4r2p/1P5P/P1P2RP1/2K5 w - -,c5e7
rnbqkb1r/ppp2ppp/8/3n4/2Bp4/5N2/PPP2PPP/RNBQ1RK1 b kq -,b8c6
2R4Q/6p1/6k1/4pp1p/4q1nP/6P1/PP2PP2/6K1 w - -,h8e8
2r5/pRp4k/2pp2pP/5b2/r7/2P3B1/P1P3PP/4R1K1 w - -,g3d6
3r4/2R5/1p4pk/1P1Pp2p/PP1n3P/6P1/5K2/3B4 b - -,d8d5
8/p2q2kp/1pn3p1/1b2n3/4BQ2/P2p3P/3N2P1/R5K1 w - -,a1f1
r1bqk2r/3nbpp1/p2p1n2/1p1Np2p/4P3/1N1QB2P/PPP2PP1/R3KB1R w KQkq -,d5e7
8/p4k1p/6p1/5p2/8/4r3/1PK3PP/1R6 w - -,c2d2
r1b2r1k/pp4bp/1qp3p1/PN1Pp2n/4Pp2/1Q5P/3B1PP1/R3KB1R b KQ -,b6d8
6k1/p2rqppp/1p2p3/4Q3/1P6/r1P5/P3RPPP/R5K1 b - -,e7d8
r1bq1rk1/ppp2pbp/2np1np1/4p3/3PP3/2N3PP/PPP1NPB1/R1BQK2R w KQ -,c1e3
4r2k/4r1b1/1q1p3p/p1pPn1pQ/2B1P3/1nN3P1/5RKP/4BR2 w - -,c4b5
r3r2k/p2q2b1/1p3p1p/2np2pN/7P/1BR1P1Q1/PP3PP1/3R2K1 w - -,d1d5
r2q1rk1/1p2bppp/p1b1p3/3n4/PnBP4/2N2N1P/1P2QPP1/2BRR1K1 b - -,a8c8
8/6pp/1pBn1p2/p7/P4BP1/1k1K1P2/8/6b1 b - -,d6c8
8/5pk1/1r2bp1p/2p5/p2p1RP1/1P1B3P/P1PK2P1/8 w - -,d3c4
3k3b/4p3/3n3B/3P2Q1/2q5/7P/5PPK/8 b - -,h8f6
2r1k2r/ppp2pp1/4p3/4P1N1/2BP1n2/4N3/PPPb4/1K5R b k -,d2e3
8/6R1/2b1pP2/1pk1P2P/p3p3/P1PrK3/1P6/7R w - -,e3e2
r1b3k1/1p2qrpp/6n1/pBBPp3/P3N2b/6Q1/1P3PPP/4RRK1 b - -,e7d8
3qb3/kp3ppp/p3pn2/4N3/8/1BP2Q1P/PP3PP1/6K1 w - -,e5c4
2kr1b1r/1ppq1ppp/p1n1p3/1P1n4/3PN3/P2QBN1P/2P2PP1/R3K2R b KQ -,a6b5
6k1/1p2ppb1/b6p/P1P3p1/3P4/1R2B1P1/5P1P/6K1 b - -,e7e6
1rrn4/bpp2kp1/3pp2p/PR2p3/2N1P3/2PP1N2/4KPPP/1R6 b - -,f7e7
2rq3r/ppkbb3/2np1n1p/4p1p1/2Q5/N1P2N2/PPBB1PPP/R4RK1 w - -,c4e2
r7/p1R2pk1/1p1p3p/3P2p1/3Pn3/P5P1/4K2P/2B5 w - -,e2d3
rn3rk1/pbpp1ppp/1p2p3/8/1qPPn3/4PN2/PPQ1BPPP/RN1R2K1 b - -,b4e7
2rr2k1/pbq2ppp/1p2pnn1/4N3/2Pp4/P2BPP2/1BQ3PP/2RR2K1 w - -,e3d4
