5kb1/8/3P1p2/2n4R/p4P2/4K3/8/8 b - -,c5b7
3b2r1/1k3pn1/p3p1p1/1pBpP2p/3P3P/1P1BKPP1/1P5R/8 w - -,h2h1
1rr3k1/5pbp/3p2p1/p1p1p3/2P1B3/P2PP1Pb/3B1P1P/1R2R1K1 b - -,a5a4
r1bqk2r/pp2bppp/2n1p3/2pn4/8/3P1NP1/PPP1QPBP/RNB2RK1 b kq -,e8g8
2R5/1p3p2/p6p/6p1/1P6/k5PP/2Q3PK/q2r4 w - -,c8c3
1n3k2/1q6/p1pbp1p1/3p1pP1/1P1P1P2/P3P3/3BB1K1/2Q5 w - -,c1h1
2kr3r/Bp3ppp/2p2n2/8/Nb3Pb1/6P1/PPP1R1BP/R5K1 w - -,e2f2
r1b1k2r/pp1n1pb1/2p1pqpp/3p4/2PP4/2N1PN2/PP2BPPP/R2Q1RK1 w kq -,c4d5:e3e4
r5k1/6pp/8/2pR4/8/2N2Pq1/PP6/R1B3K1 w - -,g1h1
4rr1k/3R2p1/1p3q1p/4pn2/4Q3/P2B3P/1P2RPP1/6K1 b - -,g7g6
rnbqk2r/pp2ppbp/2p2np1/8/3Pp3/3B1N2/PPPN1PPP/R1BQK2R w KQkq -,d2e4
6k1/2p2pp1/4p2p/1q1pP3/rPnP3P/2QB4/5PP1/2R3K1 w - -,c1a1
r5k1/pb3p2/1pnrp1p1/3n2B1/3PR3/P4N2/1PB2PPP/R5K1 w - -,e4e1
8/p1k1b2p/7r/R1p1p1p1/4P3/4B2P/1PP2PP1/5K2 b - -,c7b6
7R/1p2kp2/p2p1np1/5p2/2rP4/P1N1PPP1/1P3K2/8 w - -,h8b8
7k/pp2q1p1/3b3p/2p5/3P1P2/P2Q2P1/1P4P1/5RK1 w - -,d4c5
8/1kn5/1p3Rp1/1Pp1PpP1/2Pp1P2/8/8/3KN2r b - -,h1f1
8/2q5/6k1/3pr1p1/3Q2P1/3R2K1/4P3/8 w - -,g3f2
6k1/5p1b/1pB1pp1p/1P6/8/1r4P1/3r1P1P/2R1R1K1 w - -,e1e3
2k2r1r/3Qbpp1/3p1n1p/p1pPp1N1/PpP1P3/8/1P3PPP/R1B1R1K1 b - -,c8d7
r1bq1rk1/1p2bpp1/2n1pn1p/p1pp4/2P5/P2P1NPP/1P1NPPB1/1RBQ1RK1 b - -,f8e8
3r4/1p1r1k1p/1R1p1p1p/2n5/p3P2P/P4BP1/5PK1/3R4 w - -,f3g4
r2r2k1/ppq2pb1/2p1b1pp/4p3/2P1P1n1/2N3PP/PP2QPB1/R1B2RK1 b - -,g4f6
8/8/6k1/3K2P1/3N1P2/1P6/8/1n6 w - -,d5e6
8/p2bn3/1p1k1pBp/3p3P/3P1K2/5PN1/PP6/8 w - -,g6f7
r3rqk1/p4p1p/1p2p1pP/3nN3/2RP3Q/1P6/P1R2PP1/6K1 b - -,f8e7
8/6k1/7p/6p1/K2p1r2/3P4/4Q2P/8 w - -,a4b4
r4rk1/p4p1p/2bQ2p1/2p2P2/1p6/3P1N2/PPq3PP/R4R1K b - -,c6f3
8/5k2/8/3p2Pp/1BnNnP1P/P1pK4/8/8 b - -,e4f2
8/1b2rn2/pp3pk1/1Pq4p/P1NRP2P/3P1B2/5Q2/5K2 w - -,b5a6
r2q1rk1/pbp1bpp1/1p2pn1p/8/3P3B/3B1N2/PPPQ1PPP/2KRR3 b - -,c7c5
r2r1bk1/1q3ppp/p3p1n1/4P3/N2R1P2/2Q4P/PP3BP1/R5K1 w - -,c3d2
8/1p6/p1k1b3/4p1p1/2P1Pb2/1P6/P1K2B2/5B2 w - g6,c2c3
5rk1/5pp1/b2p2n1/p3p1q1/3PP3/Q5B1/1P3RBP/7K w - -,h2h3
2rq1rn1/1b1nbpkp/p2pp1p1/1pp5/3PP3/2PBBN1P/PP3PPN/1Q1RR1K1 b - -,f7f5
4r1k1/2pb1qp1/p4p1p/b1pP4/5N2/1P3Q1P/PB3PP1/3R2K1 b - -,d7f5
r3nrk1/1p2ppbp/1p4p1/2P1Pb1q/1B6/3N2P1/PPQ2PBP/R4RK1 b - -,b6c5
4r1k1/pp3pp1/2p4p/5P2/8/B1P1n3/PQ4BP/3q1R1K b - -,e3f1
r1bqr1k1/bp3ppp/p1n2n2/3p4/1P6/P1N1PN2/1B2BPPP/R2Q1RK1 b - -,d8d6:c8g4
1r2r1k1/p1q1ppbp/1npp2p1/2p1P3/2P1N3/P2P1b1P/1P1BQPP1/1R2R1K1 w - -,e2f3
3rr1k1/1pq2p1p/p3pbpB/P1pn4/2Nn4/2NP3R/1PPQ1PPP/4R2K w - -,c4e3
6k1/r5b1/p4p1p/1p5Q/3qN3/P7/1P5P/5R1K w - -,h5g6
2r5/p5k1/7p/4R1p1/3nBn2/8/P1p2PP1/2N3K1 b - -,f4e2
8/p1R5/8/kP3p1K/P2n4/4b3/8/8 b - -,d4e6
r1b1qrk1/pp2p1bp/n1pp1np1/5p2/2PP4/2N2NP1/PPQ1PPBP/R1B1R1K1 w - -,a2a3
r2q1rk1/pp1n1pbp/2p2np1/4p3/2P1P3/1PN1BB2/P4PPP/2RQ1RK1 b - -,d8e7
r2r1bk1/1p3ppp/pnq1p2B/4P3/P4R2/2N3Q1/1PP3PP/R6K b - -,b6d5
3R4/1p2Bp1k/2p1b3/4P3/1P2P3/5Pp1/1r4P1/6K1 w - -,d8d1
r2q1rk1/pp1n1p2/2p2np1/3p2Bp/3b3P/2NP2Q1/PPP1BPP1/4RRK1 w - -,c3d1
1r3r2/R1pqn1bk/1p1p2pp/1P2pp1n/2P5/1QNP2Pb/3NPP1P/2B1R1KB w - -,c3d5
1rbqk2r/4npbp/pp1p2p1/2p5/P3Pp2/3P2P1/1PPN2BP/R1BQ1RK1 w k -,g3f4
2r1k2r/1bq1bppp/p2pp3/np2n2P/3NP1P1/2NBBP2/PPP1Q3/1K1R3R w k -,f3f4
8/8/1k6/3pP2p/3P2pP/R1bp2Pb/8/6K1 b - -,d3d2
1r1r3k/1p4bp/3p4/3B1p1Q/q1PP4/B3R1P1/2N4K/8 w - -,h5e2
8/4k3/1pp1p1p1/5pP1/2B2n2/P3RP2/1P5r/2K5 w - -,a3a4
6r1/kp4r1/p1p1pb2/P1Pp1p1q/1P1P1B1p/4P2R/3Q1RPP/7K w - -,d2e1
2k4r/5pp1/p1p5/4N3/3p1P2/rP4P1/P1PP4/1K4R1 b - -,a3a5
4k2r/1np5/1p1p4/3P4/1Pn1Pp2/2R2P2/4N3/3NK1Qq b - -,b6b5
6k1/3bb3/pB6/P2r3p/1p5P/1P3NK1/4P3/2R5 w - -,f3d4
8/8/NK1k4/8/8/8/1r6/8 w - -,b6a5
8/5k2/1p2pp2/2p4p/p2rPP2/P7/1PR1KN1n/8 w - -,c2c3
2r1k2r/1p6/p3pRp1/4n2p/3Bp1P1/2P5/PPN4P/7K b k -,e5g4
rnbqkb1r/pp3ppp/3ppn2/2p5/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 w kq -,f1e1:d2d3
4r3/2p3p1/2k4p/P2p4/P7/2P1pP1P/7P/4R1K1 b - -,e8a8
2r2rk1/p4p1p/1qN2bp1/3B4/P1Q1P3/6P1/5P1P/5RK1 b - a3,g8g7
2kbr3/2p2p2/p1pP4/P3pN1p/6qP/3Q2P1/5P1K/R7 b - -,e8e6
6k1/6p1/3N1p2/5Pnp/4P3/3PK3/1R5P/r7 b - -,h5h4
6R1/8/8/6k1/6p1/7r/6K1/8 b - -,g5f5
3r4/1pq1k3/3n4/p2pp1p1/5bQ1/B2B4/PPP2P2/1K2R3 w - -,e1h1
r1bqrnk1/p4pp1/1p1p1n1p/2p5/2PPPP2/3BB1NP/P2Q2P1/R4RK1 b - -,c5d4
r3r1k1/pp3pb1/2pq1np1/3p4/2PpP3/3P1PPN/PP4K1/R1BQ3R b - -,d5c4
r5k1/5ppp/4p3/pb2P3/1bpP1P2/2B5/6PP/1NR3K1 b - f3,a8d8
5r2/p4pk1/q1p1p2p/3p1p2/3P4/1P2Q1P1/P1R1PP1P/6K1 b - -,f8c8
6k1/1p1q2p1/p4p2/2P5/1P2Q3/3rp2P/6P1/1R4K1 b - -,f6f5
8/4bk2/2b1p3/2p1Pp2/p6p/2B4P/P3B2r/1R2K3 w - -,b1b6
2bbqr1k/1rp3pp/pp3n2/3NBp2/2P2P2/Q3P3/PP2B1PP/2R2RK1 b - -,c7c5
2r3k1/4np1p/6p1/Qp1p4/P2P4/1N2P2P/q4PP1/1R4K1 w - -,a5e1
1rr4k/5p2/3p1Pp1/p2Pp1Pp/1p2P2P/1P2b3/P1BBn1RK/8 w - -,c2d1
r2qk2r/pp3pb1/2n5/3p2PB/4p3/2P5/PP3P1P/R1BQK2R b KQkq -,d8e7
r2qkb1r/1b1n1ppp/p2p1n2/1p2p3/4P3/PNN2B2/1PP2PPP/R1BQ1RK1 b kq -,a8c8
3q2k1/5p1p/p5p1/Pb1Pp3/4P1B1/4Q2P/5PPK/2r5 w - -,e3c1
r3k2r/1p3ppp/1p1bp3/n2p4/2pP4/2P1PNP1/PPb2PP1/2R1KB1R w Kkq -,c1c2
8/5p2/p5k1/1pn1P3/2r1N1P1/P1B1K3/1P6/8 w - -,e4c5
r3k2r/1p1nppbp/p2p1np1/q2p1P2/4P3/2N1BP2/PPPQ3P/1K1R1BR1 w kq -,e4d5
2r2rk1/p4ppp/1p2b3/3p4/1n1P4/3B1P2/PP2N1PP/2R2RK1 w - -,d3b1
8/3b2pp/R7/1p1kp3/3p4/1P5P/5KP1/8 b - -,e5e4
r4rk1/4qpp1/1pbp4/2n1p3/PRP1P1p1/2Q1BP2/7P/R2B2K1 w - -,b4b6
6k1/p4p2/6pp/1p6/5P1P/5q2/PP3PK1/8 w - -,g2f3
r2q1rk1/pb1p1p2/np3np1/2b1p2p/Q1P5/P1N1P1N1/1P2BPPP/R1BR2K1 b - -,h5h4
rnbq1rk1/ppp1bppp/4pn2/8/2QP4/5NP1/PP1NPP1P/R1B1KB1R w KQ -,f1g2
rr4k1/2p1qppp/2n1pn2/p1Pp4/3P4/P1B1PP2/1R4PP/1Q3KNR b - -,b8b2
r5k1/5ppp/5n2/3p4/2p1b3/2P2NP1/1P1R1PBP/6K1 w - -,h2h3
8/5pk1/4pb2/3p4/3P1Pp1/r1PR1QPq/4K3/5N2 w - -,f3f2
2r5/4kp2/5p1p/pp1p1b2/3P4/PK2P1P1/5P1P/1N5R w - -,b1c3
3k3r/pp2qpp1/2pb3p/4nQ2/3pP1PP/2PP4/PP2B1K1/5R1R b - -,d6c5
2rqrbk1/1b3ppp/p2p1n2/np1Pp3/P7/N1P2N1P/BP3PP1/R1BQR1K1 w - -,a4b5
1r1r2k1/pb3ppp/5n2/8/4p2P/2PB1PP1/PPK5/2R3NR w - -,d3e2
rn1q1rk1/pp2ppbp/3p1np1/1BpP4/P3P3/2N2b1P/1PP2PP1/R1BQ1RK1 w - -,d1f3
r4rk1/1pq1pp1p/p2p1np1/3P4/Q1n5/2P3P1/P3PPBP/R1BR2K1 w - -,d1d4
r6r/p2k1ppp/2p2n2/2b5/3Nb3/1P3NP1/1P3P1P/R1BR2K1 w - -,c1e3
2r1r1k1/4bpp1/1pP1pn1p/p3q3/2P1P3/P1N4P/4QPP1/R3RBK1 w - -,c3b5
8/8/8/8/8/6pk/r7/1R4K1 w - -,b1c1
5r1k/2r1nq1p/4n1pb/1pp2p2/1P1pPP1P/3P1Q1B/2PBN1R1/R6K w - -,e4e5
r4rk1/pb1q2pp/1p1ppp2/3p2n1/2PP4/3BPP1P/PP1N2P1/2RQ1RK1 b - -,a8c8
r3qr1k/2p3pp/p1b1Bp2/1p2pP2/n7/2P1Q1P1/PP1R1PNP/3R2K1 b - -,e8e7
4R3/1k6/4K3/3P4/8/8/3r4/8 b - -,b7c7
3q1rk1/pb2bp1p/1p2p1p1/4B2n/3P4/3BPN2/P4PPP/1QR3K1 b - -,e7d6
4q3/ppp3bk/3P1np1/2P1r3/1P2P2P/P2Q4/7P/4R1RK b - -,c7d6
3r2k1/5p1p/r2p4/1NpPn1p1/P3NK2/1P2P3/6PP/3R4 w - -,f4g5
r1r2bk1/5p2/4pPp1/2npP3/2q5/2P1BN2/1pQ3P1/R2R2K1 w - -,c2b2
r3kb1r/ppq1pppp/2n2n2/8/2BP2b1/2N2N2/PP3PPP/R1BQ1RK1 w kq -,c3b5
r4rk1/1p1b2pp/1qnbpn2/p2p4/3P3B/P1NB1N2/1P3PPP/R2Q1RK1 b - -,d7e8
6k1/5p1p/QpPnp3/p2n2p1/R2P4/7P/P4PPK/2q5 b - -,c1f4:c1c6
2r5/3b1kpp/5b2/2pp4/7P/p2P2P1/P1P2P2/1R2R1K1 w - -,b1b7
4kb2/1p6/p1pn2pp/4p3/P1P1Pp2/3K1P1P/BP3BP1/8 b - -,e8d7
2r1b3/2q3bk/R2p2pp/1p1BpP2/1P6/3P1N1P/Q4PP1/6K1 b - -,c7c1
r2k3r/1Qp1q1pp/2P3bn/p7/P1B5/2Pp4/3N1PPP/R5K1 w - -,b7a8
r4rk1/ppqn1ppp/2pb1n2/3pp3/3PP3/1QP2NP1/PP3PBP/R1B1R1K1 b - -,e5d4
8/N7/4PK2/2k5/2n5/8/P7/8 b - -,c4b6
3r4/1p4k1/2nq2pp/pB1n1p2/P2R4/8/1P1Q1PPP/3R2K1 b - -,c6d4
rnbq1rk1/1p2bppp/p2p1n2/4p3/2B1P3/2N1BN2/PPP1QPPP/R3K2R b KQ -,d8c7
r2q1rk1/4pp1p/2pp2p1/p2N4/P2Qn3/1P4PP/2P2P2/R3R1K1 w - -,d5e7
2r3k1/3qbppp/8/4P1P1/1pp3QP/pP3P2/P1P5/1KN4R b - -,d7b7
2rr2k1/5pbp/p2pp1p1/P2nPn2/1p1PNP2/1N3P2/1P1B3P/2R1R1K1 w - -,e4d6
r2r2k1/ppb2ppp/4bn2/4p3/P1N5/1P2P3/1B2BPPP/R4RK1 w - -,f1d1
8/2p5/5p1p/pPbP2p1/6PP/2k2P2/4K3/3B4 w - g6,h4g5
8/p2k1b2/2p5/2P5/3KpPp1/7p/P6P/7B w - -,h1e4
r2qrbk1/5p1p/bppp2p1/p1n5/P3PP2/2NPRQ1P/1P1N1BP1/R5K1 w - -,d3d4
r3kb1r/1b1n1ppp/p2pp3/1p4P1/3NPP2/2NPB3/PP5P/1K1R3R b kq -,g7g6
5r1k/4R1bp/2N3p1/5p2/r2PnB2/7P/3R1PP1/6K1 w - -,d2b2
r2qkbnr/pbpp1ppp/1pn5/3Pp3/4P3/2PB4/PP3PPP/RNBQK1NR b KQkq -,c6e7
3r2k1/5p1p/p2Pp1p1/1p6/1BrP1q2/P7/1Q4RP/6RK w - -,b2d2
r2q1rk1/bpp2pp1/p1n1bn1p/3pp3/4P3/1BPP1NN1/PP2QPPP/R1B1K2R w KQ -,b3c2
r1q2rk1/ppp2ppp/2nb4/4pb2/3P4/2PQ1NP1/P1P2PBP/R1B1R1K1 w - -,d3b5
1kb4r/1pq2pp1/4pn1p/1P2b3/8/2P1B2P/1P2QPP1/R2B3K b - -,c7d6
r3k2r/ppq2ppp/2p1p1n1/3p4/5B2/2PBQP1P/PPP2P2/R3R1K1 b kq -,g6f4
r1r2bk1/1R3p1p/p5p1/n6q/Q2P4/4PpBP/P4P2/3B1RK1 w - -,d1f3
2b1rr2/p3qpk1/1p1p2p1/2n1n3/3NP3/2B1RBQ1/P1P3P1/3R2K1 b - -,f7f6
6r1/3k4/1p2PB1p/1n6/2p5/p1P1RK2/7P/8 b - -,d7e8
r1bq1rk1/pp1n2bp/2p3p1/3Pp2n/3PN3/1P3NP1/P1Q2PBP/R1BR2K1 b - -,c6d5
1r3nk1/5R2/3p1Pp1/2pB3q/5P2/8/3B4/4Q1K1 b - -,h5d5
4rb2/1kp4p/3n1pp1/5P2/2bNPBP1/2N4P/2K5/R7 w - -,a1a4
2rq1rk1/pp1n1ppp/5nb1/8/1PN1p3/PQ4P1/1B2PPBP/R3R1K1 b - -,d8e7
3R4/4k1p1/5p1p/1p3P1P/1Pb2K2/2P1BP2/r7/8 w - -,d8b8
5k2/p7/2B1Prpp/5p2/Pb6/2pR2P1/1rP1R1KP/8 w - -,d3d8
r1bQ4/pp3pkq/6p1/8/2BPP3/8/P4PP1/2KR4 w - -,d8c7
3b1rk1/p2p1pp1/B2P3p/n1p1PQ2/8/P3N3/3q1PPP/1R4K1 b - -,c5c4
r1bq1rk1/pp1n1ppp/2pp1n2/b3p3/2PPP3/P1N1BPN1/1P4PP/R2QKB1R w KQ -,f1e2
r2q1rk1/pp1n1pp1/4pb1p/5b2/2Pp1P2/4PB2/PB4PP/RN1Q1R1K w - -,e3e4
4rbk1/1b3q1p/p2p2pP/1pn2pP1/3N4/1P3PQB/PBP5/1K2R3 b - -,b5b4
8/4ppk1/1BPbn2p/p3N1p1/P1Q2P2/7P/6PK/3q4 w - -,b6e3
5r1k/pp4pp/5n2/q1P5/3B1Q2/P6P/6B1/5rK1 w - -,g2f1
5bk1/1R4pp/4bp2/2p1pN2/4P3/2PP2NP/5PP1/r5K1 w - -,g1h2
6k1/5pp1/2p1n2p/p2q4/4p3/P1Q3PP/1P1rPP2/2R2BK1 w - -,c3c6
5q1k/7p/5p2/2p1pN2/p1PnQ1P1/P7/1P5P/7K b - g3,f8b8
r5k1/p4pPp/2p1pq2/3r4/4p1P1/2P1Q3/PP6/R3K2R w KQ -,a1d1
1rbq1rk1/p1n3bp/1p1p2p1/2p1np2/2PPP3/1PN1B1PP/P2QN1BK/4RR2 b - -,e5f7
8/8/3p1kp1/4n3/4P2b/3pK3/3N4/5R2 b - -,f6e6
r3k2r/pb1p1ppp/nq2pn2/bN1P4/1pP5/4P1P1/1P2NPBP/1RBQK2R w Kkq -,e1g1
8/4r1k1/7p/6pP/3K2P1/2R2P2/8/8 w - -,c3c8
2r5/5pp1/p1b2k2/4p2p/PnR5/1P2N3/5PPP/3B2K1 b - -,c8b8
2r4k/1b6/p3qp2/1PR3pp/1P1pP3/3B1P2/6PP/1Q4K1 w - -,b1c2
r3r1k1/1p2bp1p/2pqn1p1/1P1p4/3P4/2N1PN2/2Q2PPP/1R3RK1 w - -,c3a4
rn1qk2r/p4ppp/1ppbpn2/5b2/3P4/1N3NP1/PPP2PBP/R1BQK2R b KQkq -,e8g8
8/4R3/1r4k1/5p2/2Nn1P2/6P1/5K2/8 b - -,b6b4
r2qkb1r/pp3ppp/2npbn2/4p3/4P3/1NN2P2/PPP3PP/R1BQKB1R w KQkq -,c1e3:c3d5
8/5k1p/6p1/3P4/R4K2/P5P1/7r/8 w - -,f4e5
8/6p1/5pk1/R6p/pr2p1qP/4Q1P1/P4PK1/8 b - -,b4c4
3r1rk1/1b2n1pp/pq1pp3/1p3p2/4P3/PNN3Q1/1PP2PPP/3RR2K w - f6,b3d4
r1bqr1k1/1ppn1pbp/p2p2p1/4P1Pn/4P3/2N1BN2/PPPQ1P1P/2KR1BR1 b - -,d7e5
2r5/3R1p2/5P2/2b2N2/1kp5/6P1/1P3P1P/6K1 b - -,b4b3
r4rk1/pppqppbp/2np1np1/8/2P5/2NP1NPb/PP2PPBP/1RBQR1K1 w - -,g2h1
r2qkb1r/pp1nnppp/2p1p3/3pP3/3P4/2NQ1N2/PPP2PPP/R1B1K2R w KQkq -,e1g1
8/7p/3pk3/1Prp4/7R/1K6/8/8 w - -,h4h7
6k1/3N2p1/1p2pp2/pP5p/P2n1P1P/6P1/4PK2/8 b - -,d4b5
5k2/p4b2/1prp1r1q/5p1p/2P1pP1Q/1P6/P2RB1PP/3R2K1 w - -,a2a4
3rr3/5pk1/p2b1pp1/1ppP4/P3n2q/1B5P/1P2NPP1/2RQ1RK1 b - -,c5c4
r4rk1/3b3p/p1p2Q2/3p2p1/1P2p3/P5P1/4PPBP/2RR2K1 b - -,f8f6
8/8/4N1pp/8/P1n5/PR3k2/7K/3r4 b - -,c4e3
r5k1/1q3p1p/6p1/p1p1r3/PpQ4P/1P2P3/2R2PP1/5RK1 b - -,a8c8
8/n2B4/P7/5k2/6p1/6K1/5P2/8 b - -,f5f6
8/8/P3r1k1/1P3p2/r4b1p/2PRp2P/4Q1P1/7K w - -,d3d1
3r1r2/pk4pp/4p3/b2n4/2p1P3/P1NR2B1/1PK3PP/4R3 w - -,d3d1
2r3k1/4bpp1/p1rpbn1p/4p3/4PP1P/4Q1P1/qB1RN1B1/3R3K w - -,f4f5
r1bq1rk1/ppp2p1p/2np1npB/1BP1b3/4P3/2N5/PP3PPP/R2QK1NR b KQ -,f8e8
7r/1p6/2brpk2/RP2Np2/3P3p/2P2P2/1P3K2/7R b - -,c6e8
r5k1/1ppb1p1p/2np4/2n2P2/2Pq1N2/rP4P1/2B1QR1P/1R1N2K1 b - -,c6e5
8/p4k1p/1pBQrq1P/5pp1/2P5/2P5/P4PP1/6K1 w - -,c6d5
r1bqk2r/pp3ppp/2pbnn2/3p2B1/3P4/2NBPN2/PPQ2PPP/R3K2R w KQkq -,g5h4
b6r/p7/Pp3pkn/1P1p3p/2pNrP2/2B1P1PK/4R3/1R6 b - -,h8e8
1k3R2/pp6/P1pp4/1n2q2p/3p2pP/1Q1P2P1/3K2B1/8 b - -,b8c7
r1bq1r2/1p1pppkp/p1n3pn/4P3/8/2N2N1P/PPPQ1PP1/2KR1B1R w - -,g2g4
rn1q1rk1/pp2ppbp/2p2np1/3p4/5P2/3PPBP1/PPP4P/RNB1QRK1 b - -,b8d7
2r3k1/1p4pp/8/5p2/3RbP2/2P1B1bP/PK4P1/6R1 b - -,h7h6
8/3k3p/pp2p3/4Pp2/2P1bPP1/P2K4/1B2Bb2/8 w - -,d3d2
3rr1k1/4bbpp/2q5/p2p2P1/1ppPpPB1/P3P3/1P5P/1NRQ1RK1 b - -,c6b5
3r4/p3k1p1/1p1bpp1p/3n4/3P4/PN2B2P/1PR1KPP1/8 b - -,h6h5
4k3/5p2/p4P2/3RPP1p/1p6/1P3K2/P5p1/6r1 b - -,g1f1
6r1/8/p1rkp2p/3p2B1/3Pb3/2P1N3/PP5P/2K2RR1 b - -,h6g5
r2r2k1/1pp2pb1/6pp/p5q1/2B1b3/PP2P3/1B2QPPP/2RR2K1 w - -,f2f3
8/5pk1/4p3/p3P1p1/Pp6/1P3nPP/2B2K2/8 b - -,f3e5
R5k1/1p2qppp/5n2/8/1b1p2b1/3P2P1/2Q2PBP/2B1rNK1 b - -,f6e8
5rnk/p1qbnr1p/3p4/2pP1p1N/PpP2BP1/1PbB3P/R2Q2KN/6R1 w - -,d2c1
1r3rk1/3nb1pp/2qp4/1p1Rpp2/p3P3/P3BP2/1PPNQ1PP/2R3K1 w - -,d5d3
6k1/1p6/p1p2r2/2q1p2Q/P6P/3P2P1/4RP2/6K1 w - -,h5g5
8/2b1k1p1/1p3pb1/8/4p2p/NB2P2P/P4PP1/5K2 b - -,g6e8
6k1/7p/r1p3p1/8/PR6/1P2p3/6PK/8 b - -,e3e2
r4rk1/pp3pbp/q3p1p1/2pP4/2P1P1b1/4BN2/P2Q1PPP/2R2RK1 b - -,e6d5
rn1qkb1r/1p2pp1p/p1p2np1/3p4/2PP4/1PNbP3/P1Q2PPP/R1B1K1NR w KQkq -,c2d3
4r3/pr5k/3Bq2p/2RpP1p1/1P1P4/P4QPP/5PK1/8 b - -,b7f7
8/6p1/7p/p1k1p2P/Bp2P3/3K1P2/P5P1/4b3 w - -,g2g4
r1bq1rk1/1p1nbpp1/2p2n1p/p3p1B1/4P3/2P2N2/PPQNBPPP/R4RK1 w - -,g5h4
7r/2Bp1kpp/p1bPpp2/1r6/2p5/1P6/P1P2PPP/R3R1K1 w - -,f2f3
4r3/5k2/2p2p2/1p1b1np1/p2P1b2/P1B4P/1P3PB1/3RNK2 b - -,d5b3
8/p4pk1/8/6K1/P4R2/r5P1/5P2/8 b - -,a3a2
rn2kb1r/ppq1pppp/2p2nb1/3p4/2PP2PN/1Q3P2/PP1NP2P/R1B1KB1R b KQkq g3,e7e6
1k6/1r6/4K3/8/2Q5/8/8/8 w - -,e6d6
6k1/p3B1bp/1p6/1N3p1n/N1P5/5bP1/PP5n/R4K2 w - -,f1g1
r1b2r2/ppp2pk1/3p3b/3Pp3/1PP1Pn1p/1NN1BPq1/P2Q2P1/R4R1K w - -,d2f2
2r5/2r1pkn1/p2p1p1Q/1p1P1qp1/4N3/1P3P2/P1P3R1/1K2R3 b - -,b5b4
rnbqkb1r/ppp2p1p/3p1np1/4p3/2P1P3/2N3P1/PP1P1P1P/R1BQKBNR w KQkq -,f1g2
1r5r/1R1k1p2/p2p4/b1qPp2p/4Pp2/1Q5P/2P1RPP1/5BK1 b - -,a5c7
r3r1k1/pb1nqppp/1p3n2/1PPp4/8/P1B1PN2/2Q1BPPP/R4RK1 b - -,b6c5
5k2/1p6/1p1p4/2p2nN1/2P2R2/3q1P2/PP5P/6RK b - -,f8e8
r4rk1/p2nq3/2p1b2p/3p1p1n/N2P2p1/3BPN2/P1Q2PPP/R4RK1 w - -,f3e5
2rn1rk1/Bbqnbppp/p2pp3/3P4/2P5/1QN2NP1/P4PBP/1R2R1K1 w - -,f3d4
r1bqk2r/b4pQp/p1nppn2/1p6/4P3/1NNB4/PPP2PPP/R1B2RK1 b kq -,h8g8
2r3k1/Bq2b1pp/pp2b1n1/2r1pp2/1PP5/3B1P2/3N1QPP/2RR2K1 w - -,g1h1
r1b2rk1/1pp1qppp/p2p1n2/n3b3/3N4/1PN1P3/PBP1BPPP/R2Q1RK1 b - -,a5c6
r4rk1/5ppp/3N4/p3P3/5B2/P6P/1q2NbP1/R2Q3K b - -,a5a4
