8/8/1N5k/8/7P/4P1P1/2R1K3/1r6 b - -,b1b6
5B2/5p2/2b2Pk1/1p1N2p1/2p1K1Pp/5P1P/1PP4b/8 w - -,f8b4
8/2p2qk1/3p2pp/Q7/5P2/1PP2KP1/P6P/8 b - -,c7c5
2r2rk1/1p1nbpp1/2q1p1bp/p2pP3/P2P3P/2P3PB/1P1NQ3/R1B2RK1 w - a6,h4h5
r4rk1/p1q2pbp/2nppnp1/1pp5/4P3/2PPNBP1/PP3P1P/R1BQR1K1 w - -,f3g2
2kr2r1/1pqbnp2/p3p3/n2pP2P/5P2/P1NQ4/2P3P1/1RB1KB1R b K -,a5c4
1r4k1/p2r1pp1/6p1/2Rpb3/8/P4B2/5PPP/3R2K1 b - -,b8d8
3q1r2/1r2ppkp/5np1/2p5/1p1n4/1P1P2PP/1NPQNP2/R4RK1 w - -,e2d4
r1bq1rk1/pp2bppp/4pn2/n7/3P4/2NB1N2/PP2QPPP/R1BR2K1 b - -,b7b6
rnbq1rk1/pp2ppbp/2p2np1/4N3/2pP4/6P1/PP2PPBP/RNBQ1RK1 w - -,b1a3:e5c4
4r1k1/1p4b1/6N1/P1r5/4n1P1/P3P2p/4K3/4BR1R w - -,e1b4
6k1/7p/2P3p1/3R4/1p6/1P5P/2r3PK/8 b - -,c2c6
1r3r2/p1pk4/P1pbpppp/R7/1P1P1PP1/2P1K2P/1N6/R7 w - -,b2d3
1r3rk1/1b1nbppp/p1p1p3/q2pP3/2P2P2/1P2B3/P1QNB1PP/R4RK1 w - -,d2f3
r4rk1/bp1qnpp1/p4n1p/3p4/3N1Bb1/1NP3P1/PPQ2PBP/R3K2R w KQ -,f2f3
r2q1rk1/pp1bn1b1/2pp3p/1P3p1n/P1PPp1pP/1NB1P1P1/2Q1BP2/R3KN1R b KQ -,a8c8
2r3k1/q1rbbp1p/p1p1p1p1/N3P3/1pP1BPP1/3R1Q2/PP5P/3R3K b - g3,d7e8
r1b1k2r/4q1pp/p3pb2/1p1pn3/8/2NBB3/PPP3PP/R3QRK1 w kq -,a1d1
5qk1/3n2pp/p2pr3/2p2p2/2P1rP2/P1Q1P3/6PP/BR2R1K1 w - -,b1b7
5r2/pp1Qp1kp/2n2r2/2p3p1/8/1PPB2q1/P7/1K1R4 w - -,d7d5
6b1/8/3k4/1p6/1P1K2BP/P7/8/8 w - -,g4e2
4r3/p1k3p1/2nr1b2/2ppNQ2/q7/2P3B1/P1P2PPP/R3R1K1 b - -,e8e5
6k1/3R3p/3p4/5p2/4K1P1/b7/8/8 w - -,g4f5
8/6k1/2R5/3P2pp/4K3/4P1P1/5r2/8 b - -,h5h4
r7/8/1p6/2p1kp1P/P1B5/2N1P3/5K2/8 w - -,c4e2
8/8/7Q/8/5r2/3K1k2/8/8 w - -,h6h3
k3r1r1/1p2P2p/p2Q4/3P2p1/P3P3/4B3/1q4PP/2R4K w - g6,d6c5
2r2r2/6kp/p2n1pp1/Pb1p4/1RpPp3/2P1PB1P/1R3PP1/1N4K1 w - -,f3d1
8/1R6/1p3kp1/7p/2r2K1P/P7/8/8 w - -,f4g3
r1bqr1k1/1p3ppp/p1np1b2/2p1p3/4P3/2PPBN2/PP1QBPPP/R4RK1 b - -,b7b5
r2q1rk1/pb3p1p/1pn2bp1/3pN3/3P4/2NB4/PPQ2PPP/3R1RK1 w - -,e5c6
rnbq1rk1/ppp1bppp/3n4/3p4/3P4/2PB1N2/PP3PPP/RNBQ1RK1 w - -,d1c2
2r5/1b2bpk1/3p2p1/4p3/2r1P2P/2N2BP1/1P1R1K2/4R3 b - -,c4b4
2r3k1/p3n1p1/1p5p/3p1P2/3BB3/P6P/1P2P3/3R2K1 b - -,d5e4
r1b2rk1/2q2ppp/p2ppn2/2p1n3/N3PP2/4Q3/PP1B2PP/2R1KB1R b K f3,e5d7
5r2/4q2r/2pbb1k1/p1p1p1pp/N1PpP1P1/1P3P1P/P3QRK1/2B4R w - -,c1d2
5r1k/2pq1b2/p7/2p2pQP/2p2P2/2P5/P5P1/4R1K1 w - -,g1h2
rr3qk1/1p1nbppp/3p4/1BnPp3/p3P3/N3BP2/PP1Q2PP/1R3R1K b - -,e7d8
1n6/4k2p/6p1/pp1PP1P1/8/P2K2P1/7R/2q5 b - -,c1c4
2r3k1/pb2qp2/1p4pp/3p4/3Nn3/4P3/PPQ2PPP/1B1R2K1 w - -,c2e2
8/2k5/p2r3p/2pPn1p1/2B2pP1/1P3P2/4K2P/R7 b - -,d6b6
8/P4p1k/3p2pp/8/7P/P1p2qP1/1Q3P1K/8 w - -,b2c2
7k/3q4/8/6PP/8/2Q5/4P1K1/8 b - -,h8g8
8/3B4/3b4/6k1/1p2Kp2/3N2p1/2P5/8 w - -,e4f3
6k1/6N1/8/1p4R1/8/7P/1p4PK/2r5 w - -,g5b5
rnb1k2r/pp3pp1/2p4p/3N4/1b1q4/8/PPQ1PPPP/3RKBNR w Kkq -,d5b4
2r5/3b2k1/4ppp1/2r4p/p4PP1/R2B3P/3K4/4R3 w - -,f4f5
4N1k1/R7/2p1np2/2P1p3/pPQ1P1p1/P6q/1B3K1P/8 b - -,h3h2
n2rbrk1/pp3qn1/8/P1pPR2p/2N3p1/1QN2pP1/1P3P1P/3BR1K1 w - -,e5e7
8/4kppp/1r2p3/p1p2n2/PpP2P2/1P2P1PP/3R1KB1/8 w - -,g3g4
8/8/1b1pp1k1/6p1/1N2P3/1bP1N1K1/8/8 w - -,e3g4
r1bq1rk1/ppn1bppp/2np4/2pNp1P1/2B1P3/3P1N1P/PPP2P2/R1BQK2R w KQ -,d5c7
r1b1qrk1/pp3pbp/n1pp2p1/4n1B1/2P1P3/P1N2N2/1PQ1BPPP/R3K2R w KQ -,e1g1
8/5k2/3p4/7r/4RB2/8/4K3/8 b - -,h5d5
K7/P7/5k1P/8/8/4p3/6R1/7r w - -,g2e2
5q2/pr3n1k/R4P1p/3pb1p1/1Pp5/2PnB2Q/4N1PP/5RK1 b - -,f8g8
k7/3KQ3/8/P2q4/7P/8/8/8 w - -,d7e8:e7d6
6k1/1p4b1/p2p4/Pb1P1p1Q/1P6/4pPPP/3qN3/4RK2 w - -,f3f4
3q1r1k/p1pn1pp1/1p1pp3/6b1/2PPB3/6P1/PPQ1RP1P/R5K1 b - -,g5f6
r2q1rk1/pp2bpp1/1np3p1/6P1/3P3P/PQPB4/3B1P2/R3K2R b KQ -,d8d5
8/K7/8/5p2/pP2k3/P7/8/8 b - -,f5f4
1rNqk2r/4bppp/p1np1n2/1p2p3/4P3/2N1B3/PPP2PPP/R2QKB1R b KQk -,d8c8
1r2r1k1/p1q2pp1/2p2n1p/3bP3/8/2NBQ2P/1P2RPP1/5RK1 w - -,f2f4
K7/1P6/2q5/8/8/8/8/Q6k b - -,h1g2
1r2r1k1/1pp2p2/pb1p1np1/3Pn2p/3NPP2/1PB3NP/1P2R1P1/3R3K b - f3,e5d7
2r1N1k1/p3p2p/6p1/1p2p3/nP2P3/3B4/5PPP/RK6 w - b6,d3c2
4r1k1/5ppp/2p5/3p4/P5b1/1P6/1qP2PPP/1NR2QK1 b - -,g4e2
r1n4r/3k1ppp/p1p1p3/1q1pPb2/1P1b1P2/P7/R1P3PP/1N1Q1R1K b - -,b5c4
3rr1k1/5p1p/pN4p1/2qb1Q2/P7/8/5PPP/RR4K1 w - -,b6d7
r4rk1/ppp3pp/3p4/2bP4/3nq3/3QN3/PPP2PPP/R1B2RK1 b - -,a8e8
2R5/5pk1/4p1p1/3n4/3r4/5KPP/4B3/8 b - -,d4a4
r4rk1/3q1bpp/1N1p1p2/p1nPp2P/1p1nP1PN/1P4R1/P1B1QP2/R6K w - -,e2d1
8/2kq2Q1/2p5/1p1pPp2/pPn2P2/P3P2P/4bBBK/8 w - -,g7f6
3rrbk1/2q4p/1pp1npp1/p3p2n/4P3/PP2Q1PP/1BPNNPK1/3RR3 w - -,d2f3
8/3B4/1N6/p2K4/4p3/2kbPn2/8/8 w - -,d7f5
r3k1nr/1bqn1pb1/p2pp1pp/Pp6/1PpPP2P/2P1BP2/2BQNNP1/R3K2R b KQkq -,g8f6
8/8/2kbp3/3p3p/3P3P/4K3/5B2/8 b - -,c6b5
r5k1/1pr3pp/p1n1pp2/P2p1b2/3P4/2P5/1P1N1PPP/R3RBK1 w - -,f2f4
3r1qk1/p6r/1p1p3n/3P2p1/QP1Bpp2/5P2/P3B1K1/2R4R w - -,a4c2
4r3/2pqrpk1/3p2pp/p1p1n3/2N1P3/1PPQR2P/P4PP1/3R2K1 w - -,c4e5
3r1rk1/8/4b2p/2n5/2P5/5N2/1R3pBK/R7 b - -,c5d3
r1b1k2r/1p1n1p2/p3p2p/2b3q1/3NQ2p/5P2/PPP3PP/1K1R1BNR b kq -,d7f6
8/8/3p2rk/2pPPR2/1r4pP/1P1R2K1/8/8 b - -,c5c4
8/8/5pp1/4p3/2r1Pk1p/p4P1P/P3RPK1/1Nb5 w - -,e2e1
rn1q1rk1/pp3ppp/2pbpn2/3pNb2/2PP1B2/2N1P3/PP3PPP/R2QKB1R w KQ -,f1e2
2k3r1/1pp5/1n3q1p/3ppP2/p6P/PrNP2P1/KP2Q3/4RR2 b - -,e5e4
r1bqrnk1/p4ppp/1p3n2/3p4/3P4/P2BPPN1/5RPP/2BQ1RK1 w - -,d1d2
r1b3k1/pp4pp/2nqp3/3p4/3PnP2/3B1N2/PP3P1P/R2QR1K1 b - -,d6f4
5r1k/pp2pq1p/2n2pp1/2P5/5P2/4P3/PBQ3PP/3R2K1 b - -,f7e6
N4b1r/pp1k1ppp/2n1p3/5bq1/2Pp4/4P1P1/PP2B2P/R1BQ1K1R b - -,f5h3
r1bqn1k1/pppp1ppp/5b2/8/3P1B2/2N5/PPP2PPP/R3QBK1 b - -,f6d4
r1br2k1/ppn2pbp/2p2np1/8/N2P4/1p3NP1/P3PPBP/R1B2RK1 w - -,a2b3
1b2rrk1/p4ppp/1p3q2/2pB1b2/2Pp4/1Q1P2P1/PP1N1P1P/R3R1K1 w - -,d2e4
2b3k1/p5p1/1p6/7p/1P1Pp3/P2p1PPP/3R4/2r1BK2 b - -,e4e3
r4rk1/pp1qppbp/3p1np1/4n3/2P1P3/2N2P2/PP2N1PP/R1BQ1RK1 w - -,b2b3
8/1rp3k1/3p2p1/1P1Pp2p/4P3/2R4P/4B1P1/2b3K1 b - -,c1d2
r1b3k1/1pq1bppp/p1n1p3/2p1N3/4N3/1P4P1/PBP1QPBP/3R2K1 b - -,c6e5
r4rk1/2qn1pbp/p1n3p1/3Np3/4PP2/4B3/PPP1B1PP/R2Q1R1K b - -,c7d8
2kb2r1/1qn5/pp2p2p/4p2P/PPQ3P1/5p2/2P1BP2/1RB3K1 w - -,e2f1
r2qr1k1/n7/1p1b1pbB/1PnN1p2/3N4/3P1B1P/R2Q2P1/1R4K1 b - -,d6e5
2r3k1/R2nbp2/1p1p1np1/1B1Pp2p/1PN1P2P/3KBP2/6P1/8 b - -,c8d8
8/1B6/8/4kp2/3p2pp/3K1p2/2P3PP/8 w - -,g2f3
r1bq1rk1/pp2bppp/4pn2/2p1N3/3P4/3BB3/PPP2PPP/R2QK2R w KQ c6,c2c3
r1bq1rk1/ppp1ppbp/1n1p2p1/n3P3/3P1P2/1BN2N2/PPP3PP/R1BQ1RK1 w - -,c3e4
4r1k1/pp3p2/1q1B3p/3R4/8/3Q1N2/Pb3PP1/6K1 w - -,d6e5
1r3rk1/R4pbp/2pN2p1/4p3/8/1n4P1/1B1RPPBP/6K1 w - -,d2c2
4N1k1/R7/2p1np2/2P1p3/pPQ1P1p1/P7/1B6/4K1q1 w - -,e1d2
r1b1kbnr/pppp1ppp/2n3q1/8/4P3/1N3P2/PPP3PP/RNBQKB1R b KQkq -,f8d6:f8b4
rnbqk1nr/ppp2ppp/4p3/8/1b1PQ3/2N5/PPP2PPP/R1B1KBNR b KQkq -,g8f6
8/5pk1/1q5p/p1r1P2p/1r1p4/8/3Q1PP1/R3R1K1 w - -,a1a3
8/3r2p1/1p3p2/2pkP2p/2Nb3P/Pr4P1/1PR1R1K1/8 b - -,f6e5
r1b4k/pn3rn1/1p1p4/2pP1p2/1PPqpP2/P6P/2Q1B1PN/1RB3RK b - f3,d4f2
4rk2/p1q2ppp/5n2/2r5/8/NP3P1P/P1N3P1/R4Q1K w - -,a3c4
8/n4k1p/6p1/5p2/8/5BP1/7P/6K1 b - -,g6g5
rr4k1/pN1n1pbp/1pp1q1p1/8/3P4/BP2P3/P1Q1BPPP/2R2RK1 b - -,b8b7
8/5r1k/pR4b1/4B1Pp/3P4/6P1/1P3P2/6K1 b - -,f7a7
8/pp4p1/8/2kp1r2/8/2P3P1/PP3K1P/4R3 w - -,f2g2
rn1qkb1r/pp2pp1p/2p2np1/3p1b2/2PP1B2/1Q3N2/PP2PPPP/RN2KB1R b KQkq -,d8b6
2rqr1k1/pb1nbpp1/1p1ppn1p/8/2PP3B/3B1N2/PP1NQPPP/2R1R1K1 w - -,d3b1
rn1q1rk1/pbppbppp/1p2pn2/8/2PP4/P3PN2/1P2BPPP/RNBQ1RK1 b - -,c7c5
8/3p4/2b5/5r2/pKB1p3/8/PkP5/6R1 w - -,c2c3
4rb2/1kp4p/3n1pp1/5P2/R1bNPBP1/2N4P/2K5/8 b - -,c4f7
5kr1/pp3p2/4p3/3NP2P/2p5/P1P1KP2/8/7R b - -,e6d5
1q3rk1/pp2p2p/2n1b1p1/1B1nbp2/3p4/Q4N2/PP1B1PPP/2R2RK1 b - -,e6f7
r3k2r/2B1b1pp/2p1pp2/3p4/pPbPn3/P3PP2/2N3PP/2R1K2R b Kkq -,e4d6
2rr2k1/pp1nbpp1/2p2np1/4p2q/PP1P4/4P2P/N1Q1BPP1/1RBR2K1 b - -,h5h4
8/1p1R2pk/5p2/5P1p/8/6K1/7P/1r6 b - -,h7h6
rn1q1rk1/pb1pbppp/1p3n2/2pp2N1/2P5/2N3P1/PPQ1PPBP/R1B1K2R b KQ -,b8c6
8/6kp/B7/3bp3/p1p5/P1P4P/6P1/6K1 w - -,a6b5
8/8/p1R2pk1/1p1Pn1p1/1P4P1/r6P/5BK1/8 w - -,c6e6
rn1qkb1r/pp2pp2/2p2np1/3p1b1p/3P1B2/2N1PN2/PPP1BPPP/R2Q1RK1 b kq -,f6e4
r3n1k1/2q3rp/pp3pp1/2pPp3/2PnPP1Q/P5R1/3B2PP/1R3BK1 w - -,f1d3
4r1k1/1pp2pp1/8/2p1r1qp/Q1P1P3/P3P1P1/1P4BP/4R1K1 b - -,h5h4
r1bq1rk1/pp1nbppp/1np5/8/3P1N2/2N1P1P1/PP4BP/R1BQ1RK1 b - d3,d7f6
3q1rk1/r2nbppp/p3p3/Pnp1P3/1pQ4P/3PNBP1/1B3P2/R1R3K1 b - -,b5d4
r1b2rk1/pp2b1pp/1np5/q2pNp2/3PNB2/6P1/PPQ1PPBP/3R1RK1 b - -,f5e4
2kr1b1r/pp3ppp/2n5/2pq1b2/4p3/1P4PN/PB1PPPBP/R2QK2R b KQ -,c8b8
4r2k/7P/pp4p1/5p2/P7/3qnR1P/1P4B1/4Q2K w - -,f3f4
r4rk1/1p1q1bb1/p4npp/2PpNp2/1P1B1P2/2N5/P5PP/2RQR1K1 b - -,d7d8
r2qr1k1/2p1bppp/p3b3/1p1pP3/4n3/2P5/PPB1QPPP/RNB1R1K1 w - -,c2e4
r5k1/pp1q1rbp/nn1p2p1/1QpPpp2/2P1P3/2NN1PP1/PP1B2KP/2R2R2 b - -,d7e7
3r1rk1/pppq2b1/6pp/7n/3PP1b1/1P3NP1/PB2Q1BK/R2R4 b - -,d7d6
r4rk1/1p1qbb1p/1n4p1/3pB1p1/p2P4/P1N2R1P/1PQ2PB1/4R1K1 b - -,a8e8
1rb2Nk1/3n3p/8/1pb2p2/2p5/4P3/PP3PqP/R1BQK2R w KQ -,e1e2
r5k1/1pqrbppb/2n1p2p/2p1P2P/PpP2PP1/1Q1P1N2/1B2B3/R4RK1 w - -,a1a2
8/2p3pp/1p2n3/4kp2/1pP1p3/P1K1P1P1/4BP1P/8 w - -,c3b4
2r1k3/1q6/8/1b1P1Q2/1p2B3/6P1/1P5P/n6K w - -,f5e6
2kr3r/ppp3pp/2p5/3n2P1/3Pp3/2B3P1/PPP2P2/R3K2R w KQ -,h1h4
2rq1rk1/pb1nbppp/1pp1pn2/3p4/2PP4/1PNBPN2/PBQ2PPP/R4RK1 w - -,a1d1:f1d1:f3e5
8/8/8/6kP/R5P1/5n1K/8/4r3 w - -,a4a8
r4rk1/1q1nbppp/pp1ppn2/8/2PP1N2/P1N1B3/1P1Q1PPP/R4RK1 w - -,d2d3
r6r/8/2nb1pk1/1n1p4/p1pP3P/P3BR2/3NNK2/7R w - -,h1g1
8/pn1kn2p/1p4p1/4Q3/1P2P3/8/q5PP/2B2RK1 w - -,f1d1
r2qk2r/pp2ppbp/2n3pn/2P1Pb2/3pNP2/3B4/PPP3PP/R1BQK1NR w KQkq -,d1e2
1r6/1r3k1p/p2n2p1/Pb1p4/1RpPp1BP/2P1P1P1/1R1N4/6K1 b - -,f7e7
R7/4pk2/3p2pQ/5r1p/7P/Kb3P2/P4q2/8 w - -,a8f8
8/1p1k4/pP1p1p1p/2pP1Pp1/B1PnK1P1/7P/1P6/8 b - -,d7d8
r1bq1rk1/5ppp/2np4/p2Np1b1/R3P3/2P5/1PN2PPP/3QKB1R w K -,f1b5:f1c4
2r2rk1/1b2bpp1/p3qn1p/2pp4/8/P1N1P3/1P1RBPPP/3QNRK1 b - -,e7d6
5rk1/p5b1/1pp3pp/1P2p3/2PqN3/3P1rPP/PQ2RNK1/8 b - -,c6b5
1r2k2r/5ppp/pq6/2nNPb2/1P6/8/1PPQ2PP/2KRR3 b k -,c5b3
rn2kb1r/pp1b3p/4p1p1/qB1p1p2/3Pn2B/1QN1PN2/PP3PPP/R3K2R w KQkq -,b5d7
r1bq1rk1/1pp2ppp/3p1nn1/p1b5/3NP3/1P5P/PBPNBPP1/R2Q1RK1 b - -,f8e8
4n3/7p/p2bN2k/3Bp3/R1P1P1P1/8/1r3PP1/6K1 b - -,e8c7
2r3k1/R4p2/1p2bP2/6P1/2P5/3BK3/p7/8 w - -,e3d4
1r2r1k1/1pqn1pp1/p1n1p1p1/3pP3/P7/2P1Q1BP/1P1N1PP1/R3R1K1 w - -,d2f3
6k1/1q3ppp/pp6/4PP1P/3p4/6n1/PPrB2Q1/2R3K1 b - -,c2c1
r2qn1k1/pp1r1pp1/n1ppb2p/8/2P1P3/1PN1QNPP/P2R1PB1/3R2K1 b - -,d8a5
1qkr3r/1p1nbpp1/p1pp4/3Npn1p/1PPP4/P3PN1P/1Q3PPB/2R1K2R w K -,e3e4
r1b1k1nr/pp1qpp1p/2np2p1/2p5/2P5/2P1PNP1/P2P1PBP/R1BQ1RK1 b kq -,b7b6
r1bqkb1r/ppp1pppp/2n2n2/8/2pPP3/4B3/PP3PPP/RN1QKBNR w KQkq -,b1c3
r4rk1/ppq2ppp/2pbp3/3n4/1P1P4/P2Q1B1P/2P2PP1/1RB2RK1 b - -,b7b5
rnbq1rk1/ppp1b1pp/3p1n2/4Pp2/2P2N2/2N3P1/PP2PPBP/R1BQK2R b KQ -,d6e5
8/r4p1k/4p1p1/1ppqb2p/5Q1P/1P1PP1P1/5P2/1R3BK1 w - -,f4e4
r5k1/1p3qpp/2pb4/p4b2/2PR4/1P5P/P4PP1/3Q1BK1 w - -,d4d6
r1b1k1nr/pp2bppp/1qn1p3/2ppP3/3P4/2P2N2/PP1B1PPP/R2QKBNR w KQkq -,d2c1
4rk2/p6p/1p4pP/3bqp2/1P1p3Q/P2P2PB/5P2/2R3K1 w - -,h3g2
br4k1/2r2ppp/R1pNp3/3nP3/2qPB3/2Q3PP/5P2/R5K1 w - -,d6c4
r4rk1/pp4bp/2ppb3/5p2/2P1P3/2Nn3B/PP3R1P/1RB4K w - -,f2g2
8/1N4p1/Bk2p2p/2p1p3/2KbP1P1/7P/8/8 b - -,b6a6
2kr2nr/1pqb2pp/p2bp3/2ppB3/3P4/N1P5/PP1QBPPP/R3R1K1 b - -,d6e5
r6r/pp1k1pp1/2nnp1b1/3p2Pp/N2P4/BP2P2P/P4P2/2R1KB1R w K -,a4c5
5k2/R7/8/p2r2pp/8/5K1P/6P1/8 w - -,f3e4
5r1k/6p1/p3R2p/1p3P2/4Q2K/1P4P1/P2q3P/8 w - -,h4h3
r4rk1/1q2pp1p/b2p4/2pPb2p/4P3/1PN3P1/P2Q1PK1/R1B1R3 w - -,c1b2
8/4k2p/1rpp2p1/3p1p2/1P5P/r2N2P1/1RK2PB1/8 w - -,d3f4
8/2n5/8/P2k1p1p/4NPp1/4K3/6PP/8 w - -,e4g3
rnbq1rk1/pp2bppp/4p3/8/3N4/4P3/PP2BPPP/R1BQ1RK1 w - -,c1d2
r1bqr1k1/pp3pbp/1np2pp1/8/2PP1B2/5N1P/PP1QBPP1/R3K2R w KQ -,e1g1
8/8/2k5/p3P3/N2K4/2N3b1/2b5/8 w - -,a4b2
6k1/6bp/4q3/p2p1p2/PP2rP2/6PP/3QbBNK/1Rr5 w - -,b1c1
2kr3r/p1qb2pp/1pn1ppn1/3pP3/P1pP4/2P2NP1/2P2P1P/R1BQRBK1 b - -,c8b7
8/7k/4p3/8/6p1/R6p/R5r1/5K2 b - -,g2a2
r7/p2b1k1p/1p1p1Q2/3P1Pp1/2P2pP1/P2B1K1P/8/1R6 b - -,f7f6
r2qkb1r/1b1n1ppp/p2pp3/2n5/1p1NPPP1/3BBQN1/PPP4P/2KR3R b kq -,g7g6
3q1rk1/3n1pbp/p2pp1p1/1p6/2rPP3/2N1BQ1P/PP3PP1/2RR2K1 b - -,d8a5
3r2k1/1pp2rb1/p1q1p1np/P2np1p1/1P4P1/2PP1P1P/3B2N1/2NRQRK1 b - -,d8f8
r2q1rk1/pb2ppb1/1pnp1npp/2p3B1/2P1P3/2NP1NPP/PP3PB1/R2Q1RK1 w - -,g5e3
3r2k1/6b1/3N2pp/3Pp3/8/1n6/1PN2PP1/4R1K1 w - -,e1e3
r2q1rk1/pp3pp1/2nb1n1p/2pp1b2/Q2P4/2N2NP1/PP2PPBP/R1B2RK1 w - -,c3b5
r1b2rk1/pp2ppbp/2n3p1/q2p4/2PP3B/4PN2/P3BPPP/R2Q1RK1 w - -,d1b3
2rr2k1/pb6/p2b4/5ppp/N2Pp3/P3P1P1/1P1B1P1P/2R2RK1 w - -,c1c8
2rq2k1/1p1r1pp1/7p/ppPPPp2/8/4Q1P1/P5BP/2R3K1 w - -,d5d6
8/6pk/7p/5r2/5rPK/pQ5P/8/8 w - -,b3a3
8/pR2n3/2p1k3/r5p1/6P1/1P1BK1P1/8/8 w - -,d3c4
8/1b6/1b3k2/pp1n1p1p/4p2N/P3P1P1/1PB1K2P/5N2 w - -,c2b3
3r1r1k/1p2n1pp/3p4/pq2pp2/2b1P3/P1PNQPP1/1P1R2BP/5RK1 w - -,f1e1
8/2q3k1/b2p2p1/P2Bp2p/2P4P/4P3/1Q4PK/8 b - -,c7d8
r2r2k1/pp1Bppbp/8/2pP2p1/4K3/5PP1/PP5P/R5NR b - -,d8d7
rnbqk2r/ppppbppp/4pn2/8/2PP4/6P1/PP2PP1P/RNBQKBNR w KQkq -,f1g2
rn1q1rk1/4ppbp/1pp1b1p1/p1Pp4/1P1PnB2/2NBP2P/P4PP1/2RQK1NR w K a6,c3a4
3r1rk1/2q2p1p/2P3p1/3p1P2/1p2pP1Q/5B2/1PP4P/4RR1K b - -,e4f3
rr4k1/3nppbp/3pb1p1/q1p5/N1P1P3/1P2B2P/2Q1BPP1/1RR3K1 w - -,e3d2
r5k1/p1p1q1b1/1p4p1/P3pp2/1PN1bp2/2Pr3P/Q4P2/R1B1RBK1 b - -,g8h7
2rr2k1/3bqpb1/1p4p1/p2P4/1nPN3p/BN2p1P1/P3PnBP/2R1QRK1 w - -,d4f3
6k1/q4pp1/1p5p/3b3P/3P2P1/5PB1/p6K/Q7 w - -,h2g2
1r4k1/2q1p2p/2p3p1/2bp4/8/P4R2/1PP1Q1PP/5K2 w - -,e2e6
4r1k1/p2nppbp/1p4p1/2rPP3/8/2B2N2/P3KPPP/2R4R w - -,e5e6
r3k2r/3q1p2/p1p3np/3pb1p1/1P1N4/2P1B3/P4RPP/R2Q2K1 b kq -,g6f4
r2q1rk1/4bppb/p1n1pn1p/1ppp4/4P1PN/2PP2NP/PPB1QP2/R1B1R1K1 w - -,h4g2
1r6/1pqr1p1k/2pNb1pp/p3P3/PnP3P1/1P3Q1P/7K/3RRB2 w - -,h3h4
r1r2k2/5pp1/3p1n2/1q1PpP1P/4P1P1/R1B2Q2/1P1K4/4R3 b - -,a8a3
r2r2k1/5p1p/2pNb1p1/1pP5/p3P3/PP2RPP1/1K5P/2R5 w - -,b3b4
6R1/3n2p1/2pkr1p1/5pP1/5P1P/4PB2/4K3/8 b - -,d7b6
2r2rk1/R4p2/4p1p1/1p2PnNp/5P2/8/PPP1N1b1/1K1R4 w - -,d1d7
6k1/2Q1bp1p/4r1p1/4p3/8/3P1KP1/4PP1P/8 w - -,e2e3
rn2kb1r/pp1q1ppp/2p1pnb1/3p4/2PP3N/1QN2PP1/PP2P2P/R1B1KB1R w KQkq -,c4c5
