8/pp6/3q4/1k1r1p2/1PR5/2QP4/4K3/8 b - -,f5f4
r2r2k1/5pp1/pb3R1p/1p6/4p3/3BN3/PPP2PPP/6K1 b - -,e4d3
8/5pk1/1p1p4/p2PbPP1/4KN2/8/8/8 w - -,f4e2
5bk1/5r1p/1R1n1p2/1B4p1/p2P4/4PNBP/5PP1/6K1 b - -,d6b5
r1bq1rk1/1pp2pp1/1bnp4/p1n1pN2/2P5/PPN1P1P1/2QPB2P/R1B2RK1 b - -,d8g5
r1r2bk1/3n1ppp/p1qp1n2/1p1bp3/P3P3/1P2NB2/2P2PPP/R1BQR1K1 w - -,e4d5
4n1k1/6pp/2p1bp2/2P5/p3PB2/5PP1/pK5P/5B2 b - -,g8f7
r1br2k1/1p3ppp/p1n3q1/3P4/4p3/3BB3/PPPQ1PPP/R3K2R w KQ -,d5c6
6k1/1p1r2p1/1P2pp2/2p4p/2Nn4/3P3P/5PP1/4RK2 w - -,e1a1
5rk1/1p4pp/p7/2Pb4/2B1p3/3pK1P1/PP5P/2R5 b - -,f8f3
r1b2rk1/2p2ppp/p1Nqp3/2ppN1bQ/3P4/8/PPP2PPP/R3K2R w KQ -,d4c5
1r1q1rk1/1p1bppbp/p2p2p1/n1pP4/P1P2Pn1/2NQ2P1/1P1NP1BP/1RB2R1K b - -,g7d4
6k1/p3rp1p/1b1n2p1/8/8/2B2N2/PP2K1PP/8 w - -,e2d3
r1bqk1nr/pp3pbp/2np2p1/2p1p3/2P5/2NPP1PP/PP3PB1/R1BQK1NR b KQkq -,g8e7
r1bqkb1r/p2n1ppp/2p1pn2/1p1p2B1/3PP3/P1NQ1N2/1PP2PPP/R3KB1R b KQkq e3,d5e4
r2r2k1/2q4p/b1p2pp1/4R1B1/PP1p4/5BP1/2P4P/1R1Q2K1 b - -,f6e5
8/1p4pp/p4p2/3k4/3N1PbP/PP2K3/6P1/8 w - -,g2g3
rn1q1rk1/p4ppp/b3pn2/2p3B1/Q7/P4N2/1P2PPPP/3RKB1R b K -,d8b6
8/8/7p/5K2/PkB5/1P6/7P/3n4 w - -,f5g6
3r2k1/2q3bp/3r2p1/3ppp2/1Pp1n3/4PB2/P1Q2PPP/B1RR2K1 w - -,a2a4
8/4p1k1/Q4b1p/P2p2p1/3Pq2P/5NP1/5PK1/8 w - -,h4g5
r1b1k1nr/ppp1qppp/1b1p4/n3p3/2BPP3/N1P2N2/P1Q2PPP/R1B2RK1 w kq -,f3g5
2br2k1/1pn1pp1p/1qp2np1/2N1N3/3P4/1P2P1P1/1Q3PBP/R5K1 b - -,c8e6
4Q1k1/p4r2/6rp/8/1P4PK/8/8/8 b - -,g8g7
1r4k1/4r2p/p1pNqpp1/2P2P2/P3P3/2Q3P1/7P/4R1K1 b - -,e6e5
1r3bk1/1ppqn2p/p2p2p1/3Pp3/2P1P1b1/4B1P1/PP1Q2BP/2R3NK b - -,d7c8
r1bq1rk1/p2nppbp/2p2np1/1p6/3P4/2NBPN2/PPQ2PPP/R1B2RK1 b - -,c8b7
1r2r1k1/p4p2/2pq3p/3p1bp1/N2Pn3/1P4P1/4PPBP/R1Q1R1K1 w - -,a4c5
1rr3k1/4pp1p/p1Pp2p1/1n1B4/1P6/2R3PP/P3PP2/5RK1 w - -,c3d3
3r1rk1/pp3ppp/4pn2/2b5/2p1P3/2P3qP/PPQ1BPP1/3R1RK1 w - -,e2c4
r1bq1rk1/pp3ppp/2nb4/1B1p1n2/8/1NP1BN2/PP3PPP/R2Q1RK1 w - -,e3c5
r1q1kbnr/3b1ppp/p2p4/8/4P3/3Q4/PPP2PPP/RNB1K2R b KQkq -,d7b5
q5k1/5p1p/3bp1p1/8/r2P4/P4NP1/1Q3PKP/1R6 w - -,b2b7
2r2rk1/pb2qppp/1p2p3/5n2/1PB1n3/PQ2PN1P/1B3PP1/2R1K2R w K -,e1e2
r1b2rk1/pp4pp/2n1p3/2q2p2/2P1Q3/P3P3/1P3PPP/R1B1KB1R w KQ f6,e4c2
rnbq1rk1/pp1p1ppp/2pb1n2/4p3/2P5/2N1P3/PP1PNPPP/R1BQKB1R w KQ -,a2a3
r2q1rk1/5ppp/2b5/pB2P3/5B2/P1N5/4NbPP/R2Q3K b - -,c6b5
rnbq1rk1/ppp1b1p1/3p1n1p/3PppN1/2B1P3/2N4P/PPPB1PP1/R2Q1RK1 w - -,g5e6
3rr3/p1q3bk/bpn4p/4p1p1/4PnP1/B1PPQN2/PP4B1/3RR1KN w - -,g2f1
4rb2/p7/1p3pk1/2p2Rp1/P1PpP1K1/1P1P4/7B/8 b - -,e8e6
6k1/p4p1p/1p4p1/4r3/8/r3P1P1/P3RK1P/2R5 w - -,c1c2
2r2rk1/pbqnbppp/1p1ppn2/2p5/P3P3/N1PP1N1P/1PB1QPP1/R1B1R1K1 b - -,f8e8
8/1Q3pk1/6pp/4P3/2q5/1p5P/6PK/8 b - -,c4f4:g6g5
r2qn1k1/1p4bp/3p2r1/1b1Pp2B/P3Pp2/1P1N4/5Q1P/2R2R1K w - -,a4b5
r2q1rk1/pbn1ppbp/1pn3p1/4P3/Q4B2/2N2N1P/PP2BPP1/R2R2K1 b - -,d8e8
1nr2rk1/1p3p1p/pq1P1n2/6p1/Q4p2/2B4P/1P2BPP1/R2R2K1 b - -,f6d7
r2q1rk1/1pp2ppp/5nn1/p1pPp3/4P3/P4Q2/1PBB1PPP/R4RK1 b - -,d8d6
2nr1rk1/7p/Q1bp1qp1/1p6/4Pp2/PP6/2B1NPPP/3RR1K1 b - -,c8e7
1rbq1r1k/5pbp/2n2np1/2p1p3/p2pP3/3P2PP/1PNN1PBK/R1BQ1R2 w - -,a1a4
8/8/4pr2/4R3/8/3k1NK1/8/8 b - -,f6g6
2rqr1k1/1p2bppb/4pn1p/p1pp4/Pn2PP2/1NNP2PP/1PP1QBB1/3R1RK1 b - -,d8b6
rnb2rk1/pp2ppbp/1q1p1np1/2pP4/2P2B2/2N1PN2/PPQ2PPP/R3KB1R b KQ -,e7e5
4k2r/4bppp/p7/1p6/2r5/4BKP1/P3PP2/R4R2 w k -,a1c1
rn1q1rk1/p4pbp/3p2p1/2pPp2n/1pP1P1b1/1P1B1NP1/PB1N1P1P/R2Q1RK1 w - -,d3e2
4r1k1/p1Rn1pp1/5n1p/4pN2/r6B/4PP2/6PP/5RK1 w - -,f1b1
4Nbk1/5p1p/2n3p1/p3n1B1/P7/1B4PP/8/7K w - -,e8f6
5rk1/pp4pp/1q2p3/4n3/1P2NbP1/PQ1r3P/1B3P2/R4RK1 w - -,b3a2
3r4/p4p1k/3rpp1p/1p6/3P1P2/P2RK2P/1P4P1/3R4 w - -,d1c1
5r1k/8/p4q2/2Q2N2/2P3P1/6K1/PP5P/8 b - -,f8d8
8/4p1bk/2p1P1pp/r4p1P/p1b2B2/PqN3P1/1P3P2/2Q1R1K1 b - -,g6h5
r1qr2k1/4bppp/p1bp4/4p1P1/2P1Pn1P/5B2/PB1QNP2/3RR1K1 b - -,c8h3
3r1r2/pp2k1pp/4B3/q7/4Q3/2b5/PP3PPP/R5K1 w - -,b2c3
3r1rk1/1bp1ppb1/p5p1/n2nP2p/Np1B3P/5P1N/PPPR2P1/2KR1B2 b - -,g7h6
1r1qnk2/N2bpp2/p2p2pb/1p1P3r/P1NBPPn1/1P1Q2P1/6B1/2R2RK1 w - -,a4b5
3r2k1/p1b1qp1p/5p2/rp3Q2/3PPP2/6P1/PP4BP/1K1R3R w - -,e4e5
3r2nr/1pN1k1pp/p4p2/4p2b/3n1P2/3BB2P/PPP2KP1/2R4R b - -,e7d6
r4rk1/1pp2p1p/p2p2pb/3Pp1qn/2P1P3/2N3P1/PPRNQPKP/3R4 w - -,g2h1
r1bq1rk1/4bppp/1n1ppn2/p1pP4/1pP1P3/3BBN1P/PP1N1PP1/R2Q1RK1 w - -,f1e1
2rqkb1r/1b1n1pp1/p3pn1p/1p6/3Np1PP/P1N1BP2/1PPQ4/2KR1BR1 w k -,g4g5
r4rk1/pppq2bp/2npbnp1/3Npp2/2P1P3/3PB1PP/PP2NPB1/R2QK2R w KQ -,d1d2
8/2p5/5k2/1P1n4/P5K1/3B3P/8/8 w - -,a4a5
2qr1k1r/4bp1p/1p3np1/1N2p3/P3B1n1/6BP/1PP3P1/R3QR1K b - -,h7h5
r1b2rk1/1pp1qppp/p1n5/3np3/1bBP4/4PN2/PPQ2PPP/R1B2RK1 w - -,c4d5
8/7p/4k1p1/1p6/1PNK4/6P1/5P1P/5b2 w - -,c4e3
r2qr1k1/pb3ppp/2pb1n2/1p2n3/4P3/2N1BN1P/PPQ1BPP1/R3R1K1 b - -,d8a5
8/p2r1p1k/2p4p/nq2P3/8/3r2N1/P1QP2PP/4R2K b - -,b5c4
r1b1k2r/1p2bppp/p2ppn2/q1n3B1/3NP3/1BN5/PPPQ1PPP/2KR3R w kq -,h1e1
8/3R4/5k2/p3r1p1/7n/1B6/P4PK1/8 w - -,g2h3
6b1/7p/1p4p1/2kpK3/3N1P2/PP4P1/7P/8 b - -,g8f7
7r/5kp1/p2q1pb1/2pPp3/1nB1P1P1/2N5/1P2RPK1/Q7 w - -,a1a5
5rk1/3n1r2/p2p4/2pPp1p1/N1P1Pppq/P4B2/2RQ1PP1/4R1K1 w - -,f3g4
r1bqr1k1/ppp2pbp/5np1/4p3/3nP3/3P1NPP/PP1N1PB1/R1BQR1K1 w - -,f3d4
1n2k2N/4p1bp/p5p1/3p4/3PnP2/4P3/PP4PP/2B1K2R w K -,h8g6
8/6k1/5p2/4P1p1/Pp4K1/r4PP1/P1R5/8 b - -,f6e5
rr6/2qkbp2/pp2p1p1/nP1pP1Pp/P1pP4/N1P1Q3/3N1P1P/RR5K w - -,e3f4
r1bqk2r/1p1pbppp/p1n1pn2/8/P3P3/1NNB4/1PP2PPP/R1BQK2R w KQkq -,d1e2
8/7k/5p2/5K1p/1p5P/1Pb5/6R1/8 b - -,c3d4
r2r2k1/1bqnbppp/1p2p3/pPnpP3/2PN4/P4N2/1B3PPP/R2QRBK1 w - -,c4d5
2qrr3/pp3pbk/6pp/2P4n/1PpN4/4BP2/P5PP/2QRR1K1 b - -,d8d4
3r2k1/pp1r2p1/5q1p/3pRp2/3Q3P/1P3R2/P4PP1/6K1 b - -,d7f7
2rr2k1/2q2pbp/p4np1/4p3/4P3/1PNnBB2/1P3RPP/2R2Q1K b - -,d3c1
3r2k1/1b3pbp/2nRp1p1/4p3/1p2P3/1P2P2P/PB4P1/1BN3K1 w - -,d6d8
6k1/5p2/1pqr3p/p3p1pQ/3bP3/P2R2P1/2rN1PPK/3R4 w - -,d2f3
8/pp4kp/5rp1/2PQnq2/8/5p1P/PP1p1R2/3R2K1 b - -,f5g5
8/pp1k2p1/3Pp3/1Pp5/2P1KP2/P5P1/7r/3R1N1r w - -,f1h2
2rr3k/pp2Npp1/5n1p/8/1p3q2/8/P2P1PPP/1R1QR1K1 w - -,e7c8
r1bq1rk1/ppp2ppp/1b6/3nB3/1PB5/P7/3N1PPP/R2Q1RK1 w - -,d2b3
r3k2r/1bq1bppp/pp2pn2/2np4/P3PP2/2NB1N2/1PPB2PP/R3QR1K w kq -,e4d5
r1b1k2r/pp1p1ppp/2n1p3/q2n4/1b1P4/2N1PNB1/PPQ2PPP/2R1KB1R b Kkq -,a5a2
r1b1k2r/ppq1bppp/2n1pn2/2p3B1/3P4/2P2N2/PPN1BPPP/R2QK2R w KQkq -,d4c5
r1bqk2r/4bppp/p3p3/1pnpP3/5B2/4P3/PPB1NPPP/R2Q1RK1 b kq -,c8b7
1r3rk1/pB3ppp/3P4/4p3/b7/P3B1P1/5P1P/5RK1 w - -,b7d5
2r2rk1/3qbppp/1pn1p3/p2p4/1PbP4/P1N1PNP1/3Q1PBP/R2R2K1 w - a6,b4b5
4q2k/6b1/4B2p/2p5/4Q2P/6BK/8/8 w - -,e4f5
8/5k2/p6p/3bp3/1P1r2P1/P3KB2/6P1/2R5 b - -,f7e6
1rb1k2r/2p1nppp/p1N2b2/1p2q3/4p3/4P1P1/PPQ2PBP/RN1R2K1 b k -,e7c6
r2qk2r/2pnbppp/p2p4/1p2p3/1P2P1b1/2PP1N2/1P1N1PPP/R1BQ1RK1 w kq -,f1e1
rn1qkb1r/ppp2ppp/8/3pPb2/4n3/2N2N2/PP1PBPPP/R1BQK2R b KQkq -,b8c6:c7c5
5rk1/5ppp/rpn5/p1bp4/5B2/P3PN2/1P3PPP/2RR2K1 b - -,f8d8
8/2r1k3/1R2p1Bp/PK5P/8/8/1r6/8 w - -,b5a6
2r2rk1/3nbp1p/2n1p1pP/p2pP3/3p1B2/2P2NP1/PqNQ1P2/R3RK2 w - -,c2d4
8/4k1p1/3n2Bp/p3p3/P5P1/2b1B2P/5PK1/8 w - -,g2f3
r2qr1k1/p2n1pbp/b2p2p1/2pP4/4n3/PQ4P1/1P2NPBP/R1BNR1K1 w - -,b3a4
7R/8/r7/5p2/3n1k1P/8/5K2/8 w - -,h4h5
8/p7/1b6/4k1pp/5N2/1P1K2P1/1P5r/3R4 w - -,f4e2
8/7p/2k5/2Nn2p1/1PbB4/P5PP/4p3/4K3 w - -,c5e4
r1bqk1nr/pp3pbp/2np2p1/2p1p3/4P3/2NP2PN/PPP2PBP/R1BQK2R w KQkq e6,e1g1
6R1/8/7k/4pN2/3bP3/8/r7/5K2 b - -,h6h5
5q2/kpp1r3/p7/5nQ1/4p3/2P3P1/P1P2P1P/3RR1K1 b - -,f5d6
r7/6pk/7p/2b1pP2/8/3P4/1P2NnPP/2B2R1K w - -,f1f2
1rbq1r2/3npBkp/p1n3p1/P7/4NN2/2P2P2/1P1Q2PP/R4RK1 b - -,d7e5
8/4Rp1p/4n1p1/2B1k1P1/4P2P/5P2/7r/5K2 w - -,c5f2
r4rk1/4ppb1/b2p2pp/q1pP3n/8/n1N3P1/PP1NPPBP/R1BQR1K1 w - -,d2b1
5rk1/p2PRp1p/1p3p2/3n4/1r6/6P1/P1R2P1P/5BK1 w - -,e7e8
1rr5/3kb1p1/3ppp2/1p2n2p/3NPP1P/1P6/PK1R2P1/3R2B1 b - -,e5c6
rn2k2r/pb1pbppp/4pn2/qBP5/4P3/2N1BP2/PPP3PP/R2QK1NR b KQkq -,a7a6
8/1k3ppp/1P1p4/P2np3/8/5P2/5KPP/4B3 w - -,g2g3
r1b1k2r/2qnbppp/p1n1p3/1p1pP2P/1P1P1P2/P4N2/4N1P1/R1BQKB1R b KQkq -,d7b6
rnbqk2r/p4ppp/3b1n2/3Pp3/Np6/1B6/PP3PPP/R1BQK1NR w KQkq -,c1g5
4r1k1/7p/p5p1/1p2np2/1P1B3P/2PpqPPK/P7/4R3 w - -,d4e3
r2qk2r/2pnbppp/1pbpp3/8/3P4/1QPBPN2/PP1N1PPP/R3K2R b KQk -,c6a4
r1bq1rk1/pp1nb1pp/4p3/3pp3/1P1B4/P2B1N2/4QPPP/R1R3K1 w - -,f3e5
5rk1/3q1p1p/p4pp1/P2b4/2pQ2P1/4R3/1P2PP1P/5RK1 w - -,f1d1
8/5k2/p2r1p2/1p5p/8/P1B2PKP/1P4P1/8 b - -,f7g6
8/8/8/8/p2k4/P1p5/3K4/8 w - -,d2c1
8/4rk2/5bp1/8/5PP1/5K2/2R5/2B5 b - -,e7d7
r4k1r/pp2ppbp/2n3p1/2Rq4/3P2b1/3NBN2/PP1Q1PPP/R5K1 b - -,d5d7
1n4k1/2n1bppp/pp2p3/3pN3/1P1PP3/P4PP1/3N1K1P/2B5 w - -,f2e2
rnbqk2r/ppp2ppp/4pn2/8/2BPP3/2P2N2/P4PPP/R1BQK2R b KQkq -,c7c5
r1b2rk1/pp3pbp/6p1/3p3q/5Qn1/2P1N1P1/PPB1N2P/3RK2R b K -,g7h6
r4knr/p2qppbp/1p1n2p1/2pP4/5B2/N1P2N2/PP3PPP/R2Q1RK1 w - -,d1e2
r3r1k1/1pqn1ppp/2p2nb1/p1b1p3/P1N1P1P1/5N1P/1PP1QPB1/R1BR2K1 w - -,f3h4
8/5pk1/4p2p/3p4/p2P1RP1/Pr2R3/r4PK1/8 w - -,e3e1
8/5k1p/5p2/4nP2/3r1N1K/8/2p5/2R5 w - -,c1c2
r1b1r1k1/1p1n1pbp/1qpp2p1/p1N5/P1P1P3/2N1B1PP/1P3PB1/R2QR1K1 b - -,d6c5
8/5pkp/3p1np1/3P4/5P2/P2r1N1P/5KP1/R7 b - -,f6e4
3r1rk1/2qnbppp/p3p3/1pp1P3/4bP2/P3BBQ1/1PP3PP/R4RK1 w - -,f3e4
8/8/8/5B2/8/4k3/3r4/2K5 b - -,d2f2
1b6/6Bp/2k3p1/4p3/2K1P3/7P/6P1/8 w - -,g2g3
1r1qr1k1/p1pn1pbp/b1pp2p1/8/4P3/2N1BB1P/PPPQ1PP1/R3R1K1 w - -,a1b1
1nr3k1/2r1bppp/p3p3/2P5/P2Nn3/B3N1P1/5P1P/2RR2K1 b - -,e7c5
2rq1rk1/pb3ppp/1pn1pn2/3p4/3P4/2NBPNP1/PP3PP1/2RQ1RK1 w - -,d1e2
r2q1r2/p2b1nk1/np1p1bp1/1N1Pp2p/1PP1Pp2/3N1P1P/3BB1P1/1R1Q1K1R b - -,d7b5
1q1kn3/prnb2bQ/3p2R1/2pPpNP1/2P1P3/2NB1r2/P7/R1B1K3 w Q -,e1e2
5r2/1p2rpbk/p1p3pp/2P2bq1/2BP4/1Q2PR1P/PP1N2P1/5RK1 w - -,g1h2
r1bqkb1r/pp3ppp/4p3/2nnP3/8/5N2/PPB1QPPP/RNB1K2R w KQkq -,c1e3
3rqr1k/1pQb2pp/p7/4npN1/8/1B2P3/PP3PPP/2RR2K1 b - -,h7h6
2kr1b1r/1pp2ppp/p1pqbn2/4p3/4P3/3P1N2/PPPN1PPP/R1BQ1RK1 w - -,f3g5
3r4/p1rPp2k/1p2p1pp/n5q1/1B5b/8/4QPBP/1R3RK1 w - -,e2e6
r3k1nr/pp2pp1p/n5p1/2p5/2P1P3/2P1BP1B/P4P1P/2KR3R b - -,e7e6
6k1/3R2pp/3Br3/4p3/1P3b2/5R2/3r3P/7K w - -,d7d8
r1bqk2r/pp1nnppp/1bp1p3/3p4/3PPB2/P1NB1P2/1PP1N1PP/R2QK2R b KQkq -,c6c5
2r3k1/1p4pp/pBb1p3/P3p3/4pP2/4N3/1PPb1KPP/R7 w - -,f4e5
2k5/1p2p2p/pR2P1pb/P1r1B3/4PP2/1P1K4/5P1P/8 b - -,c5a5
3r4/4kpp1/1p2pn1p/2r4P/3R2P1/P1P2N2/1P1K1P2/6R1 b - -,c5d5
3R2k1/8/6p1/7p/4rPnP/6PK/1p6/6B1 b - -,g8f7
rnbqkb1r/pp3ppp/2p1pn2/3p2B1/2PP4/4PN2/PP3PPP/RN1QKB1R b KQkq -,b8d7:d8a5
8/6p1/5pP1/2p1kBrP/6P1/3K4/8/8 w - -,f5c8
R7/8/P4k2/8/r7/5PK1/8/8 w - -,a6a7
8/p6R/2p2kp1/6r1/8/1B2K3/P4rPP/8 b - -,f2g2
4r3/1p2bkpQ/4ppp1/3PPb2/p1p2P2/P3B1K1/1q4P1/2R4R w - -,d5e6
3r4/1b3kp1/p4p1p/1p6/3p4/PN3rBP/2PK1P2/2R5 w - -,b3c5
r1b1r1k1/pp1n1pb1/2p4p/2Pp2p1/3Pp3/1N2P1P1/PP1N1PP1/R3RBK1 b - -,f7f5
8/5kp1/pr1p4/2pP2p1/R7/3P3P/1P4PK/8 b - -,g7g6
1r5k/4R2p/5p1B/6p1/2r1n1P1/7P/6P1/4R1K1 b - -,h8g8
