8/ppr3k1/7p/3R2r1/1P6/P7/1KP4R/8 w - -,d5d6
1rb2rk1/p1p2p2/2p1pp1p/4b3/2P1N1P1/1P6/P6P/1K1R1B1R b - -,f8e8
r1bqk2r/ppp2ppp/2np1n2/2b1p3/2P5/5NP1/PP1PPPBP/RNBQ1RK1 w kq -,b1c3
r2br1k1/1q1b1ppp/p2p1n2/1p1Pp3/P3Pn2/BP1B1N1P/3N1PP1/R2QR1K1 w - -,d3f1
3r4/1bp5/ppr1pk2/5ppp/1P1P4/P2R1PP1/2P1K1NP/2R5 b - -,c6c4
rnbqkbnr/p4ppp/4p3/2p1P3/2Pp4/5NP1/P2P1P1P/RNBQKB1R b KQkq -,c8b7
1r1r2k1/p3pp1p/4bnp1/8/1q6/1PN2BP1/P3QP1P/2R1R1K1 b - -,a7a5
rn3rk1/pp1b1pbp/3p1np1/q2Pp3/4P3/2N3P1/PP1N1PBP/R1BQ1RK1 b - -,f8c8
rnbqk2r/pp2bppp/4pn2/3p4/2PP4/2NB1N2/PP3PPP/R1BQK2R b KQkq -,d5c4:e8g8:a7a6
2r1k2r/1p1bbppp/p3p3/3pP3/n2q4/2N1B3/PPP2PPP/1R2RBK1 w k -,e3d4
r1qk2n1/pp1nppbN/2p3p1/3b4/2NP1BP1/4Q3/PPP1BP2/2K4R w - -,h1d1
5rk1/pp1qn1b1/3p1r2/2pP2p1/2PpB3/3Q2P1/PP1N2KP/4RR2 w - -,f1f6
1r2r1k1/2q2pbp/2np1np1/3Bp3/1pP5/3PP1P1/1R1B1P1P/1N1Q1RK1 b - -,e5e4
r2r2k1/p4pqp/1p4n1/2pP1R2/4P2P/2P5/P1Q1BK2/6R1 b - h3,h7h5
r3k2r/p3bppp/2n1pn2/q2p1b2/2pP1B2/P1p1PN1P/1P1NBPP1/R1Q2RK1 w kq -,b2c3
3r1bk1/1pq2pp1/2P3p1/p7/PnB5/1Q3PP1/1P4KP/3R4 b - -,d8d1
r2q1rk1/1p2p1bp/2npb1p1/1N4N1/1nP3P1/4B3/4BP1P/1R1Q1RK1 b - -,e6c8
8/8/5p2/6kp/1pR5/1Pb2K2/7P/8 b - -,g5f5
r3k3/ppp5/6p1/2n5/1b2P1b1/2N5/PPQ1KP2/R1BR3q w kq -,e2e3
2rr4/5p1k/pp1pn1p1/3Rp1bp/2P1P3/1P5P/P4PPB/3R1BK1 b - -,g5e7
8/5pkp/2p1qbp1/2Pp4/3P1Q2/2B3P1/5P1P/5K2 b - -,e6h3
r2q1rk1/p3npb1/b1n1p1pp/1p1pP3/2p4P/1NPP1NP1/PP2QPB1/R1B1R1K1 w - -,b3c5
8/p4pp1/1k1np2p/2p3PP/2PPBP2/2PK4/P7/8 b - -,d6e8
2r1r1k1/pb3pbp/4q1p1/Q7/4p3/3p4/PP1BBPPP/2RRN1K1 w - -,e2f1
8/8/P7/2K5/8/8/5kbP/8 w - -,h2h4
2rr1bk1/1bq2p1p/p2pp1p1/N7/4PP2/1N3B2/nP1RQ1PP/3R3K w - -,d2d4
8/4bk2/6p1/1K5p/1p1r1P2/1P4P1/P3R2P/8 w - -,b5a4
r1bqr1k1/pp2bpp1/2n1pn1p/3pN3/3P3B/2PB4/PP2QPPP/RN3RK1 w - -,f1e1
2r1k2r/bpq2pp1/p1n1p1p1/2n5/6P1/P1P4P/1PQBNPB1/R3K2R b KQk -,c8d8
5bk1/2q2pp1/b2pp2p/Pp5P/1Pr1P3/4Q1P1/3B1PB1/3R2K1 w - -,g2f1
r2qnrk1/3nbppp/4b3/3pp1P1/4P2P/Pp2BP1B/1P1QN3/1KNR3R b - -,d5d4
4r1k1/p1p2ppp/2b1q3/2Q1p3/8/2N1R2P/P1r2PP1/4R1K1 b - -,e6g6
1r6/7p/2kb1pp1/1p1n4/p2P4/3RN1P1/1P1B1P1P/5K2 w - -,d2c1
r1b1k2r/pp2bppp/1qnppn2/2p5/2P1P3/2NP2P1/PP2NPBP/R1BQ1RK1 b kq -,e8g8
8/5pkp/6p1/2p2p2/4nP2/P3N1PK/r6P/4R3 w - -,e3c4
r1b2rk1/pp3ppp/n3p3/2b5/3N4/4N1P1/PP2PPBP/2RR2K1 w - -,e3c4
3r4/4ppk1/1qn1b1p1/3pP3/pr1P1QP1/R4N1P/B4P2/3R2K1 w - -,a3d3
1k5r/pp6/2p1Q3/3p1N2/PP1P1p2/2PB1Pnq/8/3K1R2 w - -,e6e5
3r1rk1/p4ppp/2n1p3/qp1nP3/2pP1P2/b1P2N1P/P1RQBBP1/5RK1 w - b6,f3g5
r2q1rk1/ppp3pp/8/n2pnb2/2PP1B2/2P5/P2QB1PP/R4RK1 w - -,f4e5
r4rk1/pbpqbppp/1pnppn2/8/P2PP3/2PB1N2/1P1NQPPP/R1B2RK1 w - -,e4e5
8/5k1p/4n3/R3P3/P4pKP/8/1r3B2/8 w - -,a5a7
5r2/4R1bk/1p1r3p/pPq2p2/P6Q/3p1BP1/1P3P2/4R1K1 w - -,g1g2
8/1p1b2k1/2p2p2/2P3pP/1P4P1/1BB2K2/8/2b5 w - -,b3c4
r1b2rk1/p1q1bppp/1p2pn2/4N3/3B4/2PB4/PP3PPP/R2Q1RK1 w - -,e5g4
r3k2r/p1pq1pp1/np2p1n1/3pP2p/P2P3P/2P5/2P2PP1/R1BQK1NR w KQkq -,g1e2
r2r2k1/p1p2pp1/1p1qpb1p/8/3PQ3/3R1N2/PPP2PPP/5RK1 w - -,f1d1
r1b1k2r/4bpp1/2p1p2p/p1qp4/4PPP1/1BNQ4/PPP4P/1K1R2R1 w kq -,g4g5
8/2r1k1p1/5pp1/ppN1p2P/1Pb1P3/P4P2/2PK4/6R1 w - -,h5g6
2r3k1/3r1p1p/2pBbb2/ppP3p1/P3B3/1P3P2/2K3PP/3R3R w - -,g2g4
r2qR1k1/ppp2ppp/1nnb2b1/1B6/3p4/2P2NNP/PP3PP1/R1BQ2K1 b - -,d8e8
r2q1r1k/pppnnpbp/3p2p1/3Pp3/4P3/2N1BBPP/PPPQ1P2/R4RK1 w - -,f3g2
2r3k1/1q4rp/p2P1p1Q/1pB2p2/5N1n/1N3n1P/P4R2/R6K b - -,f3e1
r2qkbnr/p2bpppp/2pp4/8/3QPP2/2N5/PPP3PP/R1B1K1NR b KQkq f3,d8b6
rn1q1rk1/pbpp2pp/1p2pn2/5p2/1bPP4/2NQ1P2/PP2PNPP/R1B1KB1R w KQ -,e2e4
5r2/p4pk1/2pbb2p/3p1p2/1r3P2/1P1B2P1/P1P1R2P/3N1RK1 w - -,c2c3
8/p1ppq1k1/1p3p2/3P1ppp/P1P1rP2/2PQ2PP/5K2/R7 b - -,e7c5
2rr2k1/5q2/1p1bbp1p/2n1p1p1/p1PpP3/P6P/1PBNQPPB/2R2R1K b - -,d4d3
r1bqk2r/1p3ppp/p1np1b2/P2N1p2/2B1P2P/4P1P1/1PPQ4/R3K2R b KQkq -,f6e5
8/3bpk2/p2p2p1/P1pPn3/2P1NK2/7P/3N2P1/8 b - -,d7f5
r4rk1/1p4b1/pP1p4/3P4/P3Pp1p/R4qP1/5PKp/2B2R2 w - -,a3f3
3r3r/pbkqbpp1/1nn1p2p/2p1P3/2Pp2NP/1Q1P1NP1/1P1B1PB1/R3R1K1 b - -,d8a8
7r/4rpk1/3p2p1/1pb1n3/4BB2/1P5P/2R2PK1/3R4 w - -,d1d5
rnbqk2r/ppp2pbp/1n4p1/4p3/3PP3/2N1BP2/PP4PP/R2QKBNR w KQkq e6,d4d5
3rk2r/ppp1q3/2n4p/3Qb3/7p/2N5/PPP1N1PP/4RRK1 w k -,d5f3
2n3r1/2R5/p2p2rk/1p1PN3/4Pp1p/5P2/PP5P/2R4K b - -,d6e5
rnb2rk1/ppp1qpp1/5n1p/3p4/8/2PBPNP1/PPQN1PP1/R3K2R w KQ -,e1c1
br4k1/R4pp1/2p1p2p/1p1pP3/1n2n3/2N1P3/1B2BPPP/6K1 w - -,c3d1
8/3b1p2/1kNp1b2/p2P1P1p/P3K3/3B3P/8/8 b - -,h5h4
3r2k1/1bqnrpbp/pp1p1np1/2pP4/P1B1PP2/2N4P/1PQN2P1/R1B1R1K1 w - -,d2f3
8/5k2/R7/p5K1/r4P2/8/8/8 b - -,a4a1
r2qkb1r/ppp2ppp/2bp1n2/8/3Q4/1P2PN2/PBP2PPP/RN2K2R b KQkq -,f8e7
2rq1r2/6k1/p1pb1pb1/3p2p1/3B4/1N6/PPPRQP2/1K5R w - -,e2a6
4k3/2r1p3/p1p2rp1/4Rp2/1P1R4/P3P2P/4KPP1/8 w - -,e2d3
4r1k1/1p3pp1/3B3p/p1p5/P3n3/1bP2BPP/5P1K/5R2 w - -,f3e4
1k6/1pp3qr/p1p1p3/P1N1r1p1/1QP5/6Pp/1P3PnP/R4R1K b - -,e5c5
r4rk1/p1b2ppp/2n1b3/4p3/1PPpPP2/6P1/pN1B2BP/4RRK1 b - -,a8b8
rnbqk1nr/pp2bppp/4p3/1N1pP3/3p4/8/PPPB1PPP/R2QKBNR w KQkq -,d1g4
8/8/P7/4k3/1K6/8/3R4/r7 w - -,b4b5
1r3rk1/p3ppbp/6p1/1q1Pp3/2pB1Pn1/5N1P/PPQ3P1/R3R1K1 w - -,f4e5
7k/1p5p/2pb4/8/p2r4/P4P1P/1P4B1/2R4K w - -,g2f1
8/5k1p/3Q3P/5p2/1P6/6P1/7q/4K3 b - -,h2c2
1k1r1b1r/1pp2ppp/1q2p3/pP1n4/8/2NQ1BP1/P4P1P/1R1R2K1 b - -,f8c5
r2q1rk1/pp3pbp/1np1pp2/5b2/2PP4/1P2BNP1/P4PBP/R2Q1RK1 b - -,f5e4
5rk1/2p3pp/3pp1r1/1pPn3b/pP1P4/P2R1PPq/1Q1BPK2/4RN2 b - -,g6g3
1r2r1k1/5p1p/1q1p1p1b/p2P1P2/2B1p1Q1/1P6/P4RPP/R6K b - -,g8h8
1k1rr3/1ppq1p2/p1np1n1p/6p1/B3P2P/2N1QP2/PPPR2P1/2K4R b - h3,e8e5
r4rk1/1pp1bp2/n2qbn1p/4N1p1/p1BP4/P1N4P/QP1B1PP1/3RR1K1 w - -,e5g6
r1b1n1r1/ppp3bk/n2p1q1p/3P1p1B/1PP1pN2/8/P2BNPP1/1RQ2RK1 w - -,h5g6
5bk1/4qp1p/8/R7/Pp6/1Q3PP1/6KP/8 w - -,b3d3
1b6/kP6/2B4R/8/7P/8/4K3/3r4 b - -,d1c1
rn1qkb1r/1p1bpppp/p4n2/2p1N3/2B5/2N5/PPPPQPPP/R1B1K2R b KQkq -,e7e6
3r4/1p6/pnpr1kp1/5p1p/1P3R1P/P2P2P1/4PKB1/1R6 b - -,f6e5
2b5/8/3p1k1r/p1PP4/3K1p2/1P3P1p/7R/5B2 b - -,d6c5
2r1r1k1/2bq1p1p/bpp3p1/p2n4/P2Pp3/1Q2P1P1/1PRN1PBP/2R1B1K1 b - -,a6d3
r1bq1rk1/5ppp/p4b2/1p1B4/3P4/1Q3N2/PP3PPP/2R2RK1 b - -,a8a7
6k1/p1P3p1/1p6/6q1/2P5/PP3Qpb/8/5RK1 b - -,g5c5
4r3/1p3nk1/p2pb3/2r3p1/P1P1P3/1P3R2/5QPP/6K1 w - -,f3f6
5k2/6p1/p2p4/2pPr1q1/2P3p1/P2B2P1/5P1P/3Q2K1 b - -,e5e7
8/5p2/4p1kp/1R6/3P2P1/4P3/r4PK1/8 b - -,a2d2
8/1p1k2p1/6P1/1p1pp3/rPn4P/2PK1r2/P3R3/R1B5 w - -,d3c2
r1b2rk1/ppqpp1bp/n5p1/2P2p2/6nP/1NP1BN2/PP1QPPP1/R3KB1R w KQ f6,g2g3
1rbqr1k1/1p3pnp/p2p1npB/2pP4/P2bP1N1/2N4P/1P1QBPP1/R4RK1 w - -,h6g5
2r3k1/1b2bppp/p3p3/P7/3B4/2PN4/5PPP/4R1K1 b - -,b7d5
rnbqkb1r/pp3ppp/4pn2/2pp4/3P1B2/5N1P/PPP1PPP1/RN1QKB1R w KQkq c6,c2c3
r2q1rk1/pp2bppb/2p4p/3n4/3P1P2/5NP1/PP4BP/R1BQR1K1 w - -,a2a3
3r2k1/5q2/n1pr1p1Q/p4P1N/2pp2P1/8/PP3PK1/1B2R3 w - -,e1e6
b2r1k2/4qrbB/p1pNn3/1pPnp1P1/1P5R/PN3p1P/2Q2P2/2BR2K1 w - -,d6f7
8/pp2K3/3P3r/5R2/8/8/PP1k1p2/8 b - -,h6h7
r2qk1nr/pp1bppbp/2np2p1/2p5/4PP2/2N2N2/PPPPB1PP/R1BQ1RK1 w kq -,e2c4
r5k1/bp3qpp/p2Q4/3p1r2/3N3n/7P/PPP2P1B/3R1R1K b - -,a7d4
r1b2rk1/ppq2ppp/2pb1nn1/8/3NP3/1BN1B2P/PP3PP1/2RQ1RK1 b - -,a7a6
6r1/1p4rk/3N1p2/p2Pp2p/4P1nP/B7/PP2K3/2R3R1 b - -,g7d7
5k2/3q1pp1/p2r3p/8/1B6/4Q2P/1p3PP1/6K1 w - -,e3b3
2k5/2p2ppp/4Rn2/5N2/8/2P3P1/bP3P1P/2K5 b - -,a2e6
r2q1r1k/ppp1b1pp/2np1n2/3Npb2/P1B5/3P1N1P/1PP2PP1/R1BQR1K1 w - -,a4a5
2n3r1/1N1pkp2/2r1p2p/4P3/pp2P3/8/PPP2R1P/2KR4 w - -,b2b3
r1r2bk1/p4p1p/1pR1p1p1/3NP2n/6P1/1B2Bb2/PP3P1P/R5K1 w - -,c6c8
Q3kb1r/1ppb1p2/2np1q1p/1p1Pp1p1/4P3/2P5/PP2NPPP/RN3RK1 b k -,c6d8
r1br2k1/pp2qpbp/2n1p1p1/2pP4/2B1PB2/2P5/P3NPPP/2RQ1RK1 w - -,c4b3
8/5k1b/p1p5/1p3p1P/4pB2/1P1rP2B/P7/4K3 w - -,h3f1
r3k2r/1p1nbpp1/2p3p1/p1Ppp1P1/Rn1P4/1PN1P2P/1P1B1P2/3K1BR1 b kq -,b7b6
2kr1b1r/pp1n1pp1/1qp1pnp1/3p4/2PP4/2N1PPP1/PPQB3P/R3KB1R b KQ -,c8b8
2r5/1r2bqnk/4p2p/1p1pPp1P/p2P1Pp1/PnP3P1/2NBNK2/3R2QR w - -,d2e1
6k1/p4p1p/1pq2np1/3p4/3Q4/1PN1PP2/P5PP/6K1 b - -,h7h5
rn1q1rk1/1b1p1pp1/p3pn1p/1p4B1/3P4/P1QBPN2/1P3PPP/R3K2R w KQ -,g5h4
8/p5k1/1p2q1p1/2p5/2PpB3/P2P2Qb/8/7K w - -,g3c7
2r2rk1/1pp2p2/3p3p/p1nPp2P/2P1Pq2/2N2R2/PP4P1/R2Q1K2 b - -,f4g4
r1b1k2r/pppn2pp/2nb1q2/8/3Pp3/2P2N2/PPQN1PPP/R1B2RK1 w kq -,d2e4
1qr2b2/1p3pk1/pBn1rnpp/4p3/4P3/PQN4P/1P1R1PPN/3R2K1 b - -,e6d6
rn1q1rk1/p1p1bppp/1pb2n2/3p2B1/3P4/P1N2N2/1PQ1PPPP/R3KB1R w KQ -,e2e3
5r2/pp1rk1p1/2p1p2p/2n1P3/n1P5/P2BBR1P/2P3P1/2K2R2 b - -,f8f3
8/8/4kpK1/8/5PP1/7P/1n4B1/8 w - -,g2e4
r1bqkb1r/ppp2ppp/2np2n1/8/4PP2/2N1Q3/PPPB2PP/R3KBNR b KQkq -,f8e7
r1bqkb1r/3n1p1p/p3p3/1p1pn1P1/3N4/P1N1B3/1PPQ2PP/R3KB1R w KQkq -,f1d3:d4f3
8/7p/8/6p1/4KNk1/8/8/8 w - -,f4e6
5qk1/8/1p2p2p/p2n4/7P/5bP1/PP1Q1P2/4R1K1 w - -,d2d3
4k2r/1b3pp1/p2ppb2/6P1/1prNPP2/2PR4/PP6/1K5B b k -,f6d8
1R6/5p1k/b5pp/1p6/r4P2/6PP/8/5BK1 b - f3,h7g7
2rr2k1/p2q1pp1/Qp2pbnp/8/1P1P4/P4NBP/5PP1/3RR1K1 w - -,d1c1
3r1r2/ppn1p1k1/2p2qNp/2P3p1/P2P4/6NP/1Q3PP1/2R1R1K1 b - -,g7g6
8/8/5rN1/6R1/P2K2p1/7k/1P5b/8 w - -,a4a5
2r2r2/pp4kp/3R1pp1/8/3N2b1/P7/1P3PPP/4R1K1 b - -,f8e8
3rr1k1/pp3pbp/2p3p1/q1n5/8/1BP2P2/PPQ2BPP/R3R1K1 b - -,a5b5
r2q1rk1/1pp2pbp/3pbnp1/pNn5/2P1P3/2N1B1P1/PP3PBP/R2Q1RK1 w - -,b2b3
3r3r/p4pk1/5q1p/6pQ/4Bb2/3P3P/PP2RP2/R5K1 b - -,d8b8
k1r1r3/1pqn1pp1/p2p1b1p/3P4/1Q4P1/2P4P/PPN5/1K1R1B1R w - -,h1h2
7r/p3r1kp/PpRpB1p1/3P2P1/1P3p2/2PKbP2/8/7R b - -,h8d8
r4rk1/1bq1bppp/p2pp3/1pn3PP/3RP1Q1/1BN1B3/PPP2P2/2K4R b - -,c5b3
4nrk1/3qbppp/prn1b3/2pp2P1/1p3B1P/3P2N1/PPPQNPB1/R4RK1 w - -,g1h2
r2q1rk1/1p3pp1/p1pb1n1p/3p4/PP1P4/1Q2PNP1/5PBP/R4RK1 w - -,f1c1
rnbq1rk1/pp2ppbp/5np1/2pp4/5P2/2NP1NP1/PPP1P1BP/R1BQ1RK1 b - -,d5d4
r3k2r/p2q1pp1/1bb4p/2p1PPB1/2pp3P/2P5/P1P1N1P1/R2Q1RK1 w kq -,e5e6
2r1k2r/pp2pp1p/q5p1/3P1b2/3bN3/6BP/PP1NnPP1/R3Q1KR w k -,g1h2
8/1R3pk1/6p1/3B4/1p3r1p/5P1P/3n1PK1/8 w - -,d5e4
8/8/8/4pp2/3r1k2/1R3P2/5K2/8 b - -,d4a4
r1bq1r1k/ppn1p1bp/2pp2p1/8/2PPp3/1Q2BNP1/PP2PPBP/2R1R1K1 w - -,f3g5
2q2rk1/1N2bppp/p3pn2/3P4/1r6/2N3B1/4QPPP/R2R2K1 b - -,b4b7
8/Bp3rk1/2p5/6pp/P3R3/5n2/1PP1K3/8 b - -,g5g4
3Q4/5k2/2q5/4n3/6p1/6P1/5N2/5K2 w - -,d8d4
rnbqk1nr/pp2ppbp/3p2p1/2p5/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq -,c5d4:b8c6:g8f6
8/8/8/pp3p1k/2pK1P2/P1P5/1P6/8 b - -,h5g4
r7/1p4P1/p5r1/2N1pn2/P3P3/3P1K1k/1P4p1/6R1 w - -,e4f5
r3r1k1/1p3pBp/1np1q1p1/8/8/1P2P1P1/3RQPBP/4R1K1 b - -,g8g7
8/4k3/4p3/1p2p1rb/1P2P3/3R1P2/7K/3B4 b - -,g5g8
4r1k1/3b3p/3p1rp1/1p1P1p2/2P1p3/pP2RP1P/P5PN/4R1K1 w - b6,f3e4
8/5k2/8/1PK5/8/8/5P2/7r b - -,f7e7
r7/4rkpp/2R1p3/3pP3/p7/4PP2/4K2P/2R5 b - -,a4a3
r1b1r1k1/3n1pbp/2p3p1/1pN1n3/p3P3/2N1BP2/PP1RB1PP/1K5R w - -,h1d1
5k2/5p2/2N3pp/3PP3/5PP1/3K4/r6P/8 b - -,a2h2
r3kb1r/1b1n1p2/p2ppp2/2q4N/1p2PP1p/1N1B1QP1/PPP4P/2KR3R b kq -,c5h5
5rk1/1rn1p1bp/1n1p1p2/p1pP2p1/Pq2PP2/2N5/1P1NQ1P1/2BRR1K1 w - -,e2h5
8/1p1b2k1/2p3p1/p1P2p2/2BP2pP/1P3pP1/P4P2/5K2 w - -,f1e1
r2q1rk1/pp1nbppp/2p1p3/5b2/3P4/2P1PNP1/P3QPBP/R1B2RK1 b - -,f5e4
r3kb1r/1bqn1p2/p2ppp2/1p5p/3NPP2/2NB4/PPPQ2PP/1K1RR3 b kq -,f8h6
r1bq1rk1/pp3pbp/4p1p1/8/P3PP2/2N1B3/1Pn2QPP/R4RK1 w - -,f2c2
2rr2k1/pp3pb1/1q4p1/1P1p3p/2nN3P/1Q2P1P1/P1R1NP2/2R3K1 w - -,d4f3
r1b1r3/pp3pkp/2p2qp1/2p1p3/4Pn2/3P3P/PPPQNPPN/R4RK1 w - -,e2f4
8/8/8/4k3/R4p1P/5K2/pr4P1/8 b - -,b2b3
8/8/1R1n4/5p1R/4k1r1/1P6/1KP5/8 b - -,g4g6
6k1/5ppp/1nbP4/8/r1P2P2/8/6PP/1R4K1 w - -,b1b6
2rr4/pb1nk1pp/1p2pn2/2pp1p2/2PP4/1P2PNP1/P2N1PBP/2RR2K1 b - -,g7g6
5rk1/5p1p/2p3p1/1p6/1P1RP1n1/2r5/2B3PP/4R1K1 w - -,e4e5
8/6kp/p2r2p1/5p1P/3qpQ2/1P4R1/5P2/5K2 w - -,f4f5
rnbq1rk1/ppp1bppp/4pn2/3p4/2P5/1P3NP1/P2PPPBP/RNBQK2R w KQ d6,c1b2
rnbqk2r/ppp1p1bp/5pp1/3p4/2PP4/2N2Nn1/PP2PPPP/R2QKB1R w KQkq -,h2g3
r1r3k1/1p2ppb1/p4n1p/3nNb2/N2P4/5BB1/PP4PP/R2R2K1 w - -,d1c1
r1r1n1k1/pp1bppbp/1q1p2p1/3P4/1n2P3/1NN2QPP/PP1B1PB1/R3R1K1 b - -,a7a5
r1bqkb1r/ppppnp1p/2n3p1/1B6/3NP3/8/PPP2PPP/RNBQ1RK1 b kq -,f8g7
5r2/1p1k4/1r1pR2R/p3p3/4P3/1PP1KP2/1P6/8 w - -,e6e5
4rrk1/pb1q4/1p4pp/2pP1p2/2P2N1P/3P2P1/P4bB1/1RBQ3K w - -,f4e6
5k2/R7/4bpp1/7p/1b1n1P2/2N3P1/5NK1/8 w - -,a7a8
2k5/1pp2p2/p1nn2p1/7p/P4R1P/1P3BP1/KBP2P2/4r3 b - -,f7f5
r2r2k1/1b1nq1pp/p4p2/2b1p3/Pp2P3/3BBN2/1PR1QPPP/3R2K1 b - -,c5e3
bn3rk1/2q3bp/p2n2p1/2pP1pB1/R7/3B1N1P/1P3PP1/3Q1RK1 b - -,a8d5
r1bk2r1/4bp1p/p3p3/3p1P2/2pB4/4N2P/P1P3P1/1R2R1K1 w - -,e3g4
2r3k1/5p2/4bp1p/p7/R3Bb2/8/2PN2PP/6K1 w - -,d2b3
8/1R4pp/P3k3/8/2pb4/3n3P/8/3K4 b - -,d3f2
2R5/3r4/8/8/1k6/2p5/4K3/8 w - -,c8b8
3rk2r/q3bp2/p3p3/1b1pP2p/1p1P1NpP/1P4B1/P2Q1PP1/2R1R1K1 b k -,e8d7
1r4k1/p4bbp/q1p2pp1/3p4/NP1P4/P7/3Q1PPP/2R1R1K1 w - -,d2c2
r2q1rk1/pbpp1pbp/1p4p1/2n2p2/2P5/1PNPPNP1/P4PBP/2RQK2R b K -,a7a5
2q1r1k1/2p2pp1/p4n1p/Pr1Pp3/Q7/2P4P/B4PP1/R3R1K1 b - -,c8d7
rnb1k2r/pp2ppbp/1qp2np1/8/4pP2/2NP1NP1/PPP3BP/R1BQK2R w KQkq -,d3e4
2nQ2k1/1p4pp/4q1n1/1B2PpB1/5P2/8/1P4PP/r4RK1 b - -,g6f8
8/r1r1qppk/n1p4p/2P1p3/PP1pP3/1Q4P1/4BP1P/1RR3K1 b - -,a6b8
br4k1/3n1ppp/3pqn2/1p2p1B1/4P3/1N3P2/1PP1B1PP/3Q1R1K w - -,d1a1
6k1/5p1p/6p1/R7/5P2/2r5/5KPP/8 w - -,a5a7
r7/1p1bk1pp/rn1b1p2/p1pPp3/2P1P3/RP1BBP1P/3N1KP1/R7 b - -,e7d8
r5k1/1p1r1pp1/2pq1nQB/p3p3/P1BnP2P/2N5/1P3P2/R5K1 b - -,f6e8
r7/pbrpkppp/1p2p3/1P6/2PN4/P4PP1/2R1PK1P/3R4 w - -,e2e4
rnbqk2r/pp2ppbp/3p1np1/2pP4/2P1P3/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,e8g8
r1bq1r2/ppp3bk/5n1p/5ppn/2QP4/2P2NBP/PP2BPP1/R3KN1R b KQ -,f5f4
6r1/1q3k1p/p2p1p2/P2P1b1P/2P2P2/3QBK2/8/8 w - -,d3f5
8/3k1p1p/8/r5p1/3NKpP1/2P4P/8/8 b - -,f7f6
r2qk1r1/pp1nbpp1/3p1n1p/2pP1N2/2P1P1PP/3B4/PP1BKP2/R2Q3R b q -,f6g4
2b5/7p/p4Np1/8/3K1P2/6Pk/P6P/8 b - -,h7h5
