8/8/p5p1/P7/4K3/8/3Q2kp/8 b - -,g2g1
1r1q2k1/1p2rp1p/p2n2p1/P1pP1P2/3b2P1/2N5/1P4KP/R1BQ1R2 b - -,d6c4
r3kr2/ppp1qp2/6p1/4p2p/4P1Q1/1B1Pb2P/PPP1K1P1/R4R2 w q -,g4f3
8/pp3kp1/2p2pp1/3q4/7P/P1R3P1/1PR2P2/K7 w - -,c2c1
1qr1b1k1/p3bpp1/4pn1p/1p1nN3/8/PP2P1P1/1B3PBP/1QR1N1K1 b - -,c8c1
r3r1k1/p1q2pp1/1p1pPnnp/1PpP4/5P2/1QB3P1/1P4BP/R3R1K1 w - -,f4f5
r1bq1rk1/1pp1np2/p2p1n1p/2b1p1p1/2B1P2N/P1NP3P/1PP1QPP1/R1B2RK1 w - g6,h4f3
r5k1/ppp1r2p/1q4p1/1B1Ppp2/Q2n4/5P2/PP1N2PP/2RR2K1 w - -,b5c4
8/p7/1p6/2p2pkp/4r3/P1P3PP/1P1R2K1/8 b - -,h5h4
2b2bk1/2rq1p2/1p6/1P1pPp2/p1rP1Pp1/P2QN1Pp/1B1R3P/4R1K1 w - -,e1d1
8/1pR2rk1/p2p3p/P2P2p1/4p1P1/6bq/2Q2B2/6K1 b - -,h3h2
r2qk2r/pp3pbp/5np1/2p1p3/4P3/2P5/PP3PPP/RNBQR1K1 w kq -,d1e2
8/6k1/3p2p1/2b1rPKp/1p5P/rN1R1RP1/8/8 b - -,a3a7
6k1/pp3ppp/2nP4/4q3/1P1p2P1/1Q2nP2/P4N1P/2R3K1 b - -,e5f4
r1bq3k/4b3/1p4Q1/p2p4/4RB2/P2p4/1P3PPP/R5K1 b - -,d5e4
8/8/8/8/4p2k/R3Prp1/7p/6K1 w - -,g1g2
r1b3k1/p3pp1p/6p1/2p1P3/2Brp3/1P6/P1P2PPP/R3K2R w KQ -,c2c3
8/8/2P3R1/8/6P1/4k3/2r5/6K1 b - -,e3f3
6k1/p3pp1p/4n2b/4P3/3q4/4N1QP/2p3P1/1rR1R1K1 b - -,g8f8
8/p2bnk2/3p1pp1/n1p1p2p/2P1P2P/2NP1N2/P3BPP1/1r4K1 w - -,c3b1
1k3r1r/pppq2b1/3pb1p1/3Np2n/2P1P2p/3PB2P/PP2QPB1/1K3R1R b - -,c7c6
2r1kb1r/pp1bnppp/1qn1p3/3pP3/1P1P4/P3BN2/5PPP/RN1QKB1R w KQk -,f1d3
r1bqr1k1/pppn1ppp/3b1n2/3p4/3P4/2P2N1P/PPB2PP1/RNBQR1K1 w - -,b1d2
r4rk1/1b3p1p/1p3qp1/n3N3/2Pp4/8/PQ3PPP/1B1RR1K1 w - -,e5g4
1r3rk1/pb1p3p/np1n2p1/2pP1pB1/2P1P3/PPR2B1N/6PP/5R1K b - -,d6e4
rnbqk2r/ppp1ppbp/3p1np1/8/2PP4/1PN5/P3PPPP/R1BQKBNR w KQkq -,c1b2
8/ppp1k3/3p2p1/3Pb1p1/2P1p1P1/1P2P2P/P1K2B2/8 w - -,f2e1
6k1/pp3p2/6p1/3r4/2N1K3/1P1p4/PBn5/2R5 b - -,d5d8
2rq1rk1/1p2ppbp/p1bpN1p1/8/2P1P3/2N1B2P/PPQ2PP1/2R2RK1 b - -,f7e6
2r2nk1/2q2p1p/p2p2p1/1p1Pr3/PP2P3/3BR3/6PP/1Q3R1K b - -,c7b6
r3r1k1/1b2ppb1/pp1q2pp/8/P2N1P2/2N1Q2P/1PP3P1/3R1RK1 w - -,f4f5
rnbqk1nr/pp1pppbp/6p1/2pP4/2P1P3/8/PP3PPP/RNBQKBNR b KQkq -,d7d6:e7e5:a7a6
8/8/P4pk1/3Rp2p/2K1P3/6P1/4r3/8 b - -,e2e4
3r2k1/p3ppb1/1pn1b3/2p3pp/P3Pq2/2P1NN1P/1P3PP1/3QRBK1 w - -,e3d5
3rr3/pkp1qp1p/1pp3P1/2n1p3/4P3/3PQ3/PPP1NPP1/1K1R3R b - -,h7g6
3r4/R6p/1N3pp1/1P3p2/4k3/4p1P1/7P/5K2 b - -,d8d1
r1bq1rk1/1p2n1bp/2pp2p1/p2Ppp1n/1PP1P3/P1N2NP1/1B2BP1P/R2Q1RK1 w - f6,f3g5
3r1rk1/1p2b1pp/p3p3/2p1Pn2/4pP2/1PP3P1/P1N4P/4RRBK b - -,d8d2
2k5/8/n6p/p2Q2p1/P2p4/5N2/5PP1/1q4K1 w - -,g1h2
5brk/3n1p1p/5p2/1p2pN2/n2pP3/q2P1BPP/P1Q2R1K/3R4 b - -,a4c3
r6r/1bpq1pk1/p2p2p1/3Pp2p/P1B1P3/R5RP/1P2QPP1/6K1 b - -,b7c8
2kr3r/pp3pp1/1qb1pn2/6N1/5P2/2PB2Q1/PP1B3P/R5K1 w - -,g1f1
6k1/5pp1/1B5p/P1pBP1bP/q1P2n2/P7/4n1PN/4QK2 b - -,g5h4
r1bqk2r/pppn1pbp/3p1np1/4p3/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq e6,d2d3
rnbq1rk1/ppp3pp/3p4/5p2/2PPp1nb/2N1P2N/PP1BBPP1/R2QK2R b KQ -,g4h6
2r3k1/n2r1pp1/p3p2p/P2bP3/1Bp2P2/2P1K2P/1P1R2P1/3R4 w - -,d1a1
2rq2k1/pb4pp/1p2p3/3pP3/3Pp3/BPP5/P1Q3PP/5RK1 b - -,b7a6
3r1bk1/p1q2p2/2p1n1pp/P1P5/4Q3/3N2P1/2N1PP1P/1R4K1 b - -,c7a5
6k1/1ppb1r1p/3p1p1Q/2nNnP2/2Pq4/rP4P1/2B2R1P/1R1N2K1 w - -,h6e3
8/1p4kp/1pn2pp1/3pq3/8/2P2PP1/PP1QNKP1/8 w - -,d2e3
r1b1k2r/pppqn1b1/2np4/4p1B1/2P1Pp1p/2NP3P/PP1QNPB1/R3K2R w KQkq -,g2f3
7k/pq2p1b1/1p2Pr1p/2p1Q3/7N/2P3N1/PP3PP1/3R2K1 b - -,f6f2
r2r2k1/p2n1ppp/1p1qp3/1P6/P2NQ3/2R1P2P/5PP1/5RK1 w - -,d4c6
2r2rk1/ppp1Rpp1/7p/3P1P2/2P5/P7/6P1/1R4K1 b - -,b7b6
1r1n1rk1/p1pp3p/7P/1p1pP3/1P3BP1/7R/P1P5/2KR4 w - -,f4h2
1r4k1/4pp1p/1q1p1bp1/1prP4/p4P2/P1P1R3/1PB1Q1PP/3R2K1 b - -,c5c7
rn1q1rk1/pbp1ppbp/1p3np1/3p4/4P2N/3P2P1/PPP2PBP/RNBQ1RK1 w - d6,e4e5
rnbqr1k1/1pb2ppp/2p5/2Pnp3/1p1p4/P2P1NP1/1B1NPPBP/R2Q1RK1 w - -,d2c4
rnb1k1nr/pp2bppp/2p5/q3P3/2Bp4/5N2/PPP3PP/RNBQ1RK1 b kq -,b8d7
4r1k1/pp1Rrppb/7p/1P2P2P/4p1P1/8/P3BP2/3R2K1 b - -,g8f8
1r3rk1/pq1bppbp/2p3p1/B7/Q1N3n1/4P1P1/PP3PBP/3R1RK1 b - -,g4e5
3r2k1/1Rpq2p1/3b1pbp/r7/P2RP3/5N2/2Q1BPPP/6K1 b - -,d7e7
r2q1rk1/pp1nbppp/2p1pn2/7b/3PP3/2N2NPP/PP3PB1/R1BQ1RK1 b - -,d8b6
8/5p1p/4bpk1/4p3/4P1PK/5P1P/3N4/8 b - g3,e6d7
3r1kb1/p1pr2pQ/1p3p1p/n1P1p2P/6P1/2P1BP2/P3PK2/R7 w - -,h7f5
2R5/1r1n1qk1/4p2p/p3p1pP/1b1pP1P1/N2P1P2/1PQ3B1/6K1 w - -,c8c7
r2qk2r/2p1bppp/p1np1n2/1p2p3/4P1b1/1BP2N2/PP1PQPPP/RNBR2K1 b kq -,e8g8
2r3k1/5p2/p2pbnp1/1p2b1Rp/4P3/1NqB1Q1P/P1P5/2K3R1 w - -,c1d1
r7/5kpp/Prn1p3/3p4/3Pn3/3BP1P1/R4P1P/2R3K1 b - -,f7f6
2kr3r/p4ppp/b1p1p3/4P3/1bP5/P2B4/1B2KPPP/2R4R b - -,b4c5
4rk2/2n2bpp/2p2p2/1p4P1/4PN1P/1P1B4/1KP5/6R1 b - -,c7e6
7k/5p2/5bpp/8/1R3P2/8/5P1P/6K1 w - -,f4f5
r4r1k/pppqp1bp/2npbn2/3N1pB1/2P2N2/3P2P1/PP3PBP/R2Q1RK1 b - -,c6d4
r2qr3/3n2kn/p2p2p1/2pP1p2/1p2P3/1PN2P2/P2QB1PP/2R2RK1 w - -,c3d1
2rr2k1/pq2p1bp/1p4p1/5p2/1nNP1B2/4P3/P4PPP/2RQ1RK1 w - -,d1b3
2R2bk1/5p1n/p5pp/1pBr4/5P2/7P/PP4P1/1B4K1 w - -,c5f8
r4rk1/pp2qpp1/2p2nQ1/4b3/2B5/4P2P/PP3PP1/R1B2RK1 b - -,b7b5
6r1/pb2kp2/4pn1P/6Q1/2P5/3p1P2/P2N1KP1/R7 w - -,g5g8
r2q1rk1/1b2bpp1/ppn1pn1p/3pN3/2PP4/1QNB2BP/PP3PP1/3R1RK1 w - -,d3e2
3qrr1k/ppp4p/3pb1p1/1PnN1n2/P1P5/1N4P1/5PBP/R2Q1R1K b - -,e6d5
rnbq1rk1/1pp2pb1/3p2pp/P2Pp2n/2P1P3/2N2NP1/P3BP1P/R1BQR1K1 b - -,f7f5
r2q1rk1/ppp3pp/2n2p2/3bpP2/1b6/2NP4/PPP1N1PP/R1BQ1RK1 w - -,e2g3
2R5/4q2p/6p1/6Pk/1p1QPP2/7r/6K1/8 b - -,h3h4
8/7k/3nP2p/4bP2/3P2P1/8/5B2/6K1 b - -,e5f6
r1b1k1nr/pp3ppp/8/3qP3/8/2b5/PP3PPP/R1BQKB1R w KQkq -,b2c3
r3kb1r/pp2nppp/1q2p3/3pP3/b1pP4/PNP5/1P1NBPPP/1RBQ1RK1 b kq -,e7c6
2kr4/1ppqn2n/p2p1b1p/3Pp2P/4Pp2/5N2/PPPBQP2/2KN2rR w - -,h1g1
5r1k/6p1/7p/2N1p3/8/2B2nP1/2B5/4K3 w - -,e1e2
r4r1k/1pp1q2p/3b1pp1/p1n5/P1Q5/1BP5/1P3PPP/R1BR2K1 w - -,b3c2
r1b1k2r/2p2pb1/pp1q2p1/4Pn1p/1P1N3P/8/1BPQB1P1/1K1R3R b kq -,d6e5
2R5/1p1nkpp1/rr2p3/1p1p3p/1P1P4/P3P1P1/2RK1PP1/1N6 w - -,c8c7
r1r3k1/p2n1ppp/1qp1p3/3p4/N4B1b/3P1Q1P/PPP2PP1/1R2R1K1 b - -,b6a5
1r6/1P4k1/2R3p1/3p2p1/3Kp1P1/4P3/5P2/8 w - -,c6c7
r2qkb1r/pb1n1p1p/2pp1np1/1p2p3/3PP1P1/1PN1BP2/P1PQN2P/R3KB1R b KQkq g3,d7b6
8/p3k3/1b2p1p1/4P3/r1p2P1N/3r2PK/2R4P/5R2 b - -,e7f7
r2q1rk1/1p1n1pb1/p2p2p1/2p3Pp/P1P1P3/2N2P2/1P1Q2P1/3RKB1R w K -,f3f4
8/1p3p2/4p1p1/R3Pk2/4r3/4K2P/6P1/8 w - -,e3f3
3rr1k1/1R1n2qp/p4bp1/1n3p2/2Np4/B3P3/P1Q2PPP/4NRK1 w - -,c2b3
2rb4/4k1pp/1p3p2/p7/P2PP3/4NR1P/8/1Rr4K w - -,f3f1
r4r1k/1b4pp/pp4q1/2nPb3/2P2P2/1P6/P2QN1PP/1RB2RK1 w - -,c1b2
8/5B1p/6p1/4k3/1P2P3/5K1P/1r4P1/8 w - -,h3h4
r2n1rk1/2pn1ppp/p7/bp1NP3/1P3Bb1/5N2/P4PPP/2RB1RK1 b - b3,a5b6
r2r2k1/ppbbqpp1/2p1p2p/8/3PQ3/1B2PN2/PP3PPP/2RR2K1 w - -,f3e5
2r1r1k1/1bpnqpbp/pp1p1np1/3Pp3/1PP1P3/2NBBN1P/P2Q1PP1/2RR2K1 b - b3,e7f8
8/4n1pk/1p5p/p3qp2/7P/2PQp1P1/1PK1N3/8 w - -,h4h5
6k1/pp2pp1p/6pb/3rP3/1P2N3/P2K1nPP/1B3P2/7R w - -,d3c4
1b4k1/6pp/4p3/8/4P3/Pn1N1PP1/6KP/8 w - -,a3a4
1r2r1k1/3q1pp1/p2p3p/1PpNnb2/8/PP4P1/3QPPBP/2R2RK1 b - -,a6b5
8/7P/8/8/2p3K1/1k6/8/8 w - -,h7h8q
2rq1rk1/pb1n2b1/1n1pp1p1/2p3Pp/3PP2P/2P1B1N1/P2QB3/2RNK2R b K -,d8c7
R7/4Qpkp/4p1P1/3q1r1P/1p6/2b1BP2/P4PK1/8 w - -,e7f8
r3kb1r/ppq2pp1/1np2np1/3p4/3P4/1QN1P1P1/PP3PBP/R1B1K2R w KQkq -,e1g1
r4rk1/p3ppb1/Qp2q1p1/1R5p/8/3PB1P1/1P2PP1P/5RK1 w - h6,b5b4
rn2r1k1/ppp3b1/3ppq1p/1P4p1/2P1PP2/P5B1/3QB1PP/1R3RK1 b - -,f6d4
r1b1nrk1/1p6/1qpp1p2/p1n2Ppp/P2NP3/1PN3PP/2PQ2B1/3R1R1K w - -,h3h4
1r4k1/p2n1ppp/b3pn2/3p4/1b1P4/1PN1P1P1/P2B1P1P/R3R1K1 w - -,c3b1
8/4k3/8/3B1p2/3r2p1/6P1/6PK/8 w - -,d5b3
r4rk1/pbp1q1pp/1p1p4/3Pnp1n/2P5/P1QB1P2/1P1B1NPP/R4K1R w - -,d3e2
rnbqk2r/1p2nppp/p2p4/P1pPp3/4P3/3B4/1PPB1PPP/R2QK1NR w KQkq -,g1e2
r3r1k1/1b1qbp1p/1pp2npB/p2n2N1/2BP4/P1N2Q2/1P3PPP/2R2RK1 w - -,f1e1
8/2p2pkp/p2q2r1/8/2p5/3p1Q1P/PP1B1P2/6RK b - -,g6g1
4r1k1/6pp/1p6/p1p5/1n6/7P/5BP1/R3bNK1 b - -,e1f2
1r4k1/q2b1pb1/3p1Bpp/8/2P1PN2/n4P2/P2Q2P1/1B1R1K2 b - -,g7f6
r4rk1/1bqnbppp/p2p1n2/3Pp3/2p1P3/2P2N1P/P1BNQPP1/R1B1R1K1 b - -,f8c8
r2r4/1pp3p1/1p2knBp/1P2pR2/3PP3/P7/2P1b1P1/R1B3K1 b - -,e5d4
5r2/1pr2kp1/1R2bp1p/3pp3/8/2nPP1P1/3N1PBP/R4K2 w - -,a1a7
r4rk1/pp3p2/2n3pp/2b2b2/5N2/2N5/PP2BPPP/R2R1K2 b - -,a8c8
2rb2k1/5ppp/pP2p3/4P3/1pp2P2/4B1P1/1PP3bP/R5K1 w - -,g1g2
1rrbb1k1/2q2p2/3p1n1p/Np1Pp1pP/1Pp1P1P1/P1Q1BP2/2B3K1/R1R5 b - -,c7e7
r4rk1/p1q1bpp1/2p4p/1pn1p2n/4P2B/2PB1N1P/PP2QPP1/R2R2K1 w - -,h4e7
4kb2/pp3r1p/2n1p2q/3r4/3N4/5N2/PPP1Q3/1K1R4 b - -,c6d4
8/p2r2bk/1p2r3/1P1p1npp/1B1Pp3/4PpP1/P1R2P1P/3N1R1K w - -,d1b2
5nk1/p3q1p1/bppbpr1p/3p4/2PP2Q1/1P2PN1B/P2N1P1P/6RK w - -,g4h5
r1b2rk1/2q2p2/p2b3Q/3Ppp2/1p5N/8/PP3PPP/2R2RK1 b - -,c7d7
8/p5k1/1p1bp2p/4N2b/3PBK1P/8/PP6/8 b - -,g7f6
r2q1rk1/1bppbppp/p1n2n2/4p3/Pp2P3/1B1P1N2/1PPNQPPP/R1B2RK1 b - -,h7h6
3q2k1/1p3ppp/4pn2/p1b3B1/2P5/P4N1P/1PQ2PP1/6K1 w - -,f3e5
2r2r2/1p4pk/p6p/2nPpp2/q7/4QN2/5PPP/2RR2K1 w - -,f3e5
r2rn1k1/p3bppp/1p1pp3/8/2P1N3/1P2P2P/PB3PP1/R3R1K1 b - -,e8c7
r4rk1/3n1pp1/3Npn1p/pN5P/1PP5/P5R1/8/1K1R4 b - -,a5b4
r5k1/1p2qppp/pP2p3/N1PrQn2/b2Pp3/P7/3R1PPP/4KB1R w K -,e5e4
rn1qkbnr/pbpp1ppp/1p2p3/8/4PP2/6P1/PPPP2BP/RNBQK1NR b KQkq f3,h7h5
r1b2rk1/3nbppp/pqn1p3/1pppP3/3P1P2/P1N1BN2/1PPQB1PP/R4RK1 w - -,g1h1
1rb2rk1/2p5/p2p3b/2pP1p1q/2P2p2/1PN2N1P/P2Q1PK1/R6R b - -,g8h8
1r6/4kppp/4p3/8/2R5/P3PP2/1r3P1P/4K1R1 w - -,g1g7
4r1k1/3n1pp1/1q3n1p/1pb2P2/4p2N/1B4B1/1P2QP1P/3R2K1 w - -,h4g6
1r3r2/2p1qp1k/2Pp1npb/4p3/1p4bp/1P1NP1P1/P2Q1PBP/B1R1R1K1 b - -,g4f5
1rb4k/3p1rbp/p3p1n1/1p3p2/8/1BPN1P2/PPN1R1PP/1K1R4 w - -,c2d4
8/6k1/2K5/2P3pP/8/4b2P/4B3/8 w - -,e2d1
8/5pk1/p1pp2p1/4b3/P1P1P3/1P3Q1P/3q1P2/5KN1 b - -,d2c1
8/3R4/1kp5/7p/8/4P1P1/4r3/6K1 w - h6,d7e7
r2r2k1/pp3ppp/2ppbq2/4n3/2PN4/2R3PP/PP1QPPB1/3R2K1 w - -,b2b3
r2q1rk1/pp2ppbp/2N2np1/3p1b2/3P4/1P6/PBP1BPPP/RN1Q1RK1 b - -,b7c6
4br2/pn2ppkp/1p4p1/r1P5/5P1P/1B1N2P1/P3PK2/2RR4 b - -,b6c5
6k1/1p5p/2p3p1/p2pN3/P6q/1P4N1/2P3K1/3R1r2 w - -,d1f1
4n3/6k1/3p2p1/2pP2P1/1pPn2K1/1P6/2B3N1/8 w - -,c2d1
r5k1/p4p1p/bp2pp2/8/4n3/4PN2/PP3PPP/1K1R3R w - -,d1d4
8/n4k2/6p1/np1K2Bp/4N1P1/P6P/8/8 w - h6,e4d6
6k1/4pp2/1r1p2p1/q2P3p/2P1P2P/r5P1/PR3P1K/R1Q5 b - -,b6b2
2r2bR1/1N6/2n1k3/1PB1p3/5p2/8/P3K3/8 w - -,b5c6
b7/P1k5/4pp1p/6p1/2r5/3NKPP1/R6P/8 w - -,a2a6
2r1rnk1/3q1ppp/2pbb3/1p1p4/3P1BPP/pPNBPP2/P1Q5/1KR4R w - -,h4h5
3qk1r1/7p/1nr1pQpP/p4pP1/1pP2P2/1P6/P7/BK1R4 w - -,d1d8
4kb1r/pb3ppp/4p3/1pp1P3/7P/PP2R3/1Bn3B1/R6K w k -,g2b7
r2q1rk1/1p3ppp/5b2/p2p4/1Q1Nb3/4P3/PP1RBPPP/5RK1 w - a6,b4b5
8/5pkp/3p1p2/p2PqPb1/PrB3r1/1P2p1P1/2R3QP/3R3K b - -,g4d4
1r4k1/3p1ppp/q1b1pn2/pN6/Pb1P4/4PNP1/5PBP/R1Q3K1 b - -,c6b5
7r/1k6/1p3p1p/p2p3P/2nPpB2/2P5/2P1KPP1/7R b - -,a5a4
8/pQ4pk/1p3nq1/2p4p/7P/2B3PK/8/8 w - -,c3f6
5b2/1R3pk1/4p1p1/4P2p/5P2/6KP/5P2/8 b - -,f8c5
8/5pk1/1PR3p1/1K6/2R2P2/q7/8/8 w - -,b6b7
4r1k1/2p2pp1/p6p/1r6/1P1Rp1P1/2P1R2P/5KP1/8 b - -,b5e5
r5k1/pp2qpp1/2p4p/5b2/2B5/2Q1P3/PP3PPP/3R2K1 b - -,a8d8
8/7k/1Q5p/1pr2p1b/1P3P2/4K1P1/7P/8 b - -,c5c3
r2r2k1/1b2q1pp/p1Qbp3/1p3p2/1Pp5/P3PN2/1B3PPP/1BR1K2R w K -,c6b6
rnbq1rk1/p3ppbp/2p2np1/1p6/2BP4/1QN1PN2/PP1B1PPP/R3K2R w KQ b6,c4e2
8/1p4R1/p1p3n1/P2r2Pk/1PKB4/8/8/8 b - -,d5b5
3r2k1/1p6/p6p/3r2p1/1PRPpp2/4P3/1P1K3P/3R4 b - -,f4f3
4rr1k/1R4b1/pB1p1qp1/P2Ppb2/1PR1B2p/5P2/2Q3PP/6K1 b - -,f6g5
8/8/pk1p3p/3PpB1P/2P1bp2/P7/3K4/8 b - -,e4f5
rnbq1rk1/4bppp/1p3n2/pP1p4/8/P1NBPN2/2Q2PPP/R1B1K2R b KQ -,b8d7
1r4k1/pb2p1bp/1p2qpp1/1P1p4/3P3N/6P1/P2QPPBP/2R3K1 w - -,d2f4
8/8/P7/2b3pp/4k3/6K1/4Bp2/8 w - -,g3g2
4r1k1/6pp/3Rpp2/B7/2b5/4PP2/5P1P/6K1 w - -,d6d8
4r1k1/3bqpbp/p2p1np1/1p6/1P1BPP2/3P3P/P2QN1B1/2R3K1 b - -,e8c8
5rk1/1p3rp1/pR5p/3p4/q7/2P1QP2/PP4PP/4R1K1 w - -,e3e6
r4rk1/p2qp2p/1p3ppB/3Pb3/7Q/3b2P1/P4PBP/3RR1K1 b - -,d3c2
r1b1qrk1/pppp2p1/2n1pn2/6Bp/2PP1N2/P1P3QP/4P3/R3KB1R w KQ -,h1g1
8/5p1p/3k2p1/8/P1B2P2/2b1P3/6KP/8 b - -,f7f6
r2q1rk1/1p2p1bp/p1np2p1/4nb2/2P5/2N1QN1P/PP1BBPP1/3R1RK1 b - -,a8c8
8/5r1p/3k2p1/8/4n1PP/3N4/6B1/4BK2 w - -,f1e2
6k1/3R1p1p/p3p1p1/8/2r2P2/6KP/P7/8 b - -,c4a4
3n1r1k/4R1bp/2p2pp1/8/2PP1B2/2PB1P1P/8/6K1 b - -,f6f5
r1b1k2r/ppp2ppp/2n2q2/1B1p4/3P1P2/P1P1B3/2P3PP/R2QK2R w KQkq d6,d1f3
