6k1/7p/7r/4R1pN/1P6/PKPp2P1/3P3P/8 b - -,h6h5
8/3R4/p4p2/1pB2nk1/1P2b3/P7/r3BK1P/8 w - -,d7a7
3r4/5pk1/p7/6Bp/1b3P2/1pN5/1P5P/1K6 w - -,g5d8
rnbqk2r/ppp1ppbp/5np1/3p4/3P4/1P3N2/PBP1PPPP/RN1QKB1R w KQkq -,e2e3
1rnr3k/2q2pbp/ppb3p1/2p1p3/P1N1P1P1/1QP1B1P1/1P3PB1/R2R2K1 b - -,d8d1
r3k2r/4b1p1/ppqpbBP1/4p3/4P3/2N5/PPPN1Q1P/2KR3R b kq -,e7f6
8/kp6/1qbQ4/p2p2K1/6N1/8/8/8 b - -,b6b4
8/5ppp/1k6/n2PP3/1p3PP1/2n5/1KR4P/8 w - -,d5d6
8/8/5k2/3K1p2/4r3/8/8/5R2 b - -,e4a4
2kr3r/1b2bp2/p2p1P1p/1pq3Pn/3R3B/2N1Q3/PPP3PP/2K1R3 b - -,e7f8
1rbqk2r/5ppp/p1np4/1p1Np1b1/4P3/2P5/PPN1BPPP/R2QK2R b KQk -,e8g8
r1bq1rk1/1p1n1pbp/p2p1np1/3pp3/2P1P3/2NBBP2/PP2N1PP/R2Q1RK1 w - -,c4d5
2kr3r/ppb3p1/n3p2p/2p2p2/2PP4/P3BB2/1P3PPP/R2R2K1 b - -,f5f4
6k1/1p1r2p1/pq1np2p/2n5/P1B5/2N5/1P2QPPP/1R4K1 b - -,d6c4
1r6/8/1k1pNp2/p4P2/2R1P2P/1P3K2/1b6/8 b - -,b8h8
7r/4k3/np4p1/1N2pb2/P1P4p/4KB1P/6P1/1R6 w - -,b1b2
2rr2k1/1bq1bppp/p2pp3/4n3/R2NP3/1PP3P1/1B2QPBP/R5K1 w - -,c3c4
r2r2k1/ppp1bppp/8/5b2/1n3B2/3P1Q2/1P3PPP/1KNR4 b - -,c7c6
8/5pk1/2p3p1/Q1Pp3p/3Pq2P/6K1/8/8 b - -,e4g4
r3k1r1/ppq1bp2/2p2n2/P3p3/2B1P1bP/2N1BQ2/1PP3P1/R4RK1 w q -,f3f2
6r1/5k2/8/4Pp2/5P2/5Kp1/8/1R6 w - -,b1g1
r1q2r1k/1ppbp1bp/n2p2p1/3P1p2/1PPN2n1/1QN1P1P1/1B3PBP/1R3RK1 w - -,c3e2
r1bqk2r/1p1p1ppp/2n1pn2/p7/1BPp4/5NP1/PP2PPBP/RN1Q1RK1 b kq -,a5b4
6k1/7p/6r1/2R3N1/P2n1p2/7P/5PK1/8 w - -,g2f1
1r5k/1q1b1rnp/pb1p1pp1/1p1Pp3/1P2P1PP/3B1N2/P2NQP1K/2R3R1 b - -,b7a7
r2q2r1/ppp1kpPp/2n1b3/8/2pp4/5N2/PPP2PPP/RN1QR1K1 w - -,e1e4
8/8/1p3p1p/1Pk2p1P/P2pbP2/r5P1/3R1K2/3B4 w - -,d2b2
2r1rbk1/3b1pp1/7p/1p3P2/2nBp3/5RNP/1P4P1/1B1R2K1 w - -,g3e4
r1b2rk1/pp1n2pp/2pp3q/b7/2P1QN1P/PP2P1P1/1B3PB1/R4RK1 b - -,d7c5
3r1rk1/2q3pp/1pn1bb2/p1p1p3/P1P1Pp1n/2BP1N1P/1Q1NBPP1/R2R2K1 w - -,a1b1
2rqr1k1/pb1n1pp1/1p2pn1p/8/1b1P3B/2NB1N2/PP2QPPP/2R1R1K1 b - -,b4c3
8/1p1k2pp/2pp4/p2P1r2/2P5/1P1N2P1/P5KP/8 w - -,d5c6
rnbq1rk1/pp3p1p/1np3p1/4b3/8/2N1P1P1/PP2NPBP/R1BQ1RK1 w - -,d1c2
5rk1/2R3b1/5q1p/Qp1P1b2/3p2p1/5N2/PP3PP1/3B2K1 w - -,c7c6
r2qr1k1/1ppn1pbp/3p2p1/p1nPp3/2P1P3/2N1BB1P/PPQ2PP1/R3R1K1 w - -,b2b3
r3k2r/B1p2ppp/p1p1b3/P7/1P2n3/5N2/5PPP/RN1q1RK1 w kq -,f1d1
r1b1rnk1/1pbN1pp1/p6p/3p4/3P4/3BP1BP/PP3PP1/3R1RK1 b - -,c7g3
rn1qkb1r/ppp2pp1/4pn1p/3p1b2/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b kq c3,c7c6
r4rk1/pp1n1pbp/3p1np1/q2Pp3/4P3/2N2BPP/PP3P2/1RBQ1RK1 b - -,a7a6
4b1k1/p3q2p/1p1bp1p1/3p1p2/PP1P1PP1/3BP1K1/3B3P/3Q4 w - -,b4b5
r4rk1/pp3pbp/1q1p1np1/1Np1n3/2P1P3/1P2B1PB/P3NP2/R2QR1K1 b - -,e5f3
r7/P7/1K6/R5k1/5pp1/6Pp/5P2/8 b - -,g5g6
3r2k1/7p/p1p5/2N1n3/1PP1B3/8/P3bP2/2R3K1 w - -,f2f4
rnbqk2r/pp2ppbp/2p2np1/3p4/3PPP2/2N1BN2/PPP3PP/R2QKB1R w KQkq -,e4e5
8/ppr4p/3pkpr1/P1p1b3/K1PpP2R/3P2P1/2PB3P/5R2 b - -,g6g8
8/p1k3q1/Pbp3r1/2p1p3/1pP1PpP1/1P1P4/2K2BP1/Q6R b - -,g6g4
r2qkbnr/pp2pp2/2p1n1p1/4P2p/2pP3P/2N5/PP3PP1/R1BQKB1R w KQkq -,c1e3
r3k1nr/pp2ppbp/3p2p1/3P4/1q2P3/6PP/PP2QPB1/R1B1K2R w KQkq -,e2d2
3b1k2/r5p1/3p3p/2qNp1p1/2PnP1NP/1R4Q1/8/5B1K b - -,d4b3
2rr2k1/pp2pp1p/2n1b1p1/2P5/3b1Bn1/2N3P1/PP1NPPBP/2R1K2R w K -,d2e4
2r3k1/pp3ppp/4n3/3p2P1/8/2B2P2/PPP1q3/1KQ3R1 w - -,f3f4
2r5/6rp/4P1pk/1N1P1b1n/4N2q/4QP2/P5BP/5RK1 b - -,h5f4
2r3k1/pp5p/3bR1p1/3p4/3P4/2PN4/PP5P/7K b - -,c8d8
8/2kn2b1/4rp2/2p3pp/PB1RP3/8/5NPP/6K1 w - -,d4c4
8/8/5k2/6P1/5P2/4RK2/8/1r6 b - -,f6g6
2k1r2r/p1pp2bp/b1p3p1/8/2P1n3/3BBN2/PP3PPP/2KR3R w - -,f3d2
8/5k2/7p/1p6/3n1p2/P7/1bN3PP/4B1K1 w - -,c2d4
8/8/5p1k/5P1N/3K3P/6P1/8/7n w - -,g3g4
6k1/p5bp/2P1p1p1/1P3q2/P7/1Q2P2P/2KR2P1/5r2 w - -,b3d3
R2b2r1/2k5/8/N1p5/PP2p2p/2P4P/4K1P1/8 w - -,a8a7
1r1qk2r/pp2npbp/2npb1p1/2p1p3/2P5/2NP2P1/PPNBPPBP/R2Q1RK1 b k -,d6d5
8/p3k2p/4p2b/1p2P1p1/3PKrP1/PB3p2/1P3R1P/8 w - -,e4d3
1r2r1k1/p5p1/4b2p/2np1p2/8/1P1B1P1P/P3N1P1/3RR1K1 w - -,e2d4
3n1nk1/1pq1r3/3p2pR/pQpP1pP1/P1P2P2/2PB4/3B1K2/8 b - -,d8f7
2kr3r/ppp2ppp/2n5/3qP3/2B2B2/P1b2PP1/1P3P1P/2KR3R w - -,d1d5
r2q1rk1/ppn1ppbp/2p2np1/3p1b2/2P5/1P1P1NP1/PB1NPPBP/R2Q1RK1 w - -,a1c1
rnbqk2r/pppp1pb1/8/4n2p/2P3pP/2N1P1B1/PP3PP1/R2QKBNR w KQkq h6,a1c1
2r2b2/p2b1pk1/1p4pp/4P3/4NP2/PB1nB3/6PP/3R2K1 b - -,d7b5
rq3rk1/4Rpb1/b5pp/p1Bp4/8/7P/PP3QP1/1B3RK1 w - -,e7f7
3r2k1/5p2/4p2p/4Q1p1/p1q5/P4P1P/1RP3P1/6K1 b - -,c4d4
8/2PK1p2/8/8/2r5/4Pk2/6p1/6R1 b - -,f3f2
r1b2rk1/pp3ppp/1q2pn2/3p4/2PP4/1QP3P1/P2N1PBP/R4RK1 b - -,b6a5
r2qk2r/p1pbppbp/p2p1np1/3P4/4P3/P1N3N1/1PP2PPP/R1BQK2R w KQkq -,d1d3
2r2bk1/1bqn1p1p/pp3np1/3p1P2/P7/1NN2B2/1PP2QPP/2B1rR1K w - -,f1e1
4r1k1/p4p2/3P4/5p2/2r2P1q/1Q2BBp1/1Pn3P1/R5K1 w - -,d6d7
8/8/8/8/4p3/4k3/6K1/4b2N b - -,e3e2
2rq2k1/1p2bp1p/p1p3p1/4r3/1PR1N3/P2PRQP1/5PKP/8 b - -,d8d7
3r2k1/2r1qpp1/1pp1p1b1/p3Pn2/PnRPN1Bp/1N5P/1P2QPP1/3R2K1 w - -,d1d2
2rq1rk1/pp2p1bp/2np1np1/3N1b2/2P5/1N2BP2/PP1QB1PP/R4RK1 w - -,a1c1
8/p2k1p2/1p2p1pp/2p1P3/2P2PPP/1P1K4/P7/8 w - -,a2a3
r1br2k1/p3npb1/1pn3pp/2p1p3/2P1N3/BP2P1P1/P3NPBP/R4RK1 w - -,a1d1
2Q5/6pk/pp1p3p/3P4/3q3P/4r3/4B1P1/5R1K w - -,e2g4
8/4k3/p4p2/2Nn4/P2N4/1P3K2/2Pb4/8 b - -,a6a5
1rb2rk1/4npbp/pq1p2p1/1ppPp3/4P3/1P1P2P1/PB1QNPBP/2R2RK1 b - -,f7f5
1r1q1rk1/1p2ppbp/2bp2p1/p1nN4/1nPNP3/1P4P1/PB1Q1PBP/R4RK1 w - -,d5b4
8/1p6/p5p1/P2kPp1p/4nP1P/8/3BK3/8 w - -,d2e3
8/8/8/4k1K1/R3b3/8/5r2/8 w - -,a4a5
8/5kb1/b1p3pp/2B1pp2/4P3/2N2P1P/2P3P1/6K1 w - -,g2g3
4r1rk/1b4qp/pb2p3/1p2n3/1P2P3/PQ1Pp1PB/3NN1K1/3R1R2 w - -,d2f3
8/3k1p2/3p4/3P2pp/2PbPp2/3N1P1P/4K3/8 b - -,d7c7
1Rq2rk1/4pp2/p2p1b1p/5Pp1/2r5/3Q2BP/P1P2PP1/5RK1 b - -,c8c5
4rnk1/1p5p/p3pr2/P2B1pq1/8/2PQ2P1/1P2RP2/4R1K1 w - -,d5b7
r7/1r5p/2k3p1/p2R4/1pP1p1NP/1P6/P3K3/8 b - -,a5a4
r1bqr1k1/1p3pbp/2pp2p1/p1n4n/2PNPB2/1PN3PP/P4PB1/R2QR1K1 w - -,f4e3
5k2/6p1/1qb2p2/2b1rN2/1PPp2P1/3Q2N1/5PK1/1R6 w - -,f2f3
1rb2rk1/2q2pbp/p1p1p1p1/2np4/3P1P2/3B1N2/PP1QRPPP/2R3K1 w - -,c1c5
r4rk1/pppb1pbp/1n4p1/2qpP3/8/1PPB1N1P/P2Q1PPB/3RR1K1 b - -,f8e8
1rb2rk1/ppq1ppbp/2np2p1/8/2pP4/1PP1P1P1/PBQN1PBP/R4RK1 b - -,b7b5
1r4k1/4p1bp/3pbnp1/1q6/4P1P1/1NB2P2/P1PQ4/1K1R3R b - -,b8a8
4R3/8/4pk2/7p/4P2P/5P2/7K/r7 w - -,h2g3
r1b2rk1/1pppnppp/pbn2q2/8/3NP3/N1P1B3/PP1QBPPP/R4RK1 b - -,f6g6
1r3rk1/pQ2ppbp/6p1/8/3q4/2N2B2/PP3PPP/5RK1 w - -,b7e7
rnbq1rk1/1pp1npbp/3p2p1/p3p3/3PP3/2N2NP1/PPP2PBP/R1BQK2R w KQ -,d4e5
8/8/6pb/4Qq1k/8/8/5P2/6K1 w - -,e5h8
r4rk1/pp2ppb1/nq3np1/1N3bBp/P1PN4/1Q5P/1P3PP1/R3RBK1 b - -,f6e4
5bk1/3q3p/p2pn1p1/2p3P1/1pP1Q2P/1P1P1NB1/P7/6K1 b - -,e6g7
1r3r2/pp4k1/3p2n1/2pPp1p1/P1P1P3/2P3PB/1R3P2/4R1K1 b - -,g7f6
r1b2rk1/ppq1b1pp/3pp3/4P3/2P2p2/P5P1/1PQN1PBP/R4RK1 b - -,d6e5
8/3k4/p5r1/R7/6p1/6K1/5P2/8 b - -,d7c7
rnbqk2r/4ppbp/p1p2np1/1p1p4/2PP4/1PN1PN2/P1Q2PPP/R1B1KB1R w KQkq -,f1d3
rnbq1rk1/ppp1ppbp/3n2p1/8/3P4/1BN1PN1P/PP3PP1/R1BQ1RK1 b - -,b7b5
1r4k1/7p/4R3/3p1n1P/pp1P2q1/3R4/PPr3P1/5QK1 b - -,f5h4
4k3/p1p5/7R/1P1n1p2/4r3/1P4P1/1B3PK1/8 w - -,h6a6
3B4/8/4b1k1/p1p3P1/P1N1n2K/8/2P5/8 w - -,c4e5
r4rk1/p4ppp/1ppq4/5b2/2BPn3/P1P1Q3/2P1N1PP/R2R2K1 w - -,d1f1
2rr2k1/pb1nqpp1/1p2p2p/2p1N3/8/PP1PP2P/1QR2PP1/2R2BK1 w - -,e5c4
4rrk1/4qpbp/p2p2p1/1p1Pn1PP/2nBBR1Q/PN6/2P4R/6K1 b - -,g7h8
8/7p/6pK/8/2npkB2/8/7P/8 w - -,f4c1
r4rk1/pp1nbbpp/1qp1p3/3pP3/P2N2P1/3P3P/1PPN2B1/R1B1QR1K b - -,b6d4
3r1r2/pp3pkp/5Np1/3nP3/3p1P2/P7/1P4PP/3R1RK1 w - -,f6d5
r1bq1rk1/p3ppbp/1pn3p1/8/2BPP3/4B3/P3NPPP/R2Q1RK1 w - -,a1c1
2rr2k1/pp2qpp1/1n2pn1p/2b5/2P5/P4NBP/BP2QPP1/R2R3K b - -,a7a5
r1b2rk1/p7/1ppq3p/3p2p1/3b1p2/1Q3PP1/PP2PNBP/4RRK1 w - -,e1d1
1rb5/6kp/pq2Prp1/1p1BQp2/2p2P2/8/P5PP/1R1R3K w - -,d5c4
2r2rk1/pbq1ppbp/1p4p1/3p4/2pP1P2/2PBP1Q1/PP2N1PP/R4RK1 w - -,d3c2
r4rk1/pb3ppp/1qp2n2/1pb1nNB1/4P3/2N5/PPQ1BPPP/R4RK1 b - -,f6e8
r1b1r3/1p2qpbk/2p3pp/2n5/p1PNP1P1/2N1QP1P/PP6/R2R1BK1 w - -,d1e1
1nb2rk1/1p4bp/2p1p1p1/3P4/r2Pp3/P3B1PN/4PPBP/R4RK1 b - -,c6d5
3r3r/1PQ5/4k1p1/5p1p/2P1pP1P/4K3/8/8 w - -,c4c5
3B4/6p1/2r1k1R1/8/3pr2P/1Pn3P1/5PK1/R7 b - -,e6d7
2rqkb1r/1p3ppp/p1n1pn2/2pp4/3P2b1/1P2PN2/PBPNBPPP/R2Q1RK1 w k -,h2h3
4k3/4bpp1/p2n4/1p1P1nP1/1P6/P2r1BB1/4NK2/7R w - -,h1h8
r1bqkb1r/pp2npp1/2n1p3/3pP2p/3P4/2N2N2/PP3PPP/R1BQKB1R w KQkq h6,c1g5
2nqk1r1/1Q1b1pp1/4p3/3pP2P/p1pP4/2P2N2/2PKBP2/R7 w - -,a1g1
8/5N2/4P1b1/3B3k/3P2pb/4K2p/8/8 w - -,f7e5
rn1qkb1r/1p3ppp/p3bn2/3Pp3/8/1NN1B2P/PPP2PP1/R2QKB1R b KQkq -,f6d5
8/2R5/8/2p1rk2/6p1/8/5K2/8 b - -,f5f4
r1bq1rk1/pp2bnpp/2n1pP2/2p5/3p1P2/2PP1N2/PPN1B1PP/R1BQ1RK1 b - -,e7f6
r4nk1/1bpqrpp1/1p1p1n1p/p2P4/2P2PP1/2P1B2P/P1QN2B1/4RRK1 w - -,e3d4
B2q1rk1/p1pn1ppp/1p1pp3/6b1/2PP4/6P1/PPQ1RP1P/R1B3K1 b - -,g5c1
8/8/7p/2kp2p1/5p2/3K1P1P/1bN3P1/8 b - -,b2e5
8/1n3r2/2N3p1/p1p1p1k1/P3P1B1/4P3/4K3/8 b - -,g5f6
8/3r1k2/p3R1p1/1p1P1p1p/7b/P1BK3P/1P3P2/8 w - -,e6a6
3q1rk1/1r2bppp/p1npb3/P3p3/1p2P3/1N2B1P1/1PPQ1PBP/R4RK1 w - -,e3b6
7r/p7/1p2pkp1/2p1R3/1P1n1Pp1/7P/P5K1/4R3 w - -,h3g4
4r2k/pp5p/8/1q3p2/3p4/3N1PP1/3Q1K1P/7R w - -,h1e1
2r3k1/pp3ppp/4n3/3p2P1/5P2/2B5/PPP1q3/1KQ3R1 b - -,e2e4
rnbq1rk1/p3ppbp/3p1np1/2pP4/1pP1P3/5NP1/PPQ2PBP/RNB1K2R w KQ -,e1g1
rnbqkb1r/pp3ppp/2pp1n2/4p3/2B1PP2/2NP4/PPP3PP/R1BQK1NR b KQkq f3,e5f4
2r5/1q4pk/pr5p/1p3p2/1QpPp2P/R3P1P1/PP3P2/K1R5 w - -,a3c3
8/8/8/8/5pkp/5R2/r5P1/5K2 w - -,f3b3
r4rk1/1p1bqnpp/3p4/p1pP1p2/2P1pP2/2R3P1/PPNQP1BP/5RK1 w - a6,b2b3
1r1q1rk1/p5bp/2p1b1p1/2Bn1pN1/4p2P/5P2/PPPQ2P1/2KR1B1R w - -,b2b3
R1b1r3/5pkp/2B3p1/8/5P2/6P1/3r3P/1R5K b - -,e8d8
r2qkbnr/ppp1pppp/2n5/8/2pPP1b1/5N2/PP3PPP/RNBQKB1R w KQkq -,d4d5:f1c4
8/p2kp1r1/1p1p2r1/5p1p/PbP2P2/1P3KP1/4RB1P/3R4 w - -,d1d5
8/1prnk1p1/p3p2p/2p1p3/4Pr1P/5N2/1PPR1PP1/3R1K2 w - -,d1e1
r5k1/4r1b1/p4n2/2p5/6QP/N1N4R/PP6/1K1R4 b - -,f6g4
5k2/8/4np2/1p2pNpp/1Pp1P3/2P1KPPP/8/8 w - -,e3f2
5r1k/pp4b1/5q1p/6p1/3n2P1/3Q1P2/PP4P1/1K1RR3 w - -,d1d2
r4rk1/p1p2ppp/1p6/3qp3/2b5/P4PP1/1PQB1R1P/R5K1 w - -,d2b4
r1r5/1p2kbpp/p3p3/n3p3/P7/2N2P2/1PK1B1PP/3R3R w - -,e2d3
1r4k1/5ppb/p3P2p/2Pp1P2/4q2P/6b1/P4Q2/3B1RK1 w - -,f2g3
r1bqk2r/pp2ppb1/2pp1n1p/6p1/2PP4/2N1PNP1/PPQ2PP1/2KR1B1R w kq -,e3e4
1r3rk1/p2b1pbp/3p2p1/4p1PP/1p1n1P2/8/PPP2QB1/2KR3R w - -,g2e4
8/5R1k/5P1p/3K1P2/6r1/8/8/8 b - -,h7g8
1r1r2k1/2q2pp1/p3pb1p/3P4/1P3P2/Q1p1B1P1/3R2BP/3N3K w - -,d2d3
