8/8/7k/p1p5/P1P2K2/1p1B4/3n4/8 b - -,b3b2
8/p7/5pk1/5p1p/R7/6r1/8/5K2 w - -,a4a7
r1b1r1k1/1p1n2bp/p2q2p1/2p1p3/2P1Pp2/BP3NPB/P4P1P/3R1RK1 w - -,d1d6
1rbq1rk1/6bp/6p1/1pp1Pp2/3n4/2NP4/1PP2QBP/R1B1R2K b - -,c8b7
8/4n3/1p2k1p1/p5P1/4BK2/R4P2/P2r4/8 w - -,a3b3
2Q5/5ppk/p6p/4P3/1r6/7P/2n3PK/8 w - -,c8c2
6r1/pp3ppk/2p1p2p/2Pn3P/2qB4/2P2Q2/PP3PP1/1K5R b - -,d5b4
5r1k/1p5p/p4Pp1/3p2P1/2q1p3/7P/PPP2Q2/2K2R2 w - -,f6f7
4n3/8/4p3/r1NbBk1p/5P2/8/2R2KPP/8 b - -,e8f6
2r3k1/3n1pp1/p3p2p/2BnP3/PP2N3/6P1/5P1P/R4K2 w - -,f2f4
r1b1q1k1/5ppp/p1B5/8/P7/2P5/1P3PPK/R2Q4 b - -,c8g4
3R4/7k/4K1b1/1p4p1/4N1p1/2P5/8/5r2 w - -,e4f6
1q5k/6rp/4Q3/2pP1Rp1/P7/8/1r3PPP/R5K1 w - -,g2g3
8/1p1Q1pk1/3R2p1/2p5/PpP5/2q2K2/6P1/8 w - -,d6d3
8/pp1b2bk/6pp/2p1p2n/1PPpP2P/P2P1qP1/3BR2K/4Q3 w - -,b4c5
1R6/1b2k3/8/8/4P1pp/2N2prP/PPP1BKP1/8 w - -,b8b7
2kn3r/p2b2p1/1p1b1q2/2p1p1N1/2PpPp2/P2P1N2/1PQB1P2/2K3R1 w - -,b2b4
5rk1/3nb1pp/3p4/1np1pP2/1p5P/1P1P1qP1/RBP1NPN1/4Q1K1 b - -,f8f5
r7/3r1pk1/1pqNb1p1/p2pPp1p/PP1Q1P2/2P4P/6PK/R1R5 w - -,b4b5
r1bq1rk1/1p2ppbp/2np1np1/p1p5/2P5/2NP1NP1/PP2PPBP/1RBQ1RK1 w - a6,a2a3
8/1bP2k1p/8/6B1/1K1N2p1/8/7P/8 w - -,b4c5
8/4knQ1/4ppp1/8/1qP3P1/1P6/1K3R2/8 b - -,f6f5
R7/P3k3/5p2/8/r5P1/6K1/8/8 w - -,a8h8
r2qr1k1/pp3ppp/5n2/3p4/8/1P1QbN2/1PP2PPP/R4RK1 w - -,f2e3
1r4k1/5pp1/4pnp1/1Nqp4/8/4P2Q/2P3PP/5RK1 w - -,b5d4
rn1qkb1r/1b3p1p/p2p1np1/4p3/Pp2P3/1N2BP2/1PPQ2PP/R2NKB1R b KQkq -,d6d5
6k1/1pp2p1p/r2p2p1/p2P4/8/PP1P4/5PPP/4R1K1 w - -,e1c1
r1b1qrk1/pp1n2pp/2n1pp2/b2pP3/3P1P1P/3B1NK1/PP4P1/R1BQ2NR w - -,g1h3
rn1qk2r/1p1nbppp/p1p1p3/3pP1N1/3P4/8/PPP1NPPP/R1BQ1RK1 w kq -,g5h3
r2qr1k1/pb2bppp/np3n2/3p4/Q2N1B2/2N3P1/PP2PPBP/2R1R1K1 b - -,a6c5
5r2/p3r1kp/npB3p1/8/4N3/P5P1/bP5P/2R1R1K1 w - -,e4c3
3q1rk1/1ppn1pp1/r1nbb2p/p3p3/N7/PN1PB1P1/1P2PPBP/2RQ1RK1 b - -,f8e8
4r2k/2pR2p1/p3nq1p/2P2p2/8/P4P2/5Q1P/6NK w - -,d7d2
3r4/4p3/Q2kP3/2qp2pp/8/7P/P1P3P1/4R2K b - -,d6c7
1r3rk1/3q2pp/pb1p4/1n1Pp3/1PR1P2P/2N2NP1/4Q1K1/4R3 w - -,c3b5
1q3rk1/5pbp/p5p1/8/8/P2Q2P1/bR1RPPBP/6K1 b - -,g7b2
2r2rk1/Q3p3/4Pq2/1p3p2/2p2N2/6PP/P4PK1/2R5 b - -,f8d8
8/8/3b4/2pPpk2/2P5/4BPP1/6K1/8 b - -,d6e7
r3kb1r/pp2pppp/2n1P3/q5B1/2P5/4Qp2/PP3PPP/R3KB1R w KQkq -,e3d2
2r2rk1/pb2b1pp/npp1p3/3pN2q/2PPp3/1P4P1/PB2PPBP/1QRR2K1 w - -,f2f3
2rq1rk1/pb5p/1pn1pbp1/3p4/Q2P2P1/2N1PN2/PP3RBP/R5K1 w - -,a1f1
8/2p1b2k/6pp/2pPpq2/P1R1N3/1r2P2P/6P1/2Q3K1 w - -,a4a5
rn1qkb1r/pp3pp1/2pppnb1/7p/3PP1PP/2N2N2/PPP1QP2/R1B1KB1R w KQkq h6,g4g5
r1bqkb1r/pp2pppp/2n2n2/2p5/3pP3/5NP1/PPPP1P1P/RNBQKB1R w KQkq -,d2d3
r5k1/1p3rp1/2p5/p1np2qN/P4p2/2P1bQPP/1PB5/R3R2K b - -,f4g3
8/1k2r1p1/7p/PP5P/1K4R1/8/6P1/8 w - -,a5a6
r3rbk1/pb1n1pp1/1p1p1q1p/3PPNN1/8/3Q3P/3B1PP1/R3R1K1 b - -,f6g6
1r4k1/4rp1p/R1pNb1p1/2P5/1p6/6P1/1P3P1P/4R1K1 b - -,e7c7
rnb1k2r/1p3ppp/p3p3/2q5/2PN2n1/1Q2B3/PP3PPP/R3KB1R w KQkq -,e1c1
r1b2rk1/pp2qp1p/5np1/2pB4/4P3/2P2N2/P2Q1PPP/R3R1K1 b - -,c8g4
3rr1k1/2qn1ppp/p3p3/2P5/2P3nP/RP4N1/2BQRPP1/6K1 b - -,g4f2
r1b4r/b3qpk1/p1n3p1/1p2p2p/4P1P1/5NN1/PPB2PP1/R1BQ1RK1 b - -,h5g4
r1b1r1k1/pp1nqpp1/2p4p/3p4/3Pn3/2NBP3/PPQ1NPPP/3R1RK1 b - -,d7f6
r1b2rk1/1p4p1/p3p1B1/3pN1Qp/2p2P1P/2q1K1P1/P1P5/3R3R w - -,e3f2
2r5/p3kpp1/1p2pn1p/2b1N3/2P2B2/1P1R1P1P/P3K1P1/8 b - -,e7e8
1rb1kn2/pp1p3p/2nP4/2p3N1/2B3P1/6B1/PPP2P1P/2KR4 b - -,f8g6
r1b2rk1/pp1n2pp/2n1pq2/3p4/3P4/3B1N2/PP1QNPPP/R3K2R w KQ -,e1g1
8/8/4k2p/1p3p2/1PbKpP2/4P3/6BP/8 w - -,h2h4
r1bqk2r/ppb3pp/2p2n2/2Ppnp2/8/1P2PNP1/P2N1PBP/R1BQ1RK1 b kq -,e8g8
8/8/3k1K2/8/4b3/8/4r3/3R4 b - -,e4d5
r1b1k2r/ppp1bppp/2p4q/8/3PP3/P1N1PQP1/1PP4P/R3KB1R w KQkq -,e1c1
r1bq1rk1/ppp1b1pp/2n1pn2/3p4/3P4/4NN2/PPP1BPPP/R1BQK2R w KQ -,e1g1
8/8/8/3b4/3rk3/R7/5K2/8 w - -,f2g3
r4rk1/p3b1p1/2p5/3b1p2/1p1N1Nn1/4B3/PPP3PP/1K1R3R w - -,f4d5
3Q4/8/8/3n4/6k1/6p1/2q5/4K3 b - -,c2c1
6k1/4np1p/p2q1bp1/3p4/QNrN4/P3P1P1/5P1P/3R2K1 w - -,d4e2
r4rk1/ppn1pp1p/3q2p1/3nN3/3P4/PQ1B4/1P3PPP/R2R2K1 b - -,c7e6
r1bqkbnr/pp4pp/3p4/2pNpp2/3nP2N/3P2P1/PPP2P1P/R1BQKB1R b KQkq -,f5e4
5k2/p1r5/2p3p1/2R1P2p/B2PK2P/6P1/P7/4b3 w - -,c5c6
3r1r2/p5k1/1ppq1ppp/4n3/5RPP/2P1Q3/1P6/1B3RK1 w - -,h4h5
1k6/1p3p1r/p5n1/3N4/4P1b1/1P6/P1P2R2/2K5 w - -,c1d2
rnbqk2r/ppp1ppbp/5np1/8/2pPP2P/2N2N2/PP3PP1/R1BQKB1R b KQkq e3,c7c5:e8g8
8/1R6/BBp2k2/P3p1p1/8/6n1/r7/4K3 b - -,f6f5
2k3rr/1n1q3p/2b1p3/pp1pPp2/2pP2P1/B1P1NQ1P/2P3RK/1R6 b - -,g8g5
r2qr1k1/1p3pbp/p2pbnp1/2p1n3/4PB2/1NN3PP/PPP2PB1/R1Q1R1K1 w - -,f4h6
3r1rk1/pp3pp1/1bp1n1np/5N2/8/2P1B2P/PPB2PP1/R2R2K1 b - -,b6e3
2br1b1k/5Q1p/2p1pP2/8/2q2P2/8/6PP/3R1R1K w - -,f7g7
6k1/1b3p2/p1q1p1p1/3n2Q1/5P2/3P1R2/1P4PK/R7 b - -,g8f8
1q6/6k1/4pp2/1pBp1n1Q/1P1P1p2/2P5/6P1/6K1 w - -,h5g4
6k1/8/5K2/8/p7/Bb6/2p5/2Rr4 w - -,f6g6
r7/7p/p3k1pb/1p1qp3/4Rn2/2P4P/PPQ2PP1/5RK1 w - -,f1e1
1k1r1r2/pp2q1np/1np2pp1/3p1b2/3P4/2NBP2P/PPQ2PPN/K2RR3 w - -,h2f3
3Q4/5ppk/2r4p/4p3/4q3/1P4R1/P4P1P/6K1 w - -,d8d1
r1b1k1nr/ppqn1pbp/2pp2p1/4p3/2BPP3/2N1BN2/PPPQ1PPP/2KR3R b kq -,h7h6
2r3k1/5p2/Q3p3/Pp2Pqpp/7P/1P4B1/2r2PP1/R5K1 w - -,a6b5
r2qr1k1/pp2bppp/2n1bn2/3p4/5B2/P1N1PN2/1P2BPPP/2RQ1RK1 w - -,h2h3
r1bqr1k1/pppn1pb1/3p1np1/4p2p/2PP4/2N1P1PP/PP2NPB1/R1BQ1RK1 w - h6,d1c2
r1b2r2/5p1k/2N4p/pp1QP1q1/5p1p/7P/PPP3P1/1R3R1K b - -,c8b7
2kr3r/pp1b4/2p5/3Ppp2/2P2B1P/8/PP2P1B1/R4RK1 w - -,f4g5
r1bq1rk1/p2p1ppp/1pn1pn2/2p5/2PP4/P1PBP3/2QB1PPP/R3K1NR b KQ -,c8a6
8/8/6k1/5pp1/5b2/1P1r1N1R/P5r1/5K2 w - -,f1g2
6k1/1p3p1p/pR2p1p1/6b1/b1rPP3/5P2/NB4PP/4K3 b - -,c4c2
r3rbk1/1bqn3p/pnNp1pp1/3P4/2p1PBP1/2N3QP/1PB2P2/R2R2K1 w - -,c6d4
r4rk1/1bq1ppbp/pp1p1np1/8/P2NPP2/2P5/1BBP2PP/R2Q1R1K w - -,d2d3
r2q1rk1/pp1n1pbp/3p2p1/3Ppn2/5P2/2P2N1P/PP4P1/RNBQR1K1 w - -,g2g4
1r3nk1/4nr1p/p2q1pp1/1bpPp3/1p2P1PP/3BQPN1/PP2N3/1K1R3R w - c6,d5c6
r2q1rk1/pp2nppp/2pbpn2/3p4/2PP4/1PN2PP1/PB2QPBP/R4RK1 b - -,a7a6
3r2k1/1p3pp1/4n2p/pNr5/P1PpPP2/1P3QPq/7P/3R1RK1 w - -,e4e5
6k1/5pp1/4n1qp/4p3/3rb3/1PR3QP/P4PP1/4RBK1 b - -,g6f6
8/2P1R3/2r2p1p/6p1/6k1/p2K2P1/P4P1P/8 b - -,g4h3
7r/5p2/1Bp1k3/p2pP2r/6Rb/1PP5/2K2P2/7R w - -,g4a4
4rqk1/2pr1p2/p5p1/1p1pPp2/3P3Q/2R5/PP3PPP/2R3K1 b - -,e8e6
2k2q2/pp1b1P2/4p2p/3p1B1P/2p5/P3Q3/2P5/3K1R2 b - -,e6f5
r1b1k1nr/1p1p1ppp/pqn1p3/8/1bP1P3/1NN1B3/PP3PPP/R2QKB1R b KQkq -,b6c7
r1bqk2r/pp4pp/2n1pn2/2bp4/5B2/2NB1N2/PPP2PPP/R2QK2R w KQkq -,d1e2:e1g1
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/1PN2N2/PB2PPPP/R2QKB1R b KQkq -,f8d6
r4rk1/pbpnqpbp/1p2pnp1/3p4/PPP5/3P1NP1/1B1NPPBP/R2Q1RK1 b - a3,f8d8
2b1r3/R4pbk/3p1q1p/1ppP2pP/2n1P1P1/5P2/1r2BNK1/2BQ3R b - -,b2b1
r2q1rk1/2nbbpnp/3p2pB/pppPp3/2P1P1P1/PP1B1N1P/2Q1KP2/3N2RR w - -,a3a4
6k1/1p1q4/4p3/1pPpp2p/1P1bP1p1/1R1B2PP/4RPK1/8 w - -,h3h4
rnbqkb1r/pp3ppp/4p2n/3pP3/1p1P4/5N2/P1P2PPP/RNBQKB1R w KQkq -,a2a3
1r1q1rk1/pb2b1p1/2n1p2p/5p2/2Pp4/1Q3N2/PP1N1PPP/1BR1R1K1 b - -,b7c8
rnb2rk1/ppqpb2p/4p1B1/7Q/2P5/PN2B1P1/1P3P1P/R4RK1 b - -,h7g6
r3r1k1/ppq1bppp/5nn1/3b4/3N4/1NB4P/PQ3PP1/R2R1BK1 b - -,a8c8
r1bqk2r/1p1nppbp/p1np2p1/3N2P1/4P3/1N2BQ1P/PPP2P2/2KR1B1R b kq -,b7b5
5k2/pp3pp1/4p2p/1PrpP3/r7/1RP2P2/P3R1PP/6K1 w - -,g1f2
r1b1kb1r/1p1p2pp/p1n1pq2/5pN1/1PP5/P2BB3/5PPP/R2Q1RK1 w kq -,g5f3
8/5p2/4k2p/4p2P/r3P1p1/2P3P1/3K4/4R3 w - -,e1b1
r1bq1rk1/pp3ppp/2n5/2bp4/4n3/P1N2NP1/1P2PPBP/R1BQ1RK1 w - -,d1c2:c3d5
1r3rk1/2q1p1b1/p1ppb1pp/4Pp1n/1P1P1P2/2N2N1P/2P3PK/R1B1QR2 w - -,f1f2
5r2/3qpk2/3pRbp1/2rP1p1p/1p3P1P/1B1Q4/PPP3P1/2KR4 w - -,g2g3
2rr2k1/1b2qpp1/p1nbp2p/1p6/1P2B3/P3PN2/1B3PPP/1Q1R1RK1 b - -,a6a5
8/5pk1/r2p2p1/3R4/1PP5/1K3P1P/r7/6R1 w - -,d5a5
2r2rk1/pb2q1pp/1p1n4/3p1PN1/2pP3P/3BPP2/PPQ5/1K1R3R w - -,d3f1
r1q2rk1/5ppp/pnN1pb2/3n4/3p1B2/5BP1/1PQ1PP1P/2RR2K1 w - -,c2b3
rnbqkbnr/1pp3pp/5p2/pP2p3/2Pp4/P2P1N2/4PPPP/RNBQKB1R b KQkq -,a5a4
rrb3k1/2qn1pbp/pp4p1/2pPp3/P3P3/2P1B2P/2QNBPP1/1R1R2K1 w - -,d2c4
5r2/7k/4Qrp1/7p/8/8/8/6K1 w - -,e6e7
8/p7/1p3N1k/8/2p1K2P/nP6/P7/8 w - -,b3c4
8/8/p4kpp/2r1pp2/1p1p1P1P/3P1K2/PPP1R3/8 b - -,a6a5
1B6/3k2p1/Bp1n3p/5p2/PPn5/7P/5PP1/6K1 w - -,b8d6
r1b2rk1/1p2qpb1/p2p1npp/P2P4/1P2PQ2/1B3N2/4NPPP/1RR3K1 w - -,e2g3
4R3/pp1r1k2/1np5/4Pr2/8/2N2P2/PP6/1K5R w - -,h1h8
3r2k1/pp5p/6p1/3p4/nP6/P4PN1/5KPP/3R4 w - -,g3e2
2r3k1/p4pp1/1p2p2p/8/3P4/nNr1P3/P4PPP/R4RK1 b - -,c3c2
4b3/pp3kpp/8/2Q5/2B5/P7/1q3PPP/6K1 b - -,f7g6
r1bqk2r/p3bppp/2n1p3/1p2P3/P1pP1B2/5N2/1P3PPP/RB1Q1RK1 b kq a3,b5b4
r1r3k1/3n1pp1/1q2pn1p/pB1p4/Pb1P4/1P2PNP1/1BR1QP1P/5RK1 b - -,b6d8
2r1r1k1/p6p/5pp1/1p3P2/2p3B1/P1R3N1/5RPP/6K1 b - -,c8d8
rn1q1rk1/1b2bppp/p2ppn2/1p6/3NP3/PBN5/1PP1QPPP/R1B2RK1 w - -,f2f3
r1b2rk1/pp1n1pp1/1q2p2R/3pP3/8/2NBP1P1/PP2QPP1/R3K3 b Q -,g7h6
5rbk/1r4bp/p1PP3q/3n1p2/1P1Np2P/PQ4P1/1B2N1B1/4R1K1 b - -,d5b4
3r1nk1/1qb3rp/ppb1p1pQ/2p1Pp1P/5P2/2N1BB1R/PPP3P1/3R3K b - -,d8d1
1r3rk1/ppn3pp/5p2/4pb2/1qPp1P2/1P1P2P1/P1N3BP/R3R1K1 w - -,c2b4
8/8/1p1r4/2p5/2P2k2/2K5/8/4R3 b - -,d6h6
1rbq1rk1/pp3pbp/6p1/2pnp3/3nP3/3PB1P1/PPPQN1BP/R4RK1 w - -,e4d5
2r2r1k/4p2p/p1p5/4R3/Nn3P2/2Pp3P/1P3RP1/6K1 b - -,b4d5
6r1/1K2k3/2B5/p2P1p1p/Pb3BpP/4P1P1/1P3P2/8 b - -,b4d6
r5k1/1b1r1p1p/1p2p1p1/n7/1BP5/2b2NP1/4PPBP/1R3RK1 b - -,c3b4
r4rk1/pp2qpbp/3p2p1/2p1p3/2P5/P2P2P1/1P2PPKP/R1BQ1R2 w - -,e2e4
4rr1k/1pqb2pp/p1nbpn2/2Np4/3P4/3BBN1P/PP3PP1/2RQ1RK1 b - -,d7c8
r4rk1/p1p1qppp/2pb1n2/3pNb2/3Pp3/PP2P3/1BP2PPP/RN1Q1RK1 w - -,e5c6
r1bqr1k1/ppp2pp1/2n4p/3p4/3PnB2/2PB1N2/P1Q2PPP/R4RK1 w - -,f1e1
3Q4/5pkp/p5p1/P7/1pP2P2/3p2P1/1q2r2P/3R2K1 w - -,d8d5
8/2p4k/1pP4p/3pbp2/8/3PBpP1/5K2/8 w - -,f2f3
6k1/4ppb1/1n1p3p/2pPnP2/1pP5/1P5P/5NP1/r1BB1RK1 w - -,c1f4
2r3k1/p1r2pp1/3qpb1p/1p6/3PQ3/3NP1P1/PP3PP1/2R2RK1 b - -,c7c1
5k2/1pp2p1p/1r3bp1/p2p4/P7/1P4PP/5P2/2RR2K1 w - -,c1c7
4bk2/1B2bp1p/p2n2p1/NpB1p3/1P2P3/P4P2/5KPP/8 b - -,f7f5
2k5/pp1r4/2p5/2P2QP1/3q3p/P3B2P/1P2R1Pb/5K2 b - -,d4c4
r1b1r1k1/pp1nqppp/2pb1n2/8/2PNN3/1P1B4/PBQ2PPP/R4RK1 b - -,d7e5
r5br/ppkn2p1/2p2n1p/2b1p1N1/2P5/PPN1P1PB/1B2K2P/R6R w - -,g5e6
2r2rk1/1b3ppp/p5n1/1p2n3/4p3/2B3N1/PPB2PPP/2R2RK1 w - -,c2e4
r1br2k1/p4pbp/6p1/1pp5/4nP2/1B3NP1/PP5P/R1B1K2R w KQ b6,f3e5
3bB3/p7/4pk1p/2p1n1p1/P2pP3/1P1P2P1/4K2P/3N4 w - -,d1f2
6k1/1Q3p1p/pN4p1/2pP4/5b2/6PP/q3rPK1/1R1Rr3 w - -,b7c8
4rrk1/p1q2p2/2pb2p1/1pNp4/1PnPB1bp/P1B1P3/5PPP/R1Q1RNK1 b - -,d5e4
r2qk2r/pb1nppbp/2p2np1/1p2P3/8/P1N1BN2/1PP1BPPP/R2Q1RK1 b kq -,f6g4
r7/1p2b1k1/5ppp/2p1p3/1nP1P3/NQ2P1P1/5P1P/6K1 b - -,a8d8
8/5bp1/4pk1p/8/8/2N3PP/R6r/6K1 b - -,h2h3
5rk1/1p4b1/1p1R2p1/1N4np/2P1pP2/1P6/P3B1K1/8 b - -,f8f4
8/8/7R/5p2/4pk2/8/1r4b1/R4K2 w - -,f1g1
r7/4pp2/1pk1n1pb/2p1P2p/2P4P/NR3NP1/1P2KP2/8 w - -,a3b5
rnbq1rk1/pp2ppbp/2p2np1/3p4/8/1P2PN2/PBPPBPPP/RN1Q1RK1 w - -,c2c4
5q1k/1pp1r1pp/p2n2n1/6Q1/3Npr2/2P4P/PPB2PP1/3RR1K1 w - -,e1e2
8/8/6pp/8/1r4BP/4k1P1/4P1K1/8 w - -,g4f3
3R4/3rq1kp/4pPp1/Q7/p4P2/P7/1PP5/K7 b - -,g7f6
r7/P7/8/k1p1p1p1/2K5/1R3P2/P5P1/8 b - -,a5a4
r7/3k4/3P2p1/7p/P1pR1P2/2K3P1/7P/8 w - -,d4c4
r1q3r1/1p2Bpbk/p2p2np/3P1N2/6Q1/2P5/PP3PP1/R3R1K1 b - -,g7c3
6r1/2p5/3b1k2/3Qp2p/2P1P1rP/6B1/PP3PP1/6K1 b - -,f6g7
5k2/4R2p/2q1p3/2p5/5K2/1P5P/2P5/3R4 w - -,e7h7
3rr1k1/qp1n1ppn/2p3b1/3pb2p/pP1N3N/P2PP1PB/3Q1P1P/B1R2RK1 b - -,h7f8
r1bqr1k1/1p3pbp/1npp1np1/4p3/1PPP4/2N1P1P1/4NPBP/1RBQ1RK1 w - -,c4c5
r3kb1r/ppp2pp1/2p1b1np/4P3/2P5/BP3N1P/P4PP1/RN1R2K1 w - -,a3f8
8/8/2K3k1/3R4/4Nb2/8/8/1r6 w - -,c6d7
8/8/3k4/2p1b1p1/2P2r2/5BK1/8/3R4 b - -,d6e7
8/6k1/6p1/6Pp/1r2BK1P/8/8/8 w - -,f4f3
r1b2rk1/pp2qpp1/2pn1n2/3p3p/PP1P4/2NBPPN1/6PP/1RQ1R1K1 b - -,h5h4
2r1r1k1/1q2pp1p/pp1pnnp1/8/PPP5/2N1NPP1/2RQP1KP/2R5 w - -,c3d5
2q1n1k1/2p1b1pp/1pNp4/2PP4/1P3r2/1QN5/4bPPP/5RK1 b - -,e2c4
1r1r2k1/2q1npbp/p3p1p1/8/Np3PP1/1P4NP/P1P3Q1/4RRK1 b - -,e7d5
r1q1kb1r/1p3ppp/p1n1pn2/1B2Nb2/3P4/2N5/PP3PPP/R1BQ1RK1 w kq -,b5a4
r1b1k2r/q4ppp/2np4/p1bNp1B1/2B1P3/2P2QP1/PR3P1P/4K2R b Kkq -,c8e6
5b2/7p/3pk1pP/3b1pP1/P4P2/2B5/P7/1K3B2 b - -,d5e4
1r3nk1/4qpp1/ppb1p2p/8/8/6P1/PP2PPBP/2RQ2K1 w - -,c1c6
2k5/7Q/p2p4/P2P4/1bq3p1/8/1B4P1/1K6 w - -,h7g8
r2r2k1/1pp1bp2/p5pp/3Pp3/1n2N3/6P1/PP2PPBP/R4RK1 w - -,e4c3
5k2/R5pp/8/8/prp2P2/4PKP1/6P1/8 w - -,f3e4
2rqr1k1/1b2bppp/p1n5/2Pp4/Q4B2/4PN2/P3BPPP/2RR2K1 b - -,d8a5
2kr3r/ppp2ppp/4b3/q3N3/1bP5/2NBP3/PPQ3PP/R4RK1 b - -,a5e5
r1r3k1/2p4p/p1Np4/Pp1Pppb1/1P6/N1Pn4/5PPP/R3R1K1 w - -,e1d1
r1bq1rk1/ppp2pb1/2np1npp/4p3/2P5/1PNP1NP1/PB2PPBP/R2Q1RK1 b - -,c8e6
8/3k4/1B4K1/P5P1/1n3r2/2R5/8/8 w - -,g6g7
8/1p3pk1/2pb2p1/P2p2P1/3PnP2/Pq2P1P1/4Q2K/4BN2 b - -,d6a3
1rb2rk1/p1nnbppp/1q2p3/3pP3/QP1p4/P1P2N2/3NBPPP/R1B2RK1 w - -,c3d4
1r1qr1k1/1pn3pp/5p2/p3p2b/1bPp4/1P1P1PP1/PB1N2BP/3RRQK1 w - -,a2a3
3R4/8/8/1kpP1p2/5P2/pP1P4/P2K4/r7 b - -,b5b6
2r1r1k1/5pp1/3p1b1p/3Q4/PR6/3pB1P1/4qP1P/5RK1 b - -,c8c2
4k2r/1bqnbppp/3p4/npp1pPB1/4P3/2PP1NPB/1P2QR1P/5NK1 b k -,e7g5
5rk1/pP1n2pp/1p2p3/6n1/3P3q/1PN1R3/PBQ3P1/3K1B2 w - -,c2d3
r2q1rk1/2p1bppp/p2pbn2/np1Np3/4P3/PB1P1N2/1PP2PPP/R1BQ1RK1 w - -,d5f6
8/2R3p1/5nk1/4qp2/8/5PB1/6PK/8 b - -,f5f4
2rkn3/1R4pp/p2P4/R1P1pp2/2K2PrP/4P1P1/3N4/8 w - -,c4d5
4r3/p2r1p2/3P1kp1/7p/5K2/1P6/P2R1P1P/3R4 w - -,h2h4
r1bqnbk1/5r1p/2pn1pp1/pp1p4/3P1BN1/P1NB3P/1PPQRPP1/4R1K1 b - -,c8g4
