8/p7/1b2B1k1/4Pp1p/3p4/5PK1/P1r5/8 w - -,e6b3
3b2k1/1n5p/3p2p1/3Pp3/1B2P3/2P2N1P/4K1P1/8 b - -,g8f7
r1bqkb1r/pp3ppp/2nppn2/1N6/2P1P3/8/PP3PPP/RNBQKB1R w KQkq -,b5c3:b1c3
2qr1rk1/pp3pp1/2npbb1p/4p3/4P2P/1NN3P1/PPPRQPB1/R5K1 b - h3,g7g5
8/4k1p1/r3P2p/7P/6P1/2K5/p7/R7 b - -,e7e6
1rbq1rk1/p2nppbp/3p4/2pP1p2/2B5/2N1P3/PPQ1NPPP/R4RK1 w - -,e2f4
8/k7/B7/K7/P7/1N6/8/6r1 w - -,b3d4
3r1r1k/2q3b1/pp1pR2p/PP1Q1P2/5P2/8/6BP/3R3K b - -,b6a5
r1b2rk1/5pb1/3Npp2/7Q/pnP1P3/5N2/1P3PPP/3B1K2 b - -,b4d3
r1r3k1/1bq1bppp/3pp1P1/7P/2n1P3/1N3P2/PP4Q1/1KBR1B1R b - -,e7f6
r1bqkbr1/ppp1pp1Q/1n3p2/8/2pP4/2N1P3/PP3PPP/R3KBNR b KQq -,g8g6
8/8/3rk1p1/5p2/3R1P2/6K1/8/8 w - -,d4a4
2rr4/5p1k/p2P1Qn1/1p3qp1/1Pn1N3/1R3PP1/4B2P/1K1R4 b - -,f5f6
8/1pk5/2p2n2/8/3K1P2/5B2/8/8 b - -,c7d6
r2r2k1/pp3pbp/1qp3p1/3n4/8/4P1PP/PPQ1BP2/1RBR2K1 b - -,d5c7
2r3k1/3R1p1p/1p2p3/5p2/8/2P3P1/2P2P1P/6K1 w - -,d7b7
r2q1rk1/pp2ppbp/2np1np1/5b2/2P5/2NQ1NP1/PP2PPBP/R1B2RK1 w - -,e2e4
6k1/2BR2p1/2r1p3/1r6/4PK2/5P2/8/8 b - -,b5b7
2b2rk1/5p2/p5p1/2R4p/4N3/1P1Q3P/6P1/q6K w - -,h1h2
1r6/2pk4/R2b2p1/4p3/1r6/4B1PK/2R1PP2/8 w - -,a6a2
8/4k1p1/2p5/4K1P1/2P5/8/8/8 b - -,e7d7
r6r/pp1bkppp/2n1pn2/2b5/2N5/1P3NP1/P3PPBP/R1B2RK1 b - -,a8c8
r1r3k1/5p1p/2p1bnp1/p1P5/2Rp1B2/1P3PP1/4P1BP/R5K1 w - -,c4a4
8/8/5pk1/5p1p/R5n1/4b1P1/6KP/8 w - -,a4b4
8/p1r1k2p/2p3p1/1p2p3/1Pn1PnP1/PKN4P/2P5/3R2N1 w - -,h3h4
2r1k2r/pp3ppp/4p3/2b5/5B2/P1P5/1P3PPP/R4RK1 b k -,e8e7
r2q1rk1/1b1nbppp/pp1ppn2/8/2P1P3/1NN5/PPQ1BPPP/R1BR2K1 w - -,a2a4
k7/B4p2/KP2p3/3pPn2/3P1P2/8/8/7q b - -,h1f1
2r5/P4kpp/5p2/8/8/P2R3P/5PP1/6K1 w - -,d3d7
5n2/1p1k1p2/p6p/3p4/5K1P/2PN1P2/PP6/8 b - -,f8g6
2r1r3/4kp2/p3b1p1/1p2PnNp/3P1R1P/P1P5/2BK4/5R2 b - -,c8c4
2r1r1k1/2qb1pbp/3p1np1/1pnP4/4P3/2N2N1P/1PB2PPK/R1B1RQ2 b - -,b5b4
8/2R5/8/2p1rk2/6p1/4K3/8/8 w - -,e3f2
r1b2rk1/2q1bppp/p1p2n2/1p2pP2/2P1P3/2N3P1/PP2Q1BP/R1B2RK1 b - -,e7c5
8/1B6/3nbk1p/4p3/6p1/6P1/3N1K2/8 w - -,b7a6
r5k1/pNqpb2p/1pn1p1p1/8/1P3r2/2PB4/P2Q1PPP/R4RK1 w - -,d3a6
r1b4r/p1kn1ppp/1pp1p3/4P3/2P2B1P/2P5/P4PP1/2KR1B1R b - h3,c8b7
3r1rk1/1p1nbpp1/2p1p2p/q3N2P/p1PP2P1/4BP2/PP2Q3/1K1R3R w - -,e5d3
1k1r1b1r/pp3q1p/2n1b3/1N4p1/P3Qp2/4N1P1/4PPBP/R1R3K1 b - -,f4e3
8/8/3kp1p1/3n1p2/3N3P/3P1PP1/1R2P3/r3K3 w - -,e1f2
6k1/p4ppp/2p1p3/8/Q2PP3/P5P1/4RK1P/1rq5 w - -,d4d5
3bb1k1/pp3ppp/4p3/8/2r2N2/4P3/PP3PPP/1B1R3K b - -,d8f6
2rqrbk1/1bp2ppp/p2p1n2/4n3/P3P3/2PB1N1P/2QN1PP1/R1B1R1K1 w - -,f3e5
4r1k1/p1rn2pp/4p1q1/PPpb1p2/8/Q3PP2/1B3RPP/2R2BK1 w - -,g1h1
3r1rk1/pp1q1pp1/2p1p3/5PBp/3P2nP/2P2Q2/PP2R1P1/1K1R4 b - -,d8e8
r1bqk2r/ppp2pbp/3pn1pn/1P2p3/2P5/2N1P1P1/P2PNPBP/1RBQK2R b Kkq -,e8g8
8/p5p1/3b1p2/8/1PrpkP2/3R4/P2B3P/7K w - -,d3g3
r2q1rk1/bpp2ppp/p1np1n2/5b2/2PP4/P1N3PP/1P2NPB1/R1BQK2R w KQ -,g3g4
8/8/8/8/p5p1/Pp4Pk/r7/1R4K1 b - -,h3g3
r1b1k2r/pp1nbpp1/1n1qp2p/8/8/1BPpQN2/PP3PPP/RNBR2K1 b kq -,d7c5
8/2k5/p6p/Ppp5/2pbBp2/6P1/r7/3R1K2 w - -,g3f4
1r4k1/3pqrpp/5n2/2n5/2P1p3/2b3P1/R2NPPBP/2BQ1RK1 w - -,e2e3
r2q1rk1/1p2bppp/3pbn2/p3p3/Pn2P3/1NN2B1P/1PP2PP1/R1BQ1RK1 w - -,c1g5
r4rk1/1b1nppb1/6pp/p2Pp3/2q5/2N1Q1PP/1B2PPB1/R1R3K1 w - -,c3a4
2k2n1r/5qb1/3N2p1/Q1p1p1Pp/7P/3B4/1PP3b1/2K5 b - -,c8d7
1rb1kb1r/2q2ppp/p2ppn2/4n3/1p1NP1P1/4BP2/PPP1NQ1P/1K1R1B1R b k -,e5c4
2r2rk1/4bp2/p2p2p1/1p1Pn1Pp/2qB3P/2N4Q/PPP3R1/2KR4 b - -,f8d8
3n1nk1/1p2b1p1/1q2p2p/3pP3/pPrP3P/P2Q1N2/1B3RP1/R5K1 w - -,a1f1
r4rk1/p5pp/2p2b2/5p2/1P2p3/P3P1P1/2Q2P1P/5RK1 b - b3,a8c8
3q1r1k/1rp1b1p1/b6p/p2pP3/Pn1P4/1BR2N1P/3Q1P1N/1R4K1 w - -,b1c1
8/1kn5/3RpBpp/4P3/8/8/1P4r1/1K6 w - -,f6d8
r4r1k/pppq2bp/2np1np1/4p3/2Q1P3/2N1BBPP/PPP2PK1/R4R2 b - -,d7f7
3k4/1p4pp/2p1bp2/pP6/P3Pp2/2P5/2B2P1N/6K1 w - -,b5c6
6k1/p1p2qpp/2p3r1/3n1r2/3BRP2/1P1P1Q2/P4P1P/6RK w - -,g1e1
8/p6p/5p2/3k1N1P/p2P1KP1/8/1P3P2/1b6 b - -,d5c4
r1bqk2r/1pbn1ppp/p1p1pn2/3pN3/P2P1B2/2PBPN2/1P3PPP/R2QK2R b KQkq -,e8g8
1r1qkb1r/pp3p1p/2n1p1p1/3p4/3P4/2P2B1P/P1P2PP1/1RBQ1RK1 w k -,c1f4
r2q1rk1/pp1bppbp/3p1np1/4n3/3NP3/1BN1BP2/PPPQ2PP/R4RK1 b - -,a8c8
r2q1rk1/pb1n1ppp/1p1bp3/3PN3/3PnP2/1P1B4/PB1N2PP/R2Q1RK1 b - -,e6d5
r1bq1rk1/1pp1bppp/p1n1pn2/2Pp4/3P4/P1N1PN2/1PQ2PPP/R1B1KB1R w KQ -,f1d3
6k1/p4pp1/3q4/2p5/2Pp2Pp/P4P1P/1R2R1K1/8 w - -,g2f1
r1q1k2r/pp2bppp/2n1pn2/3p1b2/8/1QNP1NP1/PP2PPBP/R1B2RK1 w kq -,c1f4
r1qnrbk1/1pp2pp1/7p/p2Pp3/4N3/P3B1Pb/1PQ1PPBP/2R1R1K1 b - -,h3g2
4r1k1/3q2p1/1Q5p/3P1p2/bP2nB1P/6P1/4P1BK/4R3 w - -,b6d4
5Rk1/5p1p/2N2bp1/1r1q4/2QP4/6P1/5P1P/4R1K1 b - -,g8f8
4n1k1/5p1p/r2p4/2pPq1p1/1r2P3/2N4P/1P2QPP1/1R4K1 w - -,e2a6
r1b1k2r/4bp1p/p1p5/2q2p1Q/3Np3/2N2P2/PPP4P/2KR3R b kq -,e4f3
r2qr1k1/2n2pbp/3pp1p1/2pP4/ppP1PP1P/1P1B1NQ1/P5P1/1R2R2K w - -,f4f5
r3kr2/2pbqnpp/8/p2Pp1P1/2P2p1P/5N2/P2QBP2/R3K2R w KQq -,e1g1
8/5ppk/5bp1/3Q4/P7/5PKP/5P2/4rb2 w - -,d5f7
1k1r2r1/ppb2p2/5q2/2pPpb2/2B5/1QN1Pn2/PP3P2/K1BR3R w - -,d5d6
rnbq1rk1/pp2bppp/4p3/3n4/3P4/2NB1N2/PP3PPP/R1BQ1RK1 b - -,b7b6:d5f6:b8c6
8/8/6p1/3n3p/7P/3k1PP1/4NK2/8 w - -,e2g1
1r4k1/1rqn1pp1/1p1p3p/pR1Pp3/2P1P3/1Q2BPP1/7P/1R3BK1 b - -,b8a8
5k2/8/3p4/3P2Pn/1PR2p2/2p5/1rB2PK1/8 w - -,c2g6
r2q1r1k/pp3p1p/2p1pp2/5b2/2BP4/2P1RQ2/P1P2PPP/2R3K1 b - -,f8g8
r1b2r2/1pq2pkp/2pp1np1/p1n5/3NP3/2N2B2/PPP2PPP/R1Q2RK1 w - a6,a2a3
r2qk2r/2pbbppp/3p4/p1pPp3/2P1P3/2NB1N1P/PPQ2Pn1/2KR3R w kq -,h1g1
8/5rk1/bp5R/p3p1p1/p3Pp2/2P2PP1/5K2/2N5 w - -,h6b6
8/7p/2k5/5bB1/8/8/3NK3/2b5 w - -,e2f2
rn2k1nr/pb1pppbp/6p1/qppP4/4P3/2P2NP1/PP1N1P1P/R1BQKB1R b KQkq -,g8f6
r1bq1rk1/p3npbp/1pn3p1/4p1B1/3pP3/1N1P1NP1/PP1Q1PBP/2R2RK1 b - -,f7f6
r2q1r2/ppp2pk1/3p1p1p/1B2pP2/5n2/2PP1Q2/P1P2PPP/R4RK1 b - -,c7c6
r1bq1rk1/p2nbppp/1pp1pn2/3p4/2PP4/1PNBPN2/P1Q2PPP/R1B1K2R w KQ -,e1g1
4k2r/2p2q2/1p1p1r2/pP1Pp2p/P1P5/6R1/3Q3R/6K1 b - -,h8f8
1QQb1r1k/p5qp/8/3B4/1P6/6P1/P4PK1/2R5 b - -,f8f2
8/8/3k4/8/3P4/8/8/K7 b - -,d6d5
2b2rk1/4ppb1/1n1p2qp/2pP2p1/4N3/1P3NP1/rBQ2PBP/2R2RK1 w - -,c1b1
8/4k1K1/7p/7p/1n5P/pB6/2P5/8 b - -,b4c2
4rk2/p1R1np1p/1p4p1/6P1/5P1P/P4B2/5PK1/8 b - -,e7f5
8/5kp1/4p3/r7/Pp2p3/8/1PK5/R7 w - -,c2b3
2Q2nk1/5pp1/4p1qp/p2P4/4R3/P4PP1/7P/6K1 w - -,d5d6
r3k1r1/pppbq2p/2n1pp2/bB1p1n2/3P1B2/P1N2N2/1PP2PPP/R2QR1K1 b q -,e7g7
8/p4kpp/3qp3/2p2p2/2P2P2/1P3QP1/P3R2P/1K1r4 w - -,b1b2
r7/5ppk/p1r4p/2P5/2R1P3/7P/6PK/R7 w - -,a1a5
3bbk2/8/3N1p2/1ppNp2B/2p1P3/2P2PK1/1P6/8 b - -,e8h5
rnbqr1k1/p4pbp/3p2p1/1NpP4/4n3/3B1N1P/PP3PP1/R1BQR1K1 b - -,a7a6:e4f6
8/1b3k1p/p5p1/1p3p2/1b1B4/1P3PN1/P5PP/6K1 w - -,g3e2
8/4kp2/p1p5/1pp1PKP1/1bP5/1P6/P7/6B1 w - -,g1f2
6k1/2qnp1bp/pr4p1/Q1ppP3/6B1/1P1P4/PB4PP/R6K b - -,g7e5
4r2k/p1p3pp/4P3/5r2/5p2/BB5P/P4PP1/2R3K1 b - -,c7c5
r3kb1r/pb1p2pp/1pn1pn2/4Np1q/2PP4/2N2PP1/PP2B2P/R1BQ1RK1 w kq -,c1e3
r2q1rk1/1p1n1pbp/2ppbnp1/p3p1N1/2P5/P1NP2PP/1P2PPB1/1RBQ1RK1 b - -,d8e7
8/p3r1k1/1p3b2/1Pp2pp1/2P5/P1PR2P1/3B4/5K2 b - -,g7g6
r1bqr1k1/1p3pp1/p2p1n1p/b1p5/4P2N/2PQ3P/P1BB1PP1/3RR1K1 b - -,c8e6
r1bqkb1r/p1nppp1p/2p3p1/2p1P3/2PP4/5N2/PP3PPP/RNBQ1RK1 b kq d3,c5d4
r3k1nr/pb2q1pp/2p1pp2/1p6/n1pP4/2P1P1Q1/3NBPPP/R1B1K2R w KQkq -,d2c4
r2r2k1/pp1q1pp1/5n1p/P1P2n2/3PpNb1/N5P1/1Q3PBP/R3R1K1 w - -,d4d5
4k3/R4p2/4n1p1/4P2p/6PP/5K2/8/8 b - -,h5g4
r3q1k1/ppp2r2/5npb/2PPN3/1P2P2P/8/P3Q1KP/R4R2 w - -,e5f7
r3k2r/1bq1bppp/p2ppn2/8/1p2PP2/1N1PBQN1/PP4PP/1K1R3R b kq -,a6a5
3r1k2/2R2p1p/p1brpp2/1p6/3PPP2/P3K1PB/7P/3R4 b - f3,c6e8
R7/6bk/1p4p1/2p1p1qP/2Pr4/1R1P4/4QPKP/8 w - -,g2f1
1r5k/6p1/4b2p/4q3/7P/P5P1/1P2PQB1/R5K1 b - -,b8b2
r3k2r/pp1qbppp/2n1pn2/2p5/Q7/2N3P1/PP1PPPBP/R1B2RK1 b kq -,a8c8
2r1k2r/3n1ppp/1q2p3/1pb5/3N2n1/1QN1P1P1/1P3PKP/R1B2R2 b k -,b5b4
1r5k/1q4pp/5n2/p3p3/Bb2b3/1N6/PP3B1P/K2RQ3 w - -,e1g1
k2r4/1p1qb3/p1p2p2/P3n3/8/1RQ2PPp/1PB2B1P/6K1 b - -,e7d6
r1b4r/3p3p/p1k1pp2/1p2nB2/3B1P2/8/PPP3PP/2KR3R b - f3,e6f5
2r3k1/6p1/4p3/4R2P/7P/2p5/5PK1/8 w - -,e5e1
rn1q1rk1/1pp2pp1/p2b1n1p/7b/2BP2P1/P1N2N1P/1P3P2/R1BQR1K1 b - g3,h5g6
rn2kb1r/pp1nqpp1/P1p1p3/4N2p/2PP4/5Q2/1P3PPP/RNB2RK1 b kq -,d7e5
2rr1k2/p3bp2/2p2np1/2N1B3/3P4/1P3RPQ/2R2PKP/3q4 b - -,f6h5
7r/8/p4k2/4p3/1Pbb3N/P1p3P1/2B2P2/1R2K3 b - -,e5e4
r2r2k1/ppq1bpp1/2n1bn1p/2p1p3/P1N1P3/2P3P1/1P1NQPBP/R1B2RK1 w - -,f2f4
r1bqkb1r/1p1n1ppp/p1p5/2Ppp3/3P4/2N2NP1/PP2PPP1/R2QKB1R w KQkq e6,e2e3
8/4Rpk1/1p1r3p/p4qpQ/3p4/P4NP1/2r2PPK/8 b - -,c2f2
r3r1k1/5p1p/2Qb2p1/5p2/7q/4P1N1/PP3PPP/1K2R2R b - -,d6e5
1r1n2k1/2b3q1/4p3/1r3p2/1P1Pp1PP/P7/5R2/2Q1RNK1 b - -,b8c8
8/5ppp/p1nkp3/1p6/3PPPP1/3NK3/P6P/8 b - -,a6a5
rn2k1nr/1bqp1ppp/p3p3/1pb5/3NP3/2N5/PPP1BPPP/R1BQR1K1 w kq -,c1e3
3r1rk1/1bp2pbp/1p3np1/pBq1p3/P3P3/2P2N1P/1P1N1PP1/RQ2R1K1 w - -,b5f1
rnbq1rk1/pp1pp1bp/6p1/2pP4/2P1N3/8/PP3PPP/R1BQKB1R b KQ -,d8c7
3r2k1/1p3p1p/p5p1/1NP1p3/1Q2Pq2/2P2P1P/P5P1/R2r1RK1 b - -,d1d2
r1r3k1/pb3p1p/1p4p1/7n/8/1NP1B3/P1P2PPP/R4RK1 w - -,a2a4
8/r4Pk1/3K2p1/2P3Np/7P/p7/P7/8 b - -,a7b7
8/6pk/3bp2p/5p2/2RPn3/4PN1P/5PP1/3qB1K1 w - -,h3h4
7k/8/5n1p/6p1/1pN2bP1/1P1r1R1P/6K1/8 b - -,d3d4
5r1k/1bq4p/1np3p1/1p3p2/3P4/1Q1BP1P1/3N1P1P/2R3K1 b - -,c7d6
2r2rk1/pp1bb1pp/1q2pp2/3pP3/3P1PP1/3BB3/PP2Q2P/R4R1K w - -,e5f6
2r2k2/p2R4/1p4p1/4Pp1p/P1p4q/2Nn1PP1/7P/3QR1K1 b - -,h4g5
2b1r3/1p2r3/pR2pkp1/P1PRN2p/3P1P1P/2P1K3/8/8 b - -,f6f5
6k1/R4p1p/2N1p1p1/P2n4/5P2/6P1/r6P/6K1 b - -,d5e3
5k2/3R4/2PNp3/4P3/1K4p1/6P1/8/2r5 b - -,c1c6
r2q1rk1/pp3pbp/2n3p1/2p5/Q2nP1b1/2N1B1PP/PP1N1PB1/R4RK1 b - -,b7b5
r2q1rk1/bp4pp/p1n3n1/3p1p2/8/1N1Q1NB1/PPP2PPP/R4RK1 w - f6,h2h3
r1b2rk1/1p4b1/p2p1qp1/6Np/2nN2BP/4B1R1/PP2QPP1/R5K1 b - -,c4e3
5rk1/p1pq1rbp/3pb1p1/1p1Bp3/1PPn1P2/P1NP2PP/R6K/2BQ1R2 b - -,c7c6
r4rk1/p2n1pp1/4pb1p/q1p5/1p1PQN2/4P3/PP1B1P1P/R3K1R1 w Q -,a2a3
r6k/6pp/4p3/1bp2pq1/1p1P1Q2/1B1RPP1P/1P2N1P1/6K1 b - -,g5f4
5k2/5pp1/2p3rp/1p6/n2PP1P1/R4PB1/7P/6K1 w - -,a3b3
Q7/2p2pkp/p2qr3/1p4B1/2np4/1B5P/PP3P2/R6K w - -,a1g1
8/3b1k2/1N1b1p2/p7/3PP2K/2N5/8/8 b - -,d6b4
