8/8/3n4/6kp/6p1/4K1P1/8/4N3 b - -,g5f5
3b2k1/1p3r1p/p1p1n1r1/2Pp2pn/1P1Ppp2/4P1PP/1PN2PBK/3RB2R w - -,d1a1
3r1qk1/1p2pp1p/2rp2p1/1Nn1bP2/p1P1P1BB/Pn2Q2P/1PR3P1/5R1K w - -,h4g5
rn1qk2r/p3nppp/2b1p3/1B6/3PN3/1Q2P3/5PPP/RN3RK1 b kq -,e8g8
rn1qkb1r/pp2pppp/2p2nb1/8/3P4/2P3NN/PP3PPP/R1BQKB1R b KQkq -,e7e6
r5k1/5r2/3R2pp/4p3/P2p4/3P2P1/4PP1P/R5K1 b - -,g8g7
r1b2rk1/p3n3/7p/1Pp1np2/N1Ppp3/6PN/P3BP1P/3RR1K1 w - -,a4c5
r3r1k1/p1q1bpp1/1pp1b1np/4p3/N1P1P3/1P1BBN1P/PQ3PP1/2R3K1 w - -,d3f1
2r4r/3k2pp/p1p5/2Pp1p1n/1P1Pp3/2B3P1/P1NP1P1P/R5K1 b - -,f5f4
6k1/1R4p1/1p2p2p/4N3/3rn3/7P/P4PP1/6K1 b - -,d4d1
r4rk1/pbq1bppp/1p1ppn2/8/1PPQP3/P1N5/1B2BPPP/2R2RK1 b - -,f8d8
1r1r1bk1/2q2p1p/1p1p2p1/p1nQp2P/2P5/1P2P1P1/P4PB1/1R1RB1K1 b - -,c5d7
r2qk1nr/pbpp1ppp/1p2p3/8/2PPP3/2bQ1N2/PP1B1PPP/R3K2R w KQkq -,d2c3
8/5p2/4p3/4P1p1/7p/kr2RP1P/2r1NKP1/8 w - -,e3e4
5rk1/p2n3p/3p2p1/2pP4/3b3q/4B1PP/PP2QK2/4R2R w - -,f2g2
4kb1r/3n1ppp/p1p2n2/3q1p2/3P4/4P2P/P1R1BPP1/3Q1RK1 w k -,e2a6
2rqk2r/pp3ppp/2nb1n2/3p1b2/1P6/P3PN2/1B2BPPP/RN1Q1RK1 b k -,e8g8
r2r2k1/p4p1p/1p1q2p1/n2PN3/3Q4/8/P4PPP/1R1R2K1 w - -,e5g4
r2q1rk1/pp2bppp/2n1bn2/2ppp3/Q7/P1PP1NP1/1P1NPPBP/R1B2RK1 b - -,d8a5
5b2/6rk/2R1R1p1/1q1p3p/pp1P4/6P1/P1Q2P1P/6K1 b - -,b4b3
6r1/5R2/p1kpPP2/8/1pPbK3/1P6/P6P/8 b - -,d4f6
3r4/5pp1/p1k1p3/2p1P1Pp/4RP2/7P/P1P5/2K5 w - -,h3h4
8/6p1/3nP2p/2k5/2p3PP/2p1PB2/1r2K3/3R4 w - -,e2e1
6k1/6p1/pP5p/P4r2/8/2R2bP1/5P1P/6K1 w - -,g3g4
5qrk/1p3rp1/p2p1p1p/2p2P1P/4PQ2/P2P4/1PP3R1/1K4R1 w - -,g2f2
2r1k2r/1p1n1pb1/p3p1pp/q1ppPn2/3P1P2/1PP2N2/PB1QN1PP/R4R1K b k -,c5d4
2rr2k1/2qn1ppp/1p1bpn2/pQ1pN3/P2P1P2/1PP3N1/3BR1PP/R5K1 w - -,b5d3
r1br2k1/1pq1bppp/p7/2pB4/Pn2P3/5N1P/1P2QPP1/R1BR2K1 b - -,b4d5
r3r1k1/pb2qpbp/1pp3p1/3p4/PP1Pn3/3BPN2/2QB1PPP/1R3RK1 w - -,f1c1
6k1/8/3N2p1/3KP2p/3N4/8/8/3r4 b - -,h5h4
8/6K1/4k2P/6B1/8/8/4R3/1b5r b - -,e6d5
r1bqk2r/1pp2pp1/2nppn1p/p7/1bPP4/2N2N2/PPQBPPPP/R3KB1R w KQkq a6,a2a3
1r1q1rk1/pb1n1pbp/1p1pp1pB/2p5/1PPnP3/P1NP2PP/5PBK/1RQ1NR2 w - -,h6g7
8/8/5nk1/5ppp/8/5K2/8/4R3 b - -,g5g4
2rr4/4kp1Q/4p3/5p2/p1q5/P1p5/6BP/5RK1 w - -,h7g7
2r3k1/r4ppp/4pn2/p2pN2b/3P4/bBP3B1/P4PPP/1R2R2K b - -,c8c3
1r1q2k1/p2b2bp/1p3Rp1/2pPp3/2P5/3PB3/PP2Q1BP/R5K1 b - -,d8f6
r2qnrk1/pp4b1/3p2pp/2pPnp2/2P5/2N1B3/PP2BPPP/R2QR1K1 w - f6,f2f4
3r2k1/p3bpp1/8/2prP3/2p2P2/4B3/P4KPP/R3R3 w - -,a1c1
3r3r/4n3/p1kp3p/1P2p1p1/1P2Pp2/2N4P/2PR2P1/3R2K1 b - -,a6b5
R7/4kp2/1pn1p3/8/2PPN2P/5r2/3K1P2/8 b - -,f7f5
r3kb1r/1pp1pppp/p1nq1n2/8/3P2b1/2N2NP1/PPP1BP1P/R1BQK2R w KQkq -,c1f4
5rk1/ppq2ppb/4pn1p/2b1N3/PPB1PP1B/2N5/2n3PP/3RQ2K w - -,e1g3
8/2R2ppk/p6p/r7/8/4P1P1/5PKP/8 b - -,h7g6
2B4k/r5bp/3P2p1/8/1p3n2/7P/P4PQ1/5R1K w - -,g2e4
3qrnk1/1b2bppp/p3pn2/1pr3B1/4P3/P1N2N2/1PQ2PPP/1BRR2K1 b - -,d8c7
1r2q1k1/1pp3bp/p2p2p1/3Pp3/2PnP3/4BRP1/PP1QN2P/6K1 w - -,f3f1
r1bq1rk1/1p1n1pbp/p2p2p1/2pP4/P3PP2/2N2N2/1P4PP/R1BQ1RK1 b - a3,f8e8
r1b1nr2/p4pbk/2pp2pp/q3p3/Np1PP1PP/1P2BN2/1PPQ1P2/1K1R2R1 b - -,e8c7
1R3nk1/1p3rp1/p1p3b1/2B5/6P1/1P2N1K1/1PP2P2/8 b - -,g6e4
2r2rk1/1p2b1p1/pqb1p2p/3pPp2/4nB2/P1N1P3/1P2QPPP/1BRR2K1 w - f6,e5f6
rn2kb1r/pb1pp1pp/5n2/qp1P1p2/2pQ1B2/2P2N2/PP1NPPPP/R3KB1R w KQkq -,f4b8
r1q2r2/1pp3pk/2nb1n1p/p2Np3/4P1bN/1Q2B1P1/PP3PBP/R3R1K1 b - -,g7g6
rn2k2r/1pq2ppp/p4n2/4pP2/1b1B4/2N2P2/PPPQ2PP/2KR1B1R b kq -,e5d4
4rrk1/pp1n2pp/2pbp3/5p1q/2PP3Q/2B2N2/PP3PPP/R2R2K1 b - -,h5h4
r1bq1rk1/pp1n1pbp/2pp1np1/4p3/P2PP1P1/2N1B2P/1PP1NPB1/R2QK2R b KQ a3,a7a5
r4rk1/pppq1ppp/4p1b1/6Q1/2PPp3/PP4P1/1B2PP1P/R3K2R w KQ -,h2h4
Q5k1/p4pp1/4r1qp/1B6/1P4rP/P3P2b/1B3RP1/6K1 b - -,g8h7
2r1kb2/2qb1pp1/2npp3/p5P1/1p1NPP2/4B3/PPPQ2B1/2K4R w k -,d4b5
r2q1rk1/pbpnbppp/1p6/3p4/3PnB2/2N2NP1/PP2PPBP/R2QR1K1 w - -,d1c2
2r3r1/p3kp2/1pb1p3/4P3/2p2PP1/P1P2n2/1R1B1K1P/5BR1 w - -,g1g3
5q2/p7/1b2n1pk/8/4P3/5RPP/P1R3K1/5B2 b - -,f8d6
5nk1/2r2ppp/p3p3/8/8/5NP1/4BP1P/3R2K1 w - -,e2a6
r7/r1nq1pk1/n1p1pbp1/2Pp3p/Pp1P1P1P/3BB1P1/1R2QPK1/R1N5 w - -,a1b1
8/4p3/8/3k4/1P1P2B1/4K1P1/1r6/8 w - -,g4f3
r2qkb1r/1p2nppb/p1n1p2p/3pP3/2pP3N/PPN1B1P1/2P2PBP/R2Q1RK1 b kq -,c4b3
3r4/pp4k1/2n4p/2P1p2P/8/P1PbB3/6P1/2KB3R b - -,c6a5
r2qrbk1/1bp2pp1/p4n1p/1p1pP3/8/P1P2N1P/1PB2PP1/R1BQR1K1 b - -,f6e4
6k1/8/4P1p1/p3bpq1/8/3Q2P1/1P4K1/5B2 b - -,f5f4
k1r4r/p1q2pb1/P1b1p2p/3pP3/3P1P2/1RPQ4/3N1PB1/R5K1 b - -,h8g8
2r2nk1/5qp1/4p2p/pp1pPr1P/2nP1P2/5N2/2P3PQ/R1BK3R b - -,f7c7
r2q1rk1/3n1ppp/p3p3/2b1P3/2p5/2N3P1/1P1NQPbP/R4RK1 w - -,g1g2
8/8/1K6/p2q1p2/1k6/1P6/8/2Q5 w - -,c1e1:c1a1
4r3/2p4k/1p1pNp1p/p2P4/P1P2prB/2P5/6PP/4R2K w - -,g2g3
r2qk2r/pppnbpp1/4pn2/3p1b1p/P4P2/2P1PN2/1P1PB1PP/RNBQ1RK1 w kq h6,b1a3
r2qk2r/pppb1ppp/2np1n2/2b1p3/4P3/1BPP1N1P/PP3PP1/RNBQK2R b KQkq -,h7h6
5rk1/2r3bp/p2q2p1/1pNp1pP1/1P1PnP1P/P4R2/1B4Q1/5RK1 b - h3,f8e8
r4rk1/ppp2q1p/4b1p1/4b1B1/2P1Q3/1P3BP1/P4P1P/R4RK1 b - -,e5a1
r1r3n1/1knq1pNR/2pB1b2/ppPp1Pp1/3P4/PP2P2B/3K2Q1/5R2 w - -,g7e6
8/5p2/8/P1Rk4/1B3pr1/3pr3/K5P1/8 b - -,d5d4
r2q1rk1/pp2ppbp/1n3np1/3P1b2/2B5/1QNP2N1/PP3PPP/R1B2RK1 b - -,a8c8
6Q1/kp6/pqbp4/4b3/7P/2P1N3/P5N1/5RK1 b - -,c6g2
3q1r2/1pb1r2k/3pNp1p/pB2pPpP/P2n2P1/1PQ2P1K/8/3R1R2 b - -,d4e6
6k1/pp2r2p/3p4/N1pP1p2/b1P5/3RB1P1/1b3K2/8 w - -,e3f4
3k4/2r5/1Q1p2p1/3Nq1b1/4P1bP/3P4/PP2n1B1/R4RK1 w - -,g1h1
r2q1rk1/1p1b1pb1/3p1npp/p1p3N1/PnP1P3/2N3PP/1P3PB1/R1BQ1RK1 w - -,g5f3
r3kb1r/1b3p2/pqnppn1p/1p4p1/4P3/P1NB1NB1/1PPQ1PPP/R3R1K1 b kq -,f6h5
b2rrbk1/5ppp/Nqn5/1P2p3/8/P2p2P1/1B2QPBP/2RR2K1 w - -,e2d2
4Q3/2p5/p3n2r/4p1b1/4P1Pk/7P/P5K1/8 b - -,c7c5
5rk1/p1r2pb1/q1n1p1p1/1p1pP2p/1PnP4/P1RQB1P1/5PBP/N3R1K1 w - -,e1c1
r1b1k2r/pp1p1ppp/2n1p3/qNb1P3/2P2P2/8/P1PB2PP/R2QKB1R b KQkq -,a5d8
r1bq1rk1/pp2ppbp/2n3p1/3n4/3p4/1P1P1NP1/PB1NPPBP/2RQ1RK1 b - -,d8d7
rnbqk2r/ppp1ppbp/6p1/8/Q2PP3/5N2/PP3PPP/R1B1KB1R b KQkq -,c8d7
2rr2k1/p4p1p/2p1bp2/q7/1bpPP3/2N3P1/P1Q2PBP/2RR2K1 b - e3,g8g7
2r2rk1/1pq1bppp/p2pp3/4n3/2P1P3/1PN3R1/PB2QPPP/R5K1 b - -,e5g6
r2qnrk1/n2bbppp/p2p4/1ppPp3/4P3/1PP2N1P/P1BN1PP1/R1BQR1K1 w - -,d2f1
r4r1k/pp3qbp/2p5/P2pp1p1/5n2/1QN1B2P/1PPR1PPN/3R2K1 w - -,e3f4
r3nrk1/pp1bq2p/4p3/2p1Ppp1/1bP5/1P5P/PBQNBPP1/3R1K1R b - -,e8g7
2b1n3/Q1p1qk1p/1p1p2p1/3P1p2/1PPBpP2/4P1PP/4B1K1/8 b - -,h7h5
3r4/5qkB/p4p2/P7/1pnpPP1Q/3R4/1P4PP/6K1 b - -,c4e3
r5k1/1p1n2pp/2p1p1b1/p1P1P3/5r2/PP5P/1B2PPK1/R1R2N2 b - -,a8b8
4rkn1/r4pp1/3q4/p3p1P1/Pp1pQ3/1B1P1R1P/1P3P2/2R3K1 b - -,d6d8
2r5/8/1pb1P2p/p4k1P/P1p1pNp1/4P3/5PP1/2R3K1 w - -,c1c4
1r1b4/1p3rkp/p2q2p1/P1pPp3/2P3B1/4Q2P/5PP1/R2R2K1 w - -,g4e6
5k1Q/5b2/4q1p1/Pp6/5pN1/4p2P/6P1/7K b - -,f8e7
6k1/5p2/3p2p1/1p1P4/3N3p/8/1P2KP2/3B3r w - -,d1c2
4k2n/7P/1p3Kp1/p1pB2P1/P1P5/8/8/8 b - -,e8f8
8/1p1k4/p1ppNnp1/3Pp3/1PP1Pr1p/5R1P/P5P1/6K1 b - -,f4f3
6k1/p4p2/3r2p1/1p1P4/1Pp4p/2P1rPpP/P5P1/4RK2 w - -,e1e3
1b1rr1k1/1p2qpp1/pP6/P7/Q3P2p/4pPPb/1B2B2P/3RR1K1 w - -,g3g4
2r3k1/pp3ppp/2r1p3/3pPn2/1q1P1P2/1P1Q3P/PB4P1/3RN1K1 w - -,g2g4
8/1Q1n2B1/5p2/6p1/8/1kq3P1/p4P2/3K4 b - -,c3b4:b3a3
5r1k/5p1p/p5p1/3P4/3Pp2P/1P6/q4P2/3QK1R1 b - -,a2a5
4r3/1p1bk1p1/p3p3/P1PpPpNp/3P4/4P1K1/6P1/R7 b - -,h5h4
3r4/pb3pk1/1p3qpp/3p4/3Nn3/3BP2P/PP2QPP1/3R2K1 w - -,d1c1
r3r2k/7p/6p1/3p4/3q1P2/1P2R1PP/P3Q3/4R1K1 w - -,a2a4
r3r1k1/pp1q1pb1/3p1np1/2p1n1Bp/4P1P1/1N3B1P/PPP2P2/R2QR1K1 w - h6,g5f6
b1q1r2k/2r3pp/p1pbp3/1pNn1p2/1P1P1PPB/P2QPB2/2R4P/6RK w - -,h4g3
4R3/r7/5k2/1p6/7P/PP6/1K6/8 b - -,a7b7
2r3r1/1p6/p3pk2/3pNp2/P2Pn1p1/2P3P1/1P3P2/R3R1K1 w - -,g1g2
2r2r2/pp4p1/5kb1/3P4/4p3/1K2P3/PP1N1P1R/7R w - -,d2b1
8/2kp4/8/8/1q3rNR/4P1P1/5P1K/8 w - -,g3f4
r2qk2r/5p1p/p1pbb3/2ppp3/5P2/2N1P3/PPP1N1PP/R2Q1RK1 w kq -,f4f5
3r2k1/1p3ppp/q4B2/p1p5/P1b1P3/3r2P1/1PQ3BP/R4RK1 b - -,g7f6
r1b1qr1k/1p2b1np/1npp1ppB/p3p3/P2PP3/2N2N1P/BPPQ1PP1/3RR2K w - -,f3h2
8/5pk1/6n1/R6p/2P5/p1r1nN2/P5K1/8 w - -,g2f2
8/p7/8/1P4pk/b3P2p/8/P4K1B/8 w - -,h2b8
r5k1/1b4pp/4q3/1pPp1p2/4pP2/2Q1P1P1/6BP/2R3K1 w - -,c5c6
4r1k1/pp1br2p/3p1p1b/P1qP4/2PQPpn1/2N2N2/5PBP/1R1R2K1 b - -,c5d4
8/3B1pk1/pp6/2p1P2p/8/P3P3/1P1RKPb1/r7 w - -,f2f4
r1bqk2r/ppp3pp/2n2n2/3ppPB1/1b1P4/2N2N2/PPP2PPP/R2QKB1R b KQkq -,e5e4
rnbqk2r/ppp1npbp/3pp1p1/8/3PP3/2N1B3/PPPQ1PPP/R3KBNR w KQkq -,f2f3
3Q4/5pk1/1p2p1pp/n1b5/8/q4BNP/5PP1/6K1 b - -,a3a1
r3r1k1/5ppp/p3b3/1p2Pp2/q4P2/P3n1Q1/1PPRB1PP/3R3K w - -,g3e3
1RB3k1/2r2p1p/4p1p1/3p4/P7/2n5/5PPP/5K2 b - -,g8g7
4rk2/1p3p2/2p3P1/1p1n3p/3N4/2PR1KP1/PP6/8 b - -,f7g6
1r6/2pq1pk1/3pbp2/2r5/2PQBP2/1p2R1P1/P4P1P/3R2K1 w - -,d4c5
1rbq1rk1/4bppp/p1np1n2/1p2p3/4P3/2N1N1P1/PPP2PBP/R1BQK2R w KQ -,a2a3:e1g1
8/p1k3p1/1r1np2p/1p6/2p2PPP/P1P1PB2/1K6/R7 b - -,a7a5
rnb1k2r/1p2b1pp/p2pp3/2q5/3NP1n1/2NQB3/PPP3PP/R3KB1R w KQkq -,e3g1
8/1Q3pk1/6p1/7p/1p6/4PKPP/3q4/8 b - -,d2c3
2krr3/1b1pn1pp/npp2q2/p2P1p2/P1P5/2N2N2/1PBQ1PPP/R3R1K1 w - -,a1d1
5rk1/5pp1/p3p2p/3nP3/r7/8/PR1B1PPP/5RK1 w - -,f2f4
2r1r1k1/2q2pp1/1pbpp2p/8/p1PbP3/P1RQ1P2/1P4PP/3R1BK1 w - -,d3d4
8/8/4n3/B5p1/4kp2/7P/5K2/8 b - -,e6c5
r4rk1/1pn1q1bp/p3p1p1/P1p5/5P2/2PB1R1P/2PQ1BP1/R5K1 b - -,c7d5
r3k2r/pp1bnpb1/6p1/2B1p3/1P2P1Pp/2qP4/P4NBP/R2Q1RK1 w kq -,d1f3
r2q1rk1/1p3ppb/2p1p2p/p1b5/P3p3/2PP2P1/1P2QPBP/R1B2RK1 w - -,d3e4
r2q1bk1/5p1p/bp1p2p1/p2P1n2/P4P2/2N1B2P/1P1N2P1/R2Q2K1 w - -,e3f2
1r5k/p4pp1/7p/3pP3/P4rN1/8/2R4K/6R1 b - -,f4a4
3r4/bpN2k1p/8/2PNr1p1/1P6/3R2P1/5PK1/8 w - -,d3f3
r2qr1k1/pb1n1pb1/1pp2np1/2Pp3p/1P1P4/2N1PBP1/P1QB2NP/1R1R2K1 b - -,f6h7
2rq1rk1/1b2ppbp/pp4p1/1B1Pn3/3BPP2/8/P3N1PP/2RQ1RK1 b - f3,e5g4
2R5/B5bk/2B3p1/3P3p/6n1/6P1/1r3P1P/6K1 b - -,b2a2
6k1/3n2pp/8/8/1p1P3P/p4KP1/rpN2P2/1R6 w - -,f3e3
2kr1b1r/pppbq1pp/2nn1p2/8/3N4/2N1B3/PPPQ1PPP/R3KB1R w KQ -,e1c1
8/6p1/1k1r1p1p/1pR4P/1P6/2P2K2/5PP1/8 w - -,g2g3
1r2b1k1/n1r1qpbp/1p2p2p/pP1pP3/3P4/PRNB1N2/3Q1PPP/5RK1 b - -,b8c8
1r1q1rk1/2n1bppp/1n1p4/2pPp3/4P3/3B1NPP/1PQB1PK1/R3R3 b - -,f7f5
r3brk1/pp1q2pp/2p1pn2/2Pp1p2/3P1P2/2N1PB2/PP3P1P/R2QK2R w KQ -,b2b4
