8/5pkp/2b2p2/4p3/8/4P2P/3N1PPK/8 w - -,h2g3
r1k2b1r/pppn1ppp/4bn2/4p1B1/4P3/P1N2N2/1PP2PPP/2KR1B1R b - -,c7c6
r1bq1rk1/p4ppp/2p2n2/3N4/3P4/5N2/2P1QPPP/R3R1K1 w - -,d5e7
6k1/8/4p3/p2b4/P1r3Kp/8/8/8 w - -,g4h3
1n1qkb1r/rp1n1ppp/p3p1N1/2p5/2BP2P1/1QN1P2P/PP1B1P2/R3K2R b KQk -,h7g6
1r1q3k/2p2rp1/2np1nRp/1p6/3P3N/pPPQ3P/P4P1B/2K3R1 b - -,c6e7
r3r1k1/5pp1/p2p1q1p/1ppP1P2/4N1PP/P4pQ1/1PP2P2/2KR2R1 b - -,e8e4
8/8/p7/P2b4/1k6/4K2p/7N/8 b - -,b4a5
r4rk1/1p1bppbp/pqnp1np1/8/2PN4/1PN1P1P1/PB3PBP/R2Q1RK1 w - -,h2h3
3r4/4kpp1/3R3p/1p6/8/8/1P4PP/5BK1 w - -,d6d8
rn3rk1/pb2q1bp/1p2p1p1/2p5/2B1P1Q1/2N5/PP3PPP/R1B2RK1 b - -,b7c8
rnbq1rk1/ppp3pp/4pb2/3p1p2/2PPn3/5NP1/PPQNPPBP/R1B2RK1 w - d6,a1b1
2nb4/1p5k/2b1qn1p/pN1p1pp1/P2PpP2/BP2P1PP/5Q1K/1N3B2 b - -,c8e7
r4rk1/3nppb1/2qp1npp/1pp3B1/3P4/2P1P2P/1PNNQPP1/R4RK1 w - -,g5h4
8/6k1/5p1p/3B1R2/6P1/5PK1/8/6q1 w - -,g3f4
r1b2rk1/1pb2pp1/p4q1p/8/2BRQ3/1P3N1P/P4PP1/5RK1 w - -,f1d1
3r1kr1/3npp1p/p2p2p1/3P2P1/2PQ1P2/qP3R1P/P1B5/3R3K w - -,c2b1
4r1k1/1p4p1/p6p/3p3r/6qP/6B1/PPPQ1P1K/6R1 w - -,g1g2
r2q1rk1/pppnp1bp/3p2p1/n2P1P2/2P5/2N1B2P/PP1Q1PP1/R3KB1R b KQ -,g6f5
r1b1k2r/pp1ppp1p/2n2np1/q7/4P3/2N2N2/PPPQ1PPP/R3KB1R b KQkq -,d7d6
r3rbk1/1p1n1b1p/1qpp1pp1/p1n5/2P1PP2/1PN5/P1NQ1BPP/3RRBK1 b - -,b6c7
4r1k1/p4r1p/2p5/1p6/3qp3/1P2RpPP/P4P2/4QBK1 w - -,e1c1
5k2/3R4/r7/5BK1/5P2/8/8/8 b - -,a6a4
1n1b2k1/2r2ppp/p7/P3N3/1p6/1B6/1P3PPP/R5K1 b - -,d8f6
7k/6p1/6qp/p2QP3/P2P3R/8/2r2nNK/8 w - -,d5f3
6k1/3R1p1p/3N1rp1/8/8/1n4PP/1b3P2/4R1K1 w - -,e1b1
1r2r1k1/2p5/3p1npp/p1pN4/2P2Pp1/1P1RPK1P/P1R5/8 w - -,h3g4
r2q1rk1/1bp2ppp/ppn1pb2/3P4/3P4/1QN1PN2/PP2BPPP/R4RK1 b - -,c6a5
r4rk1/pp2ppbp/2nq2p1/2pnNb2/5P2/2PPB1P1/PPQ3BP/RN3R1K w - -,e3g1
r1bqr1k1/4bpp1/p3pn1p/1pn5/1P3B2/P1N1PN1P/2Q1BPP1/2R1K2R b K b3,c5b7
7k/R3p3/3p4/2pPn2p/2P1q2P/4Q3/1P2K1P1/8 b - -,e4c4
r1b1k2r/ppqn1ppp/2p1p1n1/4P1N1/2B5/P1B5/1P2QPPP/3R1RK1 b kq -,d7b6
4b3/5nkp/3q1p2/1p2pP2/1Pp1P2P/2P1QBK1/5N2/8 b - -,e8c6
8/pp3ppk/2p1p2p/4P2P/5B2/bP1q1P2/P1P3P1/1K6 w - -,c2d3
8/R3n1k1/8/7R/4r2p/7K/6P1/8 b - -,e4e3
8/p2k1p2/6pp/2p1Pb2/2B2P1P/P1P1K3/5P2/8 b - -,d7e7
5n2/5p2/5k1p/1R3P2/4K2P/8/8/8 b - -,f8d7
2r3k1/2q2pp1/p3p2p/1p1n4/3P4/P4N2/1P2QPPP/3R2K1 w - -,g2g3
r4rk1/1p2bppp/1qppbn2/p1n2N2/P3P3/2N2Q1P/BPP2PP1/R1B1R1K1 b - -,f8e8
r5k1/pp3p2/n1p3p1/4r2n/2P1P3/2N2P1b/PPN4P/4RBRK b - -,h5f4
1rbrn1k1/3qppbp/pB1p2p1/1p1NP3/5P2/4Q2P/PPP1B1P1/3R1RK1 b - -,c8b7
r2qk2r/pp1n1ppp/2p1pn2/3p4/1bPP4/2NBPQ1P/PP3PP1/R1B2RK1 b kq -,e8g8
8/6k1/6p1/4p1P1/7P/5R2/5P1K/6r1 b - -,g1g4
r2R2k1/Np2npbp/4n1p1/4p3/4P3/4BN2/PP3PPP/R5K1 b - -,a8d8
4q1k1/6p1/1p6/2r2R2/6p1/P4Q2/1P3P1P/1K6 w - -,f3b3
2r3k1/p4pp1/4pP1p/q2pP3/1prNn1P1/4Q3/PPP4P/1K1R3R b - -,a5c7
r2r2k1/1p1n1ppp/1q2nb2/pN1p4/B2p4/P3PP2/1P1B2PP/1R1QR1K1 w - -,e3d4
r2q1rk1/pbpnbpp1/1p2pn1p/3P4/3P3B/2N1PN2/PP2BPPP/2RQK2R b K -,e6d5
1rbq1rk1/1p5p/p2p2p1/n1pPnp2/P7/1PQ1P1PP/3NNPB1/R4RK1 b - -,d8b6
r1bk3r/pp1n3p/3p2p1/1Bpp4/4KP2/2P2N2/P4q1P/R1BQ1R2 w - -,e4d5
r1b1k1nr/ppppqpbp/2n3p1/3Np3/2P5/4PN2/PP1PBPPP/R1BQK2R b KQkq -,e7d8
r3k2r/pppq1p1p/3pb1p1/4b1Pn/4P3/2N1B2P/PPPQ1PB1/R3K2R w KQkq -,e1c1
8/kbp3pp/p2b4/1p6/8/2P4r/PP2R1PB/R6K w - -,a1d1
3r4/1p2bp1k/p1p3pn/P1P3q1/2R4p/4Q2P/2BrN1P1/2R3K1 w - -,e2f4
rn3rk1/ppp2ppp/3q1n2/3p4/3P2b1/5N1P/PPP1BPP1/RN1Q1RK1 b - -,g4f3
r2r1k2/6p1/1pB1pp1p/2b1B3/Pp2n3/4P2P/1P3PP1/2RR1K2 w - -,c6e4
4r1k1/1p3pbp/p2p2p1/7q/P4P2/2PQBnP1/5K1P/2NR1R2 w - -,d3d5
6k1/2Q4p/8/3q4/P1p3p1/6P1/5rP1/2R3K1 w - -,c7c4
8/4b3/R4nk1/1rppp1p1/2N5/5PB1/1P4PP/6K1 w - -,c4e5
2r4k/p3q1p1/7p/1pr2p2/5P2/Q3P3/P4P1P/2RR2K1 w - -,c1c5
5k2/4n1b1/Q1p3p1/5pP1/p2r1P2/4K1P1/8/8 b - -,d4e4
r2qkb1r/1p1B1p1p/p3p1p1/n2n4/Q2P4/2N2N2/PP3PPP/R1B1K2R b KQkq -,d8d7
8/4R3/6k1/4Kb2/8/8/8/8 w - -,e7a7
r5k1/pp2r1bp/5pp1/3Rp3/4P3/4B1P1/PP3P1P/3R2K1 b - -,g7f8
8/8/5pkp/1R1K2b1/8/8/6P1/8 w - -,d5e6
8/8/4kb1p/8/2N1p1K1/7P/1PR2PP1/4r3 b - -,f6d4
r1b2rk1/pp3ppp/3q4/1B1pp3/1n2n3/1PQ1PN2/PB1P1PPP/R3K2R w KQ -,c3e5
R4nk1/6b1/3p4/P7/2Ppr2P/5NpK/3B4/8 w - -,a5a6
rnbq1rk1/p1p1ppbp/6p1/1P1n4/2BP4/2N2N2/PP3PPP/R1BQK2R b KQ -,d5b6
1qr2rk1/1b1n1pbp/pp1pp1p1/4n3/1PP1P3/1N2BP2/PN2Q1PP/1BR2RK1 w - -,f1d1
1b4k1/6p1/2p2p2/P1p2P2/2Pp3r/8/R2B1K2/8 w - -,a2b2
b2q1rk1/r2nbppp/1p2p3/pBp5/P1N5/2P1P2P/1P3PPB/R2Q1RK1 b - -,d7f6
r1bq3r/2pn1pbk/1p1p2p1/p2Pp2n/2P1P2P/2N1BP1N/PP1QB3/2K3RR b - -,d7f6
r4r2/p3q1bk/1pb1p1np/5p2/1BP1N3/P5PP/2Q3BK/1R3R2 b - -,e7c7
3b4/8/1Pp5/p2k3p/P7/5K2/6N1/8 w - -,g2f4
2R5/1p3rk1/p2p3p/P2Pb1p1/4p1P1/q6P/2Q2BK1/8 b - -,a3f3
5k2/1p1b1p2/1r3p1p/3p4/p2P3N/P7/2PK1PPP/4R3 w - -,h2h3
2r2rk1/1bq2pp1/pp2p2p/3n4/2R5/P1N1P3/1PQ1BPPP/2R3K1 b - -,c7e5
2r2rk1/1p1n2pb/p1p1pq1p/P1Pp4/3P1PPb/4B3/1P1NB2P/R2Q1RK1 b - -,f6g6
2rr2k1/1b2qpp1/p3pb1p/1p1p4/1P6/PR1QP1PP/2P1NPB1/5RK1 b - -,c8c4
1nkr1b1r/1pp2p2/p5b1/1P1P2pp/Q1PN1p2/1N5P/P4P2/5RK1 b - -,g5g4
rnbq1rk1/1p1n1pbp/p1pp2p1/8/2PP4/2N1BP2/PP1Q2PP/2KR1BNR b - -,b7b5
r2q1rk1/pb1nBpp1/1p5p/2pp4/3Pn3/2N1PN2/PP3PPP/1BRQ1RK1 b - -,d8e7
6r1/8/p5r1/3P4/1P2k3/P2R2Pp/7K/5R2 w - -,f1d1
8/7p/p5p1/3Pp3/2N1P3/6k1/2r5/5K2 w - -,c4e5
r1b3k1/pp1n1rp1/2nbpq1p/3p4/3P4/5NN1/PPB2PPP/R1BQ1RK1 w - -,f1e1:g3h5
3B4/8/4k1p1/2p5/1bPpK1P1/1P6/2P5/8 w - -,d8c7
r2qk2r/1b1p2pp/p1n1pn2/1pb5/P6Q/2PB1N2/1P3PPP/RNB2RK1 b kq a3,b5b4
8/pp5p/3k1p2/5P2/2BK3n/1P6/P7/8 w - -,d4e4
8/8/8/7p/r7/5k2/p7/K4R2 b - -,f3g2
3r1bk1/p2r1p1p/1p3P2/2p2pP1/8/1nP1B1NP/1P2K1B1/R7 w - -,a1e1
2rqr1k1/1b2ppbp/1p1p2p1/pNnNn3/P1P1PP2/1P2B3/4B1PP/1R1RQ2K b - -,b7d5
r5k1/pp1np1bp/2p5/2Pp1r2/1P1P1B2/2P1PN2/5P2/R3K2R w KQ -,e1e2
5r1k/1p1q2b1/3p2p1/2pPp1Pp/3nP2P/pP2BpR1/P2Q1P1K/2R5 w - -,c1e1
r2qr1k1/6bp/4bpp1/1pp5/4P3/PPpP1N2/Q1K2PP1/4RB1R w - -,d3d4
3r2k1/1q4pp/p1rBp3/1pR1Pp2/3Pb3/1P6/P3Q1PP/5RK1 w - -,f1c1
8/8/5P2/2Q5/P4PK1/8/2pb4/3k4 b - -,c2c1q
rn3rk1/pp1b4/5Bpp/2PP4/5R2/2P1P1P1/P5BP/2K3Nn b - -,g6g5
2r2r2/6k1/7p/P1pqp1p1/2Qb4/1P3P2/3B2PP/1R3R1K b - -,d5c4
1r4k1/7p/1Pb3p1/2B1b3/6n1/3R2NP/R4PP1/6K1 b - -,g4h6
2Q3k1/2n1p3/3p2p1/P1pP4/8/6r1/6PP/2q2BK1 b - -,g8g7
r1bqr1k1/4bpp1/p1np1n1p/1p6/3pP3/5N1P/PPB2PP1/R1BQRNK1 w - -,f3d4
4r3/pp4p1/2p4p/5k2/3p4/P2P2P1/1P2PP1P/4R1K1 w - -,e2e4
r3r1k1/pp1nqpbp/n2p2p1/2pP4/2P1NP2/P2B1Q1P/1P4P1/R1B2RK1 w - -,a1b1
r3kb1r/pp1n1p2/2p2pbp/3p4/3P4/2N1PN2/PP3PPP/R3KB1R w KQkq -,f3h4
3Q1B2/pk2n2p/2p1qpp1/4p3/1P6/2P5/1K3P1P/8 b - -,e7c8
b1q1r1k1/R2n1pb1/4p1pp/2p5/1pPpP3/1P1P1PB1/3N2PP/Q4NK1 b - -,d7e5
2r5/3b1pk1/p3p1pp/1p2P3/4pPq1/P1P1Q2R/1P4PP/5RK1 w - -,f4f5
r1b1r1k1/1p2qpbp/2pp1np1/p1n5/2PNP3/1PN1B1PP/P1Q2PB1/R3R1K1 w - -,a1d1
3q2k1/1n2rp2/1pQp2p1/1N2N2p/1rP2P2/6P1/6BP/3R2K1 w - -,g2d5
r2qb1k1/ppp1nrbp/n2p4/3Pp1p1/PP2Pp2/2NN1P2/4BBPP/2RQ1RK1 w - -,c3b5
r2q4/1p1b1kbn/n1pp2rp/3Pp1p1/pPP1P1P1/P1N1BPN1/2K1B2R/R2Q4 w - -,g3f5
r2qr3/pp4k1/5p1p/4P1pQ/2Pnb3/P1N3B1/1P4PP/R5K1 w - -,c3e4
3R4/5k2/p7/2P5/2P1p3/P2p3P/4pK2/8 w - -,c5c6
4k2r/1p2bppp/2r1p3/3nP3/3N1n2/P7/3N1PPP/R1B1R1K1 b k -,c6a6
rnb4r/ppp2k2/3p3p/3n2p1/2B2p2/2P2N2/P1P3PP/R1B2RK1 b - -,c8e6
r3r1k1/1bq2ppp/np1p1n2/p2Pp3/2P1P3/RPQ3P1/2NN1PBP/5RK1 w - -,f1b1
r1br2k1/ppq1bp2/2n1p1p1/6Np/3P3P/B1P5/2Q2PP1/RB2R1K1 b - -,e7f6
r2r2k1/ppp2ppp/2b1q3/6Q1/8/2P5/PPP2PPP/R1B2RK1 w - -,c1f4
rnb2rk1/pp3pp1/4p2n/3pP2P/2pP1Q2/P1P5/2qBBP2/R3K1NR w KQ -,g1f3
r3k2r/pp2qppp/2p2n2/3pn3/1bP5/1P1BPN2/PBQ1KPPP/R6R b kq -,e5f3
2B5/p7/P2k4/8/8/3p4/P1K5/8 w - -,c2d3
1rbq1rk1/2p1ppbp/p1np2pB/3P4/1p1P4/3B1N1P/PPPQ1PP1/2KR3R b - -,b4b3
2b2rk1/p4p1p/2pq1np1/3p4/1r6/1PNB1Q1P/P1P2PP1/R3R1K1 w - -,c3e2
2kr1b1r/pp3ppp/2n1bn2/4p3/8/1N2NP2/PPPB2PP/R3KB1R b KQ -,f8e7
4R3/8/5pk1/R5pp/1p6/1Pb3P1/6KP/1r6 w - -,e8g8
r3k2r/2qbbppp/p1n1p3/1p1pP3/1PnP1P1P/P2B1N2/3BN1P1/R2Q1RK1 w kq -,d3c4
3r3k/4Q1p1/7p/1p6/p2q4/P4P2/1P2R1KP/8 b - -,h8h7
4rr1k/1q2bpNp/p1b1pn2/2p1N3/2P1PP2/2B5/1P2Q1PP/4RR1K b - -,h8g7
6k1/5p2/4p1pB/4P3/1r6/5KP1/4PP2/8 b - -,g8h7
r1bqk1nr/1p1nppbp/p2p2p1/2p5/4P3/2PB1N2/PP1P1PPP/RNBQ1RK1 w kq -,d3c2
rnbqk2r/1p3ppp/p1pBpn2/3p4/P1PP4/2N2N2/1P2PPPP/R2QKB1R b KQkq -,d8d6
5k2/5pp1/2b4p/P7/3rP3/1B1p1K1P/2nN2P1/3R4 w - -,d1c1
4r1k1/1p2qpbp/2p1n1p1/2n1p3/1P2P3/P3BNPP/2QR1PB1/6K1 b - b3,c5d7
r2B4/pp1b1kpQ/1nnpp1r1/8/3P4/P7/1P3PPP/RN3RK1 b - -,a8d8
7k/5p1p/pp1p1Pp1/3N4/P1Ppr3/4b2P/1P4P1/3R3K w - -,g2g3
7k/pp4p1/1nb2r1p/7Q/4r3/8/PPB3qP/1K1R3R w - -,h1g1
r1bq1rk1/ppp1bppp/1n6/3n4/3P4/1BN2N1P/PP3PP1/R1BQ1RK1 w - -,d1d3
r4k2/p3Rbp1/B4n1p/8/5N1P/6P1/5K2/8 w - -,e7c7
r3qrk1/1pp3p1/p1nbbnPp/P2p1p2/1P1Pp3/2P1P3/3NNPBP/R1BQK2R w KQ -,h1g1
r2r2k1/ppb4p/1np1bq2/5P2/8/P2BN1P1/1PQ4P/R1BR2K1 b - -,e6f7
rnb1qrk1/ppp1p1bp/3p1np1/5p2/2PP4/1PN1PN2/PBQ2PPP/R3KB1R b KQ -,c7c6
3r3k/3P2p1/p6p/P2NQ3/1b2p2q/7P/4R2K/8 b - -,b4a5
3rkr2/ppq1bp1Q/2p2p1B/4p3/2n3B1/7P/PP3PP1/3RR1K1 w - -,d1d8
8/5K1p/4PQpk/1q6/1p6/7P/8/8 b - -,b4b3
r4rk1/1b1nb1pp/nqp2p2/pp1p4/3P1P2/2N1PNP1/PPQB2BP/2R2RK1 w - -,c2f5
r2q1rk1/1pp1bppp/8/pn1bp3/8/P1NPP1P1/3N1P1P/R1BQ1RK1 w - -,c3b5
8/8/2k1p3/1p1bPp2/1P1K1P2/8/4N3/8 w - -,e2c3
2r5/4kp1p/4pp2/p1r1n3/1p5R/6P1/PPPRB2P/1K6 b - -,c8h8
r4k1r/1bq1bpp1/p3pn2/1pp5/3PP2p/P1PBB2P/4NPP1/RQR3K1 b - -,c5c4
4r2k/NnR3pp/1P4qr/4Pp2/4n2P/6P1/5BK1/R2Q4 w - -,c7c6
7k/7P/8/5BK1/8/8/6R1/7r w - -,g2a2
8/7b/2RQ3p/3Pp1pk/4P3/2N4r/7K/8 w - -,h2h3
r1bqk1nr/ppp2p2/2n1p1p1/3pP2p/1bPP2Q1/2N2N2/PP1B1PPP/R3KB1R w KQkq h6,g4f4
8/5p2/p4p2/4kb2/1P5R/P1P2PPp/4K2P/6b1 b - -,f5e6
2r2bk1/2r2p2/p5p1/3bP2p/1p1BpP2/1NP1R2P/P5P1/2R4K w - -,h1h2
2r5/p1r2bbk/3q2p1/1p2p3/1P1p4/2P1B2P/P2QN1P1/2RR2K1 w - -,c3d4
5B2/5p1p/1R4p1/1B2b1k1/5PP1/4P2P/nr6/6K1 b - f3,g5h4
8/8/1rp2k1p/2R2p1P/5P2/6P1/4K3/8 b - -,b6b2
3r1q1k/6pp/p2p4/2p3P1/1pQ4P/5r2/PPP4B/1K1RR3 w - -,c4a6
8/8/8/1p5p/4KP2/2k5/4b3/4R3 b - -,e2d3
rnb2rk1/ppq2pbp/2p2np1/3p4/1PPPp3/2N1P3/PB1NBPPP/R2Q1RK1 w - -,a1c1
3r1r2/p1k5/2p1pb1p/1pP1Npp1/3P4/1P4P1/1P3P1P/3RR1K1 w - -,f2f4
6k1/R2b2b1/3p2Q1/1P6/1P6/5KPr/3q3B/8 b - -,d2d1
rnbqkb1r/pp2pppp/2p5/3p1nP1/3P1B2/2N2P2/PPP1P2P/R2QKBNR w KQkq -,d1d2
8/5p2/1k1R4/8/q3N3/4K3/p7/8 b - -,b6c7
r1bqkb1r/pp1n1p2/3ppp1p/1B6/3QP3/2N2N2/PPP2PPP/2KR3R b kq -,a7a6
8/2n1k2p/4p3/2b3p1/6P1/1K3p1P/8/5B2 b - -,e7d6
r2q1rk1/3nbppp/p2pbn2/1p2p3/4P1P1/1NN1BQ1P/PPP2P2/1K1R1B1R b - -,d7b6
8/5pp1/2Pk4/1P1P4/3K4/P4N1p/8/6r1 b - -,g1d1
4brk1/3rbppp/p3p3/npB5/4N1P1/P6P/1PP2PB1/2KRR3 b - -,d7d1
8/5pk1/4p3/4Pp1p/3K1P1P/4PN2/5n2/8 b - -,f2e4
8/8/8/1R4p1/p6p/2K1b2P/k1P5/8 w - -,c3d3
r1bq1rk1/pp2ppbp/2np1np1/8/3PP3/2N2N1P/PP2BPP1/R1BQK2R w KQ -,e1g1
r3k2r/1bq1bp2/p1N3p1/1pnPp3/8/P2B1Q1p/1PPB2PP/R3R2K b kq -,h3g2
8/8/1K4Q1/6P1/r6k/8/8/8 w - -,g6h6
r1b4r/4kppp/2pb1n2/p3p3/R3P3/1BB5/1PPN1PPP/4K2R b K -,d6c7
r2r2k1/5pp1/2R1pn2/p6p/Pp2P3/1N2BPq1/1P4Q1/R5K1 b - -,g3g2
8/8/5pk1/PR6/3N4/1P1K4/8/3r4 w - -,d3c3
2r1r3/3q1pk1/1pb1p1pp/p1p1P3/PnPp1PP1/1P1P1N2/4QRBP/R5K1 w - -,a1b1
8/3n4/3k4/p2b1r2/7R/1P1R1P2/P4K1P/8 w - -,f3f4
r4rk1/1p2ppbp/3p1np1/p4b2/2Pq4/PP4P1/1B1NPPBP/1R1Q1RK1 b - -,d4a7
r1k4r/p1p2pp1/1p2b1np/2p1P2N/8/5N1P/PPPR1PP1/3R2K1 b - -,h8g8
1r2rnk1/1b1q2b1/1p1p1p1p/pPpP2p1/P4PP1/4BN1P/3QRN2/1BR3K1 b - -,d7f7
r1b3k1/pppq1pbp/3n2p1/3N4/2Pp4/Q7/PP2BPPP/3RR1K1 b - -,d7d8
r2Q4/5p2/5kp1/1p3p2/5P2/3RP3/P2KB3/7q b - -,a8d8
8/5ppp/3k4/1pnP4/p2Np3/4PP2/3r2PP/1R4K1 b - -,b5b4
3r1bk1/3r1p1p/p2P2p1/3R4/1pN5/7P/PPP3P1/1K1R4 w - -,d5a5
8/8/6R1/Kpk5/8/PrN5/8/8 w - -,g6g5
6k1/1PQ3p1/4pp2/5bp1/3Pp3/8/1B1KPq2/8 b - -,e4e3
8/6p1/2q1kp2/p2pp1p1/Pp1bP1Q1/1P5R/5PK1/8 b - -,e6d6
6k1/1p3p2/p4n1p/3p4/1P1P3p/P3KP2/2r1N1P1/7R b - -,c2a2
5r1k/p5b1/1pqpQ2p/3P4/2p2r2/2P2N2/PP4PP/R4R1K b - -,c6c5
3q4/5nkp/3p1pp1/3Pp3/1BQ1P3/6PP/5PK1/8 b - -,d8b6
3r4/pp1k1p2/5P2/3p4/1B2q3/6Q1/PP2P3/2R1K3 b - -,e4b4
r2r2k1/4bppp/p1nqpn2/1p6/3P4/P1N1BB1P/1PQ2PP1/R2R2K1 b - -,a8c8
r4b2/p5pk/3RQ2p/1p2Bp1P/4q3/1P6/P1P2PP1/1K6 b - -,a8c8
k1r5/pq3pbp/1pNp1np1/2nP4/PQ3P2/4r1P1/1B4BP/R2R2K1 w - -,b2d4
r2r2k1/2q1bppp/p3pn2/1pn5/3N4/P1P3N1/1PQB1PPP/R2R2K1 b - -,c5a4
1r4k1/p2bq1pp/1pn5/2p3b1/2N1B3/3P2P1/PP1N3P/2RQ1K2 b - -,b6b5
r4rk1/1bq2ppp/p3p3/PpppP3/1P3P2/2PBP3/3Q2PP/R4RK1 w - -,f1f3
2k5/5R2/6p1/P1p2p1p/8/5K1P/1P3P2/6r1 b - -,c8b8
r7/1b4k1/2pq1bpp/1p1p1p2/1PnP4/1QNBPNPP/R4P2/6K1 b - -,a8a2
