8/2P5/8/K1r5/P7/4k3/8/8 w - -,a5b6
3rr1k1/1p2q2p/2bpn3/pNp1b1pn/P1P1Pp2/5P2/NP1RBBPP/3RQ2K w - -,a2c3
8/1R2ppk1/2B3p1/8/4PBP1/r4K2/2p2P1P/6r1 w - -,f3e2
2B5/p3p3/1pnk3p/8/2n2P2/2P5/P1K4P/2B5 w - -,c2d3
2kr3r/2qb1ppp/p3p3/1p1pP3/nQ3PP1/1N1B4/PPP4P/2KR3R b - -,c8b8
2r1k2r/1pqbbp2/p2p1npp/4p3/2P1P2N/N2Q4/PP1B1PPP/2R1R1K1 w k -,g2g3
r1b1kb1r/pp1npppp/3p4/q2P4/8/2P1BN2/P3BPPP/R2Q1RK1 b kq -,d7f6
r3k2r/4bpp1/1qp1pNp1/1p1n4/3P4/p1PBB2P/PP2QPP1/2KR3R b k -,g7f6
r1b1k2r/ppqnb1pp/2p2p2/3np1B1/3PN3/2PB1N1P/PP3PP1/R2Q1RK1 w kq -,g5h4
2b1r1k1/5ppp/1p6/1P2p3/3p4/2nP1NP1/4PPBP/2R2K2 w - -,f3d2
5rk1/p4ppp/8/1q1Bp3/8/4P1P1/1n5P/R2R2K1 w - -,a1b1
rnb1k2r/p1pqnppp/1p2p3/3pP3/3P1PP1/2P2N2/P1PB3P/R2QKB1R w KQkq -,h2h3
2qr1bk1/1b2nppp/4p3/p2nN3/3N4/P3P3/1B3PPP/Q2R1BK1 w - -,d1c1
2kr3r/1bq1bp2/pn1ppp2/1p3P1p/3NP1P1/2N4P/PPP1Q1B1/2KRR3 b - -,b5b4
8/5pkp/8/3rb1Pp/K1R4P/2p5/4R3/8 w - -,a4b3
5rk1/6p1/2Q3p1/2P2qn1/P2Pp3/6BP/5PP1/4R1K1 b - -,f8f6
5r2/p3k3/1p2r1pp/1Pp1P3/2Pb2KP/6B1/P3R3/5R2 w - -,f1f8
r4rk1/1p2ppbp/q3b1p1/p1n5/Pn1pPP2/3P2P1/1P1NQ2P/R1BRNBK1 b - f3,a6c6
1r4k1/pr1nppb1/q2p2p1/P1pP4/2N1PP2/2PQ4/3N2P1/2R1R1K1 b - f3,d7f6
8/3Q1b2/6k1/1P2p1q1/4P1pp/8/3b1PNP/5BK1 b - -,h4h3
3r2k1/2R2pp1/p3p2p/1rN5/2p2P2/2K4b/PPP4P/6R1 w - -,a2a4
rnbq1rk1/4bppp/p2p4/1p1np3/4P3/6P1/PPP1NPBP/R1BQ1RK1 w - -,d1d5
8/4p3/3k4/1pp2Pb1/6P1/5B2/P1K5/8 b - -,g5f6
2kr4/ppp3b1/3p2p1/3P1p2/2P2Bn1/2NP2P1/PP5K/R7 w - -,h2g2
4r3/pp3kp1/2p2p2/5b2/2P5/1P4BP/P2R1PPK/8 b - -,e8e1
8/3Q1k2/1p6/3p4/p2P1P2/1q2P2P/6PK/8 b - -,f7f6
1r2rbk1/1pq3pb/3npp1p/p2p4/P2P1PN1/2P3P1/1P3R1P/R1BQ1BK1 b - -,c7f7
r3r1k1/pp2bpp1/n1p2np1/1q6/NP1pP3/P2P2P1/2Q2PBP/R1B2RK1 b - e3,f6d7
r1b2rk1/p2q3p/2p2ppQ/3pp3/3P4/2P5/PP2BPPP/R4RK1 b - -,a7a5
r1q2rk1/pb3pp1/1pp1pb1p/2Pn4/3P4/5NP1/PPQB1PBP/R2R2K1 w - -,a1c1
2r2rk1/p4pp1/1p1N4/2n2Rp1/Pb6/1P3PP1/1B5P/3R2K1 b - -,c8d8
2r2rk1/p4ppp/1p1bp3/3q2PP/3P2R1/3N4/PPP1Q3/1K1R4 w - -,d1e1
rn1q1rk1/pbpp1pp1/1p2pn1p/8/2PP3B/P1Q1P3/1P3PPP/R3KBNR b KQ -,c7c5
2r3k1/pp1b1pbp/n4np1/2pP4/1qQ5/2N1rN2/PP1RBPPP/3R2K1 w - -,f2e3
3qk2r/pr1bbnpp/1p2p3/3pPp2/1PpP1P2/P1P1BNPP/3QN3/R3K1R1 w Qk -,e1f1
8/1r4pk/q1b2p1p/r4P2/p1pPp3/R1N1P2P/1P3RP1/3Q2K1 w - -,g1h1
2R5/5pbk/7p/4pNp1/r1p1P1P1/2P5/5PPK/8 w - -,f5e3
r4rk1/pp1nqppp/2p5/3p4/3PnPP1/7N/PPPQ3P/2K1RB1R w - -,f1d3
8/p4p2/1p2p2r/5k1P/2P2p2/7R/PP2KP1P/8 b - -,f5e4
7r/1p1k2b1/p2p2pp/3P4/2p5/N1PbBP2/PP1K2PP/R7 b - -,h8e8
rnbqk2r/ppp1ppbp/3p1np1/8/3P4/2P2N1P/PP2PPP1/RNBQKB1R w KQkq -,c1f4:b1d2
2rr4/1p3k2/p5pp/3n1p2/1P1NpP2/P3P1P1/3K3P/2RR4 w - -,c1c5
6k1/r5p1/N3p2p/1R6/8/5P1P/2P1K1P1/6b1 w - -,a6b4
1r4k1/pb2q1pp/2rb1p2/3p4/1ppPpPB1/2P1P3/PP2QNPP/4RRK1 b - -,c6b6
rnbqk1nr/1p3ppp/p3p3/2bpP3/6Q1/2N5/PPPB1PPP/R3KBNR b KQkq -,e8f8
3n1k2/1prr1p2/pR2p1p1/2P4p/3P3P/2P1P3/2B1K1P1/R7 w - -,c2a4
4rrk1/2p3pp/p3b3/1p1p4/8/2P1Bq2/PPB3PP/R4NK1 w - -,g2f3
r1bqnrk1/pp1n2bp/3p4/2pPp1p1/1PP1Pp2/P1NN1P2/4B1PP/R1BQ1RK1 b - b3,b7b6
r2qk1nr/pp1b3p/2n3p1/2p2p2/2P5/2P5/P1Q1PPPP/R1B1KBNR b KQkq -,g8f6
rnbqk2r/ppppppbp/5np1/8/3P4/2N1P3/PPP2PPP/R1BQKBNR w KQkq -,e3e4
8/1p4k1/pq2n1p1/7p/4p2N/P3P2P/1P1Q1KP1/8 b - -,e6c5
r1bqkb1r/p3pppp/1npp4/8/2Q1P3/2N2N2/PPP2PPP/R1B1K2R w KQkq -,c4c6
r1bq1rk1/3n1ppp/p1pbpn2/1p6/3P4/2N1PN2/PPQ2PPP/R1BR1BK1 b - -,d8c7
r1b2rk1/pp3pbp/n1p2qp1/8/3NBB2/2P3Q1/PP3PPP/3RR1K1 b - -,h7h6
8/7p/1B1k4/1Bp3p1/P2b4/5PnP/6P1/4K3 b - -,g3f5
3r4/1pk3pp/2p2p2/3np1n1/P7/4bP1P/1BK3P1/1B1R3R b - -,g5e6
3r4/1p3k2/1p2Rnp1/3P1p2/7P/1B3P2/PP3P2/6K1 b - -,f6h5
2r1k2r/pq2bpp1/1np3p1/8/1p1PP1n1/6P1/PPQB3P/1KNR1B1R w k -,c1d3
rnbqk2r/pp4pp/2pbpn2/3p1p2/2PP4/2NBPP2/PP2N1PP/R1BQK2R b KQkq -,e8g8:f6h5
6k1/2R2p1p/5p2/1p6/2p5/P2r1P2/1P3KPP/8 w - -,c7e7
r5k1/r2p2p1/4p2p/4P3/2P1q2P/pQ3N2/R4PPK/8 b - -,a7a4
1r1r2k1/1b2bp1p/pnp1p1p1/q3P3/5PP1/1P1BBN2/P1Q4P/3R1RK1 b - -,b6d5
2rq1rk1/pp2ppbp/2n1b1p1/2Pp4/3PnB2/P1N2N1P/1P2BPP1/R2Q1RK1 b - -,h7h6
1k2r3/2p1qpp1/R1Q5/1p2P3/4RP2/1P4Pp/4K2P/3r4 b - -,e7e6
2rr2k1/pp3pb1/3pp1pp/8/P1q1P3/2PR2N1/1P3PPP/R2Q2K1 b - -,d6d5
r1bqkb1r/1p1Bpppp/p2p1n2/2p5/3PP3/5N2/PPP2PPP/RNBQ1RK1 b kq -,f6d7
r1b1k1nr/pp2ppbp/2n3p1/2p5/4PP2/2P2N2/PP4PP/RNBBK2R b KQkq -,g8f6
rnbqkbnr/pp3ppp/4p3/2pp4/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq -,b8c6:d5d4:g8f6
4b1k1/pp1qPp1p/4rPp1/8/1n6/R4QPP/P2b1P2/R3NBK1 b - -,e6e1
r1bq1rk1/pp1nbppp/2n1p3/2ppP3/5P2/2PP1N2/PPN3PP/R1BQKB1R w KQ -,f1e2
k1r1r3/pp6/5pbp/2qp4/8/P1P1RP2/3R2P1/4QB1K w - -,e3e8
5bk1/1Q5p/5np1/5p2/2b1p3/P5P1/1P2PP1P/3r1BK1 w - -,g1g2
3r2k1/p4pbp/1p4p1/3b2N1/8/B5P1/P4P1P/4R1K1 w - -,e1d1
1k5r/1p3p2/p1bPp3/3pP2p/3Q3P/P3RBP1/5PK1/1q6 w - -,e3c3
3r1rk1/1pq1bppp/2p1p3/p3N3/Pn1PP3/1Q2N1P1/1P3PKP/2RR4 w - -,f2f4
r2qkbnr/pp3ppp/2n1p3/3p4/3P4/3B1Q2/PPP1NPPP/R1B1K2R b KQkq -,g8f6
8/1r4p1/2rkp1n1/R3p2p/R1p1P2P/1pP2PP1/1P2K2B/8 b - -,g6f8
1r5k/5P1p/p2N1PpB/3K4/2P5/8/1n5P/3q4 w - -,d5e6
8/1r6/1P6/3Pp1k1/1KN1P3/8/8/8 w - -,b4c5
8/2p5/3p1k1p/3P2p1/2N2PP1/1r1B1KP1/8/8 w - -,f3e2
rnbq1rk1/ppppbppp/8/3P4/3Np3/2P5/PP1P1PPP/R1BQKB1R w KQ -,d2d3
2r1kb1r/pbqn1ppp/1p2p3/3pP3/3p4/3P2P1/PPP1QPBP/R1B1RNK1 w k -,c1d2
8/8/1R4pp/8/6P1/8/1p2kPK1/1r6 b - -,e2d3
r1b3k1/p7/3n1bp1/1ppp1p2/1P6/R5P1/P2NPP2/1RB1K3 b - b3,c5c4
r3rnk1/p4pp1/1p2p2p/3pB1q1/3P4/2PQ3P/PP3PP1/R3R1K1 b - -,f8g6
r3r1k1/pb3pbp/1pnqp1p1/3p3P/3P2R1/PP1B1N2/1BP2PP1/R2Q2K1 w - -,h5g6
r3b1kr/p3p1bp/p1p1Np2/q1Np1P1Q/3P4/8/PPP2PPP/2KR3R w - -,h5g4
r4r2/4Qpk1/1pq1p1pp/3pn3/3P4/2P5/P4PPP/1R3RK1 w - -,d4e5
r1b1kb1r/pp1ppppp/2n2n2/4q3/2PN4/2N1B3/PP2BPPP/R2Q1RK1 b kq -,e7e6
3r2k1/1p1rn1bp/pq1ppnp1/2p3B1/2P2P2/P1N1PB1P/1PQR2P1/3R2K1 b - -,b6c7
4r1k1/1p2npbp/4b1p1/1Qp5/4PP2/2P1B1N1/qP4BP/5RK1 b - -,e8b8
rnb2rk1/pp2qpp1/2p1p2p/3p4/2PP4/2Q1PN2/PP3PPP/R3KB1R w KQ -,f1d3:f1e2:a1c1
r4rk1/5p1p/p2pbqp1/8/1Q2Pp2/5P2/PPP4P/2KR1B1R w - -,d1d6
6k1/2b2pp1/1pq2P1p/p2p4/3P2P1/1RPQ3P/P1n5/1KB5 b - -,a5a4
5r2/p2r1qbk/1p1pb1np/nPpNpp2/2P5/P2PPNP1/1BQ3BP/3R1RK1 b - -,f7e8
1qrr1bk1/1b3pp1/pp1ppn1p/4n3/1PPNPP2/P1NQ1BPP/1B2R2K/2R5 w - -,f4e5
3r1rk1/p3n3/1p1p2p1/2pPp3/4B3/2P3P1/PP2KP1R/2R5 b - -,g8g7
8/1k6/3r4/1pp2p1P/p4P2/2P2N2/5KP1/R2b4 b - -,b7b6
r3qrk1/1pp1pp1p/1n2P1p1/4b3/pn2PP2/2N1B3/PP4PP/2QRKB1R b K f3,e5g7
4rrk1/pp3pp1/7p/2pP4/2pP1R1P/5QP1/PP2qRK1/8 b - -,e2f3
8/8/2k1p3/n2pP3/8/B7/2K2P2/8 w - -,a3b4
r3nrk1/pp1b2pp/5q2/2pP1p2/2P2p1n/2PB1N2/P5P1/R1BQR1K1 w - -,c1f4
5r2/2R2pp1/4p1k1/3pPbNp/1r6/5P2/6PK/2R5 w - -,g5h3
5r2/pp2k3/3p2p1/6P1/2P1P1R1/2P2p1P/PP4K1/8 w - -,g2f2
r3kbr1/p2p1p2/1pn1p2p/8/2Pp4/P2B1P2/1PQ1Nq1P/1K1R3R w q -,e2d4
2b1nn2/2r1rpkp/2p3p1/Np2p3/1P2P3/2NR1P1P/B1P3P1/3R2K1 w - -,c3e2
r3rbk1/1p3ppp/2p2n2/p1q2P2/P1p2P2/2N2Q1P/1PP1B1PK/R4R2 b - -,e8e3
2k1b2r/1p1n4/p3pp2/4p1b1/4P1P1/3N2B1/PPP3B1/3K3R b - -,h8h1
3R4/r1pb2k1/2pp1np1/6N1/p1P1BP2/2K5/PP4P1/8 b - -,a7a6
r1bq1rk1/1p4bp/p2p1np1/3Pp3/4Pn2/2NNB3/PP2B1PP/R2QK2R w KQ -,e1g1
r1bqk2r/pp2ppbp/2np1np1/8/2P1P3/2N2P2/PPN3PP/R1BQKB1R b KQkq -,e8g8
r3kbnr/p1pq2pp/np2p3/3pPp1N/3P2Q1/P7/1PP2PPP/R1B1K1NR w KQkq f6,g4e2
r5k1/5p2/2pq1B1p/p2p1b2/6p1/2Q5/PPP1rPPP/2R2RK1 b - -,c6c5
r4rk1/2p1bppp/p1n2n2/1p1qp3/6b1/2PP1N2/PPBN1PPP/R1BQR1K1 w - -,h2h3
2kr3r/1ppq4/3bp3/Bp1n4/3PPpp1/PQ4P1/5PB1/1RR3K1 w - -,e4d5
8/8/3k4/1p1b2Rp/3B3P/3P2r1/3K4/8 b - -,g3g5
8/3r4/6P1/2R5/6K1/8/1k1N4/8 b - -,d7d2
r1bq1rk1/pp2pp1p/2n2bp1/8/3P4/2N1PN2/PP3PPP/R2QKB1R b KQ -,d8b6:d8a5
8/8/p2p2p1/2p1p1k1/PpPnPpP1/1P5q/K1P3R1/2Q3Rr b - -,h3g2
1r1r2k1/1q1bbppp/p2p4/4p1P1/1n1RPP2/2N5/1PP4P/1KB1QB1R w - -,d4d1
3qr1k1/1p1nbppp/p3p3/3p4/2rP1BQ1/PnNNP2P/1PR2PP1/5RK1 w - -,f1b1
R2b2k1/4R2p/3rp1p1/8/8/7P/6PK/8 b - -,g8f8
3r2k1/1p6/1p4pp/8/4p3/1KP1P3/1P2B1PP/2n1N2R w - -,b3c2
1r4k1/1qrnbppp/ppnpp3/8/N1P1PP2/1P2BNP1/P4QKP/2RR4 w - -,g2g1
8/6pp/5p2/p1k2P2/4PNP1/1KP2n1P/8/8 b - -,f3d2
1r3rk1/N1nqppbp/pp1p1np1/2pP4/P3PP2/5B1P/1PP3P1/R1BQ1RK1 w - -,a7c6
r2qkb1r/pp1n1ppp/1n1pp3/4P3/3P4/5N2/PP3PPP/RNBQ1RK1 b kq -,f8e7
7R/b7/P3p1k1/5ppp/8/3BP1P1/5PKP/r7 w - f6,d3e2
6k1/5pp1/R3n2p/pr6/P3p3/6PP/4PP2/5BK1 b - -,b5c5
8/8/2r1B1p1/4n1kp/8/4P1P1/4R1K1/8 w - -,e6d5
2kr3r/ppp1qppp/2B2n2/2p1p3/4PPb1/3P1N2/PPP3PP/R1BQK2R b KQ -,b7c6
2r2rk1/pbq2ppp/1pp1p3/4N3/1b1PQ3/4P3/PP2BPPP/2R2RK1 b - -,b4d6
4r2k/pb4Np/1pn3n1/2p5/P1PpPpN1/3P1P2/1P2BK2/R6R b - -,h8g7
8/8/5P2/p6k/1p1p1P1P/1P1BbK2/P7/8 b - -,h5h6
r1b1kb1r/3npp1p/p1pp1np1/qp6/3PP3/P1N1BP2/1PPQN1PP/R3KB1R w KQkq -,g2g4
1r4k1/pq1nrppp/1p2p3/8/1P6/2P2N2/P3QPPP/3RR1K1 w - -,d1d6
4r1k1/6p1/8/2N2p2/5Kb1/4P3/8/R7 b - -,g4h5
8/8/6p1/3k1p1p/1P2pP1P/6P1/5P2/5K2 w - -,f1e2
5rk1/1p1bqppp/3p4/r1p5/2P1n3/P3P2P/1BQ2PP1/R3KB1R w KQ -,f1d3
8/8/4p1p1/1pBbP1Pp/p4K1P/P7/8/5k2 w - -,f4g3
4r1k1/p1rn1ppp/2pqb3/R2p4/N2P4/1P6/P1Q1BPPP/5RK1 b - -,h7h6
8/6k1/p2q1pp1/1p6/4P3/P1r2RQP/6PK/8 b - -,d6g3
3k4/8/3p1pnp/1K1Pp1p1/4P1P1/1P3P1P/1P3B2/8 b - -,d8c7
8/3rnpk1/r1p1p3/NpP3PP/1P1PR1K1/P2R4/8/8 w - -,h5h6
6R1/k7/P1K5/8/8/8/5b2/8 w - -,g8g7
2b5/1p2k1pp/2p1p3/r1Pp1p2/Pp1P4/1P3PP1/4P1BP/2R3K1 w - -,g1f2
2r2k2/pp5p/4pNP1/q3P3/bn6/P1pB1P2/2P2B2/1KR4R w - -,h1h7
1q3r1k/4R1pp/b7/p1pB2P1/P2b1p1P/1P3Q2/2P5/3R3K b - -,b8d8
2r2rk1/4ppbp/6p1/pp3P2/2pPN3/2P5/PP4PP/R4RK1 b - -,b5b4
r2qk2r/3nbppp/p3pnb1/1p1p4/3P3N/1BN5/PPP1QPPP/R1B2RK1 w kq -,h4g6
r1bbr1k1/2p2ppp/p4n2/1p2B3/8/2N2P2/PPP3PP/2KR1B1R w - b6,e5g3
rnbq1rk1/ppp1ppbp/1n1p2p1/4P3/3P4/1B3N1P/PPP2PP1/RNBQ1RK1 b - -,b8c6
6k1/pp3pp1/4p2p/3pP2P/q1n2P2/P1P5/1P1Q2P1/5NK1 w - -,d2f2
8/1Pk2K2/3p2Pb/1p2p3/1P2B3/P7/8/8 w - -,g6g7
r1bq1rk1/pp1n1ppp/2pb4/3pN3/2PP4/2PB4/P4PPP/R1BQ1RK1 w - -,e5d7
r5k1/ppp2pP1/3p4/8/2P1r3/5R1P/PP4P1/R5K1 b - -,e4c4
r2r2k1/pp2q1pp/4bp2/8/1b1Q4/4B1P1/PP2PPBP/R4RK1 w - -,d4e4
r4rk1/p1pp2p1/1p2p2p/5n2/2PPRP2/P1K2NP1/1P5P/R7 b - -,f5d6
r2qr1k1/1pp2pb1/2bp1npp/pNn5/2P1PB2/2N3PP/PPQ2PBK/R3R3 b - -,h6h5
3r1rk1/p7/1pn2b2/2p3p1/2P1pp2/1P2N1P1/R2BPP2/1R4K1 w - -,e3d5
r1b2r2/pp1p1pkp/6p1/4n1B1/1P6/P4B2/2P2PPP/2KR3R w - -,f3d5
rn1q1rk1/pp2ppbp/5np1/2pP4/4P1b1/2NQ1N2/PP3PPP/R1B1KB1R w KQ -,c1e3:f1e2
3q1rk1/1ppn2bp/3p1np1/r2Pp3/P1P1Pp2/B1N2B1P/5PP1/R2QR1K1 w - -,a1b1
8/pp2rpkp/3q1np1/1Q2p3/P1BpP3/1Pr2PP1/2PR1K1P/2R5 w - -,a4a5
2r2r2/pp3pkp/3qp1n1/3nNp2/3P4/1P3N1P/P2Q1PP1/2R1R1K1 w - -,c1c4
