5rk1/2R3pp/5p2/3Nn3/P2KP3/7r/8/R7 b - -,e5f3
r3k2r/ppp1bppp/2np1n2/4pq2/2PP2b1/1P2PN2/PB2BPPP/RN1Q1RK1 w kq -,d4d5
2r2rk1/b2bqpp1/p3p2p/4P1P1/1Pp1B3/P4N2/2Q2PP1/2R2RK1 w - -,g5h6
2rr4/pp1bkppp/1bn1pn2/8/P7/2N1PN2/1P2BPPP/R2RB1K1 b - -,h7h6
5r2/6k1/8/4P3/4R3/6PK/1r6/8 w - -,h3g4
5k2/5ppp/p1nN1n2/5P2/P7/1Pr5/6PP/2N1R1K1 w - -,e1d1
2bqn1rk/r2nbp1p/pp1p2pB/2pPp3/P1P1PP2/2NQ2PB/1P2N2P/R4R1K b - f3,e7f8
8/4b3/1p4p1/1P2p3/4k2p/5N1P/6K1/8 w - -,g2f2
2R3k1/5p1p/6p1/3Pr3/8/6P1/6KP/8 b - -,g8g7
r2q3r/pp1b2k1/2nP2p1/2p2p2/6NP/2P3Q1/P4P2/2R1KB1R w K -,g4e3
8/5p2/1ppk3p/1p1n1p2/1P1P1K1P/2P3P1/P5B1/8 w - -,g2d5
2b5/4k3/7p/p1P1p1p1/1r6/2RBKPP1/P6P/8 b - -,b4a4
2r2rk1/bp2Qpp1/p3b2p/1q1pP3/3P4/5N2/PP1N1PPP/R4RK1 b - -,c8c2
8/4kp2/8/2P2pR1/2K4P/5rP1/8/8 w - -,c4d4
2r2rk1/1b1qb1pp/p2p4/5p2/Pp3P2/1P1PN2P/3BQP2/2R2RK1 b - -,d7e6
rn1q1rk1/pbp2ppp/3b1n2/1p2p3/4P3/5NP1/PPPNQPBP/R1B2RK1 b - -,c7c6
2N5/3k4/3p3p/2pP1p1P/2P1nPp1/8/4K3/8 w - -,c8b6
8/5p2/4p3/2B4p/3P2p1/5kP1/7P/2n2K2 w - -,f1e1
6rk/p6p/1p3Rq1/n1rPp3/4P3/PbR5/2B2QPP/6K1 b - -,g6g2
rn2kb1r/pp3ppp/1qp1pn2/4N3/2BP2b1/1QN1P3/PP3PPP/R1B1K2R b KQkq -,b6b3
8/8/5pk1/1p6/5RP1/6R1/1r2r1PK/8 b - -,b5b4
r6r/1p1bk2p/2p2ppn/p1n1p3/P1B1P3/2N1KPP1/1PP4P/R1N4R b - -,a8d8
2r3k1/p1q1bppp/1pn1p3/2p1P2P/2PrRB2/P5Q1/1P3PP1/1B2R1K1 b - -,g8h8
1k1rrb2/1p1b1Qp1/pq2p2p/3pP3/3N2P1/2NR4/PPP4P/1K2R3 w - -,c3e2
r1b1k2r/3q1pp1/p1nb3p/1p6/2p1P1n1/2P1BN1P/PPB2PP1/RN1QR1K1 b kq -,g4e5
3r2k1/1p1r1pp1/p2qb2p/3p4/1P1R4/4PBP1/PQ3P1P/3R2K1 w - -,b4b5
8/7p/bB2k3/4p3/P4pPP/5P2/1bP3K1/8 w - -,b6d8
6k1/1b2b1pp/pp1p1n2/4p3/PPr1P3/2NR1P1P/6P1/1R4K1 b - -,g8f7
6k1/6p1/5p1p/4nP2/4R1P1/4K3/8/8 w - -,e3d4
5Q2/1k1r1p2/1np1p1r1/4Pp2/3Pp3/6P1/2KB3P/8 w - -,d2a5
2r3k1/5pp1/2n1pb1p/2Pp4/3P4/2NK1N2/r4PPP/1R6 w - -,c3a2
8/1k3pp1/p6p/1r5P/5PP1/R7/2rBK3/8 w - -,e2d3
3R4/5pkp/6p1/8/2p5/2rp3P/5PP1/6K1 b - -,c3c2
2r2rk1/p3q2p/2p5/1PPpbppb/P3p3/QN2P1P1/5PBP/R3R1K1 w - g6,a1b1
4r1k1/6qp/p2pp1p1/1p2b1PP/4Rr2/PPN4Q/1BP5/1K5R b - -,f4e4
5n2/1k2p1qr/p1p1Q3/1p1p4/3P1B2/PP4P1/2P5/2K1R3 w - -,e6f5
rnbqkbnr/pppp1ppp/8/4p3/2P5/6P1/PP1PPP1P/RNBQKBNR b KQkq -,g8f6:f7f5:d7d6:d7d5:g7g6:b8c6:c7c6:c7c5:h7h5
1r1q4/R2bnpk1/R2p1bp1/1rpBp2p/2N1P1P1/2PP1Q1P/1P3P1N/6K1 b - -,b5b2
8/3rk3/R1Rp4/4p1p1/3rP1p1/p4P1P/P1K5/8 w - -,h3g4
8/7p/1N1k4/p4p2/4p3/1P4KP/r5P1/5B2 b - -,d6c5
r1bq1rk1/bp4pp/p2N1p2/2Rp4/3p4/1Q1N2P1/PP1BPP1P/5RK1 b - -,d8d6
2r1r1k1/1b1nqpbp/pp1p1np1/8/1NP1PP2/1PN5/PB2Q1BP/R2R2K1 b - -,d7c5
r1b1rnk1/ppp1q1pp/2p2p2/2b1p3/4P3/1PPP1NN1/PB3PPP/R2Q1RK1 b - -,c8e6
2k5/8/3P4/7p/4N1p1/4PpPP/1pr2P1K/1R6 w - -,h3g4
r4rk1/p1pb2pp/2Np4/2b5/8/8/PPPP1PPP/R1B2RK1 w - -,c6e7
3q1bk1/pn3p1p/1pp1p1p1/4P3/4PP2/1PB3P1/P1B1Q2P/5K2 b - -,a7a5
r5k1/5ppp/prqbp3/3p4/3Pn3/2BBP2P/RPQ2PP1/R5K1 w - -,c3a5
8/p4pk1/rp6/1R3R2/3P3P/P3P1P1/5PK1/r7 b - -,a6a3
5rk1/8/2nq3b/1p1p1p1Q/2pP3P/2P4B/1P3P2/6RK b - -,g8h8
5rk1/2p2ppp/p3rn2/1p6/2p2B2/8/PPP2PPP/R2R2K1 b - -,c7c6
r1bqr1k1/1p1n1ppp/2pp1n2/p7/1bPB4/2N2NP1/PPQ1PPBP/R4RK1 w - -,a1d1
1r2nk2/p4ppp/1p6/2p3N1/2Ppb3/3P2P1/PP3P1P/4R1K1 w - -,g5e4
8/8/3p1p1k/2pP2pP/1pB1PnP1/1P2R3/5K2/r7 w - -,c4b5
8/p2k2pp/1p6/3P4/3K1B2/2P5/P5PP/3n4 w - -,f4c1
r4rk1/pp2bppp/2n3b1/3p4/1qNP1BP1/7P/PP2BP2/R2Q1RK1 w - -,a2a3
2B5/pp5k/n1b3pp/3n4/3P4/8/PP1b1PPP/2R2RK1 w - -,c1c6
r3kb1r/pp3ppp/1qn1p3/3p1b1n/2pP1B2/2P1PN2/PP1N1PPP/R1Q1KB1R w KQkq -,f1e2
r1b1r1k1/ppqnppbp/2pp1np1/8/2PPP3/1PN2NP1/PB3PBP/R2Q1RK1 b - e3,e7e5
1r1q1r1k/1p4bp/pNp1b1p1/2Pp3n/3Bp3/4Q1PP/PP2PPB1/2R2RK1 w - -,f2f4
2b2rk1/2r2pp1/p3pq1p/1p1p4/2nN1P2/P1P3Q1/1P2RPPP/1B3RK1 b - -,c8d7
4r1k1/4rppp/1p3b2/1Np5/P4B2/3P1BP1/1P3P1P/R5K1 b - -,f6b2
1r2n3/4k3/pp3p2/4p1p1/P7/2N1P3/1P2KP1P/2R5 w - -,c3d5
1R6/7k/3p1r2/p2Pp3/P3P3/1P3p2/2P5/1K4R1 w - -,g1f1
8/4kppp/8/bB6/8/P2K3P/6P1/8 w - -,d3c4
r2qr1k1/5pbp/pnb2np1/8/2Pp4/3Q1NNP/PBB2PP1/R3R1K1 w - -,f3d4
6k1/5pp1/4p1b1/3pP3/3P4/3pB3/3Q2PP/1q3BK1 b - -,g6e4
rnbqkb1r/pp2pppp/2pp1n2/8/3PP3/2N2P2/PPP3PP/R1BQKBNR b KQkq -,b8d7:d8c7:e7e5
2r2rk1/1p3pbp/p1qppnp1/8/P1PBP3/1PNQ3P/5PP1/2R2RK1 b - -,c6c7
8/1p1k4/p7/3p2p1/3P2P1/4K3/PP6/8 w - -,e3d3
8/4npkp/R3p1p1/3p4/3P4/3BPP1P/1r1K2P1/8 w - -,d3c2
1q1r4/5pk1/4pnp1/1BQ4p/P7/6PP/5P2/2R3K1 b - -,d8d2
r3r1k1/pb1q1pp1/1pp1pb1p/8/2PP2Q1/2B3P1/PP3PBP/3R1RK1 w - -,c3d2
r2qkbnr/ppp1pppp/2n5/3p4/5Pb1/1P2PN2/P1PP2PP/RNBQKB1R b KQkq -,d8d6
3r1r1k/pp3pbp/2p2np1/q7/8/1BP1BP2/PP4PP/R2Q1RK1 w - -,d1c2
r3r2k/2qb2bp/pp4p1/3B1p2/2Pp4/B6P/PP2QPP1/2RR2K1 w - -,e2f3
1rrb1k2/p4p2/4p1p1/3pP2b/1P3P2/1P2P3/1KBR1BR1/8 w - -,d2d4
4r1k1/7p/pq4p1/1p1p4/3Prp1P/2P2Q1P/RB6/5R1K w - -,b2c1
1r1r3k/p1p1N1Bp/1p2n1p1/5p1n/bPP1p3/1N4PP/P3PPB1/1R1R2K1 b - -,h8g7
b2r4/4r2k/P1n3pp/2R5/4P3/3P1NNP/5PP1/R5K1 b - -,d8d3
8/3k3p/3P2p1/PNK1np2/5p2/8/6PP/8 b - -,e5c6
r6r/pbqkb2p/2p1p1p1/1PPpPp2/8/2NB4/P1Q2PPP/R4RK1 w - -,f1e1
8/p6k/3p4/1PpP2Rp/2P1pbb1/pB6/5P2/5K2 w - -,g5g4
8/3n4/1pKBk1p1/1P4P1/2P5/8/8/8 w - -,d6c7
2r1qrk1/pb3pp1/4pn1p/2p5/4P3/P4P2/1P1QN1PP/2R1KB1R w K -,d2a5
8/p1K2p2/P3r3/1P3k2/2R1p3/5b1p/7P/5R2 w - -,c4c6
r1bq1rk1/pp2b1np/2p2np1/3p1p2/3P4/2NBPP1P/PPQ1NBP1/3R1RK1 w - -,a2a3
r7/8/P1B5/8/8/5k2/1P6/1K6 b - -,f3f4
r1bqkb1r/pp1pp1pp/2n2n2/1Bp2p2/4P3/3P1N2/PPP2PPP/RNBQK2R w KQkq -,b1d2
2r2rk1/3n1pb1/1q4p1/N7/1Q1p1B2/1N6/PPb2RPP/R5K1 w - -,b4d2
r1b1kr2/1pqnbp2/p3p3/3BP1p1/5PP1/1NN5/PPPQ4/2KR3R b q -,g5f4
4r1k1/p1p4p/1p2bpp1/2r5/3RPP2/2P3P1/P1R2KBP/8 w - -,g2f1
2rqnrk1/p2bp1bp/3p2p1/np2p3/3P1P2/2N1B1PP/PP1N2B1/2RQ1RK1 w - -,f4e5
r2q1rk1/p3bppp/bpn1p3/3pB3/3P4/1P4P1/P2NPPBP/R2Q1RK1 w - -,d2f3
3r1nk1/1p2qp1p/1np1p1pQ/p3P3/2P4P/1P3NP1/P4PB1/4R1K1 b - -,a5a4
2b5/8/p2k1p1p/3p1p2/1P1K3P/3BPPP1/8/8 b - -,d6c6
2b2rk1/2q3bp/4p1p1/2p5/Nr2n3/pP3NP1/P1Q2PBP/3R1RK1 w - -,f3d2
r7/1p6/3p2k1/4pbp1/p1P1N3/6b1/PPK3P1/6R1 w - -,c2d3
r3k2r/pR3ppp/2p1p1b1/q1b1P3/6P1/2P4P/P1P1QPB1/2B2RK1 b kq -,e8g8
3N4/1Q6/5r2/p6k/5p2/P5P1/1P3PKP/2R5 w - -,b7h7
rn1q1rk1/pb2b1pp/1pp1p3/3pN3/2PPp3/1P4PB/PB2PP1P/R2Q1RK1 b - -,f8f6
r4rk1/1pn1bpp1/1np3p1/p2p4/P2P3P/1PN1PPP1/6B1/R1BR2K1 b - h3,c7a6
4r1k1/3q1pbp/2b1p1p1/1p1pP3/R2P2P1/1QPB3P/1P5B/4R1K1 b - -,b5a4
r3kb1r/ppq2ppp/3ppnb1/1B6/4P1P1/2P1BN1P/PP2QP2/R2R2K1 b kq -,f6d7
rn1qk2r/pb1p1ppp/1p2pn2/8/1pPP2P1/5N2/PP1NPP1P/R2QKB1R w KQkq -,d1c2
6k1/5p2/P3n2p/6pP/q7/3Q2P1/5P2/3R2K1 w - -,d1b1
r6r/pp3pkp/2np1qp1/1Bp4P/8/4PP2/PPPQ4/2K1R2R b - -,h8e8
b2r1rk1/p3q2p/3ppn2/PPp2p2/2P1NNp1/4P3/1Q1R1PPP/3R1BK1 b - -,f6e4
b5r1/3nkp1p/3ppn2/P6p/1N6/4BP2/1P4PP/R4RK1 w - -,b4d3
2r3k1/p5pp/5n2/1Pp1RB2/P1q5/5P2/5QPP/6K1 b - -,c8c7
r4rk1/p2nppbp/6p1/qp1P4/2p3b1/2P1PN2/P1QNBPPP/2R2RK1 w - -,a2a4
7r/6p1/2p5/2Bkb1PP/pPr2p2/R1pK4/R3P3/8 b - -,h8h5
rq2k1nr/2p1npb1/3p2pp/pP1Pp3/1p2P1P1/3QBNNP/1PP2P2/R3K2R b KQkq -,e7c8
1rbq1rk1/1pp2pbp/p2p2p1/4n3/2P2P2/1P4P1/PBQNP1BP/R4RK1 b - f3,e5g4
6k1/p3nqpp/1p6/3b4/8/P3Q1B1/1P3PKP/4R3 w - -,g2g1
r2q1rk1/bp3pp1/p1np1n1p/4p3/1P6/PQ1P2P1/1B1NPPBP/R4RK1 b - -,d6d5
1n1r1rk1/1pq2ppp/4b3/p1p1p3/P3PP2/4B1P1/1PP3BP/R2RQ1K1 b - -,f7f6
4k3/1P6/2K2p1p/N5p1/4P3/7P/5PP1/1r6 b - -,e8d8
r1bbk2r/1p3ppp/p1qp4/3Np3/1Q2P3/3Rn3/PPP2PPP/2K2B1R w kq -,d5e3
4B3/7R/1p6/2nk1p1P/pr6/8/5P2/5K2 w - -,h7a7
r3rn2/5k1p/2N1np2/1p4p1/1B6/2P3P1/5P1P/3RRK2 b - -,g5g4
4r3/1ppbnk2/p2p2p1/3Pb1Pp/1PP1B2P/1R2B3/P2KN3/8 b - -,d7f5
r1bq1rk1/pp4bp/3p2p1/2pPpn2/2P1n3/2NB4/PP3PPP/1RBQ1RK1 w - -,c3e4
3rr1k1/1bp1qp2/1p1p2pp/p5n1/P3PPn1/BPP1R1P1/2QN2BP/3R2K1 w - -,e3e1
r5k1/2q1bppp/1rbp1n2/p1p1p1B1/2P1P3/1P1P1N1P/2Q1NPP1/RR4K1 w - -,e2c3
rnbq1rk1/ppp3bp/1n2pppB/3P4/4P3/2N5/PP1Q1PPP/R3KBNR w KQ -,e1c1
2rq1rk1/pb1nppBp/1p1p2p1/8/2P1PP2/1PN2B2/P5PP/R2Q1RK1 b - -,g8g7
8/8/4k3/4B3/3RK3/8/8/1r6 w - -,e5f4
8/8/pRp1b3/P1k1B3/5P2/1P6/3K2r1/8 w - -,d2e3
8/3nB3/k1p2p2/2P2P2/PK3P2/8/8/8 w - -,e7d8
R7/8/p3k3/1p2p2p/1P2P2P/P1P1K1P1/8/3b4 b - -,e6d7
3r1rk1/5qp1/7p/3R4/2pP4/ppP2P2/4Q1PP/1B2R1K1 b - -,f7d5
3rbk2/R6R/3p1pp1/2pP4/2r1P3/5B2/6PP/6K1 b - -,f8g8
r4rk1/1pqnbp1p/p1p2np1/2Pp1p2/PP1P4/3BPP2/1B2N1PP/R2QK2R w KQ -,e1g1
rnb1r1k1/pp4bp/2p3p1/4pp2/2P1P1n1/1PN2NP1/PB3PBP/3R1RK1 b - e3,f5f4
r2qrbk1/pb1n1ppp/1p3n2/3pN3/2pP1P2/4P3/PPB1N1PP/R2QBRK1 b - -,b6b5
6R1/4r2p/3p1p1k/2p1nP2/2P1BK2/7P/8/8 w - -,e4d5
r1b1qrk1/pp2b1pp/2ppnn2/4pp2/2P5/PP1PPN2/1BQNBPPP/R3R1K1 b - -,f5f4
3r4/pr4p1/1p1k1p1p/nRpNpP1P/P1P3P1/3PP3/2R1K3/8 b - -,a5c6
2r2rk1/p1qn1ppp/1p2pn2/2pp4/P2P4/2P1PQ2/1BP1NPPP/R4RK1 w - -,f1c1
8/p3n1k1/4q3/5pp1/3P4/2PB2B1/5Q1K/8 w - -,g3e5
r1b1kb1r/3n1ppp/p2pp3/1p4P1/2qNPP2/1PN1B3/P1PQ3P/2KR3R b kq -,c4c7
r4rk1/1R3pb1/2p1p1p1/p1Np3p/2nPPB2/2P2P2/P5PP/5R1K w - -,c5d7
2r1kb1r/1p1b1pp1/pqn1p2p/3pP2P/3P1PP1/3Q1NK1/PP6/R1B2B1R w k -,c1d2
3R4/7p/5p2/2kPp3/1p4r1/2P1K3/1P5P/8 b - -,b4c3
2rqn1k1/5pbp/p2p2p1/1p2P3/1PbP1P2/P1N1B2P/3Q2B1/2R3K1 b - -,e8c7
1rr5/p2qbpk1/4b1p1/3p4/3PP3/P1BQ2P1/1P3RB1/R5K1 w - -,a1f1
r4rk1/pb1qbp1p/1p2p3/3p2p1/2nN4/1Q4P1/PP2PPBP/R1BR2K1 b - -,c4d6
1rb1nrk1/2qnppbp/p2p2p1/PppP4/2B1P3/2N2N1P/1PP2PP1/R1BQR1K1 w - b6,a5b6
7k/2q2r1p/3p2b1/p1pPn3/Pp2P3/1P2N1R1/4Q1BP/6K1 b - -,c7e7
6k1/p1p2pp1/q3p3/2P1Pb1p/5b2/P4P2/1B4PP/3NQ2K b - -,a6d3
qb4k1/3n1ppp/4pn2/1N1p4/1r6/P3P3/1B2QPPP/1RN3K1 b - -,b4c4
8/2R2pk1/2p1p1p1/1pPpP3/1P3PP1/4P3/1n2K2r/4B3 w - -,e1f2
1r1q1rk1/4nppp/3pb3/pp2p3/4P3/2P1N1P1/PP3PBP/R2Q1RK1 w - -,d1d3
2r1R1k1/p4bpp/3q1p2/Bp1p4/5P2/P4Q2/1PP3PP/4R1K1 b - -,c8e8
r3k2r/1bqpb1pp/ppn1p3/5p2/2P5/PP1BPN2/1BQ2PPP/R4RK1 b kq -,e7f6
6rk/2p3r1/3p4/p2P4/2Ppq3/P4PN1/5RKP/8 w - -,f3e4
r1b1k2r/p3nppp/1np5/3p4/1b1pP3/1P1B1P2/2P1NKPP/R2Q3R w kq -,e2d4
1r3rk1/4Qpp1/b4n1p/q3p3/NpP1P3/5BP1/PB3P1P/2R1R1K1 b - -,f8e8
1r3rk1/2pb2np/1p6/p1pP1p2/2P1pP1q/8/PPB1N1PP/1R1Q1RK1 b - -,f8f6
