8/7R/6r1/3kp3/8/8/7K/8 w - -,h7a7
4rrk1/2p4p/bnp2qp1/p2P4/1b3P2/1PNB1Q2/P1KB2PP/3R3R b - -,a6d3
8/ppr3b1/3R4/4p1kp/4R2p/5P1P/PP4P1/6K1 w - -,d6d2
b7/r4pkp/1R6/1Pn1p3/ppPp4/3P4/2B3P1/5RK1 w - -,b6b8
r1bk1b1r/1p3ppp/p1p1pn2/8/2B1P3/2N5/PPP2PPP/R1B1K2R w KQ -,c1e3
rbb1q2k/3p2p1/2p4N/p1QnP1B1/3P4/6P1/P2N3P/1R4K1 b - -,g7h6
r2qr1k1/b2b1p2/p2p1nnQ/1p1Pp1N1/P1p1P3/2P3NP/1PB2PP1/R3R1K1 b - -,d8e7
1n1q1rk1/5ppp/8/rPpb4/8/2Q5/1R2NPPP/4KB1R b K -,a5a1
8/8/8/1pk2r2/p1p5/P1K4R/2P5/8 b - -,f5f1
8/8/1kp2rpp/p2n4/2R5/1P4K1/P3RPP1/8 w - -,g3g4
r4rk1/5ppp/2bp1b2/1pp1p3/4P1P1/1PN5/1BPP1PP1/R3R1K1 w - -,g1f1
4k3/8/p2p1Q2/1p1P4/8/8/PPP5/1KN1r2r w - -,f6g5
r4rk1/pp3p2/3pbnp1/2p5/1qP1P3/1PN5/P3QPPP/2R1K1NR b K -,f8e8
2r3k1/1p3pbp/2q3p1/3pp2n/QP6/P4PP1/3N1B1P/2R1R1K1 b - -,c6a4
r3k2r/1p1b1pbp/p1B1p3/3p4/5B1P/2N4R/PP1K1PP1/R7 b kq -,d7c6
3b3k/ppq3p1/1nb1p2p/4Pp2/5P2/2B1NBP1/PP2Q1KP/8 w - -,e3c2
rnbqk2r/pp1p1ppp/4p3/8/1bPNn3/2N3P1/PP1BPP1P/R2QKB1R b KQkq -,b4c3:e4c3
r7/2p3k1/1p1p1b1p/3P1P1b/p1P1K3/P4N1P/1P6/1R1B4 b - -,a8e8
7k/1p6/p6p/2P1q1p1/1P2Pr2/P4n2/2Q4P/1B1R3K w - -,c2d3
4r2k/ppq3pp/2n2pb1/2b5/2BN1P1Q/P1B5/1PP3PP/1K1R4 b - -,c5d4
r1bq1rk1/pp2bppp/2n1pn2/2p5/2NP1B2/1QP2N2/PP3PPP/2KR1B1R b - -,c6a5
1kR5/1pp3pp/1r3p2/pP2q3/P7/2Q3P1/5P1P/2R3K1 b - -,b8c8
r3kb1r/pp3pp1/2p1b3/P2pP2p/8/2N1B1P1/1PP2PP1/R2R2K1 w kq h6,a1a4
8/2r2k2/1p1R1pp1/8/2PK2PP/4P3/8/8 b - -,c7b7
2r2k2/2P1bp1p/pB2p1p1/Pp2p3/4P3/7P/5PP1/3R2K1 w - -,d1d8
r1b1qrk1/pppn1pbp/3p2p1/4p3/2PP4/4PN1P/PP1nBPPB/R2Q1RK1 w - -,d1d2
r2q1rk1/1R4pp/4p3/p1p2p2/2Pb1B2/P4Q2/5PPP/1R4K1 w - -,f3c6
1q4k1/3nbppp/3p1n2/3Pp3/1Q6/3BB3/5PPP/2N3K1 w - -,b4a5
6k1/5pp1/4p2p/1p1pP3/p1rR1P2/PqP4P/1P1Q2P1/6K1 w - -,g1h2
5R2/8/2Kp4/1Pb5/1r4p1/6k1/5p2/5B2 b - -,g3h2
1r4k1/2R2p1p/p1p1pbp1/8/5P2/1PP1B2P/P5P1/6K1 b - -,f6c3
8/5p2/1P6/6k1/7p/P1P3r1/7R/K7 b - -,g3c3
rnbqkb1r/pp2pppp/3p1n2/2p5/5P2/1P6/PBPPP1PP/RN1QKBNR w KQkq c6,g1f3
2r2k1r/1p2pp2/7p/pB1N2p1/P2n2b1/3Q4/1q1N1PP1/R3K2R w KQ -,e1g1
8/1r3p2/8/4k2p/7P/2K2P2/1R6/8 b - -,b7b2
8/4R3/5pbp/3kpN2/6PK/2r2P1P/8/8 w - -,h4g3
r1br2k1/ppp1qppp/2n1pn2/3p4/2PP4/5NP1/PPQ1PPBP/RN1R2K1 b - -,d5c4:c8d7
r1bqk2r/4npbp/p2p1p2/1p1Np3/2P1P3/N2B4/PP3PPP/R2QK2R b KQkq c3,f6f5
r1bqk2r/pppnbppp/2n5/4p3/2Pp4/NP1P1NP1/P3PPBP/R1BQ1RK1 b kq -,e8g8
r2qk2r/ppnbppb1/3p1np1/3P4/P2B3p/1NNQ2P1/1P2PPBP/R4RK1 b kq a3,e8f8
6k1/3bnrpp/pp3Q2/2pPpP2/2P1P3/2N3R1/P5P1/1R4K1 b - -,f7f6
7k/p6p/3R4/4P3/3b4/1P1Nq3/P6P/3K4 w - -,d6d8
1r4k1/1qb5/2n1pn2/1r1p1p2/p1pP2PP/P1P1P3/1P1RQBP1/4RNK1 b - -,f6g4
7r/pk2n1pp/1n6/2Rbp3/6R1/6P1/PP2PP1P/6K1 w - -,g4g7
4R3/8/8/8/5nk1/1r6/5K2/8 b - -,b3b2
6k1/5p1p/p3b1p1/1pbrP3/5P2/8/PP2Q1PP/2B3K1 w - -,c1e3
r1q2rk1/pp2p1b1/3pP1p1/2pB1p2/6n1/6P1/PPP1PP2/R1BQK2R w KQ -,c1g5
r1b2rk1/pp1nqpp1/2p1pb1p/8/2BP4/1QN1PN2/PP3PPP/3R1RK1 b - -,b7b5
3rr2k/6pp/p1p2q2/8/P7/1Q3B2/1P1p1PPP/3R2K1 w - -,g1f1
4r1k1/1p1R1rb1/pBp4p/5pp1/PPP5/7P/6P1/2R3K1 w - -,c1d1
r2r4/5nk1/p1ppbpp1/1q2p2p/N3PPnP/1PQ3P1/PNPRB3/1K1R4 b - -,b5b7
r4rk1/1b1nbppp/p1qp4/8/1P1BPR2/2N1Q3/1PP1B1PP/3R2K1 b - -,e7g5
5rk1/R5b1/4p3/6p1/2P2PK1/4r2P/4R3/8 w - -,e2e3
8/5pk1/3q2p1/5p1p/1P1P3P/5R2/5QPK/2r5 w - -,g2g3
3r1rk1/2q1n1bp/1pp1bpp1/p1p1p3/P1N1P3/1P1PB2P/2PQ1PPN/1R2R1K1 b - -,e7c8
r1bqk2r/pp3pp1/2n1p2p/2ppP3/3P4/2P5/P1PQNPPP/R3KB1R b KQkq -,d8a5
r2q1rk1/1ppnbppp/p1Bp4/4p2b/3PP3/2P1BN1P/PPQN1PP1/R3K2R b KQ -,b7c6
r2qk2r/1p1nbpp1/p3p2p/3pPb2/8/1P2P3/PB1NBPPP/R2Q1RK1 w kq -,d2f3
4k3/R7/4Pr2/2pr1P1p/8/8/PP2R2P/6K1 b - -,f6f5
r2r1nk1/p1q3bp/3p1p2/1p2p1p1/1PpPP1N1/2P3BP/P1Q2PP1/3RR1K1 b - -,f8g6
1r3rk1/1p1R1pbp/pB4p1/P3p1q1/2QnB3/1P6/1P3PPP/R5K1 w - -,d7b7
7R/3r1pK1/2k1pP2/p1p5/2P5/1P6/P7/8 b - -,d7a7
r2q1rk1/1pp2bp1/1p5p/nP1p3n/1Q3P2/2PB1N2/P2B2PP/4RRK1 w - -,f3e5
3r1r1k/pb2b1pp/2q1p3/2p5/4pP2/2N1B3/PPP1Q1PP/3RR2K w - -,e2b5
1k1r3r/pp3pp1/2pbn2p/5B2/2q5/1PB3PP/P1Q2P2/R2R2K1 b - -,c4c5
8/5k1p/2N2pb1/3p4/3P4/4KPP1/7P/8 b - -,f7e6
r4rk1/2p2p1p/p1pb2p1/1p2p3/4Pn2/3PNP1P/PPPB1P1K/R5R1 b - -,f4e2
1qr2rk1/3nbppp/1pbppn2/1Bp5/3P4/2P1PN1P/1P1NQPPB/R4RK1 b - -,b8b7
1r1r4/p1p1kppp/2P3b1/1R1pP1n1/3N4/1N3P2/PP1K2PP/7R b - -,g5e6
8/n4ppk/4p2p/2PpP3/3P1PP1/2Bb3P/3N1K2/8 w - -,f2e3
r1r3k1/pp3pp1/7p/1q1p4/3Q4/1P2P1P1/P4P1P/R4RK1 w - -,f1d1
rnbq1rk1/pp3ppp/2pb1p2/8/3P4/3B1N2/PPP2PPP/R1BQK2R w KQ -,c1e3
r1bq1rk1/1p3ppn/2pp3p/p3p3/2PbPP2/2NP1QPP/PP4BK/R1B2R2 w - -,c3e2
r2n2k1/1rpqbppp/p2p4/1p2p3/PP2P3/2PP1N2/3B1PPP/R2Q1RK1 b - b3,a8c8
b1r2r2/3qbppk/p2p1n1p/1p1PpN2/4P3/2N2Q1P/PP1B1PP1/2R1R1K1 b - -,f6g8
2k2r1r/p2bn3/1pn1pP1p/3p2p1/q1pP4/P1P2N2/R1PBBPPP/3Q1R1K b - -,f8f6
6k1/6R1/4PKbp/3p4/1p1r4/1P6/8/8 b - -,g8h8
r6k/1p4b1/p2p1Q1p/6p1/2P5/4Nr2/PP3P1P/3RR1K1 b - -,f3f6
2rq3k/pp2pr2/2np4/5pQP/3PP3/2N1B3/1P2K3/6R1 b - -,d8f8
r4rk1/1p1bb1pp/1qn1p3/pB1pN3/Q2P2P1/P1N1P3/1P5P/R4RK1 b - -,c6e5
8/5k2/5pN1/1p1rpP1p/2n3PP/PRP2K2/8/8 w - -,f3e4
r4rk1/p3q1p1/3p2p1/2p1P3/2P3nP/PP2P1n1/1BQ3N1/3R1RK1 w - -,e5d6
8/b4r1k/6pp/1p6/8/4QPP1/PP1R2KP/8 b - -,a7e3
r2q1rk1/pp2ppbp/2n3p1/2PpPb2/4n3/2P2N1P/PPBN1PP1/R1BQ1RK1 b - -,d8c7
1r3rk1/pb1p3p/np1n2p1/2pP1pB1/2P1P3/PPq2B1N/6PP/2R2R1K w - -,c1c3
3r4/pbr2k1p/1p2ppp1/8/3P1PN1/P7/1P1R2PP/4R1K1 b - -,c7d7
5r1k/1p5p/p2p3q/P1pPnr2/6RP/2Q3N1/1P3P1K/5R2 b - -,f5f3
3r1rk1/2pp2pp/1p2n3/p3PR2/2P3P1/qPB3KP/P1Q5/5R2 b - -,d8e8
r4rk1/5pp1/2q1p2p/2PpR3/1p1P1P2/pP1Q2P1/P6P/4R1K1 b - f3,c6a6
r2qk2r/pbpnnpb1/1p1pp1pp/8/3PP3/N1PBB3/PP1QNPPP/R3K2R w KQkq -,e1g1
2rq1rk1/pb1n1ppp/3ppn2/1Pp5/2P5/P1Q1PN2/1B2BPPP/R4RK1 b - -,d6d5
8/p2r2kp/1p1p4/3B4/2P2P1P/bP6/P5K1/4R3 b - -,g7f8
5k2/6p1/2p3Q1/3p4/1p1P3p/8/p7/6K1 w - -,g6d6
2rrb1k1/5p1p/npn1pb2/p5p1/P1PP4/NNB2B1P/5PP1/R2R2K1 w - -,a3b5
r2r2k1/pq1nb1p1/5nQp/1p3p1P/3P1P2/8/PP1B2P1/1K1RR3 w - -,e1e7
3rrk2/pp1b1pp1/2p2n1p/8/3N1P2/1BR1PK1P/PP4P1/3R4 w - -,c3c1
r1bqk2r/4bppp/p1nppn2/1p6/4PP2/P1NB1N2/1PP3PP/R1BQ1RK1 b kq -,c8b7
5k2/p5p1/1p3b2/2pN4/P1P2r2/7P/6K1/8 w - -,d5f4
8/7p/pK1R3p/2P4k/7P/6r1/8/8 b - -,g3b3
rq3r2/1pb2ppk/2p1pnp1/p1Pp3P/3P1P2/1P2PN2/PBQ3P1/R4RK1 b - -,f6e4
6k1/1R3p1p/6pn/3Bp3/8/4b3/4K2P/8 b - -,e3g1
5r2/p4pkp/4p3/6PP/2pq1p2/P2b1BQ1/1r3PR1/2R4K w - -,g3h4
2r1bbk1/4Rp1p/6p1/3Pp3/2N1P3/2N4P/1P3PP1/6K1 w - -,e7e5
5rk1/1p1bbpp1/p3p2p/4P2Q/Pq1N4/1Br5/2P2PPP/3RR1K1 b - -,d7a4
1rq2rk1/4ppbp/3p1np1/1Np5/1n2P3/3PB1PP/1P2NPBK/2RQ1R2 b - -,b8b5
1k2r3/n1p3Qp/P1q5/Pp6/2p5/4P3/2P3PP/R5K1 b - -,c6e4
r1br1nk1/p1q2pbp/1p2p1pQ/3p4/3P1PP1/3BP2R/PPPN3P/R1B3K1 w - -,h6h4
3Q4/8/8/2p3p1/6P1/1P3pk1/4r3/3R2K1 b - -,e2g2
r3k1r1/p1nb1pbp/4pQp1/8/2q5/2N5/PP2NPPP/R1B2RK1 w q -,f6g5
3rr1k1/1p1n3p/2ppn1p1/5b2/p1P2P2/P1B1RNPP/1P5K/3R1B2 b - -,d7c5
3rr1k1/5pp1/2Nb1n2/3p1R2/p1pP4/P1P4P/R2B1P2/6K1 b - -,d8a8
8/R7/P4kp1/2K1rb2/8/2R5/8/8 w - -,c5b6
r2q1rk1/ppp1bppp/2np4/5b2/8/2P1BN2/PPPQ1PPP/2KR1B1R w - -,h2h4
6k1/p4p2/2p3p1/7p/2r4P/4NbP1/P4P2/6K1 w - -,e3c4
rnb1k2r/2q1bpp1/pp1ppn1p/8/1PP1P1P1/P1N2N2/2Q1BP1P/R1B1K2R w KQkq -,h1g1
rn1qkb1r/pb1n1p1p/1p2p3/2ppP1p1/3P4/5NP1/PPPN1PBP/R1BQK2R w KQkq c6,c2c4
2r3k1/2q2p1p/4p1p1/1p5P/3P4/4RQP1/5P1K/8 b - -,c7c6
8/1p1b4/3k1pp1/3p3p/1P1K1P1P/P5P1/8/3N4 w - -,d1c3
3qnbk1/r4p1p/3p2p1/2pP2PP/p1P1NR2/PrB5/1P4Q1/2K4R b - -,b3c3
5rk1/1p1nq1pp/2p5/1PPp4/3Pp1b1/2N1P3/3N2PP/Q4RK1 w - -,b5c6
2r2qk1/p4pb1/1r1p1np1/RbBPp2p/2p1P3/2P2NNP/1PBQ1PP1/R5K1 b - -,c8c5
rn1qkb1r/1p3p1p/p2p1np1/2pP4/P3P3/2N2b2/1P2BPPP/R1BQK2R w KQkq -,e2f3
q5k1/5pb1/3p2p1/5b2/pQ6/5P2/PPr1N1P1/3RK2R w K -,d1d2
1r1qr1k1/1pp2p2/p2p2pb/3N3p/P3PPn1/6P1/1PP3B1/R2Q1RK1 b - -,c7c6
6k1/5pp1/1B2p3/1P2b2p/2R5/P2r1P1P/5P2/4K3 b - -,d3a3
8/2rb1k2/4p1p1/p2p2Rp/Pp1N1P1P/1Pr3P1/2PK2R1/8 w - -,g3g4
4r1k1/3n4/b7/p2P2p1/B2q1p2/2p1P3/5PPB/2R3K1 w - -,e3d4
1Q6/p3q2p/1p3p1k/3p2pP/P2P2P1/8/8/5K2 b - -,h6g7
3rb1k1/pp2bp1p/q1n1pnp1/8/5B2/PQN1PN2/1P3PPP/1BR3K1 w - -,h2h3
r3kb1r/ppqnpppp/2p2n2/3p3b/3P4/2PBPN1P/PPQN1PP1/R1B1K2R b KQkq -,e7e5
r1bbqrk1/ppp3pp/3pPn2/5p2/1nP5/2NBPN1P/PP3PPB/R2QK2R b KQ -,c8e6
8/1p5p/p1nr1kp1/4pp2/2P5/1P3N2/P3KPPP/R7 w - -,f3e1
r5k1/5R2/6K1/5P2/8/8/8/8 b - -,a8a6
5k2/6p1/4P2p/4BP2/n5P1/Ppp4P/4K3/8 w - -,e2d3
8/1p6/3pB1pk/2pPp2q/2N1P3/2KP4/5r2/1Q6 b - -,h5e2
8/8/p2k1pr1/3p4/PP3R1p/3K4/7P/8 b - -,g6h6
5r1r/pp4k1/2p1nq1p/3p2p1/3P3P/4P1Q1/PP2N3/2K3RR b - -,f6f5
5nk1/1p3ppp/p3qb2/P2r4/4PPP1/2p4P/2QN4/5RK1 w - -,e4d5
r4bk1/1pq2ppp/2pp1n2/p1r5/P3P3/1BN2Q1P/1PP2PP1/R3R1K1 b - -,a8e8
6k1/5pp1/p4n2/1p3p1p/7P/1P1r1bB1/P7/4RRK1 b - -,f6e4
8/6k1/5p1p/3p1B2/3P2PB/4Pb1P/4nP1K/8 b - -,g7f7
2r3rk/2p2p2/1p3q1p/p3pP2/P1N3n1/1PPR4/3Q1PP1/4R1K1 b - -,c8d8
4r3/p7/3nP1k1/2p5/2P2Pnp/P1K3N1/6P1/4R3 w - -,g3f1
8/k7/8/2R5/1p1N4/r7/1KP5/8 w - -,c5b5
r1b2r1k/ppp1q1b1/3p2pp/P1PPpn2/1P2N3/3B4/3B1PPP/2RQ1RK1 b - -,f5h4
r1bq1rk1/4bppp/p2ppn2/1p6/3QP1PP/2N1BP2/PPP5/2KR1B1R b - h3,d8a5
3b4/p1n3k1/1p1p3p/3P1P1B/PP2K2p/8/5BP1/8 b - -,c7a6
5rk1/pp1R2p1/6B1/n2p4/4p1Q1/7P/P2N2PK/q7 b - -,a1e5
4q2k/2r3pp/R4n2/2p1Np2/2Q5/4PP2/5PKP/8 w - -,a6e6
8/5k2/3R4/2pP2p1/3r2P1/4K2P/8/8 w - -,e3f3:d6c6
1q3rk1/p2nbppb/4p2p/Q2pP2n/3N2P1/5P1N/PrP4P/2KRBB1R w - -,f1b5
4B3/8/3k1p2/1P2p1p1/2K1P2p/5P2/6PP/4b3 b - -,e1a5
8/6kp/B4p2/3bn3/p1pB4/P1P4P/6P1/6K1 w - -,d4e5
b1q1r1k1/2n1ppbp/p2p2p1/2pPP3/P1B5/2P2N1P/3Q1PPB/4R1K1 b - -,c8d7
r2qk1nr/pp1n1ppp/2p1p1N1/2bp4/6P1/3PP2P/PPPNQPB1/R1B1K2R b KQkq -,h7g6
6k1/p3pp1p/b1p3p1/4p3/4P2P/1qPr1Q2/3RK1P1/8 w - -,d2d3
r1b2rk1/2q2ppp/1p1p1n2/p2Pp3/1nP1PP2/R5PP/1P2N1B1/1N1Q1RK1 w - -,b1d2
2r5/1p1R4/p3k1pb/B4p2/2n1p3/2P4P/PP2NPP1/6K1 w - -,d7h7
3r4/p5kp/1p3bp1/8/5PN1/6P1/PP5P/4R1K1 w - -,b2b3
3r4/2q2k1p/p5p1/2pP1p2/P7/2Q4P/5PP1/4R1K1 b - -,c7d6
2R5/p5k1/5rp1/3p3p/1q1n1P1P/1P1Q3B/P6K/8 w - -,c8c7
4qrk1/1nrb2b1/1p2p2p/2pp1p2/p2P1NpP/P1PBP1P1/1P2Q1P1/1KNRR3 w - -,c3c4
5Q2/3q1p1p/5rk1/1pp1P3/7p/2P2p2/1P6/R2B2K1 w - -,f8g8
rnb2rk1/pp2qppp/4pn2/2p5/2BP4/2N1PN2/PP2QPPP/R3K2R b KQ -,b8c6
r1bq1rk1/pppp2pp/2n2n2/4pp2/1bP5/2NPP1P1/PP1B1PBP/R2QK1NR b KQ -,d7d6
4k2r/R4p2/2P1p3/p3P3/5P2/8/2PK4/8 b - -,h8h2
3rr1k1/1p1q1pB1/2p1p2p/p1P2bp1/PnBP4/1Q6/1P2NPPP/2RR2K1 b - -,g8g7
r5k1/p2q1b1p/1pp3p1/4rp2/3p1Q1P/3P2P1/PPP2PB1/4R2K w - -,e1e5
rn2kb1r/p5pp/1q2pp2/8/PppP4/5NP1/1P1nPP1P/R1BQ1RK1 w kq -,c1d2
1r1r2k1/2q2pbp/1p1p2p1/p1nQp3/2P5/1P2P1PP/P4PB1/1R1RB1K1 w - -,h3h4
7R/3b1kpp/8/1p3p2/1Bp5/5P1P/1PP3PK/2r5 w - -,b4c3
rn1qk2r/pbp1npb1/1p1pp1pp/8/2PPP3/2NBBN1P/PP1Q1PP1/R3K2R b KQkq -,b8d7
1r1qr1k1/1p3pb1/p2p1npp/2pP1b2/PP2N3/3QB1P1/4PPBP/1RR3K1 w - -,f2f3
8/6R1/4k2p/3pPp1P/p4P2/r5P1/8/4K3 w - -,g7g6
rnb1kb1r/pp1p2pp/5n2/q1pPp3/4P3/2N3PP/PPP5/R1BQKBNR w KQkq -,c1d2
2r5/p2r1k1p/p3ppp1/B1R5/1P1PbP1P/P3P3/3K4/2R5 b - -,c8b8
2r3k1/1p2bppp/p2p1n2/2rPp3/P5P1/1P2NP2/3QB2P/5K2 b - g3,g7g6
2rq1rk1/1b2bppp/4p3/1p2P3/1nPp1Q2/1B3NN1/1PP2PPP/R3R1K1 b - -,b5c4
2r5/3b1kq1/r2p4/1ppP1p2/4pPp1/P3Q1PP/1P3R2/3R1BK1 b - -,g4h3
1n1q1rk1/r5pp/np2p3/p2pP3/P2P4/3Q4/1PNN2PP/R1R3K1 w - -,d3h3
2krr3/ppq2ppp/3b1n2/3p1Q2/4P3/2P3P1/PP1N1P1P/R1B1R1K1 b - -,c8b8
r3r1k1/1p1bq1p1/3R3p/2p2p1P/p1P2B1R/P5P1/1PQ1PnB1/2K5 b - -,d7c6
2rr2k1/1b2qp2/2p1p1pp/1pP1b3/p4P2/P3P3/1PQN2PP/1B1R1RK1 b - f3,e5c7
rnbq1rk1/pp2ppbp/3p1np1/2p5/2BPPP2/2N2N2/PPP3PP/R1BQ1RK1 b - -,c5d4
1r5r/k1qbpn2/p1pp1ppb/p6p/PP1PPP2/3QB2P/N1PN2P1/1R2R1K1 b - f3,d7c8
r5k1/4p1bp/pq1p1rpn/2p2pN1/2Q1P3/R7/1PPP1PPP/2B2RK1 b - -,g8h8
rn2k2r/1bqp1pbp/p3p3/8/8/1NpB4/PPP1QPPP/R1B2RK1 w kq -,b2c3
r1b2rk1/2qpbppp/p1p1pn2/8/N3P3/P3BP2/1PPQ2PP/2KR1B1R b - -,d7d5
2r3k1/3b1r1p/3p1p2/1p1P3N/4PRPp/2P4P/8/5R1K w - -,h5f6
rnb1k2r/1p1pbppp/p3pn2/4q3/3NP3/2N1BQ2/PPP1BPPP/R3K2R b KQkq -,b7b5
r2qkbnr/ppp2ppp/2bp4/1B6/4P3/8/PPP2PPP/RNBQK2R w KQkq -,b5c6
r1bq1r1k/2nn2bp/p2p2p1/3PppN1/NP2P3/1Q6/5PPP/R1B1RBK1 w - -,e4f5
8/3k4/p4p1p/K1bPp1pP/2N1P1P1/5P2/8/8 b - -,d7c7
2rr2k1/p1q1bppp/1p2p3/8/2P1n3/1QR1PNP1/P3RPBP/6K1 w - -,c3c1
3rk2r/p3b1pp/2p1qp2/4p3/1nP5/1P3NP1/P3QP1P/R1B1R1K1 b k -,e8g8
r3k2r/ppqnbppp/2p1p3/4P3/2pP4/3B1Q1P/P1P2PP1/1RB2RK1 w kq -,d3c4
6k1/3R2pp/p4p2/r2p4/3P4/1P6/5PPK/8 b - -,a5b5
3Rr1k1/1pq3pp/2p1b3/p1b1pp2/P1P5/1PN1P1PP/2Q2PB1/5RK1 b - -,e8d8
1k1r3r/pp2qpp1/2p1pbp1/3n4/3P3P/1BP3P1/PP1BQP2/1K1R3R w - -,a2a3
1B6/8/1b2kp2/1P1p2Pp/3Pp3/4PP2/4K1P1/8 b - -,f6g5
2r2rk1/pp1q2p1/5n1p/n2p4/3P2P1/P2N1P2/Q4B1P/3R1K1R b - -,a5c4
5rk1/r2b1ppp/pqn1pb2/1p6/4P3/1NN3Q1/PPP1BPPP/1K1R3R w - -,f2f4
2r2rk1/b4ppp/pq2pn2/1p1b4/7Q/1NPB2B1/PP3PPP/3R1RK1 b - -,a7b8
8/3R1pkp/5b2/5p2/4p3/2np2P1/6KP/4N3 b - -,c3d1
2r5/1p1r1k2/2b3p1/1p1pRpP1/2pP4/P1P2BN1/1P1n1PK1/7R b - -,c8g8
r3r1k1/1p2qpp1/2pn2p1/3p4/3Pn2P/pP2PBP1/P1Q1NP2/1R3K1R w - -,e2f4
6n1/p1p5/3k4/1pp3K1/4P3/1P1N4/P1P5/8 w - -,c2c4
r2r2k1/3bn2p/pp1qpbp1/3n1p2/1P1P4/PB1NBN2/4QPPP/2RR2K1 w - -,e3g5
1k1r4/5B2/1r3p1P/2qppNn1/1p3n2/1Q6/PPP4R/K3R3 w - -,f7h5
r2qr1k1/pb2ppbp/1p4p1/2ppP3/8/2PBP2P/PP1n1PPB/R2QR1K1 w - -,d1d2
Q6r/5ppk/p2Pp2p/3pP3/1P6/2P2P2/P2q1P1P/R4R1K w - -,a8a7
5rk1/2p1ppb1/p2Q2p1/3P3p/8/2N1PPRP/3K4/8 b - -,c7d6
5r1k/6p1/7p/4r2B/p2p4/P1q3P1/5P1P/1Q3RK1 w - -,h5g6
rn1q1rk1/pb2bppp/1p3n2/2ppN3/3P1B2/2NBP3/PP3PPP/R2QK2R w KQ c6,e1g1
8/2R2pk1/6p1/3Pp3/r3P3/3K2P1/5P2/8 b - -,g6g5
5r1k/pp3pbp/3p4/1n1P1P2/4PN2/4B2b/3K4/3B2R1 b - -,f8e8
r6r/p1k3p1/2p2qP1/3n3P/PpB1NP2/1Pb5/2P1R3/1K1R2Q1 b - -,f6f4
r2qkb1r/1p3ppp/p2ppB2/8/2Pp4/5Q2/PP1N1PPP/R3R1K1 b kq -,g7f6
r1b2rk1/pp1qppbp/2p3p1/7n/3P4/1BN1B3/PPP2PPP/R2Q1RK1 b - -,h5f6
1r1br1k1/1q1b1ppp/3p1n2/1p2n3/p2NP3/P3B2P/1P1NQPP1/1BR1R1K1 w - -,d4f5
8/1R2Rpkp/2rp2p1/p7/1PPq4/P4P2/2b2KPP/5B2 w - -,f2g3
6k1/5p2/p3p1n1/2p5/6P1/1PR3Q1/3q4/7K b - -,g6f4
2rq1rk1/1p2ppbp/p1bp1np1/3N4/2PBP3/5P2/PP2B1PP/2RQR1K1 b - -,c6d5
