8/6p1/5kBp/4p2P/r2N1P2/4K3/8/8 w - -,f4e5
3R4/8/2pB2p1/3b1kP1/5P2/7K/8/4b3 b - -,e1c3
rnb1r1k1/bpp2pp1/p2p1q1p/3Pp3/3P4/1BP2N1P/PP3PP1/R1BQR1K1 w - -,d4e5
8/8/8/1R6/3k1pP1/r4P2/4K3/8 b - -,a3a2
1Q6/3b2k1/6p1/1p1q3p/p1pNp2P/P1P3P1/1P3P2/4K3 w - -,b8d8
6rr/1b2kp2/2p2p1p/2q1pP1N/1pP1P1P1/2b4P/R1B1Q2K/3R4 w - -,h2g3
6k1/q1r3pp/1p2ppnP/p7/1bP1Q3/1P1R1BP1/PB3PK1/8 b - -,c7e7
2b4r/N3kppp/1nR1p3/4N3/2p5/4P3/1rP3PP/3R2K1 b - -,e7f6
r1bq1rk1/pppnbppp/4pn2/8/2QP4/5NP1/PP2PPBP/RNB1K2R w KQ -,e1g1
1r1q1rk1/2nbp1bp/p2p2p1/2p2p2/1pPnPP2/1P1PB1PP/P2QN1BK/3NRR2 w - -,e2d4
8/8/8/kp6/2r5/3K4/8/1R6 w - -,b1a1
8/1R6/6pk/4K3/6PP/8/8/7r b - -,h1e1
r1bq1rk1/pp2ppbp/2np1np1/8/3PP3/B1PB1N2/3N1PPP/R2Q1RK1 b - -,b7b6
r4rk1/4qpb1/p1P1bnpp/Q1p5/2P1p2P/P3P2N/3NBPP1/R3K2R b KQ -,f8c8
8/5k2/3p2p1/2pP3p/2Pn2N1/8/6K1/8 w - h6,g4f2
2r2rk1/p3b1p1/8/2pn1p1p/2R1pP2/4B2P/PP3QP1/6K1 w - f6,g2g4
r2qk2r/1pp3pp/p1nb1p2/2p1p2b/3PP3/1QP1BN1P/PP1N1PP1/R4RK1 b kq -,h5f7
r7/5ppp/P3p3/2k1P3/5P2/2K5/6PP/R7 w - -,a6a7
rq2r1k1/1b3pb1/1Bp3pp/p2nP3/8/2N4P/PP3QP1/1B1RR1K1 w - -,e1f1
rn1r2k1/1p2bppp/p3pn2/q3N1B1/P2Q4/2N3P1/1P2PPKP/R2R4 w - -,d4c4
r4rk1/p4p1p/3q2p1/1pRPbb2/8/2N3P1/PPP1NQKP/R7 w - -,c3b5
3r1rk1/p5pp/bp1q1p2/4p3/P1P5/1PN1QP2/4R1PP/4R1K1 b - -,d6b4
2r3k1/1p1b1pp1/p2q2np/3p4/3N1P2/1P1Q2P1/P3B2P/5RK1 w - -,f1d1
3r1rk1/p3qpbp/1pn1b1p1/2p1p3/P3P3/1PP1BP2/2QN2PP/R1N2RK1 b - -,f7f5
8/1rB4p/1P4p1/5p2/4p3/1k2K1PP/p7/R7 b - -,b3b2
8/7p/1p4p1/pNb1k1P1/P5qP/4n1P1/2P3QK/8 w - -,g2f2
r1b1r1k1/p1q2p1p/1p1p1p2/2pPp3/2P1P2n/2PQ3P/P3BP1K/R1B2R2 b - -,g8h8
3n4/1p3p2/p2k3p/3p4/1P3P2/P3K2P/2B5/8 b - -,d8c6
4r1k1/4rbb1/1ppq2pp/3nnp2/pP6/P2PP1P1/1B1QRNBP/2R3NK b - -,g7f6
4b1k1/prq2ppp/4p3/4N3/8/3B2QP/1r3PP1/R5K1 w - -,f2f4
6R1/8/2r5/1p2K1P1/2k5/5P2/8/8 b - -,c6c5
3B4/p4p1k/1p1Q2p1/7p/4p1bP/1P2P1Pq/P4P2/3R2K1 w - -,d6f8
1r4k1/p3qp2/4b1pb/2rpp2p/4nP2/Q1N3P1/P3N1BP/2R2R1K b - -,b8c8
4n1k1/2pr1ppn/p4q1p/1p2pP2/4P2P/BPP3Q1/P1B2P2/2K3R1 w - -,a3b2
6R1/4k2p/P1p5/2b5/5P2/p7/r7/3K4 w - -,a6a7
1q1r4/5pk1/4pbp1/p1Rr3p/1pQP4/1P1RBP2/P3K1PP/8 w - -,g2g3
8/6p1/4n3/4k1P1/1pK5/1P3B2/8/8 w - -,c4b4
8/pp3p2/8/5pk1/5N2/1K5p/P1P4R/3n4 w - -,f4h3
2r2rk1/1b1n1ppp/p1q1p3/1pbpP3/5P2/P1N1B3/1PP1B1PP/3RQR1K w - -,e3d4
r1q1k2r/p2b2b1/3Bp1pp/5p2/2Pnp3/QN1p4/PP3PPP/R3KB1R w KQkq -,b3d4
rnb1kb1r/pp1ppp1p/5np1/2q5/2P5/2N2P2/PP2P1PP/R1BQKBNR w KQkq -,e2e4
3r2k1/1b1r1pp1/4p2p/8/1p1PP3/4RP1P/B2R2PK/8 w - -,d4d5
r1b2rk1/pp2ppbp/2nq1np1/2p5/5P2/2PPBNP1/PPQ3BP/RN3R1K b - -,c8f5
8/1R6/p3p2k/3pNrp1/1P1n4/1P3P1P/5K2/8 w - -,e5g4
3qr1k1/4bpp1/2bp1n2/1p2pPB1/3pP2Q/1B1P4/1PP1N2P/5RK1 w - -,f1f3
8/4k3/3n1PKp/p5p1/1pB3P1/1P4P1/8/8 b - -,e7f8
1rbqr1k1/1p3pbp/p2p1np1/2p1n3/P1P1P3/1PN1B1PP/4NPB1/R2Q1RK1 b - -,e5c6:d8c7
5q2/5k2/pp5P/4Q1p1/6P1/8/5PK1/8 w - -,h6h7
r2r2k1/1p2bpp1/4p2p/1p1p1b2/2NP1B2/P1P2PPP/1P3K2/3RRB2 b - -,b5c4
6B1/1k6/5ppp/p3b3/4p3/4P1P1/P1K2P1P/8 w - -,g8d5
8/1p1b1k2/p5p1/3pB2p/P2N2P1/1P3K1P/2Pb4/8 w - -,f3g3
r1b2rk1/pp2pp1p/6p1/q5N1/3n4/2P4P/PP2BPP1/R2QK2R w KQ -,d1d4
8/pp1nB3/1np3kp/8/8/2P5/PP1N1PPP/3K4 b - -,d7e5
2krn3/5rpp/1p1p1p2/nNp1p3/2P2P2/1P2B1P1/P2RP1KP/R7 b - -,f7d7
8/2P5/4pk2/P4b2/2R3pp/1p6/1N1r3K/8 w - -,h2g1
r3k2r/5ppp/P1Nbp3/8/4nP2/2PpB3/6P1/R4R1K w kq -,f1d1
1r3qr1/5p1k/1p1N1Pp1/p1nPp2p/PnP4P/1P4PB/3Q4/4RRK1 w - -,d6e4
2rr2k1/1p3ppp/1p2pn2/8/2P5/1P3N1P/P2R1PP1/3R2K1 b - -,d8d2
r2q1rk1/1p1nnppp/2pbp3/p2p4/2P3b1/PP1P1NP1/1B1NPPBP/R2Q1RK1 b - -,a8c8
6k1/5pp1/8/5K2/2R1P2P/5P2/5r2/8 w - -,f3f4
4k3/7p/1Pp1PBp1/5p2/B3bP2/8/K5PP/2r5 w - -,b6b7
8/1p1k4/4p2R/1Pn5/3p1P2/4r1N1/P3K2P/8 w - -,e2d1
r1b2rk1/ppp2p2/3p3b/3Pp3/1PP1Pn1p/1NN1BPq1/P2Q2PK/R4R2 w - -,h2h1
4r1k1/pp3p1p/6p1/3p4/2P2N2/3P1Rq1/P2K2B1/2R5 b - -,g3g4
r1bq1rk1/pp1nppbp/5np1/2pp4/3P1B2/2PBPN1P/PP3PP1/RN1QK2R w KQ c6,b1d2
5rk1/pp2p3/2rpnpp1/8/4q3/2P1B1R1/P2Q3P/5RK1 b - -,f8f7
r5k1/pbq1r1pp/4pb2/1Bpp4/6Q1/2P4P/PP3PP1/R1B1R1K1 b - -,e6e5
5rk1/5ppp/p3p3/1pr1P3/n3B3/P5B1/3b1PPP/RR4K1 w - -,e4b7
rqb2rk1/1p3ppp/p1n5/1n2p3/1P3P2/2PQ2P1/3BN1BP/R3K2R b KQ -,f8d8
3b4/5pk1/7p/4P2K/4N3/7P/6P1/8 w - -,h3h4
2r2rk1/1b4pp/1p2pn2/p3Np2/PqBPn3/1P6/KB2QPPP/2R4R b - -,f6d5
8/8/p3p3/3p4/1B1P3b/1P1K4/8/5k2 w - -,b4a5
2r5/4k1pp/3pp3/1B3p2/Pn2b3/1P4P1/1K5P/3RR3 w - -,d1c1
r1bqnrk1/pp1n1p1p/3p2p1/2pP4/2P1Pp2/P1N3P1/1P2N1BP/R1Q2RK1 w - -,g3f4
2k2r1r/ppp1p1bp/1nnqp1p1/3p4/3P1P1Q/1BP5/PP4PP/RNB2RK1 w - -,b1d2
8/8/6p1/4K2p/p5kP/P1R2bP1/8/8 b - -,g4g3
r2r2k1/pp1nppbp/1qp1b1p1/4P3/4PP2/2N5/PPQBB1PP/R3K2R w KQ -,c3a4
6k1/2bN1p1n/5P1p/7P/6P1/5P2/4K3/8 w - -,e2d3
6k1/5p1p/2Q3p1/8/1r2PP2/4q1P1/5RKP/8 w - -,e4e5
r2r2k1/1b1n1pb1/1pp3pp/3p4/Pq1P4/3BPNN1/5PPP/1RR3K1 w - -,b1b4
r1b1r1k1/1pq2pN1/2n4p/3n4/p2p2p1/B3P3/P1QNBPPP/1RR3K1 b - -,g8g7
1r2qrk1/p1pbppbp/1p4p1/2P1n3/7N/B1P3P1/P1Q1PPBP/1R1R2K1 w - -,c2e4
1r4r1/p2k1qb1/1p2p3/n3P1Q1/P7/2R5/1PP2PPP/4R1K1 w - -,e1d1
8/5p1k/r4B1p/6pP/3R2P1/6K1/8/8 w - -,f6e5
r1b1r1k1/p1p1bppp/1pp2n2/3q4/P1NNp3/1P2PP2/1BPP2PP/R2Q1RK1 b - -,e4f3
rn2kb1r/3p2pp/p4p2/3N4/1p6/1P4P1/1BP2PKP/R4R2 b kq -,a8a7
r1bqk2r/ppn3pp/2n2p2/2b1p3/8/P1N2NP1/2QPPPBP/R1B2RK1 b kq -,c8e6
r2qr1k1/1b2bppp/pp1p1n2/1p6/3NP3/2P3B1/PPQN1PPP/R4RK1 w - -,f1e1
r4r1k/ppqb1pbp/2n3p1/2pBp3/3PP3/2P3B1/P3NPPP/1R1Q1RK1 b - -,a8b8
q2r2rk/5p1p/8/2P4N/1P1n4/2QB1P2/6PP/1R4K1 w - -,h5g3
8/R7/6pk/p7/5PK1/4P3/8/r7 b - -,a5a4
r2qr1k1/1b1n1pbp/pp1p1np1/2pP4/P7/2N2NP1/1P2PPBP/R1BQR1K1 w - -,f3d2
8/8/R3p3/3r2k1/pP4p1/8/1b2NP2/5K2 w - -,a6a4
2r2rk1/pp2bppp/1q1p4/3P4/8/1Q3NNP/PPb2PP1/R4RK1 w - -,b3b6
1q1r2kr/pb1nn1b1/1p1pp1pp/3P1p2/1P2PPP1/2NQB3/P1R1N1BP/3R2K1 b - -,e6e5
1r3rk1/2n1pq1p/p2p2p1/1ppP4/2P1B3/1P4PP/P1Q2P2/2R2RK1 w - -,c1e1
6r1/pp6/5R1p/3p4/1P6/2P1k2P/PK4B1/8 b - -,g8g2
rnbq1rk1/pp3pbp/3p1np1/2pP4/N3PP2/3B1N2/PP4PP/R1BQ1RK1 b - -,a7a6
2rq1rk1/3bbppp/4pn2/1p1pN3/p1nP1B2/P1NBP3/1P2QPPP/R1R3K1 w - -,f4g3
3r1rk1/1pR2p2/p2pq2p/3Np1b1/4P3/1P3QP1/1P3P2/3R2K1 b - -,d8c8
8/8/8/8/1p2rk2/1Br5/5P2/1R3K2 w - -,b3d5
r2q1rk1/4ppbp/1pbp2p1/p1nN4/P1P1P3/3BBP2/1P1Q2PP/R4RK1 w - -,a1a2
2rq2kn/1p3nb1/6p1/p2pP1P1/1P1P4/3B3Q/P1NB3R/7K b - -,b7b6
3r2r1/1p5k/3N1p2/p2Pp2p/1B2P1nP/5K2/PP6/R5R1 w - a6,b4a3
r4rk1/1bqn1ppp/4pb2/p1p5/P1NP4/1Pp1PNP1/2Q2PBP/R4RK1 b - -,c5d4
8/8/4p1k1/8/3rp1PK/4R3/8/8 w - -,e3e1
2rn4/rp2p1k1/3pnpp1/p2B4/PPP2PP1/4N1K1/1R2P3/1R6 w - -,f4f5
r1b2r1k/1pp3p1/p2p1q1p/2P1p3/4Pp2/1QPP3P/P2NRPP1/R5K1 w - -,c5d6
r3k2r/pN2bppp/2n2n2/5q2/2Pp1Pb1/N5P1/PP4BP/R1BQR1K1 b kq -,e8g8
r3r1k1/1npqb1pp/1p6/pP1Ppp2/2P5/P5N1/3PQPPP/R1B2RK1 b - -,b7c5
r1bqk2r/1p3ppp/p3pn2/3pn3/3P4/2N1P3/PP2BPPP/R2QK2R w KQkq -,d4e5
r1q1r1k1/1bp2pp1/1p2pb1p/pN6/P3B3/1P1P2P1/2P1QP1P/R4RK1 w - -,a1e1
5r2/kp2qr1p/p1p2p2/4nRp1/3pP3/P2P2PP/1PP1Q2K/3B1R2 b - -,h7h5
2r1k3/7r/4pQb1/7p/6P1/1P2N2p/P4P1K/8 b - -,g6f7
3rrb1k/1bp2pp1/p1n4p/1p1n4/3PN2q/P2Q4/1PBB1PPP/R3R1K1 w - -,e4d6
r2q1rk1/3bppbp/3p1np1/pp6/3BP3/1BN2P2/PPPQ2PP/R4RK1 w - a6,a2a3
1r1r2k1/1p3ppp/2b1pq2/8/2B5/4PN2/PPQb2PP/1K3R2 w - -,f3d2
2r5/7p/1P1p2p1/3Bk3/1K6/5P1P/8/8 w - -,b6b7
6R1/8/2pr2p1/7p/2k4P/5K2/8/8 w - -,f3e3
2r3k1/1p4p1/3R1pq1/1Q6/p6p/P3P2P/1Pr2PP1/3R2K1 w - -,b5a4
r1q1r1k1/1pp3b1/3p3p/p1nPp1p1/2P1Pp2/2Nn1P2/PP2RBPP/R2Q1NK1 b - -,h6h5
1r4k1/1q2np1p/4p1p1/8/RQ1P4/4P2P/3N1PP1/6K1 w - -,b4b7
r3k3/1pq1npp1/p1bppn2/P6r/3NPP1p/2NBQ2P/1PP3P1/R4R1K w q -,b2b4
r1bq1rk1/pppn1ppp/2n1p3/4P3/1bP5/2N2N2/PPQ2PPP/R1B1KB1R w KQ -,c1f4
8/5B2/5p2/p1k3Pp/8/2K2bP1/1P6/8 b - -,f6g5
1r6/6kn/3p4/p2Pppp1/R5p1/5PBP/1P4P1/6K1 w - -,h3g4
R7/8/pk2KP2/1p6/8/8/5r2/8 b - -,b6b7
r3nb1k/pp4r1/3N4/P2Pp2p/1BN1Ppbq/Q7/2P3PP/R4RK1 w - -,c4e5
r1b1k2r/pp2bppp/4pn2/8/3q4/2P1B3/PP2BPPP/RN3RK1 w kq -,e3d4
1r3rk1/6pp/3q4/p2pp3/4p3/2p5/PP2Q1PP/R4R1K w - -,b2c3
3r1r1k/2p3pp/2n2P2/ppqp4/4b1P1/1B5P/PPPQ1R1B/2K2R2 b - -,g7f6
r4rk1/1bq2ppp/pn2pb2/2p1N3/5P2/1BP5/PP1BQ1PP/R4RK1 b - -,a6a5
8/2R2P2/1p6/pB2p3/P2pP1p1/3P1qN1/1k5P/4K3 b - -,f3f4
r5rk/1pq2p1p/2p5/p3pbn1/4Pb2/2P3P1/PPB1QP2/R1B1R1K1 w - -,e4f5
8/4p3/r2bk1p1/4p2p/2R1K2P/4B1P1/5P2/8 w - -,e3c1
3k1b2/1p1r3p/2p1ppp1/p2r4/PP1P4/1R2PPB1/2R1KP1P/8 w - -,b4a5
r1bq1rk1/4npp1/pp2p2p/3nN3/3P4/2N2B2/PP3PPP/R2Q1RK1 b - -,c8b7
rnbqkb1r/pp2pp1p/2p3p1/8/Q2PP3/5N2/PP3PPP/R1B1KB1R b KQkq d3,f8g7
r4rk1/p1p2pp1/1pnq3p/5b2/2BPn3/2P1BN1P/PQ3PP1/2R2RK1 w - -,f1e1
r1bq1rk1/3n3p/pn1p4/N2Ppp2/8/2N5/1P3PPP/R1Q1RBK1 w - -,f2f4
4nbk1/1p1r3p/4qp2/3p2p1/p5P1/P1PQBNP1/1P3PK1/3R4 w - -,d3b5
3r1bk1/pp3ppp/4n3/3QNb2/1q2n3/4B1P1/5PBP/2R2RK1 w - -,d5c4
r1b1k2r/2q1bppp/p2ppn2/1pn5/1P1NPP2/P1NB4/2P3PP/R1B1QR1K b kq b3,c5d3
r1b1qrk1/pp4b1/n1p1p1pp/3p1p2/2PP2n1/PP1N2P1/1BQNPPBP/R4RK1 w - -,d2f3
rn4k1/pb2b1pp/1pp5/8/2PP1q2/8/PPQ2PBP/2KR3R w - -,c1b1
r5k1/pqr2ppp/R3p3/3p4/Rb1P4/1Pp1PN1P/2P2PP1/5QK1 b - -,g8f8
rnbq1rk1/ppp1ppbp/5np1/3p2B1/1P1P4/2P2N2/P2NPPPP/R2QKB1R b KQ b3,h7h6
3k4/P7/7p/N1R3p1/3K2P1/7P/r7/7b b - -,d8d7
r3k2r/1p2ppbp/p1p1Bnp1/2P1q3/6P1/2N1BQ1P/PP3P2/2KR3R b kq -,e5e6
rnb1k2r/pp2ppb1/1qp3pn/3pP1Bp/3P4/1N1B4/PPP1NPPP/R2QK2R b KQkq -,b8a6
r1b2rk1/pp4pp/4q3/2Pp4/4p3/4BP2/PPP3PP/R2Q1RK1 w - -,f3e4
4rrk1/pp3qp1/2p4p/4p3/1P2Q3/P4PP1/1R2P1KP/4R3 b - -,f7d5
6k1/8/5Rp1/5b1P/p4K2/2B5/8/r7 b - -,a1f1
r1bqk2r/pp2bpp1/1np1pn1p/8/2BP3B/2N1PN2/PP3PPP/R2QK2R w KQkq -,c4b3
8/8/3k1pp1/P2B4/3P3P/p3K3/4bP1P/8 w - -,d5a2
5k2/pr5p/2p1p3/2Ppq1P1/4p2P/P1P4Q/1P6/2K2R2 b - -,b7f7
2krr3/2p2bp1/1bp2pn1/pp6/4PN1p/PP1N3P/2P2PPB/3RRK2 b - -,g6f4
r1bqkb1r/ppp2ppp/2np1n2/1B2p3/4PP2/2N2N2/PPPP2PP/R1BQK2R b KQkq -,e5f4:c8g4
2r2rk1/1pq1nppp/p1n1p3/3p3b/2PP1b2/PP3N1P/1B3PP1/RB1QRN1K w - -,f1e3
rnr3k1/pb3pb1/2p3pp/1p1Pp3/4P3/1B2BN2/PP3PPP/2R1K2R w K -,e1g1
8/2Rn1k2/1p1P1np1/5PKB/2P1p3/4N3/8/1r6 w - -,f5g6
r3kb1r/1ppq1ppp/2n5/p3Pn2/2Pp1P2/PP1B4/1B3PPP/RN1Q1RK1 b kq -,f8e7
r1b1r1k1/pp2qppp/2p3n1/3p4/1P1Pn3/2NBPN1P/P1Q2PP1/1R3RK1 w - -,b4b5
rn1q1rk1/pbppp1bp/1p4p1/5p2/3Pn2B/2PBPN2/PPQ2PPP/RN2K2R w KQ f6,e1g1
5r1k/p5p1/P6p/8/1Pp1r1P1/3p1R1P/8/6K1 w - -,f3f8
5n2/6kp/3p4/p1pPp3/PpP2rB1/1P2N3/1B2K3/8 w - -,b2c1
rnbqkb1r/ppp1p1pp/3p1n2/5p2/2PP4/2N3P1/PP2PP1P/R1BQKBNR b KQkq -,g7g6
8/5p2/1p3Pk1/5rP1/K1P5/6R1/8/8 w - -,g3g2
kB6/8/1R6/2P2p2/4bP2/r7/3K4/8 w - -,b8d6
rn1qkb1r/pp3ppp/4pn2/3p1b2/3P4/2N1PN2/PP3PPP/R1BQKB1R w KQkq -,d1a4:f3e5
rnbqk2r/pp2ppbn/2p5/3pP1B1/3P4/2N5/PPPQ2PP/2KR1BNR b kq -,h7g5
r4k2/2R5/6p1/8/1pB2r1p/pP3P2/P1P5/1K1R4 w - -,c7h7
r1bq1rk1/pppnn1bp/3p2p1/3Ppp2/2P1P3/2NN2PP/PP1B1PB1/R2Q1RK1 b - -,d7f6
6k1/5p1p/p1Q1q1p1/1p6/8/1P4P1/P3rPKP/2R5 w - -,c6e6
r1b2rk1/pp1n1pbp/3qpnp1/2p5/3P1B2/2NB1N1P/PPPQ1PP1/R3R1K1 b - -,d6b6
rnbqkb1r/5ppp/p1p1pn2/1p2N3/3P1B2/2N5/PP2PPPP/R2QKB1R b KQkq -,c8b7
r4rk1/p1R3pp/5b2/3p1p2/Q2P1B2/6P1/PP2q2P/5RK1 b - -,e2b2
3r2k1/p1qn1pp1/1p2p2p/1Qb5/1P6/4P3/P2R1PPP/3R2K1 b - -,a7a6
rn1qk2r/1bp1bppp/p3pn2/8/Pp1P4/3BPN2/1P1NQPPP/R1B2RK1 b kq -,c7c5
r1b1k1nr/1p3ppp/p2qp3/3p4/1P1P2Q1/P1N5/2R2PPP/4KB1R b Kkq -,e8f8
r5k1/1q1pbr1p/4ppp1/2p5/PnB1P1Q1/2B2P2/1P1R2PP/R5K1 b - -,b4c6
4k3/p3rp1Q/1p3R2/3Pp3/q3P3/7P/1P4P1/6K1 w - -,h7f5
6k1/p2n2pp/4ppb1/2n5/2P1N3/3pR1PP/P2R1PBK/1r6 b - -,g8f8
2r2rk1/pp3ppp/4bn2/1pqp4/1B2p3/4N1PP/3QPPB1/R4RK1 b - -,c5b6
r1bq1rk1/p3pnbp/npp2pp1/3p4/3PP3/2N1BN1P/PPPQBPP1/3RR1K1 b - -,a6c7
1rbq1rk1/4npbp/3p2p1/1p2p3/1RPn4/2NPN1P1/4PPBP/2BQK2R w K b6,c4b5
8/4rpk1/5npp/8/8/4PPP1/3RB1KP/8 w - -,g2f2
r3nr1k/p2q2pp/1pp2b2/5p1N/3P1B2/P1P1R3/4QPPP/4R1K1 b - -,h7h6
1Q6/1p6/p4pkp/P2q4/4r1P1/2B1P3/1P3P2/4K3 w - -,b8f8
1r3rk1/p3R2N/1b1p2qp/2p2b2/2P2p1P/PN1P4/1P1Q1PP1/1R4K1 b - -,f8f7
2rr2k1/pp4p1/2n1bq1p/3pn2N/8/1P3N2/P2QBPPP/2R2RK1 b - -,e5f3
3r2k1/rp3p1p/p1b3p1/2Rp4/3P4/3B1P2/PP4PP/2R3K1 w - -,h2h4
3b1k2/5p2/7p/4P3/4N1K1/7P/6P1/8 w - -,g4h5
r2q1rk1/pp1b1pbp/n2p1np1/3Pp3/4P3/2NBBP2/PP1QN1PP/R3K2R b KQ -,a6c5
Rnr3k1/5b1p/2pq2p1/2p2p2/2P4P/2QNPBP1/5PK1/8 b - -,c8f8
2rq2k1/1Q1n2pp/2pBRp2/p2n1P2/3P2P1/5N2/1P4KP/8 w - -,d6g3
4r1k1/pq3pp1/1ppn1b1p/3p4/P2P4/1PNQP3/5PPP/R2R2K1 b - -,b7d7
r2q1rk1/1bpnbppp/3ppn2/p5B1/2NP4/5NP1/PP2PPBP/2R1QRK1 b - -,c7c6
2r2rk1/pb1n1p1p/4qb2/6p1/2pPp3/2N1P1P1/PBR2PBP/2QR2K1 b - -,d7b6
r1bq1rk1/2p1bppp/p1np1n2/1p6/3NP3/1BP5/PP3PPP/RNBQR1K1 b - -,c6a5
1rbqr1k1/1p1n1ppp/p2p1n2/b1pP2N1/P7/1PN3P1/1BQ1PPBP/R4RK1 b - -,d7f8
3r4/5ppk/1nR2P1p/1N6/4QP1q/P6P/1P2Bb2/1K6 b - -,h7g8
2r2k2/p1r2p1p/4PB2/5P2/4b3/1B4RP/P5PK/8 b - -,e4f5
r4rk1/1b1nqpb1/p1p1p1pp/1p2P3/P1BP1B2/2PQ4/3N1PPP/3R1RK1 w - -,c4b3
r3kb1r/5ppp/p1npbq2/4p3/2p1P3/N2B4/PP1B1PPP/R2QK2R w KQkq -,a3c4
