8/5p2/7P/1R3pk1/1P6/6P1/1r3PK1/8 b - -,b2d2
r1bq2k1/pp1r4/3p4/2pQPp2/6p1/6P1/PP3BK1/R4R2 b - -,d7f7
r1b1kb1r/ppqp1ppp/4pn2/8/3BP3/2N5/PPPQ1PPP/R3KB1R b KQkq -,e6e5
Rb6/3b4/1r1p1p1k/2nP3P/4PKP1/2P1N3/2B5/8 w - -,e3c4
2r2rk1/1p1np2p/p1bp2p1/4qP2/1P4B1/2N4P/1PPQ1PP1/3R1RK1 b - -,g6f5
8/p2k2p1/1p3b2/2r4p/P1r2R2/R1P4P/2KB2P1/8 b - -,c4f4
5r2/p1qnkrp1/Pp2p2p/1Pp1P2P/2PpQPP1/R4RK1/4N3/8 w - -,e2c1
r2qr1k1/p4pb1/3p2p1/2pPPb1p/Qn3Pn1/N4B1P/1P2N1P1/R1B2RK1 w - -,e2g3
r1bq1rk1/1p1nbppp/p1pp1n2/4p1B1/3PP3/1BN2N2/PPP1QPPP/R4RK1 b - -,b7b5
r1b2rk1/1p1nbppp/2pp1n2/p5B1/Pq1QP3/2N2N1P/BPP2PP1/R3R1K1 b - -,d7e5
r2q1rk1/1b1n1ppp/p3pn2/2b5/2B5/1P3NN1/PB3PPP/R2Q1RK1 b - -,d7b6
3r2bQ/2p2kPr/5p2/R3p1p1/8/2P1KP2/4P3/8 w - -,a5a7
6k1/2p4p/1p2Bbp1/1PpPp3/q1P1n3/3N2P1/1Q5P/7K b - -,g8g7
r5b1/kp6/pq4P1/4Q3/4P3/P1R5/4N3/4K3 b - -,b6g6
8/5k2/1pB5/p3Kp1p/P2p4/3P4/4P3/6b1 w - -,e5f5
4r1k1/pn4pp/2p2r2/3qBp1b/3P4/1P3N1P/P2PQPP1/R3R1K1 b - -,f6g6
3rn1k1/1q3p1p/2R1p1p1/pB1p4/Pr1P2P1/1P2QP2/7P/2R3K1 w - -,e3f4
3br1kr/2qn1pp1/2p2np1/p1Pp4/Np1Pp1P1/3BPP2/PPQ4P/1K1RB2R w - -,f3e4
8/5pkp/3n2p1/3R4/1r3PP1/8/2B2PKP/8 b - -,d6e8
3rb1k1/5pb1/1qB3p1/pP5p/Pr1p4/1N1Q2PP/4RP2/2R3K1 b - -,e8c6
2bbq1r1/4n1pk/pp2pr1p/2p1N3/2PpPP2/PP1P3B/3BQ1R1/6RK w - -,h3g4
8/1p3p1k/pq1r4/2p3Q1/3nP3/1b4P1/6BP/2B2R1K w - -,e4e5
r5k1/3N1p2/2p1P1p1/3p4/1Rnq3p/6P1/2Q2P1P/6K1 b - -,a8a1
8/8/P3ppp1/3b4/5PK1/r6P/3k4/4RB2 w - -,e1e2
1r3rk1/1p1qppb1/p1np1npp/2p5/P1P1PP2/3PNNP1/1P5P/R1BQ1RK1 w - -,f4f5
Q7/p3k2p/q3bppB/2pp4/3P3P/1P6/5PP1/6K1 w - -,h6f8
3rrbk1/p1q2ppp/1pp1n3/4P2Q/5P2/P3B2P/BP4P1/R3R1K1 b - f3,g7g6
8/3nkpb1/2b3pp/2ppP3/p3NP1P/P7/1rBN2PB/4RK2 w - -,c2a4
5r2/2R2p2/4pkp1/7p/7P/4PKP1/5P2/8 b - -,f6g7
8/6B1/6p1/5k1p/5p2/2r5/4BPK1/8 b - -,c3a3
8/5p1k/p1Q5/P6p/5P2/6KP/1P6/5q2 w - -,c6e4
rn1qk2r/1b2bppp/pp1ppn2/8/P2NPP2/2NB1Q2/1PP3PP/R1B2RK1 b kq -,e8g8
4r3/1p4kp/4P3/5p2/p7/Pn3N2/5PPP/1R3K2 b - -,e8e6
4b3/p4r1k/1p5p/3pPp1P/PQnP3q/B4R2/4NP2/4K3 w - -,e2f4
r4rk1/2q1ppbp/1pbp2p1/p1nN4/2P1P3/1P3P2/P2QBBPP/2RR2K1 b - -,c6d5
r2q1rk1/3nppbp/bn1p2p1/2pP4/P7/2N2NP1/1P2PPBP/R1BQR1K1 w - -,d1c2
8/1b1k4/1p1bpp1p/p2p4/P2P1N2/1P1NP1PK/5P2/8 b - -,d7e7
4r1n1/4qpk1/2nb2pp/1p2p3/1P1pPP1N/1Q1P2PB/3B3P/1R4K1 w - -,h4f3
r3r1k1/1b3pp1/2p4p/1P6/p6P/P3P3/5PP1/3RKBR1 w - -,d1d7
4r2k/6bp/5np1/1Pp1Bq2/4p3/1P4P1/1Q3PBP/4R1K1 w - -,e5c3
3r2k1/pbpn2p1/1pnb3p/8/PP4N1/2P4P/2B2P1P/R1B1R1K1 w - -,c2e4
6rk/B4ppp/5n2/8/1r6/5B2/P5PP/3R3K w - -,a2a3
r1b2rk1/1p4pp/p2np1n1/5p2/3N4/2N5/PPP2PPP/2K1RB1R w - -,g2g3
r1bq1rk1/1p1nbppp/2p1pn2/p2p4/2PP1B2/1Q3NP1/PP2PPBP/RN3RK1 w - a6,f1c1
4n3/p6k/1p2p1r1/3pP3/3P1Bpr/2P3R1/PP2K1RP/8 w - -,g3d3
rnbq1rk1/pp2ppbp/5np1/2pp4/2PP4/2N2NP1/PP2PPBP/R1BQK2R w KQ c6,d4c5
5r1k/Q3Np2/6pp/3p4/1Pb5/2P3RP/2q2PPK/8 w - -,a7d4
r2q1rk1/pp1nppbp/2bp2p1/1N6/1nP1P3/2N1BP2/PP1QB1PP/1R3RK1 b - -,a7a5
3r1rk1/1p3p1p/3qb1p1/p1npb1N1/3p1N1P/PB1P1QP1/1PP2P2/R3R1K1 b - -,h7h6
r6k/pp1q2bp/n1p2rp1/2Pp1p2/N7/1Q2P1P1/PP3PBP/R4RK1 b - -,g6g5
2r2rk1/p1q1bppp/1pN1pn2/8/4B3/P5P1/1P2QPP1/R2R2K1 w - -,e4f3
2r1k2r/1p3pqn/p1bpp3/P5P1/2n2P2/1N6/2P2QB1/R1B1R1K1 w k -,a1b1
5r2/ppp2r1k/1q4pb/3bPN1p/1P3P1P/2Q3PB/3R3K/3R4 b - -,g6f5
r1b2rk1/ppp2qpp/2nb4/3Qn3/8/4NN1P/PPP1BPP1/R1B1K2R b KQ -,c8e6
8/p3k2p/1p1rppp1/8/1PP1K3/6P1/P1R2P1P/8 w - -,f2f4
8/5R2/3k1p2/1pP5/4K1P1/8/8/5r2 b - -,d6c5
r3kb1r/1p3pp1/p1n1p2p/3nP3/7B/5N2/PP1N1PPP/R4RK1 b kq -,f8e7
rnr3k1/p4pbp/bpp1pnp1/8/3PPB2/1BN2N2/PP3PPP/R1R3K1 w - -,e4e5
3rr1k1/1b3pp1/p1pqp2p/2R5/P2PB3/2Q1P3/1P3PPP/5RK1 b - -,d8c8
5nk1/1p3pb1/1qp1p1p1/3pP1N1/1P1P1P1p/2P4Q/r5PP/2B2RK1 w - -,h3h4
2Q3k1/2p1q1p1/3p1p1p/8/3P3P/5RK1/6P1/7r b - -,g8f7
8/p4pk1/2r3p1/2pp3p/4b3/BP4bP/P3R1P1/3R2K1 w - -,d1c1
7r/pp1k2p1/4pp1p/3p3P/1b1B4/6N1/q1Q2PP1/2KR3R b - -,h8c8
2rr4/5pk1/3p1pp1/qp5p/4P3/1P3PP1/P2R1Q1P/3R2K1 b - -,a5b4
r2qkb1r/1pp2ppp/p1n1pn2/3p4/2PP2b1/P3PN2/1P1NBPPP/R1BQK2R b KQkq -,f8e7
r1bq1rk1/pp1np1bp/2pp2p1/5p2/2PPnB2/1QN1PN1P/PP2BPP1/R4RK1 b - -,e7e5
r2qkb1r/pb1p1ppp/1pn1pn2/2p5/3P1B2/3BPN2/PPPN1PPP/R2QK2R w KQkq -,c2c3
8/4k3/2R5/2p5/2P1pP2/6K1/8/2r5 w - -,c6c5
8/p5p1/4kn2/2P2p2/P2K3p/4NP2/8/8 w - -,c5c6
r5k1/pp1rqppp/1nb1pn2/4B3/Pb1P1N2/1BN1QP2/1P4PP/R2R2K1 b - -,a8d8
2rq1rk1/pb2bppp/1pnppn2/2p5/4P3/2PP1NP1/PP1NQPBP/R1B1R1K1 w - -,d2f1:a2a4
4r2k/p3r2p/Pp2B1p1/1QbP1p2/8/q1P4P/4R3/4RK2 b - -,a3c3
8/5k2/4p1p1/pp2P3/3P1n2/2P5/P1K5/6R1 b - -,f4d5
1r1r2k1/p4ppp/2p4q/B1Qn4/P1B1P3/1P2P3/4KP2/2R5 b - -,h6h5
r4rk1/2n1b1p1/p1n1p1p1/1pPp1p1P/1P1P1PP1/3BP3/3BNK2/R6R b - -,g6h5
3r2k1/pp4pp/1b6/3r4/2R2p2/1N5P/PP3PPK/5R2 b - -,g7g5
4N3/8/3p4/2pPk2p/1p4p1/1P2K3/2P3P1/8 w - -,g2g3
rnb2rk1/p4p1p/3qp1p1/1ppP4/2B1PP2/2Q5/PP4PP/R3K1NR w KQ b6,c4b5
1k6/pp3p2/3P2p1/8/2q1P3/P2p2P1/1P6/K2Q4 b - -,b8c8
6R1/3k4/3Pr2p/2Pp4/3P2p1/3K4/8/8 b - -,h6h5
r4qk1/pp3p1p/5ppb/1N3b2/3Q4/3Bn3/PPP3PP/1KR4R w - -,d4d6
8/8/p3k3/PpPp4/5p1B/2P1p2b/4K3/8 b - -,h3g4
rnbqkb1r/pp1ppppp/5n2/2p5/5P2/1P6/P1PPP1PP/RNBQKBNR w KQkq c6,c1b2
r1bqkb1r/pppn1pp1/3p1n1p/4P3/2B5/2N1PN2/PPP2PPP/R1BQK2R b KQkq -,d6e5
r2r3k/1p3p1p/pqbRpR2/4n3/P3P3/2N5/1PPQB1PP/7K w - -,d6d8
2r2bk1/3n1p1p/2r1q1p1/Pp2p3/1P2P3/1R3PP1/3B3P/1Q2RNK1 b - -,e6h3
r1b2rk1/pp2ppbp/2n2np1/1N2q3/5B2/2N3P1/PP2PPBP/R2QK2R b KQ -,e5h5
R5k1/1p1n1p1p/1P1Qb1p1/3qPp2/3N3P/8/5PP1/6K1 b - -,g8g7
2kr4/3q4/1ppr1pp1/bR2p2p/P1P1Q3/3P3P/6P1/3R2BK w - -,g1b6
4k3/8/4P3/p1N5/PpP3bR/1P2r2p/8/6K1 b - -,e3g3
r3r1k1/ppq1b1pn/2pp2np/3Ppb2/2P5/2NBBNPP/PP1Q1P2/3RR1K1 b - -,e8f8
QR1nk3/4q3/b3p1p1/2p1PpP1/3p1Pr1/r2P4/P5B1/1R2N1K1 w - -,b8d8
rn1qkb1r/ppp1pppp/5n2/3P1b2/3P4/8/PPP1BPPP/RNBQK1NR b KQkq d3,b8d7
1rbq1rk1/4ppbp/p1np1np1/1p1N4/P3P3/6P1/1PP1NPBP/R1BQ1RK1 w - b6,a4b5
r1bqk2r/pp3pp1/5n1p/3pN3/3P4/2P3P1/P3P1BP/R2Q1RK1 b kq -,e8g8
r1bqr1k1/b1p2pp1/p1n2n1p/1p1pp3/4P3/2PP1N1P/PPB2PP1/R1BQRNK1 b - -,d5d4
3r1bk1/2rP1pp1/q1p4p/p3N2Q/pn5P/1PN3P1/3R1PK1/3R4 b - -,g7g6
5rk1/3rQp2/n2n2pp/1pp2q1P/4P3/PP4PN/5PB1/2R2RK1 b - -,d7e7
r1q1nrk1/pp2ppb1/2p1b2p/6p1/2PPP3/5NBP/P1Q1NPP1/2R2RK1 b - -,e8d6
1rbqk2r/pp3p2/2npPb1n/2p4p/4P2p/2NP2PP/PPP3B1/R1BQ1RK1 w k -,e6f7
7r/p2R3P/Pp4P1/8/7K/3p4/5k2/8 b - -,f2e2
r4rk1/p4p1p/1q1P1bp1/2p1n1N1/7P/2N3p1/PP4B1/R1B2Q1K b - -,f6g5
r3kb1r/pppq1b1p/2n2pp1/3pp3/3P1N2/2N1P1B1/PPP1QPPP/R3K2R w KQkq e6,d4e5
2rq1rk1/1b1nppbp/1p1p2p1/p3n3/1PP1P3/P1N1Q2P/1B1NBPP1/1R1R2K1 w - -,f2f4
r4rk1/1pqbbppp/p1n1pn2/8/P1B5/1P2PN2/1B1NQPPP/2RR2K1 b - -,a8d8
8/8/6pp/6k1/8/5N1P/5P1K/3r4 b - -,g5f4
4r1k1/pp3p1p/2n1rqpQ/8/8/6PP/P2R1PB1/3R2K1 w - -,d1f1
3qrbk1/pp3ppp/2p2n2/2n5/4P3/2N1B1PP/PPQ2PB1/R5K1 b - -,d8e7
3k2r1/p2n1p1p/2n5/2NNP3/5p2/8/r5PP/2RR2K1 w - -,g2g3
r2r1bk1/1p3pp1/p1q1bn1p/2p1pN2/2P1P3/2P3P1/P1Q2P1P/R1B1RBK1 w - -,a2a4
5r1k/4b1p1/pq2pr1p/2p5/2Q2B2/P3P3/1PR2PPP/3R2K1 w - -,c4e4
5rk1/p5N1/1pn4p/n2r4/2p2p1N/2P5/1P3P1P/R1B1R1K1 b - -,g8g7
rnbqkbnr/ppp2ppp/8/8/8/2N5/PP1P1PPP/R1BQKBNR w KQkq -,d2d4
8/1nqbk3/p2p1pp1/2pPp3/2P1P1p1/4Q1P1/P2BBPKP/8 b - -,g6g5
7r/1q1p1k2/p3pP2/3n2pp/P2Q4/2p3PP/1P4P1/3R1RK1 w - -,b2c3
1r4rk/4q2p/1p3n2/p1p1NpNR/3n4/PP1P1PP1/3QPK2/1R6 b - -,b8f8
2r3k1/8/p2pp1pQ/8/1PP5/3b4/3KqN1P/6R1 w - -,d2c3
3r1rk1/1p3pb1/5q2/1pP2p1p/2BPbPp1/PQ6/4N1PP/3R1RK1 w - -,c4b5
r5k1/1p3np1/p1ppr3/8/4P3/2PQR2P/PP4P1/7K b - -,a8e8
3r2k1/1R6/2B3pb/p7/P2r3p/7P/1P2R1P1/4K3 b - -,h6f4
2R2N1k/q5p1/p2p4/P1RPb3/6p1/8/1P5r/6K1 w - -,f8g6
8/5ppk/p3p1p1/1p5n/q1B3PQ/7P/5P2/2R4K b - g3,a4a3
8/p1r5/1p6/3k4/3BpR2/1P2K1P1/8/8 b - -,c7c1
1rb2rk1/p1q1ppbp/2np1np1/2p5/1p2PP2/3PB1PP/PPPQN1B1/R2NK2R w KQ -,g3g4
r1b1k2r/pp3pp1/2n2q1p/2pp4/1b1P4/1QN1PN2/PP3PPP/R3KB1R w KQkq -,f1e2
2r2rk1/p2nppbp/bq4p1/2pB4/3PP3/1Q2BN2/P4PPP/3RK2R b K -,c5c4
1rbqk1nr/p3ppbp/2np2p1/2p5/1p2PP2/3PB1P1/PPPQ2BP/R2NK1NR b KQk -,d8b6:e7e6
r1b1k2r/1pp1q1pp/p1np4/2bPp3/5p2/PB1P1N2/1PP2PPP/R1BQ1RK1 b kq -,c6d8
r4rk1/pp2bppp/nqp2n2/3p1b2/8/P2P1NP1/1PQ1PPBP/RNB2RK1 w - -,b1c3
r4rk1/pp1bpp1p/3p1np1/3qP3/5P2/3P2NP/P5P1/B1RQ1RK1 b - -,f6e8
8/2k4p/2p3p1/2P5/4N3/PP3r1b/8/R6K b - -,f3b3
r2q1rk1/pp2ppbp/2n1bnp1/1NP3N1/2Pp1B2/8/PP2PPPP/2RQKB1R w K -,b5c7
3b4/7k/p5p1/1p1N4/1B6/3b3P/6P1/6K1 b - -,d3c4
1r2r1k1/5p1p/p4p2/8/PBR5/1n5P/1P1p1PP1/5K1R w - -,c4g4
r4rk1/1ppb1pp1/p1np1q1p/4p1b1/3PPn2/2P1BNN1/PPB2PPP/R2QR1K1 w - -,d4e5
r2q1rk1/pp2p2p/3ppnp1/n7/2P5/2P3PB/P3PP1P/R1BQ1RK1 b - -,g8f7
1rb2r2/p4pkp/2p3p1/3p4/1p2qP2/2P1N2P/PP1Q2P1/R4RK1 w - -,f4f5
r1b1qr1k/ppp1p1bp/2np1np1/5pN1/3P4/1QP3P1/PP1NPPBP/R1B2RK1 w - -,g5e6
3r4/p4k2/PpRb1P2/1P2pp1p/3p3P/1P1P4/3B1K2/8 w - -,f2f3
rnbqk2r/pp2ppb1/2pp1npp/8/2PP3B/2N1PN2/PP3PPP/R2QKB1R b KQkq -,e8g8:d8a5
r1bq1rk1/1p2n1bp/2np1pp1/p1p1p3/2P5/P1NP1NP1/1P1BPPBP/1R1Q1RK1 w - -,f3e1
rnbq1rk1/1p1nppbp/6p1/2P5/1P3P2/2N1PN2/3B2PP/R2QKB1R b KQ -,a8a1
r2r4/1b6/pPp2k2/P1Bpp3/5np1/N1P3R1/6PP/4R2K w - -,g3g4
r1bq1rk1/5ppp/1pn1pb2/p2n4/3PR2P/PB1Q1N2/1P3PP1/RNB3K1 w - a6,c1g5
3r3r/p1qb1k2/1p3p1p/2p3p1/3pPpP1/3P1R1P/PPP2KQN/7R w - -,f2e2
2r2rk1/pp2qpp1/5nnp/4pQ2/7P/2P1P1B1/P3BPP1/R2R2K1 b - h3,f8e8
3q1rk1/rbpnbppp/1p2p3/p7/3P4/P4NP1/1PQ1PPBP/R1BR2K1 b - -,d8a8
rn1qkb1r/1b3ppp/p2p1n2/1pp1p3/P3P3/2PP1NP1/1P3PBP/RNBQR1K1 b kq -,d8c7
2r2k2/p2bppbp/3p2p1/3N4/2P1P3/1N2BP2/Pr4PP/2R2RK1 b - -,b2a2
r7/p1nr2kp/2pNb3/8/6p1/1PN3P1/PKP1R2P/5R2 w - -,d6e4
5rk1/p5p1/1p1p1q1p/n1pP1b1Q/2P5/3B2BP/P5P1/5R1K b - -,f5d3
2r5/1r2bqnk/4p2p/1p1pPp1P/p2P1Pp1/PnP3P1/2N1NK2/3RB1QR b - -,f7f8
6k1/1b5p/p1Nb1pp1/3p4/8/1P2P3/5PPP/2R3K1 b - -,d6a3
3r1k2/ppp1r1bB/b3pq2/3P3Q/6pP/6P1/5P1N/3RR1K1 w - -,h2g4
r1br2k1/pp3pp1/2pqpn1p/6N1/2BP3Q/8/PPP2PPP/3RR1K1 w - -,g5f3
8/4R3/5k2/2p3N1/3b4/5p1P/8/5K2 b - -,f6e7
8/pp1k4/3bpp1p/3r2P1/3PK1P1/PP3N2/5P2/3R4 b - -,h6g5
8/8/1p1b1k2/1B1P4/P7/2K2P1b/8/4N3 w - -,c3d3
rnq2rk1/2p2ppp/1p1ppn2/p7/1bPPb3/1PB2NP1/PQ2PPBP/RN3RK1 w - -,a2a3
r7/5kp1/2pPbp1p/Bq6/3P4/R6P/5PP1/4Q1K1 b - -,b5d5
r4k2/1p4R1/3p1B2/3Pp3/p1N5/P4q2/5P2/2R3K1 w - -,c4d6
2kr1b1r/pppqpppp/2n5/1Q1n4/3P4/2N5/PPPBbPPP/R3KB1R w KQ -,c3e2
r1b1kbnr/ppp1pppp/2nq4/8/8/2N2N2/PPPP1PPP/R1BQKB1R w KQkq -,f1b5
8/5kp1/4p2p/2p4P/KpP1P1P1/2b2N2/8/8 w - -,a4b3
3k4/3n4/3b2pp/1R1BPr2/4K3/6P1/2R4P/8 b - -,f5e5
8/8/5pk1/p4n2/5BBp/1P1K3P/6P1/4b3 w - -,d3c4
6k1/7p/1p1pP1p1/1P6/p7/R3B2P/2q3P1/7K b - -,c2e4
r2q1rk1/pp3pbp/2n1pnp1/3p4/3P4/NP3BPP/PBP2P2/R2QR1K1 b - -,a8c8
2r1k2r/1b6/pb6/2p2p1p/1PP1pP2/4B3/4B1PP/R4RK1 w k -,f1b1
r3qrk1/1pp3p1/2nbb3/3p1pNp/p2PnP1P/2P1N1P1/PPQ3BK/R1B2R2 b - -,e4g5
rn2kr2/1bq1bp1Q/pn1p1p2/1p2p1P1/1P2P3/2N3NP/P1P3B1/R1B2RK1 w q -,g5f6
3R1r1k/1pB2rp1/p6p/4p3/3n4/2R1K2P/PP6/8 b - -,f8d8
r1b1kb1r/pp3ppp/1qn2n2/3p4/2pP1B2/2N2NP1/PP2PPBP/2RQK2R b Kkq -,f8e7
4rbk1/2q2p2/6p1/p2R2N1/P3p3/2P4P/2Q2P2/6K1 w - -,g5e4
r4rk1/1p3p2/p1n1bb1p/3p2p1/8/1NR1P1B1/PP2BPPP/5RK1 w - -,c3c2
2rqr1k1/1b3ppp/3p2n1/1Q1P4/1p2PP2/1Rb1BN1P/2B3P1/3R2K1 b - -,b7a8
rr4k1/4qppp/2p2n2/p2p1b2/Pb1P4/4P3/N3BPPP/R1NQ1RK1 b - -,f6e4
2bqkb1r/rp1n1ppp/p3pn2/2p5/3P4/5NP1/PPQ1PPBP/RNB1K2R w KQk -,e1g1
r1bq1rk1/ppp3bp/3p1np1/n2Pp3/2P1N3/3Q1NP1/PP3PBP/R1B2RK1 b - -,f6e4
r2qkbnr/pp1bpppp/2np4/1Bp5/2P1P3/5N2/PP1P1PPP/RNBQK2R w KQkq -,d2d4
r1bqkbnr/pp1p1p1p/2n3p1/2p1p3/2P5/2N2NP1/PP1PPP1P/R1BQKB1R w KQkq -,f1g2
8/6pk/6b1/p7/2B2P1p/2Q4P/1P3KP1/3q4 w - -,c4b3
2q2rnk/2rpppb1/p5pp/1p1QP3/3B4/1P3N1P/1PP2PP1/R3R1K1 w - -,c2c3
r5k1/2pp2pp/rpn1pn2/5p2/2PP3q/P3PP2/1BQ3PP/R3NRK1 b - -,h4h6
3b1rk1/1p3p2/p5p1/4p2p/qPNnP2P/3Q2P1/4r1B1/R4RK1 b - -,a4b4
4Rbk1/1pp2p2/p1nr3p/5Pp1/5pP1/1BP4P/PP3P1N/6K1 b - -,d6d8
8/8/3k4/8/K1R3p1/P7/6r1/8 w - -,a4a5
6n1/2qr1p1k/p2b2pp/2pP1b2/1pP5/1P3NPP/PB2QPBK/3R4 w - -,f3h4
8/1B1n2k1/5r1p/1P3pp1/2Q5/r3q1PN/4PK1P/2R5 w - -,f2f1
2r1k2r/2qn1p2/pp4p1/8/P3p1n1/1N2B1P1/1PP1Q2b/3R1R1K b k -,h2g1
8/p3k1bp/1p1q2p1/2pP2P1/2PpB1Q1/1P5P/P5K1/8 b - -,d6e5
3rk2r/4npb1/2ppq2p/6p1/2P1P3/3P1NQ1/PP5P/1RB2RK1 w k -,b2b3
2r3k1/5pp1/5n1p/3p4/bq1N4/1p1BPP1P/1Q1R1KP1/8 w - -,d2d1
8/8/5P2/6Kp/8/8/1k6/7r b - -,h1f1
1r6/1nr2kbp/R2pppp1/1P6/1P2PP2/4NK1P/6P1/3RB3 w - -,a6c6
4r1k1/1pb3pq/p2np2p/P1Bp4/5P2/2P4R/1P2Q1PP/R5K1 w - -,e2h5
r1b4R/1p5R/2p1pkp1/1p6/8/P7/1PP5/2K2Br1 w - -,c1d2
r1bqk2r/3nbppp/p1p1pn2/8/2PPp3/2NB1N2/P1Q2PPP/R1B1K2R w KQkq -,c3e4
r2q1rk1/pp2ppbp/n1p3p1/4Pb2/P1QP4/5NP1/1P1n1PBP/R1BR2K1 w - -,c1d2
r5k1/r4pp1/2p4p/P7/2P5/6P1/RR3PKP/8 w - -,b2b6
8/1R2b1k1/8/6p1/1p3rP1/8/N3K3/8 b - -,g7f6
r4rk1/2q3pp/p1nb4/1p2ppBQ/8/1PP2N1P/1P3PP1/3RR1K1 w - -,d1d5
2brk3/2p1qp2/p6Q/1pR1P1p1/1P1p4/1B6/P5PP/6K1 w - -,h6h8
4r3/p1k5/1b3P2/6N1/3p3N/1P5P/1Pb3P1/5R1K b - -,d4d3
r2qk2r/pppn1ppp/3bpn2/1P1p4/6b1/4PN2/PBPPBPPP/RN1QK2R w KQkq -,d2d4
8/n7/1k2K2p/6pP/6P1/5p2/4p3/5B2 w - -,f1e2
3rr1k1/pp1nqpb1/2p4p/8/1P1pPBb1/PQ1B3P/3N2P1/R4RK1 b - -,g4h5
r1bqk2r/bp3ppp/p2ppn2/4n3/4P3/1NN3Q1/PPP1BPPP/R1B2RK1 b kq -,e5g6
r1b1k2r/ppp2pp1/2nppq1p/8/1bPP4/1QN2N2/PP2PPPP/R3KB1R w KQkq -,e2e3
rnb2rk1/pp3pp1/1q5p/1NB1p3/8/2P3P1/P3PPBP/1R1QK2R b K -,b6c5
2rq1rk1/3b1pb1/4p2p/pppn2p1/2Q5/P2P1NP1/1P1BPPBP/1RR3K1 w - -,c4c2
r4rk1/1pq1bppp/pn1pb3/6P1/4PB2/1PN5/P1PQ2BP/R4RK1 w - -,c3e2
r5k1/bp3qpp/2pRbpn1/p1P1p3/1P2P3/P4N2/1BQ1BPPP/6K1 b - -,g6f4
r2qk2r/1p2npbp/2np2p1/pN6/2Pp1Bb1/P4NP1/1P3PBP/R2Q1RK1 b kq -,g7e5
r3r1k1/pppq3p/2n2bp1/5p2/5Q2/2BP2PP/PPP3K1/R3R3 w - -,c3f6
2rq1rk1/3bppbp/2np1np1/pp6/3pP3/P1P2N1P/1PB2PP1/R1BQRNK1 w - -,c3d4
8/6p1/5pp1/1Nkpb3/P7/3K2P1/5P2/8 w - -,f2f4
2b2rk1/b4pp1/2n2n1p/1ppqp3/8/2PP1NNP/1PB2PP1/2BQR1K1 w - -,d1e2
3rr1k1/pp3ppp/1bn2q2/3p4/3N2b1/2PQ1N2/PP3PPP/R2B1RK1 w - -,d1b3
r4rk1/1pp1nppp/1b6/p2Ppb2/N7/P3P1P1/1P3PBP/R1B2RK1 b - -,b6a7
8/Rpr5/3kp2p/P2p1p1P/1P6/2P3R1/7r/3K4 b - -,f5f4
