1Q6/8/4pk2/8/1p3P2/7K/4q2P/8 b - -,e2f3:e2d3
r3kb1r/ppq2pp1/1npnp2p/7P/2NP1BP1/5Q2/PPP2P2/1K1R1B1R w kq -,c4e5
3k4/3p1p2/2p2n2/4p3/P7/R7/2P4P/1r3BK1 b - -,f6e4
1rn3k1/1pq2pbn/3p2p1/PQpP2Pp/2N1r2P/R6B/1P2PP2/2B2RK1 b - -,e4h4
8/1p6/8/1P3p2/p1k2Pp1/P3K1P1/8/8 b - -,b7b6
2rq1rk1/pp3pp1/1n2bn1p/2bp2B1/3N4/2NQ2P1/PP2PPBP/2R2RK1 w - -,g5f6
8/4ppk1/8/8/P2R4/1b6/5P2/1r1BK3 b - -,e7e5
5rk1/pb2q1pp/3rp3/2ppN3/2P1pP2/1PQ1P1P1/P6P/3R1RK1 w - -,c4d5
8/7p/pr2pk2/2R2p2/1P6/P6P/6P1/6K1 w - -,g1f2
rnbqkbnr/pp3ppp/4p3/3p4/3pP3/2P2N2/PP3PPP/RNBQKB1R w KQkq d6,f1b5:e4d5
4r1k1/4Bpp1/p2r1n2/4pP1p/8/6PP/2P1R1K1/8 w - -,e7d6
r2q1rk1/pb2bppp/1pn1pn2/2p1N3/2pP4/1PB2NP1/P1Q1PPBP/R4RK1 w - -,e5c6
4r1k1/1p1r2b1/1P1p3p/R1pP1p2/1p2PB2/1P3P2/7P/4R2K b - -,f5e4
r2q3k/5r1p/pp1pP1p1/2p1npP1/2P5/P1N2P2/1P1QB2P/2K3R1 b - -,f7e7
1r3r2/2pb3p/5k2/np1p2N1/p3pPpP/P1PP4/1PBK4/4R1R1 b - -,f6g7
2r2nk1/6b1/4p2p/p1N2p2/3P4/4qN1K/1P3P1P/6R1 w - -,f2e3
8/2r1k3/1R6/1p3p2/5P2/7P/6K1/8 b - -,c7c5
6N1/8/5K2/pp4P1/2p5/P1P5/1k6/8 w - -,g8e7
r7/4kp2/1rp1p1p1/p2n1q1p/Pb1P1P1P/1P3QP1/2RB2K1/2RB4 w - -,d2b4
7r/3bP1k1/1p3ppn/p2p4/3N1P1R/1PrB2P1/P5K1/7R w - -,d3b5
r1b3rk/pp2n1qp/2pRn3/5p2/2P1p2N/2N3PP/PP1QBP1K/4R3 w - -,c4c5
2rq1rk1/p2n1ppp/1p2bb2/P1p2N2/R7/2B3P1/2Q1PP1P/1N1R2K1 b - -,f6c3
2bqr1k1/1p3pbn/rNppn1p1/p1P4p/4PP2/1N4PP/PP1Q1BB1/3RR1K1 b - -,e6c5
8/8/8/8/2kb4/8/3KR3/7r w - -,e2g2
r1bqkb1r/4nppp/p3p3/1p1p4/3PP3/8/PPB2PPP/RNBQ1RK1 b kq -,d5e4
8/3p4/pp2pkb1/2r4p/P2N1P2/2P3P1/1K2R3/8 w - -,d4f3
r1bqk2r/1pp1ppbp/p1n2np1/P7/R7/B1N2N2/2PPBPPP/3Q1RK1 w kq -,d2d4
4rbk1/1p2qp2/2pp2p1/p4r1p/2P4P/PP1Q2P1/3R2BK/5R2 b - -,f5f1
3r2k1/Qp2rppp/5n2/3p4/PqP5/1P4PP/5PB1/2RR2K1 b - -,b4b3
rr4k1/2q3pp/2Q1pn2/p1P1Np2/1p1P4/1b1BP2P/1B1n1PP1/R3R1K1 b - -,c7e7
r1b2rk1/1pqn1pbp/p1pp1np1/8/1PPpP3/2N1BNPP/P4PB1/1R1Q1RK1 w - -,e3d4
2r1r3/p4ppk/1p1B3p/3Pp2P/2P3P1/4b3/P4P2/3RR1K1 b - -,e3d4
1k2r3/n1p3Qp/P1q5/Ppb5/2p5/4B3/2P2PPP/R5K1 b - -,c5e3
r1bq1rk1/1p2bppp/p2ppn2/8/3QP1P1/2N1BP2/PPP4P/2KR1B1R b - g3,b7b5
8/2b3pk/2p4p/Pq1pn3/4p3/2Q1P2P/1B3PP1/2NK4 b - -,b5a4
r4bk1/pp3pP1/2p3Pp/5q2/4p3/6Q1/PPP2PP1/3R1BK1 b - -,f8g7
r4rk1/1b1nq1pp/p2bp3/1pp2p2/2PP4/1P1B1N2/PB2QPPP/R3R1K1 b - -,b7f3
8/1P1R4/8/8/8/8/1r1p4/3k1K2 b - -,b2b1
r2qk1r1/pp1b1p1p/1b2p3/4P3/1Ppn4/P4Q2/1B1N1PPP/R3RBK1 w q -,b2d4
1rb2rk1/1pq1n2p/p2ppppQ/8/P2pP3/3P2PP/1PP1NPB1/1R3RK1 b - -,c7c2
5rk1/pp3pp1/4bq1p/3pR3/P2P1N2/1P3Q1P/3r1PP1/4R1K1 w - -,f3e3
6r1/3R2p1/p1r1k2p/Bp5P/2p5/b1P3P1/5P2/3R2K1 b - -,a3d6
r3kbnr/pppq1ppp/2n5/3p4/3P4/2P5/PP2NPPP/RNBQ1RK1 b kq -,g8f6
rnbq1rk1/pp2ppbp/5np1/3p4/2PP4/2NB1N1P/PP3PP1/R1BQ1RK1 b - -,d5c4
3krbnr/2R5/p4pp1/1p5p/2p1PB1P/2N2PN1/1PP3P1/6K1 w - -,c7c6
rn1qkb1r/pp3ppp/2p1pn2/3p1b2/2PP4/P1N1PN2/1P3PPP/R1BQKB1R b KQkq -,b8d7
3r2rk/5ppn/p2p3p/1p1PqP2/2p1P3/5P2/PP3QRP/3B2RK b - -,h7f6
r3k2r/pp3pbp/2p1b1p1/4B2n/4P3/2N5/PqP1B1PP/R2Q1R1K w kq -,d1d4
r1b2rk1/5pp1/p1npqn1p/4p3/1pP1P2B/5P2/PPN3PP/R2QKB1R w KQ -,d1d2
r3r1k1/1pq3Pp/1pb1Npn1/8/2P5/1B6/PP2QPP1/3RR1K1 b - -,e8e6
8/8/5k2/3R4/3p4/1r6/6KP/8 b - -,d4d3
r5k1/2q2ppp/Pr6/2p1p2Q/3pP3/1P1B1PP1/2P5/R5RK b - -,b6h6
r1b1r1k1/ppq2pb1/2n2npp/4p1B1/8/2PB1N1P/PP1N1PP1/R1Q1R1K1 w - -,g5h4
k7/b7/2K5/8/1R6/8/8/8 w - -,b4a4
r2qrnk1/pb1nppbp/3p2p1/2pP4/NpP1PP2/6PB/PPQN3P/R1B1R1K1 w - -,d2f3
r4rk1/4p1bp/q2p2p1/3Pn3/P1b1Np2/6P1/4PPBP/BRRQ2K1 w - -,g2f1
rnbq1rk1/ppp2pbp/3p1np1/8/2PpP3/2N2N2/PP2BPPP/R1BQ1RK1 w - -,d1d4:f3d4
6k1/p1r2ppp/1br2n2/3p4/n7/4P1PP/P2B1PB1/1Q3RK1 b - -,c6c2
4rbnr/ppqk3p/5p2/3pn3/2p5/P1P2NP1/1P2QP1P/RNB2RK1 w - -,c1f4
3R4/3P1p2/6pp/2k5/5P2/p3K1P1/8/r7 b - -,c5d6
r3k2r/p4ppp/1n2bn2/1pp1N3/2P1P2B/1B6/P1P2PPP/2KR3R w - -,c2c3
3r4/p2nb1kp/bpp1qpp1/4p3/4P3/1P2N1NP/P2Q1PP1/2RR3K b - -,d7c5
r1b1r1k1/4ppbp/pq2n1p1/2pP4/7B/3BPN1P/PP3PP1/R2QR1K1 b - -,e6c7
1r1q1rk1/3bppb1/p2p1np1/nppP4/2P1P1Pp/1PN4P/P1QN1PB1/BR3RK1 b - -,e7e5
8/8/p7/1pk5/P7/1KP5/1P6/8 w - -,a4a5
r2q1rk1/pp3bbp/5ppN/n2p4/3P4/1BP2Q1P/P4PP1/R1B1R1K1 b - -,g7h6
1q3rk1/1b1n1ppp/r2p4/2P1pN2/pP2P2P/R2Q2P1/5PB1/R5K1 b - -,d6c5
2kr3r/pppq1ppp/2n5/1N1p4/1b1P1n2/3Q4/PPP1NPPP/R4RK1 w - -,e2f4
3r1rk1/p1q2p2/bp2pbp1/2p4p/P6P/2NPP1P1/1PQ2PB1/1R1R2K1 b - -,d8d7
rn2kbnr/pp1qpp1p/3p2p1/8/2PpP3/5N2/PP3PPP/RNBQK2R w KQkq -,f3d4
2r1r1k1/pb1q1pb1/1pn1n3/2p1p1pp/NP6/P2PPNPP/5PB1/BQRR2K1 b - -,c5b4
2b5/1p2rkpp/p1p5/2Pp1r2/5R1P/4PP2/PP3KB1/2R5 w - -,f4f5
2r3k1/5pp1/4p2p/3p4/3P2N1/1PpQP3/P5K1/8 b - -,c3c2
k7/1p6/p3p3/P2pP3/1Q1Pq2p/7P/1P5K/3r2R1 b - -,e4f4
8/2k5/2p5/p1p5/P1P5/1R1P4/1KP5/3r4 b - -,d1h1
6k1/R7/6p1/1r2p2p/4N2P/5PK1/8/8 w - -,e4d6
1rb2r1k/2p1q1bp/p1Pp1n2/1P1Pnp2/1P6/1BN1BP2/3QN2P/R4R1K b - -,a6b5
r4rk1/ppp1ppbp/6p1/4PbN1/2PP2P1/4n2P/PP1K4/R4B1R w - -,d2e3
1b4k1/4rn2/8/3R1p1p/3B1PP1/1N3KP1/PP6/8 b - -,h5g4
3r1k1r/ppp2ppp/3b1n2/7q/5Bn1/3B1N2/PPP2PP1/RN2QRK1 w - -,e1d2
rn1q1rk1/1p3pbp/p2p1np1/2pP4/4PB2/2NB1Q1P/PP3PP1/R3K2R w KQ -,e1g1
2k2r2/1p1n1r1p/pqp5/4p3/PP6/6PP/2RQ1PBK/5R2 b - -,c8c7
rnb1k2r/pp2qpbp/2pp1np1/4p3/3PP3/1B3N2/PPP1QPPP/RNB2RK1 w kq -,b1d2:d4e5
r1bq1rk1/ppp3bp/3pp1p1/8/2P1P1n1/1PN3P1/P4PBP/R1BQ1RK1 w - -,c1b2
r2q2k1/p3r1pp/2n2p2/2Nbp3/3p1P1N/1P1Pn1P1/P2Q2BP/R3R1K1 w - -,b3b4
r1b2rk1/pp1qnppp/3b4/2B5/8/Q1N3P1/PP3PBP/R4RK1 b - -,d6c5
r7/2p5/3bk2r/4p3/4Pp1p/1P3P1K/1PR2BP1/7R b - -,a8b8
r1bqk2r/pp1n1ppp/2p1pn2/3P4/1b1P4/2N2NP1/PP2PPBP/R1BQK2R b KQkq -,e6d5
r2q1rk1/1Q2bppp/p3p1n1/3nP3/bP6/P4N2/3N1PPP/RBB1R1K1 w - -,f3d4
r2q1rk1/bpp2pp1/p1npbn1p/4p3/1PP5/P1NP1NPP/1B2PPB1/R2Q1RK1 w - -,e2e3
2rr4/p7/b2n1k2/1p1p1B1p/7P/8/PPPR2P1/2K2R2 b - -,d6f5
2n5/2q3k1/6p1/2b5/1pQp1P2/3P1B2/2P2BK1/8 b - -,c7b6
r1b2rk1/pp4pp/3pp3/3n3q/3PB3/1QB3P1/PP3P1P/2R2RK1 b - -,b7b6
8/2b5/8/5kp1/P5R1/6PP/2r5/7K w - -,h1g1
3r4/pppqppkp/6p1/3RP3/5P2/1PP3PP/P1Q4K/R7 b - -,d7d5
6k1/4Qpqp/p1prp3/Pn6/2B5/3r2P1/1P3PK1/3R4 w - -,c4d3
rnbqk2r/pp2ppbp/6p1/2pn2B1/3P4/2N2N2/PP2PPPP/R2QKB1R w KQkq c6,a1c1
r1bqkb1r/ppn1pppp/2n5/2p5/8/2NPB1P1/PP2PPBP/R2QK1NR b KQkq -,e7e5
4r1k1/5bp1/1P3p2/8/1P1Q2Pp/7P/q2R1KN1/8 b - -,a2e6:a2b1
4b1rk/5qp1/p3p2p/1p1pP3/5P1P/P1PB2Q1/1P6/1K4R1 w - -,d3c2
rn1qk2r/pb1pbpp1/1p2pn1p/2p3B1/3P4/3BPN2/PPPN1PPP/R2Q1RK1 w kq -,g5h4
8/8/6p1/3n2Kp/1p1k3P/1P3P2/P2B2P1/8 w - -,g5g6
6R1/1p2kp2/2b1p3/2P1P3/p4PP1/3B2r1/1KP5/8 b - -,g3g2
8/5k2/3K3p/2p1pP2/2P1B3/pPb4P/P7/8 b - -,c3b4
r4rk1/1p3pp1/2pb2p1/p7/P2PP3/1QN2BnP/1P3qPK/2R1R3 b - -,g3e4
r1bq1rk1/pppnnpbp/3p2p1/3Pp3/2P1PP2/2NB3P/PP2N1P1/R1BQ1RK1 b - f3,f7f5
r2q1rk1/1p1bnpb1/p3p2p/3pP1p1/3P2P1/2N1PN2/PP5P/1BRQR1K1 b - -,e7g6
rnb1k2r/ppp2p1p/8/3QP2q/1bP1np2/4PPP1/PP2K2P/RN3BNR w kq -,d5e4
r1bqk2r/1p3ppp/p3pn2/3pn3/3P4/2NBP3/PP3PPP/R2QK2R w KQkq -,d4e5
1k5r/p1p3bp/3q2p1/8/1PP1pPPQ/P2p4/R2Nr2P/3K1R2 w - -,h4g5
r1b2rk1/1p3pbp/p1n1p1p1/3n2B1/2BP4/1qN2N2/PP3PPP/3R1RK1 w - -,c4b3
r7/1p4b1/nqp3kp/2P2r1n/1P3p2/2N2QP1/7P/3R1RK1 b - -,a6c5
r1br2k1/p1q1pp1p/2p3p1/3n4/3Q3P/2N2P2/PPP3P1/2KR1B1R w - -,h4h5
r3r1k1/2n2p2/p2p2qp/1p1P2pn/1PpBP3/P1N2PPb/4B2P/1R1QR1K1 w - -,e2f1
rr3bk1/3q1p1p/1npp1np1/pB1b4/P2P4/Q3PN1P/1R1N1PPB/2R3K1 w - -,b5d3
rn1q1rk1/1bpp2pp/pp2pn2/5p2/1bPP4/1PN1PN2/PB2BPPP/R2Q1RK1 b - -,b4c3
r3r1k1/pb3ppp/1pp1Nb2/8/2BP4/P6N/1P2RPPP/4R1K1 b - -,f7e6
r2r1k2/1p3p1p/p3p1p1/4P3/P3N1R1/4nQ2/1Pq3PP/R6K w - -,g4f4
8/4r1k1/5pp1/3Rpq1p/P6P/1PP1Q3/1K6/8 b - -,f5f4
r3k2r/ppq1b3/1np1ppb1/3n3p/3PN2P/1B2BQN1/PP3PP1/R4RK1 w kq -,e4c5
rn1qkb1r/pp2pppp/2p2n2/3p1bB1/3P4/2N2P2/PPPQP1PP/R3KBNR b KQkq -,b8d7
5r1k/p6p/2Qp4/4qp1P/6p1/1P2P1P1/P4P2/5K1R w - -,f1g2
1r2k2r/3bnpbp/1pn1p1p1/1Bp1P3/4NP2/5N2/PPPB2PP/2KR3R b k -,e8g8
8/5pkp/6p1/2b1p3/2P4q/5P2/2R1Q3/7K w - -,h1g2
r4rk1/1n1qb1pp/3p1N2/p2Pp1N1/1Pp5/2P1B2P/5PP1/R2QR1K1 b - -,e7f6
1k6/p4p1p/KP6/3pp1p1/P7/2P1P3/5PPP/8 b - -,a7b6
5R2/6pk/1p2r2p/1P3p2/4b1n1/6P1/8/2R1KB2 w - -,e1d2:f1c4
3r2k1/1p3pb1/p3p2p/4P3/bP3p1P/P4N2/4BPP1/2R3K1 w - -,g1f1
r3k2r/ppq1bppp/1nn1p3/3p3b/3P4/1QN1PPP1/PP1BB1NP/2KR3R w kq -,g2f4
r2q1rk1/pp1n1ppp/2p2n2/2b1p2b/2N1P3/5NPP/PPP2PB1/R1B1QRK1 b - -,f8e8:d8c7
3rr1k1/2q4p/p2pPpp1/2pP4/1pP2PP1/3Q4/P3R2P/5RK1 b - -,g8f8
8/5kp1/pr3p2/R4P2/P5K1/5P2/8/8 b - -,g7g5
r1bqkb1r/pp1ppn1p/5p2/3Q4/4p3/2N5/PPP2PPP/2KR1BNR b kq -,e7e6
r3k2r/p2npp2/1p1p1bqp/2pP1bp1/2P4P/1Q2PNB1/P3BPP1/2R1K2R w Kkq -,a2a4
rnbqkb1r/p4ppp/3p1n2/2pPp3/PpP5/6P1/1P1NPPBP/R1BQK1NR b KQkq -,g7g6
5k2/4pp2/p2p4/3P2pQ/2q5/6P1/P4P1K/8 b - -,c4d4
6k1/p4p1p/1nB2np1/4p3/8/P1R3PP/2N1P1K1/2r5 b - -,f6d5
r1bqnrk1/3nb1pp/pp1p1p2/2pP4/P3PB2/2NB3P/1P1N1PP1/R2Q1RK1 b - -,d7e5
1r1q3k/5Qbp/p1p5/8/3p1P2/2N3P1/PPP4P/2K1R3 w - -,e1e7
r1b2rk1/pp1nqpp1/2p3np/3p4/3P4/2N1PN2/PPQ2PPP/2KR1B1R w - -,h2h4
r1bqr1k1/1p1n1pbp/p2p1np1/2pP2B1/P1P2P2/2NB3P/1P2N1P1/R2Q1RK1 w - -,d1c2
5r2/2p4k/2P4p/3P1N2/4np2/8/6P1/5RK1 w - -,f5d4
2r2rk1/pbppqppp/1p2pn2/n7/1bPP4/1PN2NP1/P1QBPPBP/R4RK1 w - -,f1e1:f1d1
1r2r1k1/5p1p/2p1p1p1/1p1n4/p2PB3/P1P3P1/1P3PP1/1K1RR3 w - -,e4f3
r1bqk2r/ppp2ppp/1bnp1n2/4p3/4P3/1BPP1N2/PP3PPP/RNBQK2R w KQkq -,e1g1:b1d2:h2h3
r3kbnr/pp1np1pp/1qp2pb1/3p4/3P1BP1/2N1P3/PPP1NP1P/R2QKB1R w KQkq -,e3e4
2k1r1r1/ppp2p1p/2n5/8/2P2B2/P2bN3/1P3PPP/R3K2R b KQ -,d3c4
6k1/8/3p1bp1/2pPp3/2P1n3/5K2/7R/8 b - -,e4g5
2r1r1k1/p3qpbp/1n4p1/2p1p1N1/3BN3/3P2P1/P2QPP1P/2R1R1K1 b - -,e5d4
5b1k/5b1p/1p6/1Pp5/5N2/1P1R2PP/r5B1/3r2K1 w - -,d3d1
1r2nk2/1R2n1p1/2Pp3p/3P4/1p2PP1P/6P1/5K2/R7 b - -,b8c8
r2q1rk1/1pp1bpp1/p1b1pn1p/8/P2P4/2N1QNP1/1P2PPBP/R2R2K1 w - -,e3d3
3r1k2/2Q3pp/3P4/5p2/8/3p2P1/q4P1P/3R2K1 b - -,a2a8
r4rk1/1b1qbppp/p7/2ppB3/8/1Q4P1/PP2PPBP/2R2RK1 w - -,f1d1
8/8/3k2NP/1p1n1K2/5PP1/8/8/1r6 b - -,d5e7
r3k2r/pb1pppbp/1p2n1p1/q7/2P1P3/1PN1B3/P2Q1PPP/2R1KB1R w Kkq -,c3d5
2r5/kp1qb1p1/2r1ppp1/p2p4/P2P1BP1/1PP2Q1P/K1R2P2/7R w - -,h1c1
r2qr1k1/1b1p1pp1/1pn1pn1p/p7/2P2B2/2QBPN2/PP3PPP/1K1R2R1 w - a6,f3e5
2kr2r1/pp2bp2/1q2b2p/2p3pP/4B3/1PB1Q3/P1P2PP1/1K1R3R w - -,e4f5
4r1k1/pp2qppp/1b6/3p4/4n1b1/2P1B3/PP2NPPP/R2QRK2 b - -,b6e3
8/1p4p1/pNbP1k2/4pP2/4P3/7K/1P1q1b2/5Q2 b - -,d2e3
r2q1rk1/1p2ppbp/2b2np1/p3p3/P2B4/1BN4P/1PP2PP1/R2Q1RK1 w - -,d4e5
R2r3r/1p1k1q1p/1Pp5/3p1N2/3P4/6Qp/2P2P2/7K w - -,g3d6
3rr1k1/1p2qpp1/5n1p/3pP3/Pnb2P2/3N2P1/4Q1BP/R1BR2K1 w - -,c1a3
r2q1rk1/pp1n1ppp/2pb1n2/5p2/P1BP4/4PQ2/NP3PPP/R1B2RK1 b - -,g7g6
r1bq1rk1/pp2bppp/8/2pn1N2/8/1P2P1P1/PB3PBP/R2Q1RK1 b - -,c8f5
8/5p2/4pk2/8/5P1R/2r3KP/8/8 w - -,g3f2
r1bq1rk1/ppp2ppp/2np4/4n3/4P3/2N2P2/PPP1B1PP/R1BQ1RK1 w - -,b2b3
r2q1rk1/1pp1bppp/2np1n2/p7/P3P1b1/1NN3P1/1PPQ1PBP/R1B2RK1 b - -,d8d7
1rb2rk1/p2B1ppp/3p4/2pP2q1/Pp6/8/1P1N1PPP/R2Q1RK1 b - -,c8d7
rnbqkb1r/1p3ppp/p2ppn2/2pP4/2P1P3/2N2N2/PP3PPP/R1BQKB1R b KQkq e3,g7g6
8/p5pp/1p1k4/3P2R1/3K4/P7/1Pr3PP/8 b - -,g7g6
rnbqk2r/5pbp/1pn1p1p1/1Np3N1/p1P5/P2P2P1/1P2QPBP/R1B2RK1 w kq -,g2c6
1nb4k/pp2n2p/6p1/8/2B5/2P5/P4PPP/4RK1R b - -,b8c6
r2qk2r/pb1nbppp/1p2pn2/2p5/2PP4/3BPN2/PB1N1PPP/2RQ1RK1 b kq -,d8c7
8/8/1k4p1/1P2RbR1/5P2/8/r6P/6K1 w - -,e5f5
r1b1r1k1/pp1n1p1p/5np1/q2p2B1/2pP4/2P1P2B/P1QN1PPP/R4RK1 b - -,f6e4
1r4k1/q3ppbp/3p2p1/2pP4/P3QB2/1r4PP/N3P1BK/3R4 b - -,b3a3
8/4kpp1/1r5p/8/1p1R4/1P1K4/5PPP/8 w - -,d3c4
4Q3/1b5k/4N3/r3q3/pp6/8/PP3PP1/R5K1 w - -,a1d1
8/2k2B2/6p1/1PK4p/5P2/4P3/5b2/8 w - -,c5d4
r4k2/1b1n1ppp/1p1Np3/1Npp4/p7/P5P1/1P2PPBP/2R3K1 b - -,b7c6
rn2k2r/p1qbnppp/1p2p3/1BppP3/P2P4/2P2N2/2P2PPP/R1BQK2R w KQkq -,b5d3
rnbq1rk1/ppp1bppp/4pn2/3p4/3P1B2/4PN1P/PPPN1PP1/R2QKB1R b KQ -,b8d7
1r2k3/r2nb2p/p3p1p1/1Pp1P3/2P1N1P1/2B1P2P/5R2/3R2K1 b - -,a6b5
8/p3kppp/1p2p3/r7/5P2/2P5/PP4PP/4R1K1 w - -,a2a3
5k2/p3pp1p/1n4p1/8/3KBP2/2P1P3/3r2PP/2R5 w - -,d4c5
2k5/8/5bpR/1P6/r5pP/8/5PKN/8 b - -,f6d8
2rr2k1/1bq1bppp/p3p3/1p1nn3/1P1N4/P2BBP2/2PQ2PP/2RN1RK1 w - -,d1f2
1r1q1rk1/pP2nbbp/3N2p1/8/4P3/8/PP2NPBp/R2Q1R1K b - -,f7e6
4r1k1/3n2pp/1B6/3P1p2/P1P1pb2/7P/6B1/4R2K w - -,c4c5
r2qkb1r/1bp2ppp/p2p1n2/1p2p3/4PP2/1PNP1N2/1PP3PP/R1BQK2R b KQkq -,e5f4
r4rk1/1bqnbp1p/p2pp1p1/6Pn/1pP1PP2/1PN1N3/PB2Q1BP/3R1RK1 w - -,c3a4
rnbq1rk1/1pp1b1pp/3pp3/p4p2/2PP4/1Pn2NP1/P1Q1PPBP/R1B2RK1 w - -,c2c3
r4rk1/1p1bq3/p2n1bp1/2pP1p1p/P1P1pP1P/2N3P1/1PNQB1R1/R6K b - a3,e7g7
8/8/1p6/p4p1p/2k2P1K/P5P1/1P1R4/1r6 b - -,b1g1
8/8/p7/Pk6/2n5/3K4/8/4B3 b - -,c4a5
3r1rk1/p1p3pp/bnBb4/8/2P2p2/PP3NP1/1B3P1P/3R1RK1 w - -,b2e5
2r1k2r/p2nbppp/b1q1p3/1p1p2P1/3P1B2/P3QPN1/1PP4P/2KR1B1R w k -,f1d3
8/ppp3kp/1nn3p1/5r2/1qPpQ3/1P2B3/P6P/R3R1K1 w - -,e3d4
4k1nr/1b3ppp/p2r4/1pp2N1q/4P3/5N2/PP2QPPP/R4RK1 b k -,d6g6
q2r2k1/1b2bpp1/4pn1p/8/1p1RP3/pP4P1/P1N1QPBP/B5K1 b - -,d8d4
2rq1rk1/pp2bppp/4pn2/3p4/2nP4/2N1PBP1/PP1BQP1P/R2R2K1 w - -,d2e1
r4rk1/pp2pp1p/3p2p1/2nP1q2/2P5/2b1QN1P/P4PPK/1R1R4 w - -,e3c3
8/8/6p1/6P1/1n1kPK2/1B6/p7/8 w - -,b3a2
5rk1/1QR2r1p/6p1/2Rp2q1/3Ppp2/1P6/P3BPP1/6K1 b - -,f4f3
r3n1k1/1pr2pp1/2pq4/p3p3/P1B1P1QP/2N1P3/1P6/5RK1 b - -,d6h6
1r3qk1/2pb2pn/3p3p/1p1P1P2/1P6/4R2P/P2QNPB1/6K1 b - -,f8f5
r1bq1rk1/pp2bppp/2n1pn2/3p2B1/2PP4/2N2N2/PP3PPP/2RQKB1R w K -,c4c5
4n1k1/5pp1/1q1r4/p1p1p1B1/R3P3/2P4P/2P1QPPK/8 w - -,g5e3
3r1nk1/5p1p/p4q2/1ppQR3/4pP2/7P/PP2BPP1/6K1 w - -,d5e4
r1bq1rk1/3nbppp/ppnpp3/8/2P1PP2/1NNBB3/PP4PP/R2Q1RK1 w - -,d1f3
6k1/1p4p1/p4p2/P2b2rp/8/6B1/6PP/R6K w - -,a1g1
r4rk1/2p1q1pp/1p1ppn2/5p2/p1PP4/P1Q1PN2/1P3PPP/2R1R1K1 w - -,f3d2
8/6p1/2K2pp1/4p3/2N4P/6P1/5k2/8 w - -,c6d5
r1b4r/pp2bkp1/2p1p1p1/4B2p/3P3P/q1NQP3/P4PP1/3R2KR w - -,h1h3
3r1rk1/5ppp/pN6/8/3b4/PQ2qPP1/1P4KP/2R2R2 w - -,b3e3
8/8/8/2kp2p1/6P1/3KP3/8/8 w - -,d3c3
8/1kp5/1p2p1r1/5p1p/4bP2/P3P1P1/1P1r4/K2BR1R1 b - -,d2h2
r7/6p1/3p1k1p/1N1P4/2P1Bn2/5P2/Pr5P/5R1K w - -,a2a3
6k1/2n1ppbp/1q1p2p1/8/2PpPP2/3P1BPP/rp1B4/1R3QK1 b - -,c7a6
8/8/4k3/2B2ppp/3PP3/1r6/1K4PP/8 w - -,b2b3
r4rk1/pp1n1ppp/2p2q2/4pb2/1PPP1b2/PQN2N2/4BPPP/R4RK1 w - -,a1d1
rnbq1rk1/1p3ppp/p3pn2/8/1b1P4/2NB1N2/PP3PPP/R1BQK2R w KQ -,e1g1
