8/6R1/4k2K/6P1/2P4p/2r5/8/8 b - -,h4h3
r4rk1/pb3ppp/1pq1p3/3n4/2pP1B1P/P1P2P2/2BQ2P1/R4RK1 b - -,d5f4
2r2k2/1r2pp1p/2npb1p1/pp4P1/1P2P3/PBP1N2P/1K4P1/3RR3 b - -,e6b3
r3r1k1/1p2ppbp/p1Pp1np1/3P4/1P1B4/2N2q2/P4PPP/2RR2K1 w - -,g2f3
r1bqk2r/ppppp1bp/2n2np1/5p2/3P1N2/6P1/PPP1PPBP/RNBQK2R w KQkq -,h2h4:d4d5:c2c4
4k2r/1pqb1pp1/p2pp3/7p/P1r1PPn1/2R3P1/1PP1Q1BP/5RBK b k -,c4c3
r1bq1rk1/ppp2ppp/2n2n2/2b1p3/4p3/1BPP1N2/PP1N1PPP/R1BQK2R w KQ -,d3e4
2rr2k1/pp2ppbp/2b3p1/8/4PB2/1P1B4/P4PPP/2R1K2R w - -,e1e2
k7/7p/2Q5/6p1/1P4P1/P5P1/4qP2/6K1 b - -,a8b8
5rk1/5p1p/pp1p4/2pPr1qn/2P1P1b1/3B1R2/PP1N1RP1/2Q3K1 w - -,c1f1
2rqkb1r/pb3ppp/1pn1pn2/2pp4/2PP4/P1NBPN2/1P2QPPP/R1B2RK1 b k -,c5d4
r5k1/1p3pp1/1qb4p/2bp1N2/p3r3/2P1B2P/PPQ2PP1/3R1RK1 b - -,c5e3
5rk1/pb4pp/1pQ1p1n1/8/2P5/1P3Np1/P1B2PKP/4R3 b - -,b7c6
3r4/7k/1p4p1/6Q1/2p4P/2PqPN2/PP1N2P1/2K2n2 w - -,g5e7
8/4n3/p1prPk1p/6p1/p2P1pP1/1B3P2/1P3K1P/3R4 w - -,b3a4
6r1/Q4p2/4pq1k/3p2Nb/P4P2/4P1K1/7P/2R5 w - -,g3h4
r4rk1/1p2qppp/2pb1n2/p3p3/1PP1P3/P1B2nPP/1Q1N1P2/R4RK1 w - -,d2f3
8/7r/KP2k3/4p3/P7/3NP1Pp/1R4b1/8 b - -,g2f1
1r4k1/1p3ppp/8/pB1p1N2/Pn1b1P2/1Q3R1P/1P4P1/2q4K w - -,f3f1
r2q1rk1/1b2nppp/1p2pb2/p2N2B1/3PR2P/PB3N2/1P1Q1PP1/R5K1 b - -,e7d5
4rbk1/2q2ppp/2p1nnb1/1r2pN2/4P1PN/2B4P/2P2PB1/R3QRK1 w - -,g2f3
1r3r2/2q1npkp/1p1pb1p1/pPp5/P1N1Pp2/1P1P2P1/2Q3BP/1R3RK1 w - -,g3f4
2r2rk1/pb3p2/1pnNp1pp/2P1b3/1P4Pq/7P/3BPPB1/1R1Q1RK1 b - -,e5d6
6k1/pp2qrp1/2p3r1/3pP2R/1P1n1P2/P4RNQ/3B1K2/8 b - -,g6h6
r3r1k1/p2qbp1n/bp1p3p/2pP2p1/PnN1PB2/1PN3P1/5PBP/R2QR1K1 w - g6,f4e3
5k2/p5p1/1p3b2/2pN2p1/P1P2P1r/7P/5RK1/8 b - -,g5f4
3r1rk1/pb4pp/1p2p1q1/8/2PP4/P3QnP1/5B1P/R1K2B1R b - -,f3d4
r4rk1/pbq2pp1/1p2p1p1/2p1P1B1/8/2P5/P1P1QPPP/R2R2K1 w - -,d1d6
rnbqkb1r/pppp1p2/4p2p/6p1/2PP4/6P1/PPQ1PPP1/RN2KBNR b KQkq -,f8g7
r3n1k1/2p1qppp/8/2n3P1/3Nb2P/p1Q3B1/5P2/3R1BK1 b - -,e8d6
r2q1rk1/pp1nbpp1/2p1p2p/2Pp4/3Pb3/4PNB1/PP2BPPP/R2Q1RK1 b - -,b7b6
8/3k4/3p2p1/4p2p/1R2P2P/1P2r3/6PK/8 w - -,b4b7
2r3k1/rp3pp1/p1nnp2p/q1Np1b2/3P4/PQ2PN1P/1P2BPP1/2RR2K1 w - -,f3e5
2r3k1/3q2p1/p2Ppn1p/1p3p2/P4B2/1P2Q2P/5PPK/3R4 w - -,a4b5
r1bk4/4n1pp/pp6/3p1p2/3Pp3/P1R1PPP1/1P1NBKP1/8 b - -,a6a5
1r3rk1/pb3p1p/1p2Pb2/5p2/2P5/1P1B1N2/P4PPP/3R1RK1 b - -,f7e6
2rr1bk1/1q4pp/1p2p3/1Pnp4/1B1N4/4P1P1/2R1QP1P/2R3K1 b - -,d8e8
2brrbk1/ppq2ppp/2p1nn2/8/2PP4/2N2NPP/PBQ2PB1/3RR1K1 w - -,e1e2
rn1q1rk1/pb2bpp1/1p1ppn1p/8/3P3B/3BPN2/PP1N1PPP/2RQ1RK1 b - -,b8d7
5Bk1/P5P1/7p/4K2P/8/8/8/7b w - -,e5d6
4rrk1/p4p2/1p1q1npp/3pR3/3P4/3B2P1/PP2QPP1/3R2K1 w - -,a2a3
r1bq1rk1/pp1nb1pp/2n1p3/3pPp2/3P1P2/5N2/PP1NB1PP/R1BQ1RK1 w - f6,g1h1
8/5pk1/7p/3N2P1/8/1n3PK1/7P/8 w - -,f3f4
r1bq1r2/4npkp/p2p2p1/1ppP4/2n1P3/1P3N2/P1B2PPP/RN1Q1RK1 b - -,c4b6
8/8/p1bk1Np1/1pp5/2n1P3/5PK1/PPP5/3N4 w - -,f6g4
2r2rk1/pp1qppbp/2np2p1/7n/2P1P3/1PN5/PBN2PPP/R2QR1K1 b - -,h5f4
2b1rqk1/3n1pbn/p2p2p1/P1pP4/2N1P2p/3NBP2/3QB1PP/2R3K1 b - -,f7f5
r2q1rk1/pp1bp2p/n2p2p1/3P1p2/3Q2n1/2N2NP1/PP2PPBP/R4RK1 w - -,a1c1
r1bqr1kb/3n1p2/3p1PpB/p2Nn3/1p2P3/1N1B4/PPP1Q1RP/5RK1 b - -,c8b7
8/4k3/r1pR4/p3P3/1p3N2/Pb6/1P3K2/8 w - -,f2e3
r1b2rk1/ppp1pqbp/2np2p1/5p2/2PPn3/1PN2NP1/P1Q1PPBP/R1B1R1K1 w - -,c1e3
r2q1r2/pp3R2/2p1p1k1/P3PnN1/3P4/2PB4/8/R1Q3K1 w - -,f7g7
2r1k3/pp2b3/1qp5/3n2Rp/3PpB1P/4P3/PPQ2P2/1K1R4 w - -,g5e5
r1bqk2r/pp3ppp/2nbp3/2p1N3/3PpP2/2P1P3/PP4PP/RNBQK2R w KQkq -,e1g1
rnbq1rk1/1pp4p/3n2pb/p1BPpp2/4P3/2NB1P1P/PP2N1P1/R2QK2R b KQ -,b8a6
8/6k1/8/2q5/8/1P1R3P/2KR4/8 w - -,c2b2
8/p3b3/3k2p1/P1p1np2/2P1p3/1N2P3/1N2KPPr/6R1 b - -,d6c6
1r6/4pbkp/p1pp2p1/q5Pn/4P3/P1N2P2/1PPQ4/1K1R3R w - -,b1a1
3r4/pp2k2p/2np1pp1/8/2P5/1PK2N2/P2R1PPP/8 w - -,f3d4
r2q1rk1/pbpn1pp1/Bp1p1b1p/3Pp3/4P3/5N2/PPPNQPPP/R4RK1 b - -,d8c8
5rk1/1p5p/p4pp1/P1p2b2/5Q2/2B5/1Pq3PP/R4RK1 b - -,h7h5
r1bq2k1/1pnn1rb1/3p2p1/p2P1pPp/1P2pP1P/PQN1P3/1B2N1B1/R2R2K1 b - -,a5b4
r2q1rk1/3bb2p/4p3/pp1pP1p1/2pP1Bn1/2P5/PPB1N1PP/R2Q1R1K w - g6,e2g3
3r1k2/1p3pp1/p7/7p/PP6/3BrP1P/2K3P1/3R4 b - -,f7f5
1n2kb1r/1b3ppp/4p3/1p1q4/2pPn3/8/1P2BPPP/R1BQNRK1 b kq -,b8c6
5k2/3Q4/4P2p/8/5P2/1P6/2q1K3/8 w - -,e2f3
r1b2r1k/1pppqnbp/p3pnp1/3P1p2/2P1P3/PPN3PN/1BQ2PBP/R4RK1 b - e3,f5e4
6k1/p1r2p2/4pb1p/R2P2p1/4P1P1/5P2/5B1P/6K1 b - -,e6d5
2r1r1k1/1p3p1p/p2b4/3p3q/3Nn1n1/2PQBN2/PP3PP1/R3R1K1 b - -,f7f5
2r1kb1r/p3p2p/2N3p1/3P1b2/q1p5/P3Q3/1P1R1PPP/2K2B1R b k -,c8c7
r1bq1rk1/pp3pbp/2p2np1/4p3/2P1P3/2N1B1P1/PP3PBP/R2Q1RK1 b - -,d8e7
4r1k1/1bqrbppp/p2ppn2/1p6/3BPP2/P2B2Q1/1PP3PP/3NRR1K b - -,e7d8
R7/2r5/2nk2p1/3Bppp1/6P1/5P1P/6K1/8 w - -,d5c6
r2q1rk1/1ppnppbp/p1np2p1/8/2PPP3/2NQBBP1/PP3P1P/R4RK1 w - -,f3g2
r1b1k2r/1ppnqppp/4p3/1pPn4/3P1B2/5N2/PP3PPP/R2QKB1R w KQkq -,f4g5
5rk1/1b1nb1pp/1r1p1n2/2p1pp1q/8/2BP1NP1/2PNPPBP/R2QR1K1 w - -,a1b1
3r4/1p2qpbk/p5p1/7p/bPQNpN1P/P3P1P1/5P2/2R3K1 w - -,b4b5
8/5p2/1b1kp3/1p1n1P2/1P2B3/2P5/2K5/4B3 w - -,f5e6
8/2R5/2p1k3/2P4p/2P4P/p1K4P/Pr3P2/8 b - -,b2a2
5b2/1p3k1p/p3q1p1/3R1nP1/4Q2P/P6K/1P6/8 w - -,e4e6
7k/3P1R2/1p2rb2/2p5/2P2K1P/8/P7/8 w - -,f4f5
1r3rk1/3b1p1p/1q1p2p1/4p1b1/pN2P3/2P5/1PB2PPP/R2Q1RK1 b - -,d7b5
3r2k1/7p/p3pQ2/1p2N3/n2q4/8/1P4PP/2B4K w - -,f6e6
r2r2k1/1q1nbppp/ppb1pn2/2p5/P1N2B2/3P1NP1/1P2PPBP/R1R2QK1 b - -,f6d5
r2q1rk1/pb1p1ppp/1p2pn2/8/2P1P3/P1N1Q3/1P2BPPP/R4RK1 b - -,d7d6
5nrr/1p3pp1/p1nkb1Pp/3p3P/3P1N2/2NBKP2/PP2R3/6R1 b - -,f7g6
8/8/2r2BK1/3R4/5k2/8/8/8 w - -,d5d4
r1bk3r/pp1p1ppp/2p5/8/2PP4/N7/PP3PPP/4RK1R w - -,f2f3
r4rk1/4qpp1/p1n1b2p/1p1pPp2/1P1P4/P4N2/3QNPPP/R4RK1 w - -,f1c1
2rr2k1/1p2bpp1/1q1pbn1p/pN2p3/Pn2P3/4NB1P/1PPR1PP1/R1BQ2K1 w - -,b2b3
5r1k/p1qr3p/2p3p1/8/2NbQ3/6P1/P4P1P/1R2R1K1 w - -,e1e2
r2qk1r1/1p1npp1p/p1p1bb2/2Pp1N2/3P4/2QBP2P/PP1B2P1/4RRK1 b - -,e6f5
3r4/2q3kp/1p3p2/6p1/2P1R2P/5PP1/Q5K1/8 b - h3,c7d6
8/6N1/1pk5/p4P2/2p1n3/8/1K6/8 w - -,g7e6
3rr1k1/6q1/pp1pp1pp/2b2p2/1nPn1P2/1PNB1PP1/P2B2KP/3RRQ2 w - -,d3b1
r4rk1/1pq1bppp/p1bppn2/8/4P1P1/2N1B3/PPP1QPBP/3R1RK1 b - -,b7b5
2r3k1/pp1r2p1/6R1/6B1/2b5/8/P4PPP/2R3K1 w - -,h2h4
2b2r1k/2p2p1n/pp1p1R1p/q6P/P2P4/1B4R1/1PQ3PK/8 w - -,c2h7
r1bq1rk1/pp3pbp/3ppnp1/2pPn3/2P1P3/2N1BPN1/PP2B1PP/R2QK2R b KQ -,e6d5
8/8/p3kpp1/4p2p/PP1bbP2/4B1P1/4K2P/3N4 w - -,d1f2
r4rk1/pp2pp2/q4bp1/3pNb1p/P2PnP2/2PB4/1P4PP/R1B1QR1K b - -,a6a5
2rr2k1/1pq1bpp1/p3bn1p/3p4/4P1P1/2N1BB2/PPPQ3P/1R4RK w - -,d2f2
8/5p2/7p/N2p1k2/3p4/5K1P/8/8 w - -,a5c6
6k1/7p/p3p1q1/4Qr1N/1p6/7P/PPP3B1/6K1 w - -,e5b8
2r5/6pp/p3k3/1p3p2/3Bn3/PP2PKP1/3R3P/8 w - -,d2a2
r4k2/2R1n2p/4p1p1/5p2/r2PP3/2N1K1P1/p6P/R7 b - -,a4a3
1k3q1r/pp1Rb3/2p4r/4P1p1/P3Q3/3N2P1/1PP2P1p/4R1K1 w - -,g1h1
6k1/5pnp/pr1p4/2pPq1p1/1r2P3/2N4P/1P1Q1PP1/RR4K1 w - -,d2e2
2rn1rk1/p2q3p/1p1n1p2/4p1p1/4P3/2PBBR2/P1P3PP/R3Q2K b - -,d8e6
rn1qk2r/1pp1bp2/1n2p1p1/p2pP2p/P2P1Pb1/2P2NN1/1P2B1PP/R1BQ1RK1 w kq -,f3g5
3q2k1/5pp1/1p6/p1p3P1/1n3B2/1Q1b1B2/5PP1/6K1 w - a6,g5g6
4k3/1p3rpp/pB1PK3/P5P1/7P/8/1P6/8 w - -,b2b4
8/3R3p/2p3p1/1rk5/p2p4/1P4PP/P1K3P1/8 w - -,d7h7
6k1/5pp1/3p3p/4p3/2r1P3/1R3P2/3K4/8 b - -,c4d4
8/8/6K1/6P1/1p6/8/P6P/1k6 w - -,g6f6
8/p1n2ppk/1nB1p2p/8/P6P/1P4P1/3N1PK1/8 b - -,a7a5
r1bq1rk1/pp2b1p1/2n1pn1p/2ppN3/2P5/2NP2P1/PP2QPBP/R1B2RK1 b - -,c6d4
2r1k2r/pp1n1pp1/3bpqp1/8/3P4/1B2P1P1/P4P1P/R1BQ1RK1 w k -,e3e4
r1br2k1/p1q2pb1/1p2p1pp/n1p4n/P3P1N1/2P2N2/1PQ2PP1/R1B1KB1R b KQ -,c5c4
4r3/1pB4p/2p2nk1/p1P5/P5P1/2N3K1/1P1R3P/6r1 w - -,g3f3
8/2p5/1pkn4/8/PB1Qp3/4P2P/3Pq1PK/8 w - -,b4d6
r5k1/4ppbp/2n1n1p1/2p1P3/P7/1N1r4/1B1N1PPP/2R1K2R w K -,b3c5
8/p5k1/8/1b2p1pp/4P2P/4N1P1/PPP5/2K5 b - -,g5h4
r1bqkb1r/pp3ppp/2np1n2/1N2p3/2P1P3/5P2/PP4PP/RNBQKB1R b KQkq c3,a7a6
r1bqk2r/pp4pp/2n1pn2/2bp4/8/2PB1N2/PP1N1PPP/R1BQ1RK1 w kq -,b2b4
6k1/pp5p/2p3n1/3pP3/3P1Nr1/1P2K3/P5P1/5R2 b - -,g6f4
8/3P3Q/4k1p1/1p2P3/6qb/2P2p2/r5P1/6RK w - -,h7g8
r1b2rk1/pp2q1bp/1n3ppn/1Np1p3/2P5/3NB1PP/PP2PPB1/R2Q1RK1 b - -,b6d7
3r1rk1/pp3pp1/2p1pb1p/1PP5/P2P4/1Nn1B3/3RBPPP/R5K1 w - -,d2c2
r5n1/1pkn4/2p4p/r1Ppppp1/PR1P4/3NPPP1/R6P/3B2K1 w - -,a2b2
4r1k1/R6p/3R2p1/2p5/5n2/1P1p1B2/1b3PPP/5K2 b - -,b2d4
r1bq1rk1/ppp2pp1/2np1n1p/2b1p3/4P3/1BPP1N2/PP3PPP/RNBQ1RK1 w - -,f1e1:b1d2:h2h3
r1bq2k1/1p5p/1n4p1/pN1p3n/P3p3/1P4P1/1Q3PBP/R2R2K1 b - -,c8g4
r1b2rk1/pp1nqppp/2n1p3/2ppP3/3P1P2/5N2/PPPQN1PP/R3KB1R b KQ -,b7b5
5rk1/2Q2ppp/p1p3n1/1p2PN2/2qP4/5R1P/P5PK/8 b - -,c4e6
r7/5pkp/4b3/2P3Pp/4r2P/2R1N1P1/P1R2K2/8 w - -,c5c6
8/p1r3k1/3R2pp/2nR4/1pp5/7P/PP4P1/7K w - -,d5d4
1b6/8/8/3p4/1Pn5/2PK1pk1/3N4/6B1 b - -,c4d2
6k1/ppq2pp1/2ppR1np/8/8/1NPQ2nP/P1P2PP1/6K1 b - -,f7e6
4rrk1/1bpq1ppp/p2b4/6Q1/P4B2/1B1P4/1PP3PP/4RRK1 b - -,d6e7
r3qrk1/pbpnppbp/1p1p1np1/1B6/3P4/2P1PN1P/PP1N1PPB/R2Q1RK1 b - -,a7a6
2r2k2/5p1p/p1rRp1p1/2p1P3/1pP2PP1/5K2/PP5P/3R4 w - -,f3e4
r2qkb1r/pp1b1p1p/2n1p1p1/1B1P4/Q7/2P2N2/P4PPP/R1B1K2R b KQkq -,e6d5
r2q1r1k/1p1bnNb1/p1np2pp/2p2p2/P1B1P2Q/2NP4/1PP3PP/R1B2RK1 b - -,f8f7
2r1r1k1/1b1q1pp1/p3pb1p/2p4N/Pp1PP3/3Q1N2/1P3PPP/2RR2K1 w - c6,h5f6
2rr4/4kp1p/p1b1n1p1/1p2p3/4P3/5P2/PP2NKPP/2RR1B2 w - -,d1d8
r4rk1/1p1npp1p/p5p1/P1pPp3/2N1P3/5P2/1PP3PP/R1R3K1 w - -,a1a3
r4rk1/pp1bpp1p/3p2p1/q7/2PbPPn1/2NB4/PP1BQ1PP/2R2RK1 w - -,g1h1
8/8/4r1p1/R3bk1p/4p2K/2B1P3/8/8 b - -,e6e8
r3k1nr/pb1qpp1p/1pnp2p1/2p5/2P5/2PPPNP1/P4PBP/R1BQ1RK1 w kq -,e3e4
r1bqkb1r/pp1nppp1/2p2n1p/8/3P4/5N1N/PPP2PPP/R1BQKB1R b KQkq -,g7g5
r3kb1r/pbp2pp1/1pp5/4Pn1p/8/1PN2N1P/PBP2PP1/R4RK1 w - -,a1d1
5r2/8/8/8/P1p5/1N6/1PP2k2/1K6 w - -,b3d2
r1bq1rk1/3n3p/pn1p2p1/N2PpP2/8/2N5/1P3PPP/R1Q1RBK1 b - -,g6f5
4rr1k/1b3p1p/p2b4/1p3q2/3P1P1P/2P1B3/PP1N1K1Q/R3R3 w - -,d2f3
8/2q2pk1/2P2bp1/p6P/1pp5/5QP1/P2r2BK/4R3 w - -,h5g6
r1b1k1nr/1pp2p1p/n2p2pq/p2Pp3/2P1P3/2N2PP1/PP1Q3P/R3KBNR b KQkq -,f7f5
8/7K/1k6/5RP1/r4p2/8/8/8 b - -,a4a5
1rbq1rk1/pp3p1p/2np2pb/4p3/2PpPP2/3P2P1/PP1QN1BP/1R1N1RK1 w - -,b2b4
r1b1k1nr/bppq1ppp/p1np4/4p3/B2PP3/2P2N2/P4PPP/RNBQ1RK1 b kq -,b7b5
r1bqnrk1/pp4bp/1n1p2p1/2pPpp2/P3P3/N1N5/1PP1BPPP/R1BQ1RK1 w - f6,a4a5
Q1R5/2p2pk1/1p1p4/1P5p/4P3/5K2/3q1P2/2r5 b - -,d2d1
6k1/5p2/2R3pp/rp6/4r3/4P1P1/5PKP/1R6 w - -,c6c7
r3kb1r/pp1npppp/2p1bn2/q3N3/3P2P1/2N5/PPP2PBP/R1BQK2R w KQkq -,f2f4
8/2qk2p1/2p1p1P1/NpPpPp2/1P3Q1p/7P/6K1/8 w - -,g2f2
rn1q1rk1/1b2bppp/1p2pn2/p1p5/P1P5/2NP1NP1/1B2PPBP/R2Q1RK1 b - -,b8a6
3r3k/1p2R2n/7p/p1pp4/P7/6KB/2P2r2/8 b - -,d8f8
rnb1k2r/p2p1pp1/1p2pq1p/8/1b1PP3/3B1N2/PP3PPP/RN1QK2R w KQkq -,b1c3
5R2/7p/1p2rpp1/p1k5/3p2PP/3P4/PP2PK2/8 b - -,h7h5
rn1qk2r/pb1pbppp/1p6/2p5/2P1p3/2N3P1/PP2PPBP/R1BQK2R w KQkq -,c3e4
1r4k1/2qnbppp/2n1p3/p2pP3/2pP1P2/P1P5/2QNN1PP/1RB3K1 b - -,b8b1
r1bqk1nr/2p4p/p1pp1ppb/4p3/3PP3/2NQ1N2/PPP2PPP/R1B1K2R w KQkq -,c1e3
r1bqk2r/p2pppbp/1pn2np1/2p5/2P4P/2NP2PN/PP2PPB1/R1BQK2R b KQkq -,c8b7
r1bq1rk1/pp2bppp/2nn4/2p1p3/3pPP2/3P1NPP/PPP1N1B1/R1BQ1RK1 b - -,f7f6
1r2qrk1/2pb1ppp/1b1p4/1N2n3/B3PB2/2P5/1P2QPPP/R4RK1 w - -,f4e5
rnbqk2r/ppp2pbp/4pnp1/3p4/3PPB2/2N5/PPPQ1PPP/R3KBNR w KQkq -,f2f3
r1bqkb1r/1p2nppp/p1n1p3/2pP4/8/5N2/PPPP1PPP/RNBQRBK1 b kq -,d8d5:e7d5
1r6/p7/2p1b1k1/4p2R/1p2P1P1/1PpBK3/P1P5/8 b - -,g6f6
2r3k1/p3rppp/2B1bqn1/1Pp5/4P3/3N4/P1Q2PP1/2RR2K1 w - -,d3c5
r1b2rk1/p3bppp/q1p1pn2/3p4/2PB4/6P1/PPQ1PPBP/RN1R2K1 b - -,f6d7
1r2qrk1/1ppb1pbn/p2p2p1/3Pp2p/2P1P3/1P2BPN1/P2QB1PP/2R2RK1 b - -,h5h4
8/r5k1/2R3p1/7p/8/5P2/6PP/6K1 w - h6,g1f2
8/3kpp2/3p2p1/2pP3p/4PP2/rrPR2P1/2R1K2P/8 w - h6,d3e3
rnbqk2r/pp2bppp/4pn2/2pp4/3P1B2/2NBP3/PPP2PPP/R2QK1NR w KQkq c6,c3b5
7R/ppk3R1/2p2n2/3p4/3P1Pp1/P3r3/1PP5/2K5 b - -,c7b6
6r1/1p3b1k/p6p/2Pp2q1/1P1Qp3/6P1/P6P/B1R3K1 w - -,c1f1
rn1qkb1r/p3pppp/b1p2n2/8/PppP4/4PN2/1P3PPP/RNBQKB1R w KQkq -,f1e2:f3e5
3rN1k1/8/p6p/1pP2qp1/1Pb5/P2r1NQP/1b4P1/1R2R1K1 b - -,b2c3
8/3k4/8/pRKP2p1/8/8/PP4r1/8 w - -,b5a5
4B3/8/7k/5K1p/1P5b/4P3/8/8 b - -,h4f2
6k1/3q3p/rp1p1br1/2nPpNp1/4Pn2/2N2PB1/P2Q3P/2R2R1K b - -,f6d8
8/6k1/5p2/1R6/6pP/7r/7P/6K1 w - -,h4h5
5rk1/p3pp1p/6p1/2p5/5P1b/1NPqPBP1/PP5P/RN2K2R b KQ -,d3e3
5r2/5p1k/6pb/4p3/4q3/P6b/5Q2/R2R1N1K w - -,h1g1
r6r/1ppk1ppp/p5n1/3PP3/4Pb2/2N2N1P/PP2K1P1/R4R2 b - -,f4e5
r1b2rk1/pp2qn1p/n2p1ppb/1NpPp3/2P1P1B1/7P/PP1B1PPN/2RQR1K1 b - -,h6f4
8/p7/1p6/4kppp/r7/r3PKP1/P1R1R2P/8 w - f6,f3f2
4r2r/pp1b4/3kpn2/3p4/2PN1P2/1P3B2/P3R3/2K1R3 b - c3,d5c4
r1br2k1/1p2qppp/2p5/p4P2/P2BN1Pb/1PP2Q1P/8/R4RK1 w - -,f5f6
2kr1r2/ppqb1p2/3Rp2p/8/2B1P3/P7/1PQR1P1P/2K5 b - -,d7c6
8/5r2/1ppkR3/p4P2/P4K2/1P6/2P5/8 b - -,d6d5
8/7p/2r1k1p1/p3p3/2P5/1P3P1P/2Kb2P1/3R4 w - -,d1d2
