8/8/1K1P4/5kP1/b6B/4p3/8/8 w - -,b6c7
rnb2rk1/pp2ppbp/2pp1np1/7q/2PP1B2/2N2NP1/PP2PPBP/R2QR1K1 b - -,h7h6
6r1/1bk2p2/p7/1pp1pn1P/4P3/1PPB3P/PK2R3/8 w - -,e4f5
r1bq1r1k/pp2b1pp/1n6/3pPp2/1PnP1P2/3QNN2/6PP/RBB1K2R b KQ -,e7b4
r4rk1/pq2bpp1/2p1pn1p/7P/2RP4/5N2/PP1BQPP1/1K5R w - -,f3e5
r1bq1rk1/pp4bp/3ppnp1/2p5/2PnPP2/2NB1N2/PP4PP/R1BQ1RK1 w - -,f3g5
2r3k1/5pp1/1RP1q2p/p6P/P7/1P2PQP1/6K1/8 w - -,g3g4
r6k/pp1bbr2/2n1p1p1/3pP1p1/P2P1P2/1P1B1NR1/3B3P/6RK b - -,a8g8
r2q1rk1/p5bp/2B3p1/2P1pp2/8/6P1/bB2PP1P/1R1Q1RK1 b - -,a8c8
8/b5k1/P2K2P1/1p6/3pB3/8/2P5/8 b - -,b5b4
5R2/8/8/8/8/2n1k3/3r2KP/8 w - -,g2h3
5k2/1p3p2/p1b1qp1r/4p3/4P3/2P2R1P/r1B2RP1/4Q2K w - -,e1b1
1r6/1p2rpk1/p1pbpnp1/2N4p/1P1P1P1P/1BP2KP1/1P2R3/3R4 w - -,b3c2
5rk1/1ppq1rbp/n2p2p1/3Ppp1n/1PP1P3/2N2PP1/2QBN1KP/1R3R2 w - -,e2g1
r5k1/2qn1ppp/1r2p3/p2p4/P2P2P1/3BQP2/1P4RP/4R1K1 b - -,b6b4
8/1p3k1p/p2q2p1/3P1R2/5P2/6B1/P3Q1K1/8 b - -,g6f5
r1b1r1k1/2qn1pb1/pp1p1np1/2pP3p/P3P3/2N1BPN1/1P1QB1PP/R4RK1 w - h6,g3h1
8/4k3/8/1rPR1p2/5P2/6P1/2K5/8 b - -,e7e6
5rk1/1p4pp/2p3b1/8/2P5/r1n1R1P1/3N2BP/2R4K b - -,c3a2
r2k2q1/pp2p2R/3p1p2/1Q4B1/6P1/1Nb5/P1P5/1K6 w - -,b5b7
8/8/3Q4/2pPp3/2P2q2/8/3K3k/8 w - -,d2e1
r1b1r1k1/1pq2pp1/p1pb1n1p/4n3/3N4/1BN1P2P/PPQ2PP1/R1BR2K1 w - -,a2a3
2r2rk1/pp2pp2/5bp1/2p1n1N1/4Q1b1/2P3P1/1R1PPPB1/q1B2RK1 w - -,b2b7
4q2k/8/br3r1p/Q2N2p1/P7/6P1/1PR1pbBP/R6K b - -,e2e1q
2r1r2k/3n1qbp/2p3p1/QP3p2/8/4B1P1/2n1PPBP/1R1N1RK1 b - -,c2e3
1r1q1rn1/6bk/3p2bp/1p1P1p2/pP2P2R/2NP3Q/3B2BP/6RK b - -,f5f4
r3k2r/1p2bpp1/p1bppn2/q5Bp/3QPP2/2N4P/PPP1B1P1/1K1R2R1 b kq -,e6e5
6k1/5p1p/p1rp1pp1/1p6/P3P3/1P3P2/1P1R2PP/1K6 w - -,d2d5:d2c2
2r3k1/3b2pp/8/pp1pp3/7P/P1RPK1P1/5P2/4R3 b - -,c8c3
r1bq1rk1/pp2pp1p/2n2np1/8/8/1PN2NP1/PQ2PPBP/R4RK1 w - -,f1d1
r1bq1rk1/pp2b1pp/2n2p1n/4p3/2Pp4/1P1P1NP1/PB3PBP/RN1QR1K1 w - -,b1a3
rB6/P4p2/8/2p4p/8/1Pkp1K2/8/R7 w - -,a1c1
r1bq1rk1/1pp2ppp/2n2n2/p3p3/2Pp4/1P1P1NP1/P1N1PPBP/R2Q1RK1 w - a6,a2a3
2r3k1/pp1q1ppn/4p2p/3pP3/2rP4/2N3R1/PP2QPPP/3R2K1 w - -,h2h4
8/5b2/5P2/8/1k5p/6pP/6B1/6K1 b - -,b4c5
8/8/5pk1/8/1R4P1/1R5K/4r1P1/1r6 b - -,e2e3
8/8/1b6/4k3/6K1/4P3/4N3/8 b - -,b6e3
r3kn1r/1pqbb1pp/p1n1p3/3pPp1P/1P1p3B/PN1B1N2/2P1QPP1/R3K2R w KQkq -,h4e7
r2b1rk1/1p1qn2p/p2pbp2/4p3/2P5/1PN1BPP1/P5BP/R2Q1RK1 b - -,f6f5
3r2k1/pp1r1n2/5qpb/P1p1p2p/2NpP3/1P1P2BP/4QPP1/R4RK1 w - -,g3h2
5k2/5pp1/8/1P5P/5K2/r7/7P/1R6 b - -,a3a7
r1bqkb1r/p1pppppp/1pn2n2/8/2PP4/2N2P2/PP2P1PP/R1BQKBNR b KQkq -,e7e6:e7e5
6k1/Bp3pp1/2p5/3p4/PPn4q/2Q1P3/6P1/5K2 b - -,c4d6
5r1k/7p/1p3rp1/pPp1Q3/1qBn4/1P1R2P1/5PKP/R7 b - -,h8g7
2r4k/3b2pp/3q1p2/Np6/8/P2P3P/2P2QP1/2R3K1 b - -,d6a3
r3k1nr/1bpnqpbp/p2pp1p1/4P3/Pp1PNP2/3B1N2/1PP3PP/R1B1QRK1 b kq -,a6a5
8/7p/5p2/4kP1N/6KP/8/5b2/8 w - -,h5g7
5r2/2k1n3/pp1p2b1/3Pp3/2P1PpP1/1Pq2Q2/P7/1B1RNK2 b - -,c3a1
r5k1/2p2ppp/1p2p3/4P3/n2R4/P3P1P1/1p2P1KP/1R6 w - -,d4c4
8/3B1p2/5p2/5k2/1p6/1r3PP1/1n1R2KP/8 b - -,f5e5
6R1/8/1pp4k/p2pP3/6PK/2P4P/P1r5/8 b - -,c2c3
r2qnrk1/pp1nBpp1/2b1p2p/3pN3/3P1P2/2PB4/PP1N2PP/R2Q1RK1 b - -,d8e7
8/8/1p6/2p1RP2/2k1K3/P3P3/8/2r5 b - -,c1f1
r2q1rk1/pb1nbppp/3p1n2/1ppPp3/4P3/2P1BN1P/PPB2PP1/RN1QR1K1 b - -,d7b6
8/5pp1/1p1kpn1p/p7/2P2PP1/PP2KB1P/8/8 w - -,b3b4
2b5/2P1kp2/2B3pp/2K5/8/5P2/2P4P/8 b - -,g6g5
r1q2r1k/pp4pp/2p2pn1/3n4/3PR3/PQ3N2/BP3PPP/R5K1 w - -,a1e1
2k2r1r/1p1bnp2/pR2pQpp/n2pP3/8/qNPBB3/2P2PPP/1R4K1 b - -,d5d4
1k6/8/2Kp4/3Pb3/8/2p5/R7/8 w - -,a2a4
5rk1/5pbp/6p1/3nN3/p2p4/P2r2P1/1P3P1P/R1B1R1K1 b - -,g7e5
r3k2r/3n1ppp/6q1/p2bP3/Qp6/5N2/4BPPP/R3K2R w KQkq -,e1g1
3q1rk1/1brn1ppp/1p1bp1n1/p2pN3/P2P1PP1/1PPBRQ2/1B1N3P/R5K1 w - -,a1f1
r1rqb1k1/p4ppp/Npnbp3/3n4/1P1PB3/PQ2BN2/5PPP/2R2RK1 w - -,b3d3
8/8/5Kp1/2Q3Bp/k6P/3q4/8/8 w - -,c5e5
r2r1bk1/1p1n1ppb/1qp1pn1p/p2p4/2P5/PPQPPNPP/1B1N1PB1/3RR1K1 b - -,b6a6
2r2rk1/1bqnbppp/p7/1p1np3/8/PN1B1P2/1PPQNBPP/R4RK1 b - -,d7c5
1k2n3/1p3Qp1/pNq5/P3p1pP/8/5P2/KP6/8 b - -,b8a7
6k1/5pp1/p3nq2/Qp2p2p/6P1/2PNBP1P/1P3K2/8 b - -,e5e4
8/8/8/4r3/8/5k2/5pN1/5K2 w - -,g2h4
r3r1k1/pp2qppp/2pbnn2/3p4/3P2b1/1PN1BNP1/P1Q1PPBP/2R1R1K1 b - -,g4h5
r3r1k1/pp1q1pbp/2n2np1/1N1p4/3N4/1P4P1/PB2PPKP/2RQ1R2 w - -,b5c3
1r3r2/2p1q1kp/2p3p1/2Pp4/PPn2P2/1QN1p1PP/4P1K1/3R1R2 w - -,c3b1
r4r1k/p2p3p/b1pN1bp1/2P2p2/1P1Np2P/q3P1P1/3Q1P2/2R1K2R w K -,b4b5
5rk1/1p3pp1/pN3n1p/Pn1p4/1b1P1N2/1P3P2/2r2BPP/R4RK1 b - -,b4c3
r1b1k2r/2q1bppp/p1p1pn2/1p6/4PP2/P1N1B3/1PP1B1PP/R2Q1RK1 b kq -,e8g8
r1b1nr1k/1p1n1pbp/pq1pp1p1/2pPP3/2P5/2N2N1P/PP1Q1PPB/2R1RBK1 w - -,e5d6
r2r2k1/1p1b2pp/p2np3/3p1p2/PP1P4/3BPPP1/3B1K1P/R1R5 w - -,h2h3
r4rk1/1p2n1pp/pN3p2/3npb2/8/1B6/PPPB1PPP/R3K2R b KQ -,a8d8
r4rk1/3bbp1n/pqp1p3/3pB1pQ/1P1N4/2P1P3/P2N2PP/R4RK1 b - -,f7f6
r4rk1/1bq3pp/pn2p3/2ppPp2/5P2/5B2/PPPQN1PP/3R1RK1 w - -,b2b3
5r1k/6pp/1R2n3/8/6p1/6P1/q4PQP/3R2K1 w - -,f2f4
3rr2k/2p2pq1/1p5p/p2Pp1b1/2P1b1Pp/1P2BP1R/P1Q2K2/1R6 w - -,c2e4
r4nnr/ppq3k1/2p1ppP1/8/2BP2Q1/P1P5/2P2P2/R1B1K1R1 w Q -,c1f4
6R1/8/8/8/3kp3/8/1r6/4K3 w - -,g8g3
1r4k1/5p2/8/2bN3p/P4p2/2P1p3/R1K2PPP/8 w - -,f2e3
8/4ppk1/2B3p1/1Pr4p/R1Pr3P/6P1/4KP2/8 w - -,e2e3
5rk1/prp2b2/2Npq3/1P2b1pp/2P1P3/1R1QP1P1/6BP/2R3K1 w - -,b3b1
r3k2r/p3ppbp/2pp2p1/q1nP4/4PP2/3B1Q1P/P1P1N1P1/1R2K2R w Kkq -,e1f2
r3r2k/p2b1p1p/1p3q2/2pPb1p1/2P1Pn2/P4PB1/3QB2P/2RN2RK w - -,d1f2
r2qk2r/3bbppp/p2ppn2/1p6/3NP3/PnN1BP2/1PPQ2PP/R3K2R w KQkq -,d4b3
R6r/5npp/p3kp1n/2B5/4Bp2/2P4P/PP3KP1/8 w - -,a8a6
6rk/3Qn3/7p/8/p1P1BP1P/P5PK/1q6/8 b - -,b2c3
8/5pB1/4p3/3b3p/5Pk1/p2KP1P1/7P/8 w - -,e3e4
r2qr1k1/1Rb2pp1/3p1nnp/1NpPp3/p1P1P2P/P4PP1/1R1B3K/1Q3B2 b - -,c7b8
5R2/6pp/6k1/4p3/1P3b2/5R2/r2r1BKP/8 b - -,a2b2
8/2p2k1p/p2n4/1p6/1P3P2/P7/5PK1/R7 b - -,f7g6
Q7/3q1bk1/2rp3p/1N4p1/P1n5/P5P1/5P1P/3R2K1 b - -,d6d5
r3k2r/1bqnbppp/p2pp3/1p4P1/4P2P/2NBBP2/PPPQ4/1K1R3R w kq -,h4h5
8/1pp2kpp/4rp2/nr1p4/p2P2P1/P1P4P/1PRN1K2/1R6 b - -,b5b6
1k6/5p2/K3p3/1PBpPn2/3P1P2/8/8/7q w - -,c5a7
2r1r1k1/p6p/2p3p1/B2n1b2/N2R1p1P/8/PP3PP1/2R3K1 w - -,a5d2
r1bq1rk1/pp2npbp/2np2p1/2p5/2P1Pp2/2NP2P1/PP2N1BP/R1BQ1RK1 w - -,c1f4
r3r3/1pk2ppp/p4n1q/5b2/1PP2P2/4b1PP/PB2Q1B1/3R1K1R b - -,f6h5
2r5/5pk1/p1nqp1pp/2N5/P3Q3/3BP1P1/1bR2P1P/6K1 b - -,c6e5
br3rk1/2qnbppp/p2pp3/N7/2P1P3/2N1BP1P/1P1Q2P1/R1R3K1 w - -,b2b4
r1bq1rk1/ppp3bp/2np1np1/5p2/2PPp3/2N1P2P/PP1NBPPB/R2Q1RK1 w - -,a1b1
1r3rk1/2R2ppp/1b2pn2/3q4/Pp1p4/1N1Q1PP1/1P1BP1KP/R7 w - -,c7c4
r3kbnr/pp1q1ppp/4p3/1P1pP3/2nP4/1QN2N2/3B1PPP/2R2RK1 w kq -,d2e3
r1bqr1k1/ppp1ppbp/2np1np1/8/3PP3/2PB1N2/PP1N1PPP/R1BQ1RK1 w - -,f1e1
r2qr1k1/1b2bppp/p1n1p3/1p2P3/1P3n2/PB2QN2/3N1PPP/R1B1R1K1 b - -,f4g6
2k5/pp4p1/4pp1p/3p3P/1b6/6N1/qB3PP1/2KR3R b - -,b4a3
2r2rk1/p3bppp/np2pn2/3pN3/1P1PP3/P5P1/1B1N1P1P/2R1R1K1 b - -,a6b8
3Q2nB/pk3q1p/2p2pp1/4p3/1P6/2P5/1K3P1P/8 b - -,f7e6
8/4B3/6k1/3R1pp1/1P1P3p/3b3P/1r3PP1/6K1 b - -,d3e4
5k2/4pp2/p2p1b2/2rP4/5P2/2PR4/PP1N3r/2K3R1 b - -,c5b5
5k2/5p2/pp2b1pp/3p4/P2Nn1P1/1P2P2P/5PB1/6K1 w - -,g2f1
2R5/Pk6/8/1p2p3/r7/2K5/8/8 w - -,c8c5
7Q/5K2/4Q3/2kq4/8/8/4p3/8 b - -,d5e6
8/8/ppppk3/4p3/2P2p1r/PP5P/3K4/5N1R w - -,d2d3
2kr4/p1p1b3/4p3/1pPqPppp/1P6/2Bn1PN1/P1Q3PP/5RK1 b - -,d5c4
2r3k1/5pb1/4r1p1/6P1/1p1p3K/pP1Pp1BP/P1P1R1R1/8 b - -,g7e5
r4rk1/2pnqpBp/bp1p2p1/p2P4/4PP2/P1N4Q/1PB3PP/3R1RK1 b - -,g8g7
5rk1/3n1pp1/p4n2/qp2p3/1br1P3/2N1B1pP/PPPQN3/1K1R2R1 w - -,g1g3
r1b2r2/4qpkp/2p2np1/ppp1p3/4P3/2NP3P/PPPQ1PPN/2KR3R w - -,h2g4
rnb1k1nr/pp2ppbp/2p3p1/3q4/Q1p5/N4NP1/PP1PPPBP/R1B2RK1 b kq -,b8d7
8/1p1kb3/pr4p1/4p2p/P3N2P/1PR2PP1/4K3/8 b - -,b6b4
r6r/1b1k2pp/p2p4/np1p2N1/3P4/P1N5/1P3PPP/R4RK1 b - -,a5c4
7k/1p2Q1pp/6b1/8/p3P3/P3P1P1/5PKP/3q4 b - -,d1b3
3r3r/1p3kpp/p2B4/5N2/3n4/3B4/PPP2PPP/R3R1K1 b - -,d4f5
rn2k2r/pp2bpp1/1qp1pnp1/3p4/2PP4/2N1P1P1/PPQBBP1P/2R2RK1 b kq -,b8d7
rq2r1k1/1b3ppp/2p2n2/1p2b3/4P3/p1NBB1P1/PP2QP1P/2RR2K1 w - -,b2b4
8/1p2kp1p/4p1p1/1P1pP3/3P4/n4NPP/P4P2/5K2 w - -,f1e2
8/1p3ppp/2bkp3/1B2b3/2K4B/5P1P/P5P1/8 w - -,a2a4
8/7p/4kp2/4r3/Pnp5/5BKP/P2R2P1/8 w - -,d2b2
rn1q1rk1/pp2ppbp/1np3p1/3P2P1/3P4/2NQ1B1P/PP2PP2/R1B1K2R b KQ -,c6d5
1r6/p2bk3/2p1p1p1/P3R2p/1P3P1P/2KN2P1/8/8 w - -,d3c5
r2qk2r/pp2bppp/3pp3/3bP3/3P1B2/3R1N2/PP2QPPP/R5K1 w kq -,a1c1
r3r1k1/pp1q1p2/3p2p1/4n3/4P1P1/1PpN4/P1PbBP2/R2Q1RK1 b - -,e5c6
r1q2rk1/1p2ppbp/p4np1/n7/8/1QN1B3/PPP1BPPP/3R1RK1 w - -,b3b6
r4rk1/pq5p/1p4pb/2P1pp2/1P1p4/3P2P1/2QNPP1P/1R3RK1 b - -,b7d5
2kr3r/pp3pp1/2p1pb1p/3n4/1P5P/3P1BP1/P1PB1P2/1R2R1K1 b - -,g7g5
2r2r1k/5ppp/pq2p3/1p1nP3/1b2N1Q1/1P2P2P/PB3PP1/R4RK1 w - -,a2a3
8/8/2k3P1/1pP2n2/1P6/2P2K1p/5B2/8 w - -,f2d4
r5k1/p1nn2q1/1pp1p1pp/3pPrB1/3P1PQ1/5N2/PPP4P/2KR1R2 w - -,g5h4
r5k1/2q2ppp/r1n1p1n1/pp1pP1NB/b1pP4/P1P1B1Q1/R1P2PPP/R5K1 b - -,c6d8
rnb1k1nr/pp4pp/2pbpq2/3p1p2/2PP4/3BPN2/PP1N1PPP/R1BQK2R w KQkq -,b2b3
1r1qr1k1/ppp2ppp/2n5/4p3/3P2b1/1QP1PN1P/P3BPP1/R4RK1 b - -,g4h5
6k1/5pp1/R3p1bp/pr6/2NPPn2/5P1P/r5PK/2R2N2 w - -,f1e3
3q1rk1/2rn1ppp/pp2pb2/2p5/P7/2BP2P1/QP1NPPKP/R1R5 b - -,f6c3
r2q1rk1/pp2ppbp/1np3p1/8/3P2b1/2NBPNP1/PP3PP1/2RQ1RK1 b - -,e7e5
8/5pk1/1r5p/8/2n1BBPP/8/5PK1/8 b - -,c4d6
2r2rk1/1p3p1p/3b2p1/p1pPp1P1/P3Qq1P/2P2P2/1P6/2KR1B1R w - -,e4f4
r2q1rk1/1pp1n1bp/p2p2p1/3Ppp1n/1PP1P3/1B2NQ2/PB3PPP/R3R1K1 w - f6,e3f1
q3rb1k/p1R3pp/1pb2p2/n1p5/4n1Q1/4P1P1/P4PBP/B2RN1K1 b - -,a5c4
1r1r2k1/p2q2pp/b4b2/B1Q2n2/3p1P2/N5PP/PP4BK/3RR3 b - -,b8c8
7k/5p1p/3p4/3P1P1p/4P1b1/r2p1NP1/5RKN/2b5 w - -,h2g4
8/3k4/b1p2p2/2Pp1Np1/p2P2P1/P4P2/6P1/6K1 b - -,a6d3
6k1/ppp2p1p/5bb1/2P5/1P2n3/4B1NP/P1B2PK1/8 b - -,e4g3
8/2r2bk1/1pBq2p1/pP5p/3p1R1P/P2Q2P1/7K/8 b - -,d6e5
r1br2k1/p5pp/p2b4/5p2/3Pp3/P1N1P3/1P1B1PPP/R4RK1 b - -,c8b7
rnbqkbnr/pppp1ppp/8/4p3/3P4/6P1/PPP1PP1P/RNBQKBNR b KQkq -,e5d4
2b1n1k1/3QBp1p/6p1/3p4/3P4/5N1P/6P1/6K1 b - -,c8d7
2rq1rk1/pb2bp1p/1p2pnp1/8/3P1P2/4BN2/PP1Q2PP/1BR2RK1 b - -,d8d6
2r1k2r/pp1qbppp/2n1pn2/2p5/Q7/2NP2P1/PP2PPBP/R1B2RK1 b k -,e8g8
3q2k1/1p4pp/3p4/1P1Pp1P1/pP2Qp1P/4bP2/P3R2K/2r2B2 w - -,h2g2
1qrb4/3n1kpp/Q1p1pp2/1pPp4/1P1P1P2/3NPN1P/6P1/4RK2 w - -,e1a1
8/8/2PKb3/1p2N1p1/5kP1/P7/8/8 b - -,e6c8
r6r/4RR2/6p1/2p5/2B2PPk/pP6/3P3K/8 w - -,c4e2
2k5/1p3p2/p1p3p1/2P1P2p/P4P2/1rNbKnP1/3r3P/2R1R3 b - -,d2c2
6N1/5p2/p1b1k2p/5p2/3K3P/P4P2/6P1/8 w - -,g8h6
6k1/1br2p2/4p1p1/1p1qP2p/1P3Q2/2P2NRP/6PK/8 b - -,c7c3
5r1k/1pn1brpq/p1p1p2p/P3P1p1/3PQ3/2B1NPP1/1P4KP/R4R2 b - -,f8d8
3q1rk1/p2np1bp/2p3p1/1r1b4/Np1P1n2/1P3NP1/P3PPBP/2RQ1RK1 w - -,g3f4
3b4/1k4pp/1P6/2pPp3/5p2/3K1P2/5BPP/8 w - -,f2c5
r1b1k2r/1pqp1ppp/p3pn2/n7/3NPP2/P1bBB3/1PPQ2PP/R3K2R w KQkq -,d2c3
r1bq1rk1/6pp/p2p3b/1p1Ppp2/7P/2P2PP1/PPN3B1/R2QK2R b KQ -,c8b7
4r1k1/1p3ppp/pB3b2/P2Rn3/2P1P3/1P4Pq/R3Q2P/6K1 w - -,a2d2
r3r1k1/1p3pp1/pqpb1nnp/3p4/3P4/2NQP1P1/PP1B1PBP/R3R1K1 b - -,g6e7
r1bqk2r/1pp1nppp/p2p4/2bP4/3p4/2P3P1/PP2NPBP/R1BQK2R w KQkq -,e2d4
1r1qnrk1/1p3p1p/p2p2p1/2pPb1P1/P3PP2/2N1B3/1P2Q2P/R4R1K b - -,e5c3
r1bqr1k1/1pb2ppp/2p1pn2/p1Ppn3/1P1P4/P5P1/1BQNPPBP/R4RK1 w - -,d4e5
1r2rbk1/R4bpp/5p2/4pPP1/3pP2P/1p1NP3/1R3K2/5B2 b - -,b8a8
r1b1r1k1/pp1q2bp/2np2p1/2p2pP1/2Pn1P2/2NP4/PP1QNBBP/R4RK1 b - -,a8b8
r1Q5/pR3pk1/2pR1nrb/P3p3/4P3/1PN3P1/2P2P2/6K1 b - -,a8c8
r1b1k2r/pp3ppp/2n1pn2/q1Pp2B1/1bP5/1QN2N2/PP2PPPP/R3KB1R w KQkq -,g5f6
2rqr1k1/p3bppp/1np1bn2/3pN1BP/1p1P1Q2/2NBR3/PPP2PP1/2K4R w - -,c3e2
2k5/4rR2/r1p3PN/p2p4/P2P4/3K2P1/6P1/8 b - -,e7e8
8/p2k3p/1p1n2p1/3P1p2/PPBKr3/7P/6P1/2R5 w - -,d4d3
r1bqkb1r/3n1ppp/pp1ppn2/8/P2NPP2/2N5/1PP1B1PP/R1BQ1RK1 b kq f3,c8b7
1r6/R4p2/4p2p/1r2k1p1/1P1RP2P/1K4P1/8/8 w - -,d4c4
r2q1rk1/pb3p1p/1p1b1pn1/3p4/2P5/3B1N2/PB3PPP/2RQ1RK1 w - -,c4d5
1r3r1k/1b1q1pn1/3p2p1/1p1Np2p/1P4nP/1Q2PNP1/P2R1PB1/1R4K1 b - -,d7f5
r1r5/3nkpp1/3b1n1p/pp2pb2/2p1P3/1P2BN1P/PKP1BPP1/3R3R w - -,e4f5
2r2rk1/p4pp1/1pn1p3/2Qn2q1/3P3p/PP3B1P/1B3PP1/2R1R1K1 w - -,c5c4
2br1rk1/4pp2/ppn1n1p1/2p1P1N1/5PP1/2P5/PP2BB2/R2R2K1 w - -,g5e6
rr6/3k1ppp/2p1pb2/p2n4/8/1N4P1/PPRBPP1P/3R2K1 b - -,d7e8
2k5/p7/5P2/8/1q2p3/2b2p2/PP5P/1KQ2R2 b - -,e4e3
2N1n3/5k1p/1K1p3r/3Pp3/B3P1P1/2p2p2/8/8 w - -,g4g5
r2qk2r/pp1bbppp/2np1n2/2p1p3/3PP3/2P2N1P/PPB2PP1/RNBQ1RK1 b kq d3,c5d4
r4rk1/p1q1bppp/bnp1p3/4n3/Pp2PP2/1N2N1P1/1PQ3BP/R1BR2K1 b - f3,e5c4
1k1q4/1p1r1p1r/p1nRpb2/8/4P2P/6B1/PPP1BQP1/1K5R b - -,d7d6
r1b1qrk1/1ppn1p2/n2p1bpp/p2Pp3/2P1P2B/P1N4P/1P1NBPP1/R2QK2R w KQ -,h4g3
2r1kb1r/5ppp/p1q1b3/4p3/8/1P1QNP2/P5PP/R1B1K2R w KQk -,e1g1
