8/3k3p/6p1/1K6/P1N5/3n4/6PP/8 b - -,d3f4
8/k5p1/p4r2/3B3p/NP6/6P1/1P1p3P/3K4 b - -,f6f2
rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/2NB4/PPP2PPP/R1BQK1NR b KQkq -,g7g6:c7c5:f8b4:d7d6:g8f6
2r1r1k1/p2q2pp/5p2/3N4/1P3P2/P7/2NQPP1P/6K1 b - -,c8d8
r3k2r/ppq1bppp/2n1pn2/3p4/8/1PPBQ2P/P4PP1/RNB1R1K1 w kq -,c1b2
1r4k1/5p1p/Rb1p2p1/p2Pp3/Br2P3/1P3P2/6PP/2R4K b - -,f7f5
5n2/5p2/2p5/2Pb1Pk1/3B4/3BK3/7P/8 b - -,f8d7
3r1rk1/2q3pp/1p1n4/p1pP1pP1/P1P1pP2/4Q1R1/1P2BK1P/1R6 b - -,d6c8
8/8/8/8/2K1pp2/5P2/k7/8 b - -,e4e3
b1N5/p7/5k2/1p6/1P6/PN1P2n1/6p1/6K1 w - -,b3c1
3r1rk1/2q1b1pp/p2p1p2/1p1PpR2/3B4/P2B3Q/1PP3PP/R6K b - -,e5d4
1rb1rbk1/2q2ppp/p2p4/1p5B/Pn2PR2/1PN5/1BPQ2PP/R6K b - -,g7g6
r2q1rk1/3bppb1/3p1np1/p3n1Pp/N2NP2P/1B2BP2/1PPQ4/R3K2R b KQ -,f6e8
rr4k1/2q1ppb1/b2p1np1/2pPn2p/5NPP/2N2P2/PPQBP1B1/R3K2R w KQ -,g4h5
3q2k1/1pr2rbp/2n2pp1/Pp2p3/1BppP3/3P2PP/R1P2PBN/4QRK1 b - -,c6b8
rnb1k2r/1pqpbppp/p3pn2/8/3NPP2/3B4/PPPN2PP/R1BQ1RK1 b kq f3,d7d6
rr4k1/p2b1ppp/n4n2/q2pN3/P1p1P3/2P5/2Q1BPPP/R1B2RK1 b - -,d5e4
1r2r1k1/2q3b1/1p3npp/2p1pp2/2P5/2BPN1P1/2Q1PP1P/1R1R2K1 b - -,f5f4
rr4k1/5pbp/p1q1pnp1/1p6/1PP2P2/3P2P1/1B2QN1P/R3R1K1 w - -,b2e5
3b4/5rk1/2p2p2/2P1P1qp/P2P2p1/4P3/5QPP/3B1RK1 w - -,e3e4
r1r3k1/2qn1p1p/4p1p1/pPbpP3/Pp6/1PnB2Q1/1B1N1PPP/2R1R1K1 b - -,f7f5
8/1prb3p/3R2k1/1p4p1/8/4r1P1/PP5P/1K3R2 b - -,e3e6
r2r2k1/3qppb1/2p1b1pp/ppBnP3/P2P4/1P1B1N1P/3Q1PPK/2R1R3 b - -,d8b8
6r1/8/3R4/R3nk2/8/3P4/5r2/7K b - -,g8b8
r1q2rk1/pp3pbp/5np1/3Pp3/4b3/1B4Q1/PPPPNPPP/R1B1K2R w KQ -,d2d3
7k/4r2p/1B4p1/p7/P7/5B1P/1P2nPP1/5K2 b - -,e2f4
r2r2k1/ppp2ppp/2n1b1q1/3nP3/6P1/P1B2N1P/1P2PPB1/R1Q1K2R b KQ -,g6e4
8/5pp1/4b2p/2k5/4P3/KPp2P2/6PP/2N5 w - -,c1e2
2kr4/1b2b1p1/pq2p3/3r1p2/1P5p/2P2P2/2NRQNPP/3R3K b - -,d5d2
2br1rk1/pp3pp1/1qn4p/2N5/3p4/6P1/PP1QPPBP/2R2RK1 w - -,c5d3
rn1qk2r/pppb1pp1/3p1n1p/2b1p3/2B1PP2/2NP1N2/PPP3PP/R1BQK2R w KQkq -,f4f5
r1b2k2/1pqn1pr1/3N1p1p/p1p1pP2/P3P3/1B6/2QR2PP/2R4K w - -,c1d1
5r2/p2k2bp/1p5p/5N2/1PP3P1/P2K1p2/7P/4R3 b - -,g7b2
6k1/1p4b1/8/4pr2/3p4/P2P2R1/1PN3P1/7K b - -,f5f2
rnbqkb1r/pp3ppp/3p1n2/2pPp3/2P1P3/8/PP3PPP/RNBQKBNR w KQkq -,b1c3
4r1k1/p1pR1pp1/2P1rq2/7p/2Q1P2P/5PN1/P4PK1/2R5 b - -,f6h4
4r1k1/1pp2p2/p1q2np1/4p3/P1P4Q/BP1R2P1/5P1P/6K1 b - -,a6a5
r1b2rk1/pp2ppbp/1qnp1np1/2p5/3P1B2/1QP1PN1P/PP2BPP1/RN2K2R w KQ -,e1g1:b1d2
1r3k2/7p/Pp4p1/1R1B4/3b4/6PK/r7/1R6 w - -,d5b7
r1bqkb1r/5ppp/p3pn2/1p2P3/3N4/1nN1B3/PPP3PP/R2QK2R w KQkq -,a2b3
r5k1/1p2Bpbp/pq4p1/2pP4/6n1/1N6/PP4PP/4QB1K b - -,a8e8
r2q1rk1/1pp2pp1/1p1pbnnp/8/3PP3/3N2PP/PPP3B1/R1BQ1RK1 b - -,c7c6
3rr1k1/1p3ppp/1pp1b3/4P3/1P2P3/7P/1P3PPB/R2R2K1 b - -,g7g5
5bk1/p4pp1/7p/1P3Q2/3P4/4B1P1/5K1P/7r w - -,f5h3
r1b1qrk1/ppp1b1pp/2npp3/3P1p2/2P5/2P2NP1/P1Q1PPBP/R1BR2K1 b - -,c6a5
5r1k/2N1N2p/1p1p2p1/2nP2Pn/p3P2q/P7/1PQ1Rr2/1K1R4 w - -,e7f5
3r3r/1p1bk2p/2p2ppn/p1n1p3/P1B1P3/2N1KPP1/1PP4P/R1N4R w - -,h1d1
3r4/1p2rpk1/2p3p1/p3b3/P2NP1bq/2QPB3/1P4P1/2R2NK1 b - -,d8h8
2r2k2/5np1/4p2p/8/2N4N/3p4/5PPP/5K2 w - -,h4g6
3qr1k1/2pb1pp1/pr6/3pP2p/1b1P4/3Q1NNP/PP3PP1/R4RK1 w - -,f1d1
1r1rqnk1/p4pb1/1p1P3p/1Pp1p1pP/P1Q1P1B1/2BR1RP1/5P2/6K1 b - -,b8a8
8/p7/1p4k1/3PR2p/4pr1P/5p2/PP6/5K2 b - -,f4h4
8/2R2pk1/6p1/pn1pP2p/Pn3p2/1P6/6PP/3N1B1K b - -,b5c7
3r4/p1r3bk/6RB/1p5P/n5N1/3p4/1P3P2/1K4R1 b - -,d3d2
r2q1rk1/3bp1bp/3p2p1/1P1Pn3/2pNNn2/5P1P/1P1Q1BP1/2KR1B1R w - -,d4c6
r1k3nr/pp1b1pb1/2p3pp/8/2P1PNn1/5N2/PP4PP/2KR1BBR w - -,c4c5
r4rk1/3bbppp/1q2p1n1/p2pB2Q/3P4/2P1R2P/RPBN1PP1/6K1 w - -,d2f3
r7/8/3p4/2pP4/4Pp2/2P2Pkp/5R2/5K2 b - -,a8a1
r4rk1/4qppp/n1pp4/R3p2n/1PP1P3/2Q3PP/3N1PB1/2R3K1 b - -,e7a7
rnb2rk1/1pp1q1b1/p2pp2p/P4ppn/3P4/2P1P1B1/1P1NBPPP/R2QKN1R b KQ -,h5f6
4N3/Q3n1pp/2p3k1/1p2q3/8/7P/PP4P1/7K b - -,e7f5
8/R5p1/5p1k/8/5KP1/p6r/8/8 w - -,a7a6
6k1/1R3pp1/8/4r3/2qp4/5QP1/1P4KP/8 w - -,b2b3
4q2k/1p1R2p1/p4r2/2Q2pp1/8/1B2P3/PP3PPP/6K1 w - -,c5d4
rnbqkbnr/pp2pppp/8/3p4/3p4/5NP1/PPP1PPBP/RNBQK2R b KQkq -,g8f6
8/p4pk1/Pb2p1p1/4q2p/2B4P/1P3QP1/5PK1/8 w - -,f3b7
r2r1nk1/1p3pp1/p1p1b2p/8/1BqP4/P2Q4/1PB2PPP/3R1RK1 w - -,d3d2
1rbk3r/pp1pnpp1/2n3q1/2bN3p/4P3/2N3PB/PPP2P1P/R1BQ1RK1 w - -,c1f4
r1Q2rk1/1b3pbp/p7/1p2p3/4p3/PPN4P/1P3BP1/R4RK1 b - -,a8c8
6k1/5p1p/pp4p1/6q1/3Q4/1P2PK2/P2R1P1P/5r2 b - -,f1g1
r2q1rk1/pp1bppbp/2np2p1/8/3NP3/2N1BP2/PPPQ2PP/1K1R3R b - -,c6e5
r2qkbnr/pp3ppp/2npb3/4p3/4P3/1N3P2/PPP3PP/RNBQKB1R w KQkq -,c2c4
3Q2k1/5pb1/1p6/4P3/p2PbPp1/P5Pp/6rP/7K b - -,g8h7
3r2k1/pp2pp1p/6p1/8/1Pr5/7P/PQ2KP2/6R1 b - -,c4d4
r1b1r1k1/3n1p2/2pq2p1/p1Rp4/Pp1P2Pb/4PPN1/3Q2KP/BB2R3 w - -,c5c1
8/R7/pr1r1kp1/8/R4PKP/8/8/8 w - -,a4a5
r1bqkb1r/pp2pppp/1nn5/3pN3/P2P4/8/1PP2PPP/RNBQKB1R w KQkq -,f1b5
2r1r1k1/1p3pp1/p2p3p/6b1/2R5/1P6/PBP3K1/4R3 w - -,g2f2
4Q1k1/p1qr1p2/6p1/3P4/P1pR3P/6P1/5PK1/8 b - -,g8g7
5k2/5pp1/1rp4p/p2nR2P/1p1P1PP1/PP6/1KPB4/8 w - -,g4g5
1rbq1rk1/1p1nppbp/p2p1np1/2p5/P1PPP3/2N3PP/1P2NPB1/R1BQ1RK1 b - a3,c5d4
2r3k1/2q2p1p/3b1P2/1prp2Pp/3R4/3B4/PP1Q4/1K1R4 b - -,d6g3
3q4/1p1r1k1p/p2pRpp1/3P1P2/P1PQ3P/1P6/8/7K w - -,h1h2
1knr1r2/1pqn2p1/2p2pp1/p3p3/P2PP1P1/1BP1QPB1/1R5P/1R4K1 b - -,g6g5
r2qr1k1/2pbn1bp/1p1p2pn/pP1Ppp2/2P1P3/2N1BN1P/P2QBPP1/R2R2K1 w - f6,e3h6
2rr4/1p1bppkp/pq1p2p1/3P4/4P3/1P4PP/P1R2PB1/2RQ2K1 b - -,a6a5
r2r2k1/1p1qbppp/p1np1n2/3Np3/2P1P3/1PN3P1/PB1Q1PKP/R4R2 b - -,f6d5
3qbrk1/1p2bp1p/p3p1p1/n2NN3/3P1PQ1/P7/1P3PPP/1Br1R1K1 w - -,d5e7
3r1rk1/pbqn1pp1/1p2pn1p/8/2PP4/P2B1N2/3BQPPP/R4RK1 w - -,f1e1
1rq1rnn1/4ppbk/pp4pp/2pPP3/b1P1N3/5N1P/1P1Q1BP1/3RRBK1 w - -,d1a1
r1r3k1/1b3pbp/pp1qpnp1/3p4/P1pP4/N1P1PP2/1P1B2PP/1QRR1BK1 b - -,d6d7
r1bq1rk1/2pnbppp/p2p1n2/1p2p3/3PP3/1BP2N1P/PP1N1PP1/R1BQR1K1 b - -,c8b7:c7c5:f8e8:d7b8
1r6/2p2p2/3p1k1p/3P2p1/p3PbP1/1P1K4/R7/3B4 w - -,b3a4
8/5p1k/3P2p1/p3p2p/1q2P1nP/6P1/P2RQPK1/2r2B2 b - -,c1c8
r3k3/1b3p2/p3pPr1/2p5/2P2Bp1/1PR5/P5pP/3R2K1 w q -,f4e5
2rr2k1/p1q2pbp/1p2p1p1/2pnN3/P1PP1P2/BQ2P3/4R1PP/2R3K1 b - -,d5e7
8/8/1kr3p1/1p3pK1/5P1P/8/8/1R6 w - -,h4h5
1n1n1r1k/p1q3pp/3p4/2bB4/4Q3/1R2B3/P4PPP/5RK1 w - -,e3c5
3q1k1r/p7/5p1p/1p2nNp1/2p3P1/6P1/PP2QP2/5K1R w - -,f2f4
8/p1rNk3/7p/5pp1/1P6/4K1PP/1P1R4/1b6 w - -,d7e5
4k3/4p3/b7/p2Pp2P/2pq4/4Q2R/P4r1P/4R1K1 b - -,f2f8
rnbq1rk1/pp2p1bp/2pp1np1/5p2/1PPP4/5NP1/PB2PPBP/RN1Q1RK1 b - c3,f6e4:d8c7
8/4kP1n/3p4/1K1Bp3/4P3/8/8/8 b - -,h7g5
5k2/3R2p1/7p/8/8/3bNP1P/1r4PK/8 b - -,d3g6
r3kbnr/pp2pppp/1qn5/3p1b2/2pP1B2/2P1P3/PP3PPP/RNQ1KBNR b KQkq -,g8f6:e7e6
2r2r1k/1n2n1pp/1p3q2/p2p1p2/P2P2P1/4B1Q1/1P5P/1B1RR1K1 w - -,e3f4
8/rB2kp2/P1K1p1p1/7p/8/4bP2/6PP/3R4 w - -,d1d7
2Rr2k1/pq1r1ppp/4pbn1/8/3P4/2Q2N1P/PB3PP1/2R3K1 b - -,g6f4
8/3b4/5p2/p1pk4/5K2/P1p5/1P2B3/8 w - -,b2c3
r3r1k1/ppn2nb1/3pbq1p/2p2p2/2P2P2/2NB1N1P/PP1Q1BP1/3RR1K1 w - -,d2c2
2r5/4k2p/p4p2/1p3p2/5P2/2P5/PPKR3P/8 b - -,c8c4
r1bqk2r/1p1nppb1/p2p1np1/7p/2BNP3/2N1BP2/PPPQ2PP/2KR3R b kq -,b7b5
r2qr1k1/1pp2pp1/1pnp1n1p/4p3/2P3b1/1P1P1NP1/PB2PPBP/R2Q1RK1 w - -,h2h3
r1bQk2r/1p2p1bp/p1n2np1/2p3B1/P4P2/2N2N2/1PP1B1PP/R3K2R b KQkq -,c6d8
6k1/1p4p1/2p4p/3r4/Pb3PP1/r3B3/P1R1K2P/5R2 w - -,f4f5
1r5k/3R1B2/1p3pp1/p6p/2P2P2/1P6/P6P/1b4K1 w - -,a2a3
r2b4/pb6/1p1Pp1k1/6pp/2rB4/5PQ1/q5PP/4RRK1 w - -,e1e6
1r2r1k1/p4pp1/7p/2pn1q2/4n2P/P3P3/2QN1PP1/2R1B1KR b - -,d5f6
4r3/2Rnkp2/2R1p1p1/p2r3p/1P3P1P/8/P1P3P1/2K5 w - -,g2g4
6r1/1p3k2/p1p1p1qp/P1Pp1pb1/1P1P1Br1/4P2R/3Q1RPP/7K w - -,d2b2
rq6/p5k1/1pRr2pp/1Q1PRp2/8/8/PP3PPP/6K1 b - -,d6c6
8/8/2r2kpp/8/8/5RKP/8/8 b - -,f6e5
8/8/1p1r4/p1k5/P5R1/2K2pP1/8/8 b - -,d6f6
8/5p2/1pbp1r2/p3n1p1/P1P1P1Pn/1Pk1KP1R/3R4/3B4 b - -,c3b4
1r5k/p2PpR2/4P2P/1p4P1/7P/4b3/P5B1/7K b - -,e3c5
6r1/4kp2/1q1p1b1p/2n1pP2/ppQ1P3/8/PPPR3P/1K2R3 b - -,g8g4
1r3k2/2p3p1/p4p1p/P1n1p3/b1N1P3/2P2P2/3R2PP/5BK1 b - -,a4b5
1n5r/5p1p/1B1pkb2/1B1b2p1/1P6/N7/2R2PPP/6K1 w - g6,c2e2
r7/5p2/3Nk1pp/2Kp4/p5PP/P2B1P2/2P5/8 w - -,f3f4
r1bqkbnr/1p1p1ppp/p1n5/4p3/4P3/5N2/PPP1BPPP/RNBQK2R b KQkq -,f8c5
r1b2rk1/1pq1ppbp/p1np1np1/8/P3PP2/1NN5/1PP1B1PP/R1BQ1R1K b - f3,c8e6
1r2r1k1/2q2pbp/pn1p1np1/NbpP4/4PP2/2N3PP/1P4B1/R1BQR1K1 w - -,e4e5
8/6R1/3pr1p1/4p1K1/3kP2P/8/8/8 w - -,g7g6
4r3/k7/7R/5p2/1Bbp1P2/Pn3B2/5K1P/8 w - -,h2h4
4r3/p1q2kp1/4p2P/2p3B1/2Pn4/P7/4QPP1/3R2K1 w - -,e2e4
8/6R1/3r3p/1bk5/4p3/3pK1P1/5P2/3B4 b - -,b5c6
r2q1rk1/1ppb1pbp/p1np2p1/P3p3/4Pn2/2PP1N1P/BP3PP1/R1BQRNK1 w - -,a2b3
4r1k1/5pp1/pQ6/2pPq3/P1P4P/6R1/6PK/8 b - -,e5f4
8/8/2n5/2kp4/6R1/2K5/2P5/8 w - -,g4g6
r1bqkb1r/pp1p1p2/5np1/4p3/2PpP2p/3P4/PP2BPPP/R1BQ1RKN b kq -,f6h5
1r4k1/6p1/3b1p1p/4p3/2p3P1/2N5/P4PP1/2R3K1 w - -,c3e4
7r/pp1kq3/5r1p/2p2p1Q/2Ppp3/5P2/PPP1R1P1/3R2K1 b - -,d7c7
2rq2k1/5pp1/4pn1p/p2pN3/P2Pn3/1P1BP1P1/1BQb1P1P/3R2K1 w - -,e5c6
2rq1rk1/2p1nppp/ppb2n2/8/3P4/5N2/PPBQ1PPP/RN3RK1 w - -,f3e5
4rrk1/1P3pb1/2Np3p/3n2p1/R3p3/3n2PP/1PR2P2/2BN2K1 w - -,d1e3
1r4k1/1qr1ppbp/3p1np1/1p1P2B1/8/1B1Q3P/RPP1RPP1/6K1 b - -,g8f8
4r1k1/1pp2pp1/p2q3p/2Qn4/3P4/5N2/PP2rPPP/2R2RK1 w - -,c5d6
1bb1r1k1/1p3p2/1Bp2qp1/4n2p/NP2P3/4NP2/4Q1PP/3R2K1 b - -,h5h4
r3b2k/p1q2p1n/1p2p2p/2p1P1pP/2P3R1/2BQ4/PP3PP1/2KR4 w - -,f2f4
rn1q1rk1/1b3ppp/p2bpn2/1p1pN3/3P1P2/2NBP3/PP1B2PP/R2Q1RK1 b - -,f6e4
2b5/5qk1/2pb2pp/1pNp1p2/1PnP4/2NBP1PP/2Q2PK1/8 b - -,g6g5
r3rk2/pp3pb1/7p/3qn1p1/8/P1N1PPP1/1PB2P2/R4K1R w - -,c3d5
r1b2knr/pp1p3p/3b1pp1/3N1q2/2BQ4/P7/1PP2PPP/R3R1K1 w - -,c4d3
r3r1k1/pp3p1p/2p1b1p1/2Qnq3/8/1P2P1N1/P3BPPP/2RR2K1 b - -,f7f6
8/8/p4b2/3p1k2/1P3P2/4B3/P1K5/8 b - -,f5e4
2r1b3/r4pkp/6p1/1p6/2p5/P1R1PB1P/1R3PP1/6K1 b - -,c8c7
8/p3k1p1/2p2pp1/1p6/5P2/1P1R2PP/4K3/6b1 w - b6,e2f3
rnb4N/ppp1k3/3bp2p/3p3Q/3q2pP/2NB4/PPPK1pP1/R6R b - -,d4h8
2r1n3/3Rp2p/2P1k1p1/1p3p2/1P6/2NKP3/6PP/8 w - -,c3b5
3r2k1/p3p1bp/1p4p1/3P1r2/2p4q/2P1BP2/3QN1P1/5RK1 w - -,e2f4
r2r1nk1/2q4p/2p3pP/p2Pp1N1/1pP5/6P1/PQ4K1/2RR4 w - e6,d5e6
1r6/4k3/5p1p/p1pBp1bP/P2rP3/1P6/4K1R1/3R4 w - -,g2g3
6k1/pp2R2p/2bp3P/2p1r1p1/8/2P3N1/P4P2/6K1 w - -,e7g7
8/8/pBr4p/P3p3/2k1p1Pp/2b4K/5P2/2R5 b - -,c4d5
2r3k1/p4pp1/1b5p/3Bp3/2p1P1bP/PqN3P1/1PQR1PK1/8 b - -,b6d4
2r5/8/4k1p1/1p2p2p/4N2P/2n2KP1/PR6/8 w - -,e4c3
r1bqk2r/pp1p1pp1/2n1pn1p/2b3B1/2P5/2N2N2/PPQ1PPPP/R3KB1R w KQkq -,g5h4
4rrk1/pppq1pb1/3p1npp/4n1N1/1PP1p1b1/P1N1P1P1/1BQP1PBP/R3R1K1 w - -,h2h3
3r2k1/pbr1pp1p/1q4p1/8/1PR1n3/4PN2/PQ2BPPP/R5K1 b - -,d8c8
6k1/1r1p2p1/p3p2p/2q1n3/1p3Q2/4P1P1/PPP1N2P/5RK1 w - -,e2d4
8/pr2r2k/Q2p2pp/2pq4/1p1P1p1P/5b2/PPP4R/2K1RB2 w - -,f1e2
r5kr/ppb2p1n/8/4Pp1q/B5n1/1P1P2B1/P3QPP1/R4RK1 w - -,f2f3
r3kb1r/1p1b1ppp/p1n1p3/q1Pp4/8/2N1BBQ1/PPP2PPP/2KR3R b kq -,f8c5
1k4r1/pp3pbp/r2pb3/q1pN4/2n1P1PN/1P5P/P1QR4/1K1B3R w - -,b3c4
r2q1rk1/pb2ppbp/1pnp1np1/8/Q1P1P3/2NBBN1P/PP3PP1/2R2RK1 b - -,f6d7
r2qr1k1/pppnbppp/3p1n2/7b/3P1B2/3B1N1P/PPP2PP1/RN1QR1K1 w - -,c2c3
r2r2k1/pp3pbp/nq3np1/1B6/4PBb1/1NN5/PP4PP/R3QR1K b - -,g4e6
8/3b1k2/Bp3n2/p2p1pp1/P2Pp3/1PN1P1P1/3K1P2/8 b - -,f7e6
4b3/8/6k1/8/1p6/3P1K1p/8/6B1 b - -,b4b3
r2qkb1r/pp1n1ppp/2p1pn2/3p4/2PP2P1/2N1PQ1P/PP3P2/R1B1KB1R b KQkq g3,g7g6
2r3k1/5ppp/4p1b1/1p1qP3/3B1PP1/1P6/1KP2Q1P/2R5 b - -,b5b4
8/1p4R1/3p4/p1pKbB1k/P1P5/2r2p2/5R2/8 b - -,e5g7
r1bq1rk1/pp3pbp/3p2p1/3p4/1Q1Pn3/3BBN1P/PPP2PP1/R4RK1 b - -,d8f6
r1brq1k1/1pp2p1p/pn2p1pQ/n2P4/4P3/2N2P2/PP4PP/1K1R1BNR w - -,g1h3
r3r1k1/pp2qpp1/2p2n1p/2R2b2/3Pp3/1B2P3/PP1N1PPP/1QR3K1 b - -,f5g6
5rk1/Rpp3b1/3p1qpp/2PPp3/1P6/4BP2/3Q2PP/6K1 w - -,d2d3
5rk1/pp1rppnp/q5p1/8/2PN4/4P2P/PQ3PP1/2RR2K1 w - -,d1d2
r3k2r/pp1bp2p/1n1p1np1/q1pP1p2/2P5/1QP1PPP1/P5BP/R1B1K1NR w KQkq -,g2f1
6k1/4q1pp/3pb3/1rp1p2n/4Pp2/1PQP1P2/1B1KN1PP/R7 w - -,a1a8
8/7R/pk6/8/2P5/2K4P/8/2r5 w - -,c3b3
6k1/8/4NP1p/5K1P/8/3n4/5P2/8 w - -,e6d8
8/1R6/4p3/5p2/5P2/5P2/2prK3/2k5 w - -,e2e3
4r3/p4k1p/2p3p1/8/8/2P1np1N/PP1R4/2K3b1 w - -,h3g1
3rr1k1/pbq2ppp/1p3n2/2p5/2P3P1/P1Q2N1P/1B3P2/R4BK1 b - -,h7h6
6k1/5p1p/p2Rp1p1/1p6/1P2P3/r6P/5KP1/8 b - -,g8f8
1k5r/pp2qpp1/2pQp3/4P2r/1PP2Pn1/P5P1/8/R3RNK1 b - -,e7d6
5r2/1p3rk1/p2R2p1/5p2/2P1p3/1PN1b1P1/P5KP/5R2 w - -,h2h4
2r2rk1/1p4pp/p4n2/P7/2PRp3/4N2P/1P4P1/5RK1 b - -,f8d8
r3k2r/pppq1p1p/4pp1b/8/2NPb3/2P2Q2/PP3PPP/R3K2R w KQkq -,f3e4
4bk2/5p1p/1p4p1/p2Bq3/8/P6P/1P1Q1PP1/6K1 w - -,d5f3
r4rk1/1p2q1pp/1nn1bp2/p3p3/Pb2N3/3P1NP1/3BPPBP/1R1Q1RK1 w - -,b1c1
3r4/3rb1p1/kp2p3/p1pn2Pp/4N2P/P3BP2/1PR1KP2/2R5 b - -,g7g6
r5k1/1p3qbp/p1p2np1/P1Np1b2/1P3P2/6PP/2PQ1BB1/4R1K1 b - -,h7h5
2rqn1k1/p2rbppp/1pbpp3/6P1/1PPQPPBP/2N1B3/P7/2RR2K1 b - -,d7c7
6k1/p3ppb1/1qp2npp/5n2/2P2B2/2NQ1NP1/PP3P1P/6K1 w - -,b2b3
8/8/6p1/5p1p/1p3P1P/1k4P1/4K3/8 w - -,e2d3
4r1k1/1pp3p1/p2pr2p/3R4/1PP1PpP1/P3bP2/1B4KP/3R4 w - -,h2h4
2rkr3/R2n2pp/2p1bp2/2Ppp3/3P4/1N2PPB1/3K2PP/3R4 b - -,c8c7
6R1/5pp1/p3p1k1/3pP1n1/P2P4/6P1/r7/6KR w - -,h1h8
3rr3/3N1R1p/3P1R2/1P1b2k1/8/8/6PP/6K1 w - -,f7g7
8/b4p2/8/3kp3/6p1/2PN2P1/4KP2/8 w - -,d3b4
r1bq1rk1/ppp1b1pp/8/4P3/1PP1p3/8/1P3PPP/RNBQ1RK1 b - -,d8d1
6k1/R7/5B1p/7p/P7/3r4/5K2/8 b - -,d3d5
2r5/4kpp1/1p2p3/nb5R/2P5/P3P3/3N1P1P/4K3 w - -,h5b5
2r1kbnr/2qb1pp1/p2pp3/6P1/1p2PP2/2N1B3/PPPQ2B1/2KR2R1 w k -,c3e2
1r5k/6pp/p2Bp3/3p2P1/3P4/1P5q/2R2Q2/4K3 b - -,b8d8
8/1p6/p4P2/P1Pk3p/1K2p3/4P2P/8/8 b - -,d5e6
4k3/8/1n5p/5NpP/1P1pP1P1/3P1R1K/r7/8 w - -,f5h6
8/6kp/ppb1p3/2b1PpP1/2P2P2/P7/1B1K4/3B4 w - -,d2d3
