8/8/2Pk2p1/1n3p1p/7P/3KBP2/8/8 w - -,e3c1
8/pp6/4q3/1k1r1p2/1P6/3p1R2/P3P3/4QK2 w - -,a2a4
r1b2rk1/p1pq1ppp/1p2p3/3n4/3PNP2/P1N5/1PPQ1PPP/2KRR3 b - -,c8b7
3R4/1p3ppk/p6p/8/4P3/1P5P/1Pr2PPK/8 w - -,d8d7
8/8/2R2kp1/r7/6PK/8/7P/8 b - -,f6g7
2bnkn1r/2q1b3/pR1p1p2/2pP3p/P1P1PB1P/2NB4/1Q2KN2/8 b k -,f8g6
r3k2r/p4p1p/3Q4/2p2qp1/1PPpp1n1/6P1/P2PPP1P/R1B2RK1 b kq -,a8c8
r3k1nr/3b1pb1/4p1p1/3pP2p/pq1P1P2/5N1P/2B1QBP1/1NKR3R w kq -,e2d2
r3nrk1/3b1pp1/p2p2np/2p1q1P1/2p1P2P/P3BPN1/1P6/2KRQB1R w - -,d1d5
r3rbk1/3n1pp1/1pq1b1np/pp2pN2/4P1P1/2P1BP2/P1Q4P/1R1RNBK1 b - -,e6c4
r3r1k1/ppq2ppp/2n5/8/5b2/PP1RB3/1P2QPPP/1K3B1R b - -,a8d8
r1b3k1/2q2pb1/p4rpp/1pp1N3/P3P3/2P3P1/1PQ2PBP/3RR1K1 b - -,c7e5
rn1r1k2/p4ppn/1bp4p/1P1pqN2/4PBQ1/1BP5/1P3PPP/R3R1K1 b - -,e5f6
r4rk1/p1n3pp/3p1q2/1pnP1b2/1bp2P2/2N1BN2/PPB3PP/R2Q1RK1 w - -,c2f5
5rk1/3q2p1/2np1r1p/1pp1pb2/8/2PP2PP/P3QPBK/1RB2R2 w - -,c1e3
rn1qkb1r/p1p1pppp/5n2/1p1P4/6b1/1B3P2/PPPP2PP/RNBQK1NR b KQkq -,g4c8
5r2/4Qpk1/7r/2pB4/2Pq4/2p3P1/P4P1P/4R1K1 b - -,h6f6
6k1/q4p2/2p1bbpp/4p3/2P1P3/pP3NPP/Q4P2/5BK1 b - -,a7a5
r1bqr2k/1p3pbp/2pp1np1/p3n3/2PNP3/P1N3PP/1P2QPB1/1RB2RK1 w - -,f2f4
8/PR6/5pk1/6pp/6P1/5PK1/rp6/8 w - h6,g4h5
8/8/6p1/2pR3p/1pP1k2P/1P3p2/6r1/4K3 b - -,g2h2
r4rk1/pp2q1pp/2pR4/4p3/1P6/P5P1/4bPBP/3Q1RK1 w - -,d6d7
2r2rk1/pp3ppp/4pn2/q2pNn2/P2P1P2/1PPQ1R1P/3N2P1/R5K1 w - -,b3b4
5rk1/pr2ppbp/q2p1np1/1N6/2P5/2B3P1/PP2PP1P/R2Q1RK1 b - -,f8c8
7r/2p5/1p1pk3/p2Rp1p1/P1P1P2r/1P3PKP/7R/8 w - -,h2h1
8/p3pk2/1p2b3/3pP3/1P1B3K/P4P2/7P/Q2q4 b - -,d1f3
1rbqk1nr/pp2ppbp/3p2p1/2p5/3nP3/3PB1P1/PPPQ1PBP/R2NK1NR b KQk -,e7e5
r1r3k1/2qb1p2/4p1p1/pp1pP2p/1P1B3P/3P2P1/P1P1QPB1/2R3K1 w - a6,a2a3
8/8/p7/bp1pk3/6p1/1P1K2P1/P4B2/8 w - -,f2d4
3r3r/ppkbqp2/2n2n2/7p/1PN3p1/P3P3/4BPPP/R1BQK2R w KQ -,b4b5
2b4k/p2nr3/1pp2prp/2p5/4PP2/1P1PN1N1/P1P2K2/4RR2 w - -,e3f5
r5k1/1b3ppp/p3pn2/q7/1brNP3/2N1BP2/1PQ3PP/2R1K2R w K -,e1g1
r2q1rk1/pb1nppbp/1p1p1np1/8/3PPB2/5N2/PP1NBPPP/R2Q1RK1 w - -,e4e5
8/4k1p1/K3p2p/p6P/Pq4P1/1P2Q3/5P2/8 w - -,f2f3
5k2/1p6/p1b2R2/r4Bp1/6P1/1P3P2/5K2/8 b - -,f8e7
8/3N4/5k2/5p2/1n2pP1p/4P3/4K1P1/8 b - -,f6g6
1k1r3r/p1q3p1/1pn1pp1p/3pP2P/1BnP4/2PQ1N1R/2P2PP1/R4K2 w - -,e5f6
3r2k1/6pp/p2P1p2/Pp1P4/1PpK1P2/7P/1R6/4n3 b - -,e1d3
3r1r1k/pp2q2p/2p1p1pb/4P3/5PPP/2P1p1nQ/PP2N3/3RR1K1 w - -,h3g3
7k/3n3p/ppp1qpr1/2p1pRPN/P3P2P/1P1P1Q2/2P4K/8 b - -,f6g5
r1b3k1/pp3ppp/2n5/1N1n2P1/8/3prP2/PPP1N2P/2KR1B1R w - -,d1d3
4r1k1/ppp4p/3p2b1/3P4/2PB4/2P4P/PR2Bn1r/3K2R1 w - -,d4f2
8/7k/3p1R2/2pPpN2/2n1P3/1r6/5K2/8 b - -,b3b2
7R/bp1r1kp1/r2p1p2/1N1P2n1/1P4P1/P6p/1B5P/4R2K b - -,a7f2
r5k1/1ppqr1bp/3n2P1/2pPp1P1/2P1Pp2/pPN2Q1R/P2N1P2/2K4R b - -,h7g6
2q2rk1/1p3p1p/p2B2p1/4pb2/B1n5/1Q6/P4PPP/R2R2K1 b - -,c4d6
4k3/p4p2/1p4p1/1P1p3p/2qNn2P/2r1P1P1/PQ3P2/3R2K1 w - -,d4e2
r2q1rk1/pp3ppp/2n2b2/3p4/3Pb3/3BBN1P/PP3PP1/R2Q1RK1 w - -,d3e2
6k1/1p3q1p/pR1p4/2p1rp1n/P1P1n2B/5Q1P/6P1/5BK1 w - -,f1e2
2r1k2r/pb1n1ppp/1qp1p3/1p2P3/1P2P3/P5P1/4QPBP/RN3RK1 w k -,f1d1
8/rbp2pk1/1p2pq1p/1P1n4/3P4/7Q/5PPP/2BRR1K1 w - -,d1d3
1rr2nk1/1pqnbpp1/p2p4/P1pPp2p/RPP1P2P/3NBPPB/2Q1K3/7R w - -,b4c5
5r1k/pb2Npbp/1p4p1/4P3/1q4PB/1P5P/4QP1K/4R3 b - -,b4b3
3r1nk1/2q1b1p1/bpp1pr1p/p3p3/P3P1Q1/2N1BN1P/1PPR1PP1/4R1K1 w - -,e1d1
r3rbk1/pp1n1p1p/1q4P1/1Bpb1p2/3P1B2/2P3Q1/PP2NPP1/R3K2R b KQ -,f7g6
2r2rk1/1b1n1ppp/pp6/2qPp3/P7/4NP2/1P2B1PP/R2RQ1K1 w - -,e2f1
6k1/4qpp1/p3p3/Pp2Pn1P/2r1N1Q1/1R6/r4P2/6RK w - -,b3f3
3R1r1k/p5pp/1p3p2/8/2P1p3/1P1n2PP/PB2KP2/3R4 b - -,f8d8
2k3rr/ppp1p1bp/2n1Nn2/5p2/8/N1P2PP1/PP5P/R1B1K2R b - -,h7h5
7r/P3kp2/2ppp2q/8/4P1pP/6N1/3P1PK1/2R2R2 b - -,h8a8
8/1p1n3p/2pP2p1/4Pk2/1P6/2B1K3/7P/8 b - -,b7b5
8/pp6/2p2kBp/5pbP/2P1p1P1/1P6/P2r1P2/4RK2 b - -,f5g4
8/1r6/5k1p/5p2/1p3R1P/1P6/1KP5/8 w - -,c2c3
1n5r/3q1rk1/3p1p1p/Nbp2Pp1/1p1pP1PP/1P1P1B2/R1PQ1K2/7R w - -,a2a1
2r1r1k1/1q1n1ppp/p7/1p2b3/1Pp1P2B/5P1P/P1Q1N1P1/2RR2K1 b - b3,e5b8
8/8/6k1/8/1r2pR1P/6PK/8/8 b - -,g6h5
2r3k1/5pp1/1pr1pb1p/p2q4/3PR3/P1B2PP1/1P4KP/2R3Q1 w - -,h2h4
3nr3/2pq1kp1/5p1p/pp1p4/3P4/1PPQNP2/P5PP/3R2K1 b - -,c7c6
r1bqkbnr/3p1ppp/p3p3/1p6/3pP3/3B4/PPPPNPPP/R1BQK2R b KQkq -,d8b6
3r1k2/pb1q2pp/1p3p2/2pP4/4B3/6P1/PPQ2P1P/3R2K1 b - -,g7g6
3rr1k1/p4ppp/2pq1n2/5b2/1bQ1pP2/P1N4P/1PPPN1P1/R1B2R1K b - -,b4c3
3r1k2/Q3np2/6p1/2Np3p/3P4/2q1P2P/5PP1/1R4K1 b - -,e7g8
r4rk1/pppn1bpp/3P4/2P1p1q1/7R/2NB4/PP2Kp2/R6Q b - -,d7f6
3rr1k1/2p2ppp/1p3q2/p3n3/3R4/Q1P1P2P/P3BPP1/3R2K1 b - -,e5c6
4r1k1/3q1pp1/p6p/3p1R2/P1bBnPQ1/2P4P/2B3P1/6K1 b - -,g7g6
5brk/3n1p1p/5p2/1p2pN2/3pP3/q1nP1BPP/P1Q2R1K/5R2 b - -,d7c5
4n3/8/5p2/3K1P2/3N2k1/8/5P2/8 b - -,g4f4
2rqr1k1/pb1n1ppp/1pp1pb2/8/2PP4/1P3NP1/P1Q2PBP/R1BR2K1 w - -,c1f4
4Nbk1/R4p2/1p2p2p/3nP1p1/8/P4N1P/1r4PK/8 w - -,a7d7
rq3rk1/1ppb2pp/p1nppn2/2b5/2P1P3/1PNN1PP1/P2Q2BP/R1B1K2R b KQ -,c5d4
rn1q1rk1/pp2ppbp/2p1b1p1/8/2QPn3/2N2NP1/PP2PPBP/R1B2RK1 w - -,c4d3
r3kb1r/1p2pppp/1pp1bn2/8/P2P1B2/2N2P2/1PP3PP/2KR1B1R b kq a3,f6d5
3bk1r1/3p1p2/1prPp3/p3P2p/5P2/Q4RB1/P1q3P1/5RK1 w - -,f4f5
r1bqk2r/p3bppp/2p1pn2/2pp4/2P1P3/3P1N2/PP2QPPP/RNB1K2R w KQkq -,e1g1
6k1/p2rb1p1/1p2pp1p/4Q3/2PB2q1/1P1R1NPn/P4P1P/5K2 w - -,e5e2
7r/k2R4/2PK4/8/8/8/8/8 b - -,a7b8
1R6/3k1p1p/5Kp1/5p2/8/8/r4PPP/8 w - -,b8b7
r1b1k2r/p4ppp/2p1pq2/3N4/8/3B4/PPPb1PPP/R2QK2R w KQkq -,d1d2
8/1R2B2p/8/r1p2kP1/2P3r1/1P2K3/8/8 w - -,b7b6
8/2R4p/5pp1/p3pk2/P1Qq4/1P4P1/2Pr1P1P/6K1 w - -,c4d4
r1b2rk1/pp2ppbp/2n3p1/q1p1N3/3Pp3/1PP3P1/PB2PPBP/R2Q1RK1 b - -,c6e5
q1rr2k1/1b3pb1/pp1ppnpp/P7/1PPP4/1BNQ1NP1/4RPP1/4R1K1 b - -,b6a5
2rr2k1/pp3p1p/6p1/2q5/2N1P3/3p2Q1/nP1K1PPP/3R1B1R w - -,f1d3
6k1/8/5Q2/5p2/7P/6P1/4P1K1/4q3 w - -,f6e6
8/8/1P1n1K2/8/6kp/5N2/6P1/8 b - -,h4h3
6k1/4r2p/p5p1/1Np1bp2/2P5/1R5P/P4PP1/5K2 w - -,b5c3
rnb1kb1r/2q2ppp/p2ppn2/6B1/1p1NPP2/3B1Q2/PPP1N1PP/R3K2R b KQkq -,b8d7
8/5pk1/6p1/3p4/5P2/pBb1P1P1/8/5K2 w - -,b3d5
4r1k1/6b1/3R2pp/3nPp2/8/1P3P1P/1Br5/4R2K b - -,c2b2
rnbqkb1r/ppp1p1pp/5n2/3p1p2/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq -,e2e3
r1b4k/1p4b1/1p1N3r/1N1Pp2q/4Pp1n/BR4p1/P1Q3PP/4R2K w - -,d6c8
8/6p1/8/2n1P2p/2k2P2/6P1/1K5P/8 b - -,c4d4
8/2k2pp1/p6p/1pp5/5P2/2P2RP1/PKP1r2P/8 w - -,h2h3
8/1N6/4p3/1k2Pb1p/R2K2rp/1P4P1/8/8 w - -,d4e3
r2qr1k1/pp2ppbp/n3b1p1/3p4/3P4/1PN3P1/PB1QPPBP/R4RK1 w - -,f1c1
4kb1r/1p5p/1Q1r1pp1/3qp3/2PPp3/2P1P1N1/P4PPP/3RK2R b Kk -,d5c4
4qB1k/1p5p/p3Pp2/P3bP2/4N2Q/3p4/1P5P/7K b - -,e8f8
r5k1/1b1n4/2n1rq1Q/2pp3P/p7/R2P1NP1/1PP2P2/4R1K1 w - -,e1e6
2q2k2/2P2pp1/2Qp3p/8/8/p4PP1/6KP/8 b - -,f8e7
8/4B3/6P1/1p1p1k1p/2pP3b/2P5/4K3/8 b - -,h4f6
3r4/1Q1n1kp1/p2Bp1p1/1p1p1p2/3P4/P2B1P1P/1P2R1P1/2q4K w - -,h1h2
8/5p2/2Q3p1/4qk1p/7P/6P1/6K1/8 w - -,c6d7
r1b4r/p1kn1ppp/2p5/1p2pPB1/1b2P1n1/2NB4/PPP3PP/2K2RNR w - b6,h2h3
3Rrk2/5ppn/1P5p/1pN1b3/5P2/6P1/1r4BP/3R2K1 w - -,f4e5
6k1/p4p1p/1p1p2p1/5n2/4RP2/6P1/P6P/3r1BK1 w - -,g3g4
r1b3k1/2p2rp1/2qp3p/1p2pN1n/4P3/2P1QPB1/P2R2PP/R5K1 w - -,e3d3
3R4/8/4k3/8/2P1p2r/4K3/8/8 b - -,e6e5
8/p2k1p2/1p6/8/2bP4/K1P5/7B/8 w - -,a3b4
8/7p/2p4N/n3k1p1/P3pp2/7P/2K2PP1/8 b - -,e5f6
3qk2r/r3npb1/ppp1p1pp/8/P2PB3/4BN2/1PPQ1PPP/3R2K1 w k -,a4a5
1r4k1/b5pp/p1nq4/P2p4/2P1n3/4BN1P/2Q2PP1/3R2K1 w - -,c4d5
3b4/5k1p/2PB1p2/3p1P1K/pp1P4/7P/P7/8 b - -,b4b3
3q4/3r1p1k/1pQ3pp/3pP3/1P2nP2/P3N2P/6P1/3R2K1 b - -,d5d4
r4rk1/1p2qppp/n2p4/pb1Pp3/4P3/3N2P1/PP1Q1PBP/R1R3K1 b - -,e7d7
3b1rk1/2r5/4q2p/p2pPNpP/2pP4/1nP3B1/RP3R1K/3Q4 w - -,f5e3
r4rk1/2q1npb1/b1p1p1p1/p1P1P1Pp/Pp1B1P1P/1P3N1B/2PQ4/3RK2R b K -,f8d8
r2qrbk1/1ppb1pp1/p1n2n1p/3pp3/4P3/2PP1NN1/PPB1QPPP/R1BR2K1 b - -,d7e6
1r3nk1/1r6/p2p1ppq/P1pPp3/1nP1P2p/2Q1PB1P/5NP1/R4RK1 w - -,f3e2
8/2q4k/p5p1/1p2QbP1/3P4/1P6/P3BK2/8 b - -,c7c3
3r1r1k/1b1nNp1p/p2p1p2/2q1p1PQ/1p2P3/3B4/PPP4P/R4R1K w - -,g5g6
rnbq1rk1/ppppppbp/5np1/8/1P1P4/4PN2/P1P2PPP/RNBQKB1R w KQ -,c1b2
r2qkb1r/pb3ppp/1pn1pn2/2pp4/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 w kq -,f1e1:c2c3
2r1rbk1/5ppp/pn1p4/1p1P4/3N2P1/P3B2P/1PP3B1/1K1R3R b - -,e8e3
4r1k1/6pp/2p2p2/1p6/pP1P4/P1n1r3/1R4PP/R3BK2 w - -,b2c2
rnbq1rk1/pp2ppbp/5Bp1/3P4/3p4/2N1PN2/PP3PPP/R2QKB1R b KQ -,g7f6
3r2k1/5pp1/4p2p/8/1BpN4/2P5/q1PK2PP/3RR3 b - -,a2a8
4r2r/ppn1P1p1/2k5/2p2QB1/7P/P7/1PP2PP1/2K5 b - h3,c7b5
3k3r/2rbbp2/p2ppp2/qpn2P2/3NP1Bp/P1N4R/2P2QPP/3R3K b - -,d8c8
r4rk1/3b4/3q2p1/1p1pRpBp/3P3P/P7/1Q3PP1/R5K1 b - -,f8e8
1r2kb2/p1Rp1p2/b3p3/qp2PBp1/8/6B1/P1Q2PP1/2RK2Nr w k -,d1e2
6k1/2p2pb1/1p1p4/pP1Pr3/6pN/2P1P3/1P4P1/R4K2 w - -,a1a4
1r1q1rk1/2pbnpp1/1b1p1n1p/1p1Pp3/4P2N/N1PQ4/1PB2PPP/R1B2RK1 w - -,c3c4
8/1b5k/1p6/p2pP2P/P3q3/6Q1/4B1K1/8 w - -,g3f3
8/6kp/3p2p1/1p1P4/8/1PN1p2P/P5P1/2b4K w - -,h1g1
r1bq3r/p2kbp1p/1nn1p3/3pPp2/2pP2P1/2P5/P1BNN2P/R1BQ1RK1 w - -,g4f5
r1b2rk1/1p1nppbp/2pp1np1/q5B1/p1PPP3/2N2PN1/PP1Q2PP/2R1KB1R w K -,f1e2
2r5/5p1p/P2kp1p1/3b4/8/7P/5PP1/1R3BK1 b - -,d6c7
r2qkb1r/1pp2ppp/p4n2/5b2/2P5/3P1N2/PP3PPP/RNBQK2R w KQkq -,d3d4
r1b1kb1r/ppp1pppp/2n2n2/8/8/2N3P1/PPPPNPP1/R1B1KB1R b KQkq -,c6b4
2r1k2r/2qb1p1p/p3pb2/3p1P2/1p3N2/6Q1/PPP3PP/1K1R1B1R w k -,g3f2
b4k2/3n2p1/1p1Nq2p/1Pp1p3/2P5/3Q1PPn/1BB4P/5K2 w - -,d3f5
8/4b3/2k2p2/6pN/3P4/6PP/5KP1/8 w - -,f2f3
2r1r1k1/p4p1p/2p1b1p1/1p6/3R4/q1P1PB2/P1Q2PPP/3R2K1 w - -,d1d2
1nk5/2pqn3/1p1b3p/3p1p2/1P1P1PP1/p1PQ2P1/P2BN3/1KN5 b - -,f5g4
r2r2k1/3P1p1p/pR6/2p2B2/2Pb3p/7P/P4PP1/4R1K1 w - -,b6a6
8/4k3/2p5/pp6/4N3/1n1K4/6PP/8 w - b6,d3c3
r4Rk1/1p6/2pB3p/4P1p1/1P6/3q4/1P6/2K2R2 b - -,a8f8
6b1/6P1/2p2p2/2p1k3/2P5/pP1NK3/P7/8 b - -,e5f5
r4rk1/1p1q1pbb/p1n1p1np/3p2p1/P2P4/1QP2N1P/1P1N1PPB/R3RBK1 w - -,b3b6
4r1k1/q4r2/p3N1b1/1p1P1pQ1/1Pp5/3n4/P5PP/4RR1K w - -,g5g6
8/5pkp/4r1p1/1p6/8/2Q4P/2R2P2/1r3B1K b - -,g7h6
6B1/6p1/3k1p1p/7P/3nPK2/p7/P7/8 b - -,d4c6
1rbq1rk1/p1Np1ppp/2nQpn2/1p6/4P3/2N5/PPP1BPPP/R3K2R w KQ b6,c7b5
r3q1n1/p1pb1pk1/2p1pbp1/3pP1P1/3P1N2/5Q2/PPP2P2/1K4RR w - -,g5f6
r2q1rk1/pp4bp/1nppbnp1/5p2/2P2B2/2NQ1NP1/PP2PPBP/R4RK1 w - -,b2b3
b2r1k2/5q1p/p4Np1/Pp6/5B2/7P/1Q3PPK/8 b - -,f7b7
6k1/1p4p1/1r1b1p1p/3pp3/p2P4/P1K1P1P1/1R3PP1/2N5 b - -,b6c6
8/2Bk4/6p1/2pP2P1/2Pbp3/6K1/8/8 w - -,c7a5
6k1/2p2ppp/p1BN4/1p3r1b/8/4Bn1P/PPP2P2/R4K1R b - -,c7d6
r4r2/pp1bppk1/3p3p/2p5/2P1nP2/PP1P1qP1/2Q4P/R3R1K1 w - -,d3e4
1rbq1rk1/5pbp/3p2p1/1ppNp3/1B6/3PP1P1/P4PBP/R2Q1RK1 b - -,c5b4
r3r1k1/3qbR1p/p1n3pB/1p6/3pQ3/P2B3P/1PP3P1/3R2K1 w - b6,f7g7
r2qkb1r/p3pppp/2p2n2/2p1p3/2P5/5Q1P/PP1P1PP1/RNB1K2R w KQkq -,f3c6
r1bq1rk1/1p3pb1/2pB1n1p/p5p1/PnNP4/1QN4P/1P2BPP1/3RR1K1 b - -,f8e8
r4rk1/pq3pp1/np2pn1p/2p1N3/3PP3/P1P5/1B2QPPP/R3R1K1 b - -,a8c8
r1bq1rk1/ppppppbp/2n2np1/8/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 b - -,b7b6:a7a6:e7e5:d7d6
8/3b4/2k1p2R/2PpPp2/2n2P2/p2K3P/8/2N5 w - -,h6h7
3rrb1k/np4pp/1P2p3/pQ1p4/5N2/P3P1P1/5PBP/3RR1K1 b - -,a7b5
1r3r2/2p2k2/1p1p1n2/p2P2qp/P1P3b1/3B2P1/1PQ1NR2/1K3R2 b - -,f7g7
1q5k/5p1r/B4n1r/2pbb1p1/6P1/3NKP2/PPR1N1Q1/3R4 b - -,h6h2
r1b1r1k1/1pp1qp1p/6p1/p2nb3/P7/4P1P1/1P2QPBP/R1BR2K1 w - -,g2d5
r1bqr1k1/ppp1p1bp/2n2pp1/4P3/5Pn1/2NB1N1P/PPP3P1/R2QK1BR b KQ -,g4h6
2r5/pq3pkp/4p1p1/1p2P3/3pNP2/3Pn1P1/PP1Q3P/2R3K1 w - -,b2b4
r2r2k1/pp2bppp/2nqb3/3pN3/3P1B2/1B6/PP3PPP/R2QR1K1 b - -,d6b4
2b2rk1/5pp1/6q1/1Pp5/3pPP1p/1Q1B2P1/3R3P/6K1 w - -,g1g2
3r1r2/1bq1k3/2pp1nBQ/p3p3/2P5/5R2/PP3PPP/3R2K1 b - -,e7d7
1q3b1r/4k2p/2bp1nP1/n1N1p1B1/1p2P3/1P3P1B/P1PQ4/2KR3R w - -,c5a6
r2qk1nr/1p1bbp1p/p2pp1p1/4n3/P3P3/1N1B3P/1PP1QPP1/RNB2RK1 w kq -,b1c3
8/5k2/8/p1P2PP1/p3K3/B7/1P1r4/8 b - -,d2g2
8/8/6Rp/4p1b1/2k2r2/1R5P/5PPK/8 b - -,c4b3
3B4/5k2/3p2Pp/2p2P1P/2P5/2b5/8/1K6 b - -,f7e8
2r2rk1/3q1ppp/p1pb1nb1/8/B4B2/2N2Q1P/PP3PP1/R3R1K1 b - -,g6h5
r1bqk2r/1p1nbp1p/2n1p3/2PpP1p1/p7/2PB1N2/PP3PPP/R1BQRNK1 b kq -,d7c5
5r2/6bk/p1Q1R2p/2p2p2/5P1P/1P1p2PK/Pq6/8 w - -,c6d7
1rb2qkr/p1b2pp1/2p5/2Pp2Pp/1p1B1P2/1P1BP1P1/PQ3K2/R6R w - -,h1h4
2bqr3/p4rbk/1pP4p/3N2p1/4PB2/5QP1/P6P/1R2R2K w - -,f3h5
r3kb1r/pp2pppp/2p1Q3/8/5B2/2P5/PP3PPP/R4RK1 b kq -,f7e6
r4rk1/2q2pp1/2B1p2p/2PpR3/1p1P4/pP1Q2P1/P4P1P/4R1K1 b - -,c7c6
8/8/6Bp/p5p1/P1p2kP1/2K5/8/8 w - -,g6h5
2b1r2k/5R1p/p3p1p1/1p3NP1/3q2P1/4N2Q/P6P/6K1 b - -,d4a1
r1b1r1k1/p2nqpbp/1pp1n1p1/4p3/QPP1P3/P1N1BNPP/5P2/R3RBK1 b - -,c8b7
b1r3k1/3n1pbp/1q4p1/2pp3n/2P5/QN3NP1/1P3PBP/2B2RK1 b - -,d5c4
r3r3/p3qNk1/1p2P1pp/2pQ3P/P2b4/6P1/1P2RP2/3R2K1 b - -,a8d8
8/8/8/8/8/4p2R/2K2r2/4k3 w - -,c2d3
7r/k6r/1q3Pp1/nP1Q3p/p1pP3P/2P2BB1/7K/5R2 w - -,f1a1
8/4bk2/6pp/5p2/7P/5KPN/8/8 b - -,e7d8
r1r4k/1pq1bp1p/p2p1npB/4p2n/4P3/1bN2N1Q/PPP2PPP/2RR2K1 w - -,a2b3
rn1q1rk1/pp2ppbp/4b1p1/8/2pp3B/2P1P3/P2NBPPP/R2Q1RK1 w - -,e3d4
rn3rk1/1p1b1ppp/pq2p3/8/3N4/P1Q1P3/1P2BPPP/R4RK1 w - -,e2f3
r5k1/1p3p2/p1b1p1p1/2R1P2p/PP1P3P/8/1K6/5R2 w - -,b4b5
8/5k2/r5p1/4R2p/3KpP2/6P1/8/8 b - -,a6a3
r1bq1r2/pp4kp/2p3p1/3Q1p2/2P5/1P4P1/P3PPBP/R4RK1 w - -,d5d8
8/4kpp1/7p/8/pp2P3/1br3PP/1R5K/1B6 b - -,a4a3
6k1/5pp1/8/4p2p/2PqP3/pP3P2/P5Q1/1K6 b - -,d4d1
8/1pk5/p7/4p2R/5pP1/2P1p2r/PP6/4KNn1 b - -,c7d6
r2qk2r/pp1n1ppp/2pbpn2/3p3b/2P5/1P1P1NPP/P2NPPB1/R1BQ1RK1 b kq -,e8g8
r1b2rk1/ppq1bpp1/2n2n1p/2p1p3/2B1P3/2P1BN1P/PPQN1PP1/R4RK1 b - -,f6h5
8/r4k2/5p2/P1Rp2p1/1r1P2P1/4PP2/4KP2/R7 b - -,f7e6
8/5p2/1k2b1np/p2p2r1/2pP4/2P1KP2/2N1P2P/5R1B b - -,e6h3
rnb1r1k1/ppq1p1bp/2pp1np1/5p2/2PP4/1P3NP1/PBQ1PPBP/RN3RK1 w - -,b1d2
2rr2k1/pb2bpqp/1pnppnp1/8/1PP1PP2/P1N1B2P/3NQ1P1/1BRR2K1 b - f3,d6d5
R7/3k1pp1/7p/4p3/P1Pb4/1P2nP2/6PP/5K2 w - -,f1e2
