r5k1/3R2b1/p3r3/1p4B1/8/8/6PP/1R5K w - -,h2h4
r1b1r1k1/1p3pbp/p4np1/2B5/N1n1P3/6P1/P3NPBP/R4RK1 w - -,a1d1
6k1/5p2/1R4p1/7p/r3P3/5P2/5K2/8 b - -,g8g7
8/pp4k1/4R1b1/6p1/4p3/8/PPPK4/8 b - -,g7f7
r3k2r/pb1p1ppp/1pn1pn2/q1p5/2PP4/2PBPN2/P1QB1PPP/R4RK1 b kq -,d7d6
r1bqk2r/pp1nbppp/n3p3/1NppP3/3P4/2P1BP2/PP4PP/R2QKBNR b KQkq -,e8g8
rnbq1k1r/ppp4p/3b1p2/1B1P3n/3P1ppP/2NN4/PPP3P1/R1BQK2R b KQ -,a7a6
rn1qk2r/pbppbpp1/1p2pn1p/6B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQkq -,g5h4
2rqk2r/4ppb1/pnbp1npp/1pp5/2P2PPQ/PP1PPN1P/1B1N4/2RB1RK1 b k -,a6a5
4Q3/p4ppk/1p5p/n1p5/5P2/2P1PN2/PK4PP/3q4 w - -,e8f7
r1bqnrk1/1p1n1pbp/p2p2p1/2pP4/P4B2/2N1PN1P/1P2BPP1/R2QK2R w KQ -,e1g1
rn1qk2r/pppb2pp/4pn2/5p2/2BPpB2/P1N5/1PP2PPP/R2QK2R b KQkq -,c7c6
r2q1rk1/pp2ppbp/2n2np1/3p4/2PP4/1P1B1b1P/PB1N1PP1/R2Q1RK1 w - -,d2f3
8/p1pk3p/2p3pb/5pN1/1P2r2P/r3P1P1/4RK2/4R3 b - -,e4b4
Rqr3k1/5bp1/4pp1p/2r5/2P2P2/6PP/P3Q1BK/2R5 b - -,b8c7
1rb2rk1/5pbp/3N2p1/1Bpn2B1/Pq6/8/1PQ2PPP/R4RK1 w - -,d6c8
6k1/1p2np2/p1b1p3/2r1P1N1/2Pp2P1/P6R/3n1P1K/1B6 w - -,b1d3
6k1/2p2pp1/2n1b2p/1p1q4/3P4/2B1Q2P/3N1PPK/8 w - -,d2e4
6k1/4b3/7p/3r3P/1PRpNp2/3K1P2/8/8 b - -,d5h5
rn2k2r/ppq2ppp/3bbp2/2p5/2PP4/3B4/PP2NPPP/R1BQK2R w KQkq -,d4d5
5bk1/8/5p2/3b4/1p1N1B2/1P5p/4K3/8 b - -,f8c5
1nk1r3/2pr1p2/1p1p1q2/p2Pp1p1/P2P2Pp/2PQ3P/2P2PB1/1R3RK1 w - -,g2e4
rr2n1k1/2qnppbp/p2p2p1/P1pP4/2N1P3/2N5/1P2QPPP/R1B2RK1 w - -,c1d2
1R6/8/5k1P/1p1p2p1/1P4r1/2PK4/6P1/8 b - -,g4h4
6k1/4bpp1/q1p1pn1p/8/2PP1B1P/5BP1/2Q2PK1/8 b - -,f6d7
6k1/2qrnpp1/4r2p/p1p1PQ2/PpN3P1/1P1PR2P/8/2R3K1 w - -,f5e4
3q2k1/6pp/pp3p2/n1nP1N2/2r1P3/P4P2/3B2PP/1Q3RK1 b - -,a5b3
r1bqk2r/pp2bppp/2n1p3/2p5/1n6/5NP1/PPPPQPBP/RNBR2K1 w kq -,b1a3
5k2/p4p2/1p2b2N/4r3/8/6R1/6PP/6K1 w - -,g3g8
r2r2k1/1pq2ppp/p1bppb2/8/3NPPPP/2NQ4/PPP5/2KR3R b - g3,a8c8
6k1/5p1p/1rp3p1/pr2P3/5P2/P5P1/1PRR3P/6K1 b - -,a5a4
3rr1k1/1p2qpbp/2pp1np1/p1n2b2/2PN4/BPN1P1PP/P2Q1PB1/R2R2K1 b - -,f5c8
8/5pk1/R6p/P2r3P/8/5P2/5P2/5K2 b - -,d5h5
4rr2/ppq3k1/2p2nnp/3P2p1/3P1p2/1B1QPN2/PP4PP/R4RK1 w - -,b3c2
6k1/5p2/4n1pp/1n1Np3/4P1N1/r4P2/5bPP/3R2K1 w - -,g1f2
r4rk1/1p1nqppp/2p2n2/p3p1B1/PbB1P1P1/5Q1P/NP3P2/R2R2K1 b - -,f8d8
3rr1k1/1p4pp/3b1p2/pPpP1P2/2PBq3/3Q2P1/P2R3P/5R1K w - -,d3e4
6k1/pp4p1/5p2/5R1p/2p5/P1P4P/1P1rrRP1/6K1 w - -,f2e2
4k3/1R6/8/4ppp1/1p6/1P3PKP/2r4P/8 w - -,b7b4
6k1/5p1p/6p1/2p5/1p6/2P5/1P1r1PPP/4RK2 w - -,e1e2
2br4/1pb1kpp1/p3nq1p/2P1p3/PP2B3/1QB2N2/5PPP/4R1K1 b - a3,e7f8
1n3rk1/1p1n1p1p/pqrP4/6p1/Q4pB1/2B4P/1P3PP1/R2R2K1 w - -,h3h4
7k/3r2pn/p1qP1p1p/4pP2/Pb4QP/3R4/1BP3P1/3R3K b - -,a6a5
r1bqkb1r/pp3ppp/2npp3/1B1nP3/3P4/5N2/PP3PPP/RNBQ1RK1 b kq -,c8d7
r1b4r/p3k1bp/2p1ppp1/8/3P4/4BN2/PP3PPP/R4RK1 b - -,h8d8
1r1rn3/5kpb/p2qp2p/2Np4/1P1Q4/2P2P1P/P5P1/R3R1K1 w - -,e1e6
8/8/p1Bpk3/5p2/1pP2P1b/1P2K2P/1P6/8 b - -,h4g3
5r2/4ppbk/6pp/pb1rPP2/3P4/6N1/1B1R2PP/4R2K w - -,d2c2
r1bqk2r/pp3ppp/2nbp3/3n4/3P4/P1NB1N2/1P3PPP/R1BQK2R b KQkq -,d5f4
5k2/p3bppB/4p2p/p2pPP2/1n1P2P1/BP6/4K2P/8 w - -,a3b2
2r2k2/1r3pp1/P1pbp2p/3n4/3P2PP/4BB2/5P2/5RK1 w - -,a6b7
rnb1k2r/ppp1ppbp/5np1/q7/3P4/2N2NP1/PPP2P1P/R1BQKB1R w KQkq -,f1g2
8/pp5r/2p3r1/5pk1/8/PN3BK1/1PR5/8 w - -,c2e2
8/7p/1K2kp2/2PNp1pP/4P1P1/8/3n1P2/8 w - -,f2f3
rnr3k1/pp1bbppp/1q2pn2/1N1p4/P2P1B2/1NPBP2P/5PP1/R2Q1RK1 w - -,a4a5
8/7p/8/7k/3K4/1P1P4/8/8 w - -,b3b4
r3kbnr/pp2qppp/2ppb3/8/4PB2/2N2B2/PPP2PPP/R2QK2R w KQkq -,d1d4
3R1n2/1pq4k/2p2B1p/p1P2b2/2Q1np2/1P5r/P7/6K1 b - -,e4f6
4q1k1/5bp1/3p3p/3P3P/4pN1P/p1Q1P3/1r3PK1/5R2 b - -,f7h5
1r3rk1/pb1nppbp/6p1/2p1q3/4P3/2P5/P1QBBPPP/1R2RNK1 b - -,b7e4
rnb2rk1/pp2bppp/1q1p1n2/2pPp3/2P1P3/2NBBP2/PP1Q2PP/R3K1NR b KQ -,b8a6
r4rk1/p1pp1qpp/1p2n3/4P2n/2P3P1/1P3Q1P/PB2N1K1/3R1R2 b - -,h5f4
r4rk1/p1q1pp1p/1p4p1/2pPP1B1/3b1P2/8/P3Q1PP/1R3R1K b - -,f8e8
3k4/R7/8/4Kp2/2P2P2/p7/8/r7 w - -,e5f5
r1bqrnk1/1p2ppbp/p1p2np1/2Pp4/1P1P1B2/2NBPN1P/P4PP1/R2Q1RK1 b - b3,f6d7
r1bq1rk1/ppp1n1bp/3p4/3Ppp1n/2P5/2N5/PPB1NPPP/1RBQ1RK1 w - -,e2g3
8/p3r1k1/P2b2p1/3R1p2/5P2/1B2PK2/5P2/8 b - -,d6c7
8/p4nk1/1p3b2/2rQ1pp1/8/1P1pP1P1/P1q2PB1/2B2RK1 w - -,d5d7
rnbq1rk1/ppp2ppp/3b4/3p4/3Pn3/3B1N2/PPP2PPP/RNBQR1K1 b - -,c8f5
r1b2rk1/p5p1/2p1p2p/1pN1N1b1/3P2P1/8/PP2RP1P/1K1R4 b - -,a7a5
r2q1rk1/pp2p1bp/3ppnp1/4n3/4P1P1/2N1BP2/PPPQ3P/2KR1B1R w - -,f1e2
1r1r4/5p2/3Qbk1p/3Bp1p1/P1P1P1P1/7P/6P1/6K1 w - -,d6c5
8/7p/4pk2/p7/1p2KP1r/1P6/P1R4P/8 b - -,h7h5
8/1p3kp1/p3pb1p/2p4P/P1P1N3/4P3/2K3P1/8 b - -,f6e7
4n2r/4kpB1/1N2p3/8/1p6/6P1/1P2KP2/2R5 b - -,e8g7
1r3rk1/p5pp/bpp1q3/3pPp2/1P2nP2/4B1P1/PQ2P1BP/R1R3K1 w - -,g2f3
r2q1rk1/1p1nppbp/2p3p1/3n1b2/2NP4/2PN1Q2/PpB2PPP/R1B1R1K1 w - -,c1b2
r1b1qrk1/ppp2ppp/2n2n2/4p3/2P5/P1Q2NP1/1P2PPBP/R1B2RK1 b - -,a7a5
8/3kb2p/5pp1/p1p5/2PpN1P1/3K1P1P/PP6/8 w - -,e4g3
3rn1k1/1ppqrpbp/p4np1/3P4/P2Bp2N/QP4PP/4PPBK/2RR4 b - -,e8d6
6k1/5p2/3Q4/4PPK1/8/8/5q2/8 b - -,f2g3
2rr2k1/pb1nq1bp/1p2p1p1/5p2/2PPpP2/1P2N3/PBQRB1PP/5RK1 b - -,d7b8
3r2k1/pp2r2p/6pq/1B2npN1/8/2P3R1/P1P2Q1P/R4K2 w - -,a1e1
r1br4/1N2ppkp/6p1/1R6/8/6P1/3PPPBP/3n2K1 w - -,b7d8
2r1rbk1/q2b1pp1/p4n1p/Bp1n4/3N4/PN3PP1/1P4BP/2RR2QK w - -,c1c8
r2qk2r/pp3pp1/1nb1B2p/4P3/6Q1/2N1n3/PP3PPP/R3K2R w KQkq -,f2e3
6k1/pb3p2/1p2p1pp/8/3PPPP1/3BK3/P5QP/2q5 w - -,e3f3
r3k2r/1pq1bpp1/p2ppnb1/6Bp/P1BQP1P1/2N4P/1PP2P2/3RR1K1 w kq h6,c4e2
4r1rk/1b5p/pb2p3/1p6/1P2P1q1/PQ1PpNP1/4N1K1/3R1R2 w - -,b3b2
2kr3r/1p3p1R/2p3p1/p2qPpP1/P1nP1P2/2Q1B3/5K2/1R6 w - -,c3b3
rnbqk1nr/pppp2pp/4p3/5p2/1bPP4/1QN5/PP2PPPP/R1B1KBNR b KQkq -,d8e7:a7a5
8/q4p1k/4p1p1/7p/7P/2Q3P1/5P2/5K1b w - -,f2f3
8/3k1p2/8/5K1p/3N1P2/P5P1/8/5n2 w - -,d4e2
rqr3k1/3nbppp/p3pn2/1p1p4/3P4/1PNQPN1P/PBR2PP1/R5K1 w - -,a1c1
r1b1k2r/pp1p1ppp/n3pn2/8/1bq5/2N2NP1/PPQBPP1P/R3KB1R w KQkq -,f1g2
r4qk1/1p1r1pb1/2p1b2p/p1n1p1pN/2PnP3/4B1NP/PP3PP1/1BQRR1K1 w - -,g3f5
r4q1k/pp2nrbp/3p1np1/2pPp3/2P1B1P1/2N1BP2/PP3R1P/R2Q2K1 w - -,d1d2
8/4kp1p/2Pbp1p1/r7/2K5/p2R2P1/N1P2P1P/8 w - -,c2c3
5r1k/p1NR2bp/1p6/2p3q1/4Q3/2P3BP/Pr3P1K/8 w - -,d7g7
r2qrnk1/pp1b1ppp/2pb1n2/3p4/3P1B2/2NBPN1P/PPQ2PP1/4RRK1 b - -,d6f4
1q3rk1/1pp3pp/n3pb2/1Q1p1p2/1p1P4/1P2P3/1B1N1PPP/R5K1 w - -,f2f3
r4rk1/1b1n2pp/1pp1p3/p2pPp2/PqP1n3/1P1BP1N1/1B2QPPP/2R2RK1 w - -,c4d5
2r5/3bkp2/2p1pn2/BpPp4/1P1P4/4PP2/2BK1P1P/6R1 w - -,a5b6
3r1r1k/4q1bp/p3p1p1/1pp5/2n1BP2/P1P5/1PQ3PP/2B1RRK1 b - -,e7f6
r1b2rk1/pp1nqpbp/2p3p1/4p2n/2P1P3/2N1BN1P/PPQ1BPP1/3R1RK1 b - -,d7c5
2r3k1/5p2/2q1p1p1/2r4p/8/R1PRP2P/2Q2PP1/6K1 b - -,g8g7
4r3/p1p2k2/3pr1pp/1P1q4/4nPR1/5Q2/2P4P/4B1RK w - -,g4g2
6r1/1p1kp2p/1r1p1p2/4b1pP/1NP1P1P1/1P1R4/5RK1/8 w - -,b4d5
2kr3r/pb1n4/1p2p3/2p2p2/P2PpB2/2P3N1/2P2PPP/R4RK1 b - -,h8g8
1r2r1k1/1N1qbppp/p2p1n2/4p3/1P4P1/3B1N1P/3Q1P1B/R1R3K1 b - -,d7b7
1q3rk1/1B1b1ppp/p3p3/4b3/1P1N4/P4QP1/5P1P/5RK1 w - -,d4c6
1rbq1rk1/5pbn/p2p2p1/1p1Np3/3pP1Pp/1P1P3P/PBP2PB1/R2Q1RK1 b - -,c8e6
8/4k3/8/p1p2p1p/P1P4P/5KP1/8/8 w - -,f3e3
b4bk1/2r2rpp/p2p4/N1nPp3/1q6/2N1B2P/1P3PP1/RQ1R2K1 b - -,c7c8
r2q1rk1/ppp2pbp/2n1bnp1/3p4/4PPP1/2NBB2P/PPP1N3/R2QK2R w KQ -,e4e5
6k1/r4npp/1q3r2/p1pPp2P/4Pp2/1PQ2P1B/P7/KRR5 b - -,a7c7
8/pp1kp3/8/n4p2/3P2Q1/2P3R1/P4qPK/8 w - f6,g4f3
4r1k1/pp1r1pbp/2p1qpb1/8/3PpQ1P/P3P1P1/1P1N1PB1/2RR1K2 b - h3,h7h5
8/3R4/8/b1p3R1/2P5/2k2BP1/r2p1PK1/8 b - -,a5b4
3k4/3b4/n1pp4/1P2p1q1/2P1P3/5QN1/8/3BK3 b - -,c6b5
8/8/6p1/RN3p1p/4Pk2/P2B3P/r5PK/8 b - -,f5e4
r3r1k1/3nbppp/p1p1p3/8/PpPP1B2/3R1N2/1P3PPP/2R3K1 b - -,a8c8
3r2k1/3P1p1p/1p6/pP6/R3p1p1/3rP1P1/4R1K1/8 b - -,f7f5
6k1/5p1p/2p1b1p1/pp6/4PP2/1PN3PP/5K2/5B2 b - -,e6b3
6k1/8/1p4p1/p2pP1bp/P2P2PP/5K2/1P6/8 w - -,h4g5
1r4k1/3n1pbp/q2ppnp1/2p5/p4P2/2NPB1PP/1P2Q3/R4RK1 w - -,a1a4
1r3r2/3nppkp/2p3p1/p3pP2/1q2N2Q/1PP1R2P/6P1/5R1K b - -,b4b5
8/p6p/1p3kp1/1Pp5/Pr2R1PP/4K3/5P2/8 b - -,c5c4
r1bk1r2/ppp3p1/3p3p/3n4/2NP4/5N1P/PP3PP1/2R1R1K1 w - -,f3d2
n7/1P5p/2R3pk/8/4b3/6PP/3q4/5RK1 w - -,f1f2
3r1bk1/5ppp/5n2/ppq1NN2/4nB2/P1p4P/1PQ2PP1/R5K1 w - -,b2c3
3r4/1Qn3rp/3p3k/1p1Bp1bP/8/P4P2/1PP5/1K6 w - -,d5c6
r1bqk2r/pp2b1pp/2n2p2/2pnp3/8/3P1NP1/PPP2PBP/RNBQR1K1 w kq -,c2c3
5R2/8/8/3pk1p1/2p5/4PP2/r7/4K3 w - -,f8g8
8/8/R1p1r2k/2p3p1/8/2b3P1/P6P/2R3K1 b - -,c3d4
r1b2rk1/p3bppp/1pn1pn2/3q4/3P4/1P1B1N2/PB3PPP/RN1QR1K1 b - -,c8b7
8/4p2p/2p1Pkp1/1rP2p2/5P2/4R1P1/6KP/8 w - -,e3e5
8/1r3nkp/2p2pp1/p1B5/P1P1bPP1/2K4P/4B3/3R4 w - -,h3h4
3rrn2/1p4k1/2bp1pp1/p4P1p/1pP1P2P/1P1Nq1P1/P2R2BK/Q4R2 w - -,f5g6
2rq1rk1/1p4pp/p2pb2b/3B1n2/5pN1/2N3P1/PPP2R1P/R2Q2K1 b - -,e6d5
r4rk1/p2bq2p/2pb1np1/2Np1p2/1P3P2/3BP3/P2B2PP/2RQR1K1 w - -,d2c3
r2qkb1r/1b1n1p1p/3p1np1/p1pPp3/NpP5/PP3NP1/4PPBP/R1BQ1RK1 b kq -,f8g7
2r2rk1/1b1npp1p/p5p1/6P1/R2b4/2N5/1qPQB2P/1R4K1 w - -,a4d4
1r1q1rk1/4p1bp/p1p5/2Pp2p1/P1nP1pb1/2QN2P1/1B2PPBP/3RR1K1 b - -,d8c7
6k1/3b1ppp/1n2p3/1p2P3/rB2NP2/8/3RK1PP/8 w - -,d2d6
2k4r/p1pbbpp1/1p6/2p1P2p/6P1/P4PBP/1PP1N1K1/4R3 w - -,e2f4
8/6p1/4k3/pp2p2p/7r/3NK3/PP1R2P1/8 w - -,d2c2
rq4k1/5pbp/3p2p1/8/1N2PP2/2P2QPP/1P5K/3R4 w - -,f3d3
2b1r1k1/2b2ppp/2p4r/1pP5/3RpP1q/1PQ1P3/P3B1PP/3R1NK1 b - -,h6g6
r1r1b1k1/pp1q3p/n1p1p2b/3pPpp1/2PP2P1/BP1NP2R/P3Q1BP/5RK1 b - -,d5c4
8/4Q1kp/1q1p1pp1/3Pp3/3pP3/3P2P1/r4PKP/8 b - -,g7g8
4r1k1/r4ppp/1Np1qn2/b1Ppn3/3P1P2/1R3QB1/6PP/1R4K1 w - -,f4e5
r7/4k3/3N4/6Rp/8/P2K1p1P/P7/8 w - -,d6c4
8/5Kpk/r6p/3N3P/8/5R2/8/8 b - -,a6a7
8/R5pk/1p5p/8/5P2/Pr5P/8/5K2 b - -,b3f3
r2qk2r/pp2bppp/2bppn2/4P1B1/3Q4/2N2N2/PPP2PPP/R4RK1 b kq -,d6e5
rnb2k1r/pp2ppbp/6p1/2Nq4/3P4/4BN2/PP1Q1PPP/R1R3K1 b - -,b8c6
r4rk1/p3ppbp/2R3p1/q2pP1B1/3P2b1/5N2/P2Q1PPP/4R1K1 b - -,a5a4
8/3k1p2/6p1/4n2p/4P2P/R1K3P1/8/8 b - -,d7e6
8/7p/R7/1p1r4/1P3k2/P4p2/3N3P/4K1b1 b - -,f3f2
4r1k1/pp3ppp/2p3q1/3p1n2/P2P2Bn/2P4P/1P3B2/R2QN2K w - -,e1f3
r1r3k1/1nqn1pb1/3p2pp/pR2p3/Q2PP3/B1P2N1P/3N1PP1/1R4K1 b - -,a8a7
r2q1rk1/p2n1p1p/2p1bppQ/3p4/3P4/3B4/PPP1NPPP/R4RK1 b - -,d8b6
rnbqkbnr/1p3ppp/p3p3/2pP4/3P4/5N2/PPPN1PPP/R1BQKB1R b KQkq -,e6d5
8/7p/5pk1/8/1R1B4/p3PKPP/q4P2/8 b - -,a2d5
5B2/3n4/R2p1pk1/1Pp2n1p/8/8/1P4PP/6K1 w - -,f8d6
2r5/4nkpp/pQ3p2/2Pbp3/1P2P3/8/Pq4PP/2R1R1K1 b - -,d5e4
6k1/p2q1p1p/4b1p1/2p1r3/2B5/QP3PP1/PKP4P/4R3 w - -,e1e5
8/5k2/2p5/pp4P1/P3K3/1P6/8/8 w - -,e4f5
2r5/p3kppp/1p3n2/P2p4/3P4/4PP2/1R1B1KPP/8 b - -,c8b8
2rq1rk1/pp3pb1/2n2np1/3p1bNp/7P/2N2P2/PPPQBBP1/2R1K2R b K -,c6b4
6k1/1p1b1r1p/p2pNq1b/P1pP4/2P5/3B1p2/1P2Q1PP/4R1K1 w - -,g2f3
8/5k2/3nnb2/NPp2pp1/2Pp4/3N3P/1B2PK2/8 b - -,d6c8
8/p7/1p1k4/1P6/P2bppp1/5P2/B3K1P1/8 b - -,e4f3
r5k1/3n1p1p/p2N1np1/1p5r/8/P1b2P1P/B4BP1/3R1RK1 b - -,a8f8
5bk1/pb3p2/1p5p/1B2B2p/8/4P2P/PPr3P1/3R2K1 w - -,b5f1
r2r2k1/3bbppp/1qp1p1n1/p1ppP2N/P1P2P2/1P1PBN2/5QPP/1R2R1K1 w - -,g2g4
1r6/5pp1/p1b2k2/4p2p/PnR5/1P6/2N2PPP/3B2K1 b - -,b8d8
3rr1k1/pp3pp1/2q4p/3p1b2/2pQ4/3nBPP1/PP3PBP/R2R2K1 w - -,d1d2
r2qk2r/1bpnbppp/p3pn2/1p4B1/3PP3/2NB1N2/PP2QPPP/R4RK1 w kq -,f1d1
r4rk1/1bpqbppp/2n2n2/pQ2N3/1p2P3/2P3N1/PPB2PPP/R1B2RK1 b - -,c6e5
rnbqk2r/pppp1ppp/8/4P3/1bP2Bn1/2N5/PP2PPPP/R2QKBNR b KQkq -,b4c3:b8c6
8/k1r4p/b3pQ2/8/2q5/5P2/1P4P1/R3K3 w - -,f6e5
r1bqkb1r/pp2pppp/2p2n2/8/3PB3/5N2/PPP2PPP/R1BQK2R w KQkq -,e4d3
8/p4k2/4r1p1/3Q1p1p/2P4P/6K1/P1q5/5R2 w - -,d5d7
K7/P5Rp/7P/6Pk/8/8/1r6/8 w - -,g7g8
3r1r2/1b1nqpbk/pppp1npp/4p3/P2PP1P1/2N2NBP/1PPQ1PB1/3RR1K1 w - -,d4e5
rnbq1rk1/pp2ppbp/1np3p1/8/3PP3/1N3N2/PP2BPPP/R1BQK2R w KQ -,e1g1
r2q1rk1/pp1npp2/2bp2pp/4b3/3NP2B/2N4P/PPP2PP1/1R1QR1K1 b - -,f8e8
2r5/2rkq1pQ/1p1np3/p4p2/3PNP2/4P3/1P2R2P/6RK b - -,c7c1
8/8/8/1p5p/PP2k2P/6q1/1KR3P1/8 b - -,b5a4
3r4/5k2/5Rp1/3NnpPp/7P/6K1/8/8 b - -,f7g7
8/8/1p3kP1/8/1P1p1K2/5B2/2b5/8 b - -,c2g6
2rq2k1/Qp2npp1/4p1b1/PP1p2Pp/3P1B1n/4PP2/3R4/4KBN1 w - -,e1f2
2rr2k1/p3qpbp/1pn1pnp1/1QNp4/3P4/1P2PB1P/PB3PP1/2R2RK1 w - -,c5a6
8/2q5/1p1npk2/1p1p1pp1/3P4/PP1NPP2/3Q1KP1/8 b - -,d6f7
5k2/pp3p2/8/2pr4/B2P2n1/8/PP3PP1/3R2K1 w - c6,d4c5
r1b2rk1/pp2ppbp/2n3p1/q1pNPn2/4BP2/5N1P/PPP3P1/R1B1QRK1 b - -,a5e1
r2q1rk1/pb1n1ppp/1p1bp3/2pP4/3Pn3/1P1BPN2/PB2NPPP/2RQ1RK1 b - -,e6d5
4r1k1/5pp1/R4n1p/1p3P2/1P6/P3p2N/1q4PP/4Q2K b - -,b2d2
8/1n6/1P2p3/5p1k/7P/3N3K/8/8 b - -,h5h6
rnb1k1nr/p4ppp/1p2p3/2ppP3/q2P4/P1PB1N2/2PB1PPP/R2QK2R b KQkq -,c8a6
8/8/P1p1knQ1/2P4p/1P3P2/4r1PK/7P/8 b - -,e3a3
5k2/4R3/6pp/8/1P6/P5P1/1r5P/6K1 w - -,e7e4
r4rk1/3n1ppp/p7/3PP1q1/1p1Q4/1P2P2P/5KP1/R4B1R b - -,d7e5
r2qk2r/pp1bppbp/2np1np1/1BpP4/8/1P2PN2/PBP2PPP/RN1Q1RK1 b kq -,c6b8
8/p4pk1/4pn2/2R5/1p2P1pp/8/Pq3PPP/1BR3K1 w - -,c5c2
r1b2rk1/pp3ppp/1q6/8/5P2/2Q4P/PP3PB1/R4RK1 w - -,a1d1
2k3r1/Q1bn1ppp/p1q1p3/P7/3P4/1RP3P1/5P1P/1R4K1 w - -,b3b7
rnbqk2r/ppp1bppp/8/3n4/3PNp2/3B1N2/PPP3PP/R1BQK2R w KQkq -,c2c4
1B4k1/1n5p/5bpP/3Pp1p1/P3P3/5P2/4K3/6R1 b - -,f6d8
r2r2k1/1p3pb1/6pp/1PPp4/1QnPpP1q/4B2P/2R1NPK1/3R4 b - -,h4h5
6k1/6pp/5p2/2b4q/1pN1p3/1Pn3P1/2Q1PPKP/r1B1R3 w - -,c2d2
8/8/6nk/8/2p5/P3N3/5KQq/8 b - -,h2f4
3r1r2/pb2qpkp/npp1p1p1/3pP3/5P2/1PN3PP/P1PQ2B1/3RR1K1 w - -,c3e2
8/p6p/r3b1p1/2p5/B2k1p2/1P3P2/P1R2KPP/8 b - -,c5c4
8/5p2/4p1k1/R3P3/1r4p1/4K1P1/8/8 b - -,g6f5
4r1k1/p2n1ppp/1p3n2/2bq1N2/8/1PQ1N1P1/PB3P1P/R5K1 b - -,d5f3
r4rk1/1pq2ppp/p3pn2/2p5/2Q5/1P2PN2/P2P1PPP/R3K2R w KQ -,b3b4
2n5/8/1p1pp3/1P2p3/4P1pQ/1KPP1k2/6q1/7R w - -,h4f6
r1b1kb1r/p1p2p1p/2p2q2/4Nnp1/3p4/P2P2B1/1PP1NPPP/R2QK2R w KQkq -,e5c4
