8/B7/4n3/4P1p1/3PkpP1/8/5K2/8 b - -,e6d8
1rb1rbk1/2qn2np/3p1pp1/2pP2P1/1p2PP1N/1P3B2/7P/RNBQR1K1 w - -,g5f6
r2r2k1/pb3p1p/1pq1p1p1/2n1P3/1P6/4b3/PBB1QPPP/2RR2K1 w - -,f2e3
3r4/4ppkp/3p1np1/2q5/4PP2/1B2r3/2P1R1PP/3QR2K b - -,f6e4
rn1qkbnr/ppp1pppp/8/3p1bB1/3P4/2N5/PPP1PPPP/R2QKBNR b KQkq -,c7c6:g8f6
r2qkb1r/1p3p1p/p1np1np1/2p5/P3PB2/2N2B1P/1PP2PP1/R2QK2R b KQkq -,f8e7
1n2k3/1r5p/r5p1/P1NPpp2/2Np4/5P2/6PP/2R3K1 b - -,b7b5
3r4/1pRP1k2/1P1np3/p5p1/B5P1/P2K4/8/8 b - -,f7f6
r1b1kb1r/4nppp/p1p1p3/4P3/2B5/8/PP3PPP/RNBR2K1 b kq -,e7d5
5k2/R7/6K1/8/5PP1/3r4/8/6N1 b - -,d3g3
2r2rk1/4bpp1/bqn1pn1p/pppp4/4PB2/2PP1NPB/PPQ2P1P/3RRNK1 w - -,c2c1
rnbqk2r/1p1p1ppp/p4n2/4p3/1b2P3/2N2N2/PPPB1PPP/R2QKB1R b KQkq -,e8g8
5rk1/2b3p1/p1q1r2p/P1p1P3/1pNpR3/1P1Q3P/2P3P1/4R1K1 w - -,d3g3
3Q2n1/1pq1rpbk/2r3pp/p1p1P3/2P2P2/1P2B1PP/1P4B1/3RR1K1 w - -,g2c6
1k1rr3/1pp4R/2q3p1/5p2/4nP2/1B2pQ2/2P3PP/4R2K b - -,c6c3
1r2r1k1/2pp2Rp/1p4p1/pnnP4/8/1P3qP1/1B3PBP/5R1K b - -,g8f8
r2q1rk1/2p1bppp/p2pBn2/np2p3/4P3/P1NP1N2/1PP2PPP/R1BQ1RK1 b - -,f7e6
r1b2rk1/1p2bppp/p1qp4/3pP3/5P2/3BB3/PPP1Q1PP/R4RK1 w - -,e3d4
1r6/p3pk1p/3b1pp1/8/2R1P3/2B2P1P/P4PK1/8 w - -,c4a4
3r4/5pk1/p3rbp1/1p2P2p/1B6/PP2R1P1/7P/1K2R3 b - -,f6e7
r2q1rk1/pb3pbp/2nppnp1/2p5/2P5/1PN1PN2/PBQ1BPPP/3R1RK1 b - -,d8e7
r6r/1p2kppp/p2bp3/4n3/6b1/2P1BN2/PP2BPPP/3R1RK1 w - -,f3d4
5r1k/3q2pp/3p4/1p1Npb2/4n3/1P2B1P1/P4PP1/2Q2RK1 b - -,d7b7
8/2B5/p1p1k3/Pb6/6p1/r7/2R3P1/4K3 b - -,e6d5
4k3/1p3p2/p2p1qp1/2rNn3/P3P3/1P2Qp1B/2PK4/7R b - -,f6g7
5r2/5pkp/8/3R3p/2p1R3/2P4P/1r3PP1/6K1 b - -,f8a8
r4r2/1pp3k1/pn1p1P2/4qP1p/4P3/1P1R2Q1/2P2NP1/1K5R b - -,g7f6
3r4/p5pk/7p/2p5/1b2P2P/3N2P1/1P2R1K1/8 w - -,d3f4
7k/5p2/1r1p2p1/2pPpq2/2B5/3N2P1/4QPK1/8 w - -,d3e1
5r1k/p1qb2np/2P2rp1/8/2Q2p2/3B4/PP2N1PP/3R1R1K b - -,f6c6
3q2k1/pp3pp1/3r3p/8/2P5/3n3P/1P2QPPN/3R2K1 w - -,e2c2
4k2r/p1p2pp1/1b1r3p/3q4/1Q3R2/5N2/PP3PPP/4R1K1 b k -,e8d8
r2qk2r/1ppb1ppp/2n1p3/p2p4/2PPn3/P2BPN2/1PQB1PPP/R3K2R b KQkq -,f7f5
r2k3r/1b2pp1p/1n1p1np1/p2P4/P7/1BN2P2/1PP3PP/2KR2NR b - a3,b7a6
3r2k1/3nppbp/r1n3p1/p1p5/4P3/RNP1BP2/1P4PP/3N1RK1 w - -,b3c5
r5k1/pp3Qp1/7p/2p1P3/4P3/8/1q1p2PP/5RK1 b - -,g8h8
r3r1k1/1b3pp1/np3q1p/p1b5/3NpB2/PP4PB/2Q1PP1P/R2R2K1 w - -,f4e3
8/8/2p3k1/2N1Pp1p/1Pbp2p1/6P1/3K3P/8 b - -,f5f4
4r1k1/1Q3p1p/pN4p1/P3pbq1/8/3P3P/1P3PP1/2R3K1 w - -,c1c5
8/5k2/8/2Bpbrp1/p2p4/P2P4/2P1K3/6R1 b - -,f7g6
3n2k1/p3q2p/1pn1pPp1/3p4/3P4/1N5R/1P3PP1/2Q3K1 b - -,e7f6
5r2/1R1b4/1p1k4/p2P3p/P3P3/1P5p/5b1K/7B b - -,f8f7:f2d4
r1bqr1k1/ppn2pbp/2p2np1/3p4/1PPN4/2N1P1P1/P4PBP/1RBQ1RK1 w - -,c4c5
1r2qbk1/1p3ppp/p2p2n1/3N4/P1PB4/1P3QPP/3R1PK1/3r4 w - -,d2d1
r2qk1nr/1p2ppbp/p2p2p1/2pP4/4P3/2N1BP1b/PPPQBP1P/R3K1R1 w Qkq -,f3f4
r2q1rk1/1b2bppp/pp1ppn2/4n3/2P1P3/NQN1BP2/PP2B1PP/R4RK1 b - -,f6d7:e5d7
1rbqr1k1/p4pp1/3b3p/n1p5/8/2BP1QN1/PPP2PPP/RN3RK1 b - -,d8c7
r2q1rk1/1p2bpp1/2p1b2p/p2pP3/3P2nB/2NBP3/PPQ3PP/R4RK1 w - -,h4e7
2r2rk1/6pp/p3p3/4q3/P6P/3Q1B2/5PP1/1R4K1 w - -,d3a6
rnbq1rk1/pp3ppp/2pb4/3p4/2PPn3/3B1N2/PP3PPP/RNBQ1RK1 w - -,c4d5:f1e1:d1c2:b1c3
r2q1rk1/ppp5/1b1p1pP1/3P2PR/8/7Q/PPPB4/2K2R2 b - -,g8g7
2r2r2/n2b2bk/1p1p1pp1/p1pBp2p/1PP2P2/P2PP1P1/3B3P/1R2R1K1 b - b3,a5b4
r4rk1/pbpqppbp/1p4p1/n7/3PPB2/5NP1/P1Q2PBP/1R1R2K1 b - -,d7c6
r2qr1k1/p1p1bppp/5n2/2pp1PB1/8/2NQ3P/PPP2PP1/R4RK1 b - -,c7c6
5r1r/3knpp1/nppNp2p/p2qP2Q/2pP4/B7/2P2PPP/R2R2K1 w - -,h5e2
3rr3/3q2k1/2b1ppp1/p6p/1p1P3P/P1N1Q3/1P3PP1/3RR1K1 w - -,a3b4
8/1n4kp/8/p4p2/Bp6/P1p5/2K2PPP/8 b - -,b7c5
1rb1nrk1/2bp2pp/p4n2/2pPp3/2P1P3/q5PB/P1QB1R1P/3NNRK1 b - -,b8b4
1qrrb1k1/1p2bppp/p1nppn2/8/2P1P3/1PN2P2/PBN2QPP/3RRB1K b - -,c6e5
rn2kb1r/pp1n1ppp/1q2p3/2ppP1Bb/N2P4/5N1P/PPP1BPP1/R2Q1RK1 b kq -,b6c6
6k1/2R3p1/2N5/3P3p/p5b1/2P5/r5PP/6K1 b - -,a2d2
8/1p2k3/2pp4/2n2KR1/2P5/1r2PB2/5P2/8 w - -,g5g7
7k/1p3p1p/p4N2/5b2/3r4/5K1P/PP3P2/6R1 b - -,f5g6
6rk/8/5P1p/1p1p1P1Q/p3p1nP/P1P1q3/1P6/1B1K1R2 w - -,b1a2
r3rnk1/2pq1ppp/pp1b1B2/3Pp3/P3P3/1QP2NN1/5PPP/3RR1K1 b - -,g7f6
4r1k1/pp4p1/6p1/q2pP3/2pP4/2P1Q3/2PK1PP1/7R w - -,e3h3
r1bq1rk1/ppp1npb1/3p2pp/3Pp3/1PP1P3/2N2N2/P3BPPP/R2Q1RK1 w - -,c4c5
r4rk1/ppq1b1pp/2p1pnb1/5p2/3P1PP1/2N1PB1P/PP1BQ3/R2R2K1 b - -,a8d8
8/4Q3/6pk/4b1r1/7p/7P/8/7K w - -,e7f8
1rb2r1k/6bB/pp1p3p/2pP3n/P1P2P1q/2NQB2P/1P5K/2R2R2 w - -,e3d2
rn2rnk1/p1pq1p1p/1p3Pp1/3p2N1/3P4/P1P2Q2/2P3PP/R1B2RK1 w - -,f3f4
rn1q1rk1/1ppnppbp/p2p2p1/6B1/2PPP1b1/2N2N2/PP2BPPP/R2Q1RK1 w - -,d4d5
r1b1rk2/1pq2pp1/2p2n1p/p3p3/Pb2P2Q/2NRB2P/BPP2PP1/4R1K1 b - -,c8e6
7r/1p1nk1pp/3bpn2/2r5/8/1QP5/1P4PP/2KRR3 b - -,d6e5
2r2r1k/6pp/p7/1pp1p1q1/4Qb2/P1PP1R1P/1P4B1/6RK b - -,c8d8
r3k1nr/3ppp1p/2n3p1/1Pp5/4P3/2P3P1/1P3PBP/q1BQK2R w Kkq -,b5c6
1kr3qb/pp5R/4p3/3pP2Q/3N1P2/1PPn2P1/P2N4/3K4 b - -,g8g3
3qr3/1p2ppkp/p2p1np1/2rP4/P7/2P1R1PP/1P1Q1PB1/4R1K1 b - a3,d8d7
r3k2r/1bqpbpp1/ppn1pn1p/8/2P3P1/1PN1PN2/PBQ1BP1P/2KR2R1 b kq -,b6b5
4r2k/2B3pp/8/3q4/2RPrpP1/1Q5P/2p2PK1/R7 w - -,b3f3
3rr1k1/1bq2ppp/2p2n2/pp6/4P3/P1NBb2P/1P1Q1PP1/2RR3K w - -,d2e3
r2qk2r/pbpn1p2/1p1ppn1p/6p1/2PP3B/P3PN2/1PQ2PPP/R3KB1R w KQkq g6,h4g3
r3kb1r/pp3ppp/2n1pn2/7b/3P4/1PN2N1P/1P2BPP1/R1BR2K1 b kq -,e8c8
rnb1k2r/1pq2pp1/p4n1p/3P4/3BN3/5P2/PPP1B1Pb/R2Q1RK1 w kq -,g1h1
r1b1r1k1/pp2q1bp/2p1ppp1/8/2PPBB1P/1Q4P1/PP3P2/R2R2K1 b - -,e6e5
r2r1nk1/1p2ppbp/2np2p1/8/q2PP3/1BR1BN2/5PPP/2RQ2K1 b - -,a4b4
2rq1rk1/pb2nppp/1p2p3/3n4/3P4/PBN2N2/1P3PPP/2RQR1K1 b - -,d5c3
r2r2k1/pp3pBp/4n1p1/1PPp3q/3P2nP/P1N2NP1/6K1/1R2QR2 b - -,e6g7
r4bk1/5pp1/7p/pq3P2/3pP3/2rP1N2/4Q1PP/R2R2K1 b - -,a8c8
1r3rk1/1p1b1ppp/1n2p3/pN2P3/PqpQ4/6P1/1P2PPBP/R2R2K1 b - -,d7b5
8/2k5/2p5/1pP4n/1P2p2P/4r3/1K2PR2/5B2 b - -,c7d7
5qkb/5p1p/p2p2pP/n1pPp3/2p1P3/2N1Q3/Pr2N1R1/3B2K1 w - -,e2g3
8/4pk1p/8/p2r1p2/1p6/1Pb1BPP1/P1K4P/3R4 b - -,d5e5
1k6/pq5p/3rpp2/n7/4Q3/6PK/2R1P2P/8 w - -,e4a4
8/7B/3k1p1p/pK2pPp1/4P1P1/1P5P/P2b4/8 b - -,d2b4
2kr4/pp3p1Q/4p3/3p1p2/3P2r1/2P2qP1/PP1K1P2/5R1R w - -,h1h4
r3kb1r/1bq2ppp/p1nppn2/8/Pp2PP2/1N1BB3/NPP3PP/R2Q1RK1 b kq -,f8e7
6k1/6p1/5p1p/1b3P2/1p2BK1P/1Pp3P1/2P2R2/4r3 b - -,g8f8
8/p2kbq1r/bpp1p1RP/3pPn2/3P2Q1/2N5/PPP2P2/1K5R w - -,a2a3
r1b3rk/3n1ppp/pq2pP2/3pP3/1p1Q3P/5B2/PPP1N1P1/2KR3R b - -,b6d4
4r1k1/pp1q1ppp/2p5/3p1n2/3P4/2P5/PP1N1PPP/4RQK1 w - -,e1e2
8/8/6k1/7p/5P2/6PK/5r2/1R6 w - -,b1b6
1qr1r1k1/p2nbppp/1p2pn2/2p5/2PP4/4P1P1/PB1NQPNP/2RR2K1 b - -,b8b7
8/8/8/1pk5/2r5/3K4/R7/8 b - -,c5b4
r4rk1/pq2bpp1/1p2pn1p/2p1N3/P7/2PP2P1/1P2QP1P/R1B1R1K1 b - a3,a8d8
r5k1/pp6/3p2p1/2pP1n2/2P1N3/1P6/P1n1N1B1/2R3K1 b - -,c2d4
r1bq1rk1/pp1pppbp/n4np1/2p5/3P4/2N2NP1/PPP1PPBP/R1BQ1RK1 w - -,f1e1
r3r1k1/1pbq1pp1/1np1pnp1/p7/P1PP2P1/1P2QBBP/4NP2/4RRK1 w - -,e1d1
2k3r1/2p1rb2/6p1/2p1p1Pp/p1P1P2N/3R3P/P4PK1/2R5 w - -,h4f3
2b5/3k1pbp/p5p1/1pBP4/1P2P3/7P/PP2NKP1/8 w - -,c5d4
r2r2k1/pR3ppp/1n6/8/4P3/P1p5/5PPP/2B2RK1 w - -,b7c7
r1bqk2r/3n1pbp/p1pp1np1/1p2p3/2PPP1P1/2N1BPN1/PP1Q3P/R3KB1R b KQkq -,b5b4
r1bqk1nr/pppp1pbp/2n3p1/4p3/2P5/1P3N2/PB1PPPPP/RN1QKB1R w KQkq -,e2e3
4k3/R7/3pp3/8/1Q2b3/2K5/4r3/8 b - -,e2c2
3r3k/q4p2/6pp/3NP3/2p3Rr/5K2/P1PQ2PP/8 b - -,h4h5
2rq1r1k/1p4bp/2n5/p1pNpp2/3n1P2/1P2B1PP/P4QBK/2RR4 w - -,c1c5
5k2/3R4/p2p1Np1/4p3/1P2P3/5b1P/6r1/4K3 b - -,g2e2
2r2rk1/1p3pp1/pq1p3p/4p3/P1P1P3/1P6/3Q1PPP/R3R1K1 w - -,d2e3
1nr5/2pkb1pp/p3p3/3pPp2/R2P4/1P3P2/PB2K1PP/2R5 w - -,b2a3
r4rk1/p2bbppp/5n2/2pPq3/PpP5/1P2N3/3N1PPP/R1BQ1RK1 w - -,a1b1
r3kb1r/pppbnpp1/2p4p/4P3/6P1/2N2N1P/PPP2P1K/R1B2R2 w - -,h2g3
rnbq1rk1/ppp1bppp/4pn2/3p4/2PP4/P1N2N2/1PQ1PPPP/R1B1KB1R w KQ -,c1g5
6r1/p5B1/1p2b3/3pN2k/3P1n2/2P2P2/PP1K4/6R1 b - -,f4h3
1r3bk1/5p2/4r1pp/p2q4/Pn6/1R2BN1P/5PP1/1Q2R1K1 b - -,b8d8
r2q1rk1/1bp2ppp/p1np1n2/4p3/1PP1P1P1/P1N1PN1P/R7/3Q1BKR w - -,f1d3
5k2/3q1pbp/3p1np1/1p1PP3/1Nn2P2/3Q3P/6PB/5R1K b - -,f6e8
r4rk1/pp2qpb1/2n1p1p1/2PpP2p/6bP/P1NB1N2/1PPQ1PP1/1K1R3R w - -,d2f4
6k1/Q2n3p/2q5/3pB1p1/Pb1Pp2P/1P1bP1P1/5PBK/8 b - -,d7e5
r4r2/1pq2pkp/p1n3p1/2p1p3/2B2P2/1PP1P1R1/P1Q3PP/R5K1 w - e6,f4f5
r2qkb1r/3b1p1p/p1nppp2/8/1p1NPP2/8/PPPQN1PP/1K1R1B1R b kq -,d8b6
5rk1/1p2bpp1/pNqpr2p/P3p3/1PP1P2P/5RP1/4QPK1/7R w - -,g2h2
