8/8/8/8/8/1r3k2/8/3NK3 b - -,b3d3
4b3/p3p1k1/1rp1Bq2/3p1P2/PP1P2p1/3K2Pp/2R4P/4Q3 b - -,e8f7
r3kb1r/2q2pp1/p3b2p/2pnnN2/Np4P1/1P2BP2/P1PQB2P/R3K2R w KQkq -,f3f4
r3kb1r/ppp2ppp/2n1p3/3q4/3P2b1/P1B2N1P/1PPQBPP1/R3K2R b KQkq -,g4h5
6n1/7k/p3R2p/1b1r3N/2r2p1p/5P2/6PK/R3B3 w - -,h5f6
r3k3/5pr1/p3pp2/1p6/1R2P3/2Pn1NPP/P4P2/5RK1 w q -,b4d4
8/8/1B3K2/1p1kp3/2b5/4Pp2/6r1/2R5 w - -,e3e4
r2qkb1r/1p2pppp/p1b5/2pnNP2/8/2N5/PPPP2PP/R1BQ1RK1 b kq -,d5c3
2kr1b1r/1p3ppp/p1n1b3/4p3/P7/2P1N1P1/4PPBP/1RBK3R w - -,d1c2
1rr3k1/1p2ppbp/p2pbnp1/1N6/2P1P3/1P2BP2/P2KB1PP/2R4R w - -,b5d4
1k1r1r2/1p4pp/1Ppb4/p7/P1B1Q3/2N1P1qP/4K1P1/5R2 b - -,f8f1
1n3b2/3k4/p3p1p1/3p4/3PnP2/4P3/PP1BK1PP/2R5 w - -,g2g4
r4r2/ppq1n1k1/2npb1pp/2p1pp2/4P3/2PP1NP1/PP1N1PBP/R2Q1RK1 w - -,f1e1
1r2n1k1/p3Qp2/2P1p1p1/4q2p/8/4PBP1/P4P1P/3R2K1 b - -,e5f5
2kr1b1r/1pp2ppp/6b1/4PP2/3q2P1/7P/PP2Q3/R1K2B1R w - -,f1g2
4r1k1/pbqn3p/1p2p1B1/3p4/3P1r2/4N2Q/PP4PP/R4RK1 b - -,h7g6
2kr4/ppp1pp2/1n1q2pr/3P4/3P4/1BP3P1/P4P1P/1R1QK2R w K -,d1f3
6k1/5pb1/2q1p1pp/1p6/p1pP4/P3PP1P/1PQ3PB/3K4 b - -,g7f8
1r1r1b2/1p1q1ppk/p2p3p/4p2Q/P1P1P3/1PNR2RP/5PP1/6K1 w - -,c3d5
8/8/p7/Pk1pK3/6p1/8/8/3bB3 b - -,b5c4
6k1/1p2n1p1/p2qr1r1/3pRp1p/2P4P/3B1Q2/PP4P1/4R2K w - -,f3e2
3r2k1/6p1/8/2NK3R/7P/8/2P5/7r w - -,d5e5
8/8/pR2p2N/3pk1p1/1P1n1r2/1P2KP1P/8/8 w - -,h6g4
8/pp3p2/1k2nP2/5r2/QP6/P7/8/1K6 w - -,a4d7
4r3/p5k1/1ppb1pp1/3P2q1/2P5/2B1PQP1/P5K1/7R b - -,d6e5
r4rk1/q2bppb1/p2p1np1/1p4B1/2nNP3/2N2B2/PPP3PP/2QR1R1K b - -,f6h7
2r1k2r/pb1nqppp/1p6/2pp4/2P5/1PB2NP1/P4PBP/R2Q2K1 w k -,c3g7
r4rk1/4ppbp/p5pn/1pP5/3BNq2/8/PPP1Q1PP/1K1R3R b - -,e7e5
2bq2k1/p3nr1p/3p2p1/1rp2p2/1P2PP2/P2PB3/Q2N2BP/5RK1 w - -,b4c5
r2qkb1r/pp3ppp/2n1pn2/3p4/3P4/2N2b1P/PPP1BPP1/R1BQK2R w KQkq -,e2f3
2b2k2/r1q1nrpp/1p1n4/1p1p1P2/3N2P1/P5QP/1PP1R3/2K1R2B w - -,h1d5
2rr4/4bp1k/pp1p2p1/4p2p/2PnP3/1P3P1P/P2R2PB/3R1B1K w - -,h2g1
4r2k/7n/1pbq2np/p1p5/P1Pp1Ppb/1P1P2P1/5QNK/2B2R1B w - -,g3h4
2b1k2r/2r1ppbp/p1N2np1/1p1Pq3/2pP1P2/2N5/PPP3PP/R1B1R1K1 w k -,f4e5
5bk1/2rn4/2B4p/1Pp1p1p1/5p2/4PP2/5BPP/2R3K1 w - -,e3e4
2rr3k/2q1bppp/p7/Pp2PQ2/3NR3/2P4P/1P4P1/4R2K b - -,e7f8
2r2rk1/5ppp/p2q1n2/1p2p1N1/n2pP3/P2P3P/RP2QPP1/2B1R1K1 b - -,h7h6
rq2r1k1/1bpn1pb1/1p1p2np/p2Pp1p1/2P1P3/P1N3BP/1PQNBPP1/RR4K1 b - -,g6f4
r2q1rk1/1b1nbppp/p2pp3/1p4P1/3RP2P/2N1B3/PPP1QPB1/2K4R b - -,a8c8
2rqbrk1/pp2bppp/4p3/3nN3/Pn1PN3/8/1P1BQPPP/RB1R2K1 b - -,b4c2
6k1/R6p/4n3/4P3/P3Kp1P/8/1r3B2/8 w - -,e4d5
8/4pp1p/7R/5kp1/P1K5/6r1/8/8 b - -,e7e5
8/5kb1/8/4P1p1/3K4/8/6Qp/8 b - -,f7e6
r3k2r/p1qpbppp/np2p3/4P3/3P4/2P2N2/P2BQPPP/R3K2R b KQkq -,a6b8
r2qk2r/1b1nbppp/p2p1n2/1p1Np3/P3P3/2N3P1/1PP2PBP/R1BQK2R b KQkq a3,b5a4
1r6/2q3k1/3pbr1p/1Pp1npp1/P3p3/2Q1P1P1/5P1P/1R1RNBK1 w - -,a4a5
r1r1bbk1/1N1n1p1p/p5p1/1p2p3/1P2P3/Pq2BP2/3Q2PP/2RR1BK1 w - -,d2d3
2rq1rk1/3b2pp/p2p1b2/1p1P1p2/3QP3/3BBP2/PP4PP/R4RK1 w - -,d4b4
5rk1/3nppbp/p5p1/3Q1P2/2p3P1/2q1B1NP/P2R2K1/8 w - -,d5d7
r3kb1r/pp2npp1/2p1p3/2nPP1Bp/2qN3P/8/PP1N1PP1/R4RK1 w kq -,d2c4
3r1rnk/4b1p1/p5q1/2p1P3/1p2b2p/3B3Q/PPP2PPP/2BRR1K1 b - -,e4d3
r2qrbk1/1p1b1ppp/2p2pn1/p1PP4/8/4BNP1/PP1Q1PBP/R2R2K1 b - -,c6d5
r2q1rk1/p2nnpbp/bp2p1p1/3pP3/3N1P2/2P3P1/PP2N1BP/R1BQ1RK1 w - -,a2a4
k1r2b2/pb3p2/1p2qP2/3pP3/P1r2Bp1/1R1N2Pp/1R5P/3Q2K1 b - a3,d5d4
8/7k/2K4R/5rPp/8/5P2/8/8 b - -,h7g7
r4rk1/pb1nqpp1/B1p4p/1p1p4/Q2P4/2P1PN2/P4PPP/R3R1K1 w - -,a4a5
r2q1rk1/p2nbppp/b1p1pn2/3p4/2PP4/5NP1/PBQNPPBP/R2R2K1 b - -,a8b8
3r2k1/2q1b1p1/np1rppp1/pQ6/P1PB2NP/1P4P1/3R1P2/3R2K1 b - -,a6c5
8/p1r3pk/1pP4p/1P1bNp1P/1P1P1P2/6P1/4R3/6K1 w - -,g1f2
5rk1/3q1pp1/1bpp3p/3n1b2/r2P4/P4N1P/3B1PPK/RNQ1R3 w - -,b1c3
4k3/R4p2/5P2/4P3/8/1r6/4K3/8 w - -,e2d2
rnb1k2r/pp3ppp/2p1pn2/3q4/3P4/1PB2N2/P1P1Q1PP/2KR1B1R b kq -,a7a5
2rq1rk1/3b1pbp/2np1np1/ppp2p2/4P2N/2PPN1P1/PP4BP/R1BQ1RK1 w - -,e4f5
7r/p3k3/4P2p/1p4pP/5P2/2p4N/Pb2RPK1/8 b - -,h8c8
5b2/6kp/2r5/1pp2RpP/3p4/1P1P1NP1/2P2PK1/8 b - -,h7h6
r1b2rk1/1pq2ppp/p1nbpn2/2P5/2B5/P1N1PN1P/1P2QPP1/R1B2RK1 b - -,d6c5
2Q5/ppp1q1kp/1r6/2bBp1r1/4P3/2R3P1/PP3P2/5RK1 b - -,b6g6
6k1/3R1pp1/p3p3/4r2p/7P/2r3P1/P2R1K2/8 w - -,d7a7
r1b1k2r/1pqn1pp1/p2bpn1p/3pN3/2pP1BP1/2PBPN1P/PP3P2/RQ2K2R w KQkq -,d3g6
r1b2rk1/6pp/pq1bpn2/1p1pN3/3P4/2N3B1/PP2QPPP/4RRK1 w - -,e2e3
3r2k1/6pp/b4p2/8/1R1p1N2/6P1/rP2PPKP/3R4 b - -,g7g5
rnb1k2r/ppq1ppbp/6pn/8/8/2P1BN2/PP2BPPP/RN1QK2R w KQkq -,b1a3
r4r1k/6p1/p2p2qp/1p6/2PQPp2/5P1b/P2NR1P1/3R2K1 b - -,h3e6
r4bk1/2R2p2/4p1pp/p1NpP3/3P3P/P7/5PP1/6K1 b - -,f8c5
r2q1rk1/4nppp/bp2pb2/p2n2B1/3PR2P/PBN2N2/1P1Q1PP1/R5K1 b - -,a6b7
2r2rk1/p1p2pp1/1pn1b2p/2p5/5B2/2PP1N1P/PPB3P1/R2R2K1 w - -,d3d4
rq1b1r1k/p2b3B/2p1p2n/3pP1p1/5Bp1/2P5/PPQ2P1N/R3R1K1 w - -,c2g6
6k1/2p1Qpp1/7p/4K3/2Br4/1P3P2/P5q1/4R3 b - -,d4d6
4Q3/7p/7k/3P4/8/2N5/P4r1P/7K b - -,f2f1
r1bq1rk1/pp1nnpbp/2pp2p1/4p3/2PPP3/2N1B3/PPQ1NPPP/2KR1B1R w - -,h2h4
r2q2r1/pp1kbpNp/2n1pn2/2p5/8/2PP1Q1P/PPB2PP1/R1B1K2R w KQ -,c1h6
8/4k3/4P3/3K4/4R1N1/8/8/5r2 b - -,f1a1
4n1k1/4q2p/p3N1p1/5p2/2Q4P/4P1P1/P4PK1/8 b - -,e7b7
6rk/6qp/ppb3p1/2p4r/2PpPp1P/P2B1P2/1PR2QP1/6KR b - -,g7h6
r4rk1/5pbp/p2p2p1/1p1b2Bn/3NBP2/8/PPP1R1PP/2KR4 b - -,d5e4
r2qrb1k/5pp1/4b2p/p1pn4/4B3/PP4N1/1BQ2PPP/R4RK1 w - -,a1d1
r1bq4/ppp2k1p/1n4p1/8/1P1P4/2N1r3/1PQ1N1PP/R4RK1 b - -,f7g7
8/1r3pk1/3p2p1/p2Nn1Pp/1p2P2P/PP4R1/1P1K4/8 w - -,g3h3
2r1rnk1/1b1qppbp/p5p1/1p6/PPpPp3/2P1B2P/Q2NBPP1/R2R2K1 b - -,b7d5
r2q1rk1/pb2bppp/2n5/1N1n4/3p1B2/P4N1P/1P2BPP1/2RQK2R w K -,f4d2
4r1k1/5p1p/2p3p1/bp1pPb2/5P2/2P2NBP/rP1R2PK/4R3 w - -,e1d1
2R5/1r4p1/4k2p/1b2p3/3p1n2/P4P2/1P1R2PP/6K1 b - -,e6d6
2bb2k1/p4ppp/1p2p3/8/8/4BB2/PP3PPP/5K2 b - -,f7f5
5k2/pp5p/6p1/2r1bp2/8/1P1NP3/6PP/3R2K1 b - -,e5f6
8/7R/4p3/3k2r1/8/8/1PP5/1K6 b - -,e6e5
r4rk1/1pq1bppp/5n2/2p1pN2/nP2P3/5BP1/2P2P1P/R1B1QRK1 w - -,b4b5
2r5/pp2rpk1/5n1p/4n1p1/3p4/2PN1BqP/PP1Q1RP1/5RK1 w - -,c3d4
r1br1n2/4qpbk/p2p2pp/2pP4/2P1PQP1/2NB1N1P/P4P2/2RR2K1 b - -,h7g8
3q2k1/3nr1np/pp1p2p1/2pP2P1/P2bPP2/2N3Q1/1PP3K1/R3R3 w - -,c3d1
2k5/6p1/8/p7/2b2PP1/8/1b1B2K1/2N5 w - a6,d2a5
rn1qk2r/1p2n1pp/p2p4/P1pPpbB1/8/3B4/1PP1NPPP/R2QK2R b KQkq -,e8g8
5rk1/6pp/R7/3NnpP1/8/P7/1r3PP1/5RK1 w - -,a6a7
rn5r/p2qb1pp/2p1kn2/1p6/3P2P1/PPN1P3/2Q2P1P/R1B1K2R w KQ -,g4g5
rn1qkb1r/1p2pppp/p1p2n2/3p4/2PPb2N/4P3/PP1NBPPP/R1BQK2R b KQkq -,e7e6
r1bqnrk1/pp1nbp1p/3p2p1/2pPp3/2P1P3/P1N2N2/1P2BPPP/1RBQ1RK1 b - -,f7f5
r2b2rk/1pp4p/n3B2P/1N1Pp3/p1P2p2/P4P2/1P2K3/R5R1 b - -,g8g6
1r3n1r/1pk2qp1/p1pb4/P3ppBP/3PP3/2P2B2/4QP2/1R3K1R w - -,h1g1
r2qkb1r/1b1n1ppp/pp1ppn2/8/2PNP3/2N1BP2/PP2B1PP/R2Q1RK1 b kq -,f8e7
2kr1b1r/1ppb2pp/p1p2pn1/8/3NP3/P3B3/1PPN1PPP/R3R1K1 b - -,c6c5
6k1/1R6/5K2/8/P3pp2/1n5P/5P2/8 b - -,b3c5
r4rk1/1bq1b2p/p3pPpQ/1pp5/3n1P2/P1NBR3/1PPB2PP/5RK1 b - -,e7f6
1r4k1/pp3ppp/4bbn1/N7/8/B1P1R1P1/P1Pr1PBP/R5K1 w - -,a5b7
6k1/4pp1p/p2p2p1/3P4/2R1P3/P7/1r3PPP/6K1 w - -,f2f3
3r2k1/2R2p1p/4p1pb/8/3r4/6P1/3pB1KP/3R4 b - -,d4d7
2r2r1k/1p1q2pp/pb1pbn2/4p3/2Pn4/BPNB4/P1N1QPPP/3R1R1K w - -,c2d4
8/8/1p3p1k/p7/P1P2pP1/1P3P2/2PQK3/2q5 b - -,c1g1
3Q1n1k/5r2/7p/3PqB2/2p1p1R1/6P1/7P/7K w - -,d8h4
1r5k/8/3p2pp/p2Pp3/R3bp1b/1rP2B2/1P1R1PP1/6K1 w - -,f3e4
r1b1kb1r/ppq2ppp/2n1pn2/2p5/2N5/3P2P1/PPQ1PPBP/R1BNK2R b KQkq -,f6d5
r1b1r1k1/ppp2ppp/8/2p1n3/3NPq2/2P5/PP2BPPP/R2Q1RK1 w - -,d4b5
3rr3/1p4k1/p1n2pp1/2Pp4/1P3q2/P4N1P/5QP1/3R1RK1 w - -,f3d4
r1b2rk1/1p2bppp/p1qpp3/4P3/P2P4/BQP2N2/5PPP/R4RK1 b - -,f8d8
3R4/8/8/3b2k1/8/5PK1/1r6/8 b - -,b2d2
4r3/2k5/2P3p1/1P3p1p/5P1P/2RK4/5P2/8 w - -,f2f3
6k1/r6p/2q1n1p1/2p1PpP1/1pPp1P2/3P2K1/rP1B3Q/1R5R b - -,c6a8
Rr2b3/5pk1/3p1qp1/Q1p1p2p/2P1P2P/3P2PB/1r3PK1/R7 w - -,a5e1
1R6/8/3p1n2/2pPp1k1/2P1P3/5BPK/3r1bN1/8 b - -,d2c2
8/3n3p/2pP2p1/1p2Pk2/1P6/2B1K3/7P/8 w - b6,c3d4
2r1n2k/6p1/4Pp1p/5P2/p1pB3P/1Q6/3R2P1/3R2K1 b - -,a4b3
1R6/2p3r1/2Pp4/1P1Pp3/4P2p/1P2K1k1/4R1P1/3r4 b - -,d1d4
1r3rk1/2p1bp2/p3p1pp/n7/3Pb3/P2NP3/3NBPPP/R4RK1 b - -,e4d3
8/p4k2/1r6/2p1qp1Q/3n3N/P2P2P1/6BP/1R5K b - -,f7g7
3r2k1/5ppp/1pb1r1n1/7R/P2p4/1P1N1P2/5KPP/3R1B2 w - -,d1c1
8/3k3p/1p2p1p1/r3K3/P1R2P2/8/6PP/8 w - -,e5f6
2r1n1k1/1p2q1pp/3p4/N2Pp3/pP1bP3/P7/4Q1PP/2R2R1K b - -,c8d8
8/8/7p/3k2pP/6P1/4p1P1/8/3K4 b - -,d5e5
4rrk1/pp1n1pp1/2p1b2p/3p4/3P1q2/P2B3P/1PPQ1PP1/R3RNK1 b - -,f4h4
1r4k1/8/1NR3pp/p2Pp2q/1p2r1bP/6Q1/PP4P1/1K5R w - -,d5d6
r2k3r/1b2p1bp/pqnpPp2/1p1p2NQ/3P4/3B4/PPPB1PP1/R3K2R w KQ -,g5f7
8/1r6/6k1/5R2/6p1/4P1P1/5PK1/8 w - -,f5d5
