4n3/5bk1/5r1p/3pQ3/7K/3B4/8/8 b - -,g7f8
r3r1k1/1p3ppp/2p1b3/1p6/3qP3/1P1PBR1P/P1Q3P1/5RK1 b - -,d4d6
8/p5p1/5p1k/4pN1p/8/P1RB1P1P/r5PK/8 b - -,h6g6
8/8/2kpn1p1/2p3Pp/2P4P/2K1N3/8/8 b - -,e6f4
8/8/p7/1p2P2R/1P3pk1/3K4/P5r1/8 w - -,h5h6
r6r/1p2kb2/2p2pp1/p1n1pP2/P3P1P1/1PN2B2/2PR1K2/3R4 b - -,h8h2
3r1bk1/5pp1/p1qP3p/2rpB3/2p3Q1/2P4P/P4PP1/R3R1K1 w - -,e1e3
r5k1/1p1bqpbp/p2p2p1/2nP4/P1N1rP2/R3B3/1P1QB1PP/5RK1 w - -,c4b6
3r4/2p4p/4k3/p2rP3/P2p3R/1P1R1K1P/8/8 b - -,d8d7
r2qkb1r/1p3ppp/p1n1p1n1/2P1P3/2Pp4/N2Q1N2/PP3PPP/R1B1R1K1 b kq -,f8c5
rnb1k2r/1p3ppp/1Np1p3/8/2P5/6P1/PB1bPPBP/R4RK1 b kq -,a8a6
5rk1/1q5p/4b1p1/1p6/1P6/5B2/P4PPP/5RK1 w - -,f3b7
r1r5/5ppp/4k3/p2p4/1b6/3KBP2/PP3P1P/2R4R w - a6,h1g1
8/5K2/7P/4bk2/8/8/3B4/8 b - -,e5h8
r1bqk2r/pp2ppbp/2p2npB/8/3P4/5N2/PPPQ1PPP/R3KB1R b KQkq -,g7h6
8/7p/1r1p2p1/8/3kP2P/5P2/1p1K4/1R6 b - -,h7h6
r4r1k/pp4bp/3Np1p1/6n1/6P1/4Pp1P/PP3P1B/2R2R1K b - -,g5h3
rn3rk1/p2qbppp/bp2p2n/1NppP3/P2P1P2/4BN2/1PPQB1PP/R4RK1 b - -,h6g4
8/4k3/pB6/5p1p/1b6/4P2P/5K2/8 w - -,f2f3
2r3k1/5nbp/p2P2b1/q1p1p3/P1Q1Ppp1/1R1N1P2/6PP/5RK1 b - -,a5d8
2r4r/pp1qkp1p/1b1ppp2/1P6/2P1N3/P2Q2P1/4PP1P/R4RK1 w - -,f1d1
1k2r3/8/p1qp2p1/1pp2p1p/3n1P1P/1PNP2P1/1PP2Q2/2K1R3 b - -,b5b4
r1bq1rk1/pp4bp/2n1p1p1/5p2/3PpB1P/1QP5/PP1NNPP1/R3K2R w KQ -,d2c4
1rb2rk1/2q2p1p/2npp1p1/2n5/2P1P3/1p2N1P1/1P1QNPBP/R4RK1 w - -,f1d1
3Br1k1/5q1p/1p4p1/p1ppP3/P3n1Q1/2P1P2P/1P6/5RK1 b - -,f7b7
8/2kb2p1/6n1/2NP4/4P3/4KPP1/6r1/1R6 b - -,d7c8
1r1r4/pp2n1k1/2n2pp1/q1ppP2p/4P1bP/2PPN1PN/PP1Q2B1/R4RK1 b - -,c6e5
8/3R4/1p1b4/pPk4p/P5p1/2K3P1/7P/8 b - -,d6e5
8/4bpk1/6p1/2p5/1p3P1R/1P2PK2/3R4/8 b - -,e7h4
r1b1kbnr/pp2pppp/4q3/2p5/1n6/2N2NP1/PPPPQP1P/R1B1KB1R w KQkq -,e2e6
4kn2/p3b3/P6r/6p1/1R5p/3P3P/1P3PP1/4R1K1 w - -,b4b7
1q1r1rk1/1b1pb1pp/p1n3n1/1pPNp3/5P2/4BNP1/PP1QB2P/2R2RK1 b - -,g8h8
8/p1rnk1pp/1n3p2/NRp1p3/2P1PP2/4B1P1/P5KP/8 w - -,f4f5
r2q1rk1/1pp2pb1/2npbnpp/p2Np3/2P5/P2P2P1/1P1NPPBP/1RBQ1RK1 b - -,a8b8
r4rk1/p2b1pbp/3p1np1/qppPn3/4P3/2N1BPNP/PP2B1P1/R2Q1RK1 w - b6,f3f4
6k1/2r3p1/4r2p/2pRP3/2Pn1p2/3B3P/5KP1/4R3 w - -,h3h4
4kr2/r4pp1/2b5/ppNpPR1p/7P/P3R1P1/1PP5/1K6 b - -,f8h8
3nk2r/5p2/2bpq3/p3p1Pp/1p2N3/3B4/PP3QP1/5R1K b - -,h5h4
5r2/pp4kb/5p2/3n1Pp1/3P2P1/4r3/P2R2QP/6K1 b - -,h7g8
r1r3k1/pp3pbp/4n1p1/4P3/2P1NP2/1P2B3/6PP/3R1RK1 b - -,b7b6
5r2/r7/1k1p1p2/pBpP2p1/2P1P3/2B3P1/5P2/R5K1 w - -,g3g4
1q3rk1/3n1pbp/Qp2p1p1/6P1/8/1P2PPNB/P6P/2R3K1 b - -,b8e5
2rq1rk1/p2n1ppp/1p2pn2/6B1/2BP4/2b2P2/PP2QP1P/2RR2K1 w - -,c1c3
8/1p2r3/5pk1/Pp1p2pp/3P4/5RP1/5P2/5K2 w - -,f3b3
8/8/1B3pk1/3r3p/r5p1/6P1/5PKP/2R5 w - -,b6e3
1qr3k1/2rn1ppp/1b1p1n2/3P4/1P1Np3/1bN1P1P1/1B3PBP/Q1R1R1K1 b - -,b6d4
8/6r1/3k4/7R/5KB1/r3PP2/8/8 b - -,g7g6
r4rk1/p6p/1p4p1/nB1Pp3/4P3/b3B3/P1R3PP/1R4K1 b - -,a5b7
8/3R4/P4b2/6pk/8/r2B4/4K3/8 w - -,e2e3
r3k2r/2pqnppp/pp2b3/n2pP3/N7/P1PB4/1PQ1NPPP/R4RK1 b kq -,a5c4
r7/1R1Pk3/2P1ppp1/3p4/7p/P6P/5PP1/6K1 w - -,c6c7
r2qkbnr/ppp2ppp/2n1p3/3p1b2/2PP4/1Q3N2/PP1BPPPP/RN2KB1R b KQkq -,a8b8
rq2r1k1/pp1n1pp1/3b1n1p/1N1pp3/3P3P/3B1Q2/PPP2PP1/R1B2RK1 w - -,d3f5
6k1/B4p1p/p1r1p1p1/1b2P1P1/4PP2/8/3K4/8 b - -,a6a5
rn3rk1/2R1bppp/p3p3/1p1q4/8/7P/PP1NQPPB/R5K1 b - -,e7d8
r7/2P3kp/3N2p1/N7/4K3/8/8/8 b - -,h7h5
rnbqkb1r/ppp2ppp/1n2p3/8/3PPB2/5N2/PP3PPP/RN1QKB1R b KQkq -,b8c6
2r2rk1/pp3pbp/4q1p1/2p4n/2Q1P3/2N1B3/PPP2RPP/5R1K w - -,c3d5
3r4/7R/8/8/8/2K2pk1/8/8 w - -,h7g7
8/1r3p1k/1p1Rp1p1/p1p1P1P1/P1P3KP/1P6/8/8 w - -,h4h5
r1b2rk1/2qn1ppp/1p1pp3/pP2b3/N1P1P3/P3Q2P/R3BPP1/2B2RK1 w - -,f2f4
rnbq1rk1/pp2bp1p/2p3p1/3n4/3P4/2NB1N1P/PP3PP1/R1BQ1RK1 b - -,c8e6
r1b1k2r/2q2ppp/ppnppn2/8/2P1P3/2P1BP2/P1N1B1PP/R2QK2R w KQkq -,e1g1
6n1/8/1p1k4/1P1p1B2/3P4/2K2n2/4N3/8 b - -,g8f6
8/5pk1/8/1R4PK/1Pr4p/7P/8/8 b - -,c4d4
2k2r2/pppr2pp/2nb4/6Bq/3pR3/5N2/PPPQ1PPP/R5K1 b - -,f8f3
4rrk1/p4p1p/3pb1p1/q1p1p1P1/2P1P2P/1P2N3/P3KPQ1/R6R b - -,a5a3
5bk1/1b3pp1/1q2p2p/p1p5/P1P1NB2/1P3P2/3Q2PP/6K1 w - -,d2d3
6k1/5p1p/8/2p2R2/2r2p2/8/4KPPP/8 b - -,g8g7
r1bq1rk1/pppn1pbp/3p1np1/3Pp1B1/2P1P3/2N2P2/PP1Q2PP/R3KBNR b KQ -,a7a6
8/2R5/1BPp1k2/3Pp1p1/1K2Pp2/5P2/r5P1/8 b - -,a2b2
2rr2k1/3b2pp/pn3b2/q1p1pPB1/1pPnP2P/1P5B/P2RN3/3NQRK1 b - -,d7c6
rn1q1rk1/1p2ppbp/2p3p1/p2p1b2/2PP4/1PB1PNP1/P4PBP/R2Q1RK1 b - -,b8d7
r4rk1/1bq1bppp/p1n1pn2/1p1p4/2p1PP2/2PP1NP1/PP2QNBP/R1B2RK1 w - -,d3d4
1r1r2k1/1bq2pbp/p3p1p1/4n3/Np3PP1/1P4QP/P1P1N1B1/2R2RK1 b - f3,b7g2
8/5p2/5K1p/6p1/8/3kP2P/6P1/8 w - -,f6f7
2b2k2/1p2rn2/p1p2qpr/2Pp1p1p/P2P1P1N/1R2P1QP/2B1K1P1/3R4 b - -,f8e8
r1bq1rk1/1p2ppbp/1Bnp2p1/3N4/2P1P3/p4P2/PP2B1PP/1R1Q1R1K b - -,d8d7
2r3k1/1r3pb1/2p1p1p1/2PpP1Pp/1p1PPN1P/pP2K3/P4R2/5R2 b - -,c8c7
8/8/1k6/7p/5p1P/3Kp1P1/8/8 b - -,f4g3
6k1/p7/1p2pBPp/4Pp2/P1n4Q/2P2q2/3r2bK/1B4R1 w - -,f6g5
1r2r1k1/1ppn1ppp/p2npq2/2P5/3P4/B3PNP1/P1Q2PKP/2RR4 b - -,d6b5
r3rbk1/1p4pp/p4p2/5q2/2P1N3/7P/PP1B2B1/5RK1 w - -,f1f5
3q1b2/1p3rk1/pP1p3p/2rPpPp1/1R4P1/7P/1Q3P2/2R2BK1 b - -,c5c1
r2q1r1k/1p1n2pp/2pp1b2/p3pb2/2PP4/1PN1B1P1/P4PBP/2RQ1RK1 b - -,d8e7
r2q1rk1/1p2ppbp/n1p2np1/3p1b2/p1P5/1P1P1NP1/PB1NPPBP/R1Q2RK1 w - -,b2c3
8/3k1p2/p1r3p1/2bpB2p/5P2/3K2P1/PPR4P/8 w - -,e5d4
2br2k1/2q3pp/1nBp1p2/2pP4/4P3/1Qb1NN1P/4RPP1/6K1 b - -,c3b4
r2q1rk1/pbp1n3/1p1p1npb/3Ppp1p/2P1P2P/2N2PB1/PPQNB1P1/2KR3R b - -,f5e4
rn1q1rk1/pb2ppbp/1p1p1np1/8/2PNP3/2N1BP2/PP2B1PP/R2Q1RK1 b - -,b8d7
q7/p5k1/8/1P3ppr/2pP2n1/2Nb1Q2/P4R1P/4B1K1 b - -,a8b8
3r2k1/5pb1/4Q2p/4p3/3pP3/3P2P1/6BP/5RK1 b - -,f7e6
8/8/5k1K/7R/7P/6r1/8/8 w - -,h5g5
r1r5/3nk3/1p2p3/pNn2ppp/3R4/BP2P2P/P3KPP1/2R5 b - -,c8c6
r4rk1/5ppp/p2p1n2/1p2pP2/2P5/3Bq2P/P5P1/1R1Q1R1K w - -,c4b5
1rb1nrk1/pp4bp/q1p1p1p1/4P1N1/P1p2P2/B1Nn2PP/2Q3BK/1R3R2 b - -,b7b5
r7/2b4p/p1n1k1p1/1pB2p2/PP2pP2/2P3P1/2N1K2P/R2r4 w - -,a1d1
r2r2k1/2q2bpp/2p5/p3pPQ1/1p2P3/1Pn1BB1P/2P5/R5RK b - -,g7g6
r3k1nb/1bqn4/p1ppp1p1/1p4B1/3PP3/2N4Q/PPP1NPP1/R3K3 b Qq -,h8f6
r2qr1k1/1p1b1ppp/p4n2/3pp3/Pb1pP3/1P1P2N1/2P1RPPP/R1BQ1BK1 b - -,b4c3
rnbq1rk1/p1ppbppp/1p2pn2/8/2PP4/P4NP1/1P1NPP1P/R1BQKB1R w KQ -,f1g2
8/8/5n2/4Np1k/4pP1p/4P3/4K1P1/8 w - -,e5f7
rr4k1/pR2n1pp/2nq1p2/2pp4/3P4/P1P1N1P1/4QP1P/2B1R1K1 w - -,e3f5
8/pp6/2b5/2r2N2/4pK2/P7/2k4P/4R3 w - -,h2h4
8/8/N1bk2p1/2p5/1P1p3p/P2P3P/2P2KP1/8 b - -,c5b4
r4rk1/4bppp/Pq1np3/3p4/3P4/3PB2P/1P2NPP1/R2Q1RK1 w - -,d1a4
6k1/pbqn2bp/1p3pp1/3np3/1PNp4/P2P1NPB/QB2PP1P/6K1 b - -,g8h8
4r2k/1Q4p1/5n2/6Np/1p3P1P/2q3P1/6B1/5R1K w - -,b7f3
8/3k4/P4p1p/1P1K1Pp1/4B1P1/4b3/8/8 b - -,e3f2
8/8/1K6/6r1/P4R2/2kb4/8/8 b - -,d3c4
4nrk1/R4p1p/3p2p1/3Pp1q1/NrP1P3/1n3B2/2Q2PPP/5RK1 w - -,c2c3
1rbqnrk1/pp2ppbp/3p2p1/2p5/3nPPP1/2NP1N1P/PPP3B1/R1BQ1RK1 w - -,c1e3
r5k1/1R3pbp/p3p3/2P1n1p1/4q3/NQ2B2P/P4PP1/6K1 b - -,h7h6
r4r1k/4b1pp/4p3/p3P3/R1qB1P2/8/6PP/5R1K w - -,a4c4
r6r/p1pk2bp/4p1p1/2p1P3/R3b3/1P1B4/P1P3PP/4R1K1 w - -,d3e4
1k6/2p4p/5B2/1p6/1Pp5/2PrnR1P/6P1/6K1 b - -,e3d5
8/7p/6p1/5p2/1pBb1P2/pPk3P1/P3K2P/8 w - -,c4g8
8/7R/4k1K1/6P1/2r5/7p/8/8 b - -,c4c3
6k1/1Q3pp1/7p/2Pp4/7P/P2K4/8/q7 b - -,a1d1
8/p5k1/4p1rp/1p4r1/1P1P3R/1K6/2P4R/8 b - -,g5g4
2br2k1/pp2r2p/2pn1qp1/3pN3/3P1PP1/1PN3R1/P1Q3KP/5R2 b - -,d8f8
2kr3r/pp1nbp2/q1p1p3/3pPp1p/3P1Q1P/2N3P1/PPPB1P2/2KR3R w - -,f4f3
1B2k3/1p4nr/p4p1p/PnNN2p1/3P2P1/1P2KP2/7P/8 b - -,f6f5
r1bq1rk1/2p1n1bp/3p2p1/p2Pp3/2P1N3/B1N5/P3RPPP/R2Q2K1 b - -,e7f5
Q7/3n1kp1/6p1/8/1P5R/8/5P1P/6K1 w - -,a8d5
8/8/3p1k2/2pPn3/2P2K2/8/4B3/8 b - -,e5g6
1r2k3/1p2qpb1/p2p1n2/2pPn1p1/P3P3/2N1BPNb/1P1QB3/R3K3 b Q -,g5g4
2kr2r1/ppn1bp1p/1q2p3/3pPp2/5P1N/1NP3P1/PP2Q2P/1K1R3R w - -,h4f3
2r1r2k/4b1p1/qp4Qp/3BP1p1/7P/pP1N2P1/P4P2/3R2K1 b - -,e8d8
8/6k1/q5p1/3R2Np/P3N1nP/6P1/5PK1/8 w - -,d5d7
6k1/1p2b1pp/nP2p3/2PpNp2/N2P1P2/5P1P/6P1/6K1 b - -,a6b4
2r5/pp2p2p/2rp1k2/4p1pP/2N1P1P1/2P2P2/PP1K4/R2R4 b - -,c6c4
2k5/pp4p1/5p2/4p1B1/5n2/2P2r2/PPKR1P2/8 w - -,g5f4
4r1k1/pb2r3/1p1q1pp1/2pPb2p/2P2P2/4B1P1/P2Q3P/2R1RBK1 b - f3,e5b2
8/2b3k1/4p1pp/1p1p4/1P1P1PP1/n2N3P/5K2/4B3 w - -,e1c3
r1bqrnk1/1p2bppp/p1p5/3p4/1P1P4/2NBPN2/P1Q2PPP/1R3RK1 w - -,a2a4
6k1/4bp2/1q1p3p/1p2np1Q/p2rP3/7P/PP3PPB/1B2R2K b - -,d4d2
6rk/pp1rbp1p/3q1p2/4p3/3NP3/PB2Q2P/1P3PP1/R2R2K1 b - -,e5d4
2kr2r1/ppp3pp/2p1pn2/8/4P3/4bP2/PPP1K1PP/RN5R w - -,e2e3
1k1r2r1/3b1p1p/p3p3/1pQpPPq1/8/PNPB2p1/7P/1N2KR2 w - -,c5b6
r3q1k1/6pp/p1N1p3/b2b1p2/2RP1B2/PQ2P3/1P2KPPP/R7 b - -,d5c6
3R4/1p2rpk1/p1p1p1p1/4P3/2P3P1/1P6/P4P2/6K1 w - -,g4g5
r1bqk2r/p2p1p2/1p3n1p/2pp2p1/1bn5/2N2NB1/PPQ1PPPP/2KR1B1R w kq -,c3d5
3r2k1/p1p2p1p/3np3/3P4/R1P2P2/1r3B2/5PPP/5RK1 b - -,b3c3
8/5pkp/8/3p4/p2r1pP1/P2N4/4BK1P/8 w - -,d3b2
6k1/7p/2b3p1/4p3/1pPbP1P1/pP3PQq/P3K3/1B3N2 b - -,h3g3
8/1p1k1p1p/8/pq1PrP2/3Q2P1/8/8/3R1K2 w - -,f1g1
r2q1rk1/ppp1ppbp/2n3p1/3nPb2/2B5/2P2N1P/PP2QPP1/RNB1K2R w KQ -,e1g1
r1bq1rk1/ppp3bp/3p1np1/3P1p2/1nP1p3/2N1PNP1/PP2QPBP/R1B1K2R w KQ -,f3d4
5Q2/p5pk/1qp1N2p/3r4/8/5P2/PP3P1P/4R1K1 b - -,b6b2
4r1k1/5pp1/p4q2/1p1b4/6P1/1Q3P1P/PP6/6BK w - -,b3d5
r2qkb1r/p2p1p1p/2P3p1/2pQ4/4n3/5N2/1PP2PPP/R1B1K2R b KQkq -,e4f6
rnbq1rk1/1pp2pb1/3p1npp/4p3/1PP5/2NP2P1/4PPBP/1RBQK1NR w K -,c1b2
r7/2p4k/1p1p2p1/1PPPp2p/8/2R2P1P/3r2P1/4R1K1 w - -,c5d6
r2q1rk1/3b1pbp/2n1pnp1/pppp4/4P3/2PP1NP1/PPQN1PBP/R1B1R1K1 w - b6,d2b3
r3r1k1/ppp3p1/5n2/2b2b1p/5B2/1KP2P2/PP1N2PP/3R2NR b - -,f5e6
r1r2nk1/1b4qp/1p4p1/2ppPp1n/p2P4/1P2P3/PBRN1QPP/1B2R2K b - -,f8e6
r2qnr1k/pp4bP/2pp4/8/2P5/2NBB2Q/PP4PP/3R2K1 b - -,d6d5
6k1/5pp1/4p3/1p2P3/p1n1RBPP/P7/K1P5/6r1 w - -,f4g5
r4rk1/ppqbbppp/2n2n2/3p4/1PB5/P1N1BN2/5PPP/R2Q1RK1 w - -,c3d5
6k1/pp3RP1/2p1p3/4P3/8/1r6/6r1/2K2R2 b - -,b3a3
8/5bk1/8/3n4/P1B3p1/1P6/1K3R2/8 b - -,g4g3
2r3k1/7p/8/1pp5/3Q4/3P1P1P/6P1/4R1K1 b - -,c5d4
4rk2/Q4p2/1p4p1/P6p/3q4/5PBP/6PK/8 b - -,h5h4
8/p7/3k1pN1/2p4p/P5p1/6Pn/2r2PKP/5R2 b - -,c5c4
2rqr1k1/1p2ppbp/3pbnp1/p2n2B1/4PP2/1NP2B2/PP4PP/1R1Q1R1K w - -,e4d5
6k1/6b1/1p1r3p/p1pPp2q/P1P5/1P3QPP/3B2K1/5R2 b - -,h5g6
6k1/5p2/2N2b1p/5P2/2R5/1r6/4rPKP/3R4 b - -,b3b2
5rk1/6pp/P5p1/8/1PN1nPq1/4P3/8/R2RB1K1 w - -,g1f1
1R6/1p4pk/2b1p3/1P2r2p/P7/8/5K2/R7 b - -,c6d5
1r3r2/pbqnppkp/1p1p2p1/8/2P1P3/1P4P1/P2N1PBP/R2QR1K1 w - -,d2f1
6k1/5p2/1b4pp/1P6/3p3P/1N1Q2P1/q4P2/3K4 w - -,b3d2
3r2k1/1p3ppp/p1p2b2/3r3q/2QP4/1P2B1P1/P2R1P1P/3R2K1 b - -,h7h6
8/7p/p4p1B/4kPpP/6P1/1P3K2/3b4/8 b - -,d2b4
8/8/8/6p1/3K1knp/8/8/5N2 w - -,d4d3
r1b1r1k1/pp1n1pPp/8/3p2B1/3Pp3/5N2/PP4PP/R4RK1 w - -,f3h4
8/1p6/p1pb4/1k1p1p2/3P1P2/1P1KP1rp/4R3/R7 w - -,d3c2
r2r2k1/pp3ppp/1qp1pn2/8/2BP4/2P2Q1P/PP1R1PP1/3R2K1 b - -,a7a5
r4rk1/pp1n1pp1/2p1pnp1/q1Pp4/3P4/PP2PN1P/2QN1PP1/R3R1K1 b - -,a5c7
r3r1k1/3q2b1/p2p2p1/2pPnpB1/2P2R2/2N3Q1/P5PP/5R1K b - -,a8b8
2r5/1Rb1k3/R3p1p1/5p1p/5P2/6PK/P6P/8 b - -,e7d7
8/6pB/4k3/3p1pp1/5P2/4K1P1/7n/8 b - -,h2g4
2r2rk1/1pn3np/q1p3p1/p2pP3/N1P3b1/PP3NP1/1Q3PB1/3R1R1K w - -,b2c3
2r5/8/5p2/8/5p2/6k1/6Rp/7K b - -,g3f3
4rr1k/2b3p1/p1Pp1p1p/3Qpq2/1P1P4/P3P1P1/1B2NP2/2R3K1 w - -,c1c3
rn3rk1/p1qpbppp/bp2pn2/2p5/3PP3/P1P2N2/1P1N1PPP/RBBQR1K1 b - -,c5d4
6k1/5r1p/4n1p1/p1P1Q3/3P4/P6q/4RP2/6K1 w - -,e5e6
r2q1rk1/ppp2pBp/1n4n1/3P2p1/8/2N2P2/PP2BP1P/R2Q2RK b - -,g8g7
5bk1/q4p1p/5np1/pBpn4/Pr6/Q3P2P/3N1PPB/2R3K1 b - -,c5c4
8/2R5/6p1/3Pk3/p5PP/4KB2/Pr6/1b6 w - -,c7c6
8/1p3p2/p2Rb1k1/6p1/P3rpP1/1PP2N1P/5K2/8 b - -,e4e3
2r3k1/3nppbp/p2p2p1/1p1P4/4P3/1P3P2/P2BB1PP/5RK1 w - -,f1c1
r3kbnr/1pqb2pp/p2ppp2/6B1/3QP3/2N2N2/PPP2PPP/R4RK1 w kq -,g5h4
r4rk1/1p1nbppp/p4n2/4pp2/8/2N5/PPP1QPPP/R1B3K1 w - -,c1g5
rnbqkbnr/pp3ppp/2p1p3/3pP3/2P5/5N2/PP1P1PPP/RNBQKB1R b KQkq -,d5d4
r1b3k1/ppp2pbp/2n2np1/4p3/2B1P3/2N1BN1P/PPP2PP1/3K3R b - -,c8d7
r1bq1rk1/1p2bpp1/p1n1pn1p/4B3/2BP4/2N2N2/PP2QPPP/3R1RK1 b - -,f6d5
rn1qkbnr/pp3pp1/2p1p3/4Pb1p/2BP3P/8/PP2NPP1/RNBQK2R b KQkq -,f8e7:g8e7
8/p3r2k/1p4p1/2pBPp1n/P1P3R1/2P3P1/7P/7K w - f6,e5f6
4r1rk/ppp1q3/7p/1P2p3/P1B1P3/2P5/2Q2PnB/2R4K b - -,g8g5
r5k1/pp1b1rpp/2n1p3/q2p1PQ1/3P4/P1Pp1N2/2PB1P1P/R3K1R1 w Q -,f5f6
2k5/1R6/8/4K2p/b3B3/2P2P2/8/7r w - -,b7a7
2R2r2/p3ppkp/B2b2p1/p2P4/P3P3/5P2/5P1P/6K1 b - -,f8c8
r4rk1/R2b2p1/2p1p2p/4p2q/1p2P3/5NP1/3NQP1P/R5K1 b - -,a8a7
8/1R3pkp/5r2/3p4/Pp3PK1/4R3/7P/1r6 b - -,g7g6
rn1qkb1r/3ppppp/b4n2/1BpP4/8/2N1P3/PP3PPP/R1BQK1NR b KQkq -,a6b5
r3nrk1/pp1b1ppp/2n5/q2p2B1/2P5/3B1N2/P4PPP/R2Q1RK1 w - -,c4d5
3qb3/1Q6/1p1bp1pk/1P1p1p2/3P1P1P/2B1P3/3KB3/8 b - -,d8c7
5k2/pb5p/1p2r3/2p3r1/2P3N1/1PBK4/P3B3/5R2 b - -,f8e8
8/7p/1k1p2p1/1b1P1pPP/3K1P2/5B2/8/8 b - -,b5e8
1rq3k1/2r2pb1/4b1pp/2Npp3/1P6/1Q1P2P1/5PBP/1R3RK1 w - -,c5e6
1r4k1/3b1pqp/3p2p1/2nPp3/2p1P1P1/1pP1QPN1/1P2B1P1/6KR b - -,d7b5
r1r3k1/1bqp1p1p/4p1p1/p6n/Pp2PP1Q/1N1B4/1PP3PP/4RR1K b - -,c7d8
rnbqr1k1/1p3p2/p2p1n1p/2pP2p1/P7/2NBP1B1/1P3PPP/R2Q1RK1 w - -,e3e4
2rq1rk1/1p2ppbp/3p2p1/1PnPn3/p1P5/N3BP2/P2QB1PP/1R3R1K b - -,c8a8
rn1q1rk1/pp3ppp/2pbpn2/3p4/2PP4/3BPQ1P/PP3PP1/RNB2RK1 w - -,b1c3
rr4k1/1q1nnpb1/1p1p2pp/1PpPp3/4P3/1QBP1NP1/5PBP/R4RK1 b - -,f7f5
8/3R2Rp/p4p1k/1r6/1P6/7P/P5PK/5r2 w - -,g7h7
1k1rr3/1p3ppp/1pp5/3pPb2/PP6/6P1/4PPBP/R1R3K1 w - -,f2f4
rn3rk1/pp1qppbp/3p1np1/8/3NP3/2N1BP2/PPP3PP/R2QK2R w KQ -,d1d2
rnbqk2r/1p2bp2/p2pp3/4n1p1/3NP3/2N3B1/PPP2QPP/2KR1B1R b kq -,b8d7
8/6p1/5k1p/7P/6KN/2b5/8/8 b - -,c3d4
2r1nrk1/1bqpb1pp/4p1n1/p7/1p1NP3/3BBP2/PPPQ4/1K1R2NR b - -,a5a4
3r2rk/pq3p1p/1p3bpB/2pn1P1n/P7/1B3Q2/1P2NP1P/2R3RK b - -,d8d7
r2q1rk1/1pp3pp/p2p1p2/2b5/2PnP3/1P4PB/P3NPKP/R1Q2R2 w - -,e2f4
r1b2rk1/p1p1q1b1/3p3p/3PnPpB/2P5/4B3/P1Q2P1N/RN2K2R b KQ -,c8f5
3r1k2/5pp1/p2rBq1p/1p1pR3/2pP4/2P3P1/PP1Q1PP1/4R1K1 b - -,d6e6
