8/6k1/R5p1/8/4KP1P/p7/P6r/8 b - -,h2a2
6k1/3b3p/p1nP2p1/1r3pR1/1p4P1/7P/1P1RNPK1/8 b - -,g8f7
2rq1rk1/1p1nbppp/p1n1p3/3p1b2/N2P1B2/P3PN2/1P2BPPP/2RQ1RK1 w - -,b2b4
2kr3r/nppb1q1p/4pb2/3pB3/7P/6Q1/PPP1BPP1/2KR2NR b - -,f6e5
r2qr1k1/p1p2pbp/bp1p2p1/4n3/3N4/2P3P1/2Q2PBP/1RBR2K1 w - -,d4c6
5r2/4ppkp/2Np2p1/5b2/2P1n3/4P3/1r2BPPP/R4RK1 w - -,e2f3
r7/1p2rbk1/p1p1npp1/2Pp4/PP1P2P1/3BP2P/6NK/2R2R2 b - -,e6g5
8/7p/K7/7P/P1R2p2/6k1/1rp3P1/8 b - -,g3g2
8/1k5p/2p3p1/Pp1p4/1B1P2pP/3P1P2/1n1K4/8 w - -,f3g4
8/8/5k2/6pp/P3KPP1/1Bb4P/8/8 w - -,f4f5
2rq1rk1/pb1p2p1/1p1bp2p/n3Pp2/2PR2nP/P1B2N2/1PQ1BPP1/4K2R w K -,e5d6
7k/6pp/5p2/4p2N/p3P1Pn/b1q5/1P3Q1P/1K6 b - -,a3c5
6kr/pp4p1/2pb2n1/6N1/3PR2P/7B/PPP2P2/2K5 b - -,h8h4
5brk/q4p1p/5p2/1pn1pN1B/3pP3/2nP2PP/P1Q3RK/5R2 b - -,b5b4
rnbqk2r/pp3p1p/3b1np1/2P1p3/2Pp3P/8/PP2PPP1/R1BQKBNR w KQkq -,c5d6
2br2k1/1p4pp/4P3/rB1p1R2/P7/8/5PPP/4R1K1 b - -,a5b5
6k1/r5pp/2p2p2/8/2b1P1P1/5PKP/8/R7 w - -,a1a7
r1n2k2/1p4rp/p1b3p1/8/4N3/1P4P1/P4PBP/2R1R1K1 w - -,e4c5
r3r1k1/1p1nqpp1/2pp1np1/p2Pp3/2P5/P1N1PP2/1PQN2PP/1R3RK1 w - -,d5c6
rnb1k2r/1pqp1ppp/p3pn2/2b5/2P5/2N1PN2/PPQ1BPPP/R1B1K2R w KQkq -,e1g1
8/2R1p3/3pkp2/p7/1p1P2p1/1P2KrP1/P4P2/8 w - -,e3e2
8/3k1p2/2q1p3/2BpPp1p/3P1P2/NQ5P/6r1/3K4 w - -,a3b5
r1bq1rk1/1p2bppp/p2ppn2/6B1/3QP1P1/2N2P2/PPP4P/2KR1B1R b - -,d8a5
r2q1rk1/4bppp/b1p1pn2/p1Np2B1/4P3/3P1N2/PPQ2PPP/R4RK1 w - -,f1d1
rn2kb1r/pp2pppp/2p5/q2p1b2/3PnB2/1P1BP3/P1PN1PPP/RN1QK2R w KQkq -,d3e4
r7/p1q3kp/3pQ1n1/1ppP4/2N5/2P3P1/PP5P/5RK1 w - -,c4d6
r3kb1r/ppN2p1p/1n1p2p1/8/6b1/1nP2N2/1P3PPP/R1B1KB1R b KQkq -,e8d8
r5k1/2rq1pbp/3p2p1/pP2p3/P3P3/7P/3Q1PPB/R4RK1 b - -,c7c4
1R6/5kpp/4p3/5p2/3P4/4rP2/6PP/6K1 w - -,g1f2
r3r1k1/3n1pp1/qpp2n1p/3p4/P2P4/1QN1P2P/3N1PP1/1R1R2K1 w - -,d1c1
r1b2rk1/1p2qppp/2p5/p2p4/3Pn3/1P1BPN2/P1Q2PPP/R4RK1 w - -,f3d2
3r2k1/p3pp1p/1p4p1/2p5/P1P5/2b3P1/3RPP1P/1R2K3 w - -,b1b2
3r1rk1/pb6/1p2nqpp/5p2/2P1p2P/PP1p2NR/3Q1PP1/1R3BK1 b - -,f5f4
1r4k1/2q2rb1/3p1npp/pB1Pp3/P1P5/4BQ1P/6P1/R4RK1 w - -,f3g3
3r2k1/6pp/1p2pq2/2bp4/8/4P3/Q4PPP/R4BK1 w - -,a1e1
1r4k1/q2r1pbp/2p2Pp1/p7/3P4/PBp4P/1PQ5/3R1RK1 b - -,g7f8
5r2/6kp/6p1/p7/2p1B3/2P4P/r3R1P1/4R2K b - -,a2a3
r7/8/3kp3/2n5/4PNp1/1pb1R1P1/7P/1B1K4 b - -,c3d4
8/k7/8/PK6/1NB5/8/8/6r1 w - -,b4c6
r1b2k1r/pp3p2/2nNp2p/6p1/3bP3/P5B1/5PPP/2KR1B1R w - -,d1d4
5B2/2P4p/1n6/3kpK2/6P1/5p2/5P2/8 w - -,f8g7
3B4/8/1R2p1k1/p1p2b2/P1P1pP2/4K2r/8/8 w - -,e3e2
r1r3k1/p2bpp1p/6p1/p1P5/8/1NP1P3/P4PPP/R2R2K1 b - -,d7e8
3r1rk1/p3npbp/2p1n1pB/2ppq3/4P3/2NP2PB/PPPQ1R1P/5R1K w - -,h6g7
r1b2rk1/pp1p1ppp/2n1p3/4n3/1qPN1B2/4P3/1PQ1BPPP/3R1RK1 b - -,f7f6
4r1k1/p4pp1/1p1Rp1n1/1P2P3/2P2P1p/1Q3NP1/P4K1P/2q5 b - -,e8c8
r1bq2k1/pp1n1rbp/3p2n1/1N1Pp1p1/1P2Pp2/5P2/P3BBPP/R2QNRK1 b - -,d7f6
6q1/1K6/2P3pk/5p1p/3Q3P/8/8/8 b - -,g8b3
rnbqkbnr/1p3ppp/p3p3/3p4/3PP3/5N2/PP1N1PPP/R1BQKB1R b KQkq -,d5e4
r4qkb/pb1rpp1p/np1p2p1/1N1N3n/2P1P2Q/4BP2/PP1RB1PP/3R2K1 w - -,h4h3
1r6/8/4p1k1/4B1P1/p1b1PP2/P3K3/8/8 w - -,e5b8
rnbqkbnr/pp2pppp/2pp4/8/3P4/2P2N2/PP2PPPP/RNBQKB1R b KQkq -,c8g4
k1r4r/3R4/1p2bp2/1N3n2/1N4p1/4P2p/1P3P2/1K1R4 b - -,e6d7
1r3rk1/pb3pq1/2pNp1p1/2PnR2p/P7/1B4QP/1P3PP1/3R2K1 w - -,b3d5
3r1rk1/pp2qp1p/2p3p1/3nP3/3PB1PP/3R4/PP3Q2/5RK1 b - -,e7e6
r1b2rk1/pp3ppp/1q6/8/5P2/2Q4P/PP3PB1/3R1RK1 b - -,c8e6
3qnrk1/pr1b2pp/1p1p2n1/2pPp3/2P1B3/2P1NPP1/PR5P/2BQR1K1 b - -,e8f6
8/3b1p2/6p1/p1p1k2p/1p3N1P/2PPKP2/PP4P1/8 b - -,d7f5
2r1k1r1/p4pBR/1p2p3/2npPN2/q7/P1P2Q2/2P2PP1/R3K3 b Q -,e6f5
8/5pk1/3R3p/4np2/8/6PP/1P1NbP2/4rBK1 w - -,f2f4
B2r4/P2n1pkp/3N2p1/1R6/8/B5P1/5PKP/8 b - -,d8a8
r3r1k1/1pqnbppp/p2p4/3Pn1P1/5B2/1N5P/PPP1Q3/2KR1B1R w - -,h3h4
r1b2rk1/ppp1q1bp/2np1np1/5p2/1PPPp3/2N1P2P/P2NBPPB/1R1Q1RK1 b - b3,c6d8
1r3rk1/2q1bppp/p3p3/2p1P2P/nnPp1B2/3P1BP1/P2Q1P1N/R3R1K1 b - -,b8b6
r2qr1k1/pp1bbpp1/2n1pn1p/1BPp4/3P3B/2N2N2/PP3PPP/2RQK2R w K -,e1g1
6R1/8/5k2/8/1r4pp/8/6PK/8 b - -,f6f5
1r3rk1/3n1pn1/1q1p1bpp/p1pP4/2P2PP1/1P3Q2/3BN1BP/1R3R1K w - -,f3h3
r5k1/pp3pp1/2pnr3/3p4/1P1B2q1/P3P1P1/1Q3PP1/2R1R1K1 b - -,d6c4
1rr3k1/pp1q1pp1/1n1Pn1p1/8/7P/5BP1/PP4Q1/3R1RBK w - -,b2b3
8/1p6/pR6/P1k3K1/1n6/8/8/8 w - -,b6b7
1rb1r1kb/p3pp1p/q2p2pB/2pP4/2n5/2N3PP/PP2PPB1/R1Q1R1K1 w - -,b2b3
3r1rk1/ppq1bpp1/2p1p1p1/2n1P3/8/1P2Q3/PBPN1PPP/R3R1K1 w - -,d2f3
1q2rbk1/1b1n1ppp/5n2/1N2pN2/4P3/1P4PP/P1rBQ1BK/4RR2 w - -,b5c3
r1bqkb1r/ppp3pp/2n2p2/3p1p2/3P4/2N1P3/PPP2PPP/R2QKBNR w KQkq -,d1f3
8/p4pk1/1p2q1p1/2p1P2p/7Q/7P/P3R1B1/3r3K w - -,h1h2
r1b2nk1/4qrpp/p3p3/3pP3/Ppp5/2P1B3/1PB1QPPP/R4RK1 w - -,c3b4
2n2r2/5rbk/1pq3pp/p1pRp3/P1P1P3/2PR1PP1/5B2/3Q1BK1 b - -,c8e7
r5k1/1pp1qr2/3p1npb/p1nPp2p/2P1Pp2/1P3B1P/PB3PPN/3QRRK1 w - -,g1h1
2r2rk1/pp3ppp/1q2p3/3pPn2/3P1P2/1P3N2/PBn3PP/RQ1R2K1 b - -,c2a1
8/5k2/6p1/1R6/1P3r1p/4p2P/6P1/4K3 b - -,f7f6
3q2k1/p1r2ppp/2p2n2/2p5/2PpPbb1/1P1P3P/P4QB1/R4RK1 w - -,f2f4
r3nrk1/pppq2bp/2np2p1/3Np1B1/1PP5/3P2Pb/P2QNPBP/2R2RK1 b - b3,h3g2
8/5pkp/6p1/r7/PQp5/6P1/2R2P2/3q2K1 w - -,g1g2
1k6/8/1BK5/8/N7/8/8/8 w - -,a4c5
r2qk2r/p2nbppp/3p4/p1pPp3/2n1P3/1NN4P/1PP2PP1/R1BQK2R w KQkq -,d1e2
r2b4/r1p2k2/1p1p2p1/1P1Pp2p/P3q2P/R1B2PP1/6K1/R7 w - -,f3e4
3r2k1/2Q2p1p/B3p1p1/7n/4Np1B/1R3K1P/P1P3P1/2q5 b - -,d8d1
r4rk1/pp1q1pbp/2pp1n2/5bp1/2P5/1PNP2P1/PB1Q1PBP/3R1RK1 b - -,h7h6
2b5/2P5/8/pB6/P3P3/5p2/3K2k1/8 b - -,f3f2
r3kb1r/p2p1p2/n2Pp3/q1p3Qp/bpP3pN/1P4P1/P3PPP1/2R1KB1R w Kkq -,h4g6
r2q1n1r/4nkb1/b5pp/pp1p2B1/7P/1BP2NP1/PP3P2/R2QR1K1 b - -,h6g5
2nRrbk1/5rp1/pp5p/2p2p1Q/2n2P2/4P1P1/P5NP/BR4K1 b - -,e8d8
r1bqk2r/1p1p1pp1/p1n2n1p/3Np3/4P3/3BbN2/PPP2PPP/R2Q1RK1 w kq -,d5e3
8/8/1p4R1/5p2/2P4p/3K3k/2P4P/1r6 w - -,g6f6
r2qr1k1/5p1p/3p2p1/2pPn3/3bP3/1R1B3P/5PP1/1RBQ2K1 w - -,d3b5
2bqr1k1/1p1p1ppp/2pr4/p1bNB3/2P5/1P2PBP1/P3QP1P/R4RK1 b - -,e8e5
1r1r1q1k/1b4bp/pN1p1np1/PnpPp3/2B1N1Q1/7P/1P3PPB/3RR1K1 w - -,e4f6
r1bq1rk1/1p1p1ppp/p1n1p3/2b5/P1BpP3/3P4/1PP1NPPP/R1BQ1RK1 w - -,e2g3
8/5pp1/P1b4p/2k5/5P1P/3BK1P1/8/8 b - -,c5b6
8/2k5/Kp2P3/1Bp3bp/P1P5/1P5P/8/8 b - -,g5d8
3rrbk1/2qb1ppp/2pp4/p3n3/4PN2/1P2BP2/P2QB1PP/2RR2K1 w - -,f4d5
3br1k1/5ppp/2q5/3b2N1/4p3/P3B1P1/5P1P/1Q1R2K1 w - -,g5h3
6k1/6pp/8/1R3p2/5P2/1P3KP1/7r/8 w - -,b5f5
2kr1b1r/pp1n1ppp/2pq4/3np1N1/2BP4/PQ2P3/1P3PPP/1RB1K2R w K -,e3e4
2r2rk1/1p3ppp/pqn5/3b2B1/P7/1P6/2Q1BPPP/2R2RK1 b - -,c6d4
8/N3r2p/1p3kp1/2b2p2/2P1b2P/3BP1P1/P3RK2/8 w - -,d3e4
r1b1r1k1/ppp2pbp/6p1/4n1B1/4R3/5NP1/PPP2PBP/R5K1 w - -,f3e5
3qrn1k/1br2p1p/p2b2p1/1p1p1PP1/2pP1N2/1P2PQ2/P5RP/1BB2RK1 w - -,b3b4
4k3/2n1b3/1pn1p1pp/p2pPp2/1P1P1P1P/P2K1NP1/1BN5/8 w - -,d3c3
8/5k2/PR3p2/r5p1/1N1n2P1/4KP2/8/8 b - -,d4e6
4r3/3b1kpp/4pp2/2Np4/3N4/2P4P/P4PP1/1r2R1K1 w - -,e1b1
2rr2k1/pp1q1pp1/5n1p/P1PP1n2/4pNb1/N5P1/1Q3PBP/2R1R1K1 b - -,d7a4
r1b1r1k1/3p2pp/3q4/B2Ppp2/2p5/5P2/PPP3PP/1K1RQ2R w - -,a5b4
r2qr1k1/p1pb2bp/Q1p2p2/3p4/2PN4/8/PP3PPP/R1B2RK1 b - c3,d8c8
r1b2rk1/ppbnqppp/5n2/2Ppp1B1/3P4/2NB1N2/PPQ2PPP/R4RK1 b - -,e7e6
3r3b/7k/5p1P/pp1r4/5B1P/P2pR3/1P1R1P2/1K6 w - -,f4c7
r2r2k1/2BP1pbp/6p1/8/1q2P3/N6Q/1P4PP/3RR1K1 b - -,g7d4
5k2/6p1/p1p4p/2Rb4/1P1P1nP1/5P2/PP6/5K2 w - -,b2b3
r2r4/p4pk1/1p3qp1/2pPn2p/Q7/7P/PP2BPP1/3R1RK1 w - -,f2f4
r1b2rk1/pp3pp1/5n1p/3pq3/8/2BBP3/PPQ2PPP/R4RK1 b - -,e5e7
r1b1k2r/p4p2/1p2p1pp/q2pP3/3NP3/P1P4Q/5KPP/n1B2B1R b kq -,a5c5
r3r1k1/p4ppp/2p1bn2/q2p4/2PQ4/P1P1BP2/5KPP/R4B1R w - -,e3g5
1rbq1rk1/1p2ppbp/p2p1np1/2pP4/P1P1PP2/R1N3PP/1P2Q1B1/2BR2K1 b - -,f6e8
2r3k1/1prn1b1p/p2p1q2/P2Ppp2/2P3p1/Q4B2/1P1N1PPP/3RR1K1 w - -,f3e2
8/p4ppk/7p/8/P2PR3/1r5P/5PP1/6K1 w - -,e4e7
r1bqnrk1/p5bp/1p1p1np1/2PPpp2/2P1P3/P1N1BP2/3NB1PP/R2Q1RK1 b - -,b6c5
5k2/p4bp1/1p1n1p1p/1Pp1pP1P/P1P1P1P1/3K4/8/2R5 w - -,c1c2
4r1k1/1b3nb1/1NqPp1p1/8/1p2p1Q1/PP1R4/5PP1/3R2K1 w - -,d6d7
r1b2rk1/1pp1qpb1/p5pp/4p3/3PP3/1Q1P1N2/PP3PPP/R1B1R1K1 b - -,e5d4
2rbk3/4qpp1/1p1p3r/pRpPp1p1/P1P1PnP1/2P1BP1P/7R/2QK1B2 b - -,e7f6
8/8/8/7k/1R5P/2r3P1/6K1/8 w - -,b4b5
r2q1rk1/pp2bppp/2pp1n2/7b/4PB2/1PNP1N1P/1PP3P1/R2Q1R1K w - -,d1e1
8/8/1p6/1P1n2Bp/2KPk1p1/1P6/7P/8 b - -,d5f4
rnbq1rk1/1p1p1pbp/p3pnp1/6B1/2PN4/2N3P1/PP2PPBP/R2Q1RK1 b - -,h7h6
r1bq1rk1/ppn2pbp/3ppnp1/2pP4/2P1P3/2NB1N1P/PP3PP1/R1BQ1RK1 w - -,d5e6:f1e1:c1g5
8/5p2/4p1p1/4P1P1/1pPk1PK1/1P2p3/4Bb2/8 w - -,g4f3
4rr2/p1pb2kp/1p1p2p1/3B4/2PR4/1P4P1/P3PPK1/3R4 w - -,d4e4
5r2/p4pk1/2p1b3/1p2p1q1/2Pb2P1/3B1R2/PPQ2P1P/1K5R b - -,f8b8
r2q1rk1/pp3pbp/5np1/2P1p3/1PBn4/2NQB2P/P1P3P1/R4RK1 w - -,e3g5
8/4rppp/2k5/1p2P3/3R4/2P5/5KPP/8 w - -,d4f4
5RR1/2p1r3/7p/1p1rk3/8/6P1/8/6K1 w - -,g8g6
r1b1k2r/5pp1/p3p2p/1p1n4/2nN2P1/P1P2P2/2PB3P/2K1RB1R w kq -,f1c4
2r3k1/p1q3pp/1p3n1r/2p5/3Pp3/2N1P1P1/PP2Q2P/3R1RK1 b - -,h6g6
4r2k/7p/1p1B1np1/8/2r2P2/P7/4P2P/1R2K1R1 w - -,d6e5
2r1kb1r/qb1n1p1p/p1n1p1p1/1pppP3/3P1P2/P1N1BN2/1PPQBRPP/3R2K1 w k -,e2f1
2rr1k2/1b3pp1/1p2p2p/pB2P1P1/Pp1P3P/4P3/1P6/2R2RK1 b - -,h6g5
r2qkb1r/1p1b1pp1/p1npp2p/8/4PP2/2N2N2/PPPQ2PP/2KR1B1R w kq -,g2g4
4b3/8/3k4/1p3Pp1/1P1K4/P7/8/5N2 b - -,e8c6
1r6/3n1ppk/6bp/4p3/1pN1P3/1Bq2PPP/Q5K1/3R4 w - -,d1d7
2k2r1r/1p5p/p7/5n2/P1p1QN2/2P5/1RP3P1/R6K b - -,f5g3
4Qqk1/1p4p1/8/8/4p3/6P1/P4P1P/6K1 w - -,e8f8
8/p5kp/5pp1/8/P7/1P4P1/3r1P1P/5BK1 b - a3,d2b2
2rrb1k1/1pq1bpp1/p2ppnnp/8/2PNP3/1PN1Q1PP/PB1RBP2/3R2K1 w - -,g1h2
2r2r1k/ppp1R1p1/3pRn1p/7P/2P3q1/P2Q2P1/1PB2P2/6K1 b - -,h8g8
r1q1kb1r/5pp1/1np1p3/p1NpPb1P/Pp1P2n1/1P2BN2/2PQBP1P/R3K2R w KQkq -,e3f4
r1b2bk1/1p2qr2/1B1p1nn1/PN1Pp2p/1P2Pp2/5Pp1/4B1PP/2RQNRK1 w - -,b5c7
qr4k1/3Q1pbp/3p2p1/3P4/4P3/6N1/1P1N1PPP/6K1 b - -,a8a6
6k1/4npp1/2p5/4P2p/2R2P2/7P/r5P1/2B3K1 w - -,g2g4
8/8/2pk3p/p1pp2p1/P1P3P1/1P1n1K1P/3N4/8 w - -,f3e3
3k4/1K5R/1P6/6P1/7p/8/6r1/8 w - -,h7h4
4b3/p7/1p6/3pk3/6PP/P3P1K1/1P3P2/8 w - -,f2f4
8/4k1p1/4pp1p/8/4K1P1/5P1P/8/8 b - -,e7f7
r1bq1rk1/pp2bppp/2n2n2/2pp4/3P4/2N1PN2/PP2BPPP/R1BQ1RK1 w - -,d1c2:f3e5
5rk1/r3np1p/2pq1np1/pp1p1b2/1P1P1N2/P1NBP3/1RQ2PPP/2R3K1 b - -,f8a8
5rk1/r1pnqpn1/1p1p2pp/pP1Pp3/2P1P2N/P4BPP/2Q2P1K/4RR2 w - -,f3d1
8/5p2/5k2/4p2p/4Bp1P/4bP2/P1R4K/3r4 b - -,e3g1
4B3/8/1n1k1p1p/1P2p1pP/1K2P1P1/5P2/8/8 b - -,b6c8
r3brk1/2p3p1/1p1p1q2/p2PpPb1/P1P1B3/1P4PN/4Q1K1/4R2R b - -,e8d7
8/pk3q2/1b5p/8/PQ6/7P/1PP2N2/1K6 b - -,f7f2
8/1Q5p/5pp1/P1k5/8/4K2P/6P1/5q2 w - -,b7b6:b7c7
3r1bk1/1p4pp/8/p2qN1Q1/P7/6P1/5P1P/2R3K1 w - -,g5h5
r1q2rk1/2p2pbp/1pnp2p1/p3p3/P1PP4/1NP1B1PP/R3PPK1/3Q1R2 w - -,b3a1
5r1k/r5pp/4Qpb1/2qp4/2p4P/5PN1/6P1/2R1R2K b - h3,c5d4
2r5/1p1k4/pq2pPn1/3pP3/3P4/P3B1pP/1P2B3/3Q2K1 w - -,d1b1
r2qk2r/1p1n1ppp/p1pbpn2/3p4/2PP2b1/3BPN2/PPQN1PPP/R1B2RK1 w kq -,b2b3
rnb2rk1/ppq1p1bp/2pp1np1/5p2/3P4/1P3NP1/PBPNPPBP/R3QRK1 b - -,a7a5
rnbBr1k1/pp3pp1/2p4p/3p4/3P4/3BP3/PP2NPPP/R2n1RK1 w - -,f1d1
r1r3k1/3q1pbp/3p1np1/2n1p3/8/P1N1PP2/1PQBN1PP/R1R3K1 b - -,e5e4
b3r1k1/6pp/qpr1p3/2n1Pp2/2P5/P4P2/2RQB1PP/1R4BK b - -,a6a7
3rr3/pp3pk1/5qb1/b1pnp1pp/4P3/1BPP1Q1P/P2R1PPB/3R2K1 w - -,b3d5
8/r2k2p1/4p2p/5p2/3P1P1P/1R2PP2/4NK2/8 b - h3,d7e7
7r/6k1/3p4/2pP4/4Pp2/2PK1P1p/7R/8 w - -,d3e2
r2q1rk1/1p3p2/1npb1np1/5pN1/p2P4/P1N3P1/1PQ2PBP/3RR1K1 w - -,h2h4
rnbq1rk1/pp2ppbp/6p1/2pn4/8/1QN2NP1/PP1PPPBP/R1B2RK1 b - -,d5b6:d5c7:d5c3
8/3R1p2/1p2rkpp/p7/4P3/n5P1/6KP/5R2 b - -,f6e5
8/1pkr1p1R/8/5R2/1p1b1p2/8/PPP5/4K3 b - -,d4b2
8/ppk2pp1/2p2r2/2n3p1/8/6PP/PPPR1PB1/2K5 b - -,c5d7
2r5/5pk1/p1P4p/2B2Pp1/1P1KN3/8/7P/8 b - -,c8c6
8/8/8/4k3/1K6/2N2b2/1P6/8 w - -,b4c5
2r1rbk1/5p2/pB4pp/Ppn5/4q3/2P4N/1P4P1/1Q1R1RK1 w - -,b1e4
2rr4/1bq2pk1/1p3b1p/4pPN1/1nN1P1P1/P2BQ1K1/1B5R/3R4 b - -,f6g5
r1bq1r2/1pnn1p1k/3p1bpp/p1pPp3/2P1P3/PPNB2P1/3B1PNP/1R1QR1K1 w - -,g2e3
6k1/6p1/1p2Pr1p/p4P2/P3Q1P1/1P4K1/4qN2/8 b - -,e2e4
1r2B1k1/8/1n1Pp2p/1p6/2p2P2/7P/1P4P1/3R2K1 w - -,e8b5
r4rk1/p2q1pb1/3p2pn/1ppP1nNp/5P2/3B2PP/PP1B1PK1/1R1Q1R2 b - -,f8e8
rnbqk2r/pp2p1bp/2pp1np1/5p2/2PP4/2N3PN/PP2PPBP/R1BQ1RK1 b kq -,e8g8
rn4k1/1b2bp2/4pn1p/1Nr3p1/3N4/P3P1B1/1P3PPP/1R2KB1R b K -,b7e4
r1bqkb1r/pppn2pp/2n1p3/3pPp2/3P4/1P3N2/PBPN1PPP/R2QKB1R w KQkq -,c2c4
4qn1k/pb2b1pp/1p2Pp2/2p2N2/P7/1P1Q2P1/1BB2P1P/5K2 b - -,g7g6
1rb2rk1/2qn1pbp/3p2p1/1pp1p2n/3PP3/2PB1N1P/1P3PPB/2RQRNK1 b - -,c7b6
1k1r4/pp2bpr1/1qn1p3/2ppP3/3PB3/1PP1BNPp/P2Q3P/R4R1K b - -,d5e4
r3r2k/1p4bp/8/3Nqp2/2P5/p2Q1P2/P3BB2/3RK3 w - -,e1f1
6R1/4pp1Q/3p1k1p/3P2p1/2K5/8/8/3q4 b - -,d1a4
3r2k1/pb3pb1/1p2q1pp/n7/4PN2/3BBP2/P5PP/1Q1R2K1 b - -,e6e7
2k3r1/pp1q4/5p1p/3p4/2p2Q2/P1P5/2P3rB/4RR1K b - -,d7c6
1r1q2k1/4npp1/4r3/p2pP1np/2pP4/PpP2P1N/4R1PP/1Q1R2K1 w - -,h3g5
1n1q2k1/pb3ppp/1p2p3/2b3N1/8/1P2P1P1/PB2QPBP/6K1 b - -,d8g5
3r4/1p3k2/p1p2bp1/7n/PP4RP/2B2P2/2K1N3/8 w - -,c3d2
5rk1/1p1n2bp/1p1P4/4rp2/1P2pB1N/7B/P4P1P/3R2K1 b - -,e5b5
r1bq1rk1/2p2nbp/p2p4/p1PPp1p1/NP2Pp2/P4N2/2QB1PPP/R4RK1 w - -,c5d6
2r1n1k1/3q2p1/p2Pp2p/1p3p2/P3QB2/1P5P/5PPK/3R4 w - -,e4e3
r1b2rk1/ppq3bp/2p1n1p1/2P1pP1n/8/1PN1BNPP/P3QPB1/R2R2K1 b - -,g6f5
rn1qk1nr/1bp1ppbp/p2p2p1/1p6/3PPP2/P1N2N2/1PP1B1PP/R1BQK2R b KQkq -,b8d7
1rb2b2/1p3n1p/3k4/1P1PpprP/2B3p1/6P1/3N1P1N/R3R1K1 w - -,c4b3
2rq1r1k/1b1nbppp/p2ppn2/1p6/3NP3/P1N1BPQ1/1PP1B1PP/3R1R1K b - -,d8c7
r1b1rbk1/1p2qpp1/p2p1n1p/2pPn3/P3PB2/2N2N1P/1P3PP1/R2QRBK1 w - -,f3e5
r1bqk1nr/pp1nb1pp/2pp4/3P1p2/2P1p3/2N3PN/PP2PP1P/R1BQKB1R b KQkq -,d7e5
1rb2r1k/3p3p/pp2p2b/5p2/7n/1BP2P2/PPN3PP/1KNRR3 w - -,e1e2
r1b1r1k1/bpB3pp/p3pn1q/3pn3/N7/3B4/PPP1QPPP/4RRK1 w - -,e2e5
1r2r1k1/1p3pp1/1Qp4p/8/PPq1B3/6PP/5P2/R3R1K1 b - -,e8e4
r3k1nr/1bqpbppp/p1n1p3/8/Pp2P3/3BBN2/1PP1QPPP/R2N1RK1 b kq -,g8f6
r2qr1k1/1b3pbp/1p2p1P1/p2p4/1n1P1PP1/3BBN2/1PP4Q/1K1R3R b - -,h7g6
1q3rk1/1p1n1p2/2p2npp/1PP5/2QN4/2N4P/5KP1/4R3 w - -,d4f3
1r3rk1/pp2q1bp/3ppnp1/1Np5/Pn2PP2/5N2/1PP1Q1PP/R1B2RK1 b - -,a7a6
r1bqrnk1/1p2bpp1/p1p2n1p/3p4/3P1B2/2NBPN2/PPQ2PPP/2R2RK1 w - -,h2h3
2r3k1/2qnrp1p/p2p2pb/3b4/2P5/PN1B1NP1/2Q2P1P/3R1RK1 w - -,c4d5
