8/7k/p7/3p1n2/3P4/5N2/1PR1K1P1/3r4 b - -,d1b1
8/6pk/1p4qp/p3n3/P2pPQ2/7P/1P2R1P1/6K1 b - -,d4d3
r1bq1rk1/3nppbp/1p3np1/pPpp4/2PP4/4PN2/PB1NBPPP/R2Q1RK1 w - -,f3e5
r1bqkb1r/pp1n1ppp/2n1p3/3pP3/3N4/5N2/PPP2PPP/R1BQKB1R w KQkq -,f1b5:c1f4:d4c6
5rk1/p4ppp/3Q4/1p3qP1/8/R1P5/1P4rP/2KR4 w - -,d6d3
8/8/4k1p1/5p2/5P2/R4K2/8/5r2 w - -,f3e3
r2q1r2/pb3p1k/1pn1PPpp/3p4/3P4/PN1B4/1P1Q3P/2R2RK1 b - -,f7e6
2b2rk1/pp4p1/6p1/3p4/3Nn3/1P6/P4QPP/R3R1K1 b - -,e4f2
4rrk1/ppp1q3/2n2n1p/2p2Qp1/8/2P1P1B1/P3NPPP/R3K2R w KQ -,e1g1
2rq4/pp4kn/n2p4/2pP1r2/2P5/5N1P/PP1Q1PP1/4RRK1 w - -,e1e4
2rqr1k1/pp6/2p1ppp1/4Q3/2PP4/1P3R2/P4PPP/6K1 w - -,f3f6
5r2/pp2kp2/4n1p1/3pP1p1/3N4/P6P/1P3RP1/5RK1 b - -,e6d4
2Q5/8/8/6p1/8/6kP/3K4/5q2 b - -,f1h3
8/4KPb1/3B2k1/8/8/8/8/8 b - -,g7h6
8/p2k3p/4p1p1/2P5/1n6/2N2P2/3K2PP/8 b - -,d7c6
7r/r1p5/p2b1kpp/Pp2p3/4P2N/7P/1PP3P1/2KRR3 w - -,e1f1
6k1/6p1/5p1p/7P/1KP1Q3/8/q5P1/8 w - -,c4c5
7r/pp2b2p/2k5/3p2r1/n2q1N2/5Q2/P2B2PP/R4R1K w - -,a1e1
r4rk1/1pqn1pb1/3p1np1/p2P4/2P3pQ/1N2B3/PP4BP/2R2RK1 b - -,a8e8
8/5p2/8/3pk3/P2N2p1/rP2P1P1/5P2/5K2 w - -,a4a5
2r5/p4k1p/1pp3p1/4b3/8/1P4P1/P1R2B1P/5K2 w - -,g3g4
r1b1r1k1/bpp2ppp/2Bp4/p7/2P4q/P3P1N1/1P1B1PPP/R2Q1RK1 b - -,b7c6
r1b3Rk/4b2p/3pqp2/p3p2B/1pP1P3/4B3/PP4PP/R2Q2K1 b - -,e6g8
r7/pp1b1kp1/2n2qp1/P2ppr2/P7/B1p2NQ1/2P2PPP/R3R1K1 w - -,a3c1
r3r1k1/1pp3pp/p5q1/P2PBp2/2P1bP2/7P/Q5P1/2R1R1K1 b - -,c7c6
8/5r2/8/8/7p/8/4K2k/5R2 b - -,f7g7:f7e7
3rr1k1/p3qp2/2Ppnnp1/8/4P1p1/1BN3QP/P4P1K/3RR3 b - -,f6h5
r2qr2b/p3pk2/1n1p2pB/1p4P1/2pPPN2/1P6/P1P2Q2/2KR3R b - -,e8g8
2r2r1k/1p5p/p1np3b/3Npp2/7q/2PQ1P2/PP2N1PP/R4RK1 b - -,e5e4
rqr3k1/1b1nbpp1/2p1pn1p/1p6/1P1PN3/2NBP2P/2Q2PP1/1RBR2K1 b - -,f6d5
r4bk1/5p1p/r3q1p1/2pp4/P4p2/1Q1P1NP1/R1R1PPKP/8 w - -,f3g5
4r3/5qk1/7p/8/3Pp3/2pnN1PP/P3R1QK/8 w - -,a2a4
r3nrk1/p2pqp1p/np2p1p1/4P3/2PNN3/6P1/PPQ2PKP/R3R3 b - -,d7d6
2kr2nr/pp1bbp2/1q2p2p/n2pP1p1/2pP4/P1P2NP1/1P3PBP/R1BQRNK1 w - -,f3d2
r2r1qk1/pQR3pp/Bn3p2/8/3pp3/4P3/PP3PPP/2R3K1 w - -,b7e4
r1r2qk1/1p1nppbp/2npb1p1/8/p1P1P3/N1N1BP2/PP3QPP/2R1RBK1 w - -,e1d1
r2q1rk1/1ppb2bp/n2p1np1/p2Ppp2/2P1P3/P1N2P1P/1PQBB1P1/R3NRK1 b - -,d8c8
8/7R/3p1kp1/8/1P6/3rK1P1/2b4P/8 w - -,e3e2
2rr4/1p1Nkp2/p3p3/6p1/2P5/1P2KP2/P5P1/2RR4 b - -,d8d7
r4rk1/pp3ppp/2npb3/4n2q/5B2/2PB1N1P/P4PP1/R2QR1K1 w - -,f3e5
2q3k1/pb2rppp/1p3n2/3p4/8/1P3NP1/P3PPBP/3Q1RK1 w - -,f3d4
r3r3/3q1pkp/1n4p1/ppbp4/3NnBN1/P1P2Q1P/1P3PP1/1R1R2K1 b - -,f7f6
r4rk1/pp2ppbp/2p3p1/q3P3/2QP4/1P2P3/PB3RPP/R5K1 b - -,g7h6
1r2r2k/5p1p/3p4/5nq1/1P2B3/2P4P/P4Q1K/R3R3 b - -,f5h6
4r2k/pp1Qr1p1/5b1p/P1P3n1/R2P2b1/4P1B1/5PB1/1R4K1 b - -,g4d7
b2r2k1/6bp/P5p1/1p2Np2/2pp3q/Q6P/1PP2PP1/4RBK1 b - -,h4f6
r1N4k/3R2p1/7p/p7/1nR4P/8/1r6/7K w - -,h4h5
r4r1k/q2nb1pp/bpn1p3/p2pPpP1/3P1P2/PP3N2/4NKBP/R1BQ1R2 w - -,c1b2
r1q2kr1/1p2ppb1/pQ1p1n1p/B2P1b2/5P2/1N6/PPPR2BP/2K1R3 b - -,f6d7
5B2/5p2/8/1R6/Pp1K4/6r1/k7/8 w - -,b5b4
5r2/p2k2r1/2p1pp2/1p1p4/2nP2Pb/1RP4P/q1P1Q1BB/5R1K b - -,a7a5
8/pp3kpp/2pn1p2/2n1p3/P2rP3/NP2NPPP/2P5/R5K1 w - -,a1d1
8/2R2p1p/5kpn/3Bp3/3bK3/7P/8/8 b - -,f6g7
3r4/2q2p1k/p1nbbnpp/1pp1p3/4P3/1PP1NNPP/PBQ2PBK/3R4 w - -,e3d5
1b5r/1p3k2/pq2Pp2/n6p/3pP1r1/N2B3Q/PP4PP/R4RK1 b - -,f7e7
r2qnr1k/pp4bP/8/8/3p1N2/3BB2Q/PP4PP/3R2K1 b - -,f8f4
r2qkb1r/pp3ppp/2np1n2/2p1p3/4P1b1/2P2NPP/PP1PQPB1/RNB2RK1 b kq -,g4f3:g4h5
2r2rk1/pp2bpp1/2q1pn1p/2P4P/8/2B3N1/PPP1QPP1/1K1R3R b - -,f6d5
8/7p/5qpk/8/2Q5/PP1pbP2/6P1/2R2K2 w - -,c1b1
8/1pq2k2/p1p2pp1/2P4p/1P3P1P/P5Q1/6P1/7K w - -,h1h2
2rrq1k1/p2n1pbp/1p1P2p1/1Pp1p3/P3P3/5R1B/1BQ2PPP/3R2K1 b - -,c8a8
2b1k2r/3n1ppp/pr1B1n2/8/1p2PQ2/2qR4/P1P1B1PP/5R1K b k -,c3b2
4rnk1/5pbp/q2p1np1/1p6/1Pp1PP2/2P1NQ1P/3B2PK/1B2R3 b - -,a6a3
8/p7/2p1k3/6pp/2BPK3/1Pb4P/8/8 b - -,e6d6
r1b1k2r/1p1pn1pp/p3p1q1/5p2/1PP5/P2B1N2/5PPP/R2Q1RK1 w kq -,c4c5
8/8/2p5/1nP1P1kp/1K3p2/p2N1P2/P7/8 w - -,e5e6
8/p7/4n2p/3pk3/7P/3K2P1/6B1/8 b - -,e6c5
8/pN1P2pk/7p/4Qp2/7P/P4nPK/5qB1/8 b - -,f3e5
1rr3k1/1pn3pp/p2q1p2/2P1pb2/1P6/1NQP2P1/P4PBP/3RR1K1 b - -,d6f8
8/p1pr1k1p/8/1p3n2/2p5/2Pr2P1/P1KBRP1P/4R3 w - b6,d2c1
1q1r2k1/pp1rbpp1/2p1pnnp/8/2PP1P2/1P4PP/PBQ1N1B1/3R1RK1 b - f3,f6e8
q2b1rk1/5rp1/2p1p2p/p1PpP1p1/Pp3PP1/1P1P3P/3QN1K1/R4R2 w - -,e2d4
br3rk1/4qpbp/pB1pp1p1/8/1n2PP2/P4N2/1P3QPP/1B1R1RK1 b - -,b4c6
r1b2rk1/ppqnb1pp/4p3/2ppPp2/2P2P2/1P1BP3/PB1N2PP/R2Q1RK1 b - c3,d7b6
r1r3k1/4pp2/1p4pp/3R1b2/PR6/5N1P/5PP1/6K1 w - -,f3d4
3k3r/5pbp/p1BB2p1/1p1N4/8/6P1/P1P1KP1P/8 b - -,f7f5
r1b2rk1/pp2qpp1/2pbp2p/3n4/3PQ3/3B1N2/PPP2PPP/R1B1R1K1 b - -,d5f6
3r2k1/1p2q3/p2N1b2/n1PQ2p1/1P6/7R/P3p1K1/2R5 b - -,g8f8
rn1qk2r/pbpp1ppp/1p2p1n1/8/1bP1P3/3B1N2/PP1PNPPP/R1BQK2R w KQkq -,a2a3
r1b1kb1r/1pq2ppp/p1Npp3/8/4P3/2N5/PPP2PPP/R1BQR1K1 b kq -,b7c6
r5k1/3b1p1p/5p2/3p1P1N/r2P4/4q3/4B1PP/3Q1R1K w - -,h5f6
2r2rk1/p1qb3p/4pbp1/8/2p3Q1/P1B4R/BPP3PP/4R1K1 w - -,h3e3
2r1r1k1/5pp1/1p1qn1p1/1PNp4/8/1N2P1P1/2Q2PP1/1RR3K1 b - -,e6c5
2r1r1k1/pbq2pb1/1p2n1pp/2pBp2n/4P3/1QP2N1P/PP1N1PPB/R3R1K1 b - -,e6f4
5k2/8/4Q2p/2q1p1pP/2NpP1P1/3P1P2/1P4B1/4b1K1 b - -,e1g3
r1bqkb1r/pp1p1n1p/4p3/5p2/3Q4/2N5/PPP2PPP/2KR1BNR b kq -,f8h6
8/8/2B2k2/2K2b2/5P1P/4R3/r7/8 w - -,e3e8
8/6pp/5p2/2k1pP2/1N4PP/8/3K2b1/8 w - -,b4a6
2r2k2/2r2p1p/4pBp1/2p1P3/5P2/1bRK4/7P/2R5 w - -,d3e2
r1r5/p2bppk1/3p1np1/qp5p/2nNP2P/1BNQ1P2/PPP3P1/1K1RR3 b - -,e7e5
1rb1r1k1/2q2ppp/pp1b1n2/2ppNn2/P4PP1/1P1P4/1BPQN1BP/R4RK1 b - -,f5h4
2rr4/4kppp/p2pb3/1Pq1p3/4P1n1/1P1Q2P1/P2R1PBP/R2N2K1 b - -,c5b5
r3r1k1/pp3p1p/1q3P2/1b1pN1p1/3P1RP1/4Q2P/PP6/3R2K1 w - -,f4f5
6k1/5p2/3Q4/4P3/5PK1/4q3/8/8 w - -,f4f5
7k/1b5p/p1pn1qpB/1p6/3P4/6Q1/PP2B1P1/6K1 w - -,g3e3
2r2r2/pb1q2kp/1pn1p1p1/4Pp2/2pP1N2/Q1P2P2/P1B3PP/R4RK1 b - -,f8f7
r1bqk2r/p3nppp/1Pn1p3/3pP3/3P4/P4N2/5PPP/R1BQKB1R b KQkq -,d8b6
r1bq1rk1/bpp2pp1/p2p1n1p/3Pp3/4Pn2/1BP2N1P/PP3PP1/R1BQRNK1 b - -,f6h5
8/8/1k6/7R/8/1KP5/6r1/8 w - -,b3b4
6k1/r2qnp2/1Q4pp/3pP3/P1r5/6P1/1Pb2PBP/R3RNK1 b - -,e7f5
2bq1rk1/4ppbp/p2p2p1/n1pPn3/2P1P3/2N3P1/PQ1N1PBP/R4RK1 w - -,f1d1
8/2p5/R7/1ppk1P1K/8/2P3r1/PP6/8 b - -,d5e5
r1b3k1/p1q3bp/3nNp2/1p1Pp1p1/1P2P3/2R3P1/1B3P1P/Q4BK1 b - -,c7b8
2r2rk1/pb2bpp1/2npp2p/1p6/4PPP1/1P1NB2P/P1P3B1/1K1R3R w - -,h1f1
8/7k/5K2/8/p7/Bb6/2p5/2Rr4 b - -,h7g8
r2qr1k1/1pp3p1/p3np1p/n2pP1b1/3P2P1/P1Q1BN1P/1P3P2/3RRNK1 b - -,a5c4
8/2p1R3/3k4/4n3/p7/6P1/4r3/K7 w - -,e7h7
r1bqr1k1/bp1n1ppp/p2p2n1/3P4/P5P1/2N2P2/1PN1B2P/R1BQ1R1K w - -,f3f4
r1br1nk1/pp3ppp/2p2q2/8/1PPpR3/3B1N2/P2Q1PPP/R5K1 b - -,f8g6
7r/5k2/R4b2/1R6/p7/2P2P1P/bP4P1/7K w - -,b5b7
2r1qrk1/4bppp/8/2P5/p1RPQ3/4PN1P/K2B2P1/8 b - -,f7f5
r1b2rk1/pp1n1ppp/5n2/q1Pp4/1b5B/2NBP2P/PPQ2PP1/R3K1NR b KQ -,b4c3
2r2rk1/pp1q1ppp/3bpn2/2pp4/2PP4/1P1BP2P/PBQ2PP1/R4RK1 w - -,d4c5
8/4p2p/3p1kp1/3P4/5R2/6P1/4r2P/6K1 b - -,f6e5
r1bq1rk1/ppp2pp1/1Nnp1n1p/4p3/2B1P3/P2P1N1P/1PP2PP1/R1BQK2R b KQ -,a7b6
1r6/R3np2/5k1P/1p2p3/p5N1/2P2p2/PP3P2/2K5 b - -,f6e6
rn2kb1r/pp2pppp/2pp1n2/q7/3PPPb1/2NB1N2/PPP3PP/R1BQK2R b KQkq -,d6d5
3b4/1p1k4/p1p1bnp1/7p/2PP1B2/1P3P2/P2R1KPP/8 w - -,h2h3
8/r4kn1/2p2Q2/p1Pp1B2/P2P2Pb/1p6/1P6/4RK2 b - -,h4f6
r4rk1/1pp1qpp1/p1n1bn1p/2b1p3/4P2B/1BP2N2/PP1NQPPP/R4RK1 b - -,c5a7
8/3p1pbk/1p3qpp/pb1P1n2/5Q2/B4NP1/PP3PBP/6K1 b - -,b5d3
6qn/1p3r1k/2bPp2p/2Pp1pPP/3Q1P2/2B5/4BK2/R7 b - -,h6g5
r2q1rk1/p2p1ppp/1p3b2/2p5/1n6/2N2NP1/PP2PPBP/R1BQ2K1 b - -,d7d5
r3kbnr/pppb1ppp/2np4/1B4q1/3Np3/1P2P3/PBPP1PPP/RN1QK2R w KQkq -,b5c6
8/6k1/1pR5/5p1B/1rp4P/4P1P1/5P1K/8 w - -,h5e2
1n1r1rk1/4ppbp/6p1/3nN3/1p1P4/1B4P1/1B3P1P/R3R1K1 w - -,a1a7
3r2r1/pp1kb1p1/2p1p2p/4B3/3P3P/8/PPP5/1K1R3R w - -,h4h5
r6k/3R2bp/4Qqp1/2B2p2/PP3P2/6PP/8/6K1 w - -,e6f6
r1rq4/1p2ppk1/3p2p1/p2P2QP/6p1/1P6/P3PP2/2RR2K1 b - -,d8d7
5rk1/4r2p/1p1N2p1/p2PP3/2P5/1P2q2P/2Q2nBK/5R2 b - -,e3e5
3r4/5pk1/3q2p1/3P4/3Q1PP1/3R4/6K1/8 b - -,d6f6
r1b2rk1/pp1nb1pp/2pp1nq1/3P4/4p3/1PN1N3/PBPQBPPP/R3K2R b KQ -,d7e5
6k1/p5p1/2P4p/2p5/6p1/1P1r4/P6P/4B2K b - -,d3d1
B7/3k3p/3p2p1/PP6/3b1P2/6P1/2r4P/1R3K2 w - -,a8d5
1n1qkb1r/rp2pppp/p1p2nb1/6P1/2pP4/1QN1PP2/PP5P/R1B1KBNR w KQk -,f1c4
r1b1kb1r/1pq1ppp1/p2p1n1p/8/2BQP2P/2N5/PPPB1PP1/R3K2R b KQkq -,e7e6
r3kb1r/5ppp/pqbp1n2/1p2pP2/4P1P1/1NN5/PPP1Q2P/1K1R1B1R b kq -,b5b4
r2qk1nr/pp3ppp/2nbp3/3p4/3P1Bb1/2P2N2/PP2BPPP/RN1QK2R w KQkq -,f4d6
r4rk1/1pqb1pbp/p2ppnp1/n7/1NP5/1PN1B1PP/P3PPB1/2RQ1RK1 b - -,a8c8
r4rk1/1ppq1ppp/p1npbn2/2b1p1N1/2P5/1PN1P1P1/P1QP1PBP/R1B2RK1 b - -,e6f5
5rk1/B4rb1/3p1n2/3Pn3/1pp3p1/2N4P/1P2BPP1/R4RK1 w - -,c3b5
r2r2k1/pp2ppbp/2nq2p1/2p5/6b1/P2P1NPP/1PQ1PPB1/1RB2RK1 b - -,g4f3
1r1q1rk1/1p1n1pp1/p3p2p/3P4/P3N3/6P1/1b3PBP/R2Q1RK1 w - -,a1a2
8/8/p4PQ1/2p1k2p/3p1q2/1P2p2K/P1P5/6R1 w - -,g1g5
r2qkb1r/pp3ppp/2npbn2/1B2p3/4P3/1NN1B3/PPP2PPP/R2QK2R b KQkq -,f8e7
rn1qr1k1/pp1b2bp/2pp2p1/4pp2/2PPn3/1P2NNP1/PBQ1PPBP/R2R2K1 b - -,d8c7
r5k1/pp3ppp/2n5/b4b2/2Pp2nN/B2P2P1/P1KNrPBP/R4R2 w - -,a1d1
5k2/2p2p2/1p1q1bp1/r6p/3nQ3/1PN2P2/P2P3P/1K1RR3 w - -,e4d3
1n1q1rk1/2r1bp1p/4p1p1/p1NbN2n/Pp1P4/3QBP2/1P4PP/1BRR2K1 w - -,c5e4
rnbqkb1r/pp2pp1p/3p1np1/2p5/4PP2/1PN5/P1PP2PP/R1BQKBNR w KQkq -,c1b2
r3r1k1/ppp1qpb1/5np1/3p1b1p/3N4/1P2P2P/PBP1BPP1/R2Q1RK1 b - -,f5d7
8/nRrr1kpp/P4p2/2B1p3/4P2P/2P2PP1/R7/6K1 b - -,c7b7
6k1/5nb1/2pqp1Q1/4r2p/2B5/1P3P2/5BPP/5RK1 b - -,f7d8
2r5/6k1/p3p1n1/1q2r2p/1p4QP/4B3/PPP3P1/4R2K w - -,g4d4
r6k/p1p3pp/1RB1r3/7b/5B2/8/P1P3PP/5R1K b - -,a8f8
r1b1kb1r/pppp3p/5p2/1B2n3/3P1B2/8/PqP2PPP/R2Q1RK1 w kq -,a1b1
8/3r2k1/p2r2p1/1pQ1pp1p/3Pq3/2P1PR1P/1P3RP1/6K1 b - -,e4d5
rnb1k2r/pp1pppbp/5np1/2p5/2PP4/5NP1/PP1NPPBP/R1B1K2R b KQkq -,c5d4
r2q1rk1/pb2bpp1/1pn2n1p/3pN3/3P3B/2N5/PPB2PPP/R2QR1K1 b - -,f8e8
r1b2rk1/1p2bppp/2pp1n2/p3n1B1/Pq1QP3/2N2N1P/BPP2PP1/R3R1K1 w - -,d4e3
4rrk1/pp2n2b/5p2/5PpQ/3Pp3/1Npq2R1/P5PP/4R1K1 w - -,g3d3
r2R4/8/p4pkp/2R2p2/P7/4P2P/5PP1/6K1 b - -,a8d8
8/n2rk3/6p1/1p2pp2/1P5p/2P2P2/2BR2PP/2K5 w - -,c2d3
2r3k1/b1r2pp1/p2qb2p/1p1p4/3Pp3/1Q2N1P1/PP1RBP1P/3R2K1 w - -,a2a4
5k2/5p1p/1p2pN2/4Pn2/R7/5K2/7r/8 b - -,h2h3
r1b1n3/p3q1pQ/4p3/4P1P1/2p1pk2/2P3R1/P4PP1/R3K3 b Q -,f4e5
3n4/pp3kb1/4p1p1/4p1P1/5nB1/2P1p1N1/PP5P/4BK2 b - -,f7e7
r7/5kp1/p3pp1p/R7/7P/P1r1B1P1/3N1PK1/8 w - -,a5a4
r3r1kb/ppnb1q1p/3p2p1/2pp2B1/3PP2Q/6P1/PP2NPB1/2R1K2R w K -,d4c5
r2q1rk1/pp2pp1p/2n3p1/3P4/6n1/1Nb1B3/PPPQ3P/R3KB1R w KQ -,b2c3
5rk1/5pp1/2p1q1np/1p2p3/4Pn2/2P1BN1P/1P3PPK/3QR3 w - -,d1c2
r2q1rk1/4ppbp/n3b1p1/pp1p4/3P3N/1PB1P1P1/P4PBP/2RQ1RK1 w - b6,d1e2
4r3/1b1q1rkp/p1n1p1p1/1p2Pp2/2pP1N2/P1P2P2/R2Q2PP/3B1RK1 b - -,e8d8
4r3/5pkp/r3p3/p2p2P1/2nNn3/1PP5/6PP/R1R3BK b - -,c4e5
3r1r2/pp4bk/2np4/5qPp/2B1p1n1/2N1B2R/PPP3K1/R2Q4 w - -,c3d5
3q1rk1/p2bn1p1/Np1bpp1p/1B1p4/3P4/1QR1PN2/PP3PPP/6K1 b - -,d8e8
r7/1kp2pp1/1p2b3/2p1P3/5PP1/2B1RK2/r1P5/2R5 b - -,g7g6
r4rk1/pp1nppbp/1qp2np1/3p1b2/2PP1B2/5NP1/PP1NPPBP/R1Q2RK1 w - -,f1d1
