8/K7/8/7p/1k5P/8/8/8 w - -,a7b6
8/ppR2pkp/6p1/3b1r2/3P4/PP1K4/7r/4R3 w - -,d3c3
3qr1k1/p2pbp1p/b1r3pB/1pP1p2n/1Pn1P3/1QNB1PP1/P3N2P/3R1R1K w - -,a2a4
r2qr1k1/p1p2ppp/3p4/1pnPn3/8/2P1BP2/P1B1QP1P/R4RK1 w - b6,e2b5
r1bnkb1r/pp2pppp/8/4P3/5P2/2P5/P5PP/R1B1KBNR b KQkq -,d8c6
r4r1k/2qnbppp/p3p3/3nP1N1/1p2N3/4B1Q1/PPP3PP/4RRK1 b - -,e7g5
rn1q1rk1/pp3ppp/2p1p3/4N3/P1pPn3/2P5/5KPP/R1BQ1B1R w - -,f2g1
2k1r3/1p4pp/p7/3b4/3p1pPN/PP5P/2P5/3R2K1 w - -,h4f5
3r2k1/p3qpnp/2p2bp1/2Prp3/NP6/P2RBP1P/5QPK/3R4 w - -,f2c2
r2q1rk1/1p2bppp/2bppn2/p7/Pn2PP2/1NN1BB2/1PP3PP/R2Q1RK1 w - -,d1e2
5rk1/1p1rbppp/p4n2/2P2b2/1PB1p3/P6P/1B1NKPP1/R6R w - -,d2b3
r1bq1rk1/p3bppp/2p1pn2/2pp4/2P1P3/2NP1N2/PP3PPP/R1BQ1RK1 w - -,d1e2
6r1/8/8/p2k4/1p1P4/4K1p1/PP4R1/8 b - -,a5a4
4rrk1/p5pp/1qp1p1b1/2npR3/6P1/1NN4P/PPPQ1P2/R5K1 b - -,c5d7
r2qkb1r/pp2pppp/3p1n2/2pP4/2P1P1b1/2N2P2/PP2BP1P/R1BQK2R b KQkq -,g4d7
r2q1rk1/p1p1nppp/1pn5/3p4/3P4/P1PP1N2/5PPP/1RBQR1K1 b - -,d8d6
Rn3rk1/5pp1/4p2p/2p5/3P4/4PBP1/1r3P1P/5RK1 w - -,d4c5
r4rk1/p5pp/2p2pq1/2Ppp3/3Pb3/P5B1/1P3PPP/R2QR1K1 w - -,a1c1
r1r2qk1/1p1np2p/2npb1pb/5P2/p1P2P2/N1N1B3/PP3QPP/2RR1BK1 b - -,f8f5
3r3r/p3k2p/1p1ppp2/2p1n3/q3PN1Q/P1P2P2/6PP/R2R2K1 b - -,a4e8
Q4rk1/5p1p/6p1/3R4/4p2K/6P1/Q6P/5q2 b - -,f1f6
r2qkbnr/pp1n1ppp/2p3b1/4p3/3P1N2/6N1/PPP2PPP/R1BQKB1R w KQkq e6,f4g6
5r2/ppr1bpk1/4p2p/3p4/P2P2P1/5RP1/1PP1B1P1/2K2R2 w - -,f3c3
3qrnk1/ppr2R2/2p1p3/2NpP1p1/3P4/2P2Q2/PP5P/5RK1 b - -,b7b6
2R5/P7/1r1b1ppp/3k4/8/1P1p1K1P/5PP1/8 b - -,b6a6
rnb1k2r/ppq1nppp/4p3/3pP3/3p2Q1/P1P5/2PB1PPP/R3KBNR w KQkq -,c3d4
r5k1/p1p3Pp/1bq1p3/5R2/2pp3B/8/PPPQ2PP/R5K1 b - -,e6f5
1r2b1k1/4ppbp/p2p1np1/q1pP1P2/2P1P3/3NB1NP/P5P1/2Q2RK1 w - -,c1c2
rn3rk1/4ppbp/1p2b1p1/2Pn2N1/2p2B2/2N5/PP2PPPP/2R1KB1R w K -,c3d5
q1r3k1/4b1pp/5p2/1R1R4/1Pr5/3Q2P1/3BPP1P/6K1 w - -,d3e3
2r1k2r/1pqbbpp1/p2ppn1p/8/2nNPPP1/2N4P/PPP1Q1B1/2KRR1B1 w k -,d1d3
2r2k2/r4ppp/1q1pb3/pP2p3/2B1P2P/1PQ3P1/3R1P2/R5K1 w - -,c3d3
r2qr1k1/1pp1ppb1/7p/n2n2p1/N6P/P3PbP1/1PQ2PB1/R1B1R1K1 w - -,g2f3
8/1p6/4k3/8/P3K3/8/2P5/8 b - -,e6d6
5Bk1/6R1/p4p1p/P4P1P/6r1/K7/8/8 b - -,g4g7
2b2rk1/2qnbppp/p2pp3/6P1/1r1BPP1P/2N5/1PP1Q1B1/2KR3R b - -,c8b7
3q1r1k/1r1nbpp1/p3p2p/1p2P3/8/P3BN2/1P2QPPP/R4RK1 w - -,a1c1
r1bq1rk1/1pp2pbp/p1np1np1/4p1B1/B3P3/2PP1N2/PP1N1PPP/R2QK2R w KQ -,e1g1
rn1q1rk1/pb1pbppp/2p2n2/3N4/2p5/P1N1P1P1/1P3PBP/R1BQK2R w KQ -,d5e7
r1bqr1k1/6bp/p3p1p1/P1BP4/2p5/2N5/1P4PP/R2Q1R1K w - -,c5d4
1r1qnr1k/3bn2p/3p2pb/p2Pp1N1/1p2Pp1P/1Q4P1/PP1BBP2/1KRN3R w - -,e2c4
r1b1qr1k/ppp1n1pp/3p1n2/1P2pp2/2P5/2BP2P1/P2NPPBP/R2QK2R w KQ -,a2a4
3r3k/1p4pp/p4p2/8/4p3/1B2Bb2/PPP2KnP/R4R2 b - -,f6f5
5k2/p4p1p/2N3p1/1P6/5r2/R2Q4/4K1qP/8 w - -,e2e1
br4k1/8/1p4R1/1P3p2/P1P5/4Pp1p/R4K2/8 b - -,g8f7
2r2k2/p3n1b1/1q1p1p2/1p2pPp1/1P2P1P1/1Q1PN3/P2K2B1/5R2 w - -,e3d5
r1b2rk1/p2p1pp1/1qp1p2p/4P3/1bP1NP2/3Q4/PP1B2PP/2R1KR2 w - -,c1c3
r1bq1rk1/1p2bppp/2np1n2/p3p3/4PP2/1NN5/PPP1B1PP/R1BQ1RK1 w - a6,a2a4
4r1k1/p3bppp/5n2/1Brb4/8/P3R2P/3N1PP1/2R3K1 w - -,c1c5
8/8/8/2b4p/1p3k2/1P2p2P/4K3/4B3 w - -,e1h4
r1b3k1/pp2qpbp/1np2np1/2B1p3/P1N1P3/2N4P/1PP1BPP1/R2r1RK1 w - -,c5e7
r7/p6k/1p2pp2/3p2P1/2pPn3/2P1P3/PPB3PP/R5K1 b - -,f6g5
r1b1kb1r/pp1n1p1p/1qn1p1p1/1BppP3/5PQ1/1P3N2/PBPP2PP/RN2K2R w KQkq -,b5c6
8/k1p3pp/p5n1/1Pr5/2B2P2/1P4P1/7P/4R1K1 b - -,a6b5
rqb4r/4kp1p/p1B2p2/1pb1p3/4P3/4B3/PP2QPPP/R2R2K1 b - -,c5d6
1rqr1bk1/5ppp/2ppn3/pPn1p3/P1P1P3/2N1BP2/Q3B1PP/1R1R2K1 w - -,e2f1
4rnk1/5p2/p4npp/Np6/1P2P3/P3R1PP/5P2/5BK1 w - -,f1g2
1r1nk1r1/p4qb1/1pp1p1p1/2npP1Pp/2PN1P1P/3BB3/PP3Q2/1KRR4 b - -,c5d3
8/6RP/7r/8/5p2/1p4k1/8/6K1 b - -,g3f3
r5k1/rR4np/2R1p1p1/3pP1B1/P1b3PP/5PK1/6B1/8 w - -,c6c8
8/1p1b1n1k/pP5p/3p1p1P/3P4/4B1K1/1PB2P2/8 b - -,h7g7
5rk1/pp2q2p/2p3p1/3p4/6r1/2PB4/PPQ5/1K1R3R w - -,h1f1
3r1nk1/pb2q1p1/1ppNpr1p/2Pp4/3P1P2/2Q1R1P1/PP4BP/4R1K1 w - -,c3a3
1r4k1/p4p1p/1q2b1p1/r1p5/2P5/1P1B1P2/PQ4PP/2KRR3 b - c3,a5a4
2n5/3qk2p/P3p3/2B2p2/8/2Q2P1P/6P1/6K1 b - -,e7f7
3r2k1/1bR2p1p/p2p1np1/8/1p2P3/1P3P1P/P3N1P1/1B4K1 b - -,d8d7
1q3rk1/p2bppb1/3p2p1/1p2nPBn/3NP3/1Br5/PPP3Q1/2KR3R w - -,b2c3
4r3/3r1pkp/b1p2np1/p7/PqPPp1P1/1BR1Q2P/4NP2/R5K1 w - -,e2g3
8/8/1K5p/2R4P/1P1k4/8/8/5r2 w - -,b4b5
2rqr1k1/p2nbpp1/4pnp1/1p1pN3/2pP1BPP/2P1PQ2/PPB2P2/R3K2R b KQ g3,d7f8
r4rk1/p1pnqpp1/1p1pp2p/4P3/2PPb3/2P2N2/P4PPP/R2QR1K1 w - -,e1e4
Q7/5q2/8/2p1k1p1/1p1p4/1P1P2P1/7K/8 b - -,f7d7
2rqkb1r/1b1n1ppp/p3pn2/2p5/1p1P4/P1N2NP1/1PQ1PPBP/R1BR2K1 w k -,c3a4
3r1r2/1b2qpbk/2pp1npp/8/1pnNP1P1/5PBP/1PPQN1B1/3RR1K1 w - -,d2c1
8/8/8/2k5/P3PpK1/3n4/8/8 w - -,a4a5
8/8/pp4n1/3p2k1/1P1Pp1n1/PBN3P1/8/5K2 b - -,g6e7
r1bk2r1/q3B1pp/p1p5/2Nn1p2/8/3P1NP1/PP5P/R2QR1K1 b - -,d5e7
r4rk1/pp1nq1p1/7p/8/3bp3/2P3P1/PPQ4P/R3RNK1 w - -,c3d4
1R3bk1/7p/p4n2/4Np2/8/r5P1/5PKP/8 w - -,b8b6
8/p2n1pk1/2p2q1p/3p4/5P1P/1P3B2/P2Q3K/8 w - -,h2g3
r1bq1rk1/pppnppbp/3p1np1/8/3PP3/1BN5/PPP1NPPP/R1BQK2R w KQ -,e1g1
r3k2r/p3qpbp/2ppbnp1/B3p3/4P3/1N6/PPP2PPP/RN1QR1K1 w kq -,b1c3
r3kb2/4n1r1/4PQ1p/1p1p4/p2P1B2/2q5/P4PPP/1R2R1K1 w q -,b1c1
r2q1rk1/1b1np1bp/pp4p1/3pNp2/3PnP2/1PNBP3/PB2Q1PP/R4RK1 w - f6,d3e4
8/4pk2/3p3p/1RpP1Pp1/n1r1P1P1/5K2/8/1N6 w - -,b5b8
r7/1k3ppp/1p6/2pP4/2Bb4/7P/1P3PP1/4R1K1 b - -,d4f6
5k2/6p1/8/pRRB1pq1/5n2/P7/3K4/8 w - -,d2c3
8/2n3k1/p3q2Q/Ppp2r2/3p2N1/3P2P1/1PP3KR/8 b - -,e6h6
8/pB4p1/4k3/6p1/1PnK2P1/P7/5P2/8 w - -,d4c4
2R5/1p3p1k/p3pbp1/7p/PP6/1r5P/4NPP1/6K1 w - -,c8c4
6k1/p3rpB1/3r2p1/1pp3Pp/4PR1P/1P1P1R2/1P6/5K2 b - -,g8g7
rn1qk2r/pbpp1ppp/1p2pn2/6B1/1bPP4/2N2N2/PPQ1PPPP/R3KB1R b KQkq -,e8g8:c7c5:h7h6
2r2rk1/4bp1p/pq2p1p1/4QP2/8/3B4/1PP3PP/4RR1K b - -,e7d6
2rr2k1/3nqppp/1p2p3/pN6/2PP4/1P1Q2PP/5PK1/3RR3 b - -,d7f6
b7/R4pk1/8/7p/8/5nPB/1r6/6K1 w - -,g1f1
8/4bpk1/6p1/3R3p/3PpB2/4P2P/2r2PPK/8 w - -,d5e5
2q5/8/1r1p2pk/3Pp3/1Pp1Nb1p/2Q2P1P/6P1/3R3K b - -,c8a6
8/p3r1b1/1p2r1k1/2p1P1p1/2P2pP1/1P3K2/P3R2B/3R4 b - -,e6e5
r1bq1rk1/1p2n2p/p2p2p1/P2P1p2/2N1pP2/2P5/1P1QB1PP/2R2RK1 b - -,d8c7
r2rbnk1/pp4p1/2nbpq1p/3p4/3P4/P1N1BN2/1PBQ1PPP/R4RK1 w - -,f3e1
r2r2k1/4bppp/q1bppn2/p7/4PB2/1RN1Q1P1/1PP2PBP/3R2K1 b - -,a6c8
2rr2k1/1q2bppp/2bppn2/pp6/4PPP1/P1N5/1PPBQ1BP/R3R1K1 w - -,g4g5
2r1r1n1/1b3pkp/pp2p1p1/8/4P1P1/3B3P/PP1N4/2R1R1K1 w - -,d2c4
3r2k1/8/p1ppbrp1/1p2n2p/4P3/P1N2P2/1PP1B1P1/2KR3R w - -,d1d2
4r1k1/1pqbrp1n/p2p3p/P1pP2p1/4P2n/R1b1NPNP/1PQ1B1P1/4R1K1 w - -,c2c3
r2q1rk1/3n1pp1/p2b1np1/1ppN4/4P3/1B2BP2/PP2Q1PP/R4RK1 w - -,a1d1
r1b1kb1r/1p2np2/p3pp2/7p/q1P1NP2/PN2Q3/4B1PP/R4RK1 b kq -,e7g8
4r3/1B3pk1/4pp1p/p3n3/1q5P/6P1/3Q1P2/2R3K1 w - -,d2b4
1rb2rk1/2p1q1pp/p1Pppn2/1p3p2/1P1P4/P2BPPP1/1BQ3KP/2R1R3 b - -,b8b6
1k1r4/pp3p2/7n/7P/4PN2/2N5/PP3R2/2K3r1 w - -,c1c2
8/8/4p3/pk2P1p1/6b1/6B1/2K1p3/4Rr2 b - -,b5c4
4r1k1/5qb1/1p1P4/p1p4P/P1P3Q1/1P6/6RK/8 b - -,f7f6
2b2rk1/2p5/3p2p1/3Pb1p1/p3P1P1/1P3P2/1PR2N1q/4KQ1B b - -,a4b3
1R6/3r2k1/p1b4p/3n2p1/1ppP4/5B2/PP4PP/4R1K1 w - -,e1e6
2r2k2/2q2p1p/2B1pnp1/pQ6/PpR5/1P2P1P1/5P1P/6K1 b - -,c7d8
r3k2r/pbp1q2p/1p1p4/2N2p2/2P1n3/2PBP2P/P1Q2P1B/R3K1R1 b Qkq -,e4c5
8/8/8/7p/4k3/n1P5/5K2/8 b - -,e4f4
r1bq1rk1/ppp2ppp/2np1n2/4p3/2P5/P1Q2NP1/1P1PPPBP/R1B2RK1 b - -,a7a5
r7/6k1/3p1rp1/2q1p1Q1/8/1pP5/3R4/1K5R b - -,c5a3
1r4k1/1p1npp1p/p2pb1p1/2r5/P1P1PP2/1PN3P1/5R1P/4RBK1 b - -,g8f8
k2r3r/1p2bp2/p1b1p3/P2qP1P1/1P1BpP2/2P1Q2p/4B2P/R5RK w - -,a1d1
3r1rk1/p4pp1/4p2p/q3P3/1nBPNP2/b1Q4P/P4BP1/5RK1 b - -,b4c6
8/6p1/p4p1k/2p4p/P6n/4P2P/3q2PK/B5Q1 w - -,g1f1
8/3k2n1/p2p2p1/1p1P2Pp/r4P2/4NK2/8/1R6 w - -,b1c1
4R3/2r3k1/2p2p2/1pPp3p/p2P4/P1B2K1P/1P3P2/2b5 w - -,f3e2
R7/p2r2p1/1p2kp1p/3n4/2BP4/P2K2P1/1P3P1P/8 w - -,g3g4
3r1k2/1p3pbp/p5p1/Pb6/4P3/1q1pQ1P1/5P1P/2RR1BK1 w - -,e3b6
r1b2rk1/p1p3pp/2p2qn1/2N1p3/3P4/P1P2pP1/1P3P1P/R1BQ1RK1 w - -,d1d3
rnb1kb1r/ppp1pppp/8/3q4/3P4/8/PPP2PPP/R1BQKBNR b KQkq d3,e7e6
5r2/8/3kp1pp/pp1p4/3K1P1P/P1R3P1/1PP5/8 w - -,c3b3
r4r2/p1q1kp2/1p2pn2/6Q1/1P6/2P4R/P4PP1/2KR4 b - -,f8g8
2rq1rk1/p2n1pbp/1p2p1p1/3b4/3N4/BP1BP2P/P3QPP1/2R2RK1 b - -,d7c5
r1b1k2r/1p1nq1pp/p2bpn2/2pP1p2/3P4/BP1BPN2/P4PPP/RNQ2RK1 b kq -,f6d5
r1b1k2r/pp1p1ppp/2n1pn2/1N2q3/1b2P3/1N3P2/PPPB2PP/R2QKB1R b KQkq -,e8g8
r1q2rk1/1b1nppbp/p2p2p1/2pn4/R2P1B2/2P1PN1P/1PQNBPP1/2R3K1 w - -,f4g3
rn1q1rk1/pp3ppp/2p1p3/8/P2P4/2nbPN2/2Q2PPP/R1B2RK1 w - -,c2d3
7k/8/1r5p/2R4P/1p4K1/6P1/8/8 b - -,b4b3
r7/6k1/4b2p/p3p1p1/2P1npP1/P1R5/1P3P1P/R5K1 w - -,c3c2
r2qr1k1/pbpnppbp/1p1p1np1/8/2PP4/BPNBPN2/P4PPP/2RQ1RK1 b - -,e7e5
2kr1bnr/p3pp1p/1p4p1/2pPn3/4N3/4BB1P/PPP2PP1/2KRR3 w - -,f3e2
r1b1kb1r/1p1n1ppp/pqn5/4p1P1/3pP3/1NP2P2/PP1NQ2P/R1B1KB1R b KQkq -,f8e7
1k5r/pp2qpp1/2p1b2p/1r2N3/Q2Pp3/R3P2P/PP3PP1/1K5R b - -,a7a5
4rkr1/3q1pp1/2p1p2p/1p5P/p1nPR1Q1/P1P5/2P2PP1/2B1R1K1 b - -,d7d6
r3r1k1/6p1/3bp2p/2Nn1p1P/p2P4/2K2P2/1P3BP1/4R2R w - -,c3c4
1r1q1rk1/3b1pbp/3p2p1/3Pp2P/1Q2n3/1P2B3/4BPP1/1R1NK2R w K -,b4a3
2kr3r/pp1q4/2npn1p1/2pNpp1p/4P2P/1BPP2P1/PP1Q1P2/R3K2R w KQ f6,e1c1
rnr3k1/3b2pp/4p1q1/ppPn1p2/8/1N2P3/PP1N1PPP/2RQKB1R w K a6,b3d4
r1bq1rk1/p4ppp/5n2/3p2B1/1b6/2NB4/PP3PPP/R2Q1RK1 b - -,b4c3:c8e6
r1bqk2r/pp3p1p/2p1nbp1/3p4/1P1P4/2NBPN2/P1Q2PPP/R4RK1 b kq b3,e8g8
1r2b3/5k2/3pp3/p1p5/2P1pP2/P3P3/1P4R1/2KB4 b - -,f7f6
6k1/1R6/5p2/5P1p/4P3/8/5K2/7r b - -,h1h3
8/pRB2pk1/2n1r1bp/2PN2p1/4p3/2P1P3/5PPP/6K1 b - -,g6f5
6k1/1R5p/r5p1/3n2N1/8/6P1/5P1P/6K1 b - -,d5f6
4RN2/6k1/1p4pp/3n2b1/1P1r4/P5P1/2b3BK/8 w - -,f8e6
r1bqr1k1/1p6/2p3pb/p1N5/QP1p1p2/P2P2P1/2R1PPB1/4R1K1 w - -,g3f4
3k4/7n/p2P4/2p1p3/8/P7/5P2/3R1K2 w - -,d1d5
1bk4r/4qp2/1p1r1n2/2P1p1pp/QR2P3/2N3PP/5PBK/5R2 b - -,d6d4
1r6/7R/4pk2/p2b1p2/1p5P/P4P2/5K2/4R3 w - -,a3b4
r4rk1/1bp1qppp/1p1p1n2/p1nPp3/2P1P3/P5P1/1PQN1PBP/R3NRK1 w - -,e1d3:b2b3
2r2r1k/1b1nqppB/p1pb3p/1p2p3/1P1P4/P3PN2/1BQ2PPP/R2R2K1 w - -,h7f5
r4r2/1pp3pp/1p1pkn2/4p3/P3P3/1PN4P/2P2PP1/2KR3R w - -,c3b5
8/5p2/p2k3P/3Pppn1/1K1P1N2/6P1/8/8 w - -,d4e5
6k1/1bq3pp/3r4/p2pN3/3QpP2/1P2P1P1/P1R4P/3R2K1 b - -,c7c2
3r1rk1/pp1n1pp1/3q1n1p/2p2b2/2P2N2/1Q3NPP/PP3PB1/R3R1K1 w - -,a1d1
7Q/1pp2k2/p2qp1p1/7p/3p3P/3P4/1PP2PP1/6K1 b - -,b7b5
r1bq1rk1/pp3pp1/3b1n1p/2p5/2Pp4/1N4P1/PP2PPBP/R1BQ1RK1 w - c6,e2e3
rn1qk2r/1b2b2p/p1p1ppp1/1p6/2pPN3/P3P1BQ/1P3PPP/R3KB1R b KQkq -,f6f5
8/5pk1/2n1pN2/2P1P3/2R3p1/4K1P1/5r2/8 b - -,c6e5
2r3k1/4pp2/3p2p1/3Pn2p/4P2P/2P3P1/3B1PK1/4R3 w - -,e1b1
4r3/6bk/p3p3/3pP1Q1/1p1Pb3/3q2P1/PP2NR1K/6B1 b - -,e8h8
8/8/8/7k/5p2/4n1r1/R5PK/8 b - -,e3g4
rn1q1rk1/p3bppp/1p2p3/3bN3/2BP4/2B5/PP2QPPP/R4RK1 w - -,c4d3
r4rk1/pp2ppbp/5np1/8/3P4/4Bq2/PP3PPP/R3KB1R w KQ -,g2f3
5B2/5p2/5P2/3k4/5K2/7b/7P/8 b - -,d5e6
8/pp1b1k2/5p2/1P1p1Pr1/1P1P4/3B3P/P6K/4RR2 w - -,e1e3
3b2k1/6P1/p7/2p1pR2/1PPp4/P3p2P/8/6K1 b - -,e3e2
1r4k1/4bppp/r1qp4/2p1p3/2Q1P3/1P5P/2PB1PP1/1R2R1K1 b - -,e7f8
8/3R4/1rp3R1/4k2p/1r2P3/1P1K4/6P1/8 b - -,b4b3
3rk3/1bq1bp1r/p4np1/1p2p3/3nP2p/P1NBB3/1PPN2PP/3QRRK1 b - -,h4h3
r1rn2k1/p2b1p1p/1p2p1p1/1P1p1n2/PP1P4/1N4P1/5P1P/RN2RBK1 b - -,d8b7
6k1/6p1/3r3p/8/6PP/P7/5BK1/8 b - h3,d6d2
2r3k1/5p1p/4p1p1/3p4/2q2P2/p6P/P4QP1/5R1K w - -,f1e1
8/6pp/n1k1pp2/1p1p4/1P1PP1P1/p1NK1P1P/P7/8 w - -,e4d5
3r4/pp1rppbk/4n1pp/2p1P3/P1N1R3/2P2N2/1P3PPP/R4K2 b - -,h6h5
8/2B5/8/1p3p2/p7/1k2K3/1P6/1b6 w - -,c7e5
5rk1/p5pp/1p2pn2/4np2/2b2N2/6P1/P4PBP/2RR2K1 b - -,b6b5
4rrk1/1Qp1q1pp/1p1b1n2/p2pNp2/3Pn3/1P2P3/PB3PPP/2RR1NK1 b - -,e8b8
8/p7/4B1p1/4p1k1/1R2n1P1/8/P5PK/4r3 w - -,e6d5
8/7p/8/r1p2k2/P1R1P3/5K2/5P2/8 b - -,f5e6
k6r/p2b1n1r/Pp2pp2/3p1n2/2pP1q2/2P2NP1/2P2PB1/1RB1RK2 w - -,c1f4
r1b1r1k1/ppqn1pp1/2pp1b1p/8/P2NP3/2N5/1PP1BPPP/R2QR1K1 b - -,d7c5
rn3rk1/p2b1pbp/4pnp1/q1pP4/1p2P3/3QNN2/PP1B1PPP/R3KB1R b KQ -,e6d5
rn1qkb1r/pp1b1ppp/4pn2/1Bp5/3PpB2/2N5/PPP1NPPP/R2QK2R b KQkq -,c5d4
8/8/4P3/8/2nk2Pp/7P/3BKp2/8 b - -,c4d2
5k2/8/P6K/6R1/2p5/2P2P1p/7n/8 b - -,f8e7
r1r3k1/1p2pnbp/3p2p1/qPnP1pP1/p1P2P2/N4B2/P1QB3P/3R1R1K b - -,a5c7
rn3rk1/pp1b1pbp/3p2p1/3Pp3/4P3/5NP1/PP3PBP/R1B2RK1 w - -,c1e3
r2qkbnr/1b3ppp/p1npp3/1p6/4PP2/1NNB4/PPP3PP/R1BQ1RK1 b kq -,g8f6
r2q1rk1/5pbp/1p1Nb1p1/p2p1p2/P2P4/2P3B1/1P3PPP/R2QR1K1 w - -,d6b5
3R1Q2/1p5p/2q2pp1/6nk/2P1b3/5nPP/PP3PB1/7K b - -,f6f5
r2q1rk1/pp1n1ppp/2p1pn2/3p4/1bPP4/P1NBPQ1P/1P1B1PP1/R3K2R b KQ -,b4c3:b4a5
1r3rk1/pp4pp/2p1p3/2N5/3PPn2/P7/5PPP/2R1K2R w K -,g2g3
r4rk1/1ppbqppp/3p4/p1n5/2PNP3/2R3P1/PP3PBP/3QR1K1 b - e3,a8e8
4r1k1/Q4pp1/2p1qb1p/2pp4/3P4/3NP1P1/Pr3P1P/2R1R1K1 b - -,b2d2
r1bq1rnk/1pp4p/3p1np1/P1PPpp2/4P3/1NN2P2/2Q1B1PP/2R1R1K1 b - -,f6e8
8/5pp1/4p3/1pr1P1k1/4R1P1/2P2K2/1P6/8 b - -,c5c4
r4b1r/1pk2ppp/p1n1b3/3Np3/6P1/4B2P/PPP2PB1/R3K2R b KQ -,e6d5
8/8/b1pk2p1/P1p1p2p/4Pp1b/1P3P2/3B2PP/3B2K1 w - -,d2c3
r2q1rk1/1p2ppbp/p1nn4/3pNp2/3P1B2/1QP2P1P/PP1N2P1/R4RK1 b - -,e7e6
4rk2/p2R4/P1K1p3/3pPp2/5P2/6P1/8/8 b - -,e8e7
r1br2k1/p1p3bp/1p3pp1/3n4/3N4/1PP5/1P1N1PPP/R3RBK1 b - -,c8b7
r2qk1nr/4ppbp/pn1p2p1/2p5/2N1P3/5N2/1PPP1PPP/R1BQK2R w KQkq -,d1e2
rnbq1r1k/ppp1p1bp/1n4p1/3P2N1/6P1/1QN1B2P/PP3P2/R3KB1R b KQ -,h7h6
8/pp2kp1p/6p1/2p5/8/Pr2PP1P/1P1RK1P1/8 w - -,e3e4
2k4r/5pp1/p3pn1p/4q2P/8/1P2BQP1/1P3P2/K6R w - -,f3c6
r2r2k1/1p1qBpbp/6p1/3P4/1P4P1/8/4QP1P/2RR2K1 b - -,d8e8
5bk1/3R3p/8/B2pr3/4p3/4P2P/5PP1/6K1 w - -,a5c3
1n6/8/P7/1P6/4k3/8/3KN1p1/8 b - -,b8d7
r3k1nr/3b1pb1/4p1p1/3pP2p/pq1P1P2/5N1P/2BQ1BP1/1NKR3R b kq -,b4b6
r1bq1rk1/1p2npb1/2np2pp/pNp1p3/2P5/P2P1NP1/1P1BPPBP/R2Q1RK1 w - -,d2c3
r3k2r/ppq1npbp/1n4p1/4p3/2p1P3/N1P1B2P/PPB1QPP1/R4RK1 b kq -,e7c8
6kb/2p1qp1p/1r1p1npP/3Pp1B1/3rP3/1n1Q2N1/P1B2PP1/R4RK1 w - -,a2b3
r3rnk1/1pq2b1p/p4pp1/2p5/P1P1PB1N/7P/1PQ3P1/R4RK1 b - -,c7c6
2brr3/2q2pbk/1ppp2pp/p1N1n3/2P1P3/1PN2PPP/P2Q1BB1/3RR1K1 b - -,d6c5
2r3k1/1b3np1/p2bpp1p/1p6/3PqP2/1P1N3P/PB1Q2P1/2R2BK1 w - -,c1c8
r2q1rk1/pp2ppbp/2n2np1/3p4/2BPP1b1/3Q1N2/PP1N1PPP/R1B2RK1 w - -,e4d5
5rk1/5pp1/7p/1p2b3/2p5/1qN1P1P1/1PQ2P1P/2R3K1 b - -,b3c2
r2qr1k1/pb3ppp/np1b1n2/2pp4/Q1NP4/2N1B1P1/PP2PPBP/2R2RK1 b - -,d6f8
