8/8/3bp3/1k1p3p/3P3P/4K3/5B2/8 w - -,e3d3
5rk1/2r3pp/pp1np3/5p2/2P2P2/1P4P1/P4K1P/3RR3 w - -,d1d6
8/8/5k2/1p6/4bPBp/P5pP/6K1/8 w - -,g2g1
4rk2/1p3pbp/1N1p2p1/8/4PP2/1pR2K2/P5PP/3R4 b - -,g7c3
7r/5kp1/8/1pp1pPP1/2p1P2r/1n4K1/1P3RB1/4R3 b - -,h4h5
2r1r2k/pp1q1pp1/2nbbp1p/5B2/3P4/P1N2N1P/1PQ2PP1/R3R1K1 w - -,f5e6
1r2r1k1/pB2np1p/3p4/q5P1/3Q4/2P4P/PP5K/R3R3 w - -,b2b4
R7/1p6/2p4k/P2p2pp/3P2P1/1r4P1/6K1/8 w - -,a8h8
r1b2rk1/1p2qppp/2p2n2/2n1p3/p1P1P3/P1N5/1PQNBPPP/R3R1K1 b - -,f8e8
2r2bk1/pr3p1p/R1N1pnp1/1p1p4/3P4/4P1P1/1P3P1P/R4BK1 b - -,b5b4
7k/R6P/1r6/5P2/2K5/p7/P7/8 b - -,b6c6
8/p1p1n1K1/3k4/2p5/2P1P3/3N4/P7/8 w - -,g7f7
8/8/7p/8/1pB3P1/1P4kP/b1K5/8 w - -,c4f7
8/8/1p1k3p/P7/P1b1Bp2/K6P/6P1/8 b - -,b6a5
r1bqk2r/1p2bppp/p1n1pn2/8/3p4/1BN1PN2/PP2QPPP/R1B2RK1 w kq -,f1d1
8/5k2/3R2p1/5p1p/7P/3P2P1/4PK2/3r4 w - -,f2e3
r3rbk1/1b1q1p1p/p2pnnp1/1pp1p3/1P2P3/P1PP1NNP/B4PP1/R1BQR1K1 w - -,f3g5
r1b1k2r/pp2b1p1/2p1p1p1/5q1p/2QP2nP/2N1PNB1/PP3PP1/R4K1R b - -,f5c2
r5k1/pp4pp/2p2b2/8/4bPB1/2P4P/PP6/3R1R1K w - -,g4f3
5k2/pp3ppp/3n4/8/8/PR4P1/4PP1P/2r2BK1 w - -,e2e3
2r3k1/p2r1pbp/1pqPp1p1/4P3/2P1Q1PP/6B1/P6K/2R2R2 w - -,e4f4
3r1q1k/1p1rR1b1/p5p1/3NQ3/1P6/PB4P1/5PK1/8 w - -,e5e6
2qr4/R3ppk1/5rpp/1pP1Q3/1P2B3/2n4P/5PPK/1R6 w - -,a7a8
4qrk1/pp2rppp/6n1/2pP4/2P1nP2/P1Q1PN1P/6R1/B3R2K w - -,c3c2
4rrk1/1pp4p/pn1bpp2/8/3P4/2NNR3/PP3PPP/R5K1 w - -,a1e1
rn1q1rk1/1p2ppbp/2p2np1/p2p4/2P3b1/1P1P1NP1/PB1NPPBP/R2Q1RK1 b - -,a5a4:b8d7
r3rbk1/1p3pp1/p1n4p/3N1Nq1/6P1/1Q2PP2/PP5P/R4R1K b - -,a8d8
r1b2rk1/1p3pp1/nqpp3p/p1nPp3/2P1P1PP/1P2NPN1/P2Q1K2/1R3B1R b - -,b6b4
8/4k3/8/3PK1N1/5P2/8/8/r7 w - -,g5e4
5r1k/pp1q2p1/2pb1r1p/8/3Q1P2/2P4P/PP4P1/RN3R1K w - -,b1d2
r2qrnk1/pp4pn/2p1pp2/4R1p1/3P2Q1/2P5/PPB2PPP/R1B3K1 w - -,e5e2
1r2k3/1b2bp2/pq5r/3pP1p1/8/P1NQ4/NPP4P/K2RR3 b - -,h6h2
5r2/1P5k/p1r4p/2PB2pN/5p2/4p2P/P3K1P1/2R5 b - -,c6c7
2r2rk1/pp1n1pbp/n5p1/qN1P4/2p1B3/4B1PP/PP2QP2/R4RK1 w - -,b5d6
r4rk1/1b3ppp/1q1pp3/p2nP3/1p1P1P2/3BQ2P/NP4P1/4RRK1 w - -,e3e4
2rr2k1/1p1b1pbp/p3pnp1/8/3RPP2/1NN2B2/PnP3PP/5RBK w - -,c3d1
rr6/6kp/3pq1p1/1p2R3/1P6/6PP/6BK/5R2 w - -,e5e6
r2qk2r/pp1bbppp/2n1p1n1/3pP3/3P3P/5NP1/PP2BP2/RNBQ1RK1 b kq -,e8g8
8/8/1p3k2/1B6/Pr3P2/6K1/8/8 b - -,b4d4
2b2rk1/r5b1/p2p1q2/2pP1ppp/PpB3n1/3NPNP1/RP3PP1/3Q1RK1 b - -,g7h6
r1b1r1k1/1p2qpbp/3p1np1/pNn5/2P1P3/4BB1P/PPQ2PP1/3R1RK1 w - -,b5d6
r4rk1/p1q1pp1p/3bn1p1/2p5/Q1P5/B2P4/P3RPP1/4RB1K w - -,a3b2
r1bq1rk1/p1p1bp1p/1p4p1/3pP2Q/8/2PB4/P1P2PPP/1RB2RK1 w - -,h5e2
2b2nk1/5ppp/3B4/p2p4/8/P3P2P/1P2BPPK/8 w - -,a3a4
1r1qbrk1/pp3ppp/3n2n1/3Np3/4P3/1P1N2P1/P1Q2PBP/2R1R1K1 b - -,e8c6
r4rk1/3pqppp/p1n5/1pbQP3/5B2/6P1/PPP1NP1P/3R1RK1 b - -,f8e8
r1b2rk1/pp2qppp/2n1pn2/8/1b1pN3/3BPN2/PP3PPP/R1BQ1RK1 w - -,e3d4
rnbqkb1r/ppp2pp1/4pn1p/3p4/3P3B/8/PPPNPPPP/R2QKBNR w KQkq d6,e2e3
8/5p1k/7p/5Pp1/2P5/r4B1P/1b1p1P2/3RrNK1 w - -,d1d2
rnbq1rk1/pp4pp/2pbpn2/3pNp2/2PP4/6P1/PPQNPPBP/R1B2RK1 b - -,c8d7
8/8/2b5/8/5b2/3K2k1/6p1/1R6 w - -,d3d4
2r1r2k/5pp1/p2qpn1p/1p2R3/3P4/1PP3R1/3B1PPP/1Q4K1 b - -,e8d8
2rqk3/2n1bp2/bn1p3r/p1p3pp/1p2P3/PP1N2P1/1BQN1PBP/R3R1K1 b - -,g5g4
r4nk1/2q2p1p/2p1r1p1/p1Q5/PpP5/1P3B1P/5PP1/3RR1K1 b - -,a8d8
r4rk1/3b1ppp/p3p3/2qp4/1p3P2/1B3Q2/PPPR2PP/4R1K1 w - -,g1h1
8/3R2p1/1p3pk1/4p2p/1q2P2P/1P1R1KP1/5P2/8 b - -,b4e1
2r2bk1/5p1p/2q1p1p1/3p4/1p1P1B2/1P2P2P/3Q1PP1/R5K1 w - -,f2f3
8/5pk1/4p2p/p3P1pP/1p3P2/1P2Q1P1/7K/3q4 w - -,h2g2
1r4k1/R4pp1/4p2p/4P3/2N2n2/1P1Q3P/5PK1/8 w - -,g2f3
3n4/2p3p1/1p2kp2/p1p1p2p/P1P1P2P/1PP2PP1/4K3/2B5 b - -,d8c6
r1bqkb1r/6pp/p1n1p3/2ppp3/1p1P1PP1/2P2K1P/PP2N1B1/R1BQ3R w kq -,d4e5
8/2p3pp/3bk3/pr4P1/Rp1P1P1P/1n2P1B1/1Pb1K3/3R4 w - -,d1e1
r2qrbk1/1p3ppp/p1p5/3p4/1P1Pb3/PQ2P1B1/4BPPP/2R2RK1 b - -,d8b6
2b3k1/2r1qpp1/p4n1p/1p1p3P/3N1P2/1PnPPBQ1/6P1/5RK1 w - -,f1e1
r1bq1rk1/pp1n1pp1/2pbpn1p/3p4/3P3B/2PBPN2/PPQN1PPP/R3K2R b KQ -,e6e5
r3r1k1/pp2qppp/2p3n1/1P1p4/3P2b1/2NBP3/P1Qn1PPP/1R3RK1 w - -,c2d2
2r4r/qb1n1pk1/pp1pp1p1/7p/1PP1P1n1/P1NB1NP1/3KQPP1/2R2R2 b - -,h8d8
r3r2k/5p1p/p1qp1p2/1p2nP2/P1p2BP1/2PP2KP/1P1Q4/R4R2 w - -,d3d4
8/2p4R/2Nbk3/1K6/1P6/8/8/2r5 b - -,e6d5
r4rk1/1p1b1nbp/p2qp1p1/5p2/P1BN1P2/2P1BR2/1P4PP/R2Q2K1 b - -,d6e7
8/3qrpk1/2Rnbbp1/2Qp4/1P1P4/4P3/3N1PBP/6K1 b - -,d6f5
8/8/1NQ2p2/p7/4k1b1/KP6/5q2/8 b - -,e4d3
r3k2r/p2b1ppp/2p2n2/qp2pP2/1b2P3/2N1B3/PPPQ3P/1K1R1BR1 w kq -,g1g7
8/6k1/5q2/p2Pb3/P5Q1/6P1/5B2/5K2 b - -,g7f7
2q3k1/5pp1/4p3/3n4/3Q4/6B1/5PKP/8 b - -,c8c6
5rk1/1p3bp1/pQ3n1p/P3q3/4p3/2r3PP/4NPB1/1R2R1K1 b - -,c3a3
r1b1k2r/ppq2ppp/4pn2/2bnN1N1/8/3B4/PPP1QPPP/R1B2RK1 b kq -,e8g8
6R1/1r4p1/1Pk1pp1p/2n5/8/5K2/5PPP/8 b - -,c6b6
2r1k3/pp2b3/1qp5/3nR2p/3PpB1P/4P3/PPQ2P2/1K1R4 b - -,b6b5
8/2b2p2/2k3p1/P4n2/1BK4P/5N2/5P2/8 w - -,a5a6
8/7k/1R1P2p1/1P2p3/7p/5P2/r6r/3R2K1 b - -,a2g2
5rk1/5p1p/p1N3p1/2nP4/1p2P3/5R1Q/1qr3PP/4R1K1 w - -,e1f1
6k1/5p1p/p3b1p1/2R1P3/P2p1P2/5BP1/7P/1r5K w - -,h1g2
8/3k4/4p3/2KpP1p1/3P2P1/8/1b6/2N5 w - -,c1e2
6k1/2P1p3/6pp/8/p4rP1/2n4P/5PB1/R5K1 b - -,f4c4
rnb1k2r/pp1ppnbp/1qp3p1/5p2/3P1B1P/2N2N2/PPP1PPP1/1R1QKB1R w Kkq -,e2e3
r1bq1rk1/ppp1ppbp/2n3p1/4P1Bn/8/2N2N2/PPP1BPPP/R2QK2R b KQ -,d8d1
5r1k/p5pp/2p5/2qp4/P4r2/1P1Q4/2PR1PPP/5RK1 b - -,h8g8
R7/3bppk1/2Np1np1/2pP3p/7P/1Q3Bq1/4P3/6K1 w - -,g1h1
r2q1rk1/pp1nbpp1/2p1pnp1/2Pp4/3P4/1P4P1/PB2PPBP/RN1Q1RK1 w - -,f2f4
4r1k1/pp3p1p/6p1/2pr4/3b1B2/3PP1Pq/PP3P1P/1R1Q1RK1 b - -,d4f6
6r1/p3p1k1/1p1pPnp1/2r5/5PB1/2P5/PP4R1/2K1R3 b - -,f6g4
rn3rk1/ppb2ppp/3qpn2/5b2/1PPN4/P1N1B1P1/4BP1P/R2Q1RK1 b - -,f5h3
3rq3/pbr2npk/1p3pNp/1Pp1p3/P3PP2/3P2R1/1Q2B1PP/5RK1 w - -,h2h4
2Q5/p3kpp1/1q2p2p/1p6/3b4/4RP2/5KPP/1B6 w - -,c8c1
8/7p/k5p1/5p2/2pB3P/6P1/1P2PPK1/8 w - -,g2f3
r2q1rk1/pb1nbppp/1pp2n2/3pN3/3P1B2/1QN3P1/PP2PPBP/R4RK1 b - -,f8e8
4r1k1/5pp1/2p5/pp3Pq1/3Prn1p/1P3Q1P/P1N2RPK/5R2 b - -,f4e2
r1bq1rk1/ppb1npp1/2n1p2p/3pP3/3P4/2NQ1NP1/PP3PBP/R1B2RK1 b - -,a7a6
8/3n3p/p5p1/1p1kbp2/4p2P/1PB1P1P1/P2KNP2/8 b - -,e5d6
rn1qk2r/pp2ppbp/2pp2pn/8/2PP4/2N2PP1/PP3PBP/R1BQK2R w KQkq -,e1g1
3r2k1/2p2ppp/1p2p3/p1n5/2P5/1P3BP1/P1QqPP1P/2R3K1 b - -,g8f8
8/6pk/r6p/4r2P/P4R2/5P2/R4KP1/8 b - -,e5h5
r2qk2r/pp2bppp/5n2/2np4/8/4PN2/PP1B1PPP/RN1Q1RK1 b kq -,e8g8
8/4kpp1/B3b2p/2P4P/1r6/4BP2/5KP1/8 b - -,e6c4:b4h4
r1b1k2r/2q1b1pp/p2ppn2/nN6/NQ2P3/4B3/P1P1B1PP/1R3RK1 b kq -,a6b5
8/5ppk/3r4/5P2/2R3P1/1P2p3/1P6/4K3 w - -,e1e2
3qnbk1/5r1p/1p4p1/3Np3/3rP1B1/7Q/5PPP/R4RK1 b - -,e8g7
1R6/8/8/8/r4kP1/5P2/6K1/8 b - -,a4a2
3r4/p3k1p1/1p1bpp1p/3n4/3P4/PN2B2P/1PR2PP1/5K2 w - -,f1e2
r2qrbk1/1b3p2/p2p1np1/1ppPp2p/2n1P3/1PP3NP/P1B2PPN/R1BQR1K1 b - -,c4b6
r3k2r/1b2bpp1/pq6/1pN4p/1Pp1P3/P3Q1P1/2P3BP/R4RK1 b kq -,a8c8
r2qkb1r/pp3p1p/2b1p3/2PpPn2/P2B2p1/5N2/1PP2PPP/RN1Q1RK1 w kq -,f3e1
r4k2/5p1p/1p4p1/3pPp2/1P1KbP2/2P5/4N2P/3R4 w - -,d1d2
1n2r1k1/1qp3pp/r1bppn2/p4p2/N2P4/PP2QBP1/4PP1P/1RR1N1K1 b - -,h7h6
3r1rk1/1b1n2pp/1ppQqb2/p3p3/2P1Pp2/1PB2B2/P3NPPP/3R1RK1 b - -,e6d6
8/8/p7/K3k1P1/4p3/4P3/8/8 b - -,e5f5
5rk1/p2n1ppp/bq2pB2/3p4/1P4n1/P2N1NP1/3QPPBP/5RK1 b - -,g4f6
rnbq1rk1/pp2ppbp/2p3p1/2Pn4/2BP4/1QN2N2/PP3PPP/R1B1K2R w KQ -,e1g1:a2a4
rn1q1rk1/pbp1bppp/1p6/3p4/3PnB2/2N2NP1/PP2PPBP/R2Q1RK1 w - -,a1c1
r1bq1r2/bpp2pk1/p2p1nn1/4p1pp/2N1P3/1BPP1PB1/PP4PP/R2QNR1K b - -,b7b5
r2q1rk1/p5pp/2ppb3/2p1p1b1/4N3/1P1P4/PBP1QPPP/4RRK1 b - -,g5f4
2r2rk1/p3n2p/b4pp1/q2Np3/N2nP2P/pP4P1/2PQ1PB1/3RR1K1 b - -,a5d2
r3qrk1/1bp2pb1/ppnp1n1p/4P2P/4PB2/1BP3N1/PP2Q1PN/R3R1K1 b - -,c6e5
3r1r2/pp2k1pp/2p2n2/4p3/4P3/2N2PP1/PP3KP1/R2R4 w - -,f2e3
r2r2k1/pb2ppbp/1q4p1/3p4/1PP1n3/1Q2PN2/PB2BPPP/R2R2K1 b - -,g7b2
8/1p1r2pk/p2P1nrp/5p2/P2B1Pq1/4Q3/1P1R1RPP/6K1 b - -,f6e4
r1bqk2r/1p2bppp/p2ppn2/2n5/3NP3/1BN5/PPP1QPPP/R1B2RK1 w kq -,f2f4
2kr3r/ppp3pp/8/2b2p2/4nP2/P7/1PK1N2P/R1B2R2 b - -,h8e8
r2q1rk1/pp3ppp/1bppb3/3N4/1PP1Q1nP/P3P1P1/1B1P2B1/R4RK1 w - -,d5b6
3r2k1/5q1p/p7/P1n2pp1/3R2P1/4P3/4QP1P/4B1K1 b - -,d8d4
r3k2r/pp1qp1bp/2np2pn/2p2p2/4PP2/2NP1N2/PPPB2PP/R3QRK1 b kq -,e8g8
3r1rk1/ppp2pp1/2nq2p1/3n2P1/2BP4/P1P1B2P/5P2/R2Q1RK1 w - -,e3d2
r1bq1rk1/ppp1bppp/1n1p1n2/8/2BQP3/P1N2N1P/1PP2PP1/R1B1K2R w KQ -,c1e3
rnb2rk1/pp3pp1/2p4p/3p4/3P2nq/2NBPN2/PPQ2PPP/R3K2R b KQ -,g4e3
r1r3k1/5pp1/p1nBb2p/1pp1p3/4P3/2PP1N2/PnB2PPP/RR4K1 b - -,b2d3
1r1qr1k1/3n1pp1/p2p1n1p/1ppP4/P6B/2P1P2P/2Q1BPP1/3R1RK1 w - b6,f1e1
1k6/8/K7/Bp6/1P6/8/8/8 b - -,b8c8
1K6/8/2kn4/2B5/8/1B6/8/8 w - -,c5e3
8/8/5kP1/p5p1/2K1P1P1/3R1P2/8/r7 b - -,f6g6
1q4k1/p2r1pp1/2R1p1p1/8/2PB4/3R3P/P4PP1/1r1Q2K1 w - -,c6c8
6k1/2r5/p3bppB/1p2p3/4P2P/1NN2P2/Pn3K2/5R2 b - -,c7c3
r2q1rk1/pp2b1pp/2n1bp2/2pnp3/8/1P1P1NP1/PB1NPPBP/2RQ1RK1 b - -,a8c8:d8d7
r4k2/5p1p/2N2bp1/P2R4/8/5P2/5P1P/5K2 w - -,f1e2
q2r2k1/1b3pb1/4pnp1/7p/Pp3P2/1P4QP/3BR1P1/1BN4K b - -,h5h4
1rbq1rk1/p5pp/2p1p3/5p2/1b6/1PnB1QN1/P1PB1PPP/R3K2R b KQ -,c6c5
r1bq1rk1/pp3p1p/3bpnp1/2p5/2PP4/3Q1N2/PPB2PPP/R1B2RK1 w - -,f1d1
2rrk3/1p4pp/pn2bp2/8/1PP1PP2/3BK3/1B5P/2RR4 w - -,c4c5
8/8/p2rk2p/1p2p3/6Pp/1P2KP2/P1R5/8 w - -,c2h2
r3rBk1/p6p/6q1/3N4/2Qp4/PP1n3P/5RP1/6K1 b - -,e8e1
4r3/1b2rpk1/p3pb1p/Pp1p2p1/1N3PP1/2P3P1/1PN2K2/3RR3 w - -,f2f1
4qr1k/r6p/1pnp2p1/p1p3P1/2PpPP2/PP1B2P1/3Q2K1/4RR2 w - -,f1h1
2r5/4pk2/5p2/p2Rb1p1/r1p2PPp/4P2P/PPR1K3/3N4 b - f3,g5f4
r2r2k1/1bq2ppp/p2bp3/3n4/3N1P2/1BPQ4/1P1B2PP/4RRK1 w - -,f4f5
q1r5/5pkp/p1b2n2/1pP5/1Pp2P2/P7/1NRQ2PP/5R1K w - -,d2c3
2q1r1k1/1pn2p2/3p2p1/2pP2Bp/2P2Q2/P1bB3P/1nN2PP1/5RK1 w - -,f4f3
2r5/1r1p3p/4p3/1Pk2pp1/R1P5/6P1/5P1P/2R3K1 b - -,c8c7
r1r3k1/2qbbppp/p2p1n2/1p1Pp3/NP2P3/8/PB1NBPPP/R2Q1RK1 b - -,b5a4
8/kb3pRB/1p2pq2/p1r5/Pn1p4/6QP/2P2PP1/4R1K1 w - -,g7g8
3r2k1/5ppp/p2P2n1/2Q3P1/2p3q1/8/PPB5/1K1R4 b - -,d8e8
8/1b5k/p5p1/1p1p3p/1P1N1rBR/P1P1r2P/6PK/8 w - -,d4f3
1k6/8/2PP1b1p/5P2/ppN5/8/2K3P1/8 w - -,c4b6
6k1/8/2p3p1/2Pr1p1p/2R5/4P1PP/5P2/6K1 w - f6,g1g2
8/8/8/p2p1k2/p1pP1b2/5P2/1P4N1/3K4 w - -,d1c2
r1br2k1/2q1bpp1/pp5p/2pPN3/P7/R6P/1P2QPP1/2BR2K1 b - -,e7d6
r5k1/6p1/4pp1p/2Rp4/2bP2N1/1q4PP/2Q2P2/6K1 w - -,c2g6
r2q1rk1/ppb3pp/2p1b3/2Ppnp2/PP2nB2/1N1BP2N/2Q2PPP/R4RK1 w - -,b3d4
8/8/6pp/6r1/4k2N/7P/5P2/5K2 w - -,f1e2
1rr2bk1/2nb1p1p/pp4p1/3Pp3/1P2P3/2N1B1P1/5PBP/RR4K1 w - -,g2f1
6rr/p2kbp2/2p5/2ppP2p/8/2P1B1PR/PP3P2/2KR4 w - -,d1h1
rn2kb1r/pp2pppp/2p2n2/2Pp4/1P1P4/5N2/1P2PPPP/RbB1KB1R w KQkq -,a1b1
5rk1/R3Rpp1/1p1r3p/p3B3/n5PP/P4PK1/1P6/8 b - -,d6d3
2rq1rk1/1p2bppp/p1n1pn2/3p4/3P1B2/2N1PB1P/PP3PP1/2RQ1RK1 w - -,d1e2:d1d3
6r1/p2b4/1p1k1ppp/3p4/5K1P/P5P1/BP1R1P2/8 b - -,d7e6
3q1bk1/pb3r2/5r1p/2p1p1p1/P3N3/1P1PNPP1/2PQ2KR/7R w - -,d2e2
r2r2k1/1ppn1pb1/p3bnpp/4p3/2P1P3/2N1BN1P/PP2BPP1/R4RK1 w - -,f1d1
r7/1p1rpkbp/2p2pp1/q7/PR1P3B/4P3/2Q2PPP/1R4K1 w - -,h2h3
r3k2r/pbpnqpp1/4p2p/1p1nP2P/2pP4/2P2N1R/P1QB1PP1/R3KB2 w Qkq -,h3g3
2b2rk1/ppr3np/2p2np1/2PpNp2/3P4/3BP3/P4PPP/1RN1R1K1 w - -,c1b3
3Rr1k1/5ppp/8/Q1p5/P6K/1P2r3/6bP/8 w - -,d8e8
r2qk2r/ppp1bppp/4pn2/3p1b2/1nPP4/2N2NP1/PP2PPBP/R1BQ1RK1 w kq -,f3e5
r1b1kb1r/pp1npp1p/2p2p2/3q4/3P4/2P1BN2/PP3PPP/R2QKB1R b KQkq -,d7b6
2R5/K3k3/R6p/4p3/8/5b2/P4p1P/1r6 b - -,b1b7
r1b2rk1/p1b4p/2p3p1/2Nn4/2NB1p2/2P1P3/PP5P/2KR2R1 b - -,f4f3
2k2r2/p1p4r/bp1p2p1/3P4/1P1RP1p1/P1N3P1/6P1/2K3R1 b - b3,c8d8
r1bqkb1r/pppnpppp/8/8/3Pp3/4BP2/PPP3PP/R2QKBNR b KQkq -,e4f3
8/5p2/5p1k/5Pb1/p1r1p3/6Pp/R3K2P/R7 b - -,h6h5
rnbqk1nr/pp2ppbp/6p1/2ppP3/3P4/4B3/PPPQ1PPP/RN2KBNR w KQkq -,b1c3
r1bqk2r/pp3ppp/2np1n2/2p1p3/2PPP3/2PB4/P3NPPP/R1BQK2R w KQkq -,e1g1
r1b1k2r/1p1nbppp/p2ppn2/6B1/3NPP2/q1N5/P1PQB1PP/1R3R1K b kq -,a3a5
2r1r1k1/2qn1pbp/p1bp1np1/1p2p3/3PP2N/1P4NP/PB1QRPP1/1B1R2K1 b - -,d7f8
rnbqkb1r/ppp2ppp/4pn2/3p4/8/3P2P1/PPP1PPBP/RNBQK1NR w KQkq -,g1f3
8/7p/3rkpp1/8/3b4/R3B2P/P4PP1/5K2 b - -,d4e3
rn1q1rk1/ppp1bppp/5n2/3p4/3P2b1/3B1N1P/PPPN1PP1/R1BQ1RK1 b - -,g4h5
r1bqk2r/3n1pbp/5np1/p3p3/Pp2P3/3BNN2/1P1B1PPP/2RQR1K1 w kq -,e3c4
r1bqkb1r/pp1n2pp/2n1p3/2ppp3/3P4/2P2N2/PP1NBPPP/R1BQR1K1 w kq -,f3e5
