8/8/pp1p1kpn/2pP4/2P1BP2/5K2/PP6/8 w - -,e4d3
r3r1k1/1bp2ppp/1p1b1n1q/1P1p1B2/3P4/1Q2PNP1/1B3PP1/1R3RK1 b - -,h6h5
5rk1/1r3pp1/p3p2p/1pb5/5P2/P1N3P1/1PP3KP/R2R4 b - -,f8c8
rr1q2k1/1b1n1pbp/p2P2p1/1Pp1p3/4P1B1/N1P1B2P/3Q1PP1/1R1R2K1 b - -,b7e4
3qr1k1/4r1bp/3p2p1/p1pP1p1n/2BnP3/1PN2P2/R2B2PP/3QR2K b - -,e7e5
1k6/pp1n1ppp/8/4p3/8/PPrP1BP1/5PKP/4R3 w - -,f3d5
3q1r1k/6bp/1Q3np1/3p4/Pnp5/R1N1BNPP/1P3PK1/8 b - -,b4c2
r2q1r1k/1b1nbppp/p2ppn2/1p6/3NP3/P1N1BPQ1/1PP1B1PP/R4RK1 w - -,a1d1
5bk1/B2R1ppp/4p1b1/8/Bp6/1P2PP2/r5PP/6K1 b - -,a2c2
r4b1k/5p2/pp3q1p/5p2/2nN4/6PQ/P2R1P1P/R5K1 w - -,d2d1
r3k2r/1p1n1ppp/p1p5/4P3/P4P2/2PRB3/4KP1P/3R4 b kq -,e8c8
1r1r2k1/pp4b1/3qbp1p/2pNp1pB/2PBP2P/5P2/PP4P1/1R1Q1RK1 b - -,e5d4
4r3/p6k/1p1p2np/2pP1b1B/2P2Pp1/6PP/PR1N1RK1/4r3 b - -,g4h3
1rb3kr/ppN1b1pn/3p3p/4pP1q/4P1n1/2NPB2R/PPP1Q1PP/R5K1 b - -,e7h4
4r2k/5pp1/pb4p1/1pNb4/1P6/2P1B2P/P1p2PP1/2R3K1 b - b3,d5a2
r3brk1/ppq3p1/2nbp2p/3p4/3P3N/P2B2n1/1PQ1NPPP/R4RK1 w - -,h2g3
8/8/6pk/4Qp2/5Pp1/K5P1/7q/n7 b - -,h2g3
8/1p2r1kp/1Pnq1N2/3p2p1/Q3p3/4P2P/6P1/5RK1 b - -,e7e6
r2q1rk1/1p4b1/p2p3p/2pP1p2/PnP1NP2/1P5P/3R2B1/3Q1RK1 w - -,e4g3
8/2p3k1/3p3p/r2P2p1/5PP1/3BK1P1/3N4/8 w - -,e3d4
3r2rk/pp1qbp1p/2p1p1pB/7n/PnBPP3/5P1Q/1P2NP1P/2R3RK w - -,c1d1
2r3k1/6bp/4q3/p2p1p2/PP2rP2/6PP/3QbBNK/1R2R3 w - -,e1c1
5nk1/r1q1rpbp/1p1p4/pB2PppP/P2P2P1/2P5/3BQ3/R4RK1 w - -,g4f5
8/8/3kpp1R/8/1p6/3r2P1/5PKP/8 w - -,h6f6
r2r4/2k2ppp/p1p1p3/8/7R/1PP3P1/4PP1P/R5K1 b - -,h7h6
r2q1rk1/1b2pp1p/1p1p2p1/p1n5/2BbPP2/P1N5/1PPBQ1PP/R4R1K w - -,f4f5
r4rk1/pp2bppp/3p4/7P/2qP4/1P2B3/P1P2PP1/1K1R3R w - -,b3c4
r4rk1/1pnqbppp/3pb3/6Pn/4PN2/pPN1B3/P1PQ3P/1K1R1B1R b - -,h5f4
4R3/pp1r4/5k1p/4pbp1/8/3pKP2/PP1R4/8 w - -,e8h8
r1bqk1nr/1p1pppbp/p5p1/8/3PP3/2N5/PPB2PPP/R1BQK2R b KQkq d3,d7d5
8/8/7p/2k1p1p1/1b2BpP1/5K1P/8/8 w - -,e4f5
2r3k1/1p1r1qp1/1Bnp4/pB2pb2/P7/2P1Q2P/1P1R1PP1/4R1K1 b - -,f5e6
1r2kn2/2r1b3/4p1p1/p2pP3/P1qP1P2/3N3R/6RK/3Q2B1 w - -,h3f3
1r3rk1/1ppq2bp/p1npbnp1/P2Npp2/2P1P3/3PB1PP/1P1QNPB1/R3K2R b KQ -,b8e8
r2r2k1/pp2qpp1/4bn1p/2p5/4P2Q/P2B4/1P3PPP/R1B2RK1 w - -,d3c2
r3r1k1/4ppbp/bqp2np1/p2p4/2PP4/B3PN2/P3BPPP/2RQK2R w K -,e1g1
5nk1/1b3q2/pQr1p1p1/4P2p/2PR1P1P/1P6/P5P1/5BK1 w - -,b6d8
r2q1rk1/p4pp1/2np1np1/1p1pp3/3P1P2/2P1P1N1/PP1N2PP/R2Q1RK1 w - b6,f4f5
7k/6b1/p2r2R1/6p1/8/P7/3r2BP/6BK w - -,g6g5
8/p1kr2np/1p4p1/6P1/1P2B1KP/5P2/2R5/8 b - -,c7d6
5rk1/6p1/p2r3p/1p1P1pb1/6P1/1BP5/PP4P1/3R1R1K b - -,f5g4
5n2/1pq2kpp/p2b1p2/2pR4/2P4N/1P5P/PB2RPP1/6K1 b - -,g7g6
r2nqrk1/4Rp2/p5p1/3P2Qp/7P/3BP3/P5P1/2R3K1 b - -,f7f6
3k4/p7/5p2/1BP3pp/7P/P1K2bP1/8/8 b - -,d8c7
r1bq2k1/1p2bpp1/p3pn1p/4N3/7B/2N2Q2/PPP2PPP/4R1K1 w - -,c3e4
2r4R/pp4k1/2pb2p1/q2b1pP1/N2PpP2/1P2P3/P1Q1B1K1/3R4 b - -,c8h8
1R2rbk1/5ppp/3pb3/8/2P5/4B1P1/r2NPP1P/1R4K1 b - -,a2a8
r2n1r1k/bpp1q1pp/3p4/p2PP3/5p2/PBB2Q1P/1PP2PP1/R3R1K1 b - -,a5a4
rn3k2/6pp/p7/8/1pQ3P1/2P1p2P/PP4K1/8 w - -,c4c8
rn3rk1/1bq1bppp/pp1ppn2/8/2PQ4/1PN2NP1/PB2PPBP/2RR2K1 b - -,b8d7
2r1nrk1/1b1nbppp/pq1pp3/1Pp1P3/3P4/1P3NP1/1BPNQPBP/R4RK1 b - -,a6b5
Q4bk1/3r1p1p/3P2p1/pp2P1q1/8/8/P3R1PP/2R3K1 b - -,g5c1
8/1pr2Rkp/3p1pp1/q2P4/2PQ1P2/1P5P/6P1/4R2K b - -,c7f7
r3qrk1/pppQ2pp/4p2n/4P3/8/5N1P/PP3PP1/3R1RK1 b - -,f8f7
8/3b1k2/5n2/1p1PQ3/1P2p3/8/3KB1q1/3N4 w - -,d1e3
8/7k/p7/P7/1P1Q1PK1/1q5P/8/8 b - -,b3a2
1rb2rk1/5ppp/pqn1p3/1p1pP3/5P2/3BNN2/PnP2QPP/R4R1K b - -,b2d3
3r4/7k/p1p3pp/qpP1Pp1n/5Pb1/1B5P/PP4Q1/2R2R1K w - -,h3g4
3rr1k1/1p3p1p/1q1p2p1/pNnPp3/PnP5/1P2R1PP/3Q1PBK/4R3 w - e6,d5e6
8/1B6/1p1r1kn1/1K4p1/P5P1/8/8/4R3 w - -,e1f1
5rk1/1pq2ppp/4p3/1p1n1b2/PBp5/1nQ1PN2/1P2BPPP/3R2K1 w - -,d1d5
r7/5pk1/p1p2bp1/2Ppq2p/1P5P/PN1R1QP1/5PK1/8 b - -,a8e8
rr4k1/2nb1p1p/4p1p1/1p1pq3/PQ6/2N1P2P/4BPP1/2R2RK1 w - -,a4b5
r1bq1rk1/pppp2bp/2n2np1/4pP2/2P5/2NP2P1/PP2NPBP/R1BQK2R b KQ -,g6f5
r1r3k1/1R3ppp/4p3/8/5B2/1Nb3P1/1n2PPKP/2R5 b - -,c3f6
8/pp3k2/5pp1/3rp3/7P/1Pn2r2/P1KR1B2/4R3 w - -,d2d5
8/1k5p/1p6/3p4/P2N1n2/KP3PN1/6P1/2n5 w - -,a3b2
8/3p1k2/3r2p1/1p1N1p2/7r/PP1K4/2P2R2/8 w - -,c2c4
3q2k1/rbpn2pp/p2bpr2/3p1p2/3P1N2/3BPNP1/PPQ2PP1/2R2RK1 w - -,f3g5
4rrk1/pp3np1/2pp2p1/1P6/P1PP4/1Q1b1NBP/4qPP1/R4RK1 w - -,a1c1
3N4/7p/5pp1/4p3/2k5/b1r1B3/5PPP/1KR5 b - -,a3c1
2r1r3/pp3ppp/2n1bk2/3p4/3P1b2/1P2NNP1/1P3P1P/1B1RR1K1 b - -,f4d6
6k1/7p/6p1/1p6/1Pb1R3/P1N4P/5rPK/8 b - b3,f2c2
rnbr2k1/pp3pbp/4Pqp1/1N6/3Bn3/PN6/1P2BPPP/R2Q1RK1 b - -,f6e7
r4rk1/1bq2ppp/p2n1b2/2p1pPB1/P1NpP3/3B2Q1/1PP3PP/R3R2K b - -,f6g5
r1bqr1k1/p4ppp/2pp1n2/2b1p3/2P1PP2/2N5/PPB3PP/R1B1QR1K b - -,c8e6
4k3/3nPpQ1/1q2p2p/3pPn2/1p5P/1P3BP1/6K1/3R4 w - -,g7h8
2r1r1k1/pp1n3p/q2n1pp1/3Pp3/2P3P1/4P2P/PBRN1Q2/5RK1 w - -,f1c1
rnbqkb1r/p4ppp/4pn2/1pppN3/3P4/6P1/PPP1PPBP/RNBQK2R w KQkq c6,c2c3
2r2bk1/pn3p1p/1p2p1p1/2P5/4N1P1/B1P1PP2/P6P/1R1r2K1 w - -,b1d1
r2q1rk1/pb1n1ppp/1pp1pn2/3p4/1PPP4/5NP1/P1QNPPBP/R4RK1 b - b3,a7a5
1r4k1/R4N2/5qp1/1p2P3/3p2Pp/2bP1P1P/6K1/8 w - -,e5f6
5k2/3r4/2q2p2/1pP4p/1P2p3/1Q1p1P1P/3R2P1/7K w - -,f3e4
r1r3k1/1p2pp2/6np/p1Pq1bp1/3Pp3/4P1B1/1Q2BPPP/1RR3K1 w - a6,e2c4
rnb2rk1/ppq2pbp/2p2npB/4p3/4P3/2NB1N2/PPPQ1PPP/R3K2R w KQ -,e1g1
r1br2k1/N2qbppp/pP2p3/4n3/1P1N4/P3P3/2P1B1PP/RQ2K2R b KQ -,c8b7
1q1br1k1/5ppp/2p1pn2/1pPp4/1P1P4/1NN1P2P/2Q2PP1/R5K1 w - -,c2a2
2r3k1/3p2pp/p3p2r/np1bPp2/8/2PB1N2/PP3RPP/4R1K1 w - -,f3d4
rn1q1rk1/pbp1bppp/1p2pn2/3p4/2P5/1PN2NP1/P2PPPBP/R1BQ1RK1 w - -,e2e3
rnbqk2r/pp3pbp/3p1np1/2pP4/4PP2/2NB4/PP4PP/R1BQK1NR b KQkq f3,e8g8
8/5p1p/8/p2bkp2/P2R4/4P2P/r3BKP1/8 b - -,d5b3
3k4/1R4p1/2R5/1n2r3/3p3P/1P4P1/5PK1/8 w - -,b7g7
r1bqkb1r/ppp1pppp/5n2/3Pp3/2P5/8/PP2PPPP/RNBQKB1R w KQkq -,g2g3:b1c3
6R1/1r2kp1p/1p2p1p1/1N1n4/3P4/5KP1/2P2P1P/8 w - -,g8c8
3b2k1/p4pp1/1p4np/1B2P3/5P2/4B1PP/PP6/6K1 w - -,g1g2
r2q2k1/1pp2pbp/1n4p1/p7/P3PPb1/2N3PP/1PQ3B1/R1B3K1 b - -,g4e6
4kb2/5pr1/3p1p2/p2RpP2/bq2P3/1N1R1Q2/6PP/1K6 b - -,a4c6
1r1qr1k1/p4pbp/bp1p1np1/2pP4/PnN1PB2/3B1N1P/1P3PP1/2RQR1K1 b - -,f6h5
3qr3/1p3r1k/p1p3pb/P1NpBp1p/1PnP4/3QPP2/4R1PP/4R2K w - -,f3f4
r1b2rk1/1p1nqpb1/6pp/1Pppp3/P2P4/1QN1PN2/5PPP/2R1KB1R b K -,c5d4
5bk1/1p3pp1/pQ1p3p/8/2Pn1BR1/1P2N1KP/P4PP1/1q5r b - -,b1e4
rq3rk1/1b1pbppp/p1n1pn2/1p6/3NP1P1/P1N1BP2/1PP2Q1P/3RKB1R b K g3,c6d4
6k1/6pp/p1R5/2nR4/2rN4/6PK/P4r1P/8 b - -,f2d2
r2q1rk1/pb1pppbp/1pn3p1/8/2PNPn2/2N1BP2/PP1QB1PP/R2R2K1 b - -,f4e2
3r1rk1/ppq2pbp/n1p1b1p1/4p1Nn/2P1P3/2N1B2P/PP2BPP1/R1QR2K1 b - -,h5f4
