8/R3k3/2B2p2/2P2P2/3PK3/1r6/4n3/8 b - -,e7d8
4r1k1/2p3p1/p1R1bp2/8/1P1QP2P/P2P1PK1/8/3q4 b - -,d1f1
8/6p1/5k1p/1bp2p2/p1p2P2/R1P1K2P/P5P1/8 b - f3,b5c6
r2r2k1/p4Pb1/1p4p1/n1p3p1/8/1PP3BQ/q4PPP/4RRK1 b - -,g8f8
r2qk2r/pp1bppbp/2np2p1/2p4P/2P3n1/2NP1NP1/PP2PPB1/R1BQK2R w KQkq -,h5h6
rnbqk1nr/ppp1bppp/3pp3/8/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq -,f1c4
r1b2rk1/ppp1qpp1/2n2n1p/4p3/2BP4/2N1PN2/PP3PPP/2RQ1RK1 w - -,d4d5
2r3k1/1p1n1p2/p2q1npp/8/2P5/PP4PP/2N3B1/4QR1K b - -,d6d3
2R5/1p6/3bnk2/p7/P1P1b1P1/1P6/5K2/3B4 w - -,f2e3
2n1r3/p1P5/8/P6p/1BkNn1p1/3bP1P1/6BP/2K5 w - -,b4a3
4r1k1/5p2/6p1/1Q6/2rB3p/4Pq2/P4P2/5RK1 b - -,f3c6
8/1p4p1/pNbP1k2/4pP2/4P3/6br/1P1q1RK1/5Q2 b - -,g3f2
r2q1rk1/pp2ppbp/5np1/1B1pnb2/3P1B2/2N5/PPP2PPP/R2Q1RK1 w - -,f4e5
r5k1/3rbppp/p2qbn2/1p2p3/2p1P3/2P1R1NP/PP1NQPP1/R1B3K1 b - -,d6c7
rn1q1rk1/1b2bppp/pp2pn2/3pN3/Q2P1B2/2N3P1/PP2PPBP/R1R3K1 b - -,b6b5
2rq1rk1/1p1nbppp/p1npb3/4p1P1/4P2P/1NN1B3/PPPQBP2/2KR3R b - -,d8c7
4r1k1/1p4b1/p5p1/5p2/3P4/1P2p2P/PBq3K1/2R5 w - -,c1c2
r4rk1/1pq1np2/2bNp1pp/2P5/p7/P1R5/1P1Q1PPP/1B2R1K1 b - -,h6h5
3r4/4bk1p/p1r1pp2/1p1n2p1/3B4/2P3PP/PPN2P2/1KRR4 w - -,c2e3
3r3k/1p4p1/p3pb1p/4pq1N/8/1PPb1N1P/1P3QP1/4R1K1 w - -,h5g3
r1R3k1/1p2rp2/3b1qnp/pP1p2p1/3P4/3NPN2/5PPP/1QR3K1 b - -,a8c8
2rr2k1/pb3p1p/1p2p1p1/8/3NnP2/BP2P3/P4KPP/R1R5 w - -,f2g1
r4rk1/ppp1qp1p/1nn1b1p1/8/3QP3/2N2N1P/PP2BPP1/R4RK1 w - -,d4e3
r2b1rk1/1p3pp1/pqbPpn1p/2p1N3/7B/4Q3/PPP2PPP/2KR1B1R w - -,f1c4
2rr4/p7/2P2k1p/7R/3p1P2/8/P6P/3R2K1 b - -,f6g6
1r5k/3P2qp/7r/1P2p3/2B2pb1/1P3R2/4Q2P/3R3K b - -,b8d8
8/2Rk4/rP1p4/4p3/1K3p2/6p1/2P5/8 b - -,d7e6
8/2p4p/pp4p1/2k2p2/PnP2P2/4K1PP/3N4/8 w - -,g3g4
5k2/nb1r2bp/3p1pp1/Pp1Bp3/1P1pPP2/N2P2P1/4N2P/2R3K1 w - -,d5e6
8/5pkQ/1p6/p7/5q2/P1P5/KPB5/2b5 b - -,g7f8
8/pkp4R/4r3/3N4/3p4/3n1K2/PP4P1/8 b - -,d3e1
r1bq1rk1/1p1pppbp/6p1/p7/P2nP1Q1/1BN1B3/1PP2PPP/R3K2R w KQ -,g4h4
5B2/5k2/R4p2/8/p2n4/6PP/r7/6K1 w - -,f8c5
r1bq4/pp4kp/2p3p1/2P1b3/3p1r2/1Q1P2N1/PP3PBP/R4RK1 w - -,a1e1
r1bqkb1r/ppp3pp/3ppn2/5pB1/2PPn2P/2NBPN2/PP3PP1/R2QK2R b KQkq -,d6d5
r1b1k1nr/pp3p1p/2n1p1p1/3pP3/q1pP3P/P1P2N2/2PB1PP1/R2QKB1R b KQkq h3,h7h6
r2q1rk1/pb1nbppp/2p1pn2/1p6/3P4/2NBPN2/PP1B1PPP/R2Q1RK1 w - -,a1c1
rnbq1rk1/p3ppbp/2p2np1/1p1p4/3PPB2/2NQ1P2/PPP3PP/2KR1BNR w - b6,h2h4
1r1q2k1/1p1b2bp/p1nNp1nr/P1p1Pp2/3p1P2/3P1BN1/1PPB3P/R2QR1K1 w - -,e1e2
r2r2k1/2q1bppp/p3p3/1ppbP1P1/1n2NP1P/4B3/PPP1Q1B1/1K1RR3 w - -,a2a3
r1b2rk1/pp2ppbp/2B3p1/8/3PP3/4B3/P2K1PPP/2R3NR b - -,b7c6
4kb1r/r7/p1bppp2/1pq4p/4P3/2NB4/PPP3PP/1K1RQR2 b k -,f8g7
rnbqkb1r/pp3pp1/5B1p/2p1p3/2Pp4/P2P2P1/1P2PPBP/RN1QK1NR b KQkq -,d8f6
1qrB1rk1/1b3ppp/p1npp3/1p4P1/4PP2/2N2B2/PPP2Q1P/1K1R2R1 b - -,f8d8
2n2k2/1R4pp/r3P3/1p1p4/2pP4/2P1BP2/5K1P/8 w - -,b7b8
1rbq1rk1/5pbp/p1np1np1/1p1Pp3/1PP1P3/2N3P1/4NPBP/1RBQ1RK1 b - -,c6d4
r4rk1/2q1b1pp/2p1p3/pp2P3/n2B4/5N1P/1PQ2PP1/3RR1K1 w - -,b2b3
6rk/1p2qp1p/p1n2n2/3pp3/8/4QP1B/PPP4P/2KR2R1 w - -,g1g8
6k1/1p4p1/4p3/B4b2/r7/4R2P/6PK/8 w - -,a5c7
r2q1rk1/1p2n1bp/p1bpppp1/2p5/4PP1Q/2NP1N2/PPPB2PP/R4R1K w - -,e4e5
2r3k1/5pp1/pp2b2p/5n2/8/1qB5/1P1Q1PP1/2R1R1K1 w - -,e1e5
8/8/8/p2k4/P5RB/5K2/2r5/8 b - -,c2c4
r1b1nrk1/2q1ppbp/pp4p1/2p1p3/P3P3/N1PPB3/1PB2PPP/R2QR1K1 w - -,b2b4
r1b2rk1/p1p2pp1/1p6/3Pp1p1/6P1/2PR3P/PP3P2/2K3NR w - -,g1e2
3r1b1k/4q3/7p/1p1PP1pP/p3Q3/8/2B3P1/3R2K1 b - -,b5b4
8/pp6/3n1kp1/2pBp2p/4PP1P/2P3P1/PPK5/8 b - -,b7b6
4r3/1k6/6p1/3R1p1p/3P1P1P/2K1P3/8/8 b - -,e8e3
r2qr1k1/pppb1pbp/5np1/PB1pp3/3NP3/2PP2N1/1P2QPPP/R1B1K2R b KQ -,e5d4
1rb1r1k1/2qn1p1p/p2p2pb/3P3n/Pp1NP3/2P4P/N4PPB/2RQRBK1 w - -,c1b1
r3qrk1/6p1/p3bb1p/1pnpBp2/3Nn3/P3PN1P/1PB2PP1/R2Q1RK1 w - -,b2b4
2r3kn/1p3nb1/p5p1/1B1pP1P1/1B1P2Q1/1Pq5/P1N2R2/7K b - -,c3c7
8/8/7p/6rP/4kp2/8/4p2K/4R3 b - -,f4f3
r1br2k1/pp2bppp/2n1pn2/2P5/5B2/1BP2N2/P5PP/qN2QR1K w - -,f1f2
8/6k1/1R5p/2n1N1p1/4P3/2r2PPP/P3K3/8 b - -,c3c2
r4rk1/1b1q1p2/p2ppbp1/1p5p/3NPPn1/3P3Q/PPR1N1PP/5RBK w - -,e2g3
2br2k1/1pR2p1p/6p1/3P4/8/6P1/r4PBP/3R2K1 w - -,d1c1
1BN1nrk1/1R4b1/r1pp2pp/p3pp2/2P1P3/P2P1PPP/8/1R4K1 b - -,f5e4
2k4r/ppq2pp1/4p2p/1n2N2P/2pP1P2/2R3P1/1PP5/1K1R4 w - -,c3c4
8/p3kp2/8/2RP1p2/2P5/r4KP1/8/8 w - -,f3f4
r2qk2r/pp3ppp/3b1n2/2np4/8/2N1PN2/PP3PPP/R1BQ1RK1 b kq -,a8c8
r3r2k/1b5p/ppqpp1p1/2p1b1Bn/P1B1P3/1R1Q1P2/1PP1N1PP/3R2K1 w - -,g2g4
1rq1k2r/pp1bppb1/2np2pn/2p4p/2P4P/P1NP1NP1/1P1BPPBK/R2Q1R2 b k -,a7a6
8/8/r5kp/3n1Np1/p1R4P/P4P2/6PK/8 w - -,g2g4
5q1k/1Q4b1/7p/4p3/1p2B3/8/1P2b1PP/R6K w - -,a1a8
2b4r/1pb1kpp1/p3nq1p/2P1p3/1P2B3/2B2N2/P4PPP/3QR1K1 w - -,d1b3
8/6kp/1q3p2/p2Q3B/1p1n1P2/1P1P2PK/P2R1R1P/2r1r3 b - -,g7h6
5b1r/1p2k1p1/1q3p2/2pP3p/2P1P3/8/1B2Q1PP/R5K1 b - -,e7d7
2r1b1k1/4q1p1/7p/R7/2P5/P3r1Q1/1P4PP/3R2K1 w - -,g3f2
rn3r2/1pp3nk/3p4/p2Pp3/2P2q1N/6Q1/PP3PP1/R3K2R w KQ -,h4g6
r2r2k1/p3qpbp/np2p1p1/8/3PP3/B3QN2/P4PPP/2RR2K1 b - -,e7b7
2krbb2/ppq1np1B/4p1p1/3pP3/2pP1PP1/PnP5/1P2N2P/R1BQ1RK1 w - -,a1b1
8/R7/3k1P2/6p1/pp6/8/6r1/1K6 b - -,a4a3
3rr1k1/6pp/2p2q2/pp6/3pQPb1/1RP3B1/P1PK3P/5R2 w - -,e4h1
r4rk1/1p3pb1/p2p1qp1/2pP1n1p/b1P2N1P/3P2P1/PP1Q1BB1/1RK4R w - h6,g2e4
8/R1p4p/1p1pqn1k/3P1Bp1/1P2P3/5p1P/6PK/8 w - -,f5e6
5rk1/5p1p/p2r2p1/q1p1R3/2Qp1P2/1P4P1/2P4P/3R2K1 b - -,d6c6
4qrk1/p2R1ppp/1b2p1b1/1Qr5/P1B1PNP1/5P2/7P/3R3K w - -,b5b3
r2qk2r/p4pbp/bpn1p1p1/2ppPn2/5P2/N1PP1NP1/PP2Q1BP/R1B2RK1 b kq -,h7h5
2rr2k1/pp3ppp/q3p3/2p2n2/P1P1B3/1P2P1P1/3B1P1P/4QRK1 b - -,f5d6
2r1k2r/4bpp1/pq1p4/1p1bpB2/5P1p/1N5P/PPPQ2P1/1K1RR3 b k -,d5e6
8/p3ppkp/6p1/NrnnP3/R7/1P3P2/1P3P1P/4BK2 w - -,a4a3
r5k1/4ppb1/1n5p/pBqrB1p1/P1p5/7P/QP3PP1/3RR1K1 w - -,d1d5
r2q1rk1/1b2bppp/1p2p3/pB2P3/4pP2/PP6/1BP1Q1PP/R4RK1 w - -,a1d1
2bq1r2/5kpp/pp1p1b2/8/PP1BP2Q/2N5/1P4PP/5RK1 b - -,f7g8
8/4bpk1/4n1P1/3R3P/6K1/p7/P7/8 b - -,f7g6
6k1/6pp/RP6/8/P7/5P1P/r2r2P1/6RK b - -,a2b2
1r1rn1k1/2p1qp1p/bp4p1/p2B4/P3PP1b/N1P1B3/1P4QP/R2R2K1 b - -,e8f6
8/1p1k1p1p/p3p1n1/1P2P3/P1P1K3/8/5B1P/8 w - -,f2e1
1r2r1k1/pp2ppbp/n1p3p1/6Nq/2P3B1/Q2PB1P1/P3PP1P/1R3RK1 b - -,h5g4
rnbqk2r/ppp1npbp/6p1/3p2B1/3P4/3B1N2/PPP2PPP/RN1Q1RK1 b kq -,e8g8
8/6p1/2R4b/4p3/N5k1/4r3/8/4K3 w - -,e1f2
r1b2k1r/pp1n1ppp/2n1p3/2P5/4N3/P1P5/3BBPPP/R3K2R w KQ -,d2e3
1rbq1rk1/p4ppp/1pBbpn2/8/2PP1B2/1P3N2/P1Q2PPP/R4RK1 w - -,f4g5
r4rk1/ppq1ppbp/2p2np1/4n3/2N1P3/5BPP/PPP1QP2/R1B2RK1 w - -,c4e5
rnbqkb1r/p1p1nppp/1p2p3/3p4/4P3/3P1N2/PPP1QPPP/RNB1KB1R w KQkq -,e4e5
2r3k1/1p4p1/p2pR3/P2q4/3p4/3B3P/1PP2PP1/4R1K1 b - -,g7g5
3r2k1/4nbb1/1p2q2p/pP2p1p1/P1N1Pp2/3B2PP/1Q3P1K/2R1N3 w - -,c4a3
r2qrbk1/p1pn1pp1/2p1b2p/4R3/2P5/P2B1N1P/1PQ2PP1/R1B3K1 w - -,e5e1
2rq2k1/1b3ppp/pp2p3/3n4/P1NP4/1Q3BP1/1PR2PP1/6K1 w - -,a4a5
r2qk2r/pbp2pbp/1p1p4/4n1p1/2P1P3/2N3B1/PP2BPPP/2RQK2R w Kkq -,h2h4
r2q1rk1/pp2ppbp/2npbnp1/8/4P3/1NN2PP1/PPP3BP/R1BQ1RK1 w - -,f1e1:c3d5
R7/p4rkp/R5p1/1pb2p2/8/2P4P/5PP1/6K1 w - -,a6a5
r3k2r/ppp1qppp/2nb1n2/1B1p1b2/3Pp3/PP2PN2/1BP2PPP/RN1Q1RK1 w kq -,f3e5
q1r3k1/pb2bpp1/1p2p2p/3nN3/3P4/PB2BP2/1P3QPP/4R1K1 b - -,d5e3
4k3/pqr2p2/2Nb1p2/1P2pPrR/P2p4/3P4/4Q1PP/2R3K1 b - -,g5h5
r1bq1rk1/pp2bppp/2n1p3/8/2BP4/2n2N2/PP3PPP/R1BQR1K1 w - -,b2c3
4nB2/R5pp/1p3pk1/4p3/P3P3/5PK1/2r3PP/8 w - -,a7e7
2rq1bk1/n2b3p/4p1p1/p2p1p2/1p1P1P2/1P2P1P1/P2QN2P/2R1BBK1 b - -,a7b5
4k3/2R5/7K/8/7P/8/2p3r1/8 w - -,h4h5
r2r2k1/1bq1bppp/p1n2n2/1pp5/3pP3/1P1P1NP1/PB2QPBP/1NR2RK1 w - -,b1d2
rn2kb1r/pp3ppp/4pn2/3q3b/3P4/2N2N1P/PP2BPP1/R1BQK2R b KQkq -,f8b4
7k/4q1p1/4p1Q1/8/5PPK/7P/1p6/8 w - -,g4g5
1rbqr1k1/1ppn1pbp/p2p1np1/8/4P3/1NN1B1PP/PPP2PB1/R2QR1K1 b - -,d7e5
r1b1qrk1/1pp3bn/n2p3p/p2PpPp1/2P5/P1N3B1/1P1NBPPP/R2Q1RK1 b - -,c8f5
r1bq1rk1/1p1n1pbp/p1pp2p1/3N4/BPPpP3/3P3P/P2B1PP1/R2Q1RK1 w - -,d5f4
2r3k1/3Qbpp1/pp5p/5P2/1PP1p1PP/4B2q/P1R1B3/2R1K3 b - -,e7b4
r1bq1rk1/2p1bppp/p1n2n2/1p2p3/3pP3/2PP1N2/PPBN1PPP/R1BQR1K1 w - -,c3d4
7k/8/q2p4/P3p3/4P3/5PP1/3Q2K1/8 w - -,g3g4
5k2/p4p2/3P4/3R4/5p2/2PK1P2/8/r7 w - -,d6d7
r1bq1rk1/p2nBppp/2p5/4p3/2PpP3/3Q1N2/PP2NPPP/R4RK1 b - -,d8e7
r4rk1/pbq1ppb1/1p1P3p/2p1P1pn/Q6B/2P2N1P/P3BPP1/R2R2K1 b - -,e7d6
r7/5pkp/N1R3p1/P7/1b2p3/4P3/4K1P1/8 w - -,a6b4
8/8/5pk1/8/1p5R/1P4PK/2p1r3/8 w - -,h4c4
1r6/p5kp/1p4p1/8/2P1BR2/1P5b/P4P1K/8 b - -,h3e6
8/3rnpk1/3N4/7p/6rp/P1P5/1P5R/K2R4 b - -,g7g6
r1bq1rk1/pp2ppbp/3p1np1/2n5/2PNPP2/2N1B3/PPQ1B1PP/R3K2R b KQ -,c8g4
2q1r1kr/ppp3pp/2n2p2/2N1b3/8/1QPP4/PP3PPP/R1B2RK1 b - -,g8f8
r1bq1rk1/p3ppbp/6p1/8/1p1PQ3/1P2P1P1/PB3P1P/RN3RK1 b - -,c8f5
8/1b6/p6p/4p1p1/8/1P1P2Pk/P1N2K1P/8 w - -,c2e3
6k1/p7/1p4Pp/2pPB2b/2P1K3/1P5r/P7/6R1 w - -,e4f5
N7/8/5k2/6p1/8/3p2P1/3n1P2/2KB4 b - -,d2e4
6k1/p7/3p2Bp/2pP2pP/1rR2bR1/5K2/P4P2/4r3 w - -,c4c3
r3k2r/1bqpbpp1/p1n1pn2/1p5p/3NP3/2N1BP2/PPP2QPP/1K1R1B1R b kq -,a8c8
r4rk1/pp1b2pp/1q2p3/2bpP3/3N4/2BQ3P/PP3PPK/2R2R2 b - -,f8f4
r2q1rk1/pb2bppp/1p3n2/2np4/5B2/2N2NP1/PPQ1PPBP/R4RK1 w - -,a1d1
8/5k2/3K2n1/4P3/3P4/8/8/8 b - -,g6f4
6k1/r3p2p/3pPbq1/1BpP4/Pp4Q1/1P5P/8/5RK1 w - -,b5d3
rq2k1nr/5ppp/2p1p3/p1PpP3/5B2/2P5/P2Q1PPP/Rb2K1NR w KQkq -,g1e2
6n1/6kp/2bq1p2/1p2pP2/1Pp1P1NP/2P1Q3/2B5/4K3 b - -,d6d7
8/3Q3p/2p1P1rk/1q3rp1/3P1p2/3R1P1P/6PK/3R4 b - -,b5d5
3rk2r/1pp2p1p/2n3p1/1P1bP3/p3BP2/P3KN2/6PP/2R4R b k -,c6a7
r2q2k1/1p2prbp/5pp1/pP1p4/3P1P2/Q1Pb1N2/3N1RPP/4R1K1 w - -,d2b3
8/8/5p1n/7B/k3KP1P/8/8/8 b - -,a4b4
rnbq1rk1/pp2ppbp/2p3pn/8/3Pp3/2NB1N1P/PPP2PP1/R1BQ1RK1 w - -,c3e4
1R6/6p1/7p/2k1b3/1p4P1/3K3P/8/8 w - -,b8b7
2k5/1p3p2/1P2p3/3p4/5K2/3B4/1p4P1/1N2r3 b - -,e6e5
rn3r2/p2qp2k/2pp2pp/8/Q1P5/2N3P1/PP3PKP/4RR2 b - -,e7e5
5r2/pp4k1/1qn3p1/7p/5P2/P1Q1P3/2R1BKPP/8 b - -,g7h6
r4k2/5p1p/p2Rb1p1/1p2B3/8/P6P/5PP1/6K1 w - -,e5f6
4k3/4n3/p7/1pBp4/4pPp1/1P2P1K1/P7/8 b - -,e7c6
2rr2k1/pb1nqppp/1pnpp3/8/1PP1P3/P1B2NP1/4QPBP/2R1R1K1 b - -,c6e5
5b2/2n2p2/2kp3p/3Np1pP/1KP1P1P1/5P2/4N3/8 w - -,d5c7
2rq1rk1/pp1bppb1/3p1np1/7p/2BNP1PP/2N1BP2/PPPQ4/2KR3R b - -,c8c4
8/8/4Rpp1/6P1/5P2/2b1P1K1/5r2/5k2 b - -,f6f5
5rk1/1q2n1pp/5r2/pB1p4/Pp1Q1p2/8/1PP3PP/3R1R1K w - -,b5e2
r2q1rk1/pb1nnpb1/1p1p2pp/8/3NPB1P/1B4N1/PP3PP1/R2QR1K1 b - -,d7c5
r1r3k1/pp1qppb1/2np1npp/6B1/2P1P3/1PN5/P1N2PPP/R2Q1RK1 w - -,g5d2
8/4p3/3p1k2/1prP4/5PK1/1P1R4/8/8 b - -,c5c2:f6g6
rn1q1rk1/pp3pbp/1n2p1p1/3p4/2PP4/1PN1BB1P/P4PP1/2RQK2R w K -,c4c5
6QQ/1p6/3pK3/2pP4/2P5/1k6/5q2/8 w - -,e6d6
5r2/R4bpk/3p1q1p/4p3/P7/2R2QP1/5P1P/6K1 b - -,f6g6
r4rk1/4p1bp/b5p1/2pPPp2/8/P3B1PP/1P4B1/1R2R1K1 b - -,g7e5
r3r1k1/p4q1p/Npp2Bp1/5p2/P1PQp3/1b5P/5PP1/R2R2K1 b - -,b3d1
8/R7/3k1p1K/4p3/2r1P1P1/8/8/8 w - -,a7f7
8/4p3/3pP1k1/1rpP1Pp1/8/rP3PK1/P1RR4/8 b - -,g6f5
r2n1rk1/pppq1p1p/3p2p1/1P3PNn/3PP3/2R5/1B4BP/1b1Q2K1 b - -,d7e7
1k3r2/8/1p2p1p1/6P1/3p1P1p/4nB1K/1P2P2P/7R w - -,h3h4
8/6p1/4n2p/3k4/P7/1P3P2/3N1PK1/8 w - -,g2g3
3rb1rk/2n3qp/1p3pp1/p1pP4/2P1B1P1/P1QN3P/1P4R1/5R1K b - -,d8d6
4k3/4n1B1/6pp/8/4K1P1/1p5P/7r/2R5 w - -,c1c3
6k1/3r1pp1/3P2p1/P3p3/8/6P1/2r2P1P/R3B1K1 w - -,a5a6
8/1b1k4/p7/1pK1npB1/1P5P/1B3P2/P5P1/8 b - -,d7e8
r3b3/2r3kp/pqpbppp1/1p6/1P1PBP2/PNR1P3/2R3PP/3Q2K1 w - -,b3a5
3rrnk1/1q5p/pp1ppQnP/3N1p2/PPPN4/5PP1/6K1/1R1R4 w - -,d5b6
8/1p3r2/p1pP1k1p/2P1R1p1/PP2K1P1/8/7P/8 b - -,f7d7
8/Q4nkp/4n1q1/5R2/2p1P2P/2P5/1P6/1K6 w - -,h4h5
8/8/p3P1R1/1p6/1np3N1/1PrP1K2/8/6k1 b - -,c3d3
Q5nr/p2k1ppp/2pbp3/4q3/3p4/N4P1P/PP1P1P2/R1B2RK1 w - -,f3f4
3r2k1/1p3pbp/2p3p1/3npq2/p1B5/P4NB1/1P1Q1PPP/3R2K1 w - -,d2a5
r4rk1/1pqn1pb1/p2p2p1/PbnP3p/2p1P3/R1N1BP2/1P2B1PP/3Q1RKN w - -,h1f2
6k1/4pp1p/1r1p1bp1/qN1Pn3/P2NP3/7P/2Q2PP1/3R2K1 w - -,f2f4
2R2k2/5p2/p3p3/6PP/1r6/4P1K1/8/8 b - -,f8g7
r1b1k2r/pp1pppbp/2n3p1/4P3/3P2n1/N4N2/PP3PPP/R1B1KB1R w KQkq -,f1d3
4rqk1/5p1p/Q5p1/3p1r2/P4n2/4B2P/6P1/3RR2K w - -,e3f4
r2qr1k1/pppb1ppp/1N1p1n2/4p3/1P2P3/P2B1n1P/2PP1PP1/R1BQR1K1 w - -,d1f3
r2r1k2/1p1b1p2/2p1p1pp/p2nN3/P2P1P2/1BP3PP/1P2R3/R5K1 b - -,d7e8
8/2Rq1p2/k6p/p2p2p1/1p1B4/r5PP/2R3K1/5N2 b - -,d7f5
8/8/p4p2/6k1/2q1p3/1p5Q/1P3PP1/6K1 w - -,h3e3
r7/pp1k1ppp/2r2n2/2qp4/7Q/P1B5/1PP2PPP/3R1RK1 w - -,c3f6
r5k1/2q2pp1/4p2p/NQ1b4/1p6/1Nb2P1P/2P3P1/3R3K b - -,c7g3
r2q1rk1/5ppp/p2p4/2pb4/2P1PpPb/5P2/PP1QB2P/2R2R1K w - -,c4d5
8/8/1R2p1P1/3p1k2/5p1r/8/5K2/8 w - -,g6g7
8/5p2/6k1/6p1/2P2p2/p2K3p/P6B/8 b - -,g6f5
2kr3r/pbppq1bp/1n2P1p1/1Np2p2/2P2P2/8/PP1B1QPP/2KR1B1R w - -,d2c3
1k4r1/2q5/8/5B1p/1pp5/R1P1BP2/5P1P/3R1K2 w - -,a3a4
r1b1k2r/1pqnbppp/p2pp3/4n1P1/3NPP1P/2N1B3/PPP3B1/R2QK2R b KQkq f3,e5c4
4rr1k/pq3pp1/5np1/2pPn3/1B2p3/1B2P2P/1PQ1NPP1/R2R2K1 b - -,c5b4
