8/8/8/2p1p1k1/R7/1P3P1K/P4R1P/3rr3 w - -,a4e4
r6r/ppn1qpkp/2p3p1/3p4/1P1Pn1b1/P1N1PN2/1Q2BPPP/R1R3K1 b - -,e4d6
4Q3/5ppk/8/3n3q/3P1P2/6P1/P7/4N1K1 w - -,e8e4
rnbqk2r/1p2ppbp/p1p2np1/2Pp4/3P1B2/2N2N1P/PP2PPP1/R2QKB1R b KQkq -,b8d7:e8g8:f6e4:c8f5
r1b2rk1/1pqnppbp/p2p1np1/2pP4/P3P3/2N2N2/1PP1BPPP/R1BQR1K1 w - -,h2h3
5rk1/1p2n2p/p3p1pb/3pP3/1P1P4/1R1B2P1/P1N1K2P/8 b - -,f8c8
5rk1/1pq2ppp/2p5/p3Pb2/P1Q1nP2/2b1B3/1P2B1PP/5R1K w - -,b2c3
r1b1nk2/p1q1pp1p/2p3p1/3pb3/N7/5P2/PPPQB1PP/1R2K2R b K -,f8g8
6k1/1b3p1p/p2p2p1/1p1P1P2/4P3/1Nr1q3/P5QP/6RK w - -,f5f6
8/8/3r4/5p2/P1P2R2/4p1PK/4k3/8 w - -,f4f5
r1bqkb1r/1p3ppp/2n2n2/p2p4/3Pp3/P1N1P1P1/1P2NPBP/R1BQK2R b KQkq -,c8e6
r1bqk2r/p1p1bppp/1p1p2n1/3Pp2n/2P1P3/3BBN1P/PP1QNPP1/R4RK1 w kq -,b2b4
8/1N3k2/2R2p1n/3p4/b7/P3p3/1P4P1/6K1 w - -,c6d6
8/5pp1/4p1k1/2BbP3/8/6PP/4rP2/2R3K1 w - -,c5e3
r2qkb1r/pppb1ppp/4Pn2/1B2p3/4P3/2N5/PPP2PPP/R1BQK2R b KQkq -,f7e6
4q1k1/2pn2p1/1p1brr1p/p1p1p3/P1N5/1P1P1P2/2PBRQPP/4R2K w - -,e2e4
2r5/2r4p/p3pkp1/1p1n1p2/7P/PN1B1KP1/1P3P2/4R3 w - -,g3g4
1r2r3/1bqn1pbk/pp1p1npp/2pP4/P3P3/2N1BP2/1P1QB1PP/R1R3KN w - -,h1f2
2k4r/pp3pp1/8/3rp1B1/3n4/7P/PPP2P2/2KR3R b - -,d4e2
rnbq1rk1/ppp1ppbp/6p1/3n4/3P4/4PNP1/PP3P1P/RNBQKB1R w KQ -,f1g2
rR4k1/2q2ppp/2p1p3/2b5/P1N5/4P3/2Q2PPP/5RK1 b - -,a8b8
b2r1q1k/4rpp1/p2P3p/1p1p4/8/P3B2P/1PQ2PP1/3RR1K1 b - -,d8d6
8/3r2kp/4p1p1/5nP1/3p1PKP/8/R4P2/8 b - -,d4d3
r2qr1k1/pp2ppbp/2n2np1/1B1p4/1P1P4/2N1PQ1P/P2B1PP1/R3K2R w KQ -,e1g1
r2q1rk1/ppp3pp/2np4/1B2nb2/5P2/2N1B3/PPPQ2PP/2KR3R b - f3,e5g4
3rr3/n4pp1/kpq1b2p/p2pPp1P/2pP1B2/2P2B2/1QPK1PP1/RR6 b - -,b6b5
2r3k1/1q2ppbp/b5p1/3p4/1n1P4/1P2BNPP/1P1Q1PB1/2R3K1 b - -,c8c1
r3r1k1/1p3pp1/7p/pQ6/Pn6/5PBP/2q3K1/3R1R2 w - -,g2h1
2r2rk1/2qn1pp1/p3p2p/1p2P2n/3NQb2/P1N1BP2/1PP4P/4RRK1 b - -,d7c5
8/8/3p1k2/p1pB4/P4p2/1P1P4/3b1K2/8 w - -,f2e2
8/6p1/p5Kp/8/1k4P1/7P/8/8 w - -,g6g7
8/8/4pkP1/8/p2p1P2/B2P1K2/8/n7 b - -,a1c2
r4rk1/1p1b2pp/pq2p3/4P3/5PQ1/PP6/1B5P/2R3RK b - -,d7c6
r2q1rk1/pp3pp1/2p3p1/4n1P1/PbBQP3/2N1BP2/1P5P/R4RK1 b - -,d8d4
r1bq4/p1pp1pk1/2p4p/6pQ/4rP2/2P3B1/P1P3PP/R4RK1 b - f3,d8e7
8/p2rr1k1/4pbp1/2p5/P4P2/2PqNQ1R/1P6/5RK1 w - -,f3h1
5rk1/pp2n1p1/4P3/2p2rq1/2P1Q2p/1P4P1/PB2RP2/3R2K1 w - -,e4h4
r1bq1rk1/1p2npb1/p2p3p/4p1p1/P3P3/1QPB2B1/1P2NPPP/R2R2K1 b - a3,d8c7
rq5k/2pnr1pp/3pBp2/1bnP3Q/p2BPPP1/R7/1P3N1P/4R1K1 b - -,c5e6
1r3rk1/2q2ppp/p2p1n2/8/2pN1PP1/P1P1p3/1P2R2P/R2Q2K1 b - -,f6g4
8/1pqkn1p1/p3p3/3p3Q/2rP3P/P1P3P1/4NP2/1R4K1 w - -,b1e1
rr4k1/3nppbp/1q1p1np1/1NpP4/P3P3/5NP1/1P2QPKP/R1B4R b - -,f6e8
8/5kp1/4pr2/3p3P/4r1PQ/2P5/2K5/8 w - -,h4g3
3r2k1/b1pq1pp1/p3rn1p/np2pN2/4P2N/2P2Q1P/PP3PP1/R1B1R1K1 b - -,f6e8
r2qkb1r/pp2pp1p/1np1bnp1/4N3/3P1B2/2N5/PPPQBPPP/2KRR3 b kq -,f8g7
6k1/5pb1/3p1np1/1pq1p3/4P1P1/8/r1P1Q1BP/B4R1K w - -,e2f3
2rqkb1r/3n1ppp/p3pn2/2p1N3/Pp1P4/3Q2P1/1P1NPPKP/R1B2R2 b k -,c5d4
8/pp4k1/1b4pp/5p2/8/5P2/PP2KP1P/3B4 b - -,g7f6
r1r3k1/1q1bbppp/p2ppn2/2n1P3/3N4/1BN1BPQ1/PP4PP/2RR2K1 b - -,d6e5
2b1r3/p3r1k1/1p1p2pp/2pP1p2/2PP3P/P4BP1/1P1R1K2/1R6 b - -,g7f6
r2r1qkb/pb2pp1p/np1p2p1/1N1N3n/2P1P2Q/4BP2/PP1RB1PP/3R2K1 b - -,d8d7
rn4k1/8/2p1p3/NqPpPp1p/1Pb2Pp1/R1Q1P1P1/6BP/6K1 b - -,c4e2
8/1p3pp1/p4k1p/r7/2PR4/3P1P1P/5P1K/8 w - -,d4d6
2rq2b1/1pp3rk/p3p1pp/P3Qp2/1PNPP3/2P5/6PP/4RRK1 w - -,e1e3
r2q1rk1/3n1ppp/p1pbpn2/3pN3/2PP4/4P2P/PB2NPP1/R2Q1RK1 w - -,a1c1
rnbqkb1r/3p1ppp/p3pn2/1pp5/2P5/1PN2NP1/P2PPPBP/R1BQK2R b KQkq -,d8b6
1r1b1rk1/3P2p1/p5pp/B7/3p4/N6P/PP3PP1/3R2K1 w - -,a3c4
1r3r2/3p3p/pk1Np3/2R1Ppp1/1PP5/6PP/8/6K1 b - -,f8d8
2k4r/pbqpb1r1/1pn1p3/3n1p2/Q6p/P1PB1N1P/1P2NPP1/R1BR2K1 b - -,h8g8
rnbqkb1r/p1p2ppp/1p2pn2/3p4/2PP4/5N2/PP1NPPPP/R1BQKB1R w KQkq -,e2e3
3rr3/pb4pk/1p5p/2b1qp2/2B1p2Q/P3N1P1/1PR2P1P/4R1K1 w - -,b2b4
R7/2pB4/5p2/p1p1k1p1/P1Pn4/7P/r7/6K1 b - -,e5f4
rn1q1rk1/5ppp/p1pbpn2/1p1p4/2PP2b1/1PN1PN2/PB2BPPP/R2Q1RK1 w - -,h2h3
8/3k2bp/1r4p1/1n6/2B5/5N2/5PPP/1R4K1 b - -,d7c6
7k/6pP/1p2p3/p3p3/4q3/2P5/1n1B1K2/2R1N3 b - -,a5a4
r1b2rk1/pp3pbp/n1p2np1/q1P1p3/4P3/2N1B2P/PP1NBPP1/R2QK2R b KQ -,f8d8
r1bqk2r/ppp2pbp/2n1pnp1/3p4/2PP4/Q1N1PN2/PP3PPP/R1B1KB1R b KQkq -,c6e7
r1b1q1k1/pp1n1pp1/2pb1n1p/3P4/3P4/2NB1N1P/PP3PP1/R1BQ2K1 b - -,c6d5
r7/pp6/5kP1/1p6/8/8/PPP2PKP/4R3 b - -,a8g8
3rr1k1/pb4bp/1p2pp2/2p4p/P1N2P2/1P1P4/1BP3PP/1R3R1K b - a3,g8f7
3rr1k1/2pq2pp/1pn2p2/4Pn2/3pNP2/BP5R/P3Q1PP/4R2K w - -,e2h5
r1bq1rk1/1p2b2p/p3pp2/5npP/2pP4/P1N1P1B1/1P3PP1/2RQKN1R b K -,b7b5
6k1/pb5p/1p1bp1p1/4Np2/2P1pP2/1P2P2P/P5P1/B5K1 b - -,d6e5
7r/q4pk1/3p2p1/3Pp1p1/1R4P1/3P1QP1/1P3PK1/8 w - -,f3e3
3r4/p3rp1k/6p1/p1NPn3/2P1p3/B5nP/3b1PK1/R2R4 w - -,c5e6
5rk1/1p3pp1/p6p/3q4/8/P3PB2/1b3PPP/1R4K1 w - -,f3d5
4rk2/1R3p2/5K1p/3p2p1/3N2PP/1P3P2/2P5/5b2 w - -,h4g5
r3k2r/1pqnbpp1/p1p1p1p1/8/1PBP4/2N1PPP1/P1QB1R1n/1R4K1 w kq -,g1g2
2bk1r2/4pp2/p2p4/2pPn1p1/P3Pb1p/1N4P1/R3BP1P/6K1 w - -,g3f4
r1b1r1k1/1p1n1pbp/1pp1p1p1/3p4/2PP4/P4NP1/1PRBPPBP/3R2K1 b - -,d5c4
4r3/1b2bn1k/p2pp1pP/1pq5/4P2Q/P1N5/1PPB2BP/1R5K w - -,h4h3
2r2r2/4ppkp/6p1/N1n5/8/6P1/1R1PPPbP/5RK1 w - -,g1g2
r2qk2r/1bp1bppp/p1np1n2/4p3/Pp2P3/1BNP1N2/1PP2PPP/R1BQ1RK1 w kq -,c3e2:c3d5
r1r3k1/pp3p1p/1q4p1/3R4/2Q1P3/4B2P/Pb3PP1/R5K1 w - -,c4e2
r1b2rk1/pp2q1bp/2n1ppp1/3n2B1/4N3/2P2NP1/PP3PBP/R2Q1RK1 w - -,c3c4
r1b2rk1/pp3ppp/4pnn1/2pq4/3P2P1/P1PBP1Q1/3B1P1P/R3K1NR w KQ -,f2f3
r4r1k/1p2q3/p5b1/3Bp2p/3n2pP/P3N1P1/1P4PK/2R1Q2R b - -,a8d8
2kr4/Qpp5/2b4r/4p3/7B/2P5/PP4p1/R5K1 b - -,h6h4
6k1/8/3qb3/3pr3/3Q1R1P/1B1P2p1/1PP4P/5K2 w - -,h2g3
r1bqk2r/1p3ppp/p1np4/3N1pb1/P1B1P2P/4P1P1/1PPQ4/R3K2R b KQkq h3,g5f6
6k1/1pp3pp/2b2p2/R2r4/p2p4/P2P1PP1/1P1NP2P/2R3K1 b - -,d5a5
2rqr1k1/pb1n1pbp/1p3np1/2pp4/3P1N2/1P1BP1N1/PB3PPP/R2Q1RK1 w - c6,a1c1
2r1b1k1/p1q1n1p1/1p2p2p/3pPr1P/3PBB2/P3P3/1P1NQ2K/3R2R1 b - -,d5e4
6k1/p1q2rp1/P3bn1p/1Pp1p3/2P1p3/2B1Q2P/4B1P1/5RK1 w - -,c3e1
r1b2rk1/pp1p1qpp/2p1nb2/2P2p2/1P1Pp2P/PNN1P1P1/5P2/R2QKB1R b KQ -,b7b6
r5k1/5p2/2p2qp1/3p3p/3P3P/R1Q2PK1/6P1/8 b - -,f6d6
2k5/8/2KP1p2/1p6/4P1p1/2P3P1/4bN2/8 w - -,d6d7
4n3/1p2P3/2p3N1/5k2/6p1/2P5/P1P5/2K5 w - -,g6h4
3r1rk1/pp2qp1p/6p1/4p3/1PPnQ3/P2B3P/5PP1/3R1RK1 w - -,f2f4
3r3k/5n1p/qpB1bp2/p3p3/7P/P3N1P1/1P2PP2/2R1Q1K1 b - -,b6b5
2r2rk1/pp1n1p1p/1q2p1p1/n2p4/3P1PPP/1P2P3/P3N1Q1/RB2bRK1 w - -,f1e1
rn3rk1/pp2ppb1/3p2pp/8/2PNPBQ1/2N5/Pq3PPP/2R1K2R b K -,g7d4
r4rk1/1p3ppp/pq3n2/2b1pQB1/P7/6PP/1P2PPB1/R2R2K1 w - -,g5f6
8/1B3pkp/4qnp1/8/p1PQ4/6PP/b2N1P2/6K1 w - -,b7d5
1rbr2k1/2qnbppp/ppnpp3/8/2P1PP2/1QN1B3/PP1NB1PP/2R2RK1 w - -,b3d1
r3kb1r/p4ppp/bqp1pn2/8/B1P2B2/8/PP3PPP/RN1Q1RK1 w kq -,d1f3
3qr1k1/r2n1ppp/bp6/p1pp4/3Pn3/1PB2QP1/P2NPPBP/R3R1K1 w - -,d2e4
4r3/ppp2pkp/6p1/4r3/4P3/P1P2KP1/1P5P/4RR2 b - -,f7f5
n4r1k/5p1p/2Nr3p/PB1p4/1P2b3/2R3PP/7K/3R4 w - -,c6d4
2R5/3r2k1/4p2q/3pPp1p/3P3P/1P4P1/4QPK1/8 w - -,e2b5
6R1/5p2/4p1kp/r4p2/8/4PK2/6PP/8 b - -,g6f6
8/1k4p1/pp1n1p1p/3bp3/PP3P2/2PBB1P1/7P/2K5 w - -,f4e5
5rk1/2q1rpbp/1pp3p1/8/3pP3/3N1Q1P/1PP2PP1/R3R1K1 w - -,a1a6
r4rk1/p1q3pp/5p2/1ppQ3b/8/2PPR1P1/PP3P1P/R4NK1 b - -,h5f7
r2qn1k1/1p1bnrbp/p2p4/3Pp1p1/4Pp2/N4P2/PP2BBPP/R2QNRK1 w - -,a3c4
2r3k1/pb2bp1p/1p2n1p1/3pP3/3P3P/4BNPB/P1q2P2/1Q2R1K1 w - -,h3e6
r2qk2r/pppn1ppp/2p1b3/2b1p3/4P3/3P1N2/PPPN1PPP/R1BQ1RK1 w kq -,b2b3:d2b3
rnb1k2r/pp2ppbp/6p1/6B1/3P3P/4PN2/P4PP1/R3KB1R b KQkq -,b8c6
1r1b2k1/3q2p1/p2p3p/PppPp3/4Nr2/1QP4P/1P3PPK/R4R2 w - -,b3c2
r3r1k1/4qppp/2p5/5b2/3Pp2n/2N1P3/2QN1PPP/1R3RK1 w - -,b1b6
4rr1k/p4p2/p1pP3p/b3P1qN/P2p1Nb1/6RP/1P3P2/2Q1R1K1 b - -,e8e5
r5k1/1rp2pb1/3p1np1/1P1Pp2p/2R1P3/q1N1BP2/3Q2PP/1R4K1 b - -,f6e8
r3kbnr/pp3ppp/1q2p3/3pP3/b1pP4/PNP2NPB/1P3P1P/R1BQK2R w KQkq -,f3d2
3rr1k1/1p1bqp2/p1p3p1/4pp1p/2PP2nP/1P2P1P1/P4PBN/1QR1R1K1 b - d3,e5d4
8/pp3p2/2k2b2/7p/4pP1P/2P5/PPK1RPN1/7r w - -,e2e4
3rn3/5kpp/1NnP1p2/1pNRp3/1p6/6P1/rP2PP1P/3R2K1 w - -,d6d7
r1b2rk1/p1q1bppn/1p5p/4p3/8/2PBB3/PPQ2PPP/2KR3R w - -,d3h7
r1bq1rk1/pp2bppp/2n1pn2/8/2PP4/P2B1N2/1B1N1PPP/R2QK2R w KQ -,e1g1
r1bq1rk1/pp1n1ppp/4pn2/2b5/Q1p5/5NP1/PP1BPPBP/RN3RK1 w - -,a4c4
3rrbk1/1pqn1p2/p2ppnp1/7p/2P1PPP1/1PN2N1P/PB2Q3/3R2RK b - g3,h5g4
1r6/p1p2k2/3p1pp1/4p1R1/5b2/3P1B1K/PP3P1P/R7 b - -,f4g5
4rrk1/1P3pb1/1nNp3p/R5p1/4p3/3nN1PP/1P2RP2/2B3K1 w - -,c1d2
b6k/4pr1p/3p1PBQ/2p3pP/8/5qP1/1P2RP1K/8 w - -,h2h3
8/1Q4kp/2p1b3/4P3/6p1/2q5/P5BP/7K b - -,g7h6
2R5/3k4/3bp1P1/p4r1p/2P4P/1P2K3/6P1/8 w - -,g6g7
r1b1kb1r/p2n1ppp/2pp1n2/qp2p3/3PP3/P1NQBN2/1PP2P1P/2KR1BR1 b kq -,a8b8
2r1kb1r/Q2n1ppp/2q1p3/3p4/3P1B2/7P/2P1BPP1/2N2RK1 b k -,f8d6
r1bq1rk1/pp1nbppp/4pn2/2p5/2pP1B2/2N1PN2/PP2BPPP/R2Q1RK1 w - c6,d4c5
r1b1r1k1/ppp1qpbp/5np1/4p3/4P3/3BB2P/PPP2PP1/RN1Q1RK1 w - -,b1c3
3R1bk1/p1n2p1p/br4p1/4P3/5P2/1PN1nB1P/P3N1P1/4K2R w K -,e1f2
6k1/5p2/p3p1pp/1p1b4/3NqP2/P1P4P/1P3QPK/8 w - -,d4c2
r2q1rk1/1p3pp1/p2pb3/4n2p/3NP3/2N1Q2P/PPP1K2R/6R1 b - -,f8e8
8/8/1K2k3/8/P2R4/8/8/7r w - -,a4a5
r1b1rb2/5p1k/1n1q2pp/1ppPp3/2p1P3/2P1NN1P/1PB1QPP1/RR4K1 w - -,a1a8
rnbq1rk1/ppp2ppp/3bpn2/3p4/5P2/1P2PNP1/PBPP3P/RN1QKB1R b KQ -,c7c5
4Rn1k/pp3Np1/2pbB3/8/3P3r/8/PPP2P2/2K5 b - -,h8h7
8/3k4/8/3pPp2/1bpP1P2/2N2n2/2K2B2/8 b - -,b4c3
r3q1nk/1pn3bp/3p1rB1/p1pPp3/2P5/1PN1B2P/P2N1P1K/R2Q1R2 b - -,f6g6
8/5p2/4p1p1/1k2P3/p4P1p/2K4P/1P4P1/8 b - -,b5c5
8/8/6k1/1R3nP1/1p6/8/8/2K5 b - -,g6g5
r1b2rk1/p1q1np1p/1Pn1p1p1/3p4/4P3/3P1N2/PR1NBPPP/3Q1RK1 b - -,a7b6
3Q4/k4p2/2p1p2p/1p3q1n/2P5/3R4/PP3P2/K7 w - b6,d3d7
4k2r/2r2p1p/p2p1qp1/2n1p2P/1p2P1P1/8/PPPQN3/2KR3R b k -,b4b3
r4rk1/pp2ppbp/6p1/3P4/1n2P1b1/4BN2/P4PPP/2R1KB1R w K -,e3d2
1r3rk1/1ppq2b1/p2p1n1p/PP2pnp1/2P2p2/2NP1PP1/1BNQP1KP/R4R2 b - -,a6b5
r2q3k/ppp1bQpp/2p2n2/5bB1/3Pp3/2N5/PPP2PPP/R3K2R w KQ -,e1c1
r7/1p3k2/2p4p/P3R1pP/2PP2P1/6K1/P7/8 b - -,a8d8
1rb1r1kb/p3pp1p/q2p2pB/2pPn3/8/1PN3PP/P3PPB1/R1Q1R1K1 w - -,h6d2
2brnrk1/2qn1ppp/2pp1b2/1p6/3NP3/4QNBP/BPP2PP1/3RR1K1 b - -,d7e5
8/3k3P/3p2Q1/p3r3/8/1p3P2/1PP5/1K6 w - -,c2b3
3r2k1/p5p1/5p1p/8/2qb1N2/P4Q2/6PP/5R1K b - -,d4e5
8/4p3/4k3/8/1r1P4/4KBP1/8/8 b - -,e6f5
r2qk2r/pppn1ppp/3b1n2/3p1b2/8/2NP1NP1/PP2PPBP/R1BQ1RK1 b kq -,c7c6
2r3k1/3b1pp1/pb1p4/q2Pp2p/4P1P1/1PpNBP1P/P1Q5/3R2K1 w - -,e3b6
5rk1/p5q1/1p2n2p/3p2pP/2rP1p2/R2N4/P4PP1/1R1Q1K2 w - -,d1g4
rnbq1rk1/1p2bppp/2p1pn2/p2p2B1/P1PP4/2N1PN2/1P2BPPP/R2QK2R w KQ -,e1g1
2rr1bk1/pb3pp1/7p/3pq3/2pNn3/2N1PBP1/PPQR1PP1/2R3K1 w - -,c3e4
2N5/3Q3p/p1p1rppk/2P5/P3qP2/6P1/5P1P/6K1 b - -,e4b1
3r1bk1/1pqn1pp1/2p1r1np/p3pN2/P3P2P/2N1B1P1/1PP1QP2/R2R2K1 b - -,g6e7
4q1k1/6bp/3pr3/2p1nQB1/1pP5/1P4NP/r5P1/4RR1K w - -,g3h5
5rk1/1p3pp1/1b4p1/1B2q3/P2rP2P/1QRp1P2/1P4K1/7R b - -,d3d2
r4rk1/1bqn1ppp/p2ppn2/1p6/4P3/PNNBQ3/1PP2PPP/3R1RK1 w - -,h2h3
8/8/2p1n1k1/1pPp4/1P1Pp3/4PpKP/8/6B1 w - -,g1f2
8/8/1p2p3/p2kN1p1/P1pPr3/2n1P3/2P2K2/R7 b - -,e4e5
q1r3k1/2r2p1p/pp1b2p1/3pn3/1PP5/P1R1P2P/3NNP2/1QR3K1 w - -,c4d5
3rn1k1/pbr2p1p/1pnqp1p1/3p2P1/3P3Q/2N1PN2/PP3PP1/1BRR2K1 b - -,d6b4
2kr3r/ppp2ppp/1n2b2q/1Q6/4B3/B1N4P/P4PP1/2R2RK1 b - -,c8b8
4r1k1/1br2p1p/1p4p1/pPnp4/P2P2P1/1B3K2/1B2N2P/R2R4 b - -,c5b3
2q1k1r1/3nrp2/2p5/pp1pPP1Q/3P2R1/1P1N3P/P5P1/5RK1 b - -,g8f8
5Rrk/ppq3r1/2pn1Q2/1P6/P7/6P1/1p3PBP/4R1K1 w - -,f8g8
r2q1r2/p3b1k1/1pn3p1/3pP2p/8/P2QNN2/1P4PP/R4RK1 b - -,d5d4
r1r3k1/pp2ppbp/2npbnp1/q7/2P1P3/2N1BP2/PPNQB1PP/2R1K2R w K -,e1g1
r2q1rk1/pp1bppbp/3p1np1/4n3/2BNP1P1/2N1BP2/PPPQ3P/R3K2R w KQ -,c4b3
r1bqkbnr/ppp2ppp/3p4/4N3/2BpP3/2P5/PP3PPP/RNBQK2R b KQkq -,d6e5
4rnk1/5pp1/2p4p/2Np4/3P1qP1/3Br2b/2Q2K1N/1R2R3 w - -,f2g1
8/5p2/4pkp1/R7/P3B1P1/4bP2/1r6/4K3 w - -,e1d1
r3r3/1bq2kpp/p2p1b2/7P/Np2P3/1P2B3/1PP1Q3/2K2RR1 b - -,b7e4
8/p3rrk1/8/2P1p2p/4Q1pP/8/P5PK/8 b - -,e7e6
8/4k2p/p2prpp1/1rPQ4/7P/2B4P/P4PK1/8 w - -,c3d4
2rq1r2/pp1bppk1/6p1/nP1N3p/7R/4QP2/P1P1B1PP/1K5R w - h6,d5e7
2krr3/ppqn1p1p/2pb1pb1/5p2/3P3N/1B3QP1/PPPB3P/R4RK1 b - -,f5f4
2b2rk1/3q1p2/n2P2pp/2p5/r3P3/P3Q3/B5PP/B2R1RK1 w - -,e3h6
5k2/R7/pr4p1/8/5P2/5K2/7P/8 w - -,f3g4
1k1r4/1pp5/p5p1/4Qn2/5P1q/5P1P/PP4B1/2R3K1 b - -,d8d6
4q3/p3rnr1/kpb1pR1p/3pB2P/2pP2P1/P1P1Q3/2P4K/3B1R2 w - -,e3f4
r2qkb1r/ppp2ppp/2np1n2/4p3/2PP2b1/2N1PN2/PP3PPP/R1BQKB1R w KQkq e6,f1e2
8/8/7P/3p4/8/R2kp3/7r/3K4 b - -,d3e4
r1b1nrk1/pp1p2pp/4pp2/2p1P3/2qP4/P1P2QP1/3BNP1P/R4RK1 w - -,f3e3
k1n3rr/3b1pp1/ppn1p2p/2BpP2P/P1pP2PN/2P3R1/2P1BPK1/R7 w - -,c5a3
3rb1k1/p1r1qpp1/1p1pp2p/1N2n2n/PPP1P3/1Q3P2/5BPP/2RR1BK1 b - -,e8b5
8/2r3k1/4p1p1/1B1pP1P1/P4p1p/r3P3/5PK1/4R3 w - -,e1e2
r2q1rk1/pp1nbppp/2p2n2/5b2/3Pp3/2N3P1/PP1N1PBP/R1BQ1RK1 w - -,d2e4
3rrbk1/p4b1p/1np3p1/2p1Bp2/2P2N1P/1P1B4/P4PP1/3RR1K1 w - -,g1f1
b1r1k2r/2q1bp2/p3p1p1/1pNpP2p/3B1P2/1PP3PP/P2N1Q1K/R1R5 b k -,e7c5
