6q1/8/8/8/5Q2/2k4P/5K2/8 b - -,g8a2
3qr1k1/p2r1p2/3p2p1/Pp1PbP2/1BppP1Q1/3P2Pp/1P5P/2R2RK1 w - -,f5g6
r3kb1r/3b1p1p/3ppp2/5P2/1p2PN2/pPqBQ3/P1P3PP/2KR3R w kq -,f4e2
8/8/pk4rp/1p6/3R2P1/P2K1P2/8/8 b - -,b6c5
r6r/pR1k1ppp/2p2q2/3p1P2/3P2Q1/8/P1P3PP/5RK1 b - -,d7e8
8/7k/3p4/P2R3P/5K2/8/5r2/8 w - -,f4g5
1r1qr1k1/1b3pb1/pp1p1p1p/3Np3/2PnB3/5QP1/PPN1PP1P/3R1RK1 w - -,c2d4
2r1k1r1/pb1nbpqp/1p2p3/3p4/1P1N2B1/2P5/P4PPP/R1BQR1K1 w - -,g4h3
r3r1k1/1ppnqpb1/3p2pp/p7/2PBP3/1P4N1/P2Q1PPP/3RR1K1 w - a6,f2f4
r4k2/4b1pp/p1ppNp2/4n3/8/1PB5/P1P2PPP/4RK2 b - -,f8f7
r3r1k1/1b3pBp/3p2p1/p1nP1P2/1pP4q/1P5P/P2QN1B1/4RRK1 b - -,g8g7
2rqrnk1/pp1nbp1p/2p1b1p1/3pN3/3P4/P1NBP2P/1PQ2PPB/3R1RK1 b - -,a7a5
2b2r2/r3bk1p/1qn1ppp1/1pN5/1P3P2/1Q3NP1/4BP1P/2R2RK1 w - -,f1e1
rn1qk1nr/ppp2ppp/3bp3/3p4/3P2b1/3BPN2/PPPN1PPP/R1BQK2R b KQkq -,f7f5
r3kb1r/pp1q1ppp/5n2/2p1p3/3nN3/3PB1P1/PPP1NPKP/R2Q1R2 b kq -,d7c6
r7/5pk1/6p1/1N5p/1P5P/P3P1P1/6K1/8 b - -,g7f6
2r1k2r/pp1bppbp/3p1np1/q3n3/4P1PP/1NN1BP2/PPPQB3/R3K2R b KQk -,a5a6
4rrk1/ppq2pp1/3b1n1p/2pn1R2/4N3/3P3N/PPPBQ1PP/5RK1 w - -,f5f6
8/p1R2k1p/8/8/P5KP/1r4P1/8/8 b - -,f7g6
8/8/2k5/6N1/2P4p/3K1RbP/8/7r w - -,d3d4
1q1r4/5ppk/R3p2p/2QpP3/8/7P/5PPK/8 b - -,b8e5
2rr4/1p3kp1/p6p/3b1PP1/P2b3P/4p1B1/3KB3/5R2 w - -,d2d3
r2q1rk1/3nbppp/bp2pn2/p7/3PpB2/2N3P1/PP1N1PBP/R1RQ2K1 w - -,d2e4
8/3k3p/3p1pp1/2p5/r1P5/4BK1P/2R2PP1/8 b - -,d7c6
3r2k1/p1p1qppp/8/3Np3/8/1P2Q1P1/4PP1P/R5K1 b - -,d8d5
4rrk1/p5pp/1p1qp3/5p2/2R5/6P1/PP2QP1P/3R2K1 b - -,d6b8
5r1k/p2Q2p1/1p4qp/2p1B3/P3n3/1PP2N1P/6PK/8 b - -,f8f7
1n6/3P1ppk/4p2p/4P3/7P/P1Rr1NP1/6K1/8 b - -,d3d7
2b2r2/1p4r1/p2Rpkp1/P1P1N1Rp/3PKP1P/2P5/8/8 b - -,f8e8
3R2k1/1b2qp2/p1p3pb/1p2p2p/4P3/1BP1NP2/PP3QPP/6K1 b - -,e7d8
rnbqkb1r/ppp1pp1p/3p1np1/8/3P1P2/2N1P3/PPP3PP/R1BQKBNR b KQkq f3,f8g7
1rbr1k2/pp6/2nN1ppp/2P1p3/1P2B3/2P3P1/P4P1P/3RR1K1 b - -,f8g7
8/p3kp2/1p3n1p/8/P4PPK/1P1B4/8/8 b - -,f6e8
1r6/2q1bnk1/1p2bppp/1Pp1p3/Q1N1P3/2P2P2/5BPP/R4BK1 w - -,c4e3:a1d1
r3k1nr/3b4/p4pp1/1pp1b3/B1Pp4/8/PP4PP/RNB1R1K1 w kq -,c4b5
r1bq1rk1/1p1n1pbp/2pp1np1/p3p3/P2PP3/2N2NPP/1PP2PB1/R1BQR1K1 b - -,d8c7
6k1/pb3p1p/1p4p1/8/4P3/2r5/P4PPP/1B1R2K1 b - -,b7a6
8/8/6Np/5r2/5P1P/6k1/4K3/8 b - -,h6h5
bq4k1/5p2/4p2p/Np2b1p1/1Pp1Pn1n/N1P2P2/3Q3P/3R1B1K b - -,f4d3
r1bq1rk1/pp4pp/2nbp3/3p3n/3P1B2/3B1N2/PP2NPPP/R2Q1RK1 w - -,f4d6
8/2K2k2/8/3P4/5P2/3bP3/8/8 b - -,d3f5
1k1r1bnr/p4pp1/pn1p4/3Pp1Pp/P6P/2N1B2B/1PbN1P2/R4RK1 w - -,f1c1
6B1/6p1/7p/p3k3/n3p3/4P1PP/1PK2P2/8 b - -,a4c5
7k/6bp/1nB3p1/1P2rp2/p6q/8/1P2Q1PP/2BR3K w - -,e2f1
3r1r2/p1p1k3/Pp2b2p/6p1/B2R1p2/2P4P/1P3BP1/3R2K1 w - -,a4c6
7k/4qp1p/3p1nr1/p1pPr3/1p2P1p1/1P1BR1P1/P3QP1P/5R1K w - -,h1g2
2R2nk1/4Qpp1/8/1P6/7P/4PPK1/q5r1/8 w - -,g3f4
4R3/p1r5/3r1k2/2p2Pn1/6Pp/7P/P1R2KB1/8 b - -,d6d3
1k6/1p3p2/2p1p3/p1P1P2p/5R1P/1P2n3/NK4r1/8 w - -,b2b1
r3kb1r/5np1/p1ppq3/1p4R1/3QP3/1P2B3/1PP3P1/RN4K1 w kq -,g5f5
r2q1rk1/2p3bp/1p1pnnp1/pN2p2P/2P1P3/1P2B1PB/P3QP2/3R1RK1 b - -,f8e8
3q1r1k/1p2n1bp/6p1/1N1p4/1Q6/3P2P1/5PBP/2R3K1 b - -,d8b6
2r1r1k1/Q5bp/3p2p1/8/1PqpPP2/6P1/P2B2BP/5RK1 b - -,d4d3
2kr2r1/pppb1p1p/5p2/8/8/4RB2/PPP2P1P/2K4R b - -,d7e6
8/5pkp/6p1/2r5/p7/NRn5/2P2PPP/3rRK2 w - -,b3b4
rnbqkb1r/pp2pp1p/6p1/3p4/3PnB2/3B4/PPP2PPP/RN1QK1NR w KQkq -,c2c3
r1qr2k1/p3ppbp/1p2b1p1/nBp5/Q2P1B2/2P1PN2/P4PPP/2RR2K1 w - -,f3e5
r1b2rk1/pp1nqppp/4pn2/6B1/3N4/2P1P3/P1Q1BPPP/R4RK1 b - -,h7h6
rn2r3/pp2Npbk/3p2pp/8/2P1PBP1/7Q/q6P/2RK3R w - -,e7d5
2rq1rk1/pp3pp1/2n1bb1p/3pp3/8/P1NP1NP1/1P2PPBP/2RQ1RK1 w - -,b2b4
8/5pk1/2n3p1/2p5/2Pq1P2/6P1/4Q1K1/5B2 w - -,g2h2
8/4kp2/2b5/1p2r1p1/1P1R4/6P1/P3BK1P/8 b - -,e5f5
r2qk2r/1b2bpp1/p3pn1p/1p1p4/4nB2/P1N1PN1P/1PPQBPP1/R3K2R w KQkq -,c3e4
1r3rk1/pp2pp1p/3pbnpQ/q7/2P5/1PN3P1/P3PPBP/2R2RK1 b - -,f8c8
3rk2r/1p2ppb1/pN1pb2p/8/1n2P1np/5NB1/PPP2PP1/2KR1B1R w k -,h1h4
1r6/6pk/4qn1p/2P1p3/4p3/Rp2B1P1/1Q2PPKP/8 w - -,c5c6
1r3qk1/1b1n1r1p/3p2p1/1p1Pp1Q1/1Np1P2R/2P2P2/1P1KB1P1/R7 b - -,d7c5
r1b2rk1/pp2ppbp/2n2np1/1N6/2B2B1q/1Q2P1N1/PP3PPP/2R1K2R w K -,b5c7
6rr/p2bkpp1/1p2p3/3pP3/nR6/1NPB3P/P1PK2P1/5R2 w - -,f1f4
r3nrk1/pp1q2b1/2npp1pp/2p2p2/QPP5/P1NP2PP/3BPPB1/1R3RK1 b - -,c5b4
r2q1rk1/1pp1n1b1/3p4/2PPp1pp/1B2Pn2/4R3/P3NP1N/R2Q1BK1 b - -,e7g6
b7/2p1Q1pk/p6p/P2q4/1P6/5P2/5BPP/4r1K1 w - -,e7e1
r1b1qrk1/2p2pb1/ppPpn1pp/3Np3/PPB1P3/8/2P1QPPP/R1B2RK1 b - -,e6d4
7k/3R3p/8/1p6/1P1p1p2/P6P/2r3PK/8 w - -,d7d4
1k1r4/p1bP3r/1p2pp2/1B4p1/6P1/2R5/PP3P2/1K1R4 w - -,a2a3
8/8/3p3R/3Pnpp1/5k1p/2K4P/6r1/3B4 w - -,h6d6
8/5p2/5kp1/8/3pKP2/8/7P/8 b - -,d4d3
r2r4/1b4p1/ppn2k1p/4pP2/3p4/6P1/PPPN2BP/2KRR3 w - -,g3g4
2Q5/p5k1/8/7p/4Pqp1/6N1/P2r1PP1/1R4K1 w - -,g3h5
6k1/p5pp/2n2p2/8/3N4/1Pr1P2P/P5P1/5RK1 b - -,c6b4
6k1/pb6/1p1qpr1p/3pN1p1/2pP2P1/2P1P2P/PP2Q1K1/3R4 w - -,d1h1
r1bqk2r/pp3ppp/2pb1n2/3p1p2/2PP4/4P1P1/PP1NNPBP/R2QK2R b KQkq c3,d5c4
2r5/p7/4ppBP/1p2k3/6K1/8/P4PP1/8 b - -,b5b4
r1b2rk1/pppnqpbp/4pnp1/4N1N1/2BP4/8/PPP2PPP/R1BQR1K1 b - -,d7e5
r5k1/pp1b2pr/2p1p1Q1/6bp/3P3P/q1N1PR2/P4PP1/3R2K1 w - -,h4g5
r3k2r/pp1bqpbp/2n1p1p1/2p2n2/4N3/2PP1NP1/PP2QPBP/R1B2RK1 b kq -,h7h6
3R4/p1p1r1k1/5npp/5r2/1n6/2N2B1P/1P4P1/1K3R2 w - -,f1d1
8/4kbp1/2pp1p2/1p6/2PP3p/1P1N1P1P/4K1P1/8 w - -,d3b2
rn1q1rk1/pp3ppp/2pb4/3p1b2/2PPn3/2NB1N2/PPQ2PPP/R1B2RK1 b - -,b8a6
4nk2/1p1N4/p3p3/4B1b1/3P2p1/8/PP3KPP/8 b - -,f8e7
6k1/5pp1/3p3p/p7/7P/P1R1K1P1/1q2N3/8 b - -,d6d5
3r4/3P4/4K3/p5p1/5p2/1P1R1P2/P4k2/8 b - -,f2e2
1k3r2/pbpp2q1/1pn2r1p/2bB4/8/4NN2/PPP1QPPP/2KRR3 w - -,d5c6
8/6k1/6N1/8/p5R1/P7/KP1q2PP/1B6 b - -,d2d1
3r1r1k/pp4pp/8/2p5/2PQ1P2/4NRPb/P3PK1P/4R3 b - -,c5d4
1r2r3/ppq2k1p/4p1pB/2p1b3/6Q1/2P4P/PP3PP1/R3R1K1 w - -,e1e3
5k2/3n1p1p/8/5Np1/r3p3/1r2P1P1/p4P1P/R4RK1 w - -,f1d1
r2r2k1/bpqnn1pp/2p1bp2/p3p3/P1N1P3/1N4P1/1PP1QPBP/R1B1R1K1 w - -,c1d2
1r1q1rk1/ppnbppb1/3p2pp/P7/3P4/1QP2NP1/1P1N1P1P/R3RBK1 b - -,d7c6
rnbqkb1r/pp1p1ppp/4pn2/2p5/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,c5d4:f8e7:a7a6:d7d5
6k1/rN1R1p2/5bp1/5p2/3P4/4PKP1/5P2/8 b - -,g8g7
r1r3k1/1p1bqppp/p1nbpn2/2ppN3/3P1P2/2PBP1B1/PP1N2PP/R2Q1RK1 w - -,d1f3
5rk1/2rq1pp1/2np3p/p1p1p3/PpP1P1NP/1P1PP1P1/4Q1K1/R4R2 b - -,c6e7
8/2k5/p3r3/1p3p2/2pqPP2/8/1P2Q2P/4R2K w - -,e4e5
r3r1k1/1pp2ppp/p1p1q1n1/4pNb1/4P1P1/2BP1Q1P/PPP2P2/R3R1K1 b - -,c6c5
2n5/n1p2k2/1pPp2p1/3Pp1bR/PN2Pp2/2N2P2/3K1B2/8 b - -,g6h5
Q7/6pk/p2pq2p/1p6/3Rpr2/P1P4P/1P3PP1/6K1 b - -,e6f6
r2B4/7k/4p3/4P2p/P1p1b1p1/2P1P3/6pP/R5K1 w - -,d8f6
1r1q1rk1/5ppp/3ppb2/8/2n1P3/2P1Q2P/PP3PP1/RNB1K2R w KQ -,e3e2
8/pp3p1k/5rr1/3p1N2/3P1Kn1/1P6/P3R1B1/8 w - -,g2d5
5r1k/pp1b3p/5n2/3pq1p1/2R5/6N1/P2Q1PPP/1B3RK1 b - -,d5c4
8/3b2k1/2n3q1/pp2p3/4p1PQ/2P1B1K1/5P2/8 w - -,g4g5
2k4r/p1p1pp1p/2p5/3rPb2/2P5/8/PP1B2PP/2KR3R b - c3,d5d4
8/6K1/7p/p7/1k4P1/7P/8/8 w - -,g7h6
5r2/1r2kpb1/p2pb1p1/1p3P1p/2p1P3/1PPB2P1/1PKN2P1/4R2R w - -,f5e6
8/6k1/1r2p1p1/8/5R1P/6P1/5PK1/8 b - -,b6b3
5r1k/pp4pp/q2p4/1P3p2/P4P2/4r1P1/R1Q3bP/5R1K w - -,c2g2
R7/P3r3/8/4k1K1/7P/5p2/5P2/8 b - -,e7g7
6k1/pp1q2pp/3np3/2r1Pp2/P7/1P4P1/1BQ2PKP/8 w - -,c2c5
8/8/pkp2p2/2b1p1p1/P1p1P3/1PP2P2/2K3P1/2B5 w - -,b3c4
5rk1/2r2ppp/p1pRbn2/1p2p3/4P3/P1N2BP1/1PP2P1P/3R2K1 b - -,g7g5
2br4/4n2k/pb2p2p/1P2Np2/p5p1/B3P3/B3KPPP/2R5 b - -,e7d5
8/p2r2k1/4R1p1/2P4p/7P/1PN1p1P1/PK1n4/8 b - -,d2f1
8/1p3p2/2k3p1/3p4/P4P2/6Pp/7b/4BK2 w - -,e1f2
r2q1rk1/pp1b2pp/8/1p1pPp2/4n3/6P1/P1Q1PPBP/1RB2RK1 w - -,a2a4
8/4k3/1p5p/4K2R/3P2P1/6r1/8/8 w - -,h5h6
r1bq1r1k/pp2n1bp/2np2p1/2pN1p2/2P1PP2/3P1N2/PP4BP/R1BQ1RK1 b - c3,a8b8
1rb2r2/p2N1pk1/2p2p1p/4b3/2B5/1P1R4/P4PPP/4R1K1 b - -,c8d7
rnbqkb1r/pp2nppp/4p3/2ppP3/5PP1/5N2/PPPP3P/RNBQKB1R b KQkq g3,h7h5
5r1k/5brp/1p1q1b2/p1pp1p2/Pn1PnN2/1P2P1P1/1B4RP/RB2QNK1 w - -,d4c5
8/8/1p1k4/p7/P2P1P1p/1P3K2/8/8 b - -,h4h3
1rb1kb1r/2qp1ppp/2p1pn2/p7/Q1P5/P1N3P1/1P2PPBP/R1B1K2R w KQk -,e1g1
8/p5k1/1pnq1r2/2rB2R1/3Q2p1/P2P2P1/1R3P1P/6K1 b - -,g7f8
r3kb1r/pp1bpp2/2np1pq1/7p/4PP2/1NN2BP1/PPP4P/R2QK2R b KQkq -,e8c8
r3r1k1/p1b1nppp/1p2p1q1/2p5/4NP2/2PP1QP1/P1PB3P/R4RK1 w - -,a1e1
r2r4/1p2pkbp/1qp2pp1/2R5/Pp1P3B/4P3/2Q2PPP/1R4K1 w - -,c5c4
3r2k1/pbq4p/3r2p1/1p1p1p2/1PpR3P/2Q1PBP1/P2R1PK1/8 w - -,d2d1
8/8/b2p2p1/p1p1kpp1/2P5/PPK2PPP/6B1/8 b - -,f5f4
4r1k1/1p3pbp/p5p1/8/8/1P1q1P2/P1N2QPP/5RK1 w - -,f1e1
4rr1k/1Bq2ppp/2Pbp3/3n4/1pRP4/5QP1/3B1P1P/4R1K1 w - -,g1g2
r3rbk1/pbqn1p1p/1pp2np1/4p3/N1P1P3/P2BBN1P/1P1Q1PP1/R2R2K1 w - -,d2c2
r2qk2r/pbpn2pp/1p1ppn2/5p2/2PP4/2PBPP2/P1Q3PP/R1B1NRK1 w kq -,e3e4
5Q2/8/2k3K1/7p/8/6P1/7P/2q5 b - -,c1c2
7r/7r/3pkpp1/ppnNp1p1/4P1P1/2P2P1P/1P1R2K1/7R b - -,f6f5
r2r1k2/n1p2pp1/bpq4p/p2Np1b1/P3P1P1/1NP1R2Q/1P3PBP/R5K1 w - -,e3e1
r1b1k2r/2q2ppp/p1nppbn1/1p6/3NP3/1P6/PBP1NPPP/2RQRBK1 b kq -,e8g8
4r2k/1p4pp/pq2Pp2/2n4N/2PQ4/1P5P/P5P1/4R1K1 b - -,b6c7
8/7p/5k1p/3r4/4RK2/5PP1/8/8 w - -,f4g4
rnbqk2r/pp3ppp/2pb1n2/3pp3/4P3/1B1P1N2/PPP2PPP/RNBQK2R w KQkq -,e1g1:b1c3
1r1qr1nk/3n1pbp/3p2p1/2pP4/Np2PP2/1P3B1P/5BP1/R2QR1K1 w - -,a1a2
r1b1k2r/pp1n1pbp/3pP1p1/1BpP3n/5P1q/2N5/PP1K2PP/R1BQ2NR b kq -,f7e6
r4k1r/pp3p2/2pb3p/3p1Bq1/3P2P1/2N1Pn2/PPQ2P1P/R3K2R w KQ -,e1e2
1r6/5bk1/3p1p1p/p1r1pPp1/1qP1P2P/RP3QP1/6BK/R7 w - -,f3d3
6k1/1p1qnpb1/1Q4pp/1P1p3n/4p3/B2P2P1/3NPP1P/2N3K1 b - -,g7c3
r5k1/4p2p/5pp1/2p5/3p1B2/b2b1P1P/6PK/2N5 w - -,c1d3
2rr2k1/1p2bp2/1q2b1p1/p1ppP2p/5P1P/1NP3P1/PP1R1QBK/4R3 b - -,d8d7
1q4k1/pp3rbp/2bp1npB/3Np3/4P1P1/2N2PQ1/PPP5/1K1R4 w - -,h6g7
8/pk4pp/5r2/1p2n3/2pNP3/b1P5/P1K3BP/3R4 b - -,b7b6
1r4k1/5pp1/2Q4p/4b3/P7/4r1P1/N6P/6K1 b - -,b8b2
1k1rr3/pp5p/2p2p2/3p2p1/3Pn3/4PN1P/PP3PP1/K1R1R3 w - -,e1f1
r1q1rbk1/2nn1p1p/4p1pB/pp1pP3/3P3P/5NP1/PP1Q1P2/RB3RK1 b - -,f8g7
8/8/6R1/4K1P1/5r1p/4k3/8/8 b - -,f4e4
r1bqr1k1/1p3ppp/1pn5/3N4/3p4/6P1/PP2PPBP/2RQ1RK1 w - -,a2a3
rnbqk2r/p1p2ppp/1p1bpn2/3p4/2PP4/3BPN2/PP3PPP/RNBQ1RK1 b kq -,c8b7:e8g8
r7/3k1p1p/3q4/p7/Pp1Q4/6P1/1P3P1P/4R1K1 w - -,d4g4
3r2k1/p2r1pbp/qpp1p1p1/6Pn/P1PP3P/1PNRQ3/7B/3R2K1 b - a3,a6a5
6k1/p1rq2pp/B3b3/2Bpnn2/1P6/P1R5/1N1Q2PP/6K1 w - -,d2e2
8/p1k5/4q3/4pN2/1p2p1rP/2PbP3/5QP1/3R2K1 w - -,c3b4
3r1k2/1b3pp1/p3p2p/8/2P3PP/2K5/P2N1P2/4N3 w - -,e1d3
8/r2bk1pp/p2p4/P3n3/1p1NP3/7P/1P1NK1P1/2R5 w - -,d2f3
8/3bk3/3n2p1/2pPp2p/2P1p3/4N2P/2B2KP1/8 w - -,h3h4
1kr4r/pp2q2p/2p5/3b1pp1/Q2Pp3/4P2P/PPR2PP1/KNR5 w - -,b1c3
2r2r2/4p1kp/p1b2pp1/P2p4/1RpP4/2n1PN1P/1RP2PP1/5BK1 w - -,f3d2
4r1k1/3n1pp1/1p2r2p/pR2P3/2pP1B2/P1P5/6PP/4R1K1 w - -,e1b1
r6r/ppp1kp2/2p1bp1p/8/4P3/1BP5/P1P2PPP/2KR3R b - -,a8d8
8/1kbQ4/2p5/p5Pp/7r/2P5/P5K1/8 w - -,g5g6
2rb1rk1/2q2ppp/p2Pp3/np6/4BP2/2P1B3/PP3QPP/R4R1K b - -,c7d6
6rk/p2R3n/1p2pb1p/1Pp1p3/2r1Pp1P/P1N2P2/7K/1R2B3 b - -,g8g7
8/6k1/6p1/7p/8/4NR1P/4rPPK/r7 b - -,a1b1
2kr3r/ppp3p1/1n1q2p1/2Nnpp2/3P2P1/4P2P/PP2QPB1/R1R3K1 b - -,e5d4
2k4r/pppq2pp/3p4/3Pp3/2Q5/4P3/PPP2rPP/5RK1 w - -,f1f2
r3r1k1/3qb3/2p1bp2/p1Pn1pp1/P2P1B1p/R2B3P/4NPP1/2QR2K1 w - g6,f4d2
r1b2rk1/P2n3p/1bp4q/3p1p2/5N2/Q3PN2/PP1B1PP1/R3KB2 w Q -,a3e7
r1bqr1k1/1p1n1ppp/5n2/pP1pb3/N7/P3P3/1B1QNPPP/3RKB1R w K -,e2g3
8/8/PR5p/7k/1PK3rp/8/8/8 w - -,c4d3
r3k2r/pp1qppbp/2np1np1/8/2PNP3/2N1BP2/PP4PP/R2QK2R b KQkq -,e8g8:a7a6
2q1k2r/p4p2/1pr1pPp1/n2pP2p/1b1P4/1PN2R2/PQ1B2PP/3RK3 b k -,e8d7
1k1r3r/pp2bpp1/2n1qn2/2pp1R1p/N7/1P2P3/PBPPB1PP/3R1QK1 w - h6,b2f6
5rk1/pb2q1bp/1p2p1p1/2pp4/3P4/BPPBP3/P3Q1PP/5RK1 w - -,f1f8
3rr1k1/1pN2p1b/1q1P1p1p/p1n1p3/P4P2/6P1/2P1Q1BP/R2R3K b - -,e5e4
1r1qk2r/1b2bppp/1p2pn2/2p1N3/8/3P2P1/PBP2PBP/R2Q1RK1 b k -,d8c8
r1bq1rk1/p2nppbp/3p1np1/2pP4/2B1P3/2N2N1P/PPQ2PP1/R1B2RK1 b - -,a8b8
2R5/5pkp/p5p1/1p2rp2/8/1P2P1P1/P4P1P/6K1 w - -,g1f1
8/R7/2k1PKp1/2p2p2/4r3/8/8/8 b - -,c6d5
r7/8/P7/5pK1/4kp2/R3P3/8/8 w - -,e3f4
1r1q1r2/p4pkp/b2pp1p1/2p5/2PnP3/3P2PP/PR1Q1PB1/3N1RK1 b - -,f7f5
8/3b4/5p2/1pK1k1p1/7p/P1N2P2/6PP/8 b - -,f6f5
3b4/6pk/n1p1p2p/1qPp4/1P1PpP2/Q1p1P1PP/N6K/4B3 w - -,a2c3
r2qk2r/1p2bp1p/p1n1p1p1/1N1pPb2/3N1P2/2P1B3/PP3QPP/R4RK1 w kq -,d4c6
r2r2k1/3n1pp1/4bn1p/2q1p3/p1P1P3/2Q2NPP/2RN1PB1/4R1K1 b - -,f6e8
1bb2rk1/1p2q1pn/2p5/5p1Q/2PPp2P/4P2P/4NPB1/B2R2K1 w - -,d4d5
r1r3k1/1q1nppbp/3p2p1/3P4/P3PP2/6PP/1P1BQ1K1/R2NR3 b - -,c8c2
r7/3p4/2bPp3/4k2P/4p1K1/P3R3/6B1/8 b - -,a8g8
8/5p2/1p3kp1/pP1p3p/P2Pq3/7P/6P1/5Q1K b - -,f6g7
4qnk1/1p4p1/p1p1b2p/3pP3/3P4/3N2PP/1P1Q3K/5R2 w - -,d2b4
r1b1k2r/1pqn1ppp/p2bp3/8/5P2/2NP1N2/PP2Q1PP/R1B1K2R w KQkq -,f4f5
r3r3/pp3pkp/2pRb1p1/4n1B1/2P5/1P5P/P3BPP1/2K4R b - -,f7f6
8/5k2/1R6/1p5p/p1br4/P3R3/6P1/6K1 w - -,e3e5
1rb2rk1/pp3ppp/4n3/3B4/8/4P1P1/P2N1P1P/1R2K2R w K -,e1g1
2rqr1k1/pp1bppb1/1n4pp/2pPP3/n4B2/2N2NPP/P3QPB1/R3R1K1 w - -,c3a4
1r1q1rk1/pb2ppbp/np4p1/1N1pN3/2PPn3/PP4P1/1B2QPBP/R4RK1 b - -,f7f5
r1b2b1r/2k2ppp/p1p2n2/1p2p3/4P3/2NBB3/PPP2PPP/2KR3R w - -,f2f3
