8/4k1p1/4n2p/5P2/4N1P1/4K3/7P/8 b - -,e6d8
5bk1/pb6/7p/4r1p1/2p5/1PP3NP/P5P1/2NR2K1 w - -,b3c4
2q1kbr1/3b3p/3ppBp1/1Pp3N1/8/8/1P3PPP/3QR1K1 w - -,d1d5
r2q1rk1/5pbp/bnpp1npB/pp2p3/3PP3/1PNB1P2/P1PQ1NPP/R4RK1 w - e6,h6g7
r1bqkbnr/1p1p1ppp/p1n1p3/2p5/P3PP2/2N2N2/1PPP2PP/R1BQKB1R b KQkq -,g8e7:d7d5
2bn3r/4kpbp/pr1pp1p1/NppP4/4P3/1PPB1NP1/1P1K1PP1/4R2R b - -,h7h5
3r1rk1/1b3ppB/p1q1pb2/2p5/2P2P2/1P3Q2/PB4PP/1R3RK1 b - -,g8h7
1r1qr1k1/1b3p1n/p2p1bp1/1pnPp2p/P1p1P3/R1P1BNNP/1PBQ1PP1/4R1K1 w - -,e1a1
4k3/pp2b3/6pp/2P3N1/8/1B2BK1P/P5P1/1r6 w - -,g5e4
rn1q1rk1/ppp2ppp/3bpnb1/8/2BP2P1/2N2N1P/PPP1Q3/R1B2RK1 w - -,f3e5
r4rk1/1bpq1pp1/p2p1n1p/Pp1Pp3/4Pn2/1BP1RN1P/1P1N1PPK/R2Q4 w - -,f3g1
6k1/4bppp/2p5/8/1q2Q3/1b2BPN1/6PP/6K1 b - -,b4e4
3q1rk1/3bppb1/3p1np1/ppr1n1Bp/3NP2P/1BN2P2/PPP2QP1/1K1R2R1 w - -,a2a4
r1b1k2r/2q2ppp/p1p2n2/1pb1pP2/4P3/2NB3P/PPP3P1/R1BQ1R1K w kq b6,d1e2
8/3br1pk/5n1q/3B1p2/7p/2R1P1PP/Q7/4R1K1 w - -,a2a6
4r2r/8/p2pp1kp/1p2np2/3R4/qP2QpPP/5P2/3R1BK1 b - -,e8d8
r4rk1/1pqnnppp/2pb4/p2pp2b/4P3/2PP1NPP/PPQ2PB1/R1B1RNK1 b - -,d5e4
3B4/5pk1/P3p1p1/4P1Pp/8/1p4K1/5P2/8 b - -,b3b2
r1q2rk1/1p2ppbp/6p1/pPp5/2n3nN/6PN/P4P1P/R1BQR1KB w - -,a1b1
2q2r1k/b6p/p3N1p1/5p2/2Q5/P5PK/4RP1P/8 w - -,c4d5
8/8/8/3b2k1/5R2/3r1PK1/8/8 b - -,g5g6
2rq1rk1/pp1nbppp/4pn2/2ppN3/2PP4/PP2P3/1B1NQPPP/R4RK1 b - -,d7e5
2bq2k1/2p1n1b1/3p1n1p/2PPp1p1/4P3/2NNB3/4B1PP/Q5K1 b - -,c8g4
R7/1pk5/2p5/P4p2/8/1PP2r2/3K4/8 b - -,f5f4
rn2kb1r/pp2nppp/1qp1p3/3pP3/3P2b1/2N2N2/PPP1BPPP/R1BQ1RK1 w kq -,b2b3
8/8/3k4/6Kp/4rP1P/2R3P1/2p5/8 w - -,c3c2
1r4k1/4n2p/3p4/3P2p1/1p1bP3/1Rp5/4R1BP/5K2 w - -,g2h3
3B4/5k2/3p3p/2p2PPP/2P5/2b5/8/1K6 w - -,g5g6
r7/4r1kp/1n1n4/p2p1pP1/3P4/q3P1NQ/2R5/4R1K1 w - -,h3h6
6k1/3b1pp1/7p/8/P2rP3/nB1p1K1P/6P1/1R3N2 w - -,b1d1
3r4/6k1/1p1P2P1/p1p5/2P1rp1P/1PKR4/8/6R1 w - -,h4h5
8/5pkp/3p1rp1/2r5/1pP5/2n1P1P1/PRR2P1P/5BK1 b - -,d6d5
5r2/pp2q1k1/7n/2p1n1bR/2PpPp2/PP1P1Pp1/3Q2K1/2B4R b - -,e5g6
2r2rk1/1pq1ppbp/p1bp1np1/1P6/2PBP3/1QN2P1P/P3B1P1/R2R2K1 b - -,a6b5
1k1r3r/pp1qbp2/2np3p/4p3/2P3n1/1Q1P1NP1/PB3PB1/1R3RK1 b - -,d8c8
4k3/2R5/p3N3/P3n3/1Ppb4/5p2/7P/4rN1K w - -,e6g7
8/2p3p1/p2p1n2/3P1p1k/2p2P1P/1P4K1/P4N2/8 w - -,b3c4
r3k2r/pp4pp/1n1n1p2/1P2pb2/1b6/4PNB1/1P1NBPPP/2RR2K1 b kq -,a8c8
8/1pB2k2/4b1n1/1PK2p2/2P3p1/6P1/B1R5/5r2 w - -,c5b6
3r3k/pp3pr1/7R/2p1p3/2P5/4N1NP/PP5P/1B5K b - -,h8g8
8/3R3p/5ppk/p7/P1p1Pp2/5P2/2n3PP/5K2 w - -,f1e2
8/8/4k1p1/2Pn1p2/p3pP2/P5Pp/4KB1P/8 w - -,f2d4
r4rk1/p1pb1ppp/2p5/2bpP3/3Nq3/4B3/PPP2PPP/R2QR1K1 b - -,f8e8
8/2p3pk/5p2/3n3P/3P3P/1K1N1P2/8/8 b - -,h7h6
r1bqk2r/pp3ppp/2n1pn2/2b5/2Np4/P4NP1/1P2PPBP/R1BQ1RK1 b kq -,a7a6
8/2p2p2/2p2Pk1/3p4/PP6/3b4/1B3KP1/4r3 w - -,f2e1
2rq3r/1p1pkppp/p1n1p3/8/2P1n3/2B1P3/PP3PPP/R2QKB1R w KQ -,a1c1
r4rk1/p2n1pp1/bpp1p2p/q2n4/1b1PP2B/2NB1N2/PP1Q1PPP/2R2RK1 b - -,a6d3
rnb1k2r/pp2nppp/3qp3/3p4/3P4/2NBP3/PP3PPP/R2QK1NR b KQkq -,e8g8
r1bq1rk1/bp3ppp/p1n1pn2/3p4/1PP5/P1N1PN2/2Q2PPP/R1B1KB1R w KQ -,c1b2
3q3k/1p3p2/2pb2p1/3p4/p2P2Q1/P3P1P1/1P2BPK1/8 b - -,b7b5
8/8/6p1/1k1p1p2/2p1bB1P/2P1K3/8/8 w - -,f4e5
8/8/4npk1/3K2p1/6Pp/5R1P/5P2/8 b - -,g6f7
5r1r/3kbpp1/p1p1pq2/2p1P2p/N1Pp1P2/1P3Q2/P2P2PP/4RRK1 b - -,f6f5
8/3k1p2/3p1R2/p6P/1p5r/1P6/P2K4/8 b - -,d7e7
r3r3/4ppk1/p2q2p1/1ppPR2p/2P1Q2P/1P2R3/2P2PP1/6K1 b - -,a8a7
6k1/1pqn1pbp/rn1p2p1/2p1p3/2P5/1QNP2P1/P2BPPBP/5RK1 w - -,f1b1
8/R2B4/5p1k/1P2p2p/2b1K2r/P7/8/8 w - -,e4e3
8/4k3/1R2n3/5p1B/1pK1p3/7P/P7/4b3 w - -,h5d1
5r1k/p4qp1/1p1Q3p/5p2/3R4/2P4P/PP4PK/8 w - -,d4f4
r1b1kb1r/pppnQp1p/3p1np1/8/2P5/2N3P1/PP2PPBP/R1B1K1NR b KQkq -,f8e7
r2r2k1/1bqn1pbp/pp1pp1pB/8/2PNP2P/1P4P1/P2Q1PB1/3RR1K1 b - h3,d7f6
1r3r1k/3n1p1p/p3pq2/3p1p2/R7/2P2PP1/1P1Q3P/4RB1K b - -,d7c5
r1b2rk1/1p3ppp/p1nqpn2/3p4/3P1P2/2NBP3/PP4PP/2RQK1NR w K -,g1f3
1rb2r2/2p2pbk/2nq2pp/1pNn4/3p4/1BP2N2/1P3PPP/R1BQR1K1 w - -,c5e4
8/8/8/7K/1b3P2/1k5P/R7/3r4 b - -,b3a2
r2qrbk1/1bpn1ppp/3p1n2/p2Np3/2PPP3/R4N1P/1PBB1PP1/3QR1K1 b - -,c7c6
3r1r2/1pnnqp1k/2pR1bpp/2P1p3/1P2P3/4BPP1/2Q1N1NP/5RK1 w - -,c2d2
r1bqr1k1/5pbp/p2p1np1/2pP4/2n5/1NN3P1/1P2PPBP/R1BQ1RK1 w - -,a1a4
8/4kp1p/p2rpp2/q7/1pR5/1P2P2P/5PP1/4Q1K1 w - -,e1b4
2rr2k1/p2qnpp1/Qp2p2p/4P3/3P4/P4N1P/5PP1/2R2RK1 w - -,g1h2
4n3/8/4k1K1/pp3p2/8/1P4P1/P5BP/8 w - -,h2h4
r1nq1rk1/pppb2bp/3p1n2/3P1p2/2P1pP2/1PN1B2P/P1BQN1P1/R4RK1 w - -,e3d4
3b2k1/6r1/p3p1q1/1p1pPrpp/2p5/2P2P1N/PP2QBK1/R4R2 w - -,f2d4
4r1R1/2p5/1p1p1k2/p1P2P1p/2B1b3/PP3K1n/8/6R1 w - -,f3e2
8/5p1k/1p2PBp1/3q3p/2nP1Q2/8/2r3PP/4R1K1 w - -,f4g3
r2q1rk1/pb2ppbp/1pn3p1/8/3PP3/4BN2/P3BPPP/R2Q1RK1 b - -,e7e6
5B2/1p6/1P2k3/2Kp1p2/3P1P2/1b6/1P6/5B2 b - -,e6d7
3r1rk1/1Q1n1ppp/4p1b1/3pqn2/2P5/4BN2/P4PPP/2R1KB1R b K -,e5e4
8/8/3K2k1/P2B1p2/5Ppr/N7/1P3R2/4r3 b - -,g4g3
r2q1rk1/ppp1ppbp/2np2p1/3P4/2P5/6P1/PP2PPNP/R1BQ1RK1 b - -,c6e5
8/r1k5/P4p2/2KB1n1p/5P2/R7/6P1/8 w - -,d5c4
4rbk1/5p1p/5Pp1/3P4/1p1Nb3/1P1nN1BP/R5P1/7K b - -,f8c5
r3rbk1/5ppp/pq2b3/4pN2/P1B1n1P1/2B4P/1PP4K/R2Q1R2 w - -,c4e6
2kr4/1p1n1pp1/p3p2p/6bP/1PP1q3/P2RB1P1/3NQP2/2K5 b - -,e4h1
r1bqkbnr/pp1p1pp1/2n4p/4p3/4P3/1NN5/PPP2PPP/R1BQKB1R b KQkq -,f8b4
rnq2rk1/ppb2pp1/2p1p2p/5b2/2PPN3/1Q2B1P1/PP3PBP/R4RK1 b - -,b8d7
r1b1kb1r/pp2p1pp/1q3p2/3Pn3/2PQp3/8/PP1B1PPP/R3KBNR w KQkq -,c4c5
r2qr1k1/1ppb2bp/1n4p1/p2Pp1N1/P3p3/1P2B1P1/2Q2PBP/R4RK1 b - -,b6d5
r2q1rk1/1b2bppp/p3Nn2/2p3B1/1p2P3/1B5Q/PPP2PPP/R3R1K1 b - -,f7e6
8/5pk1/5n2/6p1/2Pb1pP1/P1pPr3/2R1B1K1/8 b - -,e3g3
4rbk1/2q2p2/6p1/p2Rp1N1/P7/2P4P/2Q2P2/6K1 b - -,e5e4
3rR1k1/1pp3pp/2n2pr1/1p1q4/8/P1Q2N2/1PP2PPP/4R1K1 b - -,d8e8
3r2k1/1pb1qpp1/2p2n1p/p2rP3/7Q/PN2P3/1PB2PPP/2RR2K1 b - -,c7e5
1r6/5p2/5k2/p3pPRp/1p5P/1P2K3/2P3P1/8 b - -,b8h8
8/1p4r1/p7/3PQ2k/2N3r1/1PK1R1Bn/8/7q b - -,h3g5
2r5/6pk/R2b3p/8/3Pn3/p3P2P/6P1/2NK4 b - -,d6b4
1r1r1b2/1q3pkp/2pp4/p3p1P1/4P2P/1PNQ4/P1P5/1K1R3R w - -,h4h5
8/8/3bP1Bk/7P/1PKp1p2/8/8/8 w - -,b4b5
r4rk1/3q1pbp/2pp2p1/8/2PpB1b1/3P2P1/4PP1P/1RBQ1RK1 w - -,f1e1:c1f4
8/6kp/3R4/1b2pP2/1P1pK3/1R4PP/8/5r2 b - -,f1e1
r1bqk2r/pp1nbp1p/2n1p1p1/2ppP3/3P1P2/2PB4/PP1NN1PP/R1BQK2R w KQkq -,e1g1
q3r1k1/p3b2p/6p1/5b2/1NP2P2/1n3B2/P4BPP/5RK1 w - -,f3a8
6k1/p4pp1/4b2p/1rP5/8/2Q2PP1/4PK1P/3rN3 b - -,d1d7
4qrk1/1B1bbppp/1B3n2/2p1p3/4P3/r1N2P2/P2Q2PP/1R1R2K1 w - -,c3d5
8/p4r2/1p6/4Q1p1/k7/8/5r2/6K1 w - -,e5d4
r2r2k1/1p2b1pp/2p2p2/1n6/pPN5/P3P1P1/R4PBP/2R3K1 b - -,b5d6
r4rk1/p1qn2pp/1p2Bn2/8/8/2P2P2/P3QP1P/R1BR2K1 b - -,g8h8
3k4/3n2r1/1pp5/p3pNPp/P6P/1P2K3/2P3P1/5R2 b - -,g7g6
r4rk1/pp1nppbp/1qp2np1/8/3P2b1/2N1PN2/PPQ1BPPP/R1B2RK1 w - -,f1d1
1r2k1nr/1p3p1p/pN4pb/P2PQ3/4P3/5P2/1P3Bq1/R3K3 b Qk -,e8d8
1r3r2/3nppkp/2p3p1/p3pP2/2P1N1RQ/1P3R1P/6PK/3q4 b - -,d7f6
8/6qp/3Q4/R2P2pk/2P5/1p2P3/5P1K/8 w - -,a5b5
rn3k1r/pp2npp1/4p2p/q2pP2P/b1pP2Q1/P1P5/2PB1PP1/R3KBNR w KQ -,g4d1
3q4/3r1ppk/1pQp1n1p/5N2/1P2PP2/P6P/6P1/4R1K1 b - -,d6d5
rn1q1rk1/6b1/p1p5/3p1ppR/3P2N1/Q2BP1P1/PP3PP1/2R1K3 w - f6,g4h6
3r4/pp2pp1k/6pP/2rqP3/6p1/4Q3/PPP5/1K2RR2 b - -,c5c4
3q1rk1/3b1pbp/pr1p2p1/1ppP4/5B2/1P4PP/P3PPB1/2RQ1RK1 w - -,d1d2
r1b1r3/pp3pk1/1qppn1pp/8/2PbP3/1PN5/P2Q1BPP/1BR2RK1 w - -,c3e2
2r4k/1pqr2p1/3p3p/1R1Qp3/1P6/5PP1/R3P1KP/8 w - -,a2d2
8/4pk2/3p1p1q/p1p2B1P/1p1nP2Q/1P1P2r1/P1P5/5RK1 w - -,g1h1
4r1k1/p2q1p1p/3P1QP1/8/3R4/2p4P/P5P1/6K1 b - -,f7g6
8/5q1k/p5b1/1p5p/3Bp2P/1PP1Q3/P5P1/6K1 b - -,f7d5
r4rk1/1p1nqpbp/2p2np1/p3p3/P1BP4/2N1PQ1P/1P1B1PP1/2RR2K1 w - -,c4a2
3rr3/6k1/p3p2p/Pp1qPpn1/1PpP2p1/2P3P1/3B2QP/2R2RK1 w - -,d2g5
rnb1kb1r/ppp1qp2/3pp2p/4P1p1/3P4/2N2N2/PPP2PPP/R2QKB1R w KQkq -,f1d3
rn1qkb1r/pp2pppp/2p2nb1/1B1P4/3P2P1/5P2/PPP4P/RNBQK1NR w KQkq -,d5c6
2r2rk1/nppq1ppp/p2p1b2/P2P4/1PP1P3/B6P/2QNRPP1/R5K1 w - -,a1e1
6k1/3nbppp/1qp1p3/3b4/1p1P2P1/1P1N1P1P/r1PBBQK1/2R5 w - -,f2e1
r5k1/4q1p1/6QR/3pPp2/1p6/6PK/7P/8 w - -,e5e6
2rq2k1/p2pb1pp/1p1rp3/4R3/3P4/5N1P/PP3PP1/2RQ2K1 b - -,c8c1
8/4k3/4p3/1p6/3Q1P2/1P3q2/2PK1P2/8 w - -,d2c1
rnbq1rk1/pp3ppp/4pn2/2bp4/8/3BPNB1/PPP2PPP/RN1QK2R w KQ -,c2c3
r2r1bk1/p1q2n1p/bpp1p1p1/4PpP1/2pP1P2/2N1BN1P/PPP5/3RQRK1 w - -,e1f2
2n3k1/p2n2p1/1p2pp1p/1N6/7B/P3PP2/1P2K1PP/8 b - -,g8f7
r4rk1/p4ppp/Q1pn4/P2q1p2/3P4/n1PBP3/5PPP/R4RK1 w - -,a1a3
5rr1/pk3pp1/1pn1p2p/3pPq1P/b1pP4/P1P3B1/2P2PP1/2RQRNK1 w - -,g3h4
1n4k1/r5np/ppqpr1p1/2p5/P1P2P2/1P3N2/6PP/R1BQR2K w - -,f3g5
2b1r3/1p1n1kbp/1pp2pp1/8/r3nBP1/PNP4P/1PN2KB1/R3R3 w - -,g2e4
1r2r1k1/5p1p/p1Pp2pB/Pp1Ppq2/1Pn4P/2Q3P1/5P2/4RBK1 b - -,f5h5
rn1qkbnr/pp3pp1/2p1p2p/3pP2P/3P4/3Q2N1/PPP2PP1/RNB1K2R b KQkq -,c6c5
2r1rb1k/1p1n1ppb/1qp1p2p/p7/P2PP3/1B1N1P2/1P2QBPP/2RR3K w - -,b3a2
r5qr/ppkb4/3p1p2/2pPpPBp/2P1Q1nP/2P5/P3B1P1/R3KR2 w - -,g5d2
3r4/ppk3p1/2p4p/2b1p2P/6P1/2PBqP2/1PQ3K1/3R4 w - -,c2e2
3k4/1p1bR3/p7/P1B5/1P4r1/1K6/2P5/8 w - -,e7e5
2r1r1k1/1q1n1ppp/p7/1P2pQ2/8/1P4P1/P2B1P1P/2R1R1K1 b - -,a6b5
8/6k1/7p/3Q4/2Pq4/6P1/5P1P/6K1 b - -,d4c3
rnbq1rk1/pp2bppp/2p2n2/3p4/3P4/P1N1P2P/1P2NPP1/R1BQKB1R w KQ -,g2g4
r1nnk2r/pppq1pb1/3pb1pp/3Np3/2P1PP2/3P2P1/PP2N1BP/1RBQ1RK1 b kq f3,c7c6
q2br1k1/5p2/1p4n1/pb1pP3/1Pr5/PN1N1BQP/7P/2R3RK w - -,c1c4
8/5Bp1/1p4P1/8/3k4/p4n1P/P1K5/8 b - -,d4e4
8/6k1/2B3p1/3Pn2p/3B4/6PP/r4P2/6K1 b - -,g7f6
5nk1/1brnb2p/1p2p1p1/pP1pPp1P/3P4/3BNNP1/P2BKP2/1R6 w - -,e3g2
3r2k1/1pb2ppp/p5n1/P1qPp3/Q2nP3/2N1B1PB/5P1P/2R3K1 w - -,g1g2
rn1r1nk1/pp3pp1/q7/3bPBB1/P7/5P1Q/6PP/1R3R1K b - -,d8e8
1rbqr1k1/p2nppbp/2np2p1/1p4B1/4P3/P1N3P1/1PP1NPBP/R1Q2RK1 w - -,c3d5
2Q5/p5k1/1pp2n2/4qPpp/2P4P/1P6/P5N1/7K w - -,h4g5
3r4/p4k2/1p1b2p1/P3p3/1P3p2/4B2P/2r2P1P/R2R2K1 w - -,a5b6
r1bqkb1r/pp3pp1/2n1pn1p/3p2B1/3P1P2/2P5/PP1N2PP/R2QKBNR w KQkq -,g5f6
8/4rpkn/pq4p1/1p2P3/5P1P/P5P1/1P2Q1B1/4R1K1 w - -,e2f2
rn2k2r/p3nppp/2p1b3/q3p3/Ppp1P3/8/1PQB1PPP/R3KBNR w KQkq -,f1c4
r5k1/1p2Rp1p/p2p2p1/3q4/5rPQ/3P3P/1P6/1KR5 w - -,e7e3
2n5/1r2k2p/2p2pp1/p7/p2PPP2/2PB4/1PK5/4R3 w - -,e1a1
6k1/6pp/1p2p3/pP6/PbP5/6NP/2R5/4r2K w - -,h1g2
8/ppp3B1/4k1p1/3b1p1p/2P5/P1P1K1P1/1P3P1P/8 b - -,d5c4
r2r2k1/1p3bpp/pqn2p2/8/P2p4/P4P2/N1PQ1BPP/3RRB1K b - -,f7a2
3r1rk1/1p3p1p/pbnR1p2/8/2B5/1N3P2/PP3P1P/4R1K1 w - -,d6f6
8/6pk/3N1pp1/1P6/2Bb4/1P4P1/5P1P/4nK2 b - -,e1f3
4r1k1/1pp1np1p/3r2p1/1PN1B3/5P2/5B1P/5PP1/2R3K1 b - -,d6d8
r1bqkbnr/1p2pppp/p1p5/2p5/4P3/3P1N2/PPP2PPP/RNBQK2R b KQkq -,d8c7
r1bq1rk1/1ppn1ppp/3b1n2/1P1pp3/8/4PN2/PB1PBPPP/RN1Q1RK1 b - -,c7c5
3q1rk1/1p3pp1/p3p1np/3bP3/1P6/P2QB3/5PPP/1B1R2K1 w - -,e3f4
r4rk1/1b1nqppp/pppbpn2/3p4/2PP4/PPN1PN2/1Q1BBPPP/R4RK1 w - -,b3b4
r2q1rk1/1p3p1p/p2pb1p1/3Np1b1/3nP3/2PBN3/PP3PPP/R2QK2R b KQ -,d4c6
r1b2rk1/5ppp/1Bp1p3/pq2N3/3PP3/P4P2/2Q3PP/1R4K1 b - -,b5a6
8/8/8/5p1p/PBn1k3/6P1/5K2/8 w - h6,a4a5
r6r/1p3pp1/p2kbn2/2RPp1p1/8/4NP2/PP4PP/4KB1R w K -,d5e6
rnb1kb1r/ppp1pppp/3q1n2/8/8/2N2N2/P1PP1PPP/1RBQKB1R w Kkq -,f1c4
8/4k3/8/4PK2/7p/7P/5N2/5b2 w - -,f5e4
8/2R5/pp3krp/2p5/1P6/P7/2P5/2K5 b - -,c5b4
6k1/pp6/6p1/2BPb2p/P3P1bP/2N5/3n3r/K1R2R2 w - -,f1f8
2n5/1p1k4/2p1p1K1/5p2/2PP3B/1r5P/4R1P1/8 b - -,c8d6
5rk1/2R3bp/R4pp1/1B6/3p4/4P3/5PPP/6K1 b - -,f8b8
8/3Bk3/p1P5/Pb6/1P6/4p1K1/8/8 b - -,e7d6
r4rk1/p1pn2p1/1p1pp2p/5p2/2PP1P2/4PN1P/PP4K1/3R1R2 w - -,g2f2
4r1kr/p2q2p1/Q3p3/3p3p/3Pn3/1P5B/P1P5/1K2R1R1 b - -,h8h6
3R1nk1/1r5p/4Pp2/3N4/p7/4P1P1/5PK1/8 w - -,e6e7
4rrk1/1p2Rppp/pq1n4/2pP4/2P2Q2/5B2/PP4PP/4R1K1 b - -,e8e7
r2qk2r/pppn1ppp/4pn2/3p4/1b1P2b1/1P2PN2/PBP1BPPP/RN1QK2R w KQkq -,f3d2
r2qk2r/pp1nbpp1/2p1pn1p/3p1b2/2PP4/1PN1PN2/P3BPPP/R1BQ1RK1 w kq -,c1b2
4k3/4p3/R2p2p1/1pn1P2p/1r6/4K3/P1R3PP/8 w - -,a6a8
8/3k3p/5p2/4r1p1/4KpP1/2P2N1P/8/8 w - -,e4d4
r2qkb1r/pp2pppp/2n5/8/3PpB2/7P/PPP1QPP1/RN2K2R b KQkq -,d8d4
rn2qrk1/pbppn1pp/1p2p3/8/2P1p3/P1PB1N2/1PQB1PPP/2KR3R w - -,d3e4
5r2/2pk3r/1pNp1pp1/pPnPp3/2P1PnPP/4RNK1/P6R/8 b - -,h7g7
1kb4r/1p2qp2/p1pr2p1/3p3p/Q2P4/1R1BP1P1/PP3PP1/1KR5 b - -,b8a8
8/8/2k5/1p6/1PP1n3/K3N3/P1R5/1r6 b - -,b1h1
r1b1k2r/ppp1nppp/8/2b1p3/2Pq4/2N5/PP1PBPPP/R1BQ1RK1 w kq -,b2b4
4r1k1/7p/1P1qppp1/Q2p3n/3P4/4PN1P/5PP1/1R4K1 w - -,f3e1
8/5p2/5k2/p3pp1p/P7/1Pr3PP/2P3RK/8 w - -,h2g1
3r4/1p2kp1p/p3pbp1/2n5/P4P2/2P2NP1/1PB1K2P/3R4 b - -,d8c8
8/8/2b5/4k3/7R/1r6/5K2/8 w - -,h4h5
2Q2nk1/8/2p2p2/1p3N2/4qP2/2P3K1/P7/8 b - -,e4e1
3rk2r/pp3pB1/1np1p1bp/q7/2p2bP1/2NnQN1P/PP2RPB1/R5K1 w k -,g7h8
8/1b1n1k1p/1p1B4/3p4/3N4/2P1PP2/8/6K1 w - -,g1f2
8/8/3P2p1/2p2b2/6qP/Q2kp1P1/6BK/8 b - -,d3d2
r3rb2/p4p1k/2p1bnpp/2n1p3/3qP1P1/1PN3QP/2P2P2/R1BNRBK1 w - -,g3f3
r1q2rk1/pp2pp1p/2np1bp1/8/2PN4/1P2P1P1/PB3PKP/R2Q1R2 b - -,c6e5
8/7Q/5p2/7b/8/4r1pk/3K4/8 b - -,e3e5
8/8/1p6/p3bK1P/P2kP3/1P1p4/8/3B4 b - -,e5g7
5rk1/1ppbq1bp/r2p2p1/2PPn3/4Bp2/1QN4P/PB1N1P2/2KR3R b - -,f8a8
