8/5R2/1r4pp/4k3/5n2/5B1P/5PP1/6K1 b - -,f4d3
r6q/6k1/2p1pbp1/1pPp1p2/rP1PnP1p/1N2PN1P/1B4PK/1R2Q3 b - -,a8a6
1r4k1/1pp3p1/7p/1pQ1R3/2P3n1/3P2q1/P5B1/5RK1 w - -,e5h5
r3r1k1/p5pp/1p1R1p2/2p1p3/6b1/P1B3P1/1P5P/4R1K1 b - -,a8d8
q4rk1/rb2bppp/5n2/1BppB3/P7/4P3/3NQPPP/R2R2K1 b - -,b7c6
6k1/p2q1p2/3r2p1/1p6/8/1P4P1/P4Q1P/4R1K1 w - -,f2e2
r1b2rnk/p4p1p/1pp1pPp1/2pqB1N1/5P2/1P6/P1PP2PP/R2Q1RK1 w - -,c2c4
r4rk1/pp2ppbp/2np2p1/q6n/2P1PPb1/2NBBN2/PP2Q1PP/2R2RK1 w - -,e2d2
6k1/1Bp2pp1/1p2p2p/4Pn1q/3P4/2P2PPN/4Q1KP/r7 b - -,a1c1
5b2/5k2/6pp/1pB1p3/p3P3/3K2P1/PN5P/1n6 w - -,c5f8
6k1/2q5/p3Rb1Q/1ppp4/3p1P2/1P1P2P1/P6P/6K1 b - -,g8f7
r1bq1rk1/1pp1bppp/p3p3/3nN3/3P1B2/6P1/PPP1QPBP/1K1RR3 b - -,e7b4
2r3k1/R4pp1/5b2/4p3/P2N1P1p/6P1/r3P2P/3RK3 w - -,f4e5
8/8/5pk1/R4p2/6p1/4PKP1/P4P2/r7 w - -,f3g2
8/p1pk1pp1/1p1b4/3N4/7p/1P5P/P1P2PP1/5K2 w - -,f1e2
r2q4/3n1n1k/pp1p2pp/2pP1p2/1PP2P2/PR2rBPP/2Q2N2/2R3K1 b - -,d8e7
8/1P3k1P/7K/5q2/5P2/6P1/8/8 w - -,h7h8n
r5r1/p2q1p1k/2pP3n/1p3P2/4p3/7Q/PPB4P/2KR2R1 w - -,g1g6
4rk2/r1pb1pn1/1p1p3p/p1n3p1/2PNP1P1/PP2BP2/2B2K1P/R3R3 w - -,h2h4
r2qk2r/3bbppp/p3pn2/np6/P2P4/5N2/BP2QPPP/RNBR2K1 w kq -,d4d5
r3r1k1/7p/p1q3p1/1pp1Pp2/P1bn3N/4B2P/1P3QP1/2R1R1K1 b - -,d4e6
r2qkbnr/pp1b2pp/2n1pp2/2ppP3/3P4/N1P2N2/PP3PPP/R1BQKB1R w KQkq -,f1d3
8/pp5p/2pbn3/3p1kp1/2PP4/1P2B2P/P2N1K2/8 b - -,h7h5
8/7k/p1r1b2p/1p2Ppp1/7P/3B2K1/1P6/3R4 b - -,h7g6
1r3rk1/2p3p1/p2p2p1/Pp1Pp3/2P1Pn2/1B3P1q/1P1N3P/2R1Q2K w - -,e1g3
1rnr2k1/p1q2pp1/2p1p2p/1pR4P/P2P4/1PP2BP1/2Q2PK1/4R3 b - -,c8e7
3r2k1/1p3ppp/8/3p4/3P4/8/1P3PPP/R5K1 w - -,a1a7
1qrr1bk1/3n1ppp/ppbppn2/8/2P1P3/1PN2PN1/PB4PP/1BRRQ1K1 w - -,c3e2
8/2kP1p2/6p1/1BNr4/PP6/2P1K3/7P/8 b - a3,f7f5
3r4/1p1n1R1p/p2P2pk/8/PPBb4/2N4P/6P1/7K w - -,c3e4
3r2k1/2R3p1/5p1p/2K2P2/6P1/8/2n5/2B5 b - -,c2e1
r1bqkbnr/5ppp/p1p1p3/3p4/4P3/2NQ4/PPP2PPP/R1B1KB1R w KQkq d6,d3g3
6k1/2b5/2B1p1pp/1P6/4N1P1/2r4P/6K1/8 b - -,c3c2
r1b2r2/ppq1npkp/4pnp1/1BPp4/3QP3/2N2N2/PPP2PPP/3RK2R b K -,a7a6
r7/1pq2pk1/1p3npp/3p4/3N2P1/1Q3P2/rPP3P1/3RR1K1 b - -,a8a6
5rk1/p1n1qpbp/2p3p1/1r1pP3/3Nn3/1Q2B3/P3BPPP/3RR1K1 w - -,d4c6
6k1/R5p1/2N5/3P3p/p5b1/2Pr4/6PP/6K1 w - -,c3c4
5k2/8/4K3/8/3B2R1/8/4r3/8 w - -,d4e5
4k2r/1p1qbpp1/p1rp1n1p/P3p3/4P3/1PN2Q2/2P2PPP/R1B2RK1 w k -,c1d2
r1q1kb1r/3n1ppp/1pp1pn2/3p1b2/3P1B2/1QN2NP1/PP2PPBP/R1R3K1 b kq -,c8b7
8/8/R5kp/8/3b4/P7/r4PP1/5NK1 b - -,g6g7
rnbqkb1r/ppp2ppp/4p3/8/4P3/6P1/PPP2P1P/R1BQKBNR b KQkq -,d8d1
rq4kb/1r5p/2pP1ppP/2p1p3/1nP1P1P1/p1N1Q1N1/P2R1P2/2K3R1 b - -,b8a7
4r1k1/2R2rpp/p1Qp3q/3P1p2/P3pP2/1P4RP/6P1/6K1 b - -,e8f8
2b2rk1/1pppqppp/r7/p7/2Pb4/PP2P3/R3BPPP/3Q1RK1 w - -,d1d4
r2q1rk1/pp2bpp1/2p1pn1p/5b2/2PP4/2N3P1/PP3PBP/R1BQ1RK1 w - -,h2h3
8/8/6k1/6pp/8/6PK/8/3B4 b - -,g6h6
8/4P2p/4K2B/5p1b/8/8/2p1kPP1/8 w - -,e6f5
8/1p3k2/p1b5/P3BP1p/8/2N3br/1PP5/3K1R2 w - -,e5g3
5r2/1pk5/p1pr2p1/P1KpNp1p/1P3P1P/4P3/6B1/R7 w - -,g2f3
5r2/8/5q1k/1p1p2p1/p2N3p/P1P1p2P/1P2Q1R1/6K1 w - -,e2b5
r2qk2r/p3bpp1/bp1pp3/n2P4/2P4p/2PB1PN1/P3Q1PP/R1B1K2R w KQkq -,g3e4
r1bqk2r/pp3p1p/2np1npb/4p3/4P1P1/2N1N2P/PPP2PB1/R1BQK2R b KQkq -,c8e6
8/p1k3p1/2P2pKp/P3p3/6P1/7r/5P2/2R5 b - -,h3f3
1k3r2/1ppqnrb1/3p3p/3Pp1pQ/2P1N1P1/P3R1P1/1P1N1P2/2K4R w - -,e3d3
1k3r1r/1pqbbp2/p2pp1n1/6Pp/3NP1nP/4Q1B1/PPP1N1B1/3R1R1K w - -,e3b3
r1r3k1/pp1bb1pp/1q1np3/3pBp2/3P4/1P2PPPN/P4RBP/2RQ2K1 b - -,d6f7
1nkr2r1/pppq1p2/3p4/1P6/2PpQ1Pp/P2P3P/5PK1/1RB2R2 w - -,e4d4
rnb1k2r/ppp1q1b1/3ppnpp/5p2/2BP3B/2P1PN2/PP1N1PPP/R2Q1RK1 b kq -,b8c6
3b4/P6R/8/2p5/4k3/4N3/5K2/r7 w - -,e3c4
r2Q1rk1/5p1p/p3p1pn/1p2b3/2P3P1/7P/PB1N1PK1/R4R2 b - -,f8d8
8/8/8/8/8/4K3/Bpk5/1n6 w - -,a2f7
8/1k6/6R1/1P4p1/1K5p/7P/4r1P1/8 w - -,g6g5
5rk1/3b1pp1/q2b3p/3Pp3/8/2n1N1P1/5PBP/1R1Q3K w - -,d1f1
r4r2/1qp3bk/3p2pp/p2Pp3/2R1N3/1P1Q4/P4PPP/2R3K1 b - -,f8f7
2rq1rk1/1p1bb1pp/p1n1p3/3pPp2/3N1P2/P1NPB3/1P2Q1PP/2R2RK1 w - -,e2f2
5r1k/p3p1bp/8/r2Pq3/4Rp2/2N2Q1P/1P3PP1/3R2K1 b - -,e5g5
1b6/p3k3/Pp4K1/1P2p1P1/4Pp2/5P2/8/8 b - -,b8d6
r5k1/5p2/1p2p1p1/1Nb5/4P2p/5P2/6PP/1R5K b - -,g8f8
1r3rk1/p5pp/b2p1p2/4nN2/8/2N5/PP3PPP/3RR1K1 w - -,d1d6
6k1/1p1bpp1p/3p2p1/2q1r1Pn/p1BRP2P/P1P1QP2/K1P5/7R w - -,f3f4
rn1qkb1r/pp1bpppp/3p1n2/2p5/4P3/2P2N1P/PP1P1PP1/RNBQKB1R w KQkq -,f1d3
rn1qkb1r/pp1bpppp/3p1n2/1Bp5/4P3/1P3N2/P1PP1PPP/RNBQK2R w KQkq -,b5d7
8/7k/ppbqp3/5p2/2P2P1p/1PN1Q3/P4P2/4K3 w - -,c3e2
r3kb1r/1pq2pp1/n1p1p2p/p3P3/2P4P/PQ4N1/1P1B1PP1/2KR3R w kq -,d2c3
4r1k1/5ppp/ppq1N3/8/1QPpP3/P4P2/6PP/K1R5 b - -,f7e6
R7/3k1p2/2n3pp/p2n4/1P3P1P/P3PKP1/8/8 b - -,d5f6
3rrnk1/ppq1bppp/2p1b3/2Nn4/1P1P4/P2BB1N1/3Q1PPP/R4RK1 w - -,f1c1
r3k2r/pp1qn1bp/4p1p1/3p4/3P4/2P2N2/PP4PP/R1BQK2R b KQkq -,e8g8
r5k1/p2brpp1/1qp4p/8/3Qp3/1NP5/PP3PPP/R3R1K1 b - -,b6d4
r2q1rk1/1b1nb2p/p1p1p1p1/1p3p2/2pP1B2/P1N1P2Q/1P3PPP/R3KB1R b KQ -,e7f6
1N6/2B3b1/4kp1p/1pP3p1/p3b3/1P2P2P/1P6/6K1 w - -,b3a4
2kr4/pp1q1p2/2p3p1/2P1Rp2/1P6/7P/P7/2K1Q3 w - -,e5e7
5k2/5p2/4n3/2npPp2/p7/7P/PP4B1/5NK1 w - -,g2d5
4r1k1/1p2qpp1/2pp3p/8/1PP1Q3/2N2PPb/5P1P/R5K1 b - -,e7d8
8/2R5/p2Pbk2/5p2/r7/3N3P/3K4/8 w - -,d2c3
r2q2k1/5ppp/pp1b1n2/2p3B1/3P3Q/5NP1/PP3P1P/4R1K1 b - -,h7h6
r2r1bk1/1b2qp2/1pnpp1pp/8/1PPNP3/1QN3P1/5PBP/3RR1K1 w - -,d4b5
r2qk1nr/pp2bppp/1np5/3p3b/3P1B2/2N1P3/PP3PPP/2RQKB1R w Kkq -,d1h5
1rb3k1/pp2b2p/2p2r2/1P1p2N1/3Pp3/6P1/P3PPBP/1R3RK1 b - -,c8d7
8/8/3p1r2/pPk1p1R1/P1p1P1K1/2P5/8/8 w - -,g5f5
1r5r/2pn1pk1/p2b2pp/3Bp3/PpN1P3/5PPb/1PP2B1P/2KR3R b - -,h3g2
rnbq1rk1/pp2ppbp/2pp1np1/6B1/2PPP3/2N2N2/PP2BPPP/R2QK2R b KQ -,a7a6
r4k2/r3p2p/3p1p2/pqnP1PpB/8/1P2R2P/P2Q2P1/4R2K w - -,a2a3
2r3k1/p4qp1/1pbBp3/4Pr1p/2P5/2R1R1P1/P1Q2P1P/6K1 w - h6,h2h3
4q1k1/5p1p/1b1p2p1/pp1B1b2/5P2/1P4P1/P3QN1P/5K2 b - -,g8f8
1r1q1rk1/pp3ppp/2n5/2b5/3p2b1/P1NPB1P1/4PPBP/1RQ2RK1 w - -,e3g5
r4rk1/1bqp1ppp/p2Rp3/2p1P3/5P2/2P1Q3/P1P1B1PP/5RK1 b - -,f8c8
1R6/4r3/5pk1/8/4p1PP/8/5PK1/8 w - -,b8b3
5rk1/p4r1p/Q2p2p1/2pPp1q1/2PnB3/5P2/PR4PP/1R5K b - -,g5e3
3r4/1p4k1/p1b2pp1/4p2n/3q4/1PN1Q2P/P1P2P2/3R1BK1 b - -,d4d1
8/1p2R3/2p2n2/5k2/2P5/1P3rp1/P7/1K4R1 b - -,f6e4
6rk/1pp1q2p/n2p1nr1/3Pp3/1PP1Pp2/NQ6/4R1PP/1R2N1K1 b - -,f6g4
3r2k1/5p2/4n1p1/2n1p2p/8/4bP1P/P3Q1P1/1R3K2 b - -,e3d4
rkbq1r2/pp2b1Np/1n3n2/1Np1Q3/3pPP2/4B3/PPP3PP/2KR3R b - -,e7d6
4b3/8/6p1/p3k2p/P4p1P/1B1K1PP1/4Nb2/8 w - -,e2f4
8/2P2k2/2P5/6P1/2bKP3/1p4N1/7p/8 b - -,c4e6
8/p1R2Bk1/p3p2p/3pP1p1/2n5/4P1P1/Pr3PP1/6K1 b - -,c4e5
5rk1/Rq6/3p2n1/3P2p1/3Ppp2/8/1P4PP/R5K1 w - -,a7b7
r1b1k2r/pp3ppp/2n2n2/3pq3/4P3/2PQ1P2/P1N3PP/R1B1KB1R w KQkq -,c1a3
4b3/4Np1p/8/1kPK1P2/p6P/P7/8/8 b - -,f7f6
r2q4/1R3rk1/2p2ppB/3pp3/2nP4/P1p5/5PPP/3Q1RK1 b - -,g7g8
r2qkb1r/pp1n1ppp/2b1p3/2p5/3Pn3/2N2NP1/PP3PBP/R1BQ1RK1 w kq -,c3e4
r1b2rk1/1p1n1pp1/1b4q1/p3p2p/P3P3/1N1B2B1/1P2QPPP/2RR2K1 w - a6,g1h1
2r2rk1/5pbp/1q1n2p1/pp1Pp3/P7/1BN4R/1P2QPPP/5RK1 b - a3,b5b4
rn3rk1/pp2bppp/3qp3/3p3b/3P4/4BN1P/PPPQBPP1/3R1RK1 w - -,f3e5
r1b2rk1/2q1b2p/p1ppp1p1/5p2/4PP2/2NQ3R/PPPB2PP/5R1K w - f6,e4f5
r2qk2r/pb1p1ppp/n3pn2/bN1P4/1pP5/4P1P1/1P2NPBP/1RBQK2R b Kkq -,d8b6
r1bqk2r/pp2bppp/1n1p1n2/2p5/4P3/1BN5/PPP1NPPP/R1BQ1RK1 b kq -,c5c4
r3kb1r/p2p1ppp/q1p1p3/3nP3/4N3/1P6/P1PB1PPP/R2QK2R b KQkq -,a6b6
3r4/2rP1kp1/1p5p/1P6/4n3/3R3P/P4P2/3R1K2 w - -,d3f3
2b1qrk1/1p2r1n1/3p1p2/2pP2pp/PpP1P1P1/1P1B1N1P/5QR1/5RK1 w - -,f2g3
8/3r2k1/p1p3p1/1pN1Pn1p/8/3B4/PPP2PPP/1K6 w - -,c5d7
r2qr1k1/1pp2pbp/p1n2np1/4p1N1/PPbP4/BQN1P3/5PPP/R4RK1 w - -,b3c4
rq2rbk1/3b1pp1/p2p1nnp/1ppP4/P3P3/1PN3BP/2QNBPP1/4RRK1 b - -,b8b6
8/3kpp1p/R2p2p1/N2r4/1P3P2/4BKP1/2r4P/8 w - -,a6b6
2r2rk1/1R3ppp/4bn2/p7/8/P1P2B2/5PPP/2B2RK1 b - -,e6d5
2r3k1/6p1/p2q3p/Pp6/3P1n2/6P1/3Q3P/5RK1 w - -,f1f4
3q1bk1/5pp1/2Q1p2p/3pB3/3P2P1/4P2P/5P2/6K1 w - -,g1g2
5k2/8/2B1pp1p/p1p3nP/P1P4R/1r4P1/3r1P2/5RK1 w - a6,g1g2
r1bqr1k1/pp2bppp/5nn1/3pN3/2pP4/2N1P2P/PPQ1BPPB/R4RK1 b - -,g6h4
3q1rk1/pp1bppb1/3p1np1/4P1Bp/2rN3P/2N2P2/PPPQ2P1/2KR3R b - -,f6h7
6R1/8/P7/8/1P6/2KP1k2/6pr/8 b - -,h2h1
7k/p3qp2/1n4p1/4PB1p/2pr3P/P4PQ1/8/2R4K w - -,f5e4
r1q1k1br/ppp3b1/B1n2npp/2Pp1pN1/QP1Pp2P/2N1P3/PB3PP1/R3K2R w KQkq -,g5h3
4r1k1/8/2p1rpp1/R2n2q1/PnNP3N/6P1/3R1PK1/3Q4 b - -,e6e4
2r3k1/r3np1p/2P1p1p1/1B1p4/P7/1pR5/5PPP/1R4K1 b - -,a7c7
6k1/p2b3p/3p2p1/P1pPbPqn/2P2p2/3B1P2/1r1NN1PP/4QRK1 b - -,g6f5
r1br2k1/1p3p1p/2pp2pb/p3n1q1/P3PN2/1PB4P/2PQNPP1/R3R2K w - -,c3a5
8/5p2/5k1p/6p1/p5P1/1q3B1P/1P2RPK1/8 b - -,b3b5
r2b2k1/r2q1p1p/3p2p1/p1p1p3/R1P1Pn2/1P1PN2P/2QB1PPK/R7 w - -,e3f1
3q1k2/5n2/3pQPp1/1p1Pp3/1Pp1P3/2P5/r4PK1/1BR5 b - -,a2b2
2b2r2/6nk/p7/3p2Rp/3N1P2/1PP4P/1P5K/6R1 b - -,f8f7
R1r3k1/1b1nqpp1/5n1p/3p4/1ppP4/4PP2/1P1N1BPP/2QB1RK1 b - -,b7a8
2rq1rk1/1p1bbppp/pnn1p3/3pP3/1P1P4/PBB2N2/3NQPPP/R1R3K1 b - -,c6a7
1r1qn1k1/1r5p/1p1p1bp1/pP1Pp2n/N1P1P1b1/4QNP1/3BB2R/1K4R1 b - -,b7f7
5rk1/5pp1/1Rp1q2p/1p6/5Q2/2P4P/6PK/8 b - -,f8d8
7k/3R3p/1r2Bp2/1p2QPp1/8/6PP/6K1/8 b - -,f6e5
8/7p/pp3kn1/2p3p1/2P2p2/1P2PN2/P3KPP1/8 w - -,f3d2
r7/2K2k2/pR2p3/P2pP2p/8/4P3/7P/8 w - -,c7d7
r2q1rk1/4bppp/2npb3/p2Np3/1pP1P2P/6P1/PPN2PB1/R2Q1RK1 w - -,b2b3
r1b2rk1/p3q1pp/1p1p4/3Ppp2/3n4/3Q2P1/PP1NPPBP/2R2RK1 b - -,e7d7
2rk4/3brpQ1/2n1pN2/pp1pPP2/8/qPP5/1N4PP/1K1R3R w - -,f6g8
r5k1/4q2p/2p3p1/8/p1NbP1P1/3P1R1K/6Q1/8 b - -,a4a3
1rq1k2r/2p1n1p1/1p1pP2p/pPbnpp2/P1P5/1Q2P1P1/3BNP1P/R4RK1 w k -,c4d5
r4rk1/pp2ppbp/2p2np1/4q3/4P3/5BPP/PPP1QP2/R1B2RK1 w - -,c2c3
4rrk1/p1Bp4/np3n1p/1N1P2p1/8/2P3P1/P4PP1/3R1RK1 b - -,a6c7
1rb3k1/r4pp1/1q2p2p/1pN5/1QpP4/2P1PP1P/1R2RKP1/8 w - -,b2a2
8/5pk1/6p1/3Qp2p/1p5P/1Pq1P1PK/8/8 b - -,c3e3
1k1r4/1p6/pqb1pb2/7p/5P2/1N6/PPPQB1PP/2KR3n w - -,e2d3
r1bqk2r/bpp2p2/p1np1n1p/4p1p1/4P3/1BPP3P/PP3PPN/RNBQR1K1 b kq -,h8g8
r3kb1r/1p1b1ppp/p2ppn2/q5B1/P3P3/2N5/1PPQBPPP/R4RK1 b kq -,a8c8
r4rk1/1p1n1ppp/pqp2n2/N3p3/1P1P4/P3PB1P/5PP1/2R1QRK1 w - -,e1c3
r4bk1/2q2p1p/2P3p1/1P1p4/r4P2/n5PP/R4B1K/2QR1B2 b - -,a3c4
2kr1b1r/ppp3p1/2n4p/3qpp1b/8/P2PB2P/1PPNBPP1/R2Q1RK1 b - -,h5e2
r1bnqrk1/ppp2p2/3p2pp/3Pp3/P1B1PPn1/2P5/1P1N2PP/R2QNRK1 w - -,d1e2
rn2k2r/1bqpbppp/pp2pn2/8/2P5/PPNBPN2/1BQ2PPP/R3K2R b KQkq -,d7d6
1r3rk1/p4ppp/B3qn2/2p5/6b1/P3P1P1/1P3P1P/R1B1RQK1 b - -,g4h3
4r1k1/1p1n1r1p/p4p2/4bR2/4NB2/1P5P/P5P1/3R2K1 w - -,f4e5
3r4/p2rpk2/1pp2pp1/3n1n1p/1P1P3P/2P2PB1/1PN3P1/R3R1K1 w - -,g1h2
r4rk1/3bqpp1/p1p2n1p/Pp1pN3/1PBP1P2/2N1P2P/2Q3P1/1R2R1K1 b - -,d5c4
3b4/7k/8/1K5P/PB6/8/8/8 w - -,b4d2
5R2/1Pk5/K7/8/8/8/1r6/4q3 w - -,f8c8
r1br4/4kpp1/p1np3p/1p1np3/4P3/BP3P2/P1P3PP/2KR1B1R w - -,e4d5
8/8/1p1b2p1/1P2ppk1/4P2p/5P1P/2N3K1/8 b - -,f5e4
1rbr2k1/pp2R1bp/8/2NB1p2/P2p1Pp1/3P4/1BP2P1P/R5K1 b - -,d8d5
1r4k1/3r1pp1/2p1b2p/P3n3/3pP3/P2B2NP/2P3P1/R2R2K1 b - -,c6c5
5r1k/6p1/1P4p1/2b5/2N1B3/1P4P1/P1n4P/3R3K b - -,c2b4
1r6/7k/4n1p1/5q2/2QPP1p1/P5P1/5P1P/2R3K1 b - -,f5e4
3qr1k1/4ppbp/1r4p1/1PpPpb2/4nB2/1P1B1N2/5PPP/R1QR2K1 w - -,f3e5
7k/6q1/2Qr4/1P4p1/5b1p/4p2P/4B3/6RK w - -,c6c8
8/2P4R/p3pk2/1p6/1P1K1P2/P7/2r4p/8 b - -,c2c7
B5k1/8/6p1/2b2p2/5P1P/5KP1/8/8 b - -,g8g7
8/8/3k4/2Pp2p1/6P1/3KP3/8/8 b - -,d6c5
r2qk2r/pb1nbppp/1p2pn2/2pp4/2P5/1PN1PNP1/PB1P1PBP/R2Q1RK1 b kq -,e8g8
1rb2rk1/2qnbppp/2p2n2/1p1P4/1P1Pp3/1BN1BN1P/2P2PP1/R2QR1K1 w - -,d5c6
8/6pk/1Q2ppp1/1N6/P3qP2/1P5P/1Bn3P1/7K b - -,c2e3
8/2p2p2/1pb1k1pp/p1p1P3/4NPPn/P1P3NP/1P1R1K2/1r6 w - -,d2e2
4r1k1/5pp1/p6p/P2P4/1p1b2n1/3R2Q1/4K2P/2N1R2q w - -,e2d1
r4rk1/1pqb1pp1/3bpn1p/P1p1N3/P2P4/3B3P/2PBQPP1/R3R1K1 b - -,c5d4
8/p2P1Np1/6k1/8/1Kp5/1P1p4/Pn3P1P/8 b - -,d3d2
r1bqr1k1/pp4pp/2p2b2/5p2/3p4/3P1QPP/PPPN1PB1/4RR1K w - -,d2c4
8/3qbkp1/Q4p2/1p2p2p/2pBP2P/2P3P1/1P3PK1/8 w - -,d4e3
2kr2r1/pppbq3/4p1p1/3pNp1p/3PB2P/2P3P1/PPQ1PP2/R3K2R b KQ -,d5e4
2r2r2/p3ppkp/1n4p1/8/4b3/1B2PN2/PR3PPP/3R2K1 w - -,b2d2
r2qk3/pbp2p1p/1p2pnr1/n7/P1PPp3/8/2PQNPPP/R1B1KB1R w KQq -,e2f4
r3r1k1/pp4p1/4b2p/1N1nBp2/3Rp3/8/PPP2PPP/4K2R b K -,e6f7
q1rr2k1/pb2bppp/1p1ppn2/4n3/2P1P3/P1N1BP2/1PNQB1PP/2RR3K w - -,e2f1
2br2k1/pp2rp1n/1qpp1npp/3P4/2P1P3/1P1B1NNP/P2Q2P1/3R1R1K b - -,g8g7
6k1/pp3ppp/5b2/3p4/2r5/1P2P1B1/3K1PPP/2R5 b - -,c4c1
2k1br1r/pp2b1p1/4p2p/2ppq2P/6P1/P1PBB3/1PQN2K1/5R1R w - -,h1h3
1r5k/4bp1p/1p2p3/1P2P3/p1P5/P3B3/2K5/6R1 w - -,e3h6
r2qkb1r/pp1n1pp1/2p2n1p/3p1b2/3P1B2/2N2NP1/PP2PPBP/R2Q1RK1 b kq -,f8e7
r7/3k1ppp/2pbr3/pp1p4/3P4/P1P1B1P1/1P3P1P/R3R1K1 w - -,e3d2
7k/1p3N1p/p1n2p2/8/8/P5P1/1Pb3BP/6K1 b - -,h8g7
2r1k3/2rR1pbp/4p1p1/ppP3P1/5P1P/4B3/PP2K3/3R4 w - -,d7c7
3r1rk1/pbqnbppp/1pn1p3/2p1P3/2P5/1P3NP1/PB1NQPBP/R3R1K1 b - -,c6b4
3r2k1/4rp2/1pp1bn1Q/p3p2P/P3P3/2Nq4/1Pn1NPP1/R4K1R b - -,c2a1
1r1q1rk1/4ppbp/2np2p1/1p3b2/1P1P4/2N1PNP1/1R1n1PBP/3Q1RK1 w - -,d1d2
2r2rk1/5ppp/3p3b/p2PpP2/Pp5P/1n4P1/1Pq2BB1/1R1QR1K1 w - -,g2e4
r4rk1/ppq1bppp/2bppn2/6B1/3NP3/2NQ4/PPP2PPP/2KR3R w - -,f2f4
2r2rk1/5p1b/2R1q2p/1p2p1p1/4Pn1N/1PQ1BP1P/1PP3PK/4R3 w - -,c6e6
8/ppr2pkp/3bp1p1/2N5/3P4/P1R1P1P1/1P2K2P/8 w - -,e2d3
5r2/1ppq1rbk/p2p2pp/3Pp1n1/1P2P1PN/P4P1P/1BQ3K1/3R1R2 w - -,c2e2
5n2/4p1k1/1p1p3p/8/1rP2PB1/rPR3KP/1R6/8 b - -,g7f6
r2q1rk1/pp1nb1p1/2p1p1p1/2Pp1p2/1P1P1P2/6P1/PB1QP1BP/R4RK1 b - -,a7a5
2r3k1/2q2r1p/1pQ2ppb/pP1P4/8/2Pb2N1/1R2N2P/4R1K1 b - -,c7d8
2r3k1/1p1bq2p/p2p2p1/P2Pb3/B1Q1Pn2/2N1BP2/KP3P2/7R w - -,c4b3
8/p1k5/6B1/4r2p/6p1/6P1/2K2P2/8 b - -,c7b6
r3kr2/1p2b1R1/1q6/1P1pP2p/2Q5/5P2/2R1K2P/8 w - -,c4d5
r2qkb1r/1p1n1ppp/p1p1pnN1/3p4/2P3P1/1PN1P2P/PB1P1P2/R2QKB1R b KQkq -,h7g6
2rr1bk1/p4ppp/q3pn2/2N5/1p1P4/1Q2P1P1/PP3PBP/2R1K2R b K -,f8c5
2r5/1p6/p1b1pkp1/3p4/3P2P1/P2BKP2/1P6/2R5 b - g3,c6d7
8/2p2p1p/3b1kp1/4p3/P1R5/4K1PP/r4P2/3R4 b - -,f6e6
7r/2bk1p2/1p1p3r/p1pPq1p1/P1P1PpP1/2P2P2/1R1Q1R2/1K3B2 b - -,h6h1
r1b2rk1/pp1n2pp/6q1/2p3B1/2P5/P1PQ1N2/6PP/R4RK1 w - -,d3d2
R7/8/5p2/5k1p/5P1K/1r6/8/8 w - -,a8a4
8/p2k1p2/5Pp1/1PP1K1P1/4BP2/8/4r3/8 b - -,e2b2
