4B3/6R1/8/p3k2P/3p3r/P2Kp3/8/8 b - -,h4h2
8/3b2p1/5p2/1pK1k3/7p/P3NP2/6PP/8 w - -,e3d5
8/5k2/4p3/6P1/5K2/5P2/4R3/6r1 b - -,g1a1
3rB1k1/4q1p1/7p/2p2p1P/p1P1nB2/P5P1/1PQ1P3/2K4R b - -,e7e8
r4rk1/pp2ppbp/6p1/2R5/8/3PB1P1/qP2PP1P/3Q1RK1 w - -,c5b5
r3k2r/5pbp/pn3np1/1p6/3P4/2N1BN2/PP3PPP/R3K2R b KQkq -,b6c4
8/2Q3pk/1N6/p2p1q1p/Pn3p2/5P1P/1Pr3P1/3R1K2 w - -,c7d7
rr4k1/4ppb1/3p1npp/qbpPn3/P3P3/R1N2P2/1P2QNPP/2B2RK1 w - -,a4b5
2r3k1/4bp2/4p1p1/q1N4p/2QP1P1P/p3P1P1/2R2K2/8 w - -,e3e4
r3k2r/1bqnbpp1/p3p2p/1p1p4/3NP3/3BBP2/PPPQ2PP/1K1RR3 w kq -,e4d5
8/1k1r4/ppn2PR1/2p1B3/3pK3/3P4/PP6/8 w - -,g6g7
4r2k/3n2pp/p2Q1p2/Pq1p4/3P1B2/1p5P/1P3PP1/2R3K1 b - -,d7f8
r1bqr1k1/2p2p2/pbnp4/1p1Pp1p1/P6B/2PP2Q1/1P3PPP/RN2R1K1 b - -,f7f6
8/p7/1b6/P5kp/4Kp2/2R5/6P1/8 b - -,b6g1
4rrk1/p2n1p2/1p1p2pq/1PpPn2p/2P1PR1P/P1N1Q3/4B1P1/5RK1 w - -,e3g3
3r2k1/p4p1p/1p2q1p1/2p5/3n4/P3Q1P1/1P3PBP/2R3K1 w - -,e3e6
r2q1rk1/2p2ppp/p1npbn2/2b1p3/P1N1P3/1BPP1N1P/5PP1/R1BQ1RK1 b - -,a8b8
3q2k1/1p3p1p/P1p1b1p1/2P5/P3P3/2Q4P/5PB1/1R1r2K1 w - -,b1d1
5r1k/1p4p1/p2nBr1p/q2P4/P1pQp3/2R5/1P3PPP/5RK1 w - -,c3e3
3r1rk1/ppnq2np/2p1b1p1/3p1p2/2PP2P1/1P2N1Q1/PB3PBP/2R1R1K1 w - -,g4f5
2rqrnk1/p3bppp/bpp1pn2/3p4/2P1P3/1PNP1NP1/PBQ2PBP/2R2RK1 w - -,f1d1
1q2nrk1/prnb2bp/3p2p1/2pPp1P1/2P1P3/2NB1PN1/P6Q/R1B1K2R w KQ -,h2h7
3r4/1Nr2pkp/1bnqbp2/p7/1P1p4/P5P1/3QPPBP/2RRN1K1 b - -,c7b7
1r4k1/1p4bp/3p2p1/p1pP1r2/P2PP1bq/2N2P2/1P1Q2B1/R1B2RK1 b - -,f5h5
Q7/8/1K6/8/8/6kp/8/8 b - -,g3h2
r4b1r/ppkn1n1p/2p1bpp1/4p3/2P1P3/2N1B2P/PP1NBPP1/2KR3R w - -,g2g4
8/8/1R6/5k2/1P2p3/1r6/4K3/8 b - -,f5f4
2b2k2/2N2n2/pQ1n2p1/3Ppp1p/BP2P2q/6N1/6P1/6K1 w - -,c7e6
r2qkb1r/pQ1bpppp/1n1p4/8/4P3/2N2N2/PPP2PPP/R1B1K2R b KQkq -,d7c8
r4b1r/3b1kp1/p2pp3/1p5p/2nNPPnP/P1N3BB/1PP5/2KR3R w - -,d4f3
8/8/PR2pk2/2Pp2pp/3P4/4P3/5PK1/r7 w - -,c5c6
4r3/2pkr2p/1pR5/pP1B1pP1/P4P2/3PP3/5K2/8 w - -,e3e4
8/1n6/3p1k2/3PpN2/4P1KP/8/8/8 b - -,f6g6
rnbq1rk1/pp2npbp/2p3p1/3p4/2PPp3/2N1P1P1/PP1N1PBP/R1BQ1RK1 b - -,c8e6
8/p6p/2p5/3n2P1/3Rkr2/2P4P/PP4K1/8 b - -,e4e3
6r1/5p2/kp2pB2/p3Pq2/3P4/2P5/Q1Pn2rR/6RK w - -,h2g2
r2qr1k1/p2b1n1p/1p1p1b2/2pP1Pp1/1PP2pP1/P2B1N1P/6K1/1RBQR3 b - -,e8e1
3R1qk1/5p1p/1Qb1p1r1/p6N/4PP2/7P/6PK/1n6 b - -,c6e4
r5k1/2bn1r2/2p1p1qp/p1PpP1p1/P2P1n2/2N2P2/3Q1N1P/R1B2RK1 w - -,a1b1
rnbq1rk1/ppp1bppp/3p1n2/4p3/2P5/1PN1PN2/PB1P1PPP/R2QKB1R b KQ -,c7c5
6k1/1pp2pq1/p1p2pr1/4r3/4PQPR/2PP2P1/P1P2PK1/7R b - -,e5a5
5k2/5p2/3p2pr/p1rPn2P/1p2B3/1P4R1/1PPK3R/8 w - -,g3h3
1r4k1/6p1/3ppr2/p1q5/4Q3/1P5P/PK6/3R2R1 w - -,g1g2
2kr4/pbpn1R2/1p1pp3/6P1/2PP2n1/P3P1B1/1P2K3/3R4 b - -,d8f8
1k6/8/8/1p6/8/1rN1R1PP/5PK1/8 b - -,b5b4
2kr4/1pr1qpp1/p1p1pn1p/2P4P/R1NP4/6P1/PP2QP2/2K4R b - -,c8b8
8/2b1B3/p7/8/8/3k3p/P7/6K1 b - -,d3c2
r5k1/4Rpbp/1n1p2p1/3P4/1P4P1/5NP1/b2B1PB1/3N2K1 b - -,g7f6
r3k1nr/pp1qppbp/2np2p1/2p5/2P5/2NP1NPB/PP1BPP1P/R2Q1RK1 b kq -,d7h3
1r2r1k1/1pp1bppp/p2p1n2/n2Pp3/2P3q1/PPN1P1Pb/2Q1NP1P/R1B1R1KB w - -,c1d2
rnbqk2r/pp3ppp/2p1p3/3p4/1bPPn3/1P1BPN2/P2B1PPP/RN1QK2R b KQkq -,b4d6
r5k1/6bp/3q2p1/1p1Pp1PP/p1p1Pr2/P3Q3/1P2B3/1K1R3R b - -,a8b8
r1bq1rk1/1p2npb1/2np2pp/p1p1p3/2P5/PPNP1NP1/4PPBP/1RBQ1RK1 w - -,f3e1
1r3rk1/bpp3p1/3p3p/P3p3/1pb1P3/5NP1/1PP3PP/1N1R1R1K w - -,f1e1
7r/ppk1b3/5p2/7p/1q1PQ3/6P1/PP5P/3R1RK1 b - -,h5h4
8/2r1k1p1/2P2p2/1RP1pP1p/3p3P/5BPK/8/4r3 w - -,f3d5
rn1q1rk1/2p1bppp/4p3/pp6/3PbB2/2n2NP1/PP2PPBP/R1Q2RK1 w - -,c1c3
6q1/1p3p1k/7P/1p1p4/5N1P/P2p1r2/1P6/4Q2K w - -,f4g2
8/5p2/3r1k1p/pprPR2P/3R1P2/PP1K4/8/8 b - -,c5c8
r2r4/1p3npp/1kp1bp2/p1n1p3/2P5/1PN1PPP1/P6P/2RRNBK1 b - -,e6f5
8/R3kp2/7P/8/4K3/8/P7/7r b - -,e7f6
r1b1kb1r/1pq2ppp/p1n1pn2/2ppN1B1/3P4/1QP1P3/PP1N1PPP/R3KB1R w KQkq -,f2f4
8/2N2pk1/p4p2/P1P1p2p/4P3/8/1PK2bPP/8 b - -,f2c5
5r1k/2p5/p3b1Qp/2p2p2/2p2P1P/q1P5/P5P1/3R2K1 b - -,e6f7
rn1qk2r/pb1pbppp/4p3/2pn4/1pP1N3/3B1N2/PP3PPP/R1BQR1K1 w kq -,c4d5
2r5/2rn1p2/1kq1p1p1/1pNp1nPp/pP1P1P1P/P1P5/3K1Q2/3NR2R b - -,b6a7
6k1/5rp1/p2p2r1/3Qp2p/1PP2q1n/P3NPP1/5K1P/1R4R1 b - -,f4f3
5r1k/6p1/p2R3p/2n5/8/7P/P1P3P1/7K w - -,d6c6
8/5p2/3Rb1p1/1pkpPp1p/8/1r5P/5PP1/R3K3 w - -,a1d1
3q1rk1/pbNnpp1p/1p1p2p1/8/1P2P3/P4P2/2Q1B1PP/2R3K1 b - -,d7f6
6k1/2p4p/2bq1pp1/1pN1r3/1P6/2P3QP/5PP1/4R1K1 w - -,e1e5
2r3k1/3R3p/p5p1/1p3p2/1P3n2/P2N3P/2P2R2/2b2K2 b - -,f4d3
8/8/2npk2b/p2p1p2/P2Pp2p/1PN1P2P/3B2P1/3K4 b - -,f5f4
5r2/3Q4/p4pk1/5p2/5N2/1P5P/6PK/q7 b - -,g6h6
2kr1b1r/p4p2/bpp1p1p1/3pP2p/4PP1P/4B1N1/PPP3P1/2KRR3 w - -,f4f5
3r2k1/5pp1/4bn1p/8/2pbNqPQ/P4B1P/1P2RPK1/8 w - -,e2d2
8/1R2k3/4p1p1/2p1K2p/5P2/3P3r/8/8 b - -,e7d8
r2q1rk1/pp1n1ppp/2p1pn2/3p4/1bPP4/2NQPN2/PP3PPP/R1BR2K1 w - -,c1d2
r1bqkb1r/pp3ppp/2nppn2/2p5/4P3/2N3PP/PPPP1PB1/R1BQK1NR w KQkq -,d2d3
5r2/2p1n3/ppb1k1p1/4P2p/P1R2P2/1P6/2P4P/2K3R1 b - -,c6d5
r7/1p1brpk1/p2pp2p/4q3/P2NP1PP/2N5/1PP2QB1/5R1K w - -,d4f3
r1bqk2r/pp2bppp/2n2n2/2pp4/3P4/P3PN2/1P2BPPP/RNBQ1RK1 b kq -,e8g8
8/8/8/5kn1/8/1K6/4rpB1/5R2 w - -,b3c4
5rk1/p4ppp/3b1n2/4R3/2b5/4PBP1/P4P1P/5RK1 w - -,f1c1
r4rk1/1pqnppbp/p2p2p1/2pP4/P3PP2/2PB1Q1P/1P4P1/R1B2RK1 b - -,c5c4
2b2rk1/b2p1qp1/2p1npNp/P1p5/4Q3/P7/1B4PP/R4R1K w - -,g6f8
r4rk1/1p1bq1pp/p1p1p3/5p2/2PP4/1PB1P3/P1Q2RPP/R5K1 w - -,c2d2
1r1qk2r/1p1np3/p2p1ppp/2pP4/2P1NB2/4P2P/P3BPP1/QR4K1 w k -,a2a4
3r2k1/1pqb1ppn/p1p3n1/2b1P3/5PPp/1PN2Q1P/P1N3B1/2R2R1K w - -,c3e4
8/5rkp/3p2p1/2pnpq2/4Q3/2PP2PP/4N2K/R7 b - -,f5f2
r1b1k2r/p2pbppp/2p1p3/q2nP3/4NP2/2P5/PP4PP/R1BQKB1R w KQkq -,f1d3:f1e2
r4rk1/6p1/p1p1pb1p/8/8/3q4/PP1N1PPP/2RQR1K1 w - -,d2e4
3Rr1k1/1p3pp1/p6p/1q6/4r2P/P5P1/1PPQ4/1K1R4 w - -,d8e8
3R4/pp6/2p3r1/3pP1k1/4b3/4N3/PP4PP/7K w - -,h1g1
2r1r3/1p1n3p/p2p1kp1/P2P4/1PP3R1/1K1B4/7P/5R2 b - -,f6g7
rnb1k2r/ppp1q1pp/3pp3/8/3P4/3B1NQ1/PPP3PP/R4RK1 b - -,b8d7
5k2/5p1p/8/5r2/3K2R1/8/2P4P/8 w - -,c2c4
5r1k/p1q1rpp1/1n5p/1p2Pb2/2pP1N2/P1P2QP1/1P4B1/R3R1K1 w - -,g3g4
rnb1kb1r/ppp3pp/3p1nq1/8/2NPp3/2N1B2P/PPP2PP1/R2QKB1R b KQkq -,c7c6
8/5pk1/8/p1r3pp/3K4/R5PP/8/8 b - -,c5b5
r6r/pb1nk1pp/1p2pn2/2pp1p2/2PP4/1P3NP1/P2NPPBP/R4RK1 w - -,e2e3
2k5/1bqn2r1/p3p3/Pp1pP1pB/2pP1B2/8/1PQ3PP/R5K1 w - -,f4e3
r3r1k1/1pq2ppp/p1np1n2/2b1p3/2P3b1/1PN1P1PP/PB2NPB1/2RQ1RK1 b - -,g4h5
8/7p/6k1/1r6/6P1/5R2/6PK/8 w - -,h2g3
5k2/p1r1rp2/8/R3bp1p/R6P/1B4P1/P4PK1/8 b - -,c7d7
1r2r1k1/1b3ppp/8/1R6/2QpP3/5P2/1P2BBPP/q5K1 w - -,e2f1
5bk1/p4p2/1n1r2pp/2p1p3/4Pq2/1N5P/PPQ1BPP1/2R3K1 b - -,a7a5
r2r2k1/pq3ppp/1pn1pn2/4N3/2PP4/2N3P1/3QPP1P/R3R1K1 w - -,e5c6
5r2/pp4k1/4Pnq1/3PB3/5Q1P/1P5P/P5BK/8 w - -,e6e7
6k1/p4pp1/1r2p3/3pP3/P1NP3p/3p1PP1/R5KP/8 b - -,d5c4
1r2rbk1/pppq1ppp/1nn5/4p3/4N1b1/1P1P2P1/PB1NPPBP/2RQR1K1 b - -,c6b4
3q4/pp6/2n2R2/r4pk1/5p2/2Q5/PP3PP1/4R1K1 w - -,f6e6
4k2r/3b2p1/pB1b1nP1/1p1Ppp2/8/1RQ4P/q1PK2B1/6R1 b k -,b5b4
8/2pr1k2/1pn2bn1/4p1p1/PpN1PpP1/B1P2N2/4KP2/2R5 w - -,c3b4
6k1/1r5p/p1nBp1p1/1pPq4/3p1P2/1P5P/P3Q1PK/4R3 b - -,g8f7
8/p1R4p/1p2k1p1/4P3/5PPb/1P1rBK2/7P/8 b - -,d3d7
r1b2rk1/ppqnbppp/2pp1n2/4p3/2PPP3/2N2N2/PPQ1BPPP/1RB2RK1 b - -,a7a5
8/1r2pR2/5b2/8/pB2p2p/P6P/1P3k2/1K6 w - -,b4e7
1r6/3nBp1k/p2P2pp/1p2b3/1P6/7P/P2R2P1/2R3K1 w - -,c1c7
r6r/p1pk1ppp/q7/3p1P2/3P2Q1/8/P1P3PP/1R3RK1 b - -,a6f6
8/3b4/8/8/7B/3q1P2/2k3PK/4Q3 w - -,h4g5
rn1q1rk1/p1p1bppp/1p2bn2/3p2B1/3P4/2NBPN2/PPQ2PPP/R3K2R b KQ -,h7h6
3r2k1/5p2/R5pp/1p1Pp3/4n3/1P2N3/1P4PP/6K1 b - -,d8c8
r1nq1r2/pp3pk1/2p1p3/P3P1N1/3Pb3/2P3PP/4B3/R1Q2RK1 b - -,e4g6
8/1p3r1k/1P3qpb/p2p4/3P4/3Q1NP1/PR4K1/8 b - -,f7e7
b2r1rk1/q1p1bppp/p3p3/P2nP3/N1P3Q1/6P1/3B1PBP/1R3RK1 b - -,f7f5
3q2r1/kp2bpr1/pnb1p1p1/n2pP1Pp/P1pP1P2/2P1N3/QPBN2RP/R1B3K1 b - -,d8c7
4r1k1/p4ppp/8/1P6/8/b2R2B1/5PPP/5K2 b - -,a3c5
r1bqk1nr/pp1n1pbp/3pp1p1/8/3pPP2/2PB1N2/PP4PP/RNBQ1RK1 w kq -,c3d4
8/5k2/5P2/4B2p/3Kp3/1P1b4/7P/8 b - -,f7e6
r1b1rnk1/pp2qpp1/2p4p/3pP3/3P4/2NBP3/PPQ3PP/4RRK1 b - -,c8e6
r1bqkb1r/pp3ppp/2n1pn2/2pp4/2PP4/P1N1PN2/1P3PPP/R1BQKB1R b KQkq -,d5c4:c5d4:f8e7:a7a6
2k5/ppp3pp/2p5/8/2Pb4/1Pq5/P5PP/2RQ3K b - -,c3e3
rn3rk1/pp1b1p1p/6p1/2PPB3/5R2/2P1P3/P5PP/2K2BNn w - -,g2g3
r2qk2r/pp1nbppp/2p1pn2/8/3P4/3QBBN1/PPP2PPP/R4RK1 b kq -,e8g8
r1bq1rk1/ppp2pb1/2np1npp/3Pp3/2P1P2B/2NB4/PP2NPPP/R2QK2R b KQ -,c6d4
3Q4/5pk1/8/p5Pp/P4K1P/3pN3/8/7q b - -,h1h4
8/1p1P1pkp/5bp1/BQn2q2/8/5BP1/6KP/8 b - -,f5c2
r1b1qrk1/1pp1b1pp/p1p2p2/2n1p3/4P2N/1P1PN3/P1P2PPP/R1BQ1RK1 b - -,c5e6
4rbk1/1q1r1b1p/1P2npp1/4p3/2p4N/4BNPP/5P2/QR2R1K1 w - -,a1a4
2rq1rk1/p2nbppp/b1p1pn2/1p1p4/2PP1B2/1PN2NP1/P1Q1PPBP/R2R2K1 w - -,c4c5
8/8/7r/4pp2/4k1p1/6K1/5R2/8 w - -,f2e2
r1b2rk1/p3n1bp/2p3p1/B7/N4p2/8/PPNR1PPP/R5K1 b - -,c8f5
2kr4/pp3pp1/2p1p1p1/3r2Q1/2qP3P/P2R2P1/1PP2P2/1K1R4 w - -,g5e3
3k4/pp1np2p/2p4B/q4p2/3PN1Q1/7P/1Pn3P1/3R3K w - -,g4g8
8/8/1pBk2p1/6n1/1P2P3/6N1/5K2/8 w - -,c6d5
1r4k1/8/2p1p3/P2pPp2/P1n2Pq1/3QP1Pp/R6K/4B3 w - -,a2f2
2r3k1/1pr1p2p/pq1n2pb/3P1B2/5P2/5Q2/1P4RP/3RN2K w - -,f5g6
r1bqr1k1/1pp2ppn/1bn4p/p1N1p3/4P3/P2PBN1P/1PQ1BPP1/2R2RK1 w - -,f1d1
2r1bk2/1R5R/p3pP1p/P2pP3/4r2P/6P1/2P5/6K1 b - -,e4g4
1rr3k1/4ppb1/pp1pn1pp/5q2/PPP5/Q3P2P/4BPPB/1R1R2K1 w - -,a3d3
4br1k/1q4p1/3Np2p/pp2P3/3P1P2/PP2K3/7R/8 w - -,d6b7
