6k1/R7/p7/2p1KP2/2P1P2r/8/8/8 b - -,h4h6
4r1k1/2b4p/p1p4q/1pNn1bp1/P2P1p2/2P3P1/1P3P1P/R1BBR1K1 w - -,e1e8
r4rk1/p1p1qp1p/Qp1b1np1/3p4/3Pn3/4PNN1/PP3PPP/R2RB1K1 b - -,f6g4
7r/p3qpkn/1r2p1p1/4P2p/1pPp1Q1P/P2R1N2/5PP1/4R1K1 w - -,a3b4
7k/6p1/4p2p/p3P3/Rb3P2/3r2P1/2r2BKP/1R6 w - -,b1f1
8/3r1k2/8/2K5/p4Q2/8/8/8 b - -,f7e6
5rk1/p5p1/b1p1n3/n1b1p3/1P5P/2P3P1/P2P1P1R/RNB1K3 b Q -,c5b4
rr6/3qnbk1/3p1ppn/1ppPp3/4P2P/2P1NNP1/1P2QPB1/R3R1K1 b - -,f7e8
r1r3k1/p1b4p/2p1p3/2Pp1p2/3PnPpq/1P1QB2P/P3N1P1/1R3RK1 w - -,e3f2
2rqk2r/pp3ppp/2n1pn2/8/1b1P4/2NQ1N2/PP2PPPP/R1B1KB1R w KQk -,g2g3
r1bq1rk1/pp1pnpbp/2n3p1/2p1p3/4P3/2PP1NP1/PP3PBP/RNBQ1RK1 w - -,c1e3:b1a3:c1g5
r2r2k1/1p3pp1/p1qbpn1p/8/3P3R/2N2QP1/PP1B1P1P/R5K1 w - -,f3e2
6k1/p6p/3p2p1/2pP4/4q3/3nb1PP/PP2QR1K/8 w - -,f2g2
rr4k1/2pnqpbp/bp1p1np1/p2Pp3/1PP1P3/PQN2NP1/1BR2PBP/4R1K1 b - -,e7d8
r4rk1/pp1nbppp/4pn2/q1pp4/2PP4/1P1QPN2/PB1N1PPP/R2R2K1 w - -,e3e4
2k2rr1/pbnqb3/1pp1pB2/4Pp2/2PP3p/2N2N2/PP1RQ1P1/3R2K1 w - -,f3h4
6k1/1p3rp1/p7/1b1PBB2/5P1P/5Q1P/6RK/4q3 b - -,f7f5
rnbq1rk1/pp2ppbp/2pp1np1/8/3PP3/2N3PP/PPP2PB1/R1BQK1NR w KQ -,g1e2
r2qr1k1/1p2ppbp/p1n2n2/3p1p2/3P4/2N1PN1P/PP3PPB/R2Q1RK1 w - -,c3e2
3r2rk/7p/1p2qp2/p1p1p3/PnP1B3/3PPQP1/5K1P/R2R4 w - -,f2g2
6k1/1p4b1/1p2b3/3np3/4NpP1/5P2/PPr5/2B1RBK1 b - -,d5b4
3r2k1/q4p1p/1nR1p1p1/1P6/5P2/3P1QP1/6KP/1R6 b - -,a7a2
1r3rk1/4bppp/2q2n2/pB1pp3/P3P3/2P1BP2/3Q2PP/R4RK1 b - -,c6e6
r2qkb1r/pp3ppp/2n1pn2/3p4/3P2b1/2PB1N2/PP1N1PPP/R1BQ1RK1 b kq -,f8e7
r1q2rk1/ppbn1pp1/2p1p2p/5b2/2PPN3/1Q2B1P1/PP3PBP/2R2RK1 b - -,c8b8
1qr5/6bk/6p1/4p2P/3pP1p1/4n3/4QRB1/4B2K b - -,g6h5
4k3/8/4p1p1/4P3/1N1P4/p4K2/1r4PP/8 w - -,b4d3
r1bq4/1p3pkp/2p2np1/p2pr3/8/2P1P1P1/PP1N1PBP/R1Q2RK1 w - a6,c3c4
2b5/4n2k/pb1rp2p/1P2Np2/p5p1/4P3/BB2KPPP/2R5 b - -,d6d8
8/p7/1ppk1p1p/6p1/P3B3/2P4P/1b1K1PP1/8 b - -,b6b5
8/8/4pk2/8/R2P1pp1/5P2/6PK/3r4 w - -,f3g4
8/8/3kp3/1p2b1pp/6P1/1B3K1P/2P5/8 b - -,h5h4
3rrnk1/5ppp/1p1q1n2/2p1pPN1/1p6/1P1P2PB/P1Q2P1P/3RR1K1 b - -,h7h6
1r1q1rk1/p1p1n1bp/3pbpp1/2p5/2P5/1PN1B1P1/P2QPPBP/3R1RK1 b - -,e7f5
r7/pp2pkbp/2p1npp1/3r4/2Q5/4BP2/P4NK1/1N6 b - -,f6f5
2kr3r/np3pp1/p3pn2/7p/N1P2P2/5B2/PP4PP/3R1RK1 b - -,c8c7
r4rk1/pb1qn1pp/1p2p3/3p4/2pPnP2/P1P1BN2/P1B3PP/R3QRK1 w - -,a1d1
4k3/6R1/2p5/1p1b4/1P6/4K3/P5p1/8 w - -,e3d4
8/2p5/b4N2/2p1k3/P7/2K5/8/8 w - -,f6g4
2rr2k1/6pp/p1b1p2q/1p2Np2/3P1R1P/4Q3/PP3PP1/R5K1 b - -,c6d5
2k1r3/p1p2ppp/4rq2/3Q4/3P4/B4P2/P4PPP/5RK1 w - -,d5a8:a3b4
r4rk1/4bpp1/2p2n1p/p1Np3q/1P1Bp3/P1P3Pb/3QPPBP/R4RK1 w - -,c5b7
5rk1/4q2p/1p1p2p1/2pR4/1PPnP1Q1/6P1/6BP/6K1 b - -,e7f6
8/8/5k1p/2bP1p2/8/2NK1P1P/6P1/8 b - -,f6e5
2q2k2/2Q1p2p/1p1r4/3pNb2/3P4/4R2P/5PP1/6K1 w - -,c7a7
2r1r1k1/4pp1p/p2p1bp1/qp6/3BP3/2P5/PP1Q1PPP/R3R1K1 b - -,f6d4
5rb1/pp4k1/5p2/3n1P2/3P2Pp/4r3/P2R3Q/6K1 b - -,h4h3
r1bqr1k1/bpp2ppp/p1n2n2/3pp3/4P3/1BPP1N2/PP1NQPPP/R1B2RK1 w - -,f1d1
5rk1/1p3ppp/p3pn2/1q6/8/1PPr4/P1B1QPPP/3R2K1 w - -,d1d3
5qk1/p2b4/1p2prp1/3p1r1p/3P3P/P1PQ1P1R/6P1/2B1R1K1 b - -,f6f7
r1b1kb1r/pp1n1ppp/1qn1p3/3pP3/3p4/2PB1N2/PP2NPPP/R1BQK2R w KQkq -,c3d4
r1bqk2r/5ppp/2np4/p2Np1b1/1pP1P3/6P1/PPN2PBP/R2QK2R b KQkq -,c8e6:e8g8
r1bqkb1r/1p3ppp/p3pn2/2p1p3/P3P3/3B4/1PPP1PPP/RNBQR1K1 w kq -,b1a3
6r1/1rp1Npqk/3p3b/1P1Pp2p/1P2Pn2/2N1BnPb/2B2R1P/R2Q3K b - -,f3h2
r4rk1/pp4bp/2pp1np1/4n3/6P1/2N1BP2/PPP3P1/3RRBK1 b - -,d6d5
8/4kpp1/1p1rq3/p5P1/3pPQ2/P7/1P2P3/K2R4 b - -,f7f6
1rbq1rk1/4ppbp/2np2p1/3Nn3/1p2P1P1/1P2B2P/2PQNPB1/R4RK1 b - -,e7e6
2r2r1k/1p1q3b/p2p2pQ/3P3n/1PPBP2K/3B2p1/2RN4/8 b - -,h8g8
1rb5/2q1rpbk/3ppnp1/2pP3p/2B5/2PQN2P/1P3PP1/R1B2RK1 b - -,f6d7
r7/1k3p2/2p1q1p1/p1R5/3Q4/PP2P3/4KP2/8 b - -,f7f6
3r4/1p4R1/1Pk2p2/4b1p1/2r5/P1p1B1P1/2R1K3/8 b - -,d8d7
rnbqkb1r/1pp3pp/5p1n/2P1p3/1pBp4/1Q2PN2/P2P1PPP/RNB1K2R w KQkq -,e3d4
3r2k1/pb2bppp/1p6/2p1P1P1/2B5/P1Q1B2q/1PP4P/1K4R1 w - -,c3b3
2rq1rk1/1p1n1ppp/p2p4/3Pn3/2P5/1N2Q3/PP2BRPP/R5K1 w - -,a1c1
1r1rbk2/1nq2ppQ/p4b2/1p6/3pB1P1/1PP1B2P/P7/2R2R1K w - -,e3f4
8/r1b5/2p2Nk1/2P5/3P2KP/4P3/1R6/8 b - -,g6f6
1r6/4kpn1/p2Rp1p1/1p2P2p/2p2PP1/2P2N1P/PP2K3/8 b - -,b8a8
rnbq1rk1/p3ppbp/3p1np1/1pp5/4P3/2P2N1P/PPBP1PP1/RNBQ1RK1 w - b6,f1e1
4n2r/1k3pp1/pb2p3/1p1pP2p/3P3P/1P1BKPP1/1PR5/4B3 w - -,e1b4
5k2/3K1p2/5Bp1/6P1/B7/b7/8/8 b - -,a3b4
rnbqk2r/pp3ppp/2p3n1/3p4/1b1P4/2NB1Q1P/PPP1NPP1/R1B1K2R b KQkq -,e8g8
3r1n2/1p2k2p/4Ppp1/2p5/2B1R3/1P2RPK1/1r4PP/8 w - -,e3e2
6k1/2q2p2/2Pppbp1/1p6/5Q2/1P4P1/4PPBP/6K1 b - -,f6c3
r2r2k1/pp3ppp/2pb2n1/5b2/1qPPn3/1QN3P1/PB3PBP/3RR1K1 w - -,c3e4
r4r1k/p4Bpp/1bp4n/4Q3/4P1b1/2N5/PPP3PP/5R1K b - -,h6f7
8/p1p3k1/2ppr2p/2n1P1p1/P7/1PR1RN1P/2P3PK/3r4 b - -,a7a5
5k2/p5r1/1p3p1p/1Pp2B2/2Pb2RP/3P1K2/5P2/8 w - -,f5g6
rnbqk1nr/ppp2pbp/6p1/3pp3/2P5/3P1NP1/PP2PPBP/RNBQK2R b KQkq c3,d5c4
8/5b2/1N1P3p/pPK5/4k3/5p1P/1P6/8 w - -,d6d7
k1br3r/pp2bp2/2n1p1pp/q2pP3/P1pP1P2/2P2N1P/2PBB1P1/RRQ3K1 b - -,d8f8
1rr3k1/pp2ppb1/1q1pbnp1/7p/P1Pn1P2/1PN1N1PP/4P1BK/1R1QBR2 b - -,a7a6
r1bqnnk1/ppp2rbp/3p1p2/3Pp1p1/2P1P3/2N3B1/PP1NBPPP/R2Q1RK1 w - -,b2b4
4r1k1/p1pp2pp/b1p5/8/2P2K2/1PQ5/q6P/R4B1R b - -,a2f2
5qrk/p2bb2p/1p2p2p/1P1pN3/3n4/P2B2NP/5PP1/2Q1R1K1 b - -,d7e8
3r2k1/pp3pp1/2p1b3/6qp/3PQ3/P7/1P4PP/3R1NK1 b - -,e6d5
2r1rb2/1p3p1k/p2p1pp1/4n2p/P1P1P3/1PN1BPPq/3Q3P/3R1RK1 w - -,c3d5
1rb3k1/2p3pp/4p3/p1ppN2Q/4qPK1/P6P/6P1/5B1R b - -,g7g6
2r1k3/5p2/1B4pp/1p1PP3/pn2B3/6P1/1P3K1P/8 w - -,f2e3
r1b3k1/2p2r1p/1p1p2p1/1NnPp3/p1P1Pp1q/Pn3P1P/RPQ3P1/1N1R1BK1 b - -,h7h5
r3kb1r/ppqn1pp1/2p1p1p1/3n2P1/2QP4/2N1P2P/PP3P2/R1B1KB1R w KQkq -,f1g2
r1bb1rk1/P2n3p/2p4q/3p1p2/5N2/Q3PN2/PP1B1PP1/R3KB2 b Q -,d8b6
2kr4/pp1rbppp/2n3b1/4p1N1/2P5/P3B3/1P1N1PPP/R3K2R w KQ -,g2g3
1q3r2/pb1rbp1k/1p1pp3/6pn/2PBPN1p/1P1B1P2/P1N2QPP/3RR1K1 b - -,g5f4
8/3k2K1/1p1P2PP/8/p1p5/2q5/8/2B5 w - -,g7g8
4r1k1/2p3p1/r1bp2qp/P1n2p2/2P5/4PP2/1R1B1QPP/1R3BK1 b - -,a6a8
8/6k1/5p2/R7/4PK2/5P2/8/6r1 b - -,g7g6
r7/1p2rk2/p4bp1/5pnp/P7/1NP1B2R/1P4PP/3R2K1 w - -,h3g3
1R4k1/6p1/5p2/2P1p2p/8/2r3PP/5PK1/8 b - -,g8f7
4r3/5k1p/1p2qp2/2rp1p2/P6R/5PQP/6P1/3R3K b - -,e8h8
r1bqk2r/1p1n1ppp/p2ppn2/2b5/3NP3/2PBB3/PP3PPP/RN1Q1RK1 w kq -,b1d2
r1b2rk1/pp3qb1/2pp1npp/2n2p2/2PB3N/2N3P1/PPQ1PPBP/R2R2K1 w - -,d4c5
1q1r2k1/5pp1/2Q1p2p/pP1pP3/Pp1N3b/7P/1P3PP1/3R2K1 w - -,c6c2
1k2r3/1p6/p4p1n/2pp3B/3P3P/2P3P1/PP6/2K5 w - -,h5e8
r1b2rk1/pp3p1p/2n2p2/2b1p3/8/2N2NP1/PP2PPBP/R4RK1 w - -,f1c1
8/4R3/6pr/4p1k1/4K3/8/8/8 b - -,g5f6
3r4/8/6pk/P2r1p2/4pKp1/1PQ1P3/5PP1/8 b - -,g6g5
6r1/p1pk1b2/2p2pN1/2r1pP2/4P1p1/3P4/3K3P/1R4R1 w - -,g1g4
5k2/3nb3/2B2pp1/B3p2p/8/4K1P1/7P/8 b - -,e7c5
3r1r1k/b3q1pp/p3pn2/1p6/P2n4/1P2N1P1/1B3P1P/RQ1B1RK1 w - -,a4b5
7k/5r2/3Pr3/6pp/Pp6/4nB2/1P1R2P1/6K1 w - -,d6d7
r2qr1k1/p1n2p1p/3pbbp1/2p1P3/2P2B1P/P1N3P1/3Q1PB1/1R2R2K b - -,d6e5
r5k1/pp2bpp1/2n2n1p/2p1pP2/P1N1P3/2Pr2P1/1P4BP/R1B1R1K1 b - -,a8d8
r1bqkb1r/p4ppp/2p5/n3p3/5n2/3B1N2/PPPP1PPP/RNBQ1RK1 b kq -,f8d6:c8g4
2kr3r/ppnqn1p1/P1p1p3/4PpNp/1b1P3P/4B3/2Q1NPP1/R4RK1 b - -,b7b6
4r1k1/p4pbp/b5p1/4N3/4R3/1P4P1/1Br2P1P/4R1K1 w - -,b2a3
R7/1pr1kp2/2p5/P1n1p1p1/4P3/2P2PPB/3K4/8 b - -,e7d6
8/1p6/pn2k3/P5p1/7p/2Pb3P/5KB1/8 w - -,a5b6
8/8/8/8/8/4k1K1/4r2p/1Q6 w - -,b1b3
rr4k1/1pq2pp1/2nb1n1p/2p1pP2/p1PpP1P1/PP1P3P/1B1N2B1/R2Q1RK1 b - -,b7b5
3r2k1/5ppp/8/1p2bb2/3B1P2/2P5/6PP/R5K1 w - -,f4e5
8/4bk1p/b4pp1/8/N4P2/1Q4P1/PPP4P/1KBq4 b - -,f7f8
2k5/8/8/B2p3p/P2q1p2/7P/6RK/8 w - -,g2c2
rnb1kbnr/1p1p1ppp/pq2p3/8/3NP3/3B4/PPP2PPP/RNBQK2R w KQkq -,c1e3:d4b3
3r2k1/p2r2p1/3nR3/1ppP2pR/8/1P6/PB3PK1/8 b - -,d6f5
r4rk1/1bq1b2p/p4np1/4p3/NpP1PR2/1P6/PB2Q1BP/3R3K w - -,f4f1
r1bqk1nr/pp1nppbp/3p2p1/1B6/2PpP3/2N2N2/PP3PPP/R1BQK2R w KQkq -,f3d4
r4rk1/1pp1b1pp/5p2/p3p3/1P1qP3/P2P2P1/3N1P1P/1R1Q1RK1 w - -,d2b3
6k1/p7/6Bp/2p1b3/1p4P1/6KP/8/8 w - -,g3f3
1k6/pp6/8/1PP1b3/K1Rpp3/P5r1/R7/8 b - -,e4e3
1r2k2r/p1pq4/5bp1/1P3p1p/2Pp4/Q4NP1/P3PP1P/3R1RK1 b k -,h5h4
rnbq1rk1/1pp2pb1/p2p1npp/4p3/2PPP3/2N1BN2/PP2BPPP/R2QK2R w KQ e6,d4e5
6k1/5p2/1n1p1bpp/3P4/1P2P3/1N1P2P1/p7/3B2K1 b - -,a2a1q
r1bq1rk1/pp1pnpbp/5np1/2pNp3/2P5/1PN1P1P1/P2P1PBP/R1BQ1RK1 b - -,f6d5
rnb1qr1k/pp4bp/2pp1np1/4pp2/1PPP4/1QN1PN2/PB2BPPP/3RK2R w K e6,d4e5
8/7p/p7/1pp2pKp/2k2P2/P4P2/2P5/1nB5 b - -,h5h4
5rk1/R3q1pp/3p4/3P4/2PQ4/1r6/6R1/6K1 b - -,b3b7
7R/prkb4/B1p1p3/K1PpPp1p/1P3Pp1/4P1P1/6P1/8 b - -,b7b8
r4rk1/6p1/p1p1p2p/1pP1N2P/4n3/5R2/1P3PP1/1K1R4 w - -,f3f8
6k1/2p2pp1/4p1P1/4P3/1p1PBN2/2r1nP2/5K1P/8 b - -,f7f5
8/4kp1p/r1p1p1p1/3nB1P1/p3N2P/Pp3P2/1P1K4/7R b - -,a6a8
8/1N6/1n1bkp1p/6p1/2pP1p2/2P2P1P/4KP2/2B5 w - -,b7d6
r3rbk1/5p1p/2p2np1/1b6/Np1NP3/1P2BP2/P2R2PP/2R3K1 b - -,b5a4
1r5r/1p2k3/3b1q1p/1Q2n3/p2N4/6P1/1P4BP/2R1R1K1 b - -,h8c8
8/8/R6P/5k2/3p2P1/5P2/4K3/7r b - g3,f5g5
r1b4r/pp2kpp1/2p1pn1p/4q3/7Q/3BB3/PPP2PPP/R3K2R b KQ -,b7b6
r5r1/1p1nk2p/p2p1p2/4p3/1PPpPP1P/1P1P1B1b/3KNR2/6R1 b - -,g8g1
2r3k1/1b1n1p2/1n1N2p1/p3q2p/Pp2p3/1P2N2P/4BPP1/1Q1R2K1 b - -,c8c7
rnbqkb1r/p3pp1p/2pp1np1/8/1p1PP3/2NBB3/PPP2PPP/R2QK1NR w KQkq -,c3e2
2r1k2r/3bnpbp/pqn1p1p1/2ppP3/1p3P2/2PP1NPP/PP2N1BK/R1BQ1R2 w k -,c1d2
r4rk1/1p2ppbp/1qbp2p1/2n5/p1P1P3/2N1B1P1/PPR1QPBP/3R2K1 b - -,b6a5
8/4r1kp/p3p1p1/2pp4/3nPP2/1bNK2P1/1P3R2/1R6 b - -,b3c4
2rr2k1/1p4p1/1q1bpnBp/p2pN3/P1P1nB1P/4P3/1PQ2PK1/3R3R w - -,b2b3
1nrr4/p2pk1pp/1p1bp2n/3P1p2/N4P2/1P1RP3/PB2KPBP/2R5 b - -,c8c1
8/4r1kp/2p3p1/2Pn1p2/r3p3/PN4P1/5P1P/R2R2K1 b - -,e4e3
3r1rk1/5pp1/p2pbq1p/1ppN4/4Pn2/1PP2N2/P2Q1PPP/3RR1K1 b - -,f4d5
r2q1rk1/p5b1/2pp3p/2n1pbp1/2P1NB2/P1N5/1P2BPPP/R2Q1RK1 b - -,c5e4
6k1/2nq2p1/1p1p2Qp/p1pPp3/2P4P/1P4P1/P7/5RK1 w - -,g1g2
2r1r3/1p2pk1p/p5p1/3N2P1/1PPb3P/1P3R2/4R3/2K5 b - -,f7g7
r2qr1k1/1b3p1p/pp2pnpB/2b5/3NP3/3Q4/PP3PPP/1BR1R1K1 w - -,d4b3
5r2/7k/1q1p1b1p/p1pPp1p1/1pP1Pr2/4KPQP/PP4P1/4RR2 w - -,e3d3
R6R/4kp2/1pn1p1r1/8/3P4/2PK2P1/1r1N1P2/8 w - -,a8e8
1k6/1p2bppp/3p1n2/Bb1Pp3/2N1P3/5PP1/P3BK1P/8 w - -,c4e3
r1b1rn2/ppq2pkp/2pp1np1/4p3/P2PP3/2N2N1P/1PPQBPP1/3R1RK1 w - -,f1e1
1r2r1k1/1p1qppbp/n2p2p1/1R6/N1P5/3P2Pb/3BPP1P/3QR1KB w - -,d1b3
r1b1k2r/ppppqppp/8/4n3/2P2B2/P3P3/1P1b1PPP/R2QKB1R w KQkq -,d1d2
8/3bkp2/5p2/b7/2BN1P2/2PK2P1/8/8 b - -,a5b6
r1bqk2r/ppp2ppp/3p4/n1bNp3/1PB1P3/3P1N2/P1P2PPP/R2QK2R b KQkq b3,a5c4
8/1p3pp1/p5k1/8/1P2p3/2P1P3/4r3/3R2K1 b - b3,e2e3
8/5p2/4pk2/1nb3pp/8/5KPP/2N2P2/3N4 b - -,f6e5
8/4kn2/1pr5/4p3/5p2/N2K4/5P2/1R6 b - -,f7d6
4r1k1/5p2/2q3pQ/R2p4/p1b2N2/4bBP1/2P3KP/8 w - -,h6h4
r1bq1rk1/pp3pbp/1nnp2p1/4p1B1/2PP4/2N2N1P/PP2BPP1/R2Q1RK1 b - -,f7f6
r1q2rk1/p3p1b1/1pp2p1p/3b2p1/3N3P/6B1/PPP2PP1/R1Q1R1K1 w - -,e1e7
r2q1rk1/1p3p1p/1np3pQ/3p4/p2P1b2/P2BP2P/1P3PP1/1R3RK1 w - -,h6f4
r1b3k1/pp2q2p/2B1p1p1/1r6/8/bN2B2P/Q1R2PP1/5RK1 b - -,b7c6
4rbk1/1b3ppp/p2p4/1p6/3BPQnq/1P5P/P4PP1/1B2R1K1 b - -,f7f5
br1r2k1/5p1p/3p2p1/Rp1P1n2/2p5/2P2BP1/1PNK1P1P/7R b - -,b8b6
1r3r2/p1p2pk1/6pp/2p5/1n1Pb1P1/NP2P3/P2KB2P/R4R2 w - -,e2f3
r4rk1/1b3pp1/pq2p2p/1pn1P1P1/3N1P2/P1P4Q/1PB4P/1R3RK1 w - -,h3h5
3R4/6pk/1p5p/7n/8/3R3P/5PK1/1r6 w - -,d3f3
6k1/1p4pp/4Q3/8/3p4/1Pq4P/5PPK/8 b - -,g8f8
2kr1bnr/1pp3pp/p3bp2/2p5/4PB2/8/PPP1NPPP/R2NK2R w KQ -,d1e3
r4rk1/2q3pp/1ppbpn2/3p4/3PnP2/3BPN2/PPQ4P/R1B2RK1 w - -,c2g2
7r/5R2/2k5/8/2Np4/P3p1P1/1P2K2P/8 w - -,h2h4
6r1/5p2/qpkr2n1/3p2Pp/3P1Q2/2P4N/P4R1K/4R3 w - -,f4f5
8/R7/2knp1p1/8/3BP3/3K4/6r1/8 w - -,a7a6
1n3rk1/q2bppbp/3p1np1/2pP4/2N1PP2/P1NB4/3B2PP/3Q1RK1 b - -,b8a6
r2q1rk1/3nbppp/3p1n2/p2Pp3/1p4P1/1N2BP2/PPPQ3P/2KR1BR1 w - -,g4g5
rn1qk2r/pb1pbpp1/1p2pn1p/2p5/3P3B/3BPN2/PPPN1PPP/R2Q1RK1 b kq -,c5d4:b8c6:e8g8
q4rk1/Nb1n1p1p/ppN3p1/2bp4/4n3/1P1BP3/PB2QPPP/2R3K1 w - -,c1c5
2rr2k1/p5b1/2q3pn/4ppNp/P1Pp4/3P2PP/2Q1PPK1/RRB5 w - -,f2f3
r3r1k1/1pq2ppp/p2p4/4n1Q1/2b1P3/5B2/PPP2RPP/3NR2K b - -,c7a5
1rb1r1k1/4qpb1/2p1n1p1/p1ppp2p/4P3/2PPBP1P/PP1QNNP1/R2R2K1 w - -,d2c2
2rr2k1/pp2bpp1/1n2p2p/1b2N3/P2PN3/1BP5/1P3PPP/R3R1K1 b - a3,b5c4
8/pp2Q3/1kp1P3/3pq1p1/7K/P7/8/8 w - -,h4h5
r1bq1rk1/ppp1ppbp/2n2np1/3pN3/2PP4/6P1/PP2PPBP/RNBQ1RK1 b - -,d5c4
6k1/pp1q3p/2p2bp1/3p1p2/2PPnB2/1P1Q2P1/P4PBP/6K1 w - -,f4e5
1rB5/1P5p/6p1/2pk4/5PP1/2P4P/8/6K1 w - -,g1f2
2r2rk1/3nbppp/1q2pn2/1p4B1/2p1N3/2NP2P1/1PQ1PP1P/R1R3K1 w - -,e4f6
rnbqk2r/ppppppbp/5np1/8/3P4/5N1P/PPP1PPP1/RNBQKB1R w KQkq -,c1f4
r6k/1p4bp/1P1pB2r/1n1Pp3/4Pp1Q/1P1N4/7P/2R3RK b - -,h6h4
r1nq1rk1/2pb1p1n/1p4p1/3PQ3/p1P1P2p/P1N4P/1PB1N1P1/2KR3R w - -,e5f4
5bk1/5q1p/2b3p1/4p3/ppPrP1P1/5PN1/PP3K2/1BQ4R w - -,b2b3
5rk1/pbq2ppp/1n2p3/2p1P3/1rP5/4RNP1/P4PBP/2R1Q1K1 w - -,e1e2
rn3r2/pp3pkp/3p1qp1/2pPp2n/4P2P/5P1B/PPPQNP2/2KR3R w - -,d1g1
8/8/2r1n1p1/pR2kp2/2P1pp1p/7P/5KP1/3R4 b - -,e5f6
rn1qk2r/pp2ppbp/2pp1np1/8/2PP2b1/2N2NP1/PP2PPBP/R1BQK2R w KQkq -,h2h3
1R4R1/5pk1/7p/7b/5P2/4K3/8/5r2 b - -,g7f6
