6R1/8/8/5r2/8/5kp1/3K4/8 b - -,f3f2
1n3rk1/1pq1bppp/1N2b3/r3p3/p7/P1N1BP2/1PP1Q1PP/2KR3R w - -,b6d5
2r2bk1/1pB2p1p/6p1/r4b2/8/1P2P3/P3BP1P/5RK1 w - -,c7a5
r1b2r2/ppp2Bkp/n2p1b1q/3Pp3/2P1P2R/2N3P1/PP4K1/R2Q4 w - -,h4h6
8/7p/2p2p2/4k3/2p1P1p1/2P1R1P1/2r4P/7K w - -,h1g1
1r6/3r1k1p/1pR1bb2/1p2pp2/1P6/P4NP1/5PBP/5RK1 w - -,h2h4
8/4kp1R/p5P1/1p5p/5r2/1Pp5/P7/1K6 w - -,a2a3
2k2br1/6pR/K2p1pPB/2pPpP2/1p2P3/3P4/1P6/8 w - -,h6d2
r1bq1rk1/pp1pp1bp/2p3p1/3P1p2/2PBn3/5NP1/PP2PPBP/R2Q1RK1 b - -,c6d5
r1r1n1k1/p4pp1/1np1b2p/2Np4/Np1P4/1P1BP3/P4PPP/R3K2R b KQ -,b6a4
7k/7P/8/8/3p4/p4r2/P7/KB5R b - -,d4d3
8/5k2/p5p1/1p2Pp1p/1P1NnP1P/2p2KP1/P7/8 b - -,f7e7
r3q3/1p3pbk/p2P4/2pP1b2/P4Ppp/2N4P/1P1Q1BP1/4R1K1 b - -,e8g8
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/1PB1P3/2PP1N2/P4PPP/RNBQK2R b KQ b3,c5b6:c5e7
r5k1/1p1n1rpp/p1n1pq2/3p4/2pP2P1/2P4P/PP2QPN1/R3NRK1 b - -,f6h6
r1bqkb1r/1p1p1ppp/p1n1pn2/8/3NP3/2N1B3/PPP1BPPP/R2QK2R b KQkq -,g7g6:f8b4
q6r/4p1k1/1n1p2p1/2pP4/1p1bPNB1/1P6/2PQ2P1/5RK1 w - -,f1f2
r2q1rk1/pp2ppbp/3p1np1/2p5/3nPPbQ/2NP1N2/PPP3PP/R1BB1RK1 w - -,f4f5
5bk1/3R1p2/7p/3n2p1/3P4/4B2P/5P2/6K1 b - -,d5f6
5k2/3b1p1p/1R3Bp1/p2p4/P7/1P3P2/5KPP/2r5 b - -,c1b1
3r2k1/4bp1p/2p2p2/pp2p3/4B3/P4QP1/1PPq1P1P/4R1K1 w - -,g1f1
5rk1/pbr1ppb1/1p4pp/n2nN3/q2P4/B1P2N1P/BQ3PP1/2R1R1K1 b - -,f8c8
r3r1k1/pR3p1p/5bn1/7B/1B4P1/1P6/P4PKP/4R3 w - -,h5g6
r5k1/1p2pp1p/3p2p1/2rPn3/p1P5/1P2P1P1/P6P/R1R2BK1 b - -,a4b3
r5k1/6p1/2pRPp1p/1pB2P2/4n3/7P/6PK/8 w - -,d6c6
2r3k1/p2q1pbp/6p1/2n5/3N3B/Q1P1P2P/Pr3PP1/2RK3R b - -,c5d3
r1qbk2r/pp3pp1/2n1pn2/3p2p1/3P2P1/1QPB1PB1/PP1N3P/4RRK1 w kq -,f1f2
7Q/8/8/3Kp3/8/8/7p/5k2 b - -,f1g1
8/2R3p1/2p3k1/8/p4PKP/P5P1/2r5/8 b - f3,c2c3
1q6/1p1k4/p1pPpppp/2P5/1Q6/P5P1/1PK2PP1/8 w - -,b4b6
rnbqk2r/pp2ppbp/5np1/2p5/8/3PN1P1/PPP1NPBP/R1BQK2R b KQkq -,b8c6
1r4k1/5p1p/3q2n1/p1pP4/1rP3P1/1P1Q4/P1B5/1K1R3R w - -,d3h3
4k3/8/p5N1/1bR4p/8/r4PKP/6P1/8 b - -,a3b3
3rr3/p2q2bk/bpn3pp/1Npnpp2/P7/2PP2P1/1PQN1PBP/1RB1R1K1 w - -,d2c4
7b/1B6/p6p/1bN5/8/k1n5/5PKP/1R6 w - -,b1b3
r1k4r/pp1b1pb1/2p3pn/2P4p/2B1P3/3N3P/PP4P1/2KR2BR w - -,g1h2
1r1qk2r/5pb1/p2pp1p1/3pP2p/2pP1P1P/P3B2R/1PP2QP1/1K1R4 w k -,e3c1
1r3rk1/1p1b1ppp/4n3/p2N4/1P5b/P3P2P/4KPB1/R1BR4 b - -,f8d8
r2r2k1/2q1bppp/8/p2np3/8/p4PN1/1PP1QBPP/3RR1K1 w - -,b2a3
8/8/N3np2/2p1p3/2P1P2k/5P2/2b2K2/5B2 b - -,c2b3
8/8/2p3p1/2Ppq1k1/4p2p/4Pp2/5P1Q/5N1K b - -,e5f5
r2r2k1/pp3ppp/5n2/1N2qb2/4p3/1P1nP3/P1Q1BPPP/R1B2RK1 w - -,b5d4
8/6Q1/4q2p/2p1p2P/5k2/2PP1P2/4K3/8 w - -,g7f8
6k1/p4p2/1p1q2p1/5n2/1P1B2B1/5QPP/5P1K/3r4 w - -,f3a8
8/2p1k3/1p5p/4K3/p1P2P2/Pn1B4/1P6/8 w - -,e5d5
8/5p1k/NQ2bP2/4q2p/2r1p3/KP2P3/P7/5R2 b - -,c4c2
3q2k1/pr3rpp/1p1p1n2/1P1Pp3/P5Q1/2N1P3/5PPP/3RK2R w K -,g4b4
8/5k2/7p/4Rp2/7P/r5P1/5PK1/8 b - -,f7f6
6k1/5pp1/7p/2r1P3/1R6/1P2P2P/5KP1/8 w - -,b4e4
2k4r/pp6/2nb1pr1/2p1pR2/2PpP2p/N2P2P1/PP1B2KP/R7 b - -,h4g3
8/4n2p/3N1k2/3n1p1P/3N1P2/4PK2/8/8 w - -,d6f5
8/8/3p4/2p5/1p3k2/1P1Kn2B/8/8 w - -,h3e6
r2qnr1k/ppb3pp/2p1pp2/2n5/4PP2/2P3QP/PP2B1P1/R1BN1R1K w - -,d1f2
r5k1/p3r1pn/4pp1p/q1pb4/1p1P1PP1/1P1B4/P1PBQ2P/1K1R2R1 w - -,g4g5
8/8/8/6p1/R1n5/p1k5/6K1/8 w - -,g2g3
r2r1b2/2k4p/2pnbpp1/2B1p3/1P2P3/7P/3NBPP1/RR4K1 w - -,c5d6
5rk1/p1q1r1pp/5p2/1ppN4/3pP3/PP1P1nPQ/2P3K1/R7 b - -,f3g5
r2b3r/pp1q1k2/6p1/3p4/2pP2Pp/2N1P2P/PPQ2PK1/3R1R2 w - -,c2e2
r3r1k1/pbp2pb1/3p2pp/q1p1P2n/5P1B/1PPB3P/P2QR1P1/4RNK1 b - -,a5b6
r1n2rk1/1q4pp/p1Np4/1b1Ppp2/8/1P1BQP2/P1R3PP/5RK1 w - -,f1c1
8/8/4k3/4Pp2/5Pp1/4b1Pp/7K/4B3 w - -,e1b4
r1bqk2r/pp2ppbp/2np1np1/2p5/4P3/2NP1N1P/PPP1BPP1/R1BQ1RK1 b kq -,e8g8
r4b1k/1p3qpp/1nr1p3/1N1pBn2/p7/P2B1P2/1PPQ2PP/1K1RR3 b - -,b6c4
6k1/p1R3p1/7p/5P2/2P5/P7/1r4r1/1K3R2 w - -,b1a1
r2r2k1/qp1nbpp1/p1p1p1bp/P7/1P1PPQ2/2N2NP1/5PBP/R2R2K1 w - -,a1b1
1qr1k2r/1b1nbppp/pp1ppn2/8/1PPNP3/P1NQBP2/4B1PP/R1R3K1 w k -,c3a4
4Q3/p6p/6p1/1P1nk3/5r2/2P1q3/1P5P/R6K b - -,e5f5
r1b2r2/p5kp/1qp2pp1/3np3/8/NP4P1/P3PPBP/R1Q2RK1 w - -,f1d1
r1bqr1k1/ppp2pbp/2Np2p1/8/2P1Pn2/2N1BP2/PP1QB1PP/R4RK1 b - -,f4e2
8/8/4k1p1/5p2/5P2/R3K3/8/7r w - -,a3a6
1K6/2Q4k/1P4p1/7p/7P/1q4P1/8/8 b - -,h7h6
3r1rk1/pp1q2pp/8/1Pb1p3/3nB3/4B1P1/1Q2PP1P/R4RK1 b - -,g8h8
5r1r/pp1bkpp1/1n2p2p/q2pP2P/2pP3N/2P4R/P1PQBPP1/R3K3 w Q -,e1f1
4r3/p5bk/1p1q2p1/2p2p2/2P4p/3PpPPP/PPR3Q1/5RK1 w - -,g3g4
rnq2rk1/p1p2ppp/bp3n2/3p4/3P4/P1PBP3/4NPPP/R1BQ1RK1 w - -,e2g3
r5r1/3qkpbp/p3p1p1/3p4/3P4/P1N2Q2/1P3PPP/R4RK1 w - -,f3f4
5rk1/5p2/4pP1p/3r2p1/P2p4/3P2P1/2R4P/R5K1 b - -,f8a8
R7/5K1k/P1r5/8/7P/8/8/8 w - -,f7e7
r2r4/1p3pk1/4p1pp/2n3P1/1RBRn2P/4PN2/P4P2/6K1 b - -,h6g5
8/3k3p/2p5/1pPn1p2/1P3P2/2b4P/2NBK3/8 w - -,d2c3
8/5p2/4k2p/p3p2Q/q1r1P3/8/6P1/3R2K1 b - -,c4e4
rnb2rk1/4bppp/1p1q4/pP1p4/3p4/PN1B4/3B1PPP/2RQR1K1 b - -,e7f6
5bk1/1p1r1p1p/4p1p1/B7/2r5/PR3P1P/5P2/5RK1 b - -,c4a4
r4rk1/p3q1pp/1p2p3/2pbP3/8/1P3PP1/P5BP/R1QR2K1 w - -,f3f4
r3k1nr/ppp2ppp/2n5/8/1bqP4/1QN2B2/PP3PPP/R1B1K2R b KQkq -,c4b3
3r4/p3bpk1/4p1p1/P2nP2p/qpR2P1P/1N1Q2P1/1P1B2K1/8 w - -,c4d4
r2q1rk1/1ppb1ppp/p2b1nn1/3Pp3/4P3/1BN1BN1P/PP2QPP1/R2R2K1 b - -,d8e7
r4rk1/5pbp/1n3np1/2p5/P2pp3/1PB3P1/4PPBP/R3K1NR w KQ -,c3b2
6k1/Qprq1r1p/3p2p1/7n/5P2/4B2P/P4PK1/R3R3 w - -,a7d4
8/1p2b3/pk3p2/4p3/1P1q2P1/P4P2/7P/2R1Q2K w - -,h1g2
r2q1rk1/pb1nbppp/1p1p4/2pP1N2/4PP2/P1NQ4/1P4PP/R1B2RK1 b - -,f8e8
Bq2n1k1/r2b1ppp/4p3/P1N1P3/8/2Q3P1/1B3P1P/R5K1 b - -,b8a8
r3k2r/1pqbbppp/p1n2n2/2p1p1B1/2B1P3/2P2N2/PP1NQPPP/R4RK1 b kq -,h7h6
4qbk1/5p2/p1p3p1/3p1b1p/8/1NP1BP2/PP1Q1KPP/8 b - -,f5b1
8/5b2/5N2/7p/pp4PP/2k5/8/K7 b - -,h5g4
8/8/R3R3/5pp1/1P2pk2/8/2rr1PP1/6K1 b - -,d2d1
r2q1rk1/ppbbnppp/3p4/3P4/2N2B2/2P5/PP2B1PP/R2QR1K1 w - -,f4d6
2b1r1k1/1r5p/p2p1q2/PppP1pp1/8/4P1NP/1bQBN1B1/R5K1 w - -,a1f1
1qrr3k/pp2b1pp/4p1b1/3p1p2/NP1P4/P2QPP2/6BP/1R1R3K w - -,a4c5
8/1pk2p1p/p5p1/3pP2P/PbrP4/4B1K1/2r2PP1/R2R4 b - -,c7b6
r7/5pk1/p3pnp1/Pr1p3p/RNnP1P2/5P2/R3NKPP/8 w - -,b4d3
8/4R1bp/3B1kp1/pp6/2n5/8/5PPP/6K1 w - -,d6c5
4n3/4Bk2/2rp1P2/2p2P2/8/3R4/4K3/8 w - -,e2d1
5k2/8/1p1R2p1/8/8/6NP/r1n3PK/8 w - -,d6b6
r1br2k1/ppp1qppp/1b3n2/8/1P1Np3/P2PP1P1/1B3PBP/R2Q1RK1 w - -,d3e4
3rkn2/p1q1b3/P4p1r/3p3p/1p1P4/1N1P1Q2/1P2RPPP/R5K1 w - -,a1e1
8/5R2/4pbp1/4k2p/7P/5P2/5K2/8 w - -,f2g3
6k1/6p1/2bP1p2/q6p/5P1P/1p6/1B3QP1/6K1 b - -,a5d5
5R2/8/7r/8/4nk2/8/6K1/8 b - -,f4e3
8/8/6k1/1R6/6P1/7K/r6P/8 b - -,a2c2
2r3k1/1pq2b1p/p4np1/3prPN1/P2P3Q/3B3P/1P4P1/5R1K w - -,d4e5
r1bq1rk1/ppp1bppp/4p3/3pP3/4NBP1/4P3/PPP1BP1P/R2QK2R b KQ -,d5e4
r1b1r1k1/pp3pbp/2pp1np1/q3n3/2PNP3/1PN3PP/P4PB1/R1BQR1K1 w - -,c1b2
5bk1/1R5p/5pp1/4p2q/4P3/3P2Pb/2Q2P1P/5RK1 w - -,c2c4
r2qk2r/p2nnppp/1p1Bp3/3pPb2/2PP4/Q7/P3BPPP/2R1K1NR b Kkq -,f5g6
5n2/1pk5/p3p1pp/PPK1Np2/2P2P1P/8/6P1/8 b - -,a6b5
r3kb1r/ppnbnpp1/1q2p2p/3pP2P/3P1PP1/P4N2/1P5R/RNBQKB2 w Qkq -,b1c3
8/5p1k/7p/3P1Nq1/4Q3/1p5P/6PK/8 b - -,b3b2
8/r7/4k3/8/4P3/4K3/5R2/8 w - -,f2b2
5rk1/q2b1pbp/ppn1p1p1/8/2P5/2NB1Q2/PP3PPP/R4RK1 w - -,a1b1
4k3/2R2pp1/8/3pP3/3P1p1P/b2r1N2/5KP1/8 b - -,a3b2
r3kr2/ppp1q1pp/2np1n2/4p3/4P3/2NP4/PPP2PPP/R1BQK2R b KQq -,e8c8
r1b1k2r/p1pp3p/1pn1pqpQ/8/3P4/2P2N2/PP3PPP/R3KB1R w KQkq -,f1d3
5rk1/pp1bpp1p/3p1npB/6N1/3R2P1/1P6/2P5/2K3R1 b - -,f8e8
r1b1k2r/1p1n1pp1/p1pbpn1p/q2p4/2PP3B/3BPN2/PPQN1PPP/R3K2R w KQkq -,e1g1
8/p2r1p1k/1p6/3pP3/3P2R1/7P/P1r3P1/5RK1 w - -,f1f4
4r3/pp5k/2p5/3p4/3p2R1/4P3/PPP3PP/6K1 w - -,g4d4
2r1rbk1/1p3p2/p1n1b1pp/q2pB3/3P1Q2/5N1P/PP3PP1/1B1R1RK1 b - -,c6e5
5rk1/1pr2pp1/p2pb2p/8/P2RPP2/8/2q1B1PP/3Q1R1K w - -,d4d6
r2qkbnr/ppp3pp/8/3pn3/8/2P2b2/PP2BPPP/RNBQK2R w KQkq -,e2f3
2rb1rk1/1b4p1/1nq1p2p/p2nPp2/2pP4/P1P2N2/3B2PP/RB1Q1RNK w - -,f1f2
r2q1rk1/1b2bppp/ppnppn2/8/2P1PP2/1NN1B3/PP2B1PP/2RQ1RK1 w - -,e2f3
r1b2r1k/1q4pp/pp6/4Nn2/P1B1pP1b/7P/1PN3PK/R2Q2B1 w - -,d1h5
6k1/p7/2br1qp1/1p6/2p1p1B1/P1P1R3/5PP1/4Q1K1 w - -,g4e2
3R4/p7/6p1/5p2/2k5/8/6r1/4K3 b - -,f5f4
8/2k2p2/p3pn2/8/BPP3p1/P3Pr2/7K/5R2 w - -,f1f3
5b2/1b5p/p1k1p1p1/Pp1n1r2/2p1N3/5PB1/1P3PKP/R2R4 w - -,a1c1
r2q2k1/6pp/1p1p4/3P4/pP3n2/P2BrP2/2Q3PP/3R1R1K w - -,d3h7
8/2pk4/1p2qQp1/p3Pp1p/1nP2P2/1PB3P1/K6P/8 w - -,a2a3
6nk/r1p3b1/p2pNqpp/3P4/1p2rp1P/4N3/PP3Q2/1K3R1R b - -,e4e3
r3k2r/1p3p1p/p2p2p1/2pPb2n/P3P1Qq/2N1B2P/1P3PP1/R4RK1 b kq -,h4g4
8/8/pr1p1kp1/4pp1p/p3P2P/P1P2PP1/1P1R1K2/8 b - -,f6e6
8/2k3p1/3bbp1p/1pp5/2PpPP2/6P1/4B2P/2B1K3 w - -,c4b5
8/6pk/1R6/1pBr1p1p/1P4P1/2b1KP1P/8/8 b - -,c3d2
3r1b1k/3R2pp/4Q3/3p4/2q1n3/7P/5PP1/4R1K1 b - -,d8d7
r2q1rk1/4bpp1/p2pp2p/1p5n/3Pb3/2P1R2P/PPQB1P1P/4RNK1 w - -,e3e4
n4q2/1p4kp/2bp1np1/4pp2/2P5/Q1NPP1PP/4NPB1/6K1 w - -,g2c6
1rbq1rk1/5pbp/3p1np1/1pp3B1/BP1pP3/3P3P/P2QNPP1/R3K2R w KQ -,a4b3
4k3/1p3p2/2b1p3/p3P3/3r1P2/PRpB2Pr/2P2K2/6R1 w - -,f2e3
r1bq1r1k/3n1ppp/2p1p3/p1bpP3/8/P1NB2Q1/1PP2PPP/R1B2RK1 w - a6,c1g5
r3r1k1/1bp1q1bp/p3pPp1/1p1n3P/6R1/2P3N1/PPB1QPP1/2B2RK1 b - -,d5f6
r2qkb1r/1p3p2/p2pbn1p/4p3/4P1p1/2N2BB1/PPPQ1PPP/2KR3R w kq -,f3e2
r1b1rbk1/ppqn1pp1/2pp3p/4p1B1/4P2N/1P1P2NP/1PP1QPP1/R4RK1 w - -,g5e3
1br1r1k1/5pp1/p3b1np/1p1pNN2/3PB3/P1B4P/1P3PP1/2R1R1K1 b - -,d5e4
2r5/p1r1bpk1/6pp/1p1pPQ1P/1PnP1P2/P7/R5N1/4BRK1 b - -,g6f5
r2qnrk1/1b1n1pbp/ppppp1p1/8/P2PPPP1/2N3NP/1PP3B1/R1BQ1RK1 w - -,c1e3
1r1r2k1/p3p1bp/2p1b1p1/2R2p2/3PP3/4BN2/P1RK1PPP/8 w - f6,f3e5
8/6k1/5pp1/1R4p1/4r3/3nB2P/5PP1/6K1 w - -,b5d5
2rq1rk1/pb1pppbp/np3np1/2p5/3P4/NPP2NP1/PB2PPBP/R2QR1K1 b - -,d8c7
5k2/R7/3r1Np1/p5P1/2n2P2/8/8/6K1 b - -,d6e6
2b1k2r/pr1n1pb1/3p1q1p/1BpP2p1/4P3/R1N2N2/1PQ2PPP/4K2R b Kk -,e8g8
rq3rk1/2pnnpbp/p3p1p1/1p1pP3/3P1P2/3N1N2/PPP2BPP/R2Q1RK1 b - -,b8b6
rq3rk1/1p2bppp/2n1p3/pNP1n3/Q1p2P2/4B3/PP2B1PP/R4RK1 b - f3,e5d7
6k1/pp2rpp1/2pr2qp/5R2/PP1Pp3/1Q2P3/6PP/5RK1 b - a3,g6e6
2r1k2r/pp1b1ppp/1q2p3/3pP3/3P2Pb/3B4/PP3P1P/R1BQ1R1K w k -,c1e3
8/4kp1r/4p2p/3n3P/1p5r/7R/1PPB1RP1/1K6 b - -,h4h3
r3rbk1/q4pp1/3p3p/3P4/1pP2B2/1Q4N1/P3b1PP/R4R1K w - -,g3e2
8/8/4pk2/3p4/P1p1n1p1/6P1/1R3PK1/8 b - -,c4c3
r2k3r/ppp2qp1/3pRn1p/5B2/3P4/6Q1/PPP3PP/5RK1 w - -,g3b3
3r1qk1/p4p1p/1p1np1p1/8/1Q3P2/2P4P/PPB3P1/3R2K1 b - -,f8e7
r2qr1k1/p1pn1pbp/1pnp2p1/8/2P1P1b1/P1N1BN1P/1PQ1BPP1/3RR1K1 b - -,g4f3
1r1q1rk1/pp2ppbp/n1ppb1p1/8/Q1PP3N/2P3PP/P3PPB1/R1B1R1K1 w - -,a1b1
8/6k1/2n2ppp/3K4/6PP/8/3B4/8 b - -,c6e5
2r4k/p1pQ4/3p4/2pPppP1/2P5/2P2P2/Pr3K2/8 w - -,f2e3
3r1k2/p5pp/8/2PB1p2/1P6/1K4bP/8/3R4 w - f6,b3c4
r6r/1p1kbpQ1/q3p3/3pPn1p/p7/P1N5/1P1B1PPP/R2R2K1 w - -,g7f7
8/8/p1p5/2Pp4/P1nP4/3K4/5k2/2B5 w - -,d3c2
1rr3k1/p3pp1p/4b1p1/1BPp4/8/1Pb1PN2/P4PPP/2R1K2R w K -,c1c3
r4rn1/3bqnbk/p2p2pp/2pPp3/1pP1P1N1/1P4PP/P1QBBRK1/5RN1 w - -,h3h4
8/8/6p1/5p1p/2k2P1P/6P1/K7/8 w - -,a2b2
r1b1k2r/pp2bpp1/1qn4p/3pPp2/3P4/5N2/PP2NPPP/R1BQ1RK1 w kq -,e2f4
k1br1r1b/8/pPp1p1p1/8/2pp1PN1/2P3pP/2PB2K1/R3R3 w - -,a1b1
4qr1k/r1pbb1pp/1p2npn1/3Bp3/1P2P3/2P1BN2/1Q2NPPP/3RR1K1 w - -,b2d2
1q2r1k1/3r3p/1pQ3pP/p1p1p3/P3n3/1P4P1/1B3P2/3RR1K1 b - -,d7d1
8/p4p2/4p1k1/1P2Pr2/5PB1/7p/3B4/5K2 w - -,d2e3
r1bq1rk1/1p2ppbp/p1np2p1/8/2P1n3/1PN2NP1/PB2PPBP/R2Q1RK1 w - -,d1c1
1qr3k1/1b1n1ppp/4pb2/p1rn4/1pNN1P2/1P2P1P1/PBR3BP/1QR3K1 w - -,e3e4
r5k1/1pr1q3/3Np1pp/p1PpPp2/P7/6P1/P3R2P/2R2BK1 b - -,a8b8
2r1kb1r/1bqn1ppp/2npp3/6P1/pp1NPP1P/1N2BQ2/PPPR4/2K2B1R w k -,d4b5
2r2rk1/p3ppbp/1p1q2p1/n2n4/N2P4/1P2BB1P/P2Q1PP1/2R2RK1 b - -,a5c6
1r1qnrk1/1p5p/p2p2p1/2pP1pP1/P3PP2/2P1B3/4Q2P/R4R1K w - f6,e4f5
r7/8/1K4p1/5k1p/P1R2P2/6P1/7P/8 b - -,a8b8
1R3n1Q/4qk1N/4p1r1/p3Pp2/3p1P2/2p3P1/P1n3KP/8 b - -,c2e3
rn1q1rk1/ppp1ppbp/5np1/3p4/2PP4/2NQPN1P/PP3PP1/R1B2RK1 w - -,f1d1
rnbqkbnr/pp1ppp1p/6p1/2p5/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq d3,c5d4
2Q5/p4pkp/2bqn1p1/P1p3N1/8/2P3PP/1P3PB1/6K1 b - -,e6g5
r2q1rk1/2pn2pp/2p1b3/5pb1/p2pPP2/Pn1P4/1P2Q1BP/1RB1NRK1 w - -,f4g5
1qbr1bk1/1pRn3p/1P1p2p1/N2Pppn1/4P3/BQ1N1PP1/6BP/6K1 b - -,g5f7
r1b2rk1/p2n1ppp/4pq2/1P1pn3/1P3N1P/PQ3PP1/1B4K1/R4B1R w - -,a1e1
r1b1r1k1/1p1nqpb1/2pp2p1/p1n4p/2PNP3/1PN1B1PP/P1Q2PB1/3RR1K1 b - -,e7f8
r2qr1k1/1p3pb1/p1n1bnpp/4p3/1P1pP3/P2P1PP1/3N2BP/R1BQNRK1 w - -,d2b3
2rr2k1/1pq1n1p1/p1p2p1p/P2p4/1P1P4/3BP3/3Q1PPP/R4RK1 b - -,c7d7
2rq1rk1/pp1b1ppp/4pn2/n2p4/1b1P1B2/2NBPN2/PPQ2PPP/R4RK1 w - -,f3e5
rn1qkbnr/1p2pp1p/p2p2p1/2pP4/2P1P1b1/5N1P/PP3PP1/RNBQKB1R b KQkq -,g4f3
b1r2r1k/6p1/p1Pp1bq1/P4p2/R3pB1p/1Q4PP/1PP2PB1/5RK1 w - -,f4d6
3q1nk1/2p2rp1/1p1p1n1p/p2P1P2/2bB1P2/2P2B1P/P5Q1/1R2R1K1 b - -,c4d3
3qbrk1/4bppp/1pP1pn2/1P1p4/5B2/rQ2PN2/P2N1PPP/R3K2R w KQ -,b3b2
1R6/1P3pk1/4p2P/4P3/5K2/5P2/8/1r6 b - -,g7h7
r2q1rk1/pp3ppp/2n5/b7/3pQB2/PP1P1N2/1P4PP/R4RK1 w - -,b3b4
r4rk1/p1qbb1B1/2n1p3/2pp1p1Q/5P2/PP2P3/2P3PP/RN3RK1 w - f6,f1f3
6k1/5r1p/p4n2/1rp1pp2/2Nb4/BP1R2P1/P5KP/2R5 b - -,f7d7
