8/6p1/3k2p1/3p1p2/B2K1P2/5nP1/7P/8 w - -,d4e3
8/1B1n2p1/3k3p/p7/4p3/4P1PP/1PK2P2/8 b - -,d7f6
1rbq1rk1/1p1nbppp/p1pp4/3Pp1Pn/1PB1P3/P1N2N1P/2PBQP2/2KR2R1 b - -,g7g6
5rk1/1p5p/6q1/pP1p2rp/3Pp3/6PR/1P1Q1P2/4R1K1 w - -,g1g2
8/N4p2/1p2kBp1/2n3P1/5n2/1P6/P2K1P2/8 b - -,f4h3
3r4/1p1n1k2/1P4p1/R2bp3/3p1P1P/6P1/1PR2K2/8 b - -,f7e6
5rk1/p4pb1/2R2np1/3r2q1/4p3/1P2P1P1/PB2B2P/R3Q1K1 w - -,e2c4
r1b4r/4p1kp/pq1p2p1/3P2Q1/1p4P1/5P2/PPP1B3/2KR3R b - -,a8a7
8/2n2k2/6p1/5p1p/5K1P/5P2/1B6/8 b - -,c7e6
4k3/1pq3rp/p1p3n1/8/1P2P1N1/8/2P3PP/3Q1RK1 w - -,d1d4
r2q1rk1/p3bpp1/1pbppn1p/6B1/2P1P3/2N5/PPB2PPP/R2QR1K1 w - -,g5h4
8/8/8/R3Pk2/P5p1/r7/5PK1/8 w - -,a5a8
8/3k4/5K1p/8/4P3/8/R7/7r w - -,a2a7
r1b1nrk1/1p1n1pbp/1qpp2p1/p7/2P1P3/1NN1B1PP/PP3PB1/R2QR1K1 b - -,b6b4
r1b2rk1/ppb2ppp/2p5/4N3/1P2n3/4P3/PB2BPPP/R2R2K1 b - -,c8e6
2kr1b1r/ppp1p2p/1n1qp3/2N3p1/3n1N2/4B3/PP3PPP/2RQ1RK1 w - g6,e3d4
rn2kbnr/p1pq1ppp/Bp2p3/3pP3/3P4/P1N2N2/1PPB1PPP/R2QK2R b KQkq -,b8a6
2B5/1p6/1p1k1n2/4p1p1/PPP1P1P1/3K2P1/8/8 b - -,d6c7
3b1B2/3P4/1p6/p7/P1k5/3p4/1K6/8 w - -,f8d6
rnbq1rk1/ppp2pbp/5np1/4N3/4PP2/2PB4/PP4PP/RNBQK2R b KQ -,d8d6
r2q1rk1/p3n1pp/2pppn2/1pb5/3NP3/P1N4P/1PP2PP1/R1BQR1K1 b - -,d8d7
b7/3n1pk1/1pp3pp/3p4/1P1P3P/3BPN2/5PPK/8 w - -,h2g3
6k1/5p2/qp5p/2p1b1p1/4P1P1/2P2PP1/5BK1/3Q4 b - -,e5c3
rnbr2k1/ppp1qpp1/7p/3p4/3P4/2P1PN1P/P4PP1/R2QKB1R w KQ -,f1d3
6k1/4qppp/RB1rp3/1n1b4/2p3N1/7P/1P1QBPP1/6K1 b - -,b5c7
2r1rbk1/1pq3pp/pn1pp3/4n3/P2QP3/2N1B1P1/1PP1BR1P/5R1K b - -,b6d7
r1b1r1k1/pp1nqpp1/2p4p/4p3/1bPP1B2/5NP1/PPQ2PBP/R3R1K1 w - -,e1e2
8/1K2k3/1BB3r1/p1bP1p1p/P5pP/4P1P1/1P3P2/8 b - -,c5b4
2q2rk1/pp2pp1p/2rp4/2n2bP1/8/2P1B3/P1P1B2P/R2Q1RK1 w - -,d1e1
2r5/5ppk/3q4/1p2NQPP/p1bP4/2b5/P1P5/1K4R1 b - -,g7g6
5rk1/p5b1/2r3p1/8/P1Ppp3/3P1PpP/3BP1K1/RR6 w - -,b1b7
r2q1rk1/1p1bb1pp/pn2p3/3pPp2/1P1P1PP1/PR1B1N1P/4N3/2Q2R1K b - -,a8c8
8/1r2bkpp/p1p3n1/5p2/2P5/B1N1R1PP/P3KP2/3r4 w - -,c3d1
r2qkb1r/1ppb1ppp/p1np1n2/4p3/B3P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq -,f1e1
rq4k1/3b1p1p/5bpB/pp2n3/4Q3/PB5R/1P3PPP/2R3K1 w - -,h3g3
1r4k1/8/2Bp1pp1/3P3p/4PP2/3p3P/3n2P1/4R1K1 w - -,g1f2
5r2/4b1k1/6b1/4p1p1/B5Qp/2PrB2P/PP4P1/6K1 w - -,g4e2
r5k1/1bqr2pp/pn2p1n1/1pp1PpBN/7P/2P3Q1/PP3PP1/R3RBK1 w - -,a1d1
8/4bk2/2b1p3/2p1Pp2/p4P1p/2B2r1P/P2K4/1R3B2 b - -,f3f4
r3rbk1/1bq2ppp/pp3n2/2pp1N2/P2P1P2/2P4P/RP2N1P1/2BQ1RK1 b - -,e8e6
8/4bk2/4p2p/3pP1pN/3Pr1P1/1R3K1P/5P2/8 w - -,b3d3
Q7/5ppk/4pq1p/2p5/2Pr4/1P5P/P4PP1/R5K1 w - -,a8f3
2q1r1k1/1b1nbppp/p2p4/1p2p3/3Pn3/1P1BNN1P/PB3PP1/1Q2R1K1 b - -,d7f6
r1b1r1k1/pp1n1ppp/2pb1q2/4p3/2PP4/4BNP1/PP3PBP/R2Q1RK1 w - -,f1e1
r4rk1/ppb2ppp/4b3/3p2q1/1P1N4/P3PQ1P/5PP1/R1B2RK1 w - -,f1d1
6k1/1p3pp1/p1q1p2p/3pPP2/Pb1P3B/1PnQ3P/4N1PK/8 w - -,f5e6
3r1r2/pp6/5k1p/8/2B1pp2/1P5P/P2b1PP1/1R1R1K2 w - -,f1e2
3b2k1/1p3p1p/p3r1p1/3N3P/2PR4/5P2/P4P2/6K1 b - -,g6h5
3r4/pp4p1/2p1kp1p/8/3Pn3/4P1B1/PPR1K1PP/8 w - -,g3e1
8/6r1/1pkPp1p1/p1p2p1p/P4P1P/1PKR2P1/8/8 b - -,g7d7
4rrk1/1ppq2p1/p2p2np/3P1pnb/1PP2p2/P1N3PP/1B1QN1BK/4RR2 b - -,f4f3
r3k2r/ppqbnpbp/2n3p1/2ppN3/P1N1PB2/2PP2P1/1P3PBP/R2Q1RK1 b kq -,d5c4
r1bqk2r/p1pnnpbp/1p1pp1p1/8/2BPP3/2P1BN2/PP1N1PPP/R2Q1RK1 b kq -,c8b7
r1b1k3/1p2q3/p4n2/4n3/8/1BN5/PPPQ2Pr/1K1R1R2 w - -,f1f6
2k4r/B1b1q1p1/2p1pn1p/1p2p3/4P2Q/2P2P2/Pr4PP/RN3RK1 w - -,a2a4
5b1k/6p1/p6p/1p6/3pR1B1/P4N2/1r4PP/7K w - -,e4e8
4rr1k/1pn3p1/1q5p/p1p5/P2p2Q1/1B1P3P/1PP2PP1/R3R1K1 b - -,b6f6
r4rk1/p5b1/n1pp3p/4pbP1/N1P3n1/4BNP1/P1Q2PB1/R3R1K1 b - -,f5c2
1k6/pbp2p2/1p1ppnr1/8/2PPP2p/P1N2Q2/KP3PP1/2qR1B2 b - -,c1g5
5k2/5p2/3K3R/4P3/2b5/8/8/8 b - -,c4b3
6k1/3q2p1/1p1n1p1p/3P1P2/4p3/7P/1Q4P1/3R2K1 b - -,d7f5
1r1q1rk1/3npp1p/ppbp2p1/PP6/2PQP3/2N3PP/5PB1/1R3RK1 b - -,c6b7
r1bqkbnr/3ppppp/p7/npp5/3PP3/2N2N2/PPP1BPPP/R1BQK2R b KQkq d3,c5d4
r4rk1/pbpnqppp/1p2p3/3n4/3P4/2NBPN2/PP3PPP/2RQ1RK1 b - -,c7c5
8/8/1R3pp1/P7/r5k1/4K3/8/8 w - -,b6f6
8/1pq1R1pk/2b2r1p/2Qp1P1P/6R1/3r4/8/6K1 b - -,d3g3
r3kbr1/pp2p1p1/2p2p1p/2Pp3P/1n1PBB1N/1q4P1/1P2PP2/1RQ2RK1 b q -,d5e4
r1bqkb1r/pp1p1ppp/2n1pn2/2p5/2PPP3/2N5/PP2NPPP/R1BQKB1R b KQkq d3,c5d4
r4rk1/1p1npp1p/2p1b1p1/p1Q3N1/Pn2PP2/N5PP/1qP3B1/R4R1K w - -,c5e7
r3k2r/pp1n1pb1/1qp1pnp1/3p3p/3PP2P/1B2BPN1/PPPQ1P2/1R2K2R b Kkq h3,b6a6
rnbqk2r/pp2ppbp/1n1p2p1/8/3P4/5N2/PPP1BPPP/RNBQ1RK1 w kq -,c2c4
r3k2r/pp3p1p/1q1pb1p1/4p3/2p1P3/P2P2P1/1PP1QPBP/1R2K2R b Kkq -,a8c8
3r4/1p6/2n2Pp1/5kPp/p7/P3RN2/1PK2P1P/8 b - -,f5f4
5bk1/2q2p1p/4n1p1/4p3/8/4P1P1/5PBP/1Q3RK1 b - -,e6c5
1rbq1rk1/4ppbp/2np1np1/pp6/4P3/P1N3PP/1PP1NPB1/R1BQ1RK1 w - a6,f2f4
rn1qk2r/pb1pbppp/1p2pn2/6B1/3P4/3B1N2/PPPN1PPP/R2QK2R w KQkq -,e1g1
r2q1rk1/pp2ppb1/2p1bnpp/3p4/2PP3B/3BPN1P/PP2QPP1/R1R3K1 b - -,a8c8
6r1/2k1b1pR/K2p1pPB/2pPpP2/1p2P3/3P4/1P6/8 b - -,e7f8
r3r3/1pk2ppp/p4n1q/5b2/1PP2P2/4b1PP/PB2Q1B1/R4K1R w - -,a1d1
1rbq1rk1/1p1n1pbp/p1p1pnp1/8/P1QP4/2N1PN2/1P1BBPPP/2R2RK1 b - a3,b7b5
3B1n2/5pk1/4pn1p/3p2p1/3PP3/4KPPP/2B5/8 b - -,f6h5
r2r1q2/pb1n1pbk/3N2pp/nQpNP3/5P2/4B1PP/6B1/3RR1K1 b - -,d7e5
4n3/4r1k1/pp3p2/2p1q2p/P1P1pR2/1P2Q2P/6P1/5R1K b - -,e5d4
r3kb1r/q2n1ppp/p3pn2/1p1p4/P2P1B2/1QN1P3/4NPPP/1R3RK1 b kq -,b5b4
r2qkb1r/1b1pnppp/p3p3/1p6/1n1PP3/P4N2/1PB2PPP/RNBQ1RK1 b kq -,b4c2
7r/pr2bkp1/4pp1p/2p5/8/2P1B3/PP2RPPP/3R2K1 w - -,g1f1
r3r1k1/2p2qpp/1p3N2/pPnPpp2/2P5/P7/1B1PQPPP/R4RK1 b - -,g7f6
6R1/5k2/p5p1/1p5p/1Pr2P1P/8/5PK1/8 w - -,g8a8
r2r2k1/1p1n1p1p/2ppb1p1/2q5/2PQP2P/1P1RN1P1/5PB1/3R2K1 b - -,c5d4
3B4/3k1p2/b1p2Pp1/3p3p/P4K2/2P2P2/1P4P1/8 w - -,d8b6
4r3/pr3k1p/1n3ppB/2pb4/5R1P/R7/P1PN1PP1/2K5 w - -,c2c4
1rb2rk1/3nbppp/p2p4/8/1QNpPPP1/3P4/5N1P/R5K1 w - -,b4a3
3Q1bk1/5p2/4P2p/7p/8/qp3NP1/r4PB1/1R4K1 b - -,f7e6
3r1rk1/p3q1bp/1p1n4/2p1ppP1/P3P2P/BPN1Q3/2P2R2/5RK1 b - -,f5f4
8/7p/4k3/6p1/4K3/5PP1/7P/8 b - -,e6f6
r1bqkb1r/p1p2ppp/2pp4/3nP3/6Q1/3B4/PPP2PPP/RNB2RK1 w kq -,g4e2
1r4k1/3np2p/q2p1pp1/P1pP4/1rN1PP2/1PR1R1PP/4Q2K/8 b - -,a6a8
r4rk1/2qnbpp1/1p2p2p/p1pnP3/3PN3/3QBNP1/PP3P1P/R2R2K1 w - -,a1c1
rn1qn1rk/pp2b2p/3p1p1P/2pPpPpR/2P1P3/2NBBP2/PPKQ4/6R1 w - -,g1g4
1r6/6k1/3p2p1/p1qPpp2/2P4p/4P1nP/P2Q1NPK/4R3 w - -,e3e4
6k1/1p1R1p2/3n1rp1/4p3/3pP1Pp/P2B1P2/1P4KP/8 w - -,f3f4
rnbqk2r/ppppbpp1/4pn1p/8/3P3B/5N2/PPP1PPPP/RN1QKB1R w KQkq -,b1d2:c2c4
8/2p1r2p/3rk1p1/R3p3/8/4N2P/5PPK/8 b - -,c7c6
8/pp6/2pk1p2/3p2p1/1P1P1KP1/P1P5/5P2/1b1B4 w - -,f4e3
r1bqr1k1/bpp2ppp/p2p2n1/4N2n/3PP3/2P4P/PPBN1PP1/R1BQR1K1 b - -,d6e5
6k1/1p4r1/p2p3b/3Pp3/2N1q1r1/1PK1RRBn/P7/3Q3N b - -,h6e3
r1bq1rk1/pp2ppbp/1n3np1/3P4/Q1B5/2N2N2/PP1P1PPP/R1B2RK1 w - -,a4b3
r1b1k3/pp3p1p/4p3/3pb2q/1P4n1/1R3NrP/P3Q1P1/2BB1R1K b q -,e5c7
rn1qkb1r/pp3ppp/2p1pn2/3p3b/3PP3/2N2N1P/PPP1BPP1/R1BQ1RK1 w kq -,e4e5
r1bq1rk1/pp2bppp/2npp3/3nP3/2BP4/2N2N2/PP3PPP/R1BQR1K1 b - -,d6e5:d5c3
3r1b1r/pp4p1/2B5/5k1p/8/2B5/PP3PPP/3RR1K1 b - -,d8d1
r1bqr1k1/ppp1pp1p/1n4p1/2PPb3/8/2N1B2P/PP1Q1PP1/R3KB1R b KQ -,e5c3
rnbqkbnr/pp2pppp/2p5/3p4/4P3/5Q1N/PPPP1PPP/RNB1KB1R b KQkq -,d5e4
r3r1k1/1bqn1pp1/p2b1n1p/1pp2N2/4P3/P1N1B2P/1PQ1BPP1/2RR2K1 b - -,d6h2
q5k1/1b3ppp/p3p3/1p2P3/1P2pPP1/P7/2Q1B2P/7K b - -,a8d8
8/8/7p/4kp1n/6p1/6P1/3N1K2/8 b - -,f5f4
