8/1r5p/2p3k1/4Pp2/1PP2K2/2B3PP/8/8 w - -,e5e6
2r3k1/2q2pp1/4p3/1p1pP1p1/1Pr2P2/3Q2PP/R3N2K/4B3 b - -,c7b6
1nr2rk1/pb3ppp/1p1ppq2/1B6/P2PP3/1PB2PP1/3Q3P/2RR2K1 w - -,d2e3
r1b1rbk1/1pq2pn1/2pp4/4n1p1/2P1PN2/1PB3P1/2Q1NPB1/3R1RK1 w - -,f4d3
N1B1k2r/5p1p/p1pB1bp1/1p1p4/8/6P1/PPP2P1P/5K2 w k -,a8b6
r1bq1r1k/n6R/4p1p1/pP1pP1P1/2pP1p2/P1N1B1N1/6K1/R2Q4 b - -,h8h7
r2q1rk1/5pbp/1pn1b1p1/p1pnp1N1/8/P2P2P1/1PN1PPBP/1RBQ1RK1 b - -,e6c8
2rrn1k1/4q2p/p2p2p1/2p1Pp2/2P2P2/3R1B2/PP2R1QP/7K b - -,d6e5
r3r1k1/1p1q3p/p2p1p1b/3P1P2/1Q1p4/3B1R2/PP4P1/R5K1 b - -,h6e3
6k1/3R3p/8/6P1/6K1/b7/8/8 w - -,g4f5
4r3/pQ3pk1/3q1p2/6r1/8/8/PPP5/1K3R1R b - -,d6d5
4rrk1/p1qp3p/1p2pbp1/8/2nPNP2/2P4R/P2BQ1PP/5RK1 b - -,c7c6
2N1rb1k/1p1q3p/p1n1bp2/4p3/P6R/2Pn1Q1P/5PP1/R1B3K1 b - -,e8c8
r3kb1r/pp1n1ppp/2p1p3/3n4/3PN3/2PB3P/PP3PP1/R1B1K2R b KQkq -,d5f6
r1bqk2r/2ppnpbp/p1n3p1/1p4B1/B3P3/2N2N2/PP3PPP/R2Q1RK1 w kq b6,a4b3
7k/5Qbp/6p1/5p2/1N1p4/r1q3P1/5P1P/1R4K1 b - -,a3a8
8/1p2q2p/p1p3p1/2Pk1p2/1P3P1P/2Q3P1/7K/8 b - -,e7e2
rnbq1rk1/pp2ppbp/2pp1np1/8/3PP3/1BN2N2/PPP2PPP/R1BQ1RK1 b - -,c8g4:d8c7:d6d5
3rnrk1/1q3pp1/1pbpp2p/p4n2/PPP1NQ2/2N1P2P/3R1PP1/3R1BK1 w - -,b4b5
6k1/pp3pp1/2p5/3p2q1/PPnBr3/2Q1P2R/6P1/5K2 b - -,e4h4
r1br2k1/pp3pp1/3b1q1p/8/8/1Q1P1NP1/PP3PBP/R4RK1 b - -,a8b8
1n1r2k1/3P1q1p/3R1ppP/1pr1p3/4P3/1Q2N3/5PP1/3R2K1 w - -,e3d5
5rk1/1b1pqr1p/pp1p2n1/3PpBp1/2P1Pp2/PPN3PP/4QP2/R4RK1 b - -,b6b5
rnb1k2r/pp3ppp/3qpn2/3p4/3p4/5NP1/PPP1PPBP/RN1Q1RK1 w kq -,f3d4
8/7p/1kp5/7r/4p1R1/4P1P1/8/5K2 w - -,g4e4
r2qr1k1/pb2bpp1/1p2nn1p/1BppN3/3P4/P1N1P2P/1PQ2PPB/3R1RK1 b - -,e8f8
3rr1k1/4bpp1/6q1/3bP1p1/1ppPN1n1/6N1/1P2Q1PP/3R1RBK b - -,g4h6
5r2/1p2k2p/1Np5/p6b/2P4P/1P5B/P1nRK3/8 w - -,e2d3
8/5p2/8/p1pbk1p1/7p/1P1BKP1P/P5P1/8 w - -,d3b5
8/p5p1/3k1p2/5P2/2p4p/P2K3P/6P1/8 w - -,d3c4
5r1k/1p4p1/p6p/2n5/P1P5/1P2NB1P/1R3PK1/4r3 b - -,c5d3
rnb1k2r/1pq1bppp/p2ppn2/8/3NP3/2NBB3/PPP2PPP/R2Q1RK1 w kq -,f2f4
r2qk2r/pp1nbppp/2p1pn2/3pN1B1/3P4/2NPP3/PP3PPP/R2Q1RK1 w kq -,f2f4
1rb1rbk1/2qn1ppp/pp1p4/2pPp3/P1P1nP2/3BPQN1/1P1B2PP/2R2RK1 w - -,g3e4
8/3R1p1p/1k2r1p1/p3B3/1pb2P2/P6P/6P1/4K3 w - -,a3b4
8/4kppp/3rp3/p1p2n2/PpP2PP1/1P2P2P/3R1KB1/8 w - -,d2d6
5rk1/1p3ppp/2p1p3/4N3/1b1PbB2/R3P3/5PPP/5BK1 b - -,b4a3
rnbq1rk1/pp2ppbp/6p1/3n4/3P4/1QN2N2/PP2BPPP/R1B1K2R b KQ -,d5c3
R7/8/8/5p2/7k/5K2/1r4p1/8 b - -,g2g1n
3b3k/6q1/2p1Q2p/p3P3/1p1p1P2/3B1K2/PPP4P/8 b - -,g7f8
8/1p6/1k6/p7/5P2/1P3B1R/P1K5/5r2 b - -,f1f2
4r3/1bp3bk/p2p2pp/1p3qB1/1P1p1PPQ/P2P4/2P4P/1R4K1 b - g3,f5d5
r4rk1/ppq1b3/2b1pn1p/8/7B/3B4/PPP1QPPP/3RR1K1 w - -,e2e6
8/bk5p/6p1/1N3p2/8/6PP/4KP2/8 w - -,b5a7
4n1k1/1p5p/p3p3/1b4p1/6P1/P1P4P/5B2/4R1K1 w - -,e1e6
2rq1rk1/p2npp1p/1pbp2p1/8/P1P1PP2/1PN5/3QB1PP/R2R2K1 b - -,d7c5
8/3k4/3Br3/2P5/2K1b3/8/7R/8 b - -,d7c6
5k2/8/p1q2p1Q/8/r6p/4P3/5PP1/6K1 b - -,f8e8
6k1/p5p1/2p3np/r3p3/2P1N3/2R3Pb/PR3P1P/6K1 b - -,g6e7
8/5R2/8/1p1p1b2/p2k1p2/P4P2/3K2P1/8 b - -,d4e5
6k1/5p1p/pn4p1/1N2r3/P2R4/1P4P1/7P/6K1 w - -,b5c7
3r2k1/p5b1/4q1p1/1N2Pp1p/5Pn1/1P3Q2/2R5/1KB5 b - -,g4e5
5rk1/1b4pp/2n2b2/1p6/2p5/8/1PN1RPPP/1RB3K1 b - -,b7c8
r5k1/2b1qrpp/2p5/ppPp3Q/3PpP2/2B1P2P/PP4R1/1K4R1 b - -,a8f8
7R/8/8/3p4/1Pk1r1p1/3N4/3K3P/8 w - -,h8c8
8/1Q2k3/2p5/8/1P6/P4q2/5bRP/3r1R1K b - -,e7d8
r2b1k2/3P1p1p/2N1pnp1/1p6/3R4/2P5/1P3PPP/3R2K1 w - -,g2g3
2kr4/2pr2p1/p3ppn1/2p2nPp/2PP4/2K1BN1P/PR3P2/1R6 b - -,d7f7
1r4k1/5p1p/2R3p1/r2p4/pb1P4/2N3P1/1P3PKP/4R3 w - -,e1e2
3r4/2k2p1p/2p1b1p1/1pb1p3/4P3/1PN2P1P/1PK1N1P1/3R4 w - -,d1d8
r1b1rnk1/pp2qpb1/2pp2p1/6n1/1PPP3Q/2N1P3/PB1NBP2/2KR3R b - -,a7a5
r3r1k1/pppq1p2/2np1n2/5bpp/P1PPp3/1NP1P2P/5PP1/R1BQRBK1 b - a3,a7a5
1r2r2k/1b3pp1/pp1p1n1p/4q3/3NP3/2P2P2/1PB1Q1PP/R3R1K1 b - -,d6d5
r5k1/p5b1/1p1NpPpn/7p/5P2/6PP/PP3BK1/2R5 b - -,g7f6
r4rk1/1p1b1pp1/p3p2p/q1npP3/5P1B/2PBPR2/P1Q3PP/R5K1 w - -,f3g3
2rr2k1/1q3pp1/pn1Pp2p/3n4/Pp1P1B2/1Q3B2/1P3PPP/2R2RK1 b - -,b7d7
1r2k3/5p1p/3P2p1/4Pp2/2pK4/pbN5/5RPP/8 w - -,f2e2
2r1r1k1/3nqp1p/bppbpnp1/p2p4/2PN1P2/PPNPP1P1/1B2Q1BP/R4RK1 w - -,b3b4
8/pp4k1/2b3p1/4rp2/8/1B4KP/P1R2PP1/8 w - -,f2f4
2rr2k1/pp3ppp/1qn1pn2/3NN3/3P4/8/PP2QPPP/1B1RR1K1 b - -,d8d5
q5k1/4bppp/1n2p3/pP1p4/2rP1B2/2NQP2P/5PP1/R5K1 w - -,c3d1
8/1R3p2/5p1k/7P/4PKP1/5P2/rp6/8 w - -,f4f5
r1b1k2r/1p2q1pp/p1n1pn2/2pp4/3P1P2/2N2NP1/PPPQ2BP/R3K2R b KQkq -,e8g8
rn1q1rk1/p1p3pp/3p1n2/2Pbpp2/8/Q3BNP1/PP2PPBP/R4RK1 b - -,d5f3
1r6/5k2/4n1pp/1P1B1p2/p1pN1P1P/P2p2P1/1P1K4/8 b - -,b8b6
3r4/3q1pkp/2n3p1/1p6/1P1P4/5Q1P/3N1PP1/R5K1 w - -,d4d5
4k3/8/4bK2/5P2/1r4P1/4N3/8/8 w - -,f5e6
r3k2r/pp1b1ppp/3p1n2/1Bp5/4P3/B1R5/P4PPP/5RK1 w kq -,b5e2
2r1b1k1/6p1/p3p3/3pN1bp/1p1P4/2PQ1RPq/P1B4P/6K1 b - -,g7g6
2r2k1r/2q1bppp/b1N1p3/p3n1P1/Bp2PB2/5P2/PpP2Q1P/1K1R3R b - -,f7f6
r4rk1/pp1q1ppb/2pnpb1p/3p4/P2P1PP1/1P1BP3/1BPN3P/R2Q1RK1 b - -,a8c8
1Q6/p4p2/1p1kq1p1/5p1p/2p5/P7/1P3P2/2K5 b - -,d6e7
6q1/p3R1pk/1pb4p/4R3/1Q1P1r1P/1P6/P4P1P/6K1 w - -,b4d2
r2qk2r/4npbp/p2p4/3P1p2/4p3/N1PB4/PP3PPP/R2QK2R w KQkq -,d3c2
2r1r3/p1P4k/3B1npp/PPQ2p2/2q1pP2/1bN3P1/6BP/1R4K1 w - -,b5b6
r1bq1rk1/pp1p1ppp/2n1pn2/8/1bPNP3/2N2P2/PP4PP/R1BQKB1R w KQ -,c1e3:f1e2
2k5/1p1r1b1p/pb3p2/7p/2p1PP1P/P5P1/1KP2N2/2N2R2 b - h3,d7d2
3r2k1/2p2pp1/4q3/2P1P2p/PB2Q1b1/2KP4/8/R7 w - -,d3d4
8/1B2p3/3p4/8/3bP1p1/3k2P1/5r2/1R3K2 w - -,f1e1
8/5r2/p2p1k2/1p1P4/4rppp/2PR4/PPR3K1/8 w - -,b2b3
1rr2k2/5ppp/1Rn1p3/p2pP1P1/P1p5/2P2N2/P3KP1P/1R6 b - -,b8b6
r1bq1rk1/1p4pp/p3pb2/1npp3Q/5P1P/1PN3P1/PBPP2B1/2K1R2R b - f3,f6d4
8/5k2/p2p4/1pp3Q1/4P3/1Pq2bPK/P1P4P/R7 b - -,c3a1
r1bq1rk1/pppp1pp1/2n2n1p/8/2BNP3/8/PPPQ1PPP/RN2R1K1 b - -,f8e8
5b1k/p3p2p/1p2Q1p1/3Ppp2/4P3/4BqP1/PP5P/6K1 w - -,e6e5
6k1/1p3p1p/4b1p1/pP1p4/n2r1BP1/8/4BP1P/R5K1 w - -,f4e3
2r2rk1/pp3pbp/4p1p1/3pP3/n4P2/2P1BN2/PP4PP/1R1R2K1 b - -,a7a6
8/1p3k2/8/7P/p2B4/2P2P2/1Pb3P1/6K1 b - -,b7b5
r2qk2r/pp1nppbp/3p1np1/1BpP4/P3P1b1/2N2N2/1PP2PPP/R1BQK2R w KQkq -,e1g1
1q2rnk1/6bp/1BQ2np1/3Ppp2/4P3/5NPP/1P1N1PK1/2R5 w - -,d5d6
1r4rk/ppqn1p1p/4pp2/1QP5/3P4/6P1/P4PBP/2R1R1K1 b - -,f6f5
8/7R/5k2/6p1/n4P1P/2p1N3/5PK1/3r4 b - -,g5f4
2r3k1/1pr2p2/p2R2pp/n1B1P3/1P3PP1/P6P/6K1/3R4 b - -,a5c4
8/pp2N2R/8/2k1p2p/P1P2b2/3P1P2/2P1KP2/r7 w - -,e7d5
r4rk1/p2bppbp/1pnq2p1/2R3N1/8/3PB1P1/P3PPBP/1Q3RK1 w - -,c5d5
r2q1rk1/1b2bpp1/p3pn1p/1p1pN3/3P1P2/P1NBPQ2/1P4PP/R4RK1 b - -,f6d7
8/2p2k1p/1pn1q1p1/p3Pp2/2P2P2/1PK1B1P1/7P/3Q4 w - a6,d1d5
1rb1k2r/3p1pp1/pQp1p3/4Pn1p/4NP2/1PPB4/P5PP/R3K2R b KQk -,b8b6
3N4/5ppp/1p3b2/2p5/k3p1P1/8/4PPKP/3R4 w - c6,g4g5
8/8/1p4p1/p3pp2/P3Pk1P/R4P2/1R4KP/3q4 w - -,e4f5
8/8/1k6/1P2n1p1/1K4P1/3B4/8/8 w - -,d3f5:d3e2
3rr1k1/ppp1qp2/2nn3p/3Q2p1/3Pp3/P1N1P1P1/1P3PBP/2R1R1K1 w - -,b2b4
5r1k/p5pp/1pP1Q3/8/8/7P/P1n2qP1/4R2K w - -,e1e4
r2qk2r/pbp1npb1/1p1ppnpp/8/3PP3/N1PBBP2/PP1QN1PP/R4RK1 b kq -,a7a6
r1bqk2r/pp1pnpbp/2n1p1p1/2p5/2P5/P1N3P1/1P1PPPBP/1RBQK1NR w Kkq -,b2b4
r7/1k4pp/1p6/8/4Q1n1/2N3P1/1q3P1P/2RK4 b - -,b7b8
6k1/7p/p3pPp1/r2pP3/2pN2P1/2P1Q3/5K1R/1q1b3R w - -,f6f7
r3br2/3n1pkp/pq4p1/2pP4/1pN1P3/1P2Q2P/4BPP1/2RR2K1 b - -,b6a7
8/3k1K1R/5P2/8/8/5r1p/8/8 w - -,f7g6
r4r1k/2q1bppp/p2p4/3QnBPP/1p2PB2/6R1/PPP5/2KR4 b - -,a8b8
5Rk1/8/p3p1q1/1p1pP1pp/3P2p1/P2NP3/1P4K1/3Q4 b - -,g8f8
1rbq1rk1/p3ppbp/n2p1np1/2pP4/2N1P3/2N5/PP2BPPP/R1BQ1RK1 w - -,c1f4
3r3k/1R6/7p/P2P4/b5R1/1pP1K2P/6P1/4r3 w - -,e3f2
r4rk1/1p1nppbp/p2pb1p1/8/3NPPP1/qP2B2P/P1P3B1/1K1RQ2R b - f3,d7b6
3r2k1/1bq2pp1/1bn1P2p/1pp5/5P2/PP4PP/1BQR2BK/8 b - -,d8d2
2r5/p4kp1/1p1b1pnp/1P1p4/P2P3P/5NP1/3B1P2/R5K1 b - -,c8c2
3rr3/ppp3kp/1n3pp1/1b6/1q2P1N1/1PN1Q2P/P4PP1/3RR1K1 b - -,g6g5
3r1rk1/p4pbp/2Rp1np1/8/3PB3/q3B1PP/P4P2/3QR1K1 w - -,e4g2
r1b1r1k1/1ppn1pb1/6pp/p3p3/2B1P2B/2P5/PP1N1PPP/3RR1K1 w - a6,a2a3
6k1/r1n1b1pp/r3p3/3q3b/1p1B1PB1/3P1N2/P1P1R1QK/1R6 w - -,e2e5
r3k2r/ppqbbppp/4pn2/P1p5/8/2N3P1/1PPP1PBP/R1BQK2R w KQkq -,a5a6
6k1/1p1n1p2/1bpn1q2/3p2pp/P2Pr2N/3QB1P1/2R2P1P/3R2K1 w - -,h4g2
2r2bk1/p5p1/4qp1p/2pnp3/2N5/2P2NPP/PP2QPK1/3R4 w - -,e2e4
3N2k1/6pp/1b6/1p6/4r3/1P4P1/2PR3P/5K2 b - -,b6a5
7R/8/8/4K3/8/6k1/5r1p/8 w - -,e5e4
r3k2r/3b1pp1/nqpp1n1p/2b1pP2/p3P2N/Pp1P4/1PP1Q1PP/RBBNK2R w KQkq -,h4f3
r3r3/1kp5/4p1p1/pp5p/2n1PR1P/PP4P1/2P5/2KBR3 b - -,c4a3
rn1qk1nr/pbpp3p/1p2p1p1/5p2/1bPPP3/2NB4/PP2QPPP/R1B1K1NR b KQkq -,f5e4:g8f6
5rk1/1p1b2pp/1q1bp3/3p4/r4P2/3N3P/3Q2PB/2R2RK1 w - -,g1h1
3r1k2/1R4p1/p2Pp2p/4K3/4N1P1/P3rP1P/1P6/8 w - -,e5f4
1q3rk1/6pp/Q3p3/3R1pP1/1b3r1P/1PB2P2/1NP5/1K4R1 b - -,b4c3
3r4/pp4pp/5k2/5p2/5P2/2N3P1/PP2B2P/2K5 w - -,e2f3
2r2rk1/pp2n1pp/1q3p2/4p3/1b1pP1Q1/5NP1/PPP2PKP/R1B2R2 w - -,a2a3
3r1rk1/p3qppp/1n1pb3/2p1p3/1PP1P3/P1B2P2/3QB1PP/2RR2K1 w - -,c3a1
r1bqrnk1/pp2ppbp/2p3p1/3n2B1/2BP4/2P2N2/PP1N1PPP/R2QR1K1 b - -,c8e6
2r4k/pp1Rb3/7p/1np1Ppp1/8/P4PP1/5B1P/6K1 w - -,d7e7
3k4/pp2bR2/q7/3QP1pp/8/2B5/1P4KP/8 b - -,d8e8
2r3k1/p4pp1/1p2pb1p/4n3/2qBP3/PQN4P/1P3PP1/3R2K1 w - -,b3c4
1r5k/1P3ppp/4p3/4b3/Q7/2rp1P2/6PP/1RR4K b - -,h7h6
2r1r1k1/pb3ppp/1p6/1Bnp2q1/3N4/PP2P2P/4QPP1/2R2RK1 b - -,e8d8
r1bq1rk1/ppp2ppp/2np1b2/2n5/2N1P3/2P1BN1P/PPQ1BPP1/R3K2R b KQ -,c5e6
8/5pk1/4p1p1/1R2P3/2r1P3/3nBK1P/5PP1/8 b - -,c4b4
r4rk1/1p1nb1pp/p4p2/2Pp4/1P1P4/3N1P2/4K1PP/R1B4R w - -,d3f4
r5rk/p1q1np1p/bp1p1p1B/2pPpP2/2P1P3/2P3QP/P3B2K/R4R2 w - -,g3h4
