7k/8/1p4p1/p1p4P/P1Pr4/8/3pBK2/3N4 b - -,g6h5
6k1/1p2Qp1p/p2p2q1/3P4/8/5R1P/PP4PK/2r5 w - -,e7e3
4r1k1/p5p1/2p2p2/2Pr2p1/2Q3Pn/1P2q3/PB5P/4R2K w - -,e1e3
3rk2r/pp3ppp/2n1b2q/2B5/8/P3QNP1/1P2BKP1/2R5 w k -,f3g5
r1bq1rk1/1p4b1/p2p2pp/2pPpn2/2P1N3/3B4/PP3PPP/1RBQ1R1K b - -,b7b5
2b2rk1/7p/r3p1p1/1pp2p2/8/P2B1P2/1PP3PP/2KR3R b - -,c5c4
2r2bk1/7p/r5p1/P1p1B3/8/3R3P/P5P1/2R4K w - -,e5c3
4rrk1/pqp2pbp/p2pb1p1/2n5/4PP2/P1NQ1N1P/1PPB2P1/1R3RK1 w - -,d3e2
1R6/2Rb1k1p/3r1b2/4p1p1/p2pBP2/6P1/P3P2P/6K1 b - -,f7e6
6k1/5r1p/4p3/1p6/pBbP4/2P1K1P1/8/R7 w - -,a1e1
r1bqkb1r/4nppp/p1np4/1p1Np3/4P3/N3B3/PPP2PPP/R2QKB1R b KQkq -,e7d5
2rr2k1/p1q2Npp/bp2pn2/8/1bnP4/6PB/PB1NQP1P/2RR2K1 w - -,f7d8
rn1k2nr/pp2pp1p/6p1/2p3N1/2P3b1/2P1P3/P4PPP/R1B1KB1R b KQ -,d8e8
3r2k1/1b3p1p/6pb/4p1n1/PqB5/1R3N2/1P2Q2P/5K1R b - -,b4e7
8/1R5p/P7/8/8/4r2P/2p5/2k1K3 w - -,e1f2
r1b1k2r/ppqn1pb1/2n1p3/1B1pP1p1/Q2P2P1/P1P2N2/1P1N1P2/R1B2RK1 b kq -,f7f6
r1bqk1nr/p1pp1pbp/2p3p1/8/2P5/2N3P1/PP2PP1P/R1BQKB1R b KQkq -,d8e7:g8e7
8/7p/p7/1p4P1/1P2k1KP/P4R2/8/r7 w - -,f3h3
6k1/5p1p/1r4p1/1p6/5Q2/2bq2P1/P4P1P/2R2BK1 b - -,d3d4
8/8/1k1r4/p1R3pp/2R5/1P3nP1/P4PK1/8 b - -,f3e1
2k2r2/pbp4p/1p1r4/4nnp1/2PN4/5P1P/PP3KP1/3R1BNR w - -,g1e2
rnbqk2r/ppp1p1bp/3p2p1/5p2/3Pn3/1P3NP1/PBP1PPBP/RN1Q1RK1 b kq -,b8c6
8/8/6p1/r3k2p/2B4P/3K2P1/6N1/8 w - -,g2f4
8/8/2N3pp/1pb2pk1/8/4KP1P/6P1/8 w - -,e3e2
1qrr2k1/pb2bppp/1p3n2/nNpp4/2P5/4PNP1/PB2QPBP/2RR2K1 w - -,b2e5
r1bq1rk1/5ppp/p1n1p3/1pnpP3/3N1P2/5N2/PPPQ2PP/R3KB1R b KQ -,c6d4
1r2qr1k/ppnbp1b1/2pp1npp/5p2/1PPP4/P4NP1/1BQNPPBP/2R1R1K1 w - -,e2e4
3r4/3q1k1p/1p3npQ/pP2r2n/P1Pp1p2/3P1B2/1B3P1P/R5RK w - -,g1g5
8/1p1R1pk1/1rr1p1pp/p1n5/P1P5/1P2P1P1/2B2K1P/1R6 b - -,c6d6
r1bq1rk1/ppp3bp/6p1/8/2PpPN2/3P2N1/PP3PBP/R2Q1RK1 b - -,f8f4
r1nq1rk1/pp1bppbp/5np1/3P4/8/1BN1BN1P/PP2QPP1/R4RK1 b - -,c8d6
4r3/2k5/3n2p1/p2P1p2/2p2P1p/4p2P/PPB3P1/2K1R3 b - -,c7b6
4b3/6k1/4p3/p3p1p1/PpP1Pb2/1P1P1q2/7P/3B1NK1 w - -,d1f3
2r1k2r/3pbppp/2b1pn2/N7/Pp1BPP2/3B4/1PP3PP/1K1RR3 b k -,c6a4
3R4/4npkp/4p1p1/N3n3/1p2P3/rP3P2/5P1P/5BK1 w - -,a5c4
7k/pbp2Qbp/1p4p1/4ppq1/8/2P1PP1P/PP3BP1/3B2K1 b - -,g5d8
5r2/2k1n3/pp1p2b1/3Pp3/2P1PpP1/1P3Q2/Pq3N2/1B1R1K2 w - -,f2d3
R7/3k1K2/P7/5P2/8/8/8/5r2 w - -,f5f6
5rk1/7p/p1N1p3/4Pp2/PPpBnK2/8/2b3PP/7R w - -,h1a1
3k4/4pp1p/1p2b1p1/pPn5/2P5/P3RP2/4B1PP/4K3 b - -,d8c7
5rk1/5ppp/b2r4/8/1p2B3/1P1Pq1P1/5P1P/R2R2K1 w - -,f2e3
2q1r3/2n2k1p/2r1p1pP/p4pP1/1pPp1P2/1P1R4/P3Q3/B1KR4 w - -,e2e5
2b3k1/1p1n1p1p/2pp1bpq/8/PpP1rP2/1P2B2P/2N2QPK/3R1R2 b - -,h6f8
4qr1k/1p5r/4p1Rp/3pPp2/pPnP1P2/P5QP/7N/6RK b - -,e8f7
3nR3/3R1pk1/3p1qp1/3P3p/2Pp1P2/p2n2PP/P7/6K1 b - -,f6f5
r3r3/2pn3k/b3p2p/3p2p1/pP1P2P1/5NN1/P5PP/R3R1K1 b - -,a4a3
2q3Q1/7P/p7/P1p5/4k3/1P6/1KP2p2/8 b - -,c8g8
7r/8/6R1/3P4/1PK1pP2/4Pk2/2R2P2/1r6 b - -,h8c8
r2b3r/3P2k1/3R4/p3NR2/5P2/5K2/P7/8 b - -,h8h3
5rk1/ppb2pp1/2p2r1p/2P1p2n/PP1pPnP1/3P3q/1BQN1P1P/4NRRK w - -,g4h5
3r4/5k2/p5pp/1p3p2/8/4R2P/PP3KPN/2nr1R2 b - -,c1d3
2b5/2rnbk2/pp2p2p/3p1p2/1P1P4/P2BPPP1/4NK2/1N3R2 w - -,b1c3
r3r1k1/3q2bp/2pp2p1/8/1pR1pP2/4P3/P2QB1PP/2R3K1 w - -,c4c6
1r4k1/7p/5pp1/1pr1p3/1R4P1/3P4/4PPKP/1R6 b - -,g8f7
4Q3/5pk1/p5p1/2pq4/1p1b2p1/1P6/P7/5RK1 w - -,g1h2
r3k2r/p3qppp/b1p1p3/3n4/2P5/2N1PN2/P2P1PPP/2RQR1K1 b kq -,a6c4
4rrk1/1bqn3p/ppn1ppp1/2p5/2P1N2P/3P1NP1/PQ2PPB1/1RR3K1 w - -,e4c3
6k1/5p2/1p1p1np1/2n1p2p/1BP1P3/3P2PP/1b3PK1/N3N3 w - -,a1c2
8/P4R2/r5pK/3k2P1/7P/8/8/8 b - -,d5e4
r1bqk2r/pp2ppbp/1np3pn/8/3PN3/1B3N1P/PPP2PP1/R1BQK2R w KQkq -,e1g1
2k2r1r/1p1bqp2/p3p3/2NpP1b1/3P2Pp/1PN2Q2/1P5P/R4RK1 b - -,d7c6
2b1r3/1pr3kp/p3p1pN/6P1/6P1/5R1Q/Pq3N1P/5RK1 w - -,f2d1
3rr1k1/1p2npq1/p1p1b1p1/4N3/3P2pP/P4P2/1P4K1/1BQRR3 w - -,f3g4
8/4p1kp/6p1/3b4/8/1P5P/P2r1PP1/2R3K1 w - -,c1c7
2r2rk1/p2qbppp/1np1p3/8/3P4/1QN1B3/PP3PPP/2RR2K1 w - -,d1d2
r4rk1/pp1qn1b1/3p3p/2pPpp2/1P1n3N/P2P2P1/5PBP/1RBQ1RK1 w - -,d1h5
2b1rrk1/6pp/p4p2/1p1p4/3P1P2/2P1R3/PP1N1PKP/R7 b - -,e8e3
1rb2rk1/2p1qpp1/p1np1n1p/1pb1p3/P2PP3/2P2N1P/1PB2PP1/RNBQR1K1 b - -,c5b6
8/6R1/1k4p1/p2p4/3r4/5P2/6PP/6K1 w - -,g7g6
8/3n1k2/3B1p1p/2nPp1p1/4P3/4K1PP/8/3B4 b - -,c5b7
8/3r1p1p/1pk3p1/p3p3/2P1P3/1RK4P/P4PP1/8 b - -,d7d1
r6k/r5p1/2p1qp1p/2P1p3/PP1pP2P/6P1/1RQ2P2/1R3K2 w - -,b1a1
8/1R3pk1/6p1/p6p/7P/6P1/3b1P2/5K2 w - -,f1e2
6r1/1Rn4k/p2p3p/2pPp3/2P1Ppbn/P1N5/3K2PP/5BN1 b - -,g8g7
rnb2rk1/pp2qppp/5n2/2bPp3/8/2N1P3/PP3PPP/RNBQKB1R w KQ -,f1e2
rr4k1/3nppbp/3p1np1/q1pP4/4P3/2N2NP1/PPQB1PKP/R6R w - -,h1b1
r2q1rk1/1p1b1pbp/p1np2p1/3Np3/2P1P3/1P1BBQ1P/P4PP1/2RR2K1 b - -,c6d4
8/8/4k3/7R/3r4/5P2/1P3K2/8 w - -,h5b5
4k3/pp4p1/5pp1/6P1/5B2/3r3r/PP3K2/R4N2 w - -,a1c1
r5k1/p2q1ppp/4b3/4B2r/4p3/6Q1/PP3PPP/R4RK1 b - -,f7f6
r2q1rk1/3p2pp/npp1pb2/5p2/1PPPb3/5NP1/1B1QPPBP/2RR2K1 b - -,a6c7
3rk2r/1p2bpp1/p3bn1p/3pp3/4P1PP/2N1BP2/PPP1B3/2KR3R w k -,g4g5
r1b2rk1/pp1n1ppp/2pbpn2/q3N3/3P4/1P4P1/N1Q1PPBP/R1B2RK1 w - -,e5c4
3qr3/4rpk1/3n1Rp1/p2Pp1Qp/1p2P2P/3B4/PP4P1/5RK1 w - -,f1f3
5k2/4b2p/bq3pp1/8/5P2/1QN3P1/PPP4P/1KB5 b - -,b6d4
r6k/2pbqp1p/1p3p2/pPbPp2Q/R3P3/8/4BPPP/2R3K1 w - -,c1c3
3r2k1/p3rp2/2P1n1p1/3pP3/8/1B4Kp/P4P2/3RR3 w - -,b3d5
6k1/7p/p3p1p1/1p6/2pP1rP1/q1P5/P5QP/4R1K1 b - -,a3c3
r5k1/1p4bp/2pN2p1/p7/2P2Pbq/1P2RN1P/P2Q2P1/3n3K b - -,d1f2
5rnk/p1qbnrbp/3p4/2pP1p1N/PpP2BP1/1P1B3P/R2Q2KN/6R1 b - -,g7c3
3r3k/6pp/2pqr3/R2n1p2/2P1p2P/1Q1P2P1/2P2PB1/R5K1 b - -,d5f6
3K4/8/p7/6pp/2P3k1/8/P3p1PP/5R2 w - -,f1e1
r1q4k/p4rpp/3Rbp2/1pP1pN2/6Q1/P1P5/5PPP/3R2K1 b - -,e6f5
rn1q1rk1/2R1p1bp/p7/1p1p1b2/3PN3/N3Q1P1/PP2PPBP/2R3K1 b - -,d5e4
4r1k1/2pn1pp1/p5qp/3PB2n/r1B2P2/4R2b/3N1QP1/4R1K1 b - -,h3f5
1r1r4/1pn2b2/pN1p1k1p/1P2bPp1/P1P1B3/4BP2/2R2K2/6R1 w - -,c2d2
r1b2rk1/p2nppb1/2pp1npp/q7/1p1PPP1B/3B1N2/PPPQN1PP/1K1R3R b - -,a8b8
7r/p2Q4/1p2pk2/7p/2P2PpP/P7/5qB1/7K w - -,d7d3
r6k/1pp3rp/3p1p1p/pPn5/4P2P/P4BP1/3R1PK1/6R1 w - -,b5b6
2k3r1/pppbqp2/4p1p1/3pP1P1/2nP4/1PQ2N1R/P1P2P2/2KN4 b - -,e7a3
r4rk1/2q1bppp/p1bppn2/1p6/3BPP2/P1NB2Q1/1PP3PP/R4RK1 w - -,a1e1
8/5Rpk/P2p2p1/3Pp3/2p1P3/3q4/2KB1p2/3N4 w - -,c2c1
r3k2r/1bqp1ppp/p3p3/4P3/1n3PQ1/1NnB4/2P3PP/R1B2RK1 w kq -,f1f2
8/5pk1/1b1qpn1p/1B4p1/P1QP4/5NPP/5PK1/8 b - -,d6d8
2rr2k1/5pp1/p3p1q1/2b1P2p/Pp6/6B1/1P2QPPP/3R1R1K b - -,b4b3
8/1p4r1/p7/4k3/P1P1pp2/1PP4P/7K/4R3 b - -,e4e3
8/5ppp/2k3b1/p1N1p3/2nPP3/2B2P2/6PP/6K1 w - -,c5b3
2b1r1k1/1p3pbp/2pq2p1/8/2Pp4/3P1BP1/Q1N1PP2/R4K2 b - -,g6g5
5k2/6P1/7K/8/8/8/8/8 b - -,f8g8
8/3k4/r2p2p1/P1ppnp1p/R7/1N1PP1PP/P1PK4/8 w - -,d2e2
rn1qk2r/pppbppbp/5np1/8/2Q1P3/2N2N2/PP1P1PPP/R1B1KB1R b KQkq e3,e8g8:a7a6
r1b1r1k1/ppq2ppp/2nbpn2/3p4/2PP4/1P1B1N2/PB1N1PPP/R2QR1K1 b - -,b7b6
8/R2kn3/2pp2p1/6N1/2rPK2P/8/5P2/8 b - -,d7e8
1r5k/8/p3p2b/4P1n1/P2B4/2P3R1/6BP/6K1 w - -,h2h4
5r1k/3r1p1p/pnNp2bp/8/1P6/P1R3PP/4B2K/3R4 w - -,e2a6
rnbqk2r/pp3ppp/3p1N2/2pP1n2/8/5NP1/PP2PP1P/R1BQKB1R b KQkq -,d8f6
1r5k/1pNbq1b1/p2pp2p/3p2p1/PP1Pnp2/Q3P1P1/2R2PBP/2R3K1 w - -,b4b5
1r1q1rk1/4bppp/1P2p3/pb1pP3/3B4/5N2/PP3PPP/2RQR1K1 b - -,e7b4
R2bk2r/5p2/5p2/4pN1p/2p1P1Q1/2Pq2P1/5PKP/8 w k h6,g4f3
r1b2rk1/ppqnbppp/2p5/4p3/2P3n1/1PN2NPP/PB2PPB1/R2Q1RK1 b - -,g4h6
r2q1rk1/bp3p1n/p1np4/4p2p/4P1bp/1NPB2B1/PP1N1PP1/R3QR1K w - -,g3h2
8/pp2B1R1/1kp5/3n1N2/8/5R2/PP4PK/4q3 b - -,e1e5
8/8/2N5/p7/k2b4/5p2/8/4K3 b - -,d4c5
6n1/p3r1kp/3R1pp1/1q6/3QP1P1/1P3P1P/P5K1/8 w - -,g2f2
8/2R2k2/4b3/8/1ppB4/3n2P1/1P5P/2r2NK1 b - -,f7g6:f7e8
5bk1/1p1q1p2/pQp3p1/7p/8/2B3PP/PP3P1K/8 w - h6,b6e3
2r1rbk1/5ppp/1p2n3/p2p4/1P2n1B1/P3N3/1B3PPP/2RR2K1 w - -,e3d5
6k1/1r2bppp/pN2p3/P1p1P3/2Pq1P2/5Q2/6PP/2R4K b - -,b7b8
r2r2k1/p2n1p2/2p3p1/7p/4PR2/2R3P1/P3N2P/7K b - -,c6c5
8/1r6/4pkp1/5p1p/pB1Pb3/P7/5K2/2R5 b - -,h5h4
1k1r3r/1p3pp1/p4n2/RB3q1p/4p3/8/2PPQPPP/5RK1 w - -,f1b1
8/8/8/6p1/1p2Kb2/2k2R2/8/8 b - -,c3c2
2r1r1kb/pp1b1p1p/1q3np1/2pp1n2/8/P1NP1NP1/1P1BPPBP/1RQ1R1K1 w - -,e2e3
1r1R1rk1/p6p/2p1b1p1/2B2pN1/7P/1Pn1pP2/P1P3P1/2K2B1R b - -,f8d8
1r1qn1k1/1b2rppp/pN2p3/2Pp4/4P3/P3QB2/1P1R1PPP/3R2K1 w - -,d1e1
6k1/7p/4qpp1/1pr5/2r5/1QP1b2P/PB4P1/4RR1K b - -,c5e5
2kr3r/pn1q3p/1p2p1pn/3pPp2/b1pP1PP1/B1P1N2P/2P1BR2/R2Q2K1 w - -,a3b4
rnbq1rk1/ppp1bppp/5n2/3p4/3P4/3B1N1P/PPP2PP1/RNBQK2R w KQ -,e1g1:b1c3
3B4/3n1pk1/5n1p/4p1p1/3PP3/1B2K1PP/8/8 w - -,d4d5
8/5r1k/1Q1R1R1q/8/8/5K2/6P1/8 b - -,h6h5
rn1q1rk1/1bppbppp/1p2p3/p7/2PPn3/PPN2NP1/3BPPBP/R2Q1RK1 w - -,d1c2
r2q1rk1/1p3ppp/p2pb3/3Np1b1/3nP3/3BN3/PPP2PPP/R2QK2R b KQ -,g7g6
r4b2/3q3k/p3p1pp/1p2P3/2p2P2/Pb1p1R2/1P1Q2PP/R3N2K b - -,a8d8
8/2k5/p1P2Pp1/3pn1P1/3N4/p1P1P3/Pr6/R5K1 w - -,a1f1
8/r3pk2/3p1n2/2pP1p1p/P7/1P1R3P/5rP1/4BK2 w - -,f1f2
8/ppk2pp1/3np1p1/1P6/8/1P1B1P2/5PKP/8 w - -,g2g3
4k2r/Qpq1bppp/2n1pn2/1BP5/8/N1P1BP2/PP3P1P/4K2R b Kk -,e8g8
7r/4kp2/pp1p1b2/3PpP2/3r3p/P1N5/1P4PP/4RRK1 b - -,f6g5
6R1/4pp1Q/3p1k1p/3P2p1/8/6K1/5P2/6q1 w - -,g3f3
rnbqk1r1/p4pP1/2p1p3/1p6/PbpP3p/2N2N2/1P3PP1/R2QKB1R w KQq -,h1h4
1r1q1rk1/3bbp1p/pn4p1/1p2N2Q/3PB3/P1N5/1P3PPP/R3R1K1 w - -,h5f3
8/pQ6/1n1kn2p/3r4/6p1/2B3P1/PP5P/7K w - -,b7a7
8/ppp5/2b2k2/5P2/8/5pP1/PPPN4/4K3 w - -,e1f2
r5k1/1p3pb1/6pp/1Pn1P3/2pN1Q2/2q2N1P/5PP1/4R1K1 w - -,g1h2
r2qk2r/ppp2ppp/5b2/4p3/3nP3/2N2B2/PPP2PPP/R2Q1RK1 w kq -,f3g4
r1b2rk1/pp4pp/5q2/3pN3/2p3B1/P1P3Q1/2n2P1P/R1B2K1R b - -,c2a1
r4rk1/pp4bp/2n1p1p1/2Pp1q2/5P2/2P1BP2/PP1QN2P/2KR3R b - -,f5h3
r1bqkbnr/pp3ppp/2n5/2ppp3/8/3P1NP1/PPP1PPBP/RNBQK2R w KQkq -,e1g1
5rk1/4qppp/3Q4/3R4/8/7P/6PK/8 b - -,e7h4
r1bq1rk1/4bppp/p1p2n2/4p3/N2pP3/1P1B4/PBP1QPPP/R4RK1 w - -,h2h3
8/8/6k1/1p6/8/PR1b2P1/1P3n2/2K5 w - -,b3b4
r1b2rk1/1p2ppbp/2np1np1/2q5/p1P1P3/6PP/PP1NNPB1/1RBQ1RK1 w - -,e2c3
8/6b1/8/2n4P/p1R1n3/P4N2/6P1/1K1k4 w - -,c4c1
r4rk1/ppq3bp/2p3p1/2Ppp3/1P1Pn1b1/4PN2/P2BB1PP/2RQ1RK1 w - -,f3e5
2bq1nk1/6b1/pp1p1npp/2pP1p2/P1P5/2N2N1P/1P1B1PP1/4QBK1 w - -,f1d3
1r6/q2bbpk1/1n1p2pp/3Pp3/1pN1P2P/6P1/1PRQBPK1/2N5 w - -,b2b3
6k1/1pp5/p2p1n2/4nNb1/8/2P2K2/PP6/6R1 w - -,f3e2
2n5/8/k2p4/3PpNP1/4P3/2pb1BP1/6K1/8 w - -,f5e3
rn1q1rk1/pb3ppp/1pp1pn2/3p4/1bPP4/5NP1/PPQNPPBP/R1B2RK1 w - -,e2e4
7r/ppk1b2p/3q1p2/2p4Q/3Pp3/2P3P1/PP5P/R4RK1 w - -,a1d1
R3r1k1/5pp1/2Nn1q1p/2pP4/2P2B2/3Q2P1/5PK1/8 b - -,e8a8
r1br2k1/p4pbp/2ppP1p1/2p5/4P3/2NP1R2/PPP3PP/R1B3K1 b - -,c8e6
rn1qr1k1/1bp2pbp/p2p1np1/1p2p3/PP2P3/2PP1N1P/2BN1PP1/R1BQR1K1 b - b3,c7c5
8/1p3r1k/p4rp1/3b2p1/8/1PP3P1/3R3P/3R2K1 w - -,d2d5
4r1k1/1bp2p1p/5Bp1/1Q4P1/4P2P/1p3n2/1N6/qBK4R b - -,a1a8
2kr3r/ppp1bp1p/2b3p1/2q1P3/2P3n1/1QB2N2/PP2BPPP/R4RK1 w - -,a2a3
r1b2rk1/2q1b1pp/p1n1pp2/1p2P3/1PpP1P2/P3BN2/4B1PP/R2QK2R w KQ -,e1g1
r1b1r1k1/pp3p1p/1nP3p1/4P3/1qBQP3/2N3P1/P6P/2R1K1NR b K -,b4c4
5rk1/2PB1p1p/3b2p1/8/3R4/1N5P/5PP1/3b2K1 b - -,d1b3
q2rr2k/2p2pbp/1p1pnnp1/pP2p3/P1P1N3/B1NPP3/4QPPP/3R1RK1 w - -,h2h4
1r2q1k1/1p2b1pp/pN1p4/PnpPpr2/7P/2P5/1P3PP1/R1BQK2R w KQ -,d1g4
