8/8/8/4n1K1/8/2k5/p7/N7 b - -,c3b2
r2qkb1r/3b1pp1/p2ppn1p/4n3/Np1NP1PP/4BP2/PPPQ4/2KR1B1R w kq -,b2b3
k7/5p2/6p1/8/8/4KP2/6P1/8 w - -,e3e4
8/8/p1r2pk1/3R4/P4PK1/8/8/8 b - -,c6c4
6R1/5r2/5k1p/p1p5/4Bb1P/P4P2/1PP5/1K6 b - -,f7d7
3rk2r/pb2qpp1/2p2n1p/1p2b3/4P1P1/2NB4/PPQB1P1P/2KR2R1 w k -,f2f4
3rr1k1/pppb4/3p2p1/3Pbpqp/8/3B1QNP/PP2RBP1/4R1K1 w - h6,g3f1
8/2r1k1p1/1p2p2p/2b1p3/Pp6/1P2PK1P/2R2PP1/3R4 b - -,c7a7
2k5/2p1bppp/1p2p3/1N6/7r/1P2PP2/P1PK3P/7R b - -,h4h5
4b1k1/2qnnppp/1p2p3/pP1p4/3P4/PQ1BPN1P/4NPP1/6K1 b - -,e7c8
r1bq1rk1/pp2b2p/2p5/3PNp2/3P3p/2nBP3/PPQ2P2/R3K2R w KQ -,b2c3
r5k1/5ppp/pP1N1n2/8/1bp5/2N1rP2/1P1R3P/3R2K1 w - -,d6c4
7k/1bq2pp1/1p2p1np/p7/P7/2P2pPP/1P1Q1K2/2NB4 w - -,d1f3
2k5/pR5p/2B1bb2/1pP5/1P1P1q2/2N1p3/P6P/1R5K w - -,c6g2
8/5R2/1P1p4/1K6/2P5/4b3/4kp2/8 w - -,b5c6
3rk2r/pp4pp/2pBppb1/b1Pn1q2/3P4/1B5P/PP2NPP1/R1Q2RK1 w k -,b3d5
2b3r1/6qk/1p2p1pp/5n2/PbPpB1N1/3Q1RPP/1P2RP2/6K1 w - -,b2b3
r3qrbk/1pp3pp/1bnp1p2/3B4/p3PP1B/PN6/1PPQ2PP/1K1R3R w - -,b3c1
1r2r1k1/5pp1/2R4p/3pb3/5B2/4P2P/5PP1/5RK1 w - -,f4e5
r3rnk1/1ppbqppp/2np4/p7/2P1PP1P/P2BBNP1/1PQ2K2/4R2R w - -,e3d2
3r1rk1/ppq2pp1/4p2p/2b1N3/2P4P/1Q2P3/PP4P1/1K1R3R w - -,e5f3
r2r2k1/pp3p2/b4q1p/3n1Np1/3P4/2Rn1Q1P/PPB2PP1/R5K1 b - -,d5c3
5rk1/q5pp/r1npbp2/2p1p3/1p2PP2/1P1P2PP/P1RQN1BK/5R2 w - -,f4e5
r5k1/p3npbp/6p1/2p1P3/2N3P1/2Pr3P/PP6/R1B2RK1 b - -,e7d5
8/1Q6/P7/2q2K2/8/2pk4/8/8 w - -,f5g4
r3k2r/1bqnbppp/pp1ppn2/8/P3PP2/1NNB4/1PPBQ1PP/R4RK1 w kq -,a1e1
r1bqk2r/pp1p1ppp/2n2n2/2b1p3/2P5/2N5/PPN1PPPP/R1BQKB1R w KQkq -,g2g3:e2e3
6R1/8/Bp3k2/3bpp1p/8/7P/3r2P1/6K1 w - -,a6f1
r1q2r1k/1bp1n1bN/3pP1p1/p2P1pN1/Ppn2P2/3Q4/1P4PP/R1B2RK1 w - f6,h7f8
1kb1r3/1pb5/p1p3nr/P1N1Ppq1/1P1P2p1/3B2P1/2K1NQ2/2R2R2 b - -,e8h8
6k1/1r2p1bp/3p2p1/rn1P1pN1/1R2P3/4B1P1/5PKP/1R6 w - -,g5e6
r2qkbnr/pppnpppp/8/3p4/6b1/1P3NP1/PBPPPP1P/RN1QKB1R b KQkq -,g8f6
6r1/p3pp1k/2p4b/3rP3/N3RP1p/1P1nB2P/P6K/5R2 w - -,a4c3
5rk1/pp3ppp/8/3p4/bP1Bn3/P3PBPq/5P1P/2Q1K2R b K -,f8c8
3rr1k1/5ppp/p3qn2/3p4/3B4/5P2/PPRQ2PP/2R3K1 b - -,h7h6
8/krr2b2/8/5P2/1P3Q1K/6N1/8/8 w - -,f4d4
1n6/5R2/k2K3p/7r/2P1B3/8/8/8 b - c3,h5h4
8/8/8/2p1k3/4P1p1/3NK3/8/8 b - -,e5d6
3R4/p6p/r3bkp1/2p2p2/B7/1P3P2/P5PP/6K1 b - -,f6e5
r7/4q2k/3p1r1b/2pPpPp1/Pp4Pp/1P2B2P/2Q2RK1/1R6 w - -,g2f3
r3kb1r/ppp1pppp/2n5/qB5b/3Pn3/2N1BN1P/PPP2PP1/1R1QK2R b Kkq -,e4c3
r7/1p3kpp/2n1R3/5p2/p4PP1/P2r3P/1P1B4/1K2R3 w - -,d2c3
rn3rk1/p4ppp/bp2pn2/3q4/3P4/2P1BN2/P3BPPP/R2Q1RK1 w - -,f3d2
5k2/1p6/p2p2p1/Pn6/1PP5/6K1/8/3R4 b - -,b5c3
5k2/p4r1p/1pp3n1/3p1r2/1P6/2PPBN1R/P2K1PP1/8 w - -,h3h2
3r2R1/1p2k3/p2p3p/3P1pp1/1P1P4/6PP/P5K1/8 w - -,g8g7
3r4/pp3p1p/4k3/8/3nP1b1/3B3P/PPPK1bP1/R1B4R b - -,g4h5
8/7k/1R5P/2p3rb/8/1P6/P4K2/8 w - -,f2e3
1r1r1k2/p4ppp/3Nb3/3n4/1nN1B3/8/1P3PPP/1K1RR3 b - -,d5b6
8/8/3p2p1/ppkP3p/4KP1P/PP6/8/8 w - b6,a3a4
8/6p1/2k1p2p/1p2p3/3pP1qP/Pp1P1RP1/2KN4/8 w - -,c2b3
8/p1b5/8/1P3k2/P3p2K/5BP1/8/8 w - -,f3d1
2rq1r2/3b2bk/3p3p/1p1Ppp1n/p7/P2NBP2/1P1Q2PP/R2B1RK1 w - -,d1c2
1N3k2/5p2/p2p2pp/P2P4/4n3/2b2NP1/5PKP/8 w - -,b8a6
rn1q2k1/pb2b1pp/1pp1pr2/3pN3/2PPp3/1P4PB/PB2PP1P/R2Q1RK1 w - -,f2f3
r4rk1/bppq1pp1/p1np1n1p/8/1PPp4/P1N1PNP1/1B3PKP/2RQ1R2 w - -,c3d5
3r4/p1r1n2k/1p2q1p1/2p2p1p/P3Pb2/2PP3P/1BQ3B1/3RR2K w - -,c2f2
2kr3r/1ppq2p1/p2bpn2/3p3p/3P4/8/PPPNQPPP/R1B2RK1 w - h6,c2c4
2r3k1/1p1qbp1p/p1p3p1/4r3/1PR1N3/P2PRQP1/5PKP/8 w - -,e4c5
r4r2/1p1q1pkp/1p3np1/3p4/4n1N1/1N3Q1P/PPP2PP1/R4RK1 b - -,f6g4
2rr2k1/4pp1p/5bp1/pNNP1q2/1n2P3/1P3PPb/P4Q1P/3RR1KB b - -,f5e5
r7/p4kbp/1qp2pp1/3p4/3PrBb1/Q4N2/PPR2PPP/R5K1 w - -,f4d6
rnbqk2r/pp1pbppp/4pn2/2p5/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq -,e2e4
r1b2rk1/pppn1ppp/4p3/q7/2PP4/3B1N2/PP1b1PPP/R2Q1RK1 w - -,f3d2
4r1k1/2p4p/3bn1p1/3p1p2/1p1P1P2/1P1NP2P/rBR2KP1/3R4 b - -,e6d8
8/2k2p2/3bp2p/1p1r1p2/p4P2/P1P3P1/1PK1B2P/5R2 b - -,d6c5
2k5/7p/Pb6/5p2/5K1P/3b4/8/4B3 w - -,e1d2
4r3/6bk/6p1/p1p4p/P1B1nq1P/B1P2Q2/1P3PP1/4R1K1 b - -,f4h4
r5k1/1pp5/1b1p1n1p/pB1P1np1/P5P1/5N1P/1P2rP1B/3R3K w - -,b5e2
2b2r2/1p1p4/2pP3p/2P2kp1/R2P1P2/4K1NP/8/8 b - -,f5g6
8/1p3pk1/3q2r1/p2p1Q2/3P2P1/P1P2B2/KP6/8 b - -,g6f6
r2q1rk1/ppp1n1b1/4bnpp/Q1Pp1p2/1P1Pp3/2N1P2P/P2NBPPB/1R3RK1 b - -,b7b6
4rbk1/r7/3p2pp/pp1P1R2/3PpQ2/1P1q2P1/PB5P/2R4K w - -,f5f6
8/2p1n3/2n1kp2/2P4p/N1KP3P/4B3/5P2/8 b - -,e7d5
1k1r3r/pp1nb1p1/1qn1pp1p/3pP2P/1P1P1PP1/P2QBN2/4N3/R3K2R b KQ -,h8f8
rn1q2k1/1b3nbp/pp2Rpp1/1B1p4/P2P1p1P/BP3N2/2P2PP1/R2Q2K1 b - -,a6b5
2r3k1/p1r1bpp1/1p2q3/3p3p/3Bn1n1/PPPRPNP1/2N3K1/R2Q4 w - -,d1e1
5n2/1p5p/p1k2Np1/2p5/2P3P1/3P2KP/PP6/8 b - -,g6g5
r2qk2r/pp1nppbp/2p1b1p1/3n4/3P4/1BPN4/PP1N1PPP/R1BQK2R b KQkq -,e6f5
7r/pp6/2p1P1kP/3n2r1/7Q/8/PP3KP1/8 w - -,h4e4
3r2k1/5rp1/1p3b1p/p1n2N2/2P2PPP/3p4/P2BR1K1/5R2 w - -,e2e1
r1bqk2r/pp2pp1p/2p2bp1/5n2/3P1P2/5N2/PPP1B1PP/R1BQ1RK1 w kq -,c2c3
r1bqk2r/p4ppp/1pnppn2/2p5/2PPP3/P1PB4/5PPP/R1BQK1NR w KQkq -,g1e2
6k1/5p1p/7B/pp6/4b2b/PN6/1PK5/8 w - -,c2d2
r3k2r/pp1n1pbp/1qp1p1p1/3p3n/3PP2P/1BN1BP2/PPPQ1P2/1K1R3R b kq -,b6c7
4r1k1/4P1p1/p7/2p2P1R/2P4P/1P2q3/P2p2BK/3n4 b - -,g8f7
2r5/1b2qpkp/3p1np1/Pp2p3/1P2P3/3Q1N2/3N1PPP/4R1K1 b - -,e7d7
r5k1/1pqbbppp/8/4P3/2pNQ3/P4N2/5PPP/1R4K1 b - -,d7c6
6R1/8/6b1/r5kp/8/8/6PK/8 w - -,g8b8
8/8/6k1/PR3p2/r7/8/1K3P2/8 w - -,b2b3
1k6/p2q1p2/2nP3p/2PQ4/5R2/4rPP1/4PK1P/8 b - -,e3e5
r1bq1rk1/pp1p1pbp/2n2np1/1Bp1p3/4P3/2PP1N1P/PP3PP1/RNBQR1K1 b - -,d7d6
r1bq1Bk1/4bp1p/p1n3p1/1pppPp2/8/P1NP1NQ1/1PP3PP/R4RK1 b - -,e7f8
3q1r1k/p2nbbnp/1p1p2p1/3Pp3/2r5/2NQB1NB/PP3PPP/2RR2K1 b - -,c4c7
3bk3/4npp1/2p4p/2B2P2/4p3/1B4PP/PPP2K2/8 w - -,g3g4
r1bqkb1r/ppp2ppp/3p1n2/8/2BQP3/8/PPP2PPP/RNB2RK1 b kq -,f8e7
2kr2nr/1p2qpp1/p1pp4/4p3/4P1b1/1P1P2Pp/PBPQNP1P/R3K1R1 w Q -,e1c1
5n2/p3k1p1/1p1r3p/3n1P2/8/6Q1/PP4PP/5RK1 b - -,d6f6
5krr/2pn1q2/3b3p/pp2p2Q/4P2B/2PR4/PP3PPP/6K1 w - -,d3f3
r1b1r1k1/pp2qpp1/1npn3p/3pN3/3P4/2NBP3/PPQ2PPP/1R3RK1 w - -,d3h7
8/p1r4p/B2n1kp1/5p2/P1pP4/7P/6P1/2R4K w - -,h1g1
8/7p/4kp2/4p3/8/1P4P1/P2r3P/R5K1 w - -,a2a4
2r1r1kb/2qbpp1p/p2p2pB/1p1P4/3N4/P5PP/1PP2PB1/R1Q1R1K1 b - -,h8d4
4r3/8/P5kp/1P4p1/3QbpK1/8/7P/8 w - -,d4d6
rn2n1k1/p4r2/1p2p2p/6pP/2PPN1P1/P1P3B1/4KR2/R7 b - -,f7f2
8/8/2k5/4n1K1/8/BB6/8/8 b - -,e5d3
3r2k1/5p2/5q1p/2R1p1pQ/1pn5/5NP1/PP3P1P/6K1 b - -,c4b2
3qb1k1/1R3r2/3p4/r2Pp3/4Bp2/2N2P2/3KN3/1Q6 w - -,b7b8
2r2rk1/1pp2ppp/p2q4/2nPp3/4P3/8/PPQ2PPP/2R2RK1 w - -,c2c5
r3kbr1/pp2pp2/2bp1p1p/q7/3QP3/2N2N2/PPP2PPP/1K1R3R w q -,f3h4
2R5/8/1p6/2p3kp/8/1r4P1/5K2/8 b - -,g5g4
rqr2bk1/5p1p/4bnp1/2p1p3/1P6/2N1B3/2Q1BPPP/1R3RK1 w - -,b4c5
rqb1r1k1/pp1n1p1p/2p2np1/4p1N1/P2PP3/6P1/1PQN1PBP/2RR2K1 w - -,c2b3
8/pp2k1pp/4p3/4P3/PKPR2Pr/8/1P6/8 w - -,b4c3
5rrk/b1p3pp/7R/1pqP2Q1/p4p2/P1B4P/BPP2PP1/R5K1 b - -,c5f2
1k6/1p4p1/1P1qpp2/p5p1/3rP3/3PQ1PP/5PK1/1R6 w - -,b1b5
6k1/2p2pp1/p3n2p/1pb1P3/8/4B3/PP3PPP/3B2K1 w - -,e3c5
8/1p4kp/p1b5/8/1P1pprP1/P4n2/R4PK1/3B3R w - -,g2g3
4b3/2p3k1/1p1pn3/p2Np3/2P1P1K1/P5P1/7r/1B3R2 w - -,d5f6
8/8/8/6pp/K1k3p1/P7/5P1P/8 b - -,h5h4
r4rk1/3nppbp/B2p1np1/q1pP4/4P3/2N2N1P/PP1B1PP1/R2QK2R b KQ -,a5a6
2r5/1R3p2/3np3/2k5/N7/6P1/1P2KP2/8 b - -,c5d4
8/2p5/3p1pk1/2r4p/r1PRPPpP/2RK2P1/2P5/8 b - -,a4a1
r2qkb1r/pppb3n/2np1p2/4P1p1/4PPPp/2N1B2P/PPPQN1B1/2KR3R b kq -,d6e5
8/7p/8/p7/P4k1p/1P3P2/3N2K1/4b3 b - -,e1d2
5nk1/2pq1rp1/bpNp3p/2NP4/p4P2/P5P1/1P1Q2BP/3Rr1K1 w - -,d1e1
r3r1k1/p2qbpp1/bp1p1n1p/2pP4/PnN1PB2/1PN3P1/5PBP/R2Q1RK1 b - -,f6h7
8/2p2k2/1p6/p1pPK3/P1P2P2/4Nn2/8/8 w - -,e5e4
8/4pk2/pr1r1pp1/R3p2p/R3P2P/1P1K1P2/P5P1/8 w - -,d3c2
2r1k1r1/p4pBR/1p6/2npPQ2/q7/P1P5/2P2PP1/R3K3 b Q -,a4e4
1r1q2r1/p4p1k/4p3/5b1P/1p3Q2/4R3/PP4B1/R6K w - -,g2e4
rn1q1rk1/pbp2pp1/1p3b1p/3p4/3P4/2N1PN2/PP2BPPP/R2Q1RK1 b - -,b8d7
3r1r2/p7/1p5k/2pBbp2/P1P5/4P2P/6P1/2RR2K1 w - -,d5f3
4r1k1/p4ppp/1p1Qp3/1q1n4/5B2/1P3PP1/P3r2P/R3R2K b - -,e2e1
8/7P/8/p7/P1Bb2kP/4pp2/8/5K2 b - -,g4h4
r2q1rk1/p1p2pbp/2p1N1p1/3n4/3P4/8/PP3PPP/RNBQR1K1 b - -,f7e6
r4rk1/1p1b2pp/pq2p3/4Pp2/5PP1/PP2n2Q/1B2B2P/2R3RK b - -,f5g4
6k1/1B3ppp/3R4/4n3/p7/P5P1/1P5P/2r4K w - -,h1g2
r1b2rk1/ppqn1pbp/3p1np1/2p1p3/3PP3/2PB1N1P/PP1N1PPB/R2Q1RK1 b - -,f6h5
5R2/2r5/8/1P2k3/P2p1p1p/3P4/2P4K/8 b - -,c7c2
8/6pB/5r2/6K1/3k4/8/8/8 w - -,h7c2
7b/p3pk1p/4b1pP/1R1rP3/5B2/5PP1/P3B3/1K6 w - -,a2a4
8/5p2/p1b2k1p/1pPpr3/1P4p1/P5P1/5PBP/3R1K2 w - -,h2h4
2rqnrk1/1p3ppp/p1npb3/4b3/4PB2/1NN1Q3/PPPRB1PP/3R3K b - -,d8f6
r2r4/1b1nkp1p/2pRpp2/2P5/p4P2/P3P3/1B2B1PP/2KR4 w - -,b2c3
4r1k1/5p2/r2p1np1/1q1PnNQp/p1p4P/5P2/4B1P1/R3R2K w - -,g5f6
1rr2bk1/1q3p1p/np1p2p1/pQnPp3/P3P3/N1N1BPPP/1P3RK1/3R4 b - -,b7e7:a6b4
8/8/1p1r1k2/pR2p3/8/P4P2/1P4P1/6K1 b - -,f6f5
rnb2rk1/pp1p1ppp/1q1b1n2/2pP4/8/N1P2P2/PP4PP/R1BQKBNR w KQ -,a3c4
4nr2/1p2qp1k/r4bpP/p1pPp2P/P1N1P3/2N2Q2/1P3P2/R3K2R w KQ -,e1c1
4r2k/5qb1/p2p4/1p1b3p/3p1pB1/P2N1P2/1P1Q2PP/2R4K w - h6,g4h3
r4rk1/pp1q1ppp/2p2b2/3p2B1/2nP1Q2/2P2N1P/P1P1RPP1/4R1K1 b - -,f6g5
r1b1k1nr/ppp2pb1/7p/4n1N1/5Bp1/4P3/PPPN2PP/R2K1B1R w kq -,g5e4
8/5r1p/2kb4/1p2p1p1/6P1/PR2PP1P/1P1BK3/8 w - -,e3e4
r1bqk2r/pp1pppbp/5np1/8/3NP3/1PN1B3/1PP2PPP/R2QK2R b KQkq -,e8g8
r1b2rk1/1pq1bppp/p1nppn2/8/3NP1PP/2N1BP2/PPPQ4/R3KB1R w KQ -,e1c1
r2q1rk1/pb2bppp/1pn1pn2/3p2B1/2PP4/P1NB1N2/1P3PPP/R2QR1K1 b - -,a8c8
r2q1rk1/pp1nbppp/2p1pn2/8/2PP4/3BBQN1/PP3PPP/R4RK1 w - -,a1d1
rn3r1k/ppq3p1/2p4p/4pb2/2Q1N2P/6P1/PPP2PB1/3R1RK1 b - -,b8d7
rnbq1rk1/1p2ppbp/p4np1/3p4/3P1B2/2NBPN1P/PP3PP1/R2QK2R b KQ -,b8c6
8/6p1/7k/4p3/4P2P/6QK/3q4/8 b - -,d2d6
r2q1rk1/pp1nppbp/2pp2p1/3nP3/3P1Pb1/2PB1N2/PP4PP/RNB1QRK1 w - -,e1h4
r4rk1/pp1nppb1/2p1b2p/6p1/1P1P4/P2BPNB1/5PPP/R4RK1 b - -,f7f5
q3r1k1/3nBppp/pp2p3/4p3/P1r2P2/1NN2R2/1PP3PP/4Q2K w - -,e7d6
8/r7/P3R3/5k2/2B2p2/8/1P6/1K6 w - -,e6b6
8/p4pk1/1p5p/4p2b/2B5/8/Pbn3PP/2B2R1K b - -,b2c3
r1bq1r1k/ppb3pp/5n2/3pNp2/3PBP2/PN2P3/1B4PP/R2Q1RK1 b - -,d5e4
4k3/1br5/p3p1pp/1pPpPp2/2n2P2/P2N2P1/1PR2K1P/R7 b - -,b7c6
r5k1/2qb2bp/1p1p3r/p2Pp3/P1P1Ppp1/Q2B4/1R1N1PPP/4R1K1 b - -,c7d8
b1rr2k1/5qp1/7R/1p6/p2R2Q1/P5P1/1P3PBP/6K1 b - -,c8c1
1rr5/q2k2p1/2pp1p1p/2b1pPPb/ppPnP2P/3PB1K1/PP3QB1/2RNR3 b - -,h6g5
2k5/2p4R/1p1p4/3nb2P/4pp2/8/3K1P2/8 w - -,h5h6
r3k2r/pppbqpB1/3p3p/3P2pn/4P3/2N5/PPPQ1P1P/2K1RB1R b kq -,h5g7
rn1q1rk1/ppp1bppp/3p1n2/7b/3P4/2NB1N1P/PPP2PP1/R1BQ1RK1 w - -,c1f4
rnb1kb1r/pp2pppp/1qp2n2/3p2B1/3P4/5N2/PPP1PPPP/RNQ1KB1R w KQkq d6,e2e3
3rr3/ppqn2kp/2p1b1p1/4pp2/N1P5/1PQ3PP/P3PPB1/3R1RK1 b - -,g7f7
2r4r/p4p2/1k2b2p/6p1/3b4/5BB1/5PPP/1R2R1K1 b - -,b6a5
3r2k1/p3pp1p/1r1q1npb/1p1N4/3P3P/PQ1N2P1/1P3PB1/3R1RK1 b - -,f6d5
r1b2rk1/4bppp/p2qpn2/1p1nN3/3P4/1QN1BB2/PP3PPP/2RR2K1 w - b6,e5c6
2r1r1k1/q1nnbppp/2p1p3/3pP3/P2P1B1P/1Q3NPB/5P2/RR4K1 b - -,c8b8
rnbqk2r/1p2ppb1/p2p3p/4n1p1/3NP3/2N3BP/PPPQ1PP1/R3KB1R b KQkq -,b8c6:c8d7
2rq1rk1/pp1nppbp/2bp2p1/2p5/2PnPP2/P2P2PP/1P2N1B1/1RBQNRK1 b - -,f7f5
r4r2/1q3kb1/3p2p1/p1p1nNB1/P1Pp4/RP2pP2/4Q1P1/1N1K3R b - -,g6f5
5rk1/4R2p/2q1p3/2p5/2Q2r2/1P2K2P/2P5/3R4 w - -,c4f4
1qr1rbk1/1b1n1ppp/pp1p1n2/8/2PN4/1P3NP1/PBR1PKBP/Q1R5 b - -,f6g4
r3rk2/1p3ppp/8/p1pn4/3p3N/P2P2PP/1PP2P2/R3RK2 b - -,a5a4
4rr1k/pp4pp/3b4/2pp1q2/2n5/2P2P2/PP1Q2PP/R3RNBK w - -,d2f2
3rk3/R7/8/2P1p3/1PK5/5p2/7P/8 b - -,f3f2
2r5/p3r1k1/1p1R2p1/4pp1p/n1P5/2P1N1P1/P2KPP1P/2R5 b - -,a4c5
r1bq1rk1/pp3pbp/2np2p1/2pPp3/8/1P2P1P1/PB1PNPBP/R2QK2R b KQ -,c6b4
r1bq1rk1/pp4bp/3p1np1/n1pPpp2/2P5/2N3P1/PPQNPPBP/R1B2RK1 w - e6,d5e6
rn1qk2r/pp3ppp/2p1p3/8/P1BPn3/N3P3/1P2QP1P/R3K1R1 w Qkq -,g1g7
2qnkb1r/p4ppp/1p2p1n1/4P3/2P5/B4N2/P1Q1NPPP/R5K1 w k -,a3f8
8/7p/R4k2/1n2pp2/8/3KP3/8/8 b - -,f6e7
2b1r1k1/4bRpp/p3p3/1p1pP3/2r1n3/2PNB3/PP2B1PP/5RK1 b - -,c4c7
5rr1/pp6/2k1p2p/2p5/5N2/6P1/PPP5/2KR3R w - -,h1h6
8/5p2/4k3/1p1pP2p/p3rP1P/P2K4/1P6/5R2 w - b6,f1f2
7R/r2nk3/3p2pp/1p2p3/4N2P/1P2KPP1/4P3/8 b - -,a7a3
5rk1/pp2p1np/1q1p2p1/3Pbp2/8/1N3BP1/PPQ1PP1P/2R3K1 b - -,g6g5
