8/8/6Q1/3kp2P/2p1q3/P4RP1/3r1PK1/8 b - -,d2b2
8/8/p2k4/7r/2P1R2P/2K5/8/8 b - -,d6c6
1n3r1k/2q3bp/p5p1/3R4/1r1p1P2/3B2PN/Q6P/4R2K w - -,h3g5
3r1rk1/pp3ppp/2ppbq2/4p3/2P1P3/3PQ1P1/PP3PBP/R4RK1 b - -,b7b6
n2r2k1/pq3r1p/2p1p1p1/2PpP3/3N1P2/1P2Q2P/P5P1/2R2RK1 b - -,f7e7
1n6/6p1/1P1kpp2/3p2P1/BK1P1P2/4P3/8/8 b - -,f6g5
r2q1rk1/3n1ppp/pb2p3/1p6/1P2Q3/4PN2/P4PPP/R1BR2K1 w - -,c1b2
1rb2rk1/pp4pp/2pq4/8/1P1Pp3/P3Q1P1/4PP1P/2R1KB1R b K -,a7a5
2r4r/1p6/pn2pk2/1Nb2ppp/8/2PR1P2/PPN3PP/2KR4 w - -,b5d6
r3kb1r/p1p1p1pp/2pq1n2/4Nb2/2Pp4/8/PP1PQPPP/RNB2RK1 w kq -,d2d3
r1bq1rk1/p2p1ppp/2p1pn2/8/1bP5/2NBP3/PPQ2PPP/R1B1K2R b KQ -,d7d5
4b1k1/p3q2p/1rp3p1/3p4/3Np3/8/PPQ3BP/1KR5 w - -,g2h3
8/5ppk/3p2p1/3P4/4qPK1/p5P1/P2Q3P/8 w - -,g4h3
2r2rk1/3b1ppp/pqnppn2/1p6/3PN3/3QPN2/PP2BPPP/2R2RK1 b - -,f6e4
8/5k1p/p1p5/1p1n2p1/P2PR3/2P4q/1P6/R1BB2K1 b - -,h3g3
rn1qr1k1/pp4bp/2p1b1p1/3P1p1n/5P2/BPNPP3/P3N1BP/2RQ1RK1 b - -,e6d5
1r3rk1/1q1b1pbp/p3p1p1/6Pn/1P2P3/3Q3P/3BNPB1/2R1K2R b K -,d7b5
6k1/p4p2/p5R1/8/4p3/2pr4/2r5/6RK b - -,f7g6
8/8/N2P4/b2Kp1k1/6P1/7P/8/8 w - -,d5e5
3R4/5pk1/2p2P1p/1p6/2p1NKP1/7r/7P/8 b - -,g7h7
r1b2n1r/pp3nkp/2pq1pp1/5P2/3P1N2/2QB1N2/P1P3PP/4RR1K w - -,f3e5
1r1rqnk1/p4pb1/1p1P2pp/1Pp1p3/P1Q1P3/3R1RPB/1B3P1P/6K1 w - -,h3g4
r1bqr1k1/1pp2ppp/p1np1n2/2b1p3/4P3/1BPP1N1P/PP3PP1/R1BQKN1R b KQ -,c8e6
3R1n1k/3b4/p3p1Q1/8/8/7P/3N1qPK/8 w - -,d2f3
6k1/2p2p2/1p1p4/p3q3/6PK/P6P/1P3Q2/5b2 b - -,f1d3
8/1r6/4k1p1/3pPp1p/r1pbnP1P/3R2P1/PB6/K4R2 w - -,d3d4
r2q1rk1/pppbb1pp/2n1p3/3p1p2/2PPn3/PP3NP1/1BQ1PPBP/RN3RK1 b - -,a7a5
r2qkb1r/pppn1ppp/5n2/3pp3/6b1/1P1PPN2/PBP1BPPP/RN1QK2R b KQkq -,f8d6
1rbqr1k1/p7/n2p2pQ/3P4/8/2n1N2P/P4PP1/R4RK1 w - -,h6g6
6k1/prq1pp2/1r1p2pp/2pP4/PP1NP3/3Q2P1/5P1P/RR4K1 b - -,c5d4
4rr1k/1pp3bp/p2n2p1/5p1n/3P3q/PBN1BQ1P/1PP3P1/3RR1K1 w - -,d4d5
r2qk2r/5pbp/p1npb3/1p1Npp2/4P3/2PB4/PPN2PPP/R2QK2R b KQkq -,e8g8:e6d5
r3k2r/2qbbpp1/p2ppn1p/1p2n3/3NP1PP/2NBBP2/PPPQ4/1K1R3R b kq h3,e5c4
r1bq1rk1/1p1p1p1p/p1n1p1p1/8/3bP3/1B3N2/PP2QPPP/R1BR2K1 b - -,d4g7
3r1r1k/p3b1pp/1p2n3/2pbPn1q/4NP2/P4NB1/1P3QBP/3RR1K1 w - -,e4d6
2rqkb1r/3bpppp/p2p4/4n3/2p1P1n1/N1P2N2/P1BPQPPP/R1B1R1K1 w k -,f3d4
6R1/8/5p2/P7/4k3/5pPP/r7/5K2 w - -,g8e8
r7/3k4/P7/1K6/8/R7/8/8 w - -,a6a7
8/1pp2k2/2p3p1/p1b4p/4PP2/1P1r2P1/PBR3K1/8 b - -,c5d6
rnb2rk1/pp2ppb1/6pp/q7/3PP3/4BN2/P2Q1PPP/2R1KB1R b K -,a5d2
r4k2/5pp1/5n2/8/p2r4/2N3P1/RP3P2/4R1K1 b - -,f6d5
1r4k1/nr2ppbp/q2p2p1/2pP4/P1N1PP2/1P4P1/R1Q3KP/1R2B3 b - f3,e7e6
7k/pp4pp/2q5/4P2P/2n5/7Q/PpR2P2/1K6 b - -,h7h6
r1bqk1nr/pp1pppbp/6p1/2pPn3/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,f3e5
r4rk1/p1B2pp1/1p1R2p1/6N1/1n2R1b1/8/PP3P1P/6K1 b - -,b4a6
5rbr/p2k2p1/1pQNp3/2p1PP1p/2Pp2P1/3Pb2P/P5KB/1R3R2 b - -,d7c6
r2qr1k1/1p1np1bp/p1p3p1/2Pp1p2/3PnB2/3BPN1P/PP3PP1/2RQ1RK1 w - f6,f3e5
r2qkb1r/1b3ppp/p2ppn2/1pn5/3NPP2/2NB4/PPP1Q1PP/R1B2R1K w kq -,a2a4
r4rk1/pbqnbppp/1p1pp3/8/1PP1P1n1/P2B1N2/1B1NQPPP/R4RK1 w - -,a1c1
8/4b2p/P1kp1p2/1P2pr2/7P/K1B4R/8/8 b - -,c6b6
4b3/8/8/p1k3p1/8/P1K2B2/8/8 b - -,e8c6
8/p1R2pk1/5b2/r4p1p/P2p1P2/BP1P2K1/5P2/8 w - -,a3c5
r2r2k1/ppn1Bp1p/q6n/2pPbP2/6P1/2N2Q1P/PPP5/R4RK1 b - -,d8e8
8/2B4p/p5p1/P7/1kP1p1P1/3K3P/8/4b3 w - -,d3e4
1brq2k1/pb4pp/2n1p3/2Bp4/5rn1/2N2NQ1/PPP1B1PP/3R1R1K w - -,g3h3
rn1q1rk1/1b3ppp/pppb1n2/4p3/P1B1P3/5N1P/1PPNQPP1/R1B2RK1 w - -,f1d1
r2q1r2/pppn1pk1/1n4pp/4P3/4P3/2N2B1P/PP3PP1/R2Q1RK1 b - -,d7e5
3r2k1/5p2/pp5p/2p2R1N/3p4/P3r1P1/4P2P/2B1nBK1 b - -,e3e6
2rn2k1/pbq2pbp/1p2r1p1/1B1p4/3Pp2Q/1PP4P/P4PPN/R1B1R1K1 w - -,h2g4
5B2/1p6/8/1P1k1ppp/8/3K2bP/6P1/8 b - -,g5g4
6k1/ppr4p/6p1/2P1pp2/1PNq4/P3Q3/4B1KP/8 w - -,e3e5
r3k2r/p4pp1/2pbpn1p/1p1q3P/P2P3R/5N2/1PPBQPP1/R3K3 w Qkq -,a4b5
k7/1p1q2p1/p1pB1n1p/2PpQ3/8/P5P1/1P3P2/1K6 w - -,f2f3
rnbq1rk1/ppp1ppbp/5np1/3p4/3P4/4PN2/PPP1BPPP/RNBQ1RK1 w - d6,b2b3
3Rn3/rp2rpk1/p1p1b1pp/P3P3/6P1/1PN4P/2P3BK/4R3 b - -,e8c7
3r1k2/2n1bpp1/p1r3p1/1p1p4/1P1P3P/4PPP1/R1BBK3/1R6 b - -,e7f6
r1b1k2r/1pqpnppp/p1nbp3/8/3NP3/2NBB2P/PPP2PP1/R2Q1RK1 b kq -,e7g6
rn1q1rk1/pppbnpb1/3p2pp/3Pp3/2P1P3/3B1N1P/PP3PP1/RNBQR1K1 b - -,f7f5
r2r2k1/pp3pp1/1np5/2P2b1p/3P3P/5NP1/P2R1P2/4RBK1 b - -,b6d5
rnbqk2r/ppp1npbp/3pp1p1/6B1/2BPP3/5N2/PPP2PPP/RN1Q1RK1 b kq -,h7h6
2rqr1k1/1p3ppp/p2b1n2/3p4/3N2n1/1PN1P3/PBQ2PPP/2R2RK1 w - -,h2h3
r2r2k1/1p1n1p2/1pb3p1/2p1b3/2P5/P3PB1P/R2N1P1B/3R2K1 w - -,f3c6
r3k2r/1p1bbppp/pqn1p3/3pPn2/3P2P1/5N2/PPN2P1P/R1BQKB1R b KQkq g3,f5h4
r1q2rk1/pp1n1pp1/3P1bbp/1BP1p3/1P4P1/2N1Q1BP/P4P2/R4RK1 b - -,f6g5
7k/4qpp1/4p2p/p2pP2P/3P4/2b3P1/P1B1QPK1/8 b - -,f7f5
r1b1k1nr/pp4pp/1qn1pp2/1BbpP3/2P5/5N2/PP3PPP/RNBQ1RK1 b kq c3,f6e5
2r2r1k/pp1qpp1p/2p2n2/N7/PP1PP3/5Q2/5PPP/2bRB1K1 w - -,d1c1
r1b1kb1r/p2p1pp1/4p1qp/2pP4/1nB1P3/5N2/PP1Q1PPP/RN2K2R w KQkq -,e1g1
1r2k1nr/1pq2p2/p1b1p1p1/4b1Bp/2PpN3/3P2PP/PP4B1/R2Q1RK1 w k -,d1f3
r2q1rk1/pb2ppbp/1p4p1/2pp4/3PnPPQ/2PBPN1P/PP1B4/R4RK1 w - -,d2e1
8/8/5pk1/PR4pp/8/5P1P/5PK1/r7 b - -,a1a4
8/6pk/2pQ3p/8/2P5/5P1P/P2p2P1/4r1K1 w - -,g1f2
8/p7/1p1nkp2/3p2p1/P2P2p1/4PK1P/1P1B4/8 w - -,h3g4
6rk/1p3p1p/1q1r2p1/4Q3/1p2P3/7P/PPP5/1K1R2R1 b - -,d6f6
r1bqkb1r/ppp2p1p/2n2p2/4p3/3P1B2/2P5/PP3PPP/R2QKBNR w KQkq -,d4e5
2r1rbk1/2qb4/p1p2npp/P7/4P3/2R2NP1/2QNPPB1/1R4K1 b - -,g8h7
7r/1p3pk1/2bppp2/p4Prp/P1P1PR2/1P1B2P1/3K1R1P/8 b - -,h8h6
8/p6k/2p2p2/5Q1p/4PP2/1P6/P3K1Pq/8 b - -,h7g7
6k1/5p1p/3r2p1/4p3/Pr6/1PRn2P1/5PBP/3R2K1 b - -,b4d4
7b/3P1p1k/5Pp1/7p/1Bq1r3/P4Q1P/3R2K1/8 b - -,e4d4
r1b1k3/ppp4r/4p2p/6q1/3BQ3/2P1R1PR/P1P2P2/2K5 b q -,h7f7
r1br2k1/2q1bppp/3p4/p1nPp3/1pp1P1P1/2P1N1P1/PPB2P2/R1BQR1K1 b - -,c8a6
rn1qkb1r/ppp2ppp/3p4/3n4/3P2b1/5N2/PPP2PPP/RNBQKB1R w KQkq -,f1e2
1r1q1r2/3bp1k1/3p1p1p/pBpPb1pQ/P3P3/2N3P1/1P1R1PP1/4R1K1 w - -,b5d7
1r4k1/1q3ppp/3p1n2/1p4N1/p1B1PP2/P6P/1P2Q1P1/2R3K1 b - -,b5c4
8/8/8/8/8/4p1K1/3rk3/R7 w - -,g3g2
Bn3rk1/p3ppbp/3p1np1/1p6/3P4/2N3Pb/PP2PP1N/R1B3K1 w - -,c3b5
r5rk/1pp3pp/1pnppq2/4p2n/PP2P3/2PP1NP1/3NQP1P/R4RK1 w - -,b4b5
7R/1p1k2r1/3p4/p3pp2/P1P5/1P5R/4KPrP/8 w - -,h8a8
r1b2rn1/1ppnqpbk/p2p2pp/3Pp3/2P1P3/2N1BP2/PP1QBNPP/2R2RK1 b - -,f7f5
r1bqkbnr/pp2pppp/2n5/3p4/3PP3/8/PP3PPP/RNBQKBNR w KQkq d6,b1c3
rnb1kbnr/pp2p2p/2p3p1/3p1pB1/3P4/3BPN2/PqPN1PPP/R2QK2R w KQkq -,a1b1
6r1/3rB2k/2R2p2/pp1PpN1p/4P1nP/8/PP2K3/6R1 w - -,g1c1
rqb1k1nr/5pb1/n1p3p1/p2p3p/PpBP4/2PNBP2/1P1Q1NPP/R4R1K w kq -,e3f4
r3kb1r/2qn1ppp/2bppn2/2p5/N3PP2/pPNPB1P1/6BP/R2Q1RK1 b kq f3,f8e7
r2q1rk1/pp2bppp/3p4/3Pp2n/4P3/N3BPPb/PP1QB2P/R4RK1 w - -,f1c1
5q1k/p2r2rp/1p1p2pN/n1pQR1B1/8/2P2P2/P5PP/3R2K1 b - -,d6e5
1k3K2/p1r5/Bp2P2p/3R2b1/PP6/2P5/8/8 b - -,c7h7
2rqk2r/1b2bp2/pp3p2/2pB1Qp1/8/1P4P1/5P1P/R1BR2K1 b k -,b7d5
r2q1rk1/2n1ppbp/pp1p1np1/2pP4/P1B1PP2/2NQ1R1P/1PP3P1/R1B3K1 b - -,d8c8
1r3b1k/2R3pp/4qp2/2p5/2N5/1PP3P1/1P3P2/3Q2K1 w - -,d1d3:g1g2
r3r1k1/1p2q2p/p3bpp1/4b3/3RP3/2N2PP1/PP4BP/R1Q4K w - -,c3d5
r3r1k1/p3pp1p/2p3p1/8/q1QP3b/2P1P3/P3BPPP/R4RK1 b - -,a4c4
3r1rk1/1p2qpp1/p1pb2p1/P7/1B2n3/1Q2P1PP/1P3P2/R2R1BK1 w - -,b4d6
1r3rk1/1Pp1qppp/5n2/8/p1N3b1/P2BP3/1Q3PPP/R3K2R w KQ -,e1g1
5rk1/pp2R1pp/8/2p3p1/1PPb1q2/P6P/2Q2PP1/4R2K w - -,e7e8
r6k/1pp3pp/1b1p1rq1/pP3n2/P1B5/2P1PQ2/3N2PP/R4R1K w - -,f3b7
8/8/2R3pk/5p1p/5P1P/6P1/r4K2/8 w - -,f2f3
2k2r2/pp1r3p/2p5/4B3/3P4/2P3P1/PP2K1P1/7R b - -,d7e7
8/2p3pk/2Nr3p/2Rn4/6P1/7P/5PK1/8 w - -,c6e5
r1b1k1nr/pp3ppp/1qn1p3/2bpP3/3B4/1P3N2/P1P2PPP/RN1QKB1R w KQkq -,c2c3
6k1/3b1pb1/p2p2pp/1p1B4/4P2P/1Pr2N2/5PP1/5RK1 b - h3,g8f8
r1b3k1/pp3ppp/2n5/1N1n2P1/8/3P1P2/PP2N2P/2K2B1R b - -,d5b4
rq3r1k/1p1n2pn/3p3p/p2Ppp2/1PP5/P1N1Q2P/4BPP1/2RR2K1 b - -,h7f6
2bn4/1p2k1p1/p7/2PB1pp1/3N4/1P1K3P/P4PP1/8 b - -,e7f6
r2r2k1/1p2bpp1/p1n1p2p/3q4/4NB1P/2P3P1/PP2QP2/R4K1R w - -,f2f3
rn1qk2r/pbp2ppp/1p1ppb2/8/2PPP3/2N2N2/PP3PPP/R2QKB1R w KQkq -,d1e2
r2r4/1b2k3/2nppp2/p6p/1pP1PPp1/1P2N1P1/P2R1KBP/3R4 w - h6,f4f5
r1b2rk1/p1q1bppp/2p1pn2/1p1nN3/3P4/1BN2Q2/PPPB1PPP/R3R1K1 w - -,e5c6
1q1r2k1/3r1pp1/2p1pn1p/pp6/2PP3P/1P2Q1N1/P1R2PP1/3R2K1 w - -,c2d2
rnbq1rk1/1p2bppp/p3pn2/2P5/8/5NP1/PPQ1PPBP/RNB1K2R b KQ -,d8a5
2b1k3/1r2p3/6rp/p1pP4/2P3PP/1P2R1K1/P7/5R2 w - -,f1f4
r1br2k1/1pn2pp1/2p1p2p/4N3/p2PP3/qBPQK1P1/P4P1P/3R3R w - -,e5c4
3qkb1r/rp1n2pp/p1p2p2/2PpPb2/N3nB2/PQ3N2/1P2PPPP/2R1KB1R b Kk -,d7c5
r1b2rk1/pp2b2p/1nN2p2/3pp3/5P2/1NP5/PP2B1PP/R1B2RK1 b - -,b7c6
8/p1p1R1pk/2p3rp/8/2P2n2/2B1QP1q/PP6/4K3 b - -,f4g2
2kn3r/ppp1brpp/4p1q1/QPPbP3/R7/4BN2/P3B1PP/5RK1 w - -,a5a7
1rbqk1nr/p3ppbp/3p2p1/2p5/1p1nP3/2NPB1P1/PPPQNPBP/R4RK1 w k -,c3d1
4rk2/1p3p2/2p3p1/1p1n1P1p/3N4/2PR1KP1/PP6/8 w - h6,f5g6
r4rk1/1p1qnpbp/2ppb1p1/p3p3/2PP4/1P2P1P1/PB1QNPBP/R2R2K1 b - -,f8d8
8/5pk1/p1P2qp1/2Q4p/1P5P/6P1/5P1K/8 b - -,f6d8
8/4kB2/5np1/2p1p1N1/1r1bP2P/r1p3P1/P1K5/R2R4 w - -,d1b1
2kr1qnr/pbpp2pp/np1b4/3NPp2/2P2P2/6PN/PPQB3P/2KR1B1R b - -,d6c5
1r1q2rk/2N2pbn/R2P2p1/1pp1PbPp/8/4B2P/1P4B1/3QR2K b - -,h7g5
2r2rk1/RQ4p1/2P3p1/4q3/3ppB1P/5bP1/5P1K/1R6 b - -,e5f6
1q2r2k/2R3b1/1p2P1np/1NpB1pP1/2P5/1P2Q1Pb/5B2/6K1 b - -,g7d4
r1r1n1k1/p3bq1p/bp2p3/2ppPp1p/3P1B2/2P4Q/PP2NPP1/3RRBK1 w - -,e2g3
r3r3/p1p2kpp/1p6/2P2N2/7P/1N4P1/PP3PK1/4R3 w - -,e1c1
3R4/pp1n1Q2/3kp3/3pq1pB/3n4/6P1/P6K/8 b - -,d4f5
r3k2r/pp1qbppp/8/3p4/3B4/P7/1PP2PPP/R2Q1RK1 b kq -,e8g8
r7/5k1p/3rpp2/1pp2p2/p4P2/1P1P1KP1/2P2R1P/R7 w - -,b3a4
r1b2rk1/pp1nbppp/4p3/8/4N3/2P2N2/PPB2PPP/R2q1RK1 w - -,f1d1
5k2/4n3/1p1NR3/2pP1p1p/P1P3rP/5K2/6P1/8 w - -,e6f6
rn1qk2r/1bppbppp/p3pn2/1p4B1/3P4/3BPN2/PPPN1PPP/R2Q1RK1 b kq -,h7h6
b2r2k1/5p2/1p1qpbp1/p3Nn1p/3P3P/PBB4Q/1P3PP1/3R2K1 b - -,f5h4
r2q1rk1/1b1nppbp/pp1p1np1/2pP4/2P1PB2/2N2N1P/PP2BPP1/R2Q1RK1 b - -,f6e8
r1b1k2r/1pqnppb1/p2p1npp/6B1/3NPP2/2NB1Q2/PPP3PP/2KR3R w kq -,g5h4
r3qrk1/1p4pp/p1bbp3/2ppNp2/P2PnB2/2PBP3/1PQ2PPP/R3K2R w KQ -,f2f3
3rk2r/1p4b1/pN1P1nnp/3pp1p1/4Pp2/3N1P2/PP4PP/R1B2RK1 w k -,d6d7
2r1q1k1/p1rn1p1p/Pp2pnp1/1P1p4/N2P4/Q3P2P/4BPP1/R1R3K1 b - -,e8f8
r2qr1k1/ppp2p1p/3p1np1/2nP4/b1P5/5N1P/PBP1BPP1/2RQR1K1 b - -,f6d7
6k1/2q2pp1/7p/1p6/3P4/2P1Q1PP/5P1K/8 b - -,c7c4
r3kb1R/2pn1pr1/Bpb1p3/3p4/PP1P4/2N3P1/2PK1P2/4R1N1 b q -,a8a6
8/1p3pk1/2b4p/p2N2p1/2P4n/1P2RP2/1r5P/R6K w - -,a1f1
1r3nk1/2qr1pp1/p2Np1np/P1p1P3/2P2P2/3RB3/3Q2PP/3R2K1 b - -,c7c6
4r3/5pk1/p1P1pp1p/7P/P5P1/8/1Q3P2/1KRq4 b - -,d1a4
1r2nrk1/1p1nqpbp/p2p2p1/P1pP4/4P3/2N1BB1P/1PQ2PP1/R4RK1 w - -,f3e2
1rb2rk1/1pq2ppp/p2pn1n1/2pB4/4P2B/N1PP4/PP4PP/R2Q1RK1 w - -,h4g3
3r1k2/5p2/p2rpq1p/6p1/1PR1B3/PQ1n4/5PPP/4RK2 w - -,e4d3
r4rk1/p3bp1p/2bppn2/4n1pq/2PQP3/2N3PP/P2B1PBN/1R2R1K1 w - g6,c3b5
r5r1/2qb1k2/p1nbppp1/3p4/2pP2B1/2P3P1/P1N2P1P/1RBQ1RK1 w - -,d1f3
r1b2rk1/ppn3b1/2pq2p1/3p1p2/3P4/2PBN3/PPQ1NPP1/2KR3R b - -,c8e6
r1r3kb/pp1nqpBp/3p4/2pPp1p1/1PP1P2N/P1NB2Pb/2Q2P1P/R1R3K1 b - -,g5h4
r4b1k/p4r1p/P1pq4/Rpp1p1p1/4Pp2/1P1P1P1P/2P1QBP1/2R3K1 b - -,f8e7
r3nr2/5pkp/1qppb1p1/1p6/4P3/1B1Q3P/PP2NPP1/R2R2K1 b - -,e6b3
r1b1k2r/ppqnppbp/2p2np1/2Pp2B1/3P4/2N1PN1P/PP3PP1/R2QKB1R w KQkq -,g5f4
5k2/p3r2p/3n1r2/5p2/3R4/PB2p3/KP6/6R1 b - -,d6f7
4r1k1/1p2rpq1/4n3/2PR2p1/1P4P1/p2N1P2/P6Q/3R2K1 b - -,e6d4
r1b1r1k1/1p1p1ppp/p3p1q1/7n/2P2P2/BBPpQ3/P2P2PP/R4RK1 b - f3,g6f5
rnbqk2r/ppp2pp1/4pB1p/3p4/3PP3/2b2P2/PPP3PP/R2QKBNR w KQkq -,b2c3
8/3k4/4p3/1p2Pp2/1Pb2P2/2N2K2/8/8 b - -,d7e7
3k2r1/5p1p/pn1p1p1b/3Ppq2/1P6/1QP5/R3BPPP/5RK1 b - -,f5e4
rn1q1rk1/1p3p1p/p4p2/3p3b/1b1P4/2NB1N1P/PP3PP1/R2Q1RK1 w - -,d3e2
r4rk1/p4ppp/2p1b3/4P3/PP2P3/7P/6P1/R1BR2K1 b - -,a7a5
r2q1rk1/pp3ppp/1np5/8/1b1P1Bb1/1B3N2/PP3PPP/R2QR1K1 w - -,e1e4
r1bq1rk1/1pp2pbp/2nppnp1/p7/1PPP4/P4NP1/1B2PPBP/RN1QK2R w KQ a6,b4b5
3rr1k1/4bpp1/5n2/3pNRB1/p1pP4/PnP4P/R2N1P2/6K1 b - -,b3d2
rn1qkbnr/pp3p2/2p1p1p1/3pPb1p/3P1N1P/8/PPP2PP1/RNBQKB1R w KQkq -,f1d3
r1r3k1/pp1nb1pp/P2p2q1/3P1p2/Q1P1pP2/P2pP2P/1B1N2P1/R4RK1 b - -,d7c5
1r1q2k1/1Pp2b2/p5pp/3n4/2QPr3/4P3/1P2B1PP/3RNRK1 b - -,e4e7
r2q1rk1/p4ppp/2pb1n2/3p4/6b1/1P2PN2/PB2NPPP/R2Q1RK1 b - -,f8e8
8/k1p4Q/pp5p/6p1/1P1p2P1/P1rPrK1P/8/8 w - -,f3f2
r1bqr1k1/pp1nbppp/2p1pn2/3p2B1/2PP4/2NBPN2/PPQ2PPP/R4RK1 b - -,d7f8
3r2k1/p1p3p1/2r4p/8/2Nb1P2/P2P1R1P/1P4PK/4R3 b - -,c6c5
8/4k3/4p3/8/1P1R1P2/1r4Kp/8/8 w - -,g3h2
2r5/2qnpk1p/3p1p2/3P2p1/1QP1P3/4B3/5PPP/5RK1 w - -,f1c1
r4rk1/p2bp1bp/nqpp1np1/5p2/2PN4/2N3P1/PP2PPBP/1RBQ1RK1 w - -,b2b4
8/4b1kp/1p4p1/3B2P1/P1P3K1/8/7P/8 b - -,h7h6
4r3/R1pr1pk1/1p4pp/1P1p4/1BnP1P2/4p1P1/R3K2P/8 b - -,e8e4
7Q/8/6p1/1p1n2kR/p2P4/P4qp1/1P3P2/6K1 b - -,g6h5
6k1/p7/6p1/5p1p/2P1r3/1P2NKP1/P4P1P/8 w - f6,b3b4
r7/5kp1/1r1p1b2/2pP1p1p/2B1p2P/1P4P1/2R2PK1/4R3 w - h6,f2f3
